   athottarabhāgaprāramabhaḥ	aTa uttara BAga prAramaBaH
   śubho haviḥ kṛtaprāptirvyāpṛto daśamastathā /	SuBaH haviH kRta prAptiH vyApRtaH daSamaH taTA /
   sutārā nāmatastvete devā vai saṃprakīrtitāḥ // BndP_3,1.90 //	sutArAH nAmataH tu ete devAH vE saMprakIrtitAH // Bndu _3,1.90 //
   teṣāmindrastu vijñeyo ṛtadhāmā mahāyaśāḥ /	tezAm indraH tu vijQeyaH RtaDAmAH mahA yaSAH /
   dyutirvasiṣṭhaputrastu ātreyaḥ sutapāstathā // BndP_3,1.91 //	dyutiH vasizWa putraH tu AtreyaH sutapAH taTA // Bndu _3,1.91 //
   tapomūrtistvāṅgirasastapasvī kāśyapastathā /	tapaH mUrtiH tu AFgirasaH tapasvI kASyapaH taTA /
   tapodhanaśca paulastyaḥ paulahaśca taporatiḥ // BndP_3,1.92 //	tapoDanaH ca pOlastyaH pOlahaH ca tapaH ratiH // Bndu _3,1.92 //
   bhārgavaḥ saptamasteṣāṃ vijñeyastu tapodhṛtiḥ /	BArgavaH saptamaH tezAm vijQeyaH tu tapoDRtiH /
   ete saptarṣayaḥ siddhā antye sāvarṇikeṃ'tare // BndP_3,1.93 //	ete saptarzayaH sidDAH antye sAvarNikeM atare // Bndu _3,1.93 //
   devavānupadevaśca devaśreṣṭho vidūrathaḥ /	devavAn upadevaH ca deva SrezWaH vidUraTaH /
   mitravān mitraseno 'tha citraseno hyamitrahā // BndP_3,1.94 //	mitravAn mitrasenaH aTa citrasenaH hi amitra hA // Bndu _3,1.94 //
   mitrabāhuḥ suvarcāśca dvādaśasya manoḥ sutāḥ /	mitra bAhuH suvarcAH ca dvAdaSasya manoH sutAH /
   trayodaśetu paryāye bhāvye raucyentare punaḥ // BndP_3,1.95 //	trayodaSetu paryAye BAvye rOcya intare punar // Bndu _3,1.95 //
   traya eva gaṇāḥ proktā devānāṃ tu svayaṃbhuvā /	trayaH eva gaNAH proktAH devAnAm tu svayaMBuvA /
   brahmaṇo mānasāḥ putrāste hi sarve mahātmanaḥ // BndP_3,1.96 //	brahmaNaH mAnasAH putrAH te hi sarve mahAtmanaH // Bndu _3,1.96 //
   sutrāmāṇaḥ sudharmāṇaḥ sukarmāṇaśca te trayaḥ /	sutrAmANaH suDarmANaH sukarmANaH ca te trayaH /
   tridaśānāṃ gaṇāḥ proktā bhaviṣyāḥ somapāyinām // BndP_3,1.97 //	tridaSAnAm gaNAH proktAH BavizyAH soma pAyinAm // Bndu _3,1.97 //
   trayastriśaddevatā yāḥ pṛthagijyāstu yājñikaiḥ /	trayaH triSat devatAH yAH pRTak ijyAH tu yAjQikEH /
   ājyena pṛṣadājyena grahaśreṣṭena caiva ha // BndP_3,1.98 //	Ajyena pRzadAjyena graha Srezwena ca eva ha // Bndu _3,1.98 //
   ye vai devāstrayastriṃśatpṛthaktvena nibodhata /	ye vE devAH trayastriMSat pRTaktvena niboData /
   sutrāmāṇaḥ prayājyāstu ājyāśā ye tu sāṃpratam // BndP_3,1.99 //	sutrAmANaH prayAjyAH tu Ajya ASAH ye tu sAMpratam // Bndu _3,1.99 //
   sukarmāṇo 'nuyājyākhyāḥ pṛṣadājyāśinastu ye /	sukarmANaH anuyAjya AKyAH pRzadAjya ASinaH tu ye /
   upayājyāḥ sudharmāṇa iti devāḥ prakīrttitāḥ // BndP_3,1.100 //	upayAjyAH suDarmANaH iti devAH prakIrttitAH // Bndu _3,1.100 //
   divaspatirmahāsatvasteṣāmindro bhaviṣyati /	divaspatiH mahAsatvaH tezAm indraH Bavizyati /
   pulahātmajaputrāste vijñeyāstu ruceḥ sutāḥ // BndP_3,1.101 //	pulaha Atmaja putrAH te vijQeyAH tu ruceH sutAH // Bndu _3,1.101 //
   aṅgirāścaiva dhṛtimān paulastyo 'pyavyayastu saḥ /	aFgirAH ca eva DRtimAn pOlastyaH api avyayaH tu saH /
   paulahastattvadarśī cha bhārgavaśca nirupsukaḥ // BndP_3,1.102 //	pOlahaH tattva darSI Ca BArgavaH ca nirupsukaH // Bndu _3,1.102 //
   niṣprakaṃpyastathātreyo nirmohaḥ kāśyapastathā /	nizprakaMpyaH taTA AtreyaH nirmohaH kASyapaH taTA /
   sutapāścaiva vāsiṣṭhaḥ saptaite tu trayodaśa // BndP_3,1.103 //	sutapAH ca eva vAsizWaH saptA ete tu trayodaSa // Bndu _3,1.103 //
   citraseno vicitraśca nayo dharmo dhṛto bhavaḥ /	citrasenaH vicitraH ca nayaH DarmaH DRtaH BavaH /
   anekaḥ kṣatraviddhaśca suraso nirbhayo daśa // BndP_3,1.104 //	anekaH kzatra vidDaH ca surasaH nirBayaH daSa // Bndu _3,1.104 //
   raucyasyaite manoḥ putrā hyantare tu trayodaśe /	rOcyasya ete manoH putrAH hi antare tu trayodaSe /
   caturdaśe tu paryāye bhautyasyāpyantare manoḥ // BndP_3,1.105 //	caturdaSe tu paryAye BOtyasya api antare manoH // Bndu _3,1.105 //
   devatānāṃ gaṇāḥ pañca proktā ye tu bhaviṣyati /	devatAnAm gaNAH paQca proktAH ye tu Bavizyati /
   cākṣuṣāśca pavitrāśca kaniṣṭhā bhrājitāstathā // BndP_3,1.106 //	cAkzuzAH ca pavitrAH ca kanizWAH BrAjitAH taTA // Bndu _3,1.106 //
   vācāvṛddhāśca ityete pañca devagaṇāḥ smṛtāḥ /	vAcA vRdDAH ca iti ete paQca deva gaNAH smRtAH /
   niṣādādyāḥ svarāḥ sapta sapta tānviddhi cākṣuṣān // BndP_3,1.107 //	nizAda AdyAH svarAH sapta sapta tAn vidDi cAkzuzAn // Bndu _3,1.107 //
   bṛhadādyāni sāmāni kaniṣṭhānsapta tānviduḥ /	bRhat AdyAni sAmAni kanizWAn sapta tAn viduH /
   sapta lokāḥ pavitrāste bhrājitāḥ saptasiṃdhavaḥ // BndP_3,1.108 //	sapta lokAH pavitrAH te BrAjitAH sapta siMDavaH // Bndu _3,1.108 //
   vācāvṛddhānṛṣīnviddhi manoḥ svāyabhuvasya ye /	vAcA vRdDAn RzIn vidDi manoH svAya Buvasya ye /
   sarve manvantaredrāśca vijñeyāstulyalakṣaṇāḥ // BndP_3,1.109 //	sarve manvantaredrAH ca vijQeyAH tulya lakzaNAH // Bndu _3,1.109 //
   tejasā tapasā vuddhyā balaśrutaparākramaiḥ /	tejasA tapasA vudDyA bala Sruta parAkramEH /
   trailokye yāni sattvāni gatimanti dhruvāṇi ca // BndP_3,1.110 //	trElokye yAni sattvAni gatimanti DruvANi ca // Bndu _3,1.110 //
   sarvaśaḥ sarvairguṇaistāni indrāste 'bhibhavanti vai /	sarvaSas sarvEH guNEH tAni indrAH te aBiBavanti vE /
   bhūtāpavādino hṛṣṭā madhyasthā bhūtavādinaḥ // BndP_3,1.111 //	BUta apavAdinaH hRzwAH maDyasTAH BUta vAdinaH // Bndu _3,1.111 //
   bhūtābhavādinaḥ śaktāstrayo vedāḥ pravādinām /	BUtABava AdinaH SaktAH trayaH vedAH pravAdinAm /
   agnīdhraḥ kāśyapaścaiva paulastyo māgadhaśca yaḥ // BndP_3,1.112 //	agnIDraH kASyapaH ca eva pOlastyaH mAgaDaH ca yaH // Bndu _3,1.112 //
   bhārgavo hyagnivāhuśca śucirāṅgirasastathā /	BArgavaH hi agnivAhuH ca SuciH AFgirasaH taTA /
   śukraścaiva tu vāsiṣṭhaḥ paulaho mukta eva ca // BndP_3,1.113 //	SukraH ca eva tu vAsizWaH pOlahaH muktaH eva ca // Bndu _3,1.113 //
   ātreyaḥ śvājitaḥ prokto manuputrānataḥ śṛṇu /	AtreyaH SvAjitaH proktaH manu putrAn ataH SRNu /
   ururguruśca gaṃbhīro buddhaḥ śuddhaḥ śuciḥ kṛtī // BndP_3,1.114 //	uruH guruH ca gaMBIraH budDaH SudDaH SuciH kRtI // Bndu _3,1.114 //
   ūrjasvī subalaścaiva bhautyasyaite manoḥ sutāḥ /	UrjasvI subalaH ca eva BOtyasya ete manoH sutAH /
   sāvarṇā manavo hyete catvāro brahmaṇaḥ sutāḥ // BndP_3,1.115 //	sAvarNAH manavaH hi ete catvAraH brahmaNaH sutAH // Bndu _3,1.115 //
   eko vaivasvataścaiva sāvarṇo manurucyate /	ekaH vEvasvataH ca eva sAvarNaH manuH ucyate /
   raucyo bhautyaśca yau tau tu matau paulahabhārgavau /	rOcyaH BOtyaH ca yO tO tu matO pOlaha BArgavO /
   bhautyasyaivādhipatye tu tūrṇaṃ kalpastu pūryate // BndP_3,1.116 //	BOtyasya eva ADipatye tu tUrNam kalpaH tu pUryate // Bndu _3,1.116 //
   sūta uvāca	sUtaH uvAca
   niḥśeṣeṣu tu sarveṣu tadā manvantareṣviha // BndP_3,1.117 //	niHSezezu tu sarvezu tadA manvantarezu iha // Bndu _3,1.117 //
   ante 'nekayuge tasminkṣīṇe saṃhāra ucyate /	ante aneka yuge tasmin kzINe saMhAraH ucyate /
   saptaite bhārgavā devā ante manvantare tadā // BndP_3,1.118 //	saptA ete BArgavAH devAH ante manvantare tadA // Bndu _3,1.118 //
   bhuktvā trailokyama dhyasthā yugākhyā hyekasaptatīḥ /	BuktvA trElokyama DyasTAH yuga AKyAH hi ekasaptatIH /
   pitṛbhirmanubhiḥ sārddhaṃ kṣīṇe manvantare tadā // BndP_3,1.119 //	pitRBiH manuBiH sArdDam kzINe manvantare tadA // Bndu _3,1.119 //
   anādhāramidaṃ sarvaṃ trailokyaṃ vai bhaviṣyati /	anADAram idam sarvam trElokyam vE Bavizyati /
   tataḥ sthānā ni śubhrāṇi sthānināṃ tāni vai tadā // BndP_3,1.120 //	tatas sTAnA ni SuBrANi sTAninAm tAni vE tadA // Bndu _3,1.120 //
   prabhraśayante vimuktāni tārā ṛkṣagrahaistathā /	praBraSayante vimuktAni tArAH Rkza grahEH taTA /
   tatasteṣu vyatīteṣu trailokyasyeśvareṣviha // BndP_3,1.121 //	tatas tezu vyatItezu trElokyasya ISvarezu iha // Bndu _3,1.121 //
   saṃprapteṣu maharlokaṃ yasmiṃste kalpavāsinaḥ /	saMpraptezu mahar lokam yasmin= te kalpa vAsinaH /
   ajitādyā gaṇā yatra āyuṣmantaścaturdaśa // BndP_3,1.122 //	ajita AdyAH gaNAH yatra AyuzmantaH caturdaSa // Bndu _3,1.122 //
   manvantareṣu sarveṣu devāste vai caturddaśa /	manvantarezu sarvezu devAH te vE caturddaSa /
   saśarīrāśca śrūyante janaloke sahānugāḥ // BndP_3,1.123 //	sa SarIrAH ca SrUyante jana loke saha anugAH // Bndu _3,1.123 //
   evaṃ deveṣvatīteṣu maharlokājjanaṃ prati /	evam devezu atItezu mahar lokAt janam prati /
   bhūtādiṣvavaśiṣṭeṣu sthāvarāṃ teṣu teṣu vai // BndP_3,1.124 //	BUta Adizu avaSizwezu sTAvarAm tezu tezu vE // Bndu _3,1.124 //
   śūnyeṣu lokasthāneṣu mahānteṣu bhuvādiṣu /	SUnyezu loka sTAnezu mahAntezu Buva Adizu /
   deveṣu ca gateṣvūrddhvaṃ sāyujyaṃ kalpavāsinām // BndP_3,1.125 //	devezu ca gatezu UrdDvam sAyujyam kalpa vAsinAm // Bndu _3,1.125 //
   saṃhṛtya tāstato brahmā devarṣipitṛdānavān /	saMhRtya tAH tatas brahmA deva Rzi pitR dAnavAn /
   saṃsthāpayati vai sargamahardṛṣṭvā yugakṣaye // BndP_3,1.126 //	saMsTApayati vE sargam ahar dRzwvA yuga kzaye // Bndu _3,1.126 //
   caturyugasahasrāntamaharyadbrahmaṇo viduḥ /	caturyuga sahasra antam ahar yat brahmaNaH viduH /
   rātriṃ yugasahasrāntāṃ te 'horātravido janāḥ // BndP_3,1.127 //	rAtrim yuga sahasra antAm te ahorAtra vidaH janAH // Bndu _3,1.127 //
   naimittikaḥ prākṛtiko yaścaivātyantikor'thataḥ /	nEmittikaH prAkRtikaH yaH ca eva Atyantikor aTatas /
   trividhiḥ sarvabhūtānāmityeṣa pratisaṃcaraḥ // BndP_3,1.128 //	triviDiH sarva BUtAnAm iti eza pratisaMcaraH // Bndu _3,1.128 //
   brāhmo naimittikastasya kalpadāhaḥ prasaṃyamaḥ /	brAhmaH nEmittikaH tasya kalpa dAhaH prasaMyamaH /
   pratisarge tu bhūtānāṃ prākṛtaḥ karaṇakṣayaḥ // BndP_3,1.129 //	pratisarge tu BUtAnAm prAkRtaH karaNa kzayaH // Bndu _3,1.129 //
   jñānāccātyantikaḥ proktaḥ kāraṇānāmasaṃbhavaḥ /	jQAnAt ca AtyantikaH proktaH kAraNAnAm asaMBavaH /
   tataḥ saṃhṛtya tānbrahmā devāṃstrailokyavāsinaḥ // BndP_3,1.130 //	tatas saMhRtya tAn brahmA devAn= trElokya vAsinaH // Bndu _3,1.130 //
   praharati prakurute sargasya pralayaṃ punaḥ /	praharati prakurute sargasya pralayam punar /
   suṣupsurbhagavānbrahmā prajāḥ saṃharate tadā // BndP_3,1.131 //	suzupsuH BagavAn brahmA prajAH saMharate tadA // Bndu _3,1.131 //
   tato yugasahasrānte saṃprāpte ca yugakṣaye /	tatas yuga sahasra ante saMprApte ca yuga kzaye /
   tatrātmasthāḥ prajāḥ kartuṃ prapede sa prajāpatiḥ // BndP_3,1.132 //	tatra Atma sTAH prajAH kartum prapede sa prajApatiH // Bndu _3,1.132 //
   tadā bhavatyanāvṛṣṭiḥ saṃtatā śatavārṣikī /	tadA Bavati anAvRzwiH saMtatA Sata vArzikI /
   tayā yānyalpasārāṇi sattvāni vṛthivītale // BndP_3,1.133 //	tayA yAni alpa sArANi sattvAni vRTivI tale // Bndu _3,1.133 //
   tānyevātra pralīyante bhūmitvamupayānti ca /	tAni eva atra pralIyante BUmi tvam upayAnti ca /
   saptaraśmiratho bhūtvā udattiṣṭhadvibhāvasuḥ // BndP_3,1.134 //	sapta raSmi raTo BUtvA udat tizWat viBAvasuH // Bndu _3,1.134 //
   asahyaraśmirbhagavānpibatyaṃbho ganastibhiḥ /	asahya raSmiH BagavAn pibati aMBaH ganastiBiH /
   harītāraśmayastasyadīpyamānāstu saptatiḥ // BndP_3,1.135 //	harItA raSmayaH tasya dIpyamAnAH tu saptatiH // Bndu _3,1.135 //
   bhūya eva vivarttante vyāpnuvantoṃbaraṃ śanaiḥ /	BUyas eva vivarttante vyApnuvantoMbaram SanEs /
   bhaumaṃ kāṣṭhendhanaṃ tejo bhṛśamadbhistu dīpyate // BndP_3,1.136 //	BOmam kAzWa inDanam tejaH BRSam adBiH tu dIpyate // Bndu _3,1.136 //
   tasmādudakabhṛtsūryastapatīti hi kathyate /	tasmAt udaka BRt sUryaH tapati iti hi kaTyate /
   nāvṛṣṭyā tapate sūryyo nāvṛṣṭyā pariṣicyate // BndP_3,1.137 //	na AvRzwyA tapate sUryyaH na AvRzwyA parizicyate // Bndu _3,1.137 //
   nāvṛṣṭyā pariviśyeta vāriṇā dīpyate raviḥ /	na avRzwyA pariviSyeta vAriNA dIpyate raviH /
   tasmādapaḥ pibanyo vai dīpyate raviraṃbare // BndP_3,1.138 //	tasmAt apaH pibanyaH vE dIpyate ravi H aMbare // Bndu _3,1.138 //
   tasya te raśmayaḥ sapta pibantyaṃbho mahārṇavāt /	tasya te raSmayaH sapta pibanti aMBaH mahA arNavAt /
   tenāhāreṇa saṃdīptāḥ sūryāḥ sapta bhavantyuta // BndP_3,1.139 //	tena AhAreNa saMdIptAH sUryAH sapta Bavanti uta // Bndu _3,1.139 //
   tataste raśmayaḥ sapta sūryabhūtāścaturddiśam /	tatas te raSmayaH sapta sUrya BUtAH caturddiSam /
   caturlokamimaṃ sarvaṃ dahanti śikhinastadā // BndP_3,1.140 //	catur lokam imam sarvam dahanti SiKinaH tadA // Bndu _3,1.140 //
   prāpnuvanti ca tābhistu hyūrddhvaṃ cādhaśca raśmibhiḥ /	prApnuvanti ca tABiH tu hi UrdDvam ca aDas ca raSmiBiH /
   dīpyante bhāskarāḥ sapta yugāntāgnipratāpinaḥ // BndP_3,1.141 //	dIpyante BAskarAH sapta yugAnta agni pratApinaH // Bndu _3,1.141 //
   te vāriṇā pradīptāśca bahusāhasraraśmayaḥ /	te vAriNA pradIptAH ca bahu sAhasra raSmayaH /
   svaṃ samāvṛtya tiṣṭhanti nirdahanto vasuṃdharām // BndP_3,1.142 //	svam samAvRtya tizWanti nirdahantaH vasuMDarAm // Bndu _3,1.142 //
   tatasteṣāṃ pratāpena dahyamānā vasuṃdharā /	tatas tezAm pratApena dahyamAnA vasuMDarA /
   sādrinadyarṇavā pṛthvī nisnehā samapadyata // BndP_3,1.143 //	sa adri nadI arNavA pRTvI nisnehA samapadyata // Bndu _3,1.143 //
   dīptābhiḥ saṃtatābhiśca citrābhiśca samantataḥ /	dIptABiH saMtatABiH ca citrABiH ca samantataH /
   adhaścordhvaṃ ca tiryak ca saṃrūddhā sūryaraśmibhiḥ // BndP_3,1.144 //	aDas ca UrDvam ca tiryak ca saMrUdDA sUrya raSmiBiH // Bndu _3,1.144 //
   sūryāgnīnāṃ pravṛddhānāṃ saṃsṛṣṭānāṃ parasparam /	sUrya agnInAm pravRdDAnAm saMsRzwAnAm parasparam /
   ekatvamupayātānāmekajvālā bhavatyuta // BndP_3,1.145 //	eka tvam upayAtAnAm eka jvAlA Bavati uta // Bndu _3,1.145 //
   sarvalokapraṇāśaśca so 'gnirbhūtvānumaṇḍalī /	sarva loka praNASaH ca saH agniH BUtvA anumaNxalI /
   caturlokamidaṃ sarvaṃ nirdahatyāśu tejasā // BndP_3,1.146 //	catur lokam idam sarvam nirdahati ASu tejasA // Bndu _3,1.146 //
   tataḥ pralīne sarvasmiñjaṅgame sthāvare tathā /	tatas pralIne sarvasmin jaFgame sTAvare taTA /
   nirvṛkṣā nistṛṇā bhūmiḥ kūrmapṛṣṭhasamā bhavet // BndP_3,1.147 //	nirvRkzA nistRNA BUmiH kUrma pRzWa samA Bavet // Bndu _3,1.147 //
   aṃbarīṣamivābhāti sarvamapyakhilaṃ jagat /	aMbarIzam iva ABAti sarvam api aKilam jagat /
   sarvameva tadarcirbhiḥ pūrṇaṃ jājvalyate ghanaḥ // BndP_3,1.148 //	sarvam eva tad arcirBiH pUrNam jAjvalyate GanaH // Bndu _3,1.148 //
   bhūtale yāni sattvāni mahodadhigatāni ca /	BU tale yAni sattvAni mahA udaDi gatAni ca /
   tatastāni pralīyante bhūmitvamupayānti ca // BndP_3,1.149 //	tatas tAni pralIyante BUmi tvam upayAnti ca // Bndu _3,1.149 //
   dvīpāśca parvatāścaiva varṣāṇyatha mahodadhiḥ /	dvIpAH ca parvatAH ca eva varzANi aTa mahA udaDiH /
   sarvaṃ tadbhasmasāccakre sarvātmā pāvakastu saḥ // BndP_3,1.150 //	sarvam tad BasmasAt cakre sarva AtmA pAvakaH tu saH // Bndu _3,1.150 //
   samudrebhyo nadībhyaśca pātālebhyaśca sarvaśaḥ /	samudreByaH nadIByaH ca pAtAleByaH ca sarvaSas /
   pibatyapaḥ samiddho 'gniḥ pṛthivīmāśrito jvalan // BndP_3,1.151 //	pibati apaH samidDaH agniH pRTivIm ASritaH jvalan // Bndu _3,1.151 //
   tataḥ saṃvarddhitaḥ śailānati kramya grahāṃstathā /	tatas saMvardDitaH SElAnati kramya grahAn= taTA /
   lokānsaṃharate dīpto ghoraḥ saṃvarttako 'nalaḥ // BndP_3,1.152 //	lokAn saMharate dIptaH GoraH saMvarttakaH analaH // Bndu _3,1.152 //
   tataḥ sa pṛthivīṃ bhittvā rasātalamaśoṣyat /	tatas sa pRTivIm BittvA rasAtalam aSozyat /
   nirdahyānte tu pātālaṃ vāyulokamathādahat // BndP_3,1.153 //	nirdahya ante tu pAtAlam vAyu lokam aTa adahat // Bndu _3,1.153 //
   adhastātpṛthivīṃ dagdhvā tūrddhvaṃ sa dahato divam /	aDastAt pRTivIm dagDvA tu UrdDvam sa dahataH divam /
   yojanānāṃ sahasrāṇi prayutānyarbudāni ca // BndP_3,1.154 //	yojanAnAm sahasrANi prayutAni arbudAni ca // Bndu _3,1.154 //
   udatiṣṭhañśikhāstasya bahvyaḥ saṃvarttakasya tu /	udatizWan SiKAH tasya bahvyaH saMvarttakasya tu /
   gandharvāṃśca piśācāṃśca samahoragarākṣasān // BndP_3,1.155 //	ganDarvAn= ca piSAcAn= ca sa mahoraga rAkzasAn // Bndu _3,1.155 //
   tadā dahati saṃdīpto golakaṃ caiva sarvaśaḥ /	tadA dahati saMdIptaH golakam ca eva sarvaSas /
   bhūrlokaṃ ca bhuvarllokaṃ svarlokaṃ ca mahastathā // BndP_3,1.156 //	BUrlokam ca Buvarllokam svar lokam ca mahaH taTA // Bndu _3,1.156 //
   ghoro dahati kālāgnirevaṃ lokacatuṣṭayam /	GoraH dahati kAlAgniH evam loka catuzwayam /
   vyāpteṣu teṣu lokeṣu tiryagūrddhvamathāgninā // BndP_3,1.157 //	vyAptezu tezu lokezu tiryak UrdDvam aTa agninA // Bndu _3,1.157 //
   tattejaḥ samanuprāpya kṛtsnaṃ jagadidaṃ śanaiḥ /	tad tejaH samanuprApya kRtsnam jagat idam SanEs /
   ayoguḍanibhaṃ sarvaṃ tadā hyevaṃ prakāśate // BndP_3,1.158 //	ayaH guxa niBam sarvam tadA hi evam prakASate // Bndu _3,1.158 //
   tato gajakulākārāstaḍidbhiḥ samalaṅkṛtāḥ /	tatas gaja kula AkArAH taxidBiH samalaFkRtAH /
   uttiṣṭhanti tadā ghorā vyomni saṃvartakā ghanāḥ // BndP_3,1.159 //	uttizWanti tadA GorAH vyomni saMvartakAH GanAH // Bndu _3,1.159 //
   kecinnīlotpalaśyāmāḥ kecitkumudasannibhāḥ /	kecid nIlotpala SyAmAH kecid kumuda sanniBAH /
   kecidvaiḍūryasaṃkāśā indranīlanibhāḥ pare // BndP_3,1.160 //	kecid vExUrya saMkASAH indranIla niBAH pare // Bndu _3,1.160 //
   śaṅkhakundanibhāścānye jātyañjananibhāstathā /	SaFKa kunda niBAH ca anye jAti aQjana niBAH taTA /
   dhūmravarṇā ghanāḥ kecitkecitpītāḥpayodharāḥ // BndP_3,1.161 //	DUmra varNAH GanAH kecid kecid pItAH payoDarAH // Bndu _3,1.161 //
   kecidrāsabhavarṇābhā lākṣārasanibhāstathā /	kecid rAsaBa varNa ABAH lAkzA rasa niBAH taTA /
   manaśilābhāstvapare kapotābhāstathāṃbudāḥ // BndP_3,1.162 //	manaSilA ABAH tu apare kapota ABAH taTA aMbudAH // Bndu _3,1.162 //
   indragopanibhāḥ keciddharitālanibhāstathā /	indragopa niBAH kecid haritAla niBAH taTA /
   cāṣapatranibhāḥ keciduttiṣṭhanti ghanā divi // BndP_3,1.163 //	cAza patra niBAH kecid uttizWanti GanAH divi // Bndu _3,1.163 //
   kecitpuravarākārāḥ kecidgajakulopamāḥ /	kecid pura vara AkArAH kecid gaja kula upamAH /
   kecitparvatasaṃkāśāḥ kecitsthalanibhā ghanāḥ // BndP_3,1.164 //	kecid parvata saMkASAH kecid sTala niBAH GanAH // Bndu _3,1.164 //
   krīḍāgāranibhāḥ kecitkecinmīnakulopamāḥ /	krIxA AgAra niBAH kecid kecid mIna kula upamAH /
   bahurūpā ghorarūpā ghorasvaraninādinaḥ // BndP_3,1.165 //	bahu rUpAH Gora rUpAH Gora svara ninAdinaH // Bndu _3,1.165 //
   tadā jaladharāḥ sarve pūrayanti nabhastalam /	tadA jalaDarAH sarve pUrayanti naBastalam /
   tataste jaladā ghorarāviṇo bhāskarātmakāḥ // BndP_3,1.166 //	tatas te jaladAH Gora rAviNaH BAskara AtmakAH // Bndu _3,1.166 //
   saptadhā saṃvṛtātmānastamagniṃ śamayantyuta /	saptaDA saMvRta AtmAnaH tam agnim Samayanti uta /
   tataste jaladā varṣaṃ muñcanti ca mahaughavat // BndP_3,1.167 //	tatas te jaladAH varzam muQcanti ca mahA oGa vat // Bndu _3,1.167 //
   sughoramaśivaṃ sarvaṃ nāśayanti ca pāvakam /	su Goram aSivam sarvam nASayanti ca pAvakam /
   pravṛṣṭaiśca tathātyarthaṃ vāriṇā pūryate jagat // BndP_3,1.168 //	pravRzwEH ca taTA atyarTam vAriNA pUryate jagat // Bndu _3,1.168 //
   adbhistejobhibhūtaṃ ca tadāgniḥ praviśatyapaḥ /	adBiH tejaH BiBUtam ca tadA agniH praviSati apaH /
   naṣṭe cāgnau varṣagate payodāḥ pāvakodbhavāḥ // BndP_3,1.169 //	nazwe ca agnO varza gate payodAH pAvaka udBavAH // Bndu _3,1.169 //
   plāvayanto jagatsarvaṃ bṛhajjalaparisravaiḥ /	plAvayantaH jagat sarvam bRhat jala parisravEH /
   dhārābhiḥ pūrayantīmaṃ codyamānāḥ svayaṃbhuvā // BndP_3,1.170 //	DArABiH pUrayanti imam codyamAnAH svayaMBuvA // Bndu _3,1.170 //
   anye tu salilaughaistu velāmabhibhavantyapi /	anye tu salila oGEH tu velAm aBiBavanti api /
   sādridvīpāntaraṃ pītaṃ jalamanneṣu tiṣṭhati // BndP_3,1.171 //	sa adri dvIpa antaram pItam jalam annezu tizWati // Bndu _3,1.171 //
   punaḥ patati bhūmau tatpayodhastānnabhastale /	punar patati BUmO tat payoDaH tAn naBastale /
   saṃveṣṭayati ghorātmā divi vāyuḥ samatataḥ // BndP_3,1.172 //	saMvezwayati Gora AtmA divi vAyuH samatataH // Bndu _3,1.172 //
   tasminnekārmave ghore naṣṭe sthāvārajaṅgame /	tasmin= ekArmave Gore nazwe sTAvAra jaFgame /
   pūrme yugasahasre vai niḥśeṣaḥ kalpa ucyate // BndP_3,1.173 //	pUrme yuga sahasre vE niHSezaH kalpaH ucyate // Bndu _3,1.173 //
   athāṃbhasa''vṛte loke prāhurekārmavaṃ budhāḥ /	aTa aMBasa aavRte loke prAhuH ekArmavam buDAH /
   atha bhūmirjalaṃ khaṃ ca vāyuścaikārmave tadā // BndP_3,1.174 //	aTa BUmiH jalam Kam ca vAyuH ca ekArmave tadA // Bndu _3,1.174 //
   naṣṭe 'nale 'ndhabhūte tu prājñāyata na kiñcana /	nazwe anale anDa BUte tu prAjQAyata na kiQcana /
   pārthivāstvatha sāmudrā āpo daivyāśca sarvaśaḥ // BndP_3,1.175 //	pArTivAH tu aTa sAmudrAH ApaH dEvyAH ca sarvaSas // Bndu _3,1.175 //
   asarantyo vrajantyaikyaṃ salilākhyāṃ bhajantyuta /	asarantyaH vrajanti Ekyam salila AKyAm Bajanti uta /
   āgatāgatike caiva tadā tatsalilaṃ smṛtam // BndP_3,1.176 //	Agata Agatike ca eva tadA tat salilam smRtam // Bndu _3,1.176 //
   pracchādyati mahīmetāmarṇavākhyaṃ tu tajjalam /	pracCAdyati mahIm etAm arNava AKyam tu tat jalam /
   ābhāti yasmāttadbhābhirbhāśabdo vyāptidīptiṣu // BndP_3,1.177 //	ABAti yasmAt tat BABiH BA SabdaH vyApti dIptizu // Bndu _3,1.177 //
   bhasma sarvamanuprāpya tasmādaṃbho nirucyate /	Basma sarvam anuprApya tasmAt aMBaH nirucyate /
   nānātve caiva śīghre ca dhāturvai ara ucyate // BndP_3,1.178 //	nAnAtve ca eva SIGre ca DAtuH vE araH ucyate // Bndu _3,1.178 //
