   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   candramaṇḍale cediṣṭādikāriṇāmupabhogo na syātkimarthamadhikāriṇa	candra maNxale ced izwa Adi kAriNAm upaBogaH na syAt kim arTam aDikAriNa
   iṣṭādyāyāsabahulaṃ karma kuryuḥ /	izwa Adi AyAsa bahulam karma kuryuH /
   annaśabdaścopabhogahetutvasāmānyādanne 'pyupacaryamāṇo dṛśyate /	anna SabdaH ca upaBoga hetu tva sAmAnyAt anne api upacaryamANaH dRSyate /
   yathā viśo 'nnaṃ rājñāṃ paśavo 'nnaṃ viśāmiti /	yaTA viSaH annam rAjQAm paSavaH annam viSAm iti /
   tasmādiṣṭastrīputramitrabhṛtyādibhiriva	tasmAt izwa strI putra mitra BRtya AdiBiH iva
   guṇabhāvopagatairiṣṭādikāribhiryatsukhaviharaṇaṃ devānāṃ tadaiveṣāṃ	guNa BAva upagatEH izwa Adi kAriBiH yat suKa viharaNam devAnAm tadA eva izAm
   bhakṣaṇamabhipretaṃ na modakādivaccarvaṇaṃ nigaraṇaṃ vā /	BakzaNam aBipretam na modaka Adi vat carvaNam nigaraNam vA /
   'na ha vai devā aśnanti na pibantyetadevāmṛtaṃ dṛṣṭvā tṛpyanti' (chā.	anaH ha vE devAH aSnanti na pibanti etat eva amRtam dRzwvA tRpyanti a (CA.
   3.6.1) iti ca devānāṃ carvaṇādivyāpāraṃ vārayati /	3.6.1) iti ca devAnAm carvaNa Adi vyApAram vArayati /
   teṣāṃ ceṣṭādikāriṇāṃ devānprati guṇabhāvopagatānāmapyupabhoga upapadyate	tezAm cezwA Adi kAriNAm devAn prati guNa BAva upagatAnAm api upaBogaH upapadyate
   rājopajīvināmiva parijanānām /	rAja upajIvinAm iva parijanAnAm /
   anātmavittvācceṣṭādikāriṇāṃ devopabhogyabhāva upapadyate /	anAtma vid tvAt cezwA Adi kAriNAm deva upaBogya BAvaH upapadyate /
   tathāhi śrutiranātmavidāṃ devopabhogyatāṃ darśayati  'atha yo 'nyāṃ	taTA hi SrutiH anAtma vidAm deva upaBogya tAm darSayati aaTa yaH anyAm
   devatāmupāste 'nyo 'sāvanyo 'hamasmīti na sa veda yathā paśurevaṃ sa	devatAm upAste anyaH asO= anyaH aham asmi iti na sa veda yaTA paSuH evam sa
   devānām' (bṛ. 1.4.10) iti /	devAnAm a (bR. 1.4.10) iti /
   sa cāsminnapi loka iṣṭādibhiḥ karmabhiḥ prīmanpaśuvaddevānāmupakarotīti	sa ca asmin= api lokaH izwa AdiBiH karmaBiH prIman paSu vat devAnAm upakaroti iti
   loke tadupajīvī tadādiṣṭaṃ phalamupabhuñjānaḥ paśuvaddevānāmupakarotīti	loke tad upajIvI tat Adizwam Palam upaBuQjAnaH paSu vat devAnAm upakaroti iti
   gamyate //	gamyate //
   anātmavittvāttathāhi darśayatītyasyāparā vyākhyā  anātmavido hyete	anAtma vid tvAt taTA hi darSayati iti asya aparA vyAKyA anAtma vidaH hi ete
   kevalakarmiṇaiṣṭādikāriṇo na jñānakarmasamuccayānuṣṭhāyinaḥ /	kevala karmiNA Ezwa Adi kAriNaH na jQAna karma samuccaya anuzWAyinaH /
   pañcāgnividyāmihātmavidyetyupacaranti prakaraṇāt /	paQca agni vidyAm iha Atma vidyA iti upacaranti prakaraNAt /
   pañcāgnivijñānavihīnatvāccedamiṣṭādikāriṇāṃ guṇavādenānnatvamudbhāvyate	paQca agni vijQAna vihIna tvAt ca idam izwa Adi kAriNAm guNavAdena anna tvam udBAvyate
   pañcāgnivijñānapraśaṃsāyai /	paQca agni vijQAna praSaMsAyE /
   pañcāgnividyā hīha vidhitsitā /	paQca agni vidyA hi iha viDitsitAH /
   vākyatātparyāvagamāt /	vAkyatAtparya avagamAt /
   tathāhi śrutyantaraṃ candramaṇḍale bhogasadbhāvaṃ darśayati  'sa somaloke	taTA hi Sruti antaram candra maNxale Boga sadBAvam darSayati asa soma loke
   vibhūtimanubhūya punarāvartate' (pra. 5.4) iti /	viBUtim anuBUya punar Avartate a (pra. 5.4) iti /
   tathānyadapi śrutyantaram 'atha ye śataṃ pitṛṇāṃ jitalolokānāmānandāḥ sa	taTA anyat api Sruti antaram aaTa ye Satam pitRNAm jita lolokAnAm AnandAH sa
   ekaḥ karmadevanāmānando ye karmaṇā devatvamabhisaṃpadyate' (bṛ. 4.3.33)	ekaH karma deva nAmAnandaH ye karmaNA deva tvam aBisaMpadyate a (bR. 4.3.33)
   itīṣṭādikāriṇāṃ devaiḥ saṃvasatāṃ bhogaprāptiṃ darśayati /	iti izwa Adi kAriNAm devEH saMvasatAm Boga prAptim darSayati /
   evaṃ bhāktatvādannabhāvavacanasyeṣṭādikāriṇo 'tra jīvāraṃhantīti pratīyate	evam BAkta tvAt anna BAva vacanasya izwa Adi kAriNaH atra jIvAH raMhanti iti pratIyate
   tasmādraṃhati saṃpariṣvakta iti yuktamevoktam // 7 //	tasmAt raMhati saMparizvaktaH iti yuktam eva uktam // 7 //
   FN: adhikriyate puruṣo vidhinā saṃbadhyate 'nenetyadhikāraḥ phalakāmanā /	FN: aDikriyate puruzaH viDinA saMbaDyate anena iti aDikAraH Pala kAmanA /
   yathā paśurbhogya evamajñaḥ na bhedadhīmāndevānāṃ bhogya ityarthaḥ /	yaTA paSuH BogyaH evam ajQaH na Beda DImAn devAnAm BogyaH iti arTaH /
   2 kṛtātyayādhikaraṇam / sū. 8 11	2 kRta atyaya aDikaraNam / sU. 8 11
   kṛtātyaye 'nuśayavān dṛṣṭasmṛtibhyāṃ yathetamanevaṃ ca | BBs_3,1.8 |	kRta atyaye anuSayavAn dRzwa smRtiByAm yaTetam anevam ca | BBH _3,1.8 |
   iṣṭādikāriṇāṃ dhūmādinā vartmanā candramaṇḍalamadhirūḍhānāṃ bhuktabhogānāṃ	izwa Adi kAriNAm DUma AdinA vartmanA candra maNxalam aDirUXAnAm Bukta BogAnAm
   tataḥ pratyavaroha āmnāyate  'tasminyāvatsaṃpātamuṣitvāthaitamevādhvāṃ	tatas pratyavarohaH AmnAyate atasmin yAvat saMpAta muzi tvA aTa etam eva aDvAm
   punarnivartante tathetam' (chā. 5.10.5) ityārabhya yāvadramaṇīyacaraṇā	punar nivartante taTA itam a (CA. 5.10.5) iti AraBya yAvat ramaNIya caraNA
   brāhmaṇādiyonimāpadyante kapūyacaraṇāḥ śvādiyonimiti /	brAhmaNa Adi yonim Apadyante kapUya caraNAH Sva Adi yonim iti /
   tatredaṃ vicāryate  kiṃ niranuśayā bhuktakṛtsnakarmāṇo	tatra idam vicAryate kim niranuSayA Bukta kRtsna karmANaH 
   'varohantyāhosvitsānuśayā iti /	avarohanti Ahosvit sAnuSayAH iti /
   kiṃ tāvatprāptam /	kim tAvat prAptam /
   niranuśayā iti /	niranuSayAH iti /
   kutaḥ   yāvatsaṃpātamiti viśeṣaṇāt /	kutas  yAvat saMpAtam iti viSezaNAt /
   saṃpātaśabdenātra karmāśaya ucyate  saṃpatantyanenāsmāllokādamuṃ lokaṃ	saMpAta Sabdena atra karma ASayaH ucyate saMpatanti anena asmAt lokAt amum lokam
   phalopabhogāyeti /	Pala upaBogAya iti /
   yāvatsaṃpātamuṣitveti ca kṛtsnasya tasya kṛtasya tatraiva bhuktatāṃ	yAvat saMpAtam uzitvA iti ca kRtsnasya tasya kRtasya tatra eva Bukta tAm
   darśayati /	darSayati /
   teṣāṃ yadā tatparyaveti' (bṛ. 6.2.16) iti ca śrutyantareṇaiva evārthaḥ	tezAm yadA tad paryaveti a (bR. 6.2.16) iti ca Sruti antareNa eva eva arTaH
   pradarśyate /	pradarSyate /
   syādetat /	syAt etat /
   yāvadamuṣmiṃlloka upabhoktavyaṃ karma tāvadupabhuṅ kta iti kalpayiṣyāmīti	yAvat amuzmin= loke upaBoktavyam karma tAvat upaBuF ktaH iti kalpayizyAmi iti
   naivaṃ kalpayituṃ śakyate yatkiñcetyanyatra parāmarśāt /	na evam kalpayitum Sakyate yat kiQcA iti anyatra parAmarSAt /
   prāpyantaṃ karmaṇastasya yatkiñceha karotyayam /	prApyantam karmaNaH tasya yat kiQca iha karoti ayam /
   tasmāllokātpunaraityasmai lokāya karmaṇe (bṛ. 4.4.6) iti hyaparā	tasmAt lokAt punar Eti asmE lokAya karmaNe (bR. 4.4.6) iti hi aparA
   śrutiryatkiñcetyaviśeṣaparāmarśena kṛtsnasyeha kṛtasya karmaṇastatra	SrutiH yat kiQca iti aviSeza parAmarSena kRtsnasya iha kRtasya karmaNaH tatra
   kṣayitāṃ darśayati /	kzayitAm darSayati /
   apica prāyaṇamanārabdhaphalasya karmaṇo 'bhivyañjakam /	api ca prAyaNam anArabDa Palasya karmaNaH aBivyaQjakam /
   prākprāyaṇādārabdhaphalena karmaṇā pratibaddhasyābhivyaktyanupapatteḥ /	prAc prAyaNAt ArabDa Palena karmaNA pratibadDasya aBivyakti anupapatteH /
   taccāviśeṣādyāvatkiñcidanārabdhaphalaṃ tasya sarvasyābhivyañjakam /	tat ca aviSezAt yAvat kiQcid ana ArabDa Palam tasya sarvasya aBivyaQjakam /
   nahi sādhāraṇe nimitte naimittikamasādhāraṇaṃ bhavitumarhati /	na hi sADAraNe nimitte nEmittikam asADAraNam Bavitum arhati /
   na hyaviśiṣṭe pradīpasaṃnidhau dhaṭo 'bhivyajyate na paṭa ityupapadyate /	na hi aviSizwe pradIpa saMniDO DawaH aBivyajyate na pawaH iti upapadyate /
   tasmānniranuśayā avarohantītyevaṃ prāpte brūmaḥ kṛtātyaye 'nuśayavāniti /	tasmAt niranuSayA avarohanti iti evam prApte brUmaH kRta atyaye anuSayavAn iti /
   yena karmavṛndena candramasamārūḍhāḥ phalopabhogāya tasminnupabhogena	yena karma vRndena candramasam ArUXAH Pala upaBogAya tasmin= upaBogena
   kṣīyate teṣāṃ yadaṃmayaṃ śarīraṃ candramasyupabhogāyārabdhaṃ	kzIyate tezAm yat aMmayam SarIram candramasi upaBogAya ArabDam
   tadupabhogakṣayadarśanaśokāgnisaṃparkādiva ca ghṛtakāṭhinyam /	tad upaBoga kzaya darSana Soka agni saMparkAt iva ca GRta kAWinyam /
   tataḥ kṛtātyaye kṛtasyeṣṭādeḥ karmaṇaḥ phalopabhogenopakṣaye sati sānuśayā	tatas kRta atyaye kRtasya izwA AdeH karmaNaH Pala upaBogena upakzaye sati sa anuSayA
   evemamavarohanti /	eva imam avarohanti /
   kena hetunā /	kena hetunA /
   dṛṣṭasmṛtibhyāmityāha /	dRzwa smRtiByAm iti Aha /
   tathāhi pratyakṣā śrutiḥ sānuśayānāmavarohaṃ darśayati  'tadya iha	taTA hi pratyakzA SrutiH sa anuSayAnAm avaroham darSayati atadyaH iha
   ramaṇīyacaraṇā abhyāśo ha yatte ramaṇīyāṃ yonimāpadyeranbrāhmaṇayoniṃ vā	ramaNIya caraNAH aByASaH ha yat te ramaNIyAm yonim Apadyeran brAhmaNa yonim vA
   kṣatriyayoniṃ vā vaiśyayoniṃ vātha yaiha ka pūyacaraṇāṃ abhyāśo ha yatte	kzatriya yonim vA vESya yonim vA aTa yA eha kaH pUya caraNAm aByASaH ha yat te
   kapūyāṃ yonimāpadyerañśvayoniṃ vā sūkarayoniṃ vā caṇḍālayoniṃ vā' (chā.	kapUyAm yonim Apadyeran Svayonim vA sUkara yonim vA caNxAla yonim vA a (CA.
   5.10.7) iti /	5.10.7) iti /
   caraṇaśabdenānuśayaḥ sūcyata iti varṇayiṣyati /	caraNa Sabdena anuSayaH sUcyate iti varNayizyati /
   dṛṣṭaścāyaṃ janmanaiva pratipaṇyuccāvacarūpa upabhogaḥ pravibhajyamāna /	dRzwaH ca ayam janmanA eva pratipaNyut cAvaca rUpaH upaBogaH praviBajyamAnaH /
   ākasmikatvāsaṃbhavādanuśayasadbhāvaṃ sūcayati, abhyudayapratyavāyayoḥ	Akasmika tva asaMBavAt anuSaya sadBAvam sUcayati, aByudaya pratyavAyayoH
   sukṛtaduṣkṛtahetutvasya sāmānyataḥ śāstreṇāvagamitvāt /	sukRta duzkRta hetu tvasya sAmAnyatas SAstreNa avagami tvAt /
   smṛtirapi 'varṇā āśramāśca svakarmaniṣṭhāḥ pretya karmaphalamanubhūya	smRtiH api avarNAH ASramAH ca sva karma nizWAH pretya karma Palam anuBUya
   tataḥ śeṣeṇa viśiṣṭadeśajātikularūpāyuḥśrutavṛttasukhamedhaso janma	tatas SezeNa viSizwa deSa jAti kula rUpa AyuH Sruta vRtta suKa meDasaH janma
   pratipadyante' iti sānuśayānāmevāvarohaṃ darśayati   kaḥ punaranuśayo	pratipadyante a iti sa anuSayAnAm eva avaroham darSayati  kaH punar anuSayaH 
   nāmeti /	nAma iti /
   kecittāvadāhuḥ   svargārthasya karmaṇo bhuktaphalasyāvaśeṣaḥ kaścidanuśayo	kecid tAvat AhuH  svarga arTasya karmaNaH Bukta Palasya avaSezaH kaScid anuSayaH 
   nāma bhāṇḍānusārisnehavat /	nAma BANxa anusAri sneha vat /
   yathāhi snehabhāṇḍaṃ ricyamānaṃ na sarvātmanā ricyate bhāṇḍānusāryeva	yaTA hi sneha BANxam ricyamAnam na sarva AtmanA ricyate BANxa anusAri eva
   kaścitsnehaśeṣo 'vatiṣṭhate tathānuśayo 'pīti /	kaScid sneha SezaH avatizWate taTA anuSayaH api iti /
   nanu kāryavirodhitvādadṛṣṭasya na bhuktaphalasyāvaśeṣāvasthānaṃ nyāyyam /	nanu kArya viroDi tvAt adRzwasya na Bukta Palasya avaSeza avasTAnam nyAyyam /
   nāyaṃ doṣaḥ /	na ayam dozaH /
   nahi sarvātmanā bhuktaphalatvaṃ karmaṇaḥ pratijānīmahe /	na hi sarva AtmanA Bukta Pala tvam karmaNaH pratijAnImahe /
   nanu niravaśeṣakarmaphalopabhogāya candramaṇḍalamārūḍhaḥ /	nanu niravaSeza karma Pala upaBogAya candra maNxalam ArUXaH /
   bāḍham /	bAXam /
   tathāpi svalpakarmāvaśeṣamātreṇa tatrāvasthātuṃ na labhyate /	taTA api su alpa karma avaSeza mAtreNa tatra avasTAtum na laByate /
   yathā kila kaścitsevakaḥ sakalaiḥ sevopakaraṇai	yaTA kila kaScid sevakaH sakalEH sevA upakaraNE
   rājakulamupasṛpaścirapravāsātparikṣīṇavahūpakaraṇaśchatrapādukādimātrāvaśeṣo	rAja kulam upasRpaH cira pravAsAt parikzINa vahu upakaraNaH Catra pAdukA Adi mAtra avaSezaH 
   na rājakule 'vasthātuṃ śaknoti /	na rAja kule avasTAtum Saknoti /
   evamanuśayamātraparigraho na candramaṇḍalo 'vasthātuṃ śaknotīti /	evam anuSaya mAtra parigrahaH na candra maNxalaH avasTAtum Saknoti iti /
   nacaitadyuktamiva /	naca etat yuktam iva /
   nahi svargasthasya karmaṇo bhuktaphalasyāvaśeṣānuvṛttirupapadyate	na hi svarga sTasya karmaNaH Bukta Palasya avaSeza anuvRttiH upapadyate
   kāryavirodhitvādityuktam /	kArya viroDi tvAt iti uktam /
   nanvetadayuktam /	nanu etat ayuktam /
   na svargaphalasya karmaṇo nikhilasya bhuktaphalatvaṃ bhaviṣyatīti /	na svarga Palasya karmaNaH niKilasya Bukta Pala tvam Bavizyati iti /
   tadetadapeśalam /	tat etat apeSalam /
   svargārthaṃ kila karma svargasthasyaiva svargaphalaṃ nikhilaṃ na janayati	svarga arTam kila karma svarga sTasya eva svarga Palam niKilam na janayati
   svagracyutasyāpi kañcitphalaleśaṃ janayatīti /	su agracyutasya api kaQcitPala leSam janayati iti /
   na śabdapramāṇakāmānīdṛśī kalpanāvakalpate /	na Sabda pramANa kAmAn i IdRSI kalpanA avakalpate /
   snehabhāṇḍe tu snehaleśānuvṛttirdṛṣṭatvādupapadyate /	sneha BANxe tu sneha leSa anuvRttiH dRzwa tvAt upapadyate /
   tathā sevakasyopakaraṇaleśānuvṛttiśca dṛśyate /	taTA sevakasya upakaraNa leSa anuvRttiH ca dRSyate /
   natviha tathā svargaphalasya karmaṇo leśānuvṛttirdṛśyate nāpi kalpayituṃ	natu iha taTA svarga Palasya karmaNaH leSa anuvRttiH dRSyate na api kalpayitum
   śakyate svargaphalatvaśāstravirodhāt /	Sakyate svarga Pala tva SAstra viroDAt /
   avaśyaṃ caitadevaṃ vijñeyam /	avaSyam ca etat evam vijQeyam /
   na svargaphalasyeṣṭādeḥ karmaṇo bhāṇḍānusārisnehavadekadeśo 'nuvartamāno	na svarga Palasya izwA AdeH karmaNaH BANxa anusAri sneha vat eka deSaH anuvartamAnaH 
   'nuśaya iti /	anuSayaH iti /
   yadihi yena sukṛtena karmaṇeṣṭādinā svargamanvabhūvaṃstasyaiva	yadihi yena sukRtena karmaNA izwa AdinA svargam anu aBUvan= tasya eva
   kaścidekadeśo 'nuśayaḥ kalpyeta tato ramaṇīya evaiko 'nuśayaḥ syānna	kaScid eka deSaH anuSayaH kalpyeta tatas ramaNIyaH eva ekaH anuSayaH syAt na
   viparītaḥ /	viparItaH /
   tatreyamanuśayavibhāgaśrutiruparudhyeta  'tadya iha ramaṇīyacaraṇā, atha	tatra iyam anuSaya viBAga SrutiH uparuDyeta atadyaH iha ramaNIya caraNA, aTa
   kapūyacaraṇāḥ' (chā. 5.10.7) iti /	kapUya caraNAH a (CA. 5.10.7) iti /
   tasmādāmuṣmikaphale karmajāta upabhukte 'vaśiṣṭamaihikaphalaṃ	tasmAt Amuzmika Pale karma jAtaH upaBukte avaSizwa mEhika Palam
   karmāntarajātamanuśayastadvanta'varohantīti /	karma antara jAtam anuSayaH tad vanta avarohanti iti /
   yaduktaṃ yatkiñcetyaviśeṣaparāmarśātsarvasyeha kṛtasya karmaṇaḥ	yat uktam yat kiQca iti aviSeza parAmarSAt sarvasya iha kRtasya karmaNaH
   phalopabhogenāntaṃ prāpya niranuśayā avarohantīti /	Pala upaBogena antam prApya niranuSayAH avarohanti iti /
   naitadevam /	na etat evam /
   anuśayasadbhāvasyāvagamitatvāt /	anuSaya sadBAvasya avagamita tvAt /
   yatkiñcidiha kṛtamāmuṣmikaphalaṃ karmārabdhabhogaṃ tatsarvaṃ	yat kiQcid iha kRta m Amuzmika Palam karma ArabDa Bogam tat sarvam
   phalopabhogena kṣapayitveti gamyate /	Pala upaBogena kzapayitvA iti gamyate /
   yadapyuktaṃ prāyaṇamaviśeṣādanārabdhaphalaṃ kṛtsnameva karmābhivyanakti	yat api uktam prAyaNam aviSezAt anArabDa Palam kRtsnam eva karma aBivyanakti
   tatra kenacitkarmaṇāmuṣmiṃlloke phalamārabhyate kenacidasminnityatvaṃ	tatra kenacid karmaNA amuzmin= loke Palam AraByate kenacid asmin nitya tvam
   pratyuktam /	pratyuktam /
   apicakena hetunā prāyaṇamanārabdhaphalasya karmaṇo 'bhivyañjakaṃ	apicakena hetunA prAyaNam anArabDa Palasya karmaNaH aBivyaQjakam
   pratijñāyata iti vaktavyam /	pratijQAyate iti vaktavyam /
   yathaiva tarhi prākprayāṇādārabdhaphalena karmaṇā pratibaddhasyetarasya	yaTA eva tarhi prAc prayANAt ArabDa Palena karmaNA pratibadDasya itarasya
   vṛttyudbhavānupapattirityevaṃ prāyaṇakāle 'pi viruddhaphalasyānekasya	vRtti udBava anupapattiH iti evam prAyaNa kAle api virudDa Palasya anekasya
   karmaṇo yugapatphalārambhāsaṃbhavādbalavatā pratibaddhasya durbalasya	karmaNaH yugapad Pala AramBa asaMBavAt balavatA pratibadDasya durbalasya
   vṛttyuddhavānupapatitiriti /	vRtti udDavAnupapatitiH iti /
   nahyanārabdhaphalatvasāmānyena jātyantaropabhogyaphalamapyanekaṃ	na hi anArabDa Pala tva sAmAnyena jAti antara upaBogya Palam api anekam
   karmaikasminprāyaṇe yugapadabhivyaktaṃ sadekāṃ jātimārabhata iti śakyaṃ	karma ekasmin prAyaNe yugapad aBi vyaktam sat ekAm jAtim AraBate iti Sakyam
   vaktuṃ, pratiniyataphalatvavirodhāt /	vaktuM, pratiniyata Pala tva viroDAt /
   nāpi kasyacitkarmaṇaḥ prāyaṇe 'bhivyaktiḥ kasyaciduccheda iti śakyate	na api kasyacid karmaNaH prAyaNe aBivyaktiH kasyacid ucCedaH iti Sakyate
   vaktum /	vaktum /
   aikāntikaphalatvavirodhāt /	EkAntika Pala tva viroDAt /
   nahi prāyaścittādibhirhetubhirvinā karmaṇāmucchedaḥ saṃbhāvyate /	na hi prAyaScitta AdiBiH hetuBiH vinA karmaNAm ucCedaH saMBAvyate /
   smṛtirapi viruddhaphalena karmaṇā pratibaddhasya karmāntarasya	smRtiH api virudDa Palena karmaNA pratibadDasya karma antarasya
   ciramavasthānaṃ darśayati  'kadācitsukṛtaṃ karma kūcasthamiha tiṣṭhati //	ciram avasTAnam darSayati akadAcid sukRtam karma kUca sTam iha tizWati //
   majjamānasya saṃsāre yāvadduḥkhādimucyate ityevañjātīyakā /	majjamAnasya saMsAre yAvat duHKa Adim ucyate iti evan jAtIyakAH /
   yadi ca kṛtsnamanārabdhaphalaṃ karmaikasminprāyaṇe 'bhivyaktaṃ sadekāṃ	yadi ca kRtsnam anArabDa Palam karma ekasmin prAyaNe aBivyaktam sat ekAm
   jātimārabheta tataḥ	jAtim AraBeta tatas 
   svarganarakatiryagyoniṣvadhikārānavagamāddharmādharmānutpattau	svarga naraka tiryagyonizu aDikArAn avagamAt Darma aDarma anutpattO
   nimittābhāvānnottarā jātirupapadyeta /	nimitta aBAvAt na uttarA jAtiH upapadyeta /
   brahmahatyādīnāṃ caikaikasya karmaṇo 'nekajanmanimittatvaṃ	brahmahatyA AdInAm ca ekEkasya karmaNaH aneka janma nimitta tvam
   smaryamāṇamuparudhyeta /	smaryamANam uparuDyeta /
   naca dharmādharmayoḥ svarūpaphalasādhanādisamadhigame śāstrādatiriktaṃ	na ca Darma aDarmayoH sva rUpa Pala sADana Adi samaDigame SAstrAt atiriktam
   kāraṇaṃ śakyaṃ saṃbhāvayatum /	kAraNam Sakyam saMBAvayatum /
   naca dṛṣṭaphalasya karmaṇaḥ kārīryādeḥ prāyaṇamabhivyañjakaṃ	na ca dRzwa Palasya karmaNaH kArIryAdeH prAyaNam aBivyaQjakam
   saṃbhavatītyavyāpikāpīyaṃ prāyaṇasyābhivyañjakatvakalpanā /	saMBavati iti avyApikA apIyam prAyaNasya aBivyaQjaka tva kalpanA /
   pradīpopanyāso 'pi karmabalābalapradarśanenaiva pratinītaḥ /	pradIpa upanyAsaH api karma bala abala pradarSanena eva pratinItaH /
   sthūlasūkṣmarūpābhivktyanabhivyaktivaccedaṃ draṣṭavyam /	sTUla sUkzma rUpa aBivkti anaBivyakti vat ca idam drazwavyam /
   yathāhi pradīpaḥ samāne 'pi saṃnidhāne sthūlaṃ rūpamabhivyanakti na	yaTA hi pradIpaH samAne api saMniDAne sTUlam rUpam aBivyanakti na
   sūkṣmam /	sUkzmam /
   evaṃ prāyaṇaṃ samāne 'pyanārabdhaphalasya karmajātasya prāptāvasaratve	evam prAyaNam samAne api anArabDa Palasya karma jAtasya prApta avasara tve
   balavataḥ karmaṇo vṛttimudbhāvayati na durbalasyeti /	balavataH karmaNaH vRttim udBAvayati na durbalasya iti /
   tasmācchrutismṛtinyāyavirodhādaśliṣṭo 'yamaśeṣakarmābhivyaktyabhyupagamaḥ	tasmAt Sruti smRti nyAya viroDAt aSlizwaH ayam aSeza karma aBivyakti aByupagamaH
   śeṣakarmasadbhāve 'nirmokṣaprasaṅgaḥ ityayamapyasthāne saṃbhramaḥ /	Seza karma sadBAve anirmokza prasaFgaH iti ayam api asTAne saMBramaH /
   samyagdarśanādaśeṣakarmakṣayaśruteḥ /	samyak darSanAt aSeza karma kzaya SruteH /
   tasmātsthitametadevānuśayavanto 'varohantīti /	tasmAt sTitam etat eva anuSayavantaH avarohanti iti /
   te cāvarohanto yathetamanevaṃ cāvarohanti /	te ca avarohantaH yaTetam anevam ca avarohanti /
   yathetamiti yathāgatamityarthaḥ /	yaTA itam iti yaTAgatam iti arTaH /
   anevamiti tadviparyayeṇetyarthaḥ /	anevam iti tad viparyayeNa iti arTaH /
   dhūmākāśayoḥ pitṛyāṇe 'dhvanyupāttayoravarohe saṃkīrtanādyathetaṃśabdācca	DUma AkASayoH pitRyANe aDvani upAttayoH avarohe saMkIrtanAt yaTetaMSabdAt ca
   yathāgatamiti pratīyate /	yaTAgatam iti pratIyate /
   rātryādyasaṃkīrtanādabhrādyupasaṃkhyānācca viparyayo 'pi pratīyate // 8 //	rAtri Adya saMkIrtanAt aBra Adi upasaMKyAnAt ca viparyayaH api pratIyate // 8 //
   FN: anuśayaḥ karma /	FN: anuSayaH karma /
   tat karma /	tat karma /
   pratyavaiti parikṣīṇaṃ bhavati /	pratyavEti parikzINam Bavati /
   abhivyaktiḥ phalonmukhatā /	aBivyaktiH Pala unmuKa tA /
   tat tatrāvarohatāṃ jīvānāṃ madhye iha karmabhūmau ramaṇīyacaraṇāḥ	tat tatra avarohatAm jIvAnAm maDye iha karma BUmO ramaNIya caraNAH
   puṇyakarmaṇaḥ iti yat tat ābhyāśoha avaśyaṃ hītyarthaḥ /	puNya karmaNaH iti yat tat AByASoha avaSyam hi iti arTaH /
