   akaveḥ śāstravedanam Bh_1.3d	akaveH SAstra-vedanam Bh_1.3d
   ratikhedapariśrāntā Bh_6.43c	rati-Keda-pariSrAntA Bh_6.43c
   ratikhedālasekṣaṇām Bh_6.45d	rati-Keda-alasa-IkzaNAm Bh_6.45d
   ratnavattvādagādhatvāt Bh_3.20a	ratnavat-tvAt-agADa-tvAt Bh_3.20a
   ratnavantaḥ phalānvitāḥ Bh_4.19b	ratnavantaH Pala-anvitAH Bh_4.19b
   rathāṅgaśūle bibhrāṇau Bh_4.21c	raTAFga-SUle biBrANO Bh_4.21c
   ramaṇīyeṣu saṃgatā Bh_2.13b	ramaNIyezu saMgatA Bh_2.13b
   ramaṇī yeṣu saṃgatā Bh_2.13d	ramaNI yezu saMgatAH Bh_2.13d
   rasadānanivṛttaye Bh_3.9d	rasa-dAna-nivRttaye Bh_3.9d
   rasavattve 'pyapeśalam Bh_5.62b	rasavat-tve api-apeSalam Bh_5.62b
   rasavaddarśitaspaṣṭa- Bh_3.6a	rasavat-darSita-spazwa Bh_3.6a
   rasaiśca sakalaiḥ pṛthak Bh_1.21d	rasEH-ca sakalEH pRTak Bh_1.21d
   rahitā satkavitvena Bh_1.4c	rahitA sat-kavi-tvena Bh_1.4c
   rājatā rājatā bhṛtā Bh_2.11b	rAjatA rAjatA BRtA Bh_2.11b
   rājante devadāravaḥ Bh_4.29d	rAjante devadAravaH Bh_4.29d
   rājamitre yathoditam Bh_2.45d	rAja-mitre yaTA-uditam Bh_2.45d
   rājyāya punaruttasthāv Bh_5.41c	rAjyAya punar-uttasTO Bh_5.41c
   rāmaprasattyai yāntīnāṃ Bh_3.10c	rAma-prasattyE yAntInAm Bh_3.10c
   rāmaśarmācyutottare Bh_2.19d	rAma-Sarma-acyuta-uttare Bh_2.19d
   rāmaḥ saptābhinat sālān Bh_3.32a	rAmaH sapta-aBinat sAlAn Bh_3.32a
   rāsakaskandhakādi yat Bh_1.24b	rAsaka-skanDaka-Adi yat Bh_1.24b
   ruṇaddhi rodasī cāsya Bh_1.7a	ruNadDi rodasI ca-asya Bh_1.7a
   ruṣā saṃrabdhacetasaḥ Bh_4.43d	ruzA saMrabDa-cetasaH Bh_4.43d
   rūḍhakālāgurudrume Bh_4.29b	rUXa-kAlAguru-drume Bh_4.29b
   rūpakaṃ dīpakopame Bh_2.4b	rUpakam dIpaka-upame Bh_2.4b
   rūpakaṃ nāma tadviduḥ Bh_2.21d	rUpakam nAma tat-viduH Bh_2.21d
   rūpakādimalaṃkāraṃ Bh_1.14a	rUpaka-Adim-alaMkAram Bh_1.14a
   rūpakādiralaṃkāras Bh_1.13a	rUpaka-AdiH-alaMkAraH Bh_1.13a
   rūpakārthena ca punar Bh_3.47c	rUpaka-arTena ca punar Bh_3.47c
   rūpamuṣṇaḥ kṣapākaraḥ Bh_5.20d	rUpam-uzNaH kzapA-karaH Bh_5.20d
   rūpādīnāṃ yathā dravyam Bh_5.35a	rUpa-AdInAm yaTA dravyam Bh_5.35a
   reṇupiñjaritālakā Bh_2.2d	reNu-piQjarita-alakAH Bh_2.2d
   rocanābhyāṃ tathā ca ṭhak Bh_6.51d	rocanAByAm taTA ca Wak Bh_6.51d
   roditi svapitītyādi Bh_6.58c	roditi svapiti-ityAdi Bh_6.58c
   lakṣaṇaṃ kāvyasaṃśrayam Bh_5.30b	lakzaNam kAvya-saMSrayam Bh_5.30b
   lakṣaṇaṃ rūpake 'pīdaṃ Bh_3.15a	lakzaNam rUpake api-idam Bh_3.15a
   lakṣaṇena mahātmanām Bh_2.45b	lakzaNena mahAtmanAm Bh_2.45b
   lakṣma prayogadoṣāṇāṃ Bh_5.32a	lakzma prayoga-dozANAm Bh_5.32a
   lakṣmīḥ paurandarī yathā Bh_6.51b	lakzmIH pOrandarI yaTA Bh_6.51b
   lakṣyate kāmamatra tu Bh_3.15b	lakzyate kAmam-atra tu Bh_3.15b
   laghutāmasya mā gamaḥ Bh_4.10b	laGu-tAm-asya mA gamaH Bh_4.10b
   lāṭīyamapyanuprāsam Bh_2.8a	lAwIyam-api-anuprAsam Bh_2.8a
   liṅgatrayopapannaṃ ca Bh_6.46c	liFga-traya-upapannam ca Bh_6.46c
   lokasīmā ca tatkṛtā Bh_4.47b	loka-sImA ca tad-kRtA Bh_4.47b
   lokaṃ tattvavido viduḥ Bh_4.35b	lokam tattva-vidaH viduH Bh_4.35b
   lokātikrāntagocaram Bh_2.81b	loka-atikrAnta-gocaram Bh_2.81b
   loko yuktiḥ kalāśceti Bh_1.9c	lokaH yuktiH kalAH-ca-iti Bh_1.9c
   lyuṭaṃ ca kartṛviṣayaṃ Bh_6.50c	lyuwam ca kartR-vizayam Bh_6.50c
   vaktrakāntīkṣaṇagati- Bh_2.90c	vaktra-kAnti-IkzaNa-gati Bh_2.90c
   vaktraṃ cāparavaktraṃ ca Bh_1.26c	vaktram ca-aparavaktram ca Bh_1.26c
   vakravācāṃ kavīnāṃ ye Bh_6.23a	vakra-vAcAm kavInAm ye Bh_6.23a
   vakrābhidheyaśabdoktir Bh_1.36c	vakra-aBiDeya-Sabda-uktiH Bh_1.36c
   vakroktyanabhidhānataḥ Bh_2.86d	vakrokti-anaBiDAnataH Bh_2.86d
   vakṣyate cāparaḥ punaḥ Bh_2.65b	vakzyate ca-aparaH punar Bh_2.65b
   vakṣyamāṇoktaviṣayas Bh_2.67a	vakzyamANa-ukta-vizayaH Bh_2.67a
   vaco na sphoṭavādinām Bh_6.12b	vacaH na sPowa-vAdinAm Bh_6.12b
   vacobhedo viparyayaḥ Bh_2.39b	vacaH-BedaH viparyayaH Bh_2.39b
   vatināpi kriyāsāmyaṃ Bh_2.33a	vatinA-api kriyA-sAmyam Bh_2.33a
   vatseśaṃ vṛddhadarśanam Bh_4.39b	vatsa-ISam vRdDa-darSanam Bh_4.39b
   vadanaṃ vanajadyuti Bh_3.51b	vadanam vanaja-dyuti Bh_3.51b
   vadanaṃ vanajekṣaṇe Bh_1.56b	vadanam vanaja-IkzaNe Bh_1.56b
   vadanaṃ hāri sundaram Bh_6.47b	vadanam hAri sundaram Bh_6.47b
   vadedimanijantaṃ ca Bh_6.54a	vadet-ima-nijantam ca Bh_6.54a
   vadelluptahalaṃ yathā Bh_6.39b	vadet-lupta-halam yaTA Bh_6.39b
   vanaṃ vanajalocane Bh_6.60d	vanam vanaja-locane Bh_6.60d
   vane 'tha tasminvanitānuyāyinaḥ Bh_2.63a	vane aTa tasmin-vanitA-anuyAyinaH Bh_2.63a
   varā vibhūṣā saṃsṛṣṭir Bh_3.49a	varA viBUzA saMsRzwiH Bh_3.49a
   varṇabhedādidaṃ bhinnaṃ Bh_6.20a	varNa-BedAt-idam Binnam Bh_6.20a
   varṇānāṃ kramavṛttitvān Bh_6.9c	varNAnAm krama-vRtti-tvAn Bh_6.9c
   varṇānāṃ yaḥ punarvādo Bh_2.17c	varNAnAm yaH punar-vAdaH Bh_2.17c
   varṇāḥ svāṃśavikalpataḥ Bh_6.20b	varNAH sva-aMSa-vikalpataH Bh_6.20b
   varṇyante 'tra ca te pṛthak Bh_2.40d	varNyante atra ca te pRTak Bh_2.40d
   vastudvayasamāśraye Bh_3.39b	vastu-dvaya-samASraye Bh_3.39b
   vastuno 'nyasya yā stutiḥ Bh_3.29b	vastunaH anyasya yA stutiH Bh_3.29b
   vahanti girayo meghān Bh_2.74a	vahanti girayaH meGAn Bh_2.74a
   vaṃśavīryaśrutādibhiḥ Bh_1.22b	vaMSa-vIrya-Sruta-AdiBiH Bh_1.22b
   vākkāṭavādayaśceti Bh_1.49c	vAc-kAwavAdayaH-ca-iti Bh_1.49c
   vākyamityāhurapare Bh_4.6c	vAkyam-iti-AhuH-apare Bh_4.6c
   vācaṃ doṣaṃ caturvidham Bh_1.47d	vAcam dozam caturviDam Bh_1.47d
   vācā saptacchadadrumāḥ Bh_2.82d	vAcA saptacCada-drumAH Bh_2.82d
   vācāṃ vakrārthaśabdoktir Bh_5.66c	vAcAm vakra-arTa-Sabda-uktiH Bh_5.66c
   vācāṃ vāñchantyalaṃkṛtim Bh_1.14d	vAcAm vAQCanti-alaMkRtim Bh_1.14d
   vāco 'laṃkurvate yathā Bh_5.64d	vAcaH alaMkurvate yaTA Bh_5.64d
   vācyo vā jalajo 'tra tu Bh_2.59d	vAcyaH vA jalajaH atra tu Bh_2.59d
   vāñchañjyāyastvaṃ chindhi muktānayastvam Bh_2.12d	vAQCan-jyAyaH-tvam CinDi muktA-nayaH-tvam Bh_2.12d
   vāṇīvālaistvayā jitāḥ Bh_2.90d	vANIvAlEH-tvayA jitAH Bh_2.90d
   vārtāmenāṃ pracakṣate Bh_2.87d	vArtAm-enAm pracakzate Bh_2.87d
   vāsaḥśaṅkhānupādānād Bh_2.42c	vAsaH-SaFKa-anupAdAnAt Bh_2.42c
   vāsāya vāsaraḥ klānto Bh_3.48c	vAsAya vAsaraH klAntaH Bh_3.48c
   vikārakaraṇaṃ prati Bh_2.70d	vikAra-karaNam prati Bh_2.70d
   vicitrabarhābharaṇāśca barhiṇo Bh_2.63c	vicitra-barha-ABaraNAH-ca barhiNaH Bh_2.63c
   vijahrustasya tāḥ śokaṃ Bh_1.40c	vijahruH-tasya tAH Sokam Bh_1.40c
   vijigīṣumupanyasya Bh_4.39a	vijigIzum-upanyasya Bh_4.39a
   vijitendrayaśatruṣu Bh_4.11b	vijita-indraya-Satruzu Bh_4.11b
   vijñānamātrasādṛśyād Bh_5.9c	vijQAna-mAtra-sAdRSyAt Bh_5.9c
   vijñānāṃśo mato yadi Bh_5.9b	vijQAna-aMSaH mataH yadi Bh_5.9b
   vijñeyā tadvirodhinī Bh_5.17b	vijQeyA tad-viroDinI Bh_5.17b
   viḍvarcoviṣṭhitaklinnac- Bh_1.48a	viz-varcaH-vizWita-klinna-c Bh_1.48a
   vitatāmbhogarīyasaḥ Bh_4.23b	vitata-amBaH-garIyasaH Bh_4.23b
   vidadhānau kirīṭendū Bh_4.21a	vidaDAnO kirIwa-indU Bh_4.21a
   vidūradeśānapi vaḥ Bh_3.26c	vidUra-deSAn-api vaH Bh_3.26c
   vidyānāṃ satatamapāśrayo 'parāsāṃ Bh_6.63a	vidyAnAm satatam-apASrayaH aparAsAm Bh_6.63a
   vidyutvantastamālāsitavapuṣa ime vārivāhā dhvananti Bh_4.25*	vidyutvantaH-tam-AlAsita-vapuzaH ime vArivAhAH Dvananti Bh_4.25*
   vidhirnābhimato 'nyaistu Bh_2.57c	viDiH-na-aBimataH anyEH-tu Bh_2.57c
   vidheyaḥ kāvyalakṣaṇaḥ Bh_1.8d	viDeyaH kAvya-lakzaNaH Bh_1.8d
   vidheyā jalaje matiḥ Bh_2.60d	viDeyAH jalaje matiH Bh_2.60d
   vinayena vinā kā śrīḥ Bh_1.4a	vinayena vinA kA SrIH Bh_1.4a
   vinaśvaro 'stu nityo vā Bh_6.15a	vinaSvaraH astu nityaH vA Bh_6.15a
   vinā puruṣakāreṇa Bh_3.30c	vinA puruzakAreNa Bh_3.30c
   vinā yathevaśabdābhyāṃ Bh_2.32a	vinA yaTA-iva-SabdAByAm Bh_2.32a
   vinirmitsuriva prajāḥ Bh_2.55d	vinirmitsuH-iva prajAH Bh_2.55d
   vinaivārthagatiryathā Bh_5.50d	vinA-eva-arTa-gatiH-yaTA Bh_5.50d
   vindhyaṃ mahāniva ghanaḥ samaye 'bhivarṣann Bh_3.56c	vinDyam mahAn-iva GanaH samaye aBivarzan Bh_3.56c
   vipakṣastadvisadṛśo Bh_5.25a	vipakzaH-tad-visadRSaH Bh_5.25a
   viparyayakaraṃ yathā Bh_4.9d	viparyaya-karam yaTA Bh_4.9d
   viparyayakṛto yathā Bh_5.52d	viparyaya-kRtaH yaTA Bh_5.52d
   viparyastaṃ tathaivāhus Bh_4.32c	viparyastam taTA-eva-AhuH Bh_4.32c
   viparyāsādidaṃ yathā Bh_4.30d	viparyAsAt-idam yaTA Bh_4.30d
   vipralambhodayānvitā Bh_1.27d	vipralamBa-udaya-anvitA Bh_1.27d
   vibhāti nārīva vidagdhamaṇḍanā Bh_3.58d	viBAti nArI-iva vidagDa-maNxanA Bh_3.58d
   vibhāti vanitāmukham Bh_1.13d	viBAti vanitA-muKam Bh_1.13d
   virahitaramaṇīko 'rhasyadya gantum Bh_4.26/b	virahita-ramaNIkaH arhasi-adya gantum Bh_4.26/b
   viruddhapadamasvarthaṃ Bh_5.67a	virudDa-padam-asvarTam Bh_5.67a
   viruddhaṃ tūpadiśyate Bh_4.9b	virudDam tu-upadiSyate Bh_4.9b
   viruddhānyakriyābhidhā Bh_3.25b	virudDa-ani-a-kriyA-aBiDA Bh_3.25b
   viruddhārthaṃ mataṃ vyarthaṃ Bh_4.9a	virudDa-arTam matam vyarTam Bh_4.9a
   viruddhenopamānena Bh_2.30a	virudDena-upamAnena Bh_2.30a
   virodhakaraṇaṃ yathā Bh_5.14b	viroDa-karaNam yaTA Bh_5.14b
   virodhaṃ taṃ vidurbudhāḥ Bh_3.25d	viroDam tam viduH-buDAH Bh_3.25d
   virodhaṃ tulyayogitām Bh_3.2b	viroDam tulyayogi-tAm Bh_3.2b
   virodhe 'pi tayoryathā Bh_2.35d	viroDe api tayoH-yaTA Bh_2.35d
   vilakṣmaṇā hi kāvyena Bh_1.11c	vilakzmaNA hi kAvyena Bh_1.11c
   vilokyānyanibandhāṃśca Bh_1.10c	vilokya-anya-nibanDAn=-ca Bh_1.10c
   vivādāspadadharmeṇa Bh_5.12a	vivAda-Aspada-DarmeNa Bh_5.12a
   vivādo vādinormithaḥ Bh_5.16d	vivAdaH vAdinoH-miTas Bh_5.16d
   vivikṣorna tava vyathā Bh_2.72b	vivikzoH-na tava vyaTA Bh_2.72b
   viveda payasāṃ kaṇaiḥ Bh_3.13d	viveda payasAm kaNEH Bh_3.13d
   viśatīva tamogṛham Bh_3.48d	viSati-iva tamaH-gRham Bh_3.48d
   viśiṣṭasya yadādānam Bh_3.41a	viSizwasya yat-AdAnam Bh_3.41a
   viśuddhyā sadṛśaṃ yaśaḥ Bh_2.61d	viSudDyA sadRSam yaSaH Bh_2.61d
   viśeṣaprathanāyāsau Bh_3.23c	viSeza-praTanAya-asO Bh_3.23c
   viśeṣasyānudāhṛteḥ Bh_4.17b	viSezasya-anudAhRteH Bh_4.17b
   viśeṣaṃ veda bālo 'pi Bh_4.46c	viSezam veda bAlaH api Bh_4.46c
   viśeṣādavadhāryate Bh_6.22d	viSezAt-avaDAryate Bh_6.22d
   viśeṣāpādanādyathā Bh_2.75d	viSeza-ApAdanAt-yaTA Bh_2.75d
   viśeṣeṇa ca tatreṣṭā Bh_6.48c	viSezeNa ca tatra-izwA Bh_6.48c
   viśeṣeṇeyasunniṣṭo Bh_6.54c	viSezeNa-iya-sunnizwaH Bh_6.54c
   viśeṣoktirmatā yathā Bh_3.23d	viSeza-uktiH-matAH yaTA Bh_3.23d
   viśeṣo 'nyo 'bhidhīyate Bh_2.65d	viSezaH anyaH aBiDIyate Bh_2.65d
   viśeṣo 'sya vikalpanā Bh_5.9d	viSezaH asya vikalpanA Bh_5.9d
   viṣamā bhūbhṛtastebhyo Bh_4.19c	vizamAH BUBRtaH-teByaH Bh_4.19c
   viṣamopalabhinnormir Bh_2.53c	vizama-upala-Binna-UrmiH Bh_2.53c
   viṣayatvaṃ tayoḥ kila Bh_5.5d	vizaya-tvam tayoH kila Bh_5.5d
   visargahadayantritāḥ Bh_1.48d	visarga-hada-yantritAH Bh_1.48d
   vistareṇodito vidhiḥ Bh_2.60b	vistareNa-uditaH viDiH Bh_2.60b
   vihāyopanataṃ rājyaṃ Bh_3.11c	vihAya-upanatam rAjyam Bh_3.11c
   vṛttadevādicarita- Bh_1.17a	vRtta-deva-Adi-carita Bh_1.17a
   vṛttamākhyāyate tasyāṃ Bh_1.26a	vRttam-AKyAyate tasyAm Bh_1.26a
   vṛttavarṇāhitasmṛtiḥ Bh_4.6b	vRtta-varNa-Ahita-smRtiH Bh_4.6b
   vṛttiṃ tadgamako yathā Bh_6.37d	vRttim tad-gamakaH yaTA Bh_6.37d
   vṛtrahantā yathoditaḥ Bh_6.37b	vRtrahantA yaTA-uditaH Bh_6.37b
   vṛddhipakṣaṃ prayuñjīta Bh_6.31a	vRdDi-pakzam prayuQjIta Bh_6.31a
   vṛddhimāyānti yāminyaḥ Bh_3.40c	vRdDim-AyAnti yAminyaH Bh_3.40c
   veṇudākeriti ca tāṃ Bh_1.39c	veNudAkeH-iti ca tAm Bh_1.39c
   veśyāvān niśi pīḍitaḥ Bh_4.49d	veSyAvAn niSi pIxitaH Bh_4.49d
   vaicakṣaṇyaṃ kalāsu ca Bh_1.2b	vEcakzaNyam kalAsu ca Bh_1.2b
   vaidarbhamanyadastīti Bh_1.31a	vEdarBam-anyat-asti-iti Bh_1.31a
   vaidarbhamiti kathyate Bh_1.33b	vEdarBam-iti kaTyate Bh_1.33b
   vaidarbhamiti kiṃ pṛthak Bh_1.32b	vEdarBam-iti kim pRTak Bh_1.32b
   vaidarbhamiti nānyathā Bh_1.35d	vEdarBam-iti na-anyaTA Bh_1.35d
   vaiparītyādviparyāsaṃ Bh_5.61c	vEparItyAt-viparyAsam Bh_5.61c
   vyajerannasya te guṇāḥ Bh_5.60b	vyajeran=-asya te guNAH Bh_5.60b
   vyajyete sādhyasādhane Bh_5.58b	vyajyete sADya-sADane Bh_5.58b
   vyatikramaṇato yathā Bh_4.47d	vyatikramaNataH yaTA Bh_4.47d
   vyatirekaṃ tamicchanti Bh_2.75c	vyatirekam tam-icCanti Bh_2.75c
   vyatireko vibhāvanā Bh_2.66b	vyatirekaH viBAvanA Bh_2.66b
   vyapadeśena tulyatām Bh_3.31b	vyapadeSena tulya-tAm Bh_3.31b
   vyapavṛttadivākarā Bh_5.51b	vyapavRtta-divAkarA Bh_5.51b
   vyavahārāya lokasya Bh_6.13c	vyavahArAya lokasya Bh_6.13c
   vyākhyāgamyāni śāstravat Bh_2.20b	vyAKyA-gamyAni SAstra-vat Bh_2.20b
   vyākhyānenānyathā viduḥ Bh_3.12b	vyAKyAnena-anyaTA viduH Bh_3.12b
   vyājastutinidarśane Bh_3.2d	vyAjastuti-nidarSane Bh_3.2d
   vyājastutirasau yathā Bh_3.31d	vyAja-stutiH-asO yaTA Bh_3.31d
   vyādhaye daṇḍanāya vā Bh_1.12b	vyADaye daNxanAya vA Bh_1.12b
   vyāptaṃ vyometyavācakam Bh_1.41b	vyAptam vyoma-iti-avAcakam Bh_1.41b
   vyāyatābhīpsayā yathā Bh_5.67d	vyAyata-aBIpsayA yaTA Bh_5.67d
   vyālavanto durārohā Bh_4.19a	vyAlavantaH durArohAH Bh_4.19a
   vyāvṛttastatra yo hyasan Bh_5.25b	vyAvRttaH-tatra yaH hi-asan Bh_5.25b
   vyāvṛttastadvipakṣataḥ Bh_5.21b	vyAvRttaH-tad-vipakzataH Bh_5.21b
   vyāvṛttī lakṣmasādhutā Bh_5.25d	vyAvRttI lakzma-sADu-tA Bh_5.25d
   śakyaṃ kathayituṃ mayā Bh_3.52d	Sakyam kaTayitum mayA Bh_3.52d
   śakrakārmukavāraṇāḥ Bh_2.23d	Sakra-kArmuka-vAraNAH Bh_2.23d
   śakracāpagrahādatra Bh_2.42a	Sakra-cApa-grahAt-atra Bh_2.42a
   śaṅkhavrātākulo 'ntastimimakarakulākīrṇavīcīpratāno Bh_5.68c	SaFKa-vrAta-AkulaH antar-timi-makara-kula-AkIrNa-vIcI-pratAnaH Bh_5.68c
   śataṣaṣṭyā tvalaṅkṛtiḥ Bh_6.65b	Sata-zazwyA tu-alaFkRtiH Bh_6.65b
   śatahradendrāyudhavānniśāyāṃ Bh_2.58c	SatahradA-indra-AyuDavAn-niSAyAm Bh_2.58c
   śatāṃśenāpi bhavatā Bh_3.32c	Sata-aMSena-api BavatA Bh_3.32c
   śapathairapi cādeyaṃ Bh_6.12a	SapaTEH-api ca-Adeyam Bh_6.12a
   śabalādibhyo 'titarāṃ Bh_6.44a	Sabala-AdiByaH atitarAm Bh_6.44a
   śabda ityabhidhīyate Bh_6.8d	SabdaH iti-aBiDIyate Bh_6.8d
   śabdatāgnyanumāṃ prati Bh_6.7d	Sabda-tA-agni-anumAm prati Bh_6.7d
   śabdanyāyānupārūḍhaḥ Bh_1.38c	Sabda-nyAyAn-upArUXaH Bh_1.38c
   śabdamarthyamudīrayet Bh_6.28b	Sabdam-arTyam-udIrayet Bh_6.28b
   śabdaratnaṃ svayaṃgamyam Bh_6.3c	Sabda-ratnam svayaMgamyam Bh_6.3c
   śabdaśchando 'bhidhānārthā Bh_1.9a	SabdaH-CandaH aBiDAna-arTAH Bh_1.9a
   śabdahīnaṃ yatibhraṣṭaṃ Bh_4.1c	Sabda-hInam yati-Brazwam Bh_4.1c
   śabdahīnaṃ viduryathā Bh_4.22d	Sabda-hInam viduH-yaTAH Bh_4.22d
   śabdānākulatā ceti Bh_3.54c	Sabda-anAkulatA ca-iti Bh_3.54c
   śabdānāṃ yā vicāraṇā Bh_4.24b	SabdAnAm yA vicAraNA Bh_4.24b
   śabdābhidheyālaṃkāra- Bh_1.15c	Sabda-aBiDeya-alaMkAra Bh_1.15c
   śabdābhidheye vijñāya Bh_1.10a	Sabda-aBiDeye vijQAya Bh_1.10a
   śabdārṇavasya yadi kaścidupaiti pāraṃ Bh_6.62c	Sabda-arNavasya yadi kaScid-upEti pAram Bh_6.62c
   śabdārthapadavṛttinā Bh_1.25b	Sabda-arTa-pada-vRttinA Bh_1.25b
   śabdārthau sahitau kāvyaṃ Bh_1.16a	Sabda-arTO sahitO kAvyam Bh_1.16a
   śabdaistadvācibhiryathā Bh_1.50d	SabdEH-tad-vAciBiH-yaTA Bh_1.50d
   śabdo dūrānupātyayam Bh_5.34b	SabdaH dUra-anupAti-ayam Bh_5.34b
   śamayanti kṣitestāpaṃ Bh_3.19c	Samayanti kziteH-tApam Bh_3.19c
   śambhunā na hṛtaṃ balam Bh_3.24d	SamBunA na hRtam balam Bh_3.24d
   śarā dṛḍhadhanurmuktā Bh_4.42a	SarAH dRXa-DanuH-muktAH Bh_4.42a
   śarā dhanurmaṇḍalamadhyabhājaḥ Bh_2.47b	SarAH DanuH-maNxala-maDya-BAjaH Bh_2.47b
   śalyetyahirapākṛtaḥ Bh_3.7d	Salya-iti-ahiH-apAkRtaH Bh_3.7d
   śaśāṅkavadaneti ca Bh_2.32d	SaSAFka-vadanA-iti ca Bh_2.32d
   śaśikāntopalacchannaṃ Bh_3.13c	SaSi-kAnta-upala=-Cannam Bh_3.13c
   śaśino grahaṇādetad Bh_2.59a	SaSinaH grahaNAt-etat Bh_2.59a
   śaṃsanti dvividhaṃ yathā Bh_2.68d	SaMsanti dviviDam yaTA Bh_2.68d
   śaṃsi cotpādyavastu ca Bh_1.17b	SaMsi ca-utpAdya-vastu ca Bh_1.17b
   śākārau jāguriṣṭau ca Bh_6.49c	SAkArO jAguH-izwO ca Bh_6.49c
   śābdī vaḥ kalpanā vṛthā Bh_6.11b	SAbdI vaH kalpanA vRTA Bh_6.11b
   śāśvato 'śāśvato veti Bh_5.16a	SASvataH aSASvataH vA-iti Bh_5.16a
   śāstramapyupayuñjate Bh_5.3b	SAstram-api-upayuQjate Bh_5.3b
   śāstralokāvapāsyaivaṃ Bh_4.45c	SAstra-lokO=-apAsya-evam Bh_4.45c
   śāstraṃ jaḍadhiyo 'pyalam Bh_1.5b	SAstram jaxaDiyaH api-alam Bh_1.5b
   śāstrād bibhatyamedhasaḥ Bh_5.2b	SAstrAt biBati-ameDasaH Bh_5.2b
   śāstreṣūditamanyathā Bh_5.32d	SAstrezu-uditam-anyaTA Bh_5.32d
   śilpānyasyāśca gocaraḥ Bh_4.32b	SilpAni-asyAH-ca gocaraH Bh_4.32b
   śiśirāsārakaṇikā- Bh_6.45a	SiSira-AsAra-kaNikA Bh_6.45a
   śiṣṭaprayogamātreṇa Bh_6.36a	Sizwa-prayoga-mAtreNa Bh_6.36a
   śīkarāmbhomadasṛjas Bh_2.23a	SIkara-amBaH-mada-sRjaH Bh_2.23a
   śīkarāmbhomadasṛjas Bh_3.16a	SIkara-amBaH-mada-sRjaH Bh_3.16a
   śucirantaṃ ninīṣati Bh_2.29d	SuciH-antam ninIzati Bh_2.29d
   śuneva sāraṅgakulaṃ Bh_2.54c	SunA-iva sAraFga-kulam Bh_2.54c
   śubhamarakatapadmarāgacitre Bh_5.65a	SuBa-marakata-padmarAga-citre Bh_5.65a
   śṛṅgārādirasaṃ yathā Bh_3.6b	SRFgAra-Adi-rasam yaTA Bh_3.6b
   śeṣo himagiristvaṃ ca Bh_3.28a	SezaH himagiriH-tvam ca Bh_3.28a
   śyāmābhrahimasacchavī Bh_4.21b	SyAma-aBra-hima-sacCavI Bh_4.21b
   śraddadhyāt kaḥ sacetanaḥ Bh_6.12d	SraddaDyAt kaH sa-cetanaH Bh_6.12d
   śraddheyaṃ jagati mataṃ hi pāṇinīyaṃ Bh_6.63c	SradDeyam jagati matam hi pANinIyam Bh_6.63c
   śravyaṃ nātisamastārthaṃ Bh_2.3a	Sravyam na-ati-samasta-arTam Bh_2.3a
   śrīmato bodhayannarān Bh_3.34d	SrImataH boDayat-narAn Bh_3.34d
   śrutikaṣṭaṃ ca tadviduḥ Bh_1.53b	Sruti-kazwam ca tat-viduH Bh_1.53b
   śrutikaṣṭaṃ tathaivāhur Bh_1.47c	Sruti-kazwam taTA-eva-AhuH Bh_1.47c
   śrutiduṣṭā matā giraḥ Bh_1.49d	Sruti-duzwAH matAH giraH Bh_1.49d
   śrutiduṣṭārthaduṣṭe ca Bh_1.47a	Sruti-duzwa-arTa-duzwe ca Bh_1.47a
   śruteḥ sāmānyadharmāṇāṃ Bh_4.17a	SruteH sAmAnya-DarmANAm Bh_4.17a
   śreyaso vinayādhānam Bh_4.11c	SreyasaH vinaya-ADAnam Bh_4.11c
   śreyān vṛddhānuśiṣṭatvāt Bh_5.57c	SreyAn vRdDa-anuSizwa-tvAt Bh_5.57c
   śrotragrāhyo dhvaniryathā Bh_5.19d	Srotra-grAhyaH DvaniH-yaTA Bh_5.19d
   śrautrādiṃ na tu durbodhaṃ Bh_6.25a	SrOtra-Adim na tu durboDam Bh_6.25a
   śliṣṭasyārthena saṃyuktaḥ Bh_3.47a	Slizwasya-arTena saMyuktaH Bh_3.47a
   śliṣṭaṃ tadabhidhīyate Bh_3.14d	Slizwam tat-aBiDIyate Bh_3.14d
   śleṣādevārthavacasor Bh_3.17a	SlezAt-eva-arTa-vacasoH Bh_3.17a
   ślokamātrādi tatpunaḥ Bh_1.30b	Sloka-mAtra-Adi tat-punar Bh_1.30b
   ṣaḍalaṃkṛtayo 'parāḥ Bh_2.66d	zaz-alaMkRtayaH aparAH Bh_2.66d
   ṣaḍityādi yathoditam Bh_4.8d	zaw-ityAdi yaTA-uditam Bh_4.8d
   ṣaṇṇāmṛtūnāṃ bhedena Bh_4.30a	zaNNAm-RtUnAm Bedena Bh_4.30a
   ṣaṣṭyā śabdasya śuddhiḥ syād Bh_6.66a	zazwyA Sabdasya SudDiH syAt Bh_6.66a
   ṣaṣṭyā śarīraṃ nirṇītaṃ Bh_6.65a	zazwyA SarIram nirNItam Bh_6.65a
   sa ekastrīṇi jayati Bh_3.24a	saH ekaH-trINi jayati Bh_3.24a
   sa kilānyairdvidhocyate Bh_5.27d	sa kila-anyEH-dviDA-ucyate Bh_5.27d
   sa kūṭastho 'napāyī ca Bh_6.14a	sa kUwasTaH anapAyI ca Bh_6.14a
   sakhi mānaṃ priye dhehi Bh_4.10a	saKi mAnam priye Dehi Bh_4.10a
   sa ca tadvyavahāro 'tra Bh_4.35c	sa ca tad-vyavahAraH atra Bh_4.35c
