   akarmakaṃ tathā caitat HSvs_[5.1]393c	akarmakam taTA ca-etat HSvH-_[5.1]393c
   asaṃbhavaḥ kathaṃ nv asya HSvs_[4.5]325c	asaMBavaH kaTam nu asya HSvH-_[4.5]325c
   asākṣāddarśinas tatra HSvs_[10.1]625c	asAkzAt-darSinaH tatra HSvH-_[10.1]625c
   asādhyārambhiṇas tena HSvs_[11.2]685a	asADya-AramBiNaH tena HSvH-_[11.2]685a
   asiddhatvād ananvayāt HSvs_[4.3]294b	asidDa-tvAt ananvayAt HSvH-_[4.3]294b
   asiddhes tatra nītyā tad HSvs_[6.1]435c	asidDeH tatra nItyA tat HSvH-_[6.1]435c
   asti cec chūnyatā katham HSvs_[6.6]471b	asti ced SUnyatA kaTam HSvH-_[6.6]471b
   asti śabdārthayor yogas HSvs_[11.1]652c	asti Sabda-arTayoH yogaH HSvH-_[11.1]652c
   astu cet ko vivādo no HSvs_[2.1]129c	astu ced kaH vivAdaH naH HSvH-_[2.1]129c
   asty ātmeti vyavasthitam HSvs_[1.2]67d	asti AtmA-iti vyavasTitam HSvH-_[1.2]67d
   asty eva darśanaṃ spaṣṭam HSvs_[1.3]79c	asti eva darSanam spazwam HSvH-_[1.3]79c
   asty eva sā sadā kantu HSvs_[1.4]99a	asti eva sA sadA kantu HSvH-_[1.4]99a
   astv etat kintu taddhetu- HSvs_[5.2]410a	astu etat kintu tad-hetu HSvH-_[5.2]410a
   asthānapakṣapātaś ca HSvs_[6.1]422a	asTAna-pakzapAtaH ca HSvH-_[6.1]422a
   asya ca bhrāntatāyāṃ yat HSvs_[4.6]351c	asya ca BrAnta-tAyAm yat HSvH-_[4.6]351c
   asyāś ca bhrāntatāyāṃ na HSvs_[7.1]487c	asyAH ca BrAnta-tAyAm na HSvH-_[7.1]487c
   ahaṃkāraḥ prakalpyate HSvs_[1.3]85b	ahaMkAraH prakalpyate HSvH-_[1.3]85b
   ahaṃpratyayapakṣe 'pi HSvs_[1.3]82a	ahaMpratyaya-pakze api HSvH-_[1.3]82a
   ahaṃpratyayavedanāt HSvs_[1.3]79d	ahaMpratyaya-vedanAt HSvH-_[1.3]79d
   ahite 'py ātmanaḥ prāyo HSvs_[2.1]163c	ahite api AtmanaH prAyas HSvH-_[2.1]163c
   ahiṃsādi ca taddhetur HSvs_[2.1]156c	ahiMsA-Adi ca tad-hetuH HSvH-_[2.1]156c
   ahiṃsādiprasādhanaḥ HSvs_[2.1]154d	ahiMsA-Adi-prasADanaH HSvH-_[2.1]154d
   ahetutve sadā bhāvo HSvs_[2.1]155c	ahetu-tve sadA BAvaH HSvH-_[2.1]155c
   aho bhīmo mahodadhiḥ HSvs_[9.1]563d	aho BImaH mahA-udaDiH HSvH-_[9.1]563d
   āgatānāṃ tathekṣyate HSvs_[1.2]41b	AgatAnAm taTA-Ikzyate HSvH-_[1.2]41b
   āgamakhyāt pramāṇataḥ HSvs_[2.1]120b	Agama-KyAt pramANataH HSvH-_[2.1]120b
   āgamajño 'pi yas tasyāṃ HSvs_[11.2]686c	Agama-jQaH api yaH tasyAm HSvH-_[11.2]686c
   āgamatvaṃ na yujyate HSvs_[2.1]140d	Agama-tvam na yujyate HSvH-_[2.1]140d
   āgamākhyāt tadanye tu HSvs_[2.1]114a	Agama-AKyAt tad-anye tu HSvH-_[2.1]114a
   āgamāt tu na bhidyate HSvs_[2.1]137d	AgamAt tu na Bidyate HSvH-_[2.1]137d
   āgamād api tatsiddhir HSvs_[10.1]594a	AgamAt api tad-sidDiH HSvH-_[10.1]594a
   āgamād eva gamyate HSvs_[2.1]139d	AgamAt eva gamyate HSvH-_[2.1]139d
   āgamaikatvatas tac ca HSvs_[2.1]117a	Agama-ekatvataH tat ca HSvH-_[2.1]117a
   ācāryaharibhadreṇa HSvs_[11.4]699c	AcArya-hariBadreNa HSvH-_[11.4]699c
   ātmatvenāviśiṣṭasya HSvs_[1.4]91a	Atma-tvena-aviSizwasya HSvH-_[1.4]91a
   ātmanaḥ sukhaduḥkhayoḥ HSvs_[3.1]196b	AtmanaH suKa-duHKayoH HSvH-_[3.1]196b
   ātmanātmagrahe tasya HSvs_[1.3]86a	AtmanA-Atma-grahe tasya HSvH-_[1.3]86a
   ātmanātmagraho 'py asya HSvs_[1.3]84a	AtmanA-Atma-grahaH api asya HSvH-_[1.3]84a
   ātmano bandhanatvāc ca HSvs_[3.2]233c	AtmanaH banDana-tvAt ca HSvH-_[3.2]233c
   ātmano yujyate katham ? HSvs_[3.2]219d	AtmanaH yujyate kaTam ? HSvH-_[3.2]219d
   ātmano vyatiriktaṃ tat HSvs_[1.4]95c	AtmanaH vyatiriktam tat HSvH-_[1.4]95c
   ātmano 'saṃgataṃ tayā HSvs_[3.2]234d	AtmanaH asaMgatam tayA HSvH-_[3.2]234d
   ātmamātrasthitāyā na HSvs_[1.4]99c	Atma-mAtra-sTitAyAH na HSvH-_[1.4]99c
   ātmā na badhyate nāpi HSvs_[3.2]227a	AtmA na baDyate na-api HSvH-_[3.2]227a
   ātmā nāmī pṛthak karma HSvs_[10.2]640a	AtmA nAmI pRTak karma HSvH-_[10.2]640a
   ātmābhāve na kā pramā HSvs_[1.2]68d	Atma-aBAve na kA pramA HSvH-_[1.2]68d
   ātmīyagrahamokṣaś ca HSvs_[1.1]6c	AtmIya-graha-mokzaH ca HSvH-_[1.1]6c
   ātmīyagrahamokṣeṇa HSvs_[1.1]9c	AtmIya-graha-mokzeNa HSvH-_[1.1]9c
   ādimat tat prasajyate HSvs_[6.3]447d	Adimat tat prasajyate HSvH-_[6.3]447d
   ādisarge 'pi na hetuḥ HSvs_[3.1]201a	Adisarge api na hetuH HSvH-_[3.1]201a
   ādau kṣayasvabhāvatve HSvs_[6.4]452a	AdO kzaya-svaBAva-tve HSvH-_[6.4]452a
   āmantrya svayam eva tu HSvs_[4.7]366d	Amantrya svayam eva tu HSvH-_[4.7]366d
   -āyaṃ kasmān na gandhakṛt HSvs_[4.4]320b	-a-ayam kasmAt na ganDa-kRt HSvH-_[4.4]320b
   ārṣaṃ ca dharmaśāstraṃ ca HSvs_[3.1]210a	Arzam ca Darma-SAstram ca HSvH-_[3.1]210a
   ārṣo 'rtho 'pi virudhyate HSvs_[4.7]360b	ArzaH arTaH api viruDyate HSvH-_[4.7]360b
   āvṛtir na yad anyena HSvs_[1.2]35c	AvRtiH na yat anyena HSvH-_[1.2]35c
   āśaṅkā sarvagā yasmāt HSvs_[2.1]118c	ASaFkA sarvagAH yasmAt HSvH-_[2.1]118c
   āśaṅke nyāyavādinaḥ HSvs_[2.1]119d	ASaFke nyAya-vAdinaH HSvH-_[2.1]119d
   āśaṃsādoṣavarjitam HSvs_[1.1]21b	ASaMsA-doza-varjitam HSvH-_[1.1]21b
   āśaṃsā varjito 'nyo 'pi HSvs_[1.1]22c	ASaMsAH varjitaH anyaH api HSvH-_[1.1]22c
   āha cālokavad vede HSvs_[10.1]585a	Aha ca-Aloka-vat vede HSvH-_[10.1]585a
   āha tatrāpi no yuktā HSvs_[1.1]17a	Aha tatra-api naH yuktAH HSvH-_[1.1]17a
   āhitā karmavāsanā HSvs_[4.1]246b	AhitA karma-vAsanA HSvH-_[4.1]246b
   āhosvicchūnyam eva hi HSvs_[6.6]470d	Ahosvit-SUnyam eva hi HSvH-_[6.6]470d
   āhvānāpratipattyādi HSvs_[11.1]672c	AhvAna-apratipatti-Adi HSvH-_[11.1]672c
   ita ekanavate kalpe HSvs_[4.7]361a	itas ekanavate kalpe HSvH-_[4.7]361a
   itaratrāpy adaḥ samam HSvs_[4.2]255d	itaratra-api adaH samam HSvH-_[4.2]255d
   itaratraikam evetthaṃ HSvs_[4.6]340c	itaratra-ekam eva-itTam HSvH-_[4.6]340c
   iti cet kiṃ na sarvadā HSvs_[3.2]216b	iti ced kim na sarvadA HSvH-_[3.2]216b
   iti caitan na sāṃpratam HSvs_[10.2]637d	iti ca-etat na sAMpratam HSvH-_[10.2]637d
   iti tattvavyavasthiteḥ HSvs_[4.2]261d	iti tattva-vyavasTiteH HSvH-_[4.2]261d
   iti tadbhāvasaṃsthitiḥ HSvs_[10.2]643d	iti tad-BAva-saMsTitiH HSvH-_[10.2]643d
   iti tadbhedasaṃsthitiḥ HSvs_[1.4]100d	iti tad-Beda-saMsTitiH HSvH-_[1.4]100d
   iti tantre cirantanaiḥ HSvs_[3.2]231b	iti tantre cirantanEH HSvH-_[3.2]231b
   iti tuccham idaṃ vacaḥ HSvs_[4.3]290b	iti tucCam idam vacaH HSvH-_[4.3]290b
   iti dhyāndhyavijṛmbhitam HSvs_[10.1]597d	iti DyAnDya-vijRmBitam HSvH-_[10.1]597d
   iti nyāyaḥ satāṃ mataḥ HSvs_[2.1]156d	iti nyAyaH satAm mataH HSvH-_[2.1]156d
   iti nyāyānusāriṇaḥ HSvs_[10.1]580d	iti nyAya-anusAriNaH HSvH-_[10.1]580d
   iti pāpasya hetavaḥ HSvs_[1.1]4d	iti pApasya hetavaH HSvH-_[1.1]4d
   iti pratyuktam iṣyatām HSvs_[4.6]342d	iti pratyuktam izyatAm HSvH-_[4.6]342d
   iti bandhādi saṃgatam HSvs_[3.2]235d	iti banDa-Adi saMgatam HSvH-_[3.2]235d
   iti muktir na yujyate HSvs_[5.2]411d	iti muktiH na yujyate HSvH-_[5.2]411d
   iti yuktyā kathaṃ samam ? HSvs_[4.2]256d	iti yuktyA kaTam samam ? HSvH-_[4.2]256d
   iti vaktīha kaścana HSvs_[10.1]613b	iti vakti-iha kaScana HSvH-_[10.1]613b
   iti samyag vicāryatām HSvs_[4.3]301d	iti samyak vicAryatAm HSvH-_[4.3]301d
   iti samyag vicintyatām HSvs_[6.6]471d	iti samyak vicintyatAm HSvH-_[6.6]471d
   iti samyag vicintyatām HSvs_[11.1]660d	iti samyak vicintyatAm HSvH-_[11.1]660d
   iti samyag vyavasthitam HSvs_[9.1]579b	iti samyak vyavasTitam HSvH-_[9.1]579b
   iti sarvamayuktimat HSvs_[3.2]231d	iti sarvam-ayuktimat HSvH-_[3.2]231d
   ittham ālocanaṃ cedam HSvs_[7.1]530a	itTam Alocanam ca-idam HSvH-_[7.1]530a
   ittham āha subhāṣitam HSvs_[10.2]627b	itTam Aha suBAzitam HSvH-_[10.2]627b
   itthaṃ tattvavilomaṃ yat HSvs_[1.5]110c	itTam tattva-vilomam yat HSvH-_[1.5]110c
   itthaṃ trayam api sthitam HSvs_[7.1]490b	itTam trayam api sTitam HSvH-_[7.1]490b
   itthaṃ na ghaṭate ceyam HSvs_[3.2]231c	itTam na Gawate ca-iyam HSvH-_[3.2]231c
   itthaṃ na tadupādānaṃ HSvs_[1.2]74a	itTam na tad-upAdAnam HSvH-_[1.2]74a
   itthaṃ prakalpane nyāyād HSvs_[11.1]657c	itTam prakalpane nyAyAt HSvH-_[11.1]657c
   itthaṃ prayojanābhāvāt HSvs_[3.1]197c	itTam prayojana-aBAvAt HSvH-_[3.1]197c
   itthaṃ samavasīyate HSvs_[7.1]532b	itTam samavasIyate HSvH-_[7.1]532b
   itthaṃ sarvajñavādinaḥ HSvs_[10.1]591b	itTam sarvajQa-vAdinaH HSvH-_[10.1]591b
   ity anyad api cārṣakam HSvs_[4.7]367b	iti anyat api ca-Arzakam HSvH-_[4.7]367b
   ity apūrvam idaṃ tamaḥ HSvs_[4.2]262d	iti apUrvam idam tamaH HSvH-_[4.2]262d
   ity ādi yad udīritam HSvs_[9.1]574b	iti Adi yat udIritam HSvH-_[9.1]574b
   ity evam anvayāpattiḥ HSvs_[4.6]357a	iti evam anvayApattiH HSvH-_[4.6]357a
   idam īśvaraceṣṭitam HSvs_[6.6]472d	idam ISvara-cezwitam HSvH-_[6.6]472d
   idaṃ pūrvoktam ārṣakam HSvs_[4.7]365d	idam pUrva-uktam Arzakam HSvH-_[4.7]365d
   idānīm apy atīndriye HSvs_[10.2]634b	idAnIm api atIndriye HSvH-_[10.2]634b
   idānīṃ tu samāsena HSvs_[1.1]29a	idAnIm tu samAsena HSvH-_[1.1]29a
   indrapratāraṇāyedaṃ HSvs_[1.5]111a	indra-pratAraNAya-idam HSvH-_[1.5]111a
   indriyagrāhyato 'nyo 'pi HSvs_[11.1]668a	indriya-grAhyataH anyaH api HSvH-_[11.1]668a
   indriyeṇa paricchinne HSvs_[4.7]370a	indriyeNa paricCinne HSvH-_[4.7]370a
   iyaṃ ca lokasiddhaiva HSvs_[7.1]532c	iyam ca loka-sidDA-eva HSvH-_[7.1]532c
   iyaṃ naḥ kliṣṭateti cet HSvs_[5.2]409d	iyam naH klizwa-tA-iti ced HSvH-_[5.2]409d
   iyaṃ saṃlakṣyate sāpi HSvs_[7.1]540c	iyam saMlakzyate sA-api HSvH-_[7.1]540c
   iyaṃ syāt timirābhāve HSvs_[5.2]410c	iyam syAt timira-aBAve HSvH-_[5.2]410c
   iṣṭaś ca khalu paṇḍitaiḥ HSvs_[6.3]445d	izwaH ca Kalu paNxitEH HSvH-_[6.3]445d
   iṣṭaṃ tad abhidhīyate HSvs_[10.1]587d	izwam tat aBiDIyate HSvH-_[10.1]587d
   iṣṭo 'yam arthaḥ śakyeta HSvs_[10.2]627c	izwaH ayam arTaH Sakyeta HSvH-_[10.2]627c
   iṣyate ca parair mohāt HSvs_[7.1]491a	izyate ca parEH mohAt HSvH-_[7.1]491a
   iṣyate paṇḍitair janaiḥ HSvs_[10.2]639d	izyate paNxitEH janEH HSvH-_[10.2]639d
   iherṣyāśokavatsalaḥ HSvs_[1.1]12b	iha-IrzyA-aSoka-vatsalaH HSvH-_[1.1]12b
   ihopanyastaśāstrāṇāṃ HSvs_[11.4]698c	iha-upanyasta-SAstrANAm HSvH-_[11.4]698c
   -īndriyārtho 'vasīyate HSvs_[10.1]599d	-Indriya-arTaH avasIyate HSvH-_[10.1]599d
   īśvaraprerito gacchet HSvs_[3.1]196c	ISvara-preritaH gacCet HSvH-_[3.1]196c
   īśvaraḥ paramātmaiva HSvs_[3.1]204a	ISvaraH paramAtmA-eva HSvH-_[3.1]204a
   īśvaraḥ prerakatvena HSvs_[3.1]194a	ISvaraH preraka-tvena HSvH-_[3.1]194a
   īṣṭāpūrtādibhedo 'smāt HSvs_[10.1]586a	IzwA-pUrta-Adi-BedaH asmAt HSvH-_[10.1]586a
   uktavannyāyayogataḥ HSvs_[4.6]353b	ukta-vat-nyAya-yogataH HSvH-_[4.6]353b
   uktaṃ bhagavatā nanu HSvs_[4.7]363b	uktam BagavatA nanu HSvH-_[4.7]363b
   uktaṃ yac cātra sādhanam HSvs_[7.1]482b	uktam yat ca-atra sADanam HSvH-_[7.1]482b
   uktaṃ vihāya mānaṃ cec HSvs_[6.6]473a	uktam vihAya mAnam ced HSvH-_[6.6]473a
   uktā bhagavatā bhikṣūn HSvs_[4.7]366c	uktAH BagavatA BikzUn HSvH-_[4.7]366c
   uktā lokaprasiddhena HSvs_[2.1]142c	uktAH loka-prasidDena HSvH-_[2.1]142c
   ukto na yujyate so 'pi HSvs_[7.1]496c	uktaH na yujyate saH api HSvH-_[7.1]496c
   ucyate evam evaitat HSvs_[1.1]20a	ucyate evam eva-etat HSvH-_[1.1]20a
   ucyate tadabhāvāc ced HSvs_[4.4]320c	ucyate tad-aBAvAt ced HSvH-_[4.4]320c
   ucyate tan na yuktimat HSvs_[6.1]415d	ucyate tat na yuktimat HSvH-_[6.1]415d
   ucyate vyavahārārtham HSvs_[4.4]319c	ucyate vyavahAra-arTam HSvH-_[4.4]319c
   ucyate sāṃpratam adaḥ HSvs_[5.1]395a	ucyate sAMpratam adaH HSvH-_[5.1]395a
   utkṛṣṭādyāsvatītāsu HSvs_[9.1]558c	utkRzwa-AdyAsu-atItAsu HSvH-_[9.1]558c
   utkṛṣṭā yā sthitis tasya HSvs_[9.1]555c	utkRzwA yA sTitiH tasya HSvH-_[9.1]555c
   uttaraḥ phalam ucyate HSvs_[4.3]288d	uttaraH Palam ucyate HSvH-_[4.3]288d
   utpattyanantaraṃ nāśād HSvs_[6.2]437c	utpatti-anantaram nASAt HSvH-_[6.2]437c
   utpādayati kauśalam HSvs_[10.1]622b	utpAdayati kOSalam HSvH-_[10.1]622b
   utpādavyayabuddhiś ca HSvs_[6.6]469a	utpAda-vyaya-budDiH ca HSvH-_[6.6]469a
   utpādo 'bhūtabhavanaṃ HSvs_[7.1]481a	utpAdaH aBUta-Bavanam HSvH-_[7.1]481a
   utpādo 'bhūtabhavanaṃ HSvs_[7.1]488a	utpAdaH aBUta-Bavanam HSvH-_[7.1]488a
   utpādyasya tad dhruvam HSvs_[4.2]253b	utpAdyasya tat Druvam HSvH-_[4.2]253b
   utsargapratiṣedhataḥ HSvs_[2.1]158d	utsarga-pratizeDataH HSvH-_[2.1]158d
   udagraphalabhāvataḥ HSvs_[11.2]680b	udagra-Pala-BAvataH HSvH-_[11.2]680b
   upakārī virodhī ca HSvs_[6.1]419a	upakArI viroDI ca HSvH-_[6.1]419a
   upaghātādibhāvaś ca HSvs_[3.2]236c	upaGAta-Adi-BAvaH ca HSvH-_[3.2]236c
   upadeśaḥ śubho nityaṃ HSvs_[1.1]7a	upadeSaH SuBaH nityam HSvH-_[1.1]7a
   upapattyā na yujyate HSvs_[11.1]669b	upapattyA na yujyate HSvH-_[11.1]669b
   upamānyagrahe tatra HSvs_[10.1]595c	upamAnya-grahe tatra HSvH-_[10.1]595c
   upalabdhilakṣaṇaprāp- HSvs_[5.1]377a	upalabDi-lakzaNa-prAp HSvH-_[5.1]377a
   upalabdhilakṣaṇaprāp- HSvs_[5.1]378a	upalabDi-lakzaNa-prAp HSvH-_[5.1]378a
   upalabdhilakṣaṇaprāp- HSvs_[5.1]382c	upalabDi-lakzaNa-prAp HSvH-_[5.1]382c
   upalabhyeta sarvathā HSvs_[1.2]65b	upalaByeta sarvaTA HSvH-_[1.2]65b
   upalambhyeta sattvādi- HSvs_[1.2]32c	upalamByeta sattva-Adi HSvH-_[1.2]32c
   upādānādibhāvena HSvs_[4.4]315a	upAdAna-Adi-BAvena HSvH-_[4.4]315a
   upādānāviśeṣeṇa HSvs_[11.1]656c	upAdAna-aviSezeNa HSvH-_[11.1]656c
   upādeyaviśeṣasya HSvs_[9.1]568a	upAdeya-viSezasya HSvH-_[9.1]568a
   upādeyaś ca saṃsāre HSvs_[1.1]11a	upAdeyaH ca saMsAre HSvH-_[1.1]11a
   upādhiḥ sphaṭikaṃ yathā HSvs_[3.2]221d	upADiH sPawikam yaTA HSvH-_[3.2]221d
   upāyābhāvataḥ kiṃ vā HSvs_[9.1]553c	upAya-aBAvataH kim vA HSvH-_[9.1]553c
   upāyo mokṣatattvasya HSvs_[9.1]556c	upAyaH mokza-tattvasya HSvH-_[9.1]556c
   ubhayor grahaṇābhāve HSvs_[4.6]331a	uBayoH grahaNa-aBAve HSvH-_[4.6]331a
   ūṣarādidharābhedam HSvs_[2.2]183c	Uzara-Adi-Dara-aBedam HSvH-_[2.2]183c
   ṛte tatpariṇāmitām HSvs_[7.1]533b	Rte tad-pariNAmi-tAm HSvH-_[7.1]533b
   ṛtvigbhir mantrasaṃskārair HSvs_[10.1]587a	RtvigBiH mantra-saMskArEH HSvH-_[10.1]587a
   ekakālagrahe tu syāt HSvs_[4.7]369a	eka-kAla-grahe tu syAt HSvH-_[4.7]369a
   ekatra niścayo 'nyatra HSvs_[4.2]262a	ekatra niScayaH anyatra HSvH-_[4.2]262a
   ekatraivaikadā naitad HSvs_[7.1]480c	ekatra-eva-ekadA na-etat HSvH-_[7.1]480c
   ekatraivaikadaivaitad HSvs_[7.1]490a	ekatra-eva-ekadEva-etat HSvH-_[7.1]490a
   ekadaikatra kiṃ na tat HSvs_[7.1]489d	ekadA-ekatra kim na tat HSvH-_[7.1]489d
   ekadaikatra tat katham HSvs_[7.1]481d	ekadA-ekatra tat kaTam HSvH-_[7.1]481d
   ekapramātrabhāvāc ca HSvs_[11.1]653c	eka-pramAtra-BAvAt ca HSvH-_[11.1]653c
   ekabhāvāc ca vastunaḥ HSvs_[7.1]495b	eka-BAvAt ca vastunaH HSvH-_[7.1]495b
   ekam arthadvayaṃ tathā HSvs_[4.6]332d	ekam arTa-dvayam taTA HSvH-_[4.6]332d
   ekam arthaṃ vijānāti HSvs_[4.6]332a	ekam arTam vijAnAti HSvH-_[4.6]332a
   ekarūpo 'pi tattvataḥ HSvs_[4.4]319d	eka-rUpaH api tattvataH HSvH-_[4.4]319d
   ekas tathāparo neti HSvs_[1.2]61a	ekaH taTA-aparaH na-iti HSvH-_[1.2]61a
   ekasyāḥ so 'pi bādhyate HSvs_[4.4]314d	ekasyAH saH api bADyate HSvH-_[4.4]314d
   ekasvabhāvam ekaṃ yat HSvs_[4.4]307c	eka-svaBAvam ekam yat HSvH-_[4.4]307c
   ekaṃ cobhayasiddhitaḥ HSvs_[7.1]513b	ekam ca-uBaya-sidDitaH HSvH-_[7.1]513b
   ekāntenaikarūpāyā HSvs_[3.2]228a	ekAntena-eka-rUpAyAH HSvH-_[3.2]228a
   ekāntaikasvabhāve ca HSvs_[5.2]405c	ekAnta-eka-svaBAve ca HSvH-_[5.2]405c
   ekāntaikye na nānā yan HSvs_[7.1]534a	ekAnta-Ekye na nAnA yat HSvH-_[7.1]534a
   ekenāpi tathāgrahāt HSvs_[4.6]333b	ekena-api taTAgrahAt HSvH-_[4.6]333b
   ekaikenaiva vedanāt HSvs_[4.7]372b	ekEkena-eva vedanAt HSvH-_[4.7]372b
   eta evoditā buddhaiḥ HSvs_[1.1]5b	ete eva-uditA budDEH HSvH-_[1.1]5b
   etac ca noktavad yuktyā HSvs_[4.3]302a	etat ca na-ukta-vat yuktyA HSvH-_[4.3]302a
   etat tad eva na bhavaty HSvs_[6.3]446c	etat tat eva na Bavati HSvH-_[6.3]446c
   etad atra nidarśitam HSvs_[1.4]94d	etat atra nidarSitam HSvH-_[1.4]94d
   etad anyair apīṣyate HSvs_[11.2]690b	etat anyEH api-izyate HSvH-_[11.2]690b
   etad apy asad eveti HSvs_[6.4]454a	etat api asat eva-iti HSvH-_[6.4]454a
   etad apy asamañjasam HSvs_[4.7]371d	etat api asamaQjasam HSvH-_[4.7]371d
   etad apy uktimātraṃ yad HSvs_[2.1]145a	etat api ukti-mAtram yat HSvH-_[2.1]145a
   etad apy uktimātraṃ yan HSvs_[4.1]247a	etat api ukti-mAtram yat HSvH-_[4.1]247a
   etad āsthānivṛttaye HSvs_[6.5]464b	etat AsTAni-vRttaye HSvH-_[6.5]464b
   etad dvayāgrahe yuktaṃ HSvs_[7.1]537c	etat dvaya-agrahe yuktam HSvH-_[7.1]537c
   etad balāt tataḥ siddhaṃ HSvs_[7.1]542c	etat balAt tatas sidDam HSvH-_[7.1]542c
   etā vārtā upaśrutya HSvs_[11.4]698a	etAH vArtAH upaSrutyaH HSvH-_[11.4]698a
   etena sarvam eveti HSvs_[7.1]501a	etena sarvam eva-iti HSvH-_[7.1]501a
   etenāhetukatve 'pi hy HSvs_[4.2]271a	etena-ahetuka-tve api hi HSvH-_[4.2]271a
   etenaitat pratikṣiptaṃ HSvs_[4.2]269a	etena-etat pratikziptam HSvH-_[4.2]269a
   etenaitat pratikṣiptaṃ HSvs_[4.3]296a	etena-etat pratikziptam HSvH-_[4.3]296a
   etenaitat pratikṣiptaṃ HSvs_[7.1]519a	etena-etat pratikziptam HSvH-_[7.1]519a
   eteṣu satataṃ yatnaḥ HSvs_[1.1]5c	etezu satatam yatnaH HSvH-_[1.1]5c
   evam āhur ahetutvaṃ HSvs_[6.1]432c	evam AhuH ahetu-tvam HSvH-_[6.1]432c
   evam iṣṭakriyājanyaṃ HSvs_[1.4]101c	evam izwa-kriyA-janyam HSvH-_[1.4]101c
   evaṃ guṇagaṇopeto HSvs_[1.1]10a	evam guNa-gaNa-upetaH HSvH-_[1.1]10a
   evaṃ ca kṛtvā sādhv etat HSvs_[10.1]603c	evam ca kRtvA sADu etat HSvH-_[10.1]603c
   evaṃ ca na virodho 'sti HSvs_[4.7]371a	evam ca na viroDaH asti HSvH-_[4.7]371a
   evaṃ ca vastunas tattvaṃ HSvs_[11.1]671a	evam ca vastunaH tattvam HSvH-_[11.1]671a
   evaṃ ca vyartham eveha HSvs_[6.1]424a	evam ca vyarTam eva-iha HSvH-_[6.1]424a
   evaṃ ca śūnyavādo 'pi HSvs_[6.6]476a	evam ca SUnya-vAdaH api HSvH-_[6.6]476a
   evaṃ cāgrahaṇād eva HSvs_[5.1]385a	evam ca-agrahaNAt eva HSvH-_[5.1]385a
   evaṃ ced ucyate na yat HSvs_[5.1]382b	evam ced ucyate na yat HSvH-_[5.1]382b
   evaṃ caitanyavān ātmā HSvs_[1.2]78a	evam cEtanyavAn AtmA HSvH-_[1.2]78a
   evaṃ tajjanyabhāvatve 'py HSvs_[4.6]356a	evam tad-janya-BAva-tve api HSvH-_[4.6]356a
   evaṃ tatphalabhāve 'pi HSvs_[2.1]160a	evam tad-Pala-BAve api HSvH-_[2.1]160a
   evaṃ tatra na yujyate HSvs_[10.1]597b	evam tatra na yujyate HSvH-_[10.1]597b
   evaṃ tatrāpi tadbhāve HSvs_[10.2]635a	evam tatra-api tad-BAve HSvH-_[10.2]635a
   evaṃ na yat tadātmānam HSvs_[5.1]396a	evam na yat tadA-AtmAnam HSvH-_[5.1]396a
   evaṃ nyāyāviruddhe 'smin HSvs_[7.1]510a	evam nyAya-avirudDe asmin HSvH-_[7.1]510a
   evaṃ prakṛtivādo 'pi HSvs_[3.2]237a	evam prakRti-vAdaH api HSvH-_[3.2]237a
   evaṃbhūtārthakalpanā HSvs_[10.1]619d	evaMBUta-arTa-kalpanAH HSvH-_[10.1]619d
   evaṃ yuktyā na gamyate HSvs_[6.4]462b	evam yuktyA na gamyate HSvH-_[6.4]462b
   evaṃ vedavihitāpi HSvs_[2.1]157a	evam veda-vihitA-api HSvH-_[2.1]157a
   evaṃ vyāvṛttibhede 'pi HSvs_[4.4]321a	evam vyAvRtti-Bede api HSvH-_[4.4]321a
   evaṃ śaktyādipakṣo 'yaṃ HSvs_[1.4]105a	evam Sakti-Adi-pakzaH ayam HSvH-_[1.4]105a
   evaṃ sati ghaṭādīnāṃ HSvs_[1.2]52a	evam sati Gawa-AdInAm HSvH-_[1.2]52a
   evaṃ subuddhiśūnyatvaṃ HSvs_[2.1]129a	evam su-budDi-SUnya-tvam HSvH-_[2.1]129a
   evaṃ hy ubhayadoṣādi- HSvs_[7.1]518a	evam hi uBaya-doza-Adi HSvH-_[7.1]518a
   evāsatkāryavādinaḥ HSvs_[4.1]247d	eva-asat-kArya-vAdinaH HSvH-_[4.1]247d
   eṣa doṣo 'nivāritaḥ HSvs_[2.1]150d	eza dozaH anivAritaH HSvH-_[2.1]150d
   eṣa sthāṇur ayaṃ mārga HSvs_[10.1]613a	eza sTANuH ayam mArgaH HSvH-_[10.1]613a
   eṣā bhāvyā vicakṣaṇaiḥ HSvs_[4.6]356b	ezA BAvyA vicakzaNEH HSvH-_[4.6]356b
   eṣāṃ ca tatsvabhāvatve HSvs_[5.1]378c	ezAm ca tad-svaBAva-tve HSvH-_[5.1]378c
   aikye sā cetaneveti HSvs_[1.2]34c	Ekye sA cetanA-iva-iti HSvH-_[1.2]34c
   aidamparyeṇa bhāvārthas HSvs_[9.1]574c	EdamparyeNa BAva-arTaH HSvH-_[9.1]574c
   aiśvaryaṃ caiva dharmaś ca HSvs_[3.1]195c	ESvaryam ca-eva DarmaH ca HSvH-_[3.1]195c
   aughāt taddhetuviṣayaṃ HSvs_[4.6]337c	OGAt tad-hetu-vizayam HSvH-_[4.6]337c
   ka etāṃ bādhituṃ kṣamaḥ HSvs_[2.2]174d	kaH etAm bADitum kzamaH HSvH-_[2.2]174d
