   prathamaḥ paricchedaḥ	praTamaH paricCedaH
   svargagrāmaṭikāviluṇṭhanavṛthocchūnaiḥ kimebhirbhujaiḥ" //	svarga grAmawikA viluNWana vRTa ucCUnEH kim eBiH BujEH" //
   iti /	iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ja) nyakkāro hyayameveti  śrīrāmākrāntalaṅkasya rāvaṇasya	(vi, ja) nyakkAraH hi ayam eva iti  SrI rAma AkrAnta laFkasya rAvaNasya
   viṣādoktiriyam, me yadarayaḥ ayameva nyakkāraḥ /	vizAda uktiH iyam, me yat arayaH ayam eva nyakkAraH /
        tapasvibhakṣakasya mama ekastāpaso 'ririti, atyantanyakkāratvāt,	tapasvi Bakzakasya mama ekaH tApasaH ariH iti, atyanta nyakkAra tva at,
   āstāṃ so 'pi sindhorudīcītīre kharadūṣaṇādihantā, so 'pyatraiva nihanti	AstAm saH api sinDoH udIcI tIre Kara dUzaNa Adi hantA, saH api atra eva nihanti
   rākṣasakulaṃ natu dvitrirākṣasān /	rAkzasa kulam na tu dvi tri rAkzasAn /
        aho āścaryamevaṃ nyakkāro 'pi rāvaṇo jīvatīti /	aho AScaryam evam nyakkAraH api rAvaNaH jIvati iti /
        bhavatu vā mama daivasya prātikūlyādevaṃ, śakrasya jetāram arthāt	Bavatu vA mama dEvasya prAtikUlyAdevaM, Sakrasya jetAram arTAt 
   meghanādaṃ mama putraṃ dhik dhik, tathā prabodhitavatā prabodhitaṃ	meGanAdam mama putram Dik Dik, taTA praboDitavatA praboDitam
   prabodhaḥ tadvatā bhāvaktantatvena prabodhavatā kumbhakarṇena vā kiṃ	praboDaH tadvatA BAvaktanta tvena praboDavatA kumBakarNena vA kim
   phalamityarthaḥ /	Palam iti arTaH /
        natvatra ktavatuḥ, tasya karmaṇyanabhidhānāt, tathā mama bhujairvāpi	natu atra ktavatuH, tasya karmaNi anaBiDAnAt, taTA mama BujEH vA api
   kim ? kīdṛśaiḥ, mama viluṇṭhane svargo 'pi grāmaṭikā svalpagrāmaḥ,	kim ? kIdRSEH, mama viluNWane svargaH api grAmawikA su alpa grAmaH,
   tadviluṇṭhanena vṛthocchūnaiḥ niṣphalamudbhaṭaiḥ /	tad viluNWanena vRTA ucCUnEH nizPalam udBawEH /
        Locanā:	LocanA:
        (lo, ṛ) nyakkāra iti etadrāmabhadreṇābhibhūyamānasya rāvaṇasya	(lo, R) nyakkAraH iti etat rAmaBadreNa aBiBUyamAnasya rAvaNasya
   nirvedavākyam /	nirveda vAkyam /
        kṣudro grāmo grāmaṭikā /	kzudraH grAmaH grAmawikA /
        viluṇṭhanaṃ vidhūnanam /	viluNWanam viDUnanam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   asya śalokasya vidheyāvimarśadoṣaduṣṭatayā kāvyatvaṃ na syāt /	asya Salokasya viDeya avimarSa doza duzwa tayA kAvya tvam na syAt /
   pratyuta dhvani(sa) tvenottamakāvyatāsyāṅgīkṛtā,	pratyuta Dvani(sa) tvena uttamaka avya tA asya aFgIkRtA,
   tasmādavyāptirlakṣaṇadoṣaḥ /	tasmAt avyAptiH lakzaNa dozaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, jha) vidheyāvimarśeti  vidheyasya nyakkārasyoddeśyādarimattvāt	(vi, Ja) viDeya avimarSa iti  viDeyasya nyakkArasya uddeSyAt arimattvAt
   pūrvanipātāt "anuvādyamanuktvaina vidheyamudīrayet" iti niyamāt /	pUrva nipAtAt "anuvAdyam anuktvA ena viDeyam udIrayet" iti niyamAt /
        anubhavabalādeṣa niyamaḥ /	anuBava balAt eza niyamaH /
        kāvyatvaṃ na syāditi  natviṣṭhāpattirityata āha  pratyuteti /	kAvya tvam na syAt iti  natvizWA ApattiH iti atas Aha  pratyuta iti /
        aṅgīkṛteti sarvairiti śeṣaḥ /	aFgIkRtA iti sarvEH iti SezaH /
        na kevalaṃ kāvyaprakāśakṛtā, paraṃ sarvaiḥ /	na kevalam kAvya prakASa kRtA, param sarvEH /
        kāvyaprakāśakṛtā kāvyaprakāśe, "idamuttamamatiśayini vyaṅgye vācyād	kAvya prakASa kRtA kAvya prakASe, "idam uttamam atiSayini vyaFgye vAcyAt 
   dhvanirbudhaiḥ kathitaḥ" ityanena lakṣaṇena dhvaniyuktatvādasya	DvaniH buDEH kaTitaH" iti anena lakzaNena Dvani yukta tvAt asya
   uttamakāvyatvasvīkārāt, tasmādavyāptidoṣa iti   atra doṣasāmānyābhāvo	uttama kAvya tva svIkArAt, tasmAt avyApti dozaH iti   atra doza sAmAnya aBAvaH 
   lakṣaṇaghaṭaka iti tadabhiprāyamunnīya idamuktam, tasya tu	lakzaNa GawakaH iti tad aBiprAyam unnIyaH idam uktam, tasya tu
   śābdabodhavighaṭakadoṣasāmānyābhāva evābhiprayaḥ /	SAbda boDa viGawaka doza sAmAnya aBAvaH eva aBiprayaH /
        anyathā "tathābhūtāṃ dṛṣṭvā nṛpasadasi pāñcālatanayām" ityādiślekaḥ	anyaTA "taTA BUtAm dRzwvA nRpa sadasi pAQcAla tanayAm" iti AdiSlekaH
   kākusahakṛtadhvanyudāharaṇatayoktvā kathaṃ tenaiva nyūnapadatvadoṣe	kAku saha kRta Dvani udAharaNa tayA uktvA kaTam tena eva nyUna padatva doze
   udāhṛtaḥ /	udAhRtaH /
        kathaṃ vā "kṛtamanumataṃ dṛṣṭaṃ vā yairidaṃ gurupātakam" ityādiślekaḥ	kaTam vA "kRtam anumatam dRzwam vA yEH idam guru pAtakam" iti AdiSlekaH
   raudrarasodāharaṇatvenoktvāpi punaruktadoṣatve udāhṛtaḥ /	rOdra rasa udAharaNa tvena uktvA api punarukta doza tve udAhRtaH /
        tasmādavyāptipradarśanaṃ tadabhiprāyānavadhānādeva /	tasmAt avyApti pradarSanam tad aBiprAya anavaDAnAt eva /
        Locanā:	LocanA:
        (lo, ṝ) vidheyāvimarśo 'vimṛṣṭavidheyāṃśaḥ /	(lo, L) viDeya avimarSaH avimRzwa viDeya aMSaH /
        vṛthocchūnairityatra bhujāmucchūnatayā bṛthāttvasya	vRTA ucCUnEH iti atra BujAm ucCUna tayA bRTAt tu asya
   tatkālamātrajātatvābhiprayeṇa vidheyatāṃ netumucitasya tatpuruṣasamāsena	tad kAla mAtra jAta tva aBiprayeNa viDeya tAm netum ucitasya tatpuruza samAsena
   kavinā guṇībhāvaṃ nītatayā pūrvasiddhatvāt anuvādyatva pratītiriti	kavinA guNIBAvam nIta tayA pUrva sidDa tvAt anuvAdya tva  pratItiH iti
   vidheyasya prādhānyenāvimarśaḥ, anirddaśaḥ /	viDeyasya prADAnyena avimarSaH, anirddaSaH /
        asya ślokasyāṅgīkṛtā pūrvācāryyairiti śeṣaḥ /	asya Slokasya aFgIkRtA pUrva AcAryyEH iti SezaH /
        dhvanitvaṃ hyatra pratipadamevāvabhāsate /	Dvani tvam hi atra pratipadam eva avaBAsate /
        tathā hi, ayamevetyanyayogavyavacchedasūcakasya evakārasya, me iti	taTA hi, ayam eva iti anya yoga vyavacCeda sUcakasya eva kArasya, me iti
   kākupadasya, araya iti bahuvacanasya, atraiveti sarvanāmnaḥ, nihanti	kAkupadasya, arayaH iti bahuvacanasya, atra eva iti sarva nAmnaH, nihanti
   jīvatīti tiṅaḥ, aho ityavyayasya, rāvaṇa iti tat tat	jIvati iti tiFaH, aho iti avyayasya, rAvaNaH iti tat tat 
   viśeṣārthāntarasaṃkamitavācyapadasya, dhik dhik iti dvirukteḥ,	viSeza arTa antara saMkamita vAcya padasya, Dik Dik iti dvirukteH,
   śakajitamiti tācchīlyavihitakkippratyayasya, grāmaṭiketi karūpatadvitasya,	Saka jitam iti tAt SIlya vihitakkippratyayasya, grAmawikA iti karu upatadvitasya,
   viṭhṭhuṇaṭhaneti vyupasargasya, bhujairiti bahuvacanasya	viWWuNa WanA iti vyupasargasya, BujEH iti bahuvacanasya
   tadvyañjakaviśeṣatvāt asaṃlakṣyakamo dhvaniścātra	tad vyaQjaka viSeza tvAt asaMlakzya kamaH DvaniH ca atra
   svāmānanānnirvedākhyaḥsaṃcāribhāvaḥ /	svAma AnanAt nirveda AKyaH saMcAri BAvaH /
        tasmādavyāptiḥ /	tasmAt avyAptiH /
        dhvanikārādibhiḥ dhvanitvenottamakāvyatvasyāṅgīkārāt samanantaraśleke	Dvani kAra AdiBiH Dvani tvena uttama kAvya tvasya aFgIkArAt samanantara Sleke
   tadadoṣaviti lakṣaṇāvyāpanāt /	tat adoza viti lakzaNa avyApanAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nanu kaścidevāṃśo 'tra duṣṭo na punaḥ sarvo 'pīti cet, tarhi yatrāṃśe	nanu kaScid eva aMSaH atra duzwaH na punar sarvaH api iti cet, tarhi yatra aMSe
   doṣaḥ so 'kāvyatvaprayojakaḥ, yatra dhvaniḥ sa uttamakāvyatvaprayojaka	dozaH saH akAvya tva prayojakaH, yatra DvaniH saH uttama kAvya tva prayojaka
   ityaṃśābhyāmubhayata ākṛṣyamāṇamidaṃ kāvyamakāvyaṃ vā kimapi na syāt /	iti aMSAByAm uBayatas AkRzyamANam idam kAvyam akAvyam vA kim api na syAt /
   na ca kaṃcidevāṃśaṃ kāvyasya dūṣayantaḥ śratiduṣṭādayo doṣāḥ, kiṃ tarhi	na ca kaMcid eva aMSam kAvyasya dUzayantaH Srati duzwa AdayaH dozAH, kim tarhi
   sarvameva kāvyam /	sarvam eva kAvyam /
   tathāhi  	taTA hi  
   kāvyātmabhūtasya rasasyānapakarṣakatve teṣāṃ doṣatvamapi nāṅgīkriyate /	kAvya Atma BUtasya rasasya anapakarzaka tve tezAm doza tvam api na aFgIkriyate /
   anyathā nityadoṣānityadoṣatvavyavasthāpi na syāt /	anyaTA nitya doza anitya doza tva vyavasTA api na syAt /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ña) svadattadoṣaṃ ca svodbhāvitasiddhāntena	(vi, Qa) sva datta dozam ca sva udBAvita sidDAntena
   uddhartumāśaṅkate  nanviti /	udDartum ASaFka te  nanu iti /
        taddūṣayati  cettarheti /	tad dUza yati   ced tarhA iti /
        nanvaṃśaviśeṣasthitena doṣeṇa aparāṃśādūṣaṇāttadaṃśe kāvyatvaṃ	nanu aMSa viSeza sTitena dozeNa apara aMSa at UzaNAt tad aMSe kAvya tvam
   doṣavadaṃśe cākāvyatvaṃ syādata āha  naceti /	dozavat aMSe ca akAvya tvam syAt atas Aha  naca iti /
        kiṃ tarhi samastameveti, samastasyaiva dūṣaṇe yuktimāha  tathā	kim tarhi samastam eva iti, samastasya eva dUzaNe yuktim Aha   taTA
   hi  anyatheti /	hi   anyaTA iti /
        kāvyātmabhūtarasādyadūṣaṇe 'pītyarthaḥ /	kAvya Atma BUta rasa Adya dUzaNe api iti arTaH /
        nityadoṣānityadoṣeti /	nitya doza aniti a doza iti /
        cyutasaṃskārādayaḥ samastarasāpakarṣakatvānnityāḥ, śrutiduṣṭatvaṃ tu	cyuta saMskAra AdayaH samasta rasa apakarzaka tvAt nityAH, Sruti duzwa tvam tu
   katipayaśṛṅgarādirasāpakarṣatvādanityamityabhiyuktakṛtāṃ vyavasthāpi na	katipaya SRFgara Adi rasa apakarza tvAt anityam iti aBiyukta kRtAm vyavasTA api na
   syāt, tanmate rasāpakarṣakatvasya doṣatvaprayojakatvādityarthaḥ /	syAt, tad mate rasa apakarzaka tvasya doza tva prayojaka tvAt iti arTaH /
        Locanā:	LocanA:
        (lo, ḷ) kaścidevāṃśaḥ, vṛthocchūnairitti bhāvaḥ /	(lo, ?) kaScid eva aMSaH, vRTA ucCUnEH itti BAvaH /
        idaṃ padyam, nanu padaikasyaiva viṣayasya viruddhadharmayogaḥ syāt /	idam padyam, nanu pada ekasya eva vizayasya virudDa Darma yogaH syAt /
        iha tu doṣasya yadaṅgasya dūṣakatvaṃ tasyākāvyatvam, dhvaneśca	iha tu dozasya yat aFgasya dUzaka tvam tasya akAvya tvam, DvaneH ca
   yasyotkarṣakatvaṃ tasyottamakāvyatvamiti dvayorna virodhaḥ ityāśaṅkyāha na	yasya utkarzaka tvam tasya uttama kAvya tvam iti dvayoH na viroDaH iti ASaFkya aha na
   ceti /	ca iti /
        kathamaṅgamātraniṣṭhasya doṣasya kāvyāpakarṣakatetyata āha tathā hīti	kaTam aFga mAtra nizWasya dozasya kAvya apakarzaka tA iti atas Aha taTA hi iti
        rasāpakarṣakāṇāmeva doṣatvāt, kathamevetyāha anyatheti /	rasa apakarzakANAm eva doza tvAt, kaTam eva iti Aha anyaTA iti /
        rasāpakarṣakatve 'pyadoṣatve, nityadoṣāścyutasaṃskṛtaprabhṛtayaḥ,	rasa apakarzaka tve api adoza tve, nitya dozAH cyuta saMskRta praBRtayaH,
   teṣāṃ sakalarasāpakarṣakatvāt, anityadoṣāḥ śrutikaṭuprabhṛtayaḥ tathā	tezAm sakala rasa apakarzaka tvAt, anitya dozAH Sruti kawu praBRtayaH taTA
   hiraudrādirase prarūḍhaśrutikaṭutvasya guṇatvam, yathā mama tātapādānāṃ	hirOdra Adi rase prarUXa Sruti kawu tvasya guNa tvam, yaTA mama tAta pAdAnAm
   vijayanarasiṃhe   	vijaya narasiMhe   
   "niḥśvāsodghātavātaprasaradhutakulāhāryyamudghṛṣṭadaṃṣṭrā  jātajyotiḥ	"niHSvAsa udGAta vAta prasara Duta kula AhAryyam udGRzwa daMzwrA jAta jyotiH
   sphuliṅgaprakaraviracitolkānikāyābhiśaṅkāḥ /	sPuliFga prakara viracita ulkA nikAya aBiSaFkAH /
        arddhepārīndramarddhenaramahaha mahālokamālokya lokāḥ	ardDepArI indramardDenaramahaha mahAlokam Alokya lokAH
   stokāstokāviśeṣāḥ śaraṇamupayayurvāridhiṃ vāridhiṃ vā" //	stokAstoka aviSezAH SaraNam upayayuH vAriDim vAriDim vA" //
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yaduktaṃ dhavanikṛtā  	yat uktam Dava nikRtA  
   "śrutiduṣṭādayo doṣā anityā ye ca darśitāḥ /	"Sruti duzwa AdayaH dozAH anityAH ye ca darSitAH /
   dhvanyātmanyeva śṛṅgāre te heyā ityudāhṛtāḥ" //	Dvani Atmani eva SRFgAre te heyAH iti udAhRtAH" //
   iti /	iti /
   kiñca evaṃ kāvyaṃ praviralaviṣayaṃ nirviṣayaṃ vā syāt, sarvathā	kiQca evam kAvyam pravirala vizayam nirvizayam vA syAt, sarvaTA
   nirdeṣasyaikāntamasaṃbhavāt /	nirdezasya ekAntam asaMBavAt /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭa) dhvanyātmanyeveti  dhvanikāvyasyātmabhūte śṛṅgāre ityarthaḥ	(vi, wa) DvanyA Atmani eva iti  DvanikA vyasya Atma BUte SRFgAre iti arTaH
        śṛṅgārapadaṃ cātra mādhuryyavadrasopalakṣakam /	SRFgAra padam ca atra mADuryya vat rasa upalakzakam /
        tena karuṇaśāntarasayośca te heyā ityarthaḥ /	tena karuNa SAnta rasayoH ca te heyAH iti arTaH /
        nanu nityatvānityatvaprayojakameva rasāpakarṣakānapakarṣakatvaṃ,	nanu nitya tva anitya tva prayojakam eva rasa apakarzaka anapakarzaka tvaM,
   doṣatāprayojakaṃ tu na rasāpakarṣakatvaṃ, kintvabhyuktoktittatsvarūpameva	doza tA prayojakam tu na rasa apakarzaka tvan, kintu aByukta uktittad svarUpam eva
   tatprayojakamityata āha  kiṃceti /	tat prayojakam iti atas Aha  kiMca iti /
        Locanā:	LocanA:
        (lo, e) dhvanyātmani dhvanisvarūpa ityarthaḥ /	(lo, e) Dvani Atmani Dvani svarUpaH iti arTaH /
        nanūttamakāvyatvenāṅgīkṛtānāmapi sadoṣatve kāvyatvaṃ mābhūt	nanu uttama kAvya tvena aFgIkRtAnAm api sa doza tve kAvya tvam mA aBUt 
   ityāśaṅkyāha  kiñceti /	iti ASaFkya aha  kiQca iti /
        evam adoṣaśabdarthayorekavākyatve /	evam adoza SabdarTayoH eka vAkya tve /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nanvīṣadarthe nañaḥ prayoga iti cettarhi "īṣaddoṣau śabdārthau kāvyam"	nanu Izat arTe naQaH prayogaH iti ced tarhi "Izat dozO Sabda arTO kAvyam"
   ityukte nirdeṣayoḥ kāvyatvaṃ na syāt /	iti ukte nirdezayoH kAvya tvam na syAt /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭha) īṣadarthe naña iti   adoṣāviti naña ityarthaḥ /	(vi, Wa) Izat arTe naQaH iti    a dozO= iti naQaH iti arTaH /
        nirdeṣayoriti śabdārthayorityarthaḥ /	nirdezayoH iti Sabda arTayoH iti arTaH /
        prauḍhadoṣayostu kāvyatvābhāvasya iṣṭatvāditi bhāvaḥ /	prOXa dozayoH tu kAvya tva aBAvasya izwa tvAt iti BAvaH /
        tathā ca nyakkāra ityādāvavyāptirna doṣaḥ /	taTA ca nyakkAraH iti AdO= avyAptiH na dozaH /
        tayoḥ prauḍhadoṣavatoḥ kāvyatvābhāvāditi bhāvaḥ /	tayoH prOXa dozavatoH kAvya tva aBAvAt iti BAvaH /
        lakṣaṇasya doṣaviśeṣābhāvaghaṭitatvena kaściddoṣa ityuktamavadheyam /	lakzaNasya doza viSeza aBAva Gawita tvena kaScid dozaH iti uktam avaDeyam /
        Locanā:	LocanA:
        (lo, ai) nañaḥ adoṣāvitipadasthitasya /	(lo, E) naQaH adozO= iti pada sTitasya /
        nirdeṣayoḥ kvacit kadācit kavinādoṣabhāvena nirmitayoḥ kāvyatvaṃ na	nirdezayoH kvacid kadAcid kavinA doza BAvena nirmitayoH kAvya tvam na
   syāt, īṣaddoṣatvakāvyalakṣaṇasya tatrāsambhavāt /	syAt, Izat doza tva kAvya lakzaNasya tatra asamBavAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   sati saṃbhave "īṣaddoṣau" iti cet , etadapi kāvyalakṣaṇo na vācyam ,	sati saMBave "Izat dozO" iti ced , etat api kAvya lakzaNaH na vAcyam ,
   ratnādilakṣaṇo kīṭānuvedhādiparihāravat /	ratna Adi lakzaNaH kIwa anuveDa Adi parihAra vat /
   nahī kīṭānuvedhādayo ratnasya ratnatvaṃ vyāhantumīśāḥ	nahI kIwa anuveDa AdayaH ratnasya ratna tvam vyAhantum ISAH
   kintūpādeyatāratamyameva kartum /	kintu upAdeya tAratamyam eva kartum /
   tadvadatra śrutiduṣṭādayo 'pi kāvyasya /	tadvat atra Sruti duzwa AdayaH api kAvyasya /
   uktaṃ ca  	uktam ca  
   "kīṭānuviddharatnādisādhāraṇyena kāvyatā /	"kIwa anuvidDa ratna Adi sADAraNyena kAvyatA /
   duṣṭeṣvapi matā yatra rasādyanugamaḥ sphuṭaḥ" //	duzwezu api matA yatra rasa Adi anugamaH sPuwaH" //
   iti /	iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍa) sati sambhava iti   sphuṭadāṣarahite kadācidīṣaddoṣasya	(vi, xa) sati samBavaH iti    sPuwa dAza rahite kadAcid Izat dozasya
   sambhave satītyarthaḥ /	samBave sati iti arTaH /
        uktañceti   yatra rasādīnāmasaṃlakṣyakramāṇām anugamaḥ sphuṭaḥ tatra	uktaQca iti    yatra rasa AdInAm asaMlakzya kramANAm anugamaH sPuwaH tatra
   duṣṭeṣvapi kīṭānuviddharatnādisādhāraṇyena kāvyatā matā ityarthaḥ /	duzwezu api kIwa anuvidDa ratna Adi sADAraNyena kAvyatA matAH iti arTaH /
        Locanā:	LocanA:
        (o) kīṭānuviddheti sādhāraṇyena sāmānyena kāvyatāduṣṭeṣvapi mateti	(o) kIwa anuvidDA iti sADAraNyena sAmAnyena kAvyatA duzwezu api mata iti
   saṃbandhaḥ /	saMbanDaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   kiñca /	kiQca /
   śabdārthayoḥ saguṇatvaviśeṣaṇamupapannam /	Sabda arTayoH sa guNa tva viSezaNam upapannam /
   guṇānāṃ rasaikadharmatvasya "ye rasasyāṅgino dharmāḥ śauryādaya ivātmanaḥ"	guNAnAm rasa eka Darma tvasya "ye rasasya aFginaH DarmAH SOrya AdayaH iva AtmanaH"
   ityādinā tenaiva pratipāditatvāt /	ityAdinA tena eva pratipAdita tvAt /
   rasābhivyañjakatvenopacārata upapadyata iti cet ? tathāpyayuktam /	rasa aBivyaQjaka tvena upacArate upapadyate iti ced ? taTA api ayuktam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍha) evamadoṣāviti viśeṣaṇaṃ dūṣayitvā saguṇāviti viśeṣaṇaṃ	(vi, Xa) evam adozO= iti viSezaNam dUzayitvA sa guNO= iti viSezaNam
   dūṣayitumāha  kiñceti /	dUzayitum Aha  kiQcA iti /
        tena guṇāśrayarasavyañjakatvarūpaparamparāsambandhena	tena guNa ASraya rasa vyaQjaka tva rUpa paramparA sambanDena
   śabdārthayorguṇavattvopacāra ityarthaḥ /	Sabda arTayoH guNavat tva upacAraH iti arTaH /
        tathāpyuktaṃ guṇavattvaviśeṃṣaṇamityarthaḥ /	taTA api uktam guNavat tva viSeMzaNam iti arTaH /
        Locanā:	LocanA:
        (lo, au) evamadoṣatvasya kāvyalakṣaṇatvaṃ dūṣayitvā saguṇatvasyāpi	(lo, O) evam adoza tvasya kAvya lakzaNa tvam dUzayitvA sa guNa tvasya api
   dūṣayati /	dUzayati /
        anupapannam asambhavītyarthaḥ /	anupapannam asamBavi iti arTaH /
        rasaikadharmmatvasya rasabhātradharbhatvasya /	rasa eka Darmma tvasya rasa BAtra DarBa tvasya /
        tenaiva kāvyaprakāśakāreṇaiva /	tena eva kAvya prakASa kAreNa eva /
        rasābhivyañjakatveneti /	rasa aBivyaQjaka tvena iti /
        ayamarthaḥ śabdārthau khalu prācīnoktarītyā nirbhitau	ayam arTaH  Sabda arTO Kalu prAcIna uktarItyA nirBitO
   rasābhivyañjakau bhavato 'pyanumatau; tena rasādirūpavyaṅgyarūpāṇāmapi	rasa aBivyaQjakO BavataH api anumatO; tena rasa Adi rUpa vyaFgya rUpANAm api
   mādhuryyārdānāṃ vyañjakarūpaśabdārthadharmatvenopacāraḥ /	mADuryya ardAnAm vyaQjaka rUpa Sabda arTa Darma tvena upacAraH /
        yadāha sa eva "guṇavṛttyā punasteṣāṃ sthitiḥ śabdārthayormatā"iti /	yat Aha saH eva "guNa vRttyA punar tezAm sTitiH Sabda arTayoH matA" iti /
        maivamityāha  tathāpīti /	mA evam iti Aha   taTA api iti /
        upacārataḥ saguṇau śabdārthau kāvyamiti yaducyata ityarthaḥ /	upacArataH sa guNO Sabda arTO kAvyam iti yat ucyate iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tathāhi  	taTA hi  
   tayoḥ kāvyasvarūpeṇābhimatayoḥ śabdārthayo raso 'sti, na vā ? nāsti cet,	tayoH kAvya svarUpeNa aBimatayoH Sabda arTayaH rasaH asti, na vA ? na asti ced ,
