   BhP_04.01.001/0 maitreya uvāca	Bhu-_04.01.001/0 mEtreyaH uvAca
   BhP_04.02.006/1 udatiṣṭhan sadasyās te sva-dhiṣṇyebhyaḥ sahāgnayaḥ	Bhu-_04.02.006/1 udatizWan sadasyAH te sva--DizNyeByaH saha-agnayaH
   BhP_04.02.006/2 ṛte viriñcāṃ śarvaṃ ca tad-bhāsākṣipta-cetasaḥ	Bhu-_04.02.006/2 Rte viriQcAm Sarvam ca tad--BAsa-Akzipta--cetasaH
   BhP_04.02.007/1 sadasas-patibhir dakṣo bhagavān sādhu sat-kṛtaḥ	Bhu-_04.02.007/1 sadasas-patiBiH dakzaH BagavAn sADu sat-kRtaH
   BhP_04.02.007/2 ajaṃ loka-guruṃ natvā niṣasāda tad-ājñayā	Bhu-_04.02.007/2 ajam loka-gurum natvA nizasAda tad--AjQayA
   BhP_04.02.008/1 prāṅ-niṣaṇṇaṃ mṛḍaṃ dṛṣṭvā nāmṛṣyat tad-anādṛtaḥ	Bhu-_04.02.008/1 prAk--nizaNNam mRxam dRzwvA na-amRzyat tat--anAdRtaH
   BhP_04.02.008/2 uvāca vāmaṃ cakṣurbhyām abhivīkṣya dahann iva	BhP_04.02.008/2 uvAca vAmam cakzurByAm aBivIkzya dahan iva
   BhP_04.02.009/1 śrūyatāṃ brahmarṣayo me saha-devāḥ sahāgnayaḥ	Bhu-_04.02.009/1 SrUyatAm brahmarzayaH me saha-devAH saha-agnayaH
   BhP_04.02.009/2 sādhūnāṃ bruvato vṛttaṃ nājñānān na ca matsarāt	Bhu-_04.02.009/2 sADUnAm bruvataH vRttam na-ajQAnAt na ca matsarAt-
   BhP_04.02.010/1 ayaṃ tu loka-pālānāṃ yaśo-ghno nirapatrapaḥ	Bhu-_04.02.010/1 ayam tu loka-pAlAnAm yaSo-GnaH nirapatrapaH
   BhP_04.02.010/2 sadbhir ācaritaḥ panthā yena stabdhena dūṣitaḥ	Bhu-_04.02.010/2 sadBiH AcaritaH panTAH yena stabDena dUzitaH
   BhP_04.02.011/1 eṣa me śiṣyatāṃ prāpto yan me duhitur agrahīt	Bhu-_04.02.011/1 eza me Sizya-tAm prAptaH yat me duhituH agrahIt-
   BhP_04.02.011/2 pāṇiṃ viprāgni-mukhataḥ sāvitryā iva sādhuvat	Bhu-_04.02.011/2 pANim vipra-agni-muKataH sAvitryAH iva sADu-vat-
   BhP_04.02.012/1 gṛhītvā mṛga-śāvākṣyāḥ pāṇiṃ markaṭa-locanaḥ	Bhu-_04.02.012/1 gRhItvA mRga-Sa-avAkzyAH pANim markawa-locanaH
   BhP_04.02.012/2 pratyutthānābhivādārhe vācāpy akṛta nocitam	Bhu-_04.02.012/2 pratyutTAna-aBivAda-arhe vAcA-api akRta na-ucitam
   BhP_04.02.013/1 lupta-kriyāyāśucaye mānine bhinna-setave	Bhu-_04.02.013/1 lupta--kriyAya-aSucaye mAnine Binna--setave
   BhP_04.02.013/2 anicchann apy adāṃ bālāṃ śūdrāyevośatīṃ giram	Bhu-_04.02.013/2 anicCan api adAm bAlAm SUdrAya-iva-uSatIm giram
   BhP_04.02.014/1 pretāvāseṣu ghoreṣu pretair bhūta-gaṇair vṛtaḥ	BhP_04.02.014/1 preta-AvAsezu Gorezu pretEH BUta--gaNEH vRtaH
   BhP_04.02.014/2 aṭaty unmattavan nagno vyupta-keśo hasan rudan	Bhu-_04.02.014/2 awati unmatta-vat nagnaH vyupta-keSaH hasan rudan
   BhP_04.02.015/1 citā-bhasma-kṛta-snānaḥ preta-sraṅ-nrasthi-bhūṣaṇaḥ	Bhu-_04.02.015/1 citA--Basma-kRta-snAnaH preta--sraj--nR-asTi-BUzaNaH
   BhP_04.02.015/2 śivāpadeśo hy aśivo matto matta-jana-priyaḥ	Bhu-_04.02.015/2 Siva-apadeSaH hi aSivaH mattaH matta--jana-priyaH
   BhP_04.02.015/3 patiḥ pramatha-nāthānāṃ tamo-mātrātmakātmanām	Bhu-_04.02.015/3 patiH pramaTa-nATAnAm tamaH---mAtra-Atmaka-AtmanAm
   BhP_04.02.016/1 tasmā unmāda-nāthāya naṣṭa-śaucāya durhṛde	Bhu-_04.02.016/1 tasmE unmAda-nATAya nazwa--SOcAya durhRde
   BhP_04.02.016/2 dattā bata mayā sādhvī codite parameṣṭhinā	Bhu-_04.02.016/2 dattA bata mayA sADvI codite paramezWinA
   BhP_04.02.017/0 maitreya uvāca	Bhu-_04.02.017/0 mEtreyaH uvAca
   BhP_04.02.017/1 vinindyaivaṃ sa giriśam apratīpam avasthitam	Bhu-_04.02.017/1 vinindya-evam sa giriSam apratIpam avasTitam
   BhP_04.02.017/2 dakṣo 'thāpa upaspṛśya kruddhaḥ śaptuṃ pracakrame	Bhu-_04.02.017/2 dakzaH aTa-apaH upaspRSya krudDaH Saptum pracakrame
   BhP_04.02.018/1 ayaṃ tu deva-yajana indropendrādibhir bhavaḥ	Bhu-_04.02.018/1 ayam tu deva-yajane indra-upendra-AdiBiH BavaH
   BhP_04.02.018/2 saha bhāgaṃ na labhatāṃ devair deva-gaṇādhamaḥ	Bhu-_04.02.018/2 saha BAgam na laBatAm devEH deva--gaNa-aDamaH
   BhP_04.02.019/1 niṣidhyamānaḥ sa sadasya-mukhyair dakṣo giritrāya visṛjya	Bhu-_04.02.019/1 niziDyamAnaH sa sadasya--muKyEH dakzaH giritrAya visRjya
   śāpam	SApam
   BhP_04.02.019/2 tasmād viniṣkramya vivṛddha-manyur jagāma kauravya nijaṃ	Bhu-_04.02.019/2 tasmAt vinizkramya vivRdDa-manyuH jagAma kOravya nijam
   niketanam	niketanam
   BhP_04.02.020/1 vijñāya śāpaṃ giriśānugāgraṇīr nandīśvaro	Bhu-_04.02.020/1 vijQAya SApam giriSa-anuga-agraNIH nandISvaraH-
   roṣa-kaṣāya-dūṣitaḥ	roza--kazAya-dUzitaH
   BhP_04.02.020/2 dakṣāya śāpaṃ visasarja dāruṇaṃ ye cānvamodaṃs	Bhu-_04.02.020/2 dakzAya SApam visasarja dAruNam ye ca-anvamodan=-
   tad-avācyatāṃ dvijāḥ	tat--avAcya-tAm dvijAH
   BhP_04.02.021/1 ya etan martyam uddiśya bhagavaty apratidruhi	Bhu-_04.02.021/1 yaH etat martyam uddiSya Bagavati apratidruhi
   BhP_04.02.021/2 druhyaty ajñaḥ pṛthag-dṛṣṭis tattvato vimukho bhavet	Bhu-_04.02.021/2 druhyati ajQaH pRTak--dRzwiH tattvataH vimuKaH Bavet-
   BhP_04.02.022/1 gṛheṣu kūṭa-dharmeṣu sakto grāmya-sukhecchayā	Bhu-_04.02.022/1 gRhezu kUwa-Darmezu saktaH grAmya--suKa-icCayA
   BhP_04.02.022/2 karma-tantraṃ vitanute veda-vāda-vipanna-dhīḥ	Bhu-_04.02.022/2 karma-tantram vitanute veda-vAda--vipanna-DIH
   BhP_04.02.023/1 buddhyā parābhidhyāyinyā vismṛtātma-gatiḥ paśuḥ	Bhu-_04.02.023/1 budDyA para-aBiDyAyinyA vismRta-Atma--gatiH paSuH
   BhP_04.02.023/2 strī-kāmaḥ so 'stv atitarāṃ dakṣo basta-mukho 'cirāt	Bhu-_04.02.023/2 strI-kAmaH saH astu atitarAm dakzaH basta-muKaH acirAt-
   BhP_04.02.024/1 vidyā-buddhir avidyāyāṃ karmamayyām asau jaḍaḥ	Bhu-_04.02.024/1 vidyA--budDiH avidyAyAm karma-mayyAm asO jaxaH
   BhP_04.02.024/2 saṃsarantv iha ye cāmum anu śarvāvamāninam	Bhu-_04.02.024/2 saMsarantu iha ye ca-amum anu Sarva-avamAninam
   BhP_04.02.025/1 giraḥ śrutāyāḥ puṣpiṇyā madhu-gandhena bhūriṇā	Bhu-_04.02.025/1 giraH SrutAyAH puzpiNyAH maDu--ganDena BUriNA
   BhP_04.02.025/2 mathnā conmathitātmānaḥ sammuhyantu hara-dviṣaḥ	Bhu-_04.02.025/2 maTnA ca-unmaTita-AtmAnaH sammuhyantu hara-dvizaH
   BhP_04.02.026/1 sarva-bhakṣā dvijā vṛttyai dhṛta-vidyā-tapo-vratāḥ	Bhu-_04.02.026/1 sarva-BakzAH dvijAH vRttyE DRta-vidyA--tapo-vratAH
   BhP_04.02.026/2 vitta-dehendriyārāmā yācakā vicarantv iha	Bhu-_04.02.026/2 vitta-deha-indriya-ArAmAH yAcakAH vicarantu iha
   BhP_04.02.027/1 tasyaivaṃ vadataḥ śāpaṃ śrutvā dvija-kulāya vai	Bhu-_04.02.027/1 tasya-evam vadataH SApam SrutvA dvija-kulAya vE
   BhP_04.02.027/2 bhṛguḥ pratyasṛjac chāpaṃ brahma-daṇḍaṃ duratyayam	BhP_04.02.027/2 BRguH pratyasRjat SApam brahma--daNxam duratyayam
   BhP_04.02.028/1 bhava-vrata-dharā ye ca ye ca tān samanuvratāḥ	Bhu-_04.02.028/1 Bava-vrata-DarAH ye ca ye ca tAn samanuvratAH
   BhP_04.02.028/2 pāṣaṇḍinas te bhavantu sac-chāstra-paripanthinaḥ	Bhu-_04.02.028/2 pAzaNxinaH te Bavantu sac--SAstra--paripanTinaH
   BhP_04.02.029/1 naṣṭa-śaucā mūḍha-dhiyo jaṭā-bhasmāsthi-dhāriṇaḥ	Bhu-_04.02.029/1 nazwa--SOcAH mUXa-DiyaH jawA-Basma-asTi-DAriNaH
   BhP_04.02.029/2 viśantu śiva-dīkṣāyāṃ yatra daivaṃ surāsavam	Bhu-_04.02.029/2 viSantu Siva--dIkzAyAm yatra dEvam surAsavam
   BhP_04.02.030/1 brahma ca brāhmaṇāṃś caiva yad yūyaṃ parinindatha	Bhu-_04.02.030/1 brahma ca brAhmaNAn ca-eva yat yUyam parinindaTa
   BhP_04.02.030/2 setuṃ vidhāraṇaṃ puṃsām ataḥ pāṣaṇḍam āśritāḥ	Bhu-_04.02.030/2 setum viDAraNam puMsAm atas pAzaNxam ASritAH
   BhP_04.02.031/1 eṣa eva hi lokānāṃ śivaḥ panthāḥ sanātanaḥ	Bhu-_04.02.031/1 ezaH eva hi lokAnAm SivaH panTAH sanAtanaH
   BhP_04.02.031/2 yaṃ pūrve cānusantasthur yat-pramāṇaṃ janārdanaḥ	Bhu-_04.02.031/2 yam pUrve ca-anusantasTuH yat--pramANam janArdanaH
   BhP_04.02.032/1 tad brahma paramaṃ śuddhaṃ satāṃ vartma sanātanam	Bhu-_04.02.032/1 tat brahma paramam SudDam satAm vartma sanAtanam
   BhP_04.02.032/2 vigarhya yāta pāṣaṇḍaṃ daivaṃ vo yatra bhūta-rāṭ	Bhu-_04.02.032/2 vigarhya yAta pAzaNxam dEvam vaH yatra BUta-rAj-
   BhP_04.02.033/0 maitreya uvāca	Bhu-_04.02.033/0 mEtreyaH uvAca
   BhP_04.02.033/1 tasyaivaṃ vadataḥ śāpaṃ bhṛgoḥ sa bhagavān bhavaḥ	Bhu-_04.02.033/1 tasya-evam vadataH SApam BRgoH sa BagavAn BavaH
   BhP_04.02.033/2 niścakrāma tataḥ kiñcid vimanā iva sānugaḥ	BhP_04.02.033/2 niScakrAma tatas kiQcid vimanAH iva sa-anugaH
   BhP_04.02.034/1 te 'pi viśva-sṛjaḥ satraṃ sahasra-parivatsarān	Bhu-_04.02.034/1 te api viSva-sRjaH satram sahasra--parivatsarAn
   BhP_04.02.034/2 saṃvidhāya maheṣvāsa yatrejya ṛṣabho hariḥ	Bhu-_04.02.034/2 saMviDAya mahA-izvAsa yatra-ijyaH RzaBaH hariH
   BhP_04.02.035/1 āplutyāvabhṛthaṃ yatra gaṅgā yamunayānvitā	Bhu-_04.02.035/1 Aplutya-avaBRTam yatra gaFgA yamunayA-anvitA
   BhP_04.02.035/2 virajenātmanā sarve svaṃ svaṃ dhāma yayus tataḥ	Bhu-_04.02.035/2 virajena-AtmanA sarve svam svam DAma yayuH tatas-
   BhP_04.03.001/0 maitreya uvāca	Bhu-_04.03.001/0 mEtreyaH uvAca
   BhP_04.03.001/1 sadā vidviṣator evaṃ kālo vai dhriyamāṇayoḥ	Bhu-_04.03.001/1 sadA vidvizatoH evam kAlaH vE DriyamANayoH
   BhP_04.03.001/2 jāmātuḥ śvaśurasyāpi sumahān aticakrame	BhP_04.03.001/2 jAmAtuH SvaSurasya-api su-mahAn aticakrame
   BhP_04.03.002/1 yadābhiṣikto dakṣas tu brahmaṇā parameṣṭhinā	Bhu-_04.03.002/1 yadA-aBiziktaH dakzaH tu brahmaNA paramezWinA
   BhP_04.03.002/2 prajāpatīnāṃ sarveṣām ādhipatye smayo 'bhavat	Bhu-_04.03.002/2 prajApatInAm sarvezAm ADipatye smayaH aBavat-
   BhP_04.03.003/1 iṣṭvā sa vājapeyena brahmiṣṭhān abhibhūya ca	Bhu-_04.03.003/1 izwvA sa vAjapeyena brahmizWAn aBiBUya ca
   BhP_04.03.003/2 bṛhaspati-savaṃ nāma samārebhe kratūttamam	Bha-a_04.03.003/2 bRhaspati-savam nAma samAreBe kratu-uttamam
   BhP_04.03.004/1 tasmin brahmarṣayaḥ sarve devarṣi-pitṛ-devatāḥ	Bhu-_04.03.004/1 tasmin brahmarzayaH sarve deva-Rzi--pitR-devatAH
   BhP_04.03.004/2 āsan kṛta-svastyayanās tat-patnyaś ca sa-bhartṛkāḥ	Bhu-_04.03.004/2 Asan kRta--svastyayanAH tat-patnyaH ca sa-BartRkAH
   BhP_04.03.005/1 tad upaśrutya nabhasi khe-carāṇāṃ prajalpatām	Bhu-_04.03.005/1 tat upaSrutya naBasi Ke-carANAm prajalpatAm
   BhP_04.03.005/2 satī dākṣāyaṇī devī pitṛ-yajña-mahotsavam	BhP_04.03.005/2 satI dAkzAyaNI devI pitR-yajQa--mahA-utsavam
   BhP_04.03.006/1 vrajantīḥ sarvato digbhya upadeva-vara-striyaḥ	Bhu-_04.03.006/1 vrajantIH sarvatas digByaH upadeva--vara--striyaH
   BhP_04.03.006/2 vimāna-yānāḥ sa-preṣṭhā niṣka-kaṇṭhīḥ suvāsasaḥ	Bhu-_04.03.006/2 vimAna-yAnAH sa-prezWAH nizka-kaNWIH su-vAsasaH
   BhP_04.03.007/1 dṛṣṭvā sva-nilayābhyāśe lolākṣīr mṛṣṭa-kuṇḍalāḥ	Bhu-_04.03.007/1 dRzwvA sva--nilaya-aByASe lola-akzIH mRzwa--kuNxalAH
   BhP_04.03.007/2 patiṃ bhūta-patiṃ devam autsukyād abhyabhāṣata	Bhu-_04.03.007/2 patim BUta-patim devam OtsukyAt aByaBAzata
   BhP_04.03.008/0 saty uvāca	Bhu-_04.03.008/0 satI uvAca
   BhP_04.03.008/1 prajāpates te śvaśurasya sāmprataṃ niryāpito	Bhu-_04.03.008/1 prajApateH te SvaSurasya sAmpratam niryApitaH-
   yajña-mahotsavaḥ kila	yajQa--mahA-utsavaH kila
   BhP_04.03.008/2 vayaṃ ca tatrābhisarāma vāma te yady arthitāmī vibudhā	Bhu-_04.03.008/2 vayam ca tatra-aBisarAma vAma te yadi arTi-tAmI vibuDA
   vrajanti hi	vrajanti hi
   BhP_04.03.009/1 tasmin bhaginyo mama bhartṛbhiḥ svakair dhruvaṃ gamiṣyanti	Bhu-_04.03.009/1 tasmin BaginyaH mama BartRBiH svakEH Druvam gamizyanti
   suhṛd-didṛkṣavaḥ	suhRd--didRkzavaH
   BhP_04.03.009/2 ahaṃ ca tasmin bhavatābhikāmaye sahopanītaṃ paribarham	Bhu-_04.03.009/2 aham ca tasmin BavatA-aBikAmaye saha-upanItam paribarham
   arhitum	arhitum
   BhP_04.03.010/1 tatra svasṝr me nanu bhartṛ-sammitā mātṛ-ṣvasṝḥ	Bhu-_04.03.010/1 tatra svasLH me nanu BartR--sammitA mAtR--zu-asLH
   klinna-dhiyaṃ ca mātaram	klinna-Diyam ca mAtaram
   BhP_04.03.010/2 drakṣye cirotkaṇṭha-manā maharṣibhir unnīyamānaṃ ca	Bhu-_04.03.010/2 drakzye cira-utkaNWa-manAH mahA-RziBiH unnIyamAnam ca
   mṛḍādhvara-dhvajam	mRxa-aDvara--Dvajam
   BhP_04.03.011/1 tvayy etad āścaryam ajātma-māyayā vinirmitaṃ bhāti	Bhu-_04.03.011/1 tvayi etat AScaryam aja-Atma--mAyayA vinirmitam BAti
   guṇa-trayātmakam	guNa--traya-Atmakam
   BhP_04.03.011/2 tathāpy ahaṃ yoṣid atattva-vic ca te dīnā didṛkṣe bhava me	Bhu-_04.03.011/2 taTA-api aham yozit atattva-vid ca te dInA didRkze Bava me
   bhava-kṣitim	Bava--kzitim
   BhP_04.03.012/1 paśya prayāntīr abhavānya-yoṣito 'py alaṅkṛtāḥ kānta-sakhā	Bhu-_04.03.012/1 paSya prayAntIH aBavAnya-yozitaH api alaFkRtAH kAnta-saKA
   varūthaśaḥ	varUTaSas-
   BhP_04.03.012/2 yāsāṃ vrajadbhiḥ śiti-kaṇṭha maṇḍitaṃ nabho vimānaiḥ	Bhu-_04.03.012/2 yAsAm vrajadBiH Siti-kaNWa maNxitam naBaH vimAnEH
   kala-haṃsa-pāṇḍubhiḥ	kala--haMsa--pANxuBiH
   BhP_04.03.013/1 kathaṃ sutāyāḥ pitṛ-geha-kautukaṃ niśamya dehaḥ sura-varya	Bhu-_04.03.013/1 kaTam sutAyAH pitR-geha--kOtukam niSamya dehaH sura--varya
   neṅgate	na-iFgate
   BhP_04.03.013/2 anāhutā apy abhiyanti sauhṛdaṃ bhartur guror deha-kṛtaś ca	Bhu-_04.03.013/2 anAhutAH api aBiyanti sOhRdam BartuH guroH deha-kRtaH ca
   ketanam	ketanam
   BhP_04.03.014/1 tan me prasīdedam amartya vāñchitaṃ kartuṃ bhavān kāruṇiko	Bhu-_04.03.014/1 tat me prasIda-idam amartya vAQCitam kartum BavAn kAruNikaH-
   batārhati	bata-arhati
   BhP_04.03.014/2 tvayātmano 'rdhe 'ham adabhra-cakṣuṣā nirūpitā mānugṛhāṇa	Bhu-_04.03.014/2 tvayA-AtmanaH arDe aham adaBra-cakzuzA nirUpitA mA-anugRhANa
   yācitaḥ	yAcitaH
   BhP_04.03.015/0 ṛṣir uvāca	BhP_04.03.015/0 RziH uvAca
   BhP_04.03.015/1 evaṃ giritraḥ priyayābhibhāṣitaḥ pratyabhyadhatta prahasan	Bhu-_04.03.015/1 evam giritraH priyayA-aBiBAzitaH pratyaByaDatta prahasan
   suhṛt-priyaḥ	suhRt-priyaH
   BhP_04.03.015/2 saṃsmārito marma-bhidaḥ kuvāg-iṣūn yān āha ko viśva-sṛjāṃ	Bhu-_04.03.015/2 saMsmAritaH marma-BidaH ku-vAc--izUn yAn Aha kaH viSva-sRjAm
   samakṣataḥ	samakzataH
   BhP_04.03.016/0 śrī-bhagavān uvāca	Bhu-_04.03.016/0 SrI--BagavAn uvAca
   BhP_04.03.016/1 tvayoditaṃ śobhanam eva śobhane anāhutā apy abhiyanti	Bhu-_04.03.016/1 tvayA-uditam SoBanam eva SoBane anAhutAH api aBiyanti
   bandhuṣu	banDuzu
   BhP_04.03.016/2 te yady anutpādita-doṣa-dṛṣṭayo balīyasānātmya-madena	Bhu-_04.03.016/2 te yadi anutpAdita--doza--dRzwayaH balIyasA-anAtmya--madena
   manyunā	manyunA
   BhP_04.03.017/1 vidyā-tapo-vitta-vapur-vayaḥ-kulaiḥ satāṃ guṇaiḥ ṣaḍbhir	Bhu-_04.03.017/1 vidyA-tapo--vitta--vapuH--vayaH--kulEH satAm guNEH zaxBiH-
   asattametaraiḥ	asattam-etarEH
   BhP_04.03.017/2 smṛtau hatāyāṃ bhṛta-māna-durdṛśaḥ stabdhā na paśyanti hi	Bhu-_04.03.017/2 smRtO hatAyAm BRta-mAna--durdRSaH stabDAH na paSyanti hi
   dhāma bhūyasām	DAma BUyasAm
   BhP_04.03.018/1 naitādṛśānāṃ sva-jana-vyapekṣayā gṛhān pratīyād	Bhu-_04.03.018/1 na-etAdRSAnAm sva--jana--vyapekzayA gRhAn pratIyAt-
   anavasthitātmanām	anavasTita-AtmanAm
   BhP_04.03.018/2 ye 'bhyāgatān vakra-dhiyābhicakṣate āropita-bhrūbhir	Bhu-_04.03.018/2 ye aByAgatAn vakra--DiyA-aBicakzate Aropita--BrUBiH-
   amarṣaṇākṣibhiḥ	amarzaNa-akziBiH
   BhP_04.03.019/1 tathāribhir na vyathate śilīmukhaiḥ śete 'rditāṅgo	Bhu-_04.03.019/1 taTA-ariBiH na vyaTate SilImuKEH Sete ardita-aFgaH-
   hṛdayena dūyatā	hRdayena dUyatA
   BhP_04.03.019/2 svānāṃ yathā vakra-dhiyāṃ duruktibhir divā-niśaṃ tapyati	Bhu-_04.03.019/2 svAnAm yaTA vakra--DiyAm duruktiBiH divA-niSam tapyati
   marma-tāḍitaḥ	marma--tAxitaH
   BhP_04.03.020/1 vyaktaṃ tvam utkṛṣṭa-gateḥ prajāpateḥ priyātmajānām asi	Bhu-_04.03.020/1 vyaktam tvam utkRzwa--gateH prajApateH priya-AtmajAnAm asi
   subhru me matā	suBru me matA
   BhP_04.03.020/2 tathāpi mānaṃ na pituḥ prapatsyase mad-āśrayāt kaḥ	Bhu-_04.03.020/2 taTA-api mAnam na pituH prapatsyase mad--ASrayAt kaH
   paritapyate yataḥ	paritapyate yatas-
   BhP_04.03.021/1 pāpacyamānena hṛdāturendriyaḥ samṛddhibhiḥ	Bhu-_04.03.021/1 pApacyamAnena hRd-Atura-indriyaH samRdDiBiH
   pūruṣa-buddhi-sākṣiṇām	pUruza--budDi--sAkziNAm
   BhP_04.03.021/2 akalpa eṣām adhiroḍhum añjasā paraṃ padaṃ dveṣṭi yathāsurā	Bhu-_04.03.021/2 akalpaH ezAm aDiroXum aQjasA param padam dvezwi yaTA-asurA
   harim	harim
   BhP_04.03.022/1 pratyudgama-praśrayaṇābhivādanaṃ vidhīyate sādhu mithaḥ	Bhu-_04.03.022/1 pratyudgama--praSrayaNa-aBivAdanam viDIyate sADu miTas-
   sumadhyame	sumaDyame
   BhP_04.03.022/2 prājñaiḥ parasmai puruṣāya cetasā guhā-śayāyaiva na	Bhu-_04.03.022/2 prAjQEH parasmE puruzAya cetasA guhA-SayAya-eva na
   deha-mānine	deha-mAnine
   BhP_04.03.023/1 sattvaṃ viśuddhaṃ vasudeva-śabditaṃ yad īyate tatra pumān	Bhu-_04.03.023/1 sattvam viSudDam vasudeva--Sabditam yat Iyate tatra pumAn
   apāvṛtaḥ	apAvRtaH
   BhP_04.03.023/2 sattve ca tasmin bhagavān vāsudevo hy adhokṣajo me namasā	Bhu-_04.03.023/2 sattve ca tasmin BagavAn vAsudevaH hi aDokzajaH me namasA
   vidhīyate	viDIyate
   BhP_04.03.024/1 tat te nirīkṣyo na pitāpi deha-kṛd dakṣo mama dviṭ	Bhu-_04.03.024/1 tat te nirIkzyaH na pitA-api deha-kRt dakzaH mama dviz-
   tad-anuvratāś ca ye	tad--anuvratAH ca ye
   BhP_04.03.024/2 yo viśvasṛg-yajña-gataṃ varoru mām anāgasaṃ durvacasākarot	Bhu-_04.03.024/2 yaH viSva-sRj--yajQa--gatam vara-Uru mAm anAgasam durvacasA-akarot
   tiraḥ	tiras-
   BhP_04.03.025/1 yadi vrajiṣyasy atihāya mad-vaco bhadraṃ bhavatyā na tato	Bhu-_04.03.025/1 yadi vrajizyasi atihAya mad--vacaH Badram BavatyA na tatas-
   bhaviṣyati	Bavizyati
   BhP_04.03.025/2 sambhāvitasya sva-janāt parābhavo yadā sa sadyo maraṇāya	Bhu-_04.03.025/2 samBAvitasya su-a-janAt parABavaH yadA sa sadyas maraNAya
   kalpate	kalpate
   BhP_04.04.001/0 maitreya uvāca	Bhu-_04.04.001/0 mEtreyaH uvAca
   BhP_04.04.001/1 etāvad uktvā virarāma śaṅkaraḥ patny-aṅga-nāśaṃ hy	Bhu-_04.04.001/1 etAvat uktvA virarAma SaFkaraH patnI--aFga-nASam hi-
   ubhayatra cintayan	uBayatra cintayan
   BhP_04.04.001/2 suhṛd-didṛkṣuḥ pariśaṅkitā bhavān niṣkrāmatī nirviśatī	BhP_04.04.001/2 suhRd-didRkzuH pariSaFkitA BavAn nizkrAmatI nirviSatI
   dvidhāsa sā	dviDAsa sA
   BhP_04.04.002/1 suhṛd-didṛkṣā-pratighāta-durmanāḥ snehād rudaty	Bhu-_04.04.002/1 suhRd--didRkzA--pratiGAta--durmanAH snehAt rudati-
   aśru-kalātivihvalā	aSru--kalA-ati-vihvalA
   BhP_04.04.002/2 bhavaṃ bhavāny apratipūruṣaṃ ruṣā pradhakṣyatīvaikṣata	Bhu-_04.04.002/2 Bavam BavAni apratipUruzam ruzA praDakzyati-iva-Ekzata
   jāta-vepathuḥ	jAta--vepaTuH
   BhP_04.04.003/1 tato viniḥśvasya satī vihāya taṃ śokena roṣeṇa ca dūyatā	Bhu-_04.04.003/1 tatas viniHSvasya satI vihAya tam Sokena rozeNa ca dUyatA
   hṛdā	hRdA
   BhP_04.04.003/2 pitror agāt straiṇa-vimūḍha-dhīr gṛhān premṇātmano yo	Bhu-_04.04.003/2 pitroH agAt strENa--vimUXa--DIH gRhAn premNA-AtmanaH yaH-
   'rdham adāt satāṃ priyaḥ	arDam adAt satAm priyaH
   BhP_04.04.004/1 tām anvagacchan druta-vikramāṃ satīm ekāṃ tri-netrānucarāḥ	Bhu-_04.04.004/1 tAm anvagacCan druta--vikramAm satIm ekAm tri-netra-anucarAH
   sahasraśaḥ	sahasraSas-
   BhP_04.04.004/2 sa-pārṣada-yakṣā maṇiman-madādayaḥ puro-vṛṣendrās tarasā	Bhu-_04.04.004/2 sa--pArzada--yakzAH maNi-man-mada-AdayaH puro-vRza-indrAH tarasA
   gata-vyathāḥ	gata--vyaTAH
   BhP_04.04.005/1 tāṃ sārikā-kanduka-darpaṇāmbuja-	Bhu-_04.04.005/1 tAm sArikA--kanduka-darpaNa-ambuja-
   śvetātapatra-vyajana-srag-ādibhiḥ	Sveta-Atapatra-vyajana--sraj--AdiBiH
   BhP_04.04.005/2 gītāyanair dundubhi-śaṅkha-veṇubhir vṛṣendram āropya	Bhu-_04.04.005/2 gIta-ayanEH dunduBi--SaFKa--veNuBiH vRza-indram Aropya
   viṭaṅkitā yayuḥ	viwaFkitAH yayuH
   BhP_04.04.006/1 ābrahma-ghoṣorjita-yajña-vaiśasaṃ viprarṣi-juṣṭaṃ	Bhu-_04.04.006/1 Abrahma-Goza-UH-jita-yajQa--vESasam vipraRzi--juzwam
   vibudhaiś ca sarvaśaḥ	vibuDEH ca sarvaSas-
   BhP_04.04.006/2 mṛd-dārv-ayaḥ-kāñcana-darbha-carmabhir nisṛṣṭa-bhāṇḍaṃ	BhP_04.04.006/2 mRd-dAru--ayaH--kAQcana--darBa--carmaBiH nisRzwa--BANxam
   yajanaṃ samāviśat	yajanam samAviSat-
   BhP_04.04.007/1 tām āgatāṃ tatra na kaścanādriyad vimānitāṃ yajña-kṛto	Bhu-_04.04.007/1 tAm AgatAm tatra na kaScana-Adriyat vimAnitAm yajQa-kRtaH-
   bhayāj janaḥ	BayAt janaH
   BhP_04.04.007/2 ṛte svasṝr vai jananīṃ ca sādarāḥ premāśru-kaṇṭhyaḥ	Bhu-_04.04.007/2 Rte svasLH vE jananIm ca sAdarAH prema-aSru--kaNWyaH
   pariṣasvajur mudā	parizasvajuH mudA
   BhP_04.04.008/1 saudarya-sampraśna-samartha-vārtayā mātrā ca	Bhu-_04.04.008/1 sOdarya--sampraSna--samarTa--vArtayA mAtrA ca
   mātṛ-ṣvasṛbhiś ca sādaram	mAtR-zu-asRBiH ca sAdaram
   BhP_04.04.008/2 dattāṃ saparyāṃ varam āsanaṃ ca sā nādatta	Bhu-_04.04.008/2 dattAm saparyAm varam Asanam ca sA na-adatta
   pitrāpratinanditā satī	pitrA-pratinanditA satI
