   %Chapter 1: introduction,	%ChapteH 1: intra-uductiA-Un,
   %visualisation of 5-faced, 16-armed Bhairava	%visuali-sation of 5-faced, 16-armet BhEH-ava
   dvādaśānte na cittasya & dvitā** na bhāvanam	dvAdaSAnte na cittasya & dvi-tA** na BAvanam
   manasā tattva*yeṇa & na mokṣa na ca vidyate	manasA tattva*yeNa & na mokza na ca vidyate
   buddhinetra bhavet kiñ ci & buddhibandhavikalpanā	budDi-netra Bavet kiQ ci & budDi-banDa-vikalpanA
   gu..ye varārohe & ...ma vidyate	gu..ye varArohe & ...ma vidyate
   [\fol 48r]	[\fot 48r]
   malamālā tathā varṇṇa & jīvaśakti varānane	mala-mAlA taTA varNNaH & jIva-Sakti varAnane
   uccāraye...	uccAraye...
   ...rvatattvarūpeṇa & teṣāṃ mokṣo na vidyate	...rvatattva-rUpeNa & tezAm mokzaH na vidyate
   yā sā granthi mahābhāge & jñānarūpaparāparaṃ	yA sA granTi mahABAge & jQAna-rUpa-para-aparam
   jñātvā granthi mahādevi & anyajñāna...	jQAtvA granTi mahAdevi & anya-jQAna-...
   cakṣu[ḥ]śrotraṃ tathā ghrāṇa & vaktra gṛhya sadorgatiḥ	cakzu[H]Srotram taTA GrANaH & vaktra gRhya sadoH-gatiH
   nāḍī divya sureśāni & jñatvā vyāptaṃ sacarācaraṃ	nAxI divya sureSAni & jQatvA vyAptam sa-carAcaram
   pūrakakumbhakañ caiva & recakan tu tṛtīyaykam	pUraka-kumBakan ca-eva & recakan tu tRtIyaykam
   varjayet tāni devi & yadi -m- iccha siddhim uttamam % em: vārjayet tāni tu	varjayet tAni devi & yadi -m icCa sidDim uttamam % em: vA-arjayet tAni tu
   devi yadīcchet siddhim...	devi yadi-icCet sidDim...
   athāta sampravakṣyami & yathā tattvasya lakṣaṇam	aTa-atas sampravakzyami & yaTA tattvasya lakzaNam
   na cetā na jaḍāś caiva & nātm<ā> paras tathā{ś} caiva	na cetAH na jaxAH ca-eva & na-Atm<A> paraH taTA-a{S} ca-eva
   bharitāvasthāsampūrṇṇa&sarvvajñena śrīdhāriṇī	Barita-avasTA-sampUrNNa&-saru-vajQena SrI-DAriNI
   na śūnyaṃ na pratyakṣaṃ & na dūre nāpi madhyame	na SUnyam na pratyakzam & na dUre na-api maDyame
   bharitāvasthāsampūrṇṇa&sarvvajñena śrīdhāriṇī	Barita-avasTA-sampUrNNa&-saru-vajQena SrI-DAriNI
   na dehe gagane nāpi & lolībhūte naiva ca	na dehe gagane na-api & lolIBUte na-eva ca
   eta yat ka ci nirmuktaṃ & sāvasthā kaulikā gatā % em: kaulikā matā	eta yat kaH ci nirmuktam & sA-avasTA kOlikA gatA % em: kOlikA matA
   [\fol 48v] etāvasthā parityajya & pūrṇṇāvasthā mahāsukha	[\fot 48v] etAvasTA parityajya & pUrNNa-avasTA mahA-suKa
   bharitāvasthāmantrās tu & yo janāti sa kaulikaṃ	Barita-avasTA-mantrAH tu & yaH janAti sa kOlikam
   ekākāragatā śāntā & parāparasya tatvasya // \orn //	eka-AkAra-gatA SAntAH & parAparasya tatvasya // \orn //
   %List of deities	%List of deitieH-
   prayāge veśyā /	prayAge veSyA /
   vārāṇasyāṃ dhīmara /	vArANasyAm DImara /
   kolakaṃ dunī /	kolakam dunI /
   aṭṭahāse khaṭinī /	awwahAse KawinI /
   jayantyāyāñ *mbinī /	jayantyAyAn *mbinI /
   eritrā cchipiṇī /	eritrA cCipiNI /
   ekambā bhālinīdevī	ekambA BAlinI-devI
   koṇḍe mālinī /	koNxe mAlinI /
   śrīmadanapāda /	SrI-madanapAdaH /
   śrībhaṭṭapāda /	SrI-BawwapAda /
   śrīkālavyā /	SrI-kAlavyA /
   śrī...ravvā /	SrI-...ravvA /
   śrī-ānandavvā /	SrI--AnandavvA /
   śrīnantavvā /	SrInantavvA /
   śrīvanadavvā /	SrIvanadavvA /
   śrīmacchandapāda /	SrImat-CandapAda /
   śrībhoṭṭapāda /	SrI-BowwapAda /
   śrīhariṇapāda /	SrI-hariNa-pAdaH /
   śrīdhavalapāda /	SrIDavala-pAda /
   śrīvyāghrapāda /	SrI-vyAGrapAda /
   ākhyāï /	AKyAï /
   illāï /	illAï /
   uhāï /	uhAï /
   [si]ṣāï /	[si]zAï /
   dhisāï /	DisAï /
   esāï /	esAï /
   īhāï /	IhAï /
   brāhmaṇī /	brAhmaNI /
   māheśvarī /	mAheSvarI /
   kaumārī /	kOmArI /
   indrāṇī /	indrANI /
   [vaiṣṇavī /]	[vEzNavI /]
   vārāhī /	vArAhI /
   cāmuṇḍī /	cAmuNxI /
   mahābhairavalakṣmī /	mahABErava-lakzmI /
   %Here begin the Nirvāṇakārikā	%Here begin Te NiH-vANa-kArikA
   amala....lācai...	amala-....lA-cE...
   [\fol 49r]	[\fot 49r]
   ***[ptā?] yathā devī vipulaḥ kṛta...vibuddhatatkṣaṇādevī....	***[ptA?] yaTA devI vipulaH kRta-...vibudDa-tad-kzaNA-devI....
   jīvo py eva yadā devī & puṇyapāpais tu veṣṭita<ḥ>	jIvaH pi eva yadA devI & puNya-pApEH tu vezwita<H>
   jñānavijñānayogena & ....	jQAna-vijQAna-yogena & ....
   ...ccāryaśivo devī & likhyate na ca paṭhyate	...cca-Arya-SivaH devI & liKyate na ca paWyate
   puṭadvayaviniṣkrānte & vāyu putra pralīyate	puwa-dvaya-vinizkrAnte & vAyu putra pralIyate
   sa muktita<ḥ> paraṃ brahma & taṃ śiva<ṃ> paramam padam	sa muktita<H> param brahma & tam Siva<M> paramam padam
   mukhāgre yaḥ [pa]ramaṃ sūkṣmaṃ & dṛśyate vyomamadhyayaṃ %em	muKa-agre yaH [pa]ramam sUkzmam & dRSyate vyomam-aDyayam %em
   paraṃ...madhyamam	paraM...maDyamam
   nāsāpuṭaviniṣkrānto & vāyu tatra pralīyate	nAsA-puwa-vinizkrAntaH & vAyu tatra pralIyate
   tas tu saṃsthaṃ mana kṛtvā & ta dhyāyasva varānane	taH tu saMsTam mana kRtvA & te DyAyasva varAnane
   sa śivas tu **rtti & sa mokṣamokṣadaṃ śvase	sa SivaH tu **rtti & sa mokza-mokza-dam Svase
   vanivyāmantraya proktaṃ nāsāgre tu vyavasthitam	vanivyAmantraya proktam nAsA-agre tu vyavasTitam
   //nirvāṇakārikā //	//nirvANa-kArikAH //
