   Rudrabhaṭṭaḥ: Śṛṅgāratilakaḥ	Rudra-BawwaH: ŚRFgAratilakaH
   iti śrīrudrabhaṭṭaviracite śṛṅgāratilakābhidhāne kāvyarasālaṅkāre	iti SrI-rudra-Bawwa-viracite SRFgAra-tilaka-aBiDAne kAvya-rasa-alaFkAre
   vipralambho nāma dvitīyaḥ paricchedaḥ /	vipralamBaH nAma dvitIyaH paricCedaH /
   tṛtīya paricchedaḥ	tRtIya paricCedaH
   vikṛtāṅgavacaḥkṛtya- veṣebhyo jāyate rasaḥ /	vikRta-aFga-vacaH-kRtya vezeByaH jAyate rasaH /
   hāsyo'yaṃ hāsamūlatvāt pātratrayagato yathā // ST_3.1 //	hAsyaH-ayam hAsa-mUla-tvAt pAtra-traya-gataH yaTA // ST_3.1 //
   kiñcidvikasitair gaṇḍaiḥ kiñcid visphāritekṣaṇaiḥ /	kiQcid-vikasitEH gaNxEH kiQcid visPArita-IkzaNEH /
   kiñcidlakṣyadvijaiḥ so'yam uttamānāṃ bhaved yathā // ST_3.2 //	kiQcid-lakzya-dvijEH saH-ayam uttamAnAm Bavet yaTA // ST_3.2 //
   pāṇau kaṅkaṇam utphaṇaḥ phaṇipatir netraṃ jvalatpāvakaṃ	pANO kaFkaNam utPaNaH PaNi-patiH netram jvalat-pAvakam
   kaṇṭhaḥ kuṇṭhitakālakūṭakuṭilo vastraṃ gajendrājinam /	kaNWaH kuNWita-kAlakUwa-kuwilaH vastram gaja-indra-ajinam /
   gaurīlocanalobhanāya subhago veṣo varasyeti me	gOrI-locana-loBanAya suBagaH vezaH varasya-iti me
   gaṇḍollāsavibhāvitaḥ paśupater hāsodgamaḥ pātu vaḥ // ST_3.2a // (Skm 36)	gaNxa-ullAsa-viBAvitaH paSupateH hAsa-udgamaH pAtu vaH // ST_3.2aH // (Skm 36)
   madhyamānāṃ bhavaty eṣa vivṛtānanapaṅkajaḥ /	maDyamAnAm Bavati eza vivRta-Anana-paFkajaH /
   nīcānāṃ nipatadbāṣpaḥ śrūyamāṇadhvanir yathā // ST_3.3 //	nIcAnAm nipatat-bAzpaH SrUyamANa-DvaniH yaTA // ST_3.3 //
   mugdhe tvaṃ subhage na vetsi madanavyāpāram adyāpi taṃ	mugDe tvam suBage na vetsi madana-vyApAram adya-api tam
   nūnaṃ te jalajaiṣiṇāyam alinā dṛṣṭo na bhartādharaḥ /	nUnam te jalaja-eziNA-ayam alinA dRzwaH na BartA-DaraH /
   sakhyaivaṃ hasitaṃ vadhūṃ prati tathā sānandam āvirbhavad	saKyA-evam hasitam vaDUm prati taTA sa-Anandam AvirBavat-
   vaktrāntargatasīdhuvāsarasikair bhṛṅgair yathā dhāvitam // ST_3.3a //	vaktra-antargata-sIDu-vAsa-rasikEH BRFgEH yaTA DAvitam // ST_3.3aH //
   tyaktvā guñjaphalāni mauktikamayī bhūṣā staneṣv āhitā	tyaktvA guQja-PalAni mOktika-mayI BUzA stanezu AhitA
   strīṇāṃ kaṣṭam idaṃ kṛtaṃ sarasijaṃ karṇe na barhicchadam /	strINAm kazwam idam kRtam sarasijam karNe na barhicCadam /
   itthaṃ nātha tavāridhāmni śavarair ālokya citrasthitiṃ	itTam nATa tava-ari-DAmni SavarEH Alokya citra-sTitim
   bāspārdrīkṛtalocanaiḥ sphuṭaravaṃ dāraiḥ samaṃ hasyate // ST_3.3b //	bAspa-ArdrIkRta-locanEH sPuwa-ravam dArEH samam hasyate // ST_3.3B //
   asmin sakhīkarāghāta- netrollāsāṅgavartanam /	asmin saKIkara-AGAta netra-ullAsa-aFga-vartanam /
   nāsākapolavispando mukharāgaś ca jāyate // ST_3.4 //	nAsA-kapola-vispandaH muKa-rAgaH ca jAyate // ST_3.4 //
   śokātmā karuṇo jñeyaḥ priyabhṛtyadhanakṣayāt /	Soka-AtmA karuNaH jQeyaH priya-BRtya-Dana-kzayAt /
   tatretthaṃ nāyako daiva- hataḥ syād duḥkhabhājanam // ST_3.5 //	tatra-itTam nAyakaH dEva hataH syAt duHKa-BAjanam // ST_3.5 //
   bhartā saṃgara eva mṛtyuvasatiṃ prāptaḥ samaṃ bandhubhir	BartA saMgaraH eva mRtyu-vasatim prAptaH samam banDuBiH-
   yūnāṃ kāmam iyaṃ dunoti ca mano vaidhavyabhāvād vadhūḥ /	yUnAm kAmam iyam dunoti ca manaH vEDavya-BAvAt vaDUH /
   bālo dustyaja eka eva ca śiśuḥ kaṣṭaṃ kṛtaṃ vedhasā	bAlaH dustyajaH ekaH eva ca SiSuH kazwam kRtam veDasA
   jīvāmīti mahīpate pralapati tvadvairisīmantinī // ST_3.5a //	jIvAmi-iti mahIpate pralapati tvad-vEri-sImantinI // ST_3.5aH //
   bhūpāto daivanindā ca rodanaṃ dīnaniḥsvanaḥ /	BUpAtaH dEva-nindA ca rodanam dIna-niHsvanaH /
   śarīratāḍanaṃ moho vaivarṇyaṃ cātra jāyate // ST_3.6 //	SarIra-tAxanam mohaH vEvarNyam ca-atra jAyate // ST_3.6 //
   krodhātmako bhaved raudraḥ pratiśatrūn amarṣataḥ /	kroDa-AtmakaH Bavet rOdraH pratiSatrUn amarzataH /
   rakṣaḥprāyo bhaved atra nāyako'tyugravigrahaḥ // ST_3.7 //	rakzaH-prAyaH Bavet atra nAyakaH-ati-ugra-vigrahaH // ST_3.7 //
   yaḥ prāṇāpahatiḥ kṛtā mama pituḥ kṣudrair yudhi kṣatriyai	yaH prANa-apahatiH kRtA mama pituH kzudrEH yuDi kzatriyE
   rāmo'haṃ ramaṇīr vihāya balavan niḥśeṣam eṣāṃ haṭhāt /	rAmaH-aham ramaNIH vihAya balavat niHSezam ezAm haWAt /
   bhāsvatprauḍhakuṭhārakoṭighaṭanākāṇḍatruṭatkandharā	BAsvat-prOXa-kuWAra-kowi-GawanA-kANxa-truwat-kanDarA
   sroto'ntaḥsrutavisraśoṇitabharaiḥ kuryāṃ krudhāṃ nirvṛtim // ST_3.7a //	srotaH-antar-sruta-visra-SoNita-BarEH kuryAm kruDAm nirvRtim // ST_3.7aH //
   mukharāgāyudhotkṣepa- svedakampādharagrahāḥ /	muKa-rAga-AyuDa-utkzepa sveda-kampa-aDara-grahAH /
   śaktiśaṃsā karāghāto bhrukuṭī cātra jāyate // ST_3.8 //	Sakti-SaMsA kara-AGAtaH BrukuwI ca-atra jAyate // ST_3.8 //
   utsāhātmā bhaved vīro dayādānājipūrvakaḥ /	utsAha-AtmA Bavet vIraH dayA-dAnAji-pUrvakaH /
   trividho nāyakas tatra jāyate sattvasaṃyutaḥ // ST_3.9 //	triviDaH nAyakaH tatra jAyate sattva-saMyutaH // ST_3.9 //
   gāmbhīryaudāryasaundarya- śauryadhairyādibhūṣitaḥ /	gAmBIrya-OdArya-sOndarya SOrya-DErya-Adi-BUzitaH /
   āvarjitajano janya- nirvyūḍhaprauḍhavikramaḥ // ST_3.10 //	Avarjita-janaH janya nirvyUXa-prOXa-vikramaH // ST_3.10 //
   ayi vihaṅga varāka kapotakaṃ	ayi vihaFga varAka kapotakam
   vimṛja dhehi dhṛtiṃ mama medasā /	vimRja Dehi DRtim mama medasA /
   śibir ahaṃ bhavatā vidito na kiṃ	SibiH aham BavatA viditaH na kim
   sakalasattvasamuddharaṇakṣamaḥ // ST_3.10a //	sakala-sattva-samudDaraNa-kzamaH // ST_3.10aH //
   sukhito'si hare nūnaṃ	suKitaH-asi hare nUnam
   bhuvanatrayamātralabdhitoṣeṇa /	Buvanatraya-mAtra-labDi-tozeNa /
   balir arthitado'smi yato	baliH arTi-tadaH-asmi yatas-
   na yācitaḥ kiṃcid apy adhikam // ST_3.10b //	na yAcitaH kiMcid api aDikam // ST_3.10B //
   yatrairāvaṇadantatīvramusalair eraṇḍakāṇḍāyitaṃ	yatra-ErAvaNa-danta-tIvra-musalEH eraNxa-kANxAyitam
   vajreṇāpi vikīrṇavahnitatinā mārṇālanālāyitam /	vajreNa-api vikIrNa-vahni-tatinA mArNAlana-AlAyitam /
   madvakṣasy avalambya kiṃcid adhunā tad vismṛtaṃ vajriṇā	mad-vakzasi avalambya kiMcid aDunA tat vismRtam vajriNA
   yuddhaṃ yady avalambate sa tu punaḥ sajjo'smy ahaṃ rāvaṇaḥ // ST_3.10c //	yudDam yadi avalambate sa tu punar sajjaH-asmi aham rAvaNaH // ST_3.10t //
   dhṛtigarvauddhatyamatismṛtiromāñcā bhavanti cāmuṣmin /	DRti-garva-OdDatyam-ati-smRti-romAQcAH Bavanti ca-amuzmin /
   vividhā vākyakṣepāḥ sotsāhāmarṣavegāś ca // ST_3.11 //	viviDAH vAkya-kzepAH sa-utsAha-amarza-vegAH ca // ST_3.11 //
   bhayānako bhayasthāyi- bhāvo'sau jāyate rasaḥ /	BayAnakaH Baya-sTAyi BAvaH-asO jAyate rasaH /
   śabdāder vikṛtād voḍhaṃ bālastrīnīcanāyakaḥ // ST_3.12 //	Sabda-AdeH vikRtAt voXam bAla-strI-nIca-nAyakaH // ST_3.12 //
   śrutvā tūryaninādaṃ dvāre bhayacakitalalitabāhulataḥ /	SrutvA tUrya-ninAdam dvAre Baya-cakita-lalita-bAhu-lataH /
   dhanyasya lagati kaṇṭhe mugdhaśiśur dhūlidhūsaritaḥ // ST_3.12a //	Danyasya lagati kaNWe mugDa-SiSuH DUli-DU-saritaH // ST_3.12aH //
   praṇayakalahasaṅgān manyubhājā nirastaḥ	praNaya-kalaha-saFgAt manyu-BAjA nirastaH
   prakaṭitacaṭukoṭiḥ pādapadmānato'pi /	prakawita-cawu-kowiH pAda-padmAn-ataH-api /
   navajaladharagarjer bhītayāsau kayācit	nava-jalaDara-garjeH BItayA-asO kayAcid-
   truṭitataralahāraṃ sasvaje prāṇanāthaḥ // ST_3.12b //	truwita-tarala-hAram sasvaje prANanATaH // ST_3.12B //
   kampoparuddhasarvāṅgair	kampa-uparudDa-sarva-aFgEH-
   galatsvedodabindubhiḥ /	galat-sveda-uda-binduBiH /
   tvadārabdhair mahīnātha	tvad-ArabDEH mahInATa
   vairibhir vanitāyitam // ST_3.12c //	vEriBiH vanitAyitam // ST_3.12t //
   vaivarṇyam aśru saṃtrāso hastapādādikampanam /	vEvarNyam aSru saMtrAsaH hasta-pAda-Adi-kampanam /
   svedāsyaśoṣadikprekṣā- saṃbhramāś ca prakīrtitāḥ // ST_3.13 //	sveda-Asya-Soza-diS-prekzA saMBramAH ca prakIrtitAH // ST_3.13 //
   jugupsāprakṛtir jñeyo bībhatso'hṛdyadarśanāt /	jugupsA-prakRtiH jQeyaH bIBatsaH-ahRdya-darSanAt /
   śravaṇāt kīrtanād vāpi pūty ādiviṣayād yathā // ST_3.14 //	SravaNAt kIrtanAt vA-api pUti Adi-vizayAt yaTA // ST_3.14 //
   luṭhatkṛmikalevaraṃ sravadasṛgvasāvāsitaṃ	luWat-kRmi-kalevaram sravat-asRk-vasA-vAsitam
   viśīrṇaśavasaṃtatiprasaradugragandhānvitam /	viSIrNa-Sava-saMtati-prasarat-ugra-ganDA-anvitam /
   bhramatpracurapatrikaṃ trikavivartinṛtyakriyā	Bramat-pracura-patrikam trika-vivarti-nRtyakriyA
   pravīṇaguṇakauṇapaṃ paribabhau paretājiram // ST_3.14a //	pravINa-guNa-kONapam paribaBO pareta-ajiram // ST_3.14aH //
   nāsāpracchādanaṃ vaktra- kūṇanaṃ gātrasaṃvṛtiḥ /	nAsA-pracCAdanam vaktra kUNanam gAtra-saMvRtiH /
   niṣṭhīvanādi cātra syād udvegād uttameṣv api // ST_3.15 //	nizWIvana-Adi ca-atra syAt udvegAt uttamezu api // ST_3.15 //
   vismayātmādbhuto jñeyo raso rasavicakṣaṇaiḥ /	vismaya-AtmA-adButaH jQeyaH rasaH rasa-vicakzaNEH /
   māyendrajāladivyastrī- vipinādyudbhavo yathā // ST_3.16 //	mAyA-indrajAla-divya-strI vipina-Adi-udBavaH yaTA // ST_3.16 //
   satyaṃ hṛtā tvayā haṃsa vanitānām iyaṃ gatiḥ /	satyam hRtA tvayA haMsa vanitAnAm iyam gatiH /
   bhramanty etās tathāpy etad indrajālaṃ tad adbhutam // ST_3.16a //	Bramanti etAH taTA-api etat indrajAlam tat adButam // ST_3.16aH //
   gadgadaḥ sādhuvādaś ca svedaḥ pulakavepathū /	gadgadaH sADuvAdaH ca svedaH pulaka-vepaTU /
   dṛṣṭer niśalatāratvaṃ vikāsaś cātra jāyate // ST_3.17 //	dRzweH niSala-tAra-tvam vikAsaH ca-atra jAyate // ST_3.17 //
   samyag jñānodbhavaḥ śāntaḥ samatvāt sarvajantuṣu /	samyak jQAna-udBavaH SAntaH sama-tvAt sarva-jantuzu /
   gateccho nāyakas tatra tamorāgaparikṣayāt // ST_3.18 //	gata-icCaH nAyakaH tatra tamaH-rAga-parikzayAt // ST_3.18 //
   dhanam aharahar dattaṃ svīyaṃ yathārthitam arthine	Danam aharahar dattam svIyam yaTA-arTitam arTine
   kṛtam arikulaṃ nārīśeṣaṃ svakhaḍgavijṛmbhitaiḥ /	kRtam ari-kulam nArI-Sezam sva-Kaxga-vijRmBitEH /
   praṇayini jane rāgodrikte ratir vihitā ciraṃ	praNayini jane rAga-udrikte ratiH vihitA ciram
   kim aparam ataḥ kartavyaṃ nas tanāv api nādaraḥ // ST_3.18a //	kim aparam atas kartavyam naH tanO api na-AdaraH // ST_3.18aH //
   nirālambaṃ mano hy atra bāḍham ātmani tiṣṭhati /	nirAlambam manaH hi atra bAXam Atmani tizWati /
   sukhe necchā tathā duḥkhe'py udvego nātra jāyate // ST_3.19 //	suKe na-icCA taTA duHKe-api udvegaH na-atra jAyate // ST_3.19 //
   aṣṭāv amī rasāḥ pūrvaṃ ye proktās tatra niścitam /	azwO amI rasAH pUrvam ye proktAH tatra niScitam /
   pratyanīkau rasau dvau dvau tatsamparkaṃ vivarjayet // ST_3.20 //	pratyanIkO rasO dvO dvO tat-samparkam vivarjayet // ST_3.20 //
   śṛṅgārabībhatsarasau tathā vīrabhayānakau /	SRFgAra-bIBatsarasO taTA vIra-BayAnakO /
   raudrādbhutau tathā hāsya- karuṇau vairiṇau mithaḥ // ST_3.21 //	rOdra-adButO taTA hAsya karuNO vEriNO miTas // ST_3.21 //
   hāsyo bhavati śṛṅgārāt karuṇo raudrakarmataḥ /	hAsyaH Bavati SRFgArAt karuNaH rOdra-karmataH /
   adbhutaś ca tathā vīrād bībhatsāc ca bhayānakaḥ // ST_3.22 //	adButaH ca taTA vIrAt bIBatsAt ca BayAnakaH // ST_3.22 //
   yau janyajanakāv etau rasāv uktau manīṣibhiḥ /	yO janya-janakO etO rasO uktO manIziBiH /
   yuktyā kṛto'pi saṃbhedas tayor bāḍhaṃ na duṣyati // ST_3.23 //	yuktyA kRtaH-api saMBedaH tayoH bAXam na duzyati // ST_3.23 //
   kecid rasavibhāgeṣu bhāvāḥ pūrvaṃ pradarśitāḥ /	kecid rasa-viBAgezu BAvAH pUrvam pradarSitAH /
   svātantryeṇeha kīrtyante ramyās te kṛtināṃ matāḥ // ST_3.24 //	svAtantryeNa-iha kIrtyante ramyAH te kRtinAm matAH // ST_3.24 //
   ratyādaya ime bhāvā rasābhiprāyasūcakāḥ /	rati-AdayaH ime BAvAH rasa-aBiprAya-sUcakAH /
   pañcāśatsthāyisaṃcāri- sāttvikās tān nibodhata // ST_3.25 //	paQcASat-sTAyi-saMcAri sAttvikAH tAn niboData // ST_3.25 //
   śṛṅgārādiraseṣv eva bhāvā ratyādayaḥ smṛtāḥ /	SRFgAra-Adi-rasezu eva BAvAH rati-AdayaH smRtAH /
   pratyekaṃ sthairyato'nye ca taryastriṃśaccarāḥ smṛtāḥ // ST_3.26 //	pratyekam sTEryataH-anye ca taryaH-triMSat-carAH smRtAH // ST_3.26 //
   prāyo'navasthite citte bhāvāḥ saṃkīrṇasaṃbhavāḥ /	prAyas-anavasTite citte BAvAH saMkIrNa-saMBavAH /
   bāhulyena nigadyante tathāpy ete yathā sthitāḥ // ST_3.27 //	bAhulyena nigadyante taTA-api ete yaTA sTitAH // ST_3.27 //
   śaṅkāsūyā bhayaṃ glānir vyādhiś cintā smṛtir dhṛtiḥ /	SaFkA-asUyA Bayam glAniH vyADiH cintA smRtiH DRtiH /
   autsukyaṃ vismayo harṣo vrīḍonmādo madas tathā // ST_3.28 //	Otsukyam vismayaH harzaH vrIxA-unmAdaH madaH taTA // ST_3.28 //
   viṣādo jaḍatā nidrā- [a]vahitthaṃ cāpalaṃ smṛtiḥ /	vizAdaH jaxa-tA nidrA [a]vahitTam cApalam smRtiH /
   iti bhāvāḥ prayoktavyā śṛṅgāre vyabhicāriṇaḥ // ST_3.29 //	iti BAvAH prayoktavyA SRFgAre vyaBicAriNaH // ST_3.29 //
   śramaś capalatā nidrā svapno glānis tathaiva ca /	SramaH capala-tA nidrA svapnaH glAniH taTA-eva ca /
   śaṅkāsūyāvahitthaṃ ca hāsye bhāvā bhavanty amī // ST_3.30 //	SaFkA-asUya-avahitTam ca hAsye BAvAH Bavanti amI // ST_3.30 //
   dainyaṃ cintā tathā glānir nirvedo jaḍatāsmṛtiḥ /	dEnyam cintA taTA glAniH nirvedaH jaxatA-smRtiH /
   vyādhiś ca karuṇe jñeyā bhāvā bhāvaviśāradaiḥ // ST_3.31 //	vyADiH ca karuNe jQeyAH BAvAH BAva-viSAradEH // ST_3.31 //
   harṣo'sūyā tathā garva utsāho mada eva ca /	harzaH-asUyA taTA garvaH utsAhaH madaH eva ca /
   cāpalyam ugratā vego raudre bhāvāḥ prakīrtitāḥ // ST_3.32 //	cApalyam ugra-tA vegaH rOdre BAvAH prakIrtitAH // ST_3.32 //
   amarṣaḥ pratibodhaś ca vitarko'tha matir dhṛtiḥ /	amarzaH pratiboDaH ca vitarkaH-aTa matiH DRtiH /
   krodho'sūyāśru saṃmoha āvego romaharṣaṇam // ST_3.33 //	kroDaH-asUya-aSru saMmohaH AvegaH roma-harzaNam // ST_3.33 //
   garvo madas tathogratvaṃ bhāvā vīre bhavanty amī /	garvaH madaH taTA-ugra-tvam BAvAH vIre Bavanti amI /
   saṃtrāso maraṇaṃ caiva vacanīyaṃ bhayānake // ST_3.34 //	saMtrAsaH maraNam ca-eva vacanIyam BayAnake // ST_3.34 //
   apasmāro viṣādaś ca bhayaṃ vego matir madaḥ /	apasmAraH vizAdaH ca Bayam vegaH matiH madaH /
   unmādaś ceti vijñeyā bhāvā bībhatsasaṃbhavāḥ // ST_3.35 //	unmAdaH ca-iti vijQeyAH BAvAH bIBatsa-saMBavAH // ST_3.35 //
   āvego jaḍatā moho vismayo harṣaṇaṃ matiḥ /	AvegaH jaxa-tA mohaH vismayaH harzaNam matiH /
   iti bhāvān nibadhnanti rase'sminn adbhute budhāḥ // ST_3.36 //	iti BAvAn nibaDnanti rase-asmin adBute buDAH // ST_3.36 //
   evaṃ saṃcāriṇo bhāvā jñeyāḥ pratirasaṃ sthitāḥ /	evam saMcAriNaH BAvAH jQeyAH pratirasam sTitAH /
   sāttvikās tu bhavanty ete sarve sarvarasāśrayāḥ // ST_3.37 //	sAttvikAH tu Bavanti ete sarve sarva-rasa-ASrayAH // ST_3.37 //
   yā nṛtyagītapramadopabhoga	yA nRtya-gIta-pramadA-upaBoga
   veṣāṅgasaṅkīrtanacārubandhā /	veza-aFga-saFkIrtana-cAru-banDAH /
   mādhuryayuktālpasamāsaramyā	mADurya-yukta-alpa-samAsa-ramyA
   vāṇī smṛtāsāv iha kaiśikīti // ST_3.38 //	vANI smRtA-asO iha kESikI-iti // ST_3.38 //
   śṛṅgārahāsyakaruṇa- rasānāṃ parivṛddhaye /	SRFgAra-hAsya-karuNa rasAnAm parivRdDaye /
   eṣā vṛttiḥ paryoktavyā prayatnena budhair yathā // ST_3.39 //	ezA vRttiH paryoktavyA prayatnena buDEH yaTA // ST_3.39 //
   saundaryaṃ śaśalāñchanasya kavibhir mithyaiva tad varṇyate	sOndaryam SaSalAQCanasya kaviBiH miTyA-eva tat varNyate
   saubhāgyaṃ kva nu paṅkajasya rajanīsaṃbhogabhagnatviṣaḥ /	sOBAgyam kva nu paFkajasya rajanI-saMBoga-Bagna-tvizaH /
   ity ālocya cirāya cāru rucimantrasyatkuraṅgīdṛśo	iti Alocya cirAya cAru ruci-mantrasyat-kuraFgI-dRSaH-
   vīkṣete navayauvanonnatamukhau manye stanāvānanam // ST_3.39a //	vIkzete nava-yOvana-unnata-muKO manye stana-avAnanam // ST_3.39aH //
   hasteṣuḥ kusumāyudhasya lalitaṃ rāgaśriyo locanaṃ	hasta-izuH kusumAyuDasya lalitam rAga-SriyaH locanam
   saubhāgyaikagṛhaṃ vilāsanikaṣo vaidagdhyasiddhidhvajaḥ /	sOBAgya-eka-gRham vilAsa-nikazaH vEdagDya-sidDi-DvajaH /
   sākṣīdaṃ madabāndhavasya nibhṛtaṃ kasyāpi līlānidheḥ	sAkzi-idam mada-bAnDavasya niBRtam kasya-api lIlA-niDeH
   kakṣāntarnakhamaṇḍanaṃ sakhi navaṃ pracchādyatāṃ vāsasā // ST_3.39b //	kakza-antar-naKa-maNxanam saKi navam pracCAdyatAm vAsasA // ST_3.39B //
   samullasatkāñcanakuṇḍalojjvala	samullasat-kAQcana-kuNxala-ujjvala
   prabhāpi tāpāya babhūva yeṣv alam /	praBA-api tApAya baBUva yezu alam /
   vilāsinīramyamukhāmbujanmasu	vilAsinI-ramya-muKa-ambujan-masu
   prajajvalus teṣv akṛśāḥ kṛśānavaḥ // ST_3.39c //	prajajvaluH tezu akRSAH kRSAnavaH // ST_3.39t //
   yā citrayuddhabhramaśastrapāta	yA citra-yudDa-Brama-Sastra-pAta
   māyendrajālaplutilāṅghitāḍhyā /	mAyA-indrajAla-plutila-aFGita-AXyA /
   ojasvigurvakṣarabandhagāḍhā	ojasvi-guru-akzara-banDa-gAXA
   jñeyā budhaiḥ sārabhaṭīti vṛttiḥ // ST_3.40 //	jQeyA buDEH sAraBawI-iti vRttiH // ST_3.40 //
   raudre bhayānake caiva bībhatse ca vicakṣaṇaiḥ /	rOdre BayAnake ca-eva bIBatse ca vicakzaNEH /
   kāvyaśobhākarī vṛttir iyam itthaṃ prayujyate // ST_3.41 //	kAvya-SoBA-karI vRttiH iyam itTam prayujyate // ST_3.41 //
   śastroddāritakumbhikumbhavigaladraktāktamuktāphalaṃ	Sastra-uddArita-kumBi-kumBa-vigalat-rakta-akta-muktAPalam
   sphārasphūrjitakāntikalpitabṛhaccañcaccatuṣkāyitam /	sPAra-sPUrjita-kAnti-kalpita-bRhat-caQcat-catuzkAyitam /
   krodhoddhāvitadhīradhoraṇalasaatkhaḍgāgram ugrāgrahaṃ	kroDa-udDAvita-DIra-DoraNa-lasaat-Kaxga-agram ugra-agraham
   yuddhaṃ siddhavadhūgṛhītasubhaṭaṃ jātaṃ tadā durdharam // ST_3.41a //	yudDam sidDa-vaDU-gRhIta-su-Bawam jAtam tadA durDaram // ST_3.41aH //
   nāyaṃ garjiravo gabhīraparuṣaṃ tūryaṃ tadīyaṃ tv idaṃ	na-ayam garjiravaH gaBIra-paruzam tUryam tadIyam tu idam
   naite bhīmabhujaṅgabhogarucayo meghā ime tadrajāḥ /	na-ete BIma-BujaFga-Boga-rucayaH meGAH ime tad-rajAH /
   itthaṃ nātha navāmbuvāhasamaye tvatsainyaśaṅkākulā	itTam nATa nava-ambuvAha-samaye tvad-sEnya-SaFkA-AkulA
   mlāyadvaktraruco virodhivanitāstrasyanti naśyanti ca // ST_3.41b //	mlAyat-vaktra-rucaH viroDi-vanitAH-trasyanti naSyanti ca // ST_3.41B //
   pibann asṛk svadan māṃsam ākarṣann antramālikām /	piban asRk svadat mAMsam Akarzan antramAlikAm /
   kabandhasaṅkule kroṣṭā bhramaty eṣa mahāraṇe // ST_3.41c //	kabanDa-saFkule krozwA Bramati eza mahA-raNe // ST_3.41t //
   harṣapradhānādhikasattvavṛttis	harza-praDAna-aDika-sattva-vRtti-s
   tyāgottarodāravacomanojñā /	tyAga-uttara-udAra-vacaH-manojQA /
   āścaryasaṃpatsubhagā ca yā syāt	AScarya-saMpad-suBagA ca yA syAt-
   sā sātvatī nāma matātra vṛttiḥ // ST_3.42 //	sA sAtvatI nAma mata-atra vRttiH // ST_3.42 //
   nātigūḍhārthasaṃpattiḥ śravyaśabdamanoramā /	na-ati-gUXa-arTa-saMpattiH Sravya-Sabda-manoramA /
   vīre raudre'dbhute śānte vṛttir eṣā matā yathā // ST_3.43 //	vIre rOdre-adBute SAnte vRttiH ezA matAH yaTA // ST_3.43 //
   lakṣmyās tvaṃ janako nidhiś ca payasāṃ niḥśeṣaratnākaro	lakzmyAH tvam janakaH niDiH ca payasAm niHSeza-ratnAkaro
   maryādāniratas tvam eva jaladhe brūte'tra ko'nyādṛśam /	maryAdA-nirataH tvam eva jalaDe brUte-atra kaH-anyAdRSam /
   kiṃ tv ekasya gṛhaṃ gatasya baḍavāvahneḥ sadā tṛṣṇayā	kim tu ekasya gRham gatasya baxavA-vahneH sadA tRzNayA
   klāntasyodarapūraṇe'pi na saho yat tan manāṅ madhyamam // ST_3.43a //	klAntasya-udara-pUraNe-api na sahaH yat tat manAk maDyamam // ST_3.43aH //
   sphāritotkaṭakaṭhoratārakākīrṇa vahnikaṇasaṃtatiḥ krudhā /	sPArita-utkawa-kaWora-tAraka-AkIrNa vahni-kaNa-saMtatiH kruDA /
   durnimittataḍidākṛtir babhau dṛṣṭir iṣṭasamarāṃśumālinaḥ // ST_3.43b //	durnimitta-taxida-AkRtiH baBO dRzwiH izwa-samara-aMSu-mAlinaH // ST_3.43B //
   atyadbhutaṃ narādhipa tava kīrtir dhavalayanty api jaganti /	ati-adButam narADipa tava kIrtiH Davalayanti api jaganti /
   raktān karoti suhṛdo malinayati ca vairivadanāni // ST_3.43c //	raktAn karoti suhRdaH malinayati ca vEri-vadanAni // ST_3.43t //
   nivṛttaviṣayāsaṅga- madhunā sucirāya me /	nivRtta-vizaya-AsaFga maDunA sucirAya me /
   ātmany eva samādhānaṃ manaḥ kevalam icchati // ST_3.43d //	Atmani eva samADAnam manaH kevalam icCati // ST_3.43d //
   pradhānapuruṣaprāyā sadvakroktinirantarā /	praDAna-puruza-prAyA sat-vakra-ukti-nirantarA /
   bhāratīyaṃ bhaved vṛttir vīrahāsyādbhutāśrayā // ST_3.44 //	BAratIyam Bavet vRttiH vIra-hAsya-adButa-ASrayAH // ST_3.44 //
   janmadehavadhabandhanādikaṃ	janma-deha-vaDa-banDana-Adikam
   tulyam etad itaraiḥ samaṃ satām /	tulyam etat itarEH samam satAm /
   yat tathāpi vipulācalāḥ śriyaḥ	yat taTA-api vipula-acalAH SriyaH
   sāhasaikaparatātra kāraṇam // ST_3.44a //	sAhasa-eka-paratA-atra kAraNam // ST_3.44aH //
   yaśodākṛtarakṣasya śāsitur bhuvanadruhām /	yaSodA-kRta-rakzasya SAsituH Buvana-druhAm /
   bālye nibhṛtagambhīro harer hāsaḥ punātu vaḥ // ST_3.44b //	bAlye niBRta-gamBIraH hareH hAsaH punAtu vaH // ST_3.44B //
   nirbhayo'py eṣa bhūpālas tad dadāti dviṣāṃ yudhi /	nirBayaH-api eza BUpAlaH tat dadAti dvizAm yuDi /
   asat teṣu yaśaḥ śubhram ādatte cedam adbhutam // ST_3.44c //	asat tezu yaSaH SuBram Adatte ca-idam adButam // ST_3.44t //
   ity ādi ramyāḥ pravilokya vṛttīr	iti Adi ramyAH pravilokya vRttIH-
   dṛṣṭvā nibandhāṃś ca mahākavīnām /	dRzwvA nibanDAn ca mahA-kavInAm /
   ālokya vaicitryam idaṃ vidadhyāt	Alokya vEcitryam idam vidaDyAt-
   kāvyaṃ kaviḥ sajjanacittacauram // ST_3.45 //	kAvyam kaviH sat-jana-citta-cOram // ST_3.45 //
