   // om namo buddhāya //	// om namaH budDAya //
   Saundaranandaṃ Mahākāvyam	SOndara-nandam MahAkAvyam
   sthitaḥ kārtayuge dharme dharmāt kṛcchre 'pi nāsrasat // Saund_2.25 //	sTitaH kArtayuge Darme DarmAt kRcCre api na-asrasat // SOnd-_2.25 //
   avardhiṣṭa guṇaiḥ śaśvadavṛdhanmitrasaṃpadā /	avarDizwa guNEH SaSvat-avRDat-mitra-saMpadA /
   avartiṣṭa ca vṛddheṣu nāvṛtad garhite pathi // Saund_2.26 //	avartizwa ca vRdDezu na-avRtat garhite paTi // SOnd-_2.26 //
   śarairaśīśamacchatrūn guṇairbandhūnarīramat /	SarEH-aSISamat-SatrUn guNEH-banDUn-arIramat /
   randhrairnācūcudad bhṛtyān karairnāpīpiḍat prajāḥ // Saund_2.27 //	ranDrEH-na-acUcudat BRtyAn karEH-na-apIpixat prajAH // SOnd-_2.27 //
   rakṣaṇāccaiva śauryācca nikhilāṃ gāmavīvapat /	rakzaNAt-ca-eva SOryAt-ca niKilAm gAm-avIvapat /
   spaṣṭayā daṇḍanītyā ca rātrisatrānavīvapat // Saund_2.28 //	spazwayA daNxanItyA ca rAtri-satrAn-avIvapat // SOnd-_2.28 //
   kulaṃ rājarṣivṛttena yaśogandhamavīvapat /	kulam rAja-Rzi-vRttena yaSaH-ganDam-avIvapat /
   dīptyā tama ivādityastejasārīnavīvapat // Saund_2.29 //	dIptyA tamaH iva-AdityaH-tejasA-arIn-avIvapat // SOnd-_2.29 //
   apaprathat pitṝṃścaiva satputrasadṛśairguṇaiḥ /	apapraTat pitLn=-ca-eva sat-putra-sadRSEH-guNEH /
   salileneva cāmbhodo vṛttenājihṇadat prajāḥ // Saund_2.30 //	salilena-iva ca-amBodaH vRttena-ajihNadat prajAH // SOnd-_2.30 //
   dānairajasravipulaiḥ somaṃ viprānasūṣavat /	dAnEH-ajasra-vipulEH somam viprAn-asUza-vat /
   rājadharmasthitatvācca kāle sasyamasūṣavat // Saund_2.31 //	rAja-Darma-sTita-tvAt-ca kAle sasyam-asUzavat // SOnd-_2.31 //
   adharmiṣṭhāmacakathanna kathāmakathaṃkathaḥ /	aDarmizWAmaca-kaTan-na kaTAm-akaTaMkaTaH /
   cakravartīva ca parān dharmāyābhyudasīṣahat // Saund_2.32 //	cakravartI-iva ca parAn DarmAya-aByudasIzahat // SOnd-_2.32 //
   rāṣṭramanyatra ca balerna sa kiṃcidadīdapat /	rAzwram-anyatra ca baleH-na sa kiMcid-adIdapat /
   bhṛtyaireva ca sodyogaṃ dviṣaddarpamadīdapat // Saund_2.33 //	BRtyEH-eva ca sa-udyogam dvizat-darpam-adIdapat // SOnd-_2.33 //
   svairevādīdapaccāpi bhūyo bhūyo guṇaiḥ kulam /	svEH-eva-adIdapat-ca-api BUyas BUyas guNEH kulam /
   prajā nādīdapaccaiva sarvadharmavyavasthayā // Saund_2.34 //	prajAH na-adIdapat-ca-eva sarva-Darma-vyavasTayA // SOnd-_2.34 //
   aśrāntaḥ samaye yajvā yajñabhūmimamīmapat /	aSrAntaH samaye yajvA yajQa-BUmim-amIm-apat /
   pālanācca dvijān brahma nirudvignānamīmapat // Saund_2.35 //	pAlanAt-ca dvijAn brahma nirudvignAn-amImapat // SOnd-_2.35 //
   gurubhirvidhivat kāle saumyaḥ somamamīmapat /	guruBiH-viDivat kAle sOmyaH somam-amIm-apat /
   tapasā tejasā caiṣa dviṣatsainyamamīmapat // Saund_2.36 //	tapasA tejasA ca-eza dvizat-sEnyam-amImapat // SOnd-_2.36 //
   prajāḥ paramadharmajñaḥ sūkṣmaṃ dharmamavīvasat /	prajAH parama-Darma-jQaH sUkzmam Darmam-avIvasat /
   darśanāccaiva dharmasya kāle svargamavīvasat // Saund_2.37 //	darSanAt-ca-eva Darmasya kAle svargam-avIvasat // SOnd-_2.37 //
   vyaktamapyarthakṛcchreṣu nādharmiṣṭhamatiṣṭhipat /	vyaktam-api-arTa-kRcCrezu na-aDarmizWam-atizWipat /
   priya ityeva cāśaktaṃ na saṃrāgādavīvṛdhat // Saund_2.38 //	priyaH iti-eva ca-aSaktam na saMrAgAt-avIvRDat // SOnd-_2.38 //
   tejasā ca tviṣā caiva ripūn dṛptānabībhasat /	tejasA ca tvizA ca-eva ripUn dRpta-an-abIBasat /
   yaśodīpena dīptena pṛthivīṃ ca vyabībhasat // Saund_2.39 //	yaSaH-dIpena dIptena pRTivIm ca vyabIBasat // SOnd-_2.39 //
   ānuśaṃsyānna yaśase tenādāyi sadārthine /	AnuSaMsyAt-na yaSase tena-AdAyi sadA-arTine /
   dravyaṃ mahadapi tyaktvā na caivākīrti kiñcana // Saund_2.40 //	dravyam mahat-api tyaktvA na ca-eva-AkIrti kiQcana // SOnd-_2.40 //
   tenārirapi duḥkhārto nātyāji śaraṇāgataḥ /	tena-ariH-api duHKa-ArtaH na-atyAji SaraNa-AgataH /
   jitvā dṛptānapi ripūnna tenākāri vismayaḥ // Saund_2.41 //	jitvA dRptAn-api ripUn-na tena-akAri vismayaH // SOnd-_2.41 //
   na tenābhedi maryādā kāmādveṣādbhayādapi /	na tena-ABedi maryAdA kAmAt-vezAt-BayAt-api /
   tena satsvapi bhogeṣu nāsevīndriyavṛttitā // Saund_2.42 //	tena satsu-api Bogezu na-asevi-indriya-vRtti-tAH // SOnd-_2.42 //
   na tenādarśi viṣamaṃ kāryaṃ kvacana kiṃcana /	na tena-adarSi vizamam kAryam kvacana kiMcana /
   vipriyapriyayoḥ kṛtye na tenāgāmi nikriyāḥ // Saund_2.43 //	vipriya-priyayoH kRtye na tena-AgAmi nikriyAH // SOnd-_2.43 //
   tenāpāyi yathākalpaṃ somaśca yaśa eva ca /	tena-apAyi yaTAkalpam somaH-ca yaSaH eva ca /
   vedaścāmnāyi satataṃ vedokto dharma eva ca // Saund_2.44 //	vedaH-ca-amnAyi satatam veda-uktaH DarmaH eva ca // SOnd-_2.44 //
   evamādibhiratyakto babhūvāsulabhairguṇaiḥ /	evamAdiBiH-atyaktaH baBUva-asulaBEH-guNEH /
   aśakyaḥ śakyasāmantaḥ śākyarājaḥ sa śakravat // Saund_2.45 //	aSakyaH Sakya-sAmantaH SAkya-rAjaH sa Sakra-vat // SOnd-_2.45 //
   atha tasmin tathā kāle dharmakāmā divaukasaḥ /	aTa tasmin taTA kAle Darma-kAmAH divOkasaH /
   vicerurdiśi lokasya dharmacaryāṃ didṛkṣavaḥ // Saund_2.46 //	viceruH-diSi lokasya Darma-caryAm didRkzavaH // SOnd-_2.46 //
   dharmātmānaścarantaste dharmajijñāsayā jagat /	Darma-AtmAnaH-carantaH-te Darma-jijQAsayA jagat /
   dadṛśustaṃ viśeṣeṇa dharmātmānaṃ narādhipam // Saund_2.47 //	dadRSuH-tam viSezeNa Darma-AtmAnam narADipam // SOnd-_2.47 //
   devebhyastuṣitebhyo 'tha bodhisattvaḥ kṣitiṃ vrajan /	deveByaH-tuziteByaH aTa boDisattvaH kzitim vrajan /
   upapattiṃ praṇidadhe kule tasya mahīpateḥ // Saund_2.48 //	upapattim praNidaDe kule tasya mahIpateH // SOnd-_2.48 //
   tasyā devī nṛdevasya māyā nāma tadābhavat /	tasyAH devI nRdevasya mAyA nAma tadA-Bavat /
   vītakrodhatamomāyā māyeva divi devatā // Saund_2.49 //	vIta-kroDa-tamaH-mAyA mAyA-iva divi devatAH // SOnd-_2.49 //
   svapne 'tha samaye garbhamāviśantaṃ dadarśa sā /	svapne aTa samaye garBam-AviSantam dadarSa sA /
   ṣaḍdantaṃ vāraṇaṃ śvetamairāvatamivaujasā // Saund_2.50 //	zaz-dantam vAraNam Svetam-ErAvatam-iva-ojasA // SOnd-_2.50 //
   taṃ vinidiśiśuḥ śrutvā svapnaṃ svapnavido dvijāḥ /	tam vinidiSiSuH SrutvA svapnam svapna-vidaH dvijAH /
   tasya janma kumārasya lakṣmīdharmayaśobhṛtaḥ // Saund_2.51 //	tasya janma kumArasya lakzmI-Darma-yaSaH-BRtaH // SOnd-_2.51 //
   tasya sattvaviśeṣasya jātau jātikṣayaiṣiṇaḥ /	tasya sattva-viSezasya jAtO jAti-kzaya-eziNaH /
   sācalā pracacālorvī taraṅgābhihateva nauḥ // Saund_2.52 //	sa-acalA pracacAla-urvI taraFga-aBihatA-iva nOH // SOnd-_2.52 //
   sūryaraśmibhirakliṣṭaṃ puṣpavarṣaṃ papāta khāt /	sUrya-raSmiBiH-aklizwam puzpa-varzam papAta KAt /
   digvāraṇakarādhūtād vanāccaitrarathādiva // Saund_2.53 //	digvAraNa-kara-ADUtAt vanAt-cEtraraTAt-iva // SOnd-_2.53 //
   divi dundubhayo nedurdīvyatāṃ marutāmiva /	divi dunduBayaH neduH-dIvyatAm marutAm-iva /
   didīpe 'bhyadhikaṃ sūryaḥ śivaśca pavano vavau // Saund_2.54 //	didIpe aByaDikam sUryaH SivaH-ca pavanaH vavO // SOnd-_2.54 //
   tutuṣustuṣitāścaiva śuddhāvāsāśca devatāḥ /	tutuzuH-tuzitAH-ca-eva SudDAvAsAH-ca devatAH /
   saddharmabahumānena sattvānāṃ cānukampayā // Saund_2.55 //	sadDarma-bahu-mAnena sattvAnAm ca-anukampayA // SOnd-_2.55 //
   samāyayau yaśaḥketuṃ śreyaḥketukaraḥ paraḥ /	samAyayO yaSaH-ketum SreyaH-ketu-karaH paraH /
   babhrāje śāntayā lakṣmyā dharmo vigrahavāniva // Saund_2.56 //	baBrAje SAntayA lakzmyA DarmaH vigrahavAn-iva // SOnd-_2.56 //
   devyāmapi yavīyasyāmaraṇyāmiva pāvakaḥ /	devyAm-api yavIyasyAm-araNyAm-iva pAvakaH /
   nando nāma suto jajñe nityānandakaraḥ kule // Saund_2.57 //	nandaH nAma sutaH jajQe nitya-Ananda-karaH kule // SOnd-_2.57 //
   dīrghabāhurmahāvakṣāḥ siṃhāṃso vṛṣabhekṣaṇaḥ /	dIrGa-bAhuH-mahA-vakzAH siMha-aMsaH vRzaBa-IkzaNaH /
   vapuṣāgryeṇa yo nāma sundaropapadaṃ dadhe // Saund_2.58 //	vapuzA-agryeNa yaH nAma sundara-upapadam daDe // SOnd-_2.58 //
   madhumāsa iva prāptaścandro nava ivoditaḥ /	maDu-mAsaH iva prAptaH-candraH navaH iva-uditaH /
   aṅgavāniva cānaṅgaḥ sa babhau kāntayā śriyā // Saund_2.59 //	aFgavAn-iva ca-anaFgaH sa baBO kAntayA SriyA // SOnd-_2.59 //
   sa tau saṃvardhayāmāsa narendraḥ parayā mudā /	sa tO saMvarDayAmAsa narendraH parayA mudA /
   arthaḥ sajjanahastastho dharmakāmau mahāniva // Saund_2.60 //	arTaH sat-jana-hasta-sTaH Darma-kAmO mahAn-iva // SOnd-_2.60 //
   tasya kālena satputrau vavṛdhāte bhavāya tau /	tasya kAlena sat-putrO vavRDAte BavAya tO /
   āryasyārambhamahato dharmārthāviva bhūtaye // Saund_2.61 //	Aryasya-AramBa-mahataH Darma-arTO=-iva BUtaye // SOnd-_2.61 //
   tayoḥ satputrayormadhye śākyarājo rarāja saḥ /	tayoH sat-putrayoH-maDye SAkya-rAjaH rarAja saH /
   madhyadeśa iva vyakto himavatpāriyātrayoḥ // Saund_2.62 //	maDyadeSaH iva vyaktaH himavat-pAriyAtrayoH // SOnd-_2.62 //
   tatastayoḥ saṃskṛtayoḥ krameṇa narendrasūnvoḥ kṛtavidyayośca /	tatas-tayoH saMskRtayoH krameNa narendra-sUnvoH kRtavidyayoH-ca /
   kāmeṣvajasraṃ pramamāda nandaḥ sarvārthasiddhastu na saṃrarañja //	kAmezu-ajasram pramamAda nandaH sarva-arTa-sidDaH-tu na saMraraQjaH //
   Saund_2.63 //	SOnd-_2.63 //
   sa prekṣyaiva hi jīrṇamāturaṃ ca mṛtaṃ ca vimṛśan	sa prekzya-eva hi jIrNam-Aturam ca mRtam ca vimRSan
   jagadanabhijñamārtacittaḥ /	jagat-anaBijQam-Arta-cittaH /
   hṛdayagataparaghṛṇo na viṣayaratimagamajjananamaraṇabhayamabhito	hRdaya-gata-para-GRNaH na vizaya-ratim-agamat-janana-maraNa-Bayam-aBitas-
   vijighāṃsuḥ // Saund_2.64 //	vijiGAMsuH // SOnd-_2.64 //
   udvegādapunarbhave manaḥ praṇidhāya sa yayau śayitavarāṅganādanāsthaḥ /	udvegAt-apunarBave manaH praNiDAya sa yayO Sayita-vara-aFga-nAdanA-sTaH /
   niśi nṛpatinilayanād vanagamanakṛtamanāḥ sarasa iva mathitanalināt	niSi nRpati-nilayanAt vana-gamana-kRta-manAH sarasaH iva maTita-nalinAt-
   kalahaṃsaḥ // Saund_2.65 //	kalahaMsaH // SOnd-_2.65 //
   saundarananda mahākāvye "rājavarṇana" nāma dvitīyaḥ sarga samāpta /	sOndara-nanda mahAkAvye "rAjavarNana" nAma dvitIyaH sarga samApta /
   tṛtīyaḥ sargaḥ	tRtIyaH sargaH
   tathāgata varṇana	taTAgata varNana
   tapase tataḥ kapilavāstu hayagajarathaughasaṃkulam /	tapase tatas kapilavAstu haya-gaja-raTa-oGa-saMkulam /
   śrīmadabhayapranuraktajanaṃ sa vihāya niścitamanā vanaṃ yayau // Saund_3.1	SrI-mat-aBaya-pranurakta-janam sa vihAya niScita-manAH vanam yayO // SOnd-_3.1
   vividhāgamāṃstapasi tāṃśca vividhaniyamāśrayān munīn /	viviDa-AgamAn=-tapasi tAn=-ca viviDa-niyama-ASrayAt munIn /
   prekṣya sa viṣayatṛṣākṛpaṇānanavasthitaṃ tapa iti nyavartata // Saund_3.2	prekzya sa vizaya-tRzA-kRpaNAn-anavasTitam tapaH iti nyavartata // SOnd-_3.2
   atha mokṣavādinamarāḍamupaśamamatiṃ tathodrakam /	aTa mokza-vAdinam-arAxam-upaSama-matim taTA-udrakam /
   tattvakṛtamatirupāsya jahāvayamapyamārga iti mārgakovidaḥ // Saund_3.3 //	tattva-kRta-matiH-upAsya jahA-vayam-api-amArgaH iti mArga-kovidaH // SOnd-_3.3 //
   sa vicārayan jagati kiṃ nu paramamiti taṃ tamāgamam /	sa vicArayan jagati kim nu paramam-iti tam tam-Agamam /
   niścayamanadhigataḥ parataḥ paramaṃ cacāra tapa eva duṣkaram // Saund_3.4	niScayam-anaDigataH paratas paramam cacAra tapaH eva duzkaram // SOnd-_3.4
   atha naiṣa mārga iti vīkṣya tadapi vipulaṃ jahau tapaḥ /	aTa na-eza mArgaH iti vIkzya tat-api vipulam jahO tapaH /
   dhyānaviṣayamavagamya paraṃ bubhuje varānnamamṛtattvabuddhaye // Saund_3.5	DyAna-vizayam-avagamya param buBuje varAt-nam-amRtattva-budDaye // SOnd-_3.5
   sa suvarṇapīnayugabāhurṛṣabhagatirāyatekṣaṇaḥ /	sa suvarNa-pIna-yuga-bAhuH-RzaBa-gatiH-Ayata-IkzaNaH /
   plakṣamavaniruhamabhyagamat paramasya niścayavidherbubhutsayā // Saund_3.6	plakzam-avaniruham-aByagamat paramasya niScaya-viDeH-buButsayA // SOnd-_3.6
   upaviśya tatra kṛtabuddhiracaladhṛtiradrirājavat /	upaviSya tatra kRtabudDiH-acala-DRtiH-adri-rAja-vat /
   mārabalamajayadugramatho bubudhe padaṃ śivamahāryamavyayam // Saund_3.7 //	mAra-balam-ajayat-ugram-aTo bubuDe padam SivamahAryam-avyayam // SOnd-_3.7 //
   avagamya taṃ ca kṛtakāryamamṛtamanaso divaukasaḥ /	avagamya tam ca kRta-kAryam-amRta-manasaH divOkasaH /
   harṣatulamagaman muditā vimukhī tu mārapariṣat pracukṣubhe // Saund_3.8 //	harza-tulam-agamat muditA vimuKI tu mAra-parizad pracukzuBe // SOnd-_3.8 //
   sanagā ca bhūḥ pravicacāla hutabahasakhaḥ śivo vavau /	sa-nagA ca BUH pravicacAla huta-bahasaKaH SivaH vavO /
   nedurapi ca suradundubhayaḥ pravavarṣa cāmbudharavarjitaṃ nabhaḥ //	neduH-api ca sura-dunduBayaH pravavarza ca-ambuDara-varjitam naBaH //
   Saund_3.9 //	SOnd-_3.9 //
   avabudhya caiva paramārthamajaramanukampayā vibhuḥ /	avabuDya ca-eva parama-arTam-ajaram-anukampayA viBuH /
   nityamamṛtamupadarśayituṃ sa varāṇasīparikarāmayāt purīm // Saund_3.10 //	nityam-amRtam-upadarSayitum sa varANasI-parikarAmayAt purIm // SOnd-_3.10 //
   atha dharmacakramṛtanābhi dhṛtimatisamādhinemimat /	aTa Darma-cakra-mRta-nABi DRtimati-samADi-nemimat /
   tatra vinayaniyamāramṛṣirjagato hitāya pariṣadyavartayat // Saund_3.11 //	tatra vinaya-niyamAram-RziH-jagataH hitAya parizadyavartayat // SOnd-_3.11 //
   iti duḥkhametadiyamasya samudayalatā pravartikā /	iti duHKam-etat-iyam-asya samudaya-latA pravartikA /
   śāntiriyamayamupāya iti pravibhāgaśaḥ paramidaṃ catuṣṭayam // Saund_3.12	SAntiH-iyam-ayam-upAyaH iti praviBAgaSaH param-idam catuzwayam // SOnd_3.12
   abhidhāya ca triparivartamatulamanivartyamuttamam /	aBiDAya ca tri-parivartam-atulam-anivartyam-uttamam /
   dvādaśaniyatavikalpaṃ ṛṣirvinināya kauṇḍinasagotramāditaḥ // Saund_3.13 //	dvAdaSa-niyata-vikalpam RziH-vininAya kONxina-sagotram-AditaH // SOnd-_3.13 //
   sa hi doṣasāgaramagādhamupadhijalamādhijantukam /	sa hi doza-sAgaram-agADam-upaDi-jalam-ADi-jantukam /
   krodhamadabhayataraṅgacalaṃ pratatāra lokamapi ca vyatārayat // Saund_3.14	kroDa-mada-Baya-taraFga-calam pratatAra lokam-api ca vyatArayat // SOnd_3.14
   sa vinīya kāśiṣu gayeṣu bahujanamatho girivraje /	sa vinIya kASizu gayezu bahu-janam-aTo girivraje /
   pitryamapi paramakāruṇiko nagaraṃ yayāvanujighṛkṣayā tadā // Saund_3.15 //	pitryam-api parama-kAruNikaH nagaram yayO=-anujiGRkzayA tadA // SOnd-_3.15 //
   viṣayātmakasya hi janasya bahuvividhamārgasevinaḥ /	vizaya-Atmakasya hi janasya bahu-viviDa-mArga-sevinaH /
   sūryasadṛśavapurabhyudito vijahāra sūrya iva gautamastamaḥ // Saund_3.16	sUrya-sadRSa-vapuH-aByuditaH vijahAra sUryaH iva gOtamaH-tamaH // SOnd_3.16
   abhitastataḥ kapilavāstu paramaśubhavāstusaṃstutam /	aBitas-tatas kapilavAstu parama-SuBa-vAstu-saMstutam /
   vastumatiśuci śivopavanaṃ sa dadarśa niḥspṛhatayā yathā vanam //	vastum-ati-Suci Siva-upavanam sa dadarSa niHspRha-tayA yaTA vanam //
   Saund_3.17 //	SOnd-_3.17 //
   aparigrahaḥ sa hi babhūva niyatamatirātmanīśvaraḥ /	aparigrahaH sa hi baBUva niyata-matiH-Atmani-ISvaraH /
   naikavidhabhayakareṣu kimu svajanasvadeśajanamitravastuṣu // Saund_3.18 //	na-ekaviDa-Baya-karezu kimu sva-jana-sva-deSa-jana-mitra-vastuzu // SOnd-_3.18 //
   pratipūjayā na sa jaharṣa na ca śucamavajñayāgamat /	pratipUjayA na sa jaharza na ca Sucam-avajQayA-agamat /
   niścitamatirasicandanayorna jagāma duḥkhasukhayośca vikriyām // Saund_3.19	niScita-matiH-asi-candanayoH-na jagAma duHKa-suKayoH-ca vikriyAm // SOnd_3.19
   atha pārthivaḥ samupalabhya sutamupagataṃ tathāgatam /	aTa pArTivaH samupalaBya sutam-upagatam taTAgatam /
   tūrṇamabahuturagānugataḥ sutadarśanotsukatayābhiniryayau // Saund_3.20 //	tUrNam-abahutuH-aga-anugataH suta-darSana-utsuka-tayA-aBiniryayO // SOnd-_3.20 //
   sugatastathāgatamavekṣya narapatimadhīramāśayā /	sugataH-taTAgatam-avekzya narapatim-aDIram-ASayA /
   śeṣamapi ca janamaśrumukhaṃ vininīṣayā gaganamutpapāta ha // Saund_3.21 //	Sezam-api ca janam-aSru-muKam vininIzayA gaganam-utpapAta ha // SOnd-_3.21 //
   sa vicakrame divi bhuvīva punarupaviveśa tasthivān /	sa vicakrame divi Buvi-iva punar-upaviveSa tasTivAn /
   niścalamatiraśayiṣṭa punarbahudhābhavat punarabhūttathaikadhā //	niScala-matiH-aSayizwa punar-bahuDA-Bavat punar-aBUt-taTA-ekaDA //
   Saund_3.22 //	SOnd-_3.22 //
   salile kṣitāviva cacāra jalamiva viveśa medinīm /	salile kzitO=-iva cacAra jalam-iva viveSa medinIm /
   megha iva divi vavarṣa punaḥ punarajvalannava ivodito raviḥ // Saund_3.23	meGaH iva divi vavarza punar punar-ajvalat-navaH iva-uditaH raviH // SOnd_3.23
   yugapajjvalan jvalanavacca jalamavasṛjaṃśca meghavat /	yugapad-jvalan jvalana-vat-ca jalam-avasRjan=-ca meGa-vat /
   taptakanakasadṛśaprabhayā sa babhau pradīpta iva sandhyayā ghanaḥ //	tapta-kanaka-sadRSa-praBayA sa baBO pradIptaH iva sanDyayA GanaH //
   Saund_3.24 //	SOnd-_3.24 //
   tamudīkṣya hemamaṇijālavalayinamivotthitaṃ dhvajam /	tam-udIkzya hema-maNi-jAla-valayinam-iva-utTitam Dvajam /
   prītimagamadatulāṃ nṛpatirjanatā natāśca bahumānamabhyayuḥ // Saund_3.25	prItim-agamat-atulAm nRpatiH-janatA natAH-ca bahu-mAnam-aByayus // SOnd_3.25
   atha bhājanīkṛtamavekṣya manujapatimṛddhisaṃpadā /	aTa BAjanIkRtam-avekzya manuja-patim-RdDi-saMpadA /
   paurajanamapi ca tatpravaṇaṃ nijagāda dharmavinayaṃ vināyakaḥ //	pOra-janam-api ca tad-pravaNam nijagAda Darma-vinayam vinAyakaH //
   Saund_3.26 //	SOnd-_3.26 //
   nṛpatistataḥ prathamamāpa phalamamṛtadharmasiddhaye /	nRpatiH-tatas praTamam-Apa Palam-amRta-Darma-sidDaye /
   dharmamatulamadhigamya munermuṃnaye nanāma sa yato gurāviva // Saund_3.27	Darmam-atulam-aDigamya muneH-muMnaye nanAma sa yatas gurO=-iva // SOnd_3.27
   bahavaḥ prasannamanaso 'tha jananamaraṇārtibhīravaḥ /	bahavaH prasanna-manasaH aTa janana-maraNa-Arti-BIravaH /
   śākyatanayavṛṣabhāḥ kṛtino vṛṣabhā ivānalabhayāt pravavrajuḥ // Saund_3.28	SAkya-tanaya-vRzaBAH kRtinaH vRzaBAH iva-anala-BayAt pravavrajuH // SOnd_3.28
   vijahustu ye 'pi na gṛhāṇi tanayapitṛmātrapekṣayā /	vijahuH-tu ye api na gRhANi tanaya-pitR-mAtR-apekzayA /
   te 'pi niyamavidhimāmaraṇājjagṛhuśca yuktamanasaśca dadhrire // Saund_3.29	te api niyama-viDim-A-maraNAt-jagRhuH-ca yukta-manasaH-ca daDrire // SOnd-_3.29
   na jihiṃsa sūkṣmamapi jantumapi paravadhopajīvinaḥ /	na jihiMsa sUkzmam-api jantum-api para-vaDa-upajIvinaH /
   kiṃ bata vipulaguṇaḥ kulajaḥ sadayaḥ sadā kimu munerupāsayā // Saund_3.30	kim bata vipula-guNaH kula-jaH sa-dayaH sadA kimu muneH-upAsayA // SOnd_3.30
   akṛśodyamaḥ kṛśadhano 'pi paraparibhavāsaho 'pi san /	akRSa-udyamaH kRSa-DanaH api para-pariBava-asahaH api san /
   nānyadhanamapahāra tathā bhujagādivānyavibhavāddhi vivyathe // Saund_3.31	na-anya-Danam-apahAra taTA BujagAt-iva-anya-viBavAt-hi vivyaTe // SOnd-_3.31
   vibhavānvito 'pi taruṇo 'pi viṣayacapalendriyo 'pi san /	viBava-anvitaH api taruNaH api vizaya-capala-indriyaH api san /
   naiva ca parayuvatīragamat paramaṃ hi tā dahanato 'pyamanyata //	na-eva ca para-yuvatIH-agamat paramam hi tAH dahanataH api-amanyata //
   Saund_3.32 //	SOnd-_3.32 //
   anṛtaṃ jagāda na ca kaścidṛtamapi jajalpa nāpriyam /	anRtam jagAda na ca kaScid-Rtam-api jajalpa na-apriyam /
   ślakṣṇamapi ca na jagāvahitaṃ hitamapyuvāca na ca paiśunāca yat //	SlakzNam-api ca na jagO=-ahitam hitam-api-uvAca na ca pESunAca yat //
   Saund_3.33 //	SOnd-_3.33 //
   manasā lulobha na ca jātu paravasuṣu gṛddhamānasaḥ /	manasA luloBa na ca jAtu para-vasuzu gRdDa-mAnasaH /
   kāmasukhamasukhato vimṛśan vijahāra tṛpta iva tatra sajjanaḥ // Saund_3.34	kAma-suKam-asuKataH vimRSan vijahAra tRptaH iva tatra sat-janaH // SOnd_3.34
   na parasya kaścidapaghātamapi ca saghṛṇo vyacintayat /	na parasya kaScid-apaGAtam-api ca sa-GRNaH vyacintayat /
   mātṛpitṛsutasuhṛtsadṛśaṃ sa dadarśa tatra hi parasparaṃ janaḥ //	mAtR-pitR-suta-suhRd-sadRSam sa dadarSa tatra hi parasparam janaH //
   Saund_3.35 //	SOnd-_3.35 //
   niyataṃ bhaviṣyati paratra bhavadapi ca bhūtamapyatho /	niyatam Bavizyati paratra Bavat-api ca BUtam-api-aTo /
   karmaphalamapi ca lokagatirniyateti darśanamavāpa sādhu ca // Saund_3.36	karma-Palam-api ca loka-gatiH-niyata-iti darSanam-avApa sADu ca // SOnd_3.36
   iti karmaṇā daśavidhena paramakuśalena bhūriṇā /	iti karmaNA daSaviDena parama-kuSalena BUriNA /
   bhraṃśini śithilaguṇo 'pi yuge vijahāra tatra munisaṃśrayājjanaḥ //	BraMSini SiTila-guNaH api yuge vijahAra tatra muni-saMSrayAt-janaH //
   Saund_3.37 //	SOnd-_3.37 //
   na ca tatra kaścidupapattisukhamabhilalāṣa tairguṇaiḥ /	na ca tatra kaScid-upapatti-suKam-aBilalAza tEH-guNEH /
   sarvamaśivamavagamya bhavaṃ bhavasaṃkṣayāya vavṛte na janmane //	sarvam-aSivam-avagamya Bavam Bava-saMkzayAya vavRte na janmane //
   Saund_3.38 //	SOnd-_3.38 //
   akathaṃkathā gṛhiṇa eva paramapariśuddhadṛṣṭayaḥ /	akaTaMkaTAH gRhiNaH eva parama-pariSudDa-dRzwayaH /
   strotasi hi vavṛtire bahavo rajasaṃstanutvamapi cakrire pare // Saund_3.39	strotasi hi vavRtire bahavaH rajasan=-tanu-tvam-api cakrire pare // SOnd-_3.39
   vavṛte 'tra yo 'pi viṣayeṣu vibhavasadṛśeṣu kaścana /	vavRte atra yaH api vizayezu viBava-sadRSezu kaScana /
   tyāgāvinayaniyamābhirato vijahāra so 'pi na cacāla satpathāt // Saund_3.40	tyAga-avinaya-niyama-aBirataH vijahAra saH api na cacAla sat-paTAt // SOnd_3.40
   api ca svato 'pi parato 'pi na bhayamabhavanna daivataḥ /	api ca svatas api paratas api na Bayam-aBavat-na dEvataH /
   tatra ca susukhasubhikṣaguṇairjahṛṣuḥ prajāḥ kṛtayuge manoriva //	tatra ca su-suKa-suBikza-guNEH-jahRzuH prajAH kRta-yuge manoH-iva //
   Saund_3.41 //	SOnd-_3.41 //
   iti muditamanāmayaṃ nirāpat kururaghupūrupuropamaṃ puraṃ tat /	iti muditam-anAmayam nirApad kuru-raGu-pUru-pura-upamam puram tat /
   abhavadabhayadaiśike maharṣau viharati tatra śivāya vītarāge // Saund_3.42	aBavat-aBaya-dESike mahA-RzO viharati tatra SivAya vIta-rAge // SOnd_3.42
   saundaranande mahākāvye "tathāgatavarṇana" nāma tṛtīya sarga samāpta /	sOndara-nande mahAkAvye "taTAgatavarNana" nAma tRtIya sarga samApta /
   caturthaḥ sargaḥ	caturTaH sargaH
   bhāryāyācitaka	BAryA-yAcitaka
   munau bruvāṇe 'pi tu tatra dharmaṃ dharmaṃ prati jñātiṣu cādṛteṣu /	munO bruvANe api tu tatra Darmam Darmam prati jQAtizu ca-AdRtezu /
