   Suvarṇaprabhāsasūtram	SuvarNa-praBAsa-sUtram
   tathāgatasya yācitum / dhātuṃ ratnakaraṇḍake nikṣipya dhāraṇāt	taTAgatasya yAcitum / DAtum ratna-karaNxake nikzipya DAraNAt-
   sarvasattvānāṃ tridaśādhipatyeśvaralābha itīcchase / evaṃ mayā ca	sarva-sattvAnAm tridaSa-ADipatya-ISvara-lABaH iti-icCase / evam mayA ca
   litsavikumāra iṣṭaṃ varam /	litsa-vikumAraH izwam varam /
   atha sarvasattvapriyadarśano nāma litsavikumāra ācāryavyākaraṇaprāptaṃ	aTa sarva-sattvapriyadarSanaH nAma litsa-vikumAraH AcArya-vyAkaraNa-prAptam
   kauṇḍinyabrāhmaṇaṃ gāthābhirabhyabhāṣata /	kONxinya-brAhmaNam gATABiH-aByaBAzata /
   yadā strotaḥsu gaṅgāyā roheyuḥ kumudāni ca /	yadA stra-utaHsu gaFgAyAH roheyuH kumudAni ca /
   raktāḥ kākā bhaviṣyanti śaṅkhavarṇāśca kokilāḥ // Suv_2.9 //	raktAH kAkAH Bavizyanti SaFKa-varNAH-ca kokilAH // Suu-_2.9 //
   jambustālaphalaṃ dadyāt kharjūraścāmramañjarīm /	jambuH-tAla-Palam dadyAt KarjUraH-ca-Amra-maQjarIm /
   tadā sarṣapamātraṃ ca vyaktaṃ dhāturbhaviṣyati // Suv_2.10 //	tadA sarzapa-mAtram ca vyaktam DAtuH-Bavizyati // Suu-_2.10 //
   yadā kacchapalomānāṃ prāvāraiḥ suvṛto bhavet /	yadA kacCapa-lomAnAm prAvArEH su-vRtaH Bavet /
   hemante śītaharaṇo tadā dhāturbhaviṣyati // Suv_2.11 //	hemante SIta-haraNaH tadA DAtuH-Bavizyati // Suu-_2.11 //
   yadā maśakapādānāmaṭṭakālambanaṃ bhavet /	yadA maSaka-pAdAnAm-awwaka-Alambanam Bavet /
   dṛḍhaṃ cāpyaprakampi ca tadā dhāturbhaviṣyati // Suv_2.12 //	dRXam ca-api-aprakampi ca tadA DAtuH-Bavizyati // Suu-_2.12 //
   (Bagchi 8)	(Baj-Ci 8)
   yadā tīkṣṇā mahāntaśca dantā jāyanti pāṇḍurāḥ /	yadA tIkzNAH mahAntaH-ca dantAH jAyanti pANxurAH /
   jalaukānāṃ hi sarveṣāṃ tadā dhāturbhaviṣyati // Suv_2.13 //	jalOkAnAm hi sarvezAm tadA DAtuH-Bavizyati // Suu-_2.13 //
   yadā śaśaviṣāṇena niḥśreṇī sudṛḍhā bhavet /	yadA SaSa-vizANena niHSreNI su-dRXA Bavet /
   svargasyārohaṇārthāya tadā dhāturbhaviṣyati // Suv_2.14 //	svargasya-ArohaNa-arTAya tadA DAtuH-Bavizyati // Suu-_2.14 //
   tāṃ niśreṇīṃ yadāruhya candraṃ bhakṣati mūṣikaḥ /	tAm niSreNIm yadA-Aruhya candram Bakzati mUzikaH /
   rāhuṃ ca paridhāveta tadā dhāturbhaviṣyati // Suv_2.15 //	rAhum ca pariDAveta tadA DAtuH-Bavizyati // Suu-_2.15 //
   yadā madyaghaṭaṃ pītvā makṣikā grāmacāriṇyaḥ /	yadA madya-Gawam pItvA makzikAH grAma-cAriNyaH /
   agāre vāsaṃ kalpeyustadā dhāturbhaviṣyati // Suv_2.16 //	agAre vAsam kalpeyuH-tadA DAtuH-Bavizyati // Suu-_2.16 //
   yadā bimboṣṭhasampanno gardabhaḥ sukhito bhavet /	yadA bimba-uzWa-sampannaH gardaBaH suKitaH Bavet /
   kuśalaṃ nṛtyagīteṣu tadā dhāturbhaviṣyati // Suv_2.17 //	kuSalam nRtya-gItezu tadA DAtuH-Bavizyati // Suu-_2.17 //
   yadā hyulūkakākāśca ramayeyuḥ sahāgatāḥ /	yadA hi-ulUka-kAkAH-ca ramayeyuH saha-AgatAH /
   anyonyamanukūlena tadā dhāturbhaviṣyati // Suv_2.18 //	anyonyam-anukUlena tadA DAtuH-Bavizyati // Suu-_2.18 //
   yadā palāśapatrāṇāṃ chatraṃ hi vipulaṃ bhavet /	yadA palASa-patrANAm Catram hi vipulam Bavet /
   varṣasya pratipātāya tadā dhāturbhaviṣyati // Suv_2.19 //	varzasya pratipAtAya tadA DAtuH-Bavizyati // Suu-_2.19 //
   yadā sāmudrikā nāvaḥ sayantrāḥ sapatākikāḥ /	yadA sAmudrikAH nAvaH sa-yantrAH sa-patAkikAH /
   sthalamāruhya gaccheyustadā dhāturbhaviṣyati // Suv_2.20 //	sTalam-Aruhya gacCeyuH-tadA DAtuH-Bavizyati // Suu-_2.20 //
   yadā hyulūkaśakunāḥ parvataṃ gandhamādanam /	yadA hi-ulUka-SakunAH parvatam ganDamAdanam /
   tuṇḍenādāya gaccheyustadā dhāturbhaviṣyati // Suv_2.21 //	tuNxena-AdAya gacCeyuH-tadA DAtuH-Bavizyati // Suu-_2.21 //
   etāśca gāthāḥ śrutvācāryavyākaraṇaprāptaḥ kauṇḍinyo brāhmaṇaḥ	etAH-ca gATAH SrutvA-AcArya-vyAkaraNa-prAptaH kONxinyaH brAhmaNaH
   sarvalokapriyadarśanaṃ litsavikumāraṃ gāthābhiḥ pratyabhāṣata /	sarva-loka-priya-darSanam litsa-vikumAram gATABiH pratyaBAzata /
   sādhu sādhu kumārāgra jinaputra mahāgira /	sADu sADu kumAra-agra jinaputra mahA-giraH /
   upāyakuśalo vīraḥ prāptavyākaraṇottamaḥ // Suv_2.22 //	upAya-kuSalaH vIraH prApta-vyAkaraNa-uttamaH // Suu-_2.22 //
   mama kumāra śṛṇohi lokanāthasya tāyinaḥ /	mama kumAra SRNohi loka-nATasya tAyinaH /
   tathāgatasya māhātmyaṃ yathākramamacintitam // Suv_2.23 //	taTAgatasya mAhAtmyam yaTAkramam-acintitam // Suu-_2.23 //
   acintyaṃ buddhaviṣayamasamāśca tathāgatāḥ /	acintyam budDa-viza-yam-asamAH-ca taTAgatAH /
   sarvabuddhāḥ śivā nityaṃ sarvabuddhāḥ samācarāḥ // Suv_2.24 //	sarva-budDAH SivAH nityam sarva-budDAH samAcarAH // Suu-_2.24 //
   sarvabuddhāḥ samavaṇā eṣā buddheṣu dharmatā /	sarva-budDAH samavaNAH ezA budDezu DarmatA /
   na kṛtrimo 'sau bhagavānnotpannaśca tathāgataḥ // Suv_2.25 //	na kRtrimaH asO BagavAn-na-utpannaH-ca taTAgataH // Suu-_2.25 //
   (Bagchi 9)	(Baj-Ci 9)
   vajrasaṃhananakāyo nirmitakāyadarśakaḥ /	vajra-saMhanana-kAyaH nirmitakAya-darSakaH /
   nāpi sarṣapamātraṃ ca dhāturnāma maharṣiṇām // Suv_2.26 //	na-api sarzapa-mAtram ca DAtuH-nAma mahA-RziNAm // Suu-_2.26 //
   anasthirudhire kāye kuto dhāturbhaviṣyati /	anasTi-ruDire kAye kutas DAtuH-Bavizyati /
   upāyadhātunikṣepaḥsattvānāṃ hitakāraṇam // Suv_2.27 //	upAya-DAtu-nikzepaH-sattvAnAm hita-kAraNam // Suu-_2.27 //
   dharmakāyo hi sambuddho dharmadhātustathāgataḥ /	Darma-kAyaH hi sambudDaH DarmaDAtuH-taTAgataH /
   idṛśo bhagavatkāya īdṛśī dharmadeśanā // Suv_2.28 //	idRSaH Bagavat-kAyaH IdRSI Darma-deSanA // Suu-_2.28 //
   etacchrutaṃ mayā jñātvābhiyācitaṃ varaṃ mayā /	etat-Srutam mayA jQAtvA-aBiyAcitam varam mayA /
   tattvavyākaraṇārthāya varotpādaṃ muneḥ kṛtam // Suv_2.29 //	tattva-vyAkaraNa-arTAya vara-utpAdam muneH kRtam // Suu-_2.29 //
   atha khalu dvātriṃśaddevaputrasahasrāṇi tathāgatasya yaṃ	aTa Kalu dvAtriMSat-deva-putra-sahasrANi taTAgatasya yam
   gambhīramāyuḥpramāṇanirdeśaṃ śrutvā sarvairanuttarāyāṃ samyaksambodhau	gamBIram-AyuH-pramANa-nirdeSam SrutvA sarvEH-anuttarAyAm samyaksamboDO
   cittānyutpāditāni te prahṛṣṭamanaḥsaṃkalpā ekasvaranirghoṣeṇa	cittAni-utpAditAni te prahRzwa-manaH-saMkalpAH eka-svara-nirGozeNa
   gāthāmabhāṣan /	gATAm-aBAzan /
   na buddhaḥ parinirvāti na dharma parihīyate /	na budDaH parinirvAti na Darma parihIyate /
   sattvānāṃ paripākāya parinirvāṇaṃ nidarśayet // Suv_2.30 //	sattvAnAm paripAkAya parinirvANam nidarSayet // Suu-_2.30 //
   acintyo bhagavānbuddho nityakāyastathāgataḥ /	acintyaH BagavAn-budDaH nitya-kAyaH-taTAgataH /
   deśeti vividhānvyūhānsattvānāṃ hitakāraṇāt // Suv_2.31 //	deSa-iti viviDAn-vyUhAn-sattvAnAm hita-kAraNAt // Suu-_2.31 //
   atha khalu ruciraketurbodhisattvasteṣāṃ buddhānāṃ bhagavatāṃ tayośca	aTa Kalu rucira-ketuH-boDisattvaH-tezAm budDAnAm BagavatAm tayoH-ca
   dvayoḥ satpuruṣayorantikādbhagavataḥ śākyamunerāyuḥpramāṇanirdeśaṃ śrutvā	dvayoH sat-puruzayoH-antikAt-BagavataH SAkya-muneH-AyuH-pramANa-nirdeSam SrutvA
   tuṣṭa udagra āttamanāḥ pramuditaḥ prītisaumanasyajātaścodāreṇa	tuzwaH udagre Atta-manAH pramuditaH prIti-sOmanasya-jAtaH-ca-udAreNa
   prītiprāmodyena sphuṭo 'bhūt / asmiṃstathāgatāyuḥpramāṇanirdeśe	prIti-prAmodyena sPuwaH aBUt / asmin=-taTAgata-AyuH-pramANa-nirdeSe
   nirdiśyamāne 'prameyāṇāmasaṃkhyeyānāṃ sattvānāmanuttarāyāṃ samyaksaṃbodhau	nirdiSyamAne aprameyANAm-asaMKyeyAnAm sattvAnAm-anuttarAyAm samyaksaMboDO
   cittamutpāditam / te ca tathāgatā antaritā iti /	cittam-utpAditam / te ca taTAgatAH antaritAH iti /
   iti śrīsuvarṇaprabhāsoottamasūtrendrarāje tathāgatāyuḥpramāṇa	iti SrI-suvarNa-praBAsoa-uttama-sUtrendra-rAje taTAgata-AyuH-pramANa-
   nirdeśaparivarto nāma dvitīyaḥ //	nirdeSa-parivartaH nAma dvitIyaH //
   (Bagchi 10)	(Baj-Ci 10)
   // Svapnaparivartaḥ //	// Svapna-parivartaH //
   atha khalu ruciraketurnāma bodhisattvaḥ svuptaḥ svapnāntaragataḥ suvarṇāṃ	aTa Kalu ruciraketuH-nAma boDisattvaH svuptaH svapna-antara-gataH suvarNAm
   suvarṇamayīṃ bherīmadrākṣīt / samantādavabhāsamānāṃ tadyathāpi nāma	suvarNa-mayIm BerIm-adrAkzIt / samantAt-avaBAsamAnAm tat-yaTA-api nAma
   sūryamaṇḍalaṃ sarvāsu	sUrya-maNxalam sarvAsu
   dikṣvaprameyānasaṃkhyeyānbuddhānadrākṣīdratnavṛkṣamūle siṃhāsane	dikzu-aprameyAn-asaMKyeyAn-budDAnadrAkzIt-ratna-vRkza-mUle siMhAsane
   vaiḍūryamaye pratiniṣaṇṇānanekaśatasahasrikāyāṃ pariṣadāyāṃ parivṛtāyāṃ	vExUrya-maye pratinizaNNAn-aneka-Sata-sahasrikAyAm parizadAyAm parivRtAyAm
   puraskṛtāyāṃ dharmadeśayamānān / tatra ca brāhmaṇarūpeṇa puruṣamadrākṣīt	puraskRtAyAm Darma-deSayamAnAn / tatra ca brAhmaNa-rUpeNa puruzam-adrAkzIt-
   tāṃ bherīṃ parāhantam / tatra bherīśabdādimāmevaṃrūpāṃ gāthāṃ	tAm BerIm parAhantam / tatra BerI-SabdAt-imAm-evaMrUpAm gATAm
   niścaramāṇāmaśrauṣīt /	niScaramANAm-aSrOzIt /
   atha khalu ruciraketurbodhisattvaḥ prativibuddhaḥ samanantaraṃ tāṃ	aTa Kalu rucira-ketuH-boDisattvaH prativibudDaH samanantaram tAm
   dharmadeśanāgāthāmanusmarati sma / anusmaramāṇastasyā rātryā atyayena	Darma-deSa-nAgATAm-anusmarati sma / anusmaramANaH-tasyAH rAtryAH atyayena
   rājagṛhānmahānagarānniṣkramyānekaiḥ prāṇisahasraiḥ sārdhaṃ yena	rAja-gRhAt-mahA-nagarAt-nizkramya-anekEH prANi-sahasrEH sArDam yena
   gṛdhrakūṭaḥ parvatarājo yena bhagavāṃstenopasaṃkrānta upasaṃkramya	gRDrakUwaH parvata-rAjaH yena BagavAn=-tena-upasaMkrAntaH upasaMkramya
   bhagavataḥ pādau śirasā vanditvā bhagavantaṃ tripradakṣiṇīkṛtyaikānte	BagavataH pAdO SirasA vanditvA Bagavantam tri-pradakziNIkRtya-ekAnte
   nyaṣīdat /	nyazIdat /
   atha khalu ruciraketurbodhisattvo yena bhagavāṃstenāñjaliṃ praṇamya	aTa Kalu rucira-ketuH-boDisattvaH yena BagavAn=-tena-aQjalim praNamya
   yāścaiva tāḥ svapnāntare dundubhiśabdena deśanāgāthāḥ śrutāstā uvāca /	yAH-ca-eva tAH svapna-antare dunduBi-Sabdena deSanAgATAH SrutAH-tAH uvAca /
   iti śrīsuvarṇaprabhāsottamasūtrendrarāje svapnaparivarto nāma tṛtīyaḥ //	iti SrI-suvarNa-praBAsa-uttama-sUtrendrarAje svapna-parivartaH nAma tRtIyaH //
   (Bagchi 11)	(Baj-Ci 11)
   // Deśanāparivartaḥ //	// DeSanA-parivartaH //
   ekarātramatandreṇa svapnāntaragataṃ mayā /	eka-rAtram-atandreNa svapna-antara-gatam mayA /
   dundubhī rucirā dṛṣṭā samantakanakaprabhā // Suv_4.1 //	dunduBiH rucirA dRzwA samantakanaka-praBA // Suu-_4.1 //
   jvalamānaṃ yathā sūryaṃ samantena virocitam /	jvalamAnam yaTA sUryam samantena virocitam /
   prabhāsitā daśa diśo dṛṣṭā buddhāḥ samantataḥ // Suv_4.2 //	praBAsitAH daSa diSaH dRzwAH budDAH samantataH // Suu-_4.2 //
   niṣaṇṇā ratnavṛkṣeṣu vaiḍūrye ca prabhāsvare /	nizaNNAH ratna-vRkzezu vExUrye ca praBAsvare /
   anekaśatasāhasryā pariṣadā prabhāskṛtāḥ // Suv_4.3 //	aneka-Sata-sAhasryA parizadA praBAskRtAH // Suu-_4.3 //
   dṛṣṭā brāhmaṇarūpeṇa parāhanyantī dundubhī /	dRzwA brAhmaNa-rUpeNa parAhanyantI dunduBI /
   tenāsyāstāḍyamānāyā ime ślokā abhiśrutāḥ // Suv_4.4 //	tena-asyAH-tAxyamAnAyAH ime SlokAH aBiSrutAH // Suu-_4.4 //
   suvarṇaprabhāsottamadundubhena śāmyantu duḥkhā trisahasraloke /	suvarNa-praBAsa-uttama-dunduBena SAmyantu duHKA tri-sahasra-loke /
   apāyaduḥkhā yamalokaduḥkhā dāridraduḥkhāni tathaiva loke // Suv_4.5 //	apAya-duHKAH yama-loka-duHKAH dAridra-duHKAni taTA-eva loke // Suu-_4.5 //
   anena co dundubhiśabdanādinā śāmyantu sarvavyasanāni loke /	anena caH dunduBi-Sabda-nAdinA SAmyantu sarva-vyasanAni loke /
   samantasattvā hṛdayāhatā tathā tathābhayā śāntabhayā munīndra // Suv_4.6	samantasattvA hRdaya-AhatA taTA taTA-aBayA SAnta-BayA muni-indraH // Suu-_4.6
   yathaiva sarvāryaguṇopapannaḥ saṃsārasarvajñamahāmunīndraḥ /	yaTA-eva sarva-Arya-guNa-upapannaH saMsAra-sarvajQa-mahA-muni-indraH /
   tathaiva bhontu guṇasāgarāḥ prajāḥ samādhibodhyaṅgaguṇairupetāḥ // Suv_4.7	taTA-eva Bontu guNa-sAgarAH prajAH samADi-boDi-aFga-guNEH-upetAH // Suu-_4.7
   anena co dundubhighoṣanādinā bhavantu brahmasvara sarvasattvāḥ /	anena caH dunduBi-Goza-nAdinA Bavantu brahma-svara sarva-sattvAH /
   spṛśantu buddhatvavarāṅgabodhiṃ pravartayantū śubhadharmacakram // Suv_4.8	spRSantu budDa-tva-vara-aFga-boDim pravartayantU SuBa-Darma-cakram // Suu-_4.8
   (Bagchi 12)	(Baj-Ci 12)
   tiṣṭhantu kalpāni acintiyāni deśentu dharmaṃ jagato hitāya /	tizWantu kalpAni acintiyAni deSentu Darmam jagataH hitAya /
   hanantu kleśānvidhamantu duḥkhāṃ śamentu rāgaṃ tatha doṣamoham // Suv_4.9	hanantu kleSAn-viDamantu duHKAm Samentu rAgam taTa doza-moham // Suu-_4.9
   ye sattva tiṣṭhinti apāyabhūmau ādīptasaṃprajvalitāgnigātrāḥ /	ye sattva tizWinti apAya-BUmO AdIpta-saMprajvalita-agni-gAtrAH /
   śṛṇvantu te dundubhisaṃpravāditāṃ namo 'stu buddhāya vaco labhantu //	SRNvantu te dunduBi-saMpravAditAm namaH astu budDAya vacaH laBantu //
   Suv_4.10 //	Suv_4.10 //
   jātismarāḥ sattva bhavantu sarve jātīśatā jātisahasrakoṭyaḥ /	jAti-smarAH sattva Bavantu sarve jAtI-SatA jAti-sahasra-kowyaH /
   anusmarantaḥ satataṃ munīndraṃ śṛṇvantu teṣāṃ vacanaṃ hyudāram // Suv_4.11	anusmarantaH satatam muni-indram SRNvantu tezAm vacanam hi-udAram // Suu-_4.11
   anena co dundibhi ghoṣanādinā labhantu buddhehi sadā samāgamam /	anena caH dundiBi GozanAdinA laBantu budDA-ihi sadA samAgamam /
   vivarjayantū khalu pāpakarma carantu kuśalāni śubhakriyāṇi // Suv_4.12 //	vivarjayantU Kalu pApa-karma carantu kuSalAni SuBa-kriyANi // Suu-_4.12 //
   narāsurāṇāmapi sarvaprāṇīnāṃ yācantu tāṃ deśanaprārthanāya /	nara-asurANAm-api sarva-prANInAm yAcantu tAm deSana-prArTanAya /
   anena co dundubhighoṣanādinā tatsarvi teṣāṃ paripūrayeyam // Suv_4.13 //	anena caH dunduBi-Goza-nAdinA tat-sarvi tezAm paripUrayeyam // Suu-_4.13 //
   ye ghoranarake upapannasattvā ādīptasaṃprajvalitāgnigātrāḥ /	ye Gora-narake upapannasattvAH AdIpta-saMprajvalita-agni-gAtrAH /
   nistīrṇaśokāśca paribhramanti nirvāpaṇaṃ bheṣyati teṣu cāmunā // Suv_4.14	nistIrNa-SokAH-ca pariBramanti nirvApaNam Bezyati tezu ca-amunA // Suu-_4.14
   ye duḥkhasattvāḥ sudāruṇārśca ghorā narakeṣu preteṣu manuṣyaloke /	ye duHKa-sattvAH su-dAruNArH-ca GorAH narakezu pretezu manuzya-loke /
   anena ca dundubhighoṣanādinā sarve ca teṣāṃ praśamantu duḥkhāḥ // Suv_4.15	anena ca dunduBi-Goza-nAdinA sarve ca tezAm praSamantu duHKAH // Suu-_4.15
   (Bagchi 13)	(Baj-Ci 13)
   nisrāṇamaparitrāṇamaśaraṇyaṃ kṛtāni ca /	nisrANam-aparitrANam-aSaraNyam kRtAni ca /
   trātā teṣāṃ bhaveyaṃ ca śaraṇyaḥ śaraṇottamaḥ // Suv_4.16 //	trAtA tezAm Baveyam ca SaraNyaH SaraNa-uttamaH // Suu-_4.16 //
   samanvāharantu māṃ buddhāṃ kṛpākāruṇyacetasaḥ /	samanvAharantu mAm budDAm kRpA-kAruNya-cetasaH /
   atyayaṃ pratigṛhṇantu daśadikṣu vyavasthitāḥ // Suv_4.17 //	atyayam pratigRhNantu daSa-dikzu vyavasTitAH // Suu-_4.17 //
   yacca me pāpakaṃ karma kṛtapūrvaṃ sudāruṇam /	yat-ca me pApakam karma kRta-pUrvam su-dAruNam /
   tatsarvaṃ deśayiṣyāmi sthito daśabalāgrataḥ // Suv_4.18 //	tat-sarvam deSayizyAmi sTitaH daSa-bala-agratas // Suu-_4.18 //
   mātāpitṝnavajānantā buddhānāmaprajānatā /	mAtA-pitLn-avaja-anantA budDAnAm-aprajAnatA /
   kuśalaṃ cāprajānantā yattu pāpaṃ kṛtaṃ mayā // Suv_4.19 //	kuSalam ca-aprajA-anantA yat-tu pApam kRtam mayA // Suu-_4.19 //
   eścaryamadamattena kularūpamadena ca /	eScarya-mada-mattena kula-rUpa-madena ca /
   tāruṇyamadamattena yattu pāpaṃ kṛtaṃ mayā // Suv_4.20 //	tAruNya-mada-mattena yat-tu pApam kRtam mayA // Suu-_4.20 //
   duścintitaṃ daruktaṃ ca duṣkṛtenāpi karmaṇā /	duScintitam daruktam ca duzkRtena-api karmaNA /
   anādīnavadṛṣṭena yattu pāpaṃ kṛtaṃ mayā // Suv_4.21 //	anAdInava-dRzwena yat-tu pApam kRtam mayA // Suu-_4.21 //
   bālabuddhipracāreṇa ajñānāvṛtacetasā /	bAla-budDi-pracAreNa ajQAna-AvRta-cetasA /
   pāpamitravaśāccaiva kleśavyākulacetasā // Suv_4.22 //	pApa-mitra-vaSAt-ca-eva kleSa-vyAkula-cetasA // Suu-_4.22 //
   krīḍāratiśāccaiva śokarogavaśena ca /	krIxA-ratiSAt-ca-eva Soka-roga-vaSena ca /
   atṛptadhanadoṣeṇa yattu pāpaṃ kṛtaṃ mayā // Suv_4.23 //	atRpta-Dana-dozeNa yat-tu pApam kRtam mayA // Suu-_4.23 //
   anāryajanasaṃsargādīrṣyāmātsaryahetunā /	anArya-jana-saMsargAt-IrzyA-mAtsarya-hetunA /
   śāṭhyadāridradoṣeṇa yattu pāpaṃ kṛtaṃ mayā // Suv_4.24 //	SAWya-dAridra-dozeNa yat-tu pApam kRtam mayA // Suu-_4.24 //
   vyasanāgamakāle 'sminkāmānāṃ bhayahetunā /	vyasana-Agama-kAle asmin-kAmAnAm Baya-hetunA /
   anaiśvaryagatenāpi yattu pāpaṃ kṛtaṃ mayā // Suv_4.25 //	anESvarya-gatena-api yat-tu pApam kRtam mayA // Suu-_4.25 //
   calacittavaśenaiva kāmakrodhavaśena vā /	cala-citta-vaSena-eva kAma-kroDa-vaSena vA /
   kṣuptipāsārditenāpi yattu pāpaṃ kṛtaṃ mayā // Suv_4.26 //	kzupti-pAsa-arditena-api yat-tu pApam kRtam mayA // Suu-_4.26 //
   pānarthāṃ bhojanārthaṃ ca vastrārthaṃ strīpsuhetunā /	pAnarTAm Bojana-arTam ca vastra-arTam strI-psu-hetunA /
   vividhakleśasaṃtāpairyattu pāpaṃ kṛtaṃ mayā // Suv_4.27 //	viviDa-kleSa-saMtApEH-yat-tu pApam kRtam mayA // Suu-_4.27 //
   kāyavāṅbhānasaṃ pāpaṃ tridhātucaritaṃ ca tat /	kAyava-aFBAnasam pApam tri-DAtu-caritam ca tat /
   yatkṛtmīdṛśaiḥ rūpaistatsarvaṃ deśayāmyaham // Suv_4.28 //	yad-kRtmi-IdRSEH rUpEH-tat-sarvam deSayAmi-aham // Suu-_4.28 //
   (Bagchi 14)	(Baj-Ci 14)
   yattadbuddheṣu dharmeṣu śrāvakeṣu tathaiva ca /	yat-tat-budDezu Darmezu SrAvakezu taTA-eva ca /
   agauravaṃ kṛtaṃ syāddhi tatsarvaṃ deśayāmyaham // Suv_4.29 //	agOravam kRtam syAt-hi tat-sarvam deSayAmi-aham // Suu-_4.29 //
   yattatpratyekabuddheṣu bodhisattveṣu vā punaḥ /	yat-tat-pratyekabudDezu boDisattvezu vA punar /
   agauravaṃ kṛtaṃ syāddhi tatsarvaṃ deśayāmyaham // Suv_4.30 //	agOravam kRtam syAt-hi tat-sarvam deSayAmi-aham // Suu-_4.30 //
   saddharmaḥ pratikṣiptaḥ syādajānantena me sadā /	sadDarmaH pratikziptaH syAt-ajAnantena me sadA /
   mātāpitṛṣvagauravaṃ tatsarvaṃ deśayāmyaham // Suv_4.31 //	mAtA-pitRzva-gOravam tat-sarvam deSayAmi-aham // Suu-_4.31 //
   mūrkhatvenāpi bālatvānmānadarpāvṛtena ca /	mUrKa-tvena-api bAla-tvAt-mAna-darpa-AvRtena ca /
   rāgadveṣeṇa mohena tatsarvaṃ deśayāmyaham // Suv_4.32 //	rAga-dvezeNa mohena tat-sarvam deSayAmi-aham // Suu-_4.32 //
   pūjayitvā daśadiśi loke daśabalāñjinān /	pUjayitvA daSa-diSi loke daSa-balAn-jinAn /
   uddhariṣyāmyahaṃ sattvānsarvaduḥkhāddaśaddiśi // Suv_4.33 //	udDarizyAmi-aham sattvAn-sarva-duHKAt-daSat-diSi // Suu-_4.33 //
   sthāpayiṣye daśabhuvi sarvasattvānacintiyān /	sTApayizye daSa-Buvi sarva-sattvAn-acintiyAn /
   daśabhūmau hi sthitvā ca sarve bhontu tathāgatāḥ // Suv_4.34 //	daSa-BUmO hi sTitvA ca sarve Bontu taTAgatAH // Suu-_4.34 //
   ekaikasya hi sattvasya careyaṃ kalpakoṭayaḥ /	ekEkasya hi sattvasya careyam kalpa-kowayaH /
   yāvacchakyaṃ hi tatsarvaṃ mokṣituṃ duḥkhasāgarāt // Suv_4.35 //	yAvat-Sakyam hi tat-sarvam mokzitum duHKa-sAgarAt // Suu-_4.35 //
   teṣāṃ sattvānāṃ deśeyaṃ gambhīrāṃ deśanāmimām /	tezAm sattvAnAm deSeyam gamBIrAm deSanAm-imAm /
   svarṇaprabhottamāṃ nāma sarvakarmakṣayaṃkarīṃ // Suv_4.36 //	svarNapraBA-uttamAm nAma sarva-karma-kzayaMkarIm // Suu-_4.36 //
   yena kalpasahasreṣu kṛtaṃ pāpaṃ sudāruṇam /	yena kalpa-sahasrezu kRtam pApam su-dAruNam /
   ekavelaṃ prakāśantu sarve vrajantu saṃkṣayam // Suv_4.37 //	eka-velam prakASantu sarve vrajantu saMkzayam // Suu-_4.37 //
   deśayiṣye imāṃ dharmāṃ svarṇaprabhāmanuttarām /	deSayizye imAm DarmAm svarNa-praBAm-anuttarAm /
   ye śṛṇvanti śubhāṃ teṣāṃ saṃyāntu pāpasaṃkṣayam // Suv_4.38 //	ye SRNvanti SuBAm tezAm saMyAntu pApa-saMkzayam // Suu-_4.38 //
   sthāsyāmi daśabhūmau tāndaśaratnākare vare /	sTAsyAmi daSa-BUmO tAn-daSa-ratnAkare vare /
   ābhāsayanbuddhaguṇaistareyaṃ bhavasāgarāt // Suv_4.39 //	ABAsayan-budDa-guNEH-tarA-iyam Bava-sAgarAt // Suu-_4.39 //
   (Bagchi 15)	(Baj-Ci 15)
   yacca buddhasamudaughaṃ gambhīraṃ guṇasāgaram /	yat-ca budDa-samuda-oGam gamBIram guNa-sAgaram /
   acintiyabudhaguṇaiḥ sarvajñatvaṃ prapūraye // Suv_4.40 //	acintiya-buDa-guNEH sarvajQa-tvam prapUraye // Suu-_4.40 //
   samādhiśatasāhasrairdhāraṇībhiracintitaiḥ /	samADi-Sata-sAhasrEH-DAraNIBiH-acintitEH /
   indriyabalabodhyaṅgairbhave daśabalottamaḥ // Suv_4.41 //	indriya-bala-boDi-aFgEH-Bave daSa-bala-uttamaH // Suu-_4.41 //
   vyavalokaya māṃ buddha samanvāhṛtacetasā /	vyavalokaya mAm budDa samanvAhRta-cetasA /
   atyayaṃ pratigṛhṇātu vimocayatu māṃ bhayāt // Suv_4.42 //	atyayam pratigRhNAtu vimocayatu mAm BayAt // Suu-_4.42 //
   yattu pāpaṃ kṛtaṃ pūrvaṃ mayā kalpaśateṣu ca /	yat-tu pApam kRtam pUrvam mayA kalpa-Satezu ca /
   tasyārthe śokacitto 'haṃ kṛpaṇastṛṣṇayārditaḥ // Suv_4.43 //	tasya-arTe Soka-cittaH aham kRpaNaH-tRzNayA-arditaH // Suu-_4.43 //
   vibhemi pāpakarmo 'haṃ satataṃ hīnamānasaḥ /	viBemi pApa-karmaH aham satatam hIna-mAnasaH /
   yatra yatra cariṣyāmi na cāsti maṅgalaṃ kvacit // Suv_4.44 //	yatra yatra carizyAmi na ca-asti maFgalam kvacid // Suu-_4.44 //
   sarve kāruṇikā buddhāḥ sattvabhayaharāḥ jināḥ /	sarve kAruNikAH budDAH sattva-Baya-harAH jinAH /
