   (atha prathamaḥ adhyāyaḥ)	(aTa praTamaH aDyAyaH)
   5.1.15: sādharmyātsaṃśaye na saṃśayo vaidharmyādubhayathā vā saṃśaye	5.1.15: sADarmyAt-saMSaye na saMSayaH vEDarmyAt-uBayaTA vA saMSaye
   'tyanta saṃśayaprasaṅgo nityatvānabhyūpagamācca sāmānyasyāpratiṣedhaḥ	atyanta saMSaya-prasaFgaH nitya-tva-anaByUpa-gamAt-ca sAmAnyasya-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [prakaraṇasamaprakaraṇam(16-17)]	[prakaraNa-sama-prakaraNam-(16-17)]
   5.1.16: ubhayasādharmyāt prakriyāsiddheḥ prakaraṇasamaḥ	5.1.16: uBaya-sADarmyAt prakriyA-sidDeH prakaraNa-samaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.17: pratipakṣāt prakaraṇasiddheḥ pratiṣedhānupapattiḥ	5.1.17: pratipakzAt prakaraNa-sidDeH pratizeDa-anupapattiH
   pratipakṣopapatteḥ	pratipakza-upapatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [ahetusamaprakaraṇam(18-20)]	[a-hetu-sama-prakaraNam-(18-20)]
   5.1.18: traikālyāsiddherhetorahetusamaḥ	5.1.18: trEkAlya-asidDeH-hetoH-ahetu-samaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.19: na hetutaḥ sādhyasiddhestraikālyāssiddhiḥ	5.1.19: na hetutaH sADya-sidDeH-trEkAlya-AssidDiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.20: pratiṣedhānupapatteśca pratiṣeddhavyāpratiṣedhaḥ	5.1.20: pratizeDa-anupapatteH-ca pratizedDavya-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [arthāpattisamaprakaraṇam(21-22)]	[arTApatti-sama-prakaraNam-(21-22)]
   5.1.21: arthāpattitaḥ pratipakṣasiddherarthāpattisamaḥ	5.1.21: arTApattitaH pratipakza-sidDeH-arTApatti-samaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.22: anuktasyārthāpatteḥ pakṣahānerupapattiranuktatvādanaikāntikatvāc	5.1.22: anuktasya-arTApatteH pakza-hAneH-upapattiH-anukta-tvAt-anEkAntika-tvAt-
   cārthāpatteḥ	ca-arTApatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [aviśeṣasamaprakaraṇam(23-24)]	[a-viSeza-sama-prakaraNam-(23-24)]
   5.1.23: ekadharmopapatteraviśeṣe sarvāviśeṣaprasaṅgātsadbhābopapatter-	5.1.23: eka-Darma-upapatteH-aviSeze sarva-aviSeza-prasaFgAt-sat-BAba-upapatteH--
   aviśeṣasamaḥ	aviSeza-samaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.24: kvaciddharmānupapatteḥ kvaciccopapatteḥ pratiṣedhābhāvaḥ	5.1.24: kvacid-Darma-anupapatteH kvacid-ca-upapatteH pratizeDa-aBAvaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [uapapattisamaprakaraṇam(25-26)]	[uapapatti-sama-prakaraNam-(25-26)]
   5.1.25: ubhayokāraṇopapatterupapattisamaḥ	5.1.25: uBayokAraNa-upapatteH-upapatti-samaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.26: uapapattikāraṇābhyaniñjānādapratiṣedhaḥ	5.1.26: uapapatti-kAraNa-aByaniQjAnAt-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [upalabdhisamaprakaraṇam(27-28)]	[upalabDi-sama-prakaraNam-(27-28)]
   5.1.27: nirdiṣṭakāraṇābhāve 'pyupalambhādupalabdhisamaḥ	5.1.27: nirdizwa-kAraNa-aBAve api-upalamBAt-upalabDi-samaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.28: kāraṇāntarādapi taddharmopapatterapratiṣedhaḥ	5.1.28: kAraNa-antarAt-api tad-Darma-upapatteH-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [anupalabdhisamaprakaraṇam(29-31)]	[anupalabDi-sama-prakaraNam-(29-31)]
   5.1.29: tadanupalabdheranupalambhādabhāvasiddhau tadviparītopapatter	5.1.29: tad-anupalabDeH-anupalamBAt-aBAva-sidDO tad-viparIta-upapatteH-
   anupalabdhisamaḥ	anupalabDi-samaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.30: anupalambhātmakatvādanupalabdherahetuḥ	5.1.30: anupalamBa-Atmaka-tvAt-anupalabDeH-ahetuH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.31: jñānavikalpānāṃ ca bhāvābhāvasaṃvedanādadhyātmam	5.1.31: jQAna-vikalpAnAm ca BAva-aBAva-saMvedanAt-aDyAtmam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [anityasamaprakaraṇam(32-34)	[anitya-sama-prakaraNam-(32-34)
   5.1.32: sādharmyāttulyadharmopapatteḥ sarvānityatvaprasaṅgādanityasamaḥ	5.1.32: sADarmyAt-tulya-Darma-upapatteH sarva-anitya-tva-prasaFgAt-anitya-samaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.33: sādharmyādasiddheḥ pratiṣedhāsiddhiḥ pratiṣedhyasādharmyācca	5.1.33: sADarmyAt-asidDeH pratizeDa-asidDiH pratizeDya-sADarmyAt-ca
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.34: dṛṣṭānte ca sādhyasādhanabhāvena prajñātasya dharmasya tasysa	5.1.34: dRzwAnte ca sADya-sADana-BAvena prajQAtasya Darmasya tasysa
   cobhayathā bhāvānnāviśeṣaḥ	ca-uBayaTA BAvAn-na-aviSezaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [anityasamaprakaraṇam(35-36)]	[anitya-sama-prakaraNam-(35-36)]
   5.1.35: nityamanityabhāvādanitye nityatvopapatternityasamaḥ	5.1.35: nityam-anitya-BAvAt-anitye nitya-tva-upapatteH-nityasamaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.36: pratiṣedhye nityamanityabhāvādanitye 'nityatvopapatteḥ	5.1.36: pratizeDye nityam-anitya-BAvAt-anitye anitya-tva-upapatteH
   pratiṣedhābhāvaḥ	pratizeDa-aBAvaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [kāryasamaprakaraṇam(37-38)]	[kArya-sama-prakaraNam-(37-38)]
   5.1.37: prayatnakāryānekatvāt kāryasamaḥ	5.1.37: prayatna-kArya-aneka-tvAt kArya-samaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.38: kāryānyatve prayatnāhetutvamanupalabdhikāraṇopapatteḥ	5.1.38: kArya-anya-tve prayatna-ahetu-tvam-anupalabDi-kAraNa-upapatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [ṣaṭpakṣīprakaraṇam(39-40)]	[zaz-pakzI-prakaraNam-(39-40)]
   5.1.39: pratiṣedhe 'pi samānadoṣaḥ	5.1.39: pratizeDe api samAna-dozaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.40: sarvatraivam	5.1.40: sarvatra-evam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.41: pratiṣedhavipratiṣedhe pratiṣedhadoṣavad doṣaḥ	5.1.41: pratizeDa-vipratizeDe pratizeDa-doza-vat dozaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.42: pratiṣedhaṃ sadoṣamabhyupetya pratiṣedhavipratiṣedhe samāno	5.1.42: pratizeDam sa-dozam-aByupetya pratizeDa-vipratizeDe samAnaH-
   doṣaprasaṅgo matānujñā	doza-prasaFgaH mata-anujQA
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.43: svapakṣalakṣanāpekṣopapattyupasaṃhāre hetunirdeśe parapakṣadoṣā	5.1.43: sva-pakza-lakzana-apekzA-upapatti-upasaMhAre hetu-nirdeSe para-pakza-dozA
   bhyupagamāt samāno doṣa iti	ByupagamAt samAnaH dozaH iti
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   (iti nyāyasūtre pañcamādhyāyasya prathamam āhnikam)	(iti nyAya-sUtre paQcama-aDyAyasya praTamam Ahnikam-)
   (dvitīyam āhnikam)	(dvitIyam Ahnikam-)
   5.2.1: pratijñāhāniḥ pratijñāntaraṃ pratijñāvirodhaḥ pratijñāsannyāso	5.2.1: pratijQAhAniH pratijQAntaram pratijQA-viroDaH pratijQAsannyAsaH-
   hetvantaram arthāntaraṃ nirarthakam avijñātārtham apārthakam aprāpta kālaṃ	hetu-antaram arTa-antaram nirarTakam avijQAta-arTam apArTakam aprApta kAlam
   nyūnam adhikaṃ punaruktam ananubhāṣaṇam ajñānam apratibhā vikṣepo	nyUnam aDikam punaruktam ananuBAzaNam ajQAnam apratiBA vikzepaH-
   matānujñā paryanuyojyopekṣaṇaṃ niranuyojyānuyogo 'pasiddhānto hetvā	mata-anujQA paryanuyojya-upekzaNam niranuyojya-anuyogaH apasidDAntaH hetvA
   bhāsāśca nigrahasthānāni	BAsAH-ca nigraha-sTAnAni
   {nigrahasthāna-uddeśa-sūtram}	{nigraha-sTAna--uddeSa--sUtram}
   [nigrahasthānapañcakaprakaraṇam(2-6)]	[nigraha-sTAna-paQcaka-prakaraNam-(2-6)]
   5.2.2: pratidṛṣṭāntadharmābhyanujñā svadṛṣṭānte pratijñāhāniḥ	5.2.2: pratidRzwAnta-Darma-aByanujQA sva-dRzwAnte pratijQAhAniH
   {pratijñāhāniḥ lakṣaṇa-sūtram}	{pratijQAhAniH lakzaNa--sUtram}
   5.2.3: pratijñātārthapratiṣedhadharmavikalpāt tadarthanirdeśaḥ	5.2.3: pratijQAta-arTa-pratizeDa-Darma-vikalpAt tad-arTa-nirdeSaH
   pratijñāntara.	pratijQAntara.
   {pratijñāntara-lakṣaṇa-sūtram}	{pratijQa-antara--lakzaNa-sUtram}
   5.2.4: pratijñāhetvorvirodhaḥ pratijñāvirodhaḥ	5.2.4: pratijQA-hetvoH-viroDaH pratijQA-viroDaH
   {pratijñāvirodhaḥ lakṣaṇa-sūtram}	{pratijQA-viroDaH lakzaNa--sUtram}
   5.2.5: pakṣapratiṣedhe pratijñātārthāpanayanaṃ pratijñāsannyāsaḥ	5.2.5: pakza-pratizeDe pratijQAta-arTa-apanayanam pratijQAsannyAsaH
   {pratijñāsannyāsaḥ lakṣaṇa-sūtram}	{pratijQAsannyAsaH lakzaNa--sUtram}
   5.2.6: aviśeṣokte hetau pratiṣiddhe viśeṣamicchato hetvantaram	5.2.6: aviSeza-ukte hetO pratizidDe viSezam-icCataH hetu-antaram
   {hetvantaram lakṣaṇa-sūtram}	{hetu-antaram lakzaNa--sUtram}
   [nigrahasthānacatuṣkaprakaraṇam(7-10)]	[nigraha-sTAna-catuzka-prakaraNam-(7-10)]
   5.2.7: prakṛtādarthādapratisambddhārthamarthāntaram	5.2.7: prakRtAt-arTAt-apratisambdDa-arTam-arTa-antaram
   {arthāntaram lakṣaṇa-sūtram}	{arTa-antaram lakzaNa--sUtram}
   5.2.8: varṇakramanirdeśavannirarthakam	5.2.8: varNa-krama-nirdeSa-vat-nirarTakam
   {nirarthakam lakṣaṇa-sūtram}	{nirarTakam lakzaNa--sUtram}
   5.2.9: pariṣatprativādibhyāṃ trirabhihitamapyavijñātamavijñātārtham	5.2.9: parizad-prativAdiByAm tris-aBihitam-api-avijQAtam-avijQAta-arTam
   {avijñātārtham lakṣaṇa-sūtram}	{a-vijQAta-arTam lakzaNa--sUtram}
   5.2.10: paurvāparyāyogādapratisambaddhārthamapārthakam	5.2.10: pOrvAparya-ayogAt-apratisambadDa-arTam-apArTakam
   {apārthakam lakṣaṇa-sūtram}	{apArTakam lakzaNa--sUtram}
   [nigrahasthānatrikaprakaraṇam(11-13)]	[nigraha-sTAna-trika-prakaraNam-(11-13)]
   5.2.11: avayavaviparyāsavacanamaprāptakālam	5.2.11: avayava-viparyAsa-vacanam-aprApta-kAlam
   {aprāptakālam lakṣaṇa-sūtram}	{a-prApta-kAlam lakzaNa--sUtram}
   5.2.12: hīnamanyatamenāpyavayavena nyūnam	5.2.12: hInam-anyatamena-api-avayavena nyUnam
   {nyūnam lakṣaṇa-sūtram}	{nyUnam lakzaNa--sUtram}
   5.2.13: hetūdāharaṇādhikam adhikam	5.2.13: hetu-udAharaNa-aDikam aDikam
   {adhikam lakṣaṇa-sūtram}	{aDikam lakzaNa--sUtram}
   [punaruktinigrahasthānaprakaraṇam(14-16)]	[punarukti-nigraha-sTAna-prakaraNam-(14-16)]
   5.2.14: śabdārthayoḥ punarvacanaṃ punaruktam anyatra anuvādāt	5.2.14: Sabda-arTayoH punarvacanam punaruktam anyatra anuvAdAt-
   {punaruktam lakṣaṇa-sūtram}	{punaruktam lakzaNa--sUtram}
   5.2.15: anuvāde tu apunaruktaṃ śabdābhyāsāt arthaviśeṣopapatteḥ	5.2.15: anuvAde tu apunaruktam Sabda-aByAsAt arTa-viSeza-upapatteH
   {punaruktam lakṣaṇāpavādasūtram}	{punaruktam lakzaNa-apavAda-sUtram}
   5.2.16: arthāt āpannasya svaśabdena punarvacanam	5.2.16: arTAt Apannasya sva-Sabdena punarvacanam
   {punaruktam lakṣaṇāpavādasūtram}	{punaruktam lakzaNa-apavAda-sUtram}
   [uttaravirodhinigrahasthānacatuṣkaprakaraṇam(17-20)]	[uttara-viroDi-nigraha-sTAna-catuzka-prakaraNam-(17-20)]
   5.2.17: vijñātasya pariṣadā triḥ abhihitasya api apratyuccāraṇam	5.2.17: vijQAtasya parizadA tris aBihitasya api apratyuccAraNam
   ananubhāṣaṇam	ananuBAzaNam
   {ananubhāṣaṇam lakṣaṇa-sūtram}	{ananuBAzaNam lakzaNa--sUtram}
   5.2.18: avijñātam ca ajñānam	5.2.18: avijQAtam ca ajQAnam
   {ajñānam lakṣaṇa-sūtram}	{a-jQAnam lakzaNa--sUtram}
   5.2.19: uttarasya apratipattiḥ apratibhā	5.2.19: uttarasya apratipattiH apratiBA
   {apratibhā lakṣaṇa-sūtram}	{a-pratiBA lakzaNa--sUtram}
   5.2.20: kāryavyāsaṅgāt kathāvicchedaḥ vikṣepaḥ	5.2.20: kArya-vyAsaFgAt kaTA-vicCedaH vikzepaH
   {vikṣepaḥ lakṣaṇa-sūtram}	{vikzepaH lakzaNa--sUtram}
   [matānujñādinigrahasthānatrikaprakaraṇam(21-23)]	[mata-anujQA-Adi-nigraha-sTAna-trika-prakaraNam-(21-23)]
   5.2.21: svapakṣe doṣābhyupagamāt parapakṣe doṣaprasaṅgaḥ matānujñā	5.2.21: sva-pakze doza-aByupagamAt para-pakze doza-prasaFgaH mata-anujQA
   {matānujñā lakṣaṇa-sūtram}	{mata-anujQA lakzaNa--sUtram}
   5.2.22: nigrahasthānaprāptasya anigrahaḥ paryanuyojyopekṣaṇam	5.2.22: nigraha-sTAna-prAptasya anigrahaH paryanuyojya-upekzaNam
   {paryanuyojyopekṣaṇam lakṣaṇa-sūtram}	{paryanuyojya-upekzaNam lakzaNa--sUtram}
   5.2.23: anigrahasthāne nigrahasthānābhiyogaḥ niranuyojyānuyogaḥ	5.2.23: anigraha-sTAne nigraha-sTAna-aBiyogaH niranuyojya-anuyogaH
   {niranuyojyānuyoga lakṣaṇa-sūtram}	{niranuyojya-anuyoga lakzaNa-sUtram}
   [kathakānyoktinirūpyanigrahasthānadvayaprakaraṇam(24-25)]	[kaTakAn-yokti-nirUpya-nigraha-sTAna-dvaya-prakaraNam-(24-25)]
   5.2.24: siddhāntam abhyupetya aniyamāt kathāprasaṅgaḥ apasiddhāntaḥ	5.2.24: sidDAntam aByupetya aniyamAt kaTA-prasaFgaH apasidDAntaH
   {apasiddhānta lakṣaṇa-sūtram}	{apa-sidDAnta lakzaNa-sUtram}
   5.2.25: hetvābhāsāḥ ca yathoktāḥ	5.2.25: hetvABAsAH ca yaTA-uktAH
   {hetvābhāsa nirūpaṇam}	{hetvABAsa nirUpaNam}
   (iti nyāyasūtre pañcamādhyāyasya dvitīyam āhnikam)	(iti nyAya-sUtre paQcama-aDyAyasya dvitIyam Ahnikam-)
   (samāptaścāyam pañcamādhyāyaḥ)	(samAptaH-ca-ayam paQcama-aDyAyaH)
   nyāyadarśanaṃ samāptam	nyAya-darSanam samAptam
