   Abkürzungsverzeichnis	AbkürzungsveH-zeiCnis
   [4.15]     jñānavairāgyayoś caiva ṣaṇṇāṃ bhaga itīraṇā //"	[4.15]     jQAna-vErAgyayoH ca-eva zaNNAm BagaH iti-IraNA //"
   [4.16]     iti samagraṣāḍguṇyaparipūrṇasya avāptasamastakāmasya kimarthaṃ	[4.16]     iti samagra-zAxguNya-paripUrNasya avApta-samasta-kAmasya kim-arTam
   sṛṣṭyadikam iti cet ucyate.	sRzwi-adikam iti ced ucyate.
   [4.17]     "aprameyo 'niyojyaś ca yatra kāmagamo vaśī / [MBh 2, App.	[4.17]     "a-prameyaH aniyojyaH ca yatra kAma-gamaH vaSI / [MB 2, App.
   [4.18]     modate bhagavān bhūtaiḥ bālaḥ kīḍanakair iva //" [MBh 2, App.	[4.18]     modate BagavAn BUtEH bAlaH kIxanakEH iva //" [MB 2, App.
   [4.19]     ityādi bhāratavacanānusāreṇa līlārtham eveti.	[4.19]     ityAdi BArata-vacana-anusAreNa lIlA-arTam eva-iti.
   [4.20]     jagadsṛṣṭyādilīlānubhavārthaṃ bhagavatā samaṣṭisṛṣṭer anantaraṃ	[4.20]     jagat-sRzwi-Adi-lIlA-anuBava-arTam BagavatA samazwi-sRzweH anantaram
   vyaṣṭisṛṣṭau	vyazwi-sRzwO
   [4.21-22]     devamanuṣyādivividhaviśeṣasṛṣṭyarthaṃ caturmukhasṛṣṭiṃ prati	[4.21-22]     deva-manuzya-Adi-viviDa-viSeza-sRzwi-arTam caturmuKa-sRzwim prati
   dhyānaṃ kṛtam. eṣā cidacidātmikā sṛṣṭiḥ bhagavatā kriyate. vyaṣṭisṛṣṭis tu	DyAnam kRtam. ezA cit-acit-AtmikA sRzwiH BagavatA kriyate. vyazwi-sRzwiH tu
   brahmaṇā. samaṣṭisṛṣṭir nāma:	brahmaNA. samazwisRzwiH nAma:
   [4.23]     "bhūtais tu pañcabhiḥ prāṇaiḥ svāntair daśabhir indriyaiḥ /	[4.23]     "BUtEH tu paQcaBiH prANEH sva-antEH daSaBiH indriyEH /
   [4.24]     caturviṃśāti tattvāni sāṅkhyaśāstravido viduḥ //	[4.24]     caturviMSAti tattvAni sAFKya-SAstra-vidaH viduH //
   [5.1]     mahān kālaḥ pradhānañ ca māyāvidyā ca pūruṣaḥ /	[5.1]     mahAn kAlaH praDAnan ca mAyA-avidyA ca pUruzaH /
   [5.2]     iti paurāṇikāḥ prāhuḥ triṃśattatvāni tais saha //"	[5.2]     iti pOrANikAH prAhuH triMSat-tatvAni tEH saha //"
        [vyaṣṭisṛṣṭilakṣaṇam]	[vyazwi-sRzwi-lakzaNam]
   [5.3-9]     iti vacanāt tattvasṛṣṭir ity avagamyate. "svāntair" ity anena	[5.3-9]     iti vacanAt tattva-sRzwiH iti avagamyate. "svAntEr" iti anena
   "mano buddhir ahaṅkāraś cittañ ca karaṇāny amī" ity antaḥkaraṇacatuṣṭayam	"manaH budDiH ahaFkAraH cittan ca karaNAni amI" iti antaHkaraNa-catuzwayam
   ucyate. vyaṣṭisṛṣṭir nāma: aṇḍāntarvartibhūtajātasṛṣṭiḥ. "ajām ekāṃ	ucyate. vyazwisRzwiH nAma: aNxa-antar-varti-BUta-jAta-sRzwiH. "ajAm ekAm
   lohitaśuklakṛṣṇām" "nityo nityānām cetanaś cetanānām". ityādi śrutibhiḥ	lohita-Sukla-kRzNAm" "nityaH nityAnAm cetanaH cetanA-nAm-". ityAdi SrutiBiH
   nityatvena śrutānāṃ prakṛtipuruṣānāṃ sṛṣṭir nāma pralayadaśāyāṃ	nitya-tvena SrutAnAm prakRti-puruzAnAm sRzwiH nAma pralaya-daSAyAm
   sūkṣmarūpeṇa avibhaktanāmarūpeṇa ca paramātmany ekībhūtānāṃ sṛṣṭikāle	sUkzma-rUpeNa aviBakta-nAma-rUpeNa ca paramAtmani ekIBUtAnAm sRzwi-kAle
   paramātmano 'nupraveśānantaraṃ sthūlarūpavatvaṃ vibhaktanāmarūpabhāktvañ	paramAtmanaH anupraveSa-anantaram sTUla-rUpava-tvam viBakta-nAma-rUpa-BAj-tvan-
   ca. "tat sṛṣṭvā". "tad evānuprāviśat. tad anupraviśya. sac ca tyac	ca. "tat sRzwvA-a". "tat eva-anuprAviSat. tat anupraviSya. sat ca tyac
   cābhavat" ityādi śruteḥ.	ca-aBavat" ityAdi SruteH.
   [5.10]     viṣṇupurāṇe: "tad etad akṣayaṃ nityaṃ jaganmunivarākhilam /	[5.10]     vizNupurANe: "tat etat akzayam nityam jagat-muni-vara-aKilam /
   [5.11]     avirbhāvatirobhāvajanmanāśavikalpavat // [ViṣṇuP ]	[5.11]     avirBAva-tiroBAva-janma-nASa-vikalpa-vat // [VizNuB ]
   [5.12]     prakṛtiṃ puruṣañ caiva praviśyātmecchayā hariḥ /	[5.12]     prakRtim puruzan ca-eva praviSya-Atma-icCayA hariH /
   [5.13]     kṣobhayāmāsa samprāpte sargakāle vyayāpyayau //" iti [ViṣṇuP ]	[5.13]     kzoBayAmAsa samprApte sarga-kAle vyaya-apyayO //" iti [VizNuj ]
   [5.14]     gītāsu: "prakṛtiṃ puruṣam caiva viddhy anādī ubhāv api /" [BhGī	[5.14]     gItAsu: "prakRtim puruzam ca-eva vidDi anAdI uBO api /" [BhGI
   = MBh 6.35.19ab]	 MBh 6.35.19ab]
   [5.15]     mama yonir mahad brahma tasmin garbhaṃ dadhāmy aham /	[5.15]     mama yoniH mahat brahma tasmin garBam daDAmi aham /
   [5.16]     sambhavas sarvabhūtānāṃ tato bhavati bhārata //" [BhGī = MBh	[5.16]     samBavaH sarva-BUtAnAm tatas Bavati BArata //" [BhGI  MBh
        [aṇḍotpattyādiprakāraḥ]	[aNxa-utpatti-Adi-prakAraH]
   [5.17-21]     iti coktarītyā sṛṣṭikāle jagadyonibhūtaṃ "mahabrahma"	[5.17-21]     iti ca-ukta-rItyA sRzwi-kAle jagadyoni-BUtam "maha-brahma"
   tadīyaṃ prakṛtyākhyam ācidvastu yat, tasmin cetanākhyaṃ garbhaṃ yojayati.	tadIyam prakRti-AKyam Acit-vastu yat, tasmin cetana-AKyam garBam yojayati.
   tatkṛtāc cidacitsaṃsargāt devādisthāvarāntānām acinmiśrāṇāṃ sarvabhūtānāṃ	tad-kRtAt cit-acit-saMsargAt deva-Adi-sTAvara-antAnAm acit-miSrANAm sarva-BUtAnAm
   sambhavo bhavati. evam eva paramātmanā pañcīkṛtānāṃ bhūtānāṃ	samBavaH Bavati. evam eva paramAtmanA paQcIkRtAnAm BUtAnAm
   anyonyasaṃyogādinā aṇḍoptattyādikaṃ śrīviṣṇupurāṇe pratipādyate. yathā:	anyonya-saMyoga-AdinA aNxa-uptatti-Adikam SrI-vizNupurANe pratipAdyate. yaTA:
   [5.22]     "ākāśavāyutejāṃsi salilaṃ pṛthivī tathā /	[5.22]     "a-AkASa-vAyu-tejAMsi salilam pRTivI taTA /
   [5.23]     śabdādibhir guṇair bahmasaṃyuktāny uttarottaraiḥ // [ViṣṇuP	[5.23]     Sabda-AdiBiH guNEH bahma-saMyuktAni uttarottarEH // [VizNuP
   [5.24]     śāntā ghorāś ca mūḍhāś ca viśeṣās tena te smṛtāḥ /	[5.24]     SAntAH GorAH ca mUXAH ca viSezAH tena te smRtAH /
   [5.25]     nānāvīryāḥ pṛthagbhūtāḥ tataḥ te saṃhatiṃ vinā // [ViṣṇuP ]	[5.25]     nAnA-vIryAH pRTak-BUtAH tatas te saMhatim vinA // [VizNuB ]
   [6.1]     nāśaknuvan prajāḥ sraṣṭum asamāgamya kṛtsnaśaḥ /	[6.1]     na-aSaknuvan prajAH srazwum asamAgamya kRtsnaSas /
   [6.2]     sametyānyonyasaṃyogaṃ parasparasamāśrayāḥ // [Viṣṇu.P ]	[6.2]     sametya-anyonya-saMyogam paraspara-samASrayAH // [VizNu.P ]
   [6.3]     ekasaṅghātalakṣyāś ca saṃprāpyaikyamaśeṣataḥ / [ViṣṇuP 1.2.49cd]	[6.3]     eka-saFGAta-lakzyAH ca saMprApya-Ekyam-aSezatas / [VizNuj 1.2.49cd]
   [6.4]     puruṣādhiṣṭhitatvāc cāpy avyaktānugraheṇa ca // [ViṣṇuP	[6.4]     puruza-aDizWita-tvAt ca-api avyakta-anugraheNa ca // [VizNuP
   1.2.50ab]	1.2.50ab]
   [6.5]     mahadādyā viśeṣāntā hy aṇḍam utpādayanti te /	[6.5]     mahat-AdyAH viSeza-antAH hi aNxam utpAdayanti te /
   [6.6]     tatkrameṇa prabuddhaṃ taj jalabudbudavatsamam /	[6.6]     tad-krameNa prabudDam tat jala-budbuda-vat-samam /
   [6.7]     bhūtebhyo 'ṇḍaṃ mahābuddhe pravṛddham udakeśayam /	[6.7]     BUteByaH aNxam mahAbudDe pravRdDam udakeSayam /
   [6.8]     prākṛtaṃ brahmarūpasya viṣṇoḥ sthānam anuttamam // [Viṣṇu.P	[6.8]     prAkRtam brahma-rUpasya vizNoH sTAnam anuttamam // [VizNu.P
   [6.9]     tatrāvyaktasvarūpo 'sau vyaktarūpī jagatpatiḥ /	[6.9]     tatra-avyakta-svarUpaH asO vyakta-rUpI jagatpatiH /
   [6.10]     viṣṇur brahmasvarūpeṇa svayam eva vyavasthitaḥ //" [ViṣṇuP ]	[6.10]     vizNuH brahma-svarUpeNa svayam eva vyavasTitaH //" [VizNuB ]
   [6.11]     ity ārabhya	[6.11]     iti AraBya
   [6.12]     "tasminn aṇḍe 'bhavad brahmā sadevāsuramānuṣaḥ //" [ViṣṇuP	[6.12]     "tasmin aNxe aBavat brahmA sa-deva-asura-mAnuzaH //" [VizNuP
   [6.13-14]     ityādibhiḥ samaṣṭisṛṣṭyādikam uktam. viśeṣeṇa vyaṣṭisṛṣṭāv	[6.13-14]     iti-AdiBiH samazwi-sRzwi-Adikam uktam. viSezeNa vyazwi-sRzwO=-
   api brahmaṇo 'ṇḍādiṣūtpattiprakāraḥ śrūyate. yathā:	api brahmaNaH aNxa-Adizu-utpatti-prakAraH SrUyate. yaTA:
   [6.15-21]     mahopaniṣadi: "athāto mahopaniṣadaṃ vyākhyāsyāmaḥ. eko ha	[6.15-21]     mahA-upanizadi: "aTA-atas mahopanizadam vyAKyAsyAmaH. ekaH ha
   vai nārāyaṇa āsīd" ity ārabhya "tasya dhyānāntassthasya yajñastomam	vE nArAyaNaH AsId" iti AraBya "tasya DyAna-anta-ssTasya yajQa-stomam
   ucyate. tasmin caturdaśapuruṣā jāyante. ekā kanyā. daśendriyāṇi mana	ucyate. tasmin caturdaSa-puruzAH jAyante. ekA kanyA. daSa-indriyANi mana
   ekādaśaṃ tejo dvādaśam ahaṅkāraḥ trayodaśaḥ praṇāś caturdaśaḥ ātmā	ekAdaSam tejaH dvAdaSam ahaFkAraH trayodaSaH praNAH caturdaSaH AtmA
   pañcadaśaḥ buddhir bhūtāni pañca tanmātrāṇi pañca mahābhūtāni ca sa ekaḥ	paQcadaSaH budDiH BUtAni paQca tanmAtrANi paQca mahABUtAni ca saH ekaH
   pañcaviṃśaḥ puruṣaḥ." "atha punar eva nārāyaṇas so 'nyatkāmo manasā	paQcaviMSaH puruzaH." "aTa punar eva nArAyaNaH saH anyat-kAmaH manasA
   dhyāyata tasya dhyānāntassthasya lalāṭāt svedo 'patat, ta imāḥ pratatā	DyAyata tasya DyAna-anta-ssTasya lalAwAt svedaH apatat, te imAH pratatA
   āpaḥ, tāsu tejaḥ, tat tejo hiraṇmayam aṇḍam tatra brahmā caturmukho	ApaH, tAsu tejaH, tat tejaH hiraNmayam aNxam tatra brahmA caturmuKaH-
   'jāyata." iti.	ajAyata." iti.
        [brahmaṇo 'ṇḍādiṣūtpattiprakāraḥ]	[brahmaNaH aNxa-Adizu-utpatti-prakAraH]
   [6.22]     yajuṣi: "sa prajāpatir ekaḥ puṣkaraparṇe samabhavat" iti ca.	[6.22]     yajuzi: "sa prajApatiH ekaH puzkaraparNe samaBavat" iti ca.
   [6.23]     manau: evaṃ "apa eva sasarjādau tāsu vīryam avāsṛjat //" ity	[6.23]     manO: evam "apaH eva sasarja-AdO tAsu vIryam avAsRjat //" iti-
   ārabhya [ManuDhŚ 1.8cd]	AraBya [ManuDhŚ 1.8cd]
   [6.24]     "tasmin jajñe svayaṃ brahmā sarvalokapitāmahaḥ //" iti [ManuDhŚ	[6.24]     "tasmin jajQe svayam brahmA sarva-loka-pitAmahaH //" iti [ManuDhŚ
   1.9cd]	1.9cd]
   [7.1]     bhārate: "svapatas tasya devasya padmaṃ sūryasamaprabham /	[7.1]     BArate: "svapataH tasya devasya padmam sUrya-sama-praBam /
   [7.2]     nābhyāṃ vinissṛtam abhūt tatrotpannaḥ prajāpatiḥ //" iti ca	[7.2]     nAByAm vinissRtam aBUt tatra-utpannaH prajApatiH //" iti ca
   smaryate. [MBh 3.194.11]	smaryate. [MBh 3.194.11]
   [7.3-4]     nanu nābhyām aṇḍe cotpattir ekasya katham upapadyata iti cet -	[7.3-4]     nanu nAByAm aNxe ca-utpattiH ekasya kaTam upapadyate iti ced -
   tat kalpāntara iti vaktayam. taduktaṃ hayaśira upākhyāne:	tat kalpa-antaraH iti vaktayam. tat-uktam hayaSiraH upAKyAne:
        [ekasya brahmaṇaḥ nābhyām aṇḍe ca utpattiḥ]	[ekasya brahmaNaH nAByAm aNxe ca utpattiH]
   [7.5]     "tvatto me mānasaṃ janma prathamaṃ dvijapūjitam /	[7.5]     "tvattaH me mAnasam janma praTamam dvija-pUjitam /
   [7.6]     cākṣuṣaṃ vai dvitīyaṃ me āsīj janma purātanam //	[7.6]     cAkzuzam vE dvitIyam me AsIt janma purAtanam //
   [7.7]     tvatprasādāc ca me janma tṛtīyaṃ vācikaṃ mahat /	[7.7]     tvad-prasAdAt ca me janma tRtIyam vAcikam mahat /
   [7.8]     tvatto me śrāvaṇañ cāpi caturthaṃ janma vai prabho //	[7.8]     tvattaH me SrAvaNan ca-api caturTam janma vE praBo //
   [7.9]     nāsikyañ caiva me janma tvattaḥ pañcamam ucyate /	[7.9]     nAsikyan ca-eva me janma tvattaH paQcamam ucyate /
   [7.10]     aṇḍajañ cāpi me janma tvattaḥ ṣaṣṭhaṃ vinirmittam //	[7.10]     aNxajan ca-api me janma tvattaH zazWam vinirmittam //
   [7.11]     idan tu saptamaṃ janma padmajaṃ me 'mitaprabha /" iti.	[7.11]     idan tu saptamam janma padma-jam me amita-praBaH /" iti.
        [caturmukhasya vaikhānasādiśabdavācyatvam]	[caturmuKasya vEKAnasa-Adi-Sabda-vAcya-tvam]
   [7.12-14]     atas samastajagajjanmasthitidhvaṃsamahānandaikahetoḥ	[7.12-14]     atas samasta-jagat-janma-sTiti-DvaMsa-mahA-Ananda-eka-hetoH
   bhagavataḥ parabrahmaṇo nārāyaṇasya vaikhānasādiśabdavācyatvasambhavāt	BagavataH para-brahmaNaH nArAyaNasya vEKAnasa-Adi-Sabda-vAcya-tva-samBavAt-
   tannābhinalinasañjātasya brahmaṇo 'pi "aṅgād aṅgād" iti mantroktaprakāreṇa	tad-nABi-nalina-saQjAtasya brahmaNaH api "aFgAt aFgAd" iti mantra-ukta-prakAreNa
   bhāratādipratipāditarītyā ca vaikhānasādiśabdavācyatvam upapadyate.	BArata-Adi-pratipAdita-rItyA ca vEKAnasa-Adi-Sabda-vAcya-tvam upapadyate.
   [7.15]     śāntiparvaṇi: "viśeṣeṇākhanat yasmāt bhāvanāmunisṛṣṭaye /	[7.15]     SAntiparvaNi: "viSezeNa-AKanat yasmAt BAvanA-muni-sRzwaye /
   [7.16]     tasmād vikhanaso nāma sa āsīd aṇḍajaḥ priyaḥ //" iti [MBh ]	[7.16]     tasmAt viKanasaH nAma saH AsIt aNxa-jaH priyaH //" iti [MB ]
   [7.17]     tatraiva: "sraṣṭuṃ sa tu samudyukto brahmayonimayaḥ prabhuḥ /	[7.17]     tatra-eva: "srazwum sa tu samudyuktaH brahma-yoni-mayaH praBuH /
   [7.18]     khanitvā cātmanātmānaṃ dharmādiguṇasaṃyutam /	[7.18]     KanitvA ca-AtmanA-AtmAnam Darma-Adi-guNa-saMyutam /
   [7.19]     dhyānam āviśya yogena hy āsīd vikhanaso muniḥ //" iti [MBh ]	[7.19]     DyAnam AviSya yogena hi AsIt viKanasaH muniH //" iti [MB ]
   [7.20-21]     śrībhāgavate: "na khalu gopikānandano bhavān akhiladehinām	[7.20-21]     SrI-BAgavate: "na Kalu gopika-AnandanaH BavAn aKila-dehinAm
   antarātmadṛk /	antarAtma-dRS /
   [7.22-23]     vikhanasārthito viśvaguptaye sakha udeyivān sāttvatāṃ kule	[7.22-23]     viKana-sArTitaH viSva-guptaye saKaH udeyivAn sAttvatAm kule
   //" iti [BhāgavataP 10.31.4]	//" iti [BhAgavataP 10.31.4]
        [śrīraṅge vaikhānasārcanam]	[SrIraFge vEKAnasa-arcanam]
   [7.24]     gārūḍe - śrīraṅgamāhātmye:	[7.24]     gArUxe  SrIraFga-mAhAtmye:
   [7.25]     "brahmāpi divyahaṃsena sitameghopamena ca /	[7.25]     "brahmA-api divya-haMsena sita-meGa-upamena ca /
   [7.26]     pṛṣṭhato 'nuyayau viṣṇuṃ vastreṇocchādya cānanam //	[7.26]     pRzWatas anuyayO vizNum vastreNa-ucCAdya ca-Ananam //
   [8.1]     tatrārcako mahābhāgo bhagavān vikhanās tadā /	[8.1]     tatra-arcakaH mahABAgaH BagavAn viKanAH tadA /
   [8.2]     dadau prasādaṃ devānāṃ raṅganāthābhyanujñayā //" iti [GaruḍaP ]	[8.2]     dadO prasAdam devAnAm raFga-nATa-aByanujQayA //" iti [Garuxaj ]
   [8.3]     śrīvaikhānase - ānandasaṃhitāyām:	[8.3]     SrI-vEKAnase  Ananda-saMhitAyAm:
   [8.4]     "antarhitānāṃ khananād vedānān tu viśeṣataḥ /	[8.4]     "antarhitAnAm KananAt vedAnAn tu viSezataH /
   [8.5]     sa vibhuḥ procyate sarvaiḥ vikhanā brahmavādibhiḥ /	[8.5]     sa viBuH procyate sarvEH viKanAH brahma-vAdiBiH /
   [8.6]     vaikhānasaś ca bhagavān procyate sa pitāmahaḥ //" iti [ĀS ]	[8.6]     vEKAnasaH ca BagavAn procyate sa pitAmahaH //" iti [ĀH ]
   [8.7]     vyāsanighaṇṭau: "vikhanasañ ca vidhātāraṃ viriñca taṃ	[8.7]     vyAsa-niGaNwO: "viKana-san ca viDAtAram viriQca tam
   caturmukham /" iti	caturmuKam /" iti
   [8.8]     "nābhijanmāṇḍajaḥ pūrvo vikhanāḥ kamalāsanaḥ //	[8.8]     "nABi-janma-aNxajaH pUrvaH viKanAH kamalAsanaH //
   [8.9]     śatānandaś śatadhṛtis satyako haṃsavāhanaḥ /	[8.9]     SatAnandaH SataDRtiH satyakaH haMsavAhanaH /
   [8.10]     padmāsano vikhanasaś cāharmukhaḥ itīritaḥ //" iti ca	[8.10]     padmAsanaH viKanasaH ca-aharmuKaH iti-IritaH //" iti ca
   pratipāditam.	pratipAditam.
   [8.11-12]     evaṃ kāryakāraṇayor abhedāvagamāt pramāṇabāhulyāc ca	[8.11-12]     evam kArya-kAraNayoH aBeda-avagamAt pramANa-bAhulyAt ca
   bhagavati nārāyaṇe caturmukhe ca vaikhānasaśabdaprayogaprakāraḥ	Bagavati nArAyaNe caturmuKe ca vEKAnasa-Sabda-prayoga-prakAraH
   pratipāditaḥ.	pratipAditaH.
   [8.13]     vaikhānasānām utpattiprakāraḥ	[8.13]     vEKAnasAnAm utpatti-prakAraH
        [śrutyuktaḥ vaikhānasānām utpattiprakāraḥ]	[Sruti-uktaH vEKAnasAnAm utpatti-prakAraH]
   [8.14-23]     vaikhānasānām utpattiḥ viśeṣeṇa śrūyate. yajuṣi āruṇaketuke	[8.14-23]     vEKAnasAnAm utpattiH viSezeNa SrUyate. yajuzi AruNaketuke
   iṣṭakopadhānakathanānuvāke sṛṣṭiprakaraṇe - "āpo vā idam āsan salilam eva.	izwa-kopaDAna-kaTana-anuvAke sRzwi-prakaraNe  "ApaH vE idam Asan salilam eva.
   sa prajāpatir ekaḥ puṣkaraparṇe samabhavat. tasyāntar manasi kāmas	sa prajApatiH ekaH puzkaraparNe samaBavat. tasya-antar manasi kAma-s
   samavartata. idaṃ sṛjeyam iti" ity ārabhya "sa tapas taptvā. śarīram	samavartata. idam sRjeyam iti" iti AraBya "sa tapaH taptvA. SarIram
   adhūnuta. tasya yan māṃsam āsīt. tato 'ruṇāḥ ketavo vātaraśanā ṛṣaya	aDUnuta. tasya yat mAMsam AsIt. tatas aruNAH ketavaH vAta-raSanAH Rzaya
   udatiṣṭhan. ye 'nakhāḥ te vaikhānasāḥ. ye vālāḥ te vālakhilyāḥ." iti.	udatizWan. ye anaKAH te vEKAnasAH. ye vAlAH te vAlaKilyAH." iti.
   asyārthaḥ. samaṣṭisṛṣṭer anantaraṃ vyaṣṭisṛṣṭau caturmukhaḥ	asya-arTaH. samazwi-sRzweH anantaram vyazwi-sRzwO caturmuKaH
   devamanuṣyādivividhaviśeṣasṛṣṭyarthaṃ matsyādirūpeṇāvatariṣyamāṇasya	deva-manuzya-Adi-viviDa-viSeza-sRzwi-arTam matsya-Adi-rUpeNa-avatarizyamANasya
   bhagavato nārāyaṇasya paramavaidikatvena	BagavataH nArAyaNasya parama-vEdika-tvena
   sampratipannaśrīvaikhānasabhagavacchāstramārgeṇa samārādhdanarthañ ca	sampratipanna-SrI-vEKAnasa-Bagavat-SAstra-mArgeNa samArADt-anarTan ca
   svātmatulyāḥ prajās sambhaveyur iti svāntaryāmiṇaṃ paramātmānaṃ	sva-Atma-tulyAH prajAH samBaveyuH iti sva-antaryAmiNam paramAtmAnam
   dhyonenānukṛtavān ayam evārtho brāhmāṇḍe 'py ucyate	Dyonena-anukRtavAn ayam eva-arTaH brAhma-aNxe api ucyate
   [8.24]     "om ity ekākṣaraṃ brahma vyāharan saṃsmaran harim /	[8.24]     "om iti eka-akzaram brahma vyAharan saMsmaran harim /
   [8.25]     padmāsanastho bhagavān paramaṃ tapa āsthitaḥ //" [BrahmāṇḍaP ]	[8.25]     padmAsana-sTaH BagavAn paramam tapaH AsTitaH //" [BrahmANxaj ]
        [sanakādisṛṣṭiprakāraḥ]	[sanaka-Adi-sRzwi-prakAraH]
   [9.1-5]     ity ārabhya brahmaṇā brahuśaḥ kṛtaṃ tapaścaraṇam uktam.	[9.1-5]     iti AraBya brahmaNA brahuSas kRtam tapaH-caraNam uktam.
   tapaścaraṇakāle sākṣātkṛtabhagavatsvarūpavaibhavānubhavātiśayāt	tapaH-caraNa-kAle sAkzAtkRta-Bagavat-svarUpa-vEBava-anuBava-atiSayAt
   bhagavaddattasṛṣṭiśaktilābhāt tadupajanitaviśeṣavegāc ca pulakitasarvāṅgaḥ	Bagavat-datta-sRzwi-Sakti-lABAt tad-upajanita-viSeza-vegAt ca pulakita-sarva-aFgaH
   śarīram adhūnuta - kampam akarot. "tasya yan māṃsam āsīd" māṃsaṃ mānasam	SarIram aDUnuta  kampam akarot. "tasya yat mAMsam AsId" mAMsam mAnasam
   iti yāvat. "arthāt prakaraṇāl liṅgād aucityād arthanirṇayaḥ" ity	iti yAvat. "arTAt prakaraNAt liFgAt OcityAt arTa-nirNayaH" iti-
   arthādibhiḥ samīcīnārthanirṇayavidhānāt "akṣarasāmyān nirbrūyād" iti	arTa-AdiBiH samIcIna-arTa-nirNaya-viDAnAt "akzara-sAmyAt nirbrUyAd" iti
   niruktavidhānāñ ca.	nirukta-viDAnAn ca.
   [9.6-10]     tathā ca tasya manaḥ paramātmani saṃsaktam āsīd iti yat, tena	[9.6-10]     taTA ca tasya manaH paramAtmani saMsaktam AsIt iti yat, tena
   hetunā tadanugrahas samajani. tenānugṛhītāt brahmaṇaḥ "ketavo vātaraśanāḥ	hetunA tad-anugrahaH samajani. tena-anugRhItAt brahmaNaH "ketavaH vAta-raSanAH
   ṛṣayaḥ udatiṣṭhan". "aruṇāḥ" paramātmani vasantaḥ taditararaviktāḥ	RzayaH udatizWan". "aruNAH" paramAtmani vasantaH tad-itarara-viktAH
   "ketavaḥ" ucchritasvabhāvāḥ paramātmapravaṇānām agresarāḥ "vātaraśanā"	"ketavaH" ucCrita-svaBAvAH paramAtma-pravaNAnAm agresarAH "vAtaraSanA"
   digvāsasaḥ "ṛṣayaḥ" sarvārthadarśinaḥ sanakādayaḥ "udatiṣṭhan" utkṛṣya	digvAsasaH "RzayaH" sarva-arTa-darSinaH sanaka-AdayaH "udatizWan" utkRzya
   samabhavan iti.	samaBavan iti.
   [9.11]     idaṃ viṣṇupurāṇe 'pi: "sanandanādayo ye ca pūrvaṃ sṛṣṭās tu	[9.11]     idam vizNupurANe api: "sanandana-AdayaH ye ca pUrvam sRzwAH tu
   vedhasā /	veDasA /
   [9.12]     na te lokeṣv asajjanta nirapekṣāḥ prajāvidhau // [ViṣṇuP 1.7.9]	[9.12]     na te lokezu asajjanta nirapekzAH prajA-viDO // [VizNuj 1.7.9]
   [9.13]     sarve te yogino jātā vītarāgā vimatsarāḥ /	[9.13]     sarve te yoginaH jAtAH vIta-rAgAH vimatsarAH /
   [9.14]     teṣv evaṃ nirapekṣeṣu lokasṛṣṭau mahātmanaḥ //" ityādinā	[9.14]     tezu evam nirapekzezu loka-sRzwO mahAtmanaH //" ityAdinA
   pratipāditam. [ViṣṇuP 1.7.10]	pratipAditam. [VizNuj 1.7.10]
   [9.15-19]     sa prajāpatiḥ evaṃvidhān svakāryāsādhakān tān dṛṣṭvā kiñcid	[9.15-19]     sa prajApatiH evaMviDAn sva-kArya-asADakAn tAn dRzwvA kiQcid-
   viṣādam āpannaḥ punar api svakāraṇaṃ bhagavantaṃ dhyānaprayāyeṇa	vizAdam ApannaH punar api sva-kAraNam Bagavantam DyAna-prayAyeNa
   khananenātoṣat. "ye nakhā" ityādi. bhagavadanugrahavikasite prajāpater	Kananena-atozat. "ye naKA" ityAdi. Bagavat-anugraha-vikasite prajApateH-
   manasi vaikhānasā nāma ṛṣayas sambhūtāḥ atra "ye nakhā" ity atra	manasi vEKAnasAH nAma RzayaH samBUtAH atra "ye naKA" iti atra
   ādyantavarṇaviparyayo bhavati. "kaśyapaḥ paśyako bhavatī"tivat "khanā ity	Adi-anta-varNa-viparyayaH Bavati. "kaSyapaH paSyakaH BavatI"tivat "KanAH iti-
   etat nakhā" iti viparyastam iti yāvat.	etat naKA" iti viparyastam iti yAvat-.
   [9.20]     "suptiṅupagrahaliṅganarāṇāṃ kālahalacsvarakartṛyaṅañ ca /	[9.20]     "suptiF-upagraha-liFga-narANAm kAlahalat-svarakartR-yaFan ca /
   [9.21]     vyatyayam icchiti śāstrakṛd eṣāṃ so 'pi ca siddhyati bāhulakena	[9.21]     vyatyayam icCiti SAstra-kRt ezAm saH api ca sidDyati bAhulakena
   [9.22-24]     iti, "bahulaṃ chandasī"ti cātra praṇāman. atra "anakhā" iti	[9.22-24]     iti, "bahulam CandasI"ti ca-atra praNAman. atra "anaKA" iti
   cchittvā kecid evam ūcuḥ. anakhā ity anena saumyendriyavatvaṃ uktam iti.	cCittvA kecid evam UcuH. anaKAH iti anena sOmya-indriyava-tvam uktam iti.
        [vaikhānasānām ācāryapuruṣatvam]	[vEKAnasAnAm AcArya-puruza-tvam]
   [10.1-3]     evañ ca sati "saumyaṃ jitendriyaṃ" "suprasannendriyaṃ"	[10.1-3]     evan ca sati "sOmyam jita-indriyan" "su-prasanna-indriyaM"
   ityādinā bhagavacchāstreṣv ācāryalakṣaṇasya pratipāditatvāt "vaikhānasa	ityAdinA Bagavat-SAstrezu AcArya-lakzaNasya pratipAdita-tvAt "vEKAnasa
