   tṛtīya uddyotaḥ	tRtIyaH uddyotaH
   ca /	ca /
   asyeti /	asya iti /
   dhanurdhāraṇasyetyarthaḥ /	DanuH DAraNasya iti arTaH /
   etaditi /	etat iti /
   nijajīvitarakṣāprayojanakatvena dhanurdhāraṇamityarthaḥ /	nija jIvita rakzA prayojanaka tvena DanuH DAraNam iti arTaH /
   'rāmeṇe'tyādivṛttigranthaṃ vyācaṣṭe  rāmeṇetyādi /	arAmeNe atyAdi vRtti granTam vyAcazwe  rAmeNa ityAdi /
   sāhasaikarasatvamityasya vivaraṇam  asametyādi /	sAhasa eka rasa tvam iti asya vivaraNam   asamA ityAdi /
   ādipadārthakathanaṃ  satyetyādi /	Adi padArTa kaTanaM   satyA ityAdi /
   atra rāmapadalakṣyatāvacchedakaṃ kātaratvamiti pradīpakāraḥ,	atra rAma pada lakzya tAvacCedakam kAtara tvam iti pradIpa kAraH,
   kaitavasnehavatvamiti cakravartī, puruṣakāraparāṅmukhatvamiti	kEtava snehavatvam iti cakravartI, puruzakAra parAFmuKa tvam iti
   bhaṭṭagopālaḥ /	Bawwa gopAlaH /
   yathā vā   	yaTA vA   
   emea jaṇo tissā deu kavolopamāi sasibimbam /	emea jaNaH tissA deu kavola upamAi sa si bimbam /
   paramatthaviāre uṇa cando cando via varāo //	paramatTa viAre uNa candaH candaH via varAaH //
   atra dvitīyaścandraśabdo 'rthāntarasaṅkramitavācyaḥ /	atra dvitIyaH candra SabdaH arTa antara saFkramita vAcyaH /
   avivakṣitavācyasyātyantatiraskṛtavācye prabhede vākyaprakāśatā yathā    	avivakzita vAcyasya atyanta tiraskRta vAcye praBede vAkya prakASa tA yaTA    
   yā niśā sarvabhūtānāṃ tasyāṃ jāgarti saṃyamī /	yA niSA sarva BUtAnAm tasyAm jAgarti saMyamI /
   yasyāṃ jāgrati bhūtāni sā niśā paśyato muneḥ //	yasyAm jAgrati BUtAni sA niSA paSyataH muneH //
   locanam śokālambanoddīpanavibhāvayogātkaruṇaraso rāmasya sphuṭīkṛta iti /	locanam Soka Alambana uddIpana viBAva yogAt karuNa rasaH rAmasya sPuwIkRtaH iti /
   emea iti /	emeaH iti /
   evameva janastasyā dadāti kapolopamāyāṃ śaśibimbam /	evam eva janaH tasyAH dadAti kapola upamAyAm SaSi bimbam /
   paramārthavicāre punaścandraścandra iva varākaḥ (iti chāyā) /	parama arTa vicAre punar candraH candraH iva varAkaH (iti CAyA) /
   evameveti svayamavivekāndhatayā /	evam eva iti svayam aviveka anDatayA /
   jana iti lokaprasiddhagatānugatikatāmātraśaraṇaḥ /	janaH iti loka prasidDa gata anugatika tA mAtra SaraNaH /
   tasyā ityasādhāraṇaguṇagaṇamahārdhavapuṣaḥ /	tasyAH iti asADAraNa guNa gaNa mahA arDa vapuzaH /
   kapolopamāyāmiti	kapola upamAyAm iti
   nirvyājalāvaṇyasarvasvabhūtamukhamadhyavartipradhānabhūtakapolatalasyāpamāyāṃ	nirvyAja lAvaNya sarva sva BUta muKa maDya varti praDAna BUta kapola talasya apamAyAm
   pratyuta tadadhikavastukartavyaṃ tato dūranikṛṣṭaṃ śaśibimbaṃ	pratyuta tad aDika vastu kartavyam tatas dUra nikRzwam SaSi bimbam
   kalaṅkavyājajihmīkṛtam /	kalaFka vyAja jihmIkRtam /
   evaṃ yadyapi gaṅḍarikāpravāhapatito lokaḥ, tathāpi yadi parīkṣakāḥ	evam yadi api gaFxarikA pravAha patitaH lokaH, taTA api yadi parIkzakAH
   parīkṣante tadvarākaḥ kṛpaikabhājanaṃ yaścandra iti prasiddhaḥ sa candra	parIkzante tad varAkaH kRpA eka BAjanam yaH candraH iti prasidDaH sa candra
   eva kṣayitvavilāsaśūnyatvamalinatvadharmāntarasaṃkrānto yo 'rthaḥ /	eva kzayitva vilAsa SUnya tva malina tva Darma antara saMkrAntaH yaH arTaH /
   atra ca yathā vyaṅgyadharmāntarasaṅkrāntistatā pūrvoktamanusandheyam /	atra ca yaTA vyaFgya Darma antara saFkrAntiH tatA pUrva uktam anusanDeyam /
   evamuttaratrāpi /	evam uttaratra api /
   evaṃ prathamabhedasya dvāvapi prakārau padaprakāśakatvenodāhṛtya	evam praTama Bedasya dvO= api prakArO pada prakASaka tvena udAhRtya
   vākyaprakāśakatvenodāharati   yā niśeti /	vAkya prakASaka tvena udAharati    yA niSA iti /
   vivakṣita iti /	vivakzitaH iti /
   tena hyuktena na kaścidupadeśyaṃ pratyupadeśaḥ siddhyati /	tena hi uktena na kaScid upadeSyam pratyupadeSaH sidDyati /
   bālapriyā śoketyādi /	bAlapriyA Soka ityAdi /
   sambhāvitapriyāmaraṇamālambanavibhāvaḥ /	samBAvita priyA maraNam Alambana viBAvaH /
   priyāsambandhyasādhāramakarmādismaraṇamuddīpanavibhāvaḥ /	priyA sambanDya sADAram akarma Adi smaraNam uddIpana viBAvaH /
   evamevetyāderbhāvārthaṃ vyācaṣṭe   svayamityādi /	evam eva iti AdeH BAva arTam vyAcazwe   svayam ityAdi /
   tadadhikamiti /	tat aDikam iti /
   kapolādutkṛṣṭamityarthaḥ /	kapolAt utkRzwam iti arTaH /
   upamāyāṃ kartavyamityanvayaḥ /	upamAyAm kartavyam iti anvayaH /
   upamānatvena vaktavyamityarthaḥ /	upamAna tvena vaktavyam iti arTaH /
   tata iti /	tatas iti /
   kapolādityarthaḥ /	kapolAt iti arTaH /
   śaśipadavivaraṇam  kalaṅketyādi /	SaSi pada vivaraNam  kalaFka ityAdi /
   kalaṅkavyājo yaḥ śaśaḥ tena jihmīkṛtaṃ malinīkṛtam /	kalaFka vyAjaH yaH SaSaH tena jihmIkRtam malinIkRtam /
   via ityavadhāraṇārthakamityāśayenāha   candra eveti /	viaH iti avaDAraNa arTakam iti ASayena Aha   candraH eva iti /
   dvitīyacandrapadasya candrapadavācyatvena guṇaśūnyatvena vā rūpeṇa	dvitIya candra padasya candra pada vAcya tvena guNa SUnya tvena vA rUpeNa
   lakṣaṇātra bodhyā /	lakzaNA atra boDyA /
   vyaṅgyadharmānāha   kṣayitvetyādi /	vyaFgya Darma AnAha   kzayitvA ityAdi /
   saṅkrānto yo 'rtha iti /	saFkrAntaH yaH arTaH iti /
   arthaḥ candrapadārthaḥ /	arTaH candra padArTaH /
   atreti /	atra iti /
   uktayorudāharaṇayorityarthaḥ /	uktayoH udAharaNayoH iti arTaH /
   pūrvoktamiti /	pUrva uktam iti /
   dvitīyodyotasyādāvuktamityarthaḥ /	dvitIya udyotasya AdO= uktam iti arTaH /
   tena hyukteneti /	tena hi uktena iti /
   niśādipadavācyena rātryādyarthenetyarthaḥ /	niSA Adi pada vAcyena rAtrI Adi arTena iti arTaH /
   anena hi vākyena niśārtho na ca jāgaraṇārthaḥ kaścidvivakṣitaḥ /	anena hi vAkyena niSA arTaH na ca jAgaraNa arTaH kaScid vivakzitaH /
   kiṃ tarhi? tattvajñānāvahitatvamatattvaparāṅmukhatvaṃ ca muneḥ	kim tarhi? tattva jQAna avahita tvam atattva parAFmuKa tvam ca muneH
   pratipādyata iti tiraskṛtavācyasyāsya vyañjakatvam /	pratipAdyate iti tiraskRta vAcyasya asya vyaQjaka tvam /
   tasyaivārthāntarasaṅkramitavācyasya vākyaprakāśatā yathā    visamaio kāṇa	tasya eva arTa antara saFkramita vAcyasya vAkya prakASa tA yaTA   visamEaH kANa
   vi kāṇa vi vālei abhiaṇimmāo /	vi kANa vi vAlei aBiaNimmAaH /
   kāṇa vi visāmiamao kāṇa vi avisāmao kālo //	kANa vi visAmiamao kANa vi avisAmaaH kAlaH //
   (viṣamayitaḥ keṣāmapi keṣāmapi prayātyamṛtanirmāṇaḥ /	(vizamayitaH kezAm api kezAm api prayAti amRta nirmANaH /
   keṣāmapi viṣāmṛtamayaḥ keṣāmapyaviṣāmṛtaḥ kālaḥ //	kezAm api viza amRta mayaH kezAm api aviza amRtaH kAlaH //
   iti chāyā ) locanam niśāyāṃ jāgaratavyamanyatra rātrivadāsitavyamiti	iti CAyA ) locanam niSAyAm jAgaratavyam anyatra rAtrivat Asitavyam iti
   kimanenoktena /	kim anena uktena /
   tasmādbādhitasvārthametadvākyaṃ saṃyamino lokottaratālakṣaṇena nimittena	tasmAt bADita sva arTam etat vAkyam saMyaminaH loka uttara tA lakzaNena nimittena
   tatvadṛṣṭāvavadhānaṃ mithyādṛṣṭo ca parāṅmukhatvaṃ dhvanati /	tatu adRzwO= avaDAnam miTyA dRzwaH ca parAFmuKa tvam Dvanati /
   sarvaśabdārthasya cāpekṣikatayāpyupapadyamānateti na	sarva Sabda arTasya ca apekzika tayA api upapadyamAna tA iti na
   sarvaśabdārtānyathānupapatyāyāmartha ākṣipto mantavyaḥ /	sarva Sabda ArtAni aTa anupapatyAyAm arTaH AkziptaH mantavyaH /
   sarvoṣāṃ brahmādisthāvarāntānāṃ caturdaśānāmapi bhūtānāṃ yā niśā	sarva UzAm brahma Adi sTAvara antAnAm caturdaSAnAm api BUtAnAm yA niSA
   vyāmohajananītattvadṛṣṭiḥ tasyāṃ saṃyamī jāgarti kathaṃ prāpyeteti /	vyAmoha jananI tattva dRzwiH tasyAm saMyamI jAgarti kaTam prApyeta iti /
   bālapriyā na kaściditi /	bAla priyA na kaScid iti /
   kaścidupadeśo na siddhyatītyanvayaḥ /	kaScid upadeSaH na sidDi ati iti anvayaH /
   bhagavadgītāgatasyāsyopadeśaparatvamāvaśyakamiti bhāvaḥ /	Bagavat gIta Agatasya asya upadeSa paratvam AvaSyakam iti BAvaH /
   kuto na siddhyatītyatrāha  niśāyāmityādi /	kutas na sidDi atIti atra aha   niSAyAm ityAdi /
   anyatra rātrivaditi /	anyatra rAtri vat iti /
   ahani rātrāvivetyarthaḥ /	ahani rAtrO= iva iti arTaH /
   bādhiteti /	bADitA iti /
   anupayogabādhitetyarthaḥ /	anupayoga bADitA iti arTaH /
   vākyamiti /	vAkyam iti /
   niśā jāgartītyādipadasamudāya ityarthaḥ /	niSA jAgarti ityAdi pada samudAyaH iti arTaH /
   tattatpadalakṣyārthāḥ pradarśayiṣyante /	tad tad pada lakzya arTAH pradarSayizyante /
   lokottaretyādi /	loka uttara ityAdi /
   lokottaratvena hetunetyarthaḥ /	lokottara tvena hetunA iti arTaH /
   nanvatra nidrākālarūpaniśāpadārthe sarvabhūtasambandhānvaye	nanu atra nidrA kAla rUpa niSA pada arTe sarva BUta sambanDa anvaye
   sarvapadārthaghaṭakatayā saṃyamino 'pi tadanvayaḥ prāptaḥ, sa ca	sarva padArTa Gawaka tayA saMyaminaH api tad anvayaH prAptaH, sa ca
   jāgartītyetadarthānvayino 'nupapannastasmādanenoktavyaṅgyasyāviṣkṛtatvānna	jAgarti iti etad arTa anvayinaH anupapannaH tasmAt anena ukta vyaFgyasya AvizkRta tvAt na
   dhvanitvamiti śaṅkāṃ pariharati   sarvaśabdārthasyetyādi /	Dvani tvam iti SaFkAm pariharati     sarva Sabda arTasya ityAdi /
   āpekṣikatayeti /	Apekzika tayA iti /
   sarvaśabdo 'tra saṃyamivyatiriktāśeṣatvāvacchinnavācaka ityataḥ	sarva SabdaH atra saMyami vyatirikta aSeza tva avacCinna vAcakaH iti atas 
   kiñjidapekṣayetyarthaḥ /	kiQjit apekzayA iti arTaH /
   sarvaśabdārtheti /	sarva Sabda arTa iti /
   sarvaśabdārthānvayetyarthaḥ /	sarva Sabda arTa anvaya iti arTaH /
   ayamarthaḥ pūrvoktavyaṅgyārthaḥ /	ayam arTaH pUrva ukta vyaFgyA arTaH /
   ākṣiptaḥ āviṣkṛtaḥ /	AkziptaH AvizkRtaH /
   ślokaṃ vyacaṣṭe   sarvaṣāmityādi /	Slokam vyacazwe    sarvazAm ityAdi /
   caturdaśānāmapi bhūtānāmiti /	caturdaSAnAm api BUtAnAm iti /
   brahmāprājāpatyaindrapitryagāndharvayākṣarākṣasapaiśācabhedādaṣṭavidhandaivaṃ	brahma aprAjApatya Endra pitrya gAnDarvayA akzara akza sapESAca BedAt azwaviDandA evam
   mānuṣamekavidhaṃ paśupakṣisarpakīṭasthāvarabhedātpañcavidhaṃ tairyagyonaṃ	mAnuzam ekaviDam paSu pakzi sarpa kIwa sTAvara BedAt paQcaviDam tEryagyonam
   bhūtamiti caturdaśavidhānāmapi dehināmityarthaḥ /	BUtam iti caturdaSaviDAnAm api dehinAm iti arTaH /
   yathoktaṃ sāṅkhyakārikāyāṃ "aṣṭavikalpo daiva" ityādi /	yaTA uktam sAFKya kArikAyAm "azwa vikalpaH dEva" ityAdi /
   vyāmohajananīti niśāpadalakṣyārthakathanam /	vyAmoha jananI iti niSApada lakzya arTa kaTanam /
   sā ketyatrāha  tetveti /	sA keti atra Aha  tetveti /
   'jāgarti' padalakṣyārthamāha   kathamityādi /	ajAgarti a pada lakzya arTam Aha    kaTam ityAdi /
   locanam na tu viṣayavarjanamātrādeva saṃyamīti yāvat /	locanam na tu vizaya varjana mAtrAt eva saMyami iti yAvat /
   yadi vā sarvabhūtaniśāyāṃ mohinyāṃ jāgarti kathamiyaṃ heyeti /	yadi vA sarva BUta niSAyAm mohinyAm jAgarti kaTam iyam heya iti /
   yasyāṃ tu mithyādṛṣṭau sarvāṇi bhūtāni jāgrati atiśayena suprabuddharūpāṇi	yasyAm tu miTyA dRzwO sarvANi BUtAni jAgrati atiSayena suprabudDa rUpANi
   sā tasya rātriraprabodhaviṣayaḥ /	sA tasya rAtriH apraboDa vizayaH /
   tasyā hi ceṣṭāyāṃ nāsau prabuddhaḥ /	tasyAH hi cezwAyAm na asO prabudDaH /
   evameva lokottarācāravyavasthitaḥ paśyati manyate ca /	evam eva loka uttara AcAra vyavasTitaH paSyati manyate ca /
   tasyaivāntarbahaṣkaraṇavṛttiścaritārthā /	tasya eva antar bahazkaraNa vRttiH caritArTAH /
   anyastu na paśyata na ca manyata iti /	anyaH tu na paSyata na ca manyate iti /
   tatvadṛṣṭipareṇa bhāvyamiti tātparyam /	tatvadRzwi pareNa BAvyam iti tAtparyam /
   evaṃ ca paśyata ityapi munerityapi ca na svārthamātravibhrāntam /	evam ca paSyate iti api muneH iti api ca na sva arTa mAtra viBrAntam /
   api tu vyaṅgya eva viśrāmyati /	api tu vyaFgyaH eva viSrAmyati /
   yattacchabdayośca na svatantrārthateti sarva evāyamākhyātasahāyaḥ	yat tat SabdayoH ca na svatantra arTa tA iti sarve eva ayam AKyAta sahAyaH
   padasamūho vyaṅgyaparaḥ /	pada samUhaH vyaFgya paraH /
   tadāha   anena hi vākyeneti /	tadA aha   anena hi vAkyena iti /
   pratipādyata iti dhvanyata ityarthaḥ /	pratipAdyate iti Dvanyate iti arTaH /
   viṣamayito viṣamayatāṃ prāptaḥ /	vizamayitaH vizamayatAm prAptaH /
   keṣāñcidduṣkṛtināmativivekināṃ vā /	kezAQcid duzkRtinA mati vivekinAm vA /
   keṣāñcitsukṛtanāmatyantamavivekināṃ vā atikrāmatyamṛtanirmāṇaḥ /	kezAQcid sukRtanAm atyantam avivekinAm vA atikrAmati amRta nirmANaH /
   keṣāñcinmiśrakarmaṇāṃ vivekāvivekavatāṃ vā, viṣābhṛtamayaḥ /	kezAQcit miSra karmaNAm viveka avivekavatAm vA, vizABRta mayaH /
   keṣāmapi mūḍhaprāyāṇāṃ dhārāprāptayogabhūmikārūḍhānāṃ vā aviṣābhṛtamayaḥ	kezAm api mUXa prAyANAm DArA prApta yoga BUmikA rUXAnAm vA avizABRta mayaH
   kālo 'tikrāmatīti sambandhaḥ /	kAlaH atikrAmati iti sambanDaH /
   viṣāmṛtapade ca lāvaṇyādiśabdavannirūḍhalakṣaṇārūpatayā	viza amRta pade ca lAvaNya Adi Sabda vat nirUXa lakzaNA rUpa tayA
   sukhaduḥkhasādhanayorvartate, yathā   viṣaṃ nimbamamṛtaṃ kapitthamiti /	suKa duHKa sADanayoH vartate, yaTA   vizam nimbam amRtam kapitTam iti /
   na cātra suśaduḥkhasādhane tanmātraviśrānte, api tu	na ca atra suSa duHKa sADane tanmAtra viSrAnte, api tu
   svakartavyasukhaduḥkhaparyavasite /	sva kartavya suKa duHKa paryavasite /
   na ca te sādhane sarvathā bālapriyā iyaṃ kathaṃ prāpyeteti matyā	na ca te sADane sarvaTA bAla priyA iyam kaTam prApyeta iti matyA
   tatprāptyupāyamanutiṣṭhatītyarthaḥ /	tad prApti upAyam anutizWati iti arTaH /
   bhāvamāha   na tvityādi /	BAvam Aha   na tu ityAdi /
   saṃyamī saṃyamipadavācyaḥ /	saMyamI saMyamipat a vAcyaH /
   tatvadṛṣṭermohajanakatvamaprasiddhamityato 'nyathā vivṛṇoti   yadi vetyādi	tatvadRzweH moha janaka tvam aprasidDam iti atas anyaTA vivRNoti   yadi vA ityAdi
   mohinyāmiti /	mohinyAm iti /
   avidyāyāmityarthaḥ /	avidyAyAm iti arTaH /
   mithyādṛṣṭāviti /	miTyA dRzwO= iti /
   avidyāyāṃ tatkārye dvaitaprapañce vetyarthaḥ /	avidyAyAm tad kArye dvEta prapaQce vA iti arTaH /
   tasyeti /	tasya iti /
   saṃyamina ityarthaḥ /	saMyaminaH iti arTaH /
   aprabodhaviṣaya ityasyaiva vivaraṇam   tasyā hītyādi /	apraboDa vizayaH iti asya eva vivaraNam   tasyAH hi ityAdi /
   asāviti /	asO= iti /
   saṃyamītyarthaḥ /	saMyami iti arTaH /
   lokottarācāravyavasthiti iti saṃyamipadasyaiva lakṣyārthakathanam /	loka uttara AcAra vyavasTiti iti saMyami padasya eva lakzya arTa kaTanam /
   'paśyato mune' rityasya vivaṇam   paśyati manyate ceti /	apaSyataH mune a riti asya vivaNam    paSyati manyate ca iti /
   atra paśyatītyetaccaritārthabahiṣkaraṇavṛttitvena manyata	atra paSyati iti etat caritArTa bahizkaraNa vRtti tvena manyata
   ityetaccaritārthāntaḥkaraṇavṛttitvena ca rūpeṇa	iti etat carita arTa antaHkaraNa vRtti tvena ca rUpeNa
   lakṣakamityāha   tasyaivetyādi /	lakzakam iti Aha   tasya eva ityAdi /
   anena gamyamarthamāha   anya ityādi /	anena gamyam arTam Aha   anyaH ityAdi /
   phalitaṃ vyaṅgyamāha   tatveti /	Palitam vyaFgyam Aha   tatvA iti /
   vyaṅgya eveti /	vyaFgyaH eva iti /
   pūrvoktamukhyavyaṅgya evetyarthaḥ /	pUrva ukta muKya vyaFgyaH eva iti arTaH /
   tadāheti /	tadAha iti /
   uktābhiprāyādāhetyarthaḥ /	ukta aBiprAyAt Aha iti arTaH /
   'keṣāmapī'tyādervivaraṇam   keṣāñcidityādi /	akezAm apI ati AdeH vivaraNam    keza aQcid ityAdi /
   "prayātī'tyasya atikramatīti /	"prayAtI atyasya atikramati iti /
   'amiaṇimmāo'iti gāthāpāṭhābhiprāyeṇa chāyāmāha   amṛtanirmāṇa iti /	aamiaNimmAaH aiti gATA pAWA aBiprAyeNa CAyA mAha   amRta nirmANaH iti /
   amṛtasyeva nirmāṇaṃ yasya sa ityarthaḥ /	amRtasya iva nirmANam yasya saH iti arTaH /
   viṣāmṛtapadayoḥ duḥkhasukhasaṅkramitavācyatvaṃ vṛttāvuktaṃ	viza amRta padayoH duHKa suKa saFkramita vAcya tvam vRttO= uktam
   vyavasthāpayiṣyannāha   viṣāmṛtapade ityādi /	vyavasTApayizyan= Aha   viza amRta pade ityAdi /
   sukhaduḥkheti vyutkrameṇa nirdeśaḥ duḥkhasukhasādhanayorityarthaḥ /	suKa duHKa iti vyutkrameNa nirdeSaH duHKa suKa sADanayoH iti arTaH /
   tathā pāṭho vā /	taTA pAWaH vA /
   evamuparyapi bodhyam /	evam upari api boDyam /
   atra dṛṣṭāntamāha   yathetyādi /	atra dRzwAntam Aha   yaTA ityAdi /
   itītyasya ityādāvityarthaḥ /	iti iti asya iti AdO= iti arTaH /
   prakṛtodāharaṇe viśeṣamāha  ne cetyādi /	prakRta udAharaNe viSeza mAha  ne ca ityAdi /
   atreti /	atra iti /
   prakṛtodāharaṇa ityarthaḥ /	prakRta udAharaNaH iti arTaH /
   tanmātreti /	tanmAtrA iti /
   sukhaduḥkhasādhanamātretyarthaḥ /	suKa duHKa sADana mAtrA iti arTaH /
   tanmātraviśrāntena atra hi vākye viṣāmṛtaśabdābhyāṃ	tanmAtra viSrAntena atra hi vAkye viza amRta SabdAByAm
   duḥkhasukharūpasaṅkramitavācyābhyāṃ vyavahāra	duHKa suKa rUpa saFkramita vAcyAByAm vyavahAra
   ityarthāntarasaṅkramitavācyasyā vyañjakatvam /	iti arTa antara saFkramita vAcyasyAH vyaQjaka tvam /
   vivakṣitābhidheyasyānuraṇanarūpavyaṅgyasya śabdaśaktyudbhave prabhede	vivakzita aBiDeyasya anuraNana rUpa vyaFgyasya Sabda Sakti udBave praBede
   padaprakāśatā yathā    locanam na vivakṣite /	pada prakASa tA yaTA   locanam na vivakzite /
   nissādhanayostayorabhāvāt /	nissADanayoH tayoH aBAvAt /
   tadāha   saṅkramitavācyābhyāmiti /	tadA aha    saFkramita vAcyAByAm iti /
   keṣāñciditi cāsya viśeṣe saṅkrānti /	kezAQcid iti ca asya viSeze saFkrAnti /
   atakrāmatītyasya ca kriyāmātrasaṅkrāntiḥ /	atakrAmati iti asya ca kriyA mAtra saFkrAntiH /
   kāla ityasya ca sarvavyavahārasaṅkrāntiḥ /	kAlaH iti asya ca sarva vyavahAra saFkrAntiH /
   upalakṣaṇārthaṃ tu viṣāmṛtagrahaṇamātrasaṅkramaṇaṃ vṛttikṛtā vyākhyātam /	upalakzaNa arTam tu viza amRta grahaNa mAtra saFkramaNam vRtti kRtA vyAKyAtam /
   tadāha  vākyaiti /	tadA aha   vAkya eti /
   evaṃ kārikāprathamārdhalakṣitāṃścaturaḥ prakārānudāhṛtya	evam kArikA praTama arDa lakzitAn= caturaH prakArAn udAhRtya
   dvitīyakārikārdhasvīkṛtān ṣaḍanyān prakārān	dvitIya kArika arDa svIkRtAn zaz anyAn prakArAn
   krameṇodāharati  vivakṣitābhidheyasyetyādinā /	krameNa udAha rati   vivakzita aBiDeyasya ityAdinA /
   prātumiti pūrayitum /	prAtum iti pUrayitum /
   dhanairiti bahuvacanaṃ yo yenārthī tasya teneti sūcanārtham /	DanEH iti bahuvacanam yaH yena arTI tasya tena iti sUcanA arTam /
   ata evārthagrahaṇam /	atas eva arTa grahaNam /
   janasyeti bāhulyena hi loko dhanārthī, na tu guṇairupakārārthī /	janasya iti bAhulyena hi lokaH Dana arTI, na tu guNEH upakAra arTI /
   daiveneti /	dEvena iti /
   aśakyaparyanuyogenetyarthaḥ /	aSakya paryanuyogena iti arTaH /
   bālapriyā ceti sambandhaḥ /	bAlapriyA ca iti sambanDaH /
   vivakṣite ityapakṛṣyate /	vivakzite iti apakRzyate /
   svakartavyeti /	sva kartavyA iti /
   svasādhyetyarthaḥ /	sva sADya iti arTaH /
   svapadaṃ sādhanaparam /	sva padam sADana param /
   na ca na vivakṣite vivakṣite eva /	na ca na vivakzite vivakzite eva /
   kuta ityatatrāha  nissādhanetyādi /	kutas iti atatra aha   nissADanA ityAdi /
   tadāheti /	tadAha iti /
   uktābhiprāyeṇa sukhaduḥkharūpasaṅkramitavācyatvamāhetyarthaḥ /	ukta aBiprAyeNa suKa duHKa rUpa saFkramita vAcya tvam Aha iti arTaH /
   'viṣaṃnimbamamṛtaṃ kapittham' ityādau nirūḍhalakṣaṇayā duḥkhasādhanaṃ	avizaMnimbam amRtam kapitTam a ityAdO nirUXa lakzaNayA duHKa sADanam
   nimbaṃ sukhasādhanaṃ kapitthamityevārthe vivakṣitaḥ, prakṛte tu kālaḥ	nimbam suKa sADanam kapitTam iti eva arTe vivakzitaH, prakRte tu kAlaH
   keṣāñcidduḥkhamayaḥ keṣāñcitsukhamayaścātikrāmatītyarthasya vivakṣitatayā	kezAQcid duHKa mayaH kezAQcid suKa mayaH ca atikrAmati iti arTasya vivakzita tayA
   viṣapadasya kiñcitsādhanakaduḥkhe amṛtapadasya kiñcitsādhanakasukhe ca	vizapadasya kiQcid sADanaka duHKe amRta padasya kiQcid sADanaka suKe ca
   lakṣaṇā duḥkhasukhayorviśeṣo vyaṅgyaḥ, sādhanatvena	lakzaNAH duHKa suKayoH viSezaH vyaFgyaH, sADana tvena
   viṣāmṛtayorbhānādarthāntarasaṅkramitavācyatā ceti bhāvaḥ /	viza amRtayoH BAnAdarTa antara saFkramita vAcya tA ca iti BAvaH /
   keṣāñciditi cāsya viśeṣe saṅkrāntirati /	kezAQcid iti ca asya viSeze saFkrAntiH ati /
   ajñātaviśeṣadharmāvacchinnavācakasya keṣāmapīti śabdasya ca	ajQAta viSeza Darma avacCinna vAcakasya kezAmapI iti Sabdasya ca
   duṣkṛtināmityādyuktārthaviśeṣe saṅkrāntirityarthaḥ /	duzkRtinAm ityAdi ukta arTa viSeze saFkrAntiH iti arTaH /
   duṣkṛtyādīnāmajñātatvādikaṃ vyaṅgyam /	duzkRti AdInAm ajQAta tva Adikam vyaFgyam /
