   śrīḥ /	SrIH /
   'nantamahāvibhūtervibhūtyekadeśāṃśamātratvāccaturdaśabhuvanātmakabrahmāṇḍakoṭerapi	ananta-mahA-viBUteH-viBUti-eka-deSa-aMSa-mAtra-tvAt-caturdaSa-Buvana-Atmaka-brahmANxa-koweH-api
   tadantargatasyodumbaramaśakavatparicchinnasvarūpasvabhāvāderbhavabrahmāderapi	tad-antargatasya-udumbaram-aSaka-vat-paricCinna-svarUpa-svaBAva-AdeH-Bava-brahma-AdeH-api
   na tena sāmyagandhaprasaṅga iti dvitīyavāgāspa datāṃ-dvitīyapadavācyatāṃ,	na tena sAmya-ganDa-prasaFgaH iti dvitIya-vAc-Aspa datAn-dvitIya-padavAcya-tAM,
   brahmaṇā saha gaṇanāyogyatvam , kathaṃ tat-jagat	brahmaNA saha gaNanA-yogya-tvam , kaTam tat--jagat-
   pratipadyeta-prāpnuyādityarthaḥ /	pratipadi-eta-prApnuyAt-iti-arTaH /
   siddhānte 'dvitīyapadasya vṛttidvayamapi saṃbhavatītyabhipretam /	sidDAnte advitIya-padasya vRtti-dvayam-api saMBavati-iti-aBipretam /
   tathā cānugṛhītaṃ śatadūṣaṇyāṃ śrīmadvedāntadeśikacaraṇaiḥasmatpakṣe tu	taTA ca-anugRhItam Sata-dUzaNyAm SrImat-vedAnta-deSika-caraNEH-asmad-pakze tu
   vṛttidvayamapi samyak /	vRtti-dvayam-api samyak /
   dvitīyavyatirekoktyā sataḥ syādagragaṇyatā /	dvitIya-vyatireka-uktyA sataH syAt-agra-gaNya-tA /
   dvitīyaśūnyatoktyā ca tatsamānaniṣedhakam //	dvitIya-SUnya-toktyA ca tad-samAna-nizeDakam //
   iti /	iti /
   etadvyākurmahe-atiśayitavastugaṇanāprastāve brahmaṇa eva	etat-vyAkuH-mahe-atiSayita-vastu-gaNanA-prastAve brahmaNaH eva
   prathamaparigaṇanaṃ nyāyyam /	praTama-parigaNanam nyAyyam /
   tasyaiva mukhyātiśayavattvāt /	tasya-eva muKya-atiSayavat-tvAt /
   mukhyasyaiva prathamaparigaṇanasya loke śāstre ca dṛṣṭeḥ /	muKyasya-eva praTama-parigaNanasya loke SAstre ca dRzweH /
   kavikulagaṇanāprasaṅge kālidāsasyaiva hi prāthamyena gaṇanaṃ	kavi-kula-gaNanA-prasaFge kAli-dAsasya-eva hi prATamyena gaNanam
   kavilokaprasiddham /	kavi-loka-prasidDam /
   yathocyatepurākavīnāṃ gaṇanāprasaṅge kaniṣṭhikādhiṣṭhitakālidāsā iti /	yaTA-ucyatepurAkavInAm gaNanA-prasaFge kanizWikA-aDizWita-kAli-dAsAH iti /
   śāstrakṛto jaiminerācāryasyāpi saṃmataṃ mukhyasya prathamaparigaṇanam /	SAstra-kRtaH jEmineH-AcAryasya-api saMmatam muKyasya praTama-parigaNanam /
   tathā hi sūtrayāmāsamukhyaṃ vā pūrvacodanāllokavaditi /	taTA hi sUtrayAmAsa-muKyam vA pUrva-codanAt-loka-vat-iti /
   evaṃ nañtatpuruṣe brahmaṇa evāgragaṇyatā sthitā /	evam nan-tatpuruze brahmaNaH eva-agra-gaNya-tA sTitA /
   tataḥ sarvādhitakatvasiddhiḥ /	tatas sarva-aDitaka-tva-sidDiH /
   tataścādhikaniṣedhaḥ phalati /	tatas-ca-aDika-nizeDaH Palati /
   samasyaiva dvitīyagaṇanāyogyatvamityāśayamūlakaṃ capurā	samasya-eva dvitIya-gaNanA-yogya-tvam-iti-ASaya-mUlakam capurA
   kavīnāmitiślokasyottarārdhaṃ paripaṭhyate adyāpi	kavInAm-itiSlokasya-uttara-arDam paripaWyate adya-api
   tattulyakaverabhāvādanāmikā sār'thavatī babhūvaiti /	tad-tulya-kavera-BAvAt-anAmikA sAr-aTavatI baBUva-eti /
   tathā ca bahuvrīhivṛttyā samaniṣedhaḥ phalati brahmaṇa iti /	taTA ca bahuvrI-hi-vRttyA sama-nizeDaH Palati brahmaNaH iti /
   muktānāmapi bhogamātrasāmyamiti na brahmaṇā saha gaṇanaṃ	muktAnAm-api Boga-mAtra-sAmyam-iti na brahmaNA saha gaNanam
   mukhyaparigaṇanaprastāve yuktam /	muKya-parigaNana-prastAve yuktam /
   tanmukhyaṃ vastu vastuto brahmaikameveti advitīyatvaṃ tasya	tad-muKyam vastu vastutas brahma-ekam-eva-iti advitIya-tvam tasya
   pratitiṣṭhatīti ca bodhyam /	pratitizWati-iti ca boDyam /
   evamadvitīyaśruteḥ brahmaṇaḥ samābhyadhikarāhityapratipādanaparatvaṃ	evam-advitIya-SruteH brahmaNaH sama-aByaDikara-ahitya-pratipAdana-para-tvam
   vyavasthāpitam /	vyavasTApitam /
   na tatsamaścābhyadhikaśca dṛśyate iti śrutyantarānusārātna tvatsamo	na tad-samaH-ca-aByaDikaH-ca dRSyate iti Sruti-antara-anusArAtna tvad-samaH-
   'styabhyadhikaḥ kuto 'nyo lokatraye 'pyapratimaprabhāva	asti-aByaDikaH kutas anyaH lokatraye api-apratima-praBAva
   ityupabṛṃhaṇānusārāccaidamarthyameva tasya nyāyyamiti hārdam /	iti-upabRMhaNa-anusArAt-cEdamarTyam-eva tasya nyAyyam-iti hArdam /
   athādvitīyapadasya samāntaraniṣedhaparatve laukikaprayogaṃ ca	aTa-advitIya-padasya samA-antara-nizeDa-paratve lOkika-prayogam ca
   nidarśayatiyatheti /	nidarSayati-yaTA-iti /
   colanṛpasyāsthānapaṇḍitaṃ vijityavādāhaverājāsanaṃ rājyārdhaṃ ca	cola-nRpasya-AsTAna-paNxitam vijityavAda-AhaveH-Aja-Asanam rAjya-arDam ca
   tatsamarpitamadhigatavanta ime paramācāryāḥ pūrvāśrame /	tat-samarpitam-aDigatavantaH ime parama-AcAryAH pUrva-ASrame /
   tatprasaṅgasmārakaścāyaṃ colanṛpaprastāvo 'tra /	tad-prasaFga-smArakaH-ca-ayam cola-nRpa-prastAvaH atra /
   yathā rājño 'dvitīyatvavarṇanaṃ rājavibhūtyāderniṣedhakaṃ na, kintu	yaTA rAjQaH advitIya-tva-varNanam rAja-viBUti-AdeH-nizeDakam na, kintu
   tatsamanṛpāntaraniṣedhakameva, evaṃ brahmaṇo 'dvitīyatvaśrutirna	tad-sama-nRpa-antara-nizeDakam-eva, evam brahmaNaH advitIya-tva-SrutiH-na
   tadvibhūterniṣedhiketyāhatatheti /	tad-viBUteH-nizeDikA-iti-AhataTA-iti /
   atra yā ityapatitam /	atra yAH iti-apatitam /
   yāḥ surāsuranarabrahmagarbhabrahmāṇḍakoṭayaḥ, tā	yAH sura-asura-nara-brahma-garBa-brahmANxa-kowayaH, tA
   veṣṇavamahāvibhūtyarṇavaviśīryamāṇa jalakaṇikāyamānāḥ tadadvitīyatvaśrutyā	vezNava-mahA-viBUti-arNava-viSIryamANa jala-kaNikAyamAnAH tad-advitIya-tva-SrutyA
   na bādhyanta iti yāvat /	na bADyante iti yAvat /
   aupaniṣadaṃ paraṃ tattvaṃ paraṃ brahma śrīmannārāyaṇa eveti ca viṣṇoriti	Opanizadam param tattvam param brahma SrImat-nArAyaNaH eva-iti ca vizNoH-iti
   nirdeśena jñāpitam // 17 //18 //19 //20 //21 //22 //	nirdeSena jQApitam // 17 //18 //19 //20 //21 //22 //
   kaḥ khalvaṅgulibhaṅgena samudrān saptasaṅkhyā /	kaH Kalu-aFguli-BaFgena samudrAn sapta-saFKyA /
   gaṇayan gaṇayedūrmiphenabudbudavipruṣaḥ // 23 //	gaNayan gaNayet-Urmi-Pena-budbuda-vipruzaH // 23 //
   yathaika eva savitā na dvitīyo nabhaḥsthale /	yaTA-ekaH eva savitA na dvitIyaH naBaH-sTale /
   ityuktā na hi sāvitrā niṣidhyante 'tra raśmayaḥ // 24 //	iti-uktAH na hi sAvitrAH niziDyante atra raSmayaH // 24 //
   yathā pradhānasaṅkhyeyasaṅkhyāyāṃ naiva gaṇyate /	yaTA praDAna-saFKyeya-saFKyAyAm na-eva gaNyate /
   saṅkhyā pṛthaksatī tatra saṅkhyeyānyapadārthavat // 25 //	saFKyA pRTak-satI tatra saFKyeya-anya-padArTa-vat // 25 //
   nanvatulyatve 'pi sahagaṇaneṣyatāmityatrāhaka iti /	nanu-atulya-tve api saha-gaNanezyatAm-iti-atra-AhakaH iti /
   tatsvarūpāntargatasya tena saha gaṇanāyoga ityatredaṃ nidarśanam ,	tad-svarUpa-antargatasya tena saha gaNanA-yogaH iti-atra-idam nidarSanam ,
   savitṛnidarśanaṃ ca /	sa-vitR-nidarSanam ca /
   guṇasya guṇinā saha gaṇanāyoga ityatrayathā pradhāneti /	guNasya guNinA saha gaNanA-yogaH iti-atrayaTA praDAna-iti /
   pṛthaksatī-saṅkhyeyādbhinnatvena sthitā /	pRTak-satI--saFKyeyAt-Binna-tvena sTitA /
   yadvā apṛthaksatīticchedaḥ /	yat-vA apRTak-satIti=-CedaH /
   apṛthaksiddhaviśeṣaṇabhūtetyarthaḥ /	apRTak-sidDa-viSezaNa-BUtA-iti-arTaH /
   saṅkhyeyānyapadārthavaditi tu vaidharmyadṛṣṭāntaḥ /	saFKyeya-anya-padArTa-vat-iti tu vEDarmya-dRzwAntaH /
   saṅkhyeyadravyagaṇanāyāṃ saṅkhyeyo 'nyaḥ padārtho yathā gaṇyate na tathā	saFKyeya-dravya-gaNanAyAm saFKyeyaH anyaH padArTaH yaTA gaNyate na taTA
   tadguṇabhūtā saṅkhyā tena saha gaṇyata ityarthaḥ /	tad-guNa-BUtA saFKyA tena saha gaNyate iti-arTaH /
   yadvā saṅkhyeyatvenāprastutavastvantaravadityarthaḥ /	yat-vA saFKyeya-tvena-aprastuta-vastu-antara-vat-iti-arTaH /
   sādharmyadṛṣṭāntatvamidānīṃ ghaṭate // 23 //24 //25 //	sADarmya-dRzwAnta-tvam-idAnIm Gawate // 23 //24 //25 //
   tathā, pādo 'sya viśvā bhūtāni tripādasyāmṛtaṃ divi /	taTA, pAdaH asya viSvA BUtAni tripAdasya-amRtam divi /
   iti bruvan jagatsarvamitthambhāve nyaveśayat // 26 //	iti bruvan jagat-sarvam-itTam-BAve nyaveSayat // 26 //
   nanu sarvaṃ tadā śobhanam ; yadi brahmavibhūtitvādau pramāṇaṃ	nanu sarvam tadA SoBanam ; yadi brahma-viBUti-tva-AdO pramANam
   syādityatrāhatatheti /	syAt-iti-atra-Aha-taTA-iti /
   pādo 'syeti /	pAdaH asya-iti /
   yathā brahmaguṇatvaṃ sidhyejjagataḥ tathaiva brahmāṃśatvaṃ	yaTA brahma-guNa-tvam siDyet-jagataH taTA-eva brahma-aMSa-tvam
   pratipādayacchrutijātaṃ sarvaṃ jagata brahmāpṛthaksiddhaprakāratve	pratipAdayat-Sruti-jAtam sarvam jagata brahmA-pRTak-sidDa-prakAra-tve
   vyavārthāpayadityarthaḥ /	vyavArTApayat-iti-arTaH /
   guṇatvaṃ	guNa-tvam
   cātyantapāratantryarūpamitthambhāvaśabditamapṛthaksiddhaprakāratvalakṣaṇameva	ca-atyanta-pAratantrya-rUpam-itTamBAva-SabditamapRTak-sidDa-prakAra-tva-lakzaNam-eva
   itthambhāva ityanena na svarūpaikadeśatvalakṣaṇamaṃśatvam /	itTam-BAvaH iti-anena na svarUpa-eka-deSa-tva-lakzaNam-aMSa-tvam /
   kintu viśiṣṭabrahmasvarūpāntargataprakārataikarūpatvalakṣaṇameva jagato	kintu viSizwa-brahma-svarUpa-antargata-prakAra-tA-eka-rUpa-tva-lakzaNam-eva jagataH-
   brahmāṃśatvamiti vyajyate // 26 //	brahma-aMSa-tvam-iti vyajyate // 26 //
   tathā, etāvānasya mahimā tato jyāyastaro hi saḥ /	taTA, etAvAn-asya mahimA tatas jyAyastaraH hi saH /
   yatrānyanna vijānāti sa bhūmodaramantaram /	yatra-anyat-na vijAnAti sa BUmodaram-antaram /
   kurute 'sya bhayaṃ vyaktamityādiśrutayaḥ parāḥ // 27 //	kurute asya Bayam vyaktam-iti-Adi-SrutayaH parAH // 27 //
   merorivāṇuryasyedaṃ brahmāṇḍamakhilaṃ jagat /	meroH-iva-aNuH-yasya-idam brahmANxam-aKilam jagat /
   ityādikāḥ samastasya taditthambhāvatāparāḥ // 28 //	iti-AdikAH samastasya tat-itTam-BAvatA-parAH // 28 //
   brahmasvarūpaikadeśatvameva jagataḥ kuto netyatrāhatatheti /	brahma-svarUpa-eka-deSa-tvam-eva jagataH kutas na-iti-atra-Aha-taTA-iti /
   etāvāniti /	etAvAn-iti /
   mahimā ityanena jagato vibhūtitvaṃ brahmaṇo 'tiśayāvahatvādguṇatvaṃ ca	mahimA iti-anena jagataH viBUti-tvam brahmaNaH atiSaya-Avaha-tvAt-guNa-tvam ca
   jñāyate /	jQAyate /
   tato jyāyāṃśca pūruṣa iti brahmaṇo jagadapekṣayātivailakṣaṇyaṃ ca /	tatas jyAyAn=-ca pUruzaH iti brahmaNaH jagat-apekzayA-ati-vElakzaNyam ca /
   ato na brahmasvarūpaikadeśatā mṛdaṃśateva tatpariṇāmaghaṭāderjagato yuktā	atas na brahma-svarUpa-eka-deSa-tA mRdaMSatA-iva tad-pariNAma-Gawa-AdeH-jagataH yuktA
   ato 'pṛthaksiddhaviśeṣaṇatayā viśiṣṭaikavastvekadeśatvarūpameva	atas apRTak-sidDa-viSezaNa-tayA viSizwa-eka-vastu-eka-deSa-tva-rUpam-eva
   brahmāṃśatvaṃ jagato 'bhimatamiti bhāvaḥ /	brahma-aMSa-tvam jagataH aBimatam-iti BAvaH /
   sarvasya brahmasvarūpāntargatatve śrutimudāharatiyatreti /	sarvasya brahma-svarUpa-antargata-tve Srutim-udAharati-yatra-iti /
   yatra viśiṣṭe brahmaṇi samanubhūyamāne 'nyatsvatantraṃ vastu na paśyati,	yatra viSizwe brahmaNi samanuBUyamAne anyat-svatantram vastu na paSyati,
   sarvasya tadantarbhāvāt , sa bhūmetyarthaḥ /	sarvasya tad-antar-BAvAt , sa BUma-iti-arTaH /
   sarvaprakārakaḥ sarvātmā paraṃ brahma paramapuruṣo nārāyaṇa eva bhūmā,	sarva-prakArakaH sarva-AtmA param brahma parama-puruzaH nArAyaNaH eva BUmA,
   anyaḥ sarvo 'pyalpaka iti proktaṃ bhavati /	anyaH sarvaH api-alpakaH iti proktam Bavati /
   svaniṣṭhaprañcadarśananindayā ca brahmaniṣṭhatvameva tasya gamyata	sva-nizWa-praQca-darSana-nindayA ca brahma-nizWa-tvam-eva tasya gamyata
   ityāśayena śrutyantaramupādatte udaramiti /	iti-ASayena Sruti-antaram-upAdatte udaram-iti /
   yadā hyevaiṣa etasminnu daramantaraṃ kurute, atha tasya bhayaṃ bhavatīti	yadA hi-eva-ezaH etasmin-nu daram-antaram kurute, aTa tasya Bayam Bavati-iti
   taittirīyopaniṣadi /	tEttirIya-upanizadi /
   etasmin prapañce daramalpamapi antaramantarālaṃ brahmasaṃbandhavicchedaṃ	etasmin prapaQce daram-alpam-api antaram-antarAlam brahma-saMbanDa-vicCedam
   yadā paśyati tadaivāsyaivaṃ jānataḥ saṃsārabhayamupasthitamagre	yadA paSyati tadA-eva-asya-evam jAnataH saMsAra-Bayam-upasTitam-agre
   bhavatītyarthaḥ /	Bavati-iti-arTaH /
   paraprakriyācchāyayaivamatrārtho vivakṣito bhedamithyātvaṃ na	para-prakriyAt-CAyayA-evam-atra-arTaH vivakzitaH Beda-miTyA-tvam na
   sidhyatyetadvākyata iti bodhanāya /	siDyati-etat-vAkyate iti boDanAya /
   paramātmani niṣṭhāśabditasya dhruvānusmaraṇasya	paramAtmani nizWA-Sabditasya Druva-anusmaraNasya
   pūrvavākyaprastutasyālpakālavicchede 'pi saṃsārabhayaprasaṅga eveti tu	pUrva-vAkya-prastutasya-alpa-kAla-vicCede api saMsAra-Baya-prasaFgaH eva-iti tu
   siddhāntisammator'thaḥ /	sidDAnti-sammator-aTaH /
   viṣṇumahāvibhūtyekadeśatve jagataḥ smṛtivākyaṃmerorityādi /	vizNu-mahA-viBUti-eka-deSa-tve jagataH smRti-vAkyaMmeroH-ityAdi /
   ityādaya ityasyāgre smṛtayaśceti yojyam /	ityAdayaH iti-asya-agre smRtayaH-ca-iti yojyam /
   taditthambhāvatāparāḥ- brahmāpṛthaksiddhaprakāratvapratipādanatatparāḥ //	tad-itTam-BAvatA-parAH brahmA-pRTak-sidDa-prakAra-tva-pratipAdana-tatparAH //
   vācārambhaṇamātraṃ tu jagat sthāvarajaṅgamam /	vAcA-AramBaNa-mAtram tu jagat sTAvara-jaFgamam /
   vikārajātaṃ, kūṭasthaṃ mūlakāraṇameva sat // 29 //	vikAra-jAtaM, kUwasTam mUla-kAraNam-eva sat // 29 //
   nanu virukteṣu vacaneṣu brahmavibhūtitvādau jagataḥ pratipādite 'pi	nanu viruktezu vacanezu brahma-viBUti-tva-AdO jagataH pratipAdite api
   vacanāntareṣu kāraṇamātrasya satyatvam anyasya sarvasyāsatyatvaṃ ca	vacana-antarezu kAraNa-mAtrasya satya-tvam anyasya sarvasya-asatya-tvam ca
   pratīyate iti tadanurodheneṣāṃ vyāvahārikaviṣayatvameva mantavyamiti	pratIyate iti tad-anuroDena-IzAm vyAvahArika-vizaya-tvam-eva mantavyam-iti
   cettatrāhavāceti /	ced-tatra-Aha-vAca-iti /
   vacanāntareṣvapi mithyātvaṃ nocyate bhedaprapañcasya, kintu	vacana-antarezu-api miTyAtvam na-ucyate Beda-prapaQcasya, kintu
   brahmātmakatvena sattaiveti bhāvaḥ /	brahma-Atmaka-tvena sattA-eva-iti BAvaH /
   śrautakatipayapadaghaṭitaṃ śrautārthānuvādarūpaṃ vācārambhaṇamātramityādi	SrOta-katipaya-pada-Gawitam SrOta-arTa-anuvAda-rUpam vAcA-AramBaNa-mAtram-ityAdi
   tattatpadasmāritāni śrutivākyāni vivakṣitāni /	tad-tad-padasmAritAni Sruti-vAkyAni vivakzitAni /
   vācā'sambhaṇaṃ vikāro nāmadheyaṃ mṛttiketyeva satyamiti cchāndogye	vAcA-asamBaNam vikAraH nAmaDeyam mRttikA-iti-eva satyam-iti cCAndogye
   ṣaṣṭhaprapāṭhake /	zazWa-prapAWake /
   vācā  iti tṛtīyā prayojanasya hetutvavivakṣayā /	vAcA  iti tRtIyA prayojanasya hetu-tva-vivakzayA /
   ārambhaṇam-ālambhavam-spṛṣṭam /	AramBaNam--AlamBavam--spRzwam /
   ālambhaḥ sparśahiṃsayoḥ /	AlamBaH sparSa-hiMsayoH /
   gṛhītamiti yāvat /	gRhItam-iti yAvat /
   ārambhate ityārambhaṇaṃ-sṛṣṭamiti vā /	AramBate iti-AramBaNan-sRzwam-iti vA /
   napuṃsakaikaśeṣaikavadbhāvau /	napuMsaka-eka-Seza-eka-vat-BAvO /
   kintat ? vikāro nāmadheyaṃ ca /	kintat ? vikAraH nAmaDeyam ca /
   kena spṛṣṭamityākāṅkṣāyāṃntvetha yathā somyaikena mṛtpiṇḍeneti	kena spRzwam-iti-AkAFkzAyAM=-tveTa yaTA somya-ekena mRd-piNxena-iti
   pūrvaprakṛto mṛtpiṇḍo yogyatvātkartṛtayānveti /	pUrva-prakRtaH mRd-piNxaH yogya-tvAt-kartR-tayA-anveti /
   ghaṭatvādyavasthārūpo vikāraḥ tattadavasthāyogaprayuktaṃ ghaṭādināma ca	Gawa-tva-Adi-avasTA-rUpaH vikAraH tad-tad-avasTA-yoga-prayuktam Gawa-Adi-nAma ca
   mṛtpiṇḍenaiva gṛhītaṃ vākpūrvakavyavahārāyeti phalitam /	mRd-piNxena-eva gRhItam vAc-pUrvaka-vyavahArAya-iti Palitam /
   evaṃ kāraṇadravyasyaiva nānāvasthābhāktvena nānākāryātmakatvātkāryāṇāṃ	evam kAraNa-dravyasya-eva nAnA-avasTA-BAktvena nAnA-kArya-Atmaka-tvAt-kAryANAm
   kāraṇānanyatvamityāhamṛttiketyeva satyamiti /	kAraNa-ananya-tvam-iti-Aha-mRttikA-iti-eva satyam-iti /
   atra sarvaṃ mṛṇmayaṃ viśeṣyam /	atra sarvam mRNmayam viSezyam /
   itiśabdaḥ prakāravācī /	iti-SabdaH prakAra-vAcI /
   sarvaṃ mṛṇmayaṃ mṛttikātvaprakāreṇaiva prāmāṇikam /	sarvam mRNmayam mRttikA-tva-prakAreNa-eva prAmANikam /
   na tu mṛdanātmakatvenetyarthaḥ /	na tu mRdana-Atmaka-tvena-iti-arTaH /
   anena kāṇādābhimata upādānopādeyayoratyantabhedo nirastaḥ /	anena kANAda-aBimataH upAdAna-upAdeyayoH-atyanta-BedaH nirastaH /
   ekavijñānena sarvavijñānapratijñopapādanārthaṃ pravṛttatvādasya	eka-vijQAnena sarva-vijQAna-pratijQA-upapAdana-arTam pravRtta-tvAt-asya
   vākyasyopādānopādeyayorananyatva eva tātparyamuktadiśā /	vAkyasya-upAdAna-upAdeyayoH-ananyatvaH eva tAtparya-mukta-diSA /
   na tu kāryamātrasya mithyātve /	na tu kArya-mAtrasya miTyAtve /
   tathā sati sarvasya jñātavyasyābhāvādeva sarvaṃ jñātaṃ	taTA sati sarvasya jQAtavyasya-aBAvAt-eva sarvam jQAtam
   syādityasaṅgatamāpadyeta /	syAditi-asaFgatam-Apadyeta /
   samastapadatve parābhimate vāgārambhaṇamiti bhavet /	samasta-pada-tve para-aBimate vAc-AramBaNam-iti Bavet /
   vācārambhaṇaśabdasya mithyārthakatvaṃ cāprasiddhameva parābhimatamiti	vAcA-AramBaNa-Sabdasya miTyA-arTaka-tvam ca-aprasidDam-eva para-aBimatam-iti
   bodhyam /	boDyam /
   tatsatyamityasyārthato 'nuvādaḥkūṭasthamityādiḥ /	tat-satyam-iti-asya-arTataH anuvAdaH-kUwasTam-ityAdiH /
   upādānatve 'pi brahmaṇo nirvikāratvaṃ kūṭasthaśabdena vivakṣitam /	upAdAna-tve api brahmaNaH nirvikAra-tvam kUwasTa-Sabdena vivakzitam /
   satsatyam-satataikarūpam /	sat-satyam--satata-eka-rUpam /
   nanu nirvikāratve kathamupādānatvam ? sarvacidaciccharīrakatvāt	nanu nirvikAra-tve kaTam-upAdAna-tvam ? sarva-cit-acit-SarIraka-tvAt-
   sūkṣmacidacidviśiṣṭatvenopādānatvaṃ brahmaṇa upapannameva /	sUkzma-cit-acit-viSizwa-tvena-upAdAna-tvam brahmaNaH upapannam-eva /
   so 'yaṃ śarīrātmabhāvo jagadbrahmaṇoḥsadāyatanāḥ aitadātmyamidaṃ sarvamiti	saH ayam SarIra-Atma-BAvaH jagat-brahmaNoH-sat-AyatanAH Etat-Atmyam-idam sarvam-iti
   nirdiṣṭaḥ /	nirdizwaH /
   nacaivaṃ svarūpapariṇāmābhāve mṛṇmayadṛṣṭāntāsaṅgatiḥ,	na-ca-evam svarUpa-pariNAma-aBAve mRNmaya-dRzwAnta-asaFgatiH,
   kāryakāraṇayorananyatvamātre dṛṣṭāntasaṅgateḥ /	kArya-kAraNayoH-ananya-tva-mAtre dRzwAnta-saFgateH /
   nanu cetanācetanaprapañcasya brahmānanyatvaṃ vā katham ? brahmātmakatvena	nanu cetana-acetana-prapaQcasya brahma-ananya-tvam vA kaTam ? brahma-Atmaka-tvena
   brahmarūpatvenānanyatvopapatteḥ /	brahma-rUpa-tvena-ananyatva-upapatteH /
   tadidameva prāmāṇikamiti cocyate etadātmyamidaṃ sarvaṃ	tat-idam-eva prAmANikam-iti ca-ucyate etat-Atmyam-idam sarvam
   tatsatyamityekavākyatayānvayāt /	tat-satyam-iti-eka-vAkya-tayA-anvayAt /
   dṛṣṭāntavākyānuguṇaścāyamevārthaṃ iti dhyeyam /	dRzwAnta-vAkya-anuguNaH-ca-ayam-eva-arTam iti Dyeyam /
   paravyākhyācchāyayā tu tadbrahma satyaṃ sadaikarūpamityartho varṇitaḥ /	para-vyAKyAt-CAyayA tu tat-brahma satyam sadA-eka-rUpam-iti-arTaH varNitaH /
   ślokevācārambhaṇamātramityasya vākpūrvavyavahārāyaiva niṣpannaṃ	SlokevAcA-AramBaNa-mAtram-iti-asya vAc-pUrva-vyavahArAya-eva nizpannam
   kārtsnyenetyarthaḥ // 29 //	kArtsnyena-iti-arTaH // 29 //
   ananyatkāraṇātkāryaṃ pāvakādvisphuliṅgavat /	ananyat-kAraNAt-kAryam pAvakAt-visPuliFga-vat /
   mṛttikālohabījādinānādṛṣṭāntavistaraiḥ // 30 //	mRttikA-loha-bIja-Adi-nAnA-dRzwAnta-vistarEH // 30 //
   samānaprakaraṇeṣūpādānopādeyayoraikyasyaiva pratipādanācca na kāryasya	samAna-prakaraNezu-upAdAna-upAdeyayoH-Ekyasya-eva pratipAdanAt-ca na kAryasya
   mithyātvaṃ vācārambhaṇaśruterarthaḥ / kintu kāraṇātmakataiveti	miTyAtvam vAcA-AramBaNa-SruteH-arTaH / kintu kAraNa-Atmaka-tA-eva-iti
   pratibodhayannāhaananyaditi /	pratiboDayat-=-Ahaananyat-iti /
   pāpakādvyucca ritānāṃ visphuliṅgānāmagnyaṃśatvenāgnyananyatvavadbrahmaṇa	pApakAt-vyucca ritAnAm visPuliFgAnAm-agni-aMSa-tvena-agni-ananyatva-vat-brahmaNa
   udbhūtasya prapañcasyāpi brahmāṃśabhūtasya brahmānanyatvameva vivakṣitam /	udBUtasya prapaQcasya-api brahma-aMSa-BUtasya brahma-ananya-tvam-eva vivakzitam /
   idaṃ cānanyatvaṃ mṛdādidṛṣṭāntaiśca śrutiṣu nirūpitamiti yāvat // 30 //	idam ca-ananya-tvam mRd-Adi-dRzwAntEH-ca Srutizu nirUpitam-iti yAvat // 30 //
   nāśakaddagdhumanalastṛṇaṃ majjayituṃ jalam /	na-aSakat-dagDum-analaH-tRNam majjayitum jalam /
   na vāyuścalituṃ śaktaḥ tacchaktyāpyāyanādṛte // 31 //	na vAyuH-calitum SaktaH tad-Sakti-ApyAyanAt-Rte // 31 //
   kāryāṇāṃ kāraṇātmakatve upattiruktā /	kAryANAm kAraNa-Atmaka-tve upattiH-uktAH /
   arthavādarūpamapi tātparyaliṅgamastītyāhanāśakaditi /	arTavAda-rUpam-api tAtparyaliFgam-asti-iti-AhanASa-kat-iti /
   kenopaniṣadi prasiddho 'yamarthaḥ // 31 //	kena-upanizadi prasidDaH ayam-arTaH // 31 //
   ekapradhānavijñānādvijñātamakhilaṃ bhavet /	eka-praDAna-vijQAnAt-vijQAtam-aKilam Bavet /
   ityādivedavacanatanmūlāptāgamairapi // 32 //	iti-Adi-veda-vacana-tad-mUla-Apta-AgamEH-api // 32 //
   brahmātmanā'tmalābho 'yaṃ prapañcaścidacinmayaḥ /	brahma-AtmanA-atma-lABaH ayam prapaQcaH-cidacit-mayaH /
   iti pramīyate brāhmī vibhūtirna niṣidhyate // 33 //	iti pramIyate brAhmI viBUtiH-na niziDyate // 33 //
   nanuuta tamādeśamaprākṣyoyenāśrataṃ śrutaṃ bhavatīti	nanuuta tam-AdeSam-aprAkzyoyena-ASratam Srutam Bavati-iti
   pratijñātamekavijñānena sarvavijñānaṃ brahmaṇa ekasyaiva pāramārthye	pratijQAtam-eka-vijQAnena sarva-vijQAnam brahmaNaH ekasya-eva pAramArTye
   ghaṭate /	Gawate /
   natu tadbhinnānāṃ bahūnāṃ pāramārthye /	na-tu tad-BinnAnAm bahUnAm pAramArTye /
   tatprapañcasyāpāramārthyamakāmenāpi svīkartavyamiti cettatrāhaeketi /	tad-prapaQcasya-apAram-ArTyam-akAmena-api svIkartavyam-iti ced-tatra-AhaekA-iti /
   brahmaṇo nikhilajagadantarātmatvena nikhilajagatpradhānatayā nikhilasya ca	brahmaNaH niKila-jagat-antarAtma-tvena niKila-jagat-praDAna-tayA niKilasya ca
   taccharīratvena tatprakārataikasvarūpatayā tasmin jñāte tadanantargataṃ	tad-SarIra-tvena tad-prakAra-ta-eka-svarUpa-tayA tasmin jQAte tad-anantargatam
