   devadeva uvāca	devadevaH uvAca
   praṇamya śirasā pādau tasmai devāya dhīmate // VamPSm_4.14 //	praNamya SirasA pAdO tasmE devAya DImate // VamPSm_4.14 //
   bhagavāneva naḥ putro bhavatviti prasīda naḥ /	BagavAn-eva naH putraH Bavatu-iti prasIda naH /
   uktaśca parayā vācā tathāstvati sa vakṣyati // VamPSm_4.15 //	uktaH-ca parayA vAcA taTA-astu-ati sa vakzyati // VamPSm_4.15 //
   devā bruvanti te sarve kasyapo 'ditireva ca /	devAH bruvanti te sarve kasi-apaH aditiH-eva ca /
   tathāstviti surāḥ sarve praṇamya śirasā prabhum /	taTA-astu-iti surAH sarve praNamya SirasA praBum /
   śvetadvīpaṃ samuddiśya gatāḥ saumyadiśaṃ prati // VamPSm_4.16 //	SvetadvIpam samuddiSya gatAH sOmya-diSam prati // VamPSm_4.16 //
   te 'cireṇaiva saṃprāptāḥ kṣīrodaṃ saritāṃ patim /	te acireNa-eva saMprAptAH kzIrodam saritAm patim /
   yathoddiṣṭaṃ bhagavatā brahmaṇā satyavādinā // VamPSm_4.17 //	yaTA-uddizwam BagavatA brahmaNA satya-vAdinA // VamPSm_4.17 //
   te krāntāḥ sāgarān sarvān parvatāṃśca sakānanān /	te krAntAH sAgarAn sarvAn parvatAn=-ca sa-kAnanAn /
   nadīśca vividhā divyāḥ pṛthivyāṃ te suroktamāḥ // VamPSm_4.18 //	nadIH-ca viviDAH divyAH pRTivyAm te sura-uktamAH // VamPSm_4.18 //
   apaśyanta tamo ghoraṃ sarvasattvavivarjitam /	apaSyanta tamaH Goram sarva-sattva-vivarjitam /
   abhāskaramamaryādaṃ tamasā sarvato vṛtam // VamPSm_4.19 //	aBAskaram-amaryAdam tamasA sarvatas vRtam // VamPSm_4.19 //
   amṛtaṃ sthānamāsādyakaśyapena mahātmanā /	amRtam sTAnam-AsAdya-kaSyapena mahAtmanA /
   dīkṣitāḥ kāmadaṃ divyaṃ vrataṃ varṣa sahasrakam // VamPSm_4.20 //	dIkzitAH kAma-dam divyam vratam varza sahasrakam // VamPSm_4.20 //
   prasādārthaṃ sureśāya tasmai yogāya dhīmate /	prasAda-arTam sureSAya tasmE yogAya DImate /
   nārāyaṇāya devāya sahasrākṣāya bhūtaye // VamPSm_4.21 //	nArAyaNAya devAya sahasrAkzAya BUtaye // VamPSm_4.21 //
   brahmacaryeṇa maunena sthānavīrāsanena ca /	brahmacaryeNa mOnena sTAna-vIrAsanena ca /
   krameṇa ca surāḥ sarve tapa ugraṃ samāsthitāḥ // VamPSm_4.22 //	krameNa ca surAH sarve tapaH ugram samAsTitAH // VamPSm_4.22 //
   kaśyapastatra bhagavān prasādārthaṃ mahātmanaḥ /	kaSyapaH-tatra BagavAn prasAda-arTam mahAtmanaH /
   udīrayata vedoktaṃ yamāhuḥ paramaṃ stavam // VamPSm_4.23 //	udIrayata veda-uktam yam-AhuH paramam stavam // VamPSm_4.23 //
   iti śrīvāmanapurāṇe saromāhātmye caturthe 'dhyāyaḥ	iti SrI-vAmanapurANe saromAhAtmye caturTe aDyAyaH
   kaśyapa uvāca	kaSyapaH uvAca
   namo 'stu te devadeva ekaśṛṅga vṛṣārcce sindhuvṛṣa vṛṣākape suravṛṣa	namaH astu te devadevaH ekaSRFga vRzArcce sinDuvRza vRzAkape sura-vRza
   anādisaṃbhava rudra kapila viṣvaksena sarvabhūtapate dhruva dharmadharma	anAdi-saMBava rudra kapila vizvaksena sarva-BUta-pate Druva Darma-Darma
   vaikuṇṭha vṛṣāvarta anādimadhyanidhana dhanañjaya śuciśravaḥ pṛśnitejaḥ	vEkuNWa vRzAvarta anAdi-maDya-niDana DanaQjaya SuciSravaH pRSni-tejaH
   nijaya (5) amṛteśaya sanātana tridhāma tuṣita mahātattva lokanātha	nijaya (5) amRteSaya sanAtana triDAma tuzita mahAtattva lokanATa
   padmanābha viriñce bahurūpa akṣaya akṣara havyabhuja khaṇḍaparaśo śatakra	padmanABa viriQce bahu-rUpa akzaya akzara havya-Buja KaNxaparaSo Satakra
   muñjakeśa haṃsa mahādakṣiṇa hṛṣīkeśa sūkṣma mahāniyamadhara viraja	muQjakeSa haMsa mahA-dakziNa hRzIkeSa sUkzma mahAn-iyama-Dara viraja
   lokapratiṣṭha arūpa agraja dharmaja dharmanābha (10) gabhastinābha	loka-pratizWa arUpa agraja Darmaja DarmanABaH (10) gaBastinABa
   śatakratunābha candraratha sūryatejaḥ samudravāsaḥ ajaḥ sahasraśiraḥ	SatakratunABa candraraTa sUrya-tejaH samudravAsaH ajaH sahasraSiraH
   sahasrapāda adomukha mahāpuruṣa puruṣottama sahasrabāho sahasramūrte	sahasrapAda adomuKa mahApuruza puruzottama sahasra-bAho sahasramUrte
   sahasrāsya paruṣottama sahasrabāho sahasramūrte sahasrāsya sahasrasaṃbhava	sahasra-asya paruza-uttama sahasra-bAho sahasramUrte sahasra-asya sahasra-saMBava
   sahasrasattvaṃ tvamāhuḥ /	sahasra-sattvam tvam-AhuH /
   puṣpahāsa carama tvameva vauṣaṭ (15) vaṣaṭkāraṃ tvāmāhuragrayaṃ makheṣu	puzpahAsa carama tvam-eva vOzaw (15) vazawkAram tvAm-AhuH-agrayam maKezu
   prāśitāraṃ sahasradhāraṃ ca bhuśca bhuvaśca svaśca tvameva vedavedya	prASitAram sahasra-DAram ca BuH-ca BuvaH-ca svar-ca tvam-eva veda-vedya
   brahmaśaya brāhmaṇapriya tvameva dyaurasi mātariśvāsi dharmo 'si hotā potā	brahmaSaya brAhmaNa-priya tvam-eva dyOH-asi mAtariSvAsi DarmaH asi hotA potA
   mantā netā homahetus tvameva agraya viśvadhāmnā tvameva digbhiḥ subhāṇḍa	mantA netA homa-hetuH tvam-eva agraya viSva-DAmnA tvam-eva digBiH suBANxa
   (20) ijyo 'si sumedho 'si samidhastvameva matir gatir dātā tvamasi /	(20) ijyaH asi sumeDaH asi samiDaH-tvam-eva matiH gatiH dAtA tvam-asi /
   mokṣo 'si yogo 'si /	mokzaH asi yogaH asi /
   sṛjasi /	sRjasi /
   dhātā paramayajño 'si somo 'si dīkṣito 'si dakṣiṇāsi viśvamasi /	DAtA parama-yajQaH asi somaH asi dIkzitaH asi dakziNA-asi viSvam-asi /
   sthavira hiraṇyanāma nārāyaṇa trinayana ādityavarma ādityatejaḥ mahāpuruṣa	sTavira hiraNyanAma nArAyaNa trinayane Aditya-varmaH Aditya-tejaH mahApuruza
   (25) puruṣottama ādidedeva suvikrama prabhākara śaṃbho svayaṃbho bhūtādiḥ	(25) puruzottamaH Adidet-eva su-vikrama praBAkara SaMBo svayaMBo BUtAdiH
   mahābhūto 'si viśvabhūta viśvaṃ tvameva viśvagoptāsi pavitramasi	mahABUtaH asi viSvaBUta viSvam tvam-eva viSva-goptA-asi pavitram-asi
   viśvabhava ūrdhvakarma amṛta divaspate vācaspate ghṛtārce anantakarma	viSvaBavaH UrDva-karma amRta divaspate vAcaspate GRta-arce ananta-karma
   vaṃśa pragvaṃśa viśvapāstvameva varārthināṃ varado 'si tvam /	vaMSa pragvaMSa viSvapAH-tvam-eva vara-arTinAm vara-daH asi tvam /
   (30) caturbhiśca caturbhiśca dvābhyāṃ pañjabhireva ca /	(30) caturBiH-ca caturBiH-ca dvAByAm paQjaBiH-eva ca /
   hūyate ca punardvābhyāṃ tubhyaṃ hotrātmane namaḥ /	hUyate ca punar-dvAByAm tuByam hotrAtmane namaH /
   iti śrīvāmanapurāṇe saromāhātmye pañcamo 'dhyāyaḥ	iti SrI-vAmanapurANe saromAhAtmye paQcamaH aDyAyaH
   lomaharṣaṇa uvāca /	loma-harzaNaH uvAca /
   nārāyaṇastu bhagavāñchrutvaivaṃ paramaṃ stavam /	nArAyaNaH-tu BagavAn-SrutvA-evam paramam stavam /
   brahmajñena dvijendreṇa kaśyapena samīritam // VamPSm_6.1 //	brahma-jQena dvijendreNa kaSyapena samIritam // VamPSm_6.1 //
   upāca vacanaṃ samyak tuṣṭaḥ puṣṭapadākṣaram /	upAca vacanam samyak tuzwaH puzwa-padAkzaram /
   śrīmān prītamanā devo yadvadet prabhurīśvaraḥ // VamPSm_6.2 //	SrImAn prIta-manAH devaH yat-vadet praBuH-ISvaraH // VamPSm_6.2 //
   varaṃ vṛṇudhvaṃ bhadraṃ vo varado 'smi surottamāḥ /	varam vRNuDvam Badram vaH vara-daH asmi sura-uttamAH /
   kaśyapa uvāca	kaSyapaH uvAca
   prīto 'si naḥ suraśreṣṭha sarveṣāmeva niścayaḥ // VamPSm_6.3 //	prItaH asi naH suraSrezWa sarvezAm-eva niScayaH // VamPSm_6.3 //
   vāsavasyānujo bhrātā jñātīnāṃ nandivardhanaḥ /	vAsavasya-anujaH BrAtA jQAtInAm nandivarDanaH /
   adityā api ca śrīmān bhagavānasta vai sutaḥ // VamPSm_6.4 //	adityAH api ca SrImAn BagavAn-asta vE sutaH // VamPSm_6.4 //
   aditirdevamātā ca etamevārthamuttamam /	aditiH-deva-mAtA ca etam-eva-arTam-uttamam /
   putrārthaṃ varadaṃ prāha bhagavantaṃ varārthinī // VamPSm_6.5 //	putra-arTam vara-dam prAha Bagavantam vara-arTinI // VamPSm_6.5 //
   devā ūcuḥ	devAH UcuH
   niḥśreyasārthaṃ sarveṣāṃ daivatānāṃ maheśvara /	niHSreyasa-arTam sarvezAm dEvatAnAm maheSvaraH /
   trātā bhartā ca dātā ca śaraṇaṃ bhava naḥ sadā // VamPSm_6.6 //	trAtA BartA ca dAtA ca SaraNam Bava naH sadA // VamPSm_6.6 //
   tatastānabravīdviṣṇurdevān kaśyapameva ca /	tatas-tAn-abravIt-vizNuH-devAn kaSyapam-eva ca /
   sarveṣāmeva yuṣmākaṃ ye bhaviṣyanti śatravaḥ /	sarvezAm-eva yuzmAkam ye Bavizyanti SatravaH /
   muhūrtamapi te sarve na sthāsyanti mamāgrataḥ // VamPSm_6.7 //	muhUrtam-api te sarve na sTAsyanti mama-agratas // VamPSm_6.7 //
   hatvāsurāgaṇan sarvān yajñabhāgāgrabhejinaḥ /	hatvA-asurA-gaNan sarvAn yajQa-BAga-agra-BejinaH /
   havyādāṃśca surān sarvān kavyādāṃśca pitṛnapi // VamPSm_6.8 //	havyAdAn=-ca surAn sarvAn kavya-AdAn=-ca pitRnapi // VamPSm_6.8 //
   kariṣye vibudhaśreṣṭhāḥ pārameṣṭhyena karmaṇā /	karizye vibuDa-SrezWAH pAramezWyena karmaNA /
   yathāyātena sārgeṇa nivartadhvaṃ surottamāḥ // VamPSm_6.9 //	yaTAyAtena sArgeNa nivartaDvam sura-uttamAH // VamPSm_6.9 //
   lomaharṣaṇa uvāca	lomaharzaNaH uvAca
   evamukte tu devena viṣṇunā prabhaviṣṇunā /	evam-ukte tu devena vizNunA praBavizNunA /
   tataḥ prahṛṣṭamanasaḥ pūjayanti sma taṃ prabhum // VamPSm_6.10 //	tatas prahRzwa-manasaH pUjayanti sma tam praBum // VamPSm_6.10 //
   viśvedevā mahātmānaḥ kaśyapo 'ditireva ca /	viSvedevAH mahAtmAnaH kaSyapaH aditiH-eva ca /
   namaskṛtya sureśāya tasmai devāya raṃhasā // VamPSm_6.11 //	namaskRtya sureSAya tasmE devAya raMhasA // VamPSm_6.11 //
   prayātāḥ prāgdiśaṃ sarve vipulaṃ kaśyapāśramam /	prayAtAH prAk-diSam sarve vipulam kaSyapa-ASramam /
   te kaśyapāśramaṃ gatvā kurukṣetravanaṃ mahāt // VamPSm_6.12 //	te kaSyapa-ASramam gatvA kurukzetra-vanam mahAt // VamPSm_6.12 //
   prasādya hyaditiṃ tatra tapase tāṃ nyayojayan/	prasAdya hi-aditim tatra tapase tAm nyayojayan/
   tha sā cacāra tapo ghoraṃ varṣāṇāmayutaṃ tadā // VamPSm_6.13 //	Ta sA cacAra tapaH Goram varzANAm-ayutam tadA // VamPSm_6.13 //
   tasyā nāmnā vanaṃ divyaṃ sarvakāmapradaṃ śubham /	tasyAH nAmnA vanam divyam sarva-kAma-pradam SuBam /
   ārādhanāya kṛṣṇasya vāgjitā vāyubhojanā // VamPSm_6.14 //	ArADanAya kRzNasya vAc-jitAH vAyu-BojanAH // VamPSm_6.14 //
   daityairnirākṛtān dṛṣṭvā tanayānṛṣisattamāḥ /	dEtyEH-nirAkRtAn dRzwvA tanayAn-Rzi-sattamAH /
   vṛthāputrāhamiti sā nirvedāt praṇayāddharim /	vRTA-putra-aham-iti sA nirvedAt praNayAt-harim /
   tuṣṭāva vāgbhiragryābhiḥ paramārthavabodhinī // VamPSm_6.15 //	tuzwAva vAgBiH-agryABiH parama-arTavaboDinI // VamPSm_6.15 //
   śaraṇyaṃ śaraṇaṃ viṣṇuṃ praṇatā bhaktavatsalam /	SaraNyam SaraNam vizNum praNatA Bakta-vatsalam /
   devadaityamayaṃ cādimadhyamāntasvarūpiṇam // VamPSm_6.16 //	deva-dEtya-mayam ca-Adi-maDyamAnta-svarUpiNam // VamPSm_6.16 //
   aditiruvāca	aditiH-uvAca
   namaḥ kṛtyārtināśāya namaḥ puṣkaramāline /	namaH kRtyA-Arti-nASAya namaH puzkara-mAline /
   namaḥ paramakalyāṇa kalyāṇāyādivedhase // VamPSm_6.17 //	namaH parama-kalyANa kalyANAya-Adi-veDase // VamPSm_6.17 //
   namaḥ paṅkajanetrāya namaḥ paṅkajanābhaye /	namaH paFkaja-netrAya namaH paFkajana-aBaye /
   namaḥ paṅkajasaṃbhūtisaṃbhavāyātmayonaye // VamPSm_6.18 //	namaH paFkaja-saMBUti-saMBavAya-Atmayonaye // VamPSm_6.18 //
   śriyaḥ kāntāya dāntāya dāntadṛśyāya cakriṇe /	SriyaH kAntAya dAntAya dAnta-dRSyAya cakriNe /
   namaḥ padmāsihastāya namaḥ kanakaretase // VamPSm_6.19 //	namaH padmA-asi-hastAya namaH kanakaretase // VamPSm_6.19 //
   tathātmajñānayajñāya yogicintyāya yogine /	taTA-Atma-jQAna-yajQAya yogi-cintyAya yogine /
   nirguṇāya viśeṣāya haraye brahmarūpiṇe // VamPSm_6.20 //	nirguNAya viSezAya haraye brahma-rUpiNe // VamPSm_6.20 //
   jagacca tiṣṭhate yatra jagato yo na dṛsyate /	jagat-ca tizWate yatra jagataH yaH na dRsyate /
   namaḥ sthūlātisūkṣmāya tasmai devāya śārṅiḍṇe // VamPSm_6.21 //	namaH sTUla-ati-sUkzmAya tasmE devAya SArFixNe // VamPSm_6.21 //
   yaṃ na paśyanti paśyanto jagadapyakhilaṃ narāḥ /	yam na paSyanti paSyantaH jagat-api-aKilam narAH /
   apaśyadbhirjagadyaśca dṛśyate hṛdi saṃsthitaḥ // VamPSm_6.22 //	apaSyadBiH-jagadyaH-ca dRSyate hRdi saMsTitaH // VamPSm_6.22 //
   bahirjyoti ralakṣyo yo lakṣyate jyotiṣaḥ paraḥ /	bahis-jyoti ralakzyaH yaH lakzyate jyotizaH paraH /
   yasminneva yataścaiva yasyaitadakhilaṃ jagat // VamPSm_6.23 //	yasmin=-eva yatas-ca-eva yasya-etat-aKilam jagat // VamPSm_6.23 //
   tasmai samastajagatām amarāya namo namaḥ /	tasmE samasta-jagatAm amarAya namaH namaH /
   ādyaḥ prajāpatiḥ so 'pi pitṝṇāṃ paramaḥ patiḥ /	AdyaH prajApatiH saH api pitLNAm paramaH patiH /
   patiḥ surāṇāṃ yastasmai namaḥ kṛṣṇāya vedhase // VamPSm_6.24 //	patiH surANAm yaH-tasmE namaH kRzNAya veDase // VamPSm_6.24 //
   yaḥ pravṛttairnivṛttaiśca karmastasmai virajyate /	yaH pravRttEH-nivRttEH-ca karmaH-tasmE virajyate /
   svargāpavargaphalado namastasmai gadābhṛte // VamPSm_6.25 //	svarga-apavarga-Pala-daH namaH-tasmE gadABRte // VamPSm_6.25 //
   yastu saṃcityamāno 'pi sarvaṃ pāpaṃ vyapohati /	yaH-tu saMcityamAnaH api sarvam pApam vyapohati /
   namastasmai viśuddhāya parasmai harimedhase // VamPSm_6.26 //	namaH-tasmE viSudDAya parasmE harimeDase // VamPSm_6.26 //
   ye paśyantyakhilādhāramīśānamajamavyayam /	ye paSyanti-aKila-ADAram-ISAnam-ajam-avyayam /
   na punarjanmamaraṇaṃ prāpnuvanti namāmi tam // VamPSm_6.27 //	na punar-janma-maraNam prApnuvanti namAmi tam // VamPSm_6.27 //
   yo yajño yajñaparamairijyate yajñasaṃsthitaḥ /	yaH yajQaH yajQa-paramEH-ijyate yajQa-saMsTitaH /
   taṃ yajñapuruṣaṃ viṣṇuṃ namāmi prabhumīśvaram // VamPSm_6.28 //	tam yajQapuruzam vizNum namAmi praBum-ISvaram // VamPSm_6.28 //
   gīyate sarvavedeṣu vedavidbhirvidāṃ gatiḥ /	gIyate sarva-vedezu veda-vidBiH-vidAm gatiH /
   yastasmai vedavedyāya nityāya viṣṇave namaḥ // VamPSm_6.29 //	yaH-tasmE veda-vedyAya nityAya vizNave namaH // VamPSm_6.29 //
   yato viśvaṃ samudbhūtaṃ yasmin pralayameṣyati /	yatas viSvam samudBUtam yasmin pralayam-ezyati /
   viśvodbhavapratiṣṭhāya namastasmai mahātmane // VamPSm_6.30 //	viSva-udBava-pratizWAya namaH-tasmE mahAtmane // VamPSm_6.30 //
   ābrahmastambaparyantaṃ vyāptaṃ yena carācaram /	Abrahma-stamba-paryantam vyAptam yena carAcaram /
   māyājālasamunnaddhaṃ tamupendraṃ namāmyaham // VamPSm_6.31 //	mAyA-jAla-samunnadDam tam-upendram namAmi-aham // VamPSm_6.31 //
   yo 'tra toyasvarūpastho bibhartyakhilamīśvaraḥ /	yaH atra toya-sva-rUpa-sTaH biBarti-aKilam-ISvaraH /
   viśvaṃ viśvapatiṃ viṣṇuṃ taṃ namāmi prajāpatim // VamPSm_6.32 //	viSvam viSva-patim vizNum tam namAmi prajApatim // VamPSm_6.32 //
   mūrta tamo 'suramayaṃ tadvidho vinihanti yaḥ /	mUrta tamaH asura-mayam tadviDaH vinihanti yaH /
   rātrijaṃ sūryarūpī ca tamupendraṃ namāmyaham // VamPSm_6.33 //	rAtri-jam sUrya-rUpI ca tam-upendram namAmi-aham // VamPSm_6.33 //
   yasyākṣiṇi candrasūryau sarvalokaśubhāśubham /	yasya-akziNi candra-sUryO sarva-loka-SuBa-aSuBam /
   paśyataḥ karma satataṃ tamupendraṃ namāmyaham // VamPSm_6.34 //	paSyataH karma satatam tam-upendram namAmi-aham // VamPSm_6.34 //
   yasmin sarveśvare sarvaṃ satyametanmayoditam /	yasmin sarva-ISvare sarvam satyam-etat-mayA-uditam /
   nānṛtaṃ tamajaṃ viṣṇuṃ namāmi prabhavāvyayam // VamPSm_6.35 //	na-anRtam tam-ajam vizNum namAmi praBava-avyayam // VamPSm_6.35 //
   yadyetatsatyamuktaṃ me bhūyaścāto janārdana /	yadi-etat-satyam-uktam me BUyas-ca-atas janArdana /
   satyena tena sakalāḥ pūryantāṃ me manorathāḥ // VamPSm_6.36 //	satyena tena sakalAH pUryantAm me manoraTAH // VamPSm_6.36 //
   iti śrīvāmanapurāṇe saromāhātmye ṣaṣṭho 'dhyāyaḥ	iti SrI-vAmanapurANe saromAhAtmye zazWaH aDyAyaH
   lomaharṣaṇa uvāca /	loma-harzaNaH uvAca /
   evaṃ stuto 'tha bhagavān vāsudeva uvāca tām /	evam stutaH aTa BagavAn vAsudevaH uvAca tAm /
   adṛśyaḥ sarvabhūtānāṃ tasyāḥ saṃdarśane sthitaḥ // VamPSm_7.1 //	adRSyaH sarva-BUtAnAm tasyAH saMdarSane sTitaH // VamPSm_7.1 //
   śrībhagavānuvāca	SrI-BagavAn-uvAca
   manorathāṃstvamadite yānicchasyabhivāñchitān /	manoraTAn=-tvam-adite yA-an-icCasi-aBivAQCitAn /
   tāṃstvaṃ prāpyasi dharmajñe matprasādānna saṃśayaḥ // VamPSm_7.2 //	tAn=-tvam prApyasi Darma-jQe mad-prasAdAt-na saMSayaH // VamPSm_7.2 //
   śṛṇu tvaṃ ca mahābhāge varo yaste hṛti sthitaḥ /	SRNu tvam ca mahABAge varaH yaH-te hRti sTitaH /
   maddarśanaṃ hi viphalaṃ na kadācid bhaviṣyati // VamPSm_7.3 //	mad-darSanam hi viPalam na kadAcid Bavizyati // VamPSm_7.3 //
   yaśceha tvadvane sthitvā trirātraṃ vai kariṣyati /	yaH-ca-iha tvad-vane sTitvA tri-rAtram vE karizyati /
   sarve kāmāḥ samṛdhyante manasā yānihecchati // VamPSm_7.4 //	sarve kAmAH samRDyante manasA yAn-iha-icCati // VamPSm_7.4 //
   dūrastho 'pi vanaṃ yastu adityāḥ smarate naraḥ /	dUra-sTaH api vanam yaH-tu adityAH smarate naraH /
   so 'pi yāti paraṃ sthānaṃ kiṃ punarnivasan naraḥ // VamPSm_7.5 //	saH api yAti param sTAnam kim punar-nivasan naraH // VamPSm_7.5 //
   yaśceha brāhmaṇān pañca trīn vā dvāvekameva vā /	yaH-ca-iha brAhmaNAn paQca trIn vA dvO=-ekam-eva vA /
   bhojayecchraddhayā yuktāḥ sa yāti paramāṃ gatim // VamPSm_7.6 //	Bojayet-SradDayA yuktAH sa yAti paramAm gatim // VamPSm_7.6 //
   aditiruvāca	aditiH-uvAca
   yadi deva prasannastvaṃ bhaktyā me bhaktavatsala /	yadi deva prasannaH-tvam BaktyA me Bakta-vatsala /
   trailokyādhipatiḥ putrastadastu mama vāsavaḥ // VamPSm_7.7 //	trElokya-aDipatiH putraH-tat-astu mama vAsavaH // VamPSm_7.7 //
   hṛtaṃ rājyaṃ hṛtaścāsya yajñabhāga ihāsuraiḥ /	hRtam rAjyam hRtaH-ca-asya yajQa-BAgaH iha-asurEH /
   tvayi prasanne parada tat prāpnotu suto mama // VamPSm_7.8 //	tvayi prasanne para-da tat prApnotu sutaH mama // VamPSm_7.8 //
   hṛtaṃ rājyaṃ na duḥkhāya mama putrasya keśava /	hRtam rAjyam na duHKAya mama putrasya keSavaH /
   prapannadāyavibhraṃśo bādhāṃ me kurute hṛti // VamPSm_7.9 //	prapanna-dAya-viBraMSaH bADAm me kurute hRti // VamPSm_7.9 //
   śrībhagavānuvāca	SrI-BagavAn-uvAca
   kṛtaḥ prasādo hi mayā tava devi yathepsitam /	kRtaH prasAdaH hi mayA tava devi yaTA-Ipsitam /
   svāṃśena caiva te garbhe saṃbhaviṣyāmi kaśyapāt // VamPSm_7.10 //	sva-aMSena ca-eva te garBe saMBavizyAmi kaSyapAt // VamPSm_7.10 //
   tava garbhe samudbhūtastataste ye tvarātayaḥ /	tava garBe samudBUtaH-tatas-te ye tvarAtayaH /
   tānahaṃ ca haniṣyāmi nivṛttā bhava nandini // VamPSm_7.11 //	tAn-aham ca hanizyAmi nivRttA Bava nandini // VamPSm_7.11 //
   aditiruvāca	aditiH-uvAca
   prasīda devadeveśa namaste viśvabhāvana /	prasIda devadeveSa namaH-te viSvaBAvanaH /
   nāhaṃ tvāmudare voḍhumīśa śakṣyāmi keśava /	na-aham tvAm-udare voXum-ISa SakzyAmi keSavaH /
   yasmin pratiṣṭhitaṃ sarvaṃ viśvayonistvamīśvaraḥ // VamPSm_7.12 //	yasmin pratizWitam sarvam viSvayoniH-tvam-ISvaraH // VamPSm_7.12 //
   ahaṃ tvāṃ ca vahiṣyāmi ātmānaṃ caiva nandini /	aham tvAm ca vahizyAmi AtmAnam ca-eva nandini /
   na ca pīḍāṃ kariṣyāmi svasti te 'stu vrajāmyaham // VamPSm_7.13 //	na ca pIxAm karizyAmi svasti te astu vrajAmi-aham // VamPSm_7.13 //
   ityuktvāntarhite deve 'ditirgarbhaṃ samādadhe /	iti-uktvA-antarhite deve aditiH-garBam samAdaDe /
   garbhasthite tataḥ khṛṣṇe cacāla saralā kṣitiḥ /	garBa-sTite tatas KRzNe cacAla saralA kzitiH /
   cakampire mahāśailā jagmuḥ kṣobhaṃ mahābdhayaḥ // VamPSm_7.14 //	cakampire mahA-SElAH jagmuH kzoBam mahA-abDayaH // VamPSm_7.14 //
   yato yato 'ditiryāti dadāti padamuttamam /	yatas yatas aditiH-yAti dadAti padam-uttamam /
   tatastataḥ kṣitiḥ khedānnanāma dvijapuṅgavāḥ // VamPSm_7.15 //	tatas-tatas kzitiH Keda-an-na-nAma dvija-puFgavAH // VamPSm_7.15 //
   daityānāmapi sarveṣāṃ garbhasthe madhusūdane /	dEtyAnAm-api sarvezAm garBa-sTe maDusUdane /
   babhūva tejaso hāniryathoktaṃ parameṣṭhinā // VamPSm_7.16 //	baBUva tejasaH hAniH-yaTA-uktam paramezWinA // VamPSm_7.16 //
   iti śrīvāmanapurāṇe saromāhātmye sapmo 'dhyāyaḥ	iti SrI-vAmanapurANe saromAhAtmye sapmaH aDyAyaH
   lomaharṣaṇa uvāca /	loma-harzaNaH uvAca /
   nisteso 'surān dṛṣṭavā samastānasureśvaraḥ /	nistesaH asurAn dRzwavA samastAn-asura-ISvaraH /
   prahlādamatha papraccha balirātmapitāmaham // VamPSm_8.1 //	prahlAdam-aTa papracCa baliH-Atma-pitAmaham // VamPSm_8.1 //
   baliruvāca	baliH-uvAca
   tāta nistejaso daityā nirdagdhā iva vahninā /	tAta nistejasaH dEtyAH nirdagDAH iva vahninA /
   kimete sahasaivādya brahmadaṇḍahatā iva // VamPSm_8.2 //	kim-ete sahasA-eva-adya brahmadaNxa-hatAH iva // VamPSm_8.2 //
   duriṣṭaṃ kiṃ tu daityānāṃ ki kṛtyā vidhinirmitā /	durizwam kim tu dEtyAnAm ki kRtyA viDi-nirmitAH /
   nāśāyaiṣāṃ samudbhutā yena nistejaso 'surāḥ // VamPSm_8.3 //	nASAya-ezAm samudButAH yena nistejasaH asurAH // VamPSm_8.3 //
   lomaharṣaṇa uvāca	lomaharzaNaH uvAca
   ityasuravarastena pṛṣṭaḥ pautreṇa brāhmaṇāḥ /	iti-asura-varaH-tena pRzwaH pOtreNa brAhmaNAH /
   ciraṃ dhyātvā jagādedamasuraṃ taṃ tadā balim // VamPSm_8.4 //	ciram DyAtvA jagAda-idam-asuram tam tadA balim // VamPSm_8.4 //
   prahlāda uvāca	prahlAdaH uvAca
   calanti girayo bhīmirjahāti sahasā dhatim /	calanti girayaH BImiH-jahAti sahasA Datim /
   sadyaḥ samudrāḥ kṣubhitā daityā nistejasaḥ kṛtāḥ // VamPSm_8.5 //	sadyas samudrAH kzuBitAH dEtyAH nistejasaH kRtAH // VamPSm_8.5 //
   sūryodaye yathā pūrvaṃ tathā gacchanti na grahāḥ /	sUrya-udaye yaTA pUrvam taTA gacCanti na grahAH /
   devānāṃ ca parā lakṣmīḥ karaṇenānumīyate // VamPSm_8.6 //	devAnAm ca parA lakzmIH karaNena-anumIyate // VamPSm_8.6 //
   mahadetanmahābāho kāraṇaṃ dānaveśvara /	mahat-etat-mahA-bAho kAraNam dAnava-ISvara /
   na hyalpamiti mantavyaṃ tvayā kāryaṃ kathañcana // VamPSm_8.7 //	na hi-alpam-iti mantavyam tvayA kAryam kaTaQcana // VamPSm_8.7 //
   lomaharṣaṇa uvāca	lomaharzaNaH uvAca
   ityuktvā dānavapatiṃ prahlādaḥ so 'surottamaḥ /	iti-uktvA dAnava-patim prahlAdaH saH asura-uttamaH /
   atyarthabhakto deveśaṃ jagāma manasā harim // VamPSm_8.8 //	atyarTa-BaktaH deveSam jagAma manasA harim // VamPSm_8.8 //
   sa dhyānapathagaṃ kṛtvā prahlādaśca mano 'suraḥ /	sa DyAna-paTa-gam kRtvA prahlAdaH-ca manaH asuraH /
