   śrīgaṇādhipataye namaḥ /	SrI gaNADipataye namaH /
   purā māṃ garuḍaḥ pakṣī tapasārādhayadbhuvi /	purA mAm garuxaH pakzI tapasA ArADayat Buvi /
   tuṣṭa ūce varaṃ brūhi matto vavre varaṃ sa tu // GarP_1,2.49 //	tuzwaH Uce varam brUhi mattaH vavre varam sa tu // GarP_1,2.49 //
   garuḍa uvāca /	garuxaH uvAca /
   mama mātā ca vinatā nāgairdāsīkṛtā hare /	mama mAtA ca vinatA nAgEH dAsIkRtA hare /
   yathāhaṃ deva tāñjitvā cāmṛtaṃ hyānayāmi tat // GarP_1,2.50 //	yaTA aham deva tAn jitvA ca amRtam hi AnayAmi tat // GarP_1,2.50 //
   dāsyādvimokṣayiṣyāmi yathāhaṃ vāhanastava /	dAsyAt vimokzayizyAmi yaTA aham vAhanaH tava /
   mahābalo mahāvīryaḥ sarvajño nāgadāraṇaḥ // GarP_1,2.51 //	mahA balaH mahA vIryaH sarvajQaH nAga dAraNaH // GarP_1,2.51 //
   purāṇasaṃhitākartā yathāhaṃ syāṃ tathā kuruṃ /	purANa saMhitA kartA yaTA aham syAm taTA kurum /
   viṣṇuruvāca /	vizNuH uvAca /
   yathā tvayoktaṃ garuḍa tathā sarvaṃ bhaviṣyati // GarP_1,2.52 //	yaTA tvayA uktam garuxa taTA sarvam Bavizyati // GarP_1,2.52 //
   nāgadāsyānmātaraṃ tvaṃ vinatāṃ mokṣayiṣyasi /	nAgadAsyAt mAtaram tvam vinatAm mokzayizyasi /
   devādīnsakalāñjitvā cāmṛtaṃ hyānayiṣyasi // GarP_1,2.53 //	deva AdIn sakalAn jitvA ca amRtam hi Anayizyasi // GarP_1,2.53 //
   mahābalo vāhanastvaṃ bhaviṣyasi viṣārdanaḥ /	mahA balaH vAhanaH tvam Bavizyasi viza ardanaH /
   purāṇaṃ matprasādācca mama māhātmyavācakam // GarP_1,2.54 //	purANam mad prasAdAt ca mama mAhAtmya vAcakam // GarP_1,2.54 //
   yaduktaṃ matsvarūpaṃ ca tava cāvirbhaviṣyati /	yat uktam mad svarUpam ca tava ca AvirBavizyati /
   gāruḍaṃ tava nāmnā talloke khyātiṃ gamiṣyati // GarP_1,2.55 //	gAruxam tava nAmnA tat loke KyAtim gamizyati // GarP_1,2.55 //
   yathāhaṃ devadevānāṃ śrīḥ khyāto vinatāsuta /	yaTA aham deva devAnAm SrIH KyAtaH vinatA sutaH /
   tathā khyātiṃ purāṇeṣu gāruḍaṃ gāruḍaiṣyati // GarP_1,2.56 //	taTA KyAtim purANezu gAruxam gAruxa ezyati // GarP_1,2.56 //
   yathāhaṃ kīrtanīyo 'tha tathā tvaṃ garuḍātmanā /	yaTA aham kIrtanIyaH aTa taTA tvam garuxa AtmanA /
   māṃ dhyātvā pakṣimukhyedaṃ purāṇaṃ gada gāruḍam // GarP_1,2.57 //	mAm DyAtvA pakzi muKya idam purANam gada gAruxam // GarP_1,2.57 //
   ityukto garuḍo rudra ! kaśyapāyāha pṛcchate /	iti uktaH garuxaH rudraH ! kaSyapAya Aha pRcCate /
   kaśyapo gāruḍaṃ śrutvā vṛkṣaṃ dagdhamajīvayat // GarP_1,2.58 //	kaSyapaH gAruxam SrutvA vRkzam dagDam ajIvayat // GarP_1,2.58 //
   svayaṃ cānyamanā bhūtvā vidyayānyānya jīvayat /	svayam ca anya manAH BUtvA vidyayA anyAnya jIvayat /
   yakṣi oṃuṃsvāhājāpī vidyayaṃ gāruḍī parā /	yakzi oMuMsvAhA jApI vidyayam gAruxI parA /
   garuḍoktaṃ gāruḍaṃ hi śṛṇu rudra ! madātmakam // GarP_1,2.59 //	garuxa uktam gAruxam hi SRNu rudra ! mad Atmakam // GarP_1,2.59 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   śrīgaruḍamahāpurāṇotpattinirūpaṇaṃ nāma dvitīyo 'dhyāyaḥ	SrIgaruxamahApurANotpattinirUpaNam nAma dvitIyaH aDyAyaH
   śrīgaruḍamahāpurāṇam  3	SrI garuxa mahApurANam 3
   sūta uvāca /	sUtaH uvAca /
   iti rudrābjajo viṣṇoḥ śuśrāva brahmaṇo muniḥ /	iti rudra abja jaH vizNoH SuSrAva brahmaNaH muniH /
   vyāso vyāsādahaṃ vakṣyehaṃ te śaunaka naimiṣe // GarP_1,3.1 //	vyAsaH vyAsAt aham vakzya Iham te SOnaka nEmize // GarP_1,3.1 //
   munīnāṃ śṛṇvatāṃ madhye sargādyaṃ devapūjanam /	munInAm SRNvatAm maDye sarga Adyam deva pUjanam /
   tīrthaṃ bhuvanakośaṃ ca manvantaramihocyate // GarP_1,3.2 //	tIrTam Buvana koSam ca manvantaram iha ucyate // GarP_1,3.2 //
   varṇāśramādidharmāśca dānarājādidharmakāḥ /	varNa ASrama Adi DarmAH ca dAna rAja Adi DarmakAH /
   vyavahāro vrataṃ vaṃśā vaidyakaṃ sanidānakam // GarP_1,3.3 //	vyavahAraH vratam vaMSAH vEdyakam sa nidAnakam // GarP_1,3.3 //
   aṅgāni pralayo dharmakāmārthajñānamuttamam /	aFgAni pralayaH Darma kAma arTa jQAnam uttamam /
   saprapañcaṃ niṣprapañcaṃ kṛtaṃ viṣṇornigadyate // GarP_1,3.4 //	sa prapaQcam nizprapaQcam kRtam vizNoH nigadyate // GarP_1,3.4 //
   purāṇe gāruḍe sarvaṃ garuḍo bhagavānatha /	purANe gAruxe sarvam garuxaH BagavAn aTa /
   vāsudevaprasādena sāmarthyātiśayairyutaḥ // GarP_1,3.5 //	vAsudeva prasAdena sAmarTya atiSayEH yutaH // GarP_1,3.5 //
   bhutvā harervāhanaṃ ca sargādīnāṃ ca kāraṇam /	ButvA hareH vAhanam ca sarga AdInAm ca kAraNam /
   devānvijitya garuḍo hyamṛtāharaṇaṃ tathā // GarP_1,3.6 //	devAn vijitya garuxaH hi amRta AharaNam taTA // GarP_1,3.6 //
   cakre kṣudhā hṛtaṃ yasya brahmāṇḍamudare hareḥ /	cakre kzuDA hRtam yasya brahmANxam udare hareH /
   yaṃ dṛṣṭvā smṛtamātreṇa nāgāndīnāṃ ca saṃkṣayaḥ // GarP_1,3.7 //	yam dRzwvA smRta mAtreNa nAgAn dInAm ca saMkzayaH // GarP_1,3.7 //
   kaśyapo gāruḍādvṛkṣaṃ dagdhaṃ cājīvayadyataḥ /	kaSyapaH gAruxAt vRkzam dagDam ca ajIvayat yatas /
   garuḍaḥ sa haristena proktaṃ śrīkaśyapāya ca // GarP_1,3.8 //	garuxaH sa hariH tena proktam SrI kaSyapAya ca // GarP_1,3.8 //
   tacchrīmadrāruḍaṃ puṇyaṃ sarvadaṃ paṭhatastava /	tat SrImadrAruxam puNyam sarva dam paWataH tava /
   vakṣye vyāsaṃ namaskṛtya śṛṇu śaunaka tadyathā // GarP_1,3.9 //	vakzye vyAsam namaskRtya SRNu SOnaka tat yaTA // GarP_1,3.9 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   viṣayanirūpaṇaṃ nāma tṛtīyo 'dhyāyaḥ	vizayanirUpaNam nAma tRtIyaH aDyAyaH
   śrīgaruḍamahāpurāṇam  4	SrI garuxa mahApurANam 4
   rudra uvāca /	rudraH uvAca /
   sargaśca pratisargaśca vaṃśo manvantarāṇi ca /	sargaH ca pratisargaH ca vaMSaH manvantarANi ca /
   vaṃśānucaritaṃ caiva etad brūhi janārdana // GarP_1,4.1 //	vaMSAnucaritam ca eva etat brUhi janArdana // GarP_1,4.1 //
   hariruvāca /	hariH uvAca /
   śṛṇu rudra pravakṣyāmi sargādīnpāpanāśanām /	SRNu rudra pravakzyAmi sarga AdIn pApa nASanAm /
   sargasthitilayāntāṃ tāṃ viṣṇoḥ krīḍāṃ purātanīm // GarP_1,4.2 //	sarga sTiti laya antAm tAm vizNoH krIxAm purAtanIm // GarP_1,4.2 //
   naranārāyaṇo devo vāsudevo nirañjanaḥ /	nara nArAyaNaH devaH vAsudevaH niraQjanaH /
   paramātmā paraṃ brahma jagajjanilayādikṛt // GarP_1,4.3 //	paramAtmA param brahma jagat jani laya Adi kRt // GarP_1,4.3 //
   tadetatsarvamevaitavdyaktāvyaktasvarūpavat /	tat etat sarvam eva etavdyakta avyakta svarUpa vat /
   tathā puruṣarūpeṇa kālarūpeṇa ca sthitam // GarP_1,4.4 //	taTA puruza rUpeNa kAla rUpeNa ca sTitam // GarP_1,4.4 //
   vyaktaṃ viṣṇustathāvyaktaṃ puruṣaḥ kāla eva ca /	vyaktam vizNuH taTA avyaktam puruzaH kAlaH eva ca /
   krīḍato bālakasyeva ceṣṭāstasya niśāmaya // GarP_1,4.5 //	krIxataH bAlakasya iva cezwAH tasya niSAmayaH // GarP_1,4.5 //
   anādinidhano dhātā tvanantaḥ puruṣottamaḥ /	anAdi niDanaH DAtA tu anantaH puruzottamaH /
   tasmādbhavati cāvyaktaṃ tasmādātmāpi jāyate // GarP_1,4.6 //	tasmAt Bavati ca avyaktam tasmAt AtmA api jAyate // GarP_1,4.6 //
   tasmāhuddhirmanastasmāttataḥ khaṃ pavana stataḥ /	tasmAhudDiH manaH tasmAt tatas Kam pavana stataH /
   tasmāttejastatastvāpastato bhūmistato 'bhavat // GarP_1,4.7 //	tasmAt tejaH tatas tu ApaH tatas BUmiH tatas aBavat // GarP_1,4.7 //
   aṇḍo hiraṇmayo rudra tasyāntaḥ svayameva hi /	aNxaH hiraNmayaH rudra tasya antar svayam eva hi /
   śarīragrahaṇaṃ pūrvaṃ sṛṣṭyarthaṃ kurute prabhuḥ // GarP_1,4.8 //	SarIra grahaNam pUrvam sRzwi arTam kurute praBuH // GarP_1,4.8 //
   brahmā caturmukho bhūtvā rajomātrādhikaḥ sadā /	brahmA caturmuKaH BUtvA rajaH mAtra aDikaH sadA /
   śarīragrahaṇaṃ kṛtvāsṛjadetaccarācaram // GarP_1,4.9 //	SarIra grahaNam kRtvA asRjat etat carAcaram // GarP_1,4.9 //
   aṇḍasyāntarjagatsarvaṃ sadevāsuramānuṣam /	aNxasya antar jagat sarvam sa deva asura mAnuzam /
   sraṣṭā sṛjati cātmānaṃ viṣṇuḥ pālyaṃ ca pāti ca // GarP_1,4.10 //	srazwA sRjati ca AtmAnam vizNuH pAlyam ca pAti ca // GarP_1,4.10 //
   apasaṃhriyate cānte saṃhartā ca svayaṃ hara /	apasaMhriyate ca ante saMhartA ca svayam hara /
   brahmā bhūtvāsṛjadviṣṇurjagatpāti hariḥ svayam // GarP_1,4.11 //	brahmA BUtvA asRjat vizNuH jagat pAti hariH svayam // GarP_1,4.11 //
   rudrarūpī ca kalpānte jagatsaṃharate 'khilam /	rudra rUpI ca kalpa ante jagat saMharate aKilam /
   brahmā tu sṛṣṭikāle 'smiñjamadhyagatāṃ mahīm // GarP_1,4.12 //	brahmA tu sRzwi kAle asmin ja maDya gatAm mahIm // GarP_1,4.12 //
   daṃṣṭūyoddharati jñātvā vārahīmāsthitastanūm /	daMzwUya udDarati jQAtvA vAra hIm AsTitaH tanUm /
   devādisargānvakṣye 'haṃ saṃkṣepācchṛṇu śaṅkara ! // GarP_1,4.13 //	deva Adi sargAn vakzye aham saMkzepAt SRNu SaFkara ! // GarP_1,4.13 //
   (1)prathamo mahataḥ sargo virūpo brahmaṇastu saḥ /	(1)praTamaH mahataH sargaH virUpaH brahmaNaH tu saH /
   (2) nanmātrāṇāṃ dvitīyastu bhūtasargo hi sa smṛtaḥ // GarP_1,4.14 //	(2) nanmAtrANAm dvitIyaH tu BUta sargaH hi sa smRtaH // GarP_1,4.14 //
   (3)vaikārikastṛtīyastu sargastvaindriyakaḥ smṛtaḥ /	(3)vEkArikaH tRtIyaH tu sargaH tu EndriyakaH smRtaH /
   ityeṣa prākṛtaḥ sargaḥ sambhūto buddhipūrvakaḥ // GarP_1,4.15 //	iti eza prAkRtaH sargaH samBUtaH budDi pUrvakaH // GarP_1,4.15 //
   (4)mukhyasargaścaturthastu mukhyā vai sthāvarāḥ smṛtāḥ /	(4) muKya sargaH caturTaH tu muKyAH vE sTAvarAH smRtAH /
   (5)tiryaksrotāstu yaḥ proktastiryagyonyaḥ sa ucyate // GarP_1,4.16 //	(5)tiryaksrotAH tu yaH proktaH tiryagyonyaH saH ucyate // GarP_1,4.16 //
   (6) tadūrdhvastotasāṃ ṣaṣṭho devasargastu sa smṛtaḥ /	(6) tad UrDva stotasAm zazWaH deva sargaH tu sa smRtaH /
   (7) tator'vāksrotasāṃ sargaḥ saptamaḥ sa tu mā nuṣaḥ // GarP_1,4.17 //	(7) tator avAksrotasAm sargaH saptamaH sa tu mA nuzaH // GarP_1,4.17 //
   (8)aṣṭamo 'nugrahaḥ sargaḥ sāttvikastāmasastu saḥ /	(8)azwamaH anugrahaH sargaH sAttvikaH tAmasaH tu saH /
   pañcaite vaikṛtāḥ sargāḥ prākṛtāstu trayaḥ smṛtāḥ // GarP_1,4.18 //	paQca ete vEkRtAH sargAH prAkRtAH tu trayaH smRtAH // GarP_1,4.18 //
   prākṛto vaikṛtaścāpi (9) kaumāro navamaḥ smṛtaḥ /	prAkRtaH vEkRtaH ca api (9) kOmAraH navamaH smRtaH /
   sthāvarāntāḥ surādyāstu prajā rudra ! caturvidhāḥ // GarP_1,4.19 //	sTAvara antAH sura AdyAH tu prajAH rudraH ! caturviDAH // GarP_1,4.19 //
   brahmaṇaḥ kurvataḥ sṛṣṭiṃ jajñire mānasāḥ sutāḥ /	brahmaNaH kurvataH sRzwim jajQire mAnasAH sutAH /
   tato devāsurapitṝnmānuṣāṃśca catuṣṭayam // GarP_1,4.20 //	tatas deva asura pitLn mAnuzAn= ca catuzwayam // GarP_1,4.20 //
   sisṛkṣurambhāṃsyetāni svamātmānamayūyujat /	sisRkzuH amBAMsi etAni svam AtmAnam ayUyujat /
   vyaktātmanastamomātrādudriktāstatprajāpateḥ // GarP_1,4.21 //	vyakta AtmanaH tamaH mAtrAt udriktAH tad prajApateH // GarP_1,4.21 //
   sisṛkṣerjaghanātpūrvamasurā jajñire tataḥ /	sisRkzeH jaGanAt pUrvam asurAH jajQire tatas /
   utsasarja tatastāṃ tu tamomātrātmikāṃ tanūm // GarP_1,4.22 //	utsasarja tatas tAm tu tamaH mAtra AtmikAm tanUm // GarP_1,4.22 //
   tamomātrā tanustyaktā śaṅkarābhūdvibhāvarī /	tamaH mAtrA tanuH tyaktA SaFkara aBUt viBAvarI /
   yakṣopakṣāṃsi taddehe prītimāpustataḥ surāḥ // GarP_1,4.23 //	yakzaH pakzAMsi tad dehe prItim ApuH tatas surAH // GarP_1,4.23 //
   sattvodriktāstu mukhataḥ saṃbhūtā brahmaṇo hara ! /	sattva udriktAH tu muKataH saMBUtAH brahmaNaH hara ! /
   sattvaprāyā tanustena santyaktā sāpyabhūddinam // GarP_1,4.24 //	sattva prAyA tanuH tena santi aktA sA api aBUt dinam // GarP_1,4.24 //
   tato hi balino rātrāvasurā devatā divā /	tatas hi balinaH rAtrO= asurAH devatAH divA /
   sattvamātrāṃ tanuṃ gṛhya pitaraśca tato 'bhavan // GarP_1,4.25 //	sattva mAtrAm tanum gRhya pitaraH ca tatas aBavan // GarP_1,4.25 //
   sā cotsṛṣṭābhavatsandhyā dinanaktāntarasthitiḥ /	sA ca utsRzwA aBavat sanDyA dina nakta antara sTitiH /
   rajomātrāṃ tanuṃ gṛhya manuṣyāstvabhavaṃstataḥ // GarP_1,4.26 //	rajaH mAtrAm tanum gRhya manuzyAH tu aBavan= tatas // GarP_1,4.26 //
   sā tyaktā cābhavajjyotsnā prāksandhyā yābhidhīyate /	sA tyaktA ca aBavat jyotsnA prAc sanDyA yA aBiDIyate /
   jyotsnā rātryahanī sandhyā śarīrāṇi tu tasya vai // GarP_1,4.27 //	jyotsnA rAtrI ahanI sanDyA SarIrANi tu tasya vE // GarP_1,4.27 //
   rajomātrāṃ tanu gṛhya kṣudabhūtkopa eva ca /	rajaH mAtrAm tanu gRhya kzuD aBUt kopaH eva ca /
   kṣuttṛṭkṣāmā amṛgbhakṣā rākṣasā rakṣaṇācca ye // GarP_1,4.28 //	kzut tRz kzAmA amRgBakzAH rAkzasAH rakzaNAt ca ye // GarP_1,4.28 //
   yakṣākhyā jakṣaṇājjñeyāḥ sarpā vai keśasarpaṇāt /	yakza AKyAH jakzaNAt jQeyAH sarpAH vE keSa sarpaNAt /
   jātāḥ kopena bhūtāste gandharvā jajñire tataḥ // GarP_1,4.29 //	jAtAH kopena BUtAH te ganDarvAH jajQire tatas // GarP_1,4.29 //
   gāyanto jajñire vācaṃ gandharvāpsarasaśca ye /	gAyantaH jajQire vAcam ganDarva apsarasaH ca ye /
   svargaṃ dyaurvakṣasaścakre sukhato 'jāḥ sa muṣṭavān // GarP_1,4.30 //	svargam dyOH vakzasaH cakre suKataH ajAH sa muzwavAn // GarP_1,4.30 //
   sṛṣṭavānudarādrāśca pārśvābhyāṃ ca prajāpatiḥ /	sRzwavAn udarAdrAH ca pArSvAByAm ca prajApatiH /
   padybhāṃ caivāntyamātaṅgānmahiṣoṣṭrāvikāṃstathā // GarP_1,4.31 //	padyBAm ca eva antya mAtaFgAn mahiza uzwra AvikAn= taTA // GarP_1,4.31 //
   opadhyaḥ phalamūlinyo romabhyastasya jajñire /	opaDyaH Pala mUlinyaH romaByaH tasya jajQire /
   gaurajaḥ puruṣo medhyo hyaśvāśvataragardabhāḥ // GarP_1,4.32 //	gOH ajaH puruzaH meDyaH hi aSva aSvatara gardaBAH // GarP_1,4.32 //
   etān grāmyānpaśūnprāhurāraṇyāṃśca nibodha me /	etAn grAmyAn paSUn prAhuH AraNyAn= ca niboDa me /
   śvāpadaṃ dvikhuraṃ hastivānarāḥ pakṣipañcamāḥ // GarP_1,4.33 //	SvApadam dvi Kuram hasti vAnarAH pakzi paQcamAH // GarP_1,4.33 //
   audakāḥ paśavaḥ ṣaṣṭhāḥ saptamāśca sarīsṛpāḥ /	OdakAH paSavaH zazWAH saptamAH ca sarIsRpAH /
   pūrvādibhyo mukhebhyastu ṛgvedādyāḥ prajajñire // GarP_1,4.34 //	pUrva AdiByaH muKeByaH tu Rgveda AdyAH prajajQire // GarP_1,4.34 //
   āsyādvai brāhmaṇā jātā bāhubhyāṃ kṣattriyāḥ smṛtāḥ /	AsyAt vE brAhmaNAH jAtAH bAhuByAm kzattriyAH smRtAH /
   ūrubhyāṃ tu viśaḥ sṛṣṭāḥ śūdraḥ padybhāma jāyata // GarP_1,4.35 //	UruByAm tu viSaH sRzwAH SUdraH padi BAma jAyata // GarP_1,4.35 //
   brahmaloko brāhmaṇānāṃ śākraḥ kṣattriyajanmanām /	brahma lokaH brAhmaNAnAm SAkraH kzattriya janmanAm /
   mārutaṃ ca viśāṃ sthānaṃ gāndharvaṃ śūdrajanmanām // GarP_1,4.36 //	mArutam ca viSAm sTAnam gAnDarvam SUdra janmanAm // GarP_1,4.36 //
   brahmacārivratasthānāṃ brahmalokaḥ prajāyate /	brahmacAri vrata sTAnAm brahma lokaH prajAyate /
   prājāpatyaṃ gṛhasthānāṃ yathāvihitakāriṇām // GarP_1,4.37 //	prAjApatyam gRhasTAnAm yaTA vihita kAriNAm // GarP_1,4.37 //
   sthānaṃ saptaṛṣīṇāṃ ca tathaiva vanavāsinām /	sTAnam sapta RzINAm ca taTA eva vana vAsinAm /
   yatīnāmakṣayaṃ sthānaṃ yadṛcchāgāmināṃ sadā // GarP_1,4.38 //	yatInAm akzayam sTAnam yadRcCA gAminAm sadA // GarP_1,4.38 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   sṛṣṭivarṇanaṃ nāma caturtho 'dhyāyaḥ	sRzwivarNanam nAma caturTaH aDyAyaH
   śrīgaruḍamahāpurāṇam  5	SrI garuxa mahApurANam 5
   iriruvāca /	iriH uvAca /
   kṛtvehāmutrasaṃsthānaṃ prajāsargaṃ tu mānasam /	kRtvA iha amutra saMsTAnam prajA sargam tu mAnasam /
   athāmṛjatprajākartṝnbhānasāṃstanayānprabhuḥ // GarP_1,5.1 //	aTa amRjat prajA kartLn BAnasAn= tanayAn praBuH // GarP_1,5.1 //
   dharmaṃ rudraṃ manuṃ caiva sanakaṃ ca sanātanam /	Darmam rudram manum ca eva sanakam ca sanAtanam /
   bhṛguṃ sanatkumāraṃ ca ruciṃ śraddhāṃ tathaiva ca // GarP_1,5.2 //	BRgum sanatkumAram ca rucim SradDAm taTA eva ca // GarP_1,5.2 //
   marīcimatryaṅgirasau pulastyaṃ pulahaṃ kratum /	marIcim atri aFgirasO pulastyam pulaham kratum /
   vasiṣṭhaṃ nāradaṃ caiva pitṝnbarhiṣadastathā // GarP_1,5.3 //	vasizWam nAradam ca eva pitLn barhizadaH taTA // GarP_1,5.3 //
   agniṣvāttāṃśca kavyādānājyapāṃśca sukālinaḥ /	agnizvAttAn= ca kavya AdAn AjyapAn= ca sukAlinaH /
   upahūtāṃstathā dīpyāṃ (prā) strīṃśca mūrtivivarjitān // GarP_1,5.4 //	upahUtAn= taTA dIpyAm (prA) strIn= ca mUrti vivarjitAn // GarP_1,5.4 //
   caturo mūrtiyuktāṃśca aṅguṣṭhāddakṣamīśvaram /	caturaH mUrti yuktAn= ca aFguzWAt dakzam ISvaram /
   vāmāṃ guṣṭhāttasya bhāryāmasṛjatpadmasambhavaḥ // GarP_1,5.5 //	vAmAm guzWAt tasya BAryAm asRjat padma samBavaH // GarP_1,5.5 //
   tasyāṃ tu janayāmāsa dakṣo duhitaraḥ śubhāḥ /	tasyAm tu janayAmAsa dakzaH duhitaraH SuBAH /
   dadau tā brahmaputrebhyaḥ satīṃ rudrāya dattavān // GarP_1,5.6 //	dadO tAH brahma putreByaH satIm rudrAya dattavAn // GarP_1,5.6 //
   rudra putrā babhūvurhi asaṃkhyātā mahābalāḥ /	rudra putrAH baBUvuH hi asaMKyAtAH mahA balAH /
   bhṛgave ca dadau khyātiṃ rūpeṇāpratimāṃ śubhām // GarP_1,5.7 //	BRgave ca dadO KyAtim rUpeNa apratimAm SuBAm // GarP_1,5.7 //
   bhṛgordhātāvidhātārau janayāmāsa sā śubhā /	BRgoH DAtA viDAtArO janayAmAsa sA SuBA /
   śriyaṃ ca janayāmāsa patnī nārāyaṇasya yā // GarP_1,5.8 //	Sriyam ca janayAmAsa patnI nArAyaNasya yA // GarP_1,5.8 //
   tasyāṃ vai janayāmāsa balonmādau hariḥ svayam /	tasyAm vE janayAmAsa bala unmAdO hariH svayam /
   āyatirniyatiścaiva manoḥ kanye mahātmanaḥ // GarP_1,5.9 //	AyatiH niyatiH ca eva manoH kanye mahAtmanaH // GarP_1,5.9 //
   dhātāvidhātroste bhārye tayorjātau sutāvubhau /	DAtAviDAtroH te BArye tayoH jAtO sutO= uBO /
   prāṇaścaiva mṛkaṇḍuśca mārkaṇḍeyo mṛkaṇḍutaḥ // GarP_1,5.10 //	prANaH ca eva mRkaNxuH ca mArkaNxeyaH mRkaNxutaH // GarP_1,5.10 //
   patni marīceḥ sambhūtiḥ paurṇamāsamasūyata /	patni marIceH samBUtiH pOrNamAsam asUyata /
   virajāḥ sarvagaścaiva tasya putrau mahātmanaḥ // GarP_1,5.11 //	virajAH sarvagaH ca eva tasya putrO mahAtmanaH // GarP_1,5.11 //
   smṛteścāṃṅgirasaḥ putrāḥ prasūtāḥ kanyakāstathā /	smRteH ca aMFgirasaH putrAH prasUtAH kanyakAH taTA /
   sinīvālī kuhūścaiva rākā cānumatistathā // GarP_1,5.12 //	sinIvAlI kuhUH ca eva rAkA ca anumatiH taTA // GarP_1,5.12 //
   anasūyā tathaivātrerjajñe putrānakalmaṣān /	anasUyA taTA eva atreH jajQe putrAn akalmazAn /
   somaṃ durvāsasaṃ caiva dattātreyaṃ ca yoginam // GarP_1,5.13 //	somam durvAsasam ca eva dattAtreyam ca yoginam // GarP_1,5.13 //
   prītyāṃ pulastyabhāryāyāṃ dattolistatsuto 'bhavat /	prItyAm pulastya BAryAyAm dattoliH tad sutaH aBavat /
   karṃmaśaścārthavīraśca sahiṣṇuśca sutatrayam // GarP_1,5.14 //	karMmaSas ca arTa vIraH ca sahizNuH ca suta trayam // GarP_1,5.14 //
   kṣamā tu suṣuve bhāryā pulahasya prijāpateḥ /	kzamA tu suzuve BAryA pulahasya prijApateH /
   kratośca sumatirbhāryā bālakhilyānasūyata // GarP_1,5.15 //	kratoH ca sumatiH BAryA bAlaKilya anasUyata // GarP_1,5.15 //
   ṣaṣṭiryāni sahasrāṇi ṛṣīṇāmūrdharetasām /	zazwiH yAni sahasrANi RzINA mUrDaretasAm /
   aṅguṣṭhaparvamātrāṇāṃ jvaladbhāskaravarcasām // GarP_1,5.16 //	aFguzWa parva mAtrANAm jvalat BAskara varcasAm // GarP_1,5.16 //
   ūrjāyāṃ tu vasiṣṭasya saptājāyanta vai sutāḥ /	UrjAyAm tu vasizwasya sapta ajAyanta vE sutAH /
   rajogātrordhabāhuśca śaraṇaścānaghastathā // GarP_1,5.17 //	rajaH gAtra UrDa bAhuH ca SaraNaH ca anaGaH taTA // GarP_1,5.17 //
   sutapāḥ śukra ityete sarve saptarṣayo 'malāḥ /	sutapAH SukraH iti ete sarve saptarzayaH amalAH /
   svāhāṃ prādātsa dakṣo 'pi śaśarīrāya vahnaye // GarP_1,5.18 //	svAhAm prAdAt sa dakzaH api SaSarIrAya vahnaye // GarP_1,5.18 //
   tasmātsvāhā sutāṃllebhe trīnudāraujaso hara ! /	tasmAt svAhA sutAn= leBe trIn udAra ojasaH hara ! /
   phāvakaṃ pavamānaṃ ca śuciṃ cāpi jalāśinaḥ // GarP_1,5.19 //	PAvakam pavamAnam ca Sucim ca api jala ASinaH // GarP_1,5.19 //
   pitṛbhyaśca svadhā jajñe menāṃ vaitaraṇīṃ tathā /	pitRByaH ca svaDA jajQe menAm vEtaraNIm taTA /
   te ubhe brahmavādinyau menāyāṃ tu himācalaḥ // GarP_1,5.20 //	te uBe brahma vAdinyO menAyAm tu himAcalaH // GarP_1,5.20 //
   mainākaṃ janayāmāsa gaurīṃ pūrvaṃ tu yā satī /	mEnAkam janayAmAsa gOrIm pUrvam tu yA satI /
   tato brahmātmasambhūtaṃ pūrvaṃ svāyaṃbhuvaṃ prabhuḥ // GarP_1,5.21 //	tatas brahma Atma samBUtam pUrvam svAyaMBuvam praBuH // GarP_1,5.21 //
   ātmānameva kṛtavānprajāpālyaṃ manuṃ hara ! /	AtmAnam eva kRtavAn prajApAlyam manum hara ! /
   śatarūpāṃ ca tāṃ nārīṃ taponihatakalmaṣām // GarP_1,5.22 //	SatarUpAm ca tAm nArIm tapaH nihata kalmazAm // GarP_1,5.22 //
   svāyambhuvo manurdevaḥ patnitve jagṛhe vibhuḥ /	svAyamBuvaH manuH devaH patni tve jagRhe viBuH /
   tasmācca puruṣāddevī śatarūpā vyajāyata // GarP_1,5.23 //	tasmAt ca puruzAt devI SatarUpA vyajAyata // GarP_1,5.23 //
   priyavratottānapādau prasūtyākūtisaṃjñete /	priyavrata uttAnapAdO prasUti AkUti saMjQete /
   devahūtiṃ manustāsu ākūtiṃ rucaye dadau // GarP_1,5.24 //	devahUtim manuH tAsu AkUtim rucaye dadO // GarP_1,5.24 //
   prasūtiṃ caiva dakṣāya davahūtiṃ ca kardame /	prasUtim ca eva dakzAya davahUtim ca kardame /
