   Kāvyaprakāśaḥ	KAvya prakASaH
   avinābhāvo 'tra saṃbandhamātraṃ na tu nāntarīyakatvam / tattve hi {mañcāḥ	avinA aBAvaH atra saMbanDa mAtram na tu na antarIyaka tvam / tattve hi {maQcAH
   krośanti} ityādau na lakṣaṇā syāt /	kroSanti} ityAdO na lakzaNA syAt /
   avinābhāve cākṣepeṇaiva siddherlakṣaṇāyā nopayoga ityuktam /	avinA aBAve ca AkzepeNa eva sidDeH lakzaNAyAH na upayogaH iti uktam /
   {āyurdhṛtam} {āyurevedam} ityādau ca sādṛśyādanyat kāryakāraṇabhāvādi	{a AyuH DRtam} {AyuH eva idam} ityAdO ca sAdRSyAt anyat kArya kAraNa BAva Adi
   saṃbandhāntaram / evamādau ca kāryakāraṇabhāvādilakṣaṇapūrve	saMbanDa antaram / evamAdO ca kArya kAraNa BAva Adi lakzaNa pUrve
   āropādhyavasāne /	Ara upa aDi avasAne /
   atra gauṇabhedayorbhede 'pi tādrūpyapratītiḥ sarvathaivābhedāvagamaśca	atra gONa BedayoH Bede api tAdrUpya pratItiH sarvaTA eva aBeda avagamaH ca
   prayojanam / śuddhabhedayostvanyavailakṣaṇyenāvyabhicāreṇa ca	prayojanam / SudDa BedayoH tu anya vElakzaNyena avyaBicAreNa ca
   kāryakāritvādi /	kArya kAri tva Adi /
   kvacit tādarthyādupacāraḥ / yathā indrārthā sthūṇā indraḥ / kvacit	kvacid tAdarTyAt upacAraH / yaTA indra arTA sTUNA indraH / kvacid 
   svasvāmibhāvāt / yathā rājakīyaḥ puruṣo rājā / kvacit avayavāvayavibhāvāt	sva svAmi BAvAt / yaTA rAjakIyaH puruzaH rAjA / kvacid avayava avayavi BAvAt 
   / yathā agrahasta ityatrāgramātre 'vayave hastaḥ / kvacit tātkarmyāt /	/ yaTA agra haste iti atra agra mAtre avayave hastaH / kvacid tAtkarmyAt /
   yathā atakṣā takṣā //	yaTA atakzA takzA //
   ... lakṣaṇā tena ṣaḍvidhā // MKpr K_12 //	... lakzaNA tena zaxviDAH // MKpr K_12 //
   ādyabhedābhyāṃ saha //12//	Adya BedAByAm saha //12//
   sā ca	sA ca
   vyaṅgyena rahitā rūḍhau sahitā tu prayojane /	vyaFgyena rahitA rUXO sahitA tu prayojane /
   prayojanaṃ hi vyañjanavyāpāragamyameva //	prayojanam hi vyaQjana vyApAra gamyam eva //
   tacca gūḍhamagūḍhaṃ vā ...	tat ca gUXam agUXam vA ...
   tacceti vyaṅgyam / gūḍhaṃ yathā	tat ca iti vyaFgyam / gUXam yaTA
        {mukhaṃ vikasitasmitaṃ vaśitavakrima prekṣitaṃ	{muKam vikasita smitam vaSitava krima prekzitam
             samucchalitavibhramā gatirapāstasaṃsthā matiḥ /	samucCalita viBramA gatiH apa asta saMsTA matiH /
        uro mukulitastanaṃ jaghanamaṃsavandhoddhuraṃ	uraH mukulita stanam jaGanam aMsavanDa udDuram
             batenduvadanātanau taruṇimodgamo modate //9//}	bata indu vadana AtanO taruNima udgamaH modate //9//}
                       (Abhinavagupta's Dhvanyālokalocana)	(a aBinava gupta as Dhvani Aloka locana)
   agūḍhaṃ yathā	agUXam yaTA
        {śrīparicayājjaḍā api bhavantyabhijñā vidagdhacaritānām /	{SrI paricayAt jaxAH api Bavanti aBijQA vidagDa caritAnAm /
        upadiśati kāminīnāṃ yauvanamada eva lalitāni //10//}	upadiSati kAminInAm yOvana madaH eva lalitAni //10//}
                       (Vallabhadeva's Subhāṣitāvali)	(VallaBa deva as SuBa Azita Avali)
   atropadiśatīti //	atra upadiSati iti //
   ... tadeṣā kathitā tridhā // MKpr K_13 //	... tat ezA kaTitA triDA // MKpr K_13 //
   avyaṅgyā gūḍhavyaṅgyā agūḍhavyaṅgyā ca //13//	avyaFgyA gUXa vyaFgyAH agUXa vyaFgyA ca //13//
   tadbhūrlākṣiṇikas ...	tad BUH lAkziNikaH ...
   śabda iti saṃbadhyate / tadbhūstadāśrayaḥ //	SabdaH iti saMbaDyate / tat BUH tad ASrayaH //
   ... tatra vyāpāro vyañjanātmakaḥ /	... tatra vyApAraH vyaQjana AtmakaH /
   kuta ityāha	kutas iti Aha
   yasya pratītimādhātuṃ lakṣaṇā samupāsyate // MKpr K_14 //	yasya pratItim ADAtum lakzaNA samupAsyate // MKpr K_14 //
   phale śabdaikagamye 'tra vyañjanānnāparā kriyā /	Pale Sabda eka gamye atra vyaQjanAt na aparA kriyA /
   prayojanapratipipādayiṣayā yatra lakṣaṇayā śabdaprayogastatra	prayojana pratipipAt ayizayA yatra lakzaNayA Sabda prayogaH tatra
   nānyatastatpratītirapi tu tasmādeva śabdāt /	na anyatas tad pratItiH api tu tasmAt eva SabdAt /
   na cātra vyañjanādṛte 'nyo vyāpāraḥ //	na ca atra vyaQjanAt Rte anyaH vyApAraH //
   tathāhi	taTA hi
   nābhidhā samayābhāvāt ...	na aBiDA samaya aBAvAt ...
   gaṅgāyāṃ ghoṣa ityādau ye pāvanatvādayo dharmāstaṭādau pratīyante na tatra	gaFgAyAm GozaH ityAdO ye pAvana tva AdayaH DarmAH tawa AdO pratIyante na tatra
   gaṅgādiśabdāḥ saṃketitāḥ //	gaFgA Adi SabdAH saMketitAH //
   hetvabhāvānna lakṣaṇā // MKpr K_15 //	hetu aBAvAt na lakzaNAH // MKpr K_15 //
   mukhyārthabādhāditrayaṃ hetuḥ //15//	muKya arTa bADa Adi trayam hetuH //15//
   tathā ca	taTA ca
   lakṣyaṃ na mukhyaṃ nāpyatra bādho yogaḥ phalena no /	lakzyam na muKyam na api atra bADaH yogaH Palena naH /
   na prayojanametasmin na ca śabdaḥ skhaladgatiḥ // MKpr K_16 //	na prayojanam etasmin na ca SabdaH sKalat gatiH // MKpr K_16 //
   yathā gaṅgāśabdaḥ srotasi sabādha iti taṭaṃ lakṣayati tadvat yadi taṭe 'pi	yaTA gaFgA SabdaH srotasi sa bADaH iti tawam lakzayati tadvat yadi tawe api
   sabādhaḥ syāt tat prayojanaṃ lakṣayet /	sa bADaH syAt tat prayojanam lakzayet /
   na ca taṭaṃ mukhyo 'rthaḥ / nāpyatra bādhaḥ / na ca gaṅgāśabdārthasya	na ca tawam muKyaH arTaH / na api atra bADaH / na ca gaFgA Sabda arTasya
   taṭasya pāvanatvādyairlakṣaṇīyaiḥ saṃbandhaḥ / nāpi prayojane lakṣye	tawasya pAvana tva AdyEH lakzaNIyEH saMbanDaH / na api prayojane lakzye
   kiñcit prayojanam / nāpi gaṅgāśabdastaṭamiva prayojanaṃ	kiQcid prayojanam / na api gaFgA SabdaH tawam iva prayojanam
   pratipādayitumasamarthaḥ //16//	pratipAdayitum asamarTaH //16//
   evamapyanavasthā syād yā mūlakṣayakāriṇī /	evam api anavasTA syAt yA mUla kzaya kAriNI /
   evamapi prayojanaṃ cellakṣyate tat prayojanāntareṇeti tadapi	evam api prayojanam ced lakzyate tat prayojana antareNa iti tat api
   prayojanāntareṇeti prakṛtāpratītikṛt anavasthā bhavet //	prayojana antareNa iti prakRta apratIti kRt anavasTA Bavet //
   nanu pāvanatvādidharmayuktameva taṭaṃ lakṣyate / {gaṅgāyāstaṭe ghoṣaḥ}	nanu pAvana tva Adi Darma yuktam eva tawam lakzyate / {gaFgAyAH tawe GozaH}
   ityato 'dhikasyārthasya pratītiśca prayojanamiti viśiṣṭe lakṣaṇā tatkiṃ	iti atas aDikasya arTasya pratItiH ca prayojanam iti viSizwe lakzaNA tat kim
   vyañjanayetyāha	vyaQjanayA iti Aha
   prayojanena sahitaṃ lakṣaṇīyaṃ na yujyate // MKpr K_17 //	prayojanena sahitam lakzaNIyam na yujyate // MKpr K_17 //
   kuta ityāha	kutas iti Aha
   jñānasya viṣayo hyanyaḥ phalamanyadudāhṛtam /	jQAnasya vizayaH hi anyaH Palam anyat udAhRtam /
   pratyakṣādernīlādirviṣayaḥ phalaṃ tu prakṭatā saṃvittirvā //	pratyakza AdeH nIla AdiH vizayaH Palam tu prakwatA saMvittiH vA //
   viśiṣṭe lakṣaṇā naivaṃ ...	viSizwe lakzaNAH na evam ...
   vyākhyātam //	vyAKyAtam //
   ... viśeṣāḥ syustu lakṣite // MKpr K_18 //	... viSezAH syuH tu lakzite // MKpr K_18 //
   taṭādau viśeṣāḥ pāvanatvādayaste cābhidhātātparyalakṣaṇābhyo	tawa AdO viSezAH pAvana tva AdayaH te ca aBiDAtAt parya lakzaNa aByaH 
   vyāpārāntareṇa gamyāḥ / tacca	vyApAra antareNa gamyAH / tat ca
   vyañjanadhvananadyotanādiśabdavācyamavaśyameṣitavyam //18//	vyaQjana Dvananadyotana Adi Sabda vAcyam avaSyam ezitavyam //18//
   evaṃ lakṣaṇāmūlaṃ vyañjakatvamuktam // abhidhāmūlaṃ tvāha     	evam lakzaNA mUlam vyaQjaka tvam uktam // aBiDA mUlam tu Aha     
   anekārthasya śabdasya vācakatve niyantrite /	aneka arTasya Sabdasya vAcaka tve niyantrite /
   saṃyogādyairavācyārthadhīkṛdvyāpṛtirañjanam // MKpr K_19 //	saMyoga AdyEH avAcya arTa DI kRt vyApRti raQjanam // MKpr K_19 //
        {saṃyogo viprayogaśca sāhacaryaṃ virodhitā /	{saMyogaH viprayogaH ca sAhacaryam viroDitA /
        arthaḥ prakaraṇaṃ liṅgaṃ śabdasyānyasya saṃnidhiḥ //	arTaH prakaraNam liFgam Sabdasya anyasya saMniDiH //
        sāmarthyamaucitī deśaḥ kālo vyaktiḥ svarādayaḥ /	sAmarTyam OcitI deSaH kAlaH vyaktiH svara AdayaH /
        śabdārthasyānavacchede viśeṣasmṛtihetavaḥ //}	Sabda arTasya anavacCede viSeza smRti hetavaH //}
   ([Bhartṛhari, Vākyapadīya 2.315 316])	([BhartR hari, VAkyapadIyaH 2.315 316])
   ityuktadiśā	iti ukta diSA
   saśaṅkhacakro hariḥ aśaṅkhacakro harirityucyate / rāmalakṣmaṇāviti	sa SaFKa cakraH hariH aSaFKa cakraH hariH iti ucyate / rAma lakzmaNO= iti
   dāśarathau / rāmārjunagatistayoriti bhārgavakārtavīryayoḥ / sthāṇuṃ bhaja	dASaraTO / rAma arjuna gatiH tayoH iti BArgava kArtavIryayoH / sTANum Baja
   bhavacchide, iti hare / sarvaṃ jānāti deva iti yuṣmadarthe /	Bavat Cide, iti hare / sarvam jAnAti devaH iti yuzmad arTe /
   kupito makaradhvaja iti kāme / devasya purārāteriti śaṃbhau / madhunā	kupitaH makaraDvajaH iti kAme / devasya purArAteH iti SaMBO / maDunA
   mattaḥ kokila iti vasante / pātu vo dayitāmukhamiti sāṃmukhye / bhātyatra	mattaH kokile iti vasante / pAtu vaH dayitA muKam iti sAMmuKye / BAti atra
   parameśvara iti rājadhānīrūpāt deśādrājani / citrabhānurvibhātīti dine	parameSvaraH iti rAjaDAnI rUpAt deSAt rAjani / citraBAnuH viBAti iti dine
   ravau rātrau vahnau /	ravO rAtrO vahnO /
   mitraṃ bhātīti suhṛdi mitro bhātīti ravau / indraśatrurityādau vede eva na	mitram BAti iti suhRdi mitraH BAti iti ravO / indra SatruH iti AdO vede eva na
   kāvye svaro viṣeṣapratītikṛt /	kAvye svaraH vizeza pratIti kRt /
   ādigrahaṇāt	Adi grahaNAt 
        {eddahamettatthaṇiā eddahamettehi acchivattehiṃ /	{et dahamet tatTaNiA eddaham et tehi acCivat tehim /
        eddahamettāvatthā eddahamettehiṃ diaehiṃ //11//}	eddaham et tAvatTAH eddaham et tehim diaehim //11//}
        [etāvanmātrastankā etāvanmātrābhyāmakṣipatrābhyām /	[etAvat mAtraH tankAH etAvat mAtrAByAm akzi patrAByAm /
        etāvanmātrāvasthā etāvanmātrairdivasaiḥ //]	etAvat mAtrA avasTA etAvat mAtrEH divasEH //]
                       (Hāla's Gāthāsaptaśatī 973)	(HAla as GATA saptaSatI 973)
   ityādāvabhinayādayaḥ /	iti AdO= aBinaya AdayaH /
   itthaṃ saṃyogādibhirarthāntarābhidhāyakatve nivārite 'pyanekārthasya	itTam saMyoga AdiBiH arTa antara aBiDAyaka tve nivArite api aneka arTasya
   śabdasya yat kvacidarthāntarapratipādanaṃ tatra nābhidhā niyamanāttasyāḥ /	Sabdasya yat kvacid arTa antara pratipAdanam tatra na aBiDA niyamanAt tasyAH /
   na ca lakṣaṇā mukhyārthabādhādyabhāvāt / api tvañjanaṃ vyañjanameva	na ca lakzaNAH muKya arTa bADa Adi aBAvAt / api tu aQjanam vyaQjanam eva
   vyāpāraḥ / yathā	vyApAraH / yaTA
        {bhadrātmano duradhirohatanorviśāla	{Badra AtmanaH duraDiroha tanoH viSAla
             vaṃśonnateḥkṛtaśilīmukhavigrahasya /	vaMSa unnateH kRta SilImuKa vigrahasya /
        yasyānupaplutagateḥ paravāraṇasya	yasya anupapluta gateH para vAraNasya
             dānāmbusekasubhagaḥ satataṃ karobhūt //12//}	dAna ambu seka suBagaH satatam karoBUt //12//}
                       (Śivasvāmin's Kapphinābhyudaya 1.38)	(Śiva svAmin as KapPinA aByudaya 1.38)
   tadyukto vyañjakaḥ śabdo ...	tad yuktaH vyaQjakaH SabdaH ...
   tadyukto vyañjanayuktaḥ	tad yuktaH vyaQjana yuktaH
   ... yatso 'rthāntarayuk tathā /	... yat saH arTa antara yuj taTA /
   artho 'pi vyañjakastatra sahakāritayā mataḥ // MKpr K_20 //	arTaH api vyaQjakaH tatra sahakAritayA mataH // MKpr K_20 //
   tatheti vyañjakaḥ //20//	taTA iti vyaQjakaH //20//
   iti kāvyaprakāśe śabdārthasvarūpanirṇayo nāma dvitīya ullāsaḥ ||2||	iti kAvya prakASe SabdArTa svarUpanirNayaH nAma dvitIyaH ullAsaH ||2||
   tṛtīya ullāsaḥ	tRtIyaH ullAsaH
   arthāḥ proktāḥ purā teṣām ...	arTAH proktAH purA tezAm ...
   arthāḥ vācyalakṣyavyaṅgyāḥ / teṣāṃ vācakalākṣaṇikavyañjakānām //	arTAH vAcya lakzya vyaFgyAH / tezAm vAcakalAkzaNika vyaQjakAnAm //
   ... arhtavyañjakatocyate /	... arhta vyaQjaka tA ucyate /
   kīdṛśītyāha     	kIdRSI iti Aha     
   vaktṛboddhavyakākūnāṃ vākyavācyānyasannidheḥ // MKpr K_21 //	vaktR bA udDavyakAkUnAm vAkya vAcya ani asanniDeH // MKpr K_21 //
   prastāvadeśakālādervaiśiṣṭyāt pratibhājuṣām /	prastAva deSa kAla AdeH vESizwyAt pratiBAjuzAm /
   yo 'rthasyānyārthadhīheturvyāpāro vyaktireva sā // MKpr K_22 //	yaH arTasya anya arTa DI hetuH vyApAraH vyaktiH eva sA // MKpr K_22 //
   boddhavyaḥ pratipādyaḥ / kākurdhvanervikāraḥ / prastāvaḥ prakaraṇam /	bodDavyaH pratipAdyaH / kAkurDvaneH vikAraH / prastAvaH prakaraNam /
   arthasya vācyalakṣyavyaṅgyātmanaḥ /	arTasya vAcya lakzya vyaFgyAtmanaH /
   krameṇodāharaṇāni /	krameNa udAharaNAni /
        {a_ipihulaṃ jalakuṃbhaṃ ghettūṇa samāgadahmi sahi turi_aṃ /	{aH _ipihulam jalakuMBam GettUNa samAgada hmi sa hi turi_am /
        samase_asalilaṇīsāsaṇīsahā vīsamāmi khaṇaṃ //13//}	samase_asali laNI sa AsaNI sahA vIsamAmi KaNam //13//}
        [atipṛthulaṃ jalakumbhaṃ gṛhītvā samāgatāsmi sakhi tvaritam /	[ati pRTulam jala kumBam gRhItvA samAgatA asmi saKi tvaritam /
        śramasvedasalilaniḥśvāsaniḥsahā viśrāmyāmi kṣaṇam //]	Srama sveda salila niHSvAsa niHsahA viSrAmyAmi kzaNam //]
                       (Hāla's Gāthāsaptaśatī 989)	(HAla as GATA saptaSatI 989)
   atra cauryaratahopanaṃ gamyate /	atra cOrya rata hopanam gamyate /
        {oṇṇiddaṃ dobballaṃ cintā alasattaṇaṃ saṇīsasi_aṃ /	{oNNiddam dobballam cintA alasattaNam saNIsasi_am /
        maha mandabhā_iṇī_e keraṃ sahi tuha vi ahaha parihava_i //14//}	maha mandaBA_iNI_e keram sa hi tuha vi ahaha parihavaH _i //14//}
        [aunnidryaṃ daurbalyaṃ cintālasatvaṃ saniścasitam /	[Onnidryam dOrbalyam cintAla satvam sa niScasitam /
        mama mandabhāginyāḥ krṭe sakhi tvāmapyahaha paribhavati //]	mama mandaBAginyAH krwe saKi tvAm api ahaha pariBavati //]
                       (Hāla's Gāthāsaptaśatī 956)	(HAla as GATA saptaSatI 956)
   atra dūtyāstatkāmukopabhogo vyajyate /	atra dUtyAH tad kAmuka upaBogaH vyajyate /
        {tathābhūtāṃ dṛṣṭvā nṛpasadasi pāñcālatanayāṃ	{taTA BUtAm dRzwvA nRpa sadasi pAQcAla tanayAm
             vane vyādhaiḥ sārdhaṃ suciramuṣitaṃ valkaladharaiḥ /	vane vyADEH sArDam su cira muzitam valkala DarEH /
        virāṭasyāvāse sthitamanucitārambhanibhṛtaṃ	virAwasya AvAse sTitam anucita AramBa niBRtam
             guruḥ khedaṃ khinne mayi bhajati nādyāpi kuruṣu //15 [=220]//}	guruH Kedam Kinne mayi Bajati na adya api kuruzu //15 [=220]//}
                       (Bhaṭṭanārāyaṇa's Veṇīsaṃhāra 1.11)	(Bhawwa nArAyaNa as VeNI saMhAraH 1.11)
   atra mayi na yogyaḥ khedaḥ kuruṣu tu yogya iti kākvā prakāśyate /	atra mayi na yogyaH KedaH kuruzu tu yogyaH iti kA akvA prakASyate /
   na ca vācyasiddhyaṅgamatra kākuriti guṇībhūtavyaṅgyatvaṃ śaṅgyam /	na ca vAcya sidDi aFgam atra kAkuH iti guNIBUta vyaFgya tvam SaFgyam /
   praśnamātreṇāpi kākorviśrānteḥ /	praSna mAtreNa api kAkoH viSrAnteH /
        {ta_i_ā maha gaṇḍatthalaṇimiaṃ diṭṭhiṃ ṇa ṇesi aṇṇatto /	{taH _i_A maha gaNxatTa laNimiam diwWim Na Nesi aNNattaH /
        eṇhiṃ sacce_a ahaṃ te a kavālā ṇa sā diṭṭhī //16//}	eNhim sat ce_a aham te a kavAlA Na sA diwWI //16//}
        [tadā mama gaṇḍasthalanimagnāṃ dṛṣṭiṃ nānaiṣīratnyatra /	[tadA mama gaNxa sTala nimagnAm dRzwim na anEzI ratnyatra /
        idānīṃ saivāhaṃ tau ca kapolau na ca sā dṛṣṭiḥ //]	idAnIm sA eva aham tO ca kapolO na ca sA dRzwiH //]
                       (Hāla's Gāthāsaptaśatī 939)	(HAla as GATA saptaSatI 939)
   atra matsakhīṃ kapolapratibimbitāṃ paśyataste dṛṣṭiranyaivābhūt calitāyāṃ	atra mad saKIm kapola pratibimbitAm paSyataH te dRzwiH anyA eva aBUt calitAyAm
   tu tasyāmanyaiva jātetyaho pracchannakāmukatvaṃ te iti vyajyate /	tu tasyAm anyA eva jAtA iti aho pracCanna kAmuka tvam te iti vyajyate /
   {uddeśo 'yaṃ sarasakadalīśreṇiśobhātiśāyī	{uddeSaH ayam sarasa kadalI SreNi SoBa atiSAyI
   kuñjotkarṣāṅkuritaramaṇīvibhramo narmadāyāḥ /	kuQja utkarza aFkurita ramaNI viBramaH narmadAyAH /
   kiṃ caitasmin suratasuhṛdastanvi te vānti vātā	kim ca etasmin surata suhRdaH tanvi te vAnti vAtA
   yeṣāmagre sarati kalitākāṇḍakopo manobhūḥ //17//}	yezAm agre sarati kalitA kANxa kopaH manoBUH //17//}
                       (Kuntaka's Vakroktijīvita 1.93)	(Kuntaka as Vakrokti jIvitaH 1.93)
   atra ratārthaṃ praviśeti vyaṅgyam /	atra rata arTam praviSa iti vyaFgyam /
        {ṇolle_i aṇollamaṇā attā maṃ gharabharammi sa_alammi /	{NA ulle_i aNa ulla maNAH attAH mam GaraBarammi saH _alammi /
        khaṇamettaṃ ja_i saṃjhā_i ho_i ṇa va ho_i vīsāmo //18//}	KaNamet tam jaH _i saMJA_i ho_i Na va ho_i vIsAmaH //18//}
        [nudatyanārdramanāḥ śvaśrūrmāṃ gṛhabhare sakale /	[nudati anArdra manAH SvaSrUrmAm gRha Bare sakale /
        kṣaṇamātraṃ yadi saṃdhyāyāṃ bhavati na vā bhavati viśrāmaḥ //]	kzaNa mAtram yadi saMDyAyAm Bavati na vA Bavati viSrAmaH //]
                       (Hāla's Gāthāsaptaśatī 875)	(HAla as GATA saptaSatI 875)
   atra saṃdhyā saṃketakāla iti taṭasthaṃ prati kayāciddyotyate /	atra saMDyA saMketa kAlaH iti tawa sTam prati kayAcid dyotyate /
        {suvva_i samāgamissadi tujjha pi_o añjaṃ paharametteṇa /	{suvvaH _i samAgamissadi tujJa pi_aH aQjam paharamet teNa /
        eme a kitti ciṭṭhasi tā sahi sañjesu karaṇijjaṃ //19//}	eme a kitti ciwWasi tA sa hi saQjesu karaNijjam //19//}
        [śrūyate samāgamiṣyati tava priyo 'dya praharamātreṇa /	[SrUyate samAgamizyati tava priyaH adya prahara mAtreNa /
        evameva kimiti tiṣṭhasi tat sakhi sajjaya karaṇīyam //]	evam eva kim iti tizWasi tat saKi sajjaya karaNIyam //]
                       (Hāla's Gāthāsaptaśatī 962)	(HAla as GATA saptaSatI 962)
   atropapatiṃ pratyabhisartuṃ prastutā na yuktamiti kayācinnivāryate /	atra upapatim pratyaBisartum prastutA na yuktam iti kayAcid nivAryate /
        {anyatra yūyaṃ kusumāvacāyaṃ kurudhvamatrāsmi karomi sakhyaḥ /	{anyatra yUyam kusuma avacAyam kuruDvam atra asmi karomi saKyaH /
        nāhaṃ hi dūraṃ bhramituṃ samarthā prasīdatāyaṃ racitoñjalirvaḥ	na aham hi dUram Bramitum samarTA prasIdatA ayam racita uQjaliH vaH
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra vivikto 'yaṃ deśa iti pracchannakāmukastvayābhisāryatāmiti āśvastāṃ	atra viviktaH ayam deSaH iti pracCanna kAmukaH tvayA aBisAryatAm iti ASvastAm
   prati kayācinnivedyate /	prati kayAcid nivedyate /
        {guru_aṇaparavasa pi_a kiṃ bhaṇāmi tu_i mandabhāiṇī aha_aṃ /	{guru_aNa paravasa pi_a kim BaNAmi tu_i mandaBAiNI aha_am /
        ajja pavāsaṃ vaccasi vacca sa_aṃ jevva suṇasi karaṇijjaṃ //21//}	ajja pavAsam vaccasi vat ca sa_am jevva suNasi karaNijjam //21//}
        [gurujanaparavaśa priya kiṃ bhaṇāmi tava mandabhāginī ahakam /	[guru jana paravaSa priya kim BaNAmi tava mandaBAginI ahakam /
        adya pravāsaṃ vrajasi vraja svayameva śroṣyasi karaṇīyam //]	adya pravAsam vrajasi vraja svayam eva Srozyasi karaNIyam //]
                       (Hāla's Gāthāsaptaśatī 851)	(HAla as GATA saptaSatI 851)
   atrādya madhusamaye yadi vrajasi tadāhaṃ tāvat na bhavāmi	atra adya maDu samaye yadi vrajasi tadA aham tAvat na BavAmi
   tava tu na jānāmi gatimiti vyajyate / //	tava tu na jAnAmi gatim iti vyajyate / //
   ādigrahaṇācceṣṭādeḥ / tatra ceṣṭāyā yathā    	Adi grahaNAt cezwA AdeH / tatra cezwAyAH yaTA    
        {dvāropāntanirantare mayi tayā saundaryasāraśriyā	{dvAra upAnta nirantare mayi tayA sOndarya sAra SriyA
             prollāsyoruyugaṃ parasparasamāsaktaṃ samāsāditam /	prollAsya Uru yugam paraspara samAsaktam samAsAditam /
        ānītaṃ purataḥ śiroṃśukamadhaḥ kṣipte cale locane	AnItam puratas SiroMSukam aDas kzipte cale locane
             vācastatra nivāritaṃ prasaraṇaṃ saṃkocite dorlate //22//}	vAcaH tatra nivAritam prasaraNam saMkocite dorlate //22//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra ceṣṭayā pracchannakāntaviṣaya ākūtaviśeṣo dhvanyate /	atra cezwayA pracCanna kAnta vizayaH AkUta viSezaH Dvanyate /
   nirākāṅkṣapratipattaye prāptāvasaratayā ca punaḥ punarudāhriyate /	nirAkAFkza pratipattaye prApta avasara tayA ca punar punar udAhriyate /
   vaktrādīnāṃ mithaḥsaṃyoge dvikādibhedena /	vaktra AdInAm miTas saMyoge dvika Adi Bedena /
   anena krameṇa lakṣyavyaṅgyayośca vyañjakatvamudāhāryam //21 22//	anena krameNa lakzya vyaFgyayoH ca vyaQjaka tvam udAhAryam //21 22//
