   Viṣṇu_1	VizNu_1
   Viṣṇu 2.17c/ an-abhyasūyā ca tathā dharmaḥ sāmānya ucyate\ //	VizNu 2.17c/ an-aByasUyA ca taTA DarmaH sAmAnyaH ucyate\ //
   Viṣṇu_3	VizNu_3
   Viṣṇu 3.01 atha rāja-dharmāḥ //	VizNu 3.01 aTa rAja--DarmAH //
   Viṣṇu 3.02 prajā-paripālanam //	VizNu 3.02 prajA--paripAlanam //
   Viṣṇu 3.03 varṇa-āśramāṇāṃ sve sve dharme vyavasthāpanam //	VizNu 3.03 varNa-ASramANAm sve sve Darme vyavasTApanam //
   Viṣṇu 3.04 rājā ca jāṅgalaṃ paśavyaṃ sasya-upetaṃ deśam āśrayet\//	VizNu 3.04 rAjA ca jAFgalam paSavyam sasya--upetam deSam ASrayet\//
   Viṣṇu 3.05 vaiśya-śūdra-prāyaṃ ca //	VizNu 3.05 vESya--SUdra--prAyam ca //
   Viṣṇu 3.06 tatra dhanva-nṛ-mahī-vāri-vṛkṣa-giri-durgāṇām anyatamaṃ durgam	VizNu 3.06 tatra Danva--nR--mahI--vAri-vRkza-giri--durgANAm anyatamam durgam
   āśrayet\ //	ASrayet\ //
   Viṣṇu 3.07 tatra-sthaś ca sva-sva-grāma-adhipān kuryāt\ //	VizNu 3.07 tatra-sTaH ca sva--sva-grAma--aDipAn kuryAt\ //
   Viṣṇu 3.08 daśa-adhyakṣān //	VizNu 3.08 daSa--aDyakzAn //
   Viṣṇu 3.09 śata-adhyakṣān //	VizNu 3.09 Sata-aDyakzAn //
   Viṣṇu 3.10 deśa-adhyakṣāṃś ca //	VizNu 3.10 deSa--aDyakzAn ca //
   Viṣṇu 3.11 grāma-doṣāṇāṃ grāma-adhyakṣaḥ parihāraṃ kuryāt\ //	VizNu 3.11 grAma--dozANAm grAma--aDyakzaH parihAram kuryAt\ //
   Viṣṇu 3.12 a-śakto daśa-grāma-adhyakṣāya nivedayet\ //	VizNu 3.12 a-SaktaH daSa-grAma--aDyakzAya nivedayet\ //
   Viṣṇu 3.13 so^apy a-śaktaḥ śata-adhyakṣāya //	VizNu 3.13 saH-^api a-SaktaH Sata-aDyakzAya //
   Viṣṇu 3.14 so^apy a-śakto deśa-adhyakṣāya //	VizNu 3.14 saH-^api a-SaktaH deSa--aDyakzAya //
   Viṣṇu 3.15 deśa-adhyakṣo^api sarva-ātmanā doṣam ucchindyāt\ //	VizNu 3.15 deSa--aDyakzaH-^api sarva-AtmanA dozam ucCindyAt\ //
   Viṣṇu 3.16 ākara-śulka-tara-nāga-vaneśv āptān niyuñjīta\ //	VizNu 3.16 Akara--Sulka--tara--nAga--vaneSu AptAt niyuQjIta\ //
   Viṣṇu 3.17 dharmiṣṭhān dharma-kāryeṣu //	VizNu 3.17 DarmizWAn Darma-kAryezu //
   Viṣṇu 3.18 nipuṇān artha-kāryeṣu //	VizNu 3.18 nipuNAn arTa--kAryezu //
   Viṣṇu 3.19 śūrān saṃgrāma-karmasu //	VizNu 3.19 SUrAn saMgrAma--karmasu //
   Viṣṇu 3.20 ugrān ugreṣu //	VizNu 3.20 ugrAn ugrezu //
   Viṣṇu 3.21 ṣaṇḍhān strīṣu //	VizNu 3.21 zaNXAn strIzu //
   Viṣṇu 3.22 prajābhyo baly-arthaṃ saṃvatsareṇa dhānyataḥ ṣaṣṭham aṃśam	VizNu 3.22 prajAByaH bali--arTam saMvatsareNa DAnyataH zazWam aMSam
   ādadyāt\ //	AdadyAt\ //
   Viṣṇu 3.23 sarva-sasyebhyaś ca //	VizNu 3.23 sarva-sasyeByaH ca //
   Viṣṇu 3.24 dvikaṃ śataṃ paśu-hiraṇyebhyo vastrebhyaś ca //	VizNu 3.24 dvikam Satam paSu--hiraNyeByaH vastreByaH ca //
   Viṣṇu 3.25	VizNu 3.25
   māṃsa-madhu-ghṛta-oṣadhi-gandha-puṣpa-mūla-phala-rasa-dāru-patra-ajina-mṛd-bhāṇḍa-aśma-bhāṇḍa-vaidalebhyaḥ	mAMsa--maDu--GRta--ozaDi--ganDa--puzpa--mUla--Pala---rasa-dAru--patra--ajina--mRd--BANxa--aSma--BANxa--vEdaleByaH
   ṣāṣṭha-bhāgaṃ rājā //	zAzWa-BAgam rAjA //
   Viṣṇu 3.26 brāhmaṇebhyaḥ kara-ādānaṃ na kuryāt\ //	VizNu 3.26 brAhmaNeByaH kara-AdAnam na kuryAt\ //
   Viṣṇu 3.27 te hi rājño dharma-karāḥ //	VizNu 3.27 te hi rAjQaH Darma--karAH //
   Viṣṇu 3.28 rājā ca prajābhyaḥ su-kṛta-duṣ-kṛtebhyaḥ ṣaṣṭha-aṃśa-bhāk //	VizNu 3.28 rAjA ca prajAByaH su-kRta-duz-kRteByaH zazWa--aMSa-BAj //
   Viṣṇu 3.29 sva-deśa-paṇyāc ca śulka-aṃśaṃ daśamam ādadyāt\ //	VizNu 3.29 sva-deSa--paNyAt ca Sulka-aMSam daSamam AdadyAt\ //
   Viṣṇu 3.30 para-deśa-paṇyāc ca viṃśatitamam //	VizNu 3.30 para-deSa--paNyAt ca viMSatitamam //
   Viṣṇu 3.31 śulka-sthānād apākrāman sarva-apahāram āpnuyāt\ //	VizNu 3.31 Sulka--sTAnAt apAkrAman sarva--apahAram ApnuyAt\ //
   Viṣṇu 3.32 śilpinaḥ karma-jīvinaś ca māsena^ekaṃ rājñaḥ karma kuryuḥ\ //	VizNu 3.32 SilpinaH karma--jIvinaH ca mAsena^ekam rAjQaH karma kuryuH\ //
   Viṣṇu 3.33 svāmy-amātya-durga-kośa-daṇḍa-rāṣṭra-mitrāṇi prakṛtayaḥ //	VizNu 3.33 svAmI--a-mAtya--durga-koSa--daNxa---rAzwra--mitrANi prakRtayaH //
   Viṣṇu 3.34 tad-dūṣakāṃś ca hanyāt\ //	VizNu 3.34 tad--dUzakAn ca hanyAt\ //
   Viṣṇu 3.35 sva-rāṣṭra-para-rāṣṭrayoś ca cāra-cakṣuḥ syāt\ //	VizNu 3.35 sva--rAzwra--para-rAzwrayoH ca cAra-cakzuH syAt\ //
   Viṣṇu 3.36 sādhūnāṃ pūjanaṃ kuryāt\ //	VizNu 3.36 sADUnAm pUjanam kuryAt\ //
   Viṣṇu 3.37 duṣṭāṃś ca hanyāt\ //	VizNu 3.37 duzwAn ca hanyAt\ //
   Viṣṇu 3.38 śatru-mitra-udāsīna-madhyameṣu sāma-bheda-dāna-daṇḍān	VizNu 3.38 Satru-mitra--udAsIna-maDyamezu sAma-Beda--dAna--daNxAn
   yathā-arhaṃ yathā-kālaṃ prayuñjīta\ //	yaTA-arham yaTA-kAlam prayuQjIta\ //
   Viṣṇu 3.39 saṃdhi-vigraha-yāna-āsana-saṃśraya-dvaidhī-bhāvāṃś ca	VizNu 3.39 saMDi-vigraha-yAna--Asana--saMSraya--dvEDI-BAvAn ca
   yathā-kālam āśrayet\ //	yaTA-kAlam ASrayet\ //
   Viṣṇu 3.40 caitre mārgaśīrṣe vā yātrāṃ yāyāt\ //	VizNu 3.40 cEtre mArgaSIrze vA yAtrAm yAyAt\ //
   Viṣṇu 3.41 parasya vyasane vā //	VizNu 3.41 parasya vyasane vA //
   Viṣṇu 3.42 para-deśa-avāptau tad-deśa-dharmān na^ucchindyāt\ //	VizNu 3.42 para-deSa-avAptO tad--deSa--DarmAn na^ucCindyAt\ //
   Viṣṇu 3.43 pareṇa^abhiyuktaś ca sarva-ātmanā sva-rāṣṭraṃ gopāyet\ //	VizNu 3.43 pareNa^aBiyuktaH ca sarva-AtmanA sva--rAzwram gopAyet\ //
   Viṣṇu 3.44 na^asti\ rājñāṃ samare tanu-tyāga-sadṛśo dharmaḥ //	VizNu 3.44 na^asti\ rAjQAm samare tanu--tyAga--sadRSaH DarmaH //
   Viṣṇu 3.45 go-brāhmaṇa-nṛpa-mitra-dhana-dāra-jīvita-rakṣaṇāt ye hatās te	VizNu 3.45 go-brAhmaNa--nRpa-mitra-Dana--dAra--jIvita--rakzaNAt ye hatAH te
   svarga-loka-bhājaḥ //	svarga--loka--BAjaH //
   Viṣṇu 3.46 varṇa-saṃkara-rakṣaṇa-arthaṃ ca //	VizNu 3.46 varNa--saMkara--rakzaNa--arTam ca //
   Viṣṇu 3.47 rājā para-pura-avāptau tatra tat-kulīnam abhiṣiñcet\ //	VizNu 3.47 rAjA para--pura-ava-AptO tatra tat-kulInam aBiziQcet\ //
   Viṣṇu 3.48 na rāja-kulam ucchindyāt\ //	VizNu 3.48 na rAja--kulam ucCindyAt\ //
   Viṣṇu 3.49 anyatra^a-kulīna-rāja-kulāt //	VizNu 3.49 anyatra^a-kulIna--rAja--kulAt //
   Viṣṇu 3.50 mṛgayā-akṣa-strī-pāna-abhiratiṃ pariharet\ //	VizNu 3.50 mRgayA--akza--strI--pAna--aBiratim pariharet\ //
   Viṣṇu 3.51 vāk-pāruṣya-daṇḍa-pāruṣye ca //	VizNu 3.51 vAk-pAruzya--daNxa--pAruzye ca //
   Viṣṇu 3.52 na^artha-dūṣaṇaṃ kuryāt\ //	VizNu 3.52 na^arTa--dUzaNam kuryAt\ //
   Viṣṇu 3.53 ādya-dvārāṇi na^ucchindyāt\ //	VizNu 3.53 Adya-dvArANi na^ucCindyAt\ //
   Viṣṇu 3.54 na^apātra-varṣī syāt\ //	VizNu 3.54 na^apAtra-varzI syAt\ //
   Viṣṇu 3.55 ākarebhyaḥ sarvam ādadyāt\ //	VizNu 3.55 AkareByaH sarvam AdadyAt\ //
   Viṣṇu 3.56 nidhiṃ labdhvā tad-ardhaṃ brāhmaṇebhyo dadyāt\ //	VizNu 3.56 niDim labDvA tad--arDam brAhmaNeByaH dadyAt\ //
   Viṣṇu 3.57 dvitīym ardhaṃ kośe praveśayet\ //	VizNu 3.57 dvitIym arDam koSe praveSayet\ //
   Viṣṇu 3.58 nidhiṃ brāhmaṇo labdhvā sarvam ādadyāt\ //	VizNu 3.58 niDim brAhmaNaH labDvA sarvam AdadyAt\ //
   Viṣṇu 3.59 kṣatriyaś caturtham aṃśaṃ rājñe dadyāt\, caturtham aṃśaṃ	VizNu 3.59 kzatriyaH caturTam aMSam rAjQe dadyAt\, caturTam aMSam
   brāhmaṇebhyaḥ, ardham ādadyāt\ //	brAhmaNeByaH, arDam AdadyAt\ //
   Viṣṇu 3.60 vaiṣyas tu caturtham aṃśaṃ rājñe dadyāt\, brāhmaṇebhyo^ardhaṃ,	VizNu 3.60 vEzyaH tu caturTam aMSam rAjQe dadyAt\, brAhmaNeByaH-^arDaM,
   caturtham aṃśam ādadyāt\ //	caturTam aMSam AdadyAt\ //
   Viṣṇu 3.61 śūdraś ca^avāptaṃ dvādaśadhā vibhajya pañca-aṃśān rājñe	VizNu 3.61 SUdraH ca^avAptam dvAdaSaDA viBajya paQca--aMSAn rAjQe
   dadyāt\, pañca-aṃśān brāhmaṇebhyaḥ, aṃśa-dvayam ādadyāt\ //	dadyAt\, paQca--aMSAn brAhmaNeByaH, aMSa--dvayam AdadyAt\ //
   Viṣṇu 3.62 a-nivedita-vijñātasya sarvam apaharet\ //	VizNu 3.62 a-nivedita--vijQAtasya sarvam apaharet\ //
   Viṣṇu 3.63 sva-nihitād rājñe brāhmaṇa-varjaṃ dvādaśam aṃśaṃ dadyuḥ\ //	VizNu 3.63 sva--nihitAt rAjQe brAhmaNa--varjam dvAdaSam aMSam dadyuH\ //
   Viṣṇu 3.64 para-nihitaṃ sva-nihitam iti bruvaṃs tat-samaṃ daṇḍam āvahet\	VizNu 3.64 para-nihitam sva--nihitam iti bruvan tat-samam daNxam Avahet-\
   Viṣṇu 3.65 bāla-anātha-strī-dhanāni rājā paripālayet\ //	VizNu 3.65 bAla-anATa-H-trI-DanAni rAjA paripAlayet\ //
   Viṣṇu 3.66 caura-hṛtaṃ dhanam avāpya sarvam eva sarva-varṇebhyo dadyāt\ //	VizNu 3.66 cOra--hRtam Danam avApya sarvam eva sarva--varNeByaH dadyAt\ //
   Viṣṇu 3.67 an-avāpya ca sva-kośād eva dadyāt\ //	VizNu 3.67 an-avApya ca sva-koSAt eva dadyAt\ //
   Viṣṇu 3.68 śānti-svasty-ayana-upāyair daiva-upaghātān praśamayet\ //	VizNu 3.68 SAnti-svasti--ayana-upAyEH dEva--upaGAtAn praSamayet\ //
   Viṣṇu 3.69 para-cakra-upaghātāṃś ca śastra-nityatayā //	VizNu 3.69 para-cakra--upaGAtAn ca Sastra-nitya-tayA //
   Viṣṇu 3.70 veda-itihāsa-dharma-śāstra-artha-kuśalaṃ kulīnam avyaṅgaṃ	VizNu 3.70 veda--itihAsa--Darma--SAstra--arTa-kuSalam kulInam avyaFgam
   tapasvinaṃ purohitaṃ ca varayet\ //	tapasvinam purohitam ca varayet\ //
   Viṣṇu 3.71 śucīn alubdhān avahitān śakti-saṃpannān sarva-artheṣu ca	VizNu 3.71 SucIn alubDAn avahitAn Sakti--saMpannAn sarva--arTezu ca
   sahāyān //	sahAyAn //
   Viṣṇu 3.72 svayam eva vyavahārān paśyed\ vidvadbhir brāhmaṇaiḥ sa-ardham	VizNu 3.72 svayam eva vyavahArAn paSyed\ vidvadBiH brAhmaNEH sa-arDam
   Viṣṇu 3.73 vyavahāra-darśane brāhmaṇaṃ vā niyuñjyāt\ //	VizNu 3.73 vyavahAra--darSane brAhmaNam vA niyuQjyAt\ //
   Viṣṇu 3.74 janma-karma-vrata-upetāś ca rājñā sabhā-sadaḥ kāryāḥ, ripau	VizNu 3.74 janma-karma--vrata--upetAH ca rAjQA saBA-sadaH kAryAH, ripO
   mitre ca ye samāḥ, kāma-krodha-bhaya-lobha-ādibhiḥ kārya-arthabhir	mitre ca ye samAH, kAma--kroDa--Baya--loBa--AdiBiH kArya--arTaBiH-
   an-āhāryāḥ //	an-AhAryAH //
   Viṣṇu 3.75 rājā ca sarva-kāryeṣu sāṃvatsara-adhīnaḥ syāt\ //	VizNu 3.75 rAjA ca sarva-kAryezu sAMvatsara--aDInaH syAt\ //
   Viṣṇu 3.76 deva-brāhmaṇān satatam eva pūjayet\ //	VizNu 3.76 deva-brAhmaNAn satatam eva pUjayet\ //
   Viṣṇu 3.77 vṛddha-sevī bhavet //	VizNu 3.77 vRdDa--sevI Bavet //
   Viṣṇu 3.78 yajña-yājī ca //	VizNu 3.78 yajQa-yAjI ca //
   Viṣṇu 3.79 na ca^asya viṣaye brāhmaṇaḥ kṣudhā-ārto^avasīdet\ //	VizNu 3.79 na ca^asya vizaye brAhmaNaH kzuDA-A-ArtaH-^avasIdet\ //
   Viṣṇu 3.80 na ca^anyo^api sat-karma-nirataḥ //	VizNu 3.80 na ca^anyaH-^api sat-karma--nirataH //
   Viṣṇu 3.81 brāhmaṇebhyaś ca bhuvaṃ pratipādayet\ /	VizNu 3.81 brAhmaNeByaH ca Buvam pratipAdayet\ /
   Viṣṇu 3.82 yeṣāṃ ca pratipādayet\ teṣāṃ sva-vaṃśyān bhuvaḥ parimāṇaṃ	VizNu 3.82 yezAm ca pratipAdayet\ tezAm sva--vaMSyAn BuvaH parimANam
   dāna-ccheda-upavarṇanaṃ ca paṭe tāmrapaṭṭe vā likhitaṃ sva-mudrā-aṅkitaṃ	dAna--=-Ceda--upavarNanam ca pawe tAmra-pawwe vA liKitam sva-mudrA--aFkitam
   ca^āgāmi-nṛpati-vijñāpana-arthaṃ dadyāt\ //	ca^AgAmi--nRpati--vijQApana--arTam dadyAt\ //
   Viṣṇu 3.83 para-dattāṃ ca bhuvaṃ na^apaharet\ //	VizNu 3.83 para--dattAm ca Buvam na^apaharet\ //
   Viṣṇu 3.84 brāhmaṇebhyaḥ sarva-dāyān prayacchet\ //	VizNu 3.84 brAhmaNeByaH sarva-dAyAn prayacCet\ //
   Viṣṇu 3.85 sarvatas tv ātmānaṃ gopāyet\ //	VizNu 3.85 sarvatas tu AtmAnam gopAyet\ //
   Viṣṇu 3.86 su-darśanaś ca syāt\ //	VizNu 3.86 su-darSanaH ca syAt\ //
   Viṣṇu 3.87 viṣa-ghna-agada-mantra-dhārī ca //	VizNu 3.87 viza-Gna--agada-mantra-DArI ca //
   Viṣṇu 3.88 na^a-parīkṣitam upayuñjyāt\ //	VizNu 3.88 na^a-parIkzitam upayuQjyAt\ //
   Viṣṇu 3.89 smita-pūrva-abhibhāṣī syāt\ //	VizNu 3.89 smita--pUrva--aBiBAzI syAt\ //
   Viṣṇu 3.90 vadhyeṣv api na bhruṃkuṭīm ācaret\ //	VizNu 3.90 vaDyezu api na BruMkuwIm Acaret\ //
   Viṣṇu 3.91 aparādha-anurūpaṃ ca daṇḍaṃ daṇḍyeṣu dāpayet\ //	VizNu 3.91 aparADa--anurUpam ca daNxam daNxyezu dApayet\ //
   Viṣṇu 3.92 samyag-daṇḍa-praṇayanaṃ kuryāt\ //	VizNu 3.92 samyak--daNxa--praNayanam kuryAt\ //
   Viṣṇu 3.93 dvitīyam aparādhaṃ na sa kasya-cit kṣameta\ //	VizNu 3.93 dvitIyam aparADam na sa kasya-cid kzameta\ //
   Viṣṇu 3.94 sva-dharmam a-pālayan na^adaṇḍyo nāma^asti rājñām //	VizNu 3.94 sva--Darmam a-pAlayan na^adaNxyaH nAma^asti rAjQAm //
   Viṣṇu 3.95a/ yatra śyāmo lohita-akṣo daṇḍaś carati\ nirbhayaḥ /	VizNu 3.95a/ yatra SyAmaH lohita--akzaH daNxaH carati\ nirBayaH /
   Viṣṇu 3.95c/ prajās tatra vivardhante\ netā cet sādhu paśyati\ //	VizNu 3.95c/ prajAH tatra vivarDante\ netA ced sADu paSyati\ //
   Viṣṇu 3.96a/ sva-rāṣṭro nyāya-daṇḍaḥ syād\ bhṛśa-daṇḍaś ca śatruṣu /	VizNu 3.96a/ sva--rAzwraH nyAya-daNxaH syAt-\ BRSa-daNxaH ca Satruzu /
   Viṣṇu 3.96c/ suhṛtsv ajihmaḥ snigdheṣu brāhmaṇeṣu kṣama-anvitaḥ //	VizNu 3.96c/ suhRtsu ajihmaH snigDezu brAhmaNezu kzama-anvitaH //
   Viṣṇu 3.97a/ evaṃ-vṛttasya nṛpateḥ śila-uñchena^api jīvataḥ /	VizNu 3.97a/ evaM-vRttasya nRpateH Sila-uQCena^api jIvataH /
   Viṣṇu 3.97c/ vistīryate yaśo loke taila-bindur iva^ambhasi //	VizNu 3.97c/ vistIryate yaSaH loke tEla--binduH iva^amBasi //
   Viṣṇu 3.98a/ prajā-sukhe sukhī rājā tad-duḥkhe yaś ca duḥkhitaḥ /	VizNu 3.98a/ prajA--suKe suKI rAjA tad--duHKe yaH ca duHKitaH /
   Viṣṇu 3.98c/ sa kīrti-yukto loke^asmin pretya\ svarge mahīyate\ //	VizNu 3.98c/ sa kIrti-yuktaH loke^asmin pretya\ svarge mahIyate\ //
   Viṣṇu_4	VizNu_4
   Viṣṇu 4.01 jāla-stha-arka-marīci-gataṃ rajaḥ trasareṇu-saṃjñakam //	VizNu 4.01 jAla--sTa--arka--marIci--gatam rajaH trasa-reNu--saMjQakam //
   Viṣṇu 4.02 tad-aṣṭakaṃ likṣā //	VizNu 4.02 tat--azwakam likzA //
   Viṣṇu 4.03 tat-trayaṃ rāja-sarṣapaḥ //	VizNu 4.03 tat--trayam rAja-sarzapaH //
   Viṣṇu 4.04 tat-trayaṃ gaura-sarṣapaḥ //	VizNu 4.04 tat--trayam gOra-sarzapaH //
   Viṣṇu 4.05 tat-ṣaṭkaṃ yavaḥ //	VizNu 4.05 tat-zawkam yavaH //
   Viṣṇu 4.06 tat-trayaṃ kṛṣṇalam //	VizNu 4.06 tat--trayam kRzNalam //
   Viṣṇu 4.07 tat-pañcakaṃ māṣaḥ //	VizNu 4.07 tat--paQcakam mAzaH //
   Viṣṇu 4.08 tad-dvādaśakam akṣa-ardham //	VizNu 4.08 tad-dvAdaSakam akza-arDam //
   Viṣṇu 4.09 akṣa-ardham eva sa-catur-māṣakaṃ suvarṇaḥ //	VizNu 4.09 akza-arDam eva sa-catur--mAzakam suvarNaH //
   Viṣṇu 4.10 catuḥ-suvarṇako niṣkaḥ //	VizNu 4.10 catuH-suvarNakaH nizkaH //
   Viṣṇu 4.11 dve kṛṣṇale sama-dhṛte rūpya-māṣakaḥ //	VizNu 4.11 dve kRzNale sama-DRte rUpya-mAzakaH //
   Viṣṇu 4.12 tat-ṣoḍaśakaṃ dharaṇam //	VizNu 4.12 tat-zoxaSakam DaraNam //
   Viṣṇu 4.13 tāmra-kārṣikaḥ kārṣāpaṇaḥ //	VizNu 4.13 tAmra-kArzikaH kArzApaNaH //
   Viṣṇu 4.14a/ paṇānāṃ dve śate sa-ardhe prathamaḥ sāhasaḥ smṛtaḥ /	VizNu 4.14a/ paNAnAm dve Sate sa-arDe praTamaH sAhasaH smRtaH /
   Viṣṇu 4.14c/ madhyamaḥ pañca vijñeyaḥ sahasraṃ tv eṣa ca^uttamaḥ //	VizNu 4.14c/ maDyamaH paQca vijQeyaH sahasram tu eza ca^uttamaH //
   Viṣṇu_5	VizNu_5
   Viṣṇu 5.01 atha mahā-pātakino brāhmaṇa-varjaṃ sarve vadhyāḥ //	VizNu 5.01 aTa mahA-pAtakinaH brAhmaNa-varjam sarve vaDyAH //
   Viṣṇu 5.02 na śārīro brāhmaṇasya daṇḍaḥ //	VizNu 5.02 na SArIraH brAhmaNasya daNxaH //
   Viṣṇu 5.03 sva-deśāt brāhmaṇaṃ kṛta-aṅkaṃ vivāsayet\ //	VizNu 5.03 sva--deSAt brAhmaNam kRta--aFkam vivAsayet\ //
   Viṣṇu 5.04 tasya ca brahma-hatyāyām a-śiras-kaṃ puruṣaṃ lalāṭe kuryāt\ //	VizNu 5.04 tasya ca brahma-hatyAyAm a-Sira-s-kam puruzam lalAwe kuryAt\ //
   Viṣṇu 5.05 surā-dhvajaṃ surā-pāne //	VizNu 5.05 surA-Dvajam surA--pAne //
   Viṣṇu 5.06 śva-padaṃ steye //	VizNu 5.06 Sva-padam steye //
   Viṣṇu 5.07 bhagaṃ guru-talpa-gamane //	VizNu 5.07 Bagam guru-talpa--gamane //
   Viṣṇu 5.08 anyatra^api vadhya-karmaṇi tiṣṭhantaṃ samagra-dhanam akṣataṃ	VizNu 5.08 anyatra^api vaDya-karmaNi tizWantam samagra-Danam akzatam
   vivāsayet\ //	vivAsayet\ //
   Viṣṇu 5.09 kūṭa-śāsana-kartṛṛṃś ca rājā hanyāt\ //	VizNu 5.09 kUwa-Sa-Asana-kartRRn ca rAjA hanyAt\ //
   Viṣṇu 5.10 kūṭa-lekhya-kārāṃś ca //	VizNu 5.10 kUwa-leKya--kArAn ca //
   Viṣṇu 5.11 gara-da-agni-da-prasahya-taskarān strī-bāla-puruṣa-ghātinaś ca	VizNu 5.11 gara-da-agni--da--prasahya-taskarAn strI--bAla--puruza-GAtinaH ca
   Viṣṇu 5.12 ye ca dhānyaṃ daśabhyaḥ kumbhebhyo^adhikam apahareyuḥ\ //	VizNu 5.12 ye ca DAnyam daSaByaH kumBeByaH-^aDikam apahareyuH\ //
   Viṣṇu 5.13 dharima-meyānāṃ śatād abhyadhikam //	VizNu 5.13 Darima-meyAnAm SatAt aByaDikam //
   Viṣṇu 5.14 ye ca^akulīnā rājyam abhikāmayeyuḥ\ //	VizNu 5.14 ye ca^akulInAH rAjyam aBikAmayeyuH\ //
   Viṣṇu 5.15 setu-bheda-kāṃś ca //	VizNu 5.15 setu-Beda-kAn ca //
   Viṣṇu 5.16 prasahya taskarāṇāṃ ca^avakāśa-bhakta-pradāṃś ca //	VizNu 5.16 prasahya taskarANAm ca^avakASa--Bakta--pradAn ca //
   Viṣṇu 5.17 anyatra rāja-a-śakteḥ //	VizNu 5.17 anyatra rAja--a-SakteH //
   Viṣṇu 5.18 striyam a-śakta-bhartṛ-kāṃ tad-atikramaṇīṃ ca //	VizNu 5.18 striyam a-Sakta-BartR-kAm tad--atikramaNIm ca //
   Viṣṇu 5.19 hīna-varṇo^adhika-varṇasya yena^aṅgena^aparādhaṃ kuryāt\ tad	VizNu 5.19 hIna-varNaH-^aDika-varNasya yena^aFgena^aparADam kuryAt\ tat-
   eva^asya śātayet\ //	eva^asya SAtayet\ //
   Viṣṇu 5.20 eka-āsana-upaveśī kaṭyāṃ kṛta-aṅko nirvāsyaḥ //	VizNu 5.20 eka-Asana--upaveSI kawyAm kRta--aFkaH nirvAsyaH //
   Viṣṇu 5.21 niṣṭhīvya\^oṣṭha-dvaya-vihīnaḥ kāryaḥ //	VizNu 5.21 nizWIvya\^ozWa--dvaya--vihInaH kAryaH //
   Viṣṇu 5.22 avaśardhayitā ca guda-hīnaḥ //	VizNu 5.22 avaSarDayitA ca guda--hInaH //
   Viṣṇu 5.23 ākrośayitā ca vi-jihvaḥ //	VizNu 5.23 AkroSayitA ca vi-jihvaH //
   Viṣṇu 5.24 darpeṇa dharma-upadeśa-kāriṇāṃ rājā taptam āsecayet\ tailam	VizNu 5.24 darpeNa Darma--upadeSa--kAriNAm rAjA taptam Asecayet\ tElam
   āsye //	Asye //
   Viṣṇu 5.25 droheṇa ca nāma-jāti-grahaṇe daśa-aṅgulo^asya śaṅkur nikheyaḥ	VizNu 5.25 droheNa ca nAma-jAti--grahaNe daSa--aFgulaH-^asya SaFkuH niKeyaH
   Viṣṇu 5.26 śruta-deśa-jāti-karmaṇām anyathā-vādī kārśāpaṇa-śata-dvayaṃ	VizNu 5.26 Sruta--deSa--jAti-karmaNAm anyaTA-a-vAdI kArSApaNa--Sata--dvayam
   daṇḍyaḥ //	daNxyaH //
   Viṣṇu 5.27 kāṇa-khañja-ādīnāṃ tathya-vādy api kārśāpaṇa-dvayam //	VizNu 5.27 kANa--KaQja-A-AdInAm taTya-vAdi api kArSApaNa--dvayam //
   Viṣṇu 5.28 gurūn ākṣipan kārśāpaṇa-śata-dvayam //	VizNu 5.28 gurUn Akzipan kArSApaNa--Sata--dvayam //
   Viṣṇu 5.29 parasya patanīya-ākṣepe kṛte tu^uttama-sāhasam //	VizNu 5.29 parasya patanIya--Akzepe kRte tu^uttama--sAhasam //
   Viṣṇu 5.30 upapātaka-yukte madhyamam //	VizNu 5.30 upapAtaka-yukte maDyamam //
   Viṣṇu 5.31 trai-vidya-vṛddhānāṃ kṣepe jāti-pūgānāṃ ca //	VizNu 5.31 trE-vidya--vRdDAnAm kzepe jAti-pUgAnAm ca //
   Viṣṇu 5.32 grāma-deśayoś ca prathama-sāhasam //	VizNu 5.32 grAma-deSayoH ca praTama-sAhasam //
   Viṣṇu 5.33 nyaṅga-tā-yukte kṣepe kārśāpaṇa-śatam //	VizNu 5.33 nyaFga-tA--i-ukte kzepe kArSApaNa--Satam //
   Viṣṇu 5.34 mātṛ-yukte tu^uttamam //	VizNu 5.34 mAtR-I-ukte tu^uttamam //
   Viṣṇu 5.35 sama-varṇa-ākrośane dvādaśa paṇān daṇḍyaḥ //	VizNu 5.35 sama-varNa-AkroSane dvAdaSa paNAn daNxyaH //
   Viṣṇu 5.36 hīna-varṇa-ākṛośane ṣaṭ //	VizNu 5.36 hIna--varNa-AkRoSane zaw //
   Viṣṇu 5.37 yathā-kālam uttama-varṇa-ākṣepe tat-pramāṇo daṇḍaḥ //	VizNu 5.37 yaTA-kAlam uttama--varNa-Akzepe tat--pramANaH daNxaH //
   Viṣṇu 5.38 trayo vā kārṣāpaṇāḥ //	VizNu 5.38 trayaH vA kArzApaNAH //
   Viṣṇu 5.39 śukta-vākya-abhidhāne tv^evam eva //	VizNu 5.39 Sukta--vAkya-aBiDAne tu-^evam eva //
   Viṣṇu 5.40 pārajāyī sa-varṇā-gamane tu^uttama-sāhasaṃ daṇḍyaḥ //	VizNu 5.40 pArajAyI sa-varNA--gamane tu^uttama--sAhasam daNxyaH //
   Viṣṇu 5.41 hīna-varṇā-gamane madhyamam //	VizNu 5.41 hIna--varNA--gamane maDyamam //
