   ṛṣaya ūcuḥ	RzayaH UcuH
   evaṃ śuddho 'kṣaro 'nantaḥ kālarupī maheśvaraḥ /	evam SudDaH akzaraH anantaH kAlarupI maheSvaraH /
   guṇarupīguṇādhārojagatāmādikṛdvibhuḥ // NarP_1,3.30 //	guNa rupI guNa ADArojagatAm Adi kRt viBuH // NA rP_1,3.30 //
   pratṛtiḥ kṣobhamāpannā puruṣākhye jagadgurau /	pratRtiH kzoBam ApannA puruza AKye jagadgurO /
   mahānprādurabhūddhuddhistato 'haṃ samavarttata // NarP_1,3.31 //	mahAn prAduraBUt hudDiH tatas aham samavarttata // NA rP_1,3.31 //
   ahṝṅkārāśca sūkṣmāṇi tanmātrāṇīndriyāṇi ca /	ahLFkArAH ca sUkzmANi tanmAtrANi indriyANi ca /
   tanmātrebhyo hi jātāni bhūtāni jagataḥ kṛte // NarP_1,3.32 //	tanmAtreByaH hi jAtAni BUtAni jagataH kRte // NA rP_1,3.32 //
   ākāśavāyyagrijalabhūmayo 'bjabhāvātmaja /	AkASa vAyI agri jala BUmayaH abja BAva AtmajaH /
   yathākramaṃ kāraṇatāmekaikasyopayānti ca // NarP_1,3.33 //	yaTAkramam kAraNa tAm ekEkasya upayAnti ca // NA rP_1,3.33 //
   tato brahmā jagaddhātā tāmasānasṛjatprabhuḥ /	tatas brahmA jagadDAtA tAmasAn asRjat praBuH /
   tiryagyonigatāñjantūnpaśupakṣimṛgādikān // NarP_1,3.34 //	tiryagyoni gatAn jantUn paSu pakzi mRga AdikAn // NA rP_1,3.34 //
   tamapyasādhakaṃ matvā devasargaṃ sanātanāt /	tam api asADakam matvA deva sargam sanAtanAt /
   tato vaimānuṣaṃ sargaṃ kalpayāmāsa pahmajaḥ // NarP_1,3.35 //	tatas vEmAnuzam sargam kalpayAmAsa pahmajaH // NA rP_1,3.35 //
   tato dakṣādikānputrānsṛṣṭisādhanatatparān /	tatas dakza AdikAn putrAn sRzwi sADana tatparAn /
   ebhiḥ putrairidaṃ vyāptaṃ sadevāsuramānuṣam // NarP_1,3.36 //	eBiH putrEH idam vyAptam sa deva asura mAnuzam // NA rP_1,3.36 //
   bhurbhuvaśca tathā svaśca mahaśvaiva janastathā /	BurBuvaH ca taTA svar ca mahaSva eva janaH taTA /
   tapaśca satyamityevaṃ lokāḥ satyopari sthitāḥ // NarP_1,3.37 //	tapaH ca satyam iti evam lokAH satya upari sTitAH // NA rP_1,3.37 //
   atalaṃ vitalaṃ caiva sutalaṃ ca talātalam /	atalam vitalam ca eva sutalam ca talAtalam /
   mahātalaṃ ca viprendra tato 'dhacca rasātalam // NarP_1,3.38 //	mahAtalam ca vipra indra tatas aDat ca rasAtalam // NA rP_1,3.38 //
   pātālaṃ ceti saptaiva pātālāni kramādadhaḥ /	pAtAlam ca iti sapta eva pAtAlAni kramAt aDas /
   eṣa sarveṣu lokeṣu lokanāthāṃśca sṛṣṭavān // NarP_1,3.39 //	eza sarvezu lokezu loka nATAn= ca sRzwavAn // NA rP_1,3.39 //
   kulācalānnadīścāsau tattallokanivāsinām /	kula acalAn nadIH ca asO tad tad loka nivAsinAm /
   varttanādīni sarvāṇi yathāyogyaṃmakalpayat // NarP_1,3.40 //	varttana AdIni sarvANi yaTAyogyaMmakalpayat // NA rP_1,3.40 //
   bhūtale madhyago meruḥ sarvadevasamāśrayaḥ /	BU tale maDya gaH meruH sarva deva samASrayaH /
   lokālokaśca bhūmyante tanmadhye satpa sāgarāḥ // NarP_1,3.41 //	lokAlokaH ca BUmyante tad maDye sat pa sAgarAH // NA rP_1,3.41 //
   dvīpāśca satpa viprendra dvīpe kulācalāḥ /	dvIpAH ca sat pa vipra indra dvIpe kula acalAH /
   bāhyā nadyaśca vikhyātā janāścāmarasannibhāḥ // NarP_1,3.42 //	bAhyAH nadyaH ca viKyAtAH janAH ca amara sanniBAH // NA rP_1,3.42 //
   jambūplakṣābhidhānau ca śālmalaśca kuśastathā /	jambU plakza aBiDAnO ca SAlmalaH ca kuSaH taTA /
   krauñcaśākau puṣkaraśca te sarve devabhūmayaḥ // NarP_1,3.43 //	krOQca SAkO puzkaraH ca te sarve deva BUmayaH // NA rP_1,3.43 //
   ete dvīpāḥ samudraistu satpasatpabhirāvṛtāḥ /	ete dvIpAH samudrEH tu sat pasat paBiH AvRtAH /
   lavaṇekṣusurāsarpirdadhikṣīrajalaiḥ samam // NarP_1,3.44 //	lavaNa ikzu surA sarpiH daDi kzIra jalEH samam // NA rP_1,3.44 //
   ete dvīpāḥ samudrāśca pūrvasmāduttarerāḥ /	ete dvIpAH samudrAH ca pUrvasmAt uttarerAH /
   jñeyā dviguṇavistarā lokālokāñca parvatāt // NarP_1,3.45 //	jQeyA dviguNa vistarAH lokAlokAQca parvatAt // NA rP_1,3.45 //
   kṣārodadherupattaraṃ yaddhi mādreścaiva dakṣiṇām /	kzArodaDeH upattaram yat hi mAdreH ca eva dakziNAm /
   jñeyaṃ tadbhārataṃ varṣaṃ sarvakarmaphalapradam // NarP_1,3.46 //	jQeyam tat BAratam varzam sarva karma Pala pradam // NA rP_1,3.46 //
   atra karmāṇi kurvanti trividhāni tu nārada /	atra karmANi kurvanti triviDAni tu nArada /
   tatphalaṃ bhujyate caiva bhogabhūmidhanakramāt // NarP_1,3.47 //	tad Palam Bujyate ca eva Boga BUmi Dana kramAt // NA rP_1,3.47 //
   bhārate tu kṛtaṃ karma śubhaṃ vāśubhameva ca /	BArate tu kRtam karma SuBam vA aSuBam eva ca /
   tatphalaṃ kṣayi viprendra bhujyate 'nyatrajantubhiḥ // NarP_1,3.48 //	tad Palam kzayi vipra indra Bujyate anyatra jantuBiH // NA rP_1,3.48 //
   adyāpi devā icchanti janma bhāratabhūtale /	adya api devAH icCanti janma BArata BU tale /
   saṃcitaṃ sumahatpuṇyamakṣayyamamalaṃ śubham // NarP_1,3.49 //	saMcitam su mahat puNyam akzayyam amalam SuBam // NA rP_1,3.49 //
   kadā labhāmahe janma varṣabhāratabhūmiṣu /	kadA laBAmahe janma varza BArata BUmizu /
   kadā puṇyena mahatā yāsyāma paramaṃ padam // NarP_1,3.50 //	kadA puNyena mahatA yAsyAma paramam padam // NA rP_1,3.50 //
   dānairvāvividhairyajñaistapobhirvāthavā harim /	dAnEH vAviviDEH yajQEH tapoBiH vA aTavA harim /
   jagadīśaṃsameṣyāmo nityānandamanāmayam // NarP_1,3.51 //	jagadISaMsam ezyAmaH nitya Anandam anAmayam // NA rP_1,3.51 //
   yo bhāratabhuvaṃ prāpya viṣṇupūjāparo bhavet /	yaH BArata Buvam prApya vizNu pUjA paraH Bavet /
   na tasya sadṛśo 'nyo 'sti triṣu lokeṣu nāradā // NarP_1,3.52 //	na tasya sadRSaH anyaH asti trizu lokezu nAradAH // NA rP_1,3.52 //
   harikīrtanaśīlo vā tadbhaktānāṃ piyo 'pi vā /	hari kIrtana SIlaH vA tad BaktAnAm piyaH api vA /
   śukṣaṣurvāpi mahataḥ savedyo divijairapi // NarP_1,3.53 //	SukzazuH vA api mahataH sa vedyaH divijEH api // NA rP_1,3.53 //
   haripūjārato nityaṃ bhaktaḥ pūjāsto 'ṣi vā /	hari pUjA rataH nityam BaktaH pUjA astaH azi vA /
   bhaktocchiṣṭānnasevī ca yāti viṣṇoḥ paraṃ padam // NarP_1,3.54 //	Bakta ucCizwa anna sevI ca yAti vizNoH param padam // NA rP_1,3.54 //
   nārāyaṇeti kṛṣṇeti vāsudeveti yo vadet /	nArAyaNa iti kRzNa iti vAsudeva iti yaH vadet /
   ahiṃsādiparaḥ śantiḥ so 'pi vandyaḥ surottamaiḥ // NarP_1,3.55 //	ahiMsA Adi paraH SantiH saH api vandyaH sura uttamEH // NA rP_1,3.55 //
   śiveti nīlakaṇṭheti śaṅkaretica yaḥ smaret /	SivA iti nIlakaNWA iti SaFkara iti ca yaH smaret /
   sarvabhūtahito nityaṃ so 'bhyarcyo divijaiḥ smṛtaḥ // NarP_1,3.56 //	sarva BUta hitaH nityam saH aByarcyaH divijEH smRtaH // NA rP_1,3.56 //
   gurubhaktaḥ śivadhyānī svāśramācāratatparaḥ /	guru BaktaH Siva DyAnI sva ASrama AcAra tatparaH /
   anasūyuḥśucirdakṣo yaḥ so 'pyarcyaḥsureśvaraiḥ // NarP_1,3.57 //	anasUyuH SuciH dakzaH yaH saH api arcyaH sura ISvarEH // NA rP_1,3.57 //
   brāhmaṇānāṃ hitakaraḥ śradhdāvānvarṇadharmayoḥ /	brAhmaNAnAm hita karaH SraDdAvAn varNa DarmayoH /
   vedavādarato nityaṃ sa jñeyaḥ paṅkipāvanaḥ // NarP_1,3.58 //	veda vAda rataH nityam sa jQeyaH paFki pAvanaH // NA rP_1,3.58 //
   abhedadarśī deveśe nārāyaṇaśivātmake /	aBeda darSI deveSe nArAyaNa Siva Atmake /
   sarvaṃ yo brahmaṇa nityamasmadādiṣu kā kathā // NarP_1,3.59 //	sarvam yaH brahmaNa nityam asmad Adizu kA kaTAH // NA rP_1,3.59 //
   goṣu kṣānto brahmacārī paranindāvivarjitaḥ /	gozu kzAntaH brahmacArI para nindA vivarjitaH /
   aparigrahaśī laśca devapūjyaḥ sa nārada // NarP_1,3.60 //	aparigraha SI laH ca deva pUjyaH sa nArada // NA rP_1,3.60 //
   steyādidoṣavimukhaḥ kṛtajñaḥ satyavāk śuciḥ /	steya Adi doza vimuKaH kRtajQaH satya vAc SuciH /
   paropakāranirataḥ pūjanīyaḥ surāsuraiḥ // NarP_1,3.61 //	para upakAra nirataH pUjanIyaH sura asurEH // NA rP_1,3.61 //
   vedārthaśravaṇe buddhiḥ purāṇaśravaṇe tathā /	veda arTa SravaNe budDiH purANa SravaNe taTA /
   satsaṃge 'pi ca yasyāsti so 'pi vandyaḥ surottamaiḥ // NarP_1,3.62 //	sat saMge api ca yasya asti saH api vandyaH sura uttamEH // NA rP_1,3.62 //
   evamādīnyanekāni karmāṇi śraddhayānvitaḥ /	evamAdIni anekAni karmANi SradDayA anvitaH /
   karoti bhārate varṣe saṃbandho 'smābhireva ca // NarP_1,3.63 //	karoti BArate varze saMbanDaH asmABiH eva ca // NA rP_1,3.63 //
   eteṣvanyatamo vipramātmānaṃ nārabhettu yaḥ /	etezu anyatamaH vipram AtmAnam na AraBet tu yaH /
   sa eva duṣkṛtirmūḍho nāstyanyo 'smādacetanaḥ // NarP_1,3.64 //	saH eva duzkRtiH mUXaH na asti anyaH asmAt acetanaH // NA rP_1,3.64 //
   saṃprāpya bhārate janma satkarma suparāṅmukhaḥ /	saMprApya BArate janma satkarma su parAFmuKaH /
   pīyūṣakalaśaṃ suktvā viṣabhāṇḍamupāśritaḥ // NarP_1,3.65 //	pIyUza kalaSam suktvA viza BANxam upASritaH // NA rP_1,3.65 //
   śrutismṛtyuditairddharmairnātmānaṃ pāvayettu yaḥ /	Sruti smRti uditEH dDarmEH na AtmAnam pAvayet tu yaH /
   sa evātmavidhātī syātpāpināmagraṇīrmune // NarP_1,3.66 //	saH eva Atma viDAtI syAt pApinAm agraNIH mune // NA rP_1,3.66 //
   karmabhūmiṃ samāsādya yo na dharmaṃ samācaret /	karma BUmim samAsAdya yaH na Darmam samAcaret /
   sa ca sarvādhamaḥ prokto vedavidbhirmunīśvara // NarP_1,3.67 //	sa ca sarva aDamaH proktaH veda vidBiH muni ISvaraH // NA rP_1,3.67 //
   śubhaṃ karma samutsṛjya duṣkarmāṇi karoti yaḥ /	SuBam karma samutsRjya duzkarmANi karoti yaH /
   kāmadhenuṃ parityajya arkakṣīraṃ saṃ mārgati // NarP_1,3.68 //	kAmaDenum parityajya arka kzIram sam mArgati // NA rP_1,3.68 //
   evaṃ bhāratabhūbhāgaṃ praśaṃsanti divaukasaḥ /	evam BArata BU BAgam praSaMsanti divOkasaH /
   brahmādyā api viprendra svabhogakṣayabhīravaḥ // NarP_1,3.69 //	brahma AdyAH api vipra indra sva Boga kzaya BIravaH // NA rP_1,3.69 //
   tasmātpuṇyatamaṃ jñeyaṃ bhārataṃ varṣamuttamam /	tasmAt puNyatamam jQeyam BAratam varzam uttamam /
   devānāṃ durlabhaṃ vāpi sarvakarmaphalapradam // NarP_1,3.70 //	devAnAm durlaBam vA api sarva karma Pala pradam // NA rP_1,3.70 //
   asminpuṇye ca bhūbhāge yastu satkarmasūdyataḥ /	asmin puNye ca BU BAge yaH tu sat karmasu udyataH /
   na tasya sadṛśaṃ kaścitriṣu vidyate // NarP_1,3.71 //	na tasya sadRSam kaH citrizu vidyate // NA rP_1,3.71 //
   asmiñjāto naro yastu svaṅkarmakṣapaṇodyataḥ /	asmin jAtaH naraH yaH tu svaFkarma kzapaNa udyataH /
   nararupaparicchannaḥ sa harirnātra saṃśayaḥ // NarP_1,3.72 //	nara rupa paricCannaH sa hariH na atra saMSayaH // NA rP_1,3.72 //
   paraṃ lokaphalaṃ prepsuḥ kiryātkarmāṇyatandritaḥ /	param loka Palam prepsuH kiryAt karmANi atandritaH /
   nivedya haraye bhaktyā tatphalaṃ hyakṣayaṃ smṛtam // NarP_1,3.73 //	nivedya haraye BaktyA tad Palam hi akzayam smRtam // NA rP_1,3.73 //
   virāgī cetkarmaphaleṣvapi kiñcitra kārayet /	virAgI ced karma Palezu api kiQcitra kArayet /
   arpayetsukṛtaṃ karma prīyatāmitiṃ me hariḥ // NarP_1,3.74 //	arpayet su kRtam karma prIyatAmitim me hariH // NA rP_1,3.74 //
   ābrahmabhuvanāllokāḥ punarutpattidāyakāḥ /	Abrahma BuvanAt lokAH punar utpatti dAyakAH /
   phalāgṛdhnuḥ karmaṇāṃ tatprātproti paramaṃ padam // NarP_1,3.75 //	Pala agRDnuH karmaNAm tat prAt proti paramam padam // NA rP_1,3.75 //
   vedoditāni karmāṇi kuryādīśvaratuṣṭaye /	veda uditAni karmANi kuryAt ISvara tuzwaye /
   yathāśramaṃ tyaktukāmaḥ prānpoti padamavyayam // NarP_1,3.76 //	yaTASramam tyaktu kAmaH prAn poti padam avyayam // NA rP_1,3.76 //
   niṣkāmo vā sakāmo vā kuryātkarma yathāvidhi /	nizkAmaH vA sa kAmaH vA kuryAt karma yaTAviDi /
   svāśramācāraśūnyaśca patitaḥ procyate budhaiḥ // NarP_1,3.77 //	sva ASrama AcAra SUnyaH ca patitaH procyate buDEH // NA rP_1,3.77 //
   sadācāraparo vipro varddhate brahmatejasā /	sat AcAra paraH vipraH vardDate brahma tejasA /
   tasya viṣṇuśca tuṣṭaḥ syādbhaktiyuktasya nārada // NarP_1,3.78 //	tasya vizNuH ca tuzwaH syAt Bakti yuktasya nArada // NA rP_1,3.78 //
   bhārate janma saṃprāpya nātmānaṃ tārayetu yaḥ /	BArate janma saMprApya na AtmAnam tArayetu yaH /
   pacyate niraye dhore sa tvācandrākratārakam // NarP_1,3.79 //	pacyate niraye Dore sa tvA acandrAkra tArakam // NA rP_1,3.79 //
   vāsadevaparo dharmo vāsudevaparaṃ tapaḥ /	vAsadeva paraH DarmaH vAsudeva param tapaH /
   vāsudevaparaṃ jñānaṃ vāsudevaparā gatiḥ // NarP_1,3.80 //	vAsudeva param jQAnam vAsudeva parA gatiH // NA rP_1,3.80 //
   vāsudevātmakaṃ sarvaṃ jagatsthāvarajaṅgamam /	vAsudeva Atmakam sarvam jagat sTAvara jaFgamam /
   ābrahmastambaparyantaṃ tasmādanyatra vidyate // NarP_1,3.81 //	Abrahma stamba paryantam tasmAt anyatra vidyate // NA rP_1,3.81 //
   sa eva dhātā tripurāntakaśca sa eva devāsurayajñarupaḥ /	saH eva DAtA tripurAntakaH ca saH eva deva asura yajQarupaH /
   sa evabrahmāṇḍamidaṃ tato 'nyanna kiñcidasti vyatiriktarupam //	saH eva brahmANxam idam tatas anyat na kiQcid asti vyatiriktarupam //
   NarP_1,3.82 //	NA rP_1,3.82 //
   asmātparaṃ nāparamasti kiñcidyasmādaṇīyānnatathā mahīyān /	asmAt param na aparam asti kiQcid yasmAt aNIya anna taTA mahIyAn /
   vyātpaṃ hi tenedamidaṃ vicitraṃ taṃ devadevaṃ praṇametsamīṅyam //	vyAtpam hi tena idam idam vicitram tam devadevam praNamet samIFyam //
   NarP_1,3.83 //	NA rP_1,3.83 //
   iti śrībṛhannāradīyapurāṇe pūrvabhāge prathamapāde	iti SrI bRhat nAradIyapurANe pUrva BAge praTama pAde
   sṛṣṭibharatakhaṇḍaprāśastyabhūgolānāṃ varṇanaṃ nāma tṛtīyo 'dhyāyaḥ	sRzwi Barata KaNxa prASastyaBU golAnAm varNanam nAma tRtIyaH aDyAyaH
   sanaka uvāca	sanakaH uvAca
   śraddhāpūrvāḥ sarvadharmā manorathaphalapradāḥ /	SradDA pUrvAH sarva DarmAH manoraTa Pala pradAH /
   śraddhayāsādhyate sarvaṃ śraddhayā tuṣyate hariḥ // NarP_1,4.1 //	SradDayA asADyate sarvam SradDayA tuzyate hariH // NA rP_1,4.1 //
   bhaktirbhaktyaiva karttavyātathā karmāṇi bhaktitaḥ /	BaktiH BaktyA eva karttavyA taTA karmANi BaktitaH /
   karmaścaddhāvihīnāni na sidhyantiṃ dvijo tamāḥ // NarP_1,4.2 //	karmaH cadDA vihInAni na siDyantim dvijaH tamAH // NA rP_1,4.2 //
   yathā'loko hi jantūnāṃ ceṣṭākāraṇatāṃ gataḥ /	yaTA alokaH hi jantUnAm cezwA kAraNa tAm gataH /
   tathaiva sarvasiddhīnāṃ bhaktiḥ paramakāraṇam // NarP_1,4.3 //	taTA eva sarva sidDInAm BaktiH parama kAraNam // NA rP_1,4.3 //
   yathā samasta lokānāṃ jīvanaṃ salilaṃ smṛtam /	yaTA samasta lokAnAm jIvanam salilam smRtam /
   tathā samastasiddhīnāṃ jīvanaṃ bhaktiriṣyate // NarP_1,4.4 //	taTA samasta sidDInAm jIvanam BaktiH izyate // NA rP_1,4.4 //
   yathā bhūmiṃ samāśritya sarve jīvanti jantavaḥ /	yaTA BUmim samASritya sarve jIvanti jantavaH /
   tathā bhaktiṃ samāśritya sarvakāryyāṇi sādhayet // NarP_1,4.5 //	taTA Baktim samASritya sarva kAryyANi sADayet // NA rP_1,4.5 //
   śraddhāvāṃllabhate dharṃmaṃ śraddhāvātarthamāpnuyāt /	SradDAvAn= laBate DarMmam SradDAvAtarTam ApnuyAt /
   śraddhayā sādhyate kāmaḥ śraddhāvānmokṣamānpuyāt // NarP_1,4.6 //	SradDayA sADyate kAmaH SradDAvAn mokza mAn puyAt // NA rP_1,4.6 //
   na dānairna tapobhirvā yajñairvā bahudakṣiṇaiḥ /	na dAnEH na tapoBiH vA yajQEH vA bahu dakziNEH /
   bhaktihīnermuniśceṣṭha tuṣyate bhagavānhariḥ // NarP_1,4.7 //	Bakti hIneH muniH cezWa tuzyate BagavAn hariH // NA rP_1,4.7 //
   merumātrasuvarṇānāṃ koṭikoṭisahasraśaḥ /	meru mAtra suvarNAnAm kowi kowi sahasraSas /
   dattā cāpyarthanāśāya yatobhaktivivarjitā // NarP_1,4.8 //	dattA ca api arTa nASAya yatas Bakti vivarjitAH // NA rP_1,4.8 //
   abhaktyā yattapastaptaiḥ kevalaṃ kāyaśoṣaṇam /	aBaktyA yat tapaH taptEH kevalam kAya SozaNam /
   abhaktyā yaddhutaṃ havyaṃ bhasmani nyastahavyavat // NarP_1,4.9 //	aBaktyA yat hutam havyam Basmani nyasta havya vat // NA rP_1,4.9 //
   yatkiñcitkurute karṃmaśraddhayāpyaṇumātrumātrakam /.	yat kiQcitkurute karMma SradDayA api aNu mAtru mAtrakam /.
   tannāma jāyate puṃsāṃ śāśvataṃ pratīdāyakam // NarP_1,4.10 //	tad nAma jAyate puMsAm SASvatam pratIdAyakam // NA rP_1,4.10 //
   aśvameghasahasraṃ vā karṃma vedoditaṃ kṛtam /	aSvameGa sahasram vA karMma veda uditam kRtam /
   tatsarvaṃ niṣphalaṃ brahmanyadi bhaktivivarjitam // NarP_1,4.11 //	tat sarvam nizPalam brahman yadi Bakti vivarjitam // NA rP_1,4.11 //
   haribhaktiḥ parā nṝṇāṃ kāmadhenūpamā smṛtā /	hari BaktiH parA nLNAm kAmaDenu upamA smRtA /
   tasyāṃ satyāṃ pibantyajñāḥ saṃsāragaralaṃ hyaho // NarP_1,4.12 //	tasyAm satyAm pibanti ajQAH saMsAra garalam hi aho // NA rP_1,4.12 //
   asārabhūte saṃsāre sārametadajātmaja /	asAra BUte saMsAre sAram etat aja Atmaja /
   bhagavadbhaktasaṅgaśca haribhaktistitikṣutā // NarP_1,4.13 //	Bagavat Bakta saFgaH ca hariBaktiH titikzutAH // NA rP_1,4.13 //
   asūyopetamanasāṃ bhaktidānādikarṃma yat /	asUyA upeta manasAm Bakti dAna Adi karMma yat /
   avehi niṣphalaṃ brahaṃsteṣāṃ dūrataro hariḥ // NarP_1,4.14 //	avehi nizPalam brahan= tezAm dUrataraH hariH // NA rP_1,4.14 //
   pariśriyābhitatpānāṃ dambhācāraratātmanām /	pariSriya aBitatpAnAm damBa AcAra rata AtmanAm /
   mṛṣā tu kurvatāṃ karma teṣāṃ dūrataro hariḥ // NarP_1,4.15 //	mRzA tu kurvatAm karma tezAm dUrataraH hariH // NA rP_1,4.15 //
   pṛcchatāṃ ca mahādharṃmānvadatāṃ vai mṛṣā ca tān /	pRcCatAm ca mahA DarMmAn vadatAm vE mRzA ca tAn /
   dharmeṣvabhaktimanasāṃ teṣāṃ dūrataro hariḥ // NarP_1,4.16 //	Darmezu aBakti manasAm tezAm dUrataraH hariH // NA rP_1,4.16 //
   vedapraṇihito dharṃmo dharṃmo vedo nārāyaṇaḥ paraḥ /	veda praNihitaH DarMmaH DarMmaH vedaH nArAyaNaH paraH /
   tatrāśraddhāparā ye tu teṣāṃ dūrataro hariḥ // NarP_1,4.17 //	tatra aSradDA parAH ye tu tezAm dUrataraH hariH // NA rP_1,4.17 //
   yasya dharṃmavihīnāni dinānyāyānti yānti ca /	yasya DarMma vihInAni dinAni AyAnti yAnti ca /
   sa lohakārabhastreva śvasannapi na jīvati // NarP_1,4.18 //	sa lohakAra BastrA iva Svasan= api na jIvati // NA rP_1,4.18 //
   dharmārthakāmamokṣākhyāḥ puruṣārthāḥ sanātanāḥ /	Darma arTa kAma mokza AKyAH puruza arTAH sanAtanAH /
   śraddhāvatāṃ hi sidhyanti nānyathā brahmanandanā // NarP_1,4.19 //	SradDAvatAm hi siDyanti na anyaTA brahmanandanAH // NA rP_1,4.19 //
   svācāramanatikramya haribhaktiparo hi yaḥ /	su AcAram anatikramya hari Bakti paraH hi yaH /
   sa yāti viṣṇubhavanaṃ yadvai paśyanti sūrayaḥ // NarP_1,4.20 //	sa yAti vizNu Bavanam yat vE paSyanti sUrayaH // NA rP_1,4.20 //
   kurvanvedoditāndharṃmānmunīndra svāśramocitān /	kurvan veda uditAn DarMmAt muni indra sva ASrama ucitAn /
   haridhyānaparoyastu sa yāti paramaṃ padam // NarP_1,4.21 //	hari DyAna paroyaH tu sa yAti paramam padam // NA rP_1,4.21 //
   ācāraprabhavo dharmaḥ dharṃmasya prabhuracyutaḥ /	AcAra praBavaH DarmaH DarMmasya praBuH acyutaH /
   āśramācārayuktena pūjitaḥ sarvadā hariḥ // NarP_1,4.22 //	ASrama AcAra yuktena pUjitaH sarvadA hariH // NA rP_1,4.22 //
   yaḥ svācāraparibhraṣṭaḥ sāṅgavedāntago 'pi vā /	yaH su a AcAra pariBrazwaH sAFga veda anta gaH api vA /
   sa eva patito jñeyo yataḥ karmabahiṣkṛtaḥ // NarP_1,4.23 //	saH eva patitaH jQeyaH yatas karma bahizkRtaH // NA rP_1,4.23 //
   haribhaktipari vāpi haridhyānaparo 'pi vā /	hari Bakti pari vA api hari DyAna paraH api vA /
   bhraṣṭo yaḥ svāśramācārātpatitaḥ so 'bhidhīyate // NarP_1,4.24 //	BrazwaH yaH sva ASrama AcArAt patitaH saH aBiDIyate // NA rP_1,4.24 //
   vedo vā haribhaktirvā bhaktirvāpi maheśvare /	vedaH vA hari BaktiH vA BaktiH vA api maheSvare /
   ācārātpatitaṃ mūḍhaṃ na punāti dvijottama // NarP_1,4.25 //	AcArAt patitam mUXam na punAti dvijottamaH // NA rP_1,4.25 //
   puṇyakṣetrābhigamanaṃ puṇyatīrthaniṣevaṇam /	puNya kzetra aBigamanam puNya tIrTa nizevaNam /
   yajño vā vividho brahmaṃstyaktācāraṃna rakṣati // NarP_1,4.26 //	yajQaH vA viviDaH brahman= tyakta AcAraM na rakzati // NA rP_1,4.26 //
   ācārātprāpyate svarga ācārātprāpyate sukham /	AcArAt prApyate svargaH AcArAt prApyate suKam /
   ācārātprāpyate mokṣa ācārātkiṃ na labhyate // NarP_1,4.27 //	AcArAt prApyate mokzaH AcArAt kim na laByate // NA rP_1,4.27 //
   ācārāṇāntu sarveṣāṃ yogānāṃ caiva sattam /	AcArANa antu sarvezAm yogAnAm ca eva sattam /
   haribhaktepari tathā nidānaṃ bhaktiriṣyate // NarP_1,4.28 //	hari Bakta Ipari taTA nidAnam BaktiH izyate // NA rP_1,4.28 //
   bhaktyaiva pūjyate viṣṇurvāñchitārthaphalapradaḥ /	BaktyA eva pUjyate vizNuH vAQCita arTa Pala pradaH /
   tasmātsamastalokānāṃ bhaktirmāteti gīyate // NarP_1,4.29 //	tasmAt samasta lokAnAm BaktiH mAtA iti gIyate // NA rP_1,4.29 //
   jīvanti jantavaḥ sarve yathā mātarāśritāḥ /	jIvanti jantavaH sarve yaTA mAtarASritAH /
   tathā bhaktiṃ samāśritya sarve jīvanti dhārṃmikāḥ // NarP_1,4.30 //	taTA Baktim samASritya sarve jIvanti DArMmikAH // NA rP_1,4.30 //
   svāśramācārayuktasya haribhaktiryadā bhavet /	sva ASrama AcAra yuktasya hari BaktiH yadA Bavet /
   na tasya triṣu lokeṣu sadṛśo 'styajanandana // NarP_1,4.31 //	na tasya trizu lokezu sadRSaH asti ajanandanaH // NA rP_1,4.31 //
   bhaktyā sidhyanti karṃmāṇi karṃmāṇi karṃmābhistuṣyate hariḥ /	BaktyA siDyanti karMmANi karMmANi karMmABiH tuzyate hariH /
   tasmiṃstuṣṭe bhavejjñānaṃ jñānānmokṣamavāpyate // NarP_1,4.32 //	tasmin= tuzwe Bavet jQAnam jQAnAt mokzam avApyate // NA rP_1,4.32 //
   bhaktistu bhagavadbhaktasaṅgena khalu jāyate /	BaktiH tu Bagavat Bakta saFgena Kalu jAyate /
   tatsaṅgaṃ prāpyate pumbhiḥ sukṛtaiḥ pūrvasañcitaiḥ // NarP_1,4.33 //	tad saFgam prApyate pumBiH su kRtEH pUrva saQcitEH // NA rP_1,4.33 //
