   Sarvatathāgatādhiṣṭhāna-vyūham Sūtram	Sarva-taTAgata-aDizWAna--vyUham SUtram
   saṃprakāśayiṣyāmi / bhagavānāha / yadi tvamānanda yanmayā dharmo bhāṣitaḥ	saMprakASayizyAmi / BagavAn-Aha / yadi tvam-Ananda yat-mayA DarmaH BAzitaH
   śruto dhārayituṃ tat sarvaṃ na dhāraye na vācaye na pūjaye na	SrutaH DArayitum tat sarvam na DAraye na vAcaye na pUjaye na
   vaistārikīkuryā tvayā mama nāparādhye na cāśuśrūṣā kṛtā bhave na	vEstArikIkuryA tvayA mama na-aparADye na ca-aSuSrUzA kRtA Bave na
   cāśrāvakatvam / yaśca imaṃ dharmaparyāya na dhāraye (Dutt 87) na vācaye na	ca-ASrAvaka-tvam / yaH-ca imam Darma-paryAya na DAraye (Dutt 87) na vAcaye na
   pūjaye na saṃprakāśaye na manasikuryā sa mām aparādhye aśuśrūṣā kṛtā bhave	pUjaye na saMprakASaye na manasikuryA sa mAm aparADye aSuSrUzA kRtA Bave
   aśrāvakatvaṃ bhave / tasmāttarhi tvamānanda satkṛtya ayaṃ dharmaparyāyo	aSrAvaka-tvam Bave / tasmAt-tarhi tvam-Ananda satkRtya ayam Darma-paryAyaH-
   dhārayitavyaḥ / ayaṃ te tathāgatasyānuttarasamyaksaṃbodhatathāgatakṛtyaṃ	DArayitavyaH / ayam te taTAgatasya-anuttara-samyaksaMboDa-taTAgata-kRtyam
   kariṣyati paścime kāle paścime samaye sarvasattvānām /	karizyati paScime kAle paScime samaye sarva-sattvAnAm /
   asmin khalu punardharmaparyāye bhagavatā bhāṣyamāṇe ṣaṣṭīnāṃ	asmin Kalu punar-Darma-paryAye BagavatA BAzyamANe zazwInAm
   prāṇisahasrāṇāmanupādāyāsravebhyaścittāni vimuktāni saptānāṃ śatānāṃ	prANi-sahasrANAm-anupAdAya-AsraveByaH-cittAni vimuktAni saptAnAm SatAnAm
   bodhisattvasamādhipratilaṃbho 'bhūt / pañcānāṃ śatānāṃ	boDisattva-samADi-pratilaMBaH aBUt / paQcAnAm SatAnAm
   nānābuddhakṣetravyākaraṇapratilaṃbho 'bhūt / navatīnāṃ prāṇisahasrāṇāṃ	nAnA-budDa-kzetra-vyAkaraNa-pratilaMBaH aBUt / navatInAm prANi-sahasrANAm
   sarvakleśavinirmuktāḥ sarvākṣaṇāpāyadurgatayaḥ prahīṇāḥ /	sarva-kleSa-vinirmuktAH sarva-akzaNa-apAya-durgatayaH prahINAH /
   athāryāvalokiteśvaro bodhisattvo mahāsattvaḥ punarbhagavantametadavocat /	aTa-Arya-avalokita-ISvaraH boDisattvaH mahAsattvaH punar-Bagavantam-etat-avocat /
   ayaṃ bhagavan dharmaparyāyaḥ paścimakāle paścimasamaye teṣāṃ kulaputrāṇāṃ	ayam Bagavan Darma-paryAyaH paScima-kAle paScima-samaye tezAm kula-putrANAm
   śrotṝṇāṃ dhārayitṝṇāṃ mānayitṝṇāṃ teṣāṃ ca lekhakānāṃ tathāgatakṛtyaṃ	SrotLNAm DArayitLNAm mAnayitLNAm tezAm ca leKakAnAm taTAgata-kRtyam
   kariṣyati / vyākṛtāste yathepsiteṣu nānābuddhakṣetreṣu / ye ca sattvāḥ	karizyati / vyAkRtAH-te yaTA-Ipsitezu nAnA-budDa-kzetrezu / ye ca sattvAH
   paścime kāle paścime[sama]ye hāsyanāṭyagītavāditeṣu nānāvyākṣepabahulā	paScime kAle paScime[-sama]ye hAsya-nAwya-gIta-vAditezu nAnA-vyAkzepa-bahulA
   rāgadveṣamohāndhā ratikrīḍāsaṃjñinaḥ anitye nityasaṃjñinaḥ	rAga-dveza-moha-anDAH rati-krIxA-saMjQinaH anitye nitya-saMjQinaH
   īrṣyāmātsaryadauḥśīlyaparigṛhītā na pūjayiṣyanti na mānayiṣyanti na	IrzyA-mAtsarya-dOHSIlya-parigRhItAH na pUjayizyanti na mAnayizyanti na
   śraddhāsyanti na pattīyiṣyanti na dhārayiṣyanti na śroṣyanti na	SradDAsyanti na pattIyizyanti na DArayizyanti na Srozyanti na
   pratipattyā pratipatsyante / te taṃ pūrvakarmaśubhaphalaṃ parikṣepaṃ kṛtvā	pratipattyA pratipatsyante / te tam pUrva-karma-SuBa-Palam parikzepam kRtvA
   nānāduḥkhadaurmanasyaṃ (Dutt 88) nārakaṃ duḥkhamanubhaviṣyanti / tataste	nAnA-duHKa-dOrmanasyam (Dutt 88) nArakam duHKam-anuBavizyanti / tatas-te
   anekāni kalpakoṭīśatāniduḥkhamanubhavitvā narakatiryagyoniyamalokeṣu	anekAni kalpa-kowI-SatAni-duHKam-anuBavitvA naraka-tiryagyoni-yama-lokezu
   vopapatsyante / dīrgharātramakalyāṇamitravaśāḥ paścānutāpino bhaviṣyanti	vA-upapatsyante / dIrGa-rAtram-akalyANa-mitra-vaSAH paSca-anutApinaH Bavizyanti
   imaṃ kṣaṇaṃ virāgayitvā / tasmāttarhi kāya[vāṅma]naḥsaṃvareṇa bhavitavyam	imam kzaNam virAgayitvA / tasmAt-tarhi kAya[vAc-ma]naH-saMvareNa Bavitavyam
   / buddhadharmasaṃghe[a]bhedyaprasādena sarvasattveṣu maitracittena	/ budDa-Darma-saMGe[a]Bedya-prasAdena sarva-sattvezu mEtra-cittena
   īrṣyāmātsaryadauḥśīlyacittaparivarjitena krodhaparivarjitena bhavitavyam /	IrzyA-mAtsarya-dOHSIlya-citta-parivarjitena kroDa-parivarjitena Bavitavyam /
   atha sā yathāsamāgatā parṣa taistaiḥ puṇyābhisaṃskāraiḥ tathāgataṃ	aTa sA yaTAsamAgatA parza tEH-tEH puNya-aBisaMskArEH taTAgatam
   pūjayati sma / divyapuṣpagandhamālyavilepanavastrābharaṇaiḥ kilikili	pUjayati sma / divya-puzpa-ganDa-mAlya-vilepana-vastra-ABaraNEH kili-kili
   prakṣveḍitaśabdaiśca divyatūryatāḍāvacarasaṃgīteḥ sādhukāraṃ pradadau /	prakzvexita-SabdEH-ca divya-tUrya-tAxA-vacara-saMgIteH sADu-kAram pradadO /
   tad yathā sādhu sādhu bhagavan subhāṣitamidaṃ mahādharmaparyāyaṃ	tat yaTA sADu sADu Bagavan suBAzitam-idam mahA-Darma-paryAyam
   sarvasattvānāmarthāya tathāgataśāsanacirasthityartham /	sarva-sattvAnAm-arTAya taTAgata-SAsana-cira-sTiti-arTam /
   athāyuṣmānānando bhagavantametadavocat / kiṃnāmāyaṃ bhagavan	aTa-AyuzmAn-AnandaH Bagavantam-etat-avocat / kiMnAma-ayam Bagavan
   dharmaparyāyaḥ kathaṃ ca vayaṃ bhagavan dhārayāmaḥ / bhagavānāha /	Darma-paryAyaH kaTam ca vayam Bagavan DArayAmaH / BagavAn-Aha /
   tasmāttarhi tvamānanda imaṃ dharmaparyāyaṃ	tasmAt-tarhi tvam-AnandaH imam Darma-paryAyam
   sarvatathāgatajñānabodhisattvabhūmikramaṇamityapi nāma dhāraya /	sarva-taTAgata-jQAna-boDisattva-BUmi-kramaNam-iti-api nAma DAraya /
   ṛddhivikurvāṇamahātmasannipātamityapi nāma dhāraya /	RdDi-vikurvANa-mahAtmasannipAtam-iti-api nAma DAraya /
   sarvatathāgatādhiṣṭhānasattvāvalokanabuddhakṣetrasandarśanavyūhamityapi	sarva-taTAgata-aDizWAna-sattva-avalokana-budDa-kzetrasandarSana-vyUham-iti-api
   nāma dhāraya / idamavocad bhagavān / āttamānāḥ	nAma DAraya / idam-avocat BagavAn / AttamAnAH
   āryāvalokiteśvaramaṃjuśrīvajrapāṇiprabhṛtayaḥ sarve bodhisattvā	Arya-avalokita-ISvara-maMju-SrI-vajrapANi-praBRtayaH sarve boDisattvA
   mahāsattvāḥ sarve ca mahāśrāvakāḥ sarve ca śakrabrahmalokapālāścatvāraśca	mahAsattvAH sarve ca mahA-SrAvakAH sarve ca Sakra-brahma-lokapAlAH-catvAraH-ca
   (Dutt 89) mahārājā mahāyakṣiṇyaḥ anaupamyā	(Dutt 89) mahA-rAjAH mahA-yakziNyaH anOpamyA
   vimalaprabhā[prabhāvatībhīmāśrīśaṃkhinīharitāmahādevī]prabhṛtayo	vimala-praBA[-praBAvatI-BIma-aSrI-SaMKinI-haritA-mahAdevI]-praBRtayo
   devanāgayakṣagandharvāsura[garuḍakinnaramahoragāḥ] / sā ca sarvāvatī	deva-nAga-yakza-ganDarva-asura-[-garuxa-kinnara-mahA-uragAH] / sA ca sarvAvatI
   parṣayathāsamāgatā bhagavato bhāṣitamabhinandya[sādhukāramadāt / sādhu	parza-yaTA-samAgatAH BagavataH BAzitam-aBinandya[-sADukAram-adAt / sADu
   sādhu bhagavan] / [iti	sADu Bagavan] / [iti
   sarvatathāgatādhiṣṭhānasattvavalokanabuddhakṣetrasandarśanavyūham nāma	sarva-taTAgata-aDizWAna-sattva-valokana-budDa-kzetra-sandarSana-vyUham nAma
   mahāyānasūtram] /	mahAyAna-sUtram] /
