   Vimalakīrtinirdeśa	Vimala-kIrti-nirdeSa
   Vkn .1.13 api ca ratnākara,	Vk .1.13 api ca ratna-Akara,
   āśayakṣetraṃ bodhisatvasya buddhakṣetram, tasya bodhiprāptasyāśaṭhā	ASaya-kzetram boDisatvasya budDa-kzetram, tasya boDi-prAptasya-aSaWA
   amāyāvinaḥ satvā buddhakṣetra upapadyante /	amAyAvinaH satvAH budDa-kzetre upapadyante /
   adhyāśayakṣetraṃ kulaputra bodhisatvasya buddhakṣetram, tasya	aDyASaya-kzetram kula-putra boDisatvasya budDa-kzetram, tasya
   bodhiprāptasya sarvakuśalasaṃbhāropacitāḥ satvā buddhakṣetre saṃbhavanti /	boDi-prAptasya sarva-kuSala-saMBAra-upacitAH satvAH budDa-kzetre saMBavanti /
   prayogakṣetraṃ bodhisatvasya buddhakṣetram, tasya bodhiprāptasya	prayoga-kzetram boDisatvasya budDa-kzetram, tasya boDi-prAptasya
   sarvakuśaladharmopasthitāḥ satvās tatra buddhakṣetra upapadyante /	sarva-kuSala-Darma-upasTitAH satvAH tatra budDa-kzetre upapadyante /
   udāro bodhisatvasya bodhicittotpādo buddhakṣetram, tasya bodhiprāptasya	udAraH boDisatvasya boDi-citta-utpAdaH budDa-kzetram, tasya boDi-prAptasya
   mahāyānasaṃprasthitāḥ satvās tatra buddhakṣetre saṃbhavanti /	mahAyAna-saMprasTitAH satvAH tatra budDa-kzetre saMBavanti /
   dānakṣetraṃ bodhisatvasya buddhakṣetram, tasya bodhiprāptasya	dAna-kzetram boDisatvasya budDa-kzetram, tasya boDi-prAptasya
   sarvaparityāginaḥ satvās tatra buddhakṣetre saṃbhavanti /	sarva-parityAginaH satvAH tatra budDa-kzetre saMBavanti /
   śīlakṣetraṃ bodhisatvasya buddhakṣetram, tasya bodhiprāptasya	SIla-kzetram boDisatvasya budDa-kzetram, tasya boDi-prAptasya
   sarvābhiprāyasaṃpannā daśakuśalakarmapathasaṃrakṣakāḥ satvās tatra	sarva-aBiprAya-saMpannAH daSa-kuSala-karma-paTa-saMrakzakAH satvAH tatra
   buddhakṣetre saṃbhavanti /	budDa-kzetre saMBavanti /
   kṣāntikṣetraṃ kulaputra bodhisatvasya buddhakṣetram, tasya bodhiprāptasya	kzAnti-kzetram kula-putra boDisatvasya budDa-kzetram, tasya boDi-prAptasya
   dvātriṃśallakṣanālaṃkṛtāḥ kṣāntidamaśamathapāramiprāptāḥ satvā	dvAtriMSat-lakzana-alaMkRtAH kzAnti-dama-SamaTa-pArami-prAptAH satvA
   buddhakṣetre saṃbhavanti /	budDa-kzetre saMBavanti /
   vīryakṣetraṃ bodhisatvasya buddhakṣetram, tasya bodhiprāptasya	vIrya-kzetram boDisatvasya budDa-kzetram, tasya boDi-prAptasya
   sarvakuśalaparyeṣṭiṣv ārabdhavīryāḥ satvā buddhakṣetre saṃbhavanti /	sarva-kuSala-paryezwizu ArabDa-vIryAH satvAH budDa-kzetre saMBavanti /
   dhyānakṣetraṃ bodhisatvasya buddhakṣetram, tasya bodhiprāptasya	DyAna-kzetram boDisatvasya budDa-kzetram, tasya boDi-prAptasya
   smṛtisaṃprajanyasamāhitāḥ satvā buddhakṣetre saṃbhavanti /	smRti-saMprajanya-samAhitAH satvAH budDa-kzetre saMBavanti /
   prajñākṣetraṃ bodhisatvasya buddhakṣetram, tasya bodhiprāptasya	prajQA-kzetram boDisatvasya budDa-kzetram, tasya boDi-prAptasya
   samyaktvaniyatāḥ satvā buddhakṣetre saṃbhavanti /	samyaktva-niyatAH satvAH budDa-kzetre saMBavanti /
   catvāry apramāṇāni ca bodhisatvasya buddhakṣetram, tasya bodhiprāptasya	catvAri apramANAni ca boDisatvasya budDa-kzetram, tasya boDi-prAptasya
   maitrīkaruṇāmuditopekṣāvihārinaḥ satvā buddhakṣetre saṃbhavanti /	mEtrI-karuNAm-udita-upekzA-vihArinaH satvAH budDa-kzetre saMBavanti /
   catvāri saṃgrahavastūni kulaputra bodhisatvasya buddhakṣetram, tasya	catvAri saMgraha-vastUni kula-putra boDisatvasya budDa-kzetram, tasya
   bodhiprāptasya sarvavimuktisaṃgṛhītāḥ satvā buddhakṣetre saṃbhavanti /	boDi-prAptasya sarva-vimukti-saMgRhItAH satvAH budDa-kzetre saMBavanti /
   upāyakauśalyaṃ bodhisatvasya buddhakṣetram, tasya bodhiprāptasya	upAya-kOSalyam boDisatvasya budDa-kzetram, tasya boDi-prAptasya
   sarvopāyamīmāṃsākuśalāḥ satvā buddhakṣetre saṃbhavanti /	sarva-upAya-mImAMsA-kuSalAH satvAH budDa-kzetre saMBavanti /
   saptatriṃśadbodhipakṣā dharmā bodhisatvasya buddhakṣetram, tasya	saptatriMSat-boDi-pakzAH DarmAH boDisatvasya budDa-kzetram, tasya
   bodhiprāptasya	boDi-prAptasya
   samyaksmṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgavidhijñāḥ	samyak-smRti-upasTAna-samyak-prahANa-RdDi-pAda-indriya-bala-boDi-aFga-mArga-viDi-jQAH
   satvā buddhakṣetre saṃbhavanti /	satvAH budDa-kzetre saMBavanti /
   pariṇāmanācittaṃ bodhisatvasya buddhakṣetram, tasya bodhiprāptasya	pariNAmana-acittam boDisatvasya budDa-kzetram, tasya boDi-prAptasya
   sarvaguṇālaṃkāraṃ buddhakṣetraṃ dṛśyate /	sarva-guNa-alaMkAram budDa-kzetram dRSyate /
   aṣṭākṣaṇapraśamadeśanā kulaputra bodhisatvasya buddhakṣetram, tasya	azwa-akzaNa-praSama-deSanA kula-putra boDisatvasya budDa-kzetram, tasya
   bodhiprāptasya sarvāpāyasamucchinnam aṣṭākṣaṇavigataṃ buddhakṣetraṃ	boDi-prAptasya sarva-apAya-samucCinnam azwa-akzaNa-vigatam budDa-kzetram
   saṃbhavanti /	saMBavanti /
   svayaṃ śikṣāpadeṣu vartamānā parāpattyacodanatā bodhisatvasya	svayam SikzA-padezu vartamAnA parApatti-acodana-tA boDisatvasya
   buddhakṣetram, tasya bodhiprāptasyāpattiśabdo 'pi buddhakṣetre na	budDa-kzetram, tasya boDi-prAptasya-Apatti-SabdaH api budDa-kzetre na
   saṃbhavati /	saMBavati /
   daśakuśalakarmapathapariśuddhiḥ kulaputra bodhisatvasya buddhakṣetram,	daSa-kuSala-karma-paTa-pariSudDiH kula-putra boDisatvasya budDa-kzetram,
   tasya bodhiprāptasya niyatāyuṣo mahābhogā brahmacāriṇaḥ	tasya boDi-prAptasya niyata-AyuzaH mahA-BogAH brahmacAriNaH
   satyānuparivartinyā vācālaṃkṛtā madhuravacanā abhinnaparṣado	satya-anuparivartinyAH vAcA-alaMkRtAH maDura-vacanAH aBinna-parzadaH-
   bhinnasaṃdhānakuśalā īrṣyāvigatā avyāpannacittāḥ samyagdṛṣṭisamanvāgatāḥ	Binna-saMDAna-kuSalAH IrzyA-vigatAH avyApanna-cittAH samyak-dRzwi-samanvAgatAH
   satvā buddhakṣetre saṃbhavanti /	satvAH budDa-kzetre saMBavanti /
   Vkn .1.14 iti hi kulaputra, yāvanto bodhisatvasya prayogās tāvanta āśayāḥ	Vk .1.14 iti hi kula-putra, yAvantaH boDisatvasya prayogAH tAvantaH ASayAH
   / yāvanta āśayās tāvanto 'dhyāśayāḥ / yāvanto 'dhyāśayās tāvantyo	/ yAvantaH ASayAH tAvantaH aDyASayAH / yAvantaH aDyASayAH tAvantyaH-
   nidhyaptayaḥ / yāvantyo nidhyaptayas tāvantyaḥ pratipattayaḥ / yāvantyaḥ	niDyaptayaH / yAvantyaH niDyaptayaH tAvantyaH pratipattayaH / yAvantyaH
   pratipattayas tāvantyaḥ pariṇāmanāḥ / yāvantyaḥ pariṇāmanās tāvanta upāyāḥ	pratipattayaH tAvantyaH pariNAmanAH / yAvantyaH pariNAmanAH tAvantaH upAyAH
   / yāvanta upāyās tāvantyaḥ kṣetrapariśuddhayaḥ / yādṛśī kṣetrapariśuddhis	/ yAvantaH upAyAH tAvantyaH kzetra-pariSudDayaH / yAdRSI kzetra-pariSudDi-s
   tādṛśī satvapariśuddhiḥ / yādṛśī satvapariśuddhis tādṛśī jñānapariśuddhiḥ	tAdRSI satva-pariSudDiH / yAdRSI satva-pariSudDiH tAdRSI jQAna-pariSudDiH
   / yādṛśī jñānapariśuddhis tādṛśī deśanāpariśuddhiḥ / yādṛśī	/ yAdRSI jQAna-pariSudDiH tAdRSI deSanA-pariSudDiH / yAdRSI
   deśanāpariśuddhis tādṛśī jñānapratipattipariśuddhiḥ / yādṛśī	deSanA-pariSudDiH tAdRSI jQAna-pratipatti-pariSudDiH / yAdRSI
   jñānapratipattipariśuddhis tādṛśī svacittapariśuddhiḥ /	jQAna-pratipatti-pariSudDiH tAdRSI sva-citta-pariSudDiH /
   tasmāt tarhi kulaputra buddhakṣetraṃ pariśodhayitukāmena bodhisatvena	tasmAt tarhi kula-putra budDa-kzetram pariSoDayitu-kAmena boDisatvena
   svacittapariśodhane yatnaḥ karaṇīyaḥ / tat kasya hetoḥ / yādṛśī	sva-citta-pariSoDane yatnaH karaNIyaH / tat kasya hetoH / yAdRSI
   bodhisatvasya cittapariśuddhis tādṛśī buddhakṣetrapariśuddhiḥ saṃbhavati /	boDisatvasya citta-pariSudDiH tAdRSI budDa-kzetra-pariSudDiH saMBavati /
   Vkn .1.15 atha buddhānubhāvenāyuṣmataḥ śāriputrasyaitad abhavat: yadi	Vk .1.15 aTa budDa-anuBAvena-AyuzmataH SAriputrasya-etat aBavat: yadi
   yādṛśī cittapariśuddhis tādṛśī bodhisatvasya buddhakṣetrapariśuddhiḥ	yAdRSI citta-pariSudDiH tAdRSI boDisatvasya budDa-kzetra-pariSudDiH
   saṃbhavati, tan mā āhaiva bhagavataḥ śākyamuner bodhisatvacaryāṃ carataś	saMBavati, tat mA Aha-eva BagavataH SAkya-muneH boDisatva-caryAm carataS
   cittam apariśuddhaṃ yenedaṃ buddhakṣetram evam apariśuddhaṃ saṃdṛśyate /	cittam apariSudDam yena-idam budDa-kzetram evam apariSudDam saMdRSyate /
   atha khalu bhagavān āyuṣmataḥ śāriputrasya cetasaiva cetaḥparivitarkam	aTa Kalu BagavAn AyuzmataH SAriputrasya cetasA-eva cetaH-parivitarkam
   ājñāyāyuṣmantaṃ śāriputram etad avocat: tat kiṃ manyase, śāriputra mā	AjQAya-Ayuzmantam SAriputram etat avocat: tat kim manyase, SAriputra mA
   āhaiva sūryācandramasāv apariśuddhau yaj jātyandho na paśyati /	Aha-eva sUryAcandramasO apariSudDO yat jAti-anDaH na paSyati /
   āha: no hīdaṃ bhagavan jātyandhāparādha eṣa na sūryacandramasoḥ /	Aha: no hi-idam Bagavan jAti-anDa-aparADaH eza na sUrya-candramasoH /
   āha: evam eva śāriputra satvānām ajñānāparādha eṣa yas tathāgatasya	Aha: evam eva SAriputra satvAnAm ajQAna-aparADaH eza yaH taTAgatasya
   buddhakṣetraguṇālaṃkāravyūhaṃ kecit satvā na paśyanti, na tatra	budDa-kzetra-guNa-alaMkAra-vyUham kecid satvAH na paSyanti, na tatra
   tathāgatasyāparādhaḥ / pariśuddhaṃ hi śāriputra tathāgatasya buddhakṣetraṃ	taTAgatasya-aparADaH / pariSudDam hi SAriputra taTAgatasya budDa-kzetram
   yūyaṃ punar idaṃ na paśyatha /	yUyam punar idam na paSyaTa /
   Vkn .1.16 atha khalu jaṭī brahmā sthaviraṃ śāriputram etad avocat: mā	Vk .1.16 aTa Kalu jawI brahmA sTaviram SAriputram etat avocat: mA
   bhadantaśāriputra tathāgatasyāpariśuddhaṃ buddhakṣetram idaṃ vyāhārṣīt /	Badanta-SAriputra taTAgatasya-apariSudDam budDa-kzetram idam vyAhArzIt /
   pariśuddhaṃ hi bhadantaśāriputra bhagavato buddhakṣetram / tadyathāpi nāma	pariSudDam hi Badanta-SAriputra BagavataH budDa-kzetram / tat-yaTA-api nAma
   śāriputra vaśavartināṃ devānāṃ bhavanavyūhāḥ / īdṛśān vayaṃ	SAriputra vaSa-vartinAm devAnAm Bavana-vyUhAH / IdRSAn vayam
   buddhakṣetraguṇavyūhān bhagavataḥ śākyamuneḥ paśyāmaḥ /	budDa-kzetra-guNa-vyUhAn BagavataH SAkya-muneH paSyAmaH /
   atha khalu sthaviraḥ śāriputro jaṭinaṃ brahmāṇam etad avocat: vayaṃ punar	aTa Kalu sTaviraH SAriputraH jawinam brahmANam etat avocat: vayam punar-
   brahmann imāṃ mahāpṛthivīm utkūlanikūlāṃ	brahman imAm mahA-pRTivIm utkUla-nikUlAm
   kaṇṭakaprapātagiriśekharaśvabhragūthoḍigallapratipūrṇāṃ paśyāmaḥ /	kaNwaka-prapAta-giri-SeKara-SvaBra-gUTA-Uxi-galla-pratipUrNAm paSyAmaH /
   jaṭī brahmāha: nūnaṃ bhadantaśāriputrasyotkūlanikūlaṃ cittam	jawI brahma-aha: nUnam Badanta-SAriputrasya-utkUla-nikUlam cittam
   apariśuddhabuddhajñānāśayaṃ yenedṛśaṃ buddhakṣetraṃ paśyasi / ye punas te	apariSudDa-budDa-jQAna-ASayam yena-IdRSam budDa-kzetram paSyasi / ye punar te
   bhadantaśāriputra bodhisatvāḥ sarvasatvasamacittāḥ	Badanta-SAriputra boDisatvAH sarva-satva-sama-cittAH
   pariśuddhabuddhajñānāśayās ta imaṃ buddhakṣetraṃ pariśuddhaṃ paśyanti /	pariSudDa-budDa-jQAna-ASayAH te imam budDa-kzetram pariSudDam paSyanti /
   Vkn .1.17 atha bhagavān pādāṅguṣṭhena imaṃ trisāhasramahāsāhasraṃ	Vk .1.17 aTa BagavAn pAdAFguzWena imam tri-sAhasra-mahA-sAhasram
   lokadhātuṃ parāhanti sma / atha khalu tasmin samaye 'yaṃ	lokaDAtum parAhanti sma / aTa Kalu tasmin samaye ayam
   trisāhasramahāsāhasro lokadhātur anekaratnaśatasahasrasaṃcito	tri-sAhasra-mahA-sAhasraH lokaDAtuH aneka-ratna-Sata-sahasra-saMcito
   'nekaratnaśatasahasrapratyarpitaḥ saṃsthito 'bhūt / tadyathāpi nāma	aneka-ratna-Sata-sahasra-pratyarpitaH saMsTitaH aBUt / tat-yaTA-api nAma
   ratnavyūhasya tathāgatasyānantaguṇaratnavyūho lokadhātus tādṛśo 'yaṃ	ratna-vyUhasya taTAgatasya-ananta-guNa-ratna-vyUhaH lokaDAtuH tAdRSaH ayam
   lokadhātuḥ saṃdṛśyate sma / tatra sā sarvāvatī parṣad āścaryaprāptā	lokaDAtuH saMdRSyate sma / tatra sA sarvAvatI parzad AScarya-prAptA
   ratnapadmaniṣaṇnam ātmānaṃ saṃjānīte sma /	ratna-padma-nizaNnam AtmAnam saMjAnIte sma /
   Vkn .1.18 tatra bhagavān āyuṣmantaṃ śāriputram āmantrayate sma: paśyasi	Vk .1.18 tatra BagavAn Ayuzmantam SAriputram Amantrayate sma: paSyasi
   tvaṃ śāriputra imān buddhakṣetraguṇavyūhān /	tvam SAriputraH imAn budDa-kzetra-guNa-vyUhAn /
   āha: paśyāmi bhagavan adṛṣṭāśrutapūrvā ime vyūhāḥ saṃdṛśyante /	Aha: paSyAmi Bagavan adRzwa-aSruta-pUrvAH ime vyUhAH saMdRSyante /
   āha: īdṛśaṃ mama śāriputra sadā buddhakṣetram / hīnasatvaparipākāya tu	Aha: IdRSam mama SAriputra sadA budDa-kzetram / hIna-satva-paripAkAya tu
   tathāgata evaṃ bahudoṣaduṣṭaṃ buddhakṣetram upadarśayati / tadyathā	taTAgataH evam bahu-doza-duzwam budDa-kzetram upadarSayati / tat-yaTA
   śāriputra devaputrāṇām ekapātryāṃ bhuñjānānāṃ yathā puṇyopacayaviśeṣeṇa	SAriputra deva-putrANAm eka-pAtryAm BuQjAnAnAm yaTA puNya-upacaya-viSezeNa
   sudhādevabhojanam upatiṣṭhataḥ, evam eva śāriputra ekabuddhakṣetropapannā	suDA-deva-Bojanam upatizWataH, evam eva SAriputraH ekabudDa-kzetra-upapannA
   yathā cittapariśuddhyā satvā buddhānāṃ buddhakṣetraguṇavyūhān paśyanti /	yaTA citta-pariSudDyA satvAH budDAnAm budDa-kzetra-guNa-vyUhAn paSyanti /
   Vkn .1.19 asmin khalu punar buddhakṣetraguṇavyūhālaṃkāre saṃdarśyamāne	Vk .1.19 asmin Kalu punar budDa-kzetra-guNa-vyUha-alaMkAre saMdarSyamAne
   caturaśīteḥ prāṇisahasrāṇām anuttarāyāṃ samyaksaṃbodhau cittāny utpannāni	caturaSIteH prANi-sahasrANAm anuttarAyAm samyaksaMboDO cittAni utpannAni
   / yāni ca tāni ratnākareṇa licchavikumāreṇa sārdhaṃ pañca	/ yAni ca tAni ratna-AkareNa licCa-vikumAreNa sArDam paQca
   licchavikumāraśatāny āgatāni teṣām apy ānulomikyāḥ kṣānteḥ pratilaṃbho	licCa-vikumAra-SatAni AgatAni tezAm api AnulomikyAH kzAnteH pratilaMBo
   'bhūt /	aBUt /
   Vkn .1.20 atha bhagavān punar eva tām ṛddhiṃ pratisaṃharati sma / tataḥ	Vk .1.20 aTa BagavAn punar eva tAm RdDim pratisaMharati sma / tatas-
   punar evedaṃ buddhakṣetraṃ tatsvabhāvam eva saṃvṛtam, tatra	punar eva-idam budDa-kzetram tad-svaBAvam eva saMvRtam, tatra
   śrāvakayānikānāṃ devamanuṣyāṇām ḥ anityā bateme sarvasaṃskārā iti viditvā	SrAvaka-yAnikAnAm deva-manuzyANAm H anityA bata-ime sarva-saMskArAH iti viditvA
   dvātriṃśatā prāṇisahasrāṇāṃ virajovigatamalaṃ dharmeṣu dharmacakṣur	dvAtriMSatA prANi-sahasrANAm virajaH-vigata-malam Darmezu Darma-cakzuH-
   viśuddham / aṣṭānāṃ ca bhikṣusahasrāṇām anupādāyāsravebhyaś cittāni	viSudDam / azwAnAm ca Bikzu-sahasrANAm anupAdAya-AsraveByaH cittAni
   vimuktāni / caturaśīteś ca prāṇisahasrāṇām udārabuddhadharmādhimuktānāṃ Ō	vimuktAni / caturaSIteH ca prANi-sahasrANAm udAra-budDa-Darma-aDimuktAnAm Ō
   viṭhapanapratyupasthānalakṣaṇāḥ sarvadharmā iti viditvānuttarasyāṃ	viWapana-pratyupasTAna-lakzaNAH sarva-DarmAH iti viditvA-anuttarasyAm
   samyaksaṃbodhau cittāny utpannāni // //	samyaksaMboDO cittAni utpannAni // //
   buddhakṣetrapariśuddhinidānaparivartaḥ prathamaḥ //	budDa-kzetra-pariSudDi-nidAna-parivartaH praTamaH //
   Vkn .2.1 tena khalu punaḥ samayena vaiśālyāṃ mahānagaryāṃ vimalakīrtir	Vk .2.1 tena Kalu punar samayena vESAlyAm mahA-nagaryAm vimala-kIrtiH-
   nāma licchaviḥ prativasati sma / pūrvajinakṛtādhikāraḥ,	nAma licCaviH prativasati sma / pUrva-jina-kRta-aDikAraH,
   avaropitakuśalamūlaḥ, bahubuddhaparyupāsitaḥ, pratilabdhakṣāntikaḥ,	avaropita-kuSala-mUlaH, bahu-budDa-paryupAsitaH, pratilabDa-kzAntikaH,
   labdhapratibhānaḥ, mahābhijñāvikrīḍitaḥ, dhāraṇīpratilabdhaḥ,	labDa-pratiBAnaH, mahA-aBijQA-vikrIxitaH, DAraNI-pratilabDaH,
   vaiśāradyaprāptaḥ, nihatamārapratyarthikaḥ, gambhīradharmanayasupraviṣṭaḥ,	vESAradya-prAptaH, nihata-mAra-pratyarTikaH, gamBIra-Darma-naya-su-pravizwaH,
   prajñāpāramitānirjātaḥ, upāyakauśalyagatiṃgataḥ, pratibhānasamanvāgataḥ,	prajQApAramitA-nirjAtaH, upAya-kOSalya-gatiMgataH, pratiBAna-samanvAgataH,
   satvāśayacaritakuśalaḥ, indriyaparāparajñānaniryātaḥ,	satva-ASaya-carita-kuSalaH, indriya-para-apara-jQAna-niryAtaH,
   yathāpratyarhadharmadeśakaḥ, kṛtaniścayaḥ kṛtaśrama iha mahāyāne,	yaTA-pratyarha-Darma-deSakaH, kRta-niScayaH kRta-SramaH iha mahAyAne,
   suparīkṣitakarmakārī, buddheryāpathapratiṣṭhitaḥ,	su-parIkzita-karma-kArI, budDa-IH-yApaTa-pratizWitaH,
   sāgaravarabuddhyanupraviṣṭaḥ, sarvabuddhastutastomitapraśaṃsitaḥ,	sAgara-vara-budDi-anupravizwaH, sarva-budDa-stuta-stomita-praSaMsitaH,
   sarvaśakrabrahmalokapālanamaskṛtaḥ, sa satvaparipākāyopāyakauśalyena	sarva-Sakra-brahma-lokapAla-namaskRtaH, sa satva-paripAkAya-upAya-kOSalyena
   vaiśālyāṃ mahānagaryāṃ prativasati sma /	vESAlyAm mahA-nagaryAm prativasati sma /
   Vkn .2.2 akṣayabhogo daridrānāthasatvasaṃgrahāya / pariśuddhaśīlo	Vk .2.2 akzaya-BogaH daridra-anATa-satva-saMgrahAya / pariSudDa-SIlaH-
   duḥśīlasaṃgrahāya / kṣamadamaprāpto duṣṭapraduṣṭavyāpannakrudhacittānāṃ	duHSIla-saMgrahAya / kzama-dam-aprAptaH duzwa-praduzwa-vyApanna-kruDa-cittAnAm
   satvānāṃ saṃgrahāya / uttaptavīryaḥ kusīdānāṃ satvānāṃ saṃgrahāya /	satvAnAm saMgrahAya / uttapta-vIryaH kusIdAnAm satvAnAm saMgrahAya /
   dhyānasmṛtisamādhisthito vibhrāntacittānāṃ satvānāṃ saṃgrahāya /	DyAna-smRti-samADi-sTitaH viBrAnta-cittAnAm satvAnAm saMgrahAya /
   prajñāniścayaprāpto duḥprajñānāṃ satvānāṃ saṃgrahāya /	prajQA-niScaya-prAptaH duHprajQAnAm satvAnAm saMgrahAya /
   Vkn .2.3 avadātavastradhārī śramaṇeryāpathasaṃpannaḥ / gṛhavāsasthitaḥ	Vk .2.3 avadAta-vastra-DArI SramaNeH-yApaTa-saMpannaH / gRha-vAsa-sTitaH
   kāmadhāturūpadhātvārūpyadhātvasaṃsṛṣṭaḥ / bhāryāputradārāṃś ca	kAmaDAtu-rUpa-DAtu-ArUpya-DAtu-asaMsRzwaH / BAryA-putra-dArAn ca
   saṃdarśayati, sadā ca brahmacārī / parivāraparivṛtaś ca bhavati, sadā ca	saMdarSayati, sadA ca brahmacArI / parivAra-parivRtaH ca Bavati, sadA ca
   vivekacārī / ābharaṇavibhūṣitaś ca saṃdṛśyate, sadā ca lakṣaṇaparicchinnaḥ	viveka-cArI / ABaraNa-viBUzitaH ca saMdRSyate, sadA ca lakzaNa-paricCinnaH
   / annapānabhojanajīvaḥ saṃdṛśyate, sadā ca dhyānāhāraḥ /	/ anna-pAna-Bojana-jIvaH saMdRSyate, sadA ca DyAna-AhAraH /
   sarvadyūtakaraśālāsu ca saṃdṛśyate, dyūtakrīḍāsaktacittāṃś ca satvān	sarva-dyUta-kara-SAlAsu ca saMdRSyate, dyUta-krIxA-Asakta-cittAn ca satvAn
   paripācayati, sadā cāpramādacārī / sarvapāṣaṇḍapratyeṣakaś ca / buddhe	paripAcayati, sadA ca-apramAda-cArI / sarva-pAzaNxa-pratyezakaH ca / budDe
   cābhedyāśayaḥ / sarvalaukikalokottaraśāstravidhijñaś ca / sadā ca	ca-aBedya-ASayaH / sarva-lOkika-loka-uttara-SAstra-viDi-jQaH ca / sadA ca
   dharmārāmaratirataḥ / sarvasaṃgaṇikāsu ca saṃdṛśyate, sarvatra	Darma-ArAm-aratirataH / sarva-saMgaNikAsu ca saMdRSyate, sarvatra
   cāgrapūjitaḥ /	ca-agra-pUjitaH /
   Vkn .2.4 dharmavādī ca vṛddhamadhyadahrasahāyakaś ca lokānuvartanāya /	Vk .2.4 Darma-vAdI ca vRdDa-maDya-dahrasahAyakaH ca loka-anuvartanAya /
   sarvavyavahārodyuktaś ca na ca lābhabhogābhilāṣī /	sarva-vyavahAra-udyuktaH ca na ca lABa-Boga-aBilAzI /
   sarvacatvaraśrṅgāṭakeṣu ca saṃdṛśyate sarvasatvavainayikatāyai /	sarva-catvara-SrFgAwakezu ca saMdRSyate sarva-satva-vEnayika-tAyE /
   rājakāryānupraviṣṭaś ca satvārakṣāyai /	rAja-kArya-anupravizwaH ca satva-ArakzAyE /
   sarvadharmaśravaṇasāṃkathyeṣu ca saṃdṛśyate hīnayānavicchandanāya mahāyāne	sarva-Darma-SravaNa-sAMkaTyezu ca saMdRSyate hIna-yAna-vicCandanAya mahAyAne
   samādāpanatayā /	samAdApana-tayA /
   sarvalipiśālāsu copasaṃkrāmati dārakaparipācanāya /	sarva-lipi-SAlAsu ca-upasaMkrAmati dAraka-paripAcanAya /
   sarvagaṇikākulāni ca praviśati kāmadoṣasaṃdarśanāya /	sarva-gaNikA-AkulAni ca praviSati kAma-doza-saMdarSanAya /
   sarvakallavālagṛhāṇi ca praviśati smṛtisaṃprajanyopasthāpanāya /	sarva-kallavAla-gRhANi ca praviSati smRti-saMprajanya-upasTApanAya /
   Vkn .2.5 śreṣṭhiṣu ca śreṣṭhisaṃmataḥ śreṣṭhadharmārocanatāyai /	Vk .2.5 SrezWizu ca SrezWi-saMmataH SrezWa-Darma-arocana-tAyE /
   gṛhapatiṣu ca gṛhapatisaṃmataḥ sarvagrāhodgrahaparicchedāya /	gRhapatizu ca gRhapati-saMmataH sarva-grAha-udgraha-paricCedAya /
   kṣatriyeṣu ca kṣatriyasaṃmataḥ kṣāntisauratyabalapratiṣṭhāpanāya /	kzatriyezu ca kzatriya-saMmataH kzAnti-sOrati-abala-pratizWApanAya /
   brāhmaṇeṣu ca brāhmaṇasaṃmato mānamadadarpanirghātanāya /	brAhmaNezu ca brAhmaNa-saMmataH mAna-mada-darpa-nirGAtanAya /
   āmātyeṣu cāmātyasaṃmataḥ sarvarājakāryasahadharmamyojanāya /	AmAtyezu ca-amAtya-saMmataH sarva-rAja-kArya-sahaDarmamyojanAya /
   kumāreṣu ca kumārasaṃmato rājabhogaiśvaryābhilāṣavinivartanāya /	kumArezu ca kumAra-saMmataH rAja-Boga-ESvaryA-aBilAza-vinivartanAya /
   antaḥpureṣu ca kāñcukīyasaṃmataḥ strīkumārikāparipācanāya /	antaHpurezu ca kAQcukIya-saMmataH strI-kumArikA-paripAcanAya /
   Vkn .2.6 prākṛtajanānuvartakaś ca sāmānyapuṇyaviśiṣṭādhyālaṃbanāya /	Vk .2.6 prAkRta-jana-anuvartakaH ca sAmAnya-puNya-viSizwa-aDyAlaMbanAya /
   śakreṣu ca śakrasaṃmata aiśvaryānityatvasaṃdarśanāyau /	Sakrezu ca Sakra-saMmataH ESvarya-anitya-tva-saMdarSanAyO /
   brahmasu ca brahmasaṃmato viśeṣajñānasaṃdarśanāya /	brahmasu ca brahma-saMmataH viSeza-jQAna-saMdarSanAya /
   lokapāleṣu ca lokapālasaṃmataḥ sarvasatvaparipālanāya /	lokapAlezu ca lokapAla-saMmataH sarva-satva-paripAlanAya /
