   namo buddhāya |	namaH budDAya |
   vipakṣapratipakṣaś ca mārgasyāṅgaṃ tad aṣṭadhā /	vipakza-pratipakzaH ca mArgasya-aFgam tat azwaDA /
   bhāvanāmārge 'sya paricchedāṅgaṃ samyagdṛṣṭir laukikī	BAvanA-mArge asya paricCeda-aFgam samyak-dRzwiH lOkikI
   lokottarapṛṣṭhalabdhā yayā svādhigamaṃ paricchinatti / parasaṃprāpaṇāṅgaṃ	loka-uttara-pRzWa-labDA yayA svADigamam paricCinatti / para-saMprApaNa-aFgam
   samyaksaṃkalpaḥ samyagvāk ca / sasamutthānayā vācā tatprāpaṇāt /	samyak-saMkalpaH samyak-vAc ca / sa-samutTAnayA vAcA tad-prApaNAt /
   parasaṃbhāvanāṅgaṃ tridhā samyagvākkarmāntājīvās tair hi yathākramaṃ /	para-saMBAvanA-aFgam triDA samyak-vAc-karma-anta-AjIvAH tEH hi yaTAkramam /
   dṛṣṭau śīle 'tha saṃlekhe paravijñaptir iṣyate // IV.10	dRzwO SIle aTa saMleKe para-vijQaptiH izyate // IV.10
   tasya samyagvācā kathāsāṃkathyaviniścayena prajñāyāṃ saṃbhāvanā bhavati /	tasya samyak-vAcA kaTA-sAMkaTya-viniScayena prajQAyAm saMBAvanA Bavati /
   samyakkarmāntena śīle 'kṛtyākaraṇāt samyagājīvena saṃlekhe dharmeṇa	samyak-karmAntena SIle akRtya-akaraNAt samyak-AjIvena saMleKe DarmeNa
   mātrayā ca cīvarādyanveṣaṇāt / vipakṣapratipakṣāṅgaṃ tridhaiva	mAtrayA ca cIvara-Adi-anvezaNAt / vipakza-pratipakza-aFgam triDA-eva
   samyagvyāyamasmṛtisamādhayaḥ / eṣāṃ hi yathākramaṃ /	samyak-vyAyam-asmRti-samADayaH / ezAm hi yaTAkramam /
   kleśopakleśavaibhutvavipakṣapratipakṣatā /	kleSa-upakleSa-vEButva-vipakza-pratipakzatA /
   trividho hi vipakṣaḥ kleśo bhāvanāheyaḥ / upakleśo layauddhatyaṃ (Mvbh 55)	triviDaH hi vipakzaH kleSaH BAvanA-AheyaH / upakleSaH laya-OdDatyam (MvB 55)
   vibhutvavipakṣaś ca vaiśeṣikaguṇābhinirhāravibandhaḥ tatra prathamasya	viBu-tva-vipakzaH ca vESezika-guNa-aBinirhAra-vibanDaH tatra praTamasya
   samyagvyāyāmaḥ pratipakṣas tena mārgabhāvanāt / dvitīyasya samyaksmṛtiḥ	samyak-vyAyAmaH pratipakzaH tena mArga-BAvanAt / dvitIyasya samyak-smRtiH
   śamathādinimitteṣu sūpasthitasmṛteḥ layauddhatyābhāvāt / tṛtīyasya	SamaTa-Adi-nimittezu su-upasTita-smRteH laya-OdDatya-aBAvAt / tRtIyasya
   samyaksamādhiḥ dhyānasanniśrayeṇābhijñādiguṇābhinirhārāt /	samyak-samADiH DyAna-sanniSrayeNa-aBijQA-Adi-guNa-aBinirhArAt /
   [h. Pratipakṣabhāvanāprabheda]	[h. Prati-pakza-BAvanA-praBeda]
   saiṣā pratipakṣabhāvanā samāsena trividhā veditavyā /	sA-ezA pratipakza-BAvanA samAsena triviDA veditavyA /
   anukūlā viparyastā sānubandhā viparyayā // IV.11	anukUlA viparyastA sa-anubanDA viparyayAH // IV.11
   aviparyastaviparyāsānānubandhā ca bhāvanā /	aviparyasta-viparyAsAnAnubanDA ca BAvanA /
   viparyastāpi aviparyāsānukūlāviparyastā viparyāsānubandhā aviparyastā	viparyastA-api aviparyAsa-anukUlA-viparyastA viparyAsa-anubanDAH aviparyastA
   viparyāsaniranubandhā ca yathākramaṃ pṛthagjanaśaikṣāśaikṣāvasthāsu /	viparyAsa-niranubanDA ca yaTAkramam pRTagjana-SEkzA-SEkza-avasTAsu /
   bodhisatvānān tv	boDisatvAnAn tu-
   ālambanamanaskāraprāptitas tadviśiṣṭatā // IV.12	Alamba-na-manaskAra-prAptitaH tad-viSizwa-tA // IV.12
   śrāvakapratyekabuddhānāṃ hi svāsantānikāḥ kāyādayaḥ ālambanam /	SrAvaka-pratyekabudDAnAm hi svAsantAnikAH kAya-AdayaH Alambanam /
   bodhisatvānāṃ svaparasāntānikāḥ śrāvakapratyekabuddhā anityādibhir ākāraiḥ	boDisatvAnAm sva-para-sAntAnikAH SrAvaka-pratyekabudDAH anitya-AdiBiH AkArEH
   kāyādīn manasikurvanti / bodhisatvās tv anupalambhayogena /	kAya-AdIn manasikurvanti / boDisatvAH tu anupalamBa-yogena /
   śrāvakapratyekabuddhāḥ smṛtyupasthānādīni bhāvayanti yāvad eva kāyādīnāṃ	SrAvaka-pratyekabudDAH smRti-upasTAna-AdIni BAvayanti yAvat eva kAya-AdInAm
   visaṃyogāya / bodhisatvā na visaṃyogāya / nāvisaṃyogāya / yāvad	visaMyogAya / boDisatvAH na visaMyogAya / na-avisaMyogAya / yAvat-
   evāpratiṣṭhitanirvāṇāya / uktā pratipakṣabhāvanā /	eva-apratizWita-nirvANAya / uktA pratipakza-BAvanA /
   (Mvbh 56)	(MvB 56)
   [2. Tatrāvasthā]	[2. TatrA-avasTA]
   tatrāvasthā katamā /	tatra-avasTA katamA /
   hetvavasthāvatārākhyā prayogaphalasaṃjñitā /	hetu-avasTA-avatAra-AKyA prayoga-Pala-saMjQitAH /
   kāryākāryaviśiṣṭā ca / uttarānuttarā ca sā // IV.13	kArya-akArya-viSizwA ca / uttarA-anuttarA ca sA // IV.13
   adhimuktau praveśe ca niryāṇe vyākṛtāv api /	aDimuktO praveSe ca niryANe vyAkRtO api /
   kathikatve 'bhiṣeke ca saṃprāptāv anuśansane // IV.1	kaTika-tve aBizeke ca saMprAptO anuSansane // IV.1
   kṛtyānuṣṭhā uddiṣṭā /	kRtya-anuzWAH uddizwAH /
   tatra hetvavasthā yā gotrasthasya pudgalasyāvatārāvasthā	tatra hetu-avasTA yA gotra-sTasya pudgalasya-avatAra-avasTA
   utpāditabodhicittasya prayogāvasthā cittotpādād ūrdham aprāpte phale /	utpAdita-boDi-cittasya prayoga-avasTA citta-utpAdAt UrDam aprApte Pale /
   phalāvasthā prāpte / sakaraṇīyāvasthā śaikṣasya / akaraṇīyāvasthā	Pala-avasTA prApte / sa-karaNIyA-avasTA SEkzasya / akaraNIyA-avasTA
   aśaikṣasya / viśeṣāvasthābhijñādiguṇaviśeṣasamanvāgatasya / uttarāvasthā	aSEkzasya / viSeza-avasTA-aBijQA-Adi-guNa-viSeza-samanvAgatasya / uttara-avasTA
   śrāvakādibhyo bhūmipraviṣṭasya bodhisatvasya / anuttarāvasthā buddhasya	SrAvaka-AdiByaH BUmi-pravizwasya boDisatvasya / anuttara-avasTA budDasya
   tata ūrdham avasthābhāvād adhimuktyavasthā bodhisatvānāṃ sarvasyām	tatas UrDam avasTA-BAvAt aDimukti-avasTA boDisatvAnAm sarvasyAm
   adhimukticaryābhūmau / praveśāvasthā prathamāyāṃ bhūmau niryāṇāvasthā	aDimukti-caryA-BUmO / praveSa-avasTA praTamAyAm BUmO niryANa-avasTA
   taduttarāsu ṣaṭsu bhūmiṣu / vyākaraṇāvasthā aṣṭamyāṃ bhūmau	tad-uttarAsu zawsu BUmizu / vyAkaraNa-avasTA azwamyAm BUmO
   kathikatvāvasthā navamyām abhiṣekāvasthā daśamyāṃ / prāptyavasthā	kaTikatva-avasTA navamyAm aBizeka-avasTA daSamyAm / prApti-avasTA
   buddhānān dharmakāyaḥ / anuśansāvasthā sāṃbhogikaḥ kāyaḥ /	budDAnAn Darma-kAyaH / anuSansA-avasTA sAMBogikaH kAyaH /
   kṛtyānuṣṭhānāvasthā nirmāṇakāyaḥ / sarvāpy eṣā bahuvidhāvasthābhisamasya	kRtya-anuzWAna-avasTA nirmANa-kAyaH / sarvA-api ezA bahuviDa-avasTA-aBisamasya
   veditavyā /	veditavyA /
   dharmadhātau tridhā puuaḥ /	DarmaDAtO triDA puuar /
   aśuddhāśuddhaśuddhā ca viśuddhā ca yathārhataḥ // IV.15	aSudDASudDa-SudDA ca viSudDA ca yaTArhataH // IV.15
   tatrāśuddhāvasthā hetvavasthām upādāya yāvat prayogād aśuddhaśuddhāvasthā	tatra-aSudDa-avasTA hetu-avasTAm upAdAya yAvat prayogAt aSudDa-SudDa-avasTA
   (Mvbh 57) śaikṣāṇāṃ / viśuddhāvasthā aśaikṣāṇāṃ /	(MvB 57) SEkzANAm / viSudDa-avasTAH aSEkzANAm /
   pudgalānāṃ vyavasthānaṃ yathāyogam ato matam /	pudgalAnAm vyavasTAnam yaTAyogam atas matam /
   ato 'vasthāprabhedād yathāyogaṃ pudgalānāṃ vyavasthānaṃ (/) veditavyam	atas avasTA-praBedAt yaTAyogam pudgalAnAm vyavasTAnam (/) veditavyam
   ayaṃ gotrastho 'yam avatīrṇa ity evamādi / uktāvasthā [/]	ayam gotra-sTaH ayam avatIrNaH iti evamAdi / ukta-avasTA [/]
   [3. Phalaprāpti]	[3. Phala-prApti]
   phalaprāptiḥ katamā /	Pala-prAptiH katamA /
   bhājanatvaṃ vipākākhyaṃ balan tasyādhipatyataḥ // IV.16	BAjana-tvam vipAka-AKyam balan tasya-ADipatyataH // IV.16
   rucir vṛddhir viśuddhiś ca phalam etad yathākramaṃ /	ruciH vRdDiH viSudDiH ca Palam etat yaTAkramam /
   bhājanatvaṃ yaḥ kuśalānukūlo vipākaḥ / balaṃ yā bhājanatvādhipatyāt	BAjana-tvam yaH kuSala-anukUlaH vipAkaH / balam yA BAjana-tva-ADipatyAt-
   kuśalasyādhimātratā / rucir yā pūrvābhyāsāt kuśalaruciḥ / vṛddhir yā	kuSalasya-aDimAtra-tA / ruciH yA pUrva-aByAsAt kuSala-ruciH / vRdDiH yA
   pratyutpanne kuśaladharmābhyāsāt kuśalamūlaparipuṣṭiḥ / viśuddhir yad	pratyutpanne kuSala-Darma-aByAsAt kuSala-mUla-paripuzwiH / viSudDiH yat-
   āvaraṇaprahāṇaṃ / etad yathākramaṃ phalaṃ pañcavidhaṃ veditavyam /	AvaraNa-prahANam / etat yaTAkramam Palam paQcaviDam veditavyam /
   vipākaphalam adhipatiphalan niṣyandaphalaṃ puruṣakāraphalaṃ	vipAka-Palam aDipati-Palan nizyanda-Palam puruzakAra-Palam
   visaṃyogaphalañ ca /	visaMyoga-Palan ca /
   uttarottaram ādyañ ca tadabhyāsāt samāptitaḥ // IV.17	uttarottaram Adyan ca tad-aByAsAt samAptitaH // IV.17
   ānukūlyād vipakṣāc ca visaṃyogād viśeṣataḥ /	AnukUlyAt vipakzAt ca visaMyogAt viSezataH /
   uttarānuttaratvāc ca phalam anyat samāsataḥ // IV.18	uttarA-anuttara-tvAt ca Palam anyat samAsatas // IV.18
   uttarottaraphalaṃ gotrāc cittotpāda ity evamādi paraṃparayā veditavyaṃ /	uttarottara-Palam gotrAt citta-utpAdaH iti evamAdi paraMparayA veditavyam /
   ādiphalaṃ prathamato lokottaradharmapratilambhaḥ / abhyāsaphalaṃ tasmāt	Adi-Palam praTamatas loka-uttara-Darma-pratilamBaH / aByAsa-Palam tasmAt-
   pareṇa śaikṣāvasthāyāṃ / samāptiphalam aśaikṣādharmāḥ / ānukūlyaphalam	pareNa SEkzA-avasTAyAm / samApti-Palam aSEkza-aDarmAH / AnukUlya-Palam
   upaniṣadbhāvenottarottaraphalam eva veditavyaṃ / vipakṣaphalaṃ	upanizad-BAvena-uttarottara-Palam eva veditavyam / vipakza-Palam
   prahāṇamārgo yad evādiphalaṃ / pratipakṣo 'bhipretaḥ / visaṃyogaphalaṃ	prahANa-mArgaH yat eva-Adi-Palam / pratipakzaH aBipretaH / visaMyoga-Palam
   nirodhasākṣātkriyā abhyāsaphalaṃ samāptiphalaṃ ca kleśavisaṃyogaḥ (Mvbh	niroDa-sAkzAt-kriyA aByAsa-Palam samApti-Palam ca kleSa-visaMyogaH (MvB
   58) śaikṣāśaikṣāṇāṃ yathākramaṃ / viśeṣaphalam abhijñādiko guṇaviśeṣaḥ /	58) SEkzA-SEkzANAm yaTAkramam / viSeza-Palam aBijQA-AdikaH guNa-viSezaH /
   uttaraphalaṃ bodhisatvabhūmayas tadanyayānottaratvād anuttaraphalaṃ	uttara-Palam boDisatva-BUmayaH tad-anyayAna-uttara-tvAt anuttara-Palam
   buddhabhūmiḥ / etāni catvāri abhyāsasamāptiphalaprabheda eva etad anyat	budDa-BUmiH / etAni catvAri aByAsa-samApti-Pala-praBedaH eva etat anyat-
   phalaṃ samāsanirdeśato vyāsatas tv aparimāṇaṃ /	Palam samAsa-nirdeSataH vyAsataH tu aparimANam /
   [Pratipakṣabhāvanāpiṇḍārtha]	[Prati-pakza-BAvanA-piNxa-arTa]
   tatra pratipakṣabhāvanāyāḥ piṇḍārthaḥ / vyutpattibhāvanā nirlekhabhāvanā	tatra pratipakza-BAvanAyAH piNxa-arTaH / vyutpatti-BAvanA nirleKa-BAvanA
   parikarmabhāvanā / uttarasamārambhabhāvanā / śliṣṭabhāvanā	parikarma-BAvanA / uttara-samAramBa-BAvanA / Slizwa-BAvanA
   darśanamārgaśleṣāt / praviṣṭabhāvanā utkṛṣṭabhāvanā ādibhāvanā	darSana-mArga-SlezAt / pravizwa-BAvanA utkRzwa-BAvanA Adi-BAvanA
   madhyabhāvanā paryavasānabhāvanā / sottarā bhāvanā niruttarā ca bhāvanā	maDya-BAvanA paryavasAna-BAvanA / sa-uttarA BAvanA niruttarA ca BAvanA
   yālambanamanaskāraprāptiviśiṣṭā // avasthānāṃ piṇḍārthaḥ / bhavyatāvasthā	yAlamba-namanaskAra-prApti-viSizwAH // avasTAnAm piNxa-arTaH / BavyatA-avasTA
   gotrasthasya / ārambhāvasthā yāvat prayogāt / asuddhāvasthā	gotra-sTasya / AramBa-avasTA yAvat prayogAt / asudDa-avasTA
   aśuddhaśuddhāvasthā viśuddhāvasthā / sālaṃkārāvasthā / vyāptyavasthā	aSudDa-SudDa-avasTA viSudDa-avasTA / sa-alaMkAra-avasTA / vyApti-avasTA
   daśabhūmivyāpanāt / anuttarāvasthā ca // phalānāṃ piṇḍārthaḥ saṃgrahataḥ	daSa-BUmi-vyApanAt / anuttara-avasTA ca // PalAnAm piNxa-arTaH saMgrahataH
   tadviśeṣataḥ pūrvābhyāsataḥn uttarottaranirhārataḥ / uddeśato nirdeśataś	tad-viSezataH pUrva-aByAsataHn uttarottara-nirhArataH / uddeSataH nirdeSataH-
   ca / tatra saṃgrahataḥ / pañca phalāni / tadviśeṣataḥ śeṣāṇi /	ca / tatra saMgrahataH / paQca PalAni / tad-viSezataH SezANi /
   pūrvābhyāsataḥ vipākaphalaṃ / uttarottaranirhāratas tadanyāni catvāri /	pUrva-aByAsataH vipAka-Palam / uttarottara-nirhArataH tad-anyAni catvAri /
   uddeśataḥ uttarottaraphalādīni catvāri nirdeśataḥ ānukūlyaphalādini ṣaṭ /	uddeSataH uttarottara-Pala-AdIni catvAri nirdeSataH AnukUlya-Pala-Adini zaw /
   teṣām eva (Mvbh 59) caturṇāṃ nirdeśāt //	tezAm eva (MvB 59) caturNAm nirdeSAt //
   madhyāntavibhāge pratipakṣabhāvanāvasthāphalaparicchedaś caturthaḥ // ḥ	maDya-anta-viBAge pratipakza-BAvanA-avasTA-Pala-paricCedaH caturTaH // H
   (Mvbh 60)	(MvB 60)
   [CHAPTER V. YĀNĀNUTTARYAPARICCHEDA]	[CHA-aPTER V. YĀNĀNu-uTTa-aRYA-PARISSHEDA]
   [1. Trividhānuttarya]	[1. TriviDA-an-uttarya]
   yānānuttaryam idānīṃ vaktavyaṃ / tad ucyate /	yAnAn-uttaryam idAnIm vaktavyam / tat ucyate /
   ānuttaryaṃ prapattau hi punar ālambane mataṃ /	Anuttaryam prapattO hi punar Alambane matam /
   samudāgama uddiṣṭaṃ /	samudAgamaH uddizwam /
   trividham ānuttaryaṃ mahāyāne yenaitad anuttaraṃ yānaṃ	triviDam Anuttaryam mahAyAne yena-etat anuttaram yAnam
   pratipattyānuttaryaṃ / ālambanānuttaryaṃ / samudāgamānuttaryañ ca /	pratipattyA-anuttaryam / AlambanAn-uttaryam / samudAgamAnuttaryan ca /
   [2. Pratipattyānuttarya]	[2. Prati-pattyA-anuttarya]
   tatra pratipattyānuttaryaṃ daśapāramitāpratipattito veditavyaṃ /	tatra pratipattyA-anuttaryam daSa-pAramitA-pratipattitaH veditavyam /
   pratipattis tu ṣaḍvidhā // V.1	pratipattiH tu zaxviDAH // V.1
   tāsu pāramitāsu /	tAsu pAramitAsu /
   paramātha manaskāre anudharme 'ntavarjane /	parama-aTa manaskAre anuDarme anta-varjane /
   viśiṣṭā cāviśiṣṭā ca /	viSizwA ca-aviSizwA ca /
   ity eṣā ṣaḍvidhā pratipattir yad uta paramā pratipattiḥ /	iti ezA zaxviDA pratipattiH yat uta paramA pratipattiH /
   manaskārapratipattir anudharmapratipattiḥ / antadvayavarjitā pratipattiḥ	manaskAra-pratipattiH anuDarma-pratipattiH / anta-dvaya-varjitA pratipattiH
   viśistā pratipattiḥ / aviśiṣṭā ca pratipattiḥ /	viSiH-tA pratipattiH / aviSizwA ca pratipattiH /
   [a. Paramā pratipattiḥ]	[a. ParamA pratipattiH]
   tatra /	tatra /
   (Mvbh 61)	(MvB 61)
   paramā dvādaśātmikā // V.2	paramA dvAdaSa-AtmikAH // V.2
   audāryam āyatatvaṃ ca adhikāro 'kṣayātmatā /	OdAryam Ayata-tvam ca aDikAraH akzaya-Atma-tA /
   nairantaryam akṛcchratvaṃ vittatvaṃ ca parigrahaḥ // V.3	nErantaryam akRcCra-tvam vitta-tvam ca parigrahaH // V.3
   ārambhaprāptiniṣyandaniṣpattiḥ paramā matā /	AramBa-prApti-nizyanda-nizpattiH paramA matA /
   ity eṣā dvādaśavidhā paramā matā / yad utaudāryaparamatā āyatatvaparamatā	iti ezA dvAdaSaviDA paramA matA / yat uta-OdArya-parama-tA Ayata-tva-parama-tA
   adhikāraparamatā akṣayatvaparamatā nairantaryaparamatā akṛcchratvaparamatā	aDikAra-parama-tA akzaya-tva-parama-tA nErantarya-parama-tA akRcCra-tva-parama-tA
   / vittatvaparamatā parigrahaparamatā / ārambhaparamatā pratilambhaparamatā	/ vitta-tva-parama-tA parigraha-parama-tA / AramBa-parama-tA pratilamBa-parama-tA
   niṣyandaparamatā niṣpattiparamatā ca / tatraudāryaparamatā	nizyanda-parama-tA nizpatti-parama-tA ca / tatra-OdArya-parama-tA
   sarvalaukikasaṃpattyanarthitvenotkṛṣṭatayā ca veditavyā / āyatatvaparamatā	sarva-lOkika-saMpatti-anarTi-tvena-utkRzwa-tayA ca veditavyA / Ayata-tva-parama-tA
   trikalpāsaṃkhyeyaparibhāvanāt / adhikāraparamatā	tri-kalpa-asaMKyeya-pariBAvanAt / aDikAra-parama-tA
   sarvasatvārthakriyādhikārāt / akṣayatvaparamatā	sarva-satva-arTa-kriyA-aDikArAt / akzaya-tva-parama-tA
   mahābodhipariṇāmanayātyantam aparyādānān	mahA-boDi-pariNAma-nayA-atyantam aparyAdAnAn
   nairantaryaparamatātmaparasamatādhimokṣāt sarvasatvadānādibhiḥ	nErantarya-para-matA-Atma-para-samatA-aDimokzAt sarva-satva-dAna-AdiBiH
   pāramitāparipūraṇād akṛcchratvaparamatānumodanāmātreṇa	pAramitA-paripUraNAt akRcCra-tva-para-ma-ta-anumodanA-mAtreNa
   paradānādīnāṃparamitāparipūraṇāt / vittatvaparamatā /	para-dAna-AdInA-aMparamitA-paripUraNAt / vitta-tva-parama-tA /
   gaganagañjasamādhyādibhir dānādiparipūraṇāt parigrahaparamatā	gagana-gaQja-samADi-AdiBiH dAna-Adi-paripUraNAt parigraha-parama-tA
   nirvikalpajñānaparigṛhītatvāt / ārambhaparamatādhimukticaryābhūmāv	nirvikalpa-jQAna-parigRhIta-tvAt / AramBa-parama-tA-aDimukti-caryA-BUmO=-
   adhimātrāyāṃ kṣāntau pratilambhaparamatā prathamāyāṃ bhūmau /	aDimAtrAyAm kzAntO pratilamBa-parama-tA praTamAyAm BUmO /
   niṣyandaparamatā / tadanyāsv aṣṭāsu bhūmiṣu / niṣpattiparamatā daśamyāṃ	nizyanda-parama-tA / tad-anyAsu azwAsu BUmizu / nizpatti-parama-tA daSamyAm
   bhūmau tathāgatyāṃ ca / bodhisatvaniṣpattyā buddhaniṣpattyā ca /	BUmO taTA-AgatyAm ca / boDisatva-nizpattyA budDa-nizpattyA ca /
   tataś ca paramārthena daśa pāramitā matāḥ // V.4	tatas ca parama-arTena daSa pAramitAH matAH // V.4
   yata eṣā dvādaśavidhā paramatā etāsu saṃvidyate / tataḥ paramā (Mvbh 62)	yatas ezA dvAdaSaviDA para-ma-tA etAsu saMvidyate / tatas paramA (MvB 62)
   ity anenārthena daśa pāramitāḥ / katamā daśety ekeṣāṃ	iti anena-arTena daSa pAramitAH / katamA daSa-iti ekezAm
   tannāmavyutpādanārtham ucyate /	tad-nAma-vyutpAdana-arTam ucyate /
   dānaṃ śīlaṃ kṣamā vīryaṃ dhyānaṃ prajñā upāyatā /	dAnam SIlam kzamA vIryam DyAnam prajQA upAya-tA /
   praṇidhānaṃ balaṃ jñānam etāḥ pāramitā daśeti // V.5	praNiDAnam balam jQAnam etAH pAramitA daSa-iti // V.5
   kim āsāṃ pratyekaṃ karma /	kim AsAm pratyekam karma /
   anugraho 'vighātaś ca karma tasya ca marṣaṇaṃ /	anugrahaH aviGAtaH ca karma tasya ca marzaNam /
   guṇavṛddhiś ca sāmarthyam avatāravimocane /	guNa-vRdDiH ca sAmarTyam avatAra-vimocane /
   akṣayatvaṃ sadā vṛttir niyataṃ bhogapācane // V.6	akzaya-tvam sadA vRttiH niyatam Boga-pAcane // V.6
   ity etad āsāṃ karma yathākramaṃ / dānena hi bodhisatvaḥ satvān anugṛhṇāti	iti etat AsAm karma yaTAkramam / dAnena hi boDisatvaH satvAn anugRhNAti
   / śīlenopaghātaṃ pareṣāṃ na karoti / kṣāntyā paraiḥ kṛtam upaghātaṃ	/ SIlena-upaGAtam parezAm na karoti / kzAntyA parEH kRtam upaGAtam
   marṣayati / vīryeṇa guṇān vardhayati / dhyānena rddhyādibhir	marzayati / vIryeNa guNAn varDayati / DyAnena rdDi-AdiBiH-
   āvarjyāvatārayati / prajñayā samyagavavādadānād vimocayati /	Avarjya-avatArayati / prajQayA samyak-avavAda-dAnAt vimocayati /
   upāyakauśalyapāramitayā mahābodhipariṇāmanād dānādīn akṣayān karoti /	upAya-kOSalya-pAramitayA mahA-boDi-pariNAmanAt dAna-AdIn akzayAn karoti /
   praṇidhānapāramitayānukūlopapattiparigrahāt / sarvajanmasu	praNiDAna-pAramitayA-anukUla-upapatti-parigrahAt / sarva-janmasu
   buddhotpādārāgaṇato dānādiṣu sadā pravartate balapāramitayā	budDa-utpAda-ArA-gaNataH dAna-Adizu sadA pravartate bala-pAramitayA
   pratisaṃkhyānabhāvanābalābhyāṃ niyataṃ dānādiṣu pravartate /	pratisaMKyAna-BAvanA-balAByAm niyatam dAna-Adizu pravartate /
   vipakṣānabhibhavāt / jñānapāramitayā yathārutadharmasaṃmohāpagamād	vipakza-an-aBiBavAt / jQAna-pAramitayA yaTA-aruta-Darma-saMmoha-apagamAt-
   dānādyādhipateyadharmasaṃbhogañ ca pratyanubhavati / satvāṃś ca	dAna-adya-aDipateya-Darma-saMBogan ca pratyanuBavati / satvAn ca
   paripācayati / uktā paramā pratipattiḥ /	paripAcayati / uktA paramA pratipattiH /
   [b. Manasikārapratipatti]	[b. ManasikAra-pratipatti]
   (Mvbh 63)	(MvB 63)
   manasikārapratipattiḥ katamā /	manasikAra-pratipattiH katamA /
   yathāprajñaptito dharmamahāyānamanaskriyā /	yaTAprajQaptitaH Darma-mahA-yAna-manaskriyA /
   bodhisatvasya satataṃ prajñayā triprakārayā // V.7	boDisatvasya satatam prajQayA tri-prakArayA // V.7
   dānādīny adhikṛtya yathāprajñaptānāṃ sūtrādidharmāṇāṃ mahāyāne	dAna-AdIni aDikRtya yaTA-prajQaptAnAm sUtra-Adi-DarmANAm mahAyAne
   manasikaraṇam abhīkṣṇaṃ śrutacintābhāvanāmayyā prajñayā	manasi-karaNam aBIkzNam Sruta-cintA-BAvanA-mayyA prajQayA
   manasikārapratipattiḥ / sā triprakārayā prajñayā manasikriyā kaṃ	manasikAra-pratipattiH / sA tri-prakArayA prajQayA manasi-kriyA kam
   guṇaṃkaroti /	guNaMkaroti /
   dhātupuṣṭyai praveśāya cārthasiddhyai bhavaty asau /	DAtu-puzwyE praveSAya ca-arTa-sidDyE Bavati asO /
   śrutamayyā prajñayā manasikurvato dhātupuṣṭir bhavati / cintāmayyā tasya	Sruta-mayyA prajQayA manasikurvataH DAtu-puzwiH Bavati / cintAmayyA tasya
   śrutasyārthaṃ bhāvena praviśati / bhāvanāmayyārthasiddhiṃ prāpnoti	Srutasya-arTam BAvena praviSati / BAvanA-mayya-arTa-sidDim prApnoti
   bhūmipraveśapariśodhanāt /	BUmi-praveSa-pariSoDanAt /
   saṃyuktā dharmacaritaiḥ sā jñeyā daśabhiḥ punaḥ // V.8	saMyuktAH Darma-caritEH sA jQeyAH daSaBiH punar // V.8
   sā punar manasikārapratipattiḥ / daśabhir dharmacaritaiḥ parigṛhītā	sA punar manasikAra-pratipattiH / daSaBiH Darma-caritEH parigRhItA
   veditavyā katamad daśadhā dharmacaritaṃ /	veditavyA katamat daSaDA Darma-caritam /
   lekhanā pūjanā dānaṃ śravaṇaṃ vācanodgrahaḥ /	leKanA pUjanA dAnam SravaNam vAcana-udgrahaH /
   prakāśanātha svādhyāyaś cintanā bhāvanā ca tat // V.9	prakASanATa svADyAyaH cintanA BAvanA ca tat // V.9
   mahāyānasya lekhanaṃ pūjanaṃ parebhyo dānaṃ pareṇa vācyamānasya śravaṇaṃ /	mahAyAnasya leKanam pUjanam pareByaH dAnam pareNa vAcyamAnasya SravaNam /
   svayaṃ ca vācanaṃ / udgrahaṇaṃ / parebhyo deśanaṃ granthasyārthasya vā	svayam ca vAcanam / udgrahaNam / pareByaH deSanam granTasya-arTasya vA
   svādhyāyanaṃ / cintanaṃ bhāvanañ ca /	svADyAyanam / cintanam BAvanan ca /
   ameyapuṇyaskandhaṃ hi caritan tad daśātmakaṃ /	ameya-puNya-skanDam hi caritan tat daSa-Atmakam /
   (Mvbh 64)	(MvB 64)
   kasmān mahāyāna eva dharmacaritam atyarthaṃ mahāphalan deśyate sūtreṣu na	kasmAt mahAyAnaH eva Darma-caritam atyarTam mahA-Palan deSyate sUtrezu na
   punaḥ śrāvakayāne / dvābhyāṃ kāraṇābhyāṃ /	punar SrAvaka-yAne / dvAByAm kAraNAByAm /
   viśeṣād akṣayatvāc ca /	viSezAt akzaya-tvAt ca /
   kathaṃ viśeṣāt / katham akṣayatvāt /	kaTam viSezAt / kaTam akzaya-tvAt /
   parānugrahato 'śamāt // V.10	parAn-ugrahataH aSamAt // V.10
   parānugrahavṛttitvād viśiṣṭatvaṃ / parinirvāṇe 'py aśamāt / anuparamād	para-anugraha-vRtti-tvAt viSizwa-tvam / parinirvANe api aSamAt / anuparamAt-
   akṣayatvaṃ veditavyaṃ / uktā manasikārapratipattiḥ /	akzaya-tvam veditavyam / uktA manasikAra-pratipattiH /
   [c. Anudharmapratipatti]	[c. AnuDarma-pratipatti]
   anudharmapratipattiḥ katamā /	anuDarma-pratipattiH katamA /
   avikṣiptāviparyāsapraṇatā cānudhārmikī /	avikziptA-viparyAsa-praNatA ca-anuDArmikI /
   ity eṣā dvividhānudharmapratipattiḥ / yad utāvikṣiptā cāviparyāsapariṇatā	iti ezA dviviDa-anuDarma-pratipattiH / yat uta-avikziptA ca-aviparyAsa-pariNatA
   ca /	ca /
   [Avikṣepapariṇatā]	[a-avikzepa-pariNatA]
