   Abhinavagupta: Mālinīślokavārttika	ABinava-gupta: MAlinISloka-vArttika
   devadevas tathaivāsya śaktiḥ sā viśvarūpiṇī // 1.350 //	devadevaH taTA-eva-asya SaktiH sA viSva-rUpiNI // 1.350 //
   tad viśvam api kālādikalaṅkāṅkakalojjhitam	tat viSvam api kAla-Adi-kalaFka-aFka-kalA-ujJitam
   \hspace{3cm} bhairavābhedavartinam // 1.351 //	\hspace{3cm} BErava-aBeda-vartinam // 1.351 //
   tatsvātantryāt svatantraṃ tat svātmani procchalat sthitam	tad-svAtantryAt svatantram tat sva-Atmani procCalat sTitam
   yato bhāti tato 'py astaśivāveśabahiṣkṛtam // 1.352 //	yatas BAti tatas api asta-Siva-AveSa-bahizkRtam // 1.352 //
   ata eva parā seyaṃ dakṣiṇāghorarūpiṇī	atas eva parA sA-iyam dakziNAGora-rUpiNI
   yad vakṣyate jantucakre śivadhāmaphalapradāḥ // 1.353 //	yat vakzyate jantu-cakre Siva-DAma-Pala-pradAH // 1.353 //
   parāḥ prakathitās tajjñair aghorāḥ śivaśaktayaḥ	parAH prakaTitAH tad-jQEH aGorAH Siva-SaktayaH
   anyatrāpi kriyāśaktiḥ śivasya paśuvartinī // 1.354 //	anyatra-api kriyASaktiH Sivasya paSu-vartinI // 1.354 //
   bandhayitrī svamārgasthā jñātā siddhyupapādinī	banDayitrI sva-mArga-sTA jQAtA sidDi-upapAdinI
   akārādihakārāntaḥ prasaro yaḥ pragīyate // 1.355 //	akArAt-ihakAra-antaH prasaraH yaH pragIyate // 1.355 //
   sa eva bindunilayād asvaratvam upāśritaḥ	saH eva bindu-nilayAt asvara-tvam upASritaH
   kriyāśaktivijṛmbheyaṃ samastavarṇamālikā // 1.356 //	kriyASakti-vijRmBA-iyam samasta-varNa-mAlikA // 1.356 //
   kroḍīkṛtāv aham iti parāmarśasvarūpiṇī	kroxIkRtO aham iti parAmarSa-svarUpiNI
   tiṣṭhaty eva. tataḥ pūrṇaparāhaṃkārasasphuraḥ // 1.357 //	tizWati eva. tatas pUrNa-parAhaMkAra-sa-sPuraH // 1.357 //
   anantādiviriñcāntapaśusaṃghātaghasmaraḥ	ananta-Adi-viriQca-anta-paSu-saMGAta-GasmaraH
   nijodaradarīnītacarācarajagadvrajaḥ // 1.358 //	nija-udara-darI-nIta-carAcara-jagat-vrajaH // 1.358 //
   svacaitanyavimarśāntar grastapudgalasaṃcayaḥ	sva-cEtanya-vimarSa-antar grasta-pudgala-saMcayaH
   yāvad ullasitas, tāvat kriyāśaktisvarūpataḥ // 1.359 //	yAvat ullasitas, tAvat kriyA-Sakti-svarUpataH // 1.359 //
   asaṃvijñānaniḥsaṃkhyavaicitryacarcitasthiteḥ	asaMvijQAna-niHsaMKya-vEcitrya-carcita-sTiteH
   anantakāryaśāntyādisaumyaraudrabhidātmanaḥ // 1.360 //	ananta-kArya-SAnti-Adi-sOmya-rOdra-Bida-AtmanaH // 1.360 //
   api svagrāsamāhātmyaprakaṭīkṛtasusthiteḥ	api sva-grAsa-mAhAtmya-prakawIkRta-su-sTiteH
   aucityād vividhākārā api bhairavatejasaḥ // 1.361 //	OcityAt viviDa-AkArAH api BErava-tejasaH // 1.361 //
   riktapūrṇobhayabhavapunarāvṛtticitritāḥ	rikta-pUrNa-uBaya-Bava-punarAvRtti-citritAH
   śāktasvarūpaviśvākhyasvāṃśagrāsaikalampaṭāḥ // 1.362 //	SAkta-svarUpa-viSva-AKya-sva-aMSa-grAsa-eka-lampawAH // 1.362 //
   lokakālacirārūḍhabhāvonmūlanabhāvitāḥ	loka-kAla-cira-ArUXa-BAva-unmUlana-BAvitAH
   śaktayo nijavisphārād raśmipuñjaṃ nijaṃ nijaṃ // 1.363 //	SaktayaH nija-visPArAt raSmi-puQjam nijam nijam // 1.363 //
   prasārayantyaḥ saṃkalpasatyabhāvasamāśrayāt	prasArayantyaH saMkalpa-satya-BAva-samASrayAt-
   svocitāny eva lokotthavāmācārabahiṣkṛteḥ // 1.364 //	sva-ucitAni eva loka-utTavAma-AcAra-bahizkRteH // 1.364 //
   ghaṭayanty eva śāstrāṇi yātāni paripūrṇatām	Gawayanti eva SAstrANi yAtAni paripUrNa-tAm
   yādṛk prathamasaṃbhūto lokātikrāntigocare // 1.365 //	yAdRS praTama-saMBUtaH loka-atikrAnti-gocare // 1.365 //
   samācāraḥ sa evātra grastabhedadaśo bhavet	samAcAraH saH eva-atra grasta-Beda-daSaH Bavet-
   pūrṇeyaṃ parameśasya mahāsṛṣṭir iha sthitā // 1.366 //	pUrNA-iyam parameSasya mahA-sRzwiH iha sTitAH // 1.366 //
   yasyāṃ saṃhārasṛṣṭyaṃśā viśve te madhyavartinaḥ	yasyAm saMhAra-sRzwi-aMSAH viSve te maDya-vartinaH
   sā cādyā sṛṣṭir ity eva naiva vaktuṃ bhavet kṣamam // 1.367 //	sA ca-AdyA sRzwiH iti eva na-eva vaktum Bavet kzamam // 1.367 //
   adeśakāle tattve hi katham ādyādisaṃbhavaḥ	adeSa-kAle tattve hi kaTam Adya-Adi-saMBavaH
   jāgraddaśeyaṃ sā mukhyā pronmeṣapadabhāginī // 1.368 //	jAgrat-daSA-iyam sA muKyA pronmeza-pada-BAginI // 1.368 //
   brahmaiṣa nijaśaktyaṃśasaṃbodhakamalāsanaḥ	brahma-eza nija-Sakti-aMSa-saMboDa-kamala-AsanaH
   tā etāḥ sauśivād rūpāt prabhṛti brāhmam antataḥ // 1.369 //	tAH etAH sOSivAt rUpAt praBRti brAhmam antatas // 1.369 //
   rūpaṃ kṛtvā vijṛmbhante saṃvinnāthasya śaktayaḥ	rUpam kRtvA vijRmBante saMvid-nATasya SaktayaH
   etāvān eva devo 'yam iti yady api śakyate // 1.370 //	etAvAn eva devaH ayam iti yadi api Sakyate // 1.370 //
   na vaktum aprameyatvāc cidrūpasya maheśituḥ	na vaktum aprameya-tvAt cit-rUpasya maheSituH
   prabodhapañcadaśikāmadhye tādṛṅ mayā sphuṭam // 1.371 //	praboDa-paQcadaSikA-maDye tAdRS mayA sPuwam // 1.371 //
   uktaṃ mitaprakāśatvaṃ jaḍasya kila lakṣaṇam	uktam mita-prakASa-tvam jaxasya kila lakzaNam
   jaḍād vilakṣaṇo bodho yato na parimīyate // 1.372 //	jaxAt vilakzaNaH boDaH yatas na parimIyate // 1.372 //
   tathāpi svayam etādṛg devo mānavivarjitaḥ	taTA-api svayam etAdRS devaH mAna-vivarjitaH
   nijasvātantryayogena kṛtvātmānaṃ carācaram // 1.373 //	nija-svAtantrya-yogena kRtvA-AtmAnam carAcaram // 1.373 //
   īśatatpuruṣājātair udbhūtair udbubhūṣubhiḥ	ISa-tatpuruza-ajAtEH udBUtEH udbuBUzuBiH
   ekakaiḥ ṣaḍbhir, ekena trikeṇa, dvyātmakais tribhiḥ // 1.374 //	ekakEH zaxBiH-, ekena trikeNa, dvi-AtmakEH triBiH // 1.374 //
   jāyate śivabhedānāṃ daśānāṃ vividhā sthitiḥ	jAyate Siva-BedAnAm daSAnAm viviDA sTitiH
   ata eva vicitrābhyaḥ saṃvidbhyo miśratāvaśāt // 1.375 //	atas eva vicitrAByaH saMvidByaH miSratA-vaSAt // 1.375 //
   citrāṇy atra śivākhye 'pi bhedajñānāni tenire	citrANi atra Siva-AKye api Beda-jQAnAni tenire
   yadā trayāṇāṃ vaktrāṇāṃ vāmadakṣiṇasaṃgatiḥ // 1.376 //	yadA trayANAm vaktrANAm vAma-dakziNa-saMgatiH // 1.376 //
   tadā pratyekaśaktitvaṃ bhaviṣyadbhavadudbhavaiḥ	tadA pratyeka-Sakti-tvam Bavizyat-Bavat-udBavEH
   ṣaṇṇāṃ tritve rudrabhedas tenāṣṭādaśadhā sthitaḥ // 1.377 //	zaNNAm tritve rudra-BedaH tena-azwAdaSaDA sTitaH // 1.377 //
   ekaikaṃ pañcavaktraṃ ca vaktraṃ yasmāt pragīyate	ekEkam paQcavaktram ca vaktram yasmAt pragIyate
   daśāṣṭādaśabhinnasya tato bhedair asaṃkhyatā // 1.378 //	daSa-azwAdaSa-Binnasya tatas BedEH asaMKyatA // 1.378 //
   pūrvoditayathāsvasvajñānakarmavicitritāḥ	pUrva-udita-yaTA-svasva-jQAna-karma-vicitritAH
   nirṇīyante yatas teṣu tena no punaruktatā // 1.379 //	nirNIyante yatas tezu tena no punar-ukta-tA // 1.379 //
   anyānya eva bodho hi samācāraḥ kriyākramaḥ	anyAnyaH eva boDaH hi samAcAraH kriyA-kramaH
   tatra tatra tathā proktaḥ sarvas tu śivadhāmagaḥ // 1.380 //	tatra tatra taTA proktaH sarvaH tu Siva-DAma-gaH // 1.380 //
   yathā jalakaṇāh sarve viśrāmyanti mahāmbudhau	yaTA jala-kaNAh sarve viSrAmyanti mahA-ambuDO
   tathā jñānakriyāḥ sarvāḥ saṃvitsindhau maheśvare // 1.381 //	taTA jQAna-kriyAH sarvAH saMvid-sinDO maheSvare // 1.381 //
   mitam api jalaṃ bhūmau sūryāṃśubhiḥ kila pīyate	mitam api jalam BUmO sUrya-aMSuBiH kila pIyate
   tad api ca punar vṛṣṭidvāraiḥ prayāti mahārṇavam	tat api ca punar vRzwi-dvArEH prayAti mahA-arNavam
   jagati nikhilaṃ jñānaṃ karma sphuṭaṃ kim api svayaṃ	jagati niKilam jQAnam karma sPuwam kim api svayam
   kim api ca paraiḥ pāramparyāc chivārṇasi majjati // 1.382 //	kim api ca parEH pAramparyAt Siva-arNasi majjati // 1.382 //
   yac cānte dakṣiṇe hārdaṃ liṅgaṃ hṛt paramaṃ matam	yat ca-ante dakziNe hArdam liFgam hRd paramam matam
   tad apy antaḥkṛtāśeṣasṛṣṭabhāvasunirbharam // 1.383 //	tat api antar-kRta-aSeza-sRzwa-BAva-su-nirBaram // 1.383 //
   bhedabhāvakamāyīyatejoṃśagrasanāc ca tat	Beda-BAvaka-mAyIyatejoMSa-grasanAt ca tat-
   sarvasaṃhārakatvena kṛṣṇaṃ timirarūpadhṛt // 1.384 //	sarva-saMhAraka-tvena kRzNam timira-rUpa-DRt // 1.384 //
   vijñānaśāstre kathitam ata eva maheśinā	vijQAna-SAstre kaTitam atas eva maheSinA
   līnaṃ mūrdhni viyat sarvam ityādi timiraṃ vibhoḥ // 1.385 //	lInam mUrDni viyat sarvam ityAdi timiram viBoH // 1.385 //
   evam eva durniśāyāṃ kṛṣṇapakṣāgame ciram	evam eva durniSAyAm kRzNa-pakza-Agame ciram
   bhāvayed bhairavaṃ rūpaṃ bhāvayadbhir durābhidam // 1.386 //	BAvayet BEravam rUpam BAvayadBiH durABidam // 1.386 //
   uktaṃ ca yatra svar duḥkhaṃ tamo vādvayasaṃvṛte	uktam ca yatra svar duHKam tamaH vA-advaya-saMvRte
   nāvidyākarmasaṃbandhaḥ pāratantryādidarśanāt // 1.387 //	na-avidyA-karma-saMbanDaH pAratantrI-Adi-darSanAt // 1.387 //
   tad atra timirākāre bhairavīye vapuṣy alam	tat atra timira-AkAre BEravIye vapuzi alam
   antarlīnatayā bhāti yāvad vaktracatuṣṭayam // 1.388 //	antar-lIna-tayA BAti yAvat vaktra-catuzwayam // 1.388 //
   udbubhūṣu tathodbhūtaṃ tirodhitsu tirohitam	udbuBUzu taTA-udBUtam tiroDitsu tirohitam
   tato yugapad evaitadbhidā ṣoḍaśakātmakam // 1.389 //	tatas yugapad eva-etat-BidA zoxaSaka-Atmakam // 1.389 //
   dakṣe vaisargike hārde svatantre ca śive viśat	dakze vEsargike hArde svatantre ca Sive viSat-
   aṣṭāṣṭakātmakaṃ śāstraṃ yugapad bhairavābhidham // 1.390 //	azwa-azwaka-Atmakam SAstram yugapad BErava-aBiDam // 1.390 //
   itthaṃ tantraṃ rudraśivabhairavākhyaṃ sthitaṃ tridhā	itTam tantram rudra-Siva-BErava-AKyam sTitam triDA
   vastuto hi tridhaiveyaṃ jñānasattā vijṛmbhate // 1.391 //	vastutas hi triDA-eva-iyam jQAna-sattAH vijRmBate // 1.391 //
   bhedena bhedābhedena pūrṇenābhedasandhinā	Bedena Beda-aBedena pUrNena-aBeda-sanDinA
   tathā ca mukhyāḥ śāmbhavyas tisra icchādiśaktayaḥ // 1.392 //	taTA ca muKyAH SAmBavyaH tisraH icCA-Adi-SaktayaH // 1.392 //
   tatraiva tu prapañcena pañcaśaktyādiyojanam	tatra-eva tu prapaQcena paQca-Sakti-Adi-yojanam
   itthaṃ madhye vibhinnaṃ tat trikam eva paraṃ tathā // 1.393 //	itTam maDye viBinnam tat trikam eva param taTA // 1.393 //
   śāstram asmadgurugṛhe saṃpradāyakramāt sthitam	SAstram asmad-guru-gRhe saMpradAya-kramAt sTitam
   ata eva hi naikaṭyād vāmadakṣiṇaśāstrayoḥ // 1.394 //	atas eva hi nEkawyAt vAma-dakziNa-SAstrayoH // 1.394 //
   dhārā prāntadharāprānte kaulikī pravijṛmbhate	DArA prAnta-DarA-prAnte kOlikI pravijRmBate
   tato 'pi saṃhṛtāśeṣabhāvopādhisunirbharaḥ // 1.395 //	tatas api saMhRta-aSeza-BAva-upADi-su-nirBaraH // 1.395 //
   bhairavaḥ paramārthodyadravabṛmhitavṛttikaḥ	BEravaH paramArTa-udya-drava-bRmhita-vRttikaH
   īśānavāmadakṣāsu tāsu śaktitrayaṃ kramāt	ISAna-vAma-dakzAsu tAsu Sakti-trayam kramAt-
   aparādiparāprāntaṃ kroḍīkṛtyāvatiṣṭhate // 1.396 //	apara-Adi-parAprAntam kroxIkRtya-avatizWate // 1.396 //
   tad vibhāvayati bhedavibhāgaṃ	tat viBAvayati Beda-viBAgam
   tatsphuṭatvakṛd atho tam anantam	tad-sPuwa-tva-kRt aTo tam anantam
   saṃgrasiṣṇu parameśvararūpaṃ	saMgrasizNu parameSvara-rUpam
   vastutas triśira eva nirāhuḥ // 1.397 //	vastutas triSiraH eva nirAhuH // 1.397 //
   ūrdhvavāmatadanyāni tantrāṇi ca kulāni ca	UrDva-vAmatad-anyAni tantrANi ca kulAni ca
   rūḍhāny amuṣyāṃ dhārāyāṃ bhedasaṃkocahānaye // 1.398 //	rUXAni amuzyAm DArAyAm Beda-saMkoca-hAnaye // 1.398 //
   paraprakāśaviṣayas trikārthas traidham āsthitaḥ	para-prakASa-vizayaH trika-arTaH trEDam AsTitaH
   sa eṣa parameśena jñānacandrākhyayoditaḥ // 1.399 //	saH eza parameSena jQAna-candra-AKyayA-uditaH // 1.399 //
   sa eva sarvaḥ śāstrārthaḥ paravāgvṛttisaṃśritaḥ	saH eva sarvaH SAstra-arTaH para-vAc-vRtti-saMSritaH
   anullasitatadvācyavācakādivibhaktikaḥ // 1.400 //	anullasita-tad-vAcya-vAcaka-Adi-viBaktikaH // 1.400 //
   paścāt tu jñānaśaktyaṃśaprādhānyasphuritātmani	paScAt tu jQAna-Sakti-aMSa-prADAnya-sPurita-Atmani
   kriyāśaktau susūkṣmāyāṃ sādākhyaiśvaryasaṃpadi // 1.401 //	kriyASaktO su-sUkzmAyAm sAdAKya-ESvarya-saMpadi // 1.401 //
   paśyantīmadhyamādhāmni sañjalpollekhayogataḥ	paSyantI-maDyamA-DAmni saQjalpa-ulleKa-yogataH
   padavākyasvarūpeṇa vartate varṇarūpiṇā // 1.402 //	pada-vAkya-svarUpeNa vartate varNa-rUpiNA // 1.402 //
   svacchandaśāstre tenoktaṃ svayaṃ devaḥ sadāśivaḥ	svacCandaSAstre tena-uktam svayam devaH sadASivaH
   pūrvottarapadair vākyais tantraṃ yojitavān iti // 1.403 //	pUrva-uttara-padEH vAkyEH tantram yojitavAn iti // 1.403 //
   tathā ca tatraivoktaṃ tatsuśivāvaraṇe 'dhvani	taTA ca tatra-eva-uktam tat-su-Siva-AvaraNe aDvani
   suśivāvaraṇaṃ pūrvaṃ tatra jñeyaḥ sadāśivaḥ // 1.404 //	suSiva-AvaraNam pUrvam tatra jQeyaH sadASivaH // 1.404 //
   śivadaśakasaṃyukto rudrāṣṭādaśakānvitaḥ	Siva-daSaka-saMyuktaH rudra-azwAdaSaka-anvitaH
   adhikāro hīśatattve tajjighṛkṣā tu sauśive // 1.405 //	aDikAraH hi-ISa-tattve tad-jiGRkzA tu sOSive // 1.405 //
   varaṇe binduto bhogadhāmni vibhavato vibhoḥ	varaNe bindutaH Boga-DAmni viBavataH viBoH
   bhairavākhyasya bodhasya śaktitattve paraṃ trayam // 1.406 //	BErava-AKyasya boDasya Sakti-tattve param trayam // 1.406 //
   sthitis tasmād īśvarordhve sadāśivapadād adhaḥ	sTitiH tasmAt ISvara-UrDve sadASiva-padAt aDas-
   suśivāvaraṇenoktā śrīmatsvacchandaśāsane // 1.407 //	suSiva-AvaraNena-uktA SrImat-svacCandaSAsane // 1.407 //
   tadanantaram etāsu śivarudrabhidāsv alam	tad-anantaram etAsu Siva-rudra-BidAsu alam
   māyīyādhvani kḷptāsu śivair uktaḥ śivābhidhaḥ // 1.408 //	mAyIya-aDvani k?ptAsu SivEH uktaH Siva-aBiDaH // 1.408 //
   bhedo rudraiś ca rudrākhya iti prāpto vicitratām	BedaH rudrEH ca rudra-AKyaH iti prAptaH vicitra-tAm
   tataḥ prodyatkriyāsāraprollāsāt kramaśaḥ sphuṭam // 1.409 //	tatas prodyat-kriyA-sAra-prollAsAt kramaSas sPuwam // 1.409 //
   sarvagocaramāyīyaśrutavaikharyupāśritāḥ	sarva-gocara-mAyIya-Sruta-vEKari-upASritAH
   varṇavākyapadātmānaḥ śāstrārthā lokagocarāḥ // 1.410 //	varNa-vAkya-pada-AtmAnaH SAstra-arTAH loka-gocarAH // 1.410 //
   samāśritya pravartante tāṃs tāṃs tantrāvatārakān	samASritya pravartante tAn tAn tantra-avatArakAn
   tena prathamato yāvan māyīyāṃ vaikharīṃ darīm // 1.411 //	tena praTamatas yAvat mAyIyAm vEKarIm darIm // 1.411 //
   māyīyavarṇasaṃdṛbdhaḥ śāstrārtho nāyam āgataḥ	mAyIya-varNa-saMdRbDaH SAstra-arTaH na-ayam AgataH
   antaḥ sāravibodhaikaparavāṅmayavarṇakaḥ // 1.412 //	antar sAra-viboDa-eka-para-vAc-maya-varNakaH // 1.412 //
   akṛtrimaparāveśamūlasaṃskārasaṃskṛtaḥ	akRtrima-para-AveSa-mUla-saMskAra-saMskRtaH
   śāstrārtho laukikānto 'sti saptatriṃśe pare vibhau // 1.413 //	SAstra-arTaH lOkika-antaH asti saptatriMSe pare viBO // 1.413 //
   tatrāsatāṃ hi bhāvānāṃ kvāpi nāsty eva satyatā	tatra-asatAm hi BAvAnAm kvApi na-asti eva satya-tA
   svāminy avinayākrāntaprakṛtau vinayaḥ kutaḥ // 1.414 //	svAmini avinaya-AkrAnta-prakRtO vinayaH kutas // 1.414 //
   tasmāt samastaśāstrārthaḥ paratattvātmanā sthitaḥ	tasmAt samasta-SAstra-arTaH para-tattva-AtmanA sTitaH
   ato vedādayo 'py ete māyīyāḥ śāsanāṃśavaḥ // 1.415 //	atas veda-AdayaH api ete mAyIyAH SAsana-aMSavaH // 1.415 //
   sphuranti bhairavādityaprabhāvād eva nānyataḥ	sPuranti BErava-Aditya-praBAvAt eva na-anyatas-
   na hi saṃvidvimarśāt syād anyat kvāpy eva kāraṇam // 1.416 //	na hi saMvid-vimarSAt syAt anyat kvApi eva kAraNam // 1.416 //
   saṃvinnāthasya saṃvit syāt saṃvid eva tathā yataḥ	saMvid-nATasya saMvid syAt saMvid eva taTA yatas-
   kāryaṃ ca kāraṇaṃ ceti tathātva upacāryate // 1.417 //	kAryam ca kAraNam ca-iti taTAtvaH upacAryate // 1.417 //
   pariṇāme hi bhāvasya kramād vitatadharmaṇaḥ	pariNAme hi BAvasya kramAt vitata-DarmaNaH
   ādyantayoḥ saṃvid eva rūpatvenāvabhāsate // 1.418 //	Adi-antayoH saMvid eva rUpa-tvena-avaBAsate // 1.418 //
   saṃvic ca kālakalanāṃ saheta yadi tat sphuṭam	saMvid ca kAla-kalanAm saheta yadi tat sPuwam
   bhuñjīmahi niśātāsicchinnā vyomāṃśaśarkarāḥ // 1.419 //	BuQjImahi niSAta-asi=-CinnAH vyoma-aMSa-SarkarAH // 1.419 //
   ataḥ samagraśāstrāṇi saṃvidrūpāparicyuteḥ	atas samagra-SAstrANi saMvid-rUpA-paricyuteH
   saṃvidaḥ svaprakāśatvāt svaprakāśāni vastutaḥ // 1.420 //	saMvidaH sva-prakASa-tvAt sva-prakASAni vastutas // 1.420 //
   na ca vācyaṃ pṛthag jātu vācakād vyavatiṣṭhate	na ca vAcyam pRTak jAtu vAcakAt vyavatizWate
   svātantryād abhidhātaiva bhāvivācyatayā yataḥ // 1.421 //	svAtantryAt aBiDAtA-eva BAvi-vAcya-tayA yatas // 1.421 //
   kadācid vācakāṃśas tu svarūpagrastavācyakaḥ	kadAcid vAcaka-aMSaH tu svarUpa-grasta-vAcyakaH
   nirbhāsate kadācit tu sāmānyollāsavācakaḥ // 1.422 //	nirBAsate kadAcid tu sAmAnya-ullAsa-vAcakaH // 1.422 //
   jātucin nikaṭānantaviśeṣaṇaviśeṣitaḥ	jAtucit nikawa-ananta-viSezaNa-viSezitaH
   sphuṭasvarūpavācyāṃśasamudrekeṇa bhāsate // 1.423 //	sPuwa-svarUpa-vAcya-aMSa-samudrekeNa BAsate // 1.423 //
   tenārthaparatā jātu svarūpaparatā tathā	tena-arTa-para-tA jAtu svarUpa-para-tA taTA
   bubhūtsitārthā kvāpi kvacid rasamayī daśā // 1.424 //	buBUtsita-arTA kvApi kvacid rasa-mayI daSA // 1.424 //
   śabdānāṃ lakṣyate citrā saṃvidrūpānapāyataḥ	SabdAnAm lakzyate citrA saMvid-rUpa-anapAyataH
   saṃvidvicitrakacanaiḥ kacatīti kim adbhutam // 1.425 //	saMvid-vicitra-kacanEH kacati-iti kim adButam // 1.425 //
   itthaṃ śivātmakavimarśapadād abhinnaḥ	itTam Siva-Atmaka-vimarSa-padAt aBinnaH
   śabdaḥ sphuṭatvata iha svaparaprakāśaḥ	SabdaH sPuwa-tvataH iha sva-para-prakASaH
   mānaṃ tad eva citisāravimarśamātram	mAnam tat eva citisAra-vimarSa-mAtram
   anyat punas tadupacāravaśāt tathā hi // 1.426 //	anyat punar tad-upacAra-vaSAt taTA hi // 1.426 //
   svaprakāśātmikā yeyaṃ saṃvittiḥ pāramārthikī	sva-prakASa-AtmikA yA-iyam saMvittiH pAramArTikI
   tat svasaṃvedanaṃ proktaṃ yato viśvavyavasthitiḥ // 1.427 //	tat sva-saMvedanam proktam yatas viSva-vyavasTitiH // 1.427 //
   sā caiṣā na vimarśātmasvarūpam ativartate	sA ca-ezA na vimarSa-Atma-svarUpam ativartate
   vimarśo 'syāḥ paro bhogaḥ pūrṇaḥ paśyanty udāhṛtā // 1.428 //	vimarSaH asyAH paraH BogaH pUrNaH paSyanti udAhRtA // 1.428 //
   parāparā saiva devī mānam ity avadhāryatām	parAparA sA-eva devI mAnam iti avaDAryatAm
   yatrāparāṃśagaṃ meyaṃ tādātmyād vyavatiṣṭhate // 1.429 //	yatra-apara-aMSa-gam meyam tAdAtmyAt vyavatizWate // 1.429 //
   na hi bhinnena mānena meyasya syād vyavastitiḥ	na hi Binnena mAnena meyasya syAt vyavastitiH
   na hi haṃsasya śuklatve kākaḥ śvetatvam arhati // 1.430 //	na hi haMsasya Sukla-tve kAkaH Sveta-tvam arhati // 1.430 //
   etad eva tathā cāha guruḥ śaṅkaranandanaḥ	etat eva taTA ca-Aha guruH SaFkara-nandanaH
   na mānatvāt tato 'nyatvān na bādhād asthiteḥ sthitiḥ // 1.431 //	na mAna-tvAt tatas anyatvAt na bADAt asTiteH sTitiH // 1.431 //
   prakāśenāvinābhūtaiḥ sattāyāṃ niyatātmabhiḥ	prakASena-avinABUtEH sattAyAm niyata-AtmaBiH
   dharmair bhāvo bahirbhāvān na bhāvaḥ siddhim ṛcchati // 1.432 //	DarmEH BAvaH bahis-BAvAt na BAvaH sidDim RcCati // 1.432 //
   tena saṃvittikātmaiva mātṛmānaprameyatā	tena saMvittikA-AtmA-eva mAtR-mAna-prameya-tA
   gṛhṇatī svaprakāśatvaṃ svabhāvād eva bhāsate // 1.433 //	gRhNatI sva-prakASa-tvam svaBAvAt eva BAsate // 1.433 //
   sā cāntaḥsthitamantrātmaśabdanāmarśasundarā	sA ca-antar-sTita-mantra-Atma-Sabda-nAmarSa-sundarA
   anapekṣānyavirahāt pramāṇaṃ svata eva hi // 1.434 //	anapekzAnya-virahAt pramANam svatas eva hi // 1.434 //
   tasyā eva vicitrāṇi nāmāni bahubhaṅgibhiḥ	tasyAH eva vicitrANi nAmAni bahu-BaFgiBiH
   tatprasādotthitāny eva vādinaḥ paryacīkḷpan // 1.435 //	tad-prasAda-utTitAni eva vAdinaH paryacIk?pan // 1.435 //
   tathā ca cakṣurādyakṣamaṇḍalīṭaṅkaniṣṭhitam	taTA ca cakzuH-Adi-akza-maNxalI-waFka-nizWitam
   pratyakṣam iti yad gītaṃ tat tāvat pravivicyate // 1.436 //	pratyakzam iti yat gItam tat tAvat pravivicyate // 1.436 //
   saṃvittivyatirekeṇa yady akṣāṇāṃ vyavasthitiḥ	saMvitti-vyatirekeNa yadi akzANAm vyavasTitiH
   na syād arthapramāṇaikyaṃ tarhi bāhyaghaṭādivat // 1.437 //	na syAt arTa-pramANa-Ekyam tarhi bAhya-Gawa-Adi-vat // 1.437 //
   nanv ātmanaś cakṣurādi karaṇaṃ na ghaṭādikam	nanu AtmanaH cakzuH-Adi karaNam na Gawa-Adikam
   tasmāt tenaiva bhāvānāṃ mānaṃ na tu ghaṭādibhiḥ // 1.438 //	tasmAt tena-eva BAvAnAm mAnam na tu Gawa-AdiBiH // 1.438 //
   vyāpakābhimatasyāsya saṃyoge cāviśeṣiṇaḥ	vyApaka-aBimatasya-asya saMyoge ca-aviSeziNaH
   bhautikatvāviśeṣeṇa ghaṭādyaiś cakṣurādinā // 1.439 //	BOtika-tva-aviSezeNa Gawa-AdyEH cakzuH-AdinA // 1.439 //
   ātmanaḥ karaṇākāṅkṣāpūraṇaṃ niyataṃ kutaḥ	AtmanaH karaNa-AkAFkzA-pUraNam niyatam kutas-
   viśiṣṭa eva saṃyogaḥ karaṇatve nibandhanam // 1.440 //	viSizwaH eva saMyogaH karaNa-tve nibanDanam // 1.440 //
   viśeṣaḥ karmabhis tais tair dharmādharmagiroditaiḥ	viSezaH karmaBiH tEH tEH Darma-aDarma-girA-uditEH
   tad etad yuktisadbhāvapratibhāvikalātmakaḥ // 1.441 //	tat etat yukti-sadBAva-pratiBAvi-kalA-AtmakaH // 1.441 //
   bruvan vañcayate mugdhān palāyanaparāyaṇaḥ	bruvan vaQcayate mugDAn palAyana-parAyaNaH
   yac cāśeṣākṣasaṃyogivyāpakātmavaśotthitām // 1.442 //	yat ca-aSeza-akza-saMyogi-vyApaka-Atma-vaSa-utTitAm // 1.442 //
