   // brahmasūtrabhāṣyam //	// brahmasUtra BAzyam //
   tannimittavipralambhābhāvasya coktatvāt, 'jñāna ākulībhūte tannirṇayāya';	tad nimitta vipralamBa aBAvasya ca ukta tvAt, ajQAnaH AkulIBUte tat nirNayAya a;
   ityanena ajñānanirharaṇasya prasaktatvena prasaṅgadoṣābhāvasya tata	iti anena ajQAna nirharaNasya prasakta tvena prasaFga doza aBAvasya tata
   evānapahāsasya coktatvādāptimūlatā darśitā bhavati/ 'brahmasūtrāṇi';	eva anapahAsasya ca ukta tvAt Apti mUla tA darSitA Bavati/ abrahma sUtrANi a;
   ityanena brahmaparaśrutivyākhyānarūpatvāt śrutimūlatvaṃ,	iti anena brahma paraSruti vyAKyAna rUpa tvAt Sruti mUla tvaM,
   nyāyavyutpādakatvādyuktimūlatvaṃ ca sūcitam / tathā ca siddhaṃ	nyAya vyutpAdaka tvAt yukti mUla tvam ca sUcitam / taTA ca sidDam
   brahmasūtrāṇāṃ prāmāṇyamiti bhāvaḥ /	brahmasUtrANAm prAmANyam iti BAvaH /
   BBsBh_1,1.1.5:	BBsBh_1,1.1.5:
   taccoktaṃ skānde  	tat ca uktam skAnde  
   nārāyaṇād viniṣpannaṃ jñānaṃ kṛtayuge sthitam /	nArAyaNAt vinizpannam jQAnam kRta yuge sTitam /
   kiñcittadanyathā jātaṃ tretāyāṃ dvāpare 'khilam //	kiQcittat anyaTA jAtam tretAyAm dvApare aKilam //
   BBsBhDīp_1,1.1.5:	BBsBhDIB _1,1.1.5:
   uktamevārthaṃ pramāṇena sthāpayati   'tacca'; iti / 'ca'; śabda evārthe /	uktam eva arTam pramANena sTApayati  atat ca a; iti / aca a; SabdaH eva arTe /
   tathā ca   yadasmābhiḥ 'dvāpare'; ityādinoktaṃ tat skāndapurāṇoktameveti	taTA ca  yat asmABiH advApare a; ityAdinA uktam tat skAndapurANa uktam eva iti
   bhāvaḥ / na kevalamasmābhiḥ kintu skānde coktamiti samuccaye vā 'ca';	BAvaH / na kevalam asmABiH kintu skAnde ca uktam iti samuccaye vA aca a;
   śabdaḥ / tathoktaṃ tattvapradīpe   'yadyapyācāryaḥ svoktārthe svayameva	SabdaH / taTA uktam tattva pradIpe  ayadi api AcAryaH sva ukta arTe svayam eva
   pramāṇaṃ, sarvajñatvādavipralambhakatvācca / tathāpi skānde coktamiti	pramANaM, sarvajQa tvAt avipralamBaka tvAt ca / taTA api skAnde ca uktam iti
   prauḍhavādaṃ karoti'; iti / 'na kevalamasmābhiḥ'; iti prameyadīpe 'pi	prOXa vAdam karoti a; iti / ana kevalam asmABiH a; iti prameya dIpe api
   kimuktamityatastatpaṭhati   'nārāyaṇāt'; iti / tadupadeśādityarthaḥ /	kim uktam iti atas tat paWati  anArAyaNAt a; iti / tad upadeSAt iti arTaH /
   'brahmādidvārā'; iti śeṣaḥ / yadvā   utpattyādyaṣṭake jñānasya	abrahma Adi dvArA a; iti SezaH / yat vA  utpatti Adi azwake jQAnasya
   praviṣṭatvāt tasya nārāyaṇajanyatvopapattiḥ / 'niṣpannam'; utpannaṃ	pravizwa tvAt tasya nArAyaNa janya tva upapattiH / anizpannam a; utpannam
   'akhilaṃ'; saguṇatvādisarvaviṣayakamityatrāpi sambadhyate / 'jñānaṃ';	aaKilaM a; sa guNa tva Adi sarva vizayakam iti atra api sambaDyate / ajQAnaM a;
   samyagjñānaṃ 'sthitaṃ'; yathotpannaṃ tathaiva saṃśayādyanāskanditameva	samyak jQAnam asTitaM a; yaTA utpannam taTA eva saMSayAt yanAskanditam eva
   sthitam / 'satsu'; iti śeṣaḥ / jñānaviṣaye saṃśayādikaṃ nābhūditi	sTitam / asatsu a; iti SezaH / jQAna vizaye saMSaya Adikam na aBUt iti
   phalitārthaḥ / 'tretāyāṃ'; yuge 'tat'; jñānaṃ 'kiñcit'; viṣaye	Palita arTaH / atretAyAM a; yuge atat a; jQAnam akiQcit a; vizaye
   'anyathājātam'; idamado veti pūrvoktasaṃśayaviṣayatām anyadeveti	aanyaTAjAtam a; idamadaH vA iti pUrva ukta saMSaya vizaya tAm anyat eva iti
   mithyājñānaviṣayatāṃ ca prāptamityarthaḥ / atra dvāparavat	miTyAjQAna vizaya tAm ca prAptam iti arTaH / atra dvApara vat 
   tretādirapyaṣṭāviṃśo grāhyaḥ / dvāpare yuge akhilaṃ sarvaviṣayaṃ	tretA AdiH api azwAviMSaH grAhyaH / dvApare yuge aKilam sarva vizayam
   tadanyathā jātamityanvayaḥ /	tat anyaTA jAtam iti anvayaH /
   BBsBh_1,1.1.6:	BBsBh_1,1.1.6:
   gautamasya ṛṣeśśāpājjñāne tvajñānatāṃ gate /	gOtamasya RzeH SApAt jQAne tu ajQAna tAm gate /
   saṅkīrṇabuddhayo devā brahmarudrapurassarāḥ /	saFkIrNa budDayaH devAH brahma rudra purassarAH /
   śaraṇyaṃ śaraṇaṃ jagmuḥ nārāyaṇamanāmayam //	SaraNyam SaraNam jagmuH nArAyaNam anAmayam //
   BBsBhDīp_1,1.1.6:	BBsBhDIB _1,1.1.6:
   nanu kālaprayuktamanyathātvaṃ cet dvāparayuge bhāgadvayasyaivānyathātvaṃ	nanu kAla prayuktam anyaTAtvam ced dvApara yuge BAga dvayasya eva anyaTAtvam
   yuktaṃ, na tu sarvasyetyato viśeṣakāraṇaṃ cāha   'gotamasya'; iti / 'tu';	yuktaM, na tu sarvasya iti atas viSeza kAraNam ca Aha  agotamasya a; iti / atu a;
   śabdaścārthaḥ śāpe viśeṣakāraṇatvasya jñāne vā samyaktvasya dyotakaḥ /	SabdaH ca arTaH SApe viSeza kAraNa tvasya jQAne vA samyaktvasya dyotakaH /
   tathā ca gautamasya ṛṣeḥ śāpācca jñāne guṇapūrṇatvādisamyagjñāne ajñānatāṃ	taTA ca gOtamasya RzeH SApAt ca jQAne guNa pUrNa tva Adi samyak jQAne ajQAna tAm
   nedaṃ tattvajñānamiti tattvajñānabhinnatvaprakārakapratītiviṣayatāṃ	na idam tattva jQAnam iti tattva jQAna Binna tva prakAraka pratIti vizaya tAm
   sandehaviṣayatāṃ ca gate prāpte sati, jñānaviṣaye	sandeha vizaya tAm ca gate prApte sati, jQAna vizaye
   samyagjñānaviruddhasaṃśayaviparyayaviṣayatāṃ gate satīti yāvat /	samyak jQAna virudDa saMSaya viparyaya vizaya tAm gate sati iti yAvat /
   'brahmarudrapurassarāḥ'; tadādayo 'devāḥ'; 'saṅkīrṇabuddhayaḥ';	abrahma rudra purassarAH a; tad AdayaH adevAH a; asaFkIrNa budDayaH a;
   ajñānādimiśrajñāninaḥ yadviṣaye jñānaṃ jātaṃ punastadviṣayagataprakāreṣu	ajQAna Adi miSra jQAninaH yat vizaye jQAnam jAtam punar tad vizaya gata prakArezu
   ajñānasaṃśayādimantaḥ santaḥ 'śaraṇyaṃ'; tatra sādhuṃ śaraṇeṣu rakṣakeṣu	ajQAna saMSaya AdimantaH santaH aSaraNyaM a; tatra sADum SaraNezu rakzakezu
   agryam 'anāmayaṃ'; pramāṇalakṣaṇaṭīkoktarītyā atra āmayapadaṃ rogavācakaṃ	agryam aanAmayaM a; pramANa lakzaNa wIkA ukta rItyA atra Amaya padam roga vAcakam
   doṣāntaropalakṣakam / tathā ca nirdeṣaṃ 'nārāyaṇaṃ';	doza antara upalakzakam / taTA ca nirdezam anArAyaNaM a;
   "sarvottamatvavijñānapūrvaṃ tatra manaḥ sadā"ityādyuktaprakāreṇa 'śaraṇaṃ	"sarva uttama tva vijQAna pUrvam tatra manaH sadA"ityAt yukta prakAreNa aSaraNam
   jagmuḥ'; śaraṇaṃ gatā ityarthaḥ / taṃ prārthayan svakāryaṃ ca	jagmuH a; SaraNam gatAH iti arTaH / tam prArTayan sva kAryam ca
   vyajñāpayanniti ca draṣṭavyam / atra brahmādibuddhīnāṃ saṅkīrṇatvaṃ nāma	vyajQApayan= iti ca drazwavyam / atra brahma Adi budDInAm saFkIrNa tvam nAma
   saṅkīrṇabuddhiṣu sajjaneṣu dayāyuktatvameva, na tvitareṣāṃ	saFkIrNa budDizu sat janezu dayA yukta tvam eva, na tu itarezAm
   buddhīnāmivājñānādimiśratvam, ajñānasaṃśayādiviṣayaviṣayakatvaṃ vā /	budDInAm iva ajQAna Adi miSra tvam, ajQAna saMSaya Adi vizaya vizayaka tvam vA /
   svahatagonirmātṛmātraviṣayakagautamaśāpakālanimittābhibhavapadoktatirodhānayordeveṣvasambhavāt	sva hata gonirmAtR mAtra vizaya ka gOtama SApa kAla nimitta aBiBava pada ukta tiroDAnayoH devezu asamBavAt 
   / brahmādidevagonirmātṛvyatiriktalokasya tu gautamahatagonirmātṛtvābhāve	/ brahma Adi deva go nirmAtR vyatirikta lokasya tu gOtama hata go nirmAtR tva aBAve
   'pi sampradāyapravartakābhāvāt kālataścājñānaprāptiriti draṣṭavyam /	api sampradAya pravartaka aBAvAt kAlataH ca ajQAna prAptiH iti drazwavyam /
   gautamaśāpāgamaprakārastu ittham   pūrvaṃ hi dvādaśavārṣikyāṃ anāvṛṣṭau	gOtama SApa Agama prakAraH tu itTam  pUrvam hi dvAdaSa vArzikyAm anAvRzwO
   satyāṃ tayā pīḍitā ṛṣayo gautamāśramaṃ annavantam adhyūṣuḥ / tatraiva	satyAm tayA pIxitAH RzayaH gOtama ASramam annavantam aDyUzuH / tatra eva
   bahukālaṃ tenādṛtāḥ svasvavihitakarmāṇaḥ samavartanta / atha anāvṛṣṭau	bahu kAlam tena AdRtAH sva sva vihita karmANaH samavartanta / aTa anAvRzwO
   śāntāyāṃ teṣāṃ svasvāśramagamanecchā samajani / tadarthaṃ gautamamanujñāṃ	SAntAyAm tezAm sva sva ASrama gamana icCA samajani / tad arTam gOtamam anujQAm
   yayācire / tathāpi svāśramāśūnyatālobhāt na tadanujñāmalambhiṣata /	yayAcire / taTA api sva ASrama aSUnyatA loBAt na tad anujQAm alamBizata /
   tasminnevāvasare	tasmin= eva avasare
   haraśirassthasurasaritaṃ sapatnīṃ matvā tāṃ niścikāsayiṣantyā pārvatyā	hara Sira ssTa surasaritam sapatnIm matvA tAm niScikAsayizantyA pArvatyA
   preṣito vināyako brahmacāriveṣeṇa pracchannastānṛṣīnupasasāra, abravīcca  	prezitaH vinAyakaH brahmacAri vezeNa pracCannaH tAn RzIn upasasAra, abravIt ca  
   he tatra bhavantaḥ, kimarthamimamāśramamadhivasatha?	he tatra BavantaH, kimarTam imam ASramam aDivasaTa?
   cirakālamekaparānnāśanena yuṣmattapo vinaṅkṣyati/ tasmāt svaṃsvamāśramaṃ	cira kAlam eka parAt nASanena yuzmad tapaH vinaFkzyati/ tasmAt svaMsvam ASramam
   vrajata/ tatra ca mayocyamānamupāyamākarṇayata/ yūyaṃ jñānatapobalāt	vrajata/ tatra ca mayA ucyamAnam upAyam AkarNayata/ yUyam jQAna tapaH balAt
   kāñcana māyāmayīṃ māheyīṃ nirmimīdhvam / tāṃ	kAQcana mAyA mayIm mAheyIm nirmimIDvam / tAm
   gautamatapobalākṛṣṭabalāhakāvalīvigalitasalilavardhitasasyādau praveśayata	gOtama tapaH bala AkRzwa balAhaka AvalI vigalita salila varDita sasya AdO praveSayata
   / atha sasyagrāsinīṃ tāṃ apakrāmayituṃ prayatiṣyate gautamaḥ / tataḥ	/ aTa sasya grAsinIm tAm apakrAmayitum prayatizyate gOtamaH / tatas 
   sahasā tatkamaṇḍalūdakasaṃsparśamātreṇa sā nipatiṣyati / tadā brāhmaṇāstaṃ	sahasA tad kamaNxalu udaka saMsparSa mAtreNa sA nipatizyati / tadA brAhmaNAH tam
   pratibrūta yāvadimāmaśeṣamātaraṃ gāṃ notthāpayiṣyati bhavān tāvanna	pratibrUta yAvat imAm aSeza mAtaram gAm na utTApayizyati BavAn tAvat na
   bhojyānnaḥ / tato haraśirassthadyusaritamavatārya tadvāriṇā abhiṣicya	Bojya annaH / tatas hara Sira ssTa dyu saritam avatArya tad vAriNA aBizicya
   tāmujjīvayatu bhavān ityevamanutāpinaṃ tamabhilapyāpasaratetyuktvā herambo	tAm ujjIvayatu BavAn iti evam anutApinam tam aBilapya apasarata iti uktvA herambaH 
   'mbikāṃ jagāma/ atha te vināyakena praṇigaditaṃ prayāṇopāyamupasṛtya	ambikAm jagAma/ aTa te vinAyakena praNigaditam prayANa upAyam upasRtya
   anvatiṣṭhan/ tenaivopāyena prātiṣṭhanta / tatastāvadgautamaḥ tapasā	anvatizWan/ tena eva upAyena prAtizWanta / tatas tAvat gOtamaH tapasA
   tryambakamārādhya mandākinīṃ anusamānīya tadvāriṇā surabhimabhiṣiṣeca /	tryambakam ArADya mandAkinIm anusamAnIya tad vAriNA suraBim aBizizeca /
   tataḥ sottasthau munistaddhatyāghāt vimuktaśca / ata eva godāvarīti tasyāḥ	tatas sa uttasTO muniH tat hatya aGAt vimuktaH ca / atas eva godAvarI iti tasyAH
   saṃjñā samajani / atha vināyakaceṣṭitaṃ pratibudhya ṛṣibhyaścukrodha,	saMjQA samajani / aTa vinAyaka cezwitam pratibuDya RziByaH cukroDa,
   aśapacca gautamaḥ yadasmadannanimittajñānabalādete gāṃ niramaṃsta tat	aSapat ca gOtamaH yat asmat anna nimitta jQAna balAt ete gAm niramaMsta tat 
   jñānamapaitviti /	jQAnam apEtu iti /
   BBsBh_1,1.1.7:	BBsBh_1,1.1.7:
   tairvijñāpitakāryastu bhagavānpuruṣottamaḥ /	tEH vijQApita kAryaH tu BagavAn puruzottamaH /
   avatīrṇo mahāyogī satyavatyāṃ parāśarāt /	avatIrNaH mahA yogI satyavatyAm parASarAt /
   utsannānbhagavānvedānujjahāra harisvayam /	utsannAn BagavAn vedAn ujjahAra hari svayam /
   caturdhā vyabhajattāṃśca caturviṃśatidhā punaḥ /	caturDA vyaBajattAn= ca caturviMSatiDA punar /
   śatadhā caikadhā caiva tathaiva ca sahasradhā /	SataDA ca ekaDA ca eva taTA eva ca sahasraDA /
   kṛṣṇo dvādaśadhā caiva	kRzNaH dvAdaSaDA ca eva
   BBsBhDīp_1,1.1.7:	BBsBhDIB _1,1.1.7:
   devaiḥ prārthito bhagavān kimakarodityata āha   'taiḥ'; iti / 'tuḥ';	devEH prArTitaH BagavAn kim akarot iti atas Aha  atEH a; iti / atuH a;
   avadhāraṇe / 'mahāyogī'; munirūpaḥ mahāśaktirvā / 'puruṣottamaḥ';	avaDAraNe / amahA yogI a; muni rUpaH mahA SaktiH vA / apuruzottamaH a;
   kṣarākṣaracetanābhyāṃ uttamo 'bhagavān'; nārāyaṇaḥ 'taiḥ'; svaśaraṇāgatiṃ	kzara akzara cetanAByAm uttamaH aBagavAn a; nArAyaNaH atEH a; sva SaraNa Agatim
   prāptaireva devaiḥ 'vijñāpitakāryaḥ'; san vijñāpitaṃ pratipāditam	prAptEH eva devEH avijQApita kAryaH a; san vijQApitam pratipAditam
   avatārādirūpaṃ kāryaṃ yasya saḥ, rūpeṇa 'mahāyogī'; nāmnā kṛṣṇaḥ	avatAra Adi rUpam kAryam yasya saH, rUpeNa amahA yogI a; nAmnA kRzNaH
   'parāśarāt satyavatyāmavatīrṇaḥ'; ityanvayaḥ /	aparASarAt satyavatyAm avatIrNaH a; iti anvayaH /
   avatārānantarikaprayojanamāha   'utsannān'; iti / 'svayaṃ'; sākṣāt	avatAra Anantarika prayojanam Aha  autsannAn a; iti / asvayaM a; sAkzAt 
   'hariḥ'; 'bhagavān'; jñānādiguṇaśālī vyāsaḥ 'utsannān'; apapāṭhādinā	ahariH a; aBagavAn a; jQAna Adi guNa SAlI vyAsaH autsannAn a; apapAWa AdinA
   tirohitān 'vedān'; 'svayameva'; anyopadeśamantareṇa 'ujjahāra'; uccāraṇena	tirohitAn avedAn a; asvayam eva a; anya upadeSam antareNa aujjahAra a; uccAraNena
   vyaktīcakāra / tāṃśca prāgeva caturdhā vibhaktān vedān punaḥ 'caturdhā	vyaktIcakAra / tAn= ca prAk eva caturDA viBaktAn vedAn punar acaturDA
   vyabhajat'; caturbhāgānakarot / ekaikaṃ ca bhāgaṃ 'punaḥ';	vyaBajat a; catur BAgAn akarot / ekEkam ca BAgam apunaH a;
   caturviṃśatyādiśākhārūpeṇa ṛgvedaṃ 'caturviṃśatidhā', yajurvedaṃ	caturviMSati Adi SAKA rUpeNa Rgvedam acaturviMSatiDA a, yajurvedam
   'ekaśatadhā'; ekottaraśatākhyaikaprakāreṇa, sāmavedaṃ 'sahasradhā';	aeka SataDA a; eka uttara Sata AKya eka prakAreNa, sAmavedam asahasraDA a;
   atharvaṇavedaṃ 'dvādaśadhā ca'; vyabhajadityarthaḥ / bhagavattvasya	aTarvaNa vedam advAdaSaDA ca a; vyaBajat iti arTaH / Bagavat tvasya
   mukhyatvajñāpanāya 'bhagavān'; iti punaruktiḥ / 'eva'; śabdāḥ	muKya tva jQApanAya aBagavAn a; iti punaruktiH / aeva a; SabdAH
   prakārādhikyavyavacchedakāḥ / 'ca'; śabdāḥ prakārāṇāṃ	prakAra ADikya vyavacCedakAH / aca a; SabdAH prakArANAm
   parasparasamuccāyakāḥ /	paraspara samuccAyakAH /
   BBsBh_1,1.1.8:	BBsBh_1,1.1.8:
   punastasyārthavittaye /	punar tasya arTa vittaye /
   BBsBhDīp_1,1.1.8:	BBsBhDIB _1,1.1.8:
   prakṛtamāha   'punaḥ'; iti / pūrveṇaivāsyānvayaḥ / yadvā  	prakRtam Aha  apunaH a; iti / pUrveNa eva asya anvayaH / yat vA  
   uttareṇāpyanvayaḥ / vedavibhāgānantaraṃ ityarthaḥ / 'tasya'; vedasya	uttareNa api anvayaH / veda viBAga anantaram iti arTaH / atasya a; vedasya
   'arthavittaye'; arthajñānāya / vedānāṃ bahutve 'pi	aarTa vittaye a; arTa jQAnAya / vedAnAm bahu tve api
   arthasyaikatvāttadvivakṣayā tān vedāniti bahuvacananirdiṣṭānāmapi vedānāṃ	arTasya eka tvAt tad vivakzayA tAn vedAn iti bahuvacana nirdizwAnAm api vedAnAm
   tasyetyekavacanena nirdeśo nānupapannaḥ, tasyetyasya samudāyaikavacanatvāt	tasya iti eka vacanena nirdeSaH na anupapannaH, tasya iti asya samudAya eka vacana tvAt 
   / nityasāpekṣatvāt 'arthavittaye'; iti samāsassādhuḥ /	/ nitya sApekza tvAt aarTa vittaye a; iti samAsassADuH /
   punaśśabdasyānantaryārthatvaṃ ca 'punaraprathame bhede'; ityamaroktyā	punar Sabdasya AnantaryArTa tvam ca apunar apraTame Bede a; iti amara uktyA
   'punareva samabhyaset'; ityatra punaḥ nidrāpagamānantaramiti sudhoktyā	apunar eva samaByaset a; iti atra punar nidrA apagama anantaram iti suDA uktyA
   'tṛtīye punareva ca'; ityatra varatrayānantaramiti viśveśatīrthoktyā ca	atRtIye punar eva ca a; iti atra vara traya anantaram iti viSveSa tIrTa uktyA ca
   siddham / 'cakāra'; ityatrāpi 'kṛṣṇo vyāsaḥ'; ityanuṣajyate / nanu	sidDam / acakAra a; iti atra api akRzNaH vyAsaH a; iti anuzajyate / nanu
   sūtrāntaraireva vedārthanirṇayasambhavātkiṃ brahmasūtrairiti	sUtra antarEH eva veda arTa nirNaya samBavAt kim brahmasUtrEH iti
   gatārthatāśaṅkāparihārāyāha   'yeṣām'; iti/ 'sūtratvaṃ';	gatArTa tA SaFkA parihArAya Aha  ayezAm a; iti/ asUtra tvaM a;
   sūtraśabdapravṛttinimittaṃ 'añjasā'; mukhyato 'stītyarthaḥ/ asya tāni	sUtra Sabda pravRtti nimittam aaQjasA a; muKyatas asti iti arTaH/ asya tAni
   'cakāra'; iti pūrveṇa 'evaṃvidhāni'; ityuttareṇa vā anvayaḥ /	acakAra a; iti pUrveNa aevaMviDAni a; iti uttareNa vA anvayaH /
   BBsBh_1,1.1.9:	BBsBh_1,1.1.9:
   alpākṣaramasandigdhaṃ sāravad viśvatomukham /	alpa akzaram asandigDam sAravat viSvatomuKam /
   astobhamanavadyaṃ ca sūtraṃ sūtravido viduḥ /	astoBamanavadyam ca sUtram sUtra vidaH viduH /
   BBsBhDīp_1,1.1.9:	BBsBhDIB _1,1.1.9:
   kiṃ tat sūtratvaṃ yadāñjasyaṃ brahmasūtrāṇāmityata āha   'alpa'; iti /	kim tat sUtra tvam yadA aQjasyam brahmasUtrANAm iti atas Aha  aalpa a; iti /
   yāvadakṣaratāṃ vinā śrutyarthābhyāṃ vivakṣitārthasiddhirnāsti	yAvat akzara tAm vinA Sruti arTAByAm vivakzita arTa sidDiH na asti
   tadarthapratipādanāya tāvanmātrākṣaramasati niyāmake tato	tad arTa pratipAdanAya tAvat mAtra akzaram asati niyAmake tatas 
   'dhikākṣararahitam 'alpākṣaram'; / kecittu  	aDika akzara rahitam aalpa akzaram a; / kecid tu  
   alpākṣarabahvakṣarayuktaparyāyapadayormadhye alpākṣarapadopetatvaṃ	alpa akzara bahu akzara yukta paryAya padayoH maDye alpa akzara pada upeta tvam
   alpākṣaratvamityāhuḥ / taṭṭīkānanuguṇam / evaṃ ca	alpa akzara tvam iti AhuH / tawwIka an anuguNam / evam ca
   bhavitumarhatītyanucyamānārtham 'asandigdham'; / 'asandigdhārthaṃ	Bavitum arhati iti anucyamAna arTam aasan digDam a; / aasan digDa arTam
   nirṇītārtham'; iti tattvapradīpokteḥ / ananyalabhyottamārthayuktaṃ	nirNIta arTam a; iti tattva pradIpa ukteH / ananya laBya uttama arTa yuktam
   'sāravat'; / bahuśākhāgatapadavākyārthanirṇāyakaṃ 'viśvatomukham'; /	asAravat a; / bahu SAKA gata pada vAkya arTa nirNAyakam aviSvatomuKam a; /
   tattvapradīpe tu ekaṃ prayojanaṃ pratyapekṣitārthasya kṛtsnasya	tattva pradIpe tu ekam prayojanam pratyapekzita arTasya kRtsnasya
   pratipādikaṃ 'viśvatomukham'; ityuktam / arthajñānamantareṇa	pratipAdikam aviSvatomuKam a; iti uktam / arTa jQAnam antareNa
   gānabhāgapūraṇādiprayojanāntarārthākṣararahitam 'astobham'; /	gAna BAga pUraNa Adi prayojana antara arTa akzara rahitam aastoBam a; /
   śabdārthadoṣavidhuram 'anavadyam'; / yadetāvadviśeṣaṇayutaṃ tadeva	Sabda arTa doza viDuram aanavadyam a; / yat etAvat viSezaNa yutam tat eva
   'sūtram'; iti 'sūtravidaḥ'; sūtralakṣaṇajñāḥ 'viduḥ'; abhyupayantītyarthaḥ	asUtram a; iti asUtra vidaH a; sUtra lakzaNa jQAH aviduH a; aByupayanti iti arTaH
   / atra bhāṣyanirṇayahetuśūnyavākyaṃ kuśalapuruṣoktalaukikavārtādikaṃ	/ atra BAzya nirNaya hetu SUnya vAkyam kuSala puruza ukta lOkika vArtA Adikam
   bhagavannāmamantrādikam arthāpratipādakatve 'pi	Bagavat nAma mantra Adikam arTa apratipAdaka tve api
   ṛgakṣarāvyāptagānabhāgaparipūrakasāmagatastobhākṣarāṇi	Rc akzara avyApta gAna BAga paripUraka sAma gata stoBa akzarANi
   apaśabdopetatādṛśavākyaṃ ca vyāvartayituṃ krameṇa viśeṣaṇānīti	apaSabda upeta tAdRSa vAkyam ca vyAvartayitum krameNa viSezaNAni iti
   padaprayojanaṃ tattvapradīpoktamanusandheyam / atra sarvatra dharmikathane	pada prayojanam tattva pradIpa uktam anusanDeyam / atra sarvatra Darmi kaTane
   'pi taddvārā sūtrapadapravṛttinimittamapyuktamiti nāsaṅgatiḥ /	api tad dvArA sUtrapada pravRtti nimittam api uktam iti na asaFgatiH /
   BBsBh_1,1.1.10:	BBsBh_1,1.1.10:
   nirviśeṣitasūtratvaṃ brahmasūtrasya cāpyataḥ /	nirviSezita sUtra tvam brahmasUtrasya ca api atas /
   yathā vyāsatvamekasya kṛṣṇasyānye viśeṣaṇāt /	yaTA vyAsa tvam ekasya kRzNasya anye viSezaNAt /
   BBsBhDīp_1,1.1.10:	BBsBhDIB _1,1.1.10:
   nanvetatsūtratvaṃ kuto brahmasūtrāṇāmāñjasyenetyata āha   'nirviśeṣita';	nanu etat sUtra tvam kutas brahmasUtrANAm AQjasyena iti atas Aha  anirviSezita a;
   iti / 'brahmasūtrasya'; iti samudāyaikavacanam / co 'vadhāraṇe yata	iti / abrahmasUtrasya a; iti samudAya eka vacanam / caH avaDAraNe yata
   ityarthe ca / 'api'; śabdo mukhyasūtratvasamuccaye / tathā ca yato	iti arTe ca / aapi a; SabdaH muKya sUtra tva samuccaye / taTA ca yatas 
   brahmasūtrāṇāṃ mukhyasūtratvamasti ata eva hi 'nirviśeṣitasūtratvaṃ';	brahmasUtrANAm muKya sUtra tvam asti atas eva hi anirviSezita sUtra tvaM a;
   nirgatā viśeṣā yasmāttannirviśeṣaṃ tathākhyātaṃ nirviśeṣitaṃ tādṛśaṃ	nirgatA viSezAH yasmAt tad nirviSezam taTA AKyAtam nirviSezitam tAdRSam
   sūtrapadaṃ yasya tasya bhāvaḥ / yadvā   viśeṣo viśeṣaṇaṃ, tasyābhāvo 'sya	sUtra padam yasya tasya BAvaH / yat vA  viSezaH viSezaNaM, tasya aBAvaH asya
   sañjātaḥ tādṛśaḥ sūtraśabdo yasya tasya bhāvo nirviśeṣitasūtratvam /	san jAtaH tAdRSaH sUtra SabdaH yasya tasya BAvaH nirviSezita sUtra tvam /
   viśeṣaṇarahitakevalasūtrapadavācyatvamasti purāṇādāvuktam / anyathā tanna	viSezaNa rahita kevala sUtra pada vAcya tvam asti purANa AdO= uktam / anyaTA tat na
   syāt, vyāpakābhāve	syAt, vyApaka aBAve
   vyāpyābhāvaniyamādityarthaḥ / atrādyapakṣe tathākhyātamityarthe	vyApya aBAva niyamAt iti arTaH / atra Adya pakze taTA AKyAtam iti arTe
