   akāraṃ hyātmasambhavam Stk_2.6d	akAram hi-Atma-samBavam Stc-_2.6d
   saptamāttricaturthakam Stk_19.10d	saptamAt-tri-caturTakam Stc-_19.10d
   saptavargāṣṭamaṃ koṭiḥ Stk_19.10a	saptavarga-azwamam kowiH Stc-_19.10a
   sabāhyantaraṃ kṛtvā Stk_2.15c	sa-bAhI-antaram kRtvA Stc-_2.15c
   sabāhyābhyantaraṃ punaḥ Stk_8.40b	sa-bAhya-aByantaram punar Stc-_8.40b
   sabāhyābhyantare sthitaḥ Stk_23.4d	sa-bAhya-aByantare sTitaH Stc-_23.4d
   samayaiḥ parivarjitāḥ Stk_8.29b	samayEH parivarjitAH Stc-_8.29b
   samarthaḥ sarvakarmasu Stk_17.2d	samarTaH sarva-karmasu Stc-_17.2d
   samaṃ nayati gātreṣu Stk_10.10c	samam nayati gAtrezu Stc-_10.10c
   samādhiṃ mṛtyunāśanam Stk_2.9b	samADim mRtyu-nASanam Stc-_2.9b
   samāno nāma mārutaḥ Stk_10.10d	samAnaH nAma mArutaH Stc-_10.10d
   samāsātkathitaḥ sarvo Stk_1.14c	samAsAt-kaTitaH sarvaH Stc-_1.14c
   sampūrṇakumbhavattiṣṭhet Stk_11.13c	sampUrNa-kumBa-vat-tizWet Stc-_11.13c
   sarva iṣṭā na saṃśayaḥ Stk_22.10d	sarve izwAH na saMSayaH Stc-_22.10d
   sarvakarmāṇi kārayet Stk_6.3d	sarva-karmANi kArayet Stc-_6.3d
   sarvakāmārthasādhanam Stk_5.6b	sarva-kAma-arTa-sADanam Stc-_5.6b
   sarvakāmārthasādhikā Stk_1.16b	sarva-kAma-arTa-sADikA Stc-_1.16b
   sarvagandhopaśobhitam Stk_9.3b	sarva-ganDa-upaSoBitam Stc-_9.3b
   sarvajñaṃ ca tadātmānaṃ Stk_2.11c	sarvajQam ca tadA-AtmAnam Stc-_2.11c
   sarvajñāneṣu cottamam Stk_5.6d	sarva-jQAnezu ca-uttamam Stc-_5.6d
   sarvatattvāni tatraiva Stk_8.2c	sarva-tattvAni tatra-eva Stc-_8.2c
   sarvatantreṣu sāmānyaṃ Stk_5.6c	sarva-tantrezu sAmAnyam Stc-_5.6c
   sarvataḥ kimapi sthitaḥ Stk_23.2d	sarvatas kim-api sTitaH Stc-_23.2d
   sarvatraiva vyavasthitaḥ Stk_23.7b	sarvatra-eva vyavasTitaH Stc-_23.7b
   sarvadeheṣu vartate Stk_20.3b	sarva-dehezu vartate Stc-_20.3b
   sarvadeheṣu vartate Stk_20.4b	sarva-dehezu vartate Stc-_20.4b
   sarvapāpakṣayo bhavet Stk_15.2b	sarva-pApa-kzayaH Bavet Stc-_15.2b
   sarvapāśanikṛntanam Stk_1.13d	sarva-pASa-nikRntanam Stc-_1.13d
   sarvabhūteṣu tattvavit Stk_21.13b	sarva-BUtezu tattva-vid Stc-_21.13b
   sarvabhūteṣvavasthitam Stk_1.5b	sarva-BUtezu-avasTitam Stc-_1.5b
   sarvamantrapravartikām Stk_13.2b	sarva-mantra-pravartikAm Stc-_13.2b
   sarvavyāpī na saṃśayaḥ Stk_20.4d	sarva-vyApI na saMSayaH Stc-_20.4d
   sarvasiddhipradaṃ śubham Stk_7.2d	sarva-sidDi-pradam SuBam Stc-_7.2d
   sarvaṃ nigaditaṃ prabho Stk_14.1b	sarvam nigaditam praBo Stc-_14.1b
   sarvāṅgāṇi tvajātena Stk_4.4a	sarva-aFgANi tu-ajAtena Stc-_4.4a
   sarvāvastho 'pi mānavaḥ Stk_23.24d	sarva-avasTaH api mAnavaH Stc-_23.24d
   sarve cāmoghaśaktayaḥ Stk_22.11d	sarve ca-amoGa-SaktayaH Stc-_22.11d
   sarve proktāḥ prasādajāḥ Stk_22.6b	sarve proktAH prasAda-jAH Stc-_22.6b
   sarveṣāṃ copari sthitaḥ Stk_1.10b	sarvezAm ca-upari sTitaH Stc-_1.10b
   sarvauṣadhiyutaṃ kṛtvā Stk_9.3a	sarva-ozaDi-yutam kRtvA Stc-_9.3a
   savidyeśaḥ śivaḥ prokto Stk_13.10c	sa-vidyA-ISaH SivaH proktaH Stc-_13.10c
   savisargaṃ bhavedastram Stk_1.10c	sa-visargam Bavet-astram Stc-_1.10c
   sa siddhiphalabhāgbhavet Stk_12.5d	sa sidDi-Pala-BAj-Bavet Stc-_12.5d
   sa hakāro vakāreṇa Stk_21.17a	sa hakAraH vakAreNa Stc-_21.17a
   sahasrodghātasaṃyutam Stk_21.5b	sahasra-udGAta-saMyutam Stc-_21.5b
   saṃkrāntiritaścetaśca gacchatastena samākhyātā Stk_10.23/b	saMkrAntiH-itas-ca-itas-ca gacCataH-tena samAKyAtA Stc-_10.23/b
   saṃkrāntiṃ viṣuvaṃ caiva Stk_11.3a	saMkrAntim vizuvam ca-eva Stc-_11.3a
   saṃkrāntiḥ punarasyaiva Stk_11.6a	saMkrAntiH punar-asya-eva Stc-_11.6a
   saṃkṣepātkathayasva me Stk_8.33d	saMkzepAt-kaTayasva me Stc-_8.33d
   saṃkṣepāt kathayasva me Stk_14.1d	saMkzepAt kaTayasva me Stc-_14.1d
   saṃkṣepānna tu vistarāt Stk_9.1b	saMkzepAt-na tu vistarAt Stc-_9.1b
   saṃkṣepānna tu vistarāt Stk_20.8d	saMkzepAt-na tu vistarAt Stc-_20.8d
   saṃkṣepānna tu vistarāt Stk_23.18b	saMkzepAt-na tu vistarAt Stc-_23.18b
   saṃkṣepeṇa mayā skanda Stk_7.10a	saMkzepeNa mayA skanda Stc-_7.10a
   saṃdhānaṃ caiva tattvānāṃ Stk_8.20c	saMDAnam ca-eva tattvAnAm Stc-_8.20c
   saṃdhānaṃ caiva saṃyogaṃ Stk_8.16c	saMDAnam ca-eva saMyogam Stc-_8.16c
   saṃdhyāṃ vandeta sādhakaḥ Stk_3.6b	saMDyAm vandeta sADakaH Stc-_3.6b
   saṃyāti yatra neyaḥ śuṣkadalaṃ māruteneva Stk_10.20/b	saMyAti yatra neyaH Suzka-dalam mArutena-iva Stc-_10.20/b
   saṃyogātsamprakāśeta Stk_13.7a	saMyogAt-samprakASeta Stc-_13.7a
   saṃyojakaviyojakaḥ Stk_13.21d	saMyojaka-viyojakaH Stc-_13.21d
   saṃśayo me mahādeva Stk_11.1c	saMSayaH me mahAdeva Stc-_11.1c
   saṃśayo me mahādeva Stk_23.13a	saMSayaH me mahAdeva Stc-_23.13a
   saṃhāraścaiva sṛṣṭiśca Stk_14.1a	saMhAraH-ca-eva sRzwiH-ca Stc-_14.1a
   saṃhārasampuṭaṃ kūṭam Stk_14.4a	saMhAra-sampuwam kUwam Stc-_14.4a
   saṃhāraṃ tasya tīrthasya Stk_3.9c	saMhAram tasya tIrTasya Stc-_3.9c
   saṃhāro bindunā saha Stk_13.22d	saMhAraH bindunA saha Stc-_13.22d
   sā kalā śāntirucyate Stk_13.6d	sA kalA SAntiH-ucyate Stc-_13.6d
   sādhakasya bhavedbahvī Stk_16.6c	sADakasya Bavet-bahvI Stc-_16.6c
   sādhakā janmabandhanāt Stk_8.12b	sADakAH janma-banDanAt Stc-_8.12b
   sādhakānāṃ hitāya vai Stk_1.15b	sADakAnAm hitAya vE Stc-_1.15b
   sāntaṃ sarvagataṃ śūnyaṃ Stk_1.9a	sa-antam sarva-gatam SUnyam Stc-_1.9a
   sā rekhā madhyataḥ sthitā Stk_13.13d	sA reKA maDyatas sTitA Stc-_13.13d
   sā śaktiḥ paramā sūkṣmā Stk_13.8a	sA SaktiH paramA sUkzmA Stc-_13.8a
   siddhikāmaḥ samāhitaḥ Stk_12.3d	sidDi-kAmaH samAhitaH Stc-_12.3d
   siddhiṃ yānti na saṃśayaḥ Stk_16.10d	sidDim yAnti na saMSayaH Stc-_16.10d
   siddhyecca na kadācana Stk_23.21d	sidDyet-ca na kadAcana Stc-_23.21d
   sugandhāmalakādibhiḥ Stk_3.5d	suganDa-Amalaka-AdiBiH Stc-_3.5d
   suṣumnā ca tṛtīyakā Stk_10.3d	suzumnA ca tRtIyakA Stc-_10.3d
   suṣumnābhinnamastakam Stk_2.8b	suzumnA-aBinna-mastakam Stc-_2.8b
   suṣumnā madhyame hyaṅge Stk_11.7a	suzumnA maDyame hi-aFge Stc-_11.7a
   susamiddhe hutāśane Stk_7.6b	su-samidDe hutASane Stc-_7.6b
   sūkṣmarekhā nirañjanā Stk_13.5b	sUkzma-reKA niraQjanA Stc-_13.5b
   sūkṣmaṃ cintāmayaṃ bhavet Stk_1.8b	sUkzmam cintA-mayam Bavet Stc-_1.8b
   sūtreṇa sumitaṃ kṛtvā Stk_7.3a	sUtreNa sumitam kRtvA Stc-_7.3a
   sūtre maṇigaṇā iva Stk_8.31d	sUtre maNi-gaNAH iva Stc-_8.31d
   sūryamaṇḍalasaṃkāśam Stk_2.6c	sUrya-maNxala-saMkASam Stc-_2.6c
   sūryasya grahaṇe vatsa Stk_8.30c	sUryasya grahaNe vatsa Stc-_8.30c
   sṛjati grasati hyeṣa Stk_13.21c	sRjati grasati hi-eza Stc-_13.21c
   sṛjati prabhuḥ(?) Stk_13.3b	sRjati praBuH(?) Stc-_13.3b
   sṛṣṭinyāsamavijñāya Stk_12.6a	sRzwinyAsam-avijQAya Stc-_12.6a
   sṛṣṭinyāsaṃ nyasettatra Stk_12.2a	sRzwi-nyAsam nyaset-tatra Stc-_12.2a
   sṛṣṭiṃ mantralipeḥ kramāt Stk_13.1b	sRzwim mantra-lipeH kramAt Stc-_13.1b
   somagrahaṇamiṣyate Stk_11.9b	soma-grahaNam-izyate Stc-_11.9b
   saumye saumyo bhāvastvaiśe tvaiśaḥ samākhyātaḥ Stk_10.27/a	sOmye sOmyaH BAvaH-tu-ESe tu-ESaH samAKyAtaH Stc-_10.27/a
   sauraniyogāddakṣiṇamudagayanaṃ cāndrasaṃyogāt Stk_10.22/b	sOra-niyogAt-dakziNam-udagayanam cAndra-saMyogAt Stc-_10.22/b
   sauraḥ savyo mārgaścāndramasaścetaraḥ samākhyātaḥ Stk_10.24/a	sOraH savyaH mArgaH-cAndramasaH-ca-itaraH samAKyAtaH Stc-_10.24/a
   sthāpanaṃ pādyamarghyaṃ ca Stk_5.4c	sTApanam pAdyam-arGyam ca Stc-_5.4c
   sthito dehe tu kāṣṭhavat Stk_19.5b	sTitaH dehe tu kAzWa-vat Stc-_19.5b
   sthūlabhedāstrayaḥ proktā Stk_16.3a	sTUla-BedAH-trayaH proktA Stc-_16.3a
   sthūlaṃ śabda iti proktaṃ Stk_1.8a	sTUlam SabdaH iti proktam Stc-_1.8a
   sthūlaṃ sūkṣmaṃ paraṃ jñātvā Stk_1.7c	sTUlam sUkzmam param jQAtvA Stc-_1.7c
   sthūlaḥ sūkṣmaḥ paraścaiva Stk_15.4a	sTUlaH sUkzmaH paraH-ca-eva Stc-_15.4a
   snapanaṃ pūjanaṃ caiva Stk_5.5a	snapanam pUjanam ca-eva Stc-_5.5a
   snānaṃ kurvīta ṣaṇmukha Stk_4.4d	snAnam kurvIta zaNmuKa Stc-_4.4d
   snānaṃ pāpaharaṃ śubham Stk_3.1b	snAnam pApa-haram SuBam Stc-_3.1b
   spandatyadharaṃ vaktraṃ Stk_10.11a	spandati-aDaram vaktram Stc-_10.11a
   sravantaṃ cintayettataḥ Stk_2.5d	sravantam cintayet-tatas Stc-_2.5d
   sravantaṃ cintayettasminn Stk_12.2c	sravantam cintayet-tasmin Stc-_12.2c
   sravantaṃ manasā smaret Stk_8.23b	sravantam manasA smaret Stc-_8.23b
   svatattve cāhutiśataṃ Stk_8.18a	sva-tattve ca-Ahuti-Satam Stc-_8.18a
   svatantravihitaṃ prājño Stk_7.4c	svatantra-vihitam prAjQaH Stc-_7.4c
   svadehaṃ cintayedvidvān Stk_12.4a	sva-deham cintayet-vidvAn Stc-_12.4a
   svayaṃ devo maheśvaraḥ Stk_22.13b	svayam devaH maheSvaraH Stc-_22.13b
   svareṇaikena yogavit Stk_11.11d	svareNa-ekena yoga-vid Stc-_11.11d
   svasthānātsthāna eva ca Stk_11.6b	sva-sTAnAt-sTAnaH eva ca Stc-_11.6b
   hakārādyantasaṃsthitam Stk_21.14b	hakAra-Adi-anta-saMsTitam Stc-_21.14b
   hakāro hrīṃ tathaiva ca Stk_21.4b	hakAraH hrIm taTA-eva ca Stc-_21.4b
   hanti vighnāñśivāstreṇa Stk_1.13a	hanti viGnAn-Siva-astreNa Stc-_1.13a
   hanyānmuṣṭibhirākāśaṃ Stk_12.6c	hanyAt-muzwiBiH-AkASam Stc-_12.6c
   hastamātrapramāṇataḥ Stk_7.5d	hasta-mAtra-pramANataH Stc-_7.5d
   hastābhyāṃ saṃspṛśetpādād Stk_1.15c	hastAByAm saMspRSet-pAdAt Stc-_1.15c
   haṃsa haṃseti yo brūyad Stk_23.3a	haMsa haMsa-iti yaH brUyat Stc-_23.3a
   hitāya sādhakendrāṇāṃ Stk_9.1c	hitAya sADaka-indrANAm Stc-_9.1c
   hutenaiva tu mucyante Stk_8.12a	hutena-eva tu mucyante Stc-_8.12a
   humphaṭkārasamāyuktaṃ Stk_8.20a	humPawkAra-samAyuktam Stc-_8.20a
   humphaḍantena yojitāḥ Stk_8.39b	humPaxantena yojitAH Stc-_8.39b
   huṃ phaṭ huṃ phaṭ tathaiva ca Stk_21.21b	hum Paw hum Paw taTA-eva ca Stc-_21.21b
   huṃphaḍantena paṭalaṃ Stk_2.3c	huMPaw-antena pawalam Stc-_2.3c
   hṛtpadmādyāvattatpadmaṃ Stk_8.32a	hRd-padmAt-yAvat-tat-padmam Stc-_8.32a
   hṛtpradeśe tu sā jñeyā Stk_12.1c	hRd-pradeSe tu sA jQeyA Stc-_12.1c
   hṛdayaṃ karṇikā padmaṃ Stk_5.2c	hRdayam karNikA padmam Stc-_5.2c
   hṛdayaṃ ca śiraścaiva Stk_2.12a	hRdayam ca SiraH-ca-eva Stc-_2.12a
   hṛdayaṃ bahurūpeṇa Stk_4.3c	hRdayam bahu-rUpeNa Stc-_4.3c
   hṛdayādāvavasthitaḥ Stk_22.16b	hRdaya-AdO=-avasTitaH Stc-_22.16b
   hṛdayena ca kalpayet Stk_5.3d	hRdayena ca kalpayet Stc-_5.3d
   hṛdayena tato vidvān Stk_3.9a	hRdayena tatas vidvAn Stc-_3.9a
   hṛdayena tu kārayet Stk_5.5b	hRdayena tu kArayet Stc-_5.5b
   hṛdayena tu ṣaṇmukha Stk_5.4b	hRdayena tu zaNmuKa Stc-_5.4b
   hṛdayena tu ṣaṇmukha Stk_8.18b	hRdayena tu zaNmuKa Stc-_8.18b
   hṛdayenātra tūddhāraḥ Stk_8.19a	hRdayena-atra tu-udDAraH Stc-_8.19a
   hṛdayenaiva kārayet Stk_6.2b	hRdayena-eva kArayet Stc-_6.2b
   hṛdayenaiva mantrajñaḥ Stk_6.3c	hRdayena-eva mantra-jQaH Stc-_6.3c
   hṛdaye paṅkajamarkendvagnihiraṇyadyotābhāḥ śaktayastasmin Stk_10.18/b	hRdaye paFkajam-arka-indu-agni-hiraNyadyota-ABAH SaktayaH-tasmin Stc-_10.18/b
   hṛdaye 'rcāvidhānaṃ tu Stk_2.13a	hRdaye arcA-viDAnam tu Stc-_2.13a
   hṛdā pūrvaṃ samārabhya Stk_7.9c	hRdA pUrvam samAraBya Stc-_7.9c
   hṛdā vai śaktigarbhe tu Stk_6.2c	hRdA vE Sakti-garBe tu Stc-_6.2c
   hṛdbījaṃ pārthive yuktaṃ Stk_2.2a	hRd-bIjam pArTive yuktam Stc-_2.2a
   hṛdvyomamadhye paṅkajamaṣṭadalaṃ karṇikā ca tasyāntaḥ Stk_10.18/a	hRd-vyoma-maDye paFkajam-azwa-dalam karNikA ca tasya-antar Stc-_10.18/a
   homayedanupūrvaśaḥ Stk_6.4d	homayet-anupUrvaSas Stc-_6.4d
   homayedanupūrvaśaḥ Stk_8.11b	homayet-anupUrvaSas Stc-_8.11b
   hau ca madhye niyojitam Stk_21.12b	hO ca maDye niyojitam Stc-_21.12b
   hyadha ūrdhvaṃ sa gacchati Stk_17.4b	hi-aDas UrDvam sa gacCati Stc-_17.4b
   hyavicchinnaḥ pravartate Stk_23.16b	hi-avicCinnaH pravartate Stc-_23.16b
   hyaukāro haṃ namastathā Stk_21.16b	hi-OkAraH ham namaH-taTA Stc-_21.16b
   hyau madhye hlīṃ namaścānte Stk_21.17c	hyO maDye hlIm namaH-ca-ante Stc-_21.17c
   hrasvaṃ dīrghaṃ plutaṃ caiva Stk_16.1c	hrasvam dIrGam plutam ca-eva Stc-_16.1c
   hrasvo dahati pāpāni Stk_16.2a	hrasvaH dahati pApAni Stc-_16.2a
   hrūṃkāraṃ tadanantaram Stk_21.19d	hrUMkAram tad-anantaram Stc-_21.19d
   hrauṃ hrūṃ ca phaṇṇamaścānte Stk_21.20a	hrOm hrUm ca PaNNamaH-ca-ante Stc-_21.20a
