   Rcūm, 3	RcUm, 3
   mūṣāmadhye nirudhyātha dhmānādutthāpitaṃ punaḥ // Rcūm_4.46 //	mUzA-maDye niruDya-aTa DmAnAt-utTApitam punar // RcUm_4.46 //
   cakrāntena punaḥ kṛtvā palapramitapāradaiḥ /	cakra-antena punar kRtvA pala-pramita-pAradEH /
   liptvā limpetsitārkasya payasā śilayāpi ca // Rcūm_4.47 //	liptvA limpet-sita-arkasya payasA SilayA-api ca // RcUm_4.47 //
   pacedgajapuṭairenaṃ vārāṇāṃ khalu viṃśatiḥ /	pacet-gajapuwEH-enam vArANAm Kalu viMSatiH /
   puṭe puṭe hi nāgasya kuryādutthānaṃ khalu // Rcūm_4.48 //	puwe puwe hi nAgasya kuryAt-utTAnam Kalu // RcUm_4.48 //
   nīlajyotirdravaiḥ samyag daśavārāṇi ḍhālayet /	nIlajyotiH-dravEH samyak daSa-vArANi XAlayet /
   iti siddhaṃ tataḥ sīsaṃ karṣamātrāvaśeṣitam // Rcūm_4.49 //	iti sidDam tatas sIsam karza-mAtra-avaSezitam // RcUm_4.49 //
   guhyanāgākhyayā proktaṃ śreṣṭhaṃ rasarasāyanam /	guhyanAga-AKyayA proktam SrezWam rasa-rasAyanam /
   {guhyanāga:: grāsa of gold}	{guhya-nAga:: grAsaH of gold}
   niṣkamātre tu nāge 'smin lohakhāryāṃ drute sati // Rcūm_4.50 //	nizka-mAtre tu nAge asmin loha-KAryAm drute sati // RcUm_4.50 //
   svato lakṣaguṇāṃ haimīṃ śalākāṃ grasati dhruvam /	svatas lakza-guNAm hEmIm SalAkAm grasati Druvam /
   kusumbhatailataptaṃ tat svarṇam udgariti dhruvam // Rcūm_4.51 //	kusumBa-tEla-taptam tat svarNam udgariti Druvam // RcUm_4.51 //
   guhyamārgo 'yamuddiṣṭo vakti svacchandabhairavaḥ /	guhya-mArgaH ayam-uddizwaH vakti svacCandaBEravaH /
   {varanāga}	{vara-nAga}
   tīkṣṇaṃ nīlāñjanopetaṃ dhmātaṃ hi bahuśo dṛḍham // Rcūm_4.52 //	tIkzNam nIlAQjana-upetam DmAtam hi bahuSas dRXam // RcUm_4.52 //
   mṛdu kṛṣṇaṃ drutadrāvi varanāgaṃ taducyate /	mRdu kRzNam drutadrAvi varanAgam tat-ucyate /
   {utthāpana (def.)}	{utTApanaH (def.)}
   mṛtasya punarudbhūtiḥ sā coktotthāpanākhyayā // Rcūm_4.53 //	mRtasya punar-udBUtiH sA ca-ukta-utTApana-AKyayA // RcUm_4.53 //
   {ḍhālana}	{XAlana}
   drutadravyasya nikṣepo drave taḍḍhālanaṃ matam /	druta-dravyasya nikzepaH drave tat-XAlanam matam /
   {nāgasaṃbhūtacapala}	{nAga-saMBUta-capala}
   triṃśatpalamitaṃ nāgaṃ bhānudugdhena marditam // Rcūm_4.54 //	triMSat-pala-mitam nAgam BAnu-dugDena marditam // RcUm_4.54 //
   vimardya puṭayettāvadyāvat karṣāvaśeṣitam /	vimardya puwayet-tAvat-yAvat karza-avaSezitam /
   na tatpuṭasahasreṇa kṣayamāyāti sarvadā // Rcūm_4.55 //	na tad-puwa-sahasreNa kzayam-AyAti sarvadA // RcUm_4.55 //
   capalo'yaṃ samuddiṣṭo vārttikairnāgasambhavaḥ /	capalaH-ayam samuddizwaH vArttikEH-nAgasamBavaH /
   {vaṅgasaṃbhūtaś capalaḥ}	{vaFga-saMBUtaH capalaH}
   itthaṃ ca capalaḥ kāryo vaṅgasyāpi na saṃśayaḥ // Rcūm_4.56 //	itTam ca capalaH kAryaH vaFgasya-api na saMSayaH // RcUm_4.56 //
   tatspṛṣṭahastasaṃspṛṣṭaḥ kevalo badhyate rasaḥ /	tad-spRzwa-hasta-saMspRzwaH kevalaH baDyate rasaH /
   sa raso dhātuvādeṣu śasyate na rasāyane // Rcūm_4.57 //	sa rasaH DAtuvAdezu Sasyate na rasAyane // RcUm_4.57 //
   ayaṃ hi kharpaṇākhyena lokanāthena kīrtitaḥ /	ayam hi KarpaNa-AKyena lokanATena kIrtitaH /
   {capala:: preparation}	{capala:: prepa-ration}
   bhrāmakāśmarajaḥ sūkṣmaṃ pañcamāṃśarasānvitam // Rcūm_4.58 //	BrAmaka-aSma-rajaH sUkzmam paQcama-aMSa-rasa-anvitam // RcUm_4.58 //
   kumārīmūlatoyena mardayedekavāsaram /	kumArI-mUla-toyena mardayet-eka-vAsaram /
   cāṅgerīsvarasenāpi dinamekamanāratam // Rcūm_4.59 //	cAFgerI-svarasena-api dinam-ekam-anAratam // RcUm_4.59 //
   evaṃ bhūnāgadhautena mardayeddivasatrayam /	evam BUnAga-DOtena mardayet-divasa-trayam /
   athaikapalanāgena tāvatā trapuṇāpi ca // Rcūm_4.60 //	aTa-eka-pala-nAgena tAvatA trapuNA-api ca // RcUm_4.60 //
   daśaniṣkarasendreṇa ślakṣṇāṃ piṣṭīṃ samācaret /	daSa-nizka-rasendreNa SlakzNAm pizwIm samAcaret /
   yojayitvātha kalkena yathāpūrvaṃ vimardayet // Rcūm_4.61 //	yojayitvA-aTa kalkena yaTApUrvam vimardayet // RcUm_4.61 //
   tataḥ sārarasendreṇa sattvena rasakasya ca /	tatas sAra-rasendreNa sattvena rasakasya ca /
   piṣṭīṃ kṛtvā tu pūrveṇa pūrvakalkena yojayet // Rcūm_4.62 //	pizwIm kRtvA tu pUrveNa pUrva-kalkena yojayet // RcUm_4.62 //
   agniṃ prajvālya soṣṇena kāñjikena praśoṣayet /	agnim prajvAlya sa-uzNena kAQjikena praSozayet /
   palārdhaṃ śuddhasasyena bhṛṣṭaguñjārasena ca // Rcūm_4.63 //	pala-arDam SudDa-sasyena BRzwa-guQjA-rasena ca // RcUm_4.63 //
   vimardya kāñjikaiḥ kuryānmaricapramitā vaṭīḥ /	vimardya kAQjikEH kuryAt-marica-pramitAH vawIH /
   nirudhya vajramūṣāyāṃ saṃdhibandhaṃ vidhāya ca // Rcūm_4.64 //	niruDya vajramUzAyAm saMDi-banDam viDAya ca // RcUm_4.64 //
   śikhitrairnavabhiḥ samyagbhastrābhyāṃ ca dhametkhalu /	SiKitrEH-navaBiH samyak-BastrAByAm ca Damet-Kalu /
   tato mūṣāgataṃ sattvaṃ samādāya samantataḥ // Rcūm_4.65 //	tatas mUzA-gatam sattvam samAdAya samantataH // RcUm_4.65 //
   dhamet prakaṭamūṣāyāṃ vaṅkanālena śuddhaye /	Damet prakawa-mUzAyAm vaFkanAlena SudDaye /
   daśaśāṇaṃ hi tatsattvaṃ bhasmanā lavaṇena ca // Rcūm_4.66 //	daSa-SANam hi tat-sattvam BasmanA lavaNena ca // RcUm_4.66 //
   sakāñjikena saṃveṣṭya puṭayogena śoṣayet /	sa-kAQjikena saMvezwya puwa-yogena Sozayet /
   dviniṣkapramite tasmin pūrvaproktena bhasmanā // Rcūm_4.67 //	dvi-nizka-pramite tasmin pUrva-proktena BasmanA // RcUm_4.67 //
   aśītiguṇitaṃ nāgaṃ dhmātvā nirvāhayet khalu /	aSIti-guNitam nAgam DmAtvA nirvAhayet Kalu /
   iyatā pūrvasūto'sau jāryate na kathaṃcana // Rcūm_4.68 //	iyatA pUrva-sUtaH-asO jAryate na kaTaMcana // RcUm_4.68 //
   capalo'yaṃ samuddiṣṭo lokanāthena śambhunā /	capalaH-ayam samuddizwaH lokanATena SamBunA /
   anenāpi rasaḥ śīghraṃ badhyate pūrvavat sukham // Rcūm_4.69 //	anena-api rasaH SIGram baDyate pUrvavat suKam // RcUm_4.69 //
   kāravallījaṭācūrṇairdaśadhā puṭito hi sa /	kAravallI-jawA-cUrNEH-daSaDA puwitaH hi sa /
   bhavennāgavinirmukto grāsaṃ gṛhṇātyaśeṣataḥ // Rcūm_4.70 //	Bavet-nAga-vinirmuktaH grAsam gRhNAti-aSezatas // RcUm_4.70 //
   mukhaṃ prakaṭamūṣāyāṃ bhaveccātiguṇottaram /	muKam prakawa-mUzAyAm Bavet-ca-ati-guNa-uttaram /
   jīrṇagrāso raso hyeṣa dehalohakaro bhavet /	jIrNa-grAsaH rasaH hi-eza deha-loha-karaH Bavet /
   so'yaṃ śrīsomadevena kathito'tīva niścitam // Rcūm_4.71 //	saH-ayam SrI-somadevena kaTitaH-atIva niScitam // RcUm_4.71 //
   {dhauta}	{DOta}
   bhūbhujaṃgaśakṛttoyaiḥ prakṣālyāpahṛtaṃ rajaḥ /	BUBujaMga-SakRt-toyEH prakzAlya-apahRtam rajaH /
   kṛṣṇavarṇaṃ hi tatproktaṃ dhautākhyaṃ rasavādibhiḥ // Rcūm_4.72 //	kRzNa-varNam hi tat-proktam DOta-AKyam rasa-vAdiBiH // RcUm_4.72 //
   {dvaṃdvana}	{dvaMdvana}
   dravyayormelanaṃ dhmānād dvaṃdvanaṃ parikīrtitam /	dravyayoH-melanam DmAnAt dvaMdvanam parikIrtitam /
   bhāgādrūpyādike kṣepamanuvarṇasuvarṇake // Rcūm_4.73 //	BAgAt-rUpya-Adike kzepam-anuvarNa-suvarNake // RcUm_4.73 //
   {bhañjinī}	{BaQjinI}
   dalair vā varṇikāhrāso bhañjinī vādibhirmatā /	dalEH vA varNikA-hrAsaH BaQjinI vAdiBiH-matA /
   {pataṅgī}	{pataFgI}
   pataṃgikalkato jātā lohe tāratvahematā // Rcūm_4.74 //	pataMgi-kalkataH jAtA lohe tAra-tva-hema-tA // RcUm_4.74 //
   {palikā}	{palikA}
   dināni katicit sthitvā yātyasau palikā matā /	dinAni katicid sTitvA yAti-asO palikA matA /
   {pataṅgīrāga}	{pataFgI-rAga}
   rañjitaśca rasāllohād dhmānādvā cirakālataḥ /	raQjitaH-ca rasAt-lohAt DmAnAt-vA cira-kAlataH /
   viniryāti sa nirdiṣṭaḥ pataṅgīrāgasaṃjñikaḥ // Rcūm_4.75 //	viniryAti sa nirdizwaH pataFgIrAga-saMjQikaH // RcUm_4.75 //
   {āvāpa, pratīvāpa, ācchādana}	{AvApa, pratIvApa, AcCAdana}
   drute dravyāntare kṣepo lohādyaiḥ kriyate hi yaḥ /	drute dravya-antare kzepaH loha-AdyEH kriyate hi yaH /
   sa āvāpaḥ pratīvāpaḥ sa evācchādanaṃ matam // Rcūm_4.76 //	saH AvApaH pratIvApaH saH eva-AcCAdanam matam // RcUm_4.76 //
   {abhiṣeka}	{aBizeka}
   drute vahnisthite lauhe viramyāṣṭanimeṣakam /	drute vahni-sTite lOhe viramya-azwa-nimezakam /
   salilasya parikṣepaḥ so'bhiṣeka itīritaḥ // Rcūm_4.77 //	salilasya parikzepaH saH-aBizekaH iti-IritaH // RcUm_4.77 //
   {nirvāpa}	{nirvApa}
   taptasyāpsu vinikṣepo nirvāpaḥ snapanaṃ ca tat /	taptasya-apsu vinikzepaH nirvApaH snapanam ca tat /
   {Zeit fṃr pratīvāpa usw.}	{Zeit fMr pratIvApaH usw.}
   pratīvāpādikaṃ kāryaṃ drutalohe sunirmale // Rcūm_4.78 //	pratIvApa-Adikam kAryam druta-lohe su-nirmale // RcUm_4.78 //
   {śuddhāvarta}	{SudDAvarta}
   yadā hutāśo dīptārciḥ śuklotthānasamanvitaḥ /	yadA hutASaH dIpta-arciH Sukla-utTAna-samanvitaH /
   śuddhāvartastadā jñeyaḥ sa kālaḥ sattvanirgame // Rcūm_4.79 //	SudDAvartaH-tadA jQeyaH sa kAlaH sattva-nirgame // RcUm_4.79 //
   {bījāvarta}	{bIjAvarta}
   drāvyadravyanibhā jvālā dṛśyate dhamane yadā /	drAvya-dravya-niBA jvAlA dRSyate Damane yadA /
   drāvasyonmukhatā seyaṃ bījāvartaḥ sa ucyate // Rcūm_4.80 //	drAvasya-unmuKa-tA sA-iyam bIjAvartaH saH ucyate // RcUm_4.80 //
   {svāṅgaśītala}	{sva-aFgaSItala}
   vahnisthameva śītaṃ yat taduktaṃ svāṅgaśītalam /	vahni-sTam-eva SItam yat tat-uktam svAFgaSItalam /
   {bahiḥśītala}	{bahis-SItala}
   agnerākṛṣṭaśītaṃ ca tadbahiḥśītamīritam // Rcūm_4.81 //	agneH-AkRzwa-SItam ca tat-bahiHSItam-Iritam // RcUm_4.81 //
   {svedana}	{svedana}
   kṣārāmlairauṣadhair vāpi dolāyantre sthitasya hi /	kzAra-amlEH-OzaDEH vA-api dolAyantre sTitasya hi /
   pacanaṃ svedanākhyaṃ syānmalaśaithilyakārakam // Rcūm_4.82 //	pacanam svedana-AKyam syAt-mala-SETilya-kArakam // RcUm_4.82 //
   {mardana}	{mardana}
   uddiṣṭairauṣadhaiḥ sārdhaṃ sarvāmlaiḥ kāñjikairapi /	uddizwEH-OzaDEH sArDam sarva-amlEH kAQjikEH-api /
   peṣaṇaṃ mardanākhyaṃ syādbahirmalavināśanam // Rcūm_4.83 //	pezaNam mardana-AKyam syAt-bahis-mala-vinASanam // RcUm_4.83 //
   {mūrchana}	{mUrCana}
   mardanoddiṣṭabhaiṣajyairnaṣṭapiṣṭatvakārakam /	mardana-uddizwa-BEzajyEH-nazwapizwa-tva-kArakam /
   tanmūrchanaṃ hi vaṅgādribhūjakañcukanāśanam // Rcūm_4.84 //	tat-mUrCanam hi vaFga-adri-BUja-kaQcuka-nASanam // RcUm_4.84 //
   {naṣṭapiṣṭa}	{nazwapizwa}
   svarūpasya vināśena piṣṭatāpādanaṃ hi yat /	svarUpasya vinASena pizwa-tA-ApAdanam hi yat /
   vidvadbhirnirjitaḥ sūto naṣṭapiṣṭaḥ sa ucyate // Rcūm_4.85 //	vidvadBiH-nirjitaH sUtaH nazwapizwaH saH ucyate // RcUm_4.85 //
   {utthāpana}	{utTApana}
   svedātapādiyogena svarūpāpādanaṃ hi yat /	sveda-Atapa-Adi-yogena svarUpa-ApAdanam hi yat /
   tadutthāpanamityuktaṃ mūrchāvyāpattināśanam // Rcūm_4.86 //	tat-utTApanam-iti-uktam mUrCA-vyApatti-nASanam // RcUm_4.86 //
   {pātana}	{pAtana}
   uktauṣadhairmarditapāradasya yantrasthitasyordhvamadhaśca tiryak /	ukta-OzaDEH-mardita-pAradasya yantra-sTitasya-UrDvam-aDas-ca tiryak /
   niryātanaṃ pātanasaṃjñayoktaṃ vaṅgāhisamparkajakañcukaghnam // Rcūm_4.87	niryAtanam pAtana-saMjQayA-uktam vaFga-ahi-samparka-ja-kaQcuka-Gnam // RcUm_4.87
   {rodhana}	{roDana}
   jalasaindhavayuktasya rasasya divasatrayam /	jala-sEnDava-yuktasya rasasya divasa-trayam /
   sthitirāsthāpanī kumbhe yāsau rodhanamucyate // Rcūm_4.88 //	sTitiH-AsTApanI kumBe yA-asO roDanam-ucyate // RcUm_4.88 //
   {niyamana}	{niyamana}
   rodhanāllabdhavīryasya capalatvanivṛttaye /	roDanAt-labDa-vIryasya capalatva-nivRttaye /
   kriyate yo ghaṭe svedaḥ proktaṃ niyamanaṃ hi tat // Rcūm_4.89 //	kriyate yaH Gawe svedaH proktam niyamanam hi tat // RcUm_4.89 //
   {dīpana}	{dIpana}
   dhātupāṣāṇamūlādyaiḥ saṃyukto ghaṭamadhyagaḥ /	DAtu-pAzANa-mUla-AdyEH saMyuktaH Gawa-maDya-gaH /
   grāsārthaṃ tridinaṃ svedo dīpanaṃ tanmataṃ budhaiḥ // Rcūm_4.90 //	grAsa-arTam tri-dinam svedaH dIpanam tat-matam buDEH // RcUm_4.90 //
   {grāsamāna}	{grAsamAna}
   iyanmānasya sūtasya grāsadravyātmikā mitiḥ /	iyat-mAnasya sUtasya grAsa-dravya-AtmikA mitiH /
   iyatītyucyate yāsau grāsamānamitīritam // Rcūm_4.91 //	iyatI-iti-ucyate yA-asO grAsamAnam-iti-Iritam // RcUm_4.91 //
   {jāraṇā}	{jAraNA}
   grāsasya cāraṇaṃ garbhe drāvaṇaṃ jāraṇaṃ tathā /	grAsasya cAraNam garBe drAvaNam jAraNam taTA /
   iti trirūpā nirdiṣṭā jāraṇā varavārttikaiḥ // Rcūm_4.92 //	iti trirUpA nirdizwA jAraNA vara-vArttikEH // RcUm_4.92 //
   grāsaḥ piṇḍaḥ parīṇāmaḥ tisraścākhyāḥ parāḥ smṛtāḥ /	grAsaH piNxaH parINAmaH tisraH-ca-AKyAH parAH smRtAH /
   samukhā nirmukhā ceti jāraṇā dvividhā punaḥ // Rcūm_4.93 //	samuKA nirmuKA ca-iti jAraNA dviviDA punar // RcUm_4.93 //
   {jāraṇa:: nirmukhajāraṇā}	{jAraNa:: nirmuKa-jAraNA}
   nirmukhā jāraṇā proktā bījādānena bhāgataḥ /	nirmuKA jAraNA proktA bIja-AdAnena BAgataH /
   {bīja (-> jāraṇā)}	{bIja (-> jAraNA)}
   śuddhaṃ svarṇaṃ ca rūpyaṃ ca bījamityabhidhīyate // Rcūm_4.94 //	SudDam svarNam ca rUpyam ca bIjam-iti-aBiDIyate // RcUm_4.94 //
   {mukha/samukhajāraṇā}	{muKa/-samuKa-jAraNA}
   catuḥṣaṣṭyaṃśato bījaprakṣepo mukhamucyate /	catuHzazwi-aMSataH bIja-prakzepaH muKam-ucyate /
   {samukharasa}	{samuKa-rasa}
   evaṃ kṛte raso grāsalolupo mukhavānbhavet // Rcūm_4.95 //	evam kRte rasaH grAsa-lolupaH muKavAn-Bavet // RcUm_4.95 //
   kaṭhinānyapi lohāni bhakṣituṃ bhavati kṣamaḥ /	kaWinAni-api lohAni Bakzitum Bavati kzamaH /
   iyaṃ hi samukhā proktā jāraṇā mṛgacāriṇā // Rcūm_4.96 //	iyam hi samuKA proktA jAraNA mRga-cAriNA // RcUm_4.96 //
   {rākṣasamukha}	{rAkzasa-muKa}
   divyauṣadhisamāyogātsthitaḥ prakaṭakoṣṭhiṣu /	divyOzaDi-samAyogAt-sTitaH prakawa-kozWizu /
   bhuṅkte nikhilalohādyaṃ yo'sau rākṣasavaktravān // Rcūm_4.97 //	BuFkte niKila-loha-Adyam yaH-asO rAkzasavaktravAn // RcUm_4.97 //
   {cāraṇā}	{cAraNA}
   rasasya vadane grāsakṣepaṇaṃ cāraṇā matā /	rasasya vadane grAsa-kzepaNam cAraNA matA /
   {garbhadruti}	{garBadruti}
   grastasya drāvaṇaṃ garbhe garbhadrutirudāhṛtā // Rcūm_4.98 //	grastasya drAvaNam garBe garBadrutiH-udAhRtA // RcUm_4.98 //
   {bāhyadruti}	{bAhyadruti}
   bahireva drutīkṛtya ghanasattvādikaṃ khalu /	bahis-eva drutIkRtya Gana-sattva-Adikam Kalu /
   jāraṇāya rasendrasya sā bāhyā drutirucyate // Rcūm_4.99 //	jAraNAya rasendrasya sA bAhyA drutiH-ucyate // RcUm_4.99 //
   {druti (substance)}	{druti (subH-tan-ce)}
   nirlepatvaṃ dravatvaṃ ca tejastvaṃ laghutā tathā /	nirlepa-tvam drava-tvam ca tejaH-tvam laGu-tA taTA /
   drutaṃ yogaśca sūtena pañcadhā drutilakṣaṇam // Rcūm_4.100 //	drutam yogaH-ca sUtena paQcaDA druti-lakzaNam // RcUm_4.100 //
   {druti (process)}	{druti (process)}
   tuṣadhānyādiyogena lohadhātvādikaṃ sadā /	tuza-DAnya-Adi-yogena loha-DAtu-Adikam sadA /
   saṃtiṣṭhate dravākāraṃ sā drutiḥ parikīrtitā // Rcūm_4.101 //	saMtizWate drava-AkAram sA drutiH parikIrtitA // RcUm_4.101 //
   {jāraṇā}	{jAraNA}
   drutagrāsaparīṇāmo viḍayantrādiyogataḥ /	druta-grAsa-parINAmaH vixa-yantra-Adi-yogataH /
   jāraṇetyucyate tasyāḥ prakārāḥ santi koṭiśaḥ // Rcūm_4.102 //	jAraNA-iti-ucyate tasyAH prakArAH santi kowiSas // RcUm_4.102 //
   {viḍa (def.)}	{vixaH (def.)}
   kṣārairamlaiśca gandhādyairmūtraiśca paṭubhistathā /	kzArEH-amlEH-ca ganDa-AdyEH-mUtrEH-ca pawuBiH-taTA /
   rasagrāsasya jīrṇārthaṃ tadviḍaṃ parikīrtitam // Rcūm_4.103 //	rasa-grAsasya jIrNa-arTam tat-vixam parikIrtitam // RcUm_4.103 //
   {rañjana}	{raQjana}
   susiddhabījadhātvādijāraṇena rasasya hi /	su-sidDa-bIja-DAtu-Adi-jAraNena rasasya hi /
   pītādirāgajananaṃ rañjanaṃ parikīrtitam // Rcūm_4.104 //	pIta-Adi-rAga-jananam raQjanam parikIrtitam // RcUm_4.104 //
   {sāraṇā}	{sAraNA}
   sūte satailayantrasthe svarṇādikṣepaṇaṃ hi yat /	sUte sa-tEla-yantra-sTe svarNa-Adi-kzepaNam hi yat /
   vedhādhikyakaraṃ lohe sāraṇā sā prakīrtitā // Rcūm_4.105 //	veDa-ADikya-karam lohe sAraNA sA prakIrtitAH // RcUm_4.105 //
   {vedha}	{veDa}
   vyavāyibheṣajopeto dravye kṣipto rasaḥ khalu /	vyavAyi-Bezaja-upetaH dravye kziptaH rasaH Kalu /
   vedha ityucyate tajjñaiḥ sa cānekavidhaḥ smṛtaḥ // Rcūm_4.106 //	veDaH iti-ucyate tajjQEH sa ca-anekaviDaH smRtaH // RcUm_4.106 //
   {vedhabhedāḥ}	{veDa-BedAH}
   lepaḥ kṣepaśca kuntaśca dhūmākhyaḥ śabdasaṃjñakaḥ /	lepaH kzepaH-ca kuntaH-ca DUma-AKyaH Sabda-saMjQakaH /
   {lepavedha}	{lepaveDa}
   lepena kurute lohaṃ svarṇaṃ vā rajataṃ tathā // Rcūm_4.107 //	lepena kurute loham svarNam vA rajatam taTA // RcUm_4.107 //
   lepavedhaḥ sa vijñeyaḥ puṭamatra ca saukaram /	lepaveDaH sa vijQeyaH puwam-atra ca sOkaram /
   {kṣepavedha}	{kzepa-veDa}
   prakṣepaṇaṃ drute lohe vedhaḥ syāt kṣepasaṃjñitaḥ // Rcūm_4.108 //	prakzepaNam drute lohe veDaH syAt kzepa-saMjQitaH // RcUm_4.108 //
   {kuntavedha}	{kuntaveDa}
   saṃdaṃśadhṛtasūtena drutadravyāhṛtiśca yā /	saMdaMSa-DRta-sUtena druta-dravya-AhRtiH-ca yA /
   suvarṇatvādikaraṇī kuntavedhaḥ sa kathyate // Rcūm_4.109 //	suvarNa-tva-Adi-karaNI kuntaveDaH sa kaTyate // RcUm_4.109 //
   {dhūmavedha}	{DUmaveDa}
   vahnau dhūmāyamāne'ntaḥ prakṣiptarasadhūmataḥ /	vahnO DUmAyamAne-antar prakzipta-rasa-DUmataH /
   svarṇādyāpādanaṃ lohe dhūmavedhaḥ sa ucyate // Rcūm_4.110 //	svarNa-Adi-ApAdanam lohe DUmaveDaH saH ucyate // RcUm_4.110 //
   {śabdavedha}	{Sabda-veDa}
   mukhasthitarasenālpalohasya dhamanātkhalu /	muKa-sTita-rasena-alpa-lohasya DamanAt-Kalu /
   svarṇarūpyatvajananaṃ śabdavedhaḥ prakīrtitaḥ // Rcūm_4.111 //	svarNa-rUpya-tva-jananam SabdaveDaH prakIrtitaH // RcUm_4.111 //
   {udghāṭana}	{udGAwana}
   viddhadravyasya sūtena kāluṣyādinivāraṇam /	vidDa-dravyasya sUtena kAluzya-Adi-nivAraNam /
   prakāśanaṃ ca varṇasya tadudghāṭanamīritam // Rcūm_4.112 //	prakASanam ca varNasya tat-udGAwanam-Iritam // RcUm_4.112 //
   {svedana}	{svedana}
   kṣārāmlairauṣadhaiḥ sārdhaṃ bhāṇḍe ruddhvātiyatnataḥ /	kzAra-amlEH-OzaDEH sArDam BANxe rudDvA-atiyatnataH /
   bhūmau nikhanyate yattatsvedanaṃ saṃprakīrtitam // Rcūm_4.113 //	BUmO niKanyate yat-tat-svedanam saMprakIrtitam // RcUm_4.113 //
   {saṃnyāsa}	{saMnyAsa}
   rasasyauṣadhayuktasya bhāṇḍaṃ ruddhvātiyatnataḥ /	rasasya-OzaDa-yuktasya BANxam rudDvA-atiyatnataH /
   sadāgniyutacullyantaḥ kṣepaḥ saṃnyāsa ucyate // Rcūm_4.114 //	sadA-agni-yuta-cullI-antar kzepaH saMnyAsaH ucyate // RcUm_4.114 //
   {svedanasaṃnyāsaguṇāḥ}	{svedana-saMnyAsa-guNAH}
   dvāvetau svedasaṃnyāsau rasarājasya niścitam /	dvO=-etO sveda-saMnyAsO rasarAjasya niScitam /
   guṇaprabhāvajananau śīghravyāptikarau tathā // Rcūm_4.115 //	guNa-praBAva-jananO SIGra-vyApti-karO taTA // RcUm_4.115 //
   rasanigamamahābdheḥ somadevaḥ samantātsphuṭataraparibhāṣā nāma ratnāni	rasa-nigama-mahA-abDeH somadevaH samantAt-sPuwatara-pariBAzA nAma ratnAni
   hṛtvā /	hRtvA /
   vyaracayadatiyatnāttair imāṃ kaṇṭhamālāṃ kalayati bhiṣagagryo maṇḍanārthaṃ	vyaracayat-ati-yatnAttEH imAm kaNWa-mAlAm kalayati Bizaj-agryaH maNxana-arTam
   sabhāyām // Rcūm_4.116 //	saBAyAm // RcUm_4.116 //
   paṭhet paṭhitapāṭho'yamadhyāyo rasavādinaḥ /	paWet paWita-pAWaH-ayam-aDyAyaH rasa-vAdinaH /
   rasakarmāṇi kurvāṇo na sa muhyati kutracit // Rcūm_4.117 //	rasakarmANi kurvANaH na sa muhyati kutracid // RcUm_4.117 //
   Rcūm, 5	RcUm, 5
   atha yantrāṇi vakṣyante rasatantrāṇyanekaśaḥ /	aTa yantrANi vakzyante rasa-tantrANi-anekaSas /
   samālokya samāsena somadevena sāmpratam // Rcūm_5.1 //	samAlokya samAsena somadevena sAmpratam // RcUm_5.1 //
   svedādikarma nirmātuṃ vārttikendraiḥ prayatnataḥ /	sveda-Adi-karma nirmAtum vArttika-indrEH prayatnataH /
   yantryate pārado yasmāttasmādyantramitīritam // Rcūm_5.2 //	yantryate pAradaH yasmAt-tasmAt-yantram-iti-Iritam // RcUm_5.2 //
   {dolāyantra}	{dolAyantra}
   vibandhya sauṣadhaṃ sūtaṃ sabhūrje triguṇāmbare /	vibanDya sa-OzaDam sUtam sa-BUrje triguNa-ambare /
   rasapoṭṭalikāṃ kāṣṭhe dṛḍhaṃ baddhvā guṇena hi // Rcūm_5.3 //	rasa-powwalikAm kAzWe dRXam badDvA guNena hi // RcUm_5.3 //
   saṃdhānapūrṇakumbhāntaḥ pralambanagatisthitām /	saMDAna-pUrNa-kumBa-antar pralambana-gati-sTitAm /
   adhastājjvālayedagniṃ tattaduktakrameṇa hi /	aDastAt-jvAlayet-agnim tad-tad-ukta-krameNa hi /
   dolāyantramidaṃ proktaṃ svedanākhyaṃ tadeva hi // Rcūm_5.4 //	dolAyantram-idam proktam svedana-AKyam tat-eva hi // RcUm_5.4 //
   {khalvayantra}	{Kalvayantra}
   khalvayantraṃ tridhā proktaṃ mardanādikakarmaṇi /	Kalvayantram triDA proktam mardana-Adika-karmaNi /
   nirudgārāśmajaś caikastadanyo lohasambhavaḥ // Rcūm_5.5 //	nirudgAra-aSma-jaH ca-ekaH-tad-anyaH loha-samBavaH // RcUm_5.5 //
   {ardhacandrākṛtikhalva}	{arDa-candra-AkRti-Kalva}
   utsedhena daśāṅgulaḥ khalu kalātulyāṅgulāyāmavān /	utseDena daSa-aFgulaH Kalu kalA-tulya-aFgula-AyAmavAn /
   vistāreṇa navāṅgulo rasamitairnimnastathaivāṅgulaiḥ // Rcūm_5.6 //	vistAreNa nava-aFgulaH rasa-mitEH-nimnaH-taTA-eva-aFgulEH // RcUm_5.6 //
   kaṇṭho dvyaṅgulavistṛto 'timasṛṇo droṇyardhacandrākṛtiḥ /	kaNWaH dvi-aFgula-vistRtaH ati-masRNaH droNI-arDacandra-AkRtiH /
   gharṣaścaiva daśāṅgulastu yadidaṃ khalvākhyayantraṃ smṛtam // Rcūm_5.7 //	GarzaH-ca-eva daSa-aFgulaH-tu yat-idam Kalva-AKya-yantram smRtam // RcUm_5.7 //
   asminpañcapalaḥ sūto mardanīyo viśuddhaye /	asmin-paQca-palaH sUtaH mardanIyaH viSudDaye /
