   <B1> caturthaḥ pādaḥ /	<B1> caturTaH pAdaH /
   atra dhātvarthasyoddeśyatvenāpyasaṃbandhāttato 'pi daurbalyam /	atra DAtvarTasya uddeSya tvena api asaMbanDAt tatas api dOrbalyam /
   guṇaviśiṣṭadhātvarthakaraṇakabhāvanāvidhānāt pañcamaḥ    yathā "somena	guNa viSizwa DAtu arTa karaNaka BAvanA viDAnAt paQcamaH   yaTA "somena
   yajete"ti /	yajeta i"ti /
   atra viśeṣaṇavidhikalpanāderādhikyāttato 'pi daurbalyam /	atra viSezaNa viDi kalpanAdeH ADikyAt tatas api dOrbalyam /
   anyoddeśena pūrvoktaḥ ṣaṣṭhaḥ   yathā "sauryaṃ caruṃ nirvaped	anya uddeSena pUrva uktaH zazWaH  yaTA "sOryam carum nirvapet 
   brahmavarcasakāma" iti /	brahmavarcasa kAma" iti /
   ayantu sarvadurbalaḥ /	ayantu sarva durbalaH /
   tadevaṃ udbhidguṇaviśiṣṭasya yāgasya phaloddeśena vidhāne	tat evam udBid guNa viSizwasya yAgasya Pala uddeSena viDAne
   ṣaṣṭhavidhiprakārāśrayaṇādatigauravam; guṇasya yāge na	zazWa viDi prakAra ASrayaNAt ati gOravam; guNasya yAge na
   anvayānmatvarthalakṣaṇā ca /	anvayAt matu arTa lakzaNA ca /
   nahi bhāvanāyāṃ samānapadopāttadhātvarthakaraṇakatvāvaruddhāyāṃ guṇasya	na hi BAvanAyAm samAna pada upAtta DAtu arTa karaNaka tva avarudDAyAm guNasya
   karaṇatvaṃ saṃbhavati /	karaNa tvam saMBavati /
   atastasya yāgānvayāvaśyakatve yāgasya kārakatvāt kārakāṇāṃ ca parasparaṃ	atas tasya yAga anvaya AvaSyaka tve yAgasya kAraka tvAt kArakANAm ca parasparam
   saṃbandhānupapatteḥ somena yajetetivadudbhidvatā yāgeneti	saMbanDa anupapatteH somena yajeta iti vat udBidvatA yAgena iti
   matvarthalakṣaṇā'vaśyakīti     prāñcaḥ //	matu arTa lakzaNA avaSyakI iti    prAQcaH //
   vastutastu dṛṣṭānte 'pi somasya karaṇatvenaiva bhāvanāyāmevānvayastatra	vastutas tu dRzwAnte api somasya karaNa tvena eva BAvanAyAm eva anvayaH tatra
   tatra vakṣyate, yuktaśca; ekakaraṇāvaruddhe 'pi karaṇāntarasya	tatra vakzyate, yuktaH ca; eka karaNa avarudDe api karaNa antarasya
   bhinnanirūpitasya prakāratayā bhāvanānvayopapatteḥ /	Binna nirUpitasya prakAra tayA BAvanA anvaya upapatteH /
   nahi yāgakaraṇatvaṃ bhāvanānirūpitam, api tu svarganirūpitam /	na hi yAga karaNa tvam BAvanA nirUpitam, api tu svarga nirUpitam /
   ataśca yathaivānyanirūpitam, tatkaraṇatvaṃ prakāratayā bhāvanāyāmanveti,	atas ca yaTA eva anya nirUpitam, tad karaNa tvam prakAra tayA BAvanAyAm anveti,
   tathaiva somakaraṇatvamapi yāganirūpitam /	taTA eva soma karaNa tvam api yAga nirUpitam /
   ubhayatra tattannirūpakatvasya pārṣṭhikabodhalabhyatvācca na ko 'pi	uBayatra tad tad nirUpaka tvasya pArzWika boDa laBya tvAt ca na kaH api
   virodha iti nāsminnapi pakṣe yadyapi matvarthalakṣaṇā; tathāpi	viroDaH iti na asmin= api pakze yadi api matu arTa lakzaNA; taTA api
   viśeṣaṇavidhikṛta,guṇayāgobhayaviśiṣṭabhāvanāvidhigauravamāpadyamānaṃ	viSezaNa viDi kRta,guNa yAgo Baya viSizwa BAvanA viDi gOravam ApadyamAnam
   nopahnotuṃ śakyam /	na upahnotum Sakyam /
   yathāca prāthamikabhāvanāsaṃbandhāṅgīkāre 'pi dvitīyabodhavelāyāṃ	yaTA ca prATamika BAvanA saMbanDa aFgIkAre api dvitIya boDa velAyAm
   matvarthakalpanā tathoktaṃ kaustubhe kalpanādi /	matu arTa kalpanA taTA uktam kOstuBe kalpanA Adi /
   evaṃ dvitīya tṛtīyayorapi jaghanyavidhiprakārāṅgīkaraṇaṃ doṣāya /	evam dvitIya tRtIyayoH api jaGanya viDi prakAra aFgIkaraNam dozAya /
   agatyā ca dadhisomādāveva tadaṅgīkṛtam; teṣāṃ tatrātyantarūḍhatvena	agatyA ca daDi soma AdO= eva tad aFgIkRtam; tezAm tatra atyanta rUXa tvena
   nāmadheyatvāsaṃbhavāt, prakṛte tu yenaiva yogena khanitre pravṛttistenaiva	nAmaDeya tva asaMBavAt, prakRte tu yena eva yogena Kanitre pravRttiH tena eva
   yogenodbhidyate utpādyate phalamiti vyutpattyā karmaṇyapīti	yogena udBidyate utpAdyate Palam iti vyutpattyA karmaNi api iti
   nāmatvasaṃbhavena dvitīyavidhiprakārāṅgīkaraṇāllāghavam /	nAma tva saMBavena dvitIya viDi prakAra aFgIkaraNAt lAGavam /
   naca bhido vidāraṇa eva smṛteḥ śaktiḥ, bhidir ityeva dhātupāṭhāt, vidāraṇa	na ca BidaH vidAraNaH eva smRteH SaktiH, BidiH iti eva DAtu pAWAt, vidAraNa
   ityasya śakyārthamātropalakṣakatvasya vaiyākaraṇasiddhatvāt /	iti asya Sakya arTa mAtra upalakzaka tvasya vEyAkaraNa sidDa tvAt /
   ato vidāraṇa ivotpādane 'pi prayogāt tulyavadvṛttikatā /	atas vidAraNaH iva utpAdane api prayogAt tulya vat vRttika tA /
   naca nāmadheyānarthakyam; saṃkalpādau sārthakatvāt /	na ca nAmaDeya anarTakyam; saMkalpa AdO sArTaka tvAt /
   kvicit phalopabandhaśca     yathā "darśapūrṇamāsābhyāṃ svargakāmo	kvicid Pala upabanDaH ca    yaTA "darSa pUrNamAsAByAm svarga kAmaH 
   yajete"ti /	yajeta i"ti /
   kvacicca guṇopabandhaḥ    yathā "saṃsthāpya paurṇamāsīṃ	kvacid ca guNa upabanDaH   yaTA "saMsTApya pOrNamAsIm
   vaimṛdhamanunirvapatī"ti /	vEmRDam anunirvapati i"ti /
   prakṛte ca saṃjñayā bhedasiddhireva prayojanam /	prakRte ca saMjQayA Beda sidDiH eva prayojanam /
   itarathā hi prakṛta eva karmaṇi guṇaphalasaṃbandhāpatterna karmāntaratvam	itaraTAH hi prakRtaH eva karmaNi guNa Pala saMbanDa ApatteH na karma antara tvam
   naca yogasya phalodbhedanakāritvasyātiprasaktatvādapūrve karmaṇi	na ca yogasya Pala udBedana kAri tvasya atiprasakta tvAt apUrve karmaNi
   rūḍhikalpane somādipadānāmapi tadāpattiḥ; sarvatra yogarūḍhisthale	rUXi kalpane soma Adi padAnAm api tad ApattiH; sarvatra yoga rUXi sTale
   prācīnaprayogasyaiva kāraṇatāyāḥ kḷptatvena prakṛte tadakalpanāt /	prAcIna prayogasya eva kAraNa tAyAH k?pta tvena prakRte tad akalpanAt /
   prayojanaṃ spaṣṭam // 2 // 18 // iti dvitīyaṃ udbhinnāmatādhikaraṇam /	prayojanam spazwam // 2 // 18 // iti dvitIyam udBinnAma ta aDikaraNam /
   <B2> (udbhidvākyasyaiva vicāre nimittanirūpaṇam)	<B2> (udBid vAkyasya eva vicAre nimitta nirUpaNam)
   anirdhāritadvāraviśeṣeṇoktamapi prāmāṇyaṃ nirdhāraṇaṃ vinā na dṛḍhaṃ	anirDArita dvAra viSezeNa uktam api prAmANyam nirDAraNam vinA na dRXam
   bhavatītyetadarthaṃ adhikaraṇāntaraṃ sūcayati     ataḥ paramiti //	Bavati iti etad arTam aDikaraNa antaram sUcayati    atas param iti //
   tatra tatprakhyaśāstrāntararahitānāmudāharaṇatve 'pi citrādiśabdeṣu	tatra tad praKya SAstra antara rahitAnAm udAharaNa tve api citra Adi Sabdezu
   lokaprasiddhibādhena nāmadheyatāyā vākyabhedādisahakārisāpekṣatvena	loka prasidDi bADena nAmaDeya tAyAH vAkya Beda Adi sahakAri sApekza tvena
   durupapādatvāt tānvihāya avayavārthayogasya	durupapAda tvAt tAn vihAya avayava arTa yogasya
   pravṛttinimittatvānmatvarthalakṣaṇāprasaṃgamātrasahakṛtasāmānādhikaraṇyācca	pravRtti nimitta tvAt matu arTa lakzaNa aprasaMga mAtra saha kRta sAmAnADikaraNyAt ca
   prathamato vicāre saukaryātteṣāmudāharaṇatvaṃ darśayati     tadiheti //	praTamatas vicAre sOkaryAt tezAm udAharaNa tvam darSayati    tat iha iti //
   vacanatvaprasiddheriti //	vacana tva prasidDeH iti //
   nanu     vrīhyādipadavat samudāyarūpeṇa rūḍhatvābhāvātkathaṃ	nanu    vrIhi Adi pada vat samudAya rUpeNa rUXa tva aBAvAt kaTam
   khanitravācitetyāśaṅkānirāsāya "bhidir vidāraṇa" ityādyuktam //	Kanitra vAcitA iti ASaFkA nirAsAya "BidiH vidAraNa" iti Adi uktam //
   (udbhicchabdasya khanitravācitvameva, natu karmavācitvamiti nirūpaṇam)	(udBid Sabdasya Kanitra vAci tvam eva, na tu karma vAci tvam iti nirUpaNam)
   tathāca udupasargasyordhvatāyāṃ bhididhātorvidāraṇe kartrarthakakvipaḥ	taTA ca udupasargasya UrDva tAyAm BidiDAtoH vidAraNe kartR arTaka kvipaH
   tatsamarthakartari śakteḥ	tad samarTa kartari SakteH
   kvibantenordhvavidāraṇasamarthakhanitraprasiddhiravayavaprasidhyā	kvibantena UrDva vidAraNa samarTa Kanitra prasidDiH avayava prasiDyA
   samudāyarūpeṇa grahaṇādyuktā /	samudAya rUpeNa grahaNa Adi uktA /
   karmaṇi tu ūrdhvavidāraṇakartṛtvābhāvāt kathañcitphalamudbhinatti	karmaNi tu UrDva vidAraNa kartR tva aBAvAt kaTaQcid Palam udBinatti
   prakāśayatītyevaṃ yogena phalodbhedanasamarthatvena tadupapādane prakāśane	prakASayati iti evam yogena Pala udBedana samarTa tvena tad upapAdane prakASane
   lakṣaṇāpattyā lokavyākaraṇāvagatāvayavaprasiddhibādhāpatteḥ	lakzaNa ApattyA loka vyAkaraNa avagata avayava prasidDi bADa ApatteH
   tatparihārārthaṃ paṅkajādiśabdeṣviva rūḍhikalpanāpatteḥ tadapekṣayā	tad parihAra arTam paFkaja Adi Sabdezu iva rUXi kalpanA ApatteH tad apekzayA
   kḷptāvayavaśaktyaivāvayavapratītārthagrahaṇaṃ yuktamityarthaḥ //	k?pta avayava SaktyA eva avayava pratIta arTa grahaNam yuktam iti arTaH //
   (karmasādhāraṇayogārthenāpi nāmadheyatvāṅgīkāranirāsaḥ) astuvā	(karma sADAraNa yoga arTena api nAmaDeya tva aFgIkAra nirAsaH) astuvA
   yajisāmānādhikaraṇyanirvāhāya kathañcidyāge 'vayavārthamātrasaṃbhavaḥ,	yajisA mAnADikaraNya nirvAhAya kaTaQcid yAge avayava arTa mAtra saMBavaH,
   evamapi tena nāmadheyatāṅgīkāre dūṣaṇamāha     nāmadheyatve iti //	evam api tena nAmaDeya tA aFgIkAre dUzaNam Aha    nAmaDeya tve iti //
   vidhibalādeva viśeṣāvadhāraṇasiddheḥ nāmno 'pi	viDi balAt eva viSeza avaDAraNa sidDeH nAmnaH api
   yāgatvajātestadavacchinnavyaktisāmānyarūpasya	yAga tva jAteH tad avacCinna vyakti sAmAnya rUpasya
   viśeṣāvadhāraṇāsaṃbhavātpunarapi vyaktiviśeṣāvadhāraṇārthatve vaiyarthyam	viSeza avaDAraNA saMBavAt punar api vyakti viSeza avaDAraNa arTa tve vEyarTyam
   guṇavidhipakṣe tu yāgabhāvanāpekṣitadravyasamarpakatvādarthavattvaṃ	guNa viDi pakze tu yAga BAvanA apekzita dravya samarpaka tvAt arTavat tvam
   puruṣapravṛttiviśeṣakaratvaṃ ca labhyate ityarthaḥ //	puruza pravRtti viSeza kara tvam ca laByate iti arTaH //
   (siddhāntāpāditamarthalakṣaṇānirāsena guṇavidhitvasamarthanam) yastviha	(sidDAnta ApAditam arTa lakzaNA nirAsena guNa viDi tva samarTanam) yaH tu iha
   siddhānte sarvakārakāṇāṃ bhāvanānvayitve 'pi	sidDAnte sarva kArakANAm BAvanA anvayitve api
   samānapadopāttayāgarūpakaraṇāvaruddhāyāṃ guṇasya karaṇatvena anvayāyogāt	samAna pada upAtta yAga rUpa karaNa avarudDAyAm guNasya karaNa tvena anvayA yogAt 
   dhātvarthasya ca kārakatvena tatrāpi anvayāyogena pradhānabhūtapratyayena	DAtu arTasya ca kAraka tvena tatra api anvayA yogena praDAna BUta pratyayena
   tadasaṃbhave guṇabhūte prātipadike matvarthalakṣaṇā pūrvapakṣe āpadyate,	tad asaMBave guNa BUte prAtipadike matu arTa lakzaNA pUrva pakze Apadyate,
   sā na yuktā; svarganirūpitatvena yāgasyeva guṇasyāpi vyāpārabhedena	sA na yuktA; svarga nirUpita tvena yAgasya iva guNasya api vyApAra Bedena
   bhāvanāyāṃ karaṇatvenānvayopapatteḥ /	BAvanAyAm karaNa tvena anvaya upapatteH /
   ataśca yāgasya phalaniṣpādanadvārā bhāvanākaraṇatve 'pi somādeḥ	atas ca yAgasya Pala nizpAdana dvArAH BAvanA karaNa tve api soma AdeH
   karaṇāntarasya samāderadhikaraṇāntarasyeva yāganiṣpādanadvārā	karaNa antarasya samAdeH aDikaraNa antarasya iva yAga nizpAdana dvArA
   bhāvanāsaṃbandhe bādhakābhāvāttathaiva prathamāvagata	BAvanA saMbanDe bADaka aBAvAt taTA eva praTamA avagata
   bhāvanāsaṃbandhanirvāhāya aruṇaikahāyanīvat yāgasya pārṣṭhiko	BAvanA saMbanDa nirvAhAya aruNa eka hAyanI vat yAgasya pArzWikaH 
   yāgasaṃbandha eva kalpyate /	yAga saMbanDaH eva kalpyate /
   tena na matvarthalakṣaṇāpattirityabhipretya pūrvapakṣe ādyaṃ	tena na matu arTa lakzaNa ApattiH iti aBipretya pUrva pakze Adyam
   viśiṣṭavidhipakṣaṃ upapādayati     tatra ceti //	viSizwa viDi pakzam upapAdayati    tatra ca iti //
   (pārṣṭhikabodhe 'pyatra matvarthalakṣaṇānirāsaḥ) nacaivaṃ	(pArzWika boDe api atra matu arTa lakzaNa anirAsaH) na ca evam
   pārṣṭhikānvayavelāyāmevāśrutamatvarthavyavahārāpatti ḥ; tasyāmavasthāyāṃ	pArzWikA anvaya velAyAm eva aSruta matvarTa vyavahAra apatti H; tasyAm avasTAyAm
   śrutena karaṇatvenaiva yāgaṃ prati guṇasyānvayopapatteḥ /	Srutena karaNa tvena eva yAgam prati guNasya anvaya upapatteH /
   nahi tadānīṃ yāgasya karaṇatvamasti, yenānākāṅkṣitatvādanvayo na bhavet,	na hi tadAnIm yAgasya karaNa tvam asti, yena anAkAFkzita tvAt anvayaH na Bavet ,
   arthākṣiptasādhyatvamādāya karmatvāt /	arTa Akzipta sADya tvam AdAya karma tvAt /
   ato na kathamapi matvarthalakṣaṇāprasaktirasminnapi pakṣa ityarthaḥ //	atas na kaTam api matu arTa lakzaNa aprasaktiH asmin= api pakzaH iti arTaH //
   (tāṇḍyaśākhāyāṃ jyotiṣṭomaprakaraṇānusāreṇa guṇavidhitvapakṣaḥ) ataeva	(tANxya SAKAyAm jyotizwoma prakaraNa anusAreNa guNa viDi tva pakzaH) ataeva
   yadyapi viśiṣṭavidhau na matvarthalakṣaṇā; tathāpi eteṣāṃ vākyānāṃ	yadi api viSizwa viDO na matu arTa lakzaNA; taTA api etezAm vAkyAnAm
   tāṇḍyaśākhāyāṃ jyotiṣṭomānantarameva pāṭhāt	tANxya SAKAyAm jyotizwoma anantaram eva pAWAt 
   prakṛtajyotiṣṭomayāgānuvādenaiva dadhnā juhotītivat guṇavidhānaṃ	prakRta jyotizwoma yAga anuvAdena eva daDnA juhoti iti vat guNa viDAnam
   bhaviṣyatītyabhipretya pakṣāntaramāha     athaveti //	Bavizyati iti aBipretya pakza antaram Aha    aTavA iti //
   (guṇavidhitvapakṣe 'pi vidhānevetyādivārtikānusāreṇa	(guNa viDi tva pakze api viDAnA iva ityAdi vArtika anusAreNa
   matvarthalakṣaṇāpattiśaṅkānirāsau) yadyapi prakṛtavidhau yāgasya	matu arTa lakzaNa Apatti SaFkA nirAsO) yadi api prakRta viDO yAgasya
   karaṇatvāt yathāprāptasyaivānuvādenehāpi kāraṇatvāt guṇānvaye	karaNa tvAt yaTA prAptasya eva anuvAdena iha api kAraNa tvAt guNa anvaye
   matvarthalakṣaṇāpattiḥ; tathāpi asādhitasya karaṇatvāyogādarthākṣepeṇa	matu arTa lakzaNa ApattiH; taTA api asADitasya karaNa tva ayogAt arTa AkzepeNa
   sādhyatvāvagamāttādrūpyamādāya yāge karaṇatvena guṇasyānvaye nānupapattiḥ	sADya tva avagamAt tAdrUpyam AdAya yAge karaNa tvena guNasya anvaye na anupapattiH
   yattu     'vidhāne vānuvāde vā yāgaḥ karaṇamiṣyate /	yat tu    aviDAne vA anuvAde vA yAgaH karaNam izyate /
   tatsamīpe tṛtīyāntastadvācitvaṃ na muñcati" iti vārtikaṃ,	tad samIpe tRtIya antaH tat vAci tvam na muQcati" iti vArtikaM,
   taduttarārdhānurodhāt "same darśapūrṇamāsābhyāṃ yajete"tyādau yatra	tad uttara arDa anuroDAt "same darSa pUrNamAsAByAm yajeta i"ti AdO yatra
   tṛtīyāntanāmadheyasāmānādhikaraṇyaṃ	tRtIyAnta nAmaDeya sAmAnADikaraNyam
   tatrotpattivākyāvagatakaraṇatvasyaivānuvādo	tatra utpatti vAkya avagata karaNa tvasya eva anuvAdaH 
   natvarthākṣiptasādhyatvamityetatparam //	natu arTa Akzipta sADya tvam iti etat param //
   (jyotiṣṭomavākyasyotpattividhitvaśaṅkayā prāptaśaṅkāntaranirākaraṇārthaṃ	(jyotizwoma vAkyasya utpatti viDi tva SaFkayA prApta SaFkA antara nirAkaraNa arTam
   somavākyasyotpattividhitvasamarthanam) naca     prāpakavidhāvapi	soma vAkyasya utpatti viDi tva samarTanam) na ca    prApaka viDO= api
   jyotiṣṭomādyupapadasattveneha tasyāpi guṇavidhitvapūrvapakṣodāharaṇatvāt	jyotizwoma Adi upapada sattvena iha tasya api guNa viDi tva pUrva pakza udAharaNa tvAt
   tatra ca phalapadānurodhāt yāgasya karaṇatve guṇasyānvayānupapattyā	tatra ca Pala pada anuroDAt yAgasya karaNa tve guNasya anvaya anupapattyA
   matvarthalakṣaṇāpattiriti     vācyam; yatropapadasya guṇe nirūḍhatvaṃ	matu arTa lakzaNa ApattiH iti    vAcyam; yatra upapadasya guNe nirUXa tvam
   karmaṇi ca yogenāpyasaṃbhavadvṛttitā, tatra somena	karmaNi ca yogena api asaMBavat vRtti tA, tatra somena
   yajetetyatrāprasiddhaśaktyantarakalpanāpekṣayā matvarthalakṣaṇāyā	yajeta iti atra aprasidDa Sakti antara kalpanA apekzayA matu arTa lakzaNAyAH 
   laghutvenāṅgīkārāt tatraiva karmotpattividhitve bādhakābhāvāt /	laGu tvena aFgIkArAt tatra eva karma utpatti viDi tve bADaka aBAvAt /
   atastadvihite karmaṇīha yukto guṇavidhirityarthaḥ //	atas tad vihite karmaNi iha yuktaH guNa viDiH iti arTaH //
   (udbhidvākyasyotpattividhitvanirāsena guṇavidhitvasamarthanam)	(udBid vAkyasya utpatti viDi tva nirAsena guNa viDi tva samarTanam)
   itikartavyateti //	itikartavyatA iti //
   karmavidhyabhāve guṇavidhyayogādavaśyaṃ kasmiṃścitkarmavidhāne	karma viDi aBAve guNa viDi ayogAt avaSyam kasmiMScid karma viDAne
   'bhyupagantavye jyotiṣṭomavākyasannidhau	aByupagantavye jyotizwoma vAkya sanniDO
   dīkṣaṇīyādibahvitikartavyatāmnānāt tasyāśca kartavyatāliṅgatvāt	dIkzaNIya Adi bahu iti kartavya tAmnAnAt tasyAH ca kartavya tA AliFga tvAt
   bhūyastvenobhayaśrutītyanena nyāyena tasyaiva karmavidhitvamityarthaḥ //	BUyastvena uBaya Sruti iti anena nyAyena tasya eva karma viDi tvam iti arTaH //
   (bhāṣyavārtikādyanusāreṇa somasyāpi bhāvanākaraṇatvenaivānvayanirūpaṇam)	(BAzya vArtika Adi anusAreNa somasya api BAvanA karaNa tvena eva anvaya nirUpaNam)
   tatra tatra vakṣyate iti //	tatra tatra vakzyate iti //
   saptamanavamādhyāyayoryajetetthamiti itikartavyatayā	saptama navama aDyAyayoH yajeta itTam iti itikartavya tayA
   dhātvarthānvayanirāsenetthaṃ kuryāditi bhāvanānvayo bhāṣyakṛtā nirastaḥ /	DAtu arTa anvaya nirAsena itTam kuryAt iti BAvanA anvayaH BAzya kRtAH nirastaH /
   "somena yajetetyatrāpi tadbhūtādhikaraṇoktena mārgeṇa dhātvarthakārakāṇāṃ	"somena yajeta iti atra api tad BUta aDikaraNa uktena mArgeNa DAtu arTa kArakANAm
   aruṇaikahāyanyādivat paraspareṇāsaṃbandhya bhāvanāsaṃbaddhānāṃ uttarakālaṃ	aruNa eka hAyanya Adi vat paraspareNa asaMbanDya BAvanA saMbadDAnAm uttara kAlam
   parasparopakāritvaṃ /	paraspara upakAri tvam /
   tathāca saptamanavamādyayorvakṣyatīti na	taTA ca saptamanavamAdyayoH vakzyati iti na
   somaviśiṣṭadhātvarthavidhāna"mityādinā vārtikakāreṇa,	soma viSizwa DAtu arTa viDAna"m ityAdinA vArtikakAreNa,
   āghārāgnihotrādhikaraṇe tathā somatulyanyāyatvāt avaghātamantrasya	AGAra agnihotra aDikaraNe taTA soma tulya nyAya tvAt avaGAta mantrasya
   bhāvanānvayino na pratiprahāramāvṛttirityetatpratipādanārtha	BAvanA anvayinaH na prati prahAram AvRttiH iti etat pratipAdana arTa
   ekādaśādhikaraṇe tantraratnakṛtā, tathā saptame "bhāvanānvayataḥ	ekAdaSa aDikaraNe tantra ratna kRtA, taTA saptame "BAvanA anvayataH
   paścādaṃśayorārthikonvayaḥ /	paScAt aMSayoH a arTi konvayaH /
   tataḥ karmāntare 'ṅgānāṃ prāptirāśaṅkyate kuta"ityādinā śāstradīpikāyāṃ ca	tatas karma antare aFgAnAm prAptiH ASaFkyate kuta"iti AdinA SAstra dIpikAyAm ca
   vakṣyate ityarthaḥ /	vakzyate iti arTaH /
   evaṃ prācāṃ matakhaṇḍanena pūrvapakṣe matvarthalakṣaṇānāpattiṃ	evam prAcAm mata KaNxanena pUrva pakze matu arTa lakzaNa an Apattim
   pradarśyādhunā yatpārṣṭhikabodhavelāyāmapi na tadāpattirityuktam,	pradarSya aDunA yat pArzWika boDa velAyAm api na tadApattiH iti uktam,
   tannirasitumāha    yathāceti //	tat nirasitum Aha    yaTAca iti //
   (pārṣṭhikānvayavelāyāṃ somena yajetetyatra	(pArzWikA anvaya velAyAm somena yajeta iti atra
   matvarthalakṣaṇāvaśyakatānirūpaṇam) ayamarthaḥ     yadyapi sarvakārakāṇāṃ	matu arTa lakzaNa avaSya ka tAni rUpaNam) ayam arTaH    yadi api sarva kArakANAm
   prathamato bhāvanayaiva saṃbandhaḥ; tathāpi nirviṣayakṛtisaṃbandhāyogāt	praTamatas BAvanayA eva saMbanDaH; taTA api nirvizaya kRti saMbanDa ayogAt 
   somādigatavyāpārāpekṣāyāṃ prāk	soma Adi gata vyApAra apekzAyAm prAk 
   phalakarmatvayāgakaraṇatvagatanirūpakāpekṣāyāḥ samānapadaśrutyā yāge phale	Pala karma tva yAga karaNa tva gata nirUpaka apekzAyAH samAna pada SrutyAH yAge Pale
   caiva pratīteḥ pārṣṭhike phalayāgayoḥ saṃbandhe yāgasya	ca eva pratIteH pArzWike Pala yAgayoH saMbanDe yAgasya
   karaṇatayaivāvagatasya karmatvena prātīteḥ khanitrādikārakāntarasya	karaNa tayA eva avagatasya karma tvena prAtIteH Kanitra Adi kAraka antarasya
   karaṇatvenaivānvaye vaktavye bhinnārthayoḥ sāmānādhikaraṇyānupapattyā	karaNa tvena eva anvaye vaktavye Binna arTayoH sAmAnADikaraNyA anupapattyA
   saṃbandhasāmānyenānvayārthamaśrutamatvarthakalpanā'vaśyakī /	saMbanDa sAmAnyena anvaya arTam aSruta matvarTa kalpanA avaSyakI /
   paścāccāsādhitasya yāgasya karaṇatvānupapatteḥ karmatvabodhe sati	paScAt ca AsADitasya yAgasya karaNa tva anupapatteH karma tva boDe sati
   khanitrādikārakāntarasya bhāvanāsaṃbandhavelāyāṃ śrutena kāraṇatvādinaiva	Kanitra Adi kAraka antarasya BAvanA saMbanDa velAyAm Srutena kAraNa tva AdinA eva
   viśeṣaṇavidhikāle 'nvayo bhavati /	viSezaNa viDi kAle anvayaH Bavati /
   ataḥ pārṣṭhikānvayakāle somavatā yajetetyevaṃ matvārthalakṣaṇānivāryā /	atas pArzWikA anvaya kAle somavatA yajeta iti evam matvA arTa lakzaNa anivAryAH /
   (matvarthalakṣaṇāvirahapakṣe somasya śrautaviniyogopapattiḥ)	(matvarTa lakzaNa aviraha pakze somasya SrOta viniyoga upapattiH)
