   Abkürzungsverzeichnis	AbkürzungsveH zeiCnis
   !{20}! Vgl. ManuDhŚ 1.8cd, zitiert in DHN[D] 6.23.	!{20}! Vgl. ManuDhŚ 1.8cd, zitiert id DHN[D] 6.23.
   !{21}! MBh: ahaṅkṛtvā.	!{21}! MBh: ahaFkRtvA.
   !{22}! MBh: jalavan.	!{22}! MBh: jala van.
   !{23}! MBh: caturyugam arindama.	!{23}! MBh: caturyugam arindama.
   !{24}! MBh: kalpasahasran vai.	!{24}! MBh: kalpa sahasran vE.
   !{25}! MBh: avyayasya mahāniśā.	!{25}! MBh: avyayasya mahA niSA.
   !{26}! Dieser Vers ist auch in DHN[D] 94.16 17 zitiert.	!{26}! DieseH Vers ist OC id DHN[D] 94.16 17 zitiert.
   !{27}! MBh: samupabṛṃhayet.	!{27}! MBh: samupabRMhayet .
   !{28}! Lies mit MBh: alpaśrutād.	!{28}! LieH mid MBh: alpa SrutAt .
   !{29}! MBh 12.325.4A: namas te devadeva.	!{29}! MBh 12.325.4A: namaH te devadeva.
   !{30}! Bezug auf MBh 12.325.4J K: prathamatrisauparṇa [91] pañcāgne [92]	!{30}! Bezuj Of MBh 12.325.4 J K: praTama trisOparNa [91] paQca agne [92]
   triṇāciketa [93] ṣaḍaṅgavidhāna [94] prāgjyotiṣa [95] jyeṣṭhasāmaga [96]	triNAciketa [93] zaxaFga viDAnaH [94] prAgjyotiza [95] jyezWasAma gaH [96]
   sāmikavratadhara [97] atharvaśiraḥ [98] pañcamahākalpa [99] phenapācārya	sAmika vrata Dara [97] aTarvaSiraH [98] paQca mahAkalpaH [99] Pena pAcArya
   [100] // vālakhily.a [101] vaikhānasa [102] abhagnayoga [103]	[100] // vAlaKily.aH [101] vEKAnasa [102] aBagna yogaH [103]
   abhagnaparisaṃkhyāna [104] yugāde [105] yugamadhya [106] yuganidhana [107]	aBagna parisaMKyAna [104] yuga Ade [105] yuga maDye [106] yuga niDanaH [107]
   ākhaṇḍala [108] prācīnagarbha [109] kauśika [110]; s.u., DHN[D] 10.1 3.	AKaNxalaH [108] prAcInagarBaH [109] kOSika [110]; s.u., DHN[D] 10.1 3.
        [vikhanaśśabdanirvacanam]	[viKanaH Sabda nirvacanam]
   [4.1 2] tathā nāmasahasrādhyāye "vaikhānas sāmagāyanaḥ"*{31}*" iti	[4.1 2] taTA nAma sahasra aDyAye "vEKAnaH sAmagAyanaH"*{31}*" iti
   smaryate.	smaryate.
        [jagatsṛṣṭiprayojanam]	[jagat sRzwi prayojanam]
   [4.3]     pañcarātre ātmasaṃhitāyām:	[4.3]     paQca rAtre Atma saMhitAyAm:
   [4.4]     "mahābhūtena bhūtena vyāptaṃ vikhanasā jagat /	[4.4]     "mahABUtena BUtena vyAptam viKanasA jagat /
   [4.5]     tam eva śaraṇaṃ gaccha jagatkāraṇam acyutam //" [Ātmasaṃhitā]	[4.5]     tam eva SaraNam gacCa jagat kAraNam acyutam //" [Ātma saMhitA]
   [4.6]     iti śāṇḍilyena śatānandam abhilakṣyoktam.	[4.6]     iti SANxilyena SatAnandam aBilakzya uktam.
   [4.7]     vaikhānase ānandasaṃhitāyāṃ:	[4.7]     vEKAnase Ananda saMhitAyAM:
   [4.8]     "vedāntatattvamīmāṃsākhananaṃ kṛtavāt hariḥ /*{32}*	[4.8]     "vedAnta tattva mI mAMsa AKananam kRtavAt hariH /*{32}*
   [4.9]     nāmnā vikhanasaṃ prāhur yañ ca vaikhānasaṃ tathā //*{33}*" iti	[4.9]     nAmnA viKanasam prAhuH yan ca vEKAnasam taTA //*{33}*" iti
   proktam. [ĀS ]	proktam. [ĀH ]
   [4.10 12]     atra khananaśabdena saṅkalpa ucyate. "so 'kāmayata. bahu	[4.10 12]     atra Kanana Sabdena saFkalpaH ucyate. "saH akAmayata. bahu
   syāṃ prajāyeyeti sa tapo 'tayata"*{34}* ityādi śrutibhyaḥ.	syAm prajAyeya iti sa tapaH atayata "*{34}* ityAdi SrutiByaH.
   avāptasamastakāmasyāpi bhagavataḥ sṛṣṭikārye pravṛttir bhavati.	avApta samasta kAmasya api BagavataH sRzwi kArye pravRttiH Bavati.
        [samaṣṭisṛṣṭilakṣaṇam]	[samazwi sRzwi lakzaNam]
   [4.13]     nanu satyavādisamastakalyāṇaguṇaviśiṣṭasya bhagavataḥ.	[4.13]     nanu satya vAdi samasta kalyANa guNa viSizwasya BagavataH.
   [4.14]     "aiśvaryasya samagrasya vīryasya yaśasaḥ śriyaḥ /	[4.14]     "a ESvaryasya samagrasya vIryasya yaSasaH SriyaH /
   [4.15]     jñānavairāgyayoś caiva ṣaṇṇāṃ bhaga itīraṇā //"	[4.15]     jQAna vErAgyayoH ca eva zaNNAm BagaH iti IraNA //"
   [4.16]     iti samagraṣāḍguṇyaparipūrṇasya avāptasamastakāmasya kimarthaṃ	[4.16]     iti samagra zAxguNya paripUrNasya avApta samasta kAmasya kim arTam
   sṛṣṭyadikam*{35}* iti cet ucyate.	sRzwi adikam *{35}* iti ced ucyate.
   [4.17]     "aprameyo 'niyojyaś ca yatra kāmagamo vaśī / [MBh 2, App.	[4.17]     "a prameyaH aniyojyaH ca yatra kAma gamaH vaSI / [MB 2, App.
   [4.18]     modate bhagavān bhūtaiḥ bālaḥ kīḍanakair iva //*{36}*" [MBh 2,	[4.18]     modate BagavAn BUtEH bAlaH kIxanakEH iva //*{36}*" [MB 2,
   App. 21.1606]	App. 21.1606]
   [4.19]     ityādi bhāratavacanānusāreṇa līlārtham eveti.	[4.19]     ityAdi BArata vacana anusAreNa lIlA arTam eva iti.
   [4.20]     jagadsṛṣṭyādilīlānubhavārthaṃ bhagavatā samaṣṭisṛṣṭer anantaraṃ	[4.20]     jagat sRzwi Adi lIlA anuBava arTam BagavatA samazwi sRzweH anantaram
   vyaṣṭisṛṣṭau	vyazwi sRzwO
   [4.21 22]     devamanuṣyādivividhaviśeṣasṛṣṭyarthaṃ caturmukhasṛṣṭiṃ prati	[4.21 22]     deva manuzya Adi viviDa viSeza sRzwi arTam caturmuKa sRzwim prati
   dhyānaṃ kṛtam. eṣā cidacidātmikā sṛṣṭiḥ bhagavatā kriyate. vyaṣṭisṛṣṭis tu	DyAnam kRtam. ezA cit acit AtmikA sRzwiH BagavatA kriyate. vyazwi sRzwiH tu
   brahmaṇā. samaṣṭisṛṣṭir nāma:	brahmaNA. samazwisRzwiH nAma:
   [4.23]     "bhūtais tu pañcabhiḥ prāṇaiḥ svāntair daśabhir indriyaiḥ /	[4.23]     "BUtEH tu paQcaBiH prANEH sva antEH daSaBiH indriyEH /
   [4.24]     caturviṃśāti tattvāni sāṅkhyaśāstravido viduḥ //	[4.24]     caturviMSAti tattvAni sAFKya SAstra vidaH viduH //
   !{31}! Bezug auf MBh 13.135.119: ātmayoniḥ svayañjāto vaikhānaḥ	!{31}! Bezuj Of MBh 13.135.119: AtmayoniH svayan jAtaH vEKAnaH
   sāmagāyanaḥ / devakīnandanaḥ sraṣṭā kṣitīśaḥ pāpanāśanaḥ.	sAmagAyanaH / devakI nandanaH srazwA kzitISaH pApa nASanaH.
   !{32}! Lies mit DHN[T] 54: kṛtavān; vgl. DHN[D] 11.13; vgl. ĀS 4.15cd:	!{32}! LieH mid DHN[T] 54: kRtavAn; vgl. DHN[D] 11.13; vgl. ĀH 4.15cd:
   viśeṣakhananaṃ tatra kṛtavān kṛtināṃ varaḥ; vgl. ĀS 15.19ab:	viSeza Kananam tatra kRtavAn kRtinAm varaH; vgl. ĀH 15.19ab:
   vedāntatattvamīmāṃsākhananaṃ kṛtvān prabhuḥ.	vedAnta tattva mI mAMsa AKananam kRtvAn praBuH.
   !{33}! Die zweite Vershälfte ist zitiert als "Purātantra" in DHN[D] 33.23.	!{33}! Die zweite VeH shälfte ist zitiert als "Pura atantra" id DHN[D] 33.23.
   !{34}! DHN[T] 55: prajāye"yetītyādi "yasya jñānamayaṃ tapa".	!{34}! DHN[T] 55: prajAye"ya iti ityAdi "yasya jQAna mayam tapa".
   !{35}! Lies: sṛṣṭyādikam.	!{35}! Lies: sRzwi Adikam.
   !{36}! Lies mit MBh und DHN[T] 61: krīḍanakair iva.	!{36}! LieH mid MBh und DHN[T] 61: krIxanakEH iva.
   [5.1]     mahān kālaḥ pradhānañ ca māyāvidyā ca pūruṣaḥ /	[5.1]     mahAn kAlaH praDAnan ca mAyA avidyA ca pUruzaH /
   [5.2]     iti paurāṇikāḥ prāhuḥ triṃśattatvāni tais saha //"	[5.2]     iti pOrANikAH prAhuH triMSat tatvAni tEH saha //"
        [vyaṣṭisṛṣṭilakṣaṇam]	[vyazwi sRzwi lakzaNam]
   [5.3 9]     iti vacanāt tattvasṛṣṭir ity avagamyate. "svāntair" ity anena	[5.3 9]     iti vacanAt tattva sRzwiH iti avagamyate. "svAntEr" iti anena
   "mano buddhir ahaṅkāraś cittañ ca karaṇāny amī" ity antaḥkaraṇacatuṣṭayam	"manaH budDiH ahaFkAraH cittan ca karaNAni amI" iti antaHkaraNa catuzwayam
   ucyate. vyaṣṭisṛṣṭir nāma: aṇḍāntarvartibhūtajātasṛṣṭiḥ. "ajām ekāṃ	ucyate. vyazwisRzwiH nAma: aNxa antar varti BUta jAta sRzwiH. "ajAm ekAm
   lohitaśuklakṛṣṇām" "nityo nityānām cetanaś cetanānām". ityādi śrutibhiḥ	lohita Sukla kRzNAm" "nityaH nityAnAm cetanaH cetanA nAm ". ityAdi SrutiBiH
   nityatvena śrutānāṃ prakṛtipuruṣānāṃ sṛṣṭir nāma pralayadaśāyāṃ	nitya tvena SrutAnAm prakRti puruzAnAm sRzwiH nAma pralaya daSAyAm
   sūkṣmarūpeṇa avibhaktanāmarūpeṇa ca paramātmany ekībhūtānāṃ sṛṣṭikāle	sUkzma rUpeNa aviBakta nAma rUpeNa ca paramAtmani ekIBUtAnAm sRzwi kAle
   paramātmano 'nupraveśānantaraṃ sthūlarūpavatvaṃ vibhaktanāmarūpabhāktvañ	paramAtmanaH anupraveSa anantaram sTUla rUpava tvam viBakta nAma rUpa BAj tvan 
   ca. "tat sṛṣṭvā". "tad evānuprāviśat. tad anupraviśya. sac ca tyac	ca. "tat sRzwvA a". "tat eva anuprAviSat. tat anupraviSya. sat ca tyac
   cābhavat" ityādi śruteḥ.	ca aBavat" ityAdi SruteH.
   [5.10]     viṣṇupurāṇe: "tad etad akṣayaṃ nityaṃ jaganmunivarākhilam /	[5.10]     vizNupurANe: "tat etat akzayam nityam jagat muni vara aKilam /
   [5.11]     avirbhāvatirobhāvajanmanāśavikalpavat //*{37}* [ViṣṇuP ]	[5.11]     avirBAva tiroBAva janma nASa vikalpa vat //*{37}* [VizNuB ]
   [5.12]     prakṛtiṃ puruṣañ caiva praviśyātmecchayā hariḥ /	[5.12]     prakRtim puruzan ca eva praviSya Atma icCayA hariH /
   [5.13]     kṣobhayāmāsa samprāpte sargakāle vyayāpyayau //" iti [ViṣṇuP ]	[5.13]     kzoBayAmAsa samprApte sarga kAle vyaya apyayO //" iti [VizNuj ]
   [5.14]     gītāsu: "prakṛtiṃ puruṣam caiva viddhy anādī ubhāv api /" [BhGī	[5.14]     gItAsu: "prakRtim puruzam ca eva vidDi anAdI uBO api /" [BhGI
   = MBh 6.35.19ab]	 MBh 6.35.19ab]
   [5.15]     mama yonir mahad brahma tasmin garbhaṃ dadhāmy aham /	[5.15]     mama yoniH mahat brahma tasmin garBam daDAmi aham /
   [5.16]     sambhavas sarvabhūtānāṃ tato bhavati bhārata //" [BhGī = MBh	[5.16]     samBavaH sarva BUtAnAm tatas Bavati BArata //" [BhGI  MBh
        [aṇḍotpattyādiprakāraḥ]	[aNxa utpatti Adi prakAraH]
   [5.17 21]     iti coktarītyā sṛṣṭikāle jagadyonibhūtaṃ "mahabrahma"	[5.17 21]     iti ca ukta rItyA sRzwi kAle jagadyoni BUtam "maha brahma"
   tadīyaṃ prakṛtyākhyam ācidvastu*{38}* yat, tasmin cetanākhyaṃ garbhaṃ	tadIyam prakRti AKyam Acit vastu*{38}* yat, tasmin cetana AKyam garBam
   yojayati. tatkṛtāc cidacitsaṃsargāt devādisthāvarāntānām acinmiśrāṇāṃ	yojayati. tad kRtAt cit acit saMsargAt deva Adi sTAvara antAnAm acit miSrANAm
   sarvabhūtānāṃ sambhavo bhavati. evam eva paramātmanā pañcīkṛtānāṃ bhūtānāṃ	sarva BUtAnAm samBavaH Bavati. evam eva paramAtmanA paQcIkRtAnAm BUtAnAm
   anyonyasaṃyogādinā aṇḍoptattyādikaṃ*{39}* śrīviṣṇupurāṇe pratipādyate.	anyonya saMyoga AdinA aNxa uptatti Adi kaM*{39}* SrI vizNupurANe pratipAdyate.
   yathā:	yaTA:
   [5.22]     "ākāśavāyutejāṃsi salilaṃ pṛthivī tathā /	[5.22]     "a AkASa vAyu tejAMsi salilam pRTivI taTA /
   [5.23]     śabdādibhir guṇair bahma*{40}*saṃyuktāny uttarottaraiḥ //	[5.23]     Sabda AdiBiH guNEH bahma *{40}* saMyuktAni uttarottarEH //
   [ViṣṇuP 1.2.46]	[VizNuj 1.2.46]
   [5.24]     śāntā ghorāś ca mūḍhāś ca viśeṣās tena te smṛtāḥ /	[5.24]     SAntAH GorAH ca mUXAH ca viSezAH tena te smRtAH /
   [5.25]     nānāvīryāḥ pṛthagbhūtāḥ tataḥ te saṃhatiṃ vinā // [ViṣṇuP ]	[5.25]     nAnA vIryAH pRTak BUtAH tatas te saMhatim vinA // [VizNuB ]
   !{37}! Lies mit DHN[T] 72: āvirbhāvatirobhāvajanmanāśavikalpavat.	!{37}! LieH mid DHN[T] 72: AvirBAva tiroBAva janma nASa vikalpavat.
   !{38}! Lies: acidvastu.	!{38}! Lies: acit vastu.
   !{39}! Lies: aṇḍotpattyādikaṃ.	!{39}! Lies: aNxa utpatti AdikaM.
   !{40}! ViṣṇuP: śabdādibhir guṇair brahman.	!{40}! VizNuP: Sabda AdiBiH guNEH brahman.
   [6.1]     nāśaknuvan prajāḥ sraṣṭum asamāgamya kṛtsnaśaḥ /	[6.1]     na aSaknuvan prajAH srazwum asamAgamya kRtsnaSas /
   [6.2]     sametyānyonyasaṃyogaṃ parasparasamāśrayāḥ // [Viṣṇu.P ]	[6.2]     sametya anyonya saMyogam paraspara samASrayAH // [VizNu.P ]
   [6.3]     ekasaṅghātalakṣyāś ca*{41}* saṃprāpyaikyamaśeṣataḥ / [ViṣṇuP	[6.3]     eka saFGAta lakzyAH ca*{41}* saMprApya Ekyam aSezatas / [VizNuP
   1.2.49cd]	1.2.49cd]
   [6.4]     puruṣādhiṣṭhitatvāc cāpy avyaktānugraheṇa ca //*{42}* [ViṣṇuP	[6.4]     puruza aDizWita tvAt ca api avyakta anugraheNa ca //*{42}* [VizNuP
   1.2.50ab]	1.2.50ab]
   [6.5]     mahadādyā viśeṣāntā hy aṇḍam utpādayanti te /	[6.5]     mahat AdyAH viSeza antAH hi aNxam utpAdayanti te /
   [6.6]     tatkrameṇa prabuddhaṃ taj*{43}* jalabudbudavatsamam /	[6.6]     tad krameNa prabudDam taj*{43}* jala budbuda vat samam /
   [6.7]     bhūtebhyo 'ṇḍaṃ mahābuddhe pravṛddham udakeśayam /*{44}*	[6.7]     BUteByaH aNxam mahAbudDe pravRdDam udakeSayam /*{44}*
   [6.8]     prākṛtaṃ brahmarūpasya viṣṇoḥ sthānam anuttamam // [Viṣṇu.P	[6.8]     prAkRtam brahma rUpasya vizNoH sTAnam anuttamam // [VizNu.P
   [6.9]     tatrāvyaktasvarūpo 'sau vyaktarūpī jagatpatiḥ /	[6.9]     tatra avyakta svarUpaH asO vyakta rUpI jagatpatiH /
   [6.10]     viṣṇur brahmasvarūpeṇa svayam eva vyavasthitaḥ //" [ViṣṇuP ]	[6.10]     vizNuH brahma svarUpeNa svayam eva vyavasTitaH //" [VizNuB ]
   [6.11]     ity ārabhya	[6.11]     iti AraBya
   [6.12]     "tasminn aṇḍe 'bhavad brahmā*{45}* sadevāsuramānuṣaḥ //"	[6.12]     "tasmin aNxe aBavat brahma a*{45}* sa deva asura mAnuzaH //"
   [ViṣṇuP 1.2.54]	[VizNuj 1.2.54]
   [6.13 14]     ityādibhiḥ samaṣṭisṛṣṭyādikam*{46}* uktam. viśeṣeṇa	[6.13 14]     iti AdiBiH samazwi sRzwi Adi kam*{46}* uktam. viSezeNa
   vyaṣṭisṛṣṭāv api brahmaṇo 'ṇḍādiṣūtpattiprakāraḥ śrūyate. yathā:	vyazwi sRzwO api brahmaNaH aNxa Adizu utpatti prakAraH SrUyate. yaTA:
   [6.15 21]     mahopaniṣadi: "athāto mahopaniṣadaṃ vyākhyāsyāmaḥ. eko ha	[6.15 21]     mahA upanizadi: "aTA atas mahopanizadam vyAKyAsyAmaH. ekaH ha
   vai nārāyaṇa āsīd" ity ārabhya "tasya dhyānāntassthasya yajñastomam	vE nArAyaNaH AsId" iti AraBya "tasya DyAna anta ssTasya yajQa stomam
   ucyate. tasmin caturdaśapuruṣā jāyante. ekā kanyā*{47}*. daśendriyāṇi mana	ucyate. tasmin caturdaSa puruzAH jAyante. ekA kanyA*{47}*. daSa indriyANi mana
   ekādaśaṃ tejo dvādaśam ahaṅkāraḥ trayodaśaḥ praṇāś*{48}* caturdaśaḥ ātmā	ekAdaSam tejaH dvAdaSam ahaFkAraH trayodaSaH praNAS*{48}* caturdaSaH AtmA
   pañcadaśaḥ buddhir bhūtāni pañca tanmātrāṇi pañca mahābhūtāni ca sa ekaḥ	paQcadaSaH budDiH BUtAni paQca tanmAtrANi paQca mahABUtAni ca saH ekaH
   pañcaviṃśaḥ puruṣaḥ."*{49}* "atha punar eva nārāyaṇas so 'nyatkāmo*{50}*	paQcaviMSaH puruzaH."*{49}* "aTa punar eva nArAyaNaH saH anyat kAmo*{50}*
   manasā dhyāyata tasya dhyānāntassthasya lalāṭāt svedo 'patat, ta imāḥ	manasA DyAyata tasya DyAna anta ssTasya lalAwAt svedaH apatat, te imAH
   pratatā āpaḥ, tāsu tejaḥ, tat tejo*{51}* hiraṇmayam aṇḍam tatra brahmā	pratatAH ApaH, tAsu tejaH, tat tejaH *{51}* hiraNmayam aNxam tatra brahmA
   caturmukho 'jāyata."*{52}* iti.	caturmuKaH ajAyata."*{52}* iti.
        [brahmaṇo 'ṇḍādiṣūtpattiprakāraḥ]	[brahmaNaH aNxa Adizu utpatti prakAraH]
   [6.22]     yajuṣi: "sa prajāpatir ekaḥ puṣkaraparṇe samabhavat" iti	[6.22]     yajuzi: "sa prajApatiH ekaH puzkaraparNe samaBavat" iti
   ca.*{53}*	ca.*{53}*
   [6.23]     *{54}*manau: evaṃ "apa eva sasarjādau tāsu vīryam avāsṛjat	[6.23]     *{54}*manO: evam "apaH eva sasarja AdO tAsu vIryam avAsRjat 
   //*{55}*" ity ārabhya [ManuDhŚ 1.8cd]	//*{55}*" iti AraBya [ManuDhŚ 1.8cd]
   [6.24]     "tasmin jajñe svayaṃ brahmā sarvalokapitāmahaḥ //" iti [ManuDhŚ	[6.24]     "tasmin jajQe svayam brahmA sarva loka pitAmahaH //" iti [ManuDhŚ
   1.9cd]	1.9cd]
   !{41}! ViṣṇuP: ekasaṅghātalakṣmāś ca.	!{41}! VizNuP: eka saFGAta lakzmAH ca.
   !{42}! ViṣṇuP: puruṣādhiṣṭhitatvāc ca pradhā nānugraheṇa ca.	!{42}! VizNuP: puruza aDizWita tvAt ca praDA na anugraheNa ca.
   !{43}! ViṣṇuP: tatkrameṇa vivṛddhan tu.	!{43}! VizNuP: tad krameNa vivRdDan tu.
   !{44}! ViṣṇuP: vṛhat tad udakeśayam.	!{44}! VizNuP: vRhat tat udakeSayam.
   !{45}! ViṣṇuP: tasminn aṇḍe 'bhavad vipra.	!{45}! VizNuP: tasmin aNxe aBavat vipra.
   !{46}! Lies mit DHN[T] 77: samaṣṭisṛṣṭyādikam.	!{46}! LieH mid DHN[T] 77: samazwi sRzwi Adikam.
   !{47}! DHN[T] 79: (kanyā).	!{47}! DHN[T] 79: (kanyA).
   !{48}! Lies mit DHN[T] 79: prāṇāś.	!{48}! LieH mid DHN[T] 79: prANa AS.
   !{49}! DHN[T] 79: pañcaviṃśakaḥ puruṣaṃ ity uktvā.	!{49}! DHN[T] 79: paQcaviMSakaH puruzam iti uktvA.
   !{50}! DHN[T] 79 ins. (syaṃ kāmaṃ).	!{50}! DHN[T] 79 ins. (syam kAmaM).
   !{51}! DHN[T] 80: tāsu tejo (tat tejo) statt tāsu tejaḥ, tat tejo.	!{51}! DHN[T] 80: tAsu tejaH (tat tejo) statt tAsu tejaH, tat tejaH .
   !{52}! Bezug auf MahāU 1.1: athāto mahopaniṣadaṃ vyākhyāsyāmas tad āhur	!{52}! Bezuj Of MahAU 1.1: aTa atas mahopanizadam vyAKyAsyAmaH tat AhuH 
   eko ha vai nārāyaṇa āsīn na brahmā neśāno nāpo nāgniśomau neme	ekaH ha vE nArAyaNaH AsIt na brahmA na ISAnaH na apaH na agni SomO na ime
   dyāvāpṛthivī na nakṣatrāṇi na sūryo na candramāḥ. sa ekākī na ramate.	dyAvApRTivI na nakzatrANi na sUryaH na candramAH. saH ekAkI na ramate.
   tasya dhyānāntaḥsthasya yajñastomam ucyate. tasmin puruṣāś caturdaśa	tasya DyAna antar sTasya yajQa stomam ucyate. tasmin puruzAH caturdaSa
   jāyante. ekā kanyā. daśendriyāṇi mana ekādaśaṃ tejaḥ. dvādaśam ahaṅkāraḥ.	jAyante. ekA kanyA. daSa indriyANi manaH ekAdaSam tejaH. dvAdaSam ahaFkAraH.
   trayodaśaḥ prāṇāḥ. caturdaśaḥ ātmā. pañcadaśī buddhiḥ. bhūtāni pañca	trayodaSaH prANAH. caturdaSaH AtmA. paQcadaSI budDiH. BUtAni paQca
   tanmātrāṇi. pañca mahābhūtāni. sa ekaḥ pañcaviṃśatiḥ puruṣaḥ. tatpuruṣam	tanmAtrANi. paQca mahABUtAni. saH ekaH paQcaviMSatiH puruzaH. tatpuruzam
   puruṣo niveśya nāsya pradhānasaṃvatsarā jāyante. saṃvatsarādadhijāyante.	puruzaH niveSya na asya praDAna saMvatsarAH jAyante. saMvatsarAt aDijAyante.
   atha punar eva nārāyaṇaḥ so 'nyatkāmo manasādhyāyata. tasya	aTa punar eva nArAyaNaH saH anyat kAmaH manasA ADyAyata. tasya
   dhyānāntaḥsthasya lalāṭān trayakṣaḥ śūlapāṇiḥ puruṣo jāyate. bibhrac	DyAna antar sTasya lalAwAn trayakzaH SUlapANiH puruzaH jAyate. biBrac
   chriyaṃ yaśaḥ satyaṃ brahmacaryaṃ tapo vairāṅyaṃ mana aiśvaryaṃ sapraṇava	Criyam yaSaH satyam brahmacaryam tapaH vErAFyam manaH ESvaryam sa praNava
   vyāhṛtaya ṛgyajuḥsāmātharvāṅgirasaḥ sarvāṇi chandāṃsi tāny aṅge	vyAhRtayaH Rc yajuH sAma aTarva aFgirasaH sarvANi CandAMsi tAni aFge
   samāśritāni. tasmād īśāno mahādevo mahād eva. atha punar eva nārāyaṇaḥ so	samASritA ani. tasmAt ISAnaH mahAdevaH mahAt eva. aTa punar eva nArAyaNaH saH 
   'nyatkāmo manasādhyāyata. tasya dhyānāntaḥsthasya lalāṭāt svedo 'patat. tā	anyat kAmaH manasA ADyAyata. tasya DyAna antar sTasya lalAwAt svedaH apatat. tA
   imāḥ pratatā āpaḥ tatas tejo hiraṇyamayam aṇḍam. tatra brahmā caturmukho	imAH pratatAH ApaH tatas tejaH hiraNya mayam aNxam. tatra brahmA caturmuKaH 
   'jāyata. DHN[T] 80 ins. nach iti: (puṣkaraparṇe: śrutyantaraṃ).	ajAyata. DHN[T] 80 in s. naC iti: (puzkara parNe: Sruti antaraM).
   !{53}! Bezug auf TĀ 1.23.1.	!{53}! Bezuj Of TĀ 1.23.1.
   !{54}! DHN[T] 81 ins. aṇḍe mānavīsmṛtiḥ.	!{54}! DHN[T] 81 ins. aNxe mAnavI smRtiH.
   !{55}! Ähnlich zitiert als "Mahābhārata" in DHN[D] 3.1.	!{55}! ÄhnliC zitiert alH "Maha aBArata" id DHN[D] 3.1.
   [7.1]     *{56}*bhārate: "svapatas tasya devasya padmaṃ sūryasamaprabham /	[7.1]     *{56}*BArate: "svapataH tasya devasya padmam sUrya sama praBam /
   [7.2]     nābhyāṃ vinissṛtam abhūt tatrotpannaḥ prajāpatiḥ //"*{57}* iti	[7.2]     nAByAm vinissRtam aBUt tatra utpannaH prajApatiH //"*{57}* iti
   ca smaryate.*{58}* [MBh 3.194.11]	ca smaryate.*{58}* [MBh 3.194.11]
   [7.3 4]     nanu nābhyām aṇḍe cotpattir ekasya katham upapadyata*{59}* iti	[7.3 4]     nanu nAByAm aNxe ca utpattiH ekasya kaTam upapadyata*{59}* iti
   cet   tat kalpāntara iti vaktayam. taduktaṃ hayaśira upākhyāne:	ced  tat kalpa antaraH iti vaktayam. tat uktam hayaSiraH upAKyAne:
        [ekasya brahmaṇaḥ nābhyām aṇḍe ca utpattiḥ]	[ekasya brahmaNaH nAByAm aNxe ca utpattiH]
   [7.5]     "tvatto me mānasaṃ janma prathamaṃ dvijapūjitam /	[7.5]     "tvattaH me mAnasam janma praTamam dvija pUjitam /
   [7.6]     cākṣuṣaṃ vai dvitīyaṃ me āsīj janma purātanam //	[7.6]     cAkzuzam vE dvitIyam me AsIt janma purAtanam //
   [7.7]     tvatprasādāc ca me janma tṛtīyaṃ vācikaṃ mahat /	[7.7]     tvad prasAdAt ca me janma tRtIyam vAcikam mahat /
   [7.8]     tvatto me śrāvaṇañ cāpi caturthaṃ janma vai prabho //	[7.8]     tvattaH me SrAvaNan ca api caturTam janma vE praBo //
   [7.9]     nāsikyañ caiva me janma tvattaḥ pañcamam ucyate /	[7.9]     nAsikyan ca eva me janma tvattaH paQcamam ucyate /
   [7.10]     aṇḍajañ cāpi me janma tvattaḥ ṣaṣṭhaṃ vinirmittam //	[7.10]     aNxajan ca api me janma tvattaH zazWam vinirmittam //
   [7.11]     idan tu saptamaṃ janma padmajaṃ me 'mitaprabha /*{60}*" iti.	[7.11]     idan tu saptamam janma padma jam me amita praBaH /*{60}*" iti.
        [caturmukhasya vaikhānasādiśabdavācyatvam]	[caturmuKasya vEKAnasa Adi Sabda vAcya tvam]
   [7.12 14]     atas samastajagajjanmasthitidhvaṃsamahānandaikahetoḥ	[7.12 14]     atas samasta jagat janma sTiti DvaMsa mahA Ananda eka hetoH
   bhagavataḥ parabrahmaṇo nārāyaṇasya vaikhānasādiśabdavācyatvasambhavāt	BagavataH para brahmaNaH nArAyaNasya vEKAnasa Adi Sabda vAcya tva samBavAt 
   tannābhinalinasañjātasya brahmaṇo 'pi "aṅgād aṅgād"*{61}* iti	tad nABi nalina saQjAtasya brahmaNaH api "aFgAt aFgAt "*{61}* iti
   mantroktaprakāreṇa bhāratādipratipāditarītyā ca*{62}*	mantra ukta prakAreNa BArata Adi pratipAdita rItyA ca*{62}*
   vaikhānasādiśabdavācyatvam upapadyate.	vEKAnasa Adi Sabda vAcya tvam upapadyate.
   [7.15]     śāntiparvaṇi: "viśeṣeṇākhanat*{63}* yasmāt bhāvanāmunisṛṣṭaye /	[7.15]     SAntiparvaNi: "viSezeNa AKanat*{63}* yasmAt BAvanA muni sRzwaye /
   [7.16]     tasmād vikhanaso nāma sa āsīd aṇḍajaḥ priyaḥ //" iti [MBh ]	[7.16]     tasmAt viKanasaH nAma saH AsIt aNxa jaH priyaH //" iti [MB ]
   [7.17]     tatraiva: "sraṣṭuṃ sa tu samudyukto brahmayonimayaḥ prabhuḥ /	[7.17]     tatra eva: "srazwum sa tu samudyuktaH brahma yoni mayaH praBuH /
   [7.18]     khanitvā cātmanātmānaṃ dharmādiguṇasaṃyutam /	[7.18]     KanitvA ca AtmanA AtmAnam Darma Adi guNa saMyutam /
