   prathamo vilāsaḥ	praTamaH vilAsaH
   pratipādite ye 'yaṃ kṛtalohastambhabhedanasya	pratipAdite ye ayam kRtaloha-stamBa-Bedanasya
   prahlādābhidhānabhaktapoṣakasya candrakalādhāriṇo bhagavataḥ śrīnṛsiṃhasya	prahlAda-aBiDAna-Bakta-pozakasya candra-kalA-DAriNaH BagavataH SrI-nRsiMhasya
   pratītistayā śabdaśaktimūlayā	pratItiH-tayA Sabda-Sakti-mUlayA
   nāyakakaṇṭhīravakapaṭakaṇṭhīravayorupamālaṅkāradhvaniranusandhīyata iti	nAyaka-kaNWI-rava-ka-pawa-kaNWIravayoH-upama-alaFkAra-DvaniH-anusanDIyate iti
   vyañjakamidam /	vyaQjakam-idam /
   atha padadoṣāḥ	aTa pada-dozAH
   padaṃ duṣṭamapabhraṣṭamaprayuktaṃ nirarthakam /	padam duzwam-apaBrazwam-aprayuktam nirarTakam /
   viruddhārthamapuṣṭārthamapratītamaniścayam // Ckc_1.61 //	virudDa-arTam-apuzwa-arTam-apratItam-aniScayam // Ckd-_1.61 //
   kliṣṭaṃ deśyaṃ saneyārthaṃ pratihastamavācakam /	klizwam deSyam saneya-arTam pratihastam-avAcakam /
   jugupsitamakalyāṇaṃ vrīḍākaramitīritam // Ckc_1.62 //	jugupsitam-akalyANam vrIxA-karam-iti-Iritam // Ckd-_1.62 //
   tatrāśiṣṭamapabhraṣṭaṃ	tatra-ASizwam-apaBrazwam
   yathā	yaTA
   vāgdevyāḥ prabhaviṣyatā prabhavatā gāḍhaṃ prabhutena ca śreyaḥpākabhareṇa	vAgdevyAH praBavizyatA praBavatA gAXam praButena ca SreyaH-pAka-BareNa
   siṅganṛpate bhāvajñacūḍhāmaṇim /	siFga-nRpate BAva-jQa-cUXAmaNim /
   tvāṃ jetāramajījanat prasavitā sargasya nocediyaṃ satye vā viphalāyuṣāṃ	tvAm jetAram-ajIjanat prasavitA sargasya noced-iyam satye vA viPala-AyuzAm
   kṛtadhiyāṃ śāpe na jīveta vim // Ckc_1.*8 //	kRta-DiyAm SApe na jIveta vim // Ckd-_1.*8 //
   atra jīvetetyātmanepaditvamanuśāsanaviruddham /	atra jIveta-iti-AtmanA-ipaditvam-anuSAsana-virudDam /
   tena jīvetkathamiti sādhīyān pāṭhaḥ //	tena jIvet-kaTam-iti sADIyAn pAWaH //
   tadapyanukṛtau guṇaḥ // Ckc_1.63 //	tat-api-anukRtO guNaH // Ckd-_1.63 //
   rājā saṃskṛtavādiṣu praṇayavānityāśayā guṇbhitaṃ tadbhṛtyatra bhavāmahe	rAjA saMskRta-vAdizu praNayavAn-iti-ASayAH guNBitam tat-BRtyatra BavAmahe
   padarajairedhema maulisthitaiḥ //	padarajEH-eDema mOli-sTitEH //
   itthaṃ paṇḍitamānināṃ kṣitibhujāṃ dussaṃskutaṃ vācināṃ taiḥ sākaṃ	itTam paNxita-mAninAm kzitiBujAm dussaMskutam vAcinAm tEH sAkam
   supadīkaroti kṛpayā śrīsiṅganārāyaṇaḥ // Ckc_1.*9 //	supadIkaroti kRpayA SrI-siFganArAyaNaH // Ckd-_1.*9 //
   atra bhṛtyatnetyasarvanāmno bhṛtyaśabdāt tralpratyayaḥ, bhavāmahe	atra BRtyatna-iti-asarva-nAmnaH BRtya-SabdAt tralpratyayaH, BavAmahe
   ityātmanepadam padarajairityakārāntatvam edhemetyedhateḥ parasmaipaditvaṃ	iti-Atma-nepadam padarajEH-iti-akAra-anta-tvam eDema-iti-eDateH parasmEpaditvam
   cāpabhraṃśāḥ /	cApa-BraMSAH /
   tathāpyavyutpannajanavacanānukaraṇānna doṣaḥ /	taTA-api-avyutpanna-jana-vacana-anukaraNAt-na dozaH /
   aprayuktaṃ śiṣṭamapi kavibhiryadanādṛtam // Ckc_1.64 //	aprayuktam Sizwam-api kaviBiH-yat-anAdRtam // Ckd-_1.64 //
   yathā	yaTA
   padmāstyaktā mahīpālasa mukhalotupayā śriyā /	padmAH-tyaktA mahIpAlasa muKa-lotupayA SriyA /
   na cedeṣāmalakṣmīkaiḥ kumudairna sahāsikā // Ckc_1.*10 //	na ced-ezAma-lakzmIkEH kumudEH-na sa-hAsikAH // Ckd-_1.*10 //
   atra "vā puṃsi padmaṃ nalinaṃ'; ityanuśāsane 'pi kavibhiḥ puṃliṅge prāyeṇa	atra "vA puMsi padmam nalinaM-a; iti-anuSAsane api kaviBiH puMliFge prAyeNa
   na prayujyata iti padmā ityaprayuktamidam /	na prayujyate iti padmA iti-aprayuktam-idam /
   padmaṃ tyaktamiti prathamārdhe, na cedasya gataśrīkairiti dvitīyārghe ca	padmam tyaktam-iti praTama-arDe, na ced-asya gata-SrIkEH-iti dvitIya-arGe ca
   pāṭho ramaṇīyaḥ //	pAWaH ramaNIyaH //
   guṇātvamiṣyate tañjñerasyāpi yamakādiṣu // Ckc_1.65 //	guNAtvam-izyate taQjQerasya-api yamaka-Adizu // Ckd-_1.65 //
   yathā	yaTA
   yā paṅktirbrāhnaṇendrāṇāmāśāste sar vadaivatāḥ /	yA paFktiH-brAhnaNa-indrANAm-ASAste sar vadEvatAH /
   śrī siṅgabhūpa dadhatāmāśāste sarvadaivatāḥ // Ckc_1.*11 //	SrI siFga-BUpa daDatAm-ASAste sarva-dEvatAH // Ckd-_1.*11 //
   atra daivataśabdasya puṃliṅge kavibhiranādṛtasyāpi heyatvād āvṛttiyamake	atra dEvata-Sabdasya puMliFge kaviBiH-anAdRtasya-api heya-tvAt AvRtti-yamake
   prayogo na duṣṭaḥ /	prayogaH na duzwaH /
   pādapūraṇamātraṃ yadaviśeṣakaraṃ ca yat /	pAda-pUraNa-mAtram yat-aviSeza-karam ca yat /
   tannirarthakamityuktaṃ padopaskāravedibhiḥ // Ckc_1.66 //	tat-nirarTakam-iti-uktam pada-upaskAra-vediBiH // Ckd-_1.66 //
   yathā	yaTA
   kamalā kamalāpāyaśaṅkinī śiśirādiṣu /	kamalA kamala-apAya-SaFkinI SiSira-Adizu /
   adhyāste sarvavandyā vai mukhaṃ śrī siṅgabhūpateḥ // Ckc_1.*12 //	aDyAste sarva-vandyA vE muKam SrI siFga-BUpateH // Ckd-_1.*12 //
   atra vai iti pādapūraṇamātramā /	atra vE iti pAda-pUraNa-mAtramAH /
   kṣiyaḥ sarvavandyeti viśeṣaṇaṃ saśaṅkāyāmadhyāsanakriyāyāṃ viśeṣaṃ	kziyaH sarva-vandyA-iti viSezaNam sa-SaFkAyAm-aDyAsana-kriyAyAm viSezam
   nopapādayatīti taddvayaṃ nirarthakam /	na-upapAdayati-iti tad-dvayam nirarTakam /
   "adhyāste sarvadā ramyam'; iti dvitīyārghapāṭho ramaṇīyaḥ /	"aDyAste sarvadA ramyam-a; iti dvitIya-arGa-pAWaH ramaNIyaH /
   āhurasyāpi sārthatvaṃ yamakādiṣu sūrayaḥ // Ckc_1.67 //	AhuH-asya-api sArTa-tvam yamaka-Adizu sUrayaH // Ckd-_1.67 //
   yathā yā praṅktirbrāhnaṇendrāṇāmāśāsta iti pūrvodāhṛtam /	yaTA yA praFktiH-brAhnaNa-indrANAm-ASAste iti pUrva-udAhRtam /
   atra nirarthakatvādevakārasya pādapūraṇamātratve 'pi	atra nirarTaka-tvAt-eva-kArasya pAda-pUraNa-mAtra-tve api
   yamakanirvāhakatvādeva sārthatvam /	yamaka-nirvAhaka-tvAt-eva sArTa-tvam /
   viruddhārthatvam /	virudDa-arTa-tvam /
   viruddhārtha hi tadyatra viruddhārthaḥ pratīyate // Ckc_1.68 //	virudDa-arTa hi tat-yatra virudDa-arTaH pratIyate // Ckd-_1.68 //
   indrāṇīnathabhogo 'yaṃ guhyakeśanibhaḥ śriyā /	indrANI-naTa-BogaH ayam guhya-keSa-niBaH SriyA /
   rājate pāṇḍyabhūpālo gopālasamavaibhavaḥ // Ckc_1.*13 //	rAjate pANxya-BUpAlaH gopAla-sama-vEBavaH // Ckd-_1.*13 //
   purātanakaviproktaḥ so 'pi doṣāya no bhavet // Ckc_1.69 //	purAtanaka-vipra-uktaH saH api dozAya naH Bavet // Ckd-_1.69 //
   yathā	yaTA
   dhanuṣi janakaputrīnāyakaprauḍibhājā vidalitanijadharmaiḥ siṅgabhūpālakena	Danuzi janaka-putrI-nAyaka-prOxiBAjA vidalita-nija-DarmEH siFga-BUpAlakena
   vapuṣi kṛtajaubhiśvarmacelairjaṭālai-	vapuzi kRta-jOBi-Svarma-celEH-jawAlE-
   radhigatamaribhūpairambikānāthasāmyam // Ckc_1.*14 //	raDi-gata-mari-BUpEH-ambikA-nATa-sAmyam // Ckd-_1.*14 //
   atra janakaputrīnāyako raghurāma iti vivakṣāyāmapi pitṛsutāpatiriti	atra janakaputrI-nAyakaH raGurAmaH iti vivakzAyAm-api pitR-suta-ApatiH-iti
   yadyapi viruddhārthaḥ; ambikānātha ityatra ca pārvatīpatiriti vivakṣāyāṃ	yadi-api virudDa-arTaH; ambikA-nATaH iti-atra ca pArvatIpatiH-iti vivakzAyAm
   jananīpatiriti pratīyate tathāpi na virodhaḥ /	jananIpatiH-iti pratIyate taTA-api na viroDaH /
   nanu-viruddhārthapratītisādhāraṇye ambikānāthādīnāṃ guṇatvaṃ,	nanu--virudDa-arTa-pratIti-sADa-araNye ambikA-nATa-AdInAm guNa-tvaM,
   indrāṇīnāthādīnāṃ doṣatvamitikathaṃ vyavastheti cet;	indrANI-nATa-AdInAm doza-tvam-iti-kaTam vyavasTA-iti ced-;
   ucyate-prāyikaprayogarūpeṇa śiṣṭānāṃ parigraheṇaiva /	ucyate--prAyika-prayoga-rUpeNa SizwAnAm parigraheNa-eva /
   kaipunaratra siṣṭāḥ? yatra prathamaṃ mārgamupadiśanti tatra ta eva siṣṭā	kEpunar-atra sizwAH? yatra praTamam mArgam-upadiSanti tatra te eva sizwA
   iti sthitirarocakinaḥ /	iti sTitiH-arocakinaH /
   purātanāḥ kavīndrā eva śiṣṭāḥ na punaḥ satṛṇābhyavahāriṇaḥ /	purAtanAH kavi-indrAH eva SizwAH na punar satRNAByavahAriNaH /
   ataḥ "dinakarakularatnaṃ jānakīcānireṣaḥ'; iti; "taditijanakaputrī śikṣitā	atas "dinakara-kula-ratnam jAna-kIca-anirezaH-a; iti; "taditi-janakaputrI SikzitA
   ca'; iti; "janakatanayāsnānapuṇyodakeṣu'; iti; "pāyādvaḥ so	ca-a; iti; "janaka-tanayA-snAna-puNya-udakA-izu-a; iti; "pAyAt-vaH saH-
   'mbikāramaṇaḥ'; iti; "ambikānitambavimbasparśalampaṭakarāmbujā'; iti;	ambikAramaNaH-a; iti; "ambikA-nitamba-vimba-sparSa-lampawa-kara-ambujA-a; iti;
   "tāmapāyayata pānamambikām'; iti ca mahākavibhiraṅgīkṛtā guṇaprayogāḥ /	"tAm-apAyayata pAnam-ambikAm-a; iti ca mahA-kaviBiH-aFgIkRtAH guNa-prayogAH /
   janakaputrīnāyakāmbikāramaṇādīnāṃ guṇatvaṃ svakapolakalpitānāṃ	janakaputrI-nAyaka-ambikA-ra-maNa-AdInAm guNa-tvam sva-kapola-kalpitAnAm
   punarindraṇīnāthādīnāmārūḍherasundaratvamiti so 'yaṃ	punar-indraNI-nATa-AdInAm-ArUXeH-asundara-tvam-iti saH ayam
   sarasasāhityatīrthakarasaṃmato ghaṇṭāpathaḥ //	sarasa-sAhityatIrTakara-saMmataH GaNwApaTaH //
   yattucchārthamatisthūlaṃ tadapuṣṭārthamucyate // Ckc_1.69(a) //	yat-tucCA-arTam-ati-sTUlam tad-apuzwa-arTam-ucyate // Ckd-_1.69(a) //
   yathā	yaTA
   īśānagarimaiśvaryapratīpaiśvaryayogyatām /	ISAna-garima-ESvarya-pratIpa-ESvarya-yogya-tAm /
   bhajante ripubhūpālāstava śrī siṅgabhūpate // Ckc_1.*15 //	Bajante ripu-BUpAlAH-tava SrI siFga-BUpate // Ckd-_1.*15 //
   atra lāghavayogyatāmiti vaktavye garimaiśvarthapratīpaiśvaryamiti	atra lAGava-yogya-tAm-iti vaktavye garima-ESvarTa-pratIpa-ESvaryam-iti
   śabdagauravam //	Sabda-gOravam //
   utkarṣādivivakṣāyāmasyāpi guṇatā vkacit // Ckc_1.70 //	utkarza-Adi-vivakza-AyAm-asya-api guNa-tA vkacid // Ckd-_1.70 //
   yathā nāyakasyaiva vaṃśābalalyām	yaTA nAyakasya-eva vaMSa-AbalalyAm
   tasya pādāmbujājjāto varṇo vigatakalmaṣaḥ /	tasya pAda-ambujAt-jAtaH varNaH vigata-kalmazaH /
   yasya sodaratāṃ prāptaṃ bhagīrathatapaḥphalam // Ckc_1.*16 //	yasya sodara-tAm prAptam BagIraTa-tapaH-Palam // Ckd-_1.*16 //
   atra gaṅgetyarthe kanīyasi bhagīrathatapaḥphalamiti padādhikyam /	atra gaFgA-iti-arTe kanIyasi BagIraTa-tapaH-Palam-iti pada-ADikyam /
   tathāpi tasya sagarakutapābanakriyāsūcakatvena	taTA-api tasya sagara-kutapa-Abana-kriyA-sUcaka-tvena
   gaṅgāśabdādatyutkarṣāpādakatvamiti guṇatvam /	gaFgA-SabdAt-ati-utkarza-ApAdaka-tvam-iti guNa-tvam /
   vedaśāstraikavikhyātamapratītamihocyate // Ckc_1.71 //	veda-SAstra-eka-viKyAtam-apratItam-iha-ucyate // Ckd-_1.71 //
   yathā śrīsiṅgadharaṇīpāla bhavataḥ sphyena bhūyate /	yaTA SrI-siFga-DaraNI-pAla BavataH sPyena BUyate /
   mitraśrīrāmamanunā garvavṛddhikitā dviṣām // Ckc_1.*17 //	mitra-SrI-rAma-manunA garva-vRdDikitA dvizAm // Ckd-_1.*17 //
   atra sphyasya khaḍgākāravastuvācakatvaṃ veda eva;	atra sPyasya Kaxga-AkAra-vastu-vAcaka-tvam vedaH eva;
   manormantravācakatvamāgama eva; vṛddhinirāsakatvaṃ śabdaśāstra eva	manoH-mantra-vAcaka-tvam-AgamaH eva; vRdDi-nirAsaka-tvam Sabda-SAstraH eva
   prasiddhamiti tadapratītam //	prasidDam-iti tat-apratItam //
   tadvidyākramanirvāhapravṛttau tadidaṃ guṇaḥ // Ckc_1.72 //	tad-vidyA-krama-nirvAha-pravRttO tat-idam guNaH // Ckd-_1.72 //
   yathā	yaTA
   īḍāpiṅgalayoḥ pidhāya vadanaṃ baddhvā triśṭaṅgāṭikāṃ sauṣumnopari	IxA-piFgalayoH piDAya vadanam badDvA triSwaFgAwikAm sOzumna-upari
   saṃkramayya sarutaḥ ṣaḍgranthigandhacchidaḥ /	saMkramayya sarutaH zaxgranTi-ganDa=-CidaH /
   prātyagjyotiṣarociṣā prasaratā saṃdrāvya cāṃdrīṃkalāṃ	prAtyagjyotiza-rocizA prasaratA saMdrAvya cAMdrIMkalAm
   tanniṣṭhyūtaparāmṛtaiḥ paricito yogī ciraṃ jīvati // Ckc_1.*18 //	tad-nizWI-Uta-para-amRtEH paricitaH yogI ciram jIvati // Ckd-_1.*18 //
   atra īḍāpiṅgalādīnāṃ yogaśāstramātraprasiddhatvādapratītatve	atra IxA-piFgala-AdInAm yoga-SAstra-mAtra-prasidDa-tvAt-apratIta-tve
   'pyabhyāsayogaprakārasya sarvato nirvāhādguṇatvam /	api-aByAsa-yoga-prakArasya sarvatas nirvAhAt-guNa-tvam /
   aniśvitaṃ tadyatra syādanutkarṣāya saṃśayaḥ // Ckc_1.73 //	aniSvitam tat-yatra syAt-anutkarzAya saMSayaH // Ckd-_1.73 //
   yathā	yaTA
   śrīsiṅgabhūpapādābjasevāhevākagarvitaḥ /	SrI-siFga-BUpa-pAda-abja-sevA-hevAka-garvitaH /
   sāmantarājasantāno dhātrībhogāya kalpakṛt // Ckc_1.*19 //	sAmanta-rAja-santAnaH DAtrI-BogAya kalpa-kRt // Ckd-_1.*19 //
   atropamātā dhātrī dharitrī vā dhātrīti saṃśayapratīteridamaniścitam /	atra-upamAtA DAtrI DaritrI vA DAtrI-iti saMSaya-pratIteH-idam-aniScitam /
   bhūmibhogāyeti pāṭho ramaṇīyaḥ /	BUmi-BogAya-iti pAWaH ramaNIyaH /
   idaṃ prakaraṇādibhyo viśeṣāvagamepi ca /	idam prakaraNa-AdiByaH viSeza-avagamepi ca /
   utkarṣe vāviroghe ca doṣakakṣyāṃ na gāhate // Ckc_1.74 //	utkarze vA-AviroGe ca doza-kakzyAm na gAhate // Ckd-_1.74 //
   yathā	yaTA
   recarlānvayamaulimaṇḍanamaṇe śrīsiṅgabhūpālaka tvatkhaḍgasya ghanadyuteḥ	recarla-anvaya-mOli-maNxana-maNe SrI-siFga-BUpAlaka tvad-Kaxgasya Gana-dyuteH
   sa mahimā loke kathaṃ varṇyate /	sa mahimA loke kaTam varNyate /
   yasmin kampitamātra eva samitikṣoṇībhṛtāṃ maṇḍalaṃ sāntatyena	yasmin kampita-mAtraH eva samiti-kzoNIBRtAm maNxalam sAntatyena
   vimānavartanakathāmāpnoti mitraissamam // Ckc_1.*20 //	vimAna-vartana-kaTAm-Apnoti mitrEH-samam // Ckd-_1.*20 //
   atra ghanadyuterityasya ghanā sāndrā dyutirasyeti, ghanasya meghasyeva	atra Gana-dyuteH-iti-asya GanA sAndrAH dyutiH-asya-iti, Ganasya meGasya-iva
   dyutirasyeti vā saṃśaye 'pyavirodhānna duṣṭatvam /	dyutiH-asya-iti vA saMSaye api-aviroDAt-na duzwa-tvam /
   vimānavarta nakathāmityatra vigatābhimānavartanasya vā vyomayānavartanasya	vimAna-varta na-kaTAm-iti-atra vigata-aBimAna-vartanasya vA vyoma-yAna-vartanasya
   veti saṃśayepyatyantotkarṣānna doṣaḥ /	vA-iti saMSayepi-atyanta-utkarzAt-na dozaH /
   kṣoṇībhṛtāmityatra rājñāṃ girīṇāṃ vetisaṃśaye	kzoNIBRtAm-iti-atra rAjQAm girINAm veti-saMSaye
   nāyakakhaḍgavarṇanaprakaraṇāt pratirājalakṣaṇaviśeṣāvagamānna doṣaḥ /	nAyaka-Kaxga-varNana-prakaraNAt pratirAja-lakzaNa-viSeza-avagamAt-na dozaH /
   evaṃ saṃyogaviprayogādibhirapi viśeṣāvagame draṣṭavyam //	evam saMyoga-viprayoga-AdiBiH-api viSeza-avagame drazwavyam //
   dūradūro bhavedyasmādarthaḥ kliṣṭaṃ taducyate // Ckc_1.75 //	dUradUraH Bavet-yasmAt-arTaH klizwam tat-ucyate // Ckd-_1.75 //
   yathā	yaTA
   vārāśimitrajanakaprabhavāsahāya- keyūravetanakayānavilocanānām /	vArASi-mitra-janaka-praBava-asahAya keyUra-vetanaka-yAna-vilocanAnAm /
   śrīsiṅgabhūvara virodhinṛpāṅganānāṃ vanyasthalī samabhavannijarājadhānī //	SrI-siFga-BUvara viroDi-nRpa-aFganAnAm vanya-sTalI samaBavat-nija-rAjaDAnI //
   Ckc_1.*21 //	Ckd-_1.*21 //
   atra vārāsimitraṃ mainākaḥ, tasya janko himavān, tatprabhavā pārvatī,	atra vArAsi-mitram mEnAkaH, tasya jankaH himavAn, tad-praBavA pArvatI,
   tatsahāyo maheśvaraḥ, tatkeyūrāṇi sarpāḥ, teṣāṃ vetanakaṃ jīvanakāraṇaṃ	tad-sahAyaH maheSvaraH, tad-keyUrANi sarpAH, tezAm vetanakam jIvana-kAraNam
   vāyuḥ, tasya yānaṃ vāhanaṃ mṛgaḥ tasya locane iva locane yāsāṃ tāḥ,	vAyuH, tasya yAnam vAhanam mRgaH tasya locane iva locane yAsAm tAH,
   ityativyavahitārthatvāt kliṣṭamidam //	iti-ati-vyavahita-arTa-tvAt klizwam-idam //
   prakramasya ca nirvāhe mahatāṃ hainyasūcane /	prakramasya ca nirvAhe mahatAm hEnya-sUcane /
   prayuktasya vkacit kāvye kliṣṭasya guṇathā bhavet // Ckc_1.76 //	prayuktasya vkacid kAvye klizwasya guNaTAH Bavet // Ckd-_1.76 //
   prakramanirvāhe yathā--	prakrama-nirvAhe yaTA--
   śrīsiṅganṛpo vibhave dhanuṣi naye vapuṣi rañjane jiṣṇum /	SrI-siFga-nRpaH viBave Danuzi naye vapuzi raQjane jizNum /
   tatputraṃ tanmitraṃ tatputraṃ jayati tanmitram // Ckc_1.*22 //	tad-putram tat-mitram tad-putram jayati tat-mitram // Ckd-_1.*22 //
   vibhave jiṇuṃ devendraṃ, dhanuṣi tatputraṃ devendraputramarjunaṃ, naye	viBave jiNum deva-indraM, Danuzi tad-putram deva-indra-putram-arjunaM, naye
   devendraputramitraṃ vāsudevaṃ, vapuṣi devendraputramitraputraṃ pradyumnaṃ,	deva-indra-putra-mitram vAsudevan, vapuzi deva-indra-putra-mitra-putram pradyumnaM,
   rañjane devendraputramitramitraputramitraṃ candramiti vyavadhānāda	raQjane deva-indra-putra-mitra-mitra-putra-mitram candram-iti vyavaDAnAt-a
   durvitarkapratyayamapi tacchabdaprakramanirvāhād guṇatvam //	durvitarka-pratyayam-api tad-Sabda-prakrama-nirvAhAt guNa-tvam //
   mahāpuruṣahainyasūcane yathā	mahApuruza-hEnya-sUcane yaTA
   śrībharturāyatasuvarṇakarākṛteryad aṃśāstadāyatasuvarṇakarā dviṣaste /	SrI-BartuH-Ayata-suvarNa-kara-akRteH-yat aMSAH-tad-Ayata-suvarNa-karAH dvizaH-te /
   śrī siṅgabhūpa nagarārgaladīrgabāho tacve 'pyanāyatasuvarṇakaro 'si citram	SrI siFga-BUpa nagara-argala-dIrgabAho tat-ve api-anAyata-suvarNa-karaH asi citram
   // Ckc_1.*23 //	// Ckd-_1.*23 //
   atra āyato dīrghabhūtaḥ suvarṇaḥ sukāro yasyeti āyatasuvarṇaḥ tādṛśaḥ	atra AyataH dIrGa-BUtaH suvarNaH sukAraH yasya-iti Ayata-suvarNaH tAdRSaH
   karaśabdo yasya saḥ āyatasuvarṇakaraḥ sūkara ityarthaḥ /	kara-SabdaH yasya saH Ayata-suvarNa-karaH sUkaraH iti-arTaH /
   āyatasuvarṇakarākṛtiḥ sūkarākṛtiriti viṣṇostiryaktvakathanabhayena vaktrā	Ayata-suvarNa-kara-AkRtiH sUkara-AkRtiH-iti vizNoH-tiryaktva-kaTana-Bayena vaktrA
   dūrārthapratyayaḥ śabdaḥ prayukta iti guṇatvam /	dUra-arTa-pratyayaH SabdaH prayuktaH iti guNa-tvam /
   haṭhārthapratītyā ca yathā	haWa-arTa-pratItyA ca yaTA
   śaṃbhoḥ sthitā bhūṣaṇapeṭikāyāṃ śriyaḥ sapatnīmabhitaḥ sphurantī /	SaMBoH sTitA BUzaNa-pewikAyAm SriyaH sapatnIm-aBitas sPurantI /
   viṣṇoḥ padaṃ madhyamamāviśantī virājate siṅganṛpālakīrtiḥ // Ckc_1.*24 //	vizNoH padam maDyamam-AviSantI virAjate siFga-nRpAla-kIrtiH // Ckd-_1.*24 //
   atra śaṃbhubhūṣaṇapeṭikā pātālam, śrīsapatnī bhūmiḥ,	atra SaMBu-BUzaNa-pewikA pAtAlam, SrI-sapatnI BUmiH,
   madhyamaviṣṇupadamākāśamiti nātidurbodhatvādakleśakaramiti guṇatvam /	maDyama-vizNu-padam-AkASam-iti na-ati-durboDa-tvAt-akleSa-karam-iti guNa-tvam /
   deśaprasiddhaṃ vyutpattirahitaṃ deśyamucyate // Ckc_1.77 //	deSa-prasidDam vyutpatti-rahitam deSyam-ucyate // Ckd-_1.77 //
   yathā	yaTA
   pekāparītakamanīyanitambabimbā hālāmadadbiguṇapāṭalagaṇjerakhā /	peka-aparIta-kamanIya-nitamba-bimbA hAla-Amadat-biguNa-pAwala-gaNjeraKA /
   śrīsiṅgabhūpa bhavato mṛgayāvihāre kā vānuyāti yavanī paricārikeva //	SrI-siFga-BUpa BavataH mRgayA-vihAre kA vA-anuyAti yavanI paricArikA-iva //
   Ckc_1.*25 //	Ckd-_1.*25 //
   atra pekā paridhānabhastrā, halā madirā, ime deśye /	atra pekA pariDAna-BastrA, halAH madirA, ime deSye /
   nanu	nanu
   bhastrā peṭikayossāmyātpeṭikā madhyalopinī /	BastrA pewikayoH-sAmyAt-pewikA maDya-lopinI /
   pekā halā ca halinaḥ priyā deśyā na hīti cet // Ckc_1.78 //	pekA halA ca halinaH priyA deSyA na hi-iti ced // Ckd-_1.78 //
   kandāduṭṭīkata iti kandāṭṭāderadeśyat /	kandAduwwIkatas iti kanda-awwa-AdeH-adeSyat /
   itthaṃ niruktanirvāhā damaryādā praśasyate // Ckc_1.79 //	itTam nirukta-nirvAhA damaryAdA praSasyate // Ckd-_1.79 //
   tadidaṃ mārgasaṃkṣobhaprajñākaṇḍūtirujjhyām /	tat-idam mArga-saMkzoBa-prajQA-kaNxUtiH-ujJyAm /
   aṅkopālambanāmādau na deśyaṃ dūṣaṇaṃ bhavet // Ckc_1.80 //	aFka-upAlamba-nAma-AdO na deSyam dUzaNam Bavet // Ckd-_1.80 //
   aṅko birudaṃ /	aFkaH birudam /
   tatra yathā	tatra yaTA
   calamartigaṇḍabirudo jayati pratigaṇḍabhairavo rājā /	calam-arti-gaNxa-birudaH jayati pratigaNxa-BEravaH rAjA /
   saumakulaparaśurāmaḥ pāṇḍayavibhālo 'pyagāyi gopālaḥ // Ckc_1.*26 //	sOma-kula-paraSurAmaH pANxaya-viBAlaH api-agAyi gopAlaH // Ckd-_1.*26 //
   atra calamartigaṇḍādīnāṃ deśyatve birudatvādguṇatvam //	atra calam-arti-gaNxa-AdInAm deSya-tve biruda-tvAt-guNa-tvam //
   upārambhe yathā	upAramBe yaTA
   kiṃ dāruṇā koṃkaravaṃkareṇa kiṃ vāsasā cīṃgirimāṃgireṇa /	kim dAruNA koMkara-vaMkareNa kim vAsasA cIMgiri-mAMgireNa /
   śrīsiṅgabhūpāravilokanāya vaiduṣyamekaṃ sudhiyāṃ sahāyaḥ // Ckc_1.*27 //	SrI-siFga-BU-pAra-vilokanAya vEduzyam-ekam suDiyAm sahAyaH // Ckd-_1.*27 //
   atra koṅkaravaṃkareṇeti dūṣaṇaṃ padaṃ deśyam /	atra koFkara-vaMkareNa-iti dUzaNam padam deSyam /
   tādṛśena dāruṇā āndolikayetyarthaḥ /	tAdRSena dAruNAH AndolikayA-iti-arTaH /
   nānāvarṇavicitre cīṃgirimāṃgireṇeti padaṃ deśyam /	nAnA-varNa-vicitre cIMgiri-mAMgireNa-iti padam deSyam /
   tādṛśena vāsasā kiṃ paṭṭāṃśukenetyarthaḥ /	tAdRSena vAsasA kim pawwa-aMSukena-iti-arTaH /
   atra kaścidāndolikāpaṭṭāṃbarādyāḍaybara mativyayena sampādya nānādiganteṣu	atra kaScid-AndolikA-pawwa-aMbarAt-yAxaybara mati-vyayena sampAdya nAnA-AdiS-antezu
   rājāsthānāni vigāhya tadvyayamātramapyalabhamātaḥ ṛṇādhikatayā	rAja-AsTAnAni vigAhya tat-vyaya-mAtram-api-alaBa-mAtaH RNa-aDika-tayA
   klisyannāḍhambaraṃ vināpi nāyakamālokya tatkaruṇākaṭākṣasamagrībhūta	klisyan=-AXambaram vinA-api nAyakam-Alokya tad-karuNA-kawAkza-samagrIBUta-
   nānāvaibavassana kasmaicidāḍambararahitena bhavatā kathaṃ sampadīdṛśī	nAnA-vEba-vassana kasmEcid-Axambara-rahitena BavatA kaTam sampad-IdRSI
   sampāditeti pṛcchete janāya kevalaṃ	sampAditA-iti pRcCete janAya kevalam
   vyayakāriṇāndolikāpaṭṭapaṭādibāhyāḍambaravihmbanāpuraḥsaramuttaraṃ vadati	vyaya-kAriNA-ndolikA-pawwa-pawa-Adi-bAhya-Axambara-vihmbanA-puraHsaram-uttaram vadati
   tadatra koṃkaravaṃkarāderupālambanatvāt deśyatve '; pi sundaratvam //	tat-atra koMkaravaMkara-AdeH-upAlambana-tvAt deSya-tve a; pi sundara-tvam //
   nāmni yathā nāyakasyaiva vaṃśāvalyām --	nAmni yaTA nAyakasya-eva vaMSa-AvalyAm --
