   śrī-harināma-cintāmaṇi	SrI--hari-nAma-cintAmaNi
   kṛṣṇa ākarṣaye sarva viśva-gata jana /	kRzNaH Aka-rzaye sarva viSva--gata janaH /
   sei nitya dharma gata kṛṣṇa nāma dhana // HNC_2.19 //	sei nitya Darma gata kRzNa nAma DanaH // HNS_2.19 //
   kṛṣṇa-rūpa nitya	kRzNa--rUpa nitya
   kṛṣṇa-rūpa kṛṣṇa haite sarvadā abheda /	kRzNa--rUpa kRzNa ha-ete sarvadA aBeda /
   nāma rūpa eka vastu nāhika prabheda // HNC_2.20 //	nAma rUpaH eka vastu nAhika praBeda // HNS_2.20 //
   śrī-nāma smarile rūpa āise saṅge saṅge /	SrI-nAma smarile rUpaH Aise saFge saFge /
   rūpa nāma bhinna naya nāce nānā raṅge // HNC_2.21 //	rUpa nAma Binna naya nAce nAnA raFge // HNS_2.21 //
   kṛṣṇa-guṇa nitya	kRzNa-guNa nitya
   kṛṣṇa-guṇa catuḥ-ṣaṣṭhi ananta apāra /	kRzNa-guNa catur--zazWi ananta apAra /
   yāṅra nija aṃśa-rūpe saba avatāra // HNC_2.22 //	yAFra nija aMSa--rUpe sabaH avatAraH // HNS_2.22 //
   yāṅra guṇa aṃśe brahmā śivādi īśvara /	yAFra guNa aMSe brahmA Siva-Adi ISvara /
   yāṅra guṇe nārāyaṇa ṣaṣṭhi guṇeśvara // HNC_2.23 //	yAFra guNe nArAyaNa zazWi guNeSvara // HNS_2.23 //
   sei saba nitya-guṇe nitya nāma tāṅra /	sei saba nitya--guNe nitya nAma tAFraH /
   ananta saṅkhyāya vyāpta vaikuṇṭha vyāpāra // HNC_2.24 //	ananta saFKyAya vyApta vEkuNWa vyApAra // HNS_2.24 //
   kṛṣṇa-līlāra nityatva	kRzNa--lIlAra nitya-tva
   sei guṇa taraṅgete līlāra vistāra /	sei guNa taraFgete lIlAra vistAra /
   goloke vaikuṇṭha vraja saba cid-ākāre // HNC_2.25 //	go-loke vEkuNWa vraja sa-ba cit--a-AkAre // HNS_2.25 //
   cid-vastute nāma, rūpa, guṇa, līlā vastu haite pṛthak naya	cit--vastute nAma, rUpa, guNa, lIlA vastu ha-ete pRTak naya
   nāma rūpa guṇa līlā abhinna udaya /	nAma rUpa guNa lIlA aBinnaH udaya /
   acit samparke baddha jīve bhinna haya // HNC_2.26 //	acit samparke badDa jIve Binna haya // HNS_2.26 //
   śuddha jīve nāma rūpa guṇa kriyā eka /	SudDa jIve nAma rUpa guNa kriyA ekaH /
   jaḍāśrita dehe bheda ei se viveka // HNC_2.27 //	jaxa-ASrita dehe BedaH ei se viveka // HNS_2.27 //
   kṛṣṇe nāhi jaḍa-gandha ataeva tāṅya /	kRzNe na-ahi jaxa-ganDa ataeva tAFyaH /
   nāma rūpa guṇa līlā eka-tattva bhāya // HNC_2.28 //	nAma rUpa guNa lIlA eka-tattva BAyaH // HNS_2.28 //
   nāmera sarva-mūlatva	nAmera sarva-mUla-tva
   ei cāri paricaya madhye nāma tāṅra /	ei cAri paricaya maDye nAma tAFraH /
   sakalera ādi se pratīti sabākāra // HNC_2.29 //	sakaleraH Adi se prati-iti sa-bAkAraH // HNS_2.29 //
   ataeva nāma mātra vaiṣṇavera dharma /	ataeva nAma mA-atra vEzNavera DarmaH /
   nāme prasphuṭita haya rūpa guṇa karma // HNC_2.30 //	nAme prasPuwita haya rUpa guNa karma // HNS_2.30 //
   kṛṣṇera samagra līlā nāme vidyamāna /	kRzNera samagra lIlA nAme vidyamAnaH /
   nāme se parama tattva tomāra vidhāna // HNC_2.31 //	nAme se parama tat-tva tomAra viDAnaH // HNS_2.31 //
   vaiṣṇava o vaiṣṇava-prāye bheda āche	vEzNavaH aH vEzNava--prAye BedaH ACe
   sei nāma baddha jīva śraddhā sahakāre /	sei nAma badDa jIva SradDA sahakAre /
   śuddha rūpe laile vaiṣṇava bali tāre // HNC_2.32 //	SudDa rUpe lEle vEzNava bali tAre // HNS_2.32 //
   nāmābhāsa yāra haya se vaiṣṇava-prāya /	nAma-ABAsa yAra haya se vEzNava--prAyaH /
   kṛṣṇa-kṛpā bale krame śuddha bhāva pāya // HNC_2.33 //	kRzNa-kRpAH bale krame SudDa BAva pAyo // HNS_2.33 //
   ei māyika jagate kṛṣṇa-nāma o jīva ei duiṭi mātra cid-vyāpāra	ei mAyika jagate kRzNa--nAmaH aH jIvaH ei duiwi mA-atra cit--vyApAra
   nāma sama vastu nāi e bhava saṃsāre /	nAma sama vastu nAi e Bava saMsAre /
   nāme se parama dhana kṛṣṇera bhāṇḍāre // HNC_2.34 //	nAme se parama Dana kRzNera BANxAre // HNS_2.34 //
   jīva nije cid-vyāpāre kṛṣṇa-nāma āra /	jIva nije cit--vyApAre kRzNa-nAmaH AraH /
   āra saba prāpañcika jagat saṃsāra // HNC_2.35 //	Ara sabaH prApaQcika jagat saMsAra // HNS_2.35 //
   mukhya gauṇa bhede nāma dui prakāra	muKya gONa Bede nAma dui prakAra
   mukhya o gauṇa bhede kṛṣṇa-nāma dvi-prakāra /	muKyaH aH gONa Bede kRzNa--nAma dvi-prakAra /
   mukhya-nāmāśraye jīva pāya sarva sāra // HNC_2.36 //	muKya-nAma-ASraye jIva pAya sarve sAraH // HNS_2.36 //
   cil-līlā āśraya kari yata kṛṣṇa nāma /	cil-lIlA ASraya kari yata kRzNa nAma /
   sei sei mukhya nāma sarva guṇa dhāma // HNC_2.37 //	sei sei muKya nAma sarva guNa DAma // HNS_2.37 //
   mukhya nāma	muKya nAma
   govinda gopāla rāma śrī-nanda-nandana /	govinda gopAla rAma SrI-nanda-nandana /
   rādhānātha hari yaśomatī prāṇa-dhana // HNC_2.38 //	rADAna-aTa hari yaSomatI prANa-DanaH // HNS_2.38 //
   madana-mohana śyāmasundara mādhava /	madana--mohana SyAmasundara mADava /
   gopīnātha vraja-gopa rākhāla yādava // HNC_2.39 //	gopInATa vraja-gopa rAKAla yAdava // HNS_2.39 //
   ei rūpa nitya līlā prakāśaka nāma /	ei rUpa nitya lIlA prakASaka nAma /
   e saba kīrtane jīva pāya kṛṣṇa dhāma // HNC_2.40 //	e saba kIrtane jIva pAya kRzNa DAma // HNS_2.40 //
   gauṇa nāma o tāhāra lakṣaṇa	gONa nAma aH tAhAra lakzaNa
   jaḍā prakṛtira paricaye nāma yata /	jaxA prakRtiH-a paricaye nAma yatas /
   prakṛtira guṇe gauṇa vedera sammata // HNC_2.41 //	prakRtiH-a guNe gONa vedera sammataH // HNS_2.41 //
   sṛṣṭi-kartā paramātmā brahma sthiti-kara /	sRzwi-kartA paramAtmA brahma sTiti-karaH /
   jagat-saṃhartā pātā - yajñeśvara hara // HNC_2.42 //	jagat--saMhartA pAtAH  yajQeSvara hara // HNS_2.42 //
   mukhya o gauṇa nāmera phala-bheda	muKyaH aH gONa nAmera Pala-Beda
   ei-rūpa nāma karma-jñāna-kāṇḍa-gata /	ei--rUpa nAma karma--jQAna--kANxa-gataH /
   puṇya mokṣa dāna kare śāstrera sammata // HNC_2.43 //	puNya mokza dAna kare SAstrera sammataH // HNS_2.43 //
   nāmera ye mukhya phala kṛṣṇa prema dhana /	nAmera ye muKya Pala kRzNa prema DanaH /
   tāra mukhya nāme mātra labhe sādhu gaṇa // HNC_2.44 //	tAra muKya nAme mA-atra laBe sADu gaNaH // HNS_2.44 //
   nāma o nāmābhāsa-mātra phala-bheda	nAma aH nAma-ABAsa-mA-atra Pala-Beda
   eka kṛṣṇa-nāma yadi mukhe bāhirāya /	eka kRzNa--nAma yadi muKe bAhirAya /
   athavā śravaṇa-pathe antarete yāya // HNC_2.45 //	aTavA SravaNa--paTe antarete yAyaH // HNS_2.45 //
   śuddha varṇa haya vā aśuddha varṇa haya /	SudDa varNa haya vE aSudDa varNa haya /
   tāte jīva tare ei śāstrera nirṇaya // HNC_2.46 //	tAte jIva tare ei SAstrera nirNaya // HNS_2.46 //
   kintu eka kathā ithe āche suniścita /	kintu eka kaTAH iTe ACe su-niScitaH /
   nāmābhāsa haile vilambe haya hita // HNC_2.47 //	nAma-ABAsa ha-ele vilambe haya hitaH // HNS_2.47 //
   nāmābhāsa haile-o anya śubha haya /	nAma-ABAsa hEle-aH anyaH SuBa haya /
   prema-dhana kevala vilambe upajaya // HNC_2.48 //	prema-Dana kevala vilambe upajaya // HNS_2.48 //
   nāmābhāse pāpa-kṣaye śuddha nāma haya /	nAma-ABAse pApa--kzaye SudDa nAma haya /
   takhana-i śrī-kṛṣṇa-prema labhaye niścaya // HNC_2.49 //	taKana-i SrI--kRzNa--prema laBaye niScaya // HNS_2.49 //
   vyavahita vā vyavadhāne doṣe janme	vyavahita vA vyavaDAne doze janme
   kintu vyavahita hale haya aparādha /	kintu vyavahita hale haya aparADa /
   sei aparādhe haya prema-lābha bādha // HNC_2.50 //	sei aparADe haya prema--lABa bADa // HNS_2.50 //
   nāma-nāmī bheda-buddhi vyavadhāna haya /	nAma--nAmI Beda-budDi vyavaDAna haya /
   vyavahita thākile kadāpi prema naya // HNC_2.51 //	vyavahita TAkile kadApi prema naya // HNS_2.51 //
   vyavadhāna dui prakāra	vyavaDAna dui prakAra
   varṇa-vyavadhāna āra tattva-vyavadhāna /	varNa-vyavaDAnaH Ara tattva--vyavaDAnaH /
   vyavadhāna dvi-prakāra vedera vidhāna // HNC_2.52 //	vyavaDAna dvi-prakAra vedera viDAnaH // HNS_2.52 //
   māyāvāda-i nāme tattva-vyavadhāna kare	mAyA-vAda-i nAme tattva-vyavaDAna kare
   tattva-vyavadhāna māyāvāda duṣṭa mata /	tattva--vyavaDAna mAyA-vAda duzwa mataH /
   kalira jañjāla ei śāstra asammata // HNC_2.53 //	kalira jaQjAle ei SAstra asammataH // HNS_2.53 //
   vyavadhānābiddha nāma-i śuddha nāma	vyavaDAnAbidDa nAma-i SudDa nAma
   ataeva śuddha kṛṣṇa nāma yāṅra mukhe /	ataeva SudDa kRzNa nAma yAFra muKe /
   tāṅhāke vaiṣṇava jāni sadā sevi sukhe // HNC_2.54 //	tAFhAke vEzNava jAni sadA sevi suKe // HNS_2.54 //
   anartha yata naṣṭa haya tata-i nāmābhāsatva dūra haya o cinmaya nāma	anarTa yata nazwa haya tata-i nAma-ABAsa-tva dUra hayaH o cit-maya nAma
   prakāśa pāya	prakASa pAya
   nāmābhāsa bhedi śuddha-nāma labhibāre /	nAma-ABAsa Bedi SudDa--nAma laBi-bAre /
   sad-guru sevibe jīva yatna sahakāre // HNC_2.55 //	sat--guru sevibe jIva yatna sahakAre // HNS_2.55 //
   bhajane anartha nāśa yei kṣaṇe pāya /	Bajane anarTa nASa yei kzaNe pAyo /
   cit-svarūpa nāme nāce bhaktera jīhvāya // HNC_2.56 //	cit-svarUpa nAme nAce Baktera jIhvAya // HNS_2.56 //
   nāma se amṛta dhārā nāhi chāḍe āra /	nAma se amRta DArA nAhi CAxe AraH /
   nāma rase matta jīva nāce anivāra // HNC_2.57 //	nAma rase matta jIva nAce anivAraH // HNS_2.57 //
   nāma nāce jīva nāce nāce prema dhana /	nAma nAce jIva nAce nAce prema DanaH /
   jagat nācāya māyā kare palāyana // HNC_2.58 //	jagat nAcAya mAyA kare palAyane // HNS_2.58 //
   yāhāra nāme śraddhā haya tāhāra-i nāme adhikāra haiyā thāke nāme	yAhAra nAme SradDA haya tAhAra-i nAme aDikAra hEyAH TAke nAme
   sarva-śakti āche	sarva-Sakti ACe
   nāme adhikāra nara-mātre kaile dāna /	nAme aDikAra nara--mAtre kEle dAnaH /
   sarva-śakti nāme prabhu karile vidhāna // HNC_2.59 //	sarva-Sakti nAme praBu karile viDAnaH // HNS_2.59 //
   yāra śraddhā haya nāme sei adhikārī /	yAra SradDA haya nAme sei aDikArI /
   yāra mukhe kṛṣṇa-nāma sei se ācārī // HNC_2.60 //	yAra muKe kRzNa--nAma sei se AcArI // HNS_2.60 //
   deśa-kāla aśaucādira bādhā nāme nāi	deSa-kAla aSOcAt-ira bADA nAme nAi
   deśa kāla aśaucādi niyama sakāla /	deSa kAla aSOca-Adi niyama sakAla /
   śrī-nāma-grahaṇe nāi nāma se prabala // HNC_2.61 //	SrI-nAma-grahaNe nAi nAma se prabalaH // HNS_2.61 //
   kali-jīvera nāme niṣkapaṭa viśvāsa haile-i nāme adhikāra haila	kali-jIvera nAme nizka-pawa viSvAsa hEle-i nAme aDikAra hEla
   dāne yajñe snāne jape āche ta vicāra /	dAne yajQe snAne jape ACe te vicAra /
   kṛṣṇa-saṅkīrtane mātra śraddhā adhikāra // HNC_2.62 //	kRzNa--saFkIrtane mA-atra SradDA aDikAraH // HNS_2.62 //
   yuga-dharma hari-nāma ananya śraddhāya /	yuga-Darma hari-nAma ananye SradDAya /
   ye kare āśraya tāra sarva-lābha haya // HNC_2.63 //	ye kare ASraya tAra sarva--lABa haya // HNS_2.63 //
   kali jīva niṣkapaṭe kṛṣṇera saṃsāre /	kali jIva nizka-pawe kRzNera saMsAre /
   avasthita haye kṛṣṇa-nāma sadā kare // HNC_2.64 //	avasTita haye kRzNa--nAma sadA kare // HNS_2.64 //
   nāmera anukūla viṣaya grahaṇa o pratikūla visaya varjana	nAmera anukUla vizaya grahaNa aH pratikUla visaya varjana
   bhajanera anukūla sarva kāryya kari' /	Bajanera anukUla sarva kAryya kari-a /
   bhajanera pratikūla saba parihari' // HNC_2.65 //	Bajanera pratikUla sabaH parihari-a // HNS_2.65 //
   kṛṣṇera saṃsāre thāki' kāṭāye jīvana /	kRzNera saMsAre TAki-a kAwAye jIvana /
   nirantara hari-nāma karena smaraṇa // HNC_2.66 //	nirantara hari-nAma karena smaraNa // HNS_2.66 //
   ananya buddhite nāma grahaṇa karibe	ananya budDite nAma grahaNa karibe
   āra kona dharma karma kabhu nā karibe /	Ara kona Darma karma kaBu nA karibe /
   svatantra īśvara-jñāne anye nā pūjibe // HNC_2.67 //	svatantraH ISvara--jQAne anye nA pUjibe // HNS_2.67 //
   kṛṣṇa-nāma bhakta-sevā satata karibe /	kRzNa-nAma Bakta-sevA satata karibe /
   kṛṣṇa-prema lābha tāra avaśya ha-ibe // HNC_2.68 //	kRzNa--prema lABa tAra avaSya ha-ibe // HNS_2.68 //
   haridāsa kāṅdi prabhu caraṇe paḍiyā /	haridAsa kAFdi praBu caraNe paxiyA /
   nāme anurāga māge caraṇa dhariyā // HNC_2.69 //	nAme anurAga mAge caraNa DariyAH // HNS_2.69 //
   haridāsa pade bhaktivinoda yāhāra /	haridAsa pade Bakti-vinoda yAhAra /
   harināma cintāmaṇi jīvana tāhāra // HNC_2.70 //	hari-nAma cintAmaNi jIvana tAhAraH // HNS_2.70 //
   iti śrī-hari-nāma-cintāmaṇau	iti SrI-hari-nAma---cintAmaNO
   nāma-grahaṇa-vicāro nāma prathamaḥ paricchedaḥ /	nAma-grahaNa-vicAraH nAma praTamaH paricCedaH /
   tṛtīya pariccheda	tRtIya paricCeda
   nāmābhāsa vicāra	nAma-ABAsa vicAra
   gadāi gaurāṅga jaya jāhnavā jīvana /	gadAi gOra-aFga jaya jAhnavAH jIvana /
   sītādvaita jaya śrīvāsādi bhakta-jana // HNC_3.1 //	sItA-dvEta jaya SrI-vAsa-Adi Bakta--janaH // HNS_3.1 //
   haridāse mahāprabhu sadaya haiyā /	haridAse mahA-praBu sadayaH ha-eyAH /
   uṭhāya takhana padma-hasta prasāriyā // HNC_3.2 //	uWAya taKana padma-hasta prasAriyAH // HNS_3.2 //
   bale śuna haridāsa āmāra vacana /	bale Suna haridAsaH AmAra vacana /
   nāmābhāsa spaṣṭa-rūpe bujhāo ekhana // HNC_3.3 //	nAma-ABAsa spazwa--rUpe buJAaH eKanaH // HNS_3.3 //
   nāmābhāsa bujhāile nāma śuddha habe /	nAma-ABAsa buJAile nAma SudDa habe /
   anāyāse jīva nāma-guṇe tare yābe // HNC_3.4 //	anAyAse jIva nAma-guNe tare yAbe // HNS_3.4 //
   nāmābhāsa-megha kujjhaṭikā-rūpa ajñāna o anartha	nAma-ABAsa--meGa kujJawikA--rUpa ajQAnaH aH anarTa
   nāma sūrya-sama nāśe māyā andhakāra /	nAma sUrya-sama nASe mAyA anDakAra /
   megha kujjhaṭikā nāme ḍhāke bāra bāra // HNC_3.5 //	meGa kujJawikA nAme XAke bAra bAraH // HNS_3.5 //
   jīvera ajñāna āra anartha sakala /	jIvera ajQAnaH Ara anarTa sakalaH /
   kujjhaṭikā-megha-rūpe haya ta prabala // HNC_3.6 //	kujJawikA--meGa--rUpe haya te prabalaH // HNS_3.6 //
   kṛṣṇa-nāma sūrya citta-gagaṇe uṭhila /	kRzNa--nAma sUrya citta-gagaNe uWila /
   kujjhaṭikā-megha punaḥ tāhāre ḍhākila // HNC_3.7 //	kujJawikA--meGa punar tAhAre XAkila // HNS_3.7 //
   ajñāna kujjhaṭikā svarūpa bhrama	ajQAna kujJawikA svarUpa Brama
   nāmera ye cit svarūpa tāhā nāhi jāne /	nAmera ye cit svarUpa tAhAH nAhi jAne /
   se ajñāna kujjhaṭikā andhakāra āne // HNC_3.8 //	se ajQAna kujJawikAH anDakAraH Ane // HNS_3.8 //
   kṛṣṇa sarveśvara bali nāhi jāne yei /	kRzNa sarva-ISvara bali na-ahi jAne yei /
   nānā deve pūji karma-mārge bhrame sei // HNC_3.9 //	nAnA deve pUji karma--mArge Brame sei // HNS_3.9 //
   jīve cit svarūpa bali nāhi yāra jñāna /	jIve cit svarUpa bali na-ahi yAra jQAnaH /
   māyā jaḍāśraye tāra satata ajñāna // HNC_3.10 //	mAyA jaxa-ASraye tAra satataH ajQAnaH // HNS_3.10 //
   tabe haridāsa bale āja āmi dhanya /	tabe haridAsa bale Aja Ami DanyaH /
   mama mukhe nāma kathā śunibe caitanya // HNC_3.11 //	mama muKe nAma kaTA Sunibe cEtanyaH // HNS_3.11 //
   kṛṣṇa jīva prabhu dāsa jaḍātmikā māyā /	kRzNa jIva praBu dAsa jaxa-AtmikA mAyA /
   ye nā jāne tāra śire ajñānera chāyā // HNC_3.12 //	ye nA jAne tAra Sire ajQAnera CAyA // HNS_3.12 //
   megha anartha-asat-tṛṣṇā, hṛdaya-daurbalya, aparādha	meGa anarTa-asat--tRzNA, hRdaya--dOrbalya, aparADa
   asat-tṛṣṇā, hṛdaya-daurbalya, aparādha /	asat--tRzNA, hRdaya--dOrbalya, aparADa /
   anartha e saba megha-rūpe kare bādha // HNC_3.13 //	anarTaH e saba meGa-rUpe kare bADa // HNS_3.13 //
   nāma-sūrya raśmi ḍhāke nāmābhāsa haya /	nAma--sUrya raSmi XAke nAma-ABAsa haya /
   svataḥ siddha kṛṣṇa-nāme sadā ācchādaya // HNC_3.14 //	svatas sidDa kRzNa-nAme sadA AcCAdaya // HNS_3.14 //
   nāmābhāsera avadhi	nAma-ABAsera avaDi
   sambandha-tattvera jñāna yāvat nā haya /	sambanDa--tattvera jQAna yAvat nA haya /
   tāvat se nāmābhāsa jīvera āśraya // HNC_3.15 //	tAvat se nAma-ABAsa jIveraH ASraya // HNS_3.15 //
   sādhaka yadyapi pāya sad-guru āśraya /	sADaka yadi-api pAya sat--guru ASraya /
   bhajana-naipuṇye megha ādi dūra haya // HNC_3.16 //	Bajana--nEpuNye meGaH Adi dUra haya // HNS_3.16 //
   sambandha, abhidheya, prayojana	sambanDa, aBiDeya, prayojana
   megha kujjhaṭikā gele nāma-divākara /	meGa kujJawikA gele nAma--divAkara /
   prakāśa haiyā bhakte dena prema-vara // HNC_3.17 //	prakASa ha-eyAH Bakte dena prema-varaH // HNS_3.17 //
   sad-guru sambandha jñāna kariyā arpaṇa /	sat--guru sambanDa jQAna kariyAH arpaNa /
   abhidheya rūpe karāna nāmānuśīlana // HNC_3.18 //	aBiDeya rUpe karAna nAma-anuSIlana // HNS_3.18 //
   nāma-sūrya svalpa-kāle prabala haiyā /	nAma--sUrya su-alpa-kAle prabala ha-eyAH /
   anartha-kujjhaṭikā dena tāḍāiyā // HNC_3.19 //	anarTa--kujJawikA dena tAxAiyAH // HNS_3.19 //
   prayojana-tattva tabe dena prema-dhana /	prayojana--tattva tabe dena prema-Dana /
   prāpta-prema jīva kare nāma-saṅkīrtana // HNC_3.20 //	prApta--prema jIva kare nAma--saFkIrtana // HNS_3.20 //
   sambandha-jñāna	sambanDa--jQAna
   sad-guru-caraṇe jīva śraddhā sahakāre /	sat--guru--caraNe jIva SradDA sahakAre /
   prathame sambandha-jñāna pāya suvicāre // HNC_3.21 //	praTame sambanDa---jQAna pAya su-vicAre // HNS_3.21 //
   kṛṣṇa nitya prabhu āra jīva nitya dāsa /	kRzNa nitya praBu Ara jIva nitya dAsa /
   kṛṣṇa prema nitya jīva-svabhāva prakāśa // HNC_3.22 //	kRzNa prema nitya jIva-svaBAva prakASa // HNS_3.22 //
   kṛṣṇa nitya dāsa jīva tāhā vismariyā /	kRzNa nitya dAsa jIva tAhA vismariyAH /
   māyika jagate phire sukha anveṣiyā // HNC_3.23 //	mAyika jagate Pire suKa anveziyAH // HNS_3.23 //
   māyika jagat haya jīva kārāgāra /	mAyika jagat haya jIva kArAgAraH /
   jīvera vaimukhya doṣe daṇḍa pratikāra // HNC_3.24 //	jIvera vEmuKya doze daNxa pratikAraH // HNS_3.24 //
   tabe yadi jīva sādhu vaiṣṇava kṛpāya /	tabe yadi jIva sADu vEzNava kRpAya /
   sambandha jñānete punaḥ kṛṣṇa-nāma pāya // HNC_3.25 //	sambanDa jQAn-ete punar kRzNa--nAma pAyo // HNS_3.25 //
   tabe pāya prema-dhana sarva-dharma-sāra /	tabe pAya prema-Dana sarva-Darma-sAra /
   yāhāra nikaṭe sāyujyādira dhikkāra // HNC_3.26 //	yAhAra nikawe sAyujya-At-ira DikkAraH // HNS_3.26 //
   yāvat sambandha jñāna sthira nāhi haya /	yAvat sambanDa jQAna sTira na-ahi haya /
   tāvat anarthe nāmābhāsera āśraya // HNC_3.27 //	tAvat anarTe nAma-ABAseraH ASraya // HNS_3.27 //
   nāmābhāsera phala	nAma-ABAsera Pala
   nāmābhāsa daśāte-o aneka maṅgala /	nAma-ABAsa daSAte-aH aneka maFgala /
   jīvera avaśya haya sukṛti prabala // HNC_3.28 //	jIvera avaSya haya sukRti prabalaH // HNS_3.28 //
   nāmābhāse naṣṭa haya āche pāpa yata /	nAma-ABAse nazwa hayaH ACe pApa yatas /
   nāmābhāse mukti haya kali haya hata // HNC_3.29 //	nAma-ABAse mukti haya kali haya hata // HNS_3.29 //
   nāmābhāse nara haya supaṅkti pāvana /	nAma-ABAse nara haya su-paFkti pAvane /
   nāmābhāse sarva-roga haya nivāraṇa // HNC_3.30 //	nAma-ABAse sarva--roga haya nivAraNa // HNS_3.30 //
   sakala āśaṅkā nāmābhāse dūra haya /	sakalaH ASaFkA nAma-ABAse dUra haya /
   nāmābhāsī sarvāriṣṭa haite śānti pāya // HNC_3.31 //	nAma-ABAsI sarva-arizwa ha-ete SAnti pAyo // HNS_3.31 //
   yakṣa rakṣa bhūta preta graha samudaya /	yakza rakza BUta preta graha samudayaH /
   nāmābhāse sakala anartha dūre yāya // HNC_3.32 //	nAma-ABAse sakala anarTa dUre yAyaH // HNS_3.32 //
   narake patita loka sukhe mukti pāya /	narake patita loka suKe mukti pAyo /
   samasta prārabdha karma nāmābhāse yāya // HNC_3.33 //	samasta prArabDa karma nAma-ABAse yAyaH // HNS_3.33 //
   sarva-vedādhika sarva tīrtha haite baḍa /	sarva-veda-aDika sarva tIrTa ha-ete baxa /
   nāmābhāsa sarva-śubha-karma śreṣṭhatara // HNC_3.34 //	nAma-ABAsa sarva-SuBa-karma SrezWataraH // HNS_3.34 //
   nāmābhāsera vaikuṇṭhādi-prāpakatva	nAma-aBAsera vEkuNWa-Adi-prApaka-tva
   dharma artha kāma mokṣa catur-varga-dātā /	Darma arTa kAma mokza catur-varga-dAtA /
   sarva-śakti dhare nāmābhāse jīva-trātā // HNC_3.35 //	sarva-Sakti Dare nAma-ABAse jIva-trAtA // HNS_3.35 //
   jagat ānanda-kara śreṣṭha-pada-prada /	jagat Ananda-kara SrezWa-pada--prada /
   agatira eka gati sarva-śreṣṭha-pada // HNC_3.36 //	agatiraH eka gati sarva--SrezWa-padaH // HNS_3.36 //
   vaikuṇṭhādi loka prāpti nāmābhāse haya /	vEkuNWa-Adi loka prApti nAma-ABAse haya /
   viśeṣataḥ kali-yuge sarva-śāstra kaya // HNC_3.37 //	viSezataH kali--yuge sarva-SAstra kayaH // HNS_3.37 //
   saṅketa, parihāsa, stobha o helā ei cāri-prakāra nāmābhāsa	saFketa, parihAsa, stoBe aH helA ei ca-ari--prakAra nAma-ABAsa
   caturvidha nāmābhāsa ei mātra jāni /	caturviDa nAma-ABAsaH ei mA-atra jAni /
   saṅketa o parihāsa, stobha, helā māni // HNC_3.38 //	saFketa aH parihAsa, stoBa, helA mAni // HNS_3.38 //
   saṅketa-rūpa nāmābhāsera prakāra-dvaya	saFketa--rUpa nAma-aBAsera prakAra--dvaya
   viṣṇu lakṣya kari jaḍa buddhye nāma laya /	vizNu lakzya kari jaxa budDye nAma layaH /
   anya lakṣya kari viṣṇu nāma uccāraya // HNC_3.39 //	anyaH lakzya kari vizNu nAma uccAraya // HNS_3.39 //
