   atha śrīvāmanapurāṇam	aTa SrIvAmanapurANam
   tataḥ samāgatā raudrā nīlāñcanacayaprabhā /	tatas samAgatA rOdrAH nIlAQcana caya praBA /
   saraktamūrddhajā bhīmā brahmahatyā harāntikam // VamP_3.2 //	sa rakta mUrdDajA BImA brahmahatyA hara antikam // VamP_3.2 //
   tāmāgatāṃ haro dṛṣṭvā papraccha vikarālinīm /	tAm AgatAm haraH dRzwvA papracCa vikarAlinIm /
   kāsi tvamāgatā raudre kenāpyarthena tadvada // VamP_3.3 //	kA asi tvam AgatA rOdre kena api arTena tadvada // VamP_3.3 //
   kapālinamathovāca brahmahatyā sudāruṇā /	kapAlinam aTa uvAca brahmahatyA su dAruNA /
   brahmavadhyāsmi saṃprāptāṃ māṃ protīccha trilocana // VamP_3.4 //	brahma vaDyA asmi saMprAptAm mAm proti icCa trilocana // VamP_3.4 //
   ityevamuktvā vacanaṃ brahmahatyā viveśa ha /	iti evam uktvA vacanam brahmahatyA viveSa ha /
   triśūlapāṇinaṃ rudraṃ saṃpratāpitavigraham // VamP_3.5 //	triSUla pANinam rudram saMpratApita vigraham // VamP_3.5 //
   brahṇahatyābhibhūtaśca śarvo badarikāśramam /	brahNa hatyA aBiBUtaH ca SarvaH badarikASramam /
   āgacchanna dadarśātha naranārāyaṇāvṛṣī // VamP_3.6 //	AgacCan na dadarSa aTa nara nArAyaNO= RzI // VamP_3.6 //
   adṛṣṭvā dharmatanayau cintāśokasamanvitaḥ /	adRzwvA Darma tanayO cintA Soka samanvitaH /
   jagāma yamunāṃ snātuṃ sāpi śuṣkajalābhavat // VamP_3.7 //	jagAma yamunAm snAtum sA api Suzka jalA aBavat // VamP_3.7 //
   kālindīṃ śuṣkasalilāṃ nirīkṣya vṛṣaketanaḥ /	kAlindIm Suzka salilAm nirIkzya vRzaketanaH /
   plakṣajāṃ snātumagamadantarddhānaṃ ca sā gatā // VamP_3.8 //	plakzajAm snAtum agamat anta rdDAnam ca sA gatAH // VamP_3.8 //
   tatonu puṣkarāraṇyaṃ māgadhāraṇyameva ca /	tatas nu puzkara araNyam mAgaDa araNyam eva ca /
   saindhavāraṇyamevāsau gatvā snāto yathecchayā // VamP_3.9 //	sEnDava araNyam eva asO gatvA snAtaH yaTA icCayA // VamP_3.9 //
   tathaiva naimiṣāraṇyaṃ dharmāraṇyaṃ tatheśvaraḥ /	taTA eva nEmiza araNyam DarmAraNyam taTA ISvaraH /
   snāto naiva ca sā raudrā brahmahatyā vyamuñcata // VamP_3.10 //	snAtaH na eva ca sA rOdrAH brahmahatyA vyamuQcata // VamP_3.10 //
   saritsu tīrtheṣu tathāśrameṣu puṇyeṣu devāyataneṣu śarvaḥ /	saritsu tIrTezu taTA ASramezu puNyezu devAyatanezu SarvaH /
   samāyuto yogayuto 'pi pāpānnāvāpa mokṣaṃ jaladadhvajo 'sau // VamP_3.11 //	samAyutaH yoga yutaH api pApAt na avApa mokzam jalada DvajaH asO // VamP_3.11 //
   tato jagāma nirviṇṇaḥ śaṅkaraḥ kurujāṅgalam /	tatas jagAma nirviNNaH SaFkaraH kurujAFgalam /
   tatra gatvā dadarśātha cakrapāṇiṃ khagadhvājam // VamP_3.12 //	tatra gatvA dadarSa aTa cakrapANim Kaga DvAjam // VamP_3.12 //
   taṃ dṛṣṭvā puṇḍarīkākṣaṃ śaṅkhacakragadādharam /	tam dRzwvA puNxarIkAkzam SaFKa cakra gadA Daram /
   kṛtāñjalipuṭo bhūtvā haraḥ stotramudīrayat // VamP_3.13 //	kRta aQjali puwaH BUtvA haraH stotram udIrayat // VamP_3.13 //
   hara uvāca /	haraH uvAca /
   namaste devatānātha namaste garuḍadhvaja /	namaH te devatA nATa namaH te garuxaDvaja /
   śaṅkhacakragadāpāṇe vāsudeva namo 'stu te // VamP_3.14 //	SaFKa cakra gadA pANe vAsudeva namaH astu te // VamP_3.14 //
   namaste nirguṇānanta aprarkyāya vedhase jñānājñāna nirālamba sarvālamba	namaH te nirguNa ananta aprarkyAya veDase jQAna ajQAna nirAlamba sarva Alamba
   namo 'stu te // VamP_3.15 //	namaH astu te // VamP_3.15 //
   rajoyukta namaste 'stu brahmamūrte sanātana /	rajaH yukta namaH te astu brahmamUrte sanAtana /
   tvayā sarvamidaṃ nātha jagatsṛṣṭaṃ carācaram // VamP_3.16 //	tvayA sarvam idam nATa jagat sRzwam carAcaram // VamP_3.16 //
   sattvādhiṣṭhita lokeśa viṣṇumūrte adhokṣaja /	sattva aDizWita lokeSa vizNu mUrte aDokzaja /
   prajāpāla mahābāho janārdana namo 'stu te // VamP_3.17 //	prajApAla mahA bAho janArdana namaH astu te // VamP_3.17 //
   tamomūrtte ahaṃ hyeṣa tvadaṃśakrodhasaṃbhavaḥ /	tamaH mUrtte aham hi eza tvad aMSa kroDa saMBavaH /
   guṇābhiyukta deveśa sarvavyāpin namo 'stu te // VamP_3.18 //	guNa aBiyukta deveSa sarva vyApin namaH astu te // VamP_3.18 //
   bhūriyaṃ tvaṃ jagannātha jalāmbarahutāśanaḥ /	BUH iyam tvam jagannATa jala ambara hutASanaH /
   vāyurbuddhirmanaś cāpi śarvarī tvaṃ namo 'stu te // VamP_3.19 //	vAyuH budDiH manaH ca api SarvarI tvam namaH astu te // VamP_3.19 //
   dharmo yajñastapaḥ satyaṭamahiṃsā śaucamārjavam /	DarmaH yajQaH tapaH sati awam ahiMsA SOcam Arjavam /
   kṣamā dānaṃ dayā lakṣamīrbrahmacaryaṃ tvamīśvara // VamP_3.20 //	kzamA dAnam dayA lakzamIH brahmacaryam tvam ISvara // VamP_3.20 //
   tvaṃ sāṅgāścaturo vedāstvaṃ vedyo vedapāragaḥ /	tvam sa aFgAH caturaH vedAH tvam vedyaH vedapAragaH /
   upavedā bhavānīśa sarvo 'si tvaṃ namo 'stu te // VamP_3.21 //	upavedA BavAn ISa sarvaH asi tvam namaH astu te // VamP_3.21 //
   namo namaste 'cyutata cakrapāṇe namo 'stu te mādhava mīnamūrte /	namaH namaH te acyutata cakrapANe namaH astu te mADava mIna mUrte /
   loke bhavān kāruṇiko mato me trāyasva māṃ keśva pāpabandhāt // VamP_3.22	loke BavAn kAruNikaH mataH me trAyasva mAm keSva pApa banDAt // VamP_3.22
   mamāśubhaṃ nāśaya vigrahasthaṃ yad brahmahatyābhibhavaṃ babhūva /	mama aSuBam nASaya vigraha sTam yat brahmahatyA aBiBavam baBUva /
   dagdho 'smi naṣṭo 'smyasamīkṣyakārī punīhi tīrtho 'si namo namaste //	dagDaH asmi nazwaH asmi asamIkzya kArI punIhi tIrTaH asi namaH namaH te //
   VamP_3.23 //	VamP_3.23 //
   pulastya uvāca /	pulastyaH uvAca /
   itthaṃ stutaścakradharaḥ śaṅkareṇa mahātmanā /	itTam stutaH cakraDaraH SaFkareNa mahAtmanA /
   provāca bhagavān vākyaṃ brahmahatyākṣayāya hi // VamP_3.24 //	provAca BagavAn vAkyam brahmahatyA kzayAya hi // VamP_3.24 //
   hiriruvāca /	hiriH uvAca /
   maheśvara śṛṇuṣvemāṃ mama vācaṃ kalasvanām /	maheSvara SRNuzva imAm mama vAcam kala svanAm /
   brahmahatyākṣayakarīṃ śubhadāṃ puṇyavardhanīm // VamP_3.25 //	brahmahatyA kzaya karIm SuBa dAm puNya varDanIm // VamP_3.25 //
   yo 'sau prāṅmaṇḍale puṇye madaṃśaprabhavo 'vyayaḥ /	yaH asO prAc maNxale puNye mad aMSa praBavaH avyayaH /
   prayāge vasate nityaṃ yogaśāyīti viśrutaḥ // VamP_3.26 //	prayAge vasate nityam yogaSAyI iti viSrutaH // VamP_3.26 //
   caraṇād dakṣīṇāttsya viniryātā saridvarā /	caraNAt dakzINAt tsya viniryAtA sarit varAH /
   viśrutā varaṇetvayeva sarvapāpaharā śubhā // VamP_3.27 //	viSrutA varaNetvayA iva sarva pApa harA SuBA // VamP_3.27 //
   savyādanyā dvitīyā ca asirityeva viśrutā /	savyAt anyA dvitIyA ca asiH iti eva viSrutA /
   te ubhe saricchreṣṭhe lokapūjye babhūvatuḥ // VamP_3.28 //	te uBe sarit SrezWe loka pUjye baBUvatuH // VamP_3.28 //
   tābhyāṃ madhye tu yo deśastatkṣetraṃ yogaśāyinaḥ /	tAByAm maDye tu yaH deSaH tad kzetram yoga SAyinaH /
   trailokyapravaraṃ tīrthaṃ sarvapāpapramocanam /	trElokya pravaram tIrTam sarva pApa pramocanam /
   na tādṛśo 'sti gagane na bhūbhyāṃ na rasātale // VamP_3.29 //	na tAdRSaH asti gagane na BUByAm na rasAtale // VamP_3.29 //
   tatrāsti nagarī puṇyā khyātā vārāṇasī śubhā /	tatra asti nagarI puNyA KyAtA vArANasI SuBA /
   yasyāṃ hi bhogino 'pīśa prayānti bhavato layam // VamP_3.30 //	yasyAm hi BoginaH api ISa prayAnti BavataH layam // VamP_3.30 //
   vilāsinīnāṃ raśanāsvanena śrutisvanairbrahmaṇapuṅgavānām /	vilAsinInAm raSanA svanena Sruti svanEH brahmaNa puFgavAnAm /
   śucisvaratvaṃ guravo niśamya hāsyādaśāsanta muhurmuhustān // VamP_3.31 //	Suci svara tvam guravaH niSamya hAsyAt aSAsanta muhur muhur tAn // VamP_3.31 //
   vrajatsu yoṣitsu catuṣpatheṣu padānyalaktāruṇitāni dṛṣṭvā /	vrajatsu yozitsu catuzpaTezu padAni alakta aruNitAni dRzwvA /
   yayau śaśī vismayameva yasyāṃ kiṃsvit prayātā sthālapadminīyam //	yayO SaSI vismayam eva yasyAm kiMsvid prayAtA sTAlapadminIyam //
   VamP_3.32 //	VamP_3.32 //
   tuṅgani yasyāṃ suramandirāṇi rundhanti candraṃ rajanīsukheṣu /	tuFgani yasyAm sura mandirANi runDanti candram rajanI suKezu /
   divāpi sūryaṃ pavanāplutābhirdīrghābhirevaṃ supatākikābhiḥ // VamP_3.33 //	divA api sUryam pavana AplutABiH dIrGABiH evam supatAkikABiH // VamP_3.33 //
   bhṛṅgāśca yasyāṃ śaśikāntabhittau pralobhyamānāḥ pratibimbiteṣu /	BRFgAH ca yasyAm SaSikAnta BittO praloByamAnAH pratibimbitezu /
   āleśyayoṣidvimalānanābjeṣvīyurbhramānnaiva ca puṣpakāntaram // VamP_3.34	AleSya yozit vimala Anana abjezu IyuH BramAt na eva ca puzpaka antaram // VamP_3.34
   pariśramaścāpi parājiteṣu nareṣu saṃmohanakhelanena /	pariSramaH ca api parAjitezu narezu saMmohana Kelanena /
   yasyāṃ jasakrīḍanasaṃgatāsu na strīṣu saṃbho gṛhadīrghokāsu // VamP_3.35	yasyAm jasa krIxana saMgatAsu na strIzu saMBo gRha dIrGokAsu // VamP_3.35
   na caiva kaścit paramandirāṇi ruṇaddhi śaṃbho sahasā ṛte 'kṣan /	na ca eva kaScid para mandirANi ruNadDi SaMBo sahasA Rte akzan /
   na cābalānāṃ tarasā parākramaṃ karoti yasyāṃ surataṃ hi maktvā //	na ca abalAnAm tarasA parAkramam karoti yasyAm suratam hi maktvA //
   VamP_3.36 //	VamP_3.36 //
   pāśagranthirgajendrāṇāṃ dānacchedo madacyutau /	pASa granTiH gaja indrANAm dAna= CedaH mada cyutO /
   yasyāṃ mānamadau puṃsāṃ kariṇāṃ yauvanāgame // VamP_3.37 //	yasyAm mAna madO puMsAm kariNAm yOvana Agame // VamP_3.37 //
   priyadoṣāḥ sadā yasyāṃ kauśikā netare janāḥ /	priya dozAH sadA yasyAm kOSikAH na itare janAH /
   tārāgaṇe 'kulīnatvaṃ gadye vṛttacyutirvibho // VamP_3.38 //	tArA gaNe akulIna tvam gadye vRtta cyutiH viBo // VamP_3.38 //
   bhṛtacilubdhā vilāsinyo bhujaṅgaparivāritāḥ /	BRta cilubDAH vilAsinyaH BujaFga parivAritAH /
   candrabhūṣitadehāśca yasyāṃ tvamiva śaṅkara // VamP_3.39 //	candra BUzita dehAH ca yasyAm tvam iva SaFkara // VamP_3.39 //
   īdṛśāyāṃ sureśāna vārāṇasyāṃ mahāśrame /	IdRSAyAm sureSAna vArANasyAm mahA ASrame /
   vasate bhavāṃllolaḥ sarvapāpaharo raviḥ // VamP_3.40 //	vasate BavAn= lolaH sarva pApa haraH raviH // VamP_3.40 //
   daśāśvamedhaṃ yatproktaṃ madaṃśo yatra keśavaḥ /	daSa aSvameDam yat proktam mad aMSaH yatra keSavaH /
   tatra gatvā suraśreṣṭha pāpamokṣamavāpsyasi // VamP_3.41 //	tatra gatvA suraSrezWa pApa mokzam avApsyasi // VamP_3.41 //
   ityevamukto garu.ḍadhvajena vṛṣadhvajastaṃ śirasā praṇamya /	iti evam uktaH garu.xaDvajena vRzaDvajaH tam SirasA praNamya /
   jagāma vegād garuḍo yathāsau vārāṇasīṃ pāpavimocanāya // VamP_3.42 //	jagAma vegAt garuxaH yaTA asO vArANasIm pApa vimocanAya // VamP_3.42 //
   gatvā supuṇyāṃ nagarīṃ sutīrthāṃ dṛṣṭvā ca lolaṃ sadaśaśvamedham /	gatvA su puNyAm nagarIm sutIrTAm dRzwvA ca lolam sadaSaSvameDam /
   snātvā ca tīrtheṣu vimuktapāpaḥ sa keśavaṃ draṣṭumupājagāma // VamP_3.43	snAtvA ca tIrTezu vimukta pApaH sa keSavam drazwum upAjagAma // VamP_3.43
   keśavaṃ śaṅkaro dṛṣṭvā praṇipatyedamabravīt /	keSavam SaFkaraH dRzwvA praNipatya idam abravIt /
   tavatprasādād hṛṣīkeśa brahmahatyā kṣayaṃ gatā // VamP_3.44 //	tavat prasAdAt hRzIkeSa brahmahatyA kzayam gatAH // VamP_3.44 //
   nedaṃ kapālaṃ deveśa maddhastaṃ parimuñcati /	na idam kapAlam deveSa mad hastam parimuQcati /
   kāraṇaṃ vedmi na ca tadetanme vaktumarhasi // VamP_3.45 //	kAraNam vedmi na ca tat etat me vaktum arhasi // VamP_3.45 //
   pulastya uvāca/ /	pulastyaH uvAca/ /
   mahādevavacaḥ śrutvā keśavo vākyamabravīt /	mahAdeva vacaH SrutvA keSavaH vAkyam abravIt /
   vidyate kāraṇaṃ rudra tatsarvaṃ kathayāmi te // VamP_3.46 //	vidyate kAraNam rudra tat sarvam kaTayAmi te // VamP_3.46 //
   yo 'sau mamāgrato divyo hradaḥ padmotpalairyutaḥ /	yaH asO mama agratas divyaH hradaH padma utpalEH yutaH /
   eṣa tīrthavaraḥ puṇyo devagandharvapūjitaḥ // VamP_3.47 //	eza tIrTa varaH puNyaH deva ganDarva pUjitaH // VamP_3.47 //
   etasminpravare tīrthe knānaṃ śaṃbho samācara /	etasmin pravare tIrTe knAnam SaMBo samAcara /
   snātamātrasya cādyaiva kapālaṃ parimokṣyati // VamP_3.48 //	snAta mAtrasya ca adya eva kapAlam parimokzyati // VamP_3.48 //
   tataḥ kapālī loke ca khyāto rudra bhaviṣyasi /	tatas kapAlI loke ca KyAtaH rudra Bavizyasi /
   kapālamocanetyevaṃ tīrthaṃ cedaṃ bhaviṣyati // VamP_3.49 //	kapAlamocanA iti evam tIrTam ca idam Bavizyati // VamP_3.49 //
   pulastya uvāca /	pulastyaH uvAca /
   evamuktaḥ sureśena keśavena maheśvaraḥ /	evam uktaH sureSena keSavena maheSvaraH /
   kapālamocane sasnau vedostavidhinā mune // VamP_3.50 //	kapAla mocane sasnO veda UH ta viDinA mune // VamP_3.50 //
   snātasya tīrthe tripurāntakasya paricyutaṃ hastatalāt kapālam /	snAtasya tIrTe tripurAntakasya paricyutam hasta talAt kapAlam /
   nāmnā babhūvātha kapālamocanaṃ tattīrthavaryaṃ bhagavatprasādāt //	nAmnA baBUva aTa kapAlamocanam tat tIrTa varyam Bagavat prasAdAt //
   VamP_3.51 //	VamP_3.51 //
   iti śrīvāmapurāṇe tṛtīyo 'dhyayaḥ	iti SrI vAmapurANe tRtIyaH aDyayaH
   pulastya uvāca /	pulastyaH uvAca /
   evaṃ kapālī saṃjāto devarṣe bhagavānharaḥ /	evam kapAlI saMjAtaH deva Rze BagavAn haraH /
   anena kāraṇenāsau dakṣeṇa na nimantritaḥ // VamP_4.1 //	anena kAraNena asO dakzeNa na nimantritaH // VamP_4.1 //
   kapālijāyeti satīṃ vijñāyātha prajāpatiḥ /	kapAli jAya iti satIm vijQAya aTa prajApatiH /
   yajñe cārhāpi duhitā dakṣeṇa na nimantritā // VamP_4.2 //	yajQe ca arha api duhitA dakzeNa na nimantritAH // VamP_4.2 //
   etasminnantare devīṃ draṣṭuṃ gautamanandinī /	etasmin= antare devIm drazwum gOtama nandinI /
   jayā jagāma śailendraṃ mandaraṃ cārukandaram // VamP_4.3 //	jayA jagAma SElendram mandaram cAru kandaram // VamP_4.3 //
   tāmāgatāṃ satī dṛṣṭvā jayamekāmuvāca ha /	tAm AgatAm satI dRzwvA jayam ekAm uvAca ha /
   kimarthaṃ vijayā nāgājjayantī cāparājitā // VamP_4.4 //	kimarTam vijayA nAgAt jayantI ca aparAjitAH // VamP_4.4 //
   sā devyā vacanaṃ śrutvā uvāca parameśvarīm /	sA devyAH vacanam SrutvA uvAca parameSvarIm /
   gatā nimantritāḥ sarvā makhe mātāmahasya tāḥ // VamP_4.5 //	gatAH nimantritAH sarvAH maKe mAtAmahasya tAH // VamP_4.5 //
   samaṃ pitrā gautamena mātrā caivāpyahalyayā /	samam pitrA gOtamena mAtrA ca eva api ahalyayA /
   ahaṃ samāgatā draṣṭuṃ tvāṃ tatra gamanotsukā // VamP_4.6 //	aham samAgatAH drazwum tvAm tatra gamana utsukAH // VamP_4.6 //
   kiṃ tvaṃ na vrajase tatra tathā devo maheśvaraḥ /	kim tvam na vrajase tatra taTA devaH maheSvaraH /
   nāmantritāsi tātena utāhosvid vrajiṣyasi // VamP_4.7 //	na amantritA asi tAtena uta Ahosvit vrajizyasi // VamP_4.7 //
   gatāstu ṛṣayaḥ sarve ṛṣipatnyaḥ surāstathā /	gatAH tu RzayaH sarve Rzi patnyaH surAH taTA /
   mātṛṣvasaḥ śaśāṅkaśca sapatnīko gataḥ kratum // VamP_4.8 //	mAtRzvasaH SaSAFkaH ca sa patnIkaH gataH kratum // VamP_4.8 //
   caturdaśasu lokeṣu jantavo ye carācarāḥ /	caturdaSasu lokezu jantavaH ye carAcarAH /
   nimantritāḥ kratau sarve kiṃ nāsi tvaṃ nimantritā // VamP_4.9 //	nimantritAH kratO sarve kim na asi tvam nimantritAH // VamP_4.9 //
   pulastya uvāca/ /	pulastyaH uvAca/ /
   jayāyāstadvacaḥ śrutvā vajrapātasamaṃ satī /	jayAyAH tad vacaH SrutvA vajra pAta samam satI /
   manyunābhiplutā brahman pañcatvamagamat tataḥ // VamP_4.10 //	manyunA aBiplutAH brahman paQcatvam agamat tatas // VamP_4.10 //
   jayā mṛtāṃ satīṃ dṛṣṭvā krodhaśokapariplutā /	jayA mRtAm satIm dRzwvA kroDa Soka pariplutAH /
   muñcatī vāri netrābhyāṃ sasvaraṃ vilalāpa ha // VamP_4.11 //	muQcatI vAri netrAByAm sa svaram vilalApa ha // VamP_4.11 //
   ākranditadhvaniṃ śrutvā śūlapāṇistrilocanaḥ /	Akrandita Dvanim SrutvA SUlapANiH trilocanaH /
   āḥ kimetaditītyuktvā jayābhyāśamupāgataḥ // VamP_4.12 //	AH kim etat iti iti uktvA jaya aByASam upAgataH // VamP_4.12 //
   āgato dadṛśe devīṃ latāmiva vanaspateḥ /	AgataH dadRSe devIm latAm iva vanaspateH /
   kṛttāṃ paraśunā bhūmau ślathāṅgīṃ patitāṃ satīm // VamP_4.13 //	kRttAm paraSunA BUmO SlaTa aFgIm patitAm satIm // VamP_4.13 //
   devīṃ nipatitāṃ dṛṣṭvā jayāṃ papraccha śaṅkaraḥ /	devIm nipatitAm dRzwvA jayAm papracCa SaFkaraH /
   kimiyaṃ patitā bhūmau nikṛtteva latā satī // VamP_4.14 //	kim iyam patitA BUmO nikRttA iva latA satI // VamP_4.14 //
   sā śaṅkaravacaḥ śrutvā jayā vacanamabravīt /	sA SaFkara vacaH SrutvA jayA vacanam abravIt /
   śratvā makhasthā dakṣasya bhaginyaḥ patibhiḥ saha // VamP_4.15 //	SratvA maKa sTAH dakzasya BaginyaH patiBiH saha // VamP_4.15 //
   ādityādyāstrilokeśa samaṃ śakrādibhiḥ suraiḥ /	Aditya AdyAH triloka ISa samam Sakra AdiBiH surEH /
   mātṛṣvasā vipanneyamantarduḥkhena dahyatī // VamP_4.16 //	mAtRzvasA vipannA iyam antar duHKena dahyatI // VamP_4.16 //
   pulastya uvāca /	pulastyaH uvAca /
   etacchrutvā vaco raudraṃ rudraḥ krodhāpluto babhau /	etat SrutvA vacaH rOdram rudraH kroDa AplutaH baBO /
   kruddhasya sarvagātrebhyo niśceruḥ sahasārciṣaḥ // VamP_4.17 //	krudDasya sarva gAtreByaH niSceruH sahasA arcizaH // VamP_4.17 //
   tataḥ krodhāt trinetrasya gātraromodbhāva mune /	tatas kroDAt trinetrasya gAtra roma udBAva mune /
   gaṇāḥ siṃhamukhā jātā vīrabhadrapurogamāḥ // VamP_4.18 //	gaNAH siMha muKAH jAtAH vIraBadra purogamAH // VamP_4.18 //
   gaṇaiḥ parivṛtastasmānmandarāddhimasāhvayam /	gaNEH parivRtaH tasmAt mandarAt himasAhvayam /
   gataḥ kanakhalaṃ tasmād yatra dakṣo 'yajat kratum // VamP_4.19 //	gataH kanaKalam tasmAt yatra dakzaH ayajat kratum // VamP_4.19 //
   tato gaṇānāmadhipo vīrabhadro mahābalaḥ /	tatas gaNAnAm aDipaH vIraBadraH mahA balaH /
   diśi pratīcyuttarāyāṃ tasthau śūladharo mune // VamP_4.20 //	diSi pratIcI uttarAyAm tasTO SUlaDaraH mune // VamP_4.20 //
   jayā krodhād gadāṃ gṛhya pūrvadakṣiṇataḥ sthitā /	jayA kroDAt gadAm gRhya pUrva dakziNatas sTitA /
   madhye triraśūladhṛk śarvastasthau krodhānmahāmune // VamP_4.21 //	maDye tris a SUla DRk SarvaH tasTO kroDAt mahA mune // VamP_4.21 //
   maḍagārivadanaṃ dṛṣṭvā devāḥ śakrapurogamāḥ /	maxa gAri vadanam dRzwvA devAH Sakra purogamAH /
   ṛṣayo yakṣagandharvāḥ kimidaṃ tvityacintayan // VamP_4.22 //	RzayaH yakza ganDarvAH kim idam tu iti acintayan // VamP_4.22 //
   tatastu dhanurādāya śarāṃścāśīviṣopamān /	tatas tu DanuH AdAya SarAn= ca ASIviza upamAn /
   dvārapālastadā dharmo vīrabhadramupādravat // VamP_4.23 //	dvArapAlaH tadA DarmaH vIraBadram upAdravat // VamP_4.23 //
   tamāpatantaṃ sahasā dharmaṃ dṛṣṭvā gaṇeśvaraḥ /	tam Apatantam sahasA Darmam dRzwvA gaNeSvaraH /
   kareṇaikena jagrāha triśulaṃ vahnisannibham // VamP_4.24 //	kareNa ekena jagrAha tri Sulam vahni sanniBam // VamP_4.24 //
   kārmukaṃ ca dvitīyena tṛtīyenātha mārgaṇān /	kArmukam ca dvitIyena tRtIyena aTa mArgaNAn /
   caturthena gadāṃ gṛhya dharmamabhyadravad gaṇaḥ // VamP_4.25 //	caturTena gadAm gRhya Darmam aByadravat gaNaH // VamP_4.25 //
   tataścaturbhujaṃ dṛṣṭvā dharmarājo gaṇeśvaram /	tatas caturBujam dRzwvA DarmarAjaH gaNeSvaram /
   tasthāvaṣṭabhunajo bhūtvā nānāyudhadharo 'vyayaḥ // VamP_4.26 //	tasTO= azwa Buna jaH BUtvA nAnA AyuDa DaraH avyayaH // VamP_4.26 //
   khaḍgacarmagadāprāsaparaśvadhavarāṅkuśaiḥ /	Kaxga carma gadA prAsa paraSva Da vara aFkuSEH /
   cāpamārgaṇabhṛttasthau hantukāmo gaṇeśvaram // VamP_4.27 //	cApa mArgaNa BRt ta sTO hantu kAmaH gaNeSvaram // VamP_4.27 //
   gaṇeśvaro 'pi saṃkruddho hantuṃ dharma sanātanam /	gaNeSvaraH api saMkrudDaH hantum Darma sanAtanam /
   vavarṣa mārgaṇāstīkṣṇān yathā prāvṛṣi toyadaḥ // VamP_4.28 //	vavarza mArgaNAH tIkzNAn yaTA prAvRzi toyadaH // VamP_4.28 //
   tāvanyonyaṃ mahātmānau śaracāpadharau mune /	tO= anyonyam mahAtmAnO Sara cApa DarO mune /
   rudhirāruṇasiktāṅgau kiṃśukāviva rejatuḥ // VamP_4.29 //	ruDira aruNa sikta aFgO kiMSukO= iva rejatuH // VamP_4.29 //
   tato varāstrairgaṇanāyakena jitaḥ sa dharmaḥ tarasā prasahya /	tatas vara astrEH gaNa nAyakena jitaH sa DarmaH tarasA prasahya /
   parāṅmukho 'bhūdvimanā munīndra sa vīrabhadraḥ praviveśa yajñam / /	parAFmuKaH aBUt vimanAH muni indra sa vIraBadraH praviveSa yajQam / /
   4.30 yajñāvāṭaṃ praviṣṭaṃ taṃ vīrabhadraṃ gaṇeśvaram /	4.30 yajQAvAwam pravizwam tam vIraBadram gaNeSvaram /
   dṛṣṭvā tu sahasā devā uttasthuḥ sāyudhā mune // VamP_4.31 //	dRzwvA tu sahasA devAH uttasTuH sa AyuDAH mune // VamP_4.31 //
   vasavo 'ṣṭau mahābhāgā grahā nava sudāruṇāḥ /	vasavaH azwO mahABAgAH grahAH nava su dAruNAH /
   indrādyā dvādaśādityā rudrāstvekādaśaiva hi // VamP_4.32 //	indra AdyAH dvAdaSa AdityAH rudrAH tu ekAdaSa eva hi // VamP_4.32 //
   viśvedevāśca sādhyāśca siddhagandharvapannagāḥ /	viSvedevAH ca sADyAH ca sidDa ganDarva pannagAH /
   yakṣāḥ kiṃpuruṣāścaiva khagāśkradharāstathā // VamP_4.33 //	yakzAH kiMpuruzAH ca eva Kaga aSkra DarAH taTA // VamP_4.33 //
