   Nāṭakacandrikā	NAwaka-candrikA
   mukha-pratimukhe garbha-vimarśāv upasaṃhṛtiḥ |	muKa--pratimuKe garBa--vimarSO upasaMhRtiH |
   pañcaite sandhayas teṣu mukha-lakṣaṇam ucyate // RNc_46 //	paQca-ete sanDayaH tezu muKa--lakzaNam ucyate // RNt-_46 //
   atha mukham --	aTa muKam --
   mukhaṃ bīja-samutpattir nānārtha-rasa-sambhavā |	muKam bIja--samutpattiH nAnA-arTa--rasa-samBavA |
   atra tu dvādaśāṅgāni bījārambhānurodhataḥ // RNc_47 //	atra tu dvAdaSa-aFgAni bIja-AramBa-anuroDataH // RNt-_47 //
   rādhā-mādhavayor atra prema-bīja-samudbhavaḥ |	rADA--mADavayoH atra prema-bIja--samudBavaH |
   sūcitaḥ sauṣṭavāt tatra yathā lalita-mādhave // RNc_48 //	sUcitaH sOzwavAt tatra yaTA lalita--mADave // RNt-_48 //
   upakṣepaḥ parikaraḥ parinyāso vilobhanam |	upakzepaH parikaraH parinyAsaH viloBanam |
   yuktiḥ prāptiḥ samādhānaṃ vidhānaṃ paribhāvanā // RNc_49 //	yuktiH prAptiH samADAnam viDAnam pariBAvanAH // RNt-_49 //
   udbheda-bheda-karaṇāny eṣāṃ lakṣaṇam ucyate |	udBeda--Beda-karaNAni ezAm lakzaNam ucyate |
   tatropakṣepaḥ --	tatra-upakzepaH --
   upakṣepas tu bījasya sūcanaṃ kathyate budhaiḥ // RNc_50 //	upakzepaH tu bIjasya sUcanam kaTyate buDEH // RNt-_50 //
   yathā lalita-mādhave prathame'ṅke (1.14)	yaTA lalita--mADave praTame-aFke (1.14)
   paurṇamāsī -- (hanta rādhā-mādhavayor iti paṭhitvā) vatse gārgi śrūyatām |	pOrNamAsI - (hanta rADA--mADavayoH iti paWitvA) vatse gArgi SrUyatAm |
   kṛṣṇāpāṅga-taraṅgita-dyumaṇijāsambheda-veṇīkṛte	kRzNa-apAFga-taraFgita--dyu-maNijA-samBeda--veNIkRte
   rādhāyāḥ smita-candrikā-suradhunī-pure nipīyāmṛtam |	rADAyAH smita--candrikA--suraDunI--pure nipIya-amRtam |
   antas toṣa-tuṣāra-sampravalava-vyālīḍhatāpoccayāḥ	antar toza--tuzAra--sampravalava--vyAlIXa-tApa-uccayAH
   krāntvā sapta jaganti samprati vayaṃ sarvordhvam adhyāsmahe ||	krAntvA sapta jaganti samprati vayam sarva-UrDvam aDyAsmahe ||
   atra rādhā-mādhavayor anurāga-bījasya sūcanam upakṣepaḥ |	atra rADA--mADavayoH anurAga-bIjasya sUcanam upakzepaH |
   atha parikaraḥ --	aTa parikaraH --
   bījasya bahulīkāro jñeyaḥ parikaro budhaiḥ |	bIjasya bahulIkAraH jQeyaH parikaraH buDEH |
   yathā tatraiva (1.24) --	yaTA tatra-eva (1.24) --
   gārgī (saṃskṛtena)	gArgI (saMskRtena)
   hriyam avagṛhya gṛhebhyaḥ karṣati rādhāṃ vanāya yā nipuṇā |	hriyam avagRhya gRheByaH karzati rADAm vanAya yA nipuNA |
   sā jayati nisṛṣṭārthī vara-vaṃśaja-kākalī dūtī ||	sA jayati nisRzwa-arTI vara-vaMSa-ja-kAkalI dUtI ||
   atra vanākarṣaṇādinā anurāga-bījasya bahulīkaraṇāt parikaraḥ ||	atra vana-AkarzaNa-AdinA anurAga-bIjasya bahulIkaraNAt parikaraH ||
   atha parinyāsaḥ --	aTa parinyAsaH --
   bīja-niṣpatti-kathanaṃ parinyāsa itīryate // RNc_52 //	bIja--nizpatti--kaTanam parinyAsaH iti-Iryate // RNt-_52 //
   yathā tatraiva prathame'ṅke --	yaTA tatra-eva praTame-aFke --
   rādhā (saromāñcam): lalide kā kkhu kahnatti sunīadi jeṇa kealaṃ kaṇṇassa	rADA (sa-romAQcam): lalide kA kKu kahnatti sunIadi jeNa kealam kaNNassa
   jjea	jjea
   adidhīhonteṇa ummatīkijjahmi || [lalite, kaḥ khalu kṛṣṇa iti śrūyate? Yena	adiDi-iha-unteNa ummatI-kijjahmi || [lalite, kaH Kalu kRzNaH iti SrUyate? Yena
   kevalaṃ	kevalam
   karṇasyaiva atithībhavatā unmattīkriye'ham |]	karNasya-eva atiTIBavatA unmattIkriye-aham |]
   atra unmattīkaraṇena bīja-niṣpattikathanāt parinyāsaḥ |	atra unmattIkaraNena bIja--nizpatti-kaTanAt parinyAsaH |
   atha vilobhanam --	aTa viloBanam --
   nāyakādi-guṇānāṃ yad varṇanaṃ tad vilobhanam |	nAyaka-Adi--guNAnAm yat varNanam tat viloBanam |
   yathā tatraiva prathame'ṅke --	yaTA tatra-eva praTame-aFke --
   tatra kṛṣṇaḥ (sannidhāya)	tatra kRzNaH (sanniDAya)
   samīkṣya tava rādhike vadana-bimbam udbhāsvaraṃ	samIkzya tava rADike vadana--bimbam udBAsu-aram
   trapā-bhara-parīta-dhīḥ śrayitum asya tulya-śriyam |	trapA-Bara--parIta-DIH Srayitum asya tulya--Sriyam |
   śaśī kila kṛsībhavan suradhunī-taraṅgokṣitāṃ	SaSI kila kRsIBavan suraDunI--taraFga-ukzitAm
   tapasyati kapardinaḥ sphuṭa-jaṭāṭavīm āsthitaḥ ||	tapasyati kapardinaH sPuwa--jawA-awavIm AsTitaH ||
   tatra rādhā-saundarya-guṇa-varṇanād vilobhanam |	tatra rADA--sOndarya--guNa-varNanAt viloBanam |
   atha yuktiḥ --	aTa yuktiH --
   samyak prayojanānāṃ hi nirṇayo yuktir iṣyate // RNc_54 //	samyak prayojanAnAm hi nirNayaH yuktiH izyate // RNt-_54 //
   yathā tatraiva (para 1.111-2)--	yaTA tatra-eva (para 1.111-2)--
   yaśodā -- bhaadi candāalī ṇomāliā rāhā māharia sabbāo maha āsāo	yaSodA - Baadi candAalI NaH-mAliAH rAhA mA-Aharia sabbAaH mahe AsAaH-
   guṇāsohara-pūreṇa purei | tatthabi baccho bia baccā laiī ṇetta-bhiṅgaṃ	guNa-asaH-hara--pUreNa purei | tatTabi bacCaH bia baccA lEI Net-ta-BiFgam
   sondara-marandeṇa āṇandei || [bhagavati candrāvalī nava-mālikā rādhā	sa-undara-marandeNa ANandei || [Bagavati candrAvalI nava-mAlikA rADA
   mādhavī	mADavI
   ca sarvathā mama āśā guṇa-saurabha-pūreṇa pūrayati | tatrāpi vatsa iva	ca sarvaTA mama ASAH guNa--sOraBa--pUreNa pUrayati | tatra-api vatsaH iva
   vatsā	vatsA
   laghvī netra-bhṛṅgaṃ saundarya-makarandena ānandayati | ]	laGvI netra-BRFgam sOndarI-a-makarandena Anandayati | ]
   bhagavatī: gokuleśvari | sarveṣāṃ gokula-vāsināṃ īdṛg eva samudācāra iti |	BagavatI: go-kuleSvari | sarvezAm go-kula-vAsinAm IdRS eva samudAcAraH iti |
   atra rādhāyāṃ sarvato'dhikānāṃ guṇotkarṣāṇāṃ nirṇayo yuktiḥ |	atra rADAyAm sarvatas-aDikAnAm guNa-utkarzANAm nirNayaH yuktiH |
   atha prāptiḥ --	aTa prAptiH --
   prājñaiḥ sukhasya samprāptiḥ prāptir ity abhidhīyate // RNc_55 //	prAjQEH suKasya samprAptiH prAptiH iti aBiDIyate // RNt-_55 //
   yathā tatraiva (1.51) --	yaTA tatra-eva (1.51) --
   tatra kṛṣṇaḥ (punar utkarṇo bhavan sapulakam)	tatra kRzNaH (punar utkarNaH Bavan sa-pulakam)
   madhurima-laharībhiḥ stambhayaty ambare yā	maDurima-la-harIBiH stamBayati ambare yA
   smara-mada-sarasānāṃ sārasānāṃ rutāni |	smara-mada-sarasAnAm sArasAnAm rutAni |
   iyam udayati rādhā-kiṅkinī-jhaṅkṛtir me	iyam udayati rADA-kiFkinI--JaFkRtiH me
   hṛdi pariṇamayantī vikriyāḍambarāṇi ||	hRdi pariNamayantI vikriyA-AxambarANi ||
   atra rādhā-jhaṅkṛti-śravaṇāt kṛṣṇasya sukha-samprāptiḥ prāptiḥ |	atra rADA-JaFkRti--SravaNAt kRzNasya suKa--samprAptiH prAptiH |
   atha samādhānaṃ --	aTa samADAnam --
   bījasya punar ādhānaṃ samādhānam ihocyate // RNc_56 //	bIjasya punar ADAnam samADAnam iha-ucyate // RNt-_56 //
   yathā tatraiva --	yaTA tatra-eva --
   rādhā (sāsraṃ): kundalaie, abi ṇāma imassa ekassa bi hadaṇttassa maggaṃ	rADA (sA-asraM): kundalEe, abi NAmaH imassaH ekassa bi hadaNttassa maggam
   kkhaṇaṃ	kKaNam
   bi ārohissadi so maha dhaṇṇassa kaṇṇassa adidhī | [kundalate! api nāma	bi Arohissadi saH maha DaNNaH-sa kaNNassa adiDI | [kunda-late! api nAma
   tasyaikasyāpi hata-netrasya mārgaṃ kṣaṇam api ārohiṣyati sa me dhanyasya	tasya-ekasya-api hata--netrasya mArgam kzaNam api Arohizyati sa me Danyasya
   karṇasyātithiḥ |]	karNasya-atiTiH |]
   atra svayaṃ rādhayā punar anurāga-bījasyādhānāt samādhānam |	atra svayam rADayA punar anurAga--bIjasya-ADAnAt samADAnam |
   atha vidhānaṃ --	aTa viDAnam --
   sukha-duḥkha-karaṃ yat tu tad-vidhānaṃ budhā viduḥ // RNc_57 //	suKa--duHKa--karam yat tu tat--viDAnam buDAH viduH // RNt-_57 //
   yathā tatraiva dvitīyāṅke --	yaTA tatra-eva dvitIya-aFke --
   rādhikā - (dūrataḥ kṛṣṇam īṣad avalokya, janāntikaṃ saṃskṛtena)	rADikA  (dUrataH kRzNam Izat avalokya, jana-antikam saMskRtena)
   sahacari nirātaṅkaḥ ko'yaṃ yuvā mudira-dyutir	sahacari nirAtaFkaH kaH-ayam yuvA mudira-dyutiH-
   vraja-bhuvi kutaḥ prāpto mādyan-mataṅgaja-vibhramaḥ |	vraja--Buvi kutas prAptaH mAdyan-mataFga-ja-viBramaH |
   ahaha caṭulair utsarpadbhir dṛga-aṅcala-taskarair	ahaha cawulEH utsarpadBiH dRS-a--aFcala--taskarEH-
   mama dhṛtir-dhanaṃ cetaḥ-koṣād viluṇṭhayatīha yaḥ || (2.11)	mama DRtiH--Danam cetaH-kozAt viluNWayati-iha yaH || (2.11)
   (punar avekṣya) haddhī haddhī ppamādo, lalide pekkha pekkha eṇaṃ	(punar avekzya) hadDI hadDI ppamAdo, lalide pekKa pekKe eNam
   bamhaāriṇaṃ	bamhaAriNam
   daṭṭhūṇa vikkhuhidaṃ maha hadahiaam | tā imassa mahāpābassa aggippaveso	dawWUNa vikKuhi-dam maha hadahiaam | tAH imassa mahA-pAbassa aggippavesaH-
   jebba	jebba
   parāacittam | [ha dhik hā dhik pramādaḥ | lalite prekṣya prekṣya | etaṃ	parAa-cittam | [ha Dik hA Dik pramAdaH | lalite prekzya prekzya | etam
   brahmacāriṇaṃ dṛṣṭvā vikṣbdhaṃ me hata-hṛdayam | tad etasya mahā-pāpasya	brahmacAriNam dRzwvA vikzbDam me hata--hRdayam | tat etasya mahA--pApasya
   agni-praveśa eva prāyaścittam |]	agni--praveSaH eva prAyaScittam |]
   lalitā : halā, saccaṃ kadhesi | tā ṇūṇaṃ sabaṇṇataṇaṃ bhāmedi | [halā,	lalitA : halA, sat-cam kaDesi | tAH NUNam sa-baNNataNam BAmedi | [halA,
   satyaṃ	satyam
   kathayasi, tan nūnaṃ savarṇatvaṃ bhramayati |]	kaTayasi, tat nUnam savarNa-tvam Bramayati |]
   rādhikā : (punar nibhālya, saṃskṛtena) -	rADikA : (punar niBAlya, saMskRtena) -
   sahacari harir eṣa brahma-veśaṃ prapannaḥ	sahacari hariH eza brahma-veSam prapannaH
   kim ayam itarathā me vidravaty antarātmā |	kim ayam itaraTA me vidravati antarAtmA |
   śaśadhara-maṇi-vedī sveda-dhārāṃ prasūte	SaSaDara-maNi--vedI sveda--DArAm prasUte
   na kila kumuda-bandhoḥ kaumudīm antareṇa || (2.12)	na kila kumuda-banDoH kOmudIm antareNa || (2.12)
   atra rādhāyāḥ kṛṣṇa-buddhyā viprabuddhyā ca sukha-duḥkha-kathanād vidhānam	atra rADAyAH kRzNa-budDyA viprabudDyA ca suKa--duHKa---kaTanAt viDAnam
   atha paribhāvanā -	aTa pariBAvanA -
   ślāghyaiś citta-camatkāro guṇaughaiḥ paribhāvanā // RNc_58 //	SlAGyEH citta-camatkAraH guNa-oGEH pariBAvanAH // RNt-_58 //
   yathā tatraiva prathame'ṅke --	yaTA tatra-eva praTame-aFke --
   rādhā (sacamatkāraṃ saṃskṛtena) -	rADA (sacamatkAram saMskRtena) -
   kula-varatanu-dharma-grāva-vṛndāni bhindan	kula--vara-tanu--Darma--grAva--vRndAni Bindan
   sumukhi niśita-dīrghāpāṅga-ṭaṅka-cchaṭābhiḥ	su-muKi niSita--dIrGa-apAFga-waFka-=-CawABiH
   yugapad ayam apūrvaḥ kaḥ puro viśva-karmā	yugapad ayam apUrvaH kaH puras viSva-karmA
   marakata-maṇi-lakṣair goṣṭha-kakṣāṃ cinoti || 52 ||	marakata-maNi--lakzEH gozWa-kakzAm cinoti || 52 ||
   lalitā: halā, so eso de parāṇa-nādho | [halā, sa eṣa te prāṇanāthaḥ |]	lalitA: halA, saH esaH de parANa-nA-aDas | [halA, saH eza te prANanATaH |]
   rādhā: (sonmādaṃ punaḥ saṃskṛtena)	rADA: (sA-unmAdam punar saMskRtena)
   sa eṣa kim u gopikā-kumudinī-sudhā-dīdhitiḥ	saH eza kim u gopikA--kumudinI--suDA-dI-DitiH
   sa eṣa kim u gokula-sphurita-yauvarājyotsavaḥ |	saH eza kim u go-kula--sPurita-yOvarAjya-utsavaH |
   sa eṣa kim u man-manaḥ-pika-vinoda-puṣpākaraḥ	saH eza kim u man-manaH-pika-vinoda--puzpa-AkaraH
   kṛśodari dṛśor dvaīm amṛta-vīcibhiḥ siñcati || (1.53)	kRSa-udari dRSoH dvaIm amRta--vIciBiH siQcati || (1.53)
   atra kṛṣṇasya vaidagdha-saundaryādi-guṇa-nidarśanena ca	atra kRzNasya vEdagDa--sOndarya-Adi-guNa--nidarSanena ca
   rādhā-camatkāra-kathanāt paribhāvanā |	rADA-camatkAra--kaTanAt pariBAvanA |
   athodbhedaḥ -	aTa-udBedaH -
   bījasya tu ya udghātaḥ sa udbheda iti smṛtaḥ // RNc_59 //	bIjasya tu yaH udGAtaH saH udBedaH iti smRtaH // RNt-_59 //
   yathā tatraiva dvitīyāṅke -	yaTA tatra-eva dvitIya-aFke -
   rādhikā (apavārya, saṃskṛtena)	rADikAH (apavArya, saMskRtena)
   calākṣi-guru-lokataḥ sphurati tāvad antarbhayaṃ	cala-akzi--guru-lokataH sPurati tAvat antar-Bayam
   kula-sthitir alaṃ tu me manasi tāvad unmīlati |	kula--sTitiH alam tu me manasi tAvat unmIlati |
   calan-makara-kuṇḍala-sphurita-phulla-gaṇḍa-sthalaṃ	calan--makara--kuNxala--sPurita--Pulla--gaNxa--sTalam
   na yāvad aparokṣatām idam apaiti vaktrāmbujam || (2.26)	na yAvat aparokzatAm idam apEti vaktra-ambujam || (2.26)
   atrādau saṃvṛttasyānurāga-bījasya svamukhenaivodhghātanād udbhedaḥ |	atra-AdO saMvRttasya-anurAga-bIjasya sva-muKena-eva-uDGAtanAt udBedaH |
   atha bhedaḥ	aTa BedaH
   bījasyottejanaṃ bhedo yad vā saṅghāta-bhedanam // RNc_60 //	bIjasya-uttejanam BedaH yat vA saFGAta--Bedanam // RNt-_60 //
   yathā tatraiva -	yaTA tatra-eva -
   kundalatā - rāhe, akkhalidaṃ tumha sadībbadaṃ, tā alaṃ saaṃ vikkhābideṇa |	kundala-tA  rAhe, akKalidam tumha sa-dIbbadan, tAH alam saam vikKAbideNa |
   [rādhe,	[rADe,
   jāne saskhalitaṃ tava satī-vrataṃ, tad alaṃ svayaṃ vikhyāpitena | ]	jAne sa-sKalitam tava satI--vratan, tat alam svayam viKyApitena | ]
   viśākhā - (sa-praṇayābhyasūyam) kundalade! kā kkhu abarā tumaṃ bia vaṃsīe	viSAKA  (sa--praNaya-aByasUyam) kundala-de! kA kKu abarA tumam bia vaMsIe
   tiṇṇi-sañjhaṃ āaḍḍhīadi ? [rādhe, kā khalv aparā tvām iva vaṃśyā	tiNNi--saQJam AaxXIadi ? [rADe, kA Kalu aparA tvAm iva vaMSyA
   trisandhyam	trisanDyam
   ākṛṣyate |]	AkRzyate |]
   kundalatā (sanarma-smitaṃ, saṃskṛtena) -	kunda-latA (sa-narma--smitaM, saMskRtena) -
   dadāmi sadayaṃ sadā viśada-buddhi-rāśīḥ-śataṃ	dadAmi sa-dayam sadA viSada--budDi-rASIH-Satam
   bhavādṛśi pativratā-vratam akhaṇḍitaṃ tiṣṭhatu |	BavAdRSi pativratA-vratam aKaNxitam tizWatu |
   śrutair nikhila-mādhurī-pariṇate'pi veṇu-dhvanau	SrutEH niKila--mADurI--pariNate-api veNu-DvanO
   manaḥ sakhi manāg api tyajati vo na dhairyaṃ yathā || (2.20)	manaH saKi manAk api tyajati vaH na DEryam yaTA || (2.20)
   atra kundalatayā rādhādi-premasyottejanād bhedanāc cātmanas tābhyo bhedaḥ	atra kundala-tayA rADa-Adi-premasya-uttejanAt BedanAt ca-AtmanaH tAByaH BedaH
   atha karaṇam -	aTa karaNam -
   prastutārtha-samārambhaṃ karaṇaṃ paricakṣate // RNc_61 //	prastuta-arTa--samAramBam karaNam paricakzate // RNt-_61 //
   yathā, tatraiva -	yaTA, tatra-eva -
   kundalatā -(saṃskṛtena)	kunda-la-tA -(saMskRtena)
   trapāṃ tyaja kuḍaṅgakaṃ praviśa santu te maṅgalā-	trapAm tyaja kuxaFgakam praviSa santu te maFgalA-
   ny anaṅga-samarāṅgaṇe parama-sāṃyugīnā bhava |	ni anaFga--samara-aFgaNe parama--sAMyugInA Bava |
   vivasvad-udaye bhavad-vijaya-kīrti-gāthāvalī	vivasvat--udaye Bavat--vijaya--kIrti-gATA-AvalI
   puraḥ skahi muradviṣaḥ sahacarībhir udgīyatām || 2.24 ||	puras skahi muradvizaH sahacarIBiH udgIyatAm || 2.24 ||
   atra prastutasya krīḍārūpasyārthasya samārambha-kathanāt karaṇam |	atra prastutasya krIxA-rUpasya-arTasya samAramBa--kaTanAt karaNam |
   atha pratimukha-sandhiḥ -	aTa pratimuKa--sanDiH -
   bhavet pratimukhaṃ dṛśyaṃ bīja-prakāśanam |	Bavet pratimuKam dRSyam bIja--prakASanam |
   bindu-prayatnopagamād aṅgāny asya trayodaśa // RNc_62 //	bindu--prayatna-upagamAt aFgAni asya trayodaSa // RNt-_62 //
   viṣamātyanta-viśleṣād rādhāmādhavayor iha |	vizama-atyanta--viSlezAt rADA-mADavayoH iha |
   dṛśyādṛśyaṃ prema-bījaṃ yathā lalita-mādhave // RNc_63 //	dRSya-adRSyam prema-bIjam yaTA lalita--mADave // RNt-_63 //
   vilāsaḥ parisarpaś ca vidhutaṃ śamanarmaṇī |	vilAsaH parisarpaH ca viDutam Sama-narmaNI |
   narma-dyutiḥ pragamanaṃ virodhaḥ paryupāsanam |	narma--dyutiH pragamanam viroDaH paryupAsanam |
   puṣpaṃ vajram upanyāso varṇa-saṃhāra ity api // RNc_64 //	puzpam vajram upanyAsaH varNa-saMhAraH iti api // RNt-_64 //
   tatra vilāsaḥ -	tatra vilAsaH -
   vilāsaḥ saṅgamārthas tu vyāpāraḥ parikīrtitaḥ // RNc_65 //	vilAsaH saFgama-arTaH tu vyApAraH parikIrtitaH // RNt-_65 //
   yathā tatraiva caturthāṅke -	yaTA tatra-eva caturTa-aFke -
   mādhavaḥ - (adhare veṇuṃ vinyasya) -	mADavaH  (aDare veNum vinyasya) -
   akṣṇor bandhuṃ hari-haya-harin-nāgari-prāg-ariktāṃ	akzNoH banDum hari--haya--harin-nAgari--prAc--ariktAm
   rogeṇāviṣkuru guru-rucaṃ bhānavīyāṃ navīnām |	rogeNa-avizkuru guru--rucam BAnavIyAm navInAm |
   cakrābhikhyaḥ kim api virahād ākulaḥ kākū-lakṣaṃ	cakra-aBiKyaH kim api virahAt AkulaH kAkU-lakzam
   kurvan mukhyas tvayi sa vayasām arthibhāvaṃ tanoti ||4.22||	kurvan muKyaH tvayi sa vayasAm arTi-BAvam tanoti ||4.22||
   atra mādhavasya saṅgamārtha-vyāpāra-kathanād vilāsaḥ |	atra mADavasya saFgama-arTa--vyApAra--kaTanAt vilAsaH |
   atha parisarpaḥ -	aTa parisarpaH -
   smṛtir naṣṭasya bījasya parisarpa iti smṛtaḥ // RNc_66 //	smRtiH nazwasya bIjasya parisarpaH iti smRtaH // RNt-_66 //
   yathā tatraiva -	yaTA tatra-eva -
   kṛṣṇaḥ - sakhe satyam āśayaiva kadarthyamāno'smi | yataḥ -	kRzNaH  saKe satyam ASayA-eva kadarTyamAnaH-asmi | yatas -
   nīre maṅkṣu-mimaṅkṣum ārta-mukharām uddiśya caṇḍa-dyuter	nIre maFkzu-mimaFkzum Arta--muKarAm uddiSya caNxa-dyuteH-
   dūrān maṇḍalataḥ kṛpāturatayā yat prādurāsīt tadā |	dUrAt maNxalataH kRpA-AturatayA yat prAdurAsIt tadA |
   hā dhig vāg-amṛtena tena janitas tasyāḥ punaḥ saṅgama-	hA Dik vAc--amRtena tena janitaH tasyAH punar saFgama-
   pratyāśāṅkura uccakair mama sakhe svāntaṃ haṭhād vidhyati ||10||	pratyASA-aFkuraH uccakEs mama saKe svAntam haWAt viDyati ||10||
   atra rādhā-tirodhānān naṣṭasyānurāga-bījasya punaḥ	atra rADA-tiroDAnAt nazwasya-anurAga-bIjasya punar-
   sūrya-vacanenānusmaraṇāt	sUrya-vacanena-anusmaraNAt-
   parisarpaḥ |	parisarpaH |
   atha vidhutam -	aTa viDutam -
   vidhutaṃ kathitaṃ duḥkham abhīṣṭārthān avāptitaḥ |	viDutam kaTitam duHKam aBIzwa-arTAn avAptitaH |
   athavānunayādīnāṃ vidhutaṃ syān nirākṛtiḥ // RNc_67 //	aTavA-anunayA-AdInAm viDutam syAt nirAkRtiH // RNt-_67 //
   yathā tatraiva tṛtīyāṅke -	yaTA tatra-eva tRtIya-aFke -
   rādhā (sākrandam) -	rADA (sA-Akrandam) -
   nipītā na svairaṃ śruti-puṭikayā narma-bhaṇitir	nipItA na svEram Sruti-puwikayA narma-BaNitiH-
   na dṛṣṭā niḥśaṅkaṃ sumukhi mukha-paṅkeruha-rucaḥ |	na dRzwA niHSaFkam su-muKi muKa--paFkeruha--rucaH |
   harer vakṣaḥ-pīṭhaṃ na kila ghanam āliṅgitam abhūd	hareH vakzaH-pIWam na kila Ganam AliFgitam aBUt-
   iti dhyāyaṃ dhyāyaṃ sphuṭati luṭhad antar mama manaḥ || (3.26)	iti DyAyam DyAyam sPuwati luWat antar mama manaH || (3.26)
   atra prakaṭam eva duḥkhaṃ vidhutam | yathā vā tatraiva -	atra prakawam eva duHKam viDutam | yaTA vA tatra-eva -
   paurṇamāsī: samākarṇaya vara-varṇinī-varṇitam (nepathye) -	pOrNamAsI: samAkarNaya vara-varNinI--varNitam (nepaTye) -
   nāśvāsanaṃ viracaya tvam idaṃ hatāśo	na-ASvAsanam viracaya tvam idam hata-ASo
   śuṣyan-mukhī mama guṇaṃ parikīrtayantī |	Suzyan--muKI mama guNam parikIrtayantI |
   dūrād amārdava-bhṛto'pi muhuḥ kṣamāyāḥ	dUrAt amArdava--BRtaH-api muhur kzamAyAH
   kukṣiṃ vidārayati paśya rathāṅga-nemiḥ || (3.17)	kukzim vidArayati paSya raTAFga-nemiH || (3.17)
   atra viśākhā-kṛtānunayasya rādhayā grahaṇād vidhutam |	atra viSAKA-kRta-anunayasya rADayA grahaNAt viDutam |
   atha śamaḥ -	aTa SamaH -
   arateḥ śamanaṃ dhīraiḥ śama ity abhidhīyate // RNc_68 //	arateH Samanam DIrEH SamaH iti aBiDIyate // RNt-_68 //
   yathā tatraiva caturthe'ṅke -	yaTA tatra-eva caturTe-aFke -
   vṛndā - nāgarendra! muñca vaimanasyam | sāmprataṃ bhavad-abhīṣṭa-siddhaye	vRndAH  nAgara-indra! muQca vEmanasyam | sAmpratam Bavat--aBIzwa--sidDaye
   śārikāmukhena lalitāṃ sandiśya viśākhayā bhavantaṃ nivedayiṣyāmi |	SArikA-muKena lalitAm sandiSya viSAKayA Bavantam nivedayizyAmi |
   atra jaṭilayā rādhāyāṃ nītāyāṃ vṛndayā mādhavasyārati-śamanāc chamaḥ |	atra jawilayA rADAyAm nItAyAm vRndayA mADavasya-arati-SamanAt SamaH |
   apaṭhitvā śamaṃ kaścit sa paṭhaty atra tāpanam |	apaWitvA Samam kaScid sa paWati atra tApanam |
   tathā hi (Sāhitya-darpaṇam 6.91),	taTA hi (SAhitya-darpaNam 6.91),
   upāyādarśanaṃ yat tu tāpanaṃ nāma tad bhavet || iti |	upAya-adarSanam yat tu tApanam nAma tat Bavet || iti |
   yathā tṛtīye'ṅke -	yaTA tRtIye-aFke -
   vṛndā - hā dhik, hā hā dhik | paśya -	vRndAH  hA Dik, hA hA Dik | paSya -
   na vaktuṃ nāvaktuṃ pura-gamana-vārtāṃ murabhidaḥ	na vaktum na-avaktum pura-gamana-vArtAm muraBidaH
   kṣamante rādhāyai katham api viśākhā-prabhṛtayaḥ |	kzamante rADAyE kaTam api viSAKA--praBRtayaH |
   samantād ākrāntā niviḍa-jaḍima-śreṇibhir imāḥ	samantAt AkrAntAH nivixa--jaxima--SreNiBiH imAH
   paraṃ karṇākarṇi-vyavasitim adhīro vidadhati || (3.12)	param karNAkarNi--vyavasitim aDIraH vidaDati || (3.12)
   atropāya-darśanaṃ prakaṭam eva |	atra-upAya--darSanam prakawam eva |
   atha narma -	aTa narma -
   parihāsa-pradhānaṃ yad vacanaṃ narma tad viduḥ // RNc_69 //	parihAsa--praDAnam yat vacanam narma tat viduH // RNt-_69 //
   yathā tatraiva caturthe'ṅke -	yaTA tatra-eva caturTe-aFke -
   jaṭilā (nāsikāgre tarjanīṃ vinyasya sthitā dhunvantī sāścaryam) are	jawilA (nAsikA-agre tarjanIm vinyasya sTitA DunvantI sa-AScaryam) are
   bāliā-bhujaṅga! kaṃ ḍaṃsiduṃ ettha bhammasi | [are bālikā-bhujaṅga! kāṃ	bAliA-BujaFga! kam xaMsi-dum etTa Bammasi | [are bAlikA-BujaFga! kAm
   ḍaṃśitum atra bhrāmyasi |]	xaMSitum atra BrAmyasi |]
   mādhavaḥ - lamboṣṭhi! bhavatīm eva goṣṭha-piśācīm |	mADavaH  lamba-uzWi! BavatIm eva gozWa--piSAcIm |
   atra prakaṭam eva narma |	atra prakawam eva narma |
