   keśavakṛtā kauśikapaddhatiḥ	keSava kRtA kOSika padDatiH
   'ṛṣīṇāṃ prastaro'si' iti dakṣiṇato'gnerbrahmāsanaṃ nidadhati | 'bhūpate'	aRzINAm prastaraH asi a iti dakziNatas agneH brahmAsanam nidaDati | aBUpate a
   iti brahmavaraṇam | tathā ca gobhilabrāhmaṇam | pratyakṣaṃ vā darbhamayaṃ	iti brahma varaNam | taTA ca goBila brAhmaNam | pratyakzam vA darBa mayam
   vāsanamudakakamaṇḍaluṃ vā brahmasthāne kuryāt | tato brahmāsanasaṃskāraḥ	vAsanam udaka kamaNxalum vA brahma sTAne kuryAt | tatas brahmAsana saMskAraH
             [purastādagnerāstīrya teṣāṃ mūlānyapareṣāṃ prāntairavacchādayan	[purastAt agneH AstIrya tezAm mUlAni aparezAm prAntEH avacCAdayan
   parisarpati dakṣiṇenāgnimā paścārdhāt || KauśS_1,2.19 ||]	parisarpati dakziNena agnimA paSca arDAt || KOSH _1,2.19 ||]
   tataḥ staraṇaṃ purastādagneriti | kartā bravīti  	tatas staraNam purastAt agneH iti | kartA bravIti  
             pari stṛṇīhi (7.99.1) iti sampreṣyati || KauśS_1,2.20 ||	pari stRNIhi (7.99.1) iti samprezyati || KOSH _1,2.20 ||
             [devasya tvā savituḥ prasave'śvinorbāhubhyāṃ pūṣṇo hastābhyāṃ	[devasya tvA savituH prasave aSvinoH bAhuByAm pUzNaH hastAByAm
   prasūtaḥ praśiṣā paristṛṇāmi iti || KauśS_1,2.21 ||]	prasUtaH praSizA paristRNAmi iti || KOSH _1,2.21 ||]
   tato 'devasya tvā' iti stṛṇāti ||	tatas adevasya tvA a iti stRNAti ||
             [evamuttarato'yujo dhātūn kurvan || KauśS_1,2.22 ||	[evam uttaratas ayujaH DAtUn kurvan || KOSH _1,2.22 ||
             yatra samāgacchanti taddakṣiṇottaraṃ karoti || KauśS_1,2.23 ||]	yatra samAgacCanti tad dakziNa uttaram karoti || KOSH _1,2.23 ||]
   paribhojanīyān stṛṇāti ||	pariBojanIyAn stRNAti ||
             stīrṇaṃ prokṣati haviṣāṃ tvā juṣṭaṃ prokṣāmi iti || KauśS_1,2.24	stIrNam prokzati havizAm tvA juzwam prokzAmi iti || KOSH _1,2.24
             nānabhyukṣitaṃ saṃstīrṇamupayogaṃ labheta || KauśS_1,2.25 ||	na anaByukzitam saMstIrNam upayogam laBeta || KOSH _1,2.25 ||
             naidho'bhyādhānam || KauśS_1,2.26 ||	na eDaH aByADAnam || KOSH _1,2.26 ||
             nānutpūtaṃ haviḥ || KauśS_1,2.27 ||	na anutpUtam haviH || KOSH _1,2.27 ||
             nāprokṣitaṃ yajñāṅgam || KauśS_1,2.28 ||	na aprokzitam yajQa aFgam || KOSH _1,2.28 ||
             tasmin prakṣālitopavātāni nidadhāti || KauśS_1,2.29 ||	tasmin prakzAlita upavAtAni nidaDAti || KOSH _1,2.29 ||
   sarvatra eṣā paribhāṣā ||	sarvatra ezA pariBAzA ||
             [sruvamājyadhānīṃ ca || KauśS_1,2.30 ||]	[sruvam Ajya DAnIm ca || KOSH _1,2.30 ||]
   sruvamājyadhānīṃ nidadhati ||	sruvam Ajya DAnIm nidaDati ||
             vilīnapūtamājyaṃ gṛhītvādhiśṛtya paryagni kṛtvodagudvāsya	vilIna pUtam Ajyam gRhItvA aDiSRtya paryagni kRtvA udak udvAsya
   paścādagnerupasādyodagagrābhyāṃ pavitrābhyāmutpunāti || KauśS_1,2.31 ||	paScAt agneH upasAdya udak agrAByAm pavitrAByAm utpunAti || KOSH _1,2.31 ||
             [viṣṇormanasā pūtamasi || KauśS_1,2.32 ||	[vizNoH manasA pUtam asi || KOSH _1,2.32 ||
             devastvā savitotpunātu || KauśS_1,2.33 ||	devaH tvA savitA utpunAtu || KOSH _1,2.33 ||
             acchidreṇa tvā pavitreṇa śatadhāreṇa sahasradhāreṇa supvotpunāmi	acCidreNa tvA pavitreNa Sata DAreNa sahasra DAreNa supvA utpunAmi
   iti tṛtīyam || KauśS_1,2.34 ||	iti tRtIyam || KOSH _1,2.34 ||
             tūṣṇīṃ caturtham || KauśS_1,2.35 ||]	tUzNIm caturTam || KOSH _1,2.35 ||]
   'viṣṇormanasā pūtamasi' iti ||	avizNoH manasA pUtam asi a iti ||
             śṛtaṃ havirabhighārayati madhvā samañjan ghṛtavat karātha iti ||	SRtam haviH aBiGArayati maDvA samaQjan GRta vat karATa iti ||
   KauśS_1,2.36 ||	KOSH _1,2.36 ||
   śṛtaṃ havirabhighārayati 'madhvā samañjan' iti ||	SRtam haviH aBiGArayati amaDvA samaQjana iti ||
             [abhighāryodañcamudvāsayati udvāsayāgneḥ śṛtamakarma havyamā	[aBiGArya udaQcam udvAsayati udvAsaya agneH SRtam akarma havyamA
   sīda pṛṣṭhamamṛtasya dhāma (PaippS 5.16.3) iti || KauśS_1,2.37 ||]	sIda pRzWam amRtasya DAma (PEppS 5.16.3) iti || KOSH _1,2.37 ||]
   'udvāsayāgneḥ' ityṛcodvāsayati ||	audvAsaya agneH a iti Rca udvAsayati ||
             [paścādājyasya nidhāyālaṅkṛtya samānenotpunāti || KauśS_1,2.38	[paScAt Ajyasya niDAya alaFkRtya samAnena utpunAti || KOSH _1,2.38
   tataḥ paścādājyasya nidhāyālaṅkṛtyājyena carumabhighārya samānenotpunāti	tatas paScAt Ajyasya niDAya alaFkRtya Ajyena carum aBiGArya samAnena utpunAti
             adārasṛt (1.22.1) ityavekṣate || KauśS_1,2.39 ||	adAra sRt (1.22.1) iti avekzate || KOSH _1,2.39 ||
             uttiṣṭhata (7.72.1 3) ityaindram || KauśS_1,2.40 ||	uttizWate (7.72.1 3) iti Endram || KOSH _1,2.40 ||
   carumavekṣate ||	carum avekzate ||
             [agnirbhūmyām (12.1.19 21) iti tisṛbhirupasamādadhāti asmai	[agniH BUmyAm (12.1.19 21) iti tisRBiH upasamAdaDAti asmE
   kṣatrāṇi (7.78.2) etamidhmam (10.6.35) iti vā || KauśS_1,2.41 ||	kzatrANi (7.78.2) etam iDmam (10.6.35) iti vA || KOSH _1,2.41 ||
   || KKp_2 ||	|| KKB _2 ||
             yunajmi tvā brahmaṇā daivyena havyāyāsmai voḍhave jātavedaḥ |	yunajmi tvA brahmaNA dEvyena havyAya asmE voXave jAtavedaH |
   indhānāstvā suprajasaḥ suvīrā jyog jīvema balihṛto vayaṃ te iti ||	inDAnAH tvA suprajasaH su vIrAH jyok jIvema bali hRtaH vayam te iti ||
   KauśS_1,3.1 ||]	KOSH _1,3.1 ||]
   'agnirbhūmyāmoṣadhīṣu', 'agnirdiva ā tapati', 'agnivāsāḥ	aagniH BUmyAm ozaDIzu a, aagniH dive A tapati a, aagnivAsAH
   pṛthivyasitajñūḥ', 'asmai kṣatrāṇi dhārayantamagne', 'etamidhmam' iti vā,	pRTivI asita jQUH a, aasmE kzatrANi DArayantam agne a, aetam iDmam a iti vA,
   'yunajmi tvā' ityebhiḥ pañcabhiridhmamupasamādadhāti || dvitīyā kaṇḍikā ||	ayunajmi tvA a iti eBiH paQcaBiH iDmam upasamAdaDAti || dvitIyA kaNxikAH ||
             [dakṣiṇato jāṅmāyanamudapātramupasādyābhimantrayate	[dakziNatas jAFmAyanam uda pAtram upasAdya aBimantrayate
   tathodapātraṃ dhāraya yathāgre brahmaṇaspatiḥ | satyadharmāṃ	taTA udapAtram DAraya yaTA agre brahmaNaspatiH | satya DarmAm
   adīdharaddevasya savituḥ save iti || KauśS_1,3.2 ||]	adIDarat devasya savituH save iti || KOSH _1,3.2 ||]
   dakṣiṇato'gnerjāṅmāyanamudapātraṃ kāṃsyapātramupasādyābhimantrayate	dakziNatas agneH jAk mAyanam uda pAtram kAMsya pAtram upasAdya aBimantrayate
   'tathodapātraṃ dhāraya' ityṛcā ||	ataTA udapAtram DAraya a iti RcA ||
             [athodakamāsiñcati iheta devīramṛtaṃ vasānā hiraṇyavarṇā	[aTa udakam AsiQcati iha ita devIH amRtam vasAnA hiraNya varNA
   anavadyarūpāḥ | āpaḥ samudro varuṇaśca rājā sampātabhāgān haviṣo juṣantām	anavadya rUpAH | ApaH samudraH varuNaH ca rAjA sampAta BAgAn havizaH juzantAm
   || indrapraśiṣṭā varuṇaprasūtā apaḥ samudrāddivamudvahantu | indrapraśiṣṭā	|| indra praSizwA varuNa prasUtAH apaH samudrAt divam udvahantu | indra praSizwA
   varuṇaprasūtā divaspṛthivyāḥ śriyamā vahantu iti || KauśS_1,3.3 ||]	varuNa prasUtAH divaspRTivyAH SriyamA vahantu iti || KOSH _1,3.3 ||]
   'iheta devīḥ' iti dvābhyāmṛgbhyāṃ santatadhārayodapātramavasiñcati ||	aiheta devIHa iti dvAByAmRgByAm santata DArayA uda pAtram avasiQcati ||
             [ṛtaṃ tvā satyena pariṣiñcāmi jātavedaḥ iti saha havirbhiḥ	[Rtam tvA satyena pariziQcAmi jAtavedaH iti saha havirBiH
   paryukṣya jīvābhirācamyopotthāya vedaprapadbhiḥ prapadyate oṃ prapadye	paryukzya jIvABiH Acamya upotTAya veda prapadBiH prapadyate om prapadye
   bhūḥ prapadye bhuvaḥ prapadye svaḥ prapadye janat prapadye iti ||	BUH prapadye BuvaH prapadye svar prapadye janat prapadye iti ||
   KauśS_1,3.4 ||]	KOSH _1,3.4 ||]
   'ṛtaṃ tvā satyena' iti saha havirbhiḥ paryukṣya sarvatra sthaṇḍilakarmaṇi	aRtam tvA satyena a iti saha havirBiH paryukzya sarvatra sTaNxila karmaNi
   hoṣyan 'ṛtaṃ tvā satyena' hutvā 'satyaṃ tvartena' (KauśS 6.20) iti	hozyan aRtam tvA satyena a hutvA asatyam tu A rtena a (KOSH 6.20) iti
   sampradāyagrantha uktam | 'jīvā stha' (19.69 70) iti sūktena trirācāmati |	sampradAya granTaH uktam | ajIvA sTa a (19.69 70) iti sUktena tris AcAmati |
   'satyaṃ bṛhat' (12.1.1 9) iti navabhiḥ 'śāntivā' (12.1.59) ityṛcā	asatyam bRhat a (12.1.1 9) iti navaBiH aSAntivAa (12.1.59) iti RcA
   'udāyuṣā' (3.31.10 11) iti dvābhyāmuttiṣṭhati | vedaprapadbhiḥ prapadyate	audAyuzA a (3.31.10 11) iti dvAByAm uttizWati | veda prapadBiH prapadyate
   'oṃ prapadye bhūḥ' ityṛcā '...prapadye' iti ||	aom prapadye BUH a iti RcA a...prapadye a iti ||
   [prapadya paścātstīrṇasya darbhānāstīrya ahe daidhiṣavyodatastiṣṭhānyasya	[prapadya paScAt stIrNasya darBAn AstIrya ahe dEDiza vyodataH tizWAni asya
   sadane sīda yo'smat pākataraḥ iti brahmāsanamanvīkṣate || KauśS_1,3.5 ||	sadane sIda yaH asmat pAkataraH iti brahmAsanam anvIkzate || KOSH _1,3.5 ||
             nirastaḥ parāgvasuḥ saha pāpmanā nirastaḥ so'stu yo'smān dveṣṭi	nirastaH parAgvasuH saha pApmanA nirastaH saH astu yaH asmAn dvezwi
   yaṃ ca vayaṃ dviṣmaḥ iti dakṣiṇā tṛṇaṃ nirasyati || KauśS_1,3.6 ||	yam ca vayam dvizmaH iti dakziNA tRNam nirasyati || KOSH _1,3.6 ||
             tadanvālabhya japati idamahamarvāgvasoḥ sadane sīdāmi satyasya	tad anvAlaBya japati idam aham arvAc vasoH sadane sIdAmi satyasya
   sadane sīdāmīṣṭasya sadane sīdāmi pūrtasya sadane sīdāmi māmṛṣa deva	sadane sIdAmi izwasya sadane sIdAmi pUrtasya sadane sIdAmi mAm Rza deva
   barhiḥ svāsasthaṃ tvādhyāsadeyamūrṇamradamanabhiśokam || KauśS_1,3.7 ||	barhiH svAsa sTam tvA aDyAsa deya m UrNamradam anaBiSokam || KOSH _1,3.7 ||
             vimṛgvarīm (12.1.29) ityupaviśyāsanīyaṃ brahmajapaṃ japati	vimRgvarIm (12.1.29) iti upaviSya AsanIyam brahma japam japati
   bṛhaspatirbrahmā brahmasadana āsiṣyate bṛhaspate yajñaṃ gopāya yadududvata	bRhaspatiH brahmA brahma sadanaH Asizyate bRhaspate yajQam gopAya yat ududvata
   unnivataḥ śakeyam iti || KauśS_1,3.8 ||]	unnivataH Sakeyam iti || KOSH _1,3.8 ||]
   āsane darbhānāstīrya 'ahe daidhiṣavyodatastiṣṭha' ityāsanasaṃskāraṃ karoti	Asane darBAn AstIrya aahe dEDiza vyodataH tizWa a iti Asana saMskAram karoti
             [darbhaiḥ sruvaṃ nirmṛjya niṣṭaptaṃ rakṣo niṣṭaptā arātayaḥ	[darBEH sruvam nirmRjya nizwaptam rakzaH nizwaptAH arAtayaH
   pratyuṣṭaṃ rakṣaḥ pratyuṣṭā arātayaḥ iti pratapya || KauśS_1,3.9 ||]	pratyuzwam rakzaH pratyuzwAH arAtayaH iti pratapya || KOSH _1,3.9 ||]
   darbhaiḥ sruvaṃ nirmṛjya 'niṣṭaptaṃ rakṣaḥ' iti sruvaṃ pratapati ||	darBEH sruvam nirmRjya anizwaptam rakzaHa iti sruvam pratapati ||
             mūle sruvaṃ gṛhītvā japati viṣṇorhasto'si [dakṣiṇaḥ pūṣṇā datto	mUle sruvam gRhItvA japati vizNoH hastaH asi [dakziNaH pUzNA dattaH 
   bṛhaspateḥ | taṃ tvāhaṃ sruvamādade devānāṃ havyavāhanam | ayaṃ sruvo vi	bRhaspateH | tam tvA aham sruvam Adade devAnAm havyavAhanam | ayam sruvaH vi
   dadhāti homāñchatākṣaracchandasā jāgatena | sarvā yajñasya samanakti	daDAti homAn SatA akzara= CandasA jAgatena | sarvAH yajQasya samanakti
   viṣṭhā bārhaspatyeṣṭiḥ śarmaṇā daivyena] iti || KauśS_1,3.10 ||	vizWA bArhaspatya izwiH SarmaNA dEvyena] iti || KOSH _1,3.10 ||
             oṃ bhūḥ śaṃ bhūtyai tvā gṛhṇe bhūtaye iti prathamaṃ grahaṃ	om BUH Sam BUtyE tvA gRhNe BUtaye iti praTamam graham
   gṛhṇāti || KauśS_1,3.11 ||	gRhNAti || KOSH _1,3.11 ||
             oṃ bhuvaḥ śaṃ puṣṭyai tvā gṛhṇe puṣṭaye iti dvitīyam ||	om BuvaH Sam puzwyE tvA gRhNe puzwaye iti dvitIyam ||
   KauśS_1,3.12 ||	KOSH _1,3.12 ||
             oṃ svaḥ śaṃ tvā gṛhṇe sahasrapoṣāya iti tṛtīyam || KauśS_1,3.13	om svar Sam tvA gRhNe sahasra pozAya iti tRtIyam || KOSH _1,3.13
             oṃ janacchaṃ tvā gṛhṇe'parimitapoṣāya iti caturtham ||	om janacCam tvA gRhNe aparimita pozAya iti caturTam ||
   KauśS_1,3.14 ||	KOSH _1,3.14 ||
             rājakarmābhicārikeṣu amuṣya tvā prāṇāya gṛhṇe'pānāya vyānāya	rAja karma ABicArikezu amuzya tvA prANAya gRhNe apAnAya vyAnAya
   samānāyodānāya iti pañcamam || KauśS_1,3.15 ||	samAnAya udAnAya iti paQcamam || KOSH _1,3.15 ||
   sruveṇājyadhānyāṃ grahagrahaṇaṃ karoti 'oṃ bhūḥ śaṃ bhūtyai tvā' iti	sruveNa Ajya DAnyAm graha grahaNam karoti aom BUH Sam BUtyE tvA a iti
   caturbhiḥ ||	caturBiH ||
             agnāvagniḥ, hṛdā pūtam (4.39.9 10) purastādyuktaḥ (5.29.1)	agnO= agniH, hRdA pUtam (4.39.9 10) purastAt yuktaH (5.29.1)
   yajñasya cakṣuḥ (2.35.5) iti juhoti || KauśS_1,3.16 ||	yajQasya cakzuH (2.35.5) iti juhoti || KOSH _1,3.16 ||
             [paścādagnermadhyadeśe samānatra purastāddhomān || KauśS_1,3.17	[paScAt agneH maDyadeSe samAnatra purastAt DomAn || KOSH _1,3.17
             dakṣiṇenāgnimudapātra ājyāhutīnāṃ sampātānānayati ||	dakziNena agnim uda pAtre Ajya AhutInAm sampAtAnAnayati ||
   KauśS_1,3.18 ||	KOSH _1,3.18 ||
             purastāddhoma ājyabhāgaḥ saṃsthitahomaḥ samṛddhiḥ śāntānāmiti ||	purastAt DomaH Ajya BAgaH saMsTita homaH samRdDiH SAntAnAm iti ||
   KauśS_1,3.19 ||	KOSH _1,3.19 ||
             etāvājyabhāgau || KauśS_1,3.20 ||]	etO= Ajya BAgO || KOSH _1,3.20 ||]
   purastāddhomān paścādagnerjuhoti | ājyabhāgau pārśvata uttarato	purastAt DomAn paScAt agneH juhoti | Ajya BAgO pArSvatas uttaratas 
   dakṣiṇataśca juhoti | madhye anye sarve homāḥ | udapātre sampātaḥ ||	dakziNatas ca juhoti | maDye anye sarve homAH | uda pAtre sampAtaH ||
   tṛtīyā kaṇḍikā || KKp_3 ||	tRtIyA kaNxikA || KKB _3 ||
             vṛṣṇe bṛhate svarvinde agnaye śalkaṃ harāmi tviṣīmate | sa na	vRzNe bRhate svarvinde agnaye Salkam harAmi tvizImate | sa na
   sthirān balavataḥ kṛṇotu jyok ca no jīvātave dadhātvagnaye svāhā (PaippS	sTirAn balavataH kRNotu jyok ca naH jIvAtave daDAtu agnaye svAhA (PEppS
   19.52.6) ityuttarārdhapūrvārdha āgneyamājyabhāgaṃ juhoti || KauśS_1,4.1 ||	19.52.6) iti uttara arDa pUrva arDaH Agneyam Ajya BAgam juhoti || KOSH _1,4.1 ||
             dakṣiṇapūrvārdhe somāya tvaṃ soma divyo nṛcakṣāḥ sugā;m	dakziNa pUrva arDe somAya tvam soma divyaH nR cakzAH sugA;m
   asmabhyaṃ patho anu khyaḥ | abhi no gotraṃ viduṣa iva neṣo'cchā no	asmaByam paTaH anu KyaH | aBi naH gotram viduzaH iva nezaH acCA no
   vācamuśatīṃ jigāsi somāya svāhā (PaippS 1.51.3) iti || KauśS_1,4.2 ||	vAcam uSatIm jigAsi somAya svAhA (PEppS 1.51.3) iti || KOSH _1,4.2 ||
   'vṛṣṇe bṛhate' 'tvaṃ soma divyaḥ' ityājyabhāgāntaṃ kṛtvā tata āgneyaṃ	avRzNe bRhate a atvam soma divyaH a iti Ajya BAga antam kRtvA tatas Agneyam
   caruṃ juhoti 'udenamuttaraṃ naya' (6.5.1 3) iti tribhirṛgbhiḥ 'prajāpate	carum juhoti audenam uttaram naya a (6.5.1 3) iti triBiH RgBiH aprajApate
   na tvat' (7.80.3) iti ca catasra āhutīrjuhoti ||	na tvat a (7.80.3) iti ca catasraH AhutIH juhoti ||
             madhye haviḥ || KauśS_1,4.3 ||	maDye haviH || KOSH _1,4.3 ||
             upastīryājyaṃ saṃhatābhyāmaṅgulibhyāṃ dvirhaviṣo'vadyati madhyāt	upastIrya Ajyam saMhatAByAm aFguliByAm dvis ha vizaH avadyati maDyAt 
   pūrvārdhācca || KauśS_1,4.4 ||	pUrva arDAt ca || KOSH _1,4.4 ||
             avattamabhighārya dvirhaviḥ pratyabhighārayati || KauśS_1,4.5 ||	avattam aBiGArya dvis haviH pratyaBiGArayati || KOSH _1,4.5 ||
             yatoyato'vadyati tadanupūrvam || KauśS_1,4.6 ||	yatas yatas avadyati tad anupUrvam || KOSH _1,4.6 ||
             evaṃ sarvāṇyavadānāni || KauśS_1,4.7 ||	evam sarvANi avadAnAni || KOSH _1,4.7 ||
             anyatra sauviṣṭakṛtāt || KauśS_1,4.8 ||	anyatra sOvizwakRtAt || KOSH _1,4.8 ||
             udenamuttaraṃ naya (6.5.1 3) iti purastāddhomasaṃhatāṃ pūrvām ||	udenam uttaram nayaH (6.5.1 3) iti purastAt homa saMhatAm pUrvAm ||
   KauśS_1,4.9 ||	KOSH _1,4.9 ||
             [evaṃ pūrvāmpūrvāṃ saṃhatāṃ juhoti || KauśS_1,4.10 ||]	[evam pUrvAmpUrvAm saMhatAm juhoti || KOSH _1,4.10 ||]
   ityādi pratyāhuti yojayitavyam ||	ityAdi pratyAhuti yojayitavyam ||
             svāhāntābhiḥ pratyṛcaṃ homāḥ || KauśS_1,4.11 ||	svAhA antABiH pratyRcam homAH || KOSH _1,4.11 ||
             [yāmuttarāmagnerājyabhāgasya juhoti rakṣodevatyā sā yāṃ	[yAm uttarAm agneH Ajya BAgasya juhoti rakzaH devatyA sA yAm
   dakṣiṇataḥ somasya pitṛdevatyā sā || KauśS_1,4.12 ||	dakziNatas somasya pitR devatyA sA || KOSH _1,4.12 ||
             tasmādantarā hotavyā devaloka eva hūyante || KauśS_1,4.13 ||	tasmAt antarA hotavyAH deva loke eva hUyante || KOSH _1,4.13 ||
             yāṃ hutvā pūrvāmaparāṃ juhoti sāpakrāmantī sa pāpīyān yajamāno	yAm hutvA pUrvAm aparAm juhoti sA apakrAmantI sa pApIyAn yajamAnaH 
   bhavati || KauśS_1,4.14 ||	Bavati || KOSH _1,4.14 ||
             yāṃ parāmparāṃ saṃhatāṃ juhoti sābhikrāmantī sa vasīyān yajamāno	yAm parAmparAm saMhatAm juhoti sA aBikrAmantI sa vasIyAn yajamAnaH 
   bhavati || KauśS_1,4.15 ||	Bavati || KOSH _1,4.15 ||
             yāmanagnau juhoti sāndhā tayā cakṣuryajamānasya mīyate	yAm anagnO juhoti sA anDA tayA cakzuH yajamAnasya mIyate
   so'ndhambhāvuko yajamāno bhavati || KauśS_1,4.16 ||	saH anDamBAvukaH yajamAnaH Bavati || KOSH _1,4.16 ||
             yāṃ dhūme juhoti sā tamasi hūyate so'rocako yajamāno bhavati ||	yAm DUme juhoti sA tamasi hUyate saH arocakaH yajamAnaH Bavati ||
   KauśS_1,4.17 ||	KOSH _1,4.17 ||
             yāṃ jyotiṣmati juhoti tayā brahmavarcasī bhavati	yAm jyotizmati juhoti tayA brahmavarcasI Bavati
   tasmājjyotiṣmati hotavyam || KauśS_1,4.18 ||]	tasmAt jyotizmati hotavyam || KOSH _1,4.18 ||]
   sarvatra havirājyaṃ ca caturgahītam | uktaṃ ca 'sarvatra caturgṛhītena	sarvatra havi rAjyam ca caturgahItam | uktam ca asarvatra catur gRhItena
   homaḥ' ||	homaH a ||
             [evam asmai kṣatramagnīṣomau (6.54.2) ityagnīṣomīyasya ||	[evam asmE kzatram agnIzomO (6.54.2) iti agnIzomIyasya ||
   KauśS_1,4.19 ||	KOSH _1,4.19 ||
             agnīṣomā savedasā sahūtī vanataṃ giraḥ | saṃ devatrā babhūvathuḥ	agnIzomA sa vedasA sahUtI vanatam giraH | sam devatrAH baBUvaTuH
   || yuvametāni divi rocanānyagniśca soma sakratū adhattam | yuvaṃ	|| yuvam etAni divi rocanAni agniH ca soma sakratU aDattam | yuvam
   sindhū;mrabhiśasteravadyādagnīṣomāvamuñcataṃ gṛbhītān || agnīṣomā ya	sinDU;mraBi SasteH avadyAt agnIzoma avamuQcatam gRBItAn || agnIzomA ya
   āhutiṃ yo vāṃ dāśāddhaviṣkṛtim | sa prajayā suvīryaṃ viśvamāyurvyaśnavat	Ahutim yaH vAm dASAdhavizkRtim | sa prajayA su vIryam viSvam AyuH vyaSna vat 
   || KauśS_1,5.1 ||]	|| KOSH _1,5.1 ||]
   agnīṣomīyaṃ caruṃ juhoti 'asmai kṣatram' ityekā, 'agnīṣomā savedasā' iti	agnIzomIyam carum juhoti aasmE kzatram a iti ekA, aagnIzomA sa vedasAa iti
   tribhiḥ || caturthī kaṇḍikā || KKp_4 ||	triBiH || caturTI kaNxikA || KKB _4 ||
             [indrāgnī rocanā divaḥ pari vājeṣu bhūṣayaḥ | tadvāṃ ceti pra	[indra agnI rocanA divaH pari vAjezu BUzayaH | tat vAm ca iti pra
   vīryam || śnathadvṛtramuta sanoti vājamindrā yo agnī sahurī saparyāt |	vIryam || SnaTa dvRtram uta sanoti vA Ajam indrAH yaH agnI sahurI saparyAt |
   irajyantā vasavyasya bhūreḥ sahastamā sahasā vājayantā || indrāgnī asmān	irajyantA vasavyasya BUreH sahaH tamA sahasA vAjayantA || indra agnI asmAn
   rakṣatāṃ yau prajānāṃ prajāvatī | sa prajayā suvīryaṃ viśvamāyurvyaśnavat	rakzatAm yO prajAnAm prajAvatI | sa prajayA su vIryam viSvam AyuH vyaSna vat 
   (PaippS 16.37.1) || gomaddhiraṇyavadvasu yadvāmaśvāvadīmahe | indrāgnī	(PEppS 16.37.1) || gomat hiraNya vat vasu yat vAm aSvAvadImahe | indra agnI
   tadvanemahi (PaippS 1.96.3) svāhā iti || KauśS_1,5.2 ||	tat vanemahi (PEppS 1.96.3) svAhA iti || KOSH _1,5.2 ||
             aindrāgnasya haviṣo'māvāsyāyām || KauśS_1,5.3 ||]	EndrAgnasya havizaH amAvAsyAyAm || KOSH _1,5.3 ||]
   āmāvāsyāyāmaindrāgnau dvitīyo bhavati 'indrāgnī rocanā' iti catasraḥ ||	AmAvAsyAyAm Endra agnO dvitIyaH Bavati aindra agnI rocanAa iti catasraH ||
             [prāk sviṣṭakṛtaḥ pārvaṇau homau samṛddhihomāḥ kāmyahomāśca ||	[prAk svizwakRtaH pArvaNO homO samRdDi homAH kAmya homAH ca ||
   KauśS_1,5.4 ||	KOSH _1,5.4 ||
             pūrṇā paścāt (7.80.1) iti paurṇamāsyām || KauśS_1,5.5 ||]	pUrNA paScAt (7.80.1) iti pOrNamAsyAm || KOSH _1,5.5 ||]
   'pūrṇā paścāt' iti paurṇamāsyāṃ pārvaṇahomaḥ ||	apUrNA paScAt a iti pOrNamAsyAm pArvaNa homaH ||
             [yatte devā akṛṇvan bhāgadheyam (7.79.1) ityamāvāsyāyām ||	[yatte devAH akRNvan BAgaDeyam (7.79.1) iti amAvAsyAyAm ||
   KauśS_1,5.6 ||]	KOSH _1,5.6 ||]
   'yatte devāḥ' ityamāvāsyāyāṃ pārvaṇahomaḥ ||	ayat te devAHa iti amAvAsyAyAm pArvaNa homaH ||
             [ākūtyai tvā svāhā | kāmāya tvā svāhā | samṛdhe tvā svāhā |	[AkUtyE tvA svAhA | kAmAya tvA svAhA | samRDe tvA svAhA |
   ākūtyai tvā kāmāya tvā samṛdhe tvā svāhā | ṛcā stomaṃ samardhaya gāyatreṇa	AkUtyE tvA kAmAya tvA samRDe tvA svAhA | RcA stomam samarDaya gAyatreNa
   rathantaram | bṛhadgāyatravartani svāhā || KauśS_1,5.7 ||]	raTantaram | bRhat gAyatra vartani svAhA || KOSH _1,5.7 ||]
