   akāmataḥ kāmacāre Yj_2.162c	akAmatas kAmacAre Yt-_2.162c
   ahany ekādaśe nāma Yj_1.12a	ahani ekAdaSe nAma Yt-_1.12a
   aham eṣām iti sthitiḥ Yj_3.153b	aham ezAm iti sTitiH Yt-_3.153b
   ahas tv adattakanyāsu Yj_3.24a	ahar tu adatta-kanyAsu Yd-_3.24a
   ahaṃkāraś ca buddhiś ca Yj_3.177c	ahaMkAraH ca budDiH ca Yt-_3.177c
   ahaṃkāraḥ smṛtir medhā Yj_3.174a	ahaMkAraH smRtiH meDA Yt-_3.174a
   ahaṃkāreṇa manasā Yj_3.164a	ahaMkAreNa manasA Yt-_3.164a
   ahaḥ śuklaṃ tathottaram Yj_3.193b	ahar Suklam taTA-uttaram Yt-_3.193b
   ahaḥśeṣaṃ sahāsīta Yj_1.113c	ahar-Sezam saha-AsIta Yt-_1.113c
   ahiṃsā satyam asteyaṃ Yj_1.122a	ahiMsA satyam asteyam Yt-_1.122a
   ahiṃsā steyamādhurye Yj_3.312c	ahiMsA steya-mADurye Yj_3.312c
   ahno māsasya ṣaṇṇāṃ vā Yj_3.47a	ahnaH mAsasya zaNNAm vA Yt-_3.47a
   ākareṣv adhikāritā Yj_3.242b	Akarezu aDikAritA Yt-_3.242b
   ākāśapavanajyotir- Yj_3.172c	AkASa-pavana-jyotir Yt-_3.172c
   ākāśam ekaṃ hi yathā Yj_3.144a	AkASam ekam hi yaTA Yt-_3.144a
   ākāśāl lāghavaṃ saukṣmyaṃ Yj_3.76a	AkASAt lAGavam sOkzmyam Yt-_3.76a
   ākṛṣṇena imaṃ devā Yj_1.300a	AkRzNena imam devAH Yt-_1.300a
   āgatās tair vinā nṛpaḥ Yj_2.264d	AgatAH tEH vinA nRpaH Yt-_2.264d
   āgamas tu kṛto yena Yj_2.28a	AgamaH tu kRtaH yena Yt-_2.28a
   āgamena vinākṛtā Yj_2.29d	Agamena vinAkRtAH Yt-_2.29d
   āgamenopabhogena Yj_2.171a	Agamena-upaBogena Yt-_2.171a
   āgame 'pi balaṃ naiva Yj_2.27c	Agame api balam na-eva Yt-_2.27c
   āgamo 'bhyadhiko bhogād Yj_2.27a	AgamaH aByaDikaH BogAt Yt-_2.27a
   āgarbhasaṃbhavād gacchet Yj_1.69a	AgarBa-saMBavAt gacCet Yt-_1.69a
   āgāmibhadranṛpati- Yj_1.318c	AgAmiBadra-nRpati Yt-_1.318c
   ācamyāgnyādi salilaṃ Yj_3.13a	Acamya-agni-Adi salilam Yt-_3.13a
   ācaret sadṛśīṃ vṛttim Yj_1.123c	Acaret sadRSIm vRttim Yt-_1.123c
   ācāntaḥ punar ācāmed Yj_1.196c	AcAntaH punar AcAmet Yt-_1.196c
   ācāryatanayāṃ tathā Yj_3.232d	AcArya-tanayAm taTA Yt-_3.232d
   ācāryatvaṃ śrotriyaś ca Yj_1.276a	AcArya-tvam SrotriyaH ca Yt-_1.276a
   ācāryapatnīṃ svasutāṃ Yj_3.233a	AcArya-patnIm sva-sutAm Yt-_3.233a
   ācāryapitṛupādhyāyān Yj_3.15a	AcArya-pitR-upADyAyAn Yd-_3.15a
   ācāryaḥ sa udāhṛtaḥ Yj_1.34d	AcAryaH saH udAhRtaH Yt-_1.34d
   ācāryopāsanaṃ veda- Yj_3.156a	AcArya-upAsanam veda Yt-_3.156a
   āciteṣu paṇān daśa Yj_2.238d	Acitezu paNAn daSa Yt-_2.238d
   ājīvan svecchayā daṇḍyo Yj_2.67a	AjIvan sva-icCayA daNxyaH Yt-_2.67a
   ājñāsaṃpādinīṃ dakṣāṃ Yj_1.76a	AjQA-saMpAdinIm dakzAm Yt-_1.76a
   ātulaśrotriyeṣu ca Yj_3.24d	Atula-Srotriyezu ca Yt-_3.24d
   ātṛptes tu pavitrāṇi Yj_1.240c	AtRpteH tu pavitrANi Yt-_1.240c
   ātmajñaḥ śaucavān dāntas Yj_3.137a	Atma-jQaH SOcavAn dAntaH Yt-_3.137a
   ātmajñānasya na kṣamaḥ Yj_3.141d	Atma-jQAnasya na kzamaH Yt-_3.141d
   ātmatulyaṃ suvarṇaṃ vā Yj_3.258c	Atma-tulyam suvarNam vA Yt-_3.258c
   ātmanas tu jagat sarvaṃ Yj_3.117c	AtmanaH tu jagat sarvam Yt-_3.117c
   ātmanaḥ śreya icchatā Yj_1.201d	AtmanaH SreyaH icCatA Yt-_1.201d
   ātmano jñānahetavaḥ Yj_3.190d	AtmanaH jQAna-hetavaH Yt-_3.190d
   ātmano 'rthe kriyārambho Yj_3.239a	AtmanaH arTe kriyA-AramBaH Yt-_3.239a
   ātmavṛttyartham eva ca Yj_1.216d	Atma-vRtti-arTam eva ca Yt-_1.216d
   ātmā gṛhṇāty ajaḥ sarvaṃ Yj_3.78c	AtmA gRhNAti ajaH sarvam Yt-_3.78c
   ātmā dīpa ivācalaḥ Yj_3.109b	AtmA dIpaH iva-acalaH Yt-_3.109b
   ātmānaṃ ca mahīpatiḥ Yj_1.319d	AtmAnam ca mahIpatiH Yt-_1.319d
   ātmānaṃ manyate dvijaḥ Yj_3.309b	AtmAnam manyate dvijaH Yt-_3.309b
   ātmānaḥ prabhavanti hi Yj_3.67d	AtmAnaH praBavanti hi Yt-_3.67d
   ātmā sarvaga īśvaraḥ Yj_3.176d	AtmA sarva-ge ISvaraH Yt-_3.176d
   ādatte yugapat prabhuḥ Yj_3.72d	Adatte yugapad praBuH Yt-_3.72d
   ādantajanmanaḥ sadyā Yj_3.23a	Adanta-janmanaH sadyAH Yt-_3.23a
   ādātuś ca viśuddhyartham Yj_3.250c	AdAtuH ca viSudDi-arTam Yt-_3.250c
   ādānaṃ pāñcabhautikam Yj_3.175d	AdAnam pAQcaBOtikam Yt-_3.175d
   ādāyārṣas tu godvayam Yj_1.59b	AdAya-ArzaH tu go-dvayam Yt-_1.59b
   ādityasya sadā pūjāṃ Yj_1.294a	Adityasya sadA pUjAm Yt-_1.294a
   ādideva udāhṛtaḥ Yj_3.126b	AdidevaH udAhRtaH Yt-_3.126b
   ādimadhyāvasāneṣu Yj_1.30a	Adi-maDya-avasAnezu Yj_1.30a
   ādyam ekādaśe 'hani Yj_1.256d	Adyam ekAdaSe ahani Yt-_1.256d
   ādyāś catasras tu varjayet Yj_1.79d	AdyAH catasraH tu varjayet Yt-_1.79d
   ādyau tu vitathe dāpyāv Yj_2.53c	AdyO tu vitaTe dApyO Yd-_2.53c
   ādhayo vyādhayaḥ kleśā Yj_3.63c	ADayaH vyADayaH kleSAH Yt-_3.63c
   ādhānaṃ vikrayaṃ vāpi Yj_2.247c	ADAnam vikrayam vA-api Yt-_2.247c
   ādhivedanikaṃ samam Yj_2.148b	ADivedanikam samam Yt-_2.148b
   ādhivedanikādyaṃ ca Yj_2.143c	ADivedanikA-Adyam ca Yt-_2.143c
   ādhisīmopanikṣepa- Yj_2.25a	ADi-sIma-upanikzepa Yt-_2.25a
   ādhis tu bhujyate tāvad Yj_2.90c	ADiH tu Bujyate tAvat Yt-_2.90c
   ādhiḥ praṇaśyed dviguṇe Yj_2.58a	ADiH praNaSyet dviguNe Yt-_2.58a
   ādhiḥ steno 'nyathā bhavet Yj_2.62b	ADiH stenaH anyaTA Bavet Yt-_2.62b
   ādheḥ svīkaraṇāt siddhī Yj_2.60a	ADeH svIkaraNAt sidDI Yt-_2.60a
   ādhau pratigrahe krīte Yj_2.23c	ADO pratigrahe krIte Yt-_2.23c
   ādhyādīnāṃ vihartāraṃ Yj_2.26a	ADi-AdInAm vihartAram Yt-_2.26a
   ānīya viprasarvasvaṃ Yj_3.246a	AnIya vipra-sarva-svam Yt-_3.246a
   ānīyānyo javī naraḥ Yj_2.109b	AnIya-anyaH javI naraH Yt-_2.109b
   ānulomye tu madhyamaḥ Yj_2.286b	Anulomye tu maDyamaH Yt-_2.286b
   āpattau jīvanāni tu Yj_3.42d	ApattO jIvanAni tu Yt-_3.42d
   āpadgataḥ saṃpragṛhṇan Yj_3.41a	Apad-gataH saMpragRhNan Yt-_3.41a
   āpadyapi hi kaṣṭāyāṃ Yj_3.29c	Apadi-api hi kazwAyAm Yt-_3.29c
   āpas tad ghnantu sarvadā Yj_1.283d	ApaH tat Gnantu sarvadA Yt-_1.283d
   āpośanenopariṣṭād Yj_1.106a	ApoSanena-uparizwAt Yt-_1.106a
   āpośānakriyāpūrvaṃ Yj_1.31c	ApoSAna-kriyA-pUrvam Yt-_1.31c
   āpnoti śrāddhadaḥ sadā Yj_1.263d	Apnoti SrAdDa-daH sadA Yt-_1.263d
   āmāśayo 'tha hṛdayaṃ Yj_3.95a	AmASayaH aTa hRdayam Yt-_3.95a
   āmṛtyoḥ śriyam ākāṅkṣen Yj_1.153c	AmRtyoH Sriyam AkAFkzen Yt-_1.153c
   āyavyayaviśodhitāt Yj_2.122d	Aya-vyaya-viSoDitAt Yt-_2.122d
   āyasyā yoṣitā svapet Yj_3.259b	AyasyA yozitA svapet Yt-_3.259b
   āyuṣkāmas tathaivāyuḥ Yj_3.330c	AyuzkAmaH taTA-eva-AyuH Yt-_3.330c
   āyuḥ prajāṃ dhanaṃ vidyāṃ Yj_1.270a	AyuH prajAm Danam vidyAm Yt-_1.270a
   āraṇyakam athāvikam Yj_1.170d	AraNyakam aTa-Avikam Yt-_1.170d
   āraṇyakam adhītya ca Yj_1.145d	AraNyakam aDItya ca Yt-_1.145d
   ārambhī viṣayī ca yaḥ Yj_3.138b	AramBI vizayI ca yaH Yt-_3.138b
   ārāmāyatanagrāma- Yj_2.154a	ArAm-a-Ayatana-grAma Yt-_2.154a
   ārogyabalasaṃpanno Yj_1.308Ac	Arogya-bala-saMpannaH Yt-_1.308Ac
   ārtyā gatyā tathāgatyā Yj_3.170c	ArtyA gatyA taTA-AgatyA Yt-_3.170c
   ārdravāsās tu hemante Yj_3.52c	Ardra-vAsAH tu hemante Yt-_3.52c
   āvāhanāgnaukaraṇa- Yj_1.251c	AvAhana-agnOkaraNa Yt-_1.251c
   āvāhayed anujñāto Yj_1.229c	AvAhayet anujQAtaH Yt-_1.229c
   āvāhya tadanujñāto Yj_1.233c	AvAhya tad-anujQAtaH Yt-_1.233c
   āvedayati ced rājñe Yj_2.5c	Avedayati ced rAjQe Yt-_2.5c
   āśīrbhir abhinanditaḥ Yj_1.332d	ASIrBiH aBinanditaH Yt-_1.332d
   āśuddheḥ saṃpratīkṣyo hi Yj_1.77c	ASudDeH saMpratIkzyaH hi Yt-_1.77c
   āśmaśānād anuvrajya Yj_3.1c	ASmaSAnAt anuvrajya Yt-_3.1c
   āṣoḍaśād ādvāviṃśāc Yj_1.37a	AzoxaSAt AdvAviMSAt Yd-_1.37a
   āsanaṃ saṃśrayaṃ tathā Yj_1.347b	Asanam saMSrayam taTA Yt-_1.347b
   āsaneṣūpaveśayet Yj_1.226d	Asanezu-upaveSayet Yt-_1.226d
   āsīmantam anuvrajet Yj_1.113b	AsImantam anuvrajet Yt-_1.113b
   āsuro draviṇādānād Yj_1.61a	AsuraH draviNa-AdAnAt Yt-_1.61a
   āstikaḥ śraddadhānaś ca Yj_1.268c	AstikaH SraddaDAnaH ca Yt-_1.268c
   āhared vidhivad dārān Yj_1.89c	Aharet viDivat dArAn Yt-_1.89c
   āhitāgnyāvṛtārthavat Yj_3.2d	AhitAgni-AvRta-arTa-vat Yt-_3.2d
   āhutyāpyāyate sūryaḥ Yj_3.71a	Ahuti-ApyAyate sUryaH Yt-_3.71a
   āhūtaś cāpy adhīyīta Yj_1.27a	AhUtaH ca-api aDIyIta Yt-_1.27a
   icchatāṃ tatkṣaṇāc chuddhiḥ Yj_3.14c	icCatAm tad-kzaNAt SudDiH Yt-_3.14c
   icchayā caiva badhyate Yj_3.155d	icCayA ca-eva baDyate Yj_3.155d
   icchayā vibhajet sutān Yj_2.114b	icCayA viBajet sutAn Yt-_2.114b
   icchā dhāraṇajīvite Yj_3.174d	icCA DAraNa-jIvite Yt-_3.174d
   icchāhaṃkāra eva ca Yj_3.73d	icCA-ahaMkAraH eva ca Yt-_3.73d
   ijyācāradamāhiṃsā- Yj_1.8a	ijyA-cAra-dama-ahiMsA Yt-_1.8a
   ijyādhyayanadānāni Yj_1.118a	ijyA-aDyayana-dAnAni Yt-_1.118a
   itarasya sutā api Yj_2.53d	itarasya sutAH api Yt-_2.53d
   itarād daśakaṃ śatam Yj_2.199d	itarAt daSakam Satam Yt-_2.199d
   itareṇa nidhau labdhe Yj_2.35a	itareNa niDO labDe Yt-_2.35a
   itaro jñātibhir vṛtaḥ Yj_3.1d	itaraH jQAtiBiH vRtaH Yt-_3.1d
   itaro vartayec chiraḥ Yj_2.96b	itaraH vartayet SiraH Yt-_2.96b
   iti pātrābhimantraṇam Yj_1.238b	iti pAtra-aBimantraNam Yt-_1.238b
   iti saṃcintya nṛpatiḥ Yj_1.360a	iti saMcintya nRpatiH Yt-_1.360a
   iti saṃśrutya gaccheyur Yj_3.12a	iti saMSrutya gacCeyuH Yt-_3.12a
   itihāsāṃs tathā vidyāḥ Yj_1.45c	itihAsAn taTA vidyAH Yt-_1.45c
   itihāsaiḥ purātanaiḥ Yj_3.7d	itihAsEH purAtanEH Yt-_3.7d
   ity uktvā caratāṃ dharmaṃ Yj_1.60a	iti uktvA caratAm Darmam Yt-_1.60a
   ity uktvoktvā priyā vācaḥ Yj_1.247a	iti uktvA-uktvA priyA vAcaH Yt-_1.247a
   ity etad asthiraṃ varṣma Yj_3.107c	iti etat asTiram varzma Yt-_3.107c
   idam ūcur mahātmānaṃ Yj_3.328c	idam UcuH mahAtmAnam Yt-_3.328c
   indriyāṇi manaḥ prāṇo Yj_3.73a	indriyANi manaH prANaH Yt-_3.73a
   indriyāntarasaṃcāra Yj_3.174c	indriya-antara-saMcAra Yt-_3.174c
   indhanārthaṃ drumachedaḥ Yj_3.240a	inDana-arTam druma-CedaH Yt-_3.240a
   ime lokā eṣa cātmā Yj_3.145c	ime lokAH eza ca-AtmA Yt-_3.145c
   iṣṭaṃ syāt kratubhis tena Yj_1.359c	izwam syAt kratuBiH tena Yt-_1.359c
   iṣṭiṃ vaiśvānarīṃ dvijaḥ Yj_1.126b	izwim vESvAnarIm dvijaH Yt-_1.126b
   iṣṭair vaiśvānarī smṛtā Yj_3.250d	izwEH vESvAnarI smRtAH Yt-_3.250d
   iha karmopabhogāya Yj_3.169c	iha karma-upaBogAya Yt-_3.169c
   iha loke yaśaḥ prāpya Yj_3.329c	iha loke yaSaH prApya Yt-_3.329c
   iha vāmutra vaikeṣāṃ Yj_3.133c	iha vA-amutra vA-ekezAm Yt-_3.133c
   ihaiva sā śunī gṛdhrī Yj_3.256c	iha-eva sA SunI gRDrI Yt-_3.256c
   īśravaḥ sarvabhūtasthaḥ Yj_3.178c	ISravaH sarva-BUta-sTaH Yt-_3.178c
   īśvaraḥ sa kathaṃ bhāvair Yj_3.129c	ISvaraH sa kaTam BAvEH Yj_3.129c
   īheta na yatas tataḥ Yj_1.129b	Iheta na yatas tatas Yt-_1.129b
   ukte 'pi sākṣibhiḥ sākṣye Yj_2.80a	ukte api sAkziBiH sAkzye Yd-_2.80a
   ucchiṣṭasaṃnidhau piṇḍān Yj_1.242c	ucCizwa-saMniDO piNxAn Yt-_1.242c
   ucchrāyāḥ patanāni ca Yj_1.308b	ucCrAyAH patanAni ca Yt-_1.308b
   utkarṣe ca vaco 'nṛtam Yj_3.229b	utkarze ca vacaH anRtam Yt-_3.229b
   utkocajīvino dravya- Yj_1.339a	utkoca-jIvinaH dravya Yt-_1.339a
   utkṣepakagranthibhedau Yj_2.274a	utkzepaka-granTi-BedO Yt-_2.274a
   uttamaṃ hy anyathādhamam Yj_2.287b	uttamam hi anyaTA-aDamam Yt-_2.287b
   uttamāyāṃ vadhas tathā Yj_2.288d	uttamAyAm vaDaH taTA Yt-_2.288d
   uttamo vādhamo vāpi Yj_2.277c	uttamaH vA-aDamaH vA-api Yt-_2.277c
   uttaraṃ gītakāni ca Yj_3.113d	uttaram gItakAni ca Yt-_3.113d
   uttānaṃ kiṃcid unnāmya Yj_3.198c	uttAnam kiMcid unnAmya Yt-_3.198c
   utpanne svāmino bhogas Yj_2.157c	utpanne svAminaH BogaH Yt-_2.157c
   utsargaṃ vidhivad bahiḥ Yj_1.143d	utsargam viDivat bahis Yt-_1.143d
   utsṛṣṭo gṛhyate yas tu Yj_2.132a	utsRzwaH gRhyate yaH tu Yt-_2.132a
   udakaṃ patitās tathā Yj_3.5d	udakam patitAH taTA Yt-_3.5d
   udakyāśucibhiḥ snāyāt Yj_3.30a	udakyA-SuciBiH snAyAt Yt-_3.30a
   udakyāspṛṣṭasaṃghuṣṭaṃ Yj_1.168a	udakyA-spRzwa-saMGuzwam Yt-_1.168a
   udag ekaikam eva vā Yj_1.228b	udak ekEkam eva vA Yt-_1.228b
   udadhir daivatāni ca Yj_3.10b	udaDiH dEvatAni ca Yt-_3.10b
   udaraṃ ca gudau koṣṭhyau Yj_3.95c	udaram ca gudO kozWyO Yt-_3.95c
   udumbaraḥ śamī dūrvā Yj_1.302c	udumbaraH SamI dUrvA Yt-_1.302c
   udgūrṇe prathamo daṇḍaḥ Yj_2.215c	udgUrNe praTamaH daNxaH Yt-_2.215c
   udgūrṇe hastapāde tu Yj_2.216a	udgUrNe hasta-pAde tu Yt-_2.216a
   udbudhyasveti ca ṛco Yj_1.300c	udbuDyasva-iti ca RcaH Yt-_1.300c
   upajihvāsphijau bāhū Yj_3.97c	upajihvA-sPijO bAhU Yt-_3.97c
   upajīvyadrumāṇāṃ ca Yj_2.227c	upajIvya-drumANAm ca Yt-_2.227c
   upajīvya dhanaṃ muñcaṃs Yj_2.301c	upajIvya Danam muQcan Yt-_2.301c
   upatiṣṭhatām akṣayya- Yj_1.252a	upatizWatAm akzayya Yt-_1.252a
   upatiṣṭhet tato 'mbikām Yj_1.290b	upatizWet tatas ambikAm Yt-_1.290b
   upanīya guruḥ śiṣyaṃ Yj_1.15a	upanIya guruH Sizyam Yt-_1.15a
   upanīya dadad vedam Yj_1.34c	upanIya dadat vedam Yd-_1.34c
   upapātakajātānām Yj_3.305c	upapAtaka-jAtAnAm Yt-_3.305c
   upapātakajais tathā Yj_3.225b	upapAtaka-jEH taTA Yt-_3.225b
   upapātakayukte tu Yj_2.210c	upapAtaka-yukte tu Yt-_2.210c
   upapātakaśuddhiḥ syād Yj_3.265a	upapAtaka-SudDiH syAt Yt-_3.265a
   upavāsena caivāyaṃ Yj_3.318c	upavAsena ca-eva-ayam Yt-_3.318c
   upaviṣṭa udaṅmukhaḥ Yj_1.18b	upavizwaH udaFmuKaH Yt-_1.18b
   upasthānaṃ tataḥ kuryāt Yj_3.282a	upasTAnam tatas kuryAt Yt-_3.282a
   upasthitasya moktavya Yj_2.62a	upasTitasya moktavyaH Yt-_2.62a
   upākarmaṇi cotsarge Yj_1.144c	upAkarmaNi ca-utsarge Yt-_1.144c
   upāyāḥ sāma dānaṃ ca Yj_1.346a	upAyAH sAma dAnam ca Yt-_1.346a
   upāsate dvijāḥ satyaṃ Yj_3.192c	upAsate dvijAH satyam Yt-_3.192c
   upāsya paścimāṃ saṃdhyāṃ Yj_1.114a	upAsya paScimAm saMDyAm Yt-_1.114a
   upeyād īśvaraṃ caiva Yj_1.100a	upeyAt ISvaram ca-eva Yt-_1.100a
   ubhayānumataḥ sākṣī Yj_2.72a	uBaya-anumataH sAkzI Yt-_2.72a
   ubhayābhyarthitenaitan Yj_2.88a	uBaya-aByarTitena-etan Yt-_2.88a
   ubhayor apy asādhyaṃ cet Yj_2.196c	uBayoH api asADyam ced Yt-_2.196c
   ubhayor apy asau rikthī Yj_2.127c	uBayoH api asO rikTI Yt-_2.127c
   ubhayoḥ pratibhūr grāhyaḥ Yj_2.10c	uBayoH pratiBUH grAhyaH Yt-_2.10c
   urageṣv āyaso daṇḍaḥ Yj_3.273a	uragezu AyasaH daNxaH Yt-_3.273a
   uraḥ saptadaśāsthīni Yj_3.90c	uraH saptadaSa-asTIni Yt-_3.90c
   uṣantas tvety ṛcā pitṝn Yj_1.233b	uzantaH tvA-iti RcA pitLn Yt-_1.233b
   uṣṭre guñjā haye 'ṃśukam Yj_3.273d	uzwre guQjA haye aMSukam Yt-_3.273d
   ūnadvivarṣa ubhayoḥ Yj_3.18c	Una-dvi-varzaH uBayoH Yt-_3.18c
   ūnadvivarṣaṃ nikhanen Yj_3.1a	Una-dvi-varzam niKanen Yt-_3.1a
   ūnaṃ vābhyadhikaṃ vāpi Yj_2.295a	Unam vA-aByaDikam vA-api Yt-_2.295a
   ūrusthottānacaraṇaḥ Yj_3.198a	Uru-sTa-uttAna-caraNaH Yt-_3.198a
   ūrdhvapātragrahāśmanām Yj_1.182b	UrDva-pAtra-graha-aSmanAm Yt-_1.182b
   ūrdhvam ekaḥ sthitas teṣāṃ Yj_3.167a	UrDvam ekaH sTitaH tezAm Yt-_3.167a
   ūrdhvam eva vyavasthitam Yj_3.168b	UrDvam eva vyavasTitam Yt-_3.168b
   ūrdhvaṃ riktham ṛṇaṃ samam Yj_2.117b	UrDvam rikTam RNam samam Yt-_2.117b
   ṛggāthā pāṇikā dakṣa- Yj_3.114a	RggATA pANikAH dakza Yt-_3.114a
   ṛgyajuḥ sāmavihitaṃ Yj_3.122c	Rc-yajuH sAma-vihitam Yt-_3.122c
   ṛco 'dhīte ca yo 'nvaham Yj_1.41d	RcaH aDIte ca yaH anvaham Yt-_1.41d
   ṛṇam ādhau tadā khalu Yj_2.64b	RNam ADO tadA Kalu Yt-_2.64b
   ṛṇaṃ dadyāt patis teṣāṃ Yj_2.48c	RNam dadyAt patiH tezAm Yt-_2.48c
   ṛṇaṃ lekhyakṛtaṃ deyaṃ Yj_2.90a	RNam leKya-kRtam deyam Yt-_2.90a
   ṛṇaṃ sadaśabandhakam Yj_2.76b	RNam sa-daSa-banDakam Yt-_2.76b
   ṛṇāt tābhya ṛte 'nvayaḥ Yj_2.117d	RNAt tAByaH Rte anvayaH Yt-_2.117d
   ṛṇānāṃ cānapākriyā Yj_3.234b	RNAnAm ca-anapa-akriyA Yt-_3.234b
   ṛṇārthaṃ karma kārayet Yj_2.43b	RNa-arTam karma kArayet Yt-_2.43b
   ṛṇikais tasya tad bhavet Yj_2.56d	RNikEH tasya tat Bavet Yt-_2.56d
   ṛtusaṃdhiṣu bhuktvā vā Yj_1.146c	Rtu-saMDizu BuktvA vE Yt-_1.146c
   ṛtvikkarṣakakarmiṇām Yj_2.265d	Rtvij-karzaka-karmiNAm Yt-_2.265d
   ṛtvikpurohitācāryair Yj_1.332c	Rtvij-purohita-AcAryEH Yt-_1.332c
   ṛtvikpurohitāpatya- Yj_1.158a	Rtvij-purohita-apatya Yt-_1.158a
   ṛtvig yajñakṛd ucyate Yj_1.35b	Rtvij yajQa-kRt ucyate Yt-_1.35b
   ṛtvijāṃ dīkṣitānāṃ ca Yj_3.28a	RtvijAm dIkzitAnAm ca Yt-_3.28a
   ṛṣabhaikasahasrā gā Yj_3.266a	RzaBa-eka-sahasrAH gAH Yt-_3.266a
   ṛṣibhiḥ pāvanaṃ kṛtam Yj_1.281b	RziBiH pAvanam kRtam Yt-_1.281b
   ekacchāyāśriteṣv eṣu Yj_2.55c	ekacCAyA-ASritezu ezu Yt-_2.55c
   ekadeśam upādhyāya Yj_1.35a	eka-deSam upADyAyaH Yt-_1.35a
   ekadeśe vibhāvitaḥ Yj_2.20b	eka-deSe viBAvitaH Yt-_2.20b
   ekabhaktena naktena Yj_3.318a	eka-Baktena naktena Yt-_3.318a
   ekarātropavāsaś ca Yj_3.317c	eka-rAtra-upavAsaH ca Yt-_3.317c
   ekarātropavāsaś ca Yj_3.321c	eka-rAtra-upavAsaH ca Yt-_3.321c
   ekaṃ ghnatāṃ bahūnāṃ ca Yj_2.221a	ekam GnatAm bahUnAm ca Yt-_2.221a
   ekādaśaguṇaṃ dāpyo Yj_2.190c	ekAdaSaguNam dApyaH Yt-_2.190c
   ekārāmaḥ parivrajya Yj_3.58c	eka-ArAmaH parivrajya Yt-_3.58c
   ekārghyaikapavitrakam Yj_1.251b	ekArGya-eka-pavitrakam Yt-_1.251b
   ekaikam upapātakam Yj_3.242d	ekEkam upapAtakam Yt-_3.242d
   ekaikasya tv aṣṭaśatam Yj_1.303a	ekEkasya tu azwaSatam Yt-_1.303a
   ekaikasya yathākramam Yj_3.322b	ekEkasya yaTAkramam Yt-_3.322b
   ekaikasya viśuddhaye Yj_3.274d	ekEkasya viSudDaye Yj_3.274d
   ekaikaṃ pratyahaṃ pibet Yj_3.317b	ekEkam pratyaham pibet Yt-_3.317b
   ekaikaṃ hrāsayet kṛṣne Yj_3.323c	ekEkam hrAsayet kRzne Yt-_3.323c
   ekottaraguṇāni ca Yj_3.179d	eka-uttara-guNAni ca Yt-_3.179d
   ekoddiṣṭaṃ devahīnam Yj_1.251a	ekoddizwam deva-hInam Yt-_1.251a
   ekoddiṣṭaṃ striyā api Yj_1.254d	ekoddizwam striyAH api Yt-_1.254d
   ekonatriṃśallakṣāṇi Yj_3.101a	ekonatriMSat-lakzANi Yt-_3.101a
   eko vādhyātmavittamaḥ Yj_1.9d	ekaH vA-aDyAtma-vittamaH Yt-_1.9d
   etat sapiṇḍīkaraṇam Yj_1.254c	etat sapiNxIkaraNam Yt-_1.254c
   etad evānimantraṇe Yj_2.263d	etat eva-animantraNe Yt-_2.263d
   etad yo na vijānāti Yj_3.197a	etat yaH na vijAnAti Yt-_3.197a
   etān sarvān samāhṛtya Yj_1.289c	etAn sarvAn samAhRtya Yt-_1.289c
   etā vai dakṣiṇāḥ smṛtāḥ Yj_1.306d	etAH vE dakziNAH smRtAH Yt-_1.306d
   etāṃs tātkālikān viduḥ Yj_1.151d	etAn tAtkAlikAn viduH Yt-_1.151d
   ete mahāpātakino Yj_3.227c	ete mahApAtakinaH Yt-_3.227c
   ete mānyā yathāpūrvam Yj_1.35c	ete mAnyAH yaTApUrvam Yt-_1.35c
   etair upāyaiḥ saṃśuddhaḥ Yj_3.159c	etEH upAyEH saMSudDaH Yt-_3.159c
   etair eva guṇair yuktaḥ Yj_1.55a	etEH eva guNEH yuktaH Yt-_1.55a
   etaiḥ prabhūtaiḥ śūdro 'pi Yj_1.116c	etEH praBUtEH SUdraH api Yt-_1.116c
   ebhiś ca vyavahartā yaḥ Yj_2.240c	eBiH ca vyavahartAH yaH Yt-_2.240c
   ebhis tu saṃvased yo vai Yj_3.261a	eBiH tu saMvaset yaH vE Yj_3.261a
   ebhyo mātā garīyasī Yj_1.35d	eByaH mAtA garIyasI Yt-_1.35d
   evam astv iti hovāca Yj_3.334c	evam astu iti ha-uvAca Yt-_3.334c
   evam asyāntarātmā ca Yj_3.220c	evam asya-antarAtmA ca Yt-_3.220c
   evam uktvā viṣaṃ śārṅgaṃ Yj_2.111a	evam uktvA vizam SArFgam Yt-_2.111a
   evam etad anādyantaṃ Yj_3.124c	evam etat anAdyantam Yt-_3.124c
   evam enaḥ śamaṃ yāti Yj_1.13a	evam enaH Samam yAti Yt-_1.13a
   evaṃ gacchan striyaṃ kṣāmāṃ Yj_1.80a	evam gacCan striyam kzAmAm Yt-_1.80a
   evaṃ cāndrāyaṇena vā Yj_3.265b	evam cAndrAyaNena vE Yt-_3.265b
   evaṃ puruṣakāreṇa Yj_1.351c	evam puruzakAreNa Yt-_1.351c
   evaṃ pradakṣiṇāvṛtko Yj_1.250a	evam pradakziNAvRtkaH Yt-_1.250a
   evaṃ mātāmahācārya- Yj_3.4a	evam mAtAmaha-AcArya Yt-_3.4a
   evaṃ vināyakaṃ pūjya Yj_1.293a	evam vinAyakam pUjya Yt-_1.293a
   evaṃvṛtto 'vinītātmā Yj_3.155a	evaMvRttaH avinIta-AtmA Yt-_3.155a
