   Bhss_1.1:	BhsH-_1.1:
   kala-kvaṇat-kaṅkaṅa-nūpuraṃ jabād	kala--kvaNat--kaFkaFa-nUpuram jabAd
   atyucchalad-gātra-yuga-cchavi-cchaṭām	ati-ucCalad--gAtra--yuga--cCa-vi-=-CawAm
   vyastālakāgrāvali-veṣṭanonnamat-	vyasta-alaka-agra-Avali--vezwana-unnamat-
   tā aṅka-hāra-dyuti-dīpitānanam	tAH aFka--hAra--dyuti--dIpita-Ananam
   (Kṛṣṇa-bhāvanāmṛtam 1.36)	(KRzNa--BAvanA-amRtam 1.36)
   Bhss_1.52:	BhsH-_1.52:
   srastāṃśukānveṣaṇa-saṃbhramodayād	srasta-aMSuka-anvezaNa--saMBrama-udayAd
   itas-tato nyasta-karābja-mañjulam	itas-tataH nyasta--kara-abja--maQjulam
   śayyotthitaṃ keli-vilāsinos tayos	SayyA-utTitam keli-vilAsinoH tayos
   trailokya-lakṣmīm iva sañcikāya tam	trElokya-lakzmIm iva saQcikAya tam
   (Kṛṣṇa-bhāvanāmṛtam 1.37)	(KRzNa--BAvanA-amRtam 1.37)
   ghūrṇālasākṣaṃ ślatha-sarva-gātraṃ	GUrNAla-sAkzam SlaTa--sarva--gAtram
   viśrasta-keśaṃ rasika-dvayaṃ tat	viSrasta-keSam rasika--dvayam tat-
   bhugnopaveśaṃ skhalane kathaṃ cid	Bugna-upaveSam sKalane kaTam cit-
   anyonyam ālambanatāṃ prapede	anyonyam Alambana-tAm prapede
   (Kṛṣṇa-bhāvanāmṛtam 1.38)	(KRzNa--BAvanA-amRtam 1.38)
   Bhss_1.54:	BhsH-_1.54:
   anyonya-grathitāṅgulī-kisalayām unnīya bāhu-dvayīṃ	anyonya--graTita-aFgulI--kisalayAm unnIya bAhu--dvayIm
   jṛmbhārambha-puraḥsaraṃ vidadhatī gātrasya saṃmo anam	jRmBA-ramBa--puraHsaram vidaDatI gAtrasya saMmaH anam
   mīlan-netram urojayor nakha-pada-vyādāna-dīnānanā	mIlan--netram urojayoH naKa-pada--vyAdAna-dIna-AnanA
   nā-nā-neti punar nakha-kṣata-dhiyā sā kṛṣṇa-pāṇī dadhe	na-a-nA-nA-iti punar naKa--kzata-DiyA sA kRzNa--pANI daDe
   (Alaṅkāra-kaustubhaḥ 5.236)	(a-alaFkAra--kOstuBaH 5.236)
   Bhss_1.55:	BhsH-_1.55:
   saṅgopāya pa āñcalena tanunā niḥsāri-dantāvalī-	saFgopAya paH AQcalena tanunA niHsAri--danta-AvalI-
   jyotsnābhiḥ snapitena dakṣiṇa-karākṛṣṭena vaktrāmbujam	jyotsnABiH snapitena dakziNa--kara-AkRzwena vaktra-ambujam
   līlollāsita-kandharaṃ mṛdu-kalair vāmāṅguli-ccho ikā-	lIlA-ullAsita--kanDaram mRdu-kalEH vAma-aFguli-cCaH ikA-
   niḥsvānaiś cala-kaṅkaṇa-svana-sakhaiḥ śrī-rādhikā'jṛmbhata	niHsvAnEH cala--kaFkaNa--sva-na-saKEH SrI-rADikA-ajRmBata
   (Alaṅkāra-kaustubhaḥ 5.237)	(a-alaFkAra--kOstuBaH 5.237)
   Bhss_1.56:	BhsH-_1.56:
   alasa-valitam ūrdhvī-kṛtya mūrdhopakaṇṭhe	alasa-valitam UrDvI-kRtya mUrDa-upakaNWe
   valayitam idam anyonyena saṃsakta-pāṇi	valayitam idam anyonyena saMsakta-pANi
   trika-vicalana-bhaṅgi-saṅgi mo āyitāyāḥ	tri-ka-vicala-na-BaFgi--saFgi maH AyitAyAH
   paridhir iva mukhendor bhāti dordvandvam asyāḥ	pariDiH iva muKa-indoH BAti dos-dvandvam asyAH
   (Alaṅkāra-kaustubhaḥ 5.238)	(a-alaFkAra--kOstuBaH 5.238)
   Bhss_1.57:	BhsH-_1.57:
   utthāyeśaḥ sanniviṣṭo 'tha talpe	utTAya-ISaH sannivizwaH aTa talpe
   vyājān nidrā-śālinīṃ mīlitākṣīm	vyAjAt nidrA--SAlinIm mIlita-akzIm
   dorbhyāṃ kāntāṃ svāṅkam ānīya tāntāṃ	dorByAm kAntAm sva-aFkam AnIya tAntAn
   paśyaty asyā mādhurīṃ sādhurīti	paSyati asyAH mADurIm sADurI-iti
   (Govinda-līlāmṛtam 1.51)	(Govinda--lIlA-amRtam 1.51)
   Bhss_1.58:	BhsH-_1.58:
   ghūrṇāyamānekṣaṇa-khañjarī aṃ	GUrNAyamAna-IkzaNa--KaQjarI am
   lalā a-lolālaka-bhṛṅga-jālam	lalA a-lolAlaka--BRFga--jAlam
   mukhaṃ prabhātābja-nibhaṃ priyāyāḥ	muKam praBAta-abja--niBam priyAyAH
   papau dṛśeṣat-smitam acyuto 'sau	papO dRSezat-smitam acyutaH asO
   (Govinda-līlāmṛtam 1.52)	(Govinda--lIlA-amRtam 1.52)
   Bhss_1.59:	BhsH-_1.59:
   saṃśliṣṭa-sarvāṅguli-bāhu-yugmam	saMSlizwa--sarva-aFguli-bAhu--yugmam
   unmathya dehaṃ parimo ayantīm	unmaTya deham parimaH ayantIm
   udbuddha-jṛmbhā-sphuṭa-danta-kāntim	udbudDa--jRmBA--sPuwa-danta--kAntim
   ālokya kāntāṃ mumude mukundaḥ	Alokya kAntAm mumude mukundaH
   (Govinda-līlāmṛtam 1.53)	(Govinda--lIlA-amRtam 1.53)
   Bhss_1.60:	BhsH-_1.60:
   tadaiva jṛmbhottha-radāṃśu-jāla-	tadA-eva jRmBA-utTa-rada-aMSu--jAla-
   māṇikya-dīpair nirarājayat kim	mANikya--dIpEH nirarAjayat kim
   sa-nidram unmudra-dṛganta-lakṣmī-	sa-nidram unmudra-dRS-anta-lakzmI-
   rasa-jñayānyonya-vilihyamānam	rasa-jQayA-anyonya--vilihyamAnam
   (Kṛṣṇa-bhāvanāmṛtam 1.40)	(KRzNa--BAvanA-amRtam 1.40)
   Bhss_1.61:	BhsH-_1.61:
   svīyāṅkottāna-suptām uṣasi mṛdu mṛṣā rodaneṣat-smitāsyām	svIya-aFka-uttAna--suptAm uzasi mRdu mRzA rodanezat-smitA-asyAm
   ardhonmuktāgra-keśāṃ vimṛdita-kusuma-srag-dharāṃ chinna-hārām	arDa-unmukta-agra-keSAm vimRdita-kusuma--sraj--DarAm Cinna-hArAm
   unmīlyonmīlya ghūrṇālasa-nayana-yugaṃ svānanālokanotkāṃ	unmIlyA-unmIlya GUrNAla-sa-nayana---yugam svAnana-Alokana-utkAm
   kāntāṃ tāṃ keli-tāntāṃ mudam atulatamām āpa paśyan vrajenduḥ	kAntAm tAm keli-tAntAm mudam atulatamAm Apa paSyan vraja-induH
   (Govinda-līlāmṛtam 1.54)	(Govinda--lIlA-amRtam 1.54)
   Bhss_1.62:	BhsH-_1.62:
   hemābjāṅgyāḥ prabala-suratāyāsa-jātālasāyāḥ	hema-abja-aFgyAH prabala--surata-AyAsa--jAta-alasAyAH
   kāntasyāṅke nihata-vapuṣaḥ snigdha-tāpiñcha-kānteḥ	kAntasya-aFke nihata-vapuzaH snigDa--tApiQCa-kAnteH
   śampākampā nava-jala-dhare sthāsnutāṃ ced adhāsyat	SampA-kampA nava--jala-Dare sTAsnu-tAm ced aDAsyat-
   śrī-rādhāyāḥ sphuṭam iha tadā sāmya-kakṣām avāpsyat	SrI--rADAyAH sPuwam iha tadA sAmya--kakzAm avApsyat-
   (Govinda-līlāmṛtam 1.55)	(Govinda--lIlA-amRtam 1.55)
   Bhss_1.63:	BhsH-_1.63:
   sphuran makara-kuṇḍalaṃ madhura-manda-hāsodayaṃ	sPurat makara--kuNxalam maDura--manda-hAsa-udayam
   madālasa-vilocanaṃ kamala-gandhi lolālakam	mada-alasa--vilocanam kamala--ganDi lolAlakam
   mukhaṃ sva-daśana-kṣatāñjana-malīmasauṣṭhaṃ hareḥ	muKam sva--daSana-kzata-aQjana---malIm-asa-ozWam hareH
   samīkṣya kamalekṣaṇā punar abhūd vilāsotsukā	samIkzya kamala-IkzaNA punar aBUt vilAsa-utsukA
   (Govinda-līlāmṛtam 1.56)	(Govinda--lIlA-amRtam 1.56)
   Bhss_1.64:	BhsH-_1.64:
   parasparālokana-jāta-lajjā-	paraspara-Alokana--jAta--lajjA-
   nivṛtta-cañcad-dara-kuñcitākṣam	nivRtta--caQcat--dara---kuQcita-akzam
   īṣat-smitaṃ vīkṣya mukhaṃ priyāyā	Izat--smitam vIkzya muKam priyAyA
   uddīpta-tṛṣṇaḥ punar āsa kṛṣṇaḥ	uddIpta-tRzNaH punar Asa kRzNaH
   (Govinda-līlāmṛtam 1.57)	(Govinda--lIlA-amRtam 1.57)
   Bhss_1.65:	BhsH-_1.65:
   vāmena cādhaḥ śira unnamayya	vAmena ca-aDas SiraH unnamayya
   kareṇa tasyāś cibukaṃ pareṇa	kareNa tasyAH cibukam pareNa
   vibhugna-kaṇṭhaḥ smita-śobhi-gaṇḍaṃ	viBugna-kaNWaH smita--SoBi--gaNxam
   mukhaṃ priyāyāḥ sa muhuś cucumba	muKam priyAyAH sa muhur cucumba
   (Govinda-līlāmṛtam 1.58)	(Govinda--lIlA-amRtam 1.58)
   Bhss_1.66:	BhsH-_1.66:
   kāntādhara-sparśa-sukhābdhi-magnā	kAnta-aDara--sparSa--suKa-abDi--magnA
   karaṃ dhunānā dara-kuñcitākṣī	karam DunAnA dara--kuQcita-akzI
   mā meti mandākṣara-sanna-kaṇṭhī	mA mA-iti manda-akzara--sanna-kaNWI
   sakhī-dṛśāṃ sā mudam ātatāna	saKI-dRSAm sA mudam AtatAna
   (Govinda-līlāmṛtam 1.59)	(Govinda--lIlA-amRtam 1.59)
   Bhss_1.67:	BhsH-_1.67:
   rūpāmṛtaṃ me tri-jagad-vilakṣaṇaṃ	rUpa-amRtam me tri-jagat--vilakzaNam
   niḥsīma-mādhuryam idaṃ ca yauvanam	niHsIma--mADuryam idam ca yOvanam
   adyaiva sāphalyam avāpa sarvathā	adya-eva sAPalyam avApa sarvaTA
   preyānupābhuṅktatamāṃ mudā yataḥ	preyAn-upABuFktatamAm mudA yatas-
   (Kṛṣṇa-bhāvanāmṛtam 2.20)	(KRzNa--BAvanA-amRtam 2.20)
   Bhss_1.68:	BhsH-_1.68:
   saivaṃ vicintya kṣaṇam āha kāntaṃ	sA-evam vicintya kzaNam Aha kAntam
   tad-akṣi-pītākhila-mādhurīkā	tat--akzi--pItA-aKila--mADurIkA
   svāntar mudātyartha-lasad-dṛganta-	sva-antar mudA-ati-arTa-lasat--dRS-anta-
   lakṣmī-vihārāyatanāsya-padmam	lakzmI--vihAra-Ayatana-Asya--padmam
   (Kṛṣṇa-bhāvanāmṛtam 2.21)	(KRzNa--BAvanA-amRtam 2.21)
   Bhss_1.69:	BhsH-_1.69:
   bho bho vilāsinn avadhehi yat tvayā	Bo Bo vilAsin avaDehi yat tvayA
   visrasta-veśābharaṇāsmy ahaṃ kṛtā	visrasta-veSa-ABaraNa-asmi aham kRtA
   yāvan mad-ālyo 'nusaranti noṣasi	yAvat mad--AlyaH anusaranti na-uzasi
   drutaṃ samādhitsasi tan na kiṃ punaḥ	drutam samADitsasi tat na kim punar-
   (Kṛṣṇa-bhāvanāmṛtam 2.22)	(KRzNa--BAvanA-amRtam 2.22)
   Bhss_1.70:	BhsH-_1.70:
   sva-cāturīṃ sādhaya māṃ prasādhaya	sva-cAturIm sADaya mAm prasADaya
   prasādayānaṅgam abhīṣṭa-daivatam	prasAdaya-anaFgam aBIzwa--dEvatam
   yo 'sman mano-mandira-varty ayaṃ tvayā	yaH asmat mano-mandira-varti ayam tvayA
   bahiṣ-kṛto lakṣmabhir ebhir eva yat	bahiz-kRtaH lakzmaBiH eBiH eva yat-
   (Kṛṣṇa-bhāvanāmṛtam 2.23)	(KRzNa--BAvanA-amRtam 2.23)
   Bhss_1.71:	BhsH-_1.71:
   satyaṃ bravīṣy aṅga-jam iṣṭa-devaṃ	satyam bravIzi aFga-jam izwa-devam
   tvad-aṅga-pīṭhe prakaṭī-bhavantam	tvad--aFga-pIWe prakawI-Bavantam
   yajāmi bhūṣāmbara-gandha-puṣpaṃ	yajAmi BUzA-ambara--ganDa--puzpam
   srak-candanādyair iti tāṃ sa ūce	srak--candana-AdyEH iti tAm saH Uce
   (Kṛṣṇa-bhāvanāmṛtam 2.24)	(KRzNa--BAvanA-amRtam 2.24)
   Bhss_1.72:	BhsH-_1.72:
   ittham īśvaryā vākyaṃ hi	itTam ISvaryAH vAkyam hi
   śrutvā sevana-peśalā	SrutvA sevana--peSalA
   tad-upayogi-vastūni	tad--upayogi-vastUni
   samarpayitum utsukā	samarpayitum utsukA
   Bhss_1.73:	BhsH-_1.73:
   dvāraṃ samunmucya manāg anāravaṃ	dvAram samunmucya manAk anAravam
   śanaiḥ pada-nyāsa-viśeṣa-mañjulā	SanEs pada-nyAsa--viSeza--maQjulA
   nirṇīta taj-jāgaraṇātha kiṅkarī-	nirNIta taj-jAgaraNa-aTa kiFkarI-
   tatir viśaṅkā praviveśa veśma sā	tatiH viSaFkA praviveSa veSma sA
   (Kṛṣṇa-bhāvanāmṛtam 1.26)	(KRzNa--BAvanA-amRtam 1.26)
   Bhss_1.74:	BhsH-_1.74:
   itas tato nyasta-maṇi-pradīpān	itas tatas nyasta-maNi--pradIpAn
   aphulla-nīlotpala-campakābhān	aPulla--nIlotpala--campaka-ABAn
   vidhatta etau sva-mayūkha-vṛndair	viDatte etO sva--mayUKa--vRndEH-
   anāvṛtair maṇḍana-mālya-celaiḥ	anAvRtEH maNxana--mAlya--celEH
   (Kṛṣṇa-bhāvanāmṛtam 1.9)	(KRzNa--BAvanA-amRtam 1.9)
   Bhss_1.75:	BhsH-_1.75:
   mitho daśana-vikṣatādhara-pu au vilāsālasau	miTas daSana--vikzata-aDara-pu O vilAsa-alasO
   nakhāṅkita-kalevarau galita-patra-lekhāśriyau	naKa-aFkita-kalevarO galita-patra-leKA-SriyO
   ślathāmbara-sukuntalau tru ita-hāra-puṣpa-srajau	SlaTa-ambara--su-kuntalO tru ita-hAra--puzpa-srajO
   muhur mumudire puraḥ samabhilakṣya tāḥ sva-priyau	muhur mumudire puras samaBilakzya tAH sva-priyO
   (Govinda-līlāmṛtam 1.63)	(Govinda--lIlA-amRtam 1.63)
   Bhss_1.76:	BhsH-_1.76:
   athāmunā kaṅkatikāṃ śanaiḥ śanair	aTa-amunA kaFkatikAm SanEs SanEs-
   vikarṣatā bhānumatī-karārpitām	vikarzatA BAnum-atI--kara-arpitAm
   kacāvalī saṃstriyate sma mālatī-	kacA-AvalI saMstriyate sma mAlatI-
   mālota-veṇī-racanā-paṭīyasā	mAlota--veNI--racanA--pawIyasA
   (Kṛṣṇa-bhāvanāmṛtam 2.25)	(KRzNa--BAvanA-amRtam 2.25)
   Bhss_1.77:	BhsH-_1.77:
   kastūrikā-candana-kuṅkuma-dravaiḥ	kastUrikA-candana--kuFkuma--dravEH
   sambhāvitais tām anurāgalekhayā	samBAvitEH tAm anurAga-leKayA
   cakāra mālāñcita-cāru-citrakāṃ	cakAra mAlA-AQcita--cAru--citrakAn
   sa citra-cuñcur dhṛta-navya-vartikaḥ	sa citra-cuQcuH DRta--navya-vartikaH
   (Kṛṣṇa-bhāvanāmṛtam 2.26)	(KRzNa--BAvanA-amRtam 2.26)
   Bhss_1.78:	BhsH-_1.78:
   tā aṅka-yugmena lavaṅga-mañjarī-	tAH aFka--yugmena lavaFga-maQjarI-
   sampāditāpūrva-rucā sa cāruṇī	sampAditA-pUrva-rucA sa cAruNI
   ānarca tasyāḥ śravaṇe navāñjane-	Anarca tasyAH SravaNe navAQjane-
   nānañja-kañja-pratim etad akṣinī	na-anaQja--kaQja--pratim etat akzinI
   (Kṛṣṇa-bhāvanāmṛtam 2.27)	(KRzNa--BAvanA-amRtam 2.27)
   Bhss_1.79:	BhsH-_1.79:
   dadhāra hāraṃ ruci-mañjarīlitaṃ	daDAra hAram ruci--maQjarIlitam
   yadā tadoce priyayā madoddhuram	yadA tadoce priyayA mada-udDuram
   yā khaṇḍitā candana-kañculī tvayā	yA KaNxitA candana--kaQculI tvayA
   vakṣojayos tāṃ na kutaś cikīrṣasi?	vakzaH-jayoH tAm na kutas cikIrzasi?
   (Kṛṣṇa-bhāvanāmṛtam 2.28)	(KRzNa--BAvanA-amRtam 2.28)
   Bhss_1.80:	BhsH-_1.80:
   ālekhya-karmaṇy atigarva-dhāriṇīs	AleKya-karmaNi ati-garva--DAriNIs
   tās tā viśākhā-prabhṛtīr bhavat sakhīḥ	tAH tAH viSAKA--praBRtIH Bavat saKIH
   vismāpayāmy adya kuca-dvaye kṛtaiś	vismApayAmi adya kuca--dvaye kRtEH-
   citrair vicitrair iti tāṃ jagāda saḥ	citrEH vicitrEH iti tAm jagAda saH
   (Kṛṣṇa-bhāvanāmṛtam 2.29)	(KRzNa--BAvanA-amRtam 2.29)
   Bhss_1.81:	BhsH-_1.81:
   prasādhanārtha-pratipādanonmukha-	prasADana-arTa--pratipAdana-unmuKa-
   śrī-rūpa-līlā-rati-mañjarī-mukhaḥ	SrI--rUpa-lIlA-rati-maQjarI-muKaH
   stana-dvayaṃ tulikayāṅkayan hari	stana--dvayam tulikayA-aFkayan hari
   pañceṣu-pañceṣu-śaravyatām agāt	paQca-izu--paQca-izu-SaravyatAm agAt-
   (Kṛṣṇa-bhāvanāmṛtam 2.30)	(KRzNa--BAvanA-amRtam 2.30)
   Bhss_1.82:	BhsH-_1.82:
   pāṇiś ca kampe yadi vakra-rekhaṃ	pANiH ca kampe yadi vakra-reKam
   citraṃ vilumpann urasā muhuḥ saḥ	citram vilumpan urasA muhur saH
   manye smarāgniṃ dhamati sma tasyā	manye smara-agnim Damati sma tasyAH-
   dhṛtīndhanaṃ dagdhu-manā vidagdhaḥ	DRti-inDanam dagDu-manAH vidagDaH
   (Kṛṣṇa-bhāvanāmṛtam 2.31)	(KRzNa--BAvanA-amRtam 2.31)
   Bhss_1.83:	BhsH-_1.83:
   kāmas tam avakalpam analpa-vaibhavaiḥ	kAmaH tam avakalpam analpa--vEBavEH
   sadyo vidhāyāniyata-sthala-sthitam	sadyas viDAya-aniyata--sTala--sTitam
   vimṛjya saṃsṛjya vikhaṇḍya khaṇḍaśas	vimRjya saMsRjya viKaNxya KaNxaSas-
   tenaiva sollāsam ubhāv abhūṣayat	tena-eva sa-ullAsam uBO aBUzayat-
   (Kṛṣṇa-bhāvanāmṛtam 2.32)	(KRzNa--BAvanA-amRtam 2.32)
   Bhss_1.84:	BhsH-_1.84:
   dāsyaś ca tāḥ phulla-dṛśāṃ kṛtārthatāṃ	dAsyaH ca tAH Pulla-dRSAm kRtArTa-tAm
   mūrtāṃ cirāyābhilaṣantya eva tām	mUrtAm cirAya-aBilazantyaH eva tAm
   punā riraṃsū samavetya tau tato	punA riraMsU samavetya tO tatas-
   miṣeṇa sarvā niragūhi kenacit	mizeNa sarvAH niragUhi kenacid-
   (Kṛṣṇa-bhāvanāmṛtam 2.33)	(KRzNa--BAvanA-amRtam 2.33)
   Bhss_1.85:	BhsH-_1.85:
   punar api ghana-ghūrṇa śrī-mukha-dvandva-yogād	punar api Gana-GUrNa SrI-muKa--dvandva--yogAt-
   acaṭula-bhujavallī-veṣṭaneneṣṭabhāsau	acawula--Buja-vallI--vezwanena-izwa-BAsO
   kṣaṇam api dara-suptyā śaṃ bhajāvetya tas tāv	kzaNam api dara--suptyA Sam BajO=-etya tas tO=-
   anṛju-kusuma-talpe srasta-gātrāv abhūtām	anRju--kusuma--talpe srasta-gAtrO aBUtAm
   (Kṛṣṇa-bhāvanāmṛtam 1.41)	(KRzNa--BAvanA-amRtam 1.41)
   Bhss_1.86:	BhsH-_1.86:
   viraha-vikalayā tac chayyayā dūnayā kiṃ	viraha--vikalayA tat SayyayA dUnayA kim
   katham api dara-labdhāśleṣayā nidrayā vā	kaTam api dara-labDa-ASlezayA nidrayA vA
   uṣasi na ca vihātuṃ hanta śaktau khagās tau	uzasi na ca vihAtum hanta SaktO KagAH tO
   tad api vidadhurābhyāṃ vipra-yuktau svanantaḥ	tat api vidaDurAByAm vipra-yuktO su-anantaH
   (Kṛṣṇa-bhāvanāmṛtam 1.42)	(KRzNa--BAvanA-amRtam 1.42)
   Bhss_1.87:	BhsH-_1.87:
   agaṇita-kula-niṣṭhā mā nikuñje śayiṣṭhāḥ	agaNita--kula--nizWAH mA nikuQje SayizWAH
   parihara surata-ghnaṃ svāpam udgaccha śīghram	parihara surata-Gnam svApam udgacCa SIGram
   samajani saviśeṣaḥ paśya doṣāvaśeṣaḥ	samajani sa-viSezaH paSya doza-avaSezaH
   kuru na gata-samādhāṃ bandhu-vargasya bādhām	kuru na gata--samADAm banDu--vargasya bADAm
   (Kṛṣṇāhnika-kaumudī 1.4)	(KRzNA-Ahnika-kOmudI 1.4)
   Bhss_1.88:	BhsH-_1.88:
   iyam ajani digaindrī dṛśyatāṃ devi! sāndrī-	iyam ajani diS-EndrI dRSyatAm devi! sAndrI-
   bhavad aruṇima-dhārā tvat-pādābjānukārā	Bavat aruNima-DArA tu-at-pAda-abja-anukArA
   iyam api ca varākī satvarā cakravākī	iyam api ca varAkI satvarA cakravAkI
   parimilita rathāṅge jāta-viccheda-bhaṅge	parimilita raTAFge jAta--vicCeda--BaFge
   (Kṛṣṇāhnika-kaumudī 1.5)	(KRzNA-Ahnika-kOmudI 1.5)
   Bhss_1.89:	BhsH-_1.89:
   api tava mukha-śobhām āptu-kāmo 'tilobhād	api tava muKa--SoBAm Aptu--kAmaH ati-loBAt-
   aparikalita-kāmaḥ svaṃ vapus tyaktu-kāmaḥ	aparikalita-kAmaH svam vapuH tyaktu-kAmaH
   carama-śikhari-śṛṅgaṃ prāpya paśyaiva tuṅgaṃ	carama-SiKari--SRFgam prApya paSya-eva tuFgam
   vrajati śaśadharo 'staṃ vārayed adya kas tam	vrajati SaSaDaraH astam vArayet adya kaH tam
   (Kṛṣṇāhnika-kaumudī 1.6)	(KRzNA-Ahnika-kOmudI 1.6)
   Bhss_1.90:	BhsH-_1.90:
   sumukhi! nayana-mudrāṃ muñca nirdhūya nidrāṃ	su-muKi! nayana-mudrAm muQca nirDUya nidrAm
   kalaya vadana-māsāṃ vidyud uddyota-bhāsām	kalaya vadana-mAsAm vidyut uddyota-BAsAm
   rati-vigalita-bhūṣāṃ vyasta-paryasta-veṣāṃ	rati-vigalita-BUzAm vyasta--paryasta--vezAm
   vilulita-tanum etās tvāṃ bhajantāṃ sametāḥ	vilulita--tanum etAH tvAm BajantAm sametAH
   (Kṛṣṇāhnika-kaumudī 1.9)	(KRzNA-Ahnika-kOmudI 1.9)
   Bhss_1.91:	BhsH-_1.91:
   nija-kara-paripuṣṭā paśya seyaṃ praviṣṭā	nija-kara--paripuzwA paSya sA-iyam pravizwA
   śaśi-mukhi! lalitāṅgī sannidhau te kuraṅgī	SaSi-muKi! lalita-aFgI sanniDO te kuraFgI
   kuru sa-kṛpam apāṅge kiñcid añcat-taraṅge	kuru sa-kRpam apAFge kiQcid aQcat--taraFge
   bhavatu bata kṛtārthā prītaye te samarthā	Bavatu bata kRtArTA prItaye te samarTA
   (Kṛṣṇāhnika-kaumudī 1.12)	(KRzNA-Ahnika-kOmudI 1.12)
   Bhss_1.92:	BhsH-_1.92:
   nava-kiśalaya-buddhyā jātito 'ntar viśuddhyā-	nava--kiSala-ya-budDyA jAtitaH antar viSudDyA-
   ruṇa-pada-kamalaṃ te svādituṃ kṛṣṇa-kānte!	ruNa--pada--kamalam te svAditum kRzNa--kAnte!
   tvaritam upasarantī tvat-sakhīnāṃ vahantī	tvaritam upasarantI tu-at--saKInAm vahantI
   kara-sarasija-ghātaṃ yā vidhatte prayātam	kara-sarasija-GAtam yA viDatte prayAtam
   (Kṛṣṇāhnika-kaumudī 1.13)	(KRzNA-Ahnika-kOmudI 1.13)
   Bhss_1.93:	BhsH-_1.93:
   śaśi-mukhi! tava phelā-mātra-bhoge sakhelā	SaSi-muKi! tava PelA--mAtra--Boge sa-KelA
   tava pada-jala-pānāmoda-mātrāvadhānā	tava pada--jala--pAna-Amoda--mAtra-avaDAnA
   api bhavad avalokābhāva-sañjāta-śokā	api Bavat avaloka-aBAva--saQjAta--SokA
   tava mukha-śaśi-bimbāloka-mātrāvalambā	tava muKa-SaSi--bimba-Aloka--mAtrA-avalambA
   (Kṛṣṇāhnika-kaumudī 1.14)	(KRzNA-Ahnika-kOmudI 1.14)
   Bhss_1.94:	BhsH-_1.94:
   harir atikutukī te netra-yugmaṃ mimīte	hariH ati-kutukI te netra--yugmam mimIte
   nayana-yugam amāya-prema yasyāḥ pramāya	nayana---yugam amAya-prema yasyAH pramAya
   kim api vimala-muktā-mālayā cāru-vaktā	kim api vimala-muktA-mAlayA cAru-vaktA
   niyatam upamimānaḥ saṃśayaṃ nirdhunānaḥ	niyatam upamimAnaH saMSayam nirDunAnaH
   (Kṛṣṇāhnika-kaumudī 1.15)	(KRzNA-Ahnika-kOmudI 1.15)
   Bhss_1.95:	BhsH-_1.95:
   iti nigaditavatyaḥ śārikāḥ premavatyaḥ	iti nigaditavatyaH SArikAH premavatyaH
   sukhada-pada-padārthāṃ vācam utthāpanārthām	suKa-da-pada--padArTAm vAcam utTApana-arTAm
   yadi kim api viremuḥ patriṇas taṃ praṇemuḥ	yadi kim api viremuH patriNaH tam praNemuH
   samupasṛta-nikuñjāḥ prāpta-sammoda-puñjāḥ	samupasRta-nikuQjAH prApta-sammoda--puQjAH
   (Kṛṣṇāhnika-kaumudī 1.16)	(KRzNA-Ahnika-kOmudI 1.16)
   Bhss_1.96:	BhsH-_1.96:
   atha śayana-satṛṣṇaṃ bodhayāmāsa kṛṣṇaṃ	aTa Sayana--sa-tRzNam boDayAmAsa kRzNam
   vitatir api śukānāṃ kṛṣṇa-harṣotsukānām	vitatiH api SukAnAm kRzNa--harza-utsukAnAm
   śravaṇa-sukhada-saumyaiḥ snigdha-śabdārtha-ramyaiḥ	SravaNa--suKa-da--sOmyEH snigDa--Sabda-arTa--ramyEH
   sarasataram analpaiḥ kūjitaiḥ sīdhu-kalpaiḥ	sarasataram analpEH kUjitEH sIDu--kalpEH
   (Kṛṣṇāhnika-kaumudī 1.17)	(KRzNA-Ahnika-kOmudI 1.17)
   Bhss_1.97:	BhsH-_1.97:
   praṇaya-rasa-gabhīrāś cāru-śabdārtha-dhīrāḥ	praNaya--rasa--gaBIrAH cAru--Sabda-arTa--DIrAH
   kala-sumadhura-kaṇṭhāḥ prema-jalpeṣv akuṇṭhāḥ	kala--su-maDura--kaNWAH prema--jalpezu akuNWAH
   sati samaya-viveke bodhayāṃ cakrur eke	sati samaya-viveke boDayAm cakruH eke
   na khalu bata vidagdhāḥ kārya-kāle vimugdhāḥ	na Kalu bata vidagDAH kArya--kAle vimugDAH
   (Kṛṣṇāhnika-kaumudī 1.18)	(KRzNA-Ahnika-kOmudI 1.18)
   Bhss_1.98:	BhsH-_1.98:
   subhaga! rajani-śeṣe svāpa-gehe suśeṣe	suBaga! raja-ni-Seze svApa-gehe su-Seze
   tvam iti hi jananī te saṃśayaṃ svaṃ dhunīte	tvam iti hi jananI te saMSayam svam DunIte
   samayam atha viditvā jāgarārthaṃ tvaritvā	samayam aTa viditvA jAgara-arTam tvaritvA
   svayam iyam upagantrī sneha evātra mantrī	svayam iyam upagantrI snehaH eva-atra mantrI
   (Kṛṣṇāhnika-kaumudī 1.23)	(KRzNA-Ahnika-kOmudI 1.23)
   Bhss_1.99:	BhsH-_1.99:
   tvam asi samaya-vettā sarva-duḥkhaika-bhettā	tvam asi samaya--vettA sarva--duHKa-eka-BettA
   bhavasi bhuvana-bandhuḥ sad-guṇa-grāma-sindhuḥ	Bavasi Buvana-banDuH sad-guNa--grAma--sinDuH
