   Tarkabhāṣā	Tarka BAzA
   sadṛśavastunāpi kriyamāṇo ghaṭata iti na tatpratyayādapi tatsiddhiryuktā /	sadRSa vastunA api kriyamANaH GawataH iti na tad pratyayAt api tad sidDiH yuktA /
   upamānādeva sādṛśyasiddhiriti cet? na / yataḥ pramāṇāntarasiddhayoreva	upamAnAt eva sAdRSya sidDiH iti cet? na / yatas pramANa antara sidDayoH eva
   sādṛśyapiṇḍaoyoryo viśeṣaṇaviṣeṣyabhāvastasyopamānaviṣayatvaṃ tena vādinā	sAdRSya piNxaaH yoH yaH viSezaNa vizezya BAvaH tasya upamAna vizaya tvam tena vAdinA
   parikalddhapyate / tatkathaṃ sādṛśyamātrasyāpyupamānāt siddhiriti //	parikalt Dapyate / tat kaTam sAdRSya mAtrasya api upamAnAt sidDiH iti //
   arthāpattipramāṇanirasanam	arTApatti pramANa nirasanam
   arthāpatterapi prāmāṇyaṃ pṛthaṅnopapadyate / tathā hi pratyakṣādipratīto	arTApatteH api prAmANyam pRTak na upapadyate / taTA hi pratyakza Adi pratItaH 
   yo 'rthaḥ sa yena vinā nopapadyate tasyārthasya	yaH arTaH sa yena vinA na upapadyate tasya arTasya
   kalpanamarthāpattirityarthāpatterlakṣaṇam / atredaṃ cintyate   yo 'sau	kalpanam arTApattiH iti arTApatteH lakzaNam / atra idam cintyate  yaH asO
   pramāṇadṛṣṭo 'rthaḥ, tasya yadi parikalpyamānena parokṣārthena saha	pramANa dRzwaH arTaH, tasya yadi parikalpyamAnena parokza arTena saha
   kaścittādāmyalakṣaṇaḥ tadutpattilakṣaṇo va pratibandho 'sti tadā	kaScid tA dAmya lakzaNaH tad utpatti lakzaNaH va pratibanDaH asti tadA
   svabhāvaliṅgajā kāryaliṅgajā vāsau pratipattirityarthāpattiranumānameva /	svaBAva liFga jA kArya liFga jAH vA asO pratipattiH iti arTApattiH anumAnam eva /
   atha nāsti pratibandhaḥ, tadānīmarthāpattiḥ pramāṇameva na bhavati,	aTa na asti pratibanDaH, tadAnIm arTApattiH pramANam eva na Bavati,
   asambandhāt ghaṭātpaṭapratītivaditi //	asambanDAt GawAt pawa pratIti vat iti //
   abhāvapramāṇanirasanam	aBAva pramANa nirasanam
   abhāvasya svarūpameva tāvannopalabhāmahe, kuta eva tasya prāmāṇyaṃ	aBAvasya svarUpam eva tAvat na upalaBAmahe, kutas eva tasya prAmANyam
   bhaviṣyati /	Bavizyati /
   tathā hi  	taTA hi  
   pratyakṣādipramāṇānāmanutpattirabhāvākhyaṃ pramāṇaṃ mīmāṃsakairabhidhīyate	pratyakza Adi pramANAnAm anutpattiH aBAva AKyam pramANam mImAMsakEH aBiDIyate
   / tatra keyamanutpattiḥ? kiṃ prasajyavṛtyā pramāṇānutpattimātram? atha	/ tatra kA iyam anutpattiH? kim prasajya vRtyA pramANa anutpatti mAtram? aTa
   paryudāsavṛtyā vastvantaram? vastvantaramapi jaḍarūpaṃ, jñānarūpaṃ vā?	paryudAsa vRtyA vastu antaram? vastu antaram api jaxa rUpaM, jQAna rUpam vA?
   jñānamapi kiṃ jñānamātram ekajñānasaṃsargivastuno jñānaṃ vā? tatra na	jQAnam api kim jQAna mAtram eka jQAna saMsargi vastunaH jQAnam vA? tatra na
   tāvat prasajyarūpo 'bhāvo yujyate / tasya sarvaśaktiśūnyatvāt	tAvat prasajya rUpaH aBAvaH yujyate / tasya sarva Sakti SUnya tvAt
   paricchedakatvaṃ vā kathaṃ bhavet? ata eva kenāpi na tatpratidyate /	paricCedaka tvam vA kaTam Bavet? atas eva kena api na tat pratidyate /
   yadāha paṇḍitacakracūḍāmaṇiḥ  nābhāvaḥ kasyacitpratipattiḥ	yat Aha paNxita cakra cUxAmaNiH na aBAvaH kasyacid pratipattiH
   pratipattiheturvā /	pratipatti hetuH vA /
   tasyāpi kathaṃ pratipattiḥ iti /	tasya api kaTam pratipattiH iti /
   nāpi jaḍarūpam, jaḍasya paricchedakatvābhāvāt / na hi jaḍarūpaṃ	na api jaxa rUpam, jaxasya paricCedaka tva aBAvAt / na hi jaxa rUpam
   śakaṭādikaṃ ghaṭaṃ paricchinattīti kvāpi dṛṣṭaṃ śrutaṃ veti / nāpi	Sakawa Adikam Gawam paricCinatti iti kvApi dRzwam Srutam vA iti / na api
   jñānamātram, deśakālasvabhāvaviprakṛṣṭasyāpi	jQAna mAtram, deSa kAla svaBAva viprakRzwasya api
   sumeruśaṃkhacakravartipiśācāderapi	sumeru SaMKa cakravarti piSAca AdeH api
   jñānamātrādabhāvapramāṇādabhāvaprasaṅgāt /	jQAna mAtrAt aBAva pramANAt aBAva prasaFgAt /
   athaikajñānasaṃsargibhūtalādivastujñānamabhāvo 'bhidhīyate tadā	aTa eka jQAna saMsargi BU tala Adi vastu jQAnam aBAvaH aBiDIyate tadA
   pratyakṣaviśeṣasyaivābhāvapramāṇanāmaka raṇānnāsmākaṃ kācid	pratyakza viSezasya eva aBAva pramANa nAmaka raNAt na asmAkam kAcid 
   vipratipattiriti / sthitametat  pratyakṣamanumānaṃ ceta dvividhameva	vipratipattiH iti / sTitam etat pratyakzam anumAnam ceta dviviDam eva
   pramāṇamiti //	pramANam iti //
   pratyakṣalakṣaṇam	pratyakza lakzaNam
   tatra pratyakṣaṃ kalpanāpoḍhamabhrāntam / pūrvoparamanusandhāya	tatra pratyakzam kalpanA apoXam aBra antam / pUrva uparama nusanDAya
   śabdasaṅkīrṇākārā pratītirjalpākārā vā kalpanā / yathā vijñapuruṣasya so	Sabda saFkIrNa AkArA pratItiH jalpa AkArAH vA kalpanA / yaTA vijQa puruzasya saH 
   'yaṃ ghaṭa iti pratītiḥ / bālamūkatiryagādīnāmantarjalpākārā parāmarśarūpā	ayam GawaH iti pratItiH / bAla mUka tiryak AdInAm antar jalpa AkArA parAmarSa rUpA
   vā pratītiḥ / tathā coktam   abhilāpasaṃsargayogyapratibhāsapratītiḥ	vA pratItiH / taTA ca uktam  aBilApa saMsarga yogya pratiBAsa pratItiH
   kalpanā // iti //	kalpanA // iti //
   nanu bālamūkādīnāmantarjalpākāraṃ kalpanājñānamastīti kuto niścetavyamiti	nanu bAla mUka AdInAm antar jalpa AkAram kalpanA jQAnam asti iti kutas niScetavyam iti
   ceta, vikalpakāryādiṣṭāpādānaparihārāt / dṛṣṭaṃ cedaṃ kārya bālamūkādau,	ceta, vikalpa kArya AdizwApa AdAna parihArAt / dRzwam ca idam kArya bAla mUka AdO,
   īptisatārthasvīkaraṇamanīpsitārthatyajanaṃ nāma / bālamūkādivijñānasya	Ipti satA arTa svIkaraNam anIpsitArTatyajanam nAma / bAla mUka Adi vijQAnasya
   kalpanātva sūcanena bhattoktālocanājñānaṃ savikalpakamiti pratipāditaṃ	kalpanAtva sUcanena BattA ukta AlocanA jQAnam sa vikalpakam iti pratipAditam
   bhavati / kiṃ punaḥ kāraṇaṃ kalpanāvibhramātmakaṃ ca jñānaṃ pratyakṣaṃ na	Bavati / kim punar kAraNam kalpanA viBrama Atmakam ca jQAnam pratyakzam na
   syāditi ceta? na / arthasvarūpasākṣākāri hi jñānaṃ pratyakṣamiti sarvoṣāṃ	syAt iti ceta? na / arTa svarUpa sAkzA kAri hi jQAnam pratyakzam iti sarva UzAm
   prasiddham / na ca kalpanāvibhramāvartharūpaṃ sākṣātkartu samarthau /	prasidDam / na ca kalpanA viBramO= arTa rUpam sAkzAtkartu samarTO /
   tathā hi   arthagrāhakaṃ jñānamarthasya kāryam / artho hi grāhyatvāt	taTA hi  arTa grAhakam jQAnam arTasya kAryam / arTaH hi grAhya tvAt 
   jñānasya kāraṇam / yathoktam  	jQAnasya kAraNam / yaToktam  
   bhinnakālaṃ kathaṃ grāhyamiti cet grāhyatāṃ viduḥ /	Binna kAlam kaTam grAhyam iti ced grAhyatAm viduH /
   hetutvameva yuktijñā jñānākārārpaṇakṣamam // iti //	hetu tvam eva yukti jQAH jQAna AkAra arpaNa kzamam // iti //
   kalpanājñānamarthamantareṇa vāsanāmātrādevopajāyamānaṃ kathamarthasya	kalpanA jQAnam arTam antareNa vAsanA mAtrAt eva upajAyamAnam kaTam arTasya
   kāryaṃ syāt, arthena saha anvayavyatirekābhāvāt / na hi yadantareṇāpi	kAryam syAt, arTena saha anvaya vyatireka aBAvAt / na hi yad antareNa api
   yadbhavati tattasya kāryam, atiprasaṅgāt / yadi punaḥ	yat Bavati tat tasya kAryam, atiprasaFgAt / yadi punar 
   kalpanājñānamarthādupajāyeta, tenāpi tadā ghaṭādirartho dṛśyeta /	kalpanA jQAnam arTAt upajAyeta, tena api tadA Gawa AdiH arTaH dRSyeta /
   tataścāndhasyāpi rūpadarśanaprasaṅgaḥ, na cāsti / ata evoktam  	tatas ca anDasya api rUpa darSana prasaFgaH, na ca asti / atas eva uktam  
   śābdyāṃ buddhāvarthasya pratyakṣa iva pratibhāsābhāvād nāsti kalpanāyā	SAbdyAm budDO= arTasya pratyakzaH iva pratiBAsA BAvAt na asti kalpanAyA
   arthasākṣātkāritvam iti //	arTa sAkzAt kAri tvam iti //
   etena yaduktaṃ pareṇaḥ	etena yat uktam pareNaH
   na so 'sti pratyayo loke yaḥ śabdānugamādṛte /	na saH asti pratyayaH loke yaH Sabda anugamAt Rte /
   anuviddhamiva jñānaṃ sarva śabdena bhāsate // iti //	anuvidDam iva jQAnam sarve Sabdena BAsate // iti //
   tannirastam / tathāhi   ghaṭe purovartini uccāryamāṇe tatsamīpavarti	tat nirastam / taTA hi  Gawe purovartini uccAryamANe tad samIpa varti
   bhūtalādijñānamuccāraṇarahitamanubhūyata eva / na ca tathā tatra	BU tala Adi jQAnam uccAraNa rahitam anuBUyate eva / na ca taTA tatra
   śabdānugato 'sti / na ca vikalpadvayaṃ sakṛditi nyāyāt //	Sabda anugataH asti / na ca vikalpa dvayam sakRt iti nyAyAt //
   bhrāntajñānam	BrAnta jQAnam
   bhrāntamapi jñānaṃ nārthasākṣātkāri / bhrāntaṃ hyarthakriyāsamarthae	BrAntam api jQAnam na arTa sAkzAt kAri / BrAntam hi arTa kriyA samarTae
   vastuni viparyastamucyate / arthakriyākṣamaṃ ca vastusvarūpaṃ	vastuni viparyastam ucyate / arTa kriyA kzamam ca vastu svarUpam
   deśakālākāraniyataṃ, tatkathaṃ viparītapratibhāsinā bhrāntena jñānena	deSa kAla AkAra niyataM, tat kaTam viparIta pratiBAsinA BrAntena jQAnena
   sākṣātkriyate / yadāha ācāryaḥ 	sAkzAtkriyate / yat Aha AcAryaH 
   'timirāśubhramaṇanauyānasaṃkṣobhādyanāhitavibhramaṃ jñānaṃ pratyakṣam ' //	atimira ASu Bra maNa nOyAna saMkzoBa Adi anAhita viBramam jQAnam pratyakzam a //
   iti //	iti //
   etena kāmalinaḥ śukle śaṃkhe pītapratibhāsi jñānaṃ, bhramādalātādau	etena kAmalinaH Sukle SaMKe pIta pratiBAsi jQAnaM, BramAt alAtA AdO
   cakrādinirbhāsi jñānaṃ, gacchantyāṃ nāvi sthitasya	cakra Adi nirBAsi jQAnaM, gacCantyAm nAvi sTitasya
   caladavṛkṣādibhrāntijñānaṃ, gāḍhamarmaprahārahatasya	caladavRkza Adi BrAnti jQAnan, gAXa marma prahAra hatasya
   jvalatstambhādipratibhāsi jñānaṃ ca, na pratyakṣamityuktaṃ bhavati /	jvalat stamBa Adi pratiBA asi jQAnam ca, na pratyakzam iti uktam Bavati /
   nanu yadi nāma tajjñānaṃ na pratyakṣaṃ kathaṃ tato vastuprāptiriti cet? na	nanu yadi nAma tat jQAnam na pratyakzam kaTam tatas vastu prAptiH iti cet? na
   tato vastuprāptiḥ / kiṃ tarhi, jñānāntarādeveti kecit /	tatas vastu prAptiH / kim tarhi, jQAna antarAt eva iti kecid /
   pratyakṣasya cāturvidhyam	pratyakzasya cAturviDyam
   taccaturvidhaṃ  indriyajñānaṃ mānasaṃ svasaṃdanaṃ yogijñānaṃ ceti /	tat caturviDan indriya jQAnam mAnasam sva saMdanam yogi jQAnam ca iti /
   indriyapratyakṣam	indriya pratyakzam
   cakṣurādīndriyapañcakāśrayeṇotpadyamānaṃ	cakzuH Adi indriya paQcaka ASrayeNa utpadyamAnam
   bāhyarūpādipañcaviṣayālambanamindriyapratyakṣam / tatra cakṣurvijñānaṃ	bAhya rUpa Adi paQca vizaya Alambanam indriya pratyakzam / tatra cakzuH vijQAnam
   rūpaviṣayam / śrotravijñānaṃ ca śabdaviṣayam / ghrāṇavijñānaṃ	rUpa vizayam / Srotra vijQAnam ca Sabda vizayam / GrANa vijQAnam
   gandhaviṣayam / jihvāvijñānaṃ rasaviṣayam / kāyavijñānaṃ sparśaviṣayam /	ganDa vizayam / jihvA vijQAnam rasa vizayam / kAya vijQAnam sparSa vizayam /
   indriyapratyakṣasya vyapadeśaḥ	indriya pratyakzasya vyapadeSaH
   indriyapratyakṣamiti vyapadeśasyāsādhāraṇakāraṇatvaṃ nimittam / yathā	indriya pratyakzam iti vyapadeSasya asADAraNa kAraNa tvam nimittam / yaTA
   bherīśabdo yavāṅkara iti / idaṃ ca pratyakṣaṃ yatraiva svānurūpaṃ vikalpaṃ	BerI SabdaH yava aFkaraH iti / idam ca pratyakzam yatra eva sva anurUpam vikalpam
   janayati tatraiva pramāṇam, sāṃvyāvahārika pramāṇādhikārāditi //	janayati tatra eva pramANam, sAMvyAvahArika pramANa aDikArAt iti //
   mānasapratyakṣam	mAnasa pratyakzam
   svaviṣayānantaraviṣayasahakāriṇendriyajñānena samanantarapratyayena	sva vizaya anantara vizaya sahakAriNA indriya jQAnena samanantara pratyayena
   janitaṃ manovijñānaṃ mānasam / svaśabdenendriyajñānamabhimatam, svasya	janitam manaH vijQAnam mAnasam / sva Sabdena indriya jQAnam aBimatam, svasya
   viṣayo bāhyo ghaṭādiḥ, svaviṣayasyānantaraḥ, svaviṣayānantaraḥ	vizayaH bAhyaH Gawa AdiH, sva vizayasya anantaraH, sva vizaya anantaraH
   indriyajñānaviṣayādanyo ghaṭādirdvitīyakṣaṇaḥ / tena sahakāriṇā saha	indriya jQAna vizayAt anyaH Gawa AdiH dvitIya kzaNaH / tena sahakAriNA saha
   militvā, indriyajñānenopādānena samanantarapratyayasaṃjñakena yajjanitaṃ	militvA, indriya jQAnena upAdAnena samanantara pratyaya saMjQakena yat janitam
   tanmānasaṃ pratyakṣamucyate / tato yaduktaṃ pareṇātraḥ	tat mAnasam pratyakzam ucyate / tatas yat uktam pareNa atraH
   'gṛhītagrāhitvamandhabadhirādyabhāvo yogijñānasyāpi mānasatvaprasaṅgaḥ	agRhIta grAhi tvam anDa baDira Adi aBAvaH yogi jQAnasya api mAnasatva prasaFgaH
   avyavahāritvaṃ ca' iti / tannirastam / tathā hi   dvitīyakṣaṇagrahaṇāt	avyavahAri tvam ca a iti / tat nirastam / taTA hi  dvitIya kzaNa grahaNAt 
   gṛhītagrāhitvasya nirāsaḥ / indriyajñānajanitaṃ hi mānasam / andhādīnāṃ	gRhIta grAhi tvasya nirAsaH / indriya jQAna janitam hi mAnasam / anDa AdInAm
   rūpādiviṣayālambanakamindriyajñānameva nāsti, kutastajjanitaṃ mānasaṃ	rUpa Adi vizaya Alambanakam indriya jQAnam eva nAsti, kutas tat janitam mAnasam
   bhaviṣyati? ato nāstyandhabadhirādyabhāvadoṣaḥ /	Bavizyati? atas na asti anDa baDira Adi aBAva dozaH /
   samanantarapratyayaviśeṣaṇena yogijñānasya mānasapratyakṣaprasaṅgo	samanantara pratyaya viSezaNena yogi jQAnasya mAnasa pratyakza prasaFgaH 
   nirastaḥ / samanantarapratyayaśabdaḥ svasantānavartinyupādānajñāne ruḍhyā	nirastaH / samanantara pratyaya SabdaH sva santAna vartinI upAdAna jQAne ruXyA
   prasiddhaḥ / tato bhinnasantānavartiyogijñānamapekṣya pṛthagjanacittānāṃ	prasidDaH / tatas Binna santAna varti yogi jQAnam apekzya pRTagjana cittAnAm
   samanantarapratyayavyapadeśo nāstīti / avyavahāritvaṃ punarasya dūṣaṇaṃ	samanantara pratyaya vyapadeSaH na asti iti / avyavahAri tvam punar asya dUzaNam
   nopapadyate, sūkṣmakālabhāvitvena pṛthagjanairdurlakṣyatvāt /	na upapadyate, sUkzma kAla BAvi tvena pRTagjanEH durlakzya tvAt /
   vyavahārāṅgetvena cānabhyupagamāt / āgamaprasiddhaṃ hi mānasapratyakṣam /	vyavahAra aFgetvena ca anaByupagamAt / Agama prasidDam hi mAnasa pratyakzam /
   na tvasya niścāyakaṃ kiñcidasti / yathoktaṃ bhagavatā 	na tu asya niScAyakam kiQcid asti / yaToktam BagavatA 
   `dvābhyāṃ bhikṣavo rūpaṃ gṛhyate, cakṣuṣā tadākṛṣṭenamanasā ca' iti //	`dvAByAm BikzavaH rUpam gRhyate, cakzuzA tad AkRzwena manasA ca a iti //
   nanu ca vyavahārānupayuktamupadarśayituṃ kiṃ prayojanam, īdṛglakṣaṇayuktaṃ	nanu ca vyavahAra an upayuktam upadarSayitum kim prayojanam, IdRS lakzaNa yuktam
   yadi mānasaṃ pratyakṣaṃ syāt, na kaściddoṣaḥ syādityāgamasyāpi	yadi mAnasam pratyakzam syAt, na kaScid dozaH syAt iti Agamasya api
   viśuddhiranena pratipāditeti prayojanam //	viSudDiH anena pratipAditA iti prayojanam //
   svasaṃvedanapratyakṣam	sva saMvedana pratyakzam
   cittacaittānāṃ svasaṃvedanatvasamarthanam	citta cEttAnAm sva saMvedana tva samarTanam
   sarvacittacaittānāmātmasaṃvedanaṃ svasaṃvedanam / cittaṃ	sarva citta cEttAnAm Atma saMvedanam sva saMvedanam / cittam
   vastumātragrāhakaṃ jñānam / citte bhāvāḥ caittāḥ, vastuno	vastu mAtra grAhakam jQAnam / citte BAvAH cEttAH, vastunaH 
   viśeṣarūpagrāhakā sukhaduḥkhopakṣālakṣaṇāḥ / teṣāṃ sarvacittacaittānāmātmā	viSeza rUpa grAhakAH suKa duHKa upakzA lakzaNAH / tezAm sarva citta cEttAnAm AtmA
   saṃvidyate yena rūpeṇa tatsvarūpamātmasvarūpasākṣatkāritvāt svasaṃvedanaṃ	saMvidyate yena rUpeNa tad svarUpam Atma svarUpa sAkzatkAri tvAt sva saMvedanam
   pratyakṣaṃ kalpanāpoḍhamabhrāntaṃ cocyate /	pratyakzam kalpanA apoXam aBra antam ca ucyate /
   atra kecidāhuḥ   na ca cittacaittānāṃ svasaṃvedanaṃ ghaṭate, svātmani	atra kecid AhuH  na ca citta cEttAnAm sva saMvedanam Gawate, sva Atmani
   kriyāvirodhāt / na ca suśikṣito 'pi naṭavaṭuḥ svaskandhamāroḍhuṃ śaknoti /	kriyA viroDAt / na ca su SikzitaH api nawavawuH sva skanDam AroXum Saknoti /
   na hi tīkṣṇāpyasidhārā svamātmānaṃ chinatti / na hi prajjvalito 'pi	na hi tIkzNa api asi DArA svam AtmAnam Cinatti / na hi prajjvalitaH api
   vahniskandha ātmānaṃ dahati / tathā cittacaittamapi kathamātmānaṃ vedayatu	vahni skanDaH AtmAnam dahati / taTA citta cEttam api kaTam AtmAnam vedayatu
   vedyavedakabhāvo hi karmakartṛbhāvaḥ /	vedya vedaka BAvaH hi karma kartR BAvaH /
   karmakartṛtvaṃ ca loke bhedenaiva prasiddham, vṛkṣasūtradhārayoriva /	karma kartR tvam ca loke Bedena eva prasidDam, vRkza sUtra DArayoH iva /
   atrocyate, na karmakartṛbhāvena vedyavedakatvaṃ jñāne varṇyate / kiṃ	atra ucyate, na karma kartR BAvena vedya vedaka tvam jQAne varNyate / kim
   tarhi? vyavasthāpyavyavasthāpakabhāvena /	tarhi? vyavasTApya vyavasTApaka BAvena /
   yathā pradipa ātmānaṃ prakāśayati tathā jñānamapi jaḍapadārthavilakṣaṇaṃ	yaTA pradipaH AtmAnam prakASayati taTA jQAnam api jaxa padArTa vilakzaNam
   svahetoreva prakāśasvabhāvamupajāyamānaṃ svasaṃvedanaṃ vyavasthāpyate /	sva hetoH eva prakASa svaBAvam upajAyamAnam sva saMvedanam vyavasTApyate /
   tathā coktam  	taTA ca uktam  
   vijñānaṃ jaḍarūpebhyo vyāvṛttamupajāyate /	vijQAnam jaxa rUpeByaH vyAvRttam upajAyate /
   iyamevātmasaṃvittirasya yājaḍarūpatā // iti //	iyam eva Atma saMvittiH asya yAjaxa rUpa tA // iti //
   alaṅkārakāreṇāpyuktam  	alaFkAra kAreNa api uktam  
   kalpitaḥ karmakartrādiḥ paramārtho na vidyate /	kalpitaH karma kartR AdiH parama arTaH na vidyate /
   ātmānamātmanaivātmā nihantīti nirucyate // iti //	AtmAnam AtmanA eva AtmA nihanti iti nirucyate // iti //
   na ca cittacaittānāṃ jñānāntareṇa prakāśyatvaṃ yujyate / tathā hi   na	na ca citta cEttAnAm jQAna antareNa prakASya tvam yujyate / taTA hi  na
   tāvatsamānakālabhāvinā jñānāntareṇa cittacaittaṃ prakāśyata iti ghaṭate,	tAvat samAna kAla BAvinA jQAna antareNa citta cEttam prakASyate iti Gawate,
   upakāryopakārakatvābhāvāt, savyetaragoviṣāṇayoriva / nāpi	upakArya upakAraka tva aBAvAt, savya itara go vizANayoH iva / na api
   bhinnakālabhāvinā, kṣaṇikatvāt, prakāśitavyasyaivābhāvāt / api ca yadi	Binna kAla BAvinA, kzaNika tvAt, prakASitavyasya eva aBAvAt / api ca yadi
   jñānaṃ svasaṃvedanaṃ na syāt, tadā jñāto 'rtho iti durghaṭaḥ syāt,	jQAnam sva saMvedanam na syAt, tadA jQAtaH arTaH iti durGawaH syAt ,
   'nāgṛhītaviśeṣaṇā buddhirviśeṣye varttate' iti nyāyāt / tathā hi   artho	anAgRhIta viSezaNA budDiH viSezye varttate a iti nyAyAt / taTA hi  arTaH 
   viśeṣyaḥ, jñāta iti viśeṣaṇam, jñāto jñānena viśeṣita iti / jñānaṃ	viSezyaH, jQAtaH iti viSezaNam, jQAtaH jQAnena viSezitaH iti / jQAnam
   cetsvayaṃ na bodharūpeṇa pratītaṃ, tatkathaṃ jñānena viśeṣito 'rthaḥ	ced svayam na boDa rUpeNa pratItaM, tat kaTam jQAnena viSezitaH arTaH
   pratīyatām / na hi daṇḍāgrahaṇe daṇḍino grahaṇaṃ yuktisaṅgatam / yaccoktaṃ	pratIyatAm / na hi daNxa agrahaNe daNxinaH grahaNam yukti saFgatam / yat ca uktam
   trilocanena  	trilocanena  
   cakṣuṣo 'grahaṇe 'pi cākṣuṣaṃ rūpaṃ pratīyate, tathā	cakzuzaH agrahaNe api cAkzuzam rUpam pratIyate, taTA
   jñānānavabodhe 'pi jñāto 'rtha iti ghaṭiṣyate // iti //	jQAna anavaboDe api jQAtaH arTaH iti Gawizyate // iti //
   tadasādhu / prastute 'nupayogāt / na hi cakṣū rūpasya viśeṣaṇam / kiṃ	tat asADu / prastute anupayogAt / na hi cakzuH rUpasya viSezaNam / kim
   tarhi? cakṣurvijñānāsaṃvedane kathaṃ jñāyatāmiti codyamakṣatameva //	tarhi? cakzuH vijQAna asaMvedane kaTam jQAyatAm iti ca udyama kzatam eva //
   yatpunarjñānasya parokṣatvapratipādanāya bhaṭṭenoktam  	yat punar jQAnasya parokza tva pratipAdanAya Bawwena uktam  
   yathā ca rūpādiprakāśanyathānupapatyā indriyasiddhiḥ, tathā jñānasyāpi	yaTA ca rUpa Adi prakASani aTa anupapatyA indriya sidDiH, taTA jQAnasya api
   siddhiriti /	sidDiH iti /
   tathā hi tatra bhāṣyam  	taTA hi tatra BAzyam  
   na hi kaścidajñāte 'rthe buddhimupalabhate / jñāte tvanumānādavagacchati	na hi kaScid ajQAte arTe budDim upalaBate / jQAte tu anumAnAt avagacCati
   iti //	iti //
   vārtikaṃ ca  	vArtikam ca  
   tasya jñānaṃ tu jñātatāvaśāt / iti /	tasya jQAnam tu jQAta tA vaSAt / iti /
   jñātatā ca viṣayaprākaṭyamucyate / tadapi cāyuktam / prākaṭyasyāpi jñānāt	jQAta tA ca vizaya prAkawyam ucyate / tat api ca ayuktam / prAkawyasya api jQAnAt 
