   tṛtīyaḥ paricchedaḥ	tRtIyaH paricCedaH
        tasmādadbhutameveti  ataḥ śṛṅgārādikāvye prakṛṣṭaśṛṅgārādijanakatayā	tasmAt adButam eva iti  atas SRFgAra Adi kAvye prakRzwa SRFgAra Adi janakatayA
   adbhutamapi rasamabravīdityarthaḥ /	adButam api rasam abravIt iti arTaH /
        Locanā:	LocanA:
        (lo, ai) nārāyaṇadāsairapyuktamiti   camatkāra eva	(lo, E) nArAyaNa dAsEH api uktam iti   camatkAraH eva
   sarvarasapraṇabhūtaḥ /	sarva rasa praNaBUtaH /
        tasya ca ratyādyaṃśaśavalatvena yathāyathaṃ śṛṅgārādivyapadeśaḥ /	tasya ca rati Adi aMSa Savala tvena yaTAyaTam SRFgAra Adi vyapadeSaH /
        tadbhāvādadbhutavyapadeśa iti /	tad BAvAt adButa vyapadeSaH iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   kaiściditi prāktanapuṇyaśālibhiḥ /	kEScid iti prAktana puNya SAliBiH /
   yaduktam  	yat uktam  
   "puṇyavantaḥ pramiṇvanti yogivadrasasantatim" /	"puNyavantaH pramiNvanti yogi vat rasa santatim" /
   iti /	iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭa) puṇyavadbhiriti  puṇyaśālibhiriti kvacit pāṭhaḥ /	(vi, wa) puNya vadBiH iti   puNya SAliBiH iti kvacid pAWaH /
        vāsanāyāmāsvādanākhyavyāpāre ca puṇyameva heturityarthaḥ /	vAsanAyAm AsvAdana AKya vyApAre ca puNyam eva hetuH iti arTaH /
        "na jāyate tadāsvādo vinā ratyādivāsanām'; iti vakṣyamāṇatvāt /	"na jAyate tad AsvAdaH vinA rati Adi vAsanAm a; iti vakzyamANa tvAt /
        "vilakṣaṇa evāyaṃ kṛtijñaptibhedebhyaḥ svādanākhyaḥ kaścid vyāpāra';	"vilakzaNaH eva ayam kRti jQapti BedeByaH svAdana AKyaH kaScid vyApAra a;
   iti vakṣyamāṇatvācca /	iti vakzyamANa tvAt ca /
        Locanā:	LocanA:
        (lo, o) puṇyavanta iti /	(lo, o) puNyavantaH iti /
        pramiṇvantītyatrāpi pūrvavadupacāraḥ /	pramiNvanti iti atra api pUrvavat upacAraH /
        svaprakāśarūpasyāsya pramāviṣayatvānupapatteḥ /	sva prakASa rUpasya asya pramA vizayatva anupapatteH /
        yogivaditi /	yogi vat iti /
        yathā yoginaḥ śuddhaṃ brahma svaprakāśānandacidrūpatayā	yaTA yoginaH SudDam brahma sva prakASa Ananda cit rUpa tayA
   sākṣātkurvanti ratyādyaṃśakarburitamapi tathā puṇyavanta ityarthaḥ /	sAkzAtkurvanti rati Adi aMSa karburitam api taTA puNyavantaH iti arTaH /
        tathā coktaṃ "vibhāvādisaṃbhinnānudriktāṅgaratyādyaṃśakarburitaḥ	taTA ca uktam "viBAva Adi saMBinna anudrikta aFga rati Adi aMSa karburitaH
   svaprakāśānandacamatkārarūpo rasaḥ'; iti /	sva prakASa Ananda camatkAra rUpaH rasaH a; iti /
        kicittu ratyādisaṃbhinnānandasākṣātkārānantaraṃ	kicid tu rati Adi saMBinna Ananda sAkzAtkAra anantaram
   praśāntanikhilaprapañcacidānandamayabrahmatattvābhivyaktiṃ suṣuptidaśāvat	praSAnta niKila prapaQca cidAnanda maya brahma tattva aBivyaktim suzupti daSA vat
   samādhivaccecchanti /	samADi vat ca icCanti /
        yadāhuḥ   	yat AhuH   
        pāṭhyādatha dhruvākhyānāttataḥ saṃpūrite rase /	pAWyAt aTa Druva AKyAnAt tatas saMpUrite rase /
        tadāsvādabharaikāgro hṛṣyatyantarmukhaḥ kṣaṇam //	tad AsvAda Bara ekAgraH hRzyati antarmuKaH kzaNam //
        tato nirviṣayasyāsya svabhāvo 'vasthito nijaḥ /	tatas nirvizayasya asya svaBAvaH avasTitaH nijaH /
        vyajyate hlādaniṣyando yena tṛpyanti yoginaḥ /	vyajyate hlAda nizyandaH yena tRpyanti yoginaH /
        ācāryāstu śavalitasyaivānubhavāt sukhamanubhavāmīti pratisandhānasya	AcAryAH tu Savalitasya eva anuBavAt suKam anuBavAmi iti pratisanDAnasya
   ca tāvatavopapatteradhikaṃ necchanti /	ca tAvatava upapatteH aDikam na icCanti /
        rasasantatiṃ santanyamānaṃ rasam /	rasa santatim santanyamAnam rasam /
        santanyamānatvena vrahmāsvādasahodarasyāsya nidyayo	santanyamAna tvena vrahma AsvAda sahodarasya asya nidyayaH 
   'vicchinnapravāhavāhitvaṃ sūcitam /	avicCinna pravAha vAhi tvam sUcitam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yadyapi "svādaḥ kāvyārthasambhedādātmānandasamudbhavaḥ" ityuktadiśā	yadi api "svAdaH kAvya arTa samBedAt Atma Ananda samudBavaH" iti ukta diSA
   rasasyāsvādānatiriktatvamuktam,	rasasya AsvAdAn atirikta tvam uktam,
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭha) kāvyārthasaṃbhedāt iti /	(vi, Wa) kAvya arTa saMBedAt iti /
        ratyādirūpo yaḥ kāvyasya	rati Adi rUpaH yaH kAvyasya
   vyaṅgyārthastatsaṃbhedāt  tatpariśīlanādityarthaḥ /	vyaFgya arTaH tad saMBeda at   tad pariSIlanAt iti arTaH /
        vastutastu saṃbhedāditi lyab  garbhatvāt pañcamī tena	vastutas tu saMBedAt iti lya b  garBa tvAt paQcamI tena
   vibhāvādiśavalita iti /	viBAva Adi SavalitaH iti /
        ātmānandeti   ātmani ya ānandastadrūpeṇa samudbhavo yasya tādṛśa	Atma Ananda iti   Atmani yaH AnandaH tad rUpeNa samudBavaH yasya tAdRSa
   ityarthaḥ /	iti arTaH /
        tathā ca ānandātmakasya rasasya svādānatiriktatvabhityarthaḥ /	taTA ca Ananda Atmakasya rasasya svAda anatirikta tva Biti arTaH /
        Locanā:	LocanA:
        (lo, au) kāvyārtho vibhāvādiḥ /	(lo, O) kAvya arTaH viBAva AdiH /
        tatsambhedāditi lyablope paccamī tena vibhāvādiśavalita ityarthaḥ /	tad samBedAt iti lya blope paccamI tena viBAva Adi SavalitaH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tathāpi "rasaḥ svādyate" iti kālpanikaṃ bhedamurarī kṛtya karmakarttari vā	taTA api "rasaH svAdyate" iti kAlpanikam Beda m urarI kRtya karmakarttari vA
   prayogaḥ /	prayogaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍa) kālpanikam  abhede bhedāropeṇa bhedam /	(vi, xa) kAlpanikam  aBede Beda AropeNa Bedam /
        karmakartari veti  "bhidyate kuśūlaḥ svayameva"ityatra ekasyaiva	karma kartari vA iti  "Bidyate kuSUlaH svayam eva"iti atra ekasya eva
   kuśūlasya karmatvakarttṛtvobhayavivakṣayā bhedāropavadatrāpi	kuSUlasya karma tva karttR tva uBaya vivakzayA BedAra upavat atra api
   āsvādyāsvādanayorabhedepi bhedavivakṣayā karmakartari prayogaḥ ityarthaḥ /	AsvAdya AsvAdanayoH aBedepi Beda vivakzayA karma kartari prayogaH iti arTaH /
        naca āsvādye āsvādasya viṣayitāeva, tatkathaṃ kartṛtvamiti vācyam,	na caH AsvAdye AsvAdasya vizayi tA eva, tat kaTam kartR tvam iti vAcyam,
   svaprakāśatvena tatra kartṛtvāropāt /	sva prakASa tvena tatra kartR tva AropAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   taduktam "rasyamānatāmātrasāratvāt prakāśaśarīrādananya eva hi rasaḥ" iti	tad uktam "rasyamAna tA mAtra sAra tvAt prakASa SarIrAt ananyaH eva hi rasaH" iti
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍha) rasyamānatāmātrasāratvāditi  sārapadamatra svarūpārthakam /	(vi, Xa) rasyamAna tA mAtra sAra tvAt iti   sAra padam atra svarUpa arTakam /
        tathā ca rasyamānatāyā āsvādakarmatvaṃ darśitam /	taTA ca rasyamAna tAyAH AsvAda karma tvam darSitam /
        prakāśaśarīratvena āsvādakartṛtvaṃ ca darśitam /	prakASa SarIra tvena AsvAda kartR tvam ca darSitam /
        tathā ca karmakartṛtvamupapāditam /	taTA ca karma kartR tvam upapAditam /
        svaprakāśasya prakāśakobhayarūpatvāt tābhyāmananya evetyarthaḥ /	sva prakASasya prakASaka uBaya rUpa tvAt tAByAm ananyaH eva iti arTaH /
        Locanā:	LocanA:
        (lo, a) kālpanikamaupacārikam /	(lo, a) kAlpanikam OpacArikam /
        karmakartari veti /	karma kartari vA iti /
        svādyate āsvādyate pramāṇāntaropanītaratyāditādātmyena samullikhyata	svAdyate AsvAdyate pramANa antara upanIta rati Adi tAdAtmyena samulliKyata
   ityarthaḥ /	iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   evamanyatrāpyevaṃvidhasthaleṣūpacāraṇa prayogo jñeyaḥ /	evam anyatra api evaMviDa sTalezu upacAraNa prayogaH jQeyaH /
   nanvetāvatā rasasyājñeyatvamuktaṃ bhavatīti /	nanu etAvatA rasasya ajQeya tvam uktam Bavati iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṇa) evamanyatrāpīti  saḥ pratīyata ityādāvityarthaḥ /	(vi, Na) evam anyatra api iti  saH pratIyate iti AdO= iti arTaH /
        nanvetāvateti  rasasyāsvādābhinnatvakathanenetyarthaḥ /	nanu etAvatA iti  rasasya AsvAda aBinna tva kaTanena iti arTaH /
        ajñeyatvaṃ svabhinnajñānagrāhyatvamityarthaḥ /	ajQeya tvam sva Binna jQAna grAhya tvam iti arTaH /
        svenaiva svasvagrāhyatvena ghaṭādivat jñeyatvāsiddheriti bhāvaḥ /	svena eva sva sva grAhya tvena Gawa Adi vat jQeya tva asidDeH iti BAvaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vyañjanāyāśca jñānaviśeṣatvād dvayoraikyamāpatitam /	vyaQjanAyAH ca jQAna viSeza tvAt dvayoH Ekyam Apatitam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ta) nanu vibhāvādijanyena vyañjanādhīnajñānenaiva viṣayīkaraṇāt	(vi, ta) nanu viBAva Adi janyena vyaQjana aDIna jQAnena eva vizayIkaraNAt 
   svabhinnajñānagrāhyatvamastyevetyāśaṅkāyāmāha  aṅkāyāmāha   vyañjanāyāśca	sva Binna jQAna grAhya tvam asti eva iti ASaFkAyAm Aha  aFkAyAm Aha    vyaQjanAyAH ca
   jñānaviśeṣatvāditi /	jQAna viSeza tvAt iti /
        vyañjanāyāḥ vyañjanādhīnajñānasya jñānaviśeṣatvāt	vyaQjanAyAH vyaQjana aDIna jQAnasya jQAna viSeza tvAt 
   āsvādarūpajñānaviśeṣatvāt /	AsvAda rUpa jQAna viSeza tvAt /
        tathā ca taddaśāyāṃ tadbhinnajñānagrāhyatvādajñeyatvamityarthaḥ /	taTA ca tad daSAyAm tad Binna jQAna grAhya tvAt ajQeya tvam iti arTaH /
        tathā ca	taTA ca
   rasarūpāsvādavyañjanādhīnajñānayoraikyamevāpatitamityāha   dvayoraikyam	rasa rUpa AsvAda vyaQjana aDIna jQAnayoH Ekyam eva Apatitam iti Aha    dvayoH Ekyam
   iti /	iti /
        dvayorāsvādābhinnarasavyañjanādhīnajñānayorityarthaḥ /	dvayoH AsvAda aBinna rasa vyaQjana aDIna jQAnayoH iti arTaH /
        nanvetāvatā kimaniṣṭamityato vibhāvādervyañjakatvānupapattyā rasasya	nanu etAvatA kim anizwam iti atas viBAva AdeH vyaQjakatva anupapattyA rasasya
   vyaṅgyatvānupapattiḥ evāniṣṭamitivaktuṃ prathamaṃ	vyaFgya tva anupapattiH eva anizwam itivaktum praTamam
   vibhāvādervyañjakatvānupapattiṃ ghaṭavyañjakadīpavailakṣaṇyena	viBAva AdeH vyaQjakatva anupapattim Gawa vyaQjaka dIpa vElakzaNyena
   sādhayati   tataśceti /	sADayati   tataH ca iti /
        ghaṭādervyañjako yathā dīpo vibhāvādestathātvābhāvād	Gawa AdeH vyaQjakaH yaTA dIpaH viBAva AdeH taTA tva aBAvAt 
   ghaṭavyañjakadīpato vibhāvādeḥ pārthakyaṃ pṛthagbhāvo vailakṣaṇyamiti	Gawa vyaQjaka dIpataH viBAva AdeH pArTakyam pRTak BAvaH vElakzaNyam iti
   samudāyārthaḥ /	samudAya arTaH /
        yathāśrutākṣarārthena tvayamartho na ghaṭate, svaviṣayajñānena	yaTA aSruta akzara arTena tu ayam arTaH na Gawate, sva vizaya jQAnena
   svajanyajñānena vā ghaṭadhiyo hetordepasya ghaṭavyañjakabhāvaprasaktyā	sva janya jQAnena vA GawaDiyaH hetoH depasya Gawa vyaQjaka BAva prasaktyA
   "yathā dīpa'; iti dṛṣṭāntānupapatteḥ /	"yaTA dIpa a; iti dRzwAnta anupapatteH /
        ato 'trajñāneneti /	atas atra jQAnena iti /
        tṛtīyābhede /	tRtIyA Bede /
        "arthenaiva viśeṣo hi nirākāratayā dhiyām'; itivat /	"arTena eva viSezaH hi nirAkAra tayA DiyAm a; iti vat /
        tathā ca svajanyajñānābhinnāyā anyasya jñānadanyasya dhiyo heturyaḥ	taTA ca sva janya jQAna aBinnAyAH anyasya jQAna danyasya DiyaH hetuH yaH
   sa eva siddhe jñānaṃ vināpi siddhe arthe vyañjako mato yathā dīpa	saH eva sidDe jQAnam vinA api sidDe arTe vyaQjakaH mataH yaTA dIpa
   ityarthaḥ vibhāvādistu	iti arTaH viBAva AdiH tu
   svajanyavyañjanādhīnajñānabhinnasyā'svādātmakarasāderjanaka eva na dīpavat	sva janya vyaQjana aDIna jQAna BinnasyA asvAda Atmaka rasa AdeH janakaH eva na dIpa vat 
   vyañjaka ityarthaḥ /	vyaQjakaH iti arTaH /
        anyathābhāve anyathātve svajanyaṃ pratyapi svasvavyañjakatve	anyaTA aBAve anyaTAtve sva janyam pratyapi sva sva vyaQjaka tve
   ityarthaḥ /	iti arTaH /
        asya vibhāvādeḥ kārakāt ko viśeṣa ityarthaḥ /	asya viBAva AdeH kArakAt kaH viSezaH iti arTaH /
        ghaṭapratīpavat dvau yau vyaṅgyavyañjakau tayoḥ sakāśādanayoḥ	Gawa pratIpa vat dvO yO vyaFgya vyaQjakO tayoH sakASAt anayoH
   rasavibhāvādyoḥ pārthakyaṃ vailakṣaṇyamevetyarthaḥ /	rasa viBAva AdyoH pArTakyam vElakzaNyam eva iti arTaH /
        na tu vyaṅgyavyañjakayoḥ parasparaṃ pārthakyaṃ bheda ityarthaḥ /	na tu vyaFgya vyaQjakayoH parasparam pArTakyam BedaH iti arTaH /
        tadā pratyuta rasasya vyaṅgyatvasyaiva siddherāśaṅkānupapatteḥ /	tadA pratyuta rasasya vyaFgya tvasya eva sidDeH ASaFka anupapatteH /
        Locanā:	LocanA:
        (lo, ā) etāvatetyatra prabandheneti śeṣaḥ /	(lo, A) etAvatA iti atra prabanDena iti SezaH /
        rasasya vyaṅgyatvena nirūpyamāṇasyaikaṃ jñānatvāviśeṣādityarthaḥ /	rasasya vyaFgya tvena nirUpyamANasya ekam jQAna tva aviSezAt iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tataśca  	tatas ca  
   "svajñānenānyadhīhetuḥ siddher'the vyañjako mataḥ /	"sva jQAnena anya DI hetuH sidDer aTe vyaQjakaH mataH /
   yathā dīpo 'nyathābhāve ko viśeṣo 'sya kārakāt" //	yaTA dIpaH anyaTA aBAve kaH viSezaH asya kArakAt" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, tha) vyañjanāsvādayorāśaṅkitamaikyaṃ nirasya rasāvasthasya	(vi, Ta) vyaQjana AsvAdayoH ASaFkitam Ekyam nirasya rasa avasTasya
   vyaṅgyatvābhāvaṃ siddhāntayan āha   "cet satyamiti" /	vyaFgya tva aBAvam sidDAntayan Aha   " ced satyam iti" /
        Locanā:	LocanA:
        (i) anyadhīheturvyaṅgyabuddheḥ kāraṇam /	(i) anya DI hetuH vyaFgya budDeH kAraNam /
        siddhe natu sādhye vyañjako mataḥ śabda ityarthaḥ /	sidDe na tu sADye vyaQjakaH mataH SabdaH iti arTaH /
        yathā dīpa iti /	yaTA dIpaH iti /
        na khalu dīpo ghaṭādikaṃ karoti /	na Kalu dIpaH Gawa Adikam karoti /
        kintu svaprakāśena siddhameva taṃ prakāśayati /	kintu sva prakASena sidDam eva tam prakASayati /
        anyathābhāve asiddhasya sādhane /	anyaTA BAve a sidDasya sADane /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ityuktadiśā ghaṭapradīpavadvyaṅgyavyañjakayoḥ pārthakyameveti kathaṃ	iti ukta diSA Gawa pradIpa vat vyaFgya vyaQjakayoH pArTakyam eva iti kaTam
   rasasya vyaṅgyateti cet, satyamuktam /	rasasya vyaFgyata iti cet, satyam uktam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, ī) uktadiśā dhvanikārādyuktamārgeṇa vyaṅgyavyañjakayoḥ	(lo, I) ukta diSA DvanikAra Adi ukta mArgeNa vyaFgya vyaQjakayoH
   pārthakyamityanena vyañjanāyā vyaṅgyasya ca pārthakyaṃ nyāyasiddhameva iti	pArTakyam iti anena vyaQjanAyAH vyaFgyasya ca pArTakyam nyAya sidDam eva iti
   bhāvaḥ /	BAvaH /
        na khalu ghaṭasya dīpaprakāśenaikyam /	na Kalu Gawasya dIpa prakASena Ekyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ata evāhuḥ  	atas eva AhuH  
   "vilakṣaṇa evāyaṃ kṛtijñaptibhedebhyaḥ svādanākhyaḥ kaścidvyāpāraḥ /	"vilakzaNaH eva ayam kRti jQapti BedeByaH svAdana AKyaH kaScid vyApAraH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, da) kṛtijñaptibhedebhya iti  kṛtirutpādako vyāpāraḥ	(vi, da) kRti jQapti BedeByaH iti  kRtiH utpAdakaH vyApAraH
   daṇḍaderbhramyādiḥ /	daNxadeH Bramya AdiH /
        jñāptiḥ jñāpako vyāpāraḥ, abhidhālakṣaṇāvyañjanāḥ; tebhyo vyāpārebhyo	jQAptiH jQApakaH vyApAraH, aBiDA lakzaNa avyaQjanAH; teByaH vyApAreByaH 
   bhinna ityarthaḥ /	BinnaH iti arTaH /
        svādanākhyaḥ āsvādarūpaḥ svaprakāśajñānajanako vṛttiviśeṣa ityarthaḥ	svAdana AKyaH AsvAda rUpaH sva prakASa jQAna janakaH vRtti viSezaH iti arTaH
        tathā ca tad viṣaya eva rasaḥ /	taTA ca tat vizayaH eva rasaH /
        vyañjanādhīnajñānaṃ tu ratyadiviṣayaḥ tato bhinnameva ityato	vyaQjana aDIna jQAnam tu ratyadi vizayaH tatas Binnam eva iti atas 
   rasavyañjanādhīnajñānayornaikyamityuktam /	rasa vyaQjana aDIna jQAnayoH nEkyam iti uktam /
        sa ca vibhāvādirniṣṭo vyañjanābhinna ityarthaḥ /	sa ca viBAva AdiH nizwaH vyaQjana aBinnaH iti arTaH /
        tathā ca vyañjanayā ratyādijñānameva, svādanākhyavyāpāreṇa tu	taTA ca vyaQjanayA rati Adi jQAnam eva, svAdana AKya vyApAreNa tu
   rasāsvāda ityanvayaḥ /	rasa AsvAdaH iti anvayaH /
        nanu kathaṃ tarhi raso vyaṅgya ityucyate ityata āha   abhidhādīti /	nanu kaTam tarhi rasaH vyaFgyaH iti ucyate iti atas Aha   aBiDAdi iti /
        vilakṣaṇo vyāpāro vyañjanā raso vyaṅgya iti	vilakzaNaH vyApAraH vyaQjanAH rasaH vyaFgyaH iti
   vyahgyarāmādiratyādyāropādhikaraṇasāmājikaratyādeḥ rasarūpatayā pariṇāmāt	vyahgya rAma AdiH atyAdya Ara upa aDikaraNa sAmAji karati AdeH rasa rUpa tayA pariNAmAt 
   paramparayā vyaṅgya ityarthaḥ /	paramparayA vyaFgyaH iti arTaH /
        Locanā:	LocanA:
        (lo, u) ata eveti  ; āhurityasya vyaṅgyatvamuktaṃ bhavatītyatra	(lo, u) atas eva iti  ; AhuH iti asya vyaFgya tvam uktam Bavati iti atra
   dūrasthenetiśabdenānvayaḥ /	dUra sTena iti Sabdena anvayaH /
        ata eva yato jñānarūpa eva rasa ityarthaḥ /	atas eva yataH jQAna rUpaH eva rasaH iti arTaH /
        āhurnyāyavidaḥ prācīnācāryā iti śeṣaḥ /	AhuH nyAya vidaH prAcInAcAryAH iti SezaH /
        kṛtiḥ karaṇaṃ; jñaptirjñānam; svādanaṃ svādaḥ"svādaḥ	kRtiH karaNaM; jQaptiH jQAnam; svAdanam svAdaH" svAdaH
   kāvyārthasaṃbhedādātmānandasamudbhava"ityuktaprakāraḥ /	kAvya arTa saMBedAt Atma Ananda samudBava"iti ukta prakAraH /
        kaścidityalaukikaḥ /	kaScid iti alOkikaH /
        vyāpāraḥ  vyāpāraviṣayādrasādabhinnaḥ /	vyApAraH  vyApAra vizayAt rasAdaBinnaH /
        vilakṣaṇo vyañjakāditi śeṣaḥ /	vilakzaNaH vyaQjakAt iti SezaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ata eva hi rasanāsvādanacamatkaraṇādayo vilakṣaṇā eva vyapadeśāḥ" iti /	atas eva hi rasanA AsvAdana camatkaraNa AdayaH vilakzaNAH eva vyapadeSAH" iti /
   abhidhādivilakṣaṇavyāpāramātraprasādhanagrahilairasmābhī rasādīnāṃ	aBiDAdi vilakzaNa vyApAra mAtra prasADana grahilEH asmABiH rasa AdInAm
   vyaṅgyatvamuktaṃ bhavatīti /	vyaFgya tvam uktam Bavati iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (ū) vyaṅgyatvamuktaṃ, prakāśanamātropacārādityarthaḥ /	(U) vyaFgya tvam uktaM, prakASana mAtra upacArAt iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nanu tarhi karuṇādīnāṃ rasānāṃ duḥ khayatvādrasatvaṃ (tadunmukhatvaṃ ) na	nanu tarhi karuNA AdInAm rasAnAm duH KayatvAt rasa tvam (tad unmuKa tvam ) na
   syādityucyate  	syAt iti ucyate  
