   Bhaiṣajyavastu	BhEzajya vastu
   saikatasya bhikṣor glānyanirūpaṇāya praṣṭavyam* / atha te vaidyasakāśam	sEkatasya BikzoH glAni anirUpaNAya prazwavyam* / aTa te vEdya sakASam
   upasaṃkrāntāḥ / bhadramukha asyaivam evaṃ ca glānyam* / bhaiṣajyaṃ	upasaMkrAntAH / Badra muKa asya evam evam ca glAnyam* / BEzajyam
   vyapadiśa / ārya āmamāṃsaṃ paribhuñjatu / svastho bhaviṣyati / bhadramukha	vyapadiSa / AryaH Ama mAMsam pariBuQjatu / svasTaH Bavizyati / Badra muKa
   kim asau puruṣādaḥ / ārya na śakyam anyathā svasthena bhavitum* / etat	kim asO puruzAdaH / Arya na Sakyam anyaTA svasTena Bavitum* / etat 
   prakaraṇaṃ bhikṣavo bhagavata ārocayanti / (MSV I x) bhagavān āha / yady	prakaraNam BikzavaH BagavataH Arocayanti / (MSV I x) BagavAn Aha / yadi 
   evaṃ bhaiṣajyaṃ sevitavyam* / na śakyam anyathā svasthena bhavitum* /	evam BEzajyam sevitavyam* / na Sakyam anyaTA svasTena Bavitum* /
   māṃsaṃ dātavyam* / bhikṣavas tathā evānuprayacchanti / na khādati /	mAMsam dAtavyam* / BikzavaH taTA eva anuprayacCanti / na KAdati /
   bhagavān āha / akṣiṇī paṭṭakena baddhvā dātavyam* / tair dattam* /	BagavAn Aha / akziNI pawwakena badDvA dAtavyam* / tEH dattam* /
   atiśīghraṃ paṭṭako muktaḥ / tena hastau liptau dṛṣṭau / tena vāntam* /	ati SIGram pawwakaH muktaH / tena hastO liptO dRzwO / tena vAntam* /
   bhagavān āha / sadyo na moktavyaḥ / atha cet* sadyo moktavyas tadā tasya	BagavAn Aha / sadyas na moktavyaH / aTa cet* sadyas moktavyaH tadA tasya
   hastau tadagrataḥ suśuddhe pānīye sthāpayitvā paścāt* paṭṭako moktavyaḥ /	hastO tad agratas su SudDe pAnIye sTApayitvA paScAt* pawwakaH moktavyaH /
   sa svasthībhūtaḥ / tasya sa eva dohadaḥ saṃvṛttaḥ / etat prakaraṇaṃ	sa svasTIBUtaH / tasya saH eva dohadaH saMvRttaH / etat prakaraNam
   bhikṣavo bhagavata ārocayanti / bhagavān āha / yadā svasthībhūtas tadā	BikzavaH BagavataH Arocayanti / BagavAn Aha / yadA svasTIBUtaH tadA
   evaṃ śikṣāṃ samādāya tat samavasthānam ācaritavyam* / adhyācarati sātisāro	evam SikzAm samAdAya tat samavasTAnam Acaritavyam* / aDyAcarati sa atisAraH 
   bhavati /	Bavati /
   rājagṛhe nidānam* / āyuṣmān pilindavatso yataḥ pravrajito bahvābādhaḥ / sa	rAja gRhe nidAnam* / AyuzmAn pilindavat saH yatas pravrajitaH bahu AbADaH / sa
   bhikṣubhir ucyate / sthavira evaṃ te ābādhaḥ / sa kathayati / āyuṣmantaḥ	BikzuBiH ucyate / sTaviraH evam te AbADaH / sa kaTayati / AyuzmantaH
   satatam ahaṃ bahvābādhaḥ / niryāṇaprakaraṇaṃ nāsti / te kathayanti /	satatam aham bahu AbADaH / niryANa prakaraNam na asti / te kaTayanti /
   sthavira purā kiṃ dhṛtam* / sa kathayati / bhaiṣajyaṃ kacchapuṭam* /	sTavira purA kim DRtam* / sa kaTayati / BEzajyam kacCa puwam* /
   idānīṃ kiṃ na dhārayasi / bhagavatā nānujñātam* / etat prakaraṇaṃ bhikṣavo	idAnIm kim na DArayasi / BagavatA na anujQAtam* / etat prakaraNam BikzavaH 
   bhagavata ārocayanti / bhagavān āha / evaṃ saty anujñātam* / bhikṣūṇāṃ	BagavataH Arocayanti / BagavAn Aha / evam sati anujQAtam* / BikzUNAm
   bhaiṣajyaṃ kacchapuṭaṃ dhārayitavyam* / bhikṣūṇāṃ	BEzajyam kacCapuwam DArayitavyam* / BikzUNAm
   mūlapuṣpagaṇḍaphalabhaiṣajyāni dhārayitavyāni / te sarvatra bhaiṣajyāni	mUla puzpa gaNxa Pala BEzajyAni DArayitavyAni / te sarvatra BEzajyAni
   kacchapuṭe na dāpayanti / bhagavān āha / phalabhaiṣajyāni kacchapuṭe	kacCa puwe na dApayanti / BagavAn Aha / Pala BEzajyAni kacCa puwe
   sthāpayitavyāni / mūlapuṣpagaṇḍabhaiṣajyāni (MSV I xi) varaṇḍikāṃ baddhvā	sTApayitavyAni / mUla puzpa gaNxa BEzajyAni (MSV I xi) varaNxikAm badDvA
   nāgadantake sthāpayitavyāni / bhagavān āha / kāle kāle śoṣayitavyāni / te	nAgadantake sTApayitavyAni / BagavAn Aha / kAle kAle SozayitavyAni / te
   ātape śoṣayanti / nirvīryaṃ bhavati / bhagavān āha / nātape śoṣayitavyam*	Atape Sozayanti / nirvIryam Bavati / BagavAn Aha / na Atape Sozayitavyam*
   / chāyāyāṃ śoṣayanti / tathāpi pūyyati / bhagavān āha / chāyātape	/ CAyAyAm Sozayanti / taTA api pUyyati / BagavAn Aha / CAyA Atape
   śoṣayitavyam* / {the following first two lines of fol. 94r have not been	Sozayitavyam* / {Te fa ullowing firsd twaH lineH of fol. 94H have not beet 
   transliterated by Dutt} te praviṣajitvā gacchanti / vātavarṣam āgacchati	tran sliteH atet bi Dutt} te praviza jitvA gacCanti / vAta varzam AgacCati
   na praveśayanti / bhagavān āha // praveśayitavyaṃ / uktaṃ bhagavatā	na praveSayanti / BagavAn Aha // praveSayitavyam / uktam BagavatA
   praveśayitavyam iti / te na jānanti kena praveśayitavyam iti / bhagavān	praveSayitavyam iti / te na jAnanti kena praveSayitavyam iti / BagavAn
   āha / ā .. .. .. .. .. .. .. .. .. + + + + + + + + na bhavati /	Aha / A .. .. .. .. .. .. .. .. .. + + + + + + + + na Bavati /
   śrāmaṇerakena / śrāmaṇerako na bhavati svayam eva praveśayitavyaṃ /	SrAmaNerakena / SrAmaNerakaH na Bavati svayam eva praveSayitavyam /
   miśrībhavanti / bhikṣavaḥ saṃpṛṣṭā iti kṛtvā na paribhuṃjanti / bhagavān	miSrIBavanti / BikzavaH saMpRzwAH iti kRtvA na pariBuMjanti / BagavAn
   āha / vicīya vicīya paribhoktavyaṃ nātra kaukṛtyaṃ karaṇīyam* //	Aha / vicIya vicIya pariBoktavyam na atra kOkRtyam karaNIyam* //
   śrāvastyāṃ nidānam* / yasmād āyuṣmān (fol. 94r3 = GBM 6.769) revato yatra	SrAvastyAm nidAnam* / yasmAt AyuzmAn (fol. 94r3  GBm 6.769) revataH yatra
   kvacana kāṃkṣī tasya kāṃkṣārevataḥ kāṃkṣārevata iti saṃjñā saṃvṛttā / sa	kvacana kAMkzI tasya kAMkzArevataH kAMkzArevataH iti saMjQA saMvRttAH / sa
   pūrvāhṇe nivāsya pātracīvaram ādāya śrāvastīṃ piṇḍāya praviṣṭaḥ / so	pUrvAhNe nivAsya pAtra cIvaram AdAya SrAvastIm piNxAya pravizwaH / saH 
   'nupūrveṇa guḍaśālāṃ gato yāvat paśyati kaṇena guḍaṃ badhyamānam* / sa	anupUrveNa guxa SAlAm gataH yAvat paSyati kaNena guxam baDyamAnam* / sa
   kathayati / bhavanto mā kaṇena guḍaṃ bandhata / ārya asti kiṃcid anyaṃ	kaTayati / BavantaH mA kaNena guxam banData / Arya asti kiMcid anyam
   bandhaṃ jānāsi / nāham anyaṃ bandhaṃ jānāmi / api tu vayam akāle	banDam jAnAsi / na aham anyam banDam jAnAmi / api tu vayam akAle
   paribhuṃjāmaḥ / ārya kāle vākāle vā paribhuñja / eṣo 'sya bandho 'nyathā	pariBuMjAmaH / Arya kAle vA akAle vA pariBuQjaH / ezaH asya banDaH anyaTA
   bandhaṃ na gacchati / apareṇa samayena saṃghasya guḍakhādanīyaṃ saṃpannam*	banDam na gacCati / apareNa samayena saMGasya guxa KAdanIyam saMpannam*
   / sa na khādati / tasya sārdhaṃvihāryantevāsikāḥ kathayanti / ārya	/ sa na KAdati / tasya sArDaMvihAri antevAsikAH kaTayanti / Arya
   saṃghasya guḍakhādanīyaṃ saṃpannaṃ paribhuñja / sa kathayati /	saMGasya guxa KAdanIyam saMpannam pariBuQjaH / sa kaTayati /
   bhadramukhāḥ sāmiṣam etat* / te 'pi na bhuñjate / anyair bhikṣubhir	Badra muKAH sa Amizam etat* / te api na BuQjate / anyEH BikzuBiH 
   ucyante / āyuṣmantaḥ saṃghasya guḍakhādanīyaṃ saṃpannaṃ kiṃ na	ucyante / AyuzmantaH saMGasya guxa KAdanIyam saMpannam kim na
   paribhuñjata / te kathayanti / upādhyāyaḥ kathayati sāmiṣam etat* / tair	pariBuQjata / te kaTayanti / upADyAyaH kaTayati sa Amizam etat* / tEH 
   api na paribhuktam* / mahāparivāraḥ saḥ / tair na paribhuktam iti	api na pariBuktam* / mahA parivAraH saH / tEH na pariBuktam iti
   yadbhūyasā sarvasaṃghena na paribhuktam* / etat prakaraṇaṃ bhikṣavo	yat BUyasA sarva saMGena na pariBuktam* / etat prakaraNam BikzavaH 
   bhagavata (MSV I xii) ārocayanti bhagavān āha / na labhyante	BagavataH (MSV I xii) Arocayanti BagavAn Aha / na laByante
   nāmiṣeṇāmiṣakṛtyaṃ kartum* / āgārapariśuddham iti kṛtvā paribhoktavyaṃ	na AmizeNa Amiza kRtyam kartum* / AgAra pariSudDam iti kRtvA pariBoktavyam
   nātra kaukṛtyaṃ karaṇīyam* /	na atra kOkRtyam karaNIyam* /
   śrāvastyāṃ nidānam* / athāyuṣmān revataḥ pūrvāhṇe nivāsya pātracīvaram	SrAvastyAm nidAnam* / aTa AyuzmAn revataH pUrvAhNe nivAsya pAtra cIvaram
   ādāya śrāvastyāṃ piṇḍāya praviṣṭaḥ / so 'nupūrveṇa vīthīṃ gataḥ / tena	AdAya SrAvastyAm piNxAya pravizwaH / saH anupUrveNa vITIm gataH / tena
   gāṃdhiko dṛṣṭaḥ saktuṃ spṛṣṭvā guḍaṃ spṛśati / sa kathayati / bhadramukha	gAMDikaH dRzwaH saktum spRzwvA guxam spRSati / sa kaTayati / Badra muKa
   mā saktuṃ spṛṣṭvā guḍaṃ spṛśa / asmābhir akāle paribhoktavyam* / sa	mA saktum spRzwvA guxam spRSa / asmABiH akAle pariBoktavyam* / sa
   kathayati / ārya ko mama muhur muhur hastaśaucaṃ dadāti / apareṇa samayena	kaTayati / Arya kaH mama muhur muhur hasta SOcam dadAti / apareNa samayena
   saṃghasya guḍakhādanīyaṃ saṃpannam* / sa na paribhuñjati /	saMGasya guxa KAdanIyam saMpannam* / sa na pariBuQjati /
   sārdhaṃvihāryantevāsinaḥ kathayanti / ārya saṃghasya guḍakhādanīyaṃ	sArDaMvihAri antevAsinaH kaTayanti / Arya saMGasya guxa KAdanIyam
   saṃpannaṃ kiṃ na khādasi / sa kathayati / bhadramukhāḥ sāmiṣam etat* /	saMpannam kim na KAdasi / sa kaTayati / Badra muKAH sa Amizam etat* /
   tair api na paribhuktam* / te bhikṣubhir ucyante / āyuṣmantaḥ saṃghasya	tEH api na pariBuktam* / te BikzuBiH ucyante / AyuzmantaH saMGasya
   guḍakhādanīyaṃ saṃpannam* / kiṃ na paribhuñjata / te kathayanti /	guxa KAdanIyam saMpannam* / kim na pariBuQjata / te kaTayanti /
   upādhyāyaḥ kathayati sāmiṣam etat* / tair api na paribhuktam* /	upADyAyaH kaTayati sa Amizam etat* / tEH api na pariBuktam* /
   mahāparivāraḥ saḥ / tair na paribhuktam iti yadbhūyasā sarvasaṃghena na	mahA parivAraH saH / tEH na pariBuktam iti yat BUyasA sarva saMGena na
   paribhuktam* / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān	pariBuktam* / etat prakaraNam BikzavaH BagavataH Arocayanti / BagavAn
   āha / na labhyante nāmiṣeṇāmiṣakṛtyaṃ kartum* / āgārapariśuddham (fol.	Aha / na laByante na AmizeNa Amiza kRtyam kartum* / AgAra pariSudDam (fol.
   94v1 = GBM 6.768) iti kṛtvā paribhoktavyam* / nātra kaukṛtyaṃ karaṇīyam* /	94v1  GBm 6.768) iti kRtvA pariBoktavyam* / na atra kOkRtyam karaNIyam* /
   (MSV I xiii) śrāvastyāṃ nidānam* / āyuṣmataḥ śāriputrasya vāyvābādhikaṃ	(MSV I xiii) SrAvastyAm nidAnam* / AyuzmataH SAriputrasya vAyu AbADikam
   glānyam utpannam* / āyuṣmān mahāmaudgalyāyanaḥ saṃlakṣayati / bahuśo mayā	glAnyam utpannam* / AyuzmAn mahAmOdgalyAyanaH saMlakzayati / bahuSas mayA
   āyuṣmataḥ śāriputrasya paricaryā kṛtā na tu kadācid vaidyaḥ pṛṣṭaḥ / yanv	AyuzmataH SAriputrasya paricaryA kRtA na tu kadAcid vEdyaH pRzwaH / yanu 
   aham idānīṃ vaidyaṃ pṛccheyam* / sa vaidyasakāśam upasaṃkrāntaḥ /	aham idAnIm vEdyam pRcCeyam* / sa vEdya sakASam upasaMkrAntaH /
   bhadramukha āyuṣmataḥ śāriputrasyedaṃ cedaṃ ca glānyam utpannaṃ	Badra muKaH AyuzmataH SAriputrasya idam ca idam ca glAnyam utpannam
   tasyānulomikabhaiṣajyam upadiśeti / sa kathayati / ārya lavaṇaṃ sauvīrakaṃ	tasya Anulomika BEzajyam upadiSa iti / sa kaTayati / Arya lavaNam sOvIrakam
   bhaiṣajyaṃ bhaviṣyatīti / tena sauvīrakaṃ samudānītam* / lavaṇaṃ nāsti /	BEzajyam Bavizyati iti / tena sOvIrakam samudAnItam* / lavaNam na asti /
   sa lavaṇaṃ paryeṣitum ārabdhaḥ / āyuṣmatā pilindavatsenoktaḥ / asti	sa lavaNam paryezitum ArabDaH / AyuzmatA pilinda vatsena uktaH / asti
   āyuṣman mama śṛṅgāpuṭaṃ lavaṇaṃ yāvajjīvam adhiṣṭhitam* / yadi bhagavān	Ayuzmat mama SRFgApuwam lavaNam yAvajjIvam aDizWitam* / yadi BagavAn
   anujānīte dadāmīti śāriputreṇa śrutam* / sa kathayati / mama mānasa	anujAnIte dadAmi iti SAriputreNa Srutam* / sa kaTayati / mama mAnasa
   āyuṣmān mahāmaudgalyāyana evaṃ bhavati / na labhyaṃ kālikena yāvajjīvikaṃ	AyuzmAn mahAmOdgalyAyanaH evam Bavati / na laByam kAlikena yAvat jIvikam
   paribhoktum* / etat prakaraṇam āyuṣmān mahāmaudgalyāyano bhagavata	pariBoktum* / etat prakaraNam AyuzmAn mahAmOdgalyAyanaH Bagavata
   ārocayati / bhagavān āha / na labhyaṃ maudgalyāyana yac ca kālikaṃ yac ca	Arocayati / BagavAn Aha / na laByam mOdgalyAyana yat ca kAlikam yat ca
   yāmikaṃ yac ca sāptāhikaṃ yac ca yāvajjīvikam adhiṣṭhitam* / tatra	yAmikam yat ca sAptAhikam yat ca yAvat jIvikam aDizWitam* / tatra
   maudgalyāyana yac ca yāmikaṃ yac ca sāptāhikaṃ yac ca yāvajjīvikaṃ tac cet	mOdgalyAyana yat ca yAmikam yat ca sAptAhikam yat ca yAvat jIvikam tat ced 
   kālikena saṃsṛṣṭaṃ bhavati kālikasaṃsṛṣṭam iti kṛtvā kāle paribhoktavyaṃ	kAlikena saMsRzwam Bavati kAlika saMsRzwam iti kRtvA kAle pariBoktavyam
   kālātikrāntaṃ na paribhoktavyam* / yac ca yāmikaṃ yac ca sāptāhikaṃ yac ca	kAla atikrAntam na pariBoktavyam* / yat ca yAmikam yat ca sAptAhikam yat ca
   yāvajjīvikaṃ tac ca yāmikena saṃsṛṣṭam iti kṛtvā yāmaṃ paribhoktavyaṃ	yAvat jIvikam tat ca yAmikena saMsRzwam iti kRtvA yAmam pariBoktavyam
   yāmātikrāntaṃ (MSV I xiv) na paribhoktavyam* / yac ca sāptāhikaṃ yac ca	yAma atikrAntam (MSV I xiv) na pariBoktavyam* / yat ca sAptAhikam yat ca
   yāvajjīvikaṃ tac cet sāptāhikena saṃsṛṣṭaṃ bhavati sāptāhikasaṃsṛṣṭam iti	yAvat jIvikam tat ced sAptAhikena saMsRzwam Bavati sAptAhika saMsRzwam iti
   kṛtvā sāptāhaṃ paribhoktavyaṃ saptāhātikrāntaṃ na paribhoktavyam* {MS adds	kRtvA sAptAham pariBoktavyam sapta aha atikrAntam na pariBoktavyam* {n adds
   saptāhasyātyayān na paribhoktavyam*} / yan nu yāvajjīvikaṃ tad	sapta ahasya atyayAt na pariBoktavyam*} / yat nu yAvat jIvikam tat 
   yāvajjīvikaṃ paribhoktavyam* / anyathā paribhuñjati sātisāro bhavati /	yAvat jIvikam pariBoktavyam* / anyaTA pariBuQjati sa atisAraH Bavati /
   uddānam* /	uddAnam* /
   mahāseno māṃsamarśo vātavyādhiś ca pūrṇakaḥ /	mahAsenaH mAMsamarSaH vAta vyADiH ca pUrNakaH /
   buddho bhagavān kāśīṣu janapadeṣu cārikāṃ caran vārāṇasīm anuprāptaḥ /	budDaH BagavAn kASIzu janapadezu cArikAm caran vArANasIm anuprAptaH /
   vārāṇasyāṃ viharati ṛṣivadane mṛgadāve / vārāṇasyāṃ mahāseno nāma	vArANasyAm viharati Rzi vadane mRga dAve / vArANasyAm mahAsenaH nAma
   gṛhapatiḥ prativasati āḍhyo mahādhano mahābhogaḥ / tasya patnī mahāsenā	gRhapatiH prativasati AXyaH mahADanaH mahA BogaH / tasya patnI mahA senA
   nāma / sa sapatnīkaḥ śrāddho bhadraḥ kalyāṇāśayaḥ / tena srutam* /	nAma / sa sa patnIkaH SrAdDaH BadraH kalyANa ASayaH / tena srutam* /
   bhagavān kāśīṣu janapadeṣu cārikāṃ caran vārāṇasīm anuprāptaḥ / vārāṇasyāṃ	BagavAn kASIzu janapadezu cArikAm caran vArANasIm anuprAptaH / vArANasyAm
   viharati ṛṣivadane mṛgadāve iti / śrutvā ca punar apy etad abhavat* /	viharati Rzi vadane mRga dAve iti / SrutvA ca punar api etat aBavat* /
   bahuśo mayā bhagavān antargṛhe upanimantrito na tv eva sarvopakaraṇaiḥ	bahuSas mayA BagavAn antargRhe upanimantritaH na tu eva sarva upakaraNEH
   pravāritaḥ / yanv aham etarhi bhagavantaṃ traimāsīṃ sarvopakaraṇaiḥ	pravAritaH / yanu aham etarhi Bagavantam trEmAsIm sarva upakaraNEH
   pravārayeyam iti viditvā yena bhagavāṃs tenopasaṃkrāntaḥ / upasaṃkramya	pravArayeyam iti viditvA yena BagavAn tena upasaMkrAntaH / upasaMkramya
   bhagavataḥ pādau śirasā vanditvā ekānte niṣaṇṇaḥ /	BagavataH pAdO SirasA vanditvA ekAnte nizaNNaH /
   [folios 95 to 140 are missing]	[folioH 95 taH 140 are missing]
   (fol. 141r3 = GBM 6.950; MSV I A) adrākṣīd bhagavān dūrād eva nīlanīlāṃ	(fol. 141r3  GBm 6.950; MSV I A) adrAkzIt BagavAn dUrAt eva nIla nIlAm
   vanarājim* / dṛṣṭvā ca punar vajrapāṇiṃ yakṣam āmantrayate / paśyasi tvaṃ	vana rAjim* / dRzwvA ca punar vajrapANim yakzam Amantrayate / paSyasi tvam
   vajrapāṇe nīlanīlām etāṃ vanarājim* / paśyāmi bhadanta / eṣa vajrapāṇe	vajrapANe nIla nIlAm etAm vana rAjim* / paSyAmi Badanta / eza vajrapANe
   kāśmīramaṇḍalam* / mama varṣaśataparinirvṛtasya mādhyandino nāma bhikṣur	kASmIra maNxalam* / mama varza Sata parinirvRtasya mADyandinaH nAma BikzuH 
   bhaviṣyaty ānandasya bhikṣoḥ sārdhaṃvihārī / sa huluṭaṃ duṣṭanāgaṃ	Bavizyati Anandasya BikzoH sArDaMvihArI / sa huluwam duzwa nAgam
   vineṣyati / atha paryaṅkaṃ baddhvā samagre kāśmīramaṇḍale śāsanaṃ	vinezyati / aTa paryaFkam badDvA samagre kASmIra maNxale SAsanam
   praveśayiṣyati / vipaśyanānukūlānāṃ śayanāsanaṃ yaduta kāśmīramaṇḍalam* /	praveSayizyati / vipaSyana anukUlAnAm Sayana Asanam yat uta kASmIra maNxalam* /
   ṣaṣṭigrāmasahasrāṇi ṣaṣṭigrāmaśatāni ca /	zazwi grAma sahasrANi zazwi grAma SatAni ca /
   ṣaṣṭir grāmās trayo grāmā hy etat kāśmīramaṇḍalam* /	zazwiH grAmAH trayaH grAmA hi etat kASmIra maNxalam* /
   bhraṣṭālāyām ṛṣir vinītaḥ āpannakaś ca yakṣaḥ saparivāraḥ / kanthāyāṃ	Brazwa AlAyAm RziH vinItaH ApannakaH ca yakzaH sa parivAraH / kanTAyAm
   yakṣiṇī saparivārā vinītā / dhānyapuram anuprāptaḥ / dhānyapure senarājaḥ	yakziNI sa parivArAH vinItAH / DAnya puram anuprAptaH / DAnya pure sena rAjaH
   paramasatyeṣu pratiṣṭhāpitaḥ / naitarīm anuprāptaḥ / naitaryām anyatamaḥ	parama satyezu pratizWApitaH / nEtarIm anuprAptaH / nEtaryAm anyatamaH
   kumbhakāraḥ / so 'tīva śilpamadamattaḥ / śuṣkāṇi bhājanāni cakrād	kumBakAraH / saH atIva Silpa mada mattaH / SuzkANi BAjanAni cakrAt 
   avatārayati / bhagavāṃs tasya vinayakālaṃ jñātvā kumbhakāraveṣaṃ gṛhītvā	avatArayati / BagavAn tasya vinaya kAlam jQAtvA kumBakAra vezam gRhItvA
   tena sārdhaṃ jalpaṃ kartum ārabdhaḥ / tvaṃ kīdṛśāni bhājanāni cakrād	tena sArDam jalpam kartum ArabDaH / tvam kIdRSAni BAjanAni cakrAt 
   avatārayasi / sa kathayati / śuṣkāṇi / aham api śuṣkāṇy avatārayāmi /	avatArayasi / sa kaTayati / SuzkANi / aham api SuzkANi avatArayAmi /
   samas tvaṃ mayā / kim etad bhaṅgureṇa / ahaṃ dantamayāny api avatārayāmi /	samaH tvam mayA / kim etat BaFgureNa / aham danta mayAni api avatArayAmi /
   tvaṃ mattaḥ kuśalataro 'si / na kevalaṃ dantamayāni	tvam mattaH kuSalataraH asi / na kevalam danta mayAni
   suvarṇaraupyavaiḍūryasphaṭikamayāny api / so 'bhiprasannaḥ / tato	suvarNa rOpya vExUrya sPawika mayAni api / saH aBiprasannaH / tatas 
   bhagavatā kumbhakāraveṣam (MSV I B) antardhāpya svaveṣeṇa sthitvā	BagavatA kumBakAra vezam (MSV I B) antarDApya sva vezeNa sTitvA
   saparijanaḥ satyeṣu pratiṣṭhāpitaḥ / śādvalām anuprāptaḥ / śādvalāyāṃ	sa parijanaH satyezu pratizWApitaH / SAdvalAm anuprAptaH / SAdvalAyAm
   mahāyakṣaparivāraḥ śaraṇagamanaśikṣāpadeṣu pratiṣṭhāpitaḥ pālitakoṭo	mahA yakza parivAraH SaraNa gamana SikzA padezu pratizWApitaH pAlita kowo
   nāgapālakaś ca / nandivardhanam anuprāptaḥ / nandivardhane bhavadevo rājā	nAgapAlakaH ca / nandi varDanam anuprAptaH / nandi varDane Bava devaH rAjA
   saparivāraḥ satyeṣu pratiṣṭhāpitaḥ sasaptamātaṅgaputro bhūpayakṣaś ca /	sa parivAraH satyezu pratizWApitaH sa sapta mAtaFga putraH BUpayakzaH ca /
   tatrāśvakapunarvasukau (fol. 141v1 = GBM 6.951) nāgayonāv upapannau /	tatra aSvaka punarvasukO (fol. 141v1  GBm 6.951) nAga yonO upapannO /
   dvādaśānāṃ varṣāṇām atyayāt kṣubdhau / tāv evam āhatuḥ / nāvayor bhagavatā	dvAdaSAnAm varzANAm atyayAt kzubDO / tO evam AhatuH / na AvayoH BagavatA
   dharmo deśito yenāvāṃ vinipatitau nāgayonau jātau / kathaṃ vayam asya	DarmaH deSitaH yena AvAm vinipatitO nAga yonO jAtO / kaTam vayam asya
   deśanāṃ jñāsyāmaḥ / bhagavata etad abhavat* / tayor mahānubhāvaḥ / sthānam	deSanAm jQAsyAmaH / BagavataH etat aBavat* / tayoH mahA anuBAvaH / sTAnam
   etad vidyate yat parinirvṛtasya me śāsanaṃ bhasma kariṣyata iti viditvā	etat vidyate yat parinirvRtasya me SAsanam Basma karizyate iti viditvA
   yenāśvakapunarvasukayor bhavanaṃ tenopasaṃkrāntaḥ /	yena aSvaka punarvasukayoH Bavanam tena upasaMkrAntaH /
   upasaṃkramyāśvakapunarvasukābhyāṃ catuṣpadiko dharmaparyāyo deśitaḥ /	upasaMkramya aSvaka punarvasukAByAm catuzpadikaH Darma paryAyaH deSitaH /
   etasya vyākhyāṃ jñāsyatha / ke vayaṃ saddharmasya jñātāra iti viditvā	etasya vyAKyAm jQAsyaTa / ke vayam sadDarmasya jQAtAraH iti viditvA
   tatraiva nimagnau / tayor etad abhavat* / deśito 'smākaṃ bhagavatā dharmaḥ	tatra eva nimagnO / tayoH etat aBavat* / deSitaH asmAkam BagavatA DarmaH
   / asmābhis tu na vijñāta iti / bhagavatā tasminn eva pradeśo pratimaikā	/ asmABiH tu na vijQAtaH iti / BagavatA tasmin eva pradeSaH pratimA ekA
   dattā / aśvakapunarvasukau tatra punar nimajjataḥ / adyāpi bhagavāṃs	dattA / aSvaka punarvasukO tatra punar nimajjataH / adya api BagavAn= 
   tiṣṭhatīti tasminn eva pradeśe / bhagavatā nālī udaryā ca yakṣiṇī vinītā /	tizWati iti tasmin eva pradeSe / BagavatA nAlI udaryA ca yakziNI vinItA /
   kuntīnagaram anuprāptaḥ / kuntīnagare kuntī yakṣiṇī iti khyātā krodhānvitā	kuntI nagaram anuprAptaH / kuntI nagare kuntI yakziNI iti KyAtA kroDa anvitA
