   BhP_02.01.001/0 śrīśuka uvāca	BhP_02.01.001/0 SrI-SukaH uvAca
   BhP_02.07.037/3 lokān ghnatāṃ mativimoham atipralobhaṃ	Bhu-_02.07.037/3 lokAn GnatAm mati-vimoham ati-praloBam
   BhP_02.07.037/4 veṣaṃ vidhāya bahu bhāṣyata aupadharmyam	Bhu-_02.07.037/4 vezam viDAya bahu BAzyataH OpaDarmyam
   BhP_02.07.038/1 yarhyālayeṣvapi satāṃ na hareḥ kathāḥ syuḥ	Bhu-_02.07.038/1 yarhi-Alayezu-api satAm na hareH kaTAH syuH
   BhP_02.07.038/2 pāṣaṇḍino dvijajanā vṛṣalā nṛdevāḥ	Bhu-_02.07.038/2 pAzaNxinaH dvija-janAH vRzalAH nR-devAH
   BhP_02.07.038/3 svāhā svadhā vaṣaḍiti sma giro na yatra	BhP_02.07.038/3 svAhA svaDA vazaw-iti sma giraH na yatra
   BhP_02.07.038/4 śāstā bhaviṣyati kalerbhagavān yugānte	Bhu-_02.07.038/4 SAstA Bavizyati kaleH-BagavAn yuga-ante
   BhP_02.07.039/1 sarge tapo 'ham ṛṣayo nava ye prajeśāḥ	Bhu-_02.07.039/1 sarge tapaH aham RzayaH nava ye prajA-ISAH
   BhP_02.07.039/2 sthāne 'tha dharmamakhamanvamarāvanīśāḥ	Bhu-_02.07.039/2 sTAne aTa Darma-maKa-manu-amara-avanISAH
   BhP_02.07.039/3 ante tvadharmaharamanyuvaśāsurādyā	Bhu-_02.07.039/3 ante tu-aDarma-hara-manyu-vaSa-asura-AdyA
   BhP_02.07.039/4 māyāvibhūtaya imāḥ puruśaktibhājaḥ	Bhu-_02.07.039/4 mAyA-viBUtayaH imAH puru-Sakti-BAjaH
   BhP_02.07.040/1 viṣṇornu vīryagaṇanāṃ katamo 'rhatīha	Bhu-_02.07.040/1 vizNoH-nu vIrya-gaNanAm katamaH arhati-iha
   BhP_02.07.040/2 yaḥ pārthivānyapi kavirvimame rajāṃsi	Bhu-_02.07.040/2 yaH pArTivAni-api kaviH-vimame rajAMsi
   BhP_02.07.040/3 caskambha yaḥ svarahasāskhalatā tripṛṣṭhaṃ	Bhu-_02.07.040/3 caskamBa yaH sva-rahasa-asKala-tA tri-pRzWam
   BhP_02.07.040/4 yasmāt trisāmyasadanādurukampayānam	Bhu-_02.07.040/4 yasmAt tri-sAmya-sadanA-durukampayAnam
   BhP_02.07.041/1 nāntaṃ vidāmyaham amī munayo 'grajāste	Bhu-_02.07.041/1 na-antam vidAmi-aham amI munayaH agrajAH-te
   BhP_02.07.041/2 māyābalasya puruṣasya kuto 'varā ye	Bhu-_02.07.041/2 mAyA-balasya puruzasya kutas avarAH ye
   BhP_02.07.041/3 gāyan guṇān daśaśatānana ādidevaḥ	Bhu-_02.07.041/3 gAyan guNAn daSa-Sata-AnanaH AdidevaH
   BhP_02.07.041/4 śeṣo 'dhunāpi samavasyati nāsya pāram	Bhu-_02.07.041/4 SezaH aDunA-api samavasyati na-asya pAram
   BhP_02.07.042/1 yeṣāṃ sa eṣa bhagavān dayayedanantaḥ	Bhu-_02.07.042/1 yezAm saH eza BagavAn dayayet-anantaH
   BhP_02.07.042/2 sarvātmanāśritapado yadi nirvyalīkam	Bhu-_02.07.042/2 sarva-AtmanA-ASrita-padaH yadi nirvyalIkam
   BhP_02.07.042/3 te dustarām atitaranti ca devamāyāṃ	Bhu-_02.07.042/3 te dustarAm atitaranti ca deva-mAyAm
   BhP_02.07.042/4 naiṣāṃ mamāham iti dhīḥ śvaśṛgālabhakṣye	Bhu-_02.07.042/4 na-ezAm mama-aham iti DIH Sva-SRgAla-Bakzye
   BhP_02.07.043/1 vedāham aṅga paramasya hi yogamāyāṃ	Bhu-_02.07.043/1 veda-aham aFga paramasya hi yoga-mAyAm
   BhP_02.07.043/2 yūyaṃ bhavaśca bhagavān atha daityavaryaḥ	Bhu-_02.07.043/2 yUyam BavaH-ca BagavAn aTa dEtya-varyaH
   BhP_02.07.043/3 patnī manoḥ sa ca manuśca tadātmajāśca	BhP_02.07.043/3 patnI manoH sa ca manuH-ca tad-AtmajAH-ca
   BhP_02.07.043/4 prācīnabarhirṛbhuraṅga uta dhruvaśca	Bhu-_02.07.043/4 prAcInabarhiH-RBuH-aFgaH uta DruvaH-ca
   BhP_02.07.044/1 ikṣvākurailamucukundavidehagādhi	Bhu-_02.07.044/1 ikzvAkuH-Ela-mucukunda-videha-gADi
   BhP_02.07.044/2 raghvambarīṣasagarā gayanāhuṣādyāḥ	Bhu-_02.07.044/2 raGu-ambarIza-sagarAH gaya-nAhuza-AdyAH
   BhP_02.07.044/3 māndhātralarkaśatadhanvanurantidevā	Bhu-_02.07.044/3 mAnDAtR-alarka-SataDanu-anurantidevA
   BhP_02.07.044/4 devavrato baliramūrttarayo dilīpaḥ	Bhu-_02.07.044/4 devavrataH baliH-amUrttarayaH dilIpaH
   BhP_02.07.045/1 saubharyutaṅkaśibidevalapippalāda	Bhu-_02.07.045/1 sOBaryutaFka-Sibi-devala-pippalAda
   BhP_02.07.045/2 sārasvatoddhavaparāśarabhūriṣeṇāḥ	Bhu-_02.07.045/2 sAra-svata-udDava-parASara-BUrizeNAH
   BhP_02.07.045/3 ye 'nye vibhīṣaṇahanūmadupendradatta	Bhu-_02.07.045/3 ye anye viBIzaNa-hanUmat-upendra-datta
   BhP_02.07.045/4 pārthārṣṭiṣeṇaviduraśrutadevavaryāḥ	Bhu-_02.07.045/4 pArTa-ArzwizeNa-vidura-Sruta-deva-varyAH
   BhP_02.07.046/1 te vai vidantyatitaranti ca devamāyāṃ	Bhu-_02.07.046/1 te vE vidanti-atitaranti ca deva-mAyAm
   BhP_02.07.046/2 strīśūdrahūṇaśabarā api pāpajīvāḥ	Bhu-_02.07.046/2 strI-SUdra-hUNa-SabarAH api pApa-jIvAH
   BhP_02.07.046/3 yadyadbhutakramaparāyaṇaśīlaśikṣās	Bhu-_02.07.046/3 yadi-adButa-krama-parAyaNa-SIla-SikzA-s
   BhP_02.07.046/4 tiryagjanā api kim u śrutadhāraṇā ye	Bhu-_02.07.046/4 tiryak-janAH api kim u Sruta-DAraNAH ye
   BhP_02.07.047/1 śaśvat praśāntam abhayaṃ pratibodhamātraṃ	Bhu-_02.07.047/1 SaSvat praSAntam aBayam pratiboDa-mAtram
   BhP_02.07.047/2 śuddhaṃ samaṃ sadasataḥ paramātmatattvam	Bhu-_02.07.047/2 SudDam samam sat-asataH paramAtma-tattvam
   BhP_02.07.047/3 śabdo na yatra purukārakavān kriyārtho	Bhu-_02.07.047/3 SabdaH na yatra purukArakavAn kriyA-arTaH-
   BhP_02.07.047/4 māyā paraityabhimukhe ca vilajjamānā	Bhu-_02.07.047/4 mAyA parEti-aBimuKe ca vilajjamAnA
   BhP_02.07.048/1 tadvai padaṃ bhagavataḥ paramasya puṃso	Bhu-_02.07.048/1 tat-vE padam BagavataH paramasya puMsaH-
   BhP_02.07.048/2 brahmeti yadvidurajasrasukhaṃ viśokam	Bhu-_02.07.048/2 brahma-iti yat-viduH-ajasra-suKam viSokam
   BhP_02.07.048/3 sadhryaṅ niyamya yatayo yamakartahetiṃ	Bhu-_02.07.048/3 saDryak niyamya yatayaH yama-karta-hetim
   BhP_02.07.048/4 jahyuḥ svarāḍiva nipānakhanitram indraḥ	BhP_02.07.048/4 jahyuH svarAj-iva nipAna-Kanitram indraH
   BhP_02.07.049/1 sa śreyasām api vibhurbhagavān yato 'sya	Bhu-_02.07.049/1 sa SreyasAm api viBuH-BagavAn yatas asya
   BhP_02.07.049/2 bhāvasvabhāvavihitasya sataḥ prasiddhiḥ	Bhu-_02.07.049/2 BAva-svaBAva-vihitasya sataH prasidDiH
   BhP_02.07.049/3 dehe svadhātuvigame 'nuviśīryamāṇe	Bhu-_02.07.049/3 dehe sva-DAtu-vigame anuviSIryamANe
   BhP_02.07.049/4 vyomeva tatra puruṣo na viśīryate ñjaḥ	Bhu-_02.07.049/4 vyomA-iva tatra puruzaH na viSIryate QjaH
   BhP_02.07.050/1 so 'yaṃ te 'bhihitastāta bhagavān viśvabhāvanaḥ	Bhu-_02.07.050/1 saH ayam te aBihitaH-tAta BagavAn viSvaBAvanaH
   BhP_02.07.050/3 samāsena harernānyadanyasmāt sadasac ca yat	Bhu-_02.07.050/3 samAsena hareH-na-anyat-anyasmAt sat-asat ca yat-
   BhP_02.07.051/1 idaṃ bhāgavataṃ nāma yan me bhagavatoditam	Bhu-_02.07.051/1 idam BAgavatam nAma yat me BagavatA-uditam
   BhP_02.07.051/3 saṅgraho 'yaṃ vibhūtīnāṃ tvam etadvipulī kuru	BhP_02.07.051/3 saFgrahaH ayam viBUtInAm tvam etat-vipulI kuru
   BhP_02.07.052/1 yathā harau bhagavati nṛṇāṃ bhaktirbhaviṣyati	Bhu-_02.07.052/1 yaTA harO Bagavati nRNAm BaktiH-Bavizyati
   BhP_02.07.052/3 sarvātmanyakhilādhāre iti saṅkalpya varṇaya	Bhu-_02.07.052/3 sarva-Atmani-aKila-ADAre iti saFkalpya varNaya
   BhP_02.07.053/1 māyāṃ varṇayato 'muṣya īśvarasyānumodataḥ	Bhu-_02.07.053/1 mAyAm varNayataH amuzya ISvarasya-anumodataH
   BhP_02.07.053/3 śṛṇvataḥ śraddhayā nityaṃ māyayātmā na muhyati	BhP_02.07.053/3 SRNvataH SradDayA nityam mAyayA-AtmA na muhyati
   BhP_02.08.001/0 rājovāca	BhP_02.08.001/0 rAjA-uvAca
   BhP_02.08.001/1 brahmaṇā codito brahman guṇākhyāne 'guṇasya ca	Bhu-_02.08.001/1 brahmaNA coditaH brahman guNa-AKyAne aguNasya ca
   BhP_02.08.001/3 yasmai yasmai yathā prāha nārado devadarśanaḥ	Bhu-_02.08.001/3 yasmE yasmE yaTA prAha nAradaH devadarSanaH
   BhP_02.08.002/1 etadveditum icchāmi tattvaṃ tattvavidāṃ vara	Bhu-_02.08.002/1 etat-veditum icCAmi tattvam tattva-vidAm vara
   BhP_02.08.002/3 hareradbhutavīryasya kathā lokasumaṅgalāḥ	Bhu-_02.08.002/3 hareH-adButa-vIryasya kaTAH loka-su-maFgalAH
   BhP_02.08.003/1 kathayasva mahābhāga yathāham akhilātmani	Bhu-_02.08.003/1 kaTayasva mahABAga yaTA-aham aKilAtmani
   BhP_02.08.003/3 kṛṣṇe niveśya niḥsaṅgaṃ manastyakṣye kalevaram	Bhu-_02.08.003/3 kRzNe niveSya niHsaFgam manaH-tyakzye kalevaram
   BhP_02.08.004/1 śṛṇvataḥ śraddhayā nityaṃ gṛṇataśca svaceṣṭitam	Bhu-_02.08.004/1 SRNvataH SradDayA nityam gRNataH-ca sva-cezwitam
   BhP_02.08.004/3 kālena nātidīrgheṇa bhagavān viśate hṛdi	BhP-_02.08.004/3 kAlena na-ati-dIrGeNa BagavAn viSate hRdi
   BhP_02.08.005/1 praviṣṭaḥ karṇarandhreṇa svānāṃ bhāvasaroruham	Bhu-_02.08.005/1 pravizwaH karNa-ranDreNa svAnAm BAva-saroruham
   BhP_02.08.005/3 dhunoti śamalaṃ kṛṣṇaḥ salilasya yathā śarat	BhP_02.08.005/3 Dunoti Samalam kRzNaH salilasya yaTA Sarad-
   BhP_02.08.006/1 dhautātmā puruṣaḥ kṛṣṇa pādamūlaṃ na muñcati	Bhu-_02.08.006/1 DOta-AtmA puruzaH kRzNa pAda-mUlam na muQcati
   BhP_02.08.006/3 muktasarvaparikleśaḥ pānthaḥ svaśaraṇaṃ yathā	Bhu-_02.08.006/3 mukta-sarva-parikleSaH pAnTaH sva-SaraNam yaTA
   BhP_02.08.007/1 yadadhātumato brahman dehārambho 'sya dhātubhiḥ	Bhu-_02.08.007/1 yat-aDAtum-ataH brahman deha-AramBaH asya DAtuBiH
   BhP_02.08.007/3 yadṛcchayā hetunā vā bhavanto jānate yathā	Bhu-_02.08.007/3 yadRcCayA hetunA vA BavantaH jAnate yaTA
   BhP_02.08.008/1 āsīdyadudarāt padmaṃ lokasaṃsthānalakṣaṇam	Bhu-_02.08.008/1 AsIt-yat-udarAt padmam loka-saMsTAna-lakzaNam
   BhP_02.08.008/3 yāvān ayaṃ vai puruṣa iyattāvayavaiḥ pṛthak	Bhu-_02.08.008/3 yAvAn ayam vE puruzaH iyat-tA-avayavEH pRTak-
   BhP_02.08.008/5 tāvān asāviti proktaḥ saṃsthāvayavavān iva	Bhu-_02.08.008/5 tAvAn asO=-iti proktaH saMsTA-avayavavAn iva
   BhP_02.08.009/1 ajaḥ sṛjati bhūtāni bhūtātmā yadanugrahāt	BhP_02.08.009/1 ajaH sRjati BUtAni BUtAtmA yad-anugrahAt
   BhP_02.08.009/3 dadṛśe yena tadrūpaṃ nābhipadmasamudbhavaḥ	Bhu-_02.08.009/3 dadRSe yena tad-rUpam nABi-padma-samudBavaH
   BhP_02.08.010/1 sa cāpi yatra puruṣo viśvasthityudbhavāpyayaḥ	Bhu-_02.08.010/1 sa ca-api yatra puruzaH viSva-sTiti-udBava-apyayaH
   BhP_02.08.010/3 muktvātmamāyāṃ māyeśaḥ śete sarvaguhāśayaḥ	Bhu-_02.08.010/3 muktvA-Atma-mAyAm mAyA-ISaH Sete sarva-guhA-ASayaH
   BhP_02.08.011/1 puruṣāvayavairlokāḥ sapālāḥ pūrvakalpitāḥ	Bhu-_02.08.011/1 puruza-avayavEH-lokAH sa-pAlAH pUrva-kalpitAH
   BhP_02.08.011/3 lokairamuṣyāvayavāḥ sapālairiti śuśruma	Bhu-_02.08.011/3 lokEH-amuzya-avayavAH sa-pAlEH-iti SuSruma
   BhP_02.08.012/1 yāvān kalpo vikalpo vā yathā kālo 'numīyate	Bhu-_02.08.012/1 yAvAn kalpaH vikalpaH vA yaTA kAlaH anumIyate
   BhP_02.08.012/3 bhūtabhavyabhavacchabda āyurmānaṃ ca yat sataḥ	Bhu-_02.08.012/3 BUta-Bavya-Bavat-SabdaH AyuH-mAnam ca yat sataH
   BhP_02.08.013/1 kālasyānugatiryā tu lakṣyate 'ṇvī bṛhatyapi	Bha-a_02.08.013/1 kAlasya-anugatiH-yA tu lakzyate aNvI bRhatI-api
   BhP_02.08.013/3 yāvatyaḥ karmagatayo yādṛśīrdvijasattama	Bhu-_02.08.013/3 yAvatyaH karma-gatayaH yAdRSIH-dvijasattama
   BhP_02.08.014/1 yasmin karmasamāvāyo yathā yenopagṛhyate	Bhu-_02.08.014/1 yasmin karma-samAvAyaH yaTA yena-upagRhyate
   BhP_02.08.014/3 guṇānāṃ guṇināṃ caiva pariṇāmam abhīpsatām	Bhu-_02.08.014/3 guNAnAm guNinAm ca-eva pariNAmam aBIpsatAm
   BhP_02.08.015/1 bhūpātālakakubvyoma grahanakṣatrabhūbhṛtām	BhP_02.08.015/1 BU-pAtAlaka-kubvyoma graha-nakzatra-BUBRtAm
   BhP_02.08.015/3 saritsamudradvīpānāṃ sambhavaścaitadokasām	Bhu-_02.08.015/3 sarit-samudra-dvIpAnAm samBavaH-ca-etad-okasAm
   BhP_02.08.016/1 pramāṇam aṇḍakośasya bāhyābhyantarabhedataḥ	BhP_02.08.016/1 pramANam aNxa-koSasya bAhya-aByantara-BedataH
   BhP_02.08.016/3 mahatāṃ cānucaritaṃ varṇāśramaviniścayaḥ	Bhu-_02.08.016/3 mahatAm ca-anucaritam varNa-ASrama-viniScayaH
   BhP_02.08.017/1 yugāni yugamānaṃ ca dharmo yaśca yuge yuge	Bhu-_02.08.017/1 yugAni yuga-mAnam ca DarmaH yaH-ca yuge yuge
   BhP_02.08.017/3 avatārānucaritaṃ yadāścaryatamaṃ hareḥ	Bhu-_02.08.017/3 avatAra-anucaritam yat-AScaryatamam hareH
   BhP_02.08.018/1 nṛṇāṃ sādhāraṇo dharmaḥ saviśeṣaśca yādṛśaḥ	Bhu-_02.08.018/1 nRNAm sADAraNaH DarmaH sa-viSezaH-ca yAdRSaH
   BhP_02.08.018/3 śreṇīnāṃ rājarṣīṇāṃ ca dharmaḥ kṛcchreṣu jīvatām	Bhu-_02.08.018/3 SreNInAm rAjarzINAm ca DarmaH kRcCrezu jIvatAm
   BhP_02.08.019/1 tattvānāṃ parisaṅkhyānaṃ lakṣaṇaṃ hetulakṣaṇam	Bhu-_02.08.019/1 tattvAnAm parisaFKyAnam lakzaNam hetu-lakzaNam
   BhP_02.08.019/3 puruṣārādhanavidhiryogasyādhyātmikasya ca	BhP_02.08.019/3 puruza-ArADana-viDiH-yogasya-ADyAtmikasya ca
   BhP_02.08.020/1 yogeśvaraiśvaryagatirliṅgabhaṅgastu yoginām	Bhu-_02.08.020/1 yogeSvara-ESvarya-gatiH-liFga-BaFgaH-tu yoginAm
   BhP_02.08.020/3 vedopavedadharmāṇām itihāsapurāṇayoḥ	Bhu-_02.08.020/3 veda-upaveda-DarmANAm itihAsa-purANayoH
   BhP_02.08.021/1 samplavaḥ sarvabhūtānāṃ vikramaḥ pratisaṅkramaḥ	BhP_02.08.021/1 samplavaH sarva-BUtAnAm vikramaH pratisaFkramaH
   BhP_02.08.021/3 iṣṭāpūrtasya kāmyānāṃ trivargasya ca yo vidhiḥ	Bhu-_02.08.021/3 izwApUrtasya kAmyAnAm trivargasya ca yaH viDiH
   BhP_02.08.022/1 yo vānuśāyināṃ sargaḥ pāṣaṇḍasya ca sambhavaḥ	Bhu-_02.08.022/1 yaH vA-anuSAyinAm sargaH pAzaNxasya ca samBavaH
   BhP_02.08.022/3 ātmano bandhamokṣau ca vyavasthānaṃ svarūpataḥ	Bhu-_02.08.022/3 AtmanaH banDa-mokzO ca vyavasTAnam svarUpataH
   BhP_02.08.023/1 yathātmatantro bhagavān vikrīḍatyātmamāyayā	Bhu-_02.08.023/1 yaTA-Atma-tantraH BagavAn vikrIxati-Atma-mAyayA
   BhP_02.08.023/3 visṛjya vā yathā māyām udāste sākṣivadvibhuḥ	Bhu-_02.08.023/3 visRjya vA yaTA mAyAm udAste sAkzi-vat-viBuH
   BhP_02.08.024/1 sarvam etac ca bhagavan pṛcchato me 'nupūrvaśaḥ	Bhu-_02.08.024/1 sarvam etat ca Bagavan pRcCataH me anupUrvaSas-
   BhP_02.08.024/3 tattvato 'rhasyudāhartuṃ prapannāya mahāmune	Bhu-_02.08.024/3 tattvataH arhasi-udAhartum prapannAya mahA-mune
   BhP_02.08.025/1 atra pramāṇaṃ hi bhavān parameṣṭhī yathātmabhūḥ	Bhu-_02.08.025/1 atra pramANam hi BavAn paramezWI yaTA-AtmaBUH
   BhP_02.08.025/3 apare cānutiṣṭhanti pūrveṣāṃ pūrvajaiḥ kṛtam	Bhu-_02.08.025/3 apare ca-anutizWanti pUrvezAm pUrvajEH kRtam
   BhP_02.08.026/1 na me 'savaḥ parāyanti brahmann anaśanādamī	Bhu-_02.08.026/1 na me asavaH parAyanti brahman anaSanAt-amI
   BhP_02.08.026/3 pibato ñcyutapīyūṣam tadvākyābdhiviniḥsṛtam	Bhu-_02.08.026/3 pibataH Qcyuta-pIyUzam tad-vAkya-abDi-viniHsRtam
   BhP_02.08.027/0 sūta uvāca	BhP_02.08.027/0 sUtaH uvAca
   BhP_02.08.027/1 sa upāmantrito rājñā kathāyām iti satpateḥ	Bhu-_02.08.027/1 saH upAmantritaH rAjQA kaTAyAm iti sat-pateH
   BhP_02.08.027/3 brahmarāto bhṛśaṃ prīto viṣṇurātena saṃsadi	Bhu-_02.08.027/3 brahmarAtaH BRSam prItaH vizNurAtena saMsadi
   BhP_02.08.028/1 prāha bhāgavataṃ nāma purāṇaṃ brahmasammitam	BhP_02.08.028/1 prAha BAgavatam nAma purANam brahma-sammitam
   BhP_02.08.028/3 brahmaṇe bhagavatproktaṃ brahmakalpa upāgate	Bhu-_02.08.028/3 brahmaNe Bagavat-proktam brahma-kalpaH upAgate
   BhP_02.08.029/1 yadyat parīkṣidṛṣabhaḥ pāṇḍūnām anupṛcchati	Bhu-_02.08.029/1 yat-yat parIkzit-RzaBaH pANxUnAm anupRcCati
   BhP_02.08.029/3 ānupūrvyeṇa tat sarvam ākhyātum upacakrame	Bhu-_02.08.029/3 AnupUrvyeNa tat sarvam AKyAtum upacakrame
   BhP_02.09.001/0 śrīśuka uvāca	BhP_02.09.001/0 SrI-SukaH uvAca
   BhP_02.09.001/1 ātmamāyām ṛte rājan parasyānubhavātmanaḥ	Bhu-_02.09.001/1 Atma-mAyAm Rte rAjan parasya-anuBava-AtmanaH
   BhP_02.09.001/3 na ghaṭetārthasambandhaḥ svapnadraṣṭurivāñjasā	Bhu-_02.09.001/3 na Gaweta-arTa-sambanDaH svapna-drazwuH-iva-aQjasA
   BhP_02.09.002/1 bahurūpa ivābhāti māyayā bahurūpayā	Bhu-_02.09.002/1 bahu-rUpaH iva-ABAti mAyayA bahu-rUpayA
   BhP_02.09.002/3 ramamāṇo guṇeṣvasyā mamāham iti manyate	Bhu-_02.09.002/3 ramamANaH guNezu-asyAH mama-aham iti manyate
   BhP_02.09.003/1 yarhi vāva mahimni sve parasmin kālamāyayoḥ	Bhu-_02.09.003/1 yarhi vAva mahimni sve parasmin kAla-mAyayoH
   BhP_02.09.003/3 rameta gatasammohastyaktvodāste tadobhayam	Bhu-_02.09.003/3 rameta gata-sammohaH-tyaktvA-udAste tadA-uBayam
   BhP_02.09.004/1 ātmatattvaviśuddhyarthaṃ yadāha bhagavān ṛtam	Bhu-_02.09.004/1 Atma-tattva-viSudDi-arTam yat-Aha BagavAn Rtam
   BhP_02.09.004/3 brahmaṇe darśayan rūpam avyalīkavratādṛtaḥ	Bhu-_02.09.004/3 brahmaNe darSayan rUpam avyalIka-vrata-AdRtaH
   BhP_02.09.005/1 sa ādidevo jagatāṃ paro guruḥ svadhiṣṇyam āsthāya	Bhu-_02.09.005/1 saH AdidevaH jagatAm paraH guruH sva-DizNyam AsTAya
   sisṛkṣayaikṣata	sisRkzayA-Ekzata
   BhP_02.09.005/3 tāṃ nādhyagacchaddṛśam atra sammatāṃ	Bhu-_02.09.005/3 tAm na-aDyagacCat-dRSam atra sammatAm
   prapañcanirmāṇavidhiryayā bhavet	prapaQca-nirmANa-viDiH-yayA Bavet-
   BhP_02.09.006/1 sa cintayan dvyakṣaram ekadāmbhasy upāśṛṇoddvirgaditaṃ	Bhu-_02.09.006/1 sa cintayan dvi-akzaram ekadA-amBasi upASRNot-dvis-gaditam
   vaco vibhuḥ	vacaH viBuH
   BhP_02.09.006/3 sparśeṣu yat ṣoḍaśam ekaviṃśaṃ niṣkiñcanānāṃ nṛpa	Bhu-_02.09.006/3 sparSezu yat zoxaSam ekaviMSam nizkiQcanAnAm nRpa
   yaddhanaṃ viduḥ	yat-Danam viduH
   BhP_02.09.007/1 niśamya tadvaktṛdidṛkṣayā diśo vilokya	Bhu-_02.09.007/1 niSamya tad-vaktR-didRkzayA diSaH vilokya
   tatrānyadapaśyamānaḥ	tatra-anyat-apaSyamAnaH
   BhP_02.09.007/3 svadhiṣṇyam āsthāya vimṛśya taddhitaṃ tapasyupādiṣṭa	Bhu-_02.09.007/3 sva-DizNyam AsTAya vimRSya tat-hitam tapasi-upAdizwa
   ivādadhe manaḥ	iva-adaDe manaH
   BhP_02.09.008/1 divyaṃ sahasrābdam amoghadarśano jitānilātmā	Bhu-_02.09.008/1 divyam sahasra-abdam amoGa-darSanaH jita-anila-AtmA
   vijitobhayendriyaḥ	vijita-uBaya-indriyaH
   BhP_02.09.008/3 atapyata smākhilalokatāpanaṃ tapastapīyāṃstapatāṃ	Bhu-_02.09.008/3 atapyata sma-aKila-loka-tApanam tapaH-tapIyAn=-tapatAm
   samāhitaḥ	samAhitaH
   BhP_02.09.009/1 tasmai svalokaṃ bhagavān sabhājitaḥ sandarśayām āsa paraṃ	Bhu-_02.09.009/1 tasmE sva-lokam BagavAn saBAjitaH sandarSayAm Asa param
   na yatparam	na yat-param
   BhP_02.09.009/3 vyapetasaṅkleśavimohasādhvasaṃ	Bhu-_02.09.009/3 vyapeta-saFkleSa-vimoha-sADvasam
   svadṛṣṭavadbhirpuruṣairabhiṣṭutam	sva-dRzwa-vadBiH-puruzEH-aBizwutam
   BhP_02.09.010/1 pravartate yatra rajastamastayoḥ sattvaṃ ca miśraṃ na ca	Bhu-_02.09.010/1 pravartate yatra rajaH-tamaH-tayoH sattvam ca miSram na ca
   kālavikramaḥ	kAla-vikramaH
   BhP_02.09.010/3 na yatra māyā kim utāpare harer anuvratā yatra	Bhu-_02.09.010/3 na yatra mAyA kim uta-apare hareH anuvratAH yatra
   surāsurārcitāḥ	sura-asura-arcitAH
   BhP_02.09.011/1 śyāmāvadātāḥ śatapatralocanāḥ piśaṅgavastrāḥ surucaḥ	Bhu-_02.09.011/1 SyAma-avadAtAH Satapatra-locanAH piSaFga-vastrAH su-rucaH
   supeśasaḥ	supeSasaH
   BhP_02.09.011/3 sarve caturbāhava unmiṣanmaṇi pravekaniṣkābharaṇāḥ	Bhu-_02.09.011/3 sarve catur-bAhavaH unmizan-maNi praveka-nizka-ABaraNAH
   suvarcasaḥ	suvarcasaH
   BhP_02.09.011/5 pravālavaidūryamṛṇālavarcasaḥ	Bhu-_02.09.011/5 pravAla-vEdUrya-mRNAla-varcasaH
   parisphuratkuṇḍalamaulimālinaḥ	parisPurat-kuNxala-mOli-mAlinaH
   BhP_02.09.012/1 bhrājiṣṇubhiryaḥ parito virājate	Bhu-_02.09.012/1 BrAjizNuBiH-yaH paritas virAjate
   lasadvimānāvalibhirmahātmanām	lasat-vimAna-AvaliBiH-mahAtmanAm
   BhP_02.09.012/3 vidyotamānaḥ pramadottamādyubhiḥ	Bhu-_02.09.012/3 vidyotamAnaH pramadA-uttamA-dyuBiH
   savidyudabhrāvalibhiryathā nabhaḥ	sa-vidyut-aBra-AvaliBiH-yaTA naBaH
   BhP_02.09.013/1 śrīryatra rūpiṇyurugāyapādayoḥ karoti mānaṃ bahudhā	Bhu-_02.09.013/1 SrIH-yatra rUpiNI-uru-gAya-pAdayoH karoti mAnam bahuDA
   vibhūtibhiḥ	viBUtiBiH
   BhP_02.09.013/3 preṅkhaṃ śritā yā kusumākarānugair vigīyamānā priyakarma	Bha-a_02.09.013/3 preFKam SritA yA kusuma-Akara-anugEH vigIyamAnA priya-karma
   gāyatī	gAyatI
   BhP_02.09.014/1 dadarśa tatrākhilasātvatāṃ patiṃ śriyaḥ patiṃ yajñapatiṃ	Bhu-_02.09.014/1 dadarSa tatra-aKila-sAtvatAm patim SriyaH patim yajQapatim
   jagatpatim	jagatpatim
   BhP_02.09.014/3 sunandanandaprabalārhaṇādibhiḥ svapārṣadāgraiḥ parisevitaṃ	Bhu-_02.09.014/3 sunanda-nanda-prabala-arhaNa-AdiBiH sva-pArzada-agrEH parisevitam
   vibhum	viBum
   BhP_02.09.015/1 bhṛtyaprasādābhimukhaṃ dṛgāsavaṃ	Bhu-_02.09.015/1 BRtya-prasAda-aBimuKam dRS-Asavam
   prasannahāsāruṇalocanānanam	prasanna-hAsa-aruNa-locana-Ananam
   BhP_02.09.015/3 kirīṭinaṃ kuṇḍalinaṃ caturbhujaṃ pītāṃśukaṃ vakṣasi	Bhu-_02.09.015/3 kirIwinam kuNxalinam catur-Bujam pIta-aMSukam vakzasi
   lakṣitaṃ śriyā	lakzitam SriyA
   BhP_02.09.016/1 adhyarhaṇīyāsanam āsthitaṃ paraṃ vṛtaṃ	Bhu-_02.09.016/1 aDyarhaNIya-Asanam AsTitam param vRtam
   catuḥṣoḍaśapañcaśaktibhiḥ	catur-zoxaSa-paQca-SaktiBiH
   BhP_02.09.016/3 yuktaṃ bhagaiḥ svairitaratra cādhruvaiḥ sva eva dhāman	Bhu-_02.09.016/3 yuktam BagEH svEH-itaratra ca-aDruvEH sve eva DAman
   ramamāṇam īśvaram	ramamANam ISvaram
