   akathyamapi deveśi Ras_1.13c	akaTyam-api deveSi RaH-_1.13c
   āyurdravyapradāyakaḥ Ras_11.150b	AyuH-dravya-pradAyakaH RaH-_11.150b
   āyustu ṣaḍguṇe viṣṇoḥ Ras_11.72c	AyuH-tu zaxguNe vizNoH RaH-_11.72c
   āraktarākāmūlaṃ vā Ras_6.92c	Arakta-rAkA-mUlam vE RaH-_6.92c
   āraktavallīgomūtraḥ Ras_8.43a	AraktavallI-go-mUtraH RaH-_8.43a
   āraṇyagomayenaiva Ras_11.30a	AraNya-gomayena-eva RaH-_11.30a
   āranāle dinatrayam Ras_10.60d	AranAle dina-trayam RaH-_10.60d
   āroṭaṃ bandhayet kṣipraṃ Ras_12.5c	Arowam banDayet kzipram RaH-_12.5c
   āroṭaḥ pārado brahmā Ras_10.30a	ArowaH pAradaH brahmA RaH-_10.30a
   āroṭo balamādhatte Ras_11.219a	ArowaH balam-ADatte RaH-_11.219a
   ārdrakādi tato yogād Ras_11.115a	Ardraka-Adi tatas yogAt RaH-_11.115a
   ārdratvaṃ ca ghanatvaṃ ca Ras_11.200a	Ardra-tvam ca Gana-tvam ca RaH-_11.200a
   ārdrapiṇḍena saṃyutam Ras_11.119b	Ardra-piNxena saMyutam RaH-_11.119b
   ālasyādgurulobhācca Ras_2.132c	AlasyAt-guru-loBAt-ca RaH-_2.132c
   ālāpaṃ gātrasaṃsparśaṃ Ras_1.52a	AlApam gAtra-saMsparSam RaH-_1.52a
   āloḍya madhusarpirbhyāṃ Ras_12.194e	Aloxya maDu-sarpirByAm RaH-_12.194e
   āvartate rasastadvat Ras_11.206c	Avartate rasaH-tadvat RaH-_11.206c
   āvartamāne kanake Ras_4.49a	AvartamAne kanake RaH-_4.49a
   āvartitaśca mṛdvagnau Ras_7.70c	AvartitaH-ca mRdu-agnO RaH-_7.70c
   āvartitaṃ cūrṇitaṃ ca Ras_8.62c	Avartitam cUrNitam ca RaH-_8.62c
   āvartitaṃ bhaved yāvaj Ras_12.118c	Avartitam Bavet yAvat RaH-_12.118c
   āvartya kaṭutailena Ras_8.30a	Avartya kawutElena RaH-_8.30a
   āvartyāvartya bhujagaṃ Ras_11.166c	Avartya-Avartya Bujagam RaH-_11.166c
   āvāpāt kurute devi Ras_7.120c	AvApAt kurute devi RaH-_7.120c
   āvāpāddravatāṃ vrajet Ras_7.123d	AvApAt-drava-tAm vrajet RaH-_7.123d
   āvāpāddrāvayedeta- Ras_7.134c	AvApAt-drAvayet-eta RaH-_7.134c
   āṣāḍhapūrvapakṣe tu Ras_12.145a	AzAXa-pUrva-pakze tu RaH-_12.145a
   āsanaṃ tu gurormadhye Ras_2.109a	Asanam tu guroH-maDye RaH-_2.109a
   āsurī ṭaṅkaṇaścaiva Ras_11.88a	AsurI waFkaNaH-ca-eva RaH-_11.88a
   āsurīlavaṇavyoṣa- Ras_10.42a	AsurI-lavaNa-vyoza RaH-_10.42a
   āstike tu bhavetsiddhiḥ Ras_1.47c	Astike tu Bavet-sidDiH RaH-_1.47c
   āsphoṭadāhabhedaiśca Ras_6.74c	AsPowa-dAha-BedEH-ca RaH-_6.74c
   āsphoṭaḥ kharamañjarī Ras_11.26b	AsPowaH KaramaQjarI RaH-_11.26b
   iṅgudīphalamadhyasthaṃ Ras_12.313c	iFgudI-Pala-maDya-sTam RaH-_12.313c
   iṅgudīphalamadhye vā Ras_12.328c	iFgudI-Pala-maDye vE RaH-_12.328c
   icchayā vicarellokān Ras_11.106c	icCayA vicaret-lokAn RaH-_11.106c
   iti tīkṣṇaṃ tridhā tacca Ras_7.107c	iti tIkzNam triDA tat-ca RaH-_7.107c
   iti devagaṇaiḥ prītaiḥ Ras_7.66a	iti deva-gaNEH prItEH RaH-_7.66a
   iti bhūyastridhā bhavet Ras_8.17d	iti BUyas-triDA Bavet RaH-_8.17d
   iti yo vetti tattvena Ras_10.11e	iti yaH vetti tattvena RaH-_10.11e
   iti lohe 'ṣṭaguṇite Ras_11.151c	iti lohe azwa-guNite RaH-_11.151c
   ityaṣṭa mūlikāḥ proktāḥ Ras_5.27e	iti-azwa mUlikAH proktAH RaH-_5.27e
   ityuktamabhrakādīnāṃ Ras_6.139a	iti-uktam-aBraka-AdInAm RaH-_6.139a
   ityoṣadhigaṇāḥ proktāḥ Ras_5.44a	iti-ozaDi-gaNAH proktAH RaH-_5.44a
   idaṃ dalānāṃ bījānāṃ Ras_8.79c	idam dalAnAm bIjAnAm RaH-_8.79c
   idaṃ paramadurlabham Ras_1.57d	idam parama-durlaBam RaH-_1.57d
   idaṃ vaikrāntamuttamam Ras_6.131d	idam vEkrAntam-uttamam RaH-_6.131d
   idaṃ hema mṛtaṃ priye Ras_11.139b	idam hema mRtam priye RaH-_11.139b
   indirā ca kṣamāpālī Ras_5.28c	indirA ca kzamA-pAlI RaH-_5.28c
   indurī devadeveśi Ras_5.20e	indurI devadeveSi RaH-_5.20e
   indragopakasaṃkāśaṃ Ras_7.42c	indragopaka-saMkASam RaH-_7.42c
   indragopanibhaṃ bhavet Ras_11.138d	indragopa-niBam Bavet RaH-_11.138d
   indragopanibhaṃ yāvat Ras_8.48a	indragopa-niBam yAvat RaH-_8.48a
   indragopasamaṃ patet Ras_6.136f	indragopa-samam patet RaH-_6.136f
   indhanāni ca sarvāṇi Ras_4.62a	inDanAni ca sarvANi RaH-_4.62a
   imāṃ vidhivaduddharet Ras_12.180d	imAm viDivat-udDaret RaH-_12.180d
   iṣṭakāṃśasamanvitam Ras_4.42b	izwakA-aMSa-samanvitam RaH-_4.42b
   iṣṭakāṃśasamanvitau Ras_4.43b	izwakA-aMSa-samanvitO RaH-_4.43b
   iṣṭikākāñjikorṇābhiḥ Ras_10.47c	izwikA-kAQjika-UrNABiH RaH-_10.47c
   iṣṭikāguḍadagdhorṇā- Ras_11.67a	izwikA-guxa-dagDa-UrNA RaH-_11.67a
   īdṛśībhir varārohe Ras_2.16a	IdRSIBiH varArohe RaH-_2.16a
   īdṛśairlakṣaṇaiḥ nārīṃ Ras_2.28a	IdRSEH-lakzaNEH nArIm RaH-_2.28a
   īśvarīrasa eva ca Ras_12.182b	ISvarI-rasaH eva ca RaH-_12.182b
   īṣac chidrānvitām ekāṃ Ras_4.8c	Izat Cidra-anvitAm ekAm RaH-_4.8c
   īṣattāmrarajoyutam Ras_12.170b	Izat-tAmra-rajaH-yutam RaH-_12.170b
   īṣatpītaśca rūkṣāṅgo Ras_10.7a	Izat-pItaH-ca rUkza-aFgaH RaH-_10.7a
   īṣatprahasitānanam Ras_2.66b	Izat-prahasita-Ananam RaH-_2.66b
   uktāni tārabījāni Ras_8.73a	uktAni tAra-bIjAni RaH-_8.73a
   uccaṭā māninīkandā Ras_5.10c	uccawAH mAninI-kandA RaH-_5.10c
   ujjayinyā dakṣiṇato Ras_12.152c	ujjayinyAH dakziNatas RaH-_12.152c
   utkaṭā hemavallarī Ras_5.19b	utkawA hemavallarI RaH-_5.19b
   uttaptahemarucirāṃ Ras_2.69c	uttapta-hema-rucirAm RaH-_2.69c
   uttamaṃ karṣakaṃ devi Ras_6.44c	uttamam karzakam devi RaH-_6.44c
   uttamaṃ vaṅgamucyate Ras_7.110d	uttamam vaFgam-ucyate RaH-_7.110d
   uttamaṃ sarvatomukham Ras_6.47d	uttamam sarvatomuKam RaH-_6.47d
   uttamā madhyamāścaiva Ras_6.73c	uttamAH maDyamAH-ca-eva RaH-_6.73c
   uttamā varavarṇini Ras_4.43d	uttamA varavarNini RaH-_4.43d
   uttamo mantravādastu Ras_1.44c	uttamaH mantra-vAdaH-tu RaH-_1.44c
   uttare nāsti sarvathā Ras_6.126b	uttare na-asti sarvaTA RaH-_6.126b
   uttarottarakāryakṛt Ras_12.219b	uttarottara-kArya-kRt RaH-_12.219b
   uttarottaravṛddhyātu Ras_11.156c	uttara-uttara-vRdDyAtu RaH-_11.156c
   utpannamapi vijñānaṃ Ras_2.132e	utpannam-api vijQAnam RaH-_2.132e
   udakasya śivāgame Ras_12.382b	udakasya Siva-Agame RaH-_12.382b
   udake vinyaseddevi Ras_3.26c	udake vinyaset-devi RaH-_3.26c
   udayādityasaṃkāśo Ras_12.317a	udaya-Aditya-saMkASaH RaH-_12.317a
   udumbarasamāyuktaṃ Ras_6.103c	udumbara-samAyuktam RaH-_6.103c
   udghāṭe krāmaṇe yojyaṃ Ras_8.79e	udGAwe krAmaNe yojyam RaH-_8.79e
   uddhṛtaṃ saptabhirmāsaiḥ Ras_6.52a	udDRtam saptaBiH-mAsEH RaH-_6.52a
   udvāhakarmakārakam Ras_10.9f	udvAha-karma-kArakam RaH-_10.9f
   unmanā unmanībhāvam Ras_2.113c	unmanAH unmanIBAvam RaH-_2.113c
   unmanāpadamavyayam Ras_2.113d	unmanA-padam-avyayam RaH-_2.113d
   upayuñjīta māsaikaṃ Ras_12.321a	upayuQjIta mAsa-ekam RaH-_12.321a
   upalepaṃ tu tatraiva Ras_3.13a	upalepam tu tatra-eva RaH-_3.13a
   ubhayapakṣe ṛtumatī Ras_2.18a	uBaya-pakze RtumatI RaH-_2.18a
   ubhayorbhogamokṣadaḥ Ras_1.57b	uBayoH-Boga-mokza-daH RaH-_1.57b
   umāphalaiśca puṣpaiśca Ras_6.18c	umA-PalEH-ca puzpEH-ca RaH-_6.18c
   umāmuttarabhāge tu Ras_2.56e	umAm-uttara-BAge tu RaH-_2.56e
   uragā triphalā kāntā Ras_10.40c	uragA triPalA kAntA RaH-_10.40c
   uṣṇenaiva hi vāñchanti Ras_4.54c	uzNena-eva hi vAQCanti RaH-_4.54c
   uṣṇodakavidhiṃ vakṣye Ras_12.259a	uzNa-udaka-viDim vakzye RaH-_12.259a
   uṣṇodakaṃ ca kāsīsaṃ Ras_12.266a	uzNa-udakam ca kAsIsam RaH-_12.266a
   uṣṇodakena bhallātaṃ Ras_12.270a	uzNa-udakena BallAtam RaH-_12.270a
   uṣṇodakena saṃmardya Ras_12.273c	uzNa-udakena saMmardya RaH-_12.273c
   uṣṇodapācitān khādet Ras_12.275a	uzNa-uda-pAcitAn KAdet RaH-_12.275a
   ūrṇālākṣāniśāpathyā- Ras_7.35c	UrNAlAkzA-niSA-paTyA RaH-_7.35c
   ūrdhvanirgāmidhūmakam Ras_2.44d	UrDva-nirgAmi-DUmakam RaH-_2.44d
   ūrdhvabhāṇḍagataḥ pācyaḥ Ras_10.57c	UrDva-BANxa-gataH pAcyaH RaH-_10.57c
   ūrdhvaṃ gandhakacūrṇaṃ ca Ras_11.168c	UrDvam ganDaka-cUrNam ca RaH-_11.168c
   ūrdhvaṃ prasārya saṃsthāpya Ras_11.169c	UrDvam prasArya saMsTApya RaH-_11.169c
   ūrdhvaṃ bhavati cānilaḥ Ras_12.325d	UrDvam Bavati ca-anilaH RaH-_12.325d
   ūrdhvaṃ vahniradhaścāpo Ras_4.15a	UrDvam vahniH-aDas-ca-apaH RaH-_4.15a
   ūrdhvādhaś cāṣṭamāṃśena Ras_11.70a	UrDva-aDas ca-azwama-aMSena RaH-_11.70a
   ūrdhvādhastu daleṣu ca Ras_2.58d	UrDva-aDas-tu dalezu ca RaH-_2.58d
   ūrdhvādho mākṣikaṃ dattvā Ras_8.64a	UrDva-aDas mAkzikam dattvA RaH-_8.64a
   ūrdhvādho vahnidīpanam Ras_4.9d	UrDva-aDas vahni-dIpanam RaH-_4.9d
   ūrmibhiste rajovastraṃ Ras_7.62c	UrmiBiH-te rajaH-vastram RaH-_7.62c
   ūṣāṅgārāṃs tathauṣadhīḥ Ras_4.5b	UzA-aFgArAn taTA-ozaDIH RaH-_4.5b
   ekatra peṣayettattu Ras_6.111a	ekatra pezayet-tat-tu RaH-_6.111a
   ekatvaṃ drāvaṇāt tasya Ras_10.13a	eka-tvam drAvaNAt tasya RaH-_10.13a
   ekadvitriguṇo hi saḥ Ras_8.4b	eka-dvi-triguNaH hi saH RaH-_8.4b
   ekadvitricatuḥpañca Ras_2.100c	eka-dvi-tri-catur-paQca RaH-_2.100c
   ekadvitricatuḥpañca Ras_6.41a	eka-dvi-tri-catur-paQca RaH-_6.41a
   ekadhā sasyakastasmāt Ras_7.43a	ekaDA sasyakaH-tasmAt RaH-_7.43a
   ekadhā sasyakastasya Ras_7.40a	ekaDA sasyakaH-tasya RaH-_7.40a
   ekapattraṃ kṛtaṃ pūrvam Ras_6.10a	eka-pattram kRtam pUrvam RaH-_6.10a
   ekapatrīkṛtaṃ sapta- Ras_6.28a	eka-patrIkRtam sapta RaH-_6.28a
   ekamāsaprayogeṇa Ras_12.196c	eka-mAsa-prayogeNa RaH-_12.196c
   ekamāse gate devi Ras_6.109c	eka-mAse gate devi RaH-_6.109c
   ekameva bhavennālaṃ Ras_12.112c	ekam-eva Bavet-nAlam RaH-_12.112c
   ekaviṃśatiparyāyaṃ Ras_9.9a	ekaviMSati-paryAyam RaH-_9.9a
   ekaviṃśatibhāvitam Ras_12.162:1b	ekaviMSati-BAvitam RaH-_12.162:1b
   ekaviṃśatirātreṇa Ras_12.196a	ekaviMSati-rAtreNa RaH-_12.196a
   ekaviṃśatirātreṇa Ras_12.246a	ekaviMSati-rAtreNa RaH-_12.246a
   ekaviṃśativārāṃstu Ras_12.158a	ekaviMSati-vArAn=-tu RaH-_12.158a
   ekaviṃśativāreṇa Ras_12.139c	ekaviMSati-vAreNa RaH-_12.139c
   ekaviṃśaddinānyevaṃ Ras_12.253a	ekaviMSat-dinAni-evam RaH-_12.253a
   ekavīrākandarase Ras_12.98a	ekavIrA-kanda-rase RaH-_12.98a
   ekavīrā narakasā Ras_5.10a	eka-vIrA narakasAH RaH-_5.10a
   ekādaśaguṇaṃ yāvat Ras_11.102a	ekAdaSaguNam yAvat RaH-_11.102a
   ekādaśaguṇe 'mle 'smin Ras_10.41c	ekAdaSaguNe amle asmin RaH-_10.41c
   ekānte tu kriyā kāryā Ras_4.24a	ekAnte tu kriyA kAryA RaH-_4.24a
   ekānte nirmale hṛdye Ras_2.41c	ekAnte nirmale hRdye RaH-_2.41c
   ekāśītipadairyuktaṃ Ras_3.11c	ekASIti-padEH-yuktam RaH-_3.11c
   ekāhe vedhakaṃ tatra Ras_12.282e	eka-ahe veDakam tatra RaH-_12.282e
   ekīkṛtya ca mardayet Ras_11.101b	ekIkRtya ca mardayet RaH-_11.101b
   ekīkṛtya tu saṃmardya Ras_12.92c	ekIkRtya tu saMmardya RaH-_12.92c
   ekīkṛtyātha tat sarvaṃ Ras_12.355c	ekIkRtya-aTa tat sarvam RaH-_12.355c
   ekaikamabhrake caiva Ras_8.4c	ekEkam-aBrake ca-eva RaH-_8.4c
   ekaikamuttame hemni Ras_8.60e	ekEkam-uttame hemni RaH-_8.60e
   ekaikameva paryāptaṃ Ras_9.7c	ekEkam-eva paryAptam RaH-_9.7c
   ekaikamoṣadhībījaṃ Ras_5.16e	ekEkam-ozaDI-bIjam RaH-_5.16e
   ekaikasya dravaireva Ras_11.32c	ekEkasya dravEH-eva RaH-_11.32c
   ekaikasyā nyasenmantraṃ Ras_2.101a	ekEkasyAH nyaset-mantram RaH-_2.101a
   ekaikaṃ tatra nikṣipet Ras_11.34d	ekEkam tatra nikzipet RaH-_11.34d
   ekaikaṃ tridinaṃ paktvā Ras_7.48c	ekEkam tri-dinam paktvA RaH-_7.48c
   ekaikaṃ trividhaṃ tacca Ras_11.15c	ekEkam triviDam tat-ca RaH-_11.15c
   ekaikaṃ dviguṇaṃ bhavet Ras_8.3d	ekEkam dviguNam Bavet RaH-_8.3d
   ekaikaṃ bhakṣayennityaṃ Ras_12.356c	ekEkam Bakzayet-nityam RaH-_12.356c
   ekaikaṃ suravandite Ras_5.29b	ekEkam suravandite RaH-_5.29b
   ekaikaṃ hemakāntayoḥ Ras_12.352d	ekEkam hema-kAntayoH RaH-_12.352d
   ekaikaṃ hematārāṃśaṃ Ras_12.273a	ekEkam hema-tAra-aMSam RaH-_12.273a
   ekaikena tu saptadhā Ras_11.43b	ekEkena tu saptaDA RaH-_11.43b
   ekaike rasarājo 'yaṃ Ras_11.163a	ekEke rasarAjaH ayam RaH-_11.163a
   eko 'pi hemasaṃyuktaś Ras_11.82a	ekaH api hema-saMyuktaH RaH-_11.82a
   eko bhāgastu gugguloḥ Ras_4.17d	ekaH BAgaH-tu gugguloH RaH-_4.17d
   etaccābhiṣavād divyaṃ Ras_11.20a	etat-ca-aBizavAt divyam RaH-_11.20a
   etat kalkaṃ palamātraṃ Ras_12.231a	etat kalkam pala-mAtram RaH-_12.231a
   etatpraliptamūṣāyāṃ Ras_8.33a	etat-pralipta-mUzAyAm RaH-_8.33a
   etanmantragaṇaṃ devi Ras_3.28a	etat-mantra-gaNam devi RaH-_3.28a
   etallohadvayaṃ devi Ras_7.153c	etat-loha-dvayam devi RaH-_7.153c
   etā niyāmakauṣadhyaḥ Ras_5.7c	etAH niyAmaka-ozaDyaH RaH-_5.7c
   etān prathamataḥ śṛṇu Ras_7.2f	etAn praTamatas SRNu RaH-_7.2f
   ete dvādaśa bhāgāḥ syuḥ Ras_12.164a	ete dvAdaSa BAgAH syuH RaH-_12.164a
   ete rasāyane yogyā Ras_5.26c	ete rasAyane yogyA RaH-_5.26c
   etaireva niṣecayet Ras_7.129b	etEH-eva nizecayet RaH-_7.129b
   etaistu marditaṃ vajraṃ Ras_6.119a	etEH-tu marditam vajram RaH-_6.119a
   ebhir vyastaiḥ samastairvā Ras_7.90c	eBiH vyastEH samastEH-vA RaH-_7.90c
   eraṇḍamārdrakaṃ caiva Ras_11.32a	eraNxam-Ardrakam ca-eva RaH-_11.32a
   eraṇḍavṛkṣamadhye tu Ras_6.109a	eraNxa-vRkza-maDye tu RaH-_6.109a
   evamuktāni bījāni Ras_8.88a	evam-uktAni bIjAni RaH-_8.88a
   evamuktā rasotpattiḥ Ras_1.60a	evam-uktA rasa-utpattiH RaH-_1.60a
   evaṃ kramaṃ tu yo vetti Ras_11.213a	evam kramam tu yaH vetti RaH-_11.213a
   evaṃ caturguṇe jīrṇe Ras_11.124a	evam caturguNe jIrNe RaH-_11.124a
   evaṃ caturvidhaṃ kāntaṃ Ras_6.40c	evam caturviDam kAntam RaH-_6.40c
   evaṃ coparasāḥ proktāḥ Ras_7.96a	evam ca-uparasAH proktAH RaH-_7.96a
   evaṃ jāryaṃ tu ṣaḍguṇam Ras_11.191d	evam jAryam tu zaxguNam RaH-_11.191d
   evaṃ tu tridinaṃ kuryāt Ras_4.13a	evam tu tri-dinam kuryAt RaH-_4.13a
   evaṃ te śoṇitaṃ bhadre Ras_7.63a	evam te SoNitam Badre RaH-_7.63a
   evaṃ daśaguṇaṃ vyūḍhaṃ Ras_8.64c	evam daSaguNam vyUXam RaH-_8.64c
   evaṃ dvādaśavārāṃstu Ras_11.176e	evam dvAdaSa-vArAn=-tu RaH-_11.176e
   evaṃ nyāsākṣaraḥ kuṭaiḥ Ras_2.98a	evam nyAsa-akzaraH kuwEH RaH-_2.98a
   evaṃ pañcavidhā devi Ras_10.10a	evam paQcaviDAH devi RaH-_10.10a
   evaṃ pratidinaṃ bhavet Ras_11.174d	evam pratidinam Bavet RaH-_11.174d
   evaṃ mahārasāḥ proktāḥ Ras_7.55a	evam mahArasAH proktAH RaH-_7.55a
   evaṃ muhurmuhurghṛṣṭo Ras_11.165a	evam muhur-muhur-GRzwaH RaH-_11.165a
   evaṃ rasotsavaṃ devi Ras_2.128a	evam rasa-utsavam devi RaH-_2.128a
   evaṃrūpaṃ sadā dhyāyet Ras_2.116c	evaMrUpam sadA DyAyet RaH-_2.116c
   evaṃvidhāṃ rase pūjāṃ Ras_2.130a	evaMviDAm rase pUjAm RaH-_2.130a
   evaṃ viśodhitaḥ sūto Ras_10.59c	evam viSoDitaH sUtaH RaH-_10.59c
   evaṃvihitadīkṣastu Ras_2.83c	evaMvihita-dIkzaH-tu RaH-_2.83c
   evaṃ śilābhyo jīvebhyo Ras_7.95c	evam SilAByaH jIveByaH RaH-_7.95c
   evaṃ śubhāśubhaṃ jñātvā Ras_2.105a	evam SuBa-aSuBam jQAtvA RaH-_2.105a
   evaṃ saṃkrīḍamānāyās Ras_7.60a	evam saMkrIxamAnAyAH RaH-_7.60a
   evaṃ saṃgūhya sambhāraṃ Ras_4.6a	evam saMgUhya samBAram RaH-_4.6a
   evaṃ saṃgṛhya sambhārān Ras_9.19a	evam saMgRhya samBArAn RaH-_9.19a
   evaṃ sukarmasaṃyogaṃ Ras_3.17c	evam su-karma-saMyogam RaH-_3.17c
   eṣa kāpāliko yogo Ras_6.84a	eza kApAlikaH yogaH RaH-_6.84a
   eṣām ekarasena tu Ras_11.26d	ezAm eka-rasena tu RaH-_11.26d
   eṣāṃ gandhāpahāraṃ yat Ras_12.280c	ezAm ganDa-apahAram yat RaH-_12.280c
   eṣāṃ cūrṇaṃ kṣipedeṣa Ras_9.14c	ezAm cUrNam kzipet-ezaH RaH-_9.14c
   eṣāṃ rase ḍhālayettat Ras_7.109c	ezAm rase XAlayet-tat RaH-_7.109c
   aiśānyāṃ rasavedhanam Ras_2.108d	ESAnyAm rasa-veDanam RaH-_2.108d
   oṣadhī ajanāyikā Ras_12.28b	ozaDI ajanAyikA RaH-_12.28b
   oṣadhī kīdṛśī nātha Ras_12.1a	ozaDI kIdRSI nATa RaH-_12.1a
   oṣadhī turasiṃhanī Ras_12.66b	ozaDI turasiMhanI RaH-_12.66b
   oṣadhī parameśvari Ras_12.53b	ozaDI parameSvari RaH-_12.53b
   oṣadhīṃ vaktumarhasi Ras_5.1d	ozaDIm vaktum-arhasi RaH-_5.1d
   oṣadhyā ghātitaḥ sūto Ras_11.220c	ozaDyA GAtitaH sUtaH RaH-_11.220c
   oṣadhyo maṇḍape prācyāṃ Ras_2.107a	ozaDyaH maNxape prAcyAm RaH-_2.107a
   oṃkārādinamo 'ntakam Ras_2.76b	oMkAra-Adi-namaH antakam RaH-_2.76b
   oṃ hrīṃ śrīṃ sūtarājasya Ras_2.52c	om hrIm SrIm sUtarAjasya RaH-_2.52c
   aumadaṇḍavimardena Ras_6.18e	Oma-daNxa-vimardena RaH-_6.18e
   auṣadhaṃ peṣayanti tāḥ Ras_3.18d	OzaDam pezayanti tAH RaH-_3.18d
   auṣadhīrahitaścāyaṃ Ras_4.21a	OzaDI-rahitaH-ca-ayam RaH-_4.21a
   auṣadhaiḥ kramate sūto Ras_11.216a	OzaDEH kramate sUtaH RaH-_11.216a
   kaṅkālakhecarītaile Ras_12.55a	kaFkAla-KecarI-tEle RaH-_12.55a
   kaṅkālakhecarī nāma Ras_12.53a	kaFkAlaKecarI nAma RaH-_12.53a
   kaṅkuṣṭhavimalābhrakaiḥ Ras_8.59b	kaFkuzWa-vimalA-aBrakEH RaH-_8.59b
   kaṅkuṣṭhaṃ vidrumacchāyaṃ Ras_7.88a	kaFkuzWam vidruma=-CAyam RaH-_7.88a
   kaṅkuṣṭhe tu catuṣṭayam Ras_8.6b	kaFkuzWe tu catuzwayam RaH-_8.6b
   kaṅguṇītailasevanāt Ras_12.139b	kaFguNI-tEla-sevanAt RaH-_12.139b
   kaṅgunī kṛṣṇakanakaṃ Ras_5.15a	kaFgunI kRzNa-kanakam RaH-_5.15a
   kacchapena tu jārayet Ras_11.120f	kacCapena tu jArayet RaH-_11.120f
   kañcukīkandacitrakaiḥ Ras_7.116b	kaQcukI-kanda-citrakEH RaH-_7.116b
   kañcukī ca punarnavā Ras_7.140b	kaQcukI ca punarnavA RaH-_7.140b
   kañcukī jalabindujā Ras_5.2b	kaQcukI jala-bindu-jA RaH-_5.2b
   kañcukī tu śilā krāntā Ras_12.211a	kaQcukI tu SilA krAntAH RaH-_12.211a
   kañcukī meṣaśṛṅgikā Ras_5.11b	kaQcukI mezaSRFgikAH RaH-_5.11b
   kañcukīrasabhāvitam Ras_6.20b	kaQcukI-rasa-BAvitam RaH-_6.20b
   kañcukokṣīramadhyagam Ras_6.37b	kaQcukaH-kzIra-maDya-gam RaH-_6.37b
   kaṭukaṃ kaṅkaṇaṃ kāryaṃ Ras_12.23a	kawukam kaFkaNam kAryam RaH-_12.23a
   kaṭukālābuke kṣipet Ras_12.216b	kawukAlAbuke kzipet RaH-_12.216b
   kaṭukālābuke toyaṃ Ras_12.244a	kawukAlAbuke toyam RaH-_12.244a
   kaṭukālābuniryāse- Ras_7.30a	kawukAlAbu-niryAse RaH-_7.30a
   kaṭutumbasya bījāni Ras_11.99c	kawutumbasya bIjAni RaH-_11.99c
   kaṭutumbasya bījāni Ras_11.127c	kawutumbasya bIjAni RaH-_11.127c
   kaṭutumbī ca gosandhī Ras_5.14a	kawutumbI ca go-sanDI RaH-_5.14a
   kaṭutumbīti vikhyātāṃ Ras_12.156a	kawutumbI-iti viKyAtAm RaH-_12.156a
   kaṭutumbīsamudbhavam Ras_8.83b	kawutumbI-samudBavam RaH-_8.83b
   kaṭutrayayutaṃ khādet Ras_12.312c	kawutraya-yutam KAdet RaH-_12.312c
   kaṭhinān uṣṇapādāṃśca Ras_2.11c	kaWinAn uzNa-pAdAn=-ca RaH-_2.11c
   kaṇikācālarahito Ras_10.22a	kaNikA-cAla-rahitaH RaH-_10.22a
   kaṇḍūlasūraṇenaiva Ras_6.105a	kaNxUla-sUraNena-eva RaH-_6.105a
   katakaṃ kanakaṃ caivam Ras_11.101a	katakam kanakam ca-evam RaH-_11.101a
   kathayanti kumārikāḥ Ras_2.102f	kaTayanti kumArikAH RaH-_2.102f
   kathayāmi samāsataḥ Ras_12.132b	kaTayAmi samAsatas RaH-_12.132b
   kathaṃ jīvati śaṃkara Ras_12.79d	kaTam jIvati SaMkaraH RaH-_12.79d
   kathaṃ jīvaṃ dadāti ca Ras_12.79b	kaTam jIvam dadAti ca RaH-_12.79b
   kathaṃ syādvada me prabho Ras_2.1b	kaTam syAt-vada me praBo RaH-_2.1b
   kathitāstava suvrate Ras_10.33d	kaTitAH-tava suvrate RaH-_10.33d
   kathyamānaṃ nibodha me Ras_2.67b	kaTyamAnam niboDa me RaH-_2.67b
   kadalīkandakāntaḥsthaṃ Ras_6.32c	kadalI-kandaka-antaHsTam RaH-_6.32c
   kadalīkandatulasī- Ras_7.9a	kadalI-kanda-tulasI RaH-_7.9a
   kadalīkandatoyena Ras_8.27c	kadalI-kanda-toyena RaH-_8.27c
   kadalīkandaniryāsair Ras_11.31a	kadalI-kanda-niryAsEH RaH-_11.31a
   kadalīkandasāreṇa Ras_7.10c	kadalI-kanda-sAreNa RaH-_7.10c
   kadalīkandasāreṇa Ras_7.89c	kadalI-kanda-sAreNa RaH-_7.89c
   kadalīnagaraṃ param Ras_12.237b	kadalI-nagaram param RaH-_12.237b
   kadalī potakī dālī Ras_7.133c	kadalI potakI dAlI RaH-_7.133c
   kadalīmusalīśigru- Ras_11.25c	kadalI-musalI-Sigru RaH-_11.25c
   kadalīṣaṇḍamaṇḍite Ras_2.43b	kadalI-zaNxa-maNxite RaH-_2.43b
   kadācidgirijā devī Ras_6.2a	kadAcid-girijA devI RaH-_6.2a
   kanakaṃ jalasaṃnibham Ras_7.120d	kanakam jala-saMniBam RaH-_7.120d
   kanakaṃ jārayet priye Ras_11.89d	kanakam jArayet priye RaH-_11.89d
   kanakaṃ pāradaṃ vyoma Ras_12.248a	kanakam pAradam vyomaH RaH-_12.248a
   kanakaṃ rajataṃ punaḥ Ras_7.147d	kanakam rajatam punar RaH-_7.147d
   kaniṣṭhaṃ syādekamukhaṃ Ras_6.47a	kanizWam syAt-eka-muKam RaH-_6.47a
   kaniṣṭhāḥ parikīrtitāḥ Ras_6.73d	kanizWAH parikIrtitAH RaH-_6.73d
   kandasya sūraṇasya tu Ras_6.80b	kandasya sUraNasya tu RaH-_6.80b
   kandodare sūraṇasya Ras_11.122c	kanda-udare sUraNasya RaH-_11.122c
