   Kṣemendra: Narmamālā	Kzema-indra: Narma-mAlA
   yadi sadbhāvinī *vaiśyā yadi kālaḥ kṛpāparaḥ /	yadi sat-BAvinI *vESyA yadi kAlaH kRpA-aparaH /
   acauro yadi kāyasthastadveśyāpyanurāgiṇī // KNarm_3.58 //	acOraH yadi kAyasTaH-tad-veSyA-api-anurAgiNI // KNarm_3.58 //
   %% veśyā /	%% veSyA /
   cakṣurvaidyo 'yamāyātastapasvī sarvasaṃśrayaḥ /	cakzuH-vEdyaH ayam-AyAtaH-tapasvI sarva-saMSrayaH /
   kiṃśāruvartibhiryena sarvamandhīkṛtaṃ jagat // KNarm_3.59 //	kiMSAru-vartiBiH-yena sarvam-anDIkRtam jagat // KNarm_3.59 //
   grīṣme 'kṣikopabāhulyādasya lagne śaratphale /	grIzme akzi-kopa-bAhulyAt-asya lagne Sarad-Pale /
   sampūrṇaḥ kriyatāṃ yāgaḥ pāṇḍuvallīnirantaraḥ // KNarm_3.60 //	sampUrNaH kriyatAm yAgaH pANxu-vallI-nirantaraH // KNarm_3.60 //
   %% iti cakṣurvaidyaḥ /	%% iti cakzuH-vEdyaH /
   nāpitaḥ śalyahartāyaṃ nṛṇāṃ yenopajīvinā /	nApitaH Salya-hartA-ayam nRNAm yena-upajIvinA /
   nītānyaṇḍāni durlepaiḥ sthūlasthālīpramāṇatām // KNarm_3.61 //	nItAni-aNxAni durlepEH sTUla-sTAlI-pramANa-tAm // KNarm_3.61 //
   prākpratiṣṭhāpitā yena cāmuṇḍāmuṇḍakārthinā /	prAc-pratizWApitAH yena cAmuNxA-muNxaka-arTinA /
   *yo 'sau tasyāstvayā varṣadine yāgaṃ samīhate // KNarm_3.62 //	*yaH asO tasyAH-tvayA varza-dine yAgam samIhate // KNarm_3.62 //
   mūlyena mahatā dhīmānnāsāsaṃśleṣaṇāya yaḥ /	mUlyena mahatA DImAn-nAsA-saMSlezaNAya yaH /
   māṃsapeṣīmapi chittvā dadāti svavadhūbhagāt // KNarm_3.63 //	mAMsa-pezIm-api CittvA dadAti sva-vaDU-BagAt // KNarm_3.63 //
   %% śalyahartā /	%% Salya-hartA /
   ayañca taruṇībhāryo vaṇigvṛddho mahādhanaḥ /	ayaQca taruNI-BAryaH vaNij-vRdDaH mahADanaH /
   maithune śaktidāridryādvājīkaraṇamicchati // KNarm_3.64 //	mETune Sakti-dAridryAt-vAjIkaraNam-icCati // KNarm_3.64 //
   lālinā srutanetreṇa vṛddhena śvāsakāsinā /	lAlinA sruta-netreNa vRdDena SvAsakAsinA /
   ślathapralambaśiśnena taruṇī ramate katham // KNarm_3.65 //	SlaTa-pralamba-SiSnena taruNI ramate kaTam // KNarm_3.65 //
   ārūḍho 'pi rate yatnādutthānopahatadhvajaḥ /	ArUXaH api rate yatnAt-utTAna-upahata-DvajaH /
   vṛddhaḥ prāpnoti no nidrāmṛṇaṃ dhyāyannivādhanaḥ // KNarm_3.66 //	vRdDaH prApnoti naH nidrAm-RNam DyAyan=-iva-aDanaH // KNarm_3.66 //
   niṣpīḍitāntrasaṃkāśaśiśno 'pi suratotsukaḥ /	nizpIxita-antra-saMkASa-SiSnaH api surata-utsukaH /
   hastaṃ dattvā bhage vṛddho nidhānamiva rakṣati // KNarm_3.67 //	hastam dattvA Bage vRdDaH niDAnam-iva rakzati // KNarm_3.67 //
   māṃsakṣīraghṛtāhāraṃ kṛtvā vṛddho ratāśayā /	mAMsa-kzIra-GRta-AhAram kRtvA vRdDaH rata-ASayA /
   rātrau vamati tatsarvaṃ bhajate vā viṣūcikām // KNarm_3.68 //	rAtrO vamati tat-sarvam Bajate vA vizUcikAm // KNarm_3.68 //
   śuṣkacarmopamaṃ vṛddhaṃ madhuparke kṣaṇaṃ patim /	Suzka-carma-upamam vRdDam maDuparke kzaNam patim /
   sajane taruṇī dṛṣṭvā hrītā yāti rasātalam // KNarm_3.69 //	sa-jane taruNI dRzwvA hrItA yAti rasAtalam // KNarm_3.69 //
   etena vṛddhavaṇijā dravyairvṛddhaviṭoditaiḥ /	etena vRdDa-vaNijA dravyEH-vRdDa-viwa-uditEH /
   liptaliṅgena satataṃ dagdhevāyāsitā vadhūḥ // KNarm_3.70 //	lipta-liFgena satatam dagDA-iva-AyAsitA vaDUH // KNarm_3.70 //
   sa eṣa bahunikṣepasaṃbhakṣaṇakṛtakṣaṇaḥ /	saH eza bahu-nikzepa-saMBakzaNa-kRtakzaNaH /
   draviṇāvaskarakṣetraṃ vaṇigvāsarataskaraḥ // KNarm_3.71 //	draviNa-avaskara-kzetram vaNij-vAsara-taskaraH // KNarm_3.71 //
   nṛtyati vyādhikāleṣu kuṭilaḥ kalipannagaḥ /	nRtyati vyADi-kAlezu kuwilaH kali-panna-gaH /
   ajñātatṛṇakāṣṭhādivikrayī dravyanāmabhiḥ // KNarm_3.72 //	ajQAta-tRNa-kAzWa-Adi-vikrayI dravya-nAmaBiH // KNarm_3.72 //
   taruṇākāṅkṣiṇīṃ vṛddhaḥ priyāmavicalekṣaṇaḥ /	taruNa-AkAFkziNIm vRdDaH priyAm-avicala-IkzaNaH /
   so 'yaṃ nirīkṣate dūrānmṛṣṭaṃ bhojyamivāturaḥ // KNarm_3.73 //	saH ayam nirIkzate dUrAt-mRzwam Bojyam-iva-AturaH // KNarm_3.73 //
   tasmātpauṣpikamāsādya kriyatāṃ mantrasaṃpadā /	tasmAt-pOzpikam-AsAdya kriyatAm mantra-saMpadA /
   gṛhiṇī rāgiṇī yena labdhaśakteḥ prajāyate // KNarm_3.74 //	gRhiNI rAgiNI yena labDa-SakteH prajAyate // KNarm_3.74 //
   %% vṛddhavaṇik /	%% vRdDa-vaNij /
   ityādiśiṣyairāhvānaṃ śrutvā tena niveditam /	iti-Adi-SizyEH-AhvAnam SrutvA tena niveditam /
   sarvaṃ karomītyavadadbhrūvikārākulo guruḥ // KNarm_3.75 //	sarvam karomi-iti-avadat-BrU-vikAra-AkulaH guruH // KNarm_3.75 //
   tato dinānte vipulāṃ kṛtvāgre śivakuṇḍikām /	tatas dina-ante vipulAm kRtvA-agre Siva-kuNxikAm /
   guruṇā saha te śiṣyāḥ papurbhuktottaraṃ ciram // KNarm_3.76 //	guruNA saha te SizyAH papuH-Bukta-uttaram ciram // KNarm_3.76 //
   niyogilalanāḥ sarvāste ca tanmitrabāndhavāḥ /	niyogi-lalanAH sarvAH-te ca tad-mitra-bAnDavAH /
   kapāleṣu taducchiṣṭaṃ *vamitvā bahuśaḥ papuḥ // KNarm_3.77 //	kapAlezu tat-ucCizwam *vamitvA bahuSas papuH // KNarm_3.77 //
   kaścidgātuṃ pravṛtto 'tha kaścidroditi sasvanam /	kaScid-gAtum pravRttaH aTa kaScid-roditi sa-svanam /
   kaścidvyāghūrṇate kaścitplavate kṛtaśūtkṛtiḥ // KNarm_3.78 //	kaScid-vyAGUrNate kaScid-plavate kRta-SUtkRtiH // KNarm_3.78 //
   kaścidatyantavaikalyaṃ nāṭayanbhaktisambhavam /	kaScid-atyanta-vEkalyam nAwayan-Bakti-samBavam /
   niśceṣṭastiṣṭhati ciraṃ saṃprāptaḥ śavatāmiva // KNarm_3.79 //	niScezwaH-tizWati ciram saMprAptaH SavatAm-iva // KNarm_3.79 //
   kaścidvilolasragdāmabhūṣito madanirbharaḥ /	kaScid-vilola-sraj-dAma-BUzitaH mada-nirBaraH /
   kṛtakaṇṭhagrahaḥ puṃsāṃ cucumba lalanā api // KNarm_3.80 //	kRta-kaNWa-grahaH puMsAm cucumba lalanAH api // KNarm_3.80 //
   tataḥ kṣībo guruḥ kiṃ citsvakāvyaṃ deśabhāṣayā /	tatas kzIbaH guruH kim cit-su-a-kAvyam deSa-BAzayA /
   vīṇāvaṃśaravodagraṃ kocchikāvādyakṛjjagau // KNarm_3.81 //	vINA-=-aMSa-rava-udagram kocCikA-vAdya-kRt-jagO // KNarm_3.81 //
   athaikabhujamānandādudyamyaikena pāṇinā /	aTa-eka-Bujam-AnandAt-udyamya-ekena pANinA /
   gururnanarta dvābhyāṃ ca śanairutthāya cāsanāt // KNarm_3.82 //	guruH-nanarta dvAByAm ca SanEs-utTAya ca-AsanAt // KNarm_3.82 //
   tataḥ śiṣyāḥ samuttasthuraṭṭahāsaninādinaḥ /	tatas SizyAH samuttasTuH-awwahAsa-ninAdinaH /
   kṛtāṅganāpariṣvaṅgā visrastakaṭikarpaṭāḥ // KNarm_3.83 //	kRta-aFganA-parizvaFgAH visrasta-kawi-karpawAH // KNarm_3.83 //
   śanaiḥ prayāte rātryardhe vinaṣṭe dīpamaṇḍale /	SanEs prayAte rAtrI-arDe vinazwe dIpa-maNxale /
   nirvibhāgo 'bhavatteṣāṃ raticakramahotsavaḥ // KNarm_3.84 //	nirviBAgaH aBavat-tezAm rati-cakra-mahA-utsavaH // KNarm_3.84 //
   prabhāte gururutthāya tvarayā kalaśapradaḥ /	praBAte guruH-utTAya tvarayA kalaSa-pradaH /
   kṛtavadvidadhe sarvaṃ śiṣyairanyairnimantritaḥ // KNarm_3.85 //	kRta-vat-vidaDe sarvam SizyEH-anyEH-nimantritaH // KNarm_3.85 //
   jvarādikāle vaidyānāṃ śaratkāle niyoginām /	jvara-Adi-kAle vEdyAnAm Sarad-kAle niyoginAm /
   puṣpakāle gurūṇāṃ ca hemapūrṇā vasundharā // KNarm_3.86 //	puzpa-kAle gurUNAm ca hema-pUrNA vasunDarA // KNarm_3.86 //
   athāviśatpṛthuśvāsaḥ kampamānaḥ sphuṭanniva /	aTa-AviSat-pRTu-SvAsaH kampamAnaH sPuwan=-iva /
   pārśvāvalokī puruṣaḥ paramāpto niyoginaḥ // KNarm_3.87 //	pArSva-avalokI puruzaH parama-AptaH niyoginaH // KNarm_3.87 //
   so 'bravīdadya rātryardhe gṛhakṛtyamahattamaḥ /	saH abravIt-adya rAtrI-arDe gRha-kRtya-mahattamaH /
   rājarāśidhanaṃ bhūri hṛtvā yātaḥ sahānugaḥ // KNarm_3.88 //	rAja-rASi-Danam BUri hRtvA yAtaH saha-anugaH // KNarm_3.88 //
   anuktvāpasṛte tasmiṃstatsambandhiniyoginām /	anuktvA-apasRte tasmin=-tad-sambanDi-niyoginAm /
   palāyanavyatikaraḥ ko 'pi jāto gṛhe gṛhe // KNarm_3.89 //	palAyana-vyatikaraH kaH api jAtaH gRhe gRhe // KNarm_3.89 //
   capeṭotsphoṭitamukhastvatsvāmī bandhanaṃ bhaṭaiḥ /	capewa-utsPowita-muKaH-tvad-svAmI banDanam BawEH /
   nītaḥ patatpurīṣo 'gre sa tāvatparipālakaḥ // KNarm_3.90 //	nItaH patat-purIzaH agre sa tAvat-paripAlakaH // KNarm_3.90 //
   yāvanno*lluñcitaśmaśrurbaddhvā tvamapi nīyase /	yAvat-na-u*lluQcita-SmaSruH-badDvA tvam-api nIyase /
   tāvadrājabhaye ghore nītirasmin vidhīyatām // KNarm_3.91 //	tAvat-rAja-Baye Gore nItiH-asmin viDIyatAm // KNarm_3.91 //
   iti bruvāṇe tanmitre taiḥ śiṣyaiḥ sahite gurau /	iti bruvANe tat-mitre tEH SizyEH sahite gurO /
   tūrṇaṃ prayāte niḥśvasya niyogī duḥkhito 'vadat // KNarm_3.92 //	tUrNam prayAte niHSvasya niyogI duHKitaH avadat // KNarm_3.92 //
   aho nu kāladaurātmyādghoratā kiyatī kaleḥ /	aho nu kAla-dOrAtmyAt-Gora-tA kiyatI kaleH /
   sādhavaḥ sarvathā naṣṭāḥ kaṣṭaṃ dharmo 'stamāgataḥ // KNarm_3.93 //	sADavaH sarvaTA nazwAH kazwam DarmaH astam-AgataH // KNarm_3.93 //
   ityuktvā sānugo yāvatpalāyanakṛtodyamaḥ /	iti-uktvA sa-anugaH yAvat-palAyana-kRta-udyamaH /
   sa susrāva bhayānmūtraṃ tāvadetya bhaṭairvṛtaḥ // KNarm_3.94 //	sa susrAva BayAt-mUtram tAvat-etya BawEH-vRtaH // KNarm_3.94 //
   sa rājñā hṛtasarvasvaḥ praklinno bandhane ciram /	sa rAjQA hRta-sarva-svaH praklinnaH banDane ciram /
   dhanena veśyayā svasrā mocito niragāttataḥ // KNarm_3.95 //	Danena veSyayA svasrA mocitaH niragAt-tatas // KNarm_3.95 //
   tato vibhavahīno 'sau jāpī svapnanirīkṣakaḥ /	tatas viBava-hInaH asO jApI svapna-nirIkzakaH /
   babhūva sarvapraṇataścāṭukāraḥ priyaṃvadaḥ // KNarm_3.96 //	baBUva sarva-praNataH-cAwu-kAraH priyaMvadaH // KNarm_3.96 //
   yo 'bhūdabhyutthitastabdho niyogī liṅgasannibhaḥ /	yaH aBUt-aByutTita-stabDaH niyogI liFga-sanniBaH /
   adhikāraparibhraṃśātsa vṛddhavṛṣaṇāyate // KNarm_3.97 //	aDikAra-pariBraMSAt-sa vRdDa-vRzaNAyate // KNarm_3.97 //
   adhikāramadāndhānāṃ dṛṣṭikopavatāṃ sadā /	aDikAra-mada-anDAnAm dRzwi-kopavatAm sadA /
   netranairmalyajananaṃ bandhanaṃ paramāñjanam // KNarm_3.98 //	netra-nErmalya-jananam banDanam parama-aQjanam // KNarm_3.98 //
   yaḥ pādapatitānārtānpūjyānapyavamanyate /	yaH pAda-patitAn-ArtAn-pUjyAn-api-avamanyate /
   bhraṣṭādhikāraścaraṇau śakṛlliptau sa vandate // KNarm_3.99 //	Brazwa-aDikAraH-caraNO SakRt-liptO sa vandate // KNarm_3.99 //
   aho bata muhūrtena bhavanti na bhavanti ca /	aho bata muhUrtena Bavanti na Bavanti ca /
   palāladahanajvālācapalā diviraśriyaḥ // KNarm_3.100 //	palAla-dahana-jvAlA-capalAH divira-SriyaH // KNarm_3.100 //
   svayamutthāya yātāyāṃ jāyāyāṃ nirdhano 'tha saḥ /	svayam-utTAya yAtAyAm jAyAyAm nirDanaH aTa saH /
   babhrāma laulyanilayaḥ piṇḍārthī bandhuveśmasu // KNarm_3.101 //	baBrAma lOlya-nilayaH piNxa-arTI banDu-veSmasu // KNarm_3.101 //
   rūkṣaḥ kṛśo 'timalinaḥ syūtadagdhapaṭaccaraḥ /	rUkzaH kRSaH ati-malinaH syUta-dagDa-pawaccaraH /
   piśāca iva duṣprekṣyo dinaireva babhūva saḥ // KNarm_3.102 //	piSAcaH iva duzprekzyaH dinEH-eva baBUva saH // KNarm_3.102 //
   tuṣāgnikuṇḍikātāpadagdhasphigvṛṣaṇodaraḥ /	tuzA-agni-kuNxikA-tApa-dagDa-sPic-vRzaNa-udaraH /
   vātaśūlāpanodāya jānugrathitadāmakaḥ // KNarm_3.103 //	vAta-SUla-apanodAya jAnu-graTita-dAmakaH // KNarm_3.103 //
   devadvijadhana*grāsajātakoṣṭhagalagrahaḥ /	deva-dvija-Dana*-grAsa-jAta-kozWa-galagrahaH /
   kṣutkṣāmakukṣiḥ śuṣkāsyaḥ patito 'vaskare bhraman // KNarm_3.104 //	kzuD-kzAma-kukziH Suzka-AsyaH patitaH avaskare Braman // KNarm_3.104 //
   śvajagdhajānucaraṇaḥ prasravadbhūriśoṇitaḥ /	Sva-jagDa-jAnu-caraNaH prasravat-BUri-SoNitaH /
   kṛpārdrocchiṣṭabhugdattabhaktagolakanirvṛtaḥ // KNarm_3.105 //	kRpA-Ardra-ucCizwa-Buj-datta-Bakta-golaka-nirvRtaH // KNarm_3.105 //
   dagdhārdhakarpaṭīniryatsakeśavṛṣaṇadvayaḥ /	dagDa-arDa-karpawI-niryatsa-keSa-vRzaNa-dvayaH /
   bhasmapralipta*śīrṣāṃsavakṣaḥpārśvo gatatrapaḥ // KNarm_3.106 //	Basma-pralipta*-SIrza-aMsa-vakzaH-pArSvaH gata-trapaH // KNarm_3.106 //
   pralapankāñcikākāṅkṣī kenaciddattamaṇḍakaḥ /	pralapan-kAQcika-AkAFkzI kenacid-datta-maNxakaH /
   prapāpālikayā ḍombabhrāntyā pāne tiraskṛtaḥ // KNarm_3.107 //	prapApAlikayA xomba-BrAntyA pAne tiraskRtaH // KNarm_3.107 //
   rajasvalāpalālena channāṅgastuhināgame /	rajasvalA-palAlena Canna-aFgaH-tuhina-Agame /
   śarāvakarparādānakalahe yācakārbhakaiḥ /	SarAva-karpara-AdAna-kalahe yAcaka-arBakEH /
   vahnipātraprahāreṇa dagdhabhrūśmaśrulocanaḥ // KNarm_3.108 //	vahni-pAtra-prahAreNa dagDa-BrU-SmaSru-locanaH // KNarm_3.108 //
   caṇḍālaiḥ pretakāryeṣu laguḍairāhato 'sakṛt /	caNxAlEH preta-kAryezu laguxEH-AhataH asakRt /
   paṅkaśāyī sa cukrośa sattratīrthāgravartmasu // KNarm_3.109 //	paFka-SAyI sa cukroSa sattra-tIrTa-agra-vartmasu // KNarm_3.109 //
   nṛpurīṣapraṇāle 'tha patito 'sāvadhomukhaḥ /	nR-purIza-praNAle aTa patitaH asO=-aDomuKaH /
   uccaiḥkṛtakaṭiḥ prāṇānutsasarja narādhamaḥ // KNarm_3.110 //	uccEs-kRta-kawiH prANAn-utsasarja nara-aDamaH // KNarm_3.110 //
   iti daurgatyatapasā prayātaḥ so 'sthiśeṣatāṃ /	iti dOrgatya-tapasA prayAtaH saH asTi-Seza-tAm /
   saśarīraḥ svayaṃ prāpto narakaṃ narakaṇṭakaḥ // KNarm_3.111 //	sa-SarIraH svayam prAptaH narakam narakaNwakaH // KNarm_3.111 //
   evaṃ krameṇa śānteṣu niyogidivirāgniṣu /	evam krameNa SAntezu niyogi-divira-agnizu /
   modate gatasantāpaḥ santoṣasubhago janaḥ // KNarm_3.112 //	modate gata-santApaH santoza-suBagaH janaH // KNarm_3.112 //
   iti diviraniyogivrātaduśceṣṭitānāṃ	iti divira-niyogi-vrAta-duScezwitAnAm
   kusṛticaritacarcā narmamālā kṛteyam /	kusRti-carita-carcA narma-mAlA kRtA-iyam /
   api sujanavinodāyombhitā hāsyasiddhyai	api su-jana-vinodAya-umBi-tAH hAsya-sidDyE
   kathayati phalabhūtaṃ sarvalokopadeśam // KNarm_3.113 //	kaTayati Pala-BUtam sarva-loka-upadeSam // KNarm_3.113 //
   iti narmamālāyāṃ tṛtīyaḥ parihāsaḥ //	iti narmamAlAyAm tRtIyaH parihAsaH //
   samāpteyaṃ narmamālā /	samAptA-iyam narma-mAlA /
   kṛtirvyāsadāsāparanāmnaḥ kṣemendrasyeti śivam //	kRtiH-vyAsa-dAsApara-nAmnaH kzemendrasya-iti Sivam //
