   aitareyopaniṣad	Etareya-upanizad-
   START 2.1	START 2.1
   puruṣe ha vā ayam ādito garbho bhavati yad etad retaḥ |	puruze ha vE ayam Aditas garBaH Bavati yat etat retaH |
   tad etat sarvebhyo 'ṅgebhyas tejaḥ sambhūtam ātmany evātmānaṃ bibharti |	tat etat sarveByaH aFgeByaH tejaH samBUtam Atmani eva-AtmAnam biBarti |
   tad yadā striyāṃ siñcaty athainaj janayati |	tat yadA striyAm siQcati aTa-enat janayati |
   tad asya prathamaṃ janma || AitUp_2.1 ||	tat asya praTamam janma || AitUB-_2.1 ||
   AitUpBh_2.1	Aitu-upBh_2.1
   ayamevāvidyākāmakarmābhimānavān yajñādikarma kṛtvāsmāllokād dhūmādikrameṇa	ayam-eva-avidyA-kAma-karma-aBimAnavAn yajQa-Adi-karma kRtvA-asmAt-lokAt DUma-Adi-krameNa
   annabhūtaḥ puruṣāgnau hutaḥ /	anna-BUtaH puruza-agnO hutaH /
   tasminpuruṣe ha vā ayaṃ saṃsārī rasādikrameṇa āditaḥ prathamato retorūpeṇa	tasmin-puruze ha vE ayam saMsArI rasa-Adi-krameNa Aditas praTamatas retaH-rUpeNa
   garbho bhavatītyetadāha yadetatpuruṣe retastena rūpeṇeti /	garBaH Bavati-iti-etat-Aha yat-etat-puruze retaH-tena rUpeNa-iti /
   taccaitadreto 'nnamayasya piṇḍasya sarvebhyo 'ṅgebhyo 'vayavebhyo	tat-ca-etat-retaH anna-mayasya piNxasya sarveByaH aFgeByaH avayaveByaH-
   rasādilakṣaṇebhyastejaḥ sārarūpaṃ śarīrasya saṃbhūtaṃ pariniṣpannaṃ	rasa-Adi-lakzaNeByaH-tejaH sAra-rUpam SarIrasya saMBUtam parinizpannam
   tatpuruṣasyātmabhūtatvādātmā /	tatpuruzasya-Atma-BUta-tvAt-AtmA /
   tamātmānaṃ retorūpeṇa garbhībhūtamātmanyeva svaśarīra evātmānaṃ bibharti	tam-AtmAnam retaH-rUpeNa garBIBUtam-Atmani-eva sva-SarIraH eva-AtmAnam biBarti
   dhārayati /	DArayati /
   tadreto yadā yasminkāle bhāryartumatī tasyāṃ yoṣāgnau striyā	tad-retaH yadA yasmin-kAle BArya-RtumatI tasyAm yoza-agnO striyA
   siñcatyugacchan, atha tadainadetadreta ātmano garbhabhūtaṃ janayati pitā /	siQcati-ugacCan, aTa tat-A-enadetat-retaH AtmanaH garBa-BUtam janayati pitA /
   tadasya puruṣasya sthānānnirgamanaṃ retaḥsekakāle retorūreṇāsya saṃsāriṇaḥ	tat-asya puruzasya sTAnAt-nirgamanam retaH-seka-kAle retorUreNa-asya saMsAriNaH
   prathamaṃ janma prathamāvasthābhivyaktiḥ /	praTamam janma praTama-avasTA-aBivyaktiH /
   tadetaduktaṃ purastāt"asāvātmāmumātmānam"ityādinā //1//	tat-etat-uktam purastAt"a-sO=-AtmA-am-um-A-AtmAnam-"itya-AdinA //1//
   START 2.2	START 2.2
   tat striyā ātmabhūyaṃ gacchati yathā svam aṅgaṃ tathā |	tat striyAH Atma-BUyam gacCati yaTA svam aFgam taTA |
   tasmād enāṃ na hinasti |	tasmAt enAm na hinasti |
   sāsyaitam ātmānam atra gataṃ bhāvayati || AitUp_2.2 ||	sA-asya-etam AtmAnam atra gatam BAvayati || AitUB-_2.2 ||
   AitUpBh_2.2	Aitu-upBh_2.2
   tadreto yasyāṃ striyāṃ siktaṃ sattasyā ātmabhūyamātmāvyatirekatāṃ yathā	tad-retaH yasyAm striyAm siktam sat-tasyAH Atma-BUyam-Atma-avyatireka-tAm yaTA
   piturevaṃ gacchati prāpnoti yathā svamaṅgaṃ stanādi tathā tadvadeva /	pituH-evam gacCati prApnoti yaTA svam-aFgam stana-Adi taTA tadvat-eva /
   tasmāddhetorenāṃ mātaraṃ sa garbho na hinasti piṭakādivat /	tasmAt-hetoH-enAm mAtaram sa garBaH na hinasti piwaka-Adi-vat /
   yasmātstanādi svāṅgavadātmabhūtaṃ gataṃ tasmānna hinasti na bādhata	yasmAt-stana-Adi sva-aFga-vat-Atma-BUtam gatam tasmAt-na hinasti na bAData
   ityarthaḥ /	iti-arTaH /
   sā antarvatnyetamasya bharturātmānamatrātmana udare gataṃ praviṣṭaṃ	sA antarvatnI-etam-asya BartuH-AtmAnam-atra-AtmanaH udare gatam pravizwam
   buddhvā bhāvayati vardhayati paripālayati	budDvA BAvayati varDayati paripAlayati
   garbhaviruddhāśanādiparihāramanukūlāśanādyupayogaṃ ca kurvatī //2//	garBa-virudDa-aSana-Adi-parihAram-anukUla-aSana-Adi-upayogam ca kurvatI //2//
   START 2.3	START 2.3
   sā bhāvayitrī bhāvayitavyā bhavati |	sA BAvayitrI BAvayitavyA Bavati |
   taṃ strī garbhaṃ bibharti |	tam strI garBam biBarti |
   so 'gra eva kumāraṃ janmano 'gre 'dhi bhāvayati |	saH agre eva kumAram janmanaH agre aDi BAvayati |
   sa yat kumāraṃ janmano 'gre 'dhi bhāvayaty ātmānam eva tad bhāvayaty eṣāṃ	sa yat kumAram janmanaH agre aDi BAvayati AtmAnam eva tat BAvayati ezAm
   lokānāṃ santatyai |	lokAnAm santatyE |
   evaṃ santatā hīme lokāḥ |	evam santatAH hi-ime lokAH |
   tad asya dvitīyaṃ janma || AitUp_2.3 ||	tat asya dvitIyam janma || AitUB-_2.3 ||
   AitUpBh_2.3	Aitu-upBh_2.3
   sā bhāvayitrī vardhayitrī bharturātmano garbhabhūtasya bhāvayitavyā	sA BAvayitrI varDayitrI BartuH-AtmanaH garBa-BUtasya BAvayitavyA
   vardhayitavyā rakṣayitavyā ca bhartā bhavati /	varDayitavyA rakzayitavyA ca BartA Bavati /
   na hyupakārapratyupakāramantareṇa loke kasyacitkenacitsambandha upapadyate	na hi-upakAra-pratyupakAram-antareNa loke kasyacid-kenacid-sambanDaH upapadyate
   taṃ garbhaṃ strī yathoktena garbhadhāraṇavidhānena bibharti dhārayatyagre	tam garBam strI yaTA-uktena garBa-DAraNa-viDAnena biBarti DArayati-agre
   prāgjanmanaḥ /	prAc-janmanaH /
   sa pitā agra eva pūrvameva jātamātraṃ janmano 'dhyūrdhvaṃ janmano jātaṃ	sa pitA agre eva pUrvam-eva jAta-mAtram janmanaH aDi-UrDvam janmanaH jAtam
   kumāraṃ jātakarmādinā pitā bhāvayati /	kumAram jAtakarma-AdinA pitA BAvayati /
   sa pitā yadyasmātkumāraṃ janmano 'dhyūrdhvamagre jātamātrameva	sa pitA yadi-asmAt-kumAram janmanaH aDyUrDvam-agre jAta-mAtram-eva
   jātakarmādinā yadbhāvayati /	jAtakarma-AdinA yat-BAvayati /
   tadātmānameva bhāvayati /	tadA-AtmAnam-eva BAvayati /
   piturātmaiva hi putrarūpeṇa jāyate /	pituH-AtmA-eva hi putra-rUpeNa jAyate /
   tathā hyuktam"patirjāyāṃ praviśati"(hari.3 / 73 / 31) ityādi /	taTA hi-uktam-"patiH-jAyAm praviSati"(hari.3 / 73 / 31) ityAdi /
   tatkimarthamātmānaṃ putrarūpeṇa janayitvā bhāvayatītyucyate - eṣāṃ lokānāṃ	tat-kim-arTam-AtmAnam putra-rUpeNa janayitvA BAvayati-iti-ucyate  ezAm lokAnAm
   santatyā avicchedāyetyarthaḥ /	santatyA avicCedAya-iti-arTaH /
   vicchidyeranhīme lokāḥ putrotpādanādi yadi na kuryuḥ kecana /	vicCidyeran-hi-ime lokAH putra-utpAdana-Adi yadi na kuryuH kecana /
   evaṃ putrotpādanādikarmāvicchedenaiva santatāḥ prabandharūpeṇa vartante hi	evam putra-utpAdana-Adi-karma-avicCedena-eva santatAH prabanDa-rUpeNa vartante hi
   yasmādime lokāstasmāttadavicchedāya tatkartavyaṃ na mokṣāyetyarthaḥ /	yasmAt-ime lokAH-tasmAt-tat-avicCedAya tat-kartavyam na mokzAya-iti-arTaH /
   tadasya saṃsāriṇaḥ kumārarūpeṇa māturudarādyannirgamanaṃ	tat-asya saMsAriNaH kumAra-rUpeNa mAtuH-udarAt-yat-nirgamanam
   tadretorūpāpekṣayā dvitīyaṃ janma dvitīyāvasthābhivyaktiḥ //3//	tad-retaH-rUpa-apekzayA dvitIyam janma dvitIyA-avasTA-aBivyaktiH //3//
   START 2.4	START 2.4
   so 'syāyam ātmā puṇyebhyaḥ karmebhyaḥ pratidhīyate |	saH asya-ayam AtmA puNyeByaH karmeByaH pratiDIyate |
   athāsyāyam itara ātmā kṛtakṛtyo vayogataḥ praiti |	aTa-asya-ayam itaraH AtmA kRtakRtyaH vayaH-gataH prEti |
   sa itaḥ prayann eva punar jāyate |	saH itas prayan eva punar jAyate |
   tad asya tṛtīyaṃ janma || AitUp_2.4 ||	tat asya tRtIyam janma || AitUB-_2.4 ||
   AitUpBh_2.4	Aitu-upBh_2.4
   asya pituḥ so 'yaṃ putrātmā puṇyebhyaḥ śāstroktebhyaḥ karmabhyaḥ	asya pituH saH ayam putra-AtmA puNyeByaH SAstra-ukteByaH karmaByaH
   karmaniṣpādanārthaṃ pratidhīyate pituḥ sthāne pitrā yatkartavyaṃ	karma-nizpAdana-arTam pratiDIyate pituH sTAne pitrA yat-kartavyam
   tatkaraṇāya pratinidhīyata ityarthaḥ /	tad-karaNAya pratiniDIyate iti-arTaH /
   tathā ca saṃprattividyāyāṃ vājasaneyake pitrānuśiṣṭaḥ -"ahaṃ brahmāhaṃ	taTA ca saMprattividyAyAm vAjasaneyake pitrA-anuSizwaH -"aham brahma-aham
   yajñaḥ"(bṛ.u.1 / 5 / 17) ityādi pratipadyata iti /	yajQaH"(bR.u.1 / 5 / 17) ityAdi pratipadyate iti /
   athānantaraṃ putre niveśyātmano bhāramasya putrasyetaro 'yaṃ yaḥ pitrātmā	aTa-anantaram putre niveSya-AtmanaH BAram-asya putrasya-itaraH ayam yaH pitR-AtmA
   kṛtakṛtyaḥ kartavyādṛṇatrayādvimuktaḥ kṛtakartavya ityarthaḥ, vayogato	kRtakRtyaH kartavyAdRNa-trayAt-vimuktaH kRta-kartavyaH iti-arTaH, vayaH-gataH-
   gatavayā jīrṇaḥ sanpraiti mriyate /	gata-vayAH jIrNaH san-prEti mriyate /
   sa ito 'smātprayanneva śarīraṃ parityajanneva tṛṇajalūkāvad	saH itas asmAt-prayan=-eva SarIram parityajan=-eva tRNa-jalUkA-vat-
   dehāntaramupādadānaḥ karmacitaṃ punarjāyate /	deha-antaram-upAdadAnaH karma-citam punar-jAyate /
   tadasya mṛtvā pratipattavyaṃ yattattṛtīyaṃ janma /	tat-asya mRtvA pratipattavyam yat-tat-tRtIyam janma /
   nanu saṃsarataḥ pituḥ sakāśādretorūpeṇa prathamaṃ janma /	nanu saMsarataH pituH sakASAt-retaH-rUpeNa praTamam janma /
   tasyeva kumārarūpeṇa māturdvitīyaṃ janmoktam /	tasya-iva kumAra-rUpeNa mAtuH-dvitIyam janma-uktam /
   tasyaiva tṛtīye janmani vaktavye pretasya pituryajjanma tattṛtīyamiti	tasya-eva tRtIye janmani vaktavye pretasya pituH-yat-janma tat-tRtIyam-iti
   kathamucyate?	kaTam-ucyate?
   naiṣa doṣaḥ pitāputrayoraikātmyasya vivakṣitatvāt /	na-eza dozaH pitAputrayoH-EkAtmyasya vivakzita-tvAt /
   so 'pi putraḥ svaputre bhāraṃ nidhāyetaḥ prayanneva punarjāyate yathā pitā	saH api putraH sva-putre BAram niDAya-itas prayannA-iva punar-jAyate yaTA pitA
   tadanyatroktamitaratrāpyuktameva bhavatīti manyate śrutiḥ	tat-anyatra-uktam-itaratra-api-uktam-eva Bavati-iti manyate SrutiH
   pitāputrayorekātmatvāt //4//	pitAputrayoH-eka-Atma-tvAt //4//
   START 2.5	START 2.5
   evaṃ saṃsarannavasthābhivyaktitrayeṇa janmamaraṇaprabandhārūḍhaḥ sarvo	evam saMsaran=-avasTa-aBivyakti-trayeNa janma-maraNa-prabanDa-ArUXaH sarvaH-
   lokaḥ saṃsāramasudre nipatitaḥ katañcidyadā śrutyuktamātmānaṃ vijānāti	lokaH saMsAram-asudre nipatitaH kataQcid-yadA Sruti-uktam-AtmAnam vijAnAti
   yasyāṃ kasyāñcidavasthāyāṃ tadaiva muktasarvasaṃsārabandhanaḥ kṛtakṛtyo	yasyAm kasyAQcit-avasTAyAm tadA-eva mukta-sarva-saMsAra-banDanaH kRtakRtyaH-
   bhavatīti -	Bavati-iti -
   tad uktam ṛṣiṇā -- garbhe nu sann anv eṣām avedamahaṃ devānāṃ janimāni	tat uktam RziNA - garBe nu san anu ezAm avedam-aham devAnAm janimAni
   viśvā |	viSvA |
   śataṃ mā pura āyasīr arakṣannadha śyeno javasā nir adīyam |	Satam mA puras AyasIH arakzat-=-aDa SyenaH javasA niH adIyam |
   iti |	iti |
   garbha evaitac chayāno vāmadeva evam uvāca || AitUp_2.5 ||	garBaH eva-etat SayAnaH vAmadevaH evam uvAca || AitUB-_2.5 ||
   AitUpBh_2.5	Aitu-upBh_2.5
   etadvastu tadṛṣiṇā mantreṇāpyuktamityāha -	etat-vastu tat-RziNA mantreNa-api-uktam-iti-Aha -
   garbhe nu māturgarbhāśaya eva san /	garBe nu mAtuH-garBASayaH eva san /
   nviti vitarke /	nu-iti vitarke /
   anekajanmāntarabhāvanāparipākavaśādeṣāṃ devānāṃ vāgagnyādīnāṃ janimāni	aneka-janma-antara-BAvanA-paripAka-vaSAt-ezAm devAnAm vAc-agni-AdInAm janimAni
   janmāni viśvā viśvāni sarvāṇyanvavedamahamaho anubuddhavānasmītyarthaḥ	janmAni viSvA viSvAni sarvANi-anvavedam-aham-aho anubudDavAn-asmi-iti-arTaH
   śatamanekā bahvyo mā māṃ pura āyasīḥ āyasyo lohamayya ivābhedyāni	Satam-anekAH bahvyaH mA mAm puras AyasIH AyasyaH loha-mayyaH iva-aBedyAni
   śarīrāṇītyabhiprāyaḥ, arakṣannarakṣitavatyaḥ saṃsārapāśanirgamanādadhaḥ /	SarIrANi-iti-aBiprAyaH, arakzan=-arakzitavatyaH saMsAra-pASa-nirgamanAt-aDas /
   atha śyena iva jālaṃ bhittvā javasā ātmajñānakṛtasāmarthyena niradīyaṃ	aTa SyenaH iva jAlam BittvA javasA Atma-jQAna-kRta-sAmarTyena niradIyam
   nirgato 'smi /	nirgataH asmi /
   aho garbha eva śayāno vāmadeva ṛṣirevamuvācaitat //5//	aho garBaH eva SayAnaH vAmadevaH RziH-evam-uvAca-etat //5//
   START 2.6	START 2.6
   sa evaṃ vidvān asmāc charīrabhedād ūrdhvam utkramyāmuṣmin svarge loke	saH evam vidvAn asmAt SarIra-BedAt UrDvam utkramya-amuzmin svarge loke
   sarvān kāmān āptvāmṛtaḥ samabhavat samabhavat || AitUp_2.6 ||	sarvAn kAmAn AptvA-amRtaH samaBavat samaBavat || AitUB-_2.6 ||
   AitUpBh_2.6	Aitu-upBh_2.6
   sa vāmadeva ṛṣiryathoktamātmānamevaṃ	sa vAmadevaH RziH-yaTA-uktam-AtmAnam-evam
   vidvānasmāccharīrabhedāccharīrasyāvidyāparikalpitasya āyasavadanirvedyasya	vidvAn-asmAt-SarIra-BedAt-SarIrasya-avidyA-parikalpitasya Ayasa-vat-anirvedyasya
   jananamanaṇādyanekānarthaśatāviṣṭaśarīraprabandhanasya	janana-manaNa-Adi-aneka-anarTa-Sata-Avizwa-SarIra-prabanDanasya
   paramātmajñānāmṛtopayogajanitavīryakṛtbhedāccharīrotpattibījāvidyādinimittopamardahetoḥ	paramAtma-jQAna-amRta-upayoga-janita-vIrya-kRt-BedAt-SarIra-utpatti-bIja-avidyA-Adi-nimitta-upamarda-hetoH
   śarīravināśādityarthaḥ /	SarIra-vinASAt-iti-arTaH /
   ūrdhvaḥ paramātmabhūtaḥ sannadhobhāvātsaṃsārādutkramya	UrDvaH paramAtma-BUtaH san=-aDoBAvAt-saMsArAt-utkramya
   jñānāvadyotitāmalasarvātmabhāvamāpannaḥ sannamuṣminyathokte 'jare 'mare	jQAna-avadyotita-amala-sarva-Atma-BAvam-ApannaH san=-amuzmin-i-aTA-ukte ajare amare
   'mṛte 'bhaye sarvajñe 'pūrve 'napare 'nantare 'bāhye prajñānāmṛtaikarase	amRte aBaye sarvajQe apUrve anapare anantare abAhye prajQAna-amRtA-eka-rase
   pradīpavannirvāṇamatyagamatsvarge loke svasminnātmani sve svarūpe 'mṛtaḥ	pradIpa-vat-nirvANam-atyagamat-svarge loke svasmin=-Atmani sve svarUpe amRtaH
   samabhavat /	samaBavat /
   ātmajñānena pūrvamāptakāmatayā jīvanneva sarvānkāmānāptvetyarthaḥ /	Atma-jQAnena pUrvam-Apta-kAma-tayA jIvan=-eva sarvAn-kAmAn-AptvA-iti-arTaH /
   dvirvacanaṃ saphalasya sodāhaṇasyātmajñānasya parisamāptipradarśanārtham	dvis-vacanam saPalasya sa-udAhaNasya-Atma-jQAnasya parisamApti-pradarSana-arTam
   iti prathamādhyāye prathamaḥ khaṇḍaḥ samāptaḥ	iti praTama-aDyAye praTamaH KaNxaH samAptaH
   dvitīyaḥ adhyāyaḥ samāptaḥ	dvitIyaH aDyAyaH samAptaH
   START 3.1	START 3.1
   bahmavidyāsādhanakṛtasarvātmabhāvaphalāvāptiṃ vāmadevādyācāryaparamparayā	bahma-vidyA-sADana-kRta-sarva-Atma-BAva-Pala-avAptim vAmadeva-Adi-AcArI-aparamparayA
   śrutyāvadyotyamānāṃ brahmavitpariṣadyatyantaprasiddhāmupalabhamānā	SrutyA-avadyotyamAnAm brahma-vid-parizadi-ati-anta-prasidDAm-upalaBamAnA
   mumukṣavo brāhmaṇa adhunātanā brahmajijñāsavo	mumukzavaH brAhmaNa aDunAtanA brahma-jijQAsavaH-
   'nityātsādhyasādhanalakṣaṇātsaṃsārādājīvabhāvād vyāvivṛtsavo vicārayanto	anityAt-sADya-sADana-lakzaNAt-saMsArAt-AjIva-BAvAt vyAvivRtsavaH vicArayantaH-
   'nyonyaṃ pṛcchanti ko 'yamātmeti? katham -	anyonyam pRcCanti kaH ayam-AtmA-iti? kaTam -
   ko 'yam |	kaH ayam |
   ātmeti vayam upāsmahe |	AtmA-iti vayam upAsmahe |
   kataraḥ sa ātmā |	kataraH saH AtmA |
   yena vā paśyati yena vā śṛṇoti yena vā gandhāñ jighrati yena vā vācaṃ	yena vA paSyati yena vA SRNoti yena vA ganDAn jiGrati yena vA vAcam
   vyākaroti yena vā svādu cāsvādu ca vijānāti || AitUp_3.1 ||	vyAkaroti yena vA svAdu ca-asvAdu ca vijAnAti || AitUB-_3.1 ||
   AitUpBh_3.1	Aitu-upBh_3.1
   yamātmānamayamātmeti sākṣādvayamupāsmahe kaḥ sa ātmeti yaṃ	yam-a-AtmAnam-ayam-AtmA-iti sAkzAt-vayam-upAsmahe kaH saH AtmA-iti yam
   cātmānamayamātmeti sākṣādupāsīno vāmadevo 'mṛtaḥ samabhavattameva	ca-AtmAnam-ayam-AtmA-iti sAkzAt-upAsInaH vAmadevaH amRtaH samaBavat-tam-eva
   vayanamapyupāsmahe ko nu khalu sa ātmeti /	vayanam-api-upAsmahe kaH nu Kalu saH AtmA-iti /
   evaṃ jijñāsāpūrvamanyonyaṃ	evam jijQAsA-pUrvam-anyonyam
   pṛcchatāmatikrāntaviśeṣaviṣayaśrutisaṃskārajanitā smṛtirajāyata /	pRcCatAm-atikrAnta-viSeza-vizaya-Sruti-saMskAra-janitA smRtiH-ajAyata /
   'taṃ prapadābhyāṃ prāpadyata brahmemaṃ puruṣam' 'sa etameva sīmānaṃ	atam prapadAByAm prApadyata brahma-imam puruzam-a asaH etam-eva sImAnam
   vidāryaitayā dvārā prāpadyata' etameva puruṣam /	vidArya-etayA dvArA prApadyata-a etam-eva puruzam /
   atra dve brahmaṇī itaretaraprātikūlyena pratipanne iti /	atra dve brahmaNI itaretara-prAtikUlyena pratipanne iti /
   te cāsyapiṇḍasyātmabhūte /	te ca-Asya-piNxasya-Atma-BUte /
   tayoranyatara ātmopāsyo bhavitumarhati /	tayoH-anyataraH Atma-upAsyaH Bavitum-arhati /
   yo 'tropāsyaḥ kaḥ ātmeti viśeṣanirdhāraṇārthaṃ punaranyonyaṃ	yaH atra-upAsyaH kaH AtmA-iti viSeza-nirDAraNa-arTam punar-anyonyam
   papracchurvicārayantaḥ /	papracCuH-vicArayantaH /
   punasteṣāṃ vicārayatāṃ viśeṣavicāraṇāspadaviṣayā matirabhūt /	punar-tezAm vicArayatAm viSeza-vicAraNa-Aspada-vizayA matiH-aBUt /
   katham? dvevastuni asmin piṇḍa upalabhyete /	kaTam? dvevaH-tuni asmin piNxe upalaByete /
   anekabhedabhinnena karaṇena yenopalabhate /	aneka-Beda-Binnena karaNena yena-upalaBate /
   yaścaika upalabhyete /	yaH-ca-ekaH upalaByete /
   karaṇāntaropalabdhaviṣayasmṛtipratisandhānāt /	karaNa-antara-upalabDa-vizaya-smRti-pratisanDAnAt /
   tatra na tāvadyenopalabhate sa ātmā bhavitumarhati /	tatra na tAvat-yena-upalaBate saH AtmA Bavitum-arhati /
   kena punarupalabhata ityucyate yena vā cakṣurbhūtena rūpaṃ paśyati /	kena punar-upalaBate iti-ucyate yena vA cakzuH-BUtena rUpam paSyati /
   yena vā śruṇoti śrotrabhūtena śabdam, yena vā ghrāṇabhūtena	yena vA SruNoti Srotra-BUtena Sabdam, yena vA GrANa-BUtena
   gandhānājighrati, yena vā vākkaraṇabhūtena vācaṃ nāmātmikāṃ vyākaroti	ganDAn-AjiGrati, yena vA vAkkaraNa-BUtena vAcam nAma-AtmikAm vyAkaroti
   gauraśva ityevamādyāṃ sādhvasādhviti ca, yena vā jihvābhūtena svādu	gOH-aSvaH iti-evamAdyAm sADu-asADu-iti ca, yena vA jihvA-BUtena svAdu
   cāsvādu ca vijānātīti //1//	ca-asvAdu ca vijAnAti-iti //1//
   START 3.2	START 3.2
   kiṃ punastadevaikamanekadhā bhinnaṃ karaṇam ityucyate -	kim punar-tat-eva-ekam-anekaDA Binnam karaNam iti-ucyate -
   yad etad dhṛdayaṃ manaś caitat |	yat etat DRdayam manaH ca-etat |
   sañjñānam ājñānaṃ vijñānaṃ prajñānaṃ medhā dṛṣṭir dhṛtir matir manīṣā	san-jQAnam AjQAnam vijQAnam prajQAnam meDA dRzwiH DRtiH matiH manIzA
   jūtiḥ smṛtiḥ saṅkalpaḥ kratur asuḥ kāmo vaśa iti sarvāṇy evaitāni	jUtiH smRtiH saFkalpaH kratuH asuH kAmaH vaSaH iti sarvANi eva-etAni
   prajñānasya nāmadheyāni bhavanti || AitUp_3.2 ||	prajQAnasya nAmaDeyAni Bavanti || AitUB-_3.2 ||
   AitUpBh_3.2	Aitu-upBh_3.2
   yaduktaṃ purastātprajānāṃ reto hṛdayaṃ hṛdayasya reto mano manasā sṛṣṭā	yat-uktam purastAt-prajAnAm retaH hRdayam hRdayasya retaH manaH manasA sRzwA
   āpaśca varuṇaśca hṛdayānmano manasaścandramāḥ /	ApaH-ca varuNaH-ca hRdayAt-manaH manasaH-candramAH /
   tadevaitaddhṛdayaṃ manaśca ekameva tadanekadhā /	tat-eva-etat-hRdayam manaH-ca ekam-eva tad-anekaDA /
   etenāntaḥkaraṇenaikena cakṣurbhūtena rūpaṃ paśyati śrotrabhūtena śṛṇoti	etena-antaHkaraNena-ekena cakzuH-BUtena rUpam paSyati Srotra-BUtena SRNoti
   ghrāṇabhūtena jighrati vāgbhūtena vadati jihvābhūtena rasayati svenaiva	GrANa-BUtena jiGrati vAc-BUtena vadati jihvA-BUtena rasayati svena-eva
   vikalpanārūpeṇa manasā vikalpayati hṛdayarūpeṇādhyavasyati /	vikalpanA-rUpeNa manasA vikalpayati hRdaya-rUpeNa-aDyavasyati /
   tasmātsarvakaraṇaviṣayavyāpārakamekamidaṃ karaṇaṃ	tasmAt-sarva-karaNa-vizaya-vyApArakam-ekam-idam karaNam
   sarvopalabdhyarthamupalabdhuḥ /	sarva-upalabDi-arTam-upalabDuH /
   tathā ca kauṣītakīnāṃ"prajñayā vācaṃ samāruhya vācā sarvāṇi nāmānyāpnoti /	taTA ca kOzItakInAM"-prajQayA vAcam samAruhya vAcA sarvANi nAmAni-Apnoti /
   prajñā cakṣuḥ samāruhya cakṣuṣā sarvāṇi rūpāṇyāpnoti"(3 / 3) ityādi /	prajQA cakzuH samAruhya cakzuzA sarvANi rUpANi-Apnoti"(3 / 3) ityAdi /
   vājasaneyake ca -"manasā hyeva paśyati manasā śṛṇoti hṛdayena hi rūpāṇi	vAjasaneyake ca -"manasA hi-eva paSyati manasA SRNoti hRdayena hi rUpANi
   jānāti"(bṛ.u.1 / 5 / 3) ityādi /	jAnAti"(bR.u.1 / 5 / 3) ityAdi /
   tasmād hṛdayamanovācyasya sarvopalabdhikaratvaṃ prasiddham /	tasmAt hRdaya-manaH-vAcyasya sarva-upalabDi-kara-tvam prasidDam /
   tadātmakaśca prāṇo"yo vai prāṇaḥ sā prajñā yo vai prajñā sa	tad-AtmakaH-ca prANaH-"yaH vE prANaH sA prajQA yaH vE prajQA sa
   prāṇaḥ"(kauṣī.3 / 3) iti hi brāhmaṇam /	prANaH"(kOzI.3 / 3) iti hi brAhmaNam /
   karaṇasaṃhatirūpaśca prāṇa ityavocāma prāṇasaṃvādādau /	karaNa-saMhati-rUpaH-ca prANaH iti-avocAma prANa-saMvAda-AdO /
   tasmādyatpadbhyāṃ prāpadyata tadbrahma tadupalabdhurupalabdhikaraṇatvena	tasmAt-yat-padByAm prApadyata tat-brahma tad-upalabDuH-upalabDi-karaNa-tvena
   guṇabhūtatvānnaiva tadvastu brahmopāsyātmā bhavitumarhati /	guNa-BUta-tvAt-na-eva tat-vastu brahma-upAsya-AtmA Bavitum-arhati /
   pāriśeṣyādyasyopalabdhurupalabdhyarthaṃ etasya hṛdayasya manorūpasya	pAriSezya-At-yasya-upalabDuH-upalabDi-arTam etasya hRdayasya manaH-rUpasya
   karaṇasya vṛttayo vakṣyamāṇāḥ /	karaNasya vRttayaH vakzyamANAH /
   sa upalabdhopāsya ātmāno 'smākaṃ bhavitumarhatīti niścayaṃ kṛtavantaḥ /	saH upalabDa-upAsyaH AtmAnaH asmAkam Bavitum-arhati-iti niScayam kRtavantaH /
   tadantaḥkaraṇopādhisthasyopalabdhuḥ prajñārūpasya brahmaṇa upalabdhyarthā	tad-antaHkaraNa-upADi-sTasya-upalabDuH prajQA-rUpasya brahmaNaH upalabDi-arTA
   yā antaḥkaraṇavṛttayo bāhyāntarvartiviṣayaviṣayāstā imā ucyante /	yAH antaHkaraNa-vRttayaH bAhya-antar-varti-vizaya-vizayAH-tAH imAH ucyante /
   saṃjñānaṃ saṃjñaptiścetanabhāvaḥ, ājñānamājñaptirīśvarabhāvaḥ vijñānaṃ	saMjQAnam saMjQaptiH-cetana-BAvaH, AjQAnam-AjQaptiH-ISvara-BAvaH vijQAnam
   kalādiparijñānam, prajñānaṃ prajñaptiḥ prajñatā,	kalA-Adi-parijQAnam, prajQAnam prajQaptiH prajQa-tA,
   medhāgranthadhāraṇasāmarthyam dṛṣṭirindriyadvārā sarvaviṣayopalabdhiḥ,	meDA-granTa-DAraNa-sAmarTyam dRzwiH-indriya-dvArA sarva-vizaya-upalabDiH,
   dhṛtirdhāraṇamavasannānāṃ śarīrendriyāṇāṃ yayottambhanaṃ bhavati - dhṛtyā	DRtiH-DAraNam-avasannAnAm SarIra-indriyANAm yayA-uttamBanam Bavati  DRtyA
   śarīramudvahantīti hi vadanti, matirmananam, manīṣā tatra svātantryam.	SarIram-udvahanti-iti hi vadanti, matiH-mananam, manIzA tatra svAtantryam.
   jūtiścetaso rujādiduḥkhitvabhāvaḥ smṛtiḥ smaraṇam, saṃkalpaḥ	jUtiH-cetasaH rujA-Adi-duHKi-tva-BAvaH smRtiH smaraNam, saMkalpaH
