   akārādilakārāntā ToT_9.17a	akAra-Adi-lakAra-antAH ToT_9.17a
   yāvat pūjāṃ samuccārya ToT_5.20c	yAvat pUjAm samuccArya ToT_5.20c
   yena dīrghāyuṣaṃ bhavet ToT_9.7b	yena dIrGa-Ayuzam Bavet ToT_9.7b
   yena mṛtyuṃjayo bhavet ToT_9.13b	yena mRtyuMjayaH Bavet ToT_9.13b
   yena rūpeṇa deveśa ToT_10.1c	yena rUpeNa deveSa ToT_10.1c
   yogajñānaṃ vinā siddhir ToT_7.1c	yoga-jQAnam vinA sidDiH ToT_7.1c
   yogajñānādikaṃ layam ToT_9.5b	yoga-jQAna-Adikam layam ToT_9.5b
   yogapadmasya māhātmyaṃ ToT_8.8a	yoga-padmasya mAhAtmyam ToT_8.8a
   yogasāraṃ samāsataḥ ToT_2.1b	yoga-sAram samAsatas ToT_2.1b
   yogasāraṃ samāsataḥ ToT_7.38b	yoga-sAram samAsatas ToT_7.38b
   yogasāre yathoktaistu ToT_4.22a	yoga-sAre yaTA-uktEH-tu ToT_4.22a
   yogī yogo na labhyate ToT_9.27b	yogI yogaH na laByate ToT_9.27b
   yonimudrā mayoditā ToT_7.20d	yonimudrA mayA-uditA ToT_7.20d
   yonimudrāsanaṃ priye ToT_2.17d	yonimudrA-Asanam priye ToT_2.17d
   yonimudrāsanaṃ priye ToT_2.22d	yonimudrA-Asanam priye ToT_2.22d
   yonimudrāṃ tato baddhvā ToT_4.41c	yonimudrAm tatas badDvA ToT_4.41c
   yonirūpaṃ na cānyathā ToT_6.8b	yoni-rUpam na ca-anyaTA ToT_6.8b
   rakāraṃ kāmadaṃ kānte ToT_6.15c	rakAram kAma-dam kAnte ToT_6.15c
   ratnasiṃhāsanaṃ priye ToT_4.21b	ratna-siMhAsanam priye ToT_4.21b
   ratnākalpojjvalāṅgaṃ paraśumṛgavarābhītihastaṃ prasannam ToT_5.17d	ratna-Akalpa-ujjvala-aFgam paraSu-mRga-vara-aBIti-hastam prasannam ToT_5.17d
   randhraṃ candrasahasrābdaṃ ToT_7.12c	ranDram candra-sahasra-abdam ToT_7.12c
   ravisaṃyuktamaṇḍalāt ToT_3.37d	ravi-saMyukta-maNxalAt ToT_3.37d
   rasātalamataḥ param ToT_2.8d	rasAtalam-atas param ToT_2.8d
   rasātalācca satyāntaṃ ToT_2.9a	rasAtalAt-ca satya-antam ToT_2.9a
   rākiṇīsahito viṣṇuḥ ToT_7.27c	rAkiNI-sahitaH vizNuH ToT_7.27c
   rātrau lakṣaṃ japet sudhīḥ ToT_6.22d	rAtrO lakzam japet suDIH ToT_6.22d
   rudrarūpī svayaṃ bhūtvā ToT_4.41a	rudra-rUpI svayam BUtvA ToT_4.41a
   rudrasaṃkhyaṃ japenmantram ToT_3.38c	rudra-saMKyam japet-mantram ToT_3.38c
   rudrasaṃkhyā vyavasthitā ToT_8.6d	rudra-saMKyA vyavasTitAH ToT_8.6d
   rudrānnyūnaṃ sthitaṃ lakṣaṃ ToT_8.4c	rudrAn-nyUnam sTitam lakzam ToT_8.4c
   recake chinnamālāyāṃ ToT_9.20c	recake Cinna-mAlAyAm ToT_9.20c
   recanāt kāminī devī ToT_9.19c	recanAt kAminI devI ToT_9.19c
   rephaṃ paramadurlabham ToT_6.8d	rePam parama-durlaBam ToT_6.8d
   rephaḥ saṃhārarūpatvāc ToT_6.12c	rePaH saMhAra-rUpa-tvAt ToT_6.12c
   rephaḥ saṃhārarūpatvāc ToT_6.46a	rePaH saMhAra-rUpa-tvAt ToT_6.46a
   rephaḥ saṃhārarūpatvān ToT_1.19a	rePaH saMhAra-rUpa-tvAt ToT_1.19a
   romaṃ ca bhūṣaṇādikam ToT_6.33d	romam ca BUzaNa-Adikam ToT_6.33d
   lakāraṃ pārthivaṃ bījaṃ ToT_8.14a	lakAram pArTivam bIjam ToT_8.14a
   lalāṭe'mṛtasaṃcayam ToT_4.10d	lalAwe-amRta-saMcayam ToT_4.10d
   laṃbījasya bindumadhye ToT_8.9a	laM-bIjasya bindu-maDye ToT_8.9a
   laṃbījaṃ cātiśobhanam ToT_8.8d	laM-bIjam ca-ati-SoBanam ToT_8.8d
   lākinīsahito rudro ToT_7.28a	lAkinI-sahitaH rudraH ToT_7.28a
   liṅgacchidraṃ samākṛṣya ToT_8.19c	liFga=-Cidram samAkRzya ToT_8.19c
   liṅgacchidraṃ svavaktreṇa ToT_8.15c	liFga=-Cidram sva-vaktreNa ToT_8.15c
   liṅgapūjā prakīrtitā ToT_8.22d	liFga-pUjA prakIrtitAH ToT_8.22d
   liṅgamadhye mahattejo ToT_8.20c	liFga-maDye mahat-tejaH ToT_8.20c
   liṅgaṃ nirmāya yatnataḥ ToT_5.15b	liFgam nirmAya yatnatas ToT_5.15b
   liṅgādinābhiparyantaṃ ToT_7.14a	liFga-Adi-nABi-paryantam ToT_7.14a
   lomni kūpe sapādārdha- ToT_8.2a	lomni kUpe sa-pAda-arDa ToT_8.2a
   vaktrakoṭiśatena ca ToT_6.17b	vaktra-kowi-Satena ca ToT_6.17b
   vagalā kūrmamūrtikā ToT_10.9b	vagalA kUrma-mUrtikA ToT_10.9b
   vagalāyā dakṣabhāge ToT_1.14a	vagalAyAH dakza-BAge ToT_1.14a
   vada īśāna sarvajña ToT_3.8a	vada ISAna sarvajQa ToT_3.8a
   vada bhūtalavāsinaḥ ToT_7.10b	vada BU-tala-vAsinaH ToT_7.10b
   vada me parameśvara ToT_7.23d	vada me parameSvara ToT_7.23d
   vada me parameśvara ToT_10.8d	vada me parameSvara ToT_10.8d
   vadhūbījena deveśi ToT_4.10a	vaDU-bIjena deveSi ToT_4.10a
   varuṇaṃ bhūmibījakam ToT_3.44d	varuNam BUmibIjakam ToT_3.44d
   varṇanyāsaṃ tataḥ kṛtvā ToT_4.23a	varNa-nyAsam tatas kRtvA ToT_4.23a
   varṇanyāsaṃ samācaret ToT_3.62b	varNa-nyAsam samAcaret ToT_3.62b
   varṇamālāṃ vicintayet ToT_2.15d	varNa-mAlAm vicintayet ToT_2.15d
   varṇamālāṃ vicintayet ToT_3.5d	varNa-mAlAm vicintayet ToT_3.5d
   varṇasaṃkhyā maheśāni ToT_5.37c	varNa-saMKyAH maheSAni ToT_5.37c
   varṇāśritā suniścalā ToT_6.41d	varNa-ASritA su-niScalAH ToT_6.41d
   varṇituṃ naiva śakyate ToT_6.17d	varNitum na-eva Sakyate ToT_6.17d
   varṇituṃ naiva śakyate ToT_6.43b	varNitum na-eva Sakyate ToT_6.43b
   vartate parameśvara ToT_7.31b	vartate parameSvara ToT_7.31b
   valayākārarūpeṇa ToT_7.5c	valaya-AkAra-rUpeNa ToT_7.5c
   valayākārarūpeṇa ToT_8.9c	valaya-AkAra-rUpeNa ToT_8.9c
   vastre granthiṃ vidhāya ca ToT_4.4d	vastre granTim viDAya ca ToT_4.4d
   vahnikāntāṃ samuccaret ToT_3.17d	vahni-kAntAm samuccaret ToT_3.17d
   vahnijāyānvitā mantrā ToT_3.42a	vahni-jAyA-anvitA mantrAH ToT_3.42a
   vahnijāyā parā manuḥ ToT_6.20b	vahni-jAyA parA manuH ToT_6.20b
   vahnijāyāṃ sureśvari ToT_6.52d	vahnijAyAm sureSvari ToT_6.52d
   vahninā veṣṭanaṃ kāryaṃ ToT_3.60a	vahninA vezwanam kAryam ToT_3.60a
   vahnibījaṃ na cānyathā ToT_6.33b	vahnibIjam na ca-anyaTA ToT_6.33b
   vahnibījaṃ binduyuktaṃ ToT_3.45a	vahnibIjam bindu-yuktam ToT_3.45a
   vahnirūpaṃ ca sundari ToT_8.20d	vahni-rUpam ca sundari ToT_8.20d
   vāgīśatvapradāyinī ToT_3.28d	vAc-ISa-tva-pradAyinI ToT_3.28d
   vāgbhavaśca haripriyām ToT_6.51d	vAc-BavaH-ca haripriyAm ToT_6.51d
   vāgbhavaṃ praṇavaṃ devi ToT_6.19a	vAc-Bavam praNavam devi ToT_6.19a
   vāgbhavādyā mahāvidyā ToT_3.14a	vAc-Bava-AdyAH mahAvidyA ToT_3.14a
   vāgbhavādyā yadā vidyā ToT_3.28c	vAc-Bava-AdyAH yadA vidyA ToT_3.28c
   vācaś cittāyate nṛṇām ToT_4.1d	vAcaH cittAyate nRNAm ToT_4.1d
   vājapeyaśatāni ca ToT_6.35d	vAjapeya-SatAni ca ToT_6.35d
   vāñchāsiddhipradāyinī ToT_3.31d	vAQCA-sidDi-pradAyinI ToT_3.31d
   vāntaṃ netravibhūṣitam ToT_5.4b	vAntam netra-viBUzitam ToT_5.4b
   vāmakarṇavibhūṣitam ToT_3.25b	vAma-karNa-viBUzitam ToT_3.25b
   vāmadehaṃ tridhā coktvā ToT_4.26a	vAma-deham triDA ca-uktvA ToT_4.26a
   vāmanetrāgnisaṃyutam ToT_3.10b	vAma-netra-agni-saMyutam ToT_3.10b
   vāmanetrendusaṃyuktaṃ ToT_3.24a	vAmanetra-indu-saMyuktam ToT_3.24a
   vāmanetrendusaṃyutam ToT_3.12b	vAmanetra-indu-saMyutam ToT_3.12b
   vāmanetrendusaṃyutam ToT_3.26b	vAmanetra-indu-saMyutam ToT_3.26b
   vāmapāṇau raktapūrṇa- ToT_9.40c	vAma-pANO rakta-pUrNa ToT_9.40c
   vāmaśravaṇasaṃyuktaṃ ToT_3.11c	vAma-SravaNa-saMyuktam ToT_3.11c
   vāmahaste sureśvari ToT_3.44b	vAma-haste sureSvari ToT_3.44b
   vāmāvartena pūjayet ToT_5.26b	vAma-Avartena pUjayet ToT_5.26b
   vāyuṃ cākāśameva ca ToT_5.24d	vAyum ca-AkASam-eva ca ToT_5.24d
   vāyuṃ lalāṭasaṃyutam ToT_5.4d	vAyum lalAwa-saMyutam ToT_5.4d
   vāyuṃ saṃdhārya yatnena ToT_9.22c	vAyum saMDArya yatnena ToT_9.22c
   vārāṇasī bhruvormadhye ToT_7.33a	vArANasI BruvoH-maDye ToT_7.33a
   vāruṇaṃ trir japeddevi ToT_4.29a	vAruNam tris japet-devi ToT_4.29a
   vāruṇaṃ mukhavṛttaṃ ca ToT_5.4c	vAruNam muKa-vRttam ca ToT_5.4c
   vālukāyāḥ sahasraika- ToT_4.14a	vAlukAyAH sahasra-eka ToT_4.14a
   vāsanāṃ vada māṃ prati ToT_6.1d	vAsanAm vada mAm prati ToT_6.1d
   vāsanāṃ vada śaṃkara ToT_6.29d	vAsanAm vada SaMkara ToT_6.29d
   vāsanāṃ sarvasiddhidām ToT_6.2b	vAsanAm sarva-sidDi-dAm ToT_6.2b
   vāsinīṃ ṅeyutāṃ devi ToT_3.52a	vAsinIm FeyutAm devi ToT_3.52a
   vāsukī yā mahāmāyā ToT_2.5a	vAsukI yA mahAmAyA ToT_2.5a
   vāsukī vyākulā sadā ToT_2.10d	vAsukI vyAkulA sadA ToT_2.10d
   vigrahaṃ me nagātmaje ToT_5.7b	vigraham me naga-Atmaje ToT_5.7b
   vicared bhairavo yathā ToT_4.44b	vicaret BEravaH yaTA ToT_4.44b
   vijñeyāḥ praṇavādikāḥ ToT_3.42b	vijQeyAH praNava-AdikAH ToT_3.42b
   vidmahe iti saṃlikhya ToT_3.51c	vidmahe iti saMliKya ToT_3.51c
   vidyā caikajaṭā proktā ToT_3.27c	vidyA ca-ekajawA proktA ToT_3.27c
   vidyātattve dhenumudrāṃ ToT_4.29c	vidyA-tattve Denu-mudrAm ToT_4.29c
   vidyārājñī sudurlabhā ToT_3.10d	vidyA-rAjQI su-durlaBAH ToT_3.10d
   vidyārājñī sudurlabhā ToT_3.13d	vidyA-rAjQI su-durlaBAH ToT_3.13d
   vidyāṃ liṅgiśivaṃ yajet ToT_5.27b	vidyAm liFgi-Sivam yajet ToT_5.27b
   vidhavārūpadhāriṇī ToT_1.13d	viDavA-rUpa-DAriNI ToT_1.13d
   vidhivallakṣajāpena ToT_6.18a	viDivat-lakza-jApena ToT_6.18a
   vinā māyāyutaṃ śive ToT_6.13d	vinA mAyA-yutam Sive ToT_6.13d
   viparītaṃ prayatnataḥ ToT_2.20d	viparItam prayatnataH ToT_2.20d
   vibhakte cākṣare caiva ToT_6.50c	viBakte ca-akzare ca-eva ToT_6.50c
   virāṭ chanda udāhṛtam ToT_9.37d	virAj CandaH udAhRtam ToT_9.37d
   viśuddhākhye japādeva ToT_9.31a	viSudDa-AKye japAt-eva ToT_9.31a
   viśuddhākhye vasennityā ToT_7.29a	viSudDa-AKye vaset-nityAH ToT_7.29a
   viśuddhādikamājñāntaṃ ToT_7.15c	viSudDa-Adikam-AjQA-antam ToT_7.15c
   viśeṣamiha yadbhavet ToT_4.7b	viSezam-iha yat-Bavet ToT_4.7b
   viśeṣārghyaṃ ca saṃsthāpya ToT_4.24c	viSeza-arGyam ca saMsTApya ToT_4.24c
   viśeṣārghyaṃ pīṭhapūjāṃ ToT_3.64c	viSeza-arGyam pIWa-pUjAm ToT_3.64c
   viśeṣārghyaṃ pradātavyam ToT_4.40c	viSeza-arGyam pradAtavyam ToT_4.40c
   viśeṣārghyaṃ pradāpayet ToT_3.78d	viSeza-arGyam pradApayet ToT_3.78d
   viśeṣārghye vinikṣipet ToT_4.32b	viSeza-arGye vinikzipet ToT_4.32b
   viśvarūpaḥ paraḥ śivaḥ ToT_7.30b	viSvarUpaH paraH SivaH ToT_7.30b
   viśvādyaṃ viśvabījaṃ nikhilabhayaharaṃ pañcavaktraṃ trinetram ToT_5.17f	viSva-Adyam viSva-bIjam niKila-Baya-haram paQcavaktram trinetram ToT_5.17f
   viṣṇurūpaṃ sadāśivam ToT_1.16b	vizNu-rUpam sadASivam ToT_1.16b
   viṣṇuloke vased dhruvam ToT_9.31b	vizNu-loke vaset Druvam ToT_9.31b
   viharecca nijecchayā ToT_3.71d	viharet-ca nija-icCayA ToT_3.71d
   viharecca nijecchayā ToT_3.79f	viharet-ca nija-icCayA ToT_3.79f
   vihitaṃ ca mahāpuṇyaṃ ToT_6.39a	vihitam ca mahA-puNyam ToT_6.39a
   viṃśatyekena pārvati ToT_6.23d	viMSati-ekena pArvati ToT_6.23d
   vṛkṣākāraṃ kalevaram ToT_2.1d	vRkza-AkAram kalevaram ToT_2.1d
   vedākṣivasurandhrāstu ToT_8.7c	veda-akzi-vasu-ranDrAH-tu ToT_8.7c
   vedādyaṃ yojayeddevi ToT_5.21c	veda-Adyam yojayet-devi ToT_5.21c
   vedādyaṃ śabdabījaṃ ca ToT_9.36c	veda-Adyam Sabda-bIjam ca ToT_9.36c
   vaikharīyaṃ mahāvidyā ToT_6.41c	vEKarIyam mahAvidyA ToT_6.41c
   vaikharīṃ na prakāśayet ToT_6.57d	vEKarIm na prakASayet ToT_6.57d
   vyāpakaṃ tadanantaram ToT_3.62d	vyApakam tad-anantaram ToT_3.62d
   vyāpakaṃ tadanantaram ToT_4.24b	vyApakam tad-anantaram ToT_4.24b
   vyāpakaṃ vinyaset sudhīḥ ToT_3.63d	vyApakam vinyaset suDIH ToT_3.63d
   vyāpako viśvapālakaḥ ToT_6.48d	vyApakaH viSvapAlakaH ToT_6.48d
   śakāraṃ kāmarūpaṃ ca ToT_6.8a	SakAram kAmarUpam ca ToT_6.8a
   śakāraṃ ca mahāmāyā ToT_6.34a	SakAram ca mahAmAyA ToT_6.34a
   śakāraṃ bindusaṃyuktaṃ ToT_5.16c	SakAram bindu-saMyuktam ToT_5.16c
   śaktidīkṣā na kartavyā ToT_5.31c	Sakti-dIkzA na kartavyA ToT_5.31c
   śaktidīkṣāparo yadi ToT_5.35b	Sakti-dIkzA-paraH yadi ToT_5.35b
   śaktipūjā tataḥ param ToT_5.39b	Sakti-pUjA tatas param ToT_5.39b
   śaktibījaṃ sudurlabham ToT_6.34d	Sakti-bIjam su-durlaBam ToT_6.34d
   śaktimantrān yajed yadi ToT_5.30d	Sakti-mantrAn yajet yadi ToT_5.30d
   śaktimātre hi pārvati ToT_4.46b	Sakti-mAtre hi pArvati ToT_4.46b
   śaktirūpaprakāśinī ToT_6.34b	Sakti-rUpa-prakASinI ToT_6.34b
   śaktirūpaṃ nirākāraṃ ToT_6.54c	Sakti-rUpam nirAkAram ToT_6.54c
   śaktirūpaṃ sureśvari ToT_8.14b	Sakti-rUpam sureSvari ToT_8.14b
   śaktihīnaḥ śavaḥ sākṣāt ToT_1.25e	Sakti-hInaH SavaH sAkzAt ToT_1.25e
   śaktihīnaḥ sadāśivaḥ ToT_1.25b	Sakti-hInaH sadASivaH ToT_1.25b
   śaktiṃ ca kulapuṣpaṃ ca ToT_4.31a	Saktim ca kula-puzpam ca ToT_4.31a
   śaktiṃ cāvyayarūpiṇīm ToT_6.11b	Saktim ca-avyaya-rUpiNIm ToT_6.11b
   śaktiḥ kṛśānusādanau ToT_9.2b	SaktiH kRSa-anusAdanO ToT_9.2b
   śaktyā yukto yadā devi ToT_1.25c	SaktyA yuktaH yadA devi ToT_1.25c
   śatadvayāntaṃ pātālaṃ ToT_7.36c	Sata-dvaya-antam pAtAlam ToT_7.36c
   śatayojanavistṛtam ToT_4.14d	Sata-yojana-vistRtam ToT_4.14d
   śatavaktraṃ yadi bhavet ToT_2.24c	Sata-vaktram yadi Bavet ToT_2.24c
   śataṃ vā prajapettataḥ ToT_5.27d	Satam vA prajapet-tatas ToT_5.27d
   śabdapratyakṣatāṃ kṛtvā ToT_3.5c	Sabda-pratyakzatAm kRtvA ToT_3.5c
   śabdarāśiprakāśinī ToT_3.30b	Sabda-rASi-prakASinI ToT_3.30b
   śambhunāthārcanaṃ deva ToT_5.1c	SamBunATa-arcanam deva ToT_5.1c
   śambhuvad viharet kṣitau ToT_7.20b	SamBu-vat viharet kzitO ToT_7.20b
   śambhuś cānantarūpadhṛk ToT_8.18d	SamBuH ca-ananta-rUpa-DRk ToT_8.18d
   śaraccandrasamābhāsāṃ ToT_9.41c	Sarad-candra-sama-ABAsAm ToT_9.41c
   śarīrasahakāreṇa ToT_7.17a	SarIra-sahakAreNa ToT_7.17a
   śarīre nāḍayaḥ priye ToT_8.4d	SarIre nAxayaH priye ToT_8.4d
   śarīre nāḍayaḥ sthitāḥ ToT_2.12b	SarIre nAxayaH sTitAH ToT_2.12b
   śarvo bhavastathā rudra ToT_5.23c	SarvaH BavaH-taTA rudra ToT_5.23c
   śavarūpaḥ sadāśivaḥ ToT_1.23b	Sava-rUpaH sadASivaH ToT_1.23b
   śavarūpo mahādeva ToT_1.24a	Sava-rUpaH mahAdeva ToT_1.24a
   śākadvīpaṃ maheśāni ToT_7.6c	SAkadvIpam maheSAni ToT_7.6c
   śikhāṃ baddhvā tato devi ToT_4.4a	SiKAm badDvA tatas devi ToT_4.4a
   śiraṃ bindusamārūḍhaṃ ToT_3.26a	Siram bindu-samArUXam ToT_3.26a
   śivatulyo na saṃśayaḥ ToT_5.41d	Siva-tulyaH na saMSayaH ToT_5.41d
   śivabījajapād eva ToT_9.4a	Siva-bIja-japAt eva ToT_9.4a
   śivarūpaṃ ca avyayam ToT_4.13d	Siva-rUpam ca avyayam ToT_4.13d
   śivarūpī svayaṃ bhūtvā ToT_5.42a	Siva-rUpI svayam BUtvA ToT_5.42a
   śivavadviharet kṣitau ToT_9.4b	Siva-vat-viharet kzitO ToT_9.4b
   śivasāyujyadāyinī ToT_3.31b	Siva-sAyujya-dAyinI ToT_3.31b
   śivasnānodakaṃ devi ToT_5.41a	Siva-snAna-udakam devi ToT_5.41a
   śivahatyāṃ prayacchati ToT_5.36d	Siva-hatyAm prayacCati ToT_5.36d
   śivaṃ dṛṣṭvā tu kāminī ToT_9.16b	Sivam dRzwvA tu kAminI ToT_9.16b
   śivaṃ paścād yajed yadi ToT_5.44b	Sivam paScAt yajet yadi ToT_5.44b
   śivaṃ brahmāṇḍasaṃjñakam ToT_2.10b	Sivam brahmANxa-saMjQakam ToT_2.10b
   śivādyaṃ bindunādāḍhyaṃ ToT_3.10a	Siva-Adyam bindu-nAda-AXyam ToT_3.10a
   śive puṣpaṃ nidhāya ca ToT_5.18d	Sive puzpam niDAya ca ToT_5.18d
   śivo'ham iti saṃcintya ToT_3.70a	SivaH-aham iti saMcintya ToT_3.70a
   śivo'haṃ bhāvayettataḥ ToT_4.30b	SivaH-aham BAvayet-tatas ToT_4.30b
   śūnyāgāre dinatrayam ToT_9.45b	SUnya-AgAre dina-trayam ToT_9.45b
   śūlapāṇiḥ pinākadhṛk ToT_5.33b	SUlapANiH pinAkaDRk ToT_5.33b
   śūlapāṇe ihoccārya ToT_5.15c	SUlapANe iha-uccArya ToT_5.15c
   śṛṇu cārvaṅgi subhage ToT_1.3a	SRNu cAru-aFgi suBage ToT_1.3a
   śṛṇu cārvaṅgi subhage ToT_4.2a	SRNu cAru-aFgi suBage ToT_4.2a
   śṛṇu devi puraskriyām ToT_6.23b	SRNu devi puraskriyAm ToT_6.23b
   śṛṇu devi pravakṣyāmi ToT_2.1a	SRNu devi pravakzyAmi ToT_2.1a
   śṛṇu devi pravakṣyāmi ToT_3.2a	SRNu devi pravakzyAmi ToT_3.2a
   śṛṇu devi pravakṣyāmi ToT_5.13c	SRNu devi pravakzyAmi ToT_5.13c
   śṛṇu devi pravakṣyāmi ToT_9.7a	SRNu devi pravakzyAmi ToT_9.7a
   śṛṇu devi mahāmantra- ToT_6.2a	SRNu devi mahA-mantra ToT_6.2a
   śṛṇu devi sadānande ToT_3.9a	SRNu devi sadAnande ToT_3.9a
   śṛṇu pārvati vakṣyāmi ToT_5.2a	SRNu pArvati vakzyAmi ToT_5.2a
   śṛṇu pārvati sādaram ToT_6.25d	SRNu pArvati sa-Adaram ToT_6.25d
   śṛṇuṣva susamāhitā ToT_5.17b	SRNuzva su-samAhitA ToT_5.17b
   śṛṇu sundari sādaram ToT_9.39b	SRNu sundari sa-Adaram ToT_9.39b
   śeṣaṃ jalaṃ maheśāni ToT_3.47a	Sezam jalam maheSAni ToT_3.47a
   śaivavaiṣṇavadaurgārka- ToT_5.42c	SEva-vEzNava-dOrga-arka ToT_5.42c
   śodhayet sādhakottamaḥ ToT_4.31b	SoDayet sADaka-uttamaH ToT_4.31b
   śodhitaṃ dravyamādāya ToT_4.32a	SoDitam dravyam-AdAya ToT_4.32a
   śoṣaṇādīn samācaret ToT_4.28d	SozaNa-AdIn samAcaret ToT_4.28d
   śmaśānakālikā tataḥ ToT_3.17b	SmaSAna-kAlikA tatas ToT_3.17b
   śmaśānakālikā devi ToT_3.19c	SmaSAna-kAlikAH devi ToT_3.19c
   śmaśānaṃ ca samuddharet ToT_3.51d	SmaSAnam ca samudDaret ToT_3.51d
   śrīkālikā bhadrakālī ToT_3.19a	SrIkAlikA BadrakAlI ToT_3.19a
   śrīkālī devatā smṛtā ToT_3.14b	SrI-kAlI devatA smRtA ToT_3.14b
   śrībījādyā mahāvidyā ToT_3.29a	SrI-bIja-AdyAH mahAvidyA ToT_3.29a
   śrīmadbhuvanasundaryā ToT_1.9c	SrImat-Buvana-sundaryAH ToT_1.9c
   śrīśivasya hṛdambhoje ToT_1.21c	SrI-Sivasya hRd-amBoje ToT_1.21c
   śrīśivo'sya ṛṣiḥ prokto ToT_9.37c	SrI-SivaH-asya RziH proktaH ToT_9.37c
   śrīhṛṭṭaṃ pṛṣṭhadeśake ToT_7.34d	SrI-hRwwam pRzWa-deSake ToT_7.34d
   śrutaṃ mahākālikāyā ToT_3.21c	Srutam mahA-kAlikAyAH ToT_3.21c
   śrutaṃ mahākālikāyā ToT_6.1a	Srutam mahA-kAlikAyAH ToT_6.1a
   śrutā pūjā kālikāyās ToT_4.1a	SrutA pUjA kAlikAyAH ToT_4.1a
   śrutvā gopaya yatnena ToT_9.7c	SrutvA gopaya yatnena ToT_9.7c
   śrotumicchāmi sāmpratam ToT_3.22b	Srotum-icCAmi sAmpratam ToT_3.22b
   śrotum icchāmi sāmpratam ToT_5.1d	Srotum icCAmi sAmpratam ToT_5.1d
   śrotrayugmaṃ tathā vaktraṃ ToT_6.6a	Srotra-yugmam taTA vaktram ToT_6.6a
   śrotre caiva tathā netre ToT_3.3c	Srotre ca-eva taTA netre ToT_3.3c
   śvāsocchvāsavikāśanam ToT_8.17d	SvAsa-ucCvAsa-vikASanam ToT_8.17d
   śvāsocchvāsavikāsena ToT_7.23a	SvAsa-ucCvAsa-vikAsena ToT_7.23a
   śvetadvīpe vaset sadā ToT_9.31d	SvetadvIpe vaset sadA ToT_9.31d
   ṣaṭcakradevatāstatra ToT_2.17a	zawcakra-devatAH-tatra ToT_2.17a
   ṣaṭcakradevatāstatra ToT_2.21c	zawcakra-devatAH-tatra ToT_2.21c
   ṣaṭcakradevatāstatra ToT_3.7a	zawcakra-devatAH-tatra ToT_3.7a
   ṣaṭcakraṃ cintayedatha ToT_9.9b	zawcakram cintayet-aTa ToT_9.9b
   ṣaṭcakraṃ bhedayitvā tu ToT_3.33c	zawcakram BedayitvA tu ToT_3.33c
   ṣaṭpattre dvādaśaṃ japet ToT_9.10d	zawpattre dvAdaSam japet ToT_9.10d
   ṣaḍakṣaramanuṃ tataḥ ToT_5.22b	zaxakzara-manum tatas ToT_5.22b
   ṣaḍaṅgāni ca sampūjya ToT_4.35a	zaz-aFgAni ca sampUjya ToT_4.35a
   ṣaḍaṅgena ca sampūjya ToT_4.34a	zaxaFgena ca sampUjya ToT_4.34a
   ṣaḍguṇo ratikāle ca ToT_7.17c	zaxguNaH rati-kAle ca ToT_7.17c
   ṣaṇṇavatisahasrābdaṃ ToT_7.11c	zaNNavati-sahasra-abdam ToT_7.11c
   ṣaṇṇavatyaṅgulaṃ devi ToT_7.9a	zaNNavati-aFgulam devi ToT_7.9a
   ṣoḍaśī vā mahāpūrvā ToT_9.10a	zoxaSI vA mahA-pUrvA ToT_9.10a
   ṣoḍaśe daśasaṃkhyaṃ tu ToT_9.11c	zoxaSe daSa-saMKyam tu ToT_9.11c
   ṣoḍaśenopacāreṇa ToT_9.8c	zoxaSena-upacAreNa ToT_9.8c
   ṣoḍaśenopacāreṇa ToT_9.43c	zoxaSena-upacAreNa ToT_9.43c
   ṣoḍhānyāsaṃ tataḥ kṛtvā ToT_4.24a	zoXA-nyAsam tatas kRtvA ToT_4.24a
   ṣoḍhānyāsaṃ tato devi ToT_3.62c	zoXA-nyAsam tatas devi ToT_3.62c
   sa eva tasyā bhartā ca ToT_1.20a	saH eva tasyAH BartA ca ToT_1.20a
   sakāro viṣṇurūpaśca ToT_6.45c	sakAraH vizNu-rUpaH-ca ToT_6.45c
   sakṛjjapānmaheśāni ToT_6.39c	sakRt-japAn-maheSAni ToT_6.39c
   saguṇaṃ nirguṇaṃ sākṣāt ToT_6.41a	sa-guNam nirguNam sAkzAt ToT_6.41a
   sa guruṃ cāpi śiṣyaṃ ca ToT_5.36c	sa gurum ca-api Sizyam ca ToT_5.36c
   satāraṃ ca tathā binduṃ ToT_6.50a	sa-tAram ca taTA bindum ToT_6.50a
   satyalokaṃ varānane ToT_2.7b	satya-lokam varAnane ToT_2.7b
   satyaloke mahāviṣṇuṃ ToT_2.10a	satya-loke mahA-vizNum ToT_2.10a
   satyaṃ satyaṃ na saṃśayaḥ ToT_5.43d	satyam satyam na saMSayaH ToT_5.43d
   satyaṃ satyaṃ maheśāni ToT_5.41c	satyam satyam maheSAni ToT_5.41c
   satyaṃ satyaṃ sureśvari ToT_5.38b	satyam satyam sureSvari ToT_5.38b
   satyaṃ satyaṃ hi supriye ToT_9.47b	satyam satyam hi su-priye ToT_9.47b
   satyaṃ hi suravandite ToT_9.20d	satyam hi suravandite ToT_9.20d
   sadakṣiṇaṃ vrataṃ sarvaṃ ToT_6.37c	sa-dakziNam vratam sarvam ToT_6.37c
   sadā kāmakutūhalā ToT_1.8d	sadA kAma-kutUhalAH ToT_1.8d
   sadā kāmena vartate ToT_8.19b	sadA kAmena vartate ToT_8.19b
