   ṣaṭ sandarbha nāmaka 	zaw sandarBa nAmaka 
   brahmaṇaś ca bhagavata eva nirvikalpa sattā rūpatvāt |	brahmaNaH ca BagavataH eva nirvikalpa  sattA  rUpa tvAt |
   vicitra rūpādi vikalpa 	vicitra rUpa Adi  vikalpa 
   viśeṣa viśiṣṭasya bhagavatas tu sākṣāt kṛtes tad anantarajatvāt | tadīya 	viSeza  viSizwasya BagavataH tu sAkzAt kRteH tad  ananta raja tvAt | tadIya 
   svarūpa bhūtaṃ tad brahma tat sākṣātkārāspadaṃ bhavatīty arthaḥ |	svarUpa BUtam tat brahma tat sAkzAtkAra Aspadam Bavati iti arTaH |
   nirvikalpa brahmaṇas tasya svarūpa lakṣaṇam āha pratibodha mātram iti |	nirvikalpa  brahmaNaH tasya sva rUpa lakzaNam Aha pratiboDa  mAtram iti |
   ajasra sukham iti ca | jaḍasya duḥkhasya ca pratiyogitayā pratīyate yad	ajasra  suKam iti ca | jaxasya duHKasya ca pratiyogi tayA pratIyate yat 
   vastu	vastu
   yac ca nityaṃ tad eka rūpaṃ tad rūpam ity arthaḥ | yat ātma tattvaṃ	yat ca nityam tat eka  rUpam tat  rUpam iti arTaH | yat Atma  tattvam
   sarveṣām	sarvezAm
   ātmatnāṃ mūlam | ātmā hi sva prakāśa rūpatayā nirupādhi parama 	AtmatnAm mUlam | AtmA hi sva  prakASa   rUpa tayA nirupADi parama 
   premāspadatayā ca tat tad rūpeṇa pratīyata ity arthaḥ |	prema Aspada tayA ca tat  tad  rUpeNa pratIyate iti arTaH |
   atha tasya sukha rūpasya ajasratve hetum āha śāśvat praśāntaṃ nityam eva	aTa tasya suKa  rUpasya ajasra tve hetum Aha SASvat praSAntam nityam eva
   kṣobha rahitaṃ tadvad abhayaṃ bhaya śūnyaṃ viśokaṃ śoka rahitaṃ ceti | na	kzoBa  rahitam tadvat aBayam Baya  SUnyam viSokam Soka  rahitam ca iti | na
   ca sukha rūpatve tasya puṇya janyatvaṃ syād ity āha śabdo na yatreti |	ca suKa  rUpa tve tasya puNya janya tvam syAt iti Aha SabdaH na yatra iti |
   yatra	yatra
   kriyārtho yajñādy arthaḥ puru kārakavān śabdo na pravartate ity arthaḥ |	kriyA arTaH yajQa Adi  arTaH puru kArakavAn SabdaH na pravartate iti arTaH |
   tvaṃ tv aupaniṣadaṃ puruṣam ity ādi rītyā kevalam upaniṣad eva prakāśikā	tvam tu Opanizadam puruzam iti Adi rItyA kevalam upanizad eva prakASikA
   bhavatīty arthaḥ | punaḥ sukha svarūpatve cendriya janyatvaṃ vyāvartayati	Bavati iti arTaH | punar suKa  svarUpa tve ca indriya  janya tvam vyAvartayati
   śuddham ity ādinā | tatra śuddhaṃ doṣa rahitam | samam uccāvacatā śūnyam	SudDam iti AdinA | tatra SudDam doza  rahitam | samam uccAvacatA  SUnyam
   | sadasataḥ paraṃ kāraṇa kārya vargād upari sthitam | kiṃ bahunety āha	| sat asataH param kAraNa  kArya  vargAt upari sTitam | kim bahunA iti Aha
   māyā	mAyA
   ca yasyābhimukhe yadunmukhatayā sthite jīvan mukta gaṇe vilajjamānaiva	ca yasya aBimuKe yat unmuKa tayA sTite jIvan mukta  gaNe vilajjamAnA eva
   paraiti palāyate tato dūraṃ gacchatīty arthaḥ || śrī brahmā nāradam ||5||	parEti palAyate tatas dUram gacCati iti arTaH || SrI brahmA nAradam ||5||
   vyañjite bhagavat tattve brahma ca vyajyate svayam |	vyaQjite Bagavat  tattve brahma ca vyajyate svayam |
   ato'tra brahma sandarbho'py avāntaratayā mataḥ ||	atas atra brahma sandarBaH api avAntara tayA mataH ||
   atha bhagavad āvirbhāve yogyatām āha  	aTa Bagavat  AvirBAve yogyatAm Aha  
   bhakti yogena manasi samyak praṇihite'male	Bakti yogena manasi samyak praNihite amale
   apaśyat puruṣaṃ pūrṇaṃ || [BhP 1.7.4] iti | vyākhyātam eva ||6||	apaSyat puruzam pUrNam || [Bhj 1.7.4] iti | vyAKyAtam eva ||6||
   tad itthaṃ brahmaṇā coktam   	tat itTam brahmaNA ca uktam   
   tvaṃ bhakti yoga paribhāvita hṛt saroja	tvam Bakti yoga  pariBAvita hRt saroja
   āsse śrutekṣita patho nanu nātha puṃsām || iti || [BhP 3.9.11] ||	Asse Sruta Ikzita paTaH nanu nATa puMsAm || iti || [Bhj 3.9.11] ||
   śrī sutaḥ	SrI sutaH
   ||7||[*ENDNOTE #2]	||7||[*ENDNOTEH #2]
   tad āvirbhāvam āha sārdha daśabhiḥ   	tad  AvirBAvam Aha sArDa daSaBiH   
   tasmai sva lokaṃ bhagavān sabhājitaḥ	tasmE sva lokam BagavAn saBAjitaH
   sandarśayām āsa paraṃ na yat param |	sandarSayAm Asa param na yat  param |
   vyapeta saṅkleśa vimoha sādhvasaṃ	vyapeta  saFkleSa  vimoha  sADvasam
   sva dṛṣṭavadbhir puruṣair abhiṣṭutam ||9||	sva dRzwavadBiH puruzEH aBizwutam ||9||
   pravartate yatra rajas tamas tayoḥ	pravartate yatra rajaH tamaH tayoH
   sattvaṃ ca miśraṃ na ca kāla vikramaḥ |	sattvam ca miSram na ca kAla vikramaH |
   na yatra māyā kim utāpare harer	na yatra mAyA kim uta apare hareH 
   anuvratā yatra surāsurārcitāḥ ||10||	anuvratAH yatra sura asura arcitAH ||10||
   śyāmāvadātāḥ śata patra locanāḥ	SyAma avadAtAH Sata patra  locanAH
   piśaṅga vastrāḥ surucaḥ supeśasaḥ |	piSaFga  vastrAH su rucaH supeSasaH |
   sarve catur bāhava unmiṣan maṇi 	sarve catur bAhavaH unmizan maNi 
   praveka niṣkābharaṇāḥ suvarcasaḥ |	praveka  nizka ABaraNAH suvarcasaH |
   pravāla vaidūrya mṛṇāla varcasaḥ	pravAla  vEdUrya mRNAla varcasaH
   parisphurat kuṇḍala mauli mālinaḥ ||11||	parisPurat  kuNxala  mOli  mAlinaH ||11||
   bhrājiṣṇubhir yaḥ parito virājate	BrAjizNuBiH yaH paritas virAjate
   lasad vimānāvalibhir mahātmanām |	lasat  vimAna AvaliBiH mahAtmanAm |
   vidyotamānaḥ pramadottamādyubhiḥ	vidyotamAnaH pramadA uttamA dyuBiH
   savidyud abhrāvalibhir yathā nabhaḥ ||12||	sa vidyut aBra AvaliBiH yaTA naBaH ||12||
   śrīr yatra rūpiṇy urugāya pādayoḥ	SrIH yatra rUpiNI uru gAya  pAdayoH
   karoti mānaṃ bahudhā vibhūtibhiḥ |	karoti mAnam bahuDA viBUtiBiH |
   preṅkhaṃ śritā yā kusumākarānugair	preFKam SritA yA kusuma Akara anugEH 
   vigīyamānā priya karma gāyatī ||13||	vigIyamAnA priya karma gAyatI ||13||
   dadarśa tatrākhila sātvatāṃ patiṃ	dadarSa tatra aKila  sAtvatAm patim
   śriyaḥ patiṃ yajña patiṃ jagat patim |	SriyaH patim yajQa  patim jagat patim |
   sunanda nanda prabalārhaṇādibhiḥ	sunanda nanda  prabala arhaNa AdiBiH
   sva pārṣadāgraiḥ parisevitaṃ vibhum ||14||	sva  pArzada agrEH parisevitam viBum ||14||
   bhṛtya prasādābhimukhaṃ dṛg āsavaṃ	BRtya  prasAda aBimuKam dRS  Asavam
   prasanna hāsāruṇa locanānanam |	prasanna hAsa aruNa   locana Ananam |
   kirīṃinaṃ kuṇḍalinaṃ catur bhujaṃ	kirIMinam kuNxalinam catur Bujam
   pītāṃśukaṃ vakṣasi lakṣitaṃ śriyā ||15||	pIta aMSukam vakzasi lakzitam SriyA ||15||
   adhyarhaṇīyāsanam āsthitaṃ paraṃ	aDi arhaNIya Asanam AsTitam param
   vṛtaṃ catuḥ ṣoḍaśa pañca śaktibhiḥ |	vRtam catur  zoxaSa paQca  SaktiBiH |
   yuktaṃ bhagaiḥ svair itaratra cādhruvaiḥ	yuktam BagEH svEH itaratra ca aDruvEH
   sva eva dhāman ramamāṇam īśvaram ||16||	sve eva DAman ramamANam ISvaram ||16||
   tad darśanāhlāda pariplutāntaro	tad  darSana AhlAda  paripluta antaraH 
   hṛṣyat tanuḥ prema bharāśru locanaḥ |	hRzyat  tanuH prema Bara aSru  locanaH |
   nanāma pādāmbujam asya viśva sṛg	nanAma pAda ambujam asya viSva sRj 
   yat pāramahaṃsyena pathādhigamyate ||17||	yat pAramahaMsyena paTA aDigamyate ||17||
   taṃ prīyamāṇaṃ samupasthitaṃ kaviṃ	tam prIyamANam samupasTitam kavim
   prajā visarge nija śāsanārhaṇam |	prajA  visarge nija  SAsana arhaNam |
   babhāṣa īṣat smita śociṣā girā	baBAza Izat  smita SocizA girA
   priyaḥ priyaṃ prīta manāḥ kare spṛśan ||18 [BhP 2.9.9 18] ||	priyaH priyam prIta manAH kare spRSan ||18 [Bhj 2.9.9 18] ||
   tasmai bhagavad ājñā puraskāreṇa śrī nārāyaṇāhvaya puruṣa nābhi 	tasmE Bagavat  AjQA  puraskAreNa SrI nArAyaNa Ahvaya  puruza nABi 
   paṅkaje sthityaiva tat toṣaṇais tapobhir bhajate brahmaṇe sabhājitas tena	paFkaje sTityA eva tat  tozaNEH tapoBiH Bajate brahmaNe saBAjitaH tena
   bhajanena vaśīkṛtaḥ san sva lokaṃ vaikuṇṭhaṃ bhuvanottamaṃ bhagavān	Bajanena vaSIkRtaH san sva lokam vEkuNWam Buvana uttamam BagavAn
   samyag darśayāmāsa | yad yato viakuṇṭhāt param anyad vaikuṇṭhaṃ paraṃ	samyak darSayAmAsa | yat yatas viakuNWAt param anyat vEkuNWam param
   śreṣṭhaṃ na vidyate parama bhagavad vaikuṇṭhatvāt | yad vā, yad yato	SrezWam na vidyate parama   Bagavat  vEkuNWa tvAt | yat vA, yat yatas 
   vaikuṇṭhāt paraṃ brahmākhyaṃ tattvaṃ paraṃ bhinnaṃ na bhavati | svarūpa 	vEkuNWAt param brahma AKyam tattvam param Binnam na Bavati | svarUpa 
   śakti viśeṣāviṣkāreṇa māyayānāvṛtaṃ tad eva tad rūpam ity arthaḥ | agre tv	Sakti viSeza AvizkAreNa mAyayA anAvRtam tat eva tad  rUpam iti arTaH | agre tu 
   idaṃ vyaktīkariṣyate | tādṛśatve hetuḥ vyapeteti sva dṛṣṭeto ca |	idam vyaktIkarizyate | tAdRSa tve hetuH vyapeta iti sva dRzwA itas ca |
   avidyāsmitārāga dveṣābhiniveśāḥ pañca kleśāḥ viimohas taiḥ vaicitryaṃ	avidyA smitA rAga  dveza aBiniveSAH paQca kleSAH viimohaH tEH vEcitryam
   sādhvasaṃ bhayaṃ vyapetāni saṅkleśādīni yatra tam | svasya dṛṣṭaṃ darśanaṃ	sADvasam Bayam vyapetAni saFkleSa AdIni yatra tam | svasya dRzwam darSanam
   tad vidyate yeṣāṃ tair ātmavidbhir api abhitaḥ sarvāṃśenaiva stutaṃ	tat vidyate yezAm tEH Atma vidBiH api aBitas sarva aMSena eva stutam
   ślāghitam	SlAGitam
   atha te munayo dṛṣṭvā nayanānanda bhājanam |	aTa te munayaH dRzwvA nayana Ananda  BAjanam |
   vaikuṇṭhaṃ tad adhiṣṭhānaṃ vikuṇṭhaṃ ca svayaṃ prabham ||	vEkuNWam tat  aDizWAnam vikuNWam ca svayaM praBam ||
   bhagavantaṃ parikramya praṇipatyānumānya ca |	Bagavantam parikramya praNipatya anumAnya ca |
   pratijagmuḥ pramuditāḥ śaṃsanto vaiṣṇavīṃ śriyam || [BhP 3.16.27 8]	pratijagmuH pramuditAH SaMsantaH vEzNavIm Sriyam || [Bhj 3.16.27 8]
   punas tādṛśatvam eva vyanakti, pravartate iti | yatra vaikuṇṭhe rajas	punar tAdRSa tvam eva vyanakti, pravartate iti | yatra vEkuNWe rajaH 
   tamaś ca	tamaH ca
   na pravartate | tayor miśraṃ sahacaraṃ jaḍaṃ yat sattvaṃ na tad api |	na pravartate | tayoH miSram sahacaram jaxam yat sattvam na tat api |
   kintu	kintu
   anyad eva | tac ca yā suṣṭhu sthāpayiṣyamāṇā māyātaḥ parā bhagavat 	anyat eva | tat ca yA suzWu sTApayizyamANA mAyAtaH parA Bagavat 
   svarūpa śaktiḥ tasyāḥ vṛttitvena cid rūpaṃ śuddha sattvākhyaṃ sattvam iti	svarUpa SaktiH tasyAH vRtti tvena cit   rUpam SudDa  sattva AKyam sattvam iti
   tadīya prakaraṇa eva sthāpayiṣyate | tad eva ca yatra pravartate ity	tadIya  prakaraNaH eva sTApayizyate | tat eva ca yatra pravartate iti 
   arthaḥ |	arTaH |
   tathā ca nārada pañcarātre jitante stotre  	taTA ca nArada  paQcarAtre jitante  stotre  
   lokaṃ vaikuṇṭha nāmānaṃ	lokam vEkuNWa nAmAnam
   divya ṣaḍ guṇa saṃyutam |	divya  zax guNa  saMyutam |
   avaiṣṇavānām aprāpyaṃ	avEzNavAnAm aprApyam
   guṇa traya vivarjitam ||	guNa traya  vivarjitam ||
   pādmottara khaṇḍe tu vaikuṇḍha nirūpaśo tasya sattvasyāprākṛtatvaṃ	pAdma uttara   KaNxe tu vEkuNXa nirUpaSas tasya sattvasya aprAkRta tvam
   sphuṭam evaṃ darśitam | yataḥ prakṛti vibhūti varṇanānantaram  	sPuwam evam darSitam | yatas prakRti viBUti  varNanA anantaram  
   evaṃ prākṛta rūpāyā vibhūte rūpam uttamam |	evam prAkRta rUpAyAH viBUte rUpam uttamam |
   tripād vibhūti rūpaṃ tu śṛṇu bhūdhara nandini ||	tripAd  viBUti rUpam tu SRNu BUDara nandini ||
   pradhāna parama vyomnor antare virajā nadī |	praDAna  parama  vyomnoH antare virajA nadI |
   vedāṅgasvedajanita toyaiḥ prasrāvitā śubhā ||	vedAFga sveda janita  toyEH prasrAvitA SuBA ||
   tasyāḥ pāre para vyomni tripād bhūtaṃ sanātanam |	tasyAH pAre para  vyomni tripAd BUtam sanAtanam |
   amṛtaṃ śāśvataṃ nityam anantaṃ paraṃ padam ||	amRtam SASvatam nityam anantam param padam ||
   śuddha sattva mayaṃ divyam akṣaraṃ brahmaṇaḥ padam || ityādi ||	SudDa  sattva  mayam divyam akzaram brahmaNaH padam || ityAdi ||
   prākṛta guṇānāṃ parasparāvyabhicāritvaṃ tūktaṃ sāṅkhya kaumudyāṃ  	prAkRta guNAnAm paraspara avyaBicAri tvam tu uktam sAFKya kOmudyAm  
   anyonya mithuna vṛttaya iti | taṭ ṭīkāyāṃ ca anyonya sahacarā avinābhāva 	anyonya  miTuna  vRttayaH iti | taw wIkAyAm ca anyonya  sahacarAH avinA aBAva 
   vartina iti yāvat | bhavati cātrāgamaḥ  	vartinaH iti yAvat | Bavati ca atra AgamaH  
   anyonya mithunāḥ sarve	anyonya miTunAH sarve
   sarve sarvatra gāminaḥ |	sarve sarvatra gAminaH |
   rajaso mithunaṃ sattvam || ity ādy upakramya	rajasaH miTunam sattvam || iti Adi upakramya
   naiṣām ādiś ca saṃyogo	na ezAm AdiH ca saMyogaH 
   viyogo copalabhyate || itīti ||	viyogaH ca upalaByate || iti iti ||
   tasmād atra rajaso'sad bhāvād asṛjyatvaṃ tamaso'sad bhāvād anāśyatvaṃ	tasmAt atra rajasaH asad BAvAt asRjya tvam tamasaH asat  BAvAt anASya tvam
   prākṛta sattvābhāvāc ca saccidānanda rūpatvaṃ tasya darśitam | tatra hetur	prAkRta  sattva aBAvAt ca saccidAnanda  rUpa tvam tasya darSitam | tatra hetuH 
   na ca kāla vikramaḥ iti | kāla vikrameṇa hi prakṛti kṣobhāt sattvādayaḥ	na ca kAla vikramaH iti | kAla  vikrameNa hi prakRti kzoBAt sattva AdayaH
   pṛthak kriyante | tasmād yatrāsau ṣaḍ bhāva vikāra hetuḥ kāla vikrama eva	pRTak kriyante | tasmAt yatra asO zaz  BAva  vikAra  hetuH kAla vikramaH eva
   na pravartate tatra teṣām abhāvaḥ sutarām eveti bhāvaḥ | kiṃ ca teṣāṃ	na pravartate tatra tezAm aBAvaH sutarAm eva iti BAvaH | kim ca tezAm
   mūlata	mUlata
   eva kuṭhāra ity āha na yatra māyeti | māyātra jagat sṛṣṭy ādi hetur	eva kuWAraH iti Aha na yatra mAyA iti | mAyA atra jagat  sRzwi  Adi hetuH 
   bhagavac chaktir na tu kāpaṭya mātram | raja ādi niṣedhenaiva tad vyudāsāt	Bagavac  CaktiH na tu kApawya  mAtram | raja Adi  nizeDena eva tat  vyudAsAt 
   | athavā yatra tayoḥ sambandhi sattvaṃ prākṛta sattvaṃ yat tad api na	| aTavA yatra tayoH sambanDi sattvam prAkRta  sattvam yat tat api na
   pravartate | miśram apṛthag bhūta guṇa trayaṃ pradhānaṃ ca | agre māyā 	pravartate | miSram apRTak  BUta  guNa  trayam praDAnam ca | agre mAyA 
   pradhānayor bhedo vivecanīyaḥ |	praDAnayoH BedaH vivecanIyaH |
   kaimutyenoktam evārthaṃ draḍhayati | kim utāpare iti | tayor vimiśraṃ	kEm utyena uktam eva arTam draXayati | kim uta apare iti | tayoH vimiSram
   kiñcid	kiQcid 
   rajas tamo miśraṃ sattvaṃ ca neti vyākhyā tu piṣṭa peṣaṇam eva | sāmānyato	rajas tamaH  miSram sattvam ca na iti vyAKyA tu pizwa pezaNam eva | sAmAnyatas 
   rajas tamo niṣedhenaiva tat pratipatteḥ | vakṣyate ca tasya sattvasya	rajas tamaH  nizeDena eva tat  pratipatteH | vakzyate ca tasya sattvasya
   prākṛtād	prAkRtAt 
   anytamatvaṃ dvādaśe śrī nārāyaṇa rṣiṃ prati mārkaṇḍeyena   	anytama tvam dvAdaSe SrI nArAyaNa  Rzim prati mArkaNxeyena   
   sattvaṃ rajas tama itīśa tavātma bandho	sattvam rajaH tamaH iti ISa tava Atma banDo
   māyāmayāḥ sthit layodbhava hetavo'sya |	mAyA mayAH sTit layA udBava  hetavaH asya |
   līlādhṛtā yad api sattvamayī praśāntyai	lIlA DRtA yat api sattva mayI praSAntyE
   nānye nṝṇāṃ vyasana moha bhiyaś ca yābhyām ||	na anye nLNAm vyasana  moha BiyaH ca yAByAm ||
   tasmāt taveha bhagavann atha tāvakānāṃ	tasmAt tava iha Bagavan aTa tAvakAnAm
   śuklāṃ tanuṃ sva dayitāṃ kuśalā bhajanti |	SuklAm tanum sva  dayitAm kuSalAH Bajanti |
   yat sātvatāḥ puruṣa rūpam uśanti sattvaṃ	yat sAtvatAH puruza rUpam uSanti sattvam
   loko yato'bhayam utātma sukhaṃ na cānyad || [BhP 12.8.39 40] iti ||	lokaH yatas aBayam uta Atma  suKam na ca anyat || [Bhj 12.8.39 40] iti ||
   anayor arthaḥ | he īśa yad api sattvaṃ rajas tama iti tavaiva māyā kṛtā	anayoH arTaH | he ISa yat api sattvam rajaH tamaH iti tava eva mAyA kRtA
   līlāḥ	lIlAH
   | kathambhūtāḥ   asya viśvasya sthityādi hetavaḥ tathāpi yā sattvamayī	| kaTamBUtAH  asya viSvasya sTiti Adi hetavaH taTA api yA sattva mayI
   saiva	sA eva
   praśāntyai prakṛṣṭa sukhāya bhavati | nānye rajas tamo mayyau | na kevalaṃ	praSAntyE prakRzwa  suKAya Bavati | na anye rajaH tamaH  mayyO | na kevalam
   praśāntyabhāva mātram anayoḥ | kintv aniṣṭaṃ cety āha vyasaneti | he	praSAnti aBAva  mAtram anayoH | kintu anizwam ca iti Aha vyasana iti | he
   bhagavan tasmāt tava śuklāṃ sattva maya līlādhiṣṭhātrīṃ tanuṃ śrī viṣṇu 	Bagavan tasmAt tava SuklAm sattva  maya  lIlA aDizWAtrIm tanum SrI  vizNu 
   rūpāṃ kuśalā nipuṇā bhajanti sevante na tv anyāṃ brahma rudra rūpāṃ te	rUpAm kuSalAH nipuNAH Bajanti sevante na tu anyAm brahma rudra  rUpAm te
   bhajanti anusaranti | na tu dakṣa bhairavādi rūpām | kathambhūtāṃ svasya	Bajanti anusaranti | na tu dakza BErava Adi rUpAm | kaTamBUtAm svasya
   tavāpi dayitāṃ loka śānti karatvāt |	tava api dayitAm loka  SAnti kara tvAt |
   nanu mama rūpam api sattvātmakam iti prasiddhaṃ | tarhi kathaṃ tasyāpi	nanu mama rUpam api sattva Atmakam iti prasidDam | tarhi kaTam tasya api
   māyāmayatvam eva | nahi nahīty āha sātvatāḥ śrī bhāgavatā yat sattvaṃ	mAyA maya tvam eva | na hi na hi iti Aha sAtvatAH SrI  BAgavatA yat sattvam
   puruṣasya tava rūpaṃ prakāśam uśanti manyante yataś ca sattvāt loko	puruzasya tava rUpam prakASam uSanti manyante yatas ca sattvAt lokaH 
   vaikuṇṭhākhyaḥ prakāśate tad abhayam ātma sukhaṃ para brahmānanda 	vEkuNWa AKyaH prakASate tat aBayam Atma  suKam para  brahma Ananda 
   svarūpam evalakṣaṇa svarūpa śakti vṛtti viśeṣa ucyate |	sva rUpam eva lakzaNa  svarUpa  Sakti vRtti viSezaH ucyate |
   sattvaṃ viśuddhaṃ vasudeva śabditaṃ	sattvam viSudDam vasudeva  Sabditam
   yad īyate tatra pumān apāvṛtaḥ | [BhP 4.3.23]	yat Iyate tatra pumAn apAvRtaH | [Bhj 4.3.23]
   ityādy udāhariṣyamāṇānusārāt | agocaratve hetuḥ prakṛti guṇaḥ | sattvam	ityAdi udAharizyamANa anusArAt | agocara tve hetuH prakRti guNaH | sattvam
   ity	iti 
   aśuddha sattva lakṣaṇa prasiddhy anusāreṇa tathābhūtaś cic chakti vṛtti 	aSudDa  sattva  lakzaNa  prasidDi  anusAreNa taTABUtaH cic  Sakti  vRtti 
   viśeṣaḥ sattvam iti saṅgati lābhāc ca | tataś ca tasya	viSezaH sattvam iti saFgati  lABAt ca | tatas ca tasya
   svarūpa śakti vṛttitvena	svarUpa  Sakti vRtti tvena
   svarūpātmataivety uktam tad abhayam ātma sukham iti | arthāntare	svarUpa Atma tA eva iti uktam tat aBayam Atma  suKam iti | arTa antare
   bhagavad vigrahaṃ prati rūpaṃ yad etad [BhP 2.8.2] ityādau śuddha sattva 	Bagavat  vigraham prati rUpam yat etat [Bhj 2.8.2] ityAdO SudDa  sattva 
   svarūpa mātratva pratijñābhaṅgaḥ | abhayam ity ādau prāñjalatā hāniś ca	sva rUpa  mAtra tva  pratijQA BaFgaH | aBayam iti AdO prAQjalatA hAniH ca
   bhavati | anyat padasyaikasyaiva rajas tamaś ceti dvir āvṛttau pratipatti 	Bavati | anyat padasya ekasya eva rajaH tamaH ca iti dvis  A vRttO pratipatti 
   gauravaṃ cotpadyate | pūrvam api nānye iti dvivacanenaiva parāmṛṣṭe |	gOravam ca utpadyate | pUrvam api na anye iti dvivacanena eva parAmRzwe |
   tasmād asti prasiddhād anyat svarūpa bhūtaṃ sattvam |	tasmAt asti prasidDAt anyat svarUpa BUtam sattvam |
   yad evaikādaśe yat kāya eṣa bhuvana traya sanniveśa [BhP 11.4.4] ityādau	yat eva ekAdaSe yat kAyaH eza Buvana  tra ya  sanniveSa [Bhj 11.4.4] iti AdO
   jñānaṃ svata ity atra ṭīkā kṛn mataṃ yasya svarūpa bhūtāt sattvāt tanu 	jQAnam svatas iti atra wIkA kRn matam yasya sva rUpa BUtAt sattvAt tanu 
   bhṛtāṃ jñānam ity anena | tathā paro rajaḥ savitur jāta vedā devasya	BRtAm jQAnam iti anena | taTA paraH rajaH savituH jAta  vedAH devasya
   bharga	Barga
   [BhP 5.7.14] ity ādau śrī bharata jāpye tan mataṃ paro rajaḥ rajasaḥ	[Bhj 5.7.14] iti AdO SrI  Barata  jApye tan  matam paraH rajaH rajasaH
   prakṛteḥ	prakRteH
   paraṃ śuddha sattvātmakam ity ādinā | ataeva prākṛtāḥ sattvādayo guṇā	param SudDa  sattva Atmakam iti AdinA | ataeva prAkRtAH sattva AdayaH guNA
   jīvasyaiva na tv īśasyeti śrūyate | athaikādaśe sattvaṃ rajas tama iti	jIvasya eva na tu ISasya iti SrUyate | aTa ekAdaSe sattvam rajaH tamaH iti
   guṇā	guNA
   jīvasya naiva me [BhP 11.25.12] iti |	jIvasya na eva me [Bhu 11.25.12] iti |
   śrī bhagavad upaniṣatsu ca  	SrI  Bagavat  upanizatsu ca  
   ye caiva sāttvikā bhāvā rājasās tāmasāś ca ye |	ye ca eva sAttvikAH BAvAH rAjasAH tAmasAH ca ye |
   matta eveti tān viddhi na tv ahaṃ teṣu te mayi ||	mattaH eva iti tAn vidDi na tu aham tezu te mayi ||
   tribhir guṇa mayair bhāvair ebhiḥ sarvam idaṃ jagat |	triBiH guNa mayEH BAvEH eBiH sarvam idam jagat |
