   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   ṇātmātārasthapodaṇḍī dhanvī namyaḥ paraḥ phalī /	Na-AtmA-tAra-sTapodaNxI DanvI namyaH paraH PalI /
   balirbhagomanuryajño rāmo lakṣīpatirvaraḥ // PS_1,1.89 //	baliH-BagaH-manuH-yajQaH rAmaH lakzIpatiH-varaH // PS_1,1.89 //
   śāntasaṃvit ṣaḍguṇaśca sārātmā haṃsalālukau /	SAnta-saMvid zaxguNaH-ca sAra-AtmA haMsa-lAlukO /
   akārādyaiḥsarvavarṇairvācyā ete prakīrtitāḥ // PS_1,1.90 //	akAra-AdyEH-sarva-varNEH-vAcyAH ete prakIrtitAH // PS_1,1.90 //
   kṣavācyo nṛsiṃhastu sarvajīvaniyāmakaḥ /	kzavAcyaH nRsiMhaH-tu sarva-jIva-niyAmakaH /
   ekapañcāśadvarṇātmā matṛkāmantrar iritaḥ // PS_1,1.91 //	ekapaQcASat-varNa-AtmA matRkA-mantrar iritaH // PS_1,1.91 //
   nārāyaṇāṣṭavarṇāśca caturvyāhṛtibhiḥ kramāt /	nArAyaNa-azwa-varNAH-ca catur-vyAhRtiBiH kramAt /
   vāsudevadvādaśārṇamantrobhūnmahadātmakaḥ // PS_1,1.92 //	vAsudeva-dvAdaSa-arNa-mantra-uBUt-mahat-AtmakaH // PS_1,1.92 //
   keśavādyāḥ dvādaśaiva tanmantrākṣara devatāḥ /	keSava-AdyAH dvAdaSa-eva tad-mantra-akzara devatAH /
   trivāraṃ viṣṇunaivoktān mantrān nārāyaṇādabhūt // PS_1,1.93 //	tri-vAram vizNunA-eva-uktAn mantrAn nArAyaNAt-aBUt // PS_1,1.93 //
   gayatrī brahmaḥṛṣikā dviguṇādvādaśākṣarāt /	gayatrI brahmaHRzikA dviguNA-dvAdaSa-akzarAt /
   keśavādyāścaturviṃśat gāyatrīvarṇadevatāḥ // PS_1,1.94 //	keSava-AdyAH-caturviMSat gAyatrI-varNa-devatAH // PS_1,1.94 //
   gāyatryāḥ pauruṣaṃ sūktaṃ sūktānmantrāstu vaiṣṇavāḥ /	gAyatryAH pOruzam sUktam sUktAn-mantrAH-tu vEzNavAH /
   puṃsūktapratipādyastu puruṣo harirīritaḥ // PS_1,1.95 //	puMsUkta-pratipAdyaH-tu puruzaH hariH-IritaH // PS_1,1.95 //
   viṣṇumantrodito viṣṇuḥ sarvātmā parikīrtitaḥ /	vizNu-mantra-uditaH vizNuH sarva-AtmA parikIrtitaH /
   praṇavoṣṭau vyāhṛtayo mātrṛkādvādaśākṣarau // PS_1,1.96 //	praNava-uzwO vyAhRtayaH mAtrRkA-dvAdaSa-akzarO // PS_1,1.96 //
   gāyatrī brahmaḥṛṣikā puṃsūktaṃ vaiṣṇavaṃ tathā /	gAyatrI brahmaHRzikA puMsUktam vEzNavam taTA /
   aṣṭāvete mahāmantrāḥ vaidikāḥsarvasiddhidāḥ // PS_1,1.97 //	azwO=-ete mahA-mantrAH vEdikAH-sarva-sidDi-dAH // PS_1,1.97 //
   puṃsūktātsarvavedānāṃ vyaktirāsīditi śrutiḥ /	puMsUktAt-sarva-vedAnAm vyaktiH-AsIt-iti SrutiH /
   durgayānantarūpiṇyānanta vedodito hariḥ // PS_1,1.98 //	durgayA-ananta-rUpiNyA-ananta veda-uditaH hariH // PS_1,1.98 //
   tayārthito 'khilādhyakṣaḥ svātmāsṛṣṭimacīkḷpat // PS_1,1.99 //	tayA-arTitaH aKila-aDyakzaH sva-Atma-asRzwim-acIk?pad // PS_1,1.99 //
   iti śrī paratattavanirṇaye prakāśasaṃhitāyāṃ prathamaparicchede prathamo	iti SrI para-tattava-nirNaye prakASa-saMhitAyAm praTama-paricCede praTamaH-
   'dhyāyaḥ	aDyAyaH
   śrīhaṃsa uvāca	SrI-haMsaH uvAca
   saṃstuto bhagavānevaṃ tadaivotthāya keśavaḥ /	saMstutaH BagavAn-evam tadA-eva-utTAya keSavaH /
   śūnyanāmātha jagṛhe paruṣākhyāṃ tanuṃ hariḥ // PS_1,2.1 //	SUnya-nAmA-aTa jagRhe paruza-AKyAm tanum hariH // PS_1,2.1 //
   puruṣaḥ sarvarūpāṇāṃ vyaktābīja ivasthitaḥ /	puruzaH sarva-rUpANAm vyakta-abIjaH iva-sTitaH /
   sonantātmā vyāptatanuḥ viśvakukṣiritīritaḥ // PS_1,2.2 //	sonanta-AtmA vyApta-tanuH viSva-kukziri-ti-IritaH // PS_1,2.2 //
   puruṣādvāsudevādyāścatvāro hyabhavaṃstataḥ /	puruzAt-vAsudeva-AdyAH-catvAraH hi-aBavan=-tatas /
   vāsudevaḥ saṅkarṣaṇaḥ pradyumnaścāniruddhakaḥ // PS_1,2.3 //	vAsudevaH saFkarzaNaH pradyumnaH-ca-anirudDakaH // PS_1,2.3 //
   śvetaraktapītanīlāḥ vāsudevādayaḥ kramāt /	Sveta-rakta-pIta-nIlAH vAsudeva-AdayaH kramAt /
   muktyaihṛtyai tathā guptai sṛṣṭyai svecchātanurhariḥ // PS_1,2.4 //	mukti-A-ehRtyE taTA guptEH sRzwyE sva-icCA-tanuH-hariH // PS_1,2.4 //
   śūnyanāmnī ramādevī śrīrbhūtvā puruṣaṃśritā /	SUnya-nAmnI ramA-devI SrIH-BUtvA puruzaMSritA /
   saivamāyājayābhūtvā kṛtiḥśāntiritīritā // PS_1,2.5 //	sA-evam-AyA-jaya-aBUtvA kRtiH-SAntiH-iti-IritAH // PS_1,2.5 //
   vāsudevādi bhāryāsīt sarvadā sānapāyinī /	vAsudeva-Adi BAryA-AsIt sarvadA sA-anapAyinI /
   caturmukho vāsudevaḥ brahmaṇo bimbarūpakaḥ // PS_1,2.6 //	caturmuKaH vAsudevaH brahmaNaH bimba-rUpakaH // PS_1,2.6 //
   saṅkarṣaṇaḥ sahasrāsyaḥ phaṇirāḍbimbarūpakaḥ /	saFkarzaNaH sahasra-AsyaH PaNirAj-bimba-rUpakaH /
   pradyumno mārabimbātmā hyatisundaravigrahaḥ // PS_1,2.7 //	pradyumnaH mAra-bimba-AtmA hi-ati-sundara-vigrahaH // PS_1,2.7 //
   bimbātmā kāmaputrasyāniruddhāsyāniruddhakaḥ /	bimba-AtmA kAmaputrasya-anirudDa-asya-anirudDakaH /
   sakṛddholkādi pañcātmā viśvādyaṣṭatanurhariḥ // PS_1,2.8 //	sakRdha-ulkA-Adi paQca-AtmA viSva-Adi-azwa-tanuH-hariH // PS_1,2.8 //
   vimalādinavātmābhūt samatsyādi daśākṛtiḥ /	vimala-Adi-nava-AtmA-aBUt sa-matsya-Adi daSa-AkRtiH /
   śaktyādi dvādaśātmābhūdvārakādi ṣoḍaśarūpavān // PS_1,2.9 //	Sakti-Adi dvAdaSa-AtmA-aBU-dvAraka-Adi zoxaSa-rUpavAn // PS_1,2.9 //
   ānandādi trayoviṃśadrūpa āsītparātparaḥ /	Ananda-Adi trayoviMSat-rUpaH AsIt-parAtparaH /
   keśavādi caturviṃśadrūpavānabhavaddhariḥ // PS_1,2.10 //	keSava-Adi caturviMSat-rUpavAn-aBavat-hariH // PS_1,2.10 //
   ajādi pañcāśadrūpaḥ tatobhūt puruṣottamaḥ /	aja-Adi paQcASat-rUpaH tatoBUt puruzottamaH /
   kālākhyaṣaṣṭhirūpobhūt saṃvatsaraniyāmakaḥ // PS_1,2.11 //	kAla-AKya-zazWi-rUpoBUt saMvatsara-niyAmakaH // PS_1,2.11 //
   nārāyaṇādi śatakaḥ sa viśvādi sahasrakaḥ /	nArAyaNa-Adi SatakaH sa viSvAdi sahasrakaH /
   parādyanantarūpobhūdātmabheda vivarjitaḥ // PS_1,2.12 //	para-Adi-ananta-rUpa-uBUt-Atma-Beda vivarjitaH // PS_1,2.12 //
   tadājñayaiva devī sā ramāpi bahurūpiṇī /	tad-AjQayA-eva devI sA ramA-api bahu-rUpiNI /
   sa tayānantarūpiṇyā anantarūpo ramāpatiḥ // PS_1,2.13 //	sa tayA-ananta-rUpiNyAH ananta-rUpaH ramApatiH // PS_1,2.13 //
   svarato 'pi tayā devyā tatprītyarthaṃ dayānidhiḥ /	svarataH api tayA devyA tad-prIti-arTam dayA-niDiH /
   layakālāṣṭamāṃśantu nītvā puruṣapuṅgavaḥ // PS_1,2.14 //	laya-kAla-azwamAMSantu nItvA puruza-puFgavaH // PS_1,2.14 //
   prārambhe sṛṣṭikālasya ajādīnsraṣṭumārabhat // PS_1,2.15 //	prAramBe sRzwi-kAlasya aja-AdIn-srazwum-AraBat // PS_1,2.15 //
   iti śrī paratatvanirṇaye prakāśasaṃhitāyāṃ prathamaparicchede	iti SrI para-tatva-nirNaye prakASa-saMhitAyAm praTama-paricCede
   dvitīyodhyāyaḥ	dvitIyaH-DyAyaH
   śrīhaṃsa uvāca	SrI-haMsaH uvAca
   jālarandhrāt grahāviṣṭā sūryaraśmiprabhā bhuvi /	jAla-ranDrAt graha-AvizwA sUrya-raSmi-praBA Buvi /
   yadā bhavanti tasyāḥ samīpe tirgāsthitaḥ // PS_1,3.1 //	yadA Bavanti tasyAH samIpe tirgAsTitaH // PS_1,3.1 //
   keśaṃ yadodgamayato so martyānāṃ paramāṇukaḥ /	keSam yadA-udgamayataH saH martyAnAm paramANukaH /
   martyottamo bhaktipākāt maharādiṣu saṃsthitaḥ // PS_1,3.2 //	martya-uttamaH Bakti-pAkAt mahar-Adizu saMsTitaH // PS_1,3.2 //
   yaṃ kālaṃ sūkṣmadṛgveda sa kālaḥ paramāṇukaḥ /	yam kAlam sUkzmadRS-veda sa kAlaH paramANukaH /
   tacchatāṃśo hi devānāṃ tacchatāṃśobjajasya tu // PS_1,3.3 //	tat-Sata-aMSo hi devAnAm tat-Sata-aMSobja-jasya tu // PS_1,3.3 //
   bhūmau sthitānāṃ martyānāṃ yaḥ kālaḥ paramāṇukaḥ /	BUmO sTitAnAm martyAnAm yaH kAlaH paramANukaH /
   tacchatāṃśo devaloke sthitasya paramāṇukaḥ // PS_1,3.4 //	tat-Sata-aMSaH deva-loke sTitasya paramANukaH // PS_1,3.4 //
   tatkoṭyaṃśo ramāyāśca tadanantāṃśako hareḥ /	tad-kowi-aMSaH ramAyAH-ca tad-ananta-aMSakaH hareH /
   paramāṇuriti proktaḥ tadanyairnyaiva budhyate // PS_1,3.5 //	paramANuH-iti proktaH tad-anyEH-nyA-eva buDyate // PS_1,3.5 //
   paramāṇudvayātmātu kālo dvyaṇukar iritaḥ /	paramANu-dvaya-AtmAtu kAlaH dvi-aNukar iritaH /
   paramāṇutrayātmasya tryaṇukaḥ parikīrtitaḥ // PS_1,3.6 //	paramANu-traya-Atmasya tri-aNukaH parikIrtitaH // PS_1,3.6 //
   truṭiḥ tribhiśca tryaṇukaiḥ vedhaḥ syāttatrayeṇa tu /	truwiH triBiH-ca tri-aNukEH veDaH syAt-tatrayeNa tu /
   lavovedhatrayātmāsyāt nimeṣastu tribhirlavaiḥ // PS_1,3.7 //	lavaH-veDa-traya-Atma-AsyAt nimezaH-tu triBiH-lavEH // PS_1,3.7 //
   kṣaṇastrinamiṣaḥ proktaḥ kāṣṭhākhyā kṣaṇapañcakāt /	kzaNaH-trinamizaH proktaH kAzWa-AKyA kzaNa-paQcakAt /
   kāṣṭhābhiḥ pañcadaśabhiḥ laghukālaḥ prakīrtitaḥ // PS_1,3.8 //	kAzWABiH paQcadaSaBiH laGu-kAlaH prakIrtitaH // PS_1,3.8 //
   laghubhiḥ pañcadaśabhiḥ vināḍikā prakīrtitā /	laGuBiH paQcadaSaBiH vinAxikA prakIrtitA /
   vināḍikā ṣaṣṭhibhiryā nāḍikaikā bhaviṣyati // PS_1,3.9 //	vinAxikA zazWiBiH-yA nAxikA-ekA Bavizyati // PS_1,3.9 //
   tābhyāṃ muhūrtatriṃśadbhiḥ ahorātramitīritam /	tAByAm muhUrtatriMSadBiH ahorAtram-iti-Iritam /
   aṣṭamāṃśānnyūnasaptaghaṭikābhiśca saptabhiḥ // PS_1,3.10 //	azwama-aMSAn-nyUna-sapta-GawikABiH-ca saptaBiH // PS_1,3.10 //
   sapādasaptabhirvāpi sārdhasaptabhireva vā /	sa-pAda-saptaBiH-vA-api sArDa-saptaBiH-eva vA /
   yāmaḥ kāloṣṭabhirvāpi kālabhedena coditaḥ // PS_1,3.11 //	yAmaH kAla-uzwaBiH-vA-api kAla-Bedena coditaH // PS_1,3.11 //
   yāmaiścaturbhiḥ ahaḥ syāt tāvadbhiryāminīmatā /	yAmEH-caturBiH ahar syAt tAvadBiH-yAminImatA /
   ahorātratriṃśatā ca māsaḥ pakṣadvayātmakaḥ // PS_1,3.12 //	ahorAtra-triMSatA ca mAsaH pakza-dvaya-AtmakaH // PS_1,3.12 //
   tābhyāṃ ṛtustatrayeṇaivā ayanaṃ parikīrtitam /	tAByAm RtuH-tatrayeNa-evA ayanam parikIrtitam /
   karkādi kārmukānteṣu yadā carati bhaskaraḥ // PS_1,3.13 //	karkA-Adi kArmuka-antezu yadA carati BaskaraH // PS_1,3.13 //
   dakṣiṇāyanamuddhiṣṭaṃ devānāṃ rātrisaṃjñakam /	dakziNAyanam-udDizwam devAnAm rAtri-saMjQakam /
   yāvannakrādike bhānau mithunānteṣu tiṣṭhati // PS_1,3.14 //	yAvat-nakra-Adike BAnO miTuna-antezu tizWati // PS_1,3.14 //
   uttarāyaṇamuddhiṣṭaṃ tāvatkālaṃ vicakṣaṇaiḥ /	uttarAyaNam-udDizwam tAvatkAlam vicakzaNEH /
   ayanābhyāṃ vatsarastu dviṣaṇmāsātmakaḥ smṛtaḥ // PS_1,3.15 //	ayanAByAm vatsaraH-tu dvizaz-mAsa-AtmakaH smRtaH // PS_1,3.15 //
   ṣaṣṭhyuttaratriśatakaiḥ ahorātraiśca vatsaraḥ /	zazWI-uttara-tri-SatakEH ahorAtrEH-ca vatsaraH /
   aṣṭāviṃśatsahasraistu lakṣasaptadaśābdataḥ // PS_1,3.16 //	azwAviMSat-sahasrEH-tu lakza-saptadaSa-abdataH // PS_1,3.16 //
   kḷptaḥ kṛtayugastasmāt tretāpādonamucyate /	k?ptaH kRta-yugaH-tasmAt tretA-pAda-Unam-ucyate /
   sahasraṣaṇṇavatyetalakṣadvādaśa saṃmitaḥ // PS_1,3.17 //	sahasrazaNNavati-eta-lakza-dvAdaSa saMmitaH // PS_1,3.17 //
   tretāyugastataḥ pādanyūno dvāparar iritaḥ /	tretA-yugaH-tatas pAda-nyUnaH dvAparar iritaH /
   catuḥṣaṣṭhisahasreta aṣṭalakṣamitismṛtaḥ // PS_1,3.18 //	catuHzazWi-sahasreta azwa-lakzam-iti-smRtaH // PS_1,3.18 //
   dvāpararāttu kalistasmādardhapādamitismṛtaḥ /	dvApararAt-tu kaliH-tasmAt-arDa-pAda-m-iti-smRtaH /
   dviṣoḍaśasahasretāccaturlakṣātmakaḥ kaliḥ // PS_1,3.19 //	dvi-zoxaSa-sahasretAt-catur-lakza-AtmakaH kaliH // PS_1,3.19 //
   kṛtatretādvāparaśca kaliśceti caturyugāḥ /	kRta-tretA-dvAparaH-ca kaliH-ca-iti caturyugAH /
   caturyugātmakaḥ kālo mahāyuga itīryate // PS_1,3.20 //	catur-yuga-AtmakaH kAlaH mahA-yugaH iti-Iryate // PS_1,3.20 //
   viṃśatsahasretalakṣatricatvāriṃśadabdakaiḥ /	viMSat-sahasreta-lakzatricatvAriMSat-abdakEH /
   kḷptaḥ kālaḥ kāladṛgbhiḥ mahāyuga itīryate // PS_1,3.21 //	k?ptaH kAlaH kAla-dRgBiH mahA-yugaH iti-Iryate // PS_1,3.21 //
   ṣaṣṭhyuttarābdatriṃśatāddevānāmabdar iritaḥ /	zazWI-uttara-abda-triMSatAt-devAnAm-abdar iritaH /
   tādṛgabdasahasrāṇāṃ catuṣkoṇaḥ kṛtāhvayaḥ // PS_1,3.22 //	tAdRS-abda-sahasrANAm catuzkoNaH kRta-AhvayaH // PS_1,3.22 //
   tretā tu trisahasrābdā dvisahasrābdasaṃmitaḥ /	tretA tu tri-sahasra-abdAH dvi-sahasra-abda-saMmitaH /
   dvāparastu tato nyūnasahasrābdamitaḥ kaliḥ // PS_1,3.23 //	dvAparaH-tu tatas nyUna-sahasra-abda-mitaH kaliH // PS_1,3.23 //
   kṛtasyādau kṛtānte ca pṛthagabdaścatuḥśatam /	kRtasya-AdO kRtAnte ca pRTak-abdaH-catuHSatam /
   sandhistretāyugādyante pṛthagabdaśatatrayam // PS_1,3.24 //	sanDiH-tretA-yuga-Adi-ante pRTak-abda-Sata-trayam // PS_1,3.24 //
   sandhistu dvāparādyante pṛthagabdaśatadvayam /	sanDiH-tu dvApara-Adi-ante pRTak-abda-Sata-dvayam /
   śatābdaḥsaṃmitaḥ kālaḥ sandhirādyantayoḥ kaleḥ // PS_1,3.25 //	Sata-abdaH-saMmitaH kAlaH sanDiH-Adi-antayoH kaleH // PS_1,3.25 //
   evaṃ daivena mānena dvadaśābdāḥsahasrataḥ /	evam dEvena mAnena dvadaSa-abdAH-sahasrataH /
   kḷptaḥ kālaḥ kālavidbhiḥ mahāyuga itīryate // PS_1,3.26 //	k?ptaH kAlaH kAla-vidBiH mahA-yugaH iti-Iryate // PS_1,3.26 //
   sārdhāṣṭādaśalakṣābde yugānām ekasaptati /	sa-arDa-azwAdaSa-lakza-abde yugAnAm ekasaptati /
   milito manusandhātabhogakāla udīritaḥ // PS_1,3.27 //	militaH manu-sanDAta-Boga-kAle udIritaH // PS_1,3.27 //
   dviṣaṭśatābdasamito layaḥ svāyambhuvottaraḥ /	dvi-zaz-Sata-abda-samitaH layaH svAyamBuva-uttaraH /
   svārociṣādikānāntu ṣaṇṇāmapyantare layaḥ // PS_1,3.28 //	svArociza-Adi-kAnAntu zaNNAm-api-antare layaH // PS_1,3.28 //
   pañcādaśaśatābdātmā layaḥ kāla udīritaḥ /	paQcAdaSa-Sata-abda-AtmA layaH kAlaH udIritaH /
   caturdaśaśatābdātmā layaḥ kāla udāhṛtaḥ // PS_1,3.29 //	caturdaSa-Sata-abda-AtmA layaH kAlaH udAhRtaH // PS_1,3.29 //
   tadanya manvantareṣu niyamātsarvadaiva tu /	tat-anyaH manvantarezu niyamAt-sarvadA-eva tu /
   caturyugasahasrantu brahmaṇo dina u(divamu)cyate // PS_1,3.30 //	caturyuga-sahasrantu brahmaNaH dinaH u(divam-u)cyate // PS_1,3.30 //
   rītriśca tāvatī tasya ahorātrā tu tādṛśā /	rItriH-ca tAvatI tasya ahorAtrA tu tAdRSAH /
   ṣaṣṭhyuttaratriśatakādvatsaro 'jasya kīrtitaḥ // PS_1,3.31 //	zazWI-uttara-tri-SatakAt-vatsaraH ajasya kIrtitaH // PS_1,3.31 //
   evaṃ vidhaśatābdātmā kālo 'jasyāyuṣo mataḥ /	evam viDa-Sata-abda-AtmA kAlaH ajasya-AyuzaH mataH /
   vāsudevātsūkṣmatanuṃ svaśatābdādime kṣaṇe // PS_1,3.32 //	vAsudevAt-sUkzma-tanum sva-Sata-abda-At-ime kzaNe // PS_1,3.32 //
   yaḥ prāpa saśatābdāyuḥ tadrūpāṇītarāṇi tu /	yaH prApa sa-SatAbda-AyuH tad-rUpANi-itarANi tu /
   māsatrayādhikādabdaṣaṭkāt pūrvatanādabhūt // PS_1,3.33 //	mAsa-traya-aDikAt-abda-zawkAt pUrvatanAt-aBUt // PS_1,3.33 //
   sṛjyānāṃ sūkṣmasāṃśānāṃ sūkṣmasṛṣṭiścatustanoḥ /	sRjyAnAm sUkzma-sa-aMSAnAm sUkzma-sRzwiH-catur-tanoH /
   sṛṣṭānāṃ sūkṣmataḥ pūrvaṃ sthūladehastato 'bhavat // PS_1,3.34 //	sRzwAnAm sUkzmataH pUrvam sTUla-dehaH-tatas aBavat // PS_1,3.34 //
   nārāyaṇādajādrudrāt kramāt kālānusārataḥ /	nArAyaNAt-ajAt-rudrAt kramAt kAlAnusArataH /
   yāvatāṃ sūkṣmataḥ sṛṣṭiḥ sthūlasṛṣṭistu tāvatā // PS_1,3.35 //	yAvatAm sUkzmataH sRzwiH sTUla-sRzwiH-tu tAvatA // PS_1,3.35 //
   aṇḍādūrdhvaṃ cāvṛtayaḥ sthūladehāśca tanmayāḥ /	aNxAt-UrDvam ca-AvRtayaH sTUla-dehAH-ca tad-mayAH /
   ādyasya brahmaṇaḥ pūrvaṃ pañcāśadvatsarānti me // PS_1,3.36 //	Adyasya brahmaNaH pUrvam paQcASat-vatsarAnti me // PS_1,3.36 //
   dine vyatīte tadrātrāvaṇḍasṛṣṭirathābhavat /	dine vyatIte tad-rAtrO=-aNxa-sRzwiH-aTa-aBavat /
   tadantaḥ svapato viṣṇorjalamadhyagatasya tu // PS_1,3.37 //	tad-antar svapataH vizNoH-jala-maDya-gatasya tu // PS_1,3.37 //
   nābhyutthitāllokamayāt prākṛtāt padmakośataḥ /	na-aByutTitAt-loka-mayAt prAkRtAt padma-koSataH /
   pādmaḥ brahmotthitaḥsārdhaṃ saptatriṃśaccatanmaye // PS_1,3.38 //	pAdmaH brahma-utTitaH-sArDam saptatriMSat-ca-tanmaye // PS_1,3.38 //
   dināntime niśāyāṃ ca nāśo 'ṇḍasya jagatpateḥ /	dina-antime niSAyAm ca nASaH aNxasya jagatpateH /
   vyutkramātpūrvamānena sthūlasūkṣmasya nāśanam // PS_1,3.39 //	vyutkramAt-pUrva-mAnena sTUla-sUkzmasya nASanam // PS_1,3.39 //
   evaṃ śatāyuṣaḥ pūrṇedviparārdhātmakāyuṣī /	evam Sata-AyuzaH pUrNet-vipara-arDa-Atmaka-AyuzI /
   svayaṃ cātmasvarūpāṇām ekībhāvaṃ karotyajaḥ // PS_1,3.40 //	svayam ca-Atma-svarUpANAm ekIBAvam karoti-ajaH // PS_1,3.40 //
   yāvatkālenātmasṛṣṭirekībhāvastu tāvatā /	yAvat-kAlena-Atma-sRzwiH-ekIBAvaH-tu tAvatA /
   ekībhūtepi ramati tathaikībhūtamāyayā // PS_1,3.41 //	ekIBUtepi ramati taTA-ekIBUta-mAyayA // PS_1,3.41 //
   tāvatkālaṃ tataḥ paścāt suptavat svāpayatyajaḥ /	tAvatkAlam tatas paScAt supta-vat svApayati-ajaH /
   sārdhadviṣaḍbrahmavarṣamiti śiṣṭe niśānti me // PS_1,3.42 //	sArDa-dvi-zaz-brahma-varzam-iti Sizwe niSAnti me // PS_1,3.42 //
   bhāge punaḥ pūrvavacca ātmasṛṣṭyādimīśvaraḥ /	BAge punar pUrvavat-ca Atma-sRzwi-Adim-ISvaraH /
   karoti puruṣastasya nāyurmānaṃ vidhīyate // PS_1,3.43 //	karoti puruzaH-tasya na-AyuH-mAnam viDIyate // PS_1,3.43 //
   evaṃ vidhāparimitānantānantaparātmake /	evam viDa-aparimita-ananta-ananta-para-Atmake /
   kāle bhāvinyapi hariḥ sṛṣṭyādīśaḥ kariṣyati // PS_1,3.44 //	kAle BAvini-api hariH sRzwyAt-ISaH karizyati // PS_1,3.44 //
   svantantrasyāsya maryādā asvatantrairna śakyate /	su-antantrasya-asya maryAdA asvatantrEH-na Sakyate /
   laṅghituṃ pūrṇaśakterhi vaśe sarvaṃ carācaram // PS_1,3.45 //	laFGitum pUrNa-SakteH-hi vaSe sarvam carAcaram // PS_1,3.45 //
   ye 'nantakālatastasya mṛtijanmajarādayaḥ /	ye ananta-kAlataH-tasya mRti-janma-jarA-AdayaH /
   āyāsaduḥkhadaurbhāgyacintāsantāpapūrvakāḥ // PS_1,3.46 //	AyAsa-duHKa-dOrBAgya-cintA-santApa-pUrvakAH // PS_1,3.46 //
   ajñānerṣyāsūyapīḍā kāmakrodhabhayādayaḥ /	ajQAna-IrzyA-asUya-pIxA kAma-kroDa-Baya-AdayaH /
   kṛśatārogaduritapuṇyalepādayastathā // PS_1,3.47 //	kRSa-tA-roga-durita-puNya-lepa-AdayaH-taTA // PS_1,3.47 //
   āśāhāniśca vṛddhiśca kṣuttṛṭkampādayastathā /	ASA-hAniH-ca vRdDiH-ca kzuD-tRz-kampa-AdayaH-taTA /
   nāsan doṣāḥ nottaratra bhaviṣyantyakhileśvare // PS_1,3.48 //	na-Asan dozAH na-uttaratra Bavizyanti-aKila-ISvare // PS_1,3.48 //
   tattaddurjanasaṅghaiśca ye kalpyāḥ doṣasañcayāḥ /	tad-tad-durjana-saFGEH-ca ye kalpyAH doza-saQcayAH /
   tattadvirodhi suguṇānantyapūrṇasya mīluṣaḥ // PS_1,3.49 //	tat-tat-viroDi su-guNa-Anantya-pUrNasya mIluzaH // PS_1,3.49 //
   taddoṣaleśagandhopi na viṣṇoriti niścayaḥ /	tad-doza-leSa-ganDA-upi na vizNoH-iti niScayaH /
   yaḥ kālaḥ paramāṇvādi dviparārdhāvasānakaḥ // PS_1,3.50 //	yaH kAlaH paramANu-Adi dvi-parArDa-avasAnakaH // PS_1,3.50 //
   teṣu sarveṣu kāleṣu tattannāmnā ramāpatiḥ /	tezu sarvezu kAlezu tad-tad-nAmnA ramApatiH /
   tatsāmarthyavyañjakaśca sthitvā rakṣatyajaḥ prabhuḥ // PS_1,3.51 //	tad-sAmarTya-vyaQjakaH-ca sTitvA rakzati-ajaH praBuH // PS_1,3.51 //
   nityaḥ kālapravāhoyamanityāstu kṣaṇādayaḥ /	nityaH kAla-pravAha-uyama-nityAH-tu kzaNa-AdayaH /
   naṣṭeṣu satsukāleṣu vartamāneṣu vai kramāt // PS_1,3.52 //	nazwezu sat-sukAlezu vartamAnezu vE kramAt // PS_1,3.52 //
   avināśya svarūposau tatpravāhasya rakṣakaḥ /	avinASya svarUpa-UsO tad-pravAhasya rakzakaH /
   śatābdaḥsaṃmitaḥ kālo brahmaṇaḥ parasaṃjñakaḥ // PS_1,3.53 //	Sata-abdaH-saMmitaH kAlaH brahmaNaH para-saMjQakaH // PS_1,3.53 //
   sakālastu nimeṣākhyaḥ ahaśca parameśituḥ /	sa-kAlaH-tu nimeza-AKyaH ahar-ca parameSituH /
   ityajñajanabuddhīnāṃ śuddhyarthamupacaryate // PS_1,3.54 //	iti-ajQa-jana-budDInAm SudDi-arTam-upacaryate // PS_1,3.54 //
   ata āhurmahāprājñāḥ kālatonantamīśvaram /	atas AhuH-mahA-prAjQAH kAlatonantam-ISvaram /
   athāpi parakālāntaṃ brahmāṇaṃ janayanvibhuḥ // PS_1,3.55 //	aTa-api para-kAla-antam brahmANam janayan-viBuH // PS_1,3.55 //
   aṅgīkaroti taṃ kālamahoyadakhileśvaraḥ /	aFgIkaroti tam kAlam-ahoyat-aKila-ISvaraH /
   rātrimānādi śūnyopi tāvantaṃ kālamīśvaraḥ // PS_1,3.56 //	rAtrimAna-Adi SUnya-upi tAvantam kAlam-ISvaraH // PS_1,3.56 //
   rātritvena caratyevaṃ brahmādīnsvāpayatyajaḥ /	rAtri-tvena carati-evam brahma-AdIn-svApayati-ajaH /
   niśāyāścarame bhāge ātmasṛṣṭyādimīśvaraḥ // PS_1,3.57 //	niSAyAH-carame BAge Atma-sRzwi-Adim-ISvaraH // PS_1,3.57 //
   karoti puruṣastasya āyurmānaṃ vidhīyate /	karoti puruzaH-tasya AyuH-mAnam viDIyate /
   evaṃ vidhāparimitānantānantaparātmakaḥ // PS_1,3.58 //	evam viDa-aparimita-ananta-ananta-para-AtmakaH // PS_1,3.58 //
   kālāvyatītā sṛṣṭyādi karturviṣṇoḥ parātmanaḥ /	kAla-avyatItA sRzwi-Adi kartuH-vizNoH para-AtmanaH /
   svarūpendriyavadyosau kālorūpādivarjitaḥ // PS_1,3.59 //	svarUpa-indriya-vadyosO kAlaH-rUpa-Adi-varjitaH // PS_1,3.59 //
   pūrvapūrvasu kāleṣu naṣṭeṣvanye bhavanti hi /	pUrva-pUrvasu kAlezu nazwezu-anye Bavanti hi /
