   <B1> dvitīyaḥ pādaḥ /	<B1> dvitIyaH pAdaH /
   yajñasādhanatvasādṛśyādgauṇyā gṛhapatimattvayogena vendraprakāśakatvam /	yajQa-sADana-tva-sAdRSyAt-gONyAH gRhapatimat-tva-yogena vA-indra-prakASaka-tvam /
   astu vā rūḍhatvādagnereva dhātuvācyasamīpasthitiṃ prati karmatvam, natu	astu vA rUXa-tvAt-agneH-eva DAtu-vAcya-samIpa-sTitim prati karma-tvam, na-tu
   mantrasādhyābhidhānaṃ prati; tasyāśābdatvāt /	mantra-sADya-aBiDAnam prati; tasya-aSAbda-tvAt /
   naca "upānmantrakaraṇa" iti smṛtyā ātmanepadavidhānena	na-ca "upAn-mantra-karaNa" iti smRtyA Atmanepada-viDAnena
   dhātormantrakaraṇārthakatvāvagatestasyābhidhānalakṣakatvāvagatiḥ;	DAtoH-mantra-karaNa-arTaka-tva-avagateH-tasya-aBiDAna-lakzaka-tva-avagatiH;
   ātmanepadabalena samīpasthiterabhidhānaprayojana- katvāvagatermantrasya	Atma-nepada-balena samIpa-sTiteH-aBiDAna-prayojana katvA-avagateH-mantrasya
   svasādhyābhidhānāṅgatvasaṃbandhena	sva-sADya-aBiDAna-aFga-tva-saMbanDena
   samīpasthitiviśeṣaṇatvopapatterabhidhānalakṣaṇāyāṃ pramāṇābhāvāt /	samIpa-sTiti-viSezaNa-tva-upapatteH-aBiDAna-lakzaNAyAm pramANa-aBAvAt /
   ataśca śakyārtha eva samīpasthitau gārhapatyasya karmatvam, indrasya	atas-ca Sakya-arTaH eva samIpa-sTitO gArhapatyasya karma-tvam, indrasya
   tvārthike 'bhidhāne iti na virodhaḥ /	tvArTike aBiDAne iti na viroDaH /
   yathā cāsya dhātoḥ sakarmakatvaṃ tathā kaustubha eva prapañcitam /	yaTA ca-asya DAtoH sa-karmaka-tvam taTA kOstuBaH eva prapaQcitam /
   ataḥ kathaṃ mantrasya gauṇer'the viniyoga iti cenna; aindyeti	atas kaTam mantrasya gONer-aTe viniyogaH iti ca-id-na; Endya-iti
   taddhitenaikapade viśeṣyatayā pratipādyamānasya mantrasya	tad-hitena-eka-pade viSezya-tayA pratipAdyamAnasya mantrasya
   cayanānupayogīndrāṅgatvabodhakatvānupapatteḥ /	cayana-anupayogi-indra-aFga-tva-boDaka-tva-anupapatteH /
   atastasya śakyabodhakālīnendraprakāśakatvānuvādatvenāpyupapatterna	atas-tasya Sakya-boDa-kAlIna-indra-prakASakatva-anuvAda-tvena-api-upapatteH-na
   dvitīyādau tadbalena lakṣaṇāśrayaṇaṃ rūḍhityāgo vā /	dvitIya-AdO tad-balena lakzaNa-ASrayaNam rUXi-tyAgaH vA /
   naca samīpasthitiṃ prati agneḥ karmatvam; tathātve tasyābhidhānaṃ	na-ca samIpa-sTitim prati agneH karma-tvam; taTA-tve tasya-aBiDAnam
   pratyapyaṅgatve uddeśyānekatvakṛtavākyabhedāpatterātmanepadavirodhena ca	pratyapi-aFga-tve uddeSya-aneka-tva-kRta-vAkya-Beda-ApatteH-Atma-nepada-viroDena ca
   dhātunaiva svaśakyārthaviśiṣṭābhidhānalakṣaṇāvaśyambhāvādviśeṣyabhūte	DAtunA-eva sva-SakyA-arTa-viSizwa-aBiDAna-lakzaNa-avaSyamBAvAt-viSezya-BUte
   'bhidhāna eva mantrasya karaṇatvapratītergārhapatyasya ca	aBiDAnaH eva mantrasya karaNa-tva-pratIteH-gArhapatyasya ca
   cayanasaṃskāryasya karmatvapratīterarthācca sāmīpyapratiyogitvena tasyaiva	cayana-saMskAryasya karma-tva-pratIteH-arTAt-ca sAmIpya-pratiyogi-tvena tasya-eva
   grahaṇopapattestātparyagrāhakabrāhmaṇānurodhena mantrasyaiva gauṇyā vṛttyā	grahaNa-upapatteH-tAtparya-grAhaka-brAhmaNa-anuroDena mantrasya-eva gONyA vRttyA
   gārhapatye viniyoga iti siddham // 2 // 17 //	gArhapatye viniyogaH iti sidDam // 2 // 17 //
   iti dvitīyaṃ śrutivaśāt gauṇe 'pyarthe mantraviniyogādhikaraṇam //	iti dvitIyam Sruti-vaSAt gONe api-arTe mantra-viniyoga-aDikaraNam //
   <B2> pūrvatra gauṇasāmarthyasya viniyojakaśrutikalpanayā	<B2> pUrvatra gONa-sAmarTyasya viniyojaka-Sruti-kalpanayA
   viniyojakatvanirākaraṇena liṅgasya mukhyārtha eva viniyojakatve ukte	viniyojaka-tva-nirAkaraNena liFgasya muKya-arTaH eva viniyojaka-tve ukte
   aindyāṃ liṅgasya gauṇer'the viniyojakaśrutisahāyatayāpi prasaktasya	EndyAm liFgasya gONer-aTe viniyojaka-Sruti-sahAya-tayA-api prasaktasya
   viniyojakatvābhāvasyehāpavādakaraṇādāpavādikīmanantarasaṅgatiṃ tathā	viniyojaka-tva-aBAvasya-iha-apa-vAda-karaNa-Ada-apavAdikIm-anantara-saFgatim taTA
   saṃśayaṃ pūrvādhikaraṇasiddhāntenaiva pūrvapakṣotthānātpārthakyena	saMSayam pUrva-aDikaraNa-sidDAntena-eva pUrva-pakza-utTAnAt-pArTakyena
   pūrvapakṣañca spaṣṭatvādanuktvā "vacanāttvi"ti yathāsūtraṃ siddhāntameva	pUrva-pakzaQca spazwa-tvAt-anuktvA "vacanAt-tu-i"ti yaTAsUtram sidDAntam-eva
   pratijānīte ------ yatratviti //	pratijAnIte ----- yatratu-iti //
   atra bhāṣyakāreṇa "niveśanaḥ saṅgamano vasūnāṃ viśvārūpābhicaṣṭe śacībhiḥ	atra BAzya-kAreNa "niveSanaH saFga-manaH vasUnAm viSvArUpa-aBicazwe SacIBiH
   deva iva savitā satyadharmendrasya samare vasūnāmityaindyā	devaH iva savitA satya-Darmendrasya samare vasUnAm-iti-EndyA
   gārhapatyamupatiṣṭhate" ityudāhṛtam /	gArhapatyam-upatizWate" iti-udAhRtam /
   tadupamānārthīyena nakāreṇaindrasyopamānatayā	tad-upamAna-arTIyena nakAreNa-Endrasya-upamAna-tayA
   nirdeśādindrasyāprādhānyāvagateḥ "dhruvodhvarastathā soma āpaścaivānilo	nirdeSAt-indrasya-aprADAnya-avagateH "DruvoDvaraH-taTA somaH ApaH-ca-eva-anilaH-
   nalaḥ /	nalaH /
   pratyūṣaśca prabhāsaśca vasavo 'ṣṭau prakīrtitāḥ /	pratyUzaH-ca praBAsaH-ca vasavaH azwO prakIrtitAH /
   " ityanalaśabdavācyasyāgneḥ vasutvasmaraṇāduktānāṃ madhye 'gnirnāma	" iti-anala-Sabda-vAcyasya-agneH vasu-tva-smaraNAt-uktAnAm maDye agniH-nAma
   vasurindra iva saṃgrāme sthitavānityagnistutipratīteḥ "vasūnāṃ	vasuH-indraH iva saMgrAme sTitavAn-iti-agni-stuti-pratIteH "vasUnAm
   pāvakaścāsmī" ti cāgnereva vasuśreṣṭhatvasmaraṇāt tatsamīpe 'nyeṣāṃ	pAvakaH-ca-asmI" ti ca-agneH-eva vasuSrezWa-tva-smaraNAt tad-samIpe anyezAm
   vasūnāṃ saṅgamanādvasusaṃgamanatvenāpyagnereva	vasUnAm saFga-manAt-vasu-saMgamana-tvena-api-agneH-eva
   stutipratīteraindrītvenodāhāryatvānupapatterayukta- mityupekṣya	stuti-pratIteH-EndrI-tvena-udAhArya-tva-anupapatteH-ayukta miti-upekzya
   balābalādhikaraṇabhāṣyalikhitaśākhāntarapatitamaindramantramudāharati	bala-abala-aDikaraNa-BAzya-liKita-SAKA-antara-patitam-Endra-mantram-udAharati
   ------- yathāgnau kadācaneti //	------ yaTA-agnO kadAcana-iti //
   tataśca tasya mantraliṅgasya svarasato gārhapatyamiti	tatas-ca tasya mantra-liFgasya svarasataH gArhapatyam-iti
   dvitīyāśrutyupaṣṭambhakatayā siddhāntaviparītatvānnodāharaṇatvam //	dvitIya-aSruti-upazwamBaka-tayA sidDAnta-viparIta-tvAt-na-udAharaNa-tvam //
   yattu -------- nyāyasudhākṛtā balābalādhikaraṇe śrutyā liṅgabādhasya	yat-tu ------- nyAya-suDA-kRtAH bala-abala-aDikaraNe SrutyA liFga-bADasya
   vakṣyamāṇatvānmantrasya svarasasāmarthyānālocanenaiva	vakzyamANa-tvAt-mantrasya svarasa-sAmarTyAn-Alocanena-eva
   devatārthataddhitaśrutyā prādhānyāvagamāt "rāmarāvaṇayoryuddhami"ti	devatA-arTa-tad-hita-SrutyA prADAnya-avagamAt "rAma-rAvaNayoH-yudDam-i"ti
   vaccānanyacaritatvenendrasyāpi	vat-ca-ananya-carita-tvena-indrasya-api
   indropamānarūpastutisaṃbhavāttadudāharaṇopapattiḥ ------- ityuktam /	indra-upamAna-rUpa-stuti-saMBavAt-tad-udAharaNa-upapattiH ------ iti-uktam /
   tanmantrasya svarasasāmarthyatyāgena svasyaiva svopamānakatvakalpanayā	tad-mantrasya svarasa-sAmarTya-tyAgena svasya-eva sva-upamAnaka-tva-kalpanayA
   gauṇasāmarthyamādāya aindrītvopapādane tasya	gONa-sAmarTyam-AdAya EndrI-tvA-upapAdane tasya
   taddhitaśrutyupaṣṭambhakatvena taddhitaśrutyapaṣṭabdhaliṅgena	tad-hita-Sruti-upazwamBaka-tvena tad-hita-Sruti-apazwabDa-liFgena
   kārakaśrutisaṃkocānupapatteḥ pūrvapakṣāyogānmantrasvarasasā-	kAraka-Sruti-saMkoca-anupapatteH pUrva-pakzA-yogAt-mantra-svarasasA-
   marthyālocanenāgniprakāśakatvasyaivāpattyā	marTya-Alocanena-agni-prakASaka-tvasya-eva-ApattyA
   gauṇārthaviniyogarūpasiddhāntaviparītatvādayuktam //	gONa-arTa-viniyoga-rUpa-sidDAnta-viparIta-tvAt-ayuktam //
   naca kadācaneti pṛthagudāharaṇe balābalādhikaraṇena paunaruktyam; iha	na-ca kadAcana-iti pRTak-udAharaNe bala-abala-aDikaraNena pOnarukti-am; iha
   śrutisahāyena gauṇārtheviniyoge upapādite tatra kevalaliṅgamātreṇa	Sruti-sahAyena gONa-arTe-viniyoge upapAdite tatra kevala-liFga-mAtreNa
   aindyaṅgatvamapyastu iti śaṅkāyā nirasanīyatvena tatparihāropapatteḥ, ata	Endi-aFga-tvam-api-astu iti SaFkAyAH nirasanIya-tvena tad-parihAra-upapatteH, ata
   idamevodāhṛtaṃ yuktamiti bhāvaḥ //	idam-eva-udAhRtam yuktam-iti BAvaH //
   gārhapatya iti //	gArhapatyaH iti //
   agnāviti śeṣaḥ /	agnO=-iti SezaH /
   gārhapatyamiti dvitīyāśrutyā virodhaṃ darśayituṃ pūrvapakṣī	gArhapatyam-iti dvitIya-aSrutyA viroDam darSayitum pUrva-pakzI
   pratyavatiṣṭhate -------- atheti //	pratyavatizWate ------- aTa-iti //
   sthitvetīti //	sTitvA-iti-iti //
   itiśabdena aindraṃ prakāśayediti śeṣapūraṇaṃ sūcitam /	iti-Sabdena Endram prakASayet-iti Seza-pUraNam sUcitam /
   gṛhapaterayamiti vyutpattyā gārhapatyaśabda indramapyabhivadituṃ samartha	gRhapateH-ayam-iti vyutpattyA gArhapatya-SabdaH indram-api-aBivaditum samarTa
   ityāha -------- gṛhapatimattvayogeneti //	iti-Aha ------- gRhapatimat-tva-yogena-iti //
   gṛhapatisaṃbandhitvayogenetyarthaḥ //	gRhapati-saMbanDi-tva-yogena-iti-arTaH //
   nanu ------- vācyasya tiṣṭhatidhātvarthasyākarmakatvātkathaṃ tatra	nanu ------ vAcyasya tizWati-DAtu-arTasya-akarmaka-tvAt-kaTam tatra
   karmatvenāgneranvaya ityata āha -------- yathācāsyeti //	karma-tvena-agneH-anvayaH iti-atas Aha ------- yaTA-Aca-asya-iti //
   "akarmakācce"	"akarmakAt-ce"
   tyetaduttarasūtreṇākarmakāttiṣṭhaterātmanepadavidhānenāsminsūtre	ti-etad-uttara-sUtreNa-akarmakAt-tizWateH-Atmanepada-viDAnena-asmin-sUtre
   tiṣṭhativācyasyāpyarthasya sāmīpyarūpaphalāvacchinnatvena	tizWati-vAcyasya-api-arTasya sAmIpya-rUpa-Pala-avacCinna-tvena
   sakarmakatvavivakṣaṇena sāmīpyasya	sa-karmaka-tva-vivakzaNena sAmIpyasya
   pratiyogitāsaṃbandhenāgnyāśrayatvenāgneḥ karmatvenānvayopapattiriti	pratiyogitA-saMbanDena-agni-ASraya-tvena-agneH karma-tvena-anvaya-upapattiH-iti
   kaustubhe prapañcitamityarthaḥ //	kOstuBe prapaQcitam-iti-arTaH //
   dvitīyāśrutyā gārhapatyārthatvāvagamena na mukhyārthaviniyogasaṃbhavaḥ;	dvitIya-aSrutyAH gArhapatya-arTa-tva-avagamena na muKya-arTa-viniyoga-saMBavaH;
   yogyatājñānābhāve 'pi pratibandhakībhūtāyogyatāniścayābhāvamātreṇa	yogya-tA-jQAna-aBAve api pratibanDakIBUta-ayogya-tA-niScaya-aBAva-mAtreNa
   śabdabodhasya saṃbhavena śrautaviniyogopapattestasyaiva	Sabda-boDasya saMBavena SrOta-viniyoga-upapatteH-tasya-eva
   balavatastātparyagrāhakasya sattvena mantragataindraśabde	balavataH-tAtparya-grAhakasya sattvena mantra-gata-Endra-Sabde
   yajñasādhanatvasādṛśyādidhātvarthāyogādvā jaghanyavṛttyāśrayaṇe	yajQa-sADana-tva-sAdRSya-Adi-DAtu-arTa-ayogAt-vA jaGanya-vRtti-ASrayaNe
   bādhakābhāvāt /	bADaka-aBAvAt /
   nahi dvitīyāśrutyā gārhapatyāṅgatvabodhasyeva taddhitaśrutyā	na-hi dvitIya-aSrutyA gArhapatya-aFga-tva-boDasya-iva tad-hita-SrutyA
   mantrasyendrāṅgatvabodhaḥ saṃbhavati /	mantrasya-indra-aFga-tva-boDaH saMBavati /
   taddhitoktasya prādhānyena pratipādyatvarūpadevatātvasya viśeṣyatayā	tad-hita-uktasya prADAnyena pratipAdya-tva-rUpa-devatA-tvasya viSezya-tayA
   pratipādyamantraṃ prati viśeṣaṇatayā pratīyamānatvena	pratipAdya-mantram prati viSezaNa-tayA pratIyamAna-tvena
   viparītaviśeṣaṇaviśeṣyabhāvakalpanāṃ vinā indrāṅgatvasya	viparIta-viSezaNa-viSezya-BAva-kalpanAm vinA indra-aFga-tvasya
   śīghramapratīterindroddeśena mantravidhāvekaprasaratābhaṅgāpatteśca,	SIGram-apratIteH-indra-uddeSena mantra-viDO=-eka-prasaratA-BaFga-ApatteH-ca,
   indrasya cayane 'nupayogenoddeśyatvānupapatteśca /	indrasya cayane anupayogena-uddeSya-tva-anupapatteH-ca /
   atastaddhitaśrutyā dvitīyāśrutibādhāyogādgārhapatyābhidhānārthatvameva	atas-tat-hita-SrutyAH dvitIyA-Sruti-bADA-yogAt-gArhapatya-aBiDAna-arTa-tvam-eva
   yuktamityabhipretya dūṣayati -------- neti //	yuktam-iti-aBipretya dUzayati ------- na-iti //
   atastasyeti //	atas-tasya-iti //
   taddhitasyetyarthaḥ /	tat-hitasya-iti-arTaH /
   rūḍhityāga iti //	rUXi-tyAgaH iti //
   gārhapatyaśabdasya "saṃjñāyāṃ dhenuṣyā" ityataḥ saṃjñāyāmityanuvṛttau	gArhapatya-Sabdasya "saMjQAyAm DenuzyA" iti-atas saMjQAyAm-iti-anuvRttO
   "gṛhapatinā saṃyukteñyaḥ" ityanuśāsanena ñyapratyayāntatvenāgnau	"gRhapatinA saMyukteQyaH" iti-anuSAsanena Qya-pratyaya-anta-tvena-agnO
   rūḍhatvapratīterna tyāga ityarthaḥ //	rUXa-tva-pratIteH-na tyAgaH iti-arTaH //
   yattu samīpasthitiṃ prati gārhapatyasya karmatvamabhidhānaṃ prati	yat-tu samIpa-sTitim prati gArhapatyasya karma-tvam-aBiDAnam prati
   indrasyetyuktaṃ tadanūdya dūṣayati --------- naceti //	indrasya-iti-uktam tat-anUdya dUzayati -------- na-ca-iti //
   tathātva iti //	taTAtvaH iti //
   asmiṃśca pakṣe mantrasyaupacārikakaraṇatvāpatteḥ samīpasthiteśca	asmin=-ca pakze mantrasya-OpacArika-karaNa-tva-ApatteH samIpa-sTiteH-ca
   gārhapatyasaṃskārārthatve indrābhidhānārthatvāyogānmantrasya taddvārā	gArhapatya-saMskAra-arTa-tve indra-aBiDAna-arTa-tva-ayogAt-mantrasya tad-dvArA
   aupacārikakaraṇatvasyāpyanupapatterātmanepadānurodhena vā	OpacArika-karaNa-tvasya-api-anupapatteH-Atmanepada-anuroDena vA
   indrābhidhānārthatvāṅgīkāre gārhapatyasyāgre upayogenepsitatvāt	indra-aBiDAna-arTa-tva-aFgIkAre gArhapatyasya-agre upayogena-Ipsita-tvAt-
   saktuvadanīpsitakarmatvāṅgīkāre ca	saktu-vat-anIpsita-karma-tva-aFgIkAre ca
   uddeśyānekatvanimittavākyabhedāpattestṛtīyāntaṃ dvitīyāntañca padaṃ	uddeSya-aneka-tva-nimitta-vAkya-Beda-ApatteH-tRtIya-antam dvitIyAn-taQca padam
   yathāśrutamaṅgīkṛtya ātmanepadatātparyagrāhakānurodhena dhātunaiva	yaTASrutam-aFgIkRtya AtmanA-ipadatAtparyagrAhaka-anuroDena DAtunA-eva
   svaśakyārthaviśiṣṭābhidhānalakṣaṇayā tatraiva gārhapatyasya karmatvena	sva-SakyA-arTa-viSizwa-aBiDAna-lakzaNayA tatra-eva gArhapatyasya karma-tvena
   mantrasyaca karaṇatvenānvayāṅgīkāro yuktaḥ /	mantrasya-ca karaNa-tvena-anvaya-aFgIkAraH yuktaH /
   gārhapatyasyaca sādhanatvenopayogābhāve 'pi saṃskāryatvena	gArhapatyasya-ca sADana-tvena-upayoga-aBAve api saMskArya-tvena
   tatsattvādabhidhānakarmatvopapattyā tadanurodhena mantragatendrapadasya	tad-sattvAt-aBiDAna-karma-tva-upapattyA tad-anuroDena mantra-gata-indra-padasya
   gārhapatyaparatvaṃ kathañcidāśritya siddhaḥ śrutibalādgauṇārthaviniyoga	gArhapatya-paratvam kaTaQcid-ASritya sidDaH Sruti-balAt-gONa-arTa-viniyoga
   ityarthaḥ /	iti-arTaH /
   prayojanaṃ spaṣṭatvānnoktam //	prayojanam spazwa-tvAt-na-uktam //
   iti dvitīyaṃ liṅgasya śrutibalādgauṇārthe 'pi viniyojakatvādhikaraṇam //	iti dvitIyam liFgasya Sruti-balAt-gONa-arTe api viniyojaka-tva-aDikaraNam //
   (aindyadhikaraṇam) - - - - - - - <B1> (3 adhikaraṇam / ) (a.3 pā.2 adhi.3)	(A-Endi-aDikaraNam)        <B1> (3 aDikaraNam / ) (a.3 pA.2 aDi.3)
   tathā //	taTA //
   darśapūrṇamāsayoḥ haviṣkṛdehītitriravaghnannāhvayati iti śrutam /	darSa-pUrNamAsayoH havizkRt-ehItitriH-avaGnan=-Ahvayati iti Srutam /
   tatra nāyaṃ mantra āhvānāṅgam; tasya "patnyeva haviṣkṛdupottiṣṭhati sā	tatra na-ayam mantraH AhvAna-aFgam; tasya "patnI-eva havizkRt-upottizWati sA
   devānabhidrutyāvahantī"ti vacanānusāreṇābhāvapratīteḥ /	devAn-aBidrutya-avahanti-i"ti vacana-anusAreNa-aBAva-pratIteH /
   ata iti karaṇenāvaghātāṅgameva /	atas iti karaNena-avaGAta-aFgam-eva /
   ataścāsminvākye trirabhyāsapuṃstvamantraviśiṣṭāvaghātavidhireva /	atas-ca-asmin-vAkye tris-aByAsa-puMstva-mantra-viSizwa-avaGAta-viDiH-eva /
   patnīvākye ca guṇādeva karmāntaravidhiḥ /	patnI-vAkye ca guNAt-eva karma-antara-viDiH /
   tayoścāvaghātayorvrīhīnavahantītyanena saṃskāryasaṃbandhe 'pi	tayoH-ca-avaGAtayoH-vrIhIn-avahanti-iti-anena saMskArya-saMbanDe api
   dṛṣṭārthatvādvikalpaḥ /	dRzwa-arTa-tvAt-vikalpaH /
   patnīkartṛke 'vaghāte cāvarakṣodiva iti mantraḥ /	patnIkartRke avaGAte ca-avarakzodivaH iti mantraH /
   ataścānena vākyenāvaghāte gauṇa evāyaṃ mantro viniyujyate /	atas-ca-anena vAkyena-avaGAte gONaH eva-ayam mantraH viniyujyate /
   gauṇatvopapādanaṃ kaustubhe draṣṭavyam /	gONa-tva-upapAdanam kOstuBe drazwavyam /
   āhvayatiśca tadācaṣṭe ityevaṃ śakyārthabodhakālīnāhvānaprakāśanānuvāda iti	AhvayatiH-ca tadA-Acazwe iti-evam Sakya-arTa-boDa-kAlIn-AhvAnaprakASana-anuvAdaH iti
   prāpte -------- mukhya evāhvāne viniyogasaṃbhave mantrasyāhvayatipadasya	prApte ------- muKyaH eva-AhvAne viniyoga-saMBave mantrasya-Ahvayati-padasya
   ca gauṇatvakalpanāyāṃ pramāṇābhāvāt /	ca gONa-tva-kalpanAyAm pramANa-aBAvAt /
   māntravarṇikaviniyogavidhikalpanayā sadhyāsamityādinā	mAntra-varNika-viniyoga-viDi-kalpanayA sa-DyAsam-ityAdinA
   grahaṇāderivāhvānasyāpi niyamena prāptatvāt /	grahaNa-AdeH-iva-AhvAnasya-api niyamena prApta-tvAt /
   patnyevetyasya tu nāyamartho yatsvayamevottiṣṭhati na tvāhūteti, apitu	patnI-eva-iti-asya tu na-ayam-arTaH yat-svayam-eva-uttizWati na tu-AhUta-iti, apitu
   patnyeva nānyeti /	patnI-eva na-anyA-iti /
   ato nedamapi tadabhāvabodhakam /	atas na-idam-api tad-aBAva-boDakam /
   ataścāhvāne mantrasya liṅgādeva prāptatvādāhvānasya ca	atas-ca-AhvAne mantrasya liFgAt-eva prApta-tvAt-AhvAnasya ca
   sahāyārthatvenāvaghātakāla eva prāpteravaghnannityasyāpyanuvādakatvāt	sahAya-arTa-tvena-avaGAta-kAle eva prApteH-avaGnat-nityasya-api-anuvAdaka-tvAt-
   kevalaṃ trirabhyāsamātraṃ vidhīyate,	kevalam tris-aByAsa-mAtram viDIyate,
   trirabhyāsapuṃstvaviśiṣṭāvaghātasamānakālataiva vāhvānoddeśena vidhīyata	tris-aByAsa-puMstva-viSizwa-avaGAta-samAna-kAlatA-eva vA-AhvAna-uddeSena viDIyata
   iti na gauṇe 'vaghāte viniyogaḥ // 3 // 18 // iti tṛtīyaṃ	iti na gONe avaGAte viniyogaH // 3 // 18 // iti tRtIyam
   haviṣkṛdadhikaraṇam //	havizkRt-aDikaraNam //
   <B2> darśapūrṇamāsayoriti //	<B2> darSa-pUrNamAsayoH-iti //
   siddhānte mantrasya liṅgādāhvānāṅgatve	sidDAnte mantrasya liFgAt-AhvAna-aFga-tve
   sāmānyasaṃbandhabodhakapramāṇapradarśanāya darśapūrṇamāsayorityuktam /	sAmAnya-saMbanDa-boDaka-pramANa-pradarSanAya darSa-pUrNamAsayoH-iti-uktam /
   haviṣkṛdehīti //	havizkRt-ehi-iti //
   devānāmarthe yā haviḥ saṃpādayati sā patnī haviṣkṛttāmenāṃ saṃbodhya	devAnAm-arTe yA haviH saMpAdayati sA patnI havizkRttAm-enAm saMboDya
   adhvaryurehīti brūte /	aDvaryuH-ehi-iti brUte /
   tamimaṃ mantramadhvaryustriruccāryāvaghātaṃ kurvannāhvayatītyarthaḥ /	tam-imam mantram-aDvaryuH-tris-uccArya-avaGAtam kurvan=-Ahvayati-iti-arTaH /
   atraca yathā śrutyā pūrvādhikaraṇe gauṇārthaviniyogo mantrasyoktaḥ,	atra-ca yaTA SrutyA pUrva-aDikaraNe gONa-arTa-viniyogaH mantrasya-uktaH,
   tadvadeva vākyenāpi tatra prasaktasya	tadvat-eva vAkyena-api tatra prasaktasya
   viniyogasyohāpavādakaraṇādāpavādakīmanantarasaṅgatiñca spaṣṭatvādanuktvā	viniyogasya-Uha-apavAda-karaNAda-apavAdakIm-anantara-saFga-tiQca spazwa-tvAt-anuktvA
   pūrvasiddhāntahetuparasūtragataṃ tathāśabdaṃ vyākhyāsyan pūrvapakṣamāha	pUrva-sidDAnta-hetu-para-sUtra-gatam taTASabdam vyAKyAsyan pUrva-pakzam-Aha
   ------- tatreti //	------ tatra-iti //
   "patnyeva haviṣkṛdupottiṣṭhati devān ṛṣīn pitṝn sābhidrutyā'vahantī''ti	"patnyeva havizkRt-upottizWati devAn RzIn pitLn sa-aBidrutyA-avahantI-aati
   vākyāntare patnī svayamevottiṣṭhati nāhūtetyarthakaivakāreṇa	vAkya-antare patnI svayam-eva-uttizWati na-AhUta-iti-arTaka-evakAreNa
   pakṣaprāptāhvānaniyamābhāvapratīterāhvānavidhyantarasyānyathāsiddhasyādarśanādavihitāhvānasmārakatayā	pakza-prApta-AhvAna-niyama-aBAva-pratIteH-AhvAna-viDi-antarasya-anyaTA-sidDasya-adarSanAt-avihita-AhvAn-asmAraka-tayA
   mantrasyāṅgatvena vidhānānupapattiṃ tāvaddarśayati --------- tasya	mantrasya-aFga-tvena viDAna-anupapattim tAvat-darSayati -------- tasya
   patnyeveti //	patnI-eva-iti //
   etena ------- mantre trirabhyāsavidheḥ sahāyārthatvāt tasya	etena ------ mantre tris-aByAsa-viDeH sahAya-arTa-tvAt tasya
   prāptāvaghātakālānuvāda ityapi --------- apāstam; āhvānāṅgatayā	prApta-avaGAta-kAla-anuvAdaH iti-api -------- apAstam; AhvAna-aFga-tayA
   mantrasyāprāptestatra trirabhyāsavṛttyanupapatteḥ kālalakṣaṇāpatteśca /	mantrasya-aprApteH-tatra tris-aByAsa-vRtti-anupapatteH kAla-lakzaNa-ApatteH-ca /
   ataḥ pariśeṣāt "lakṣaṇahetvoḥ kriyāyā" iti sūtreṇa	atas pariSezAt "lakzaNa-hetvoH kriyAyA" iti sUtreNa
   prayojakatvāparaparyāyahetāvapi	prayojaka-tva-apara-paryAya-hetO=-api
   śatṛpratyayasmṛterabhicaranyajatītivanmantrasyāvaghātabhāvanāṅgatvameva;	SatR-pratyaya-smRteH-aBicaranyajati-iti-vat-mantrasya-avaGAta-BAvanA-aFga-tvam-eva;
   kṛdupāttabhāvanāyāmapi kārakānvayasya vyutpannatve	kRt-u-pAtta-BAvanAyAm-api kAraka-anvayasya vyutpanna-tve
   sutarāmitikaraṇaparāmṛṣṭamantrasya karaṇatayānvayopapatterityabhipretyāha	sutarA-miti-karaNa-parAmRzwa-mantrasya karaNa-tayA-anvaya-upapatteH-iti-aBipretya-Aha
   -------- ata iti //	------- atas iti //
   prāptāvaghātoddeśena trirabhyāsamantrayorvidhāne vākyabhedāpattiṃ	prApta-a=-aGAta-uddeSena tris-aByAsa-mantrayoH-viDAne vAkya-Beda-Apattim
   pariharati --------- ataśceti //	pariharati -------- atas-ca-iti //
   avaghātasya vituṣībhāvaparyantamanuṣṭhānāvaśyakatvena tatra	avaGAtasya vituzIBAva-paryantam-anuzWAna-AvaSyaka-tvena tatra
   trirabhyāsavidhyanupapattāvapi tatra mantradvārā puṃstvasyeva	tris-aByAsa-viDi-anupapattO=-api tatra mantra-dvArA puMstvasi-a-iva
   kriyānvayopapatteḥ śākhābhedena kvacintrirabhyāsayuktamantrapāṭhena	kriyA-anvaya-upapatteH SAKA-Bedena kvacintriH-aByAsa-yukta-mantra-pAWena
   trirabhyāsaprāptāvapi śākhāntare sakṛtpāṭhenāpyāmnānānniyamavidhayā	tris-aByAsa-prAptO=-api SAKA-antare sakRt-pAWena-ApyAmnAnAt-niyama-viDayA
   trirabhyāsādiviśiṣṭāvaghātavidhireva /	tris-aByAsa-Adi-viSizwa-avaGAta-viDiH-eva /
   nahyatra patnīvākyenāvaghātaḥ prāpyate; tatra	na-hi-atra patnI-vAkyena-avaGAtaH prApyate; tatra
