   akāmakṛtapāpasya Par_8.1c	akAma-kRta-pApasya Par_8.1c
   nāmadhārakavipras tu Par_3.6c	nAmaDAraka-vipraH tu Par_3.6c
   nāraṃ tu kuṇapaṃ kākaṃ Par_11.42a	nAram tu kuNapam kAkam Par_11.42a
   nāvaḥ panthās tṛṇāni ca Par_7.34b	nAvaH panTAH tRNAni ca Par_7.34b
   nāśayet tasya duṣkṛtam Par_8.9d	nASayet tasya duzkRtam Par_8.9d
   nāśuciḥ sā tatas tena Par_7.17a	na-aSuciH sA tatas tena Par_7.17a
   nāśaucaṃ nodakakriyā Par_3.14d	na-ASOcam na-udaka-kriyA Par_3.14d
   nāśaucaṃ nodakaṃ nāgniṃ Par_4.3a	na-ASOcam na-udakam na-agnim Par_4.3a
   nāśrupātaṃ ca kārayet Par_4.3b	na-aSru-pAtam ca kArayet Par_4.3b
   nāsikābhedane tathā Par_9.28b	nAsikA-Bedane taTA Par_9.28b
   nāsikye padahīnaṃ tu Par_9.29c	nAsikye pada-hInam tu Par_9.29c
   nimittāni vadhasya ṣaṭ Par_9.31d	nimittAni vaDasya zaw Par_9.31d
   niyataṃ svargagāminā Par_12.[82](81)d	niyatam svarga-gAminA Par_12.[82](81)d
   nirayaṃ yānty asaṃśayaṃ Par_2.15b	nirayam yAnti asaMSayam Par_2.15b
   nirāśās te nivartante Par_12.13a	nirASAH te nivartante Par_12.13a
   nirāśāḥ pitaras tathā Par_12.43(42)d	nirASAH pitaraH taTA Par_12.43(42)d
   nirjitya parasainyāni Par_1.61c	nirjitya para-sEnyAni Par_1.61c
   nirṇetāraś ca sarvadā Par_1.20d	nirNetAraH ca sarvadA Par_1.20d
   nirdiṣṭaṃ pañcagavyaṃ tu Par_11.28c	nirdizwam paQcagavyam tu Par_11.28c
   nirdoṣaṃ yo 'bhighātayet Par_6.17b	nirdozam yaH aBiGAtayet Par_6.17b
   nirmanthya praṇavena tu Par_11.36d	nirmanTya praNavena tu Par_11.36d
   nirvapet pañca yajñāṃś ca Par_2.6c	nirvapet paQca yajQAn ca Par_2.6c
   nivartanīyo nṛpasaṃniyuktaiḥ Par_9.48d	nivartanIyaH nRpa-saMniyuktEH Par_9.48d
   nivartante dvijātīnāṃ Par_12.3c	nivartante dvijAtInAm Par_12.3c
   niśi bandhaniruddheṣu Par_9.42a	niSi banDa-nirudDezu Par_9.42a
   niṣiddhācaraṇasya ca Par_12.60(59)b	nizidDa-AcaraNasya ca Par_12.60(59)b
   niṣkṛtir na vidhīyate Par_10.26d	nizkRtiH na viDIyate Par_10.26d
   niṣpannasarvagātras tu Par_9.16a	nizpanna-sarva-gAtraH tu Par_9.16a
   nīcakarmapravartakam Par_11.14b	nIca-karma-pravartakam Par_11.14b
   nṛtyagītair alaṃkṛtam Par_1.7d	nRtya-gItEH alaMkRtam Par_1.7d
   necchantī pāpakarmabhiḥ Par_10.25b	na-icCantI pApa-karmaBiH Par_10.25b
   netarais tu sahasraśaḥ Par_8.7d	na-itarEH tu sahasraSas Par_8.7d
   naikagrāmīṇam atithiṃ Par_1.42a	na-eka-grAmINam atiTim Par_1.42a
   naiva gacchati kartāraṃ Par_8.10a	na-eva gacCati kartAram Par_8.10a
   naiva gacchati parṣadam Par_8.10b	na-eva gacCati parzadam Par_8.10b
   nocchiṣṭaṃ kṛmidūṣitam Par_6.38b	na-ucCizwam kRmi-dUzitam Par_6.38b
   nocchiṣṭaṃ dharmato viduḥ Par_7.33d	na-ucCizwam DarmataH viduH Par_7.33d
   nocchiṣṭaṃ manur abravīt Par_7.31d	na-ucCizwam manuH abravIt Par_7.31d
   nocchiṣṭaṃ manur abravīt Par_7.32d	na-ucCizwam manuH abravIt Par_7.32d
   nyāyavartī subuddhimān Par_12.45(44)d	nyAya-vartI su-budDimAn Par_12.45(44)d
   nyāyopārjitavittena Par_12.46(45)a	nyAya-upArjita-vittena Par_12.46(45)a
   pakvaṃ vipragṛhe bhuktaṃ Par_11.19c	pakvam vipra-gRhe Buktam Par_11.19c
   pakvānnasvāmināv ubhau Par_1.51b	pakva-anna-svAminO uBO Par_1.51b
   pakveṣṭakacitāni ca Par_7.34d	pakva-izwaka-citAni ca Par_7.34d
   pakṣasaṃkhyāpramāṇena Par_4.13c	pakza-saMKyA-pramANena Par_4.13c
   pakṣiṇāṃ caiva sarveṣām Par_6.8c	pakziNAm ca-eva sarvezAm Par_6.8c
   paṅktāv ucchiṣṭabhojane Par_11.8b	paFktO ucCizwa-Bojane Par_11.8b
   pañcagavyam ṛcā pūtaṃ Par_11.33c	paQcagavyam RcA pUtam Par_11.33c
   pañcagavyaṃ ca kurvīta Par_12.4c	paQcagavyam ca kurvIta Par_12.4c
   pañcagavyaṃ ca śodhanam Par_10.39d	paQcagavyam ca SoDanam Par_10.39d
   pañcagavyaṃ pibec chūdro Par_11.3a	paQcagavyam pibet SUdraH Par_11.3a
   pañcagavyaṃ yathāvidhi Par_11.35b	paQcagavyam yaTAviDi Par_11.35b
   pañcagavyena śudhyati Par_3.43d	paQcagavyena SuDyati Par_3.43d
   pañcagavyena śudhyati Par_6.21d	paQcagavyena SuDyati Par_6.21d
   pañcagavyena śudhyati Par_7.4b	paQcagavyena SuDyati Par_7.4b
   pañcagavyena śudhyati Par_7.21b	paQcagavyena SuDyati Par_7.21b
   pañcagavyena śudhyati Par_11.10d	paQcagavyena SuDyati Par_11.10d
   pañcagavyena secayet Par_10.36d	paQcagavyena secayet Par_10.36d
   pañca trayo vā dharmajñāḥ Par_8.12c	paQca trayaH vA Darma-jQAH Par_8.12c
   pañca pūrvaṃ mayā proktās Par_8.14a	paQca pUrvam mayA proktAH Par_8.14a
   pañcamāṣān pradāya tu Par_6.50b	paQcamAzAn pradAya tu Par_6.50b
   pañca medhre tu vinyaset Par_5.17d	paQca meDre tu vinyaset Par_5.17d
   pañcamo vātmavaṃśajaḥ Par_3.8d	paQcamaH vA-Atma-vaMSa-jaH Par_3.8d
   pañcayajñaratāś ca ye Par_8.21b	paQcayajQa-ratAH ca ye Par_8.21b
   pañcayajñān na nirvapet Par_11.47d	paQcayajQAn na nirvapet Par_11.47d
   pañcayajñān svayaṃ kṛtvā Par_11.48c	paQcayajQAn svayam kRtvA Par_11.48c
   pañca sapta daśaiva vā Par_9.11d	paQca sapta daSa-eva vA Par_9.11d
   pañca saṃtapane gāvaḥ Par_9.25a	paQca saMtapane gAvaH Par_9.25a
   pañcasv āpatsu nārīṇāṃ Par_4.30c	paQcasu Apatsu nArINAm Par_4.30c
   pañcāhaṃ vā daśāhaṃ vā Par_4.9c	paQca-aham vA daSa-aham vA Par_4.9c
   pañcendriyaratā api Par_8.21d	paQca-indriya-ratAH api Par_8.21d
   pataṅgakṛmidardurāḥ Par_7.31b	pataFga-kRmi-dardurAH Par_7.31b
   pataty ardhaṃ śarīrasya Par_10.26a	patati arDam SarIrasya Par_10.26a
   patantam uddhareyus taṃ Par_6.35c	patantam udDareyuH tam Par_6.35c
   patanti narake 'śucau Par_1.56d	patanti narake aSucO Par_1.56d
   patanti narake 'śucau Par_5.25d	patanti narake aSucO Par_5.25d
   patanti narake 'śucau Par_6.59b	patanti narake aSucO Par_6.59b
   patitādiṣv akāmataḥ Par_4.9b	patita-Adizu akAmatas Par_4.9b
   patitānām adhaḥ kramāt Par_12.54(53)d	patitAnAm aDas kramAt Par_12.54(53)d
   patitānāṃ ca saṃbhāṣe Par_12.19c	patitAnAm ca saMBAze Par_12.19c
   patitārdhaśarīrasya Par_10.26c	patita-arDa-SarIrasya Par_10.26c
   patitāṃ paṅkamagnāṃ vā Par_8.34c	patitAm paFka-magnAm vA Par_8.34c
   patitāṃ pāpakāriṇīm Par_10.29b	patitAm pApa-kAriNIm Par_10.29b
   patimātṛgṛhaṃ yac ca Par_10.36a	pati-mAtR-gRham yat ca Par_10.36a
   patir anyo vidhīyate Par_4.30d	patiH anyaH viDIyate Par_4.30d
   patyau jīvati kuṇḍaḥ syāt Par_4.23c	patyO jIvati kuNxaH syAt Par_4.23c
   patyau jīvati yā nārī Par_4.17a	patyO jIvati yA nArI Par_4.17a
   patraṃ vā kusumaṃ phalam Par_10.20b	patram vA kusumam Palam Par_10.20b
   pade pade yajñaphalam Par_3.39c	pade pade yajQa-Palam Par_3.39c
   payaś ca tāmravarṇāyā Par_11.29c	payaH ca tAmra-varNAyAH Par_11.29c
   paranārīsutas tathā Par_4.28b	para-nArI-sutaH taTA Par_4.28b
   parapākanivṛttasya Par_11.45c	para-pAka-nivRttasya Par_11.45c
   parapākanivṛtto 'sau Par_11.48a	para-pAka-nivRttaH asO Par_11.48a
   parapākaratas tu saḥ Par_11.49b	para-pAka-rataH tu saH Par_11.49b
   parapākaratasya ca Par_11.45d	para-pAka-ratasya ca Par_11.45d
   parapuṃsā vivarjitā Par_10.34d	para-puMsA vivarjitA Par_10.34d
   parapuṃsā samanvitā Par_10.29d	parapuMsA samanvitA Par_10.29d
   paramo dharma ucyate Par_1.64b	paramaH DarmaH ucyate Par_1.64b
   paraṃ sthānaṃ prayāsyati Par_3.32d	param sTAnam prayAsyati Par_3.32d
   parākaḥ pañcame mataḥ Par_4.12b	parAkaH paQcame mataH Par_4.12b
   parānnenopajīvati Par_11.48d	para-annena-upajIvati Par_11.48d
   parāśaramataṃ puṇyaṃ Par_1.36a	parASara-matam puNyam Par_1.36a
   parāśaramahāmuniḥ Par_1.10b	parASara-mahA-muniH Par_1.10b
   parāśaravaco yathā Par_2.2b	parASara-vacaH yaTA Par_2.2b
   parāśaravaco yathā Par_3.2d	parASara-vacaH yaTA Par_3.2d
   parāśaravaco yathā Par_7.1b	parASara-vacaH yaTA Par_7.1b
   parāśareṇa cāpy uktaṃ Par_1.34c	parASareNa ca-api uktam Par_1.34c
   parāśarena pūrvoktā Par_6.1c	parASarena pUrva-uktA Par_6.1c
   parityāgena mṛṇmayam Par_6.39d	parityAgena mRNmayam Par_6.39d
   paritrātā yadā gacchet Par_3.33c	paritrAtA yadA gacCet Par_3.33c
   parivittiḥ parivettā Par_4.25a	parivittiH parivettA Par_4.25a
   parivrāḍ brahmacāriṇām Par_1.52b	parivrAj brahmacAriNAm Par_1.52b
   parivrāḍ yogayuktaś ca Par_3.30c	parivrAj yoga-yuktaH ca Par_3.30c
   pariṣattvaṃ na teṣv asti Par_8.15c	parizad-tvam na tezu asti Par_8.15c
   pariṣattvaṃ na vidyate Par_8.4d	parizad-tvam na vidyate Par_8.4d
   pariṣat sā prakīrtitā Par_8.12d	parizad sA prakIrtitA Par_8.12d
   pariṣat sā prakīrtitā Par_8.14d	parizad sA prakIrtitA Par_8.14d
   pariṣat sābhidhīyate Par_8.11d	parizad sA-aBiDIyate Par_8.11d
   parṇapṛṣṭhe na bhuñjīta Par_12.44(43)c	parNa-pRzWe na BuQjIta Par_12.44(43)c
   paryaṅke saṃsthito 'pi vā Par_6.66d	paryaFke saMsTitaH api vA Par_6.66d
   parṣad eṣā daśāvarā Par_8.27d	parzad ezA daSa-avarA Par_8.27d
   palam ekaṃ kuśodakam Par_11.31d	palam ekam kuSa-udakam Par_11.31d
   palam ekaṃ pibet sarpis Par_4.8c	palam ekam pibet sarpiH Par_4.8c
   palaṃ ekaṃ ghṛtasya tu Par_6.38d	palam ekam GRtasya tu Par_6.38d
   palāṇḍuvṛkṣaniryāsa- Par_11.9c	palANxu-vRkza-niryAsa Par_11.9c
   palāśānāṃ ca vṛntataḥ Par_5.15d	palASAnAm ca vRntataH Par_5.15d
   pavitraṃ triṣu lokeṣu Par_11.38c	pavitram trizu lokezu Par_11.38c
   pavitraṃ pāpanāśanam Par_1.36b	pavitram pApa-nASanam Par_1.36b
   pavitraṃ pāpaśodhanam Par_11.28d	pavitram pApa-SoDanam Par_11.28d
   pavitrāṇi japed dvijaḥ Par_8.41d	pavitrANi japet dvijaH Par_8.41d
   pavitrāṃ vedamātaram Par_5.1d	pavitrAm vedamAtaram Par_5.1d
   paśuveṣyādigamane Par_10.14a	paSu-vezya-Adi-gamane Par_10.14a
   paścāt snānaṃ samācaret Par_2.4d	paScAt snAnam samAcaret Par_2.4d
   paścād dharmaṃ samācaret Par_7.36d	paScAt Darmam samAcaret Par_7.36d
   pāṇinā muktabhājane Par_6.66b	pANinA mukta-BAjane Par_6.66b
   pāṇipūrānnabhojanaḥ Par_11.54d	pANi-pUra-anna-BojanaH Par_11.54d
   pātaḥ pañcamaṣaṣṭhayoḥ Par_3.16b	pAtaH paQcama-zazWayoH Par_3.16b
   pādaprakṣālanena ca Par_1.43d	pAda-prakzAlanena ca Par_1.43d
   pādam ekam anantarā Par_7.13b	pAdam ekam anantarA Par_7.13b
   pādam ekam anantarā Par_7.14b	pAdam ekam anantarA Par_7.14b
   pādahīnaṃ caret pūrvā Par_7.14a	pAda-hInam caret pUrvA Par_7.14a
   pādaṃ pādaṃ tu hatyāyāś Par_9.49c	pAdam pAdam tu hatyAyAH Par_9.49c
   pādaṃ śūdras tad ācaret Par_6.29d	pAdam SUdraH tat Acaret Par_6.29d
   pādaṃ hastena saṃspṛśet Par_6.65d	pAdam hastena saMspRSet Par_6.65d
   pādāṅgulīṣu ṣaḍ dadyād Par_5.18c	pAda-aFgulIzu zaw dadyAt Par_5.18c
   pādukāstho na bhuñjīta Par_6.66c	pAdukA-sTaH na BuQjIta Par_6.66c
   pāde 'ṅgaromavapanaṃ Par_9.14a	pAde aFga-roma-vapanam Par_9.14a
   pāde vastrayugaṃ caiva Par_9.15a	pAde vastra-yugam ca-eva Par_9.15a
   pādonaṃ vratam uddiṣṭaṃ Par_9.13c	pAda-Unam vratam uddizwam Par_9.13c
   pānīyeṣu vipannānāṃ Par_9.39c	pAnIyezu vipannAnAm Par_9.39c
   pāpaṃ naśyati toyavat Par_8.10d	pApam naSyati toya-vat Par_8.10d
   pāpaṃ vā śubhakarmaṇām Par_3.40b	pApam vA SuBa-karmaNAm Par_3.40b
   pāpo vā yadi caṇḍālo Par_1.58a	pApaH vA yadi caNxAlaH Par_1.58a
   pārāvatakapiñjalau Par_6.8b	pArAvata-kapiQjalO Par_6.8b
   pāśako matsyaghātī ca Par_2.9c	pASakaH matsyaGAtI ca Par_2.9c
   pāśacchedakarāś ca ye Par_4.5d	pASa=-Ceda-karAH ca ye Par_4.5d
   pāśacchedakarās tathā Par_4.3d	pASa=-Ceda-karAH taTA Par_4.3d
   pāśalagnāgnidagdhāsu Par_9.34c	pASa-lagna-agni-dagDAsu Par_9.34c
   pāṣāṇe tu punar gharṣaḥ Par_7.27a	pAzANe tu punar GarzaH Par_7.27a
   pāṣāṇenātha daṇḍena Par_9.17a	pAzANena-aTa daNxena Par_9.17a
   piṅgalākurarasya ca Par_6.7b	piFgalA-kurarasya ca Par_6.7b
   piṇḍasthe pādam ekaṃ tu Par_9.13a	piNxa-sTe pAdam ekam tu Par_9.13a
   pitaras tarpitās tena Par_12.14c	pitaraH tarpitAH tena Par_12.14c
   pitaras tasya nāśnanti Par_1.45c	pitaraH tasya na-aSnanti Par_1.45c
   pitṛdārān samāruhya Par_10.12a	pitR-dArAn samAruhya Par_10.12a
   pitṛvyaputraḥ sāpatnaḥ Par_4.28a	pitRvya-putraH sApatnaH Par_4.28a
   pibataḥ patitaṃ toyaṃ Par_11.40a	pibataH patitam toyam Par_11.40a
   pibantaṃ caiva vatsakam Par_8.33d	pibantam ca-eva vatsakam Par_8.33d
   pibanti pitaraḥ svayam Par_7.6b	pibanti pitaraH svayam Par_7.6b
   pibantīṣu pibet toyaṃ Par_8.34a	pibantIzu pibet toyam Par_8.34a
   pibec ca praṇavena tu Par_11.37b	pibet ca praNavena tu Par_11.37b
   pītaṃ syād udakaṃ yadi Par_11.43d	pItam syAt udakam yadi Par_11.43d
   pītvā kūpagataṃ jalam Par_6.26b	pItvA kUpa-gatam jalam Par_6.26b
   pītvā cāndrāyaṇaṃ caret Par_11.40d	pItvA cAndrAyaNam caret Par_11.40d
   pītvāmedhyā apo dvijaḥ Par_11.41d	pItvA-ameDyAH apaH dvijaH Par_11.41d
   pītvā salilam agrajaḥ Par_6.25b	pItvA salilam agrajaH Par_6.25b
   pīyūṣaṃ śvetalaśunaṃ Par_11.9a	pIyUzam Sveta-laSunam Par_11.9a
   puṇyatīrthe 'nārdraśiraḥ Par_12.63(62)c	puNya-tIrTe anArdra-SiraH Par_12.63(62)c
   puṇyatīrthopaśobhitaṃ Par_1.6d	puNya-tIrTa-upaSoBitam Par_1.6d
   puṇyaṃ gatvā tu sāgaram Par_12.69(68)d	puNyam gatvA tu sAgaram Par_12.69(68)d
   putrajanmani yajñe ca Par_12.26(25)a	putra-janmani yajQe ca Par_12.26(25)a
   punarāgamanaṃ bhavet Par_10.32b	punar-Agamanam Bavet Par_10.32b
   punar icchati ced enāṃ Par_12.57(56)c	punar icCati ced enAm Par_12.57(56)c
   punar dahet svāgninā tu Par_5.13a	punar dahet sva-agninA tu Par_5.13a
   punar maraṇajanmanī Par_3.28b	punar maraNa-janmanI Par_3.28b
   punar lepanakhātena Par_6.42a	punar lepana-KAtena Par_6.42a
   punaḥ pratyāgate veśma Par_12.72(71)c	punar pratyAgate veSma Par_12.72(71)c
   punaḥ saṃskārakarmaṇi Par_12.3d	punar saMskAra-karmaNi Par_12.3d
   punaḥ saṃskāram arhanti Par_12.2c	punar saMskAram arhanti Par_12.2c
   puṣpaṃ puṣpaṃ vicinuyān Par_1.62a	puzpam puzpam vicinuyAt Par_1.62a
   puṃso yadi gṛhe gacchet Par_10.35c	puMsaH yadi gRhe gacCet Par_10.35c
   pūjayet svāgatādinā Par_1.43b	pUjayet svAgata-AdinA Par_1.43b
   pūyaśoṇitasaṃpūrṇe tv Par_4.2a	pUya-SoNita-saMpUrNe tu Par_4.2a
   pūyaśoṇitasaṃbhave Par_6.48b	pUya-SoNita-saMBave Par_6.48b
   pūrvasaṃkalpitaṃ dravyaṃ Par_3.27c	pUrva-saMkalpitam dravyam Par_3.27c
   pūrvaṃ vyādhyupasṛṣṭaś cet Par_9.12c	pUrvam vyADi-upasRzwaH ced Par_9.12c
   pūrvoktasyārdham eva ca Par_6.45b	pUrva-uktasya-arDam eva ca Par_6.45b
   pūrvocchiṣṭaṃ tathaiva ca Par_11.4d	pUrva-ucCizwam taTA-eva ca Par_11.4d
   pṛthagdāraniketanāḥ Par_3.7b	pRTak-dAra-niketanAH Par_3.7b
   pṛṣṭhe ca musalaṃ nyaset Par_5.20b	pRzWe ca musalam nyaset Par_5.20b
   pṛṣṭhe vā pīḍito naraiḥ Par_9.7d	pRzWe vA pIxitaH narEH Par_9.7d
   poṣyavargārthasiddhyarthaṃ Par_12.45(44)c	pozya-varga-arTa-sidDi-arTam Par_12.45(44)c
   prakṣipec ca dvijānale Par_8.23d	prakzipet ca dvija-anale Par_8.23d
   prakṣipyante yathodake Par_8.23b	prakzipyante yaTA-udake Par_8.23b
   pracchādayitum icchati Par_9.59b	pracCAdayitum icCati Par_9.59b
   praṇamya śirasā grāhyam Par_6.52a	praNamya SirasA grAhyam Par_6.52a
   praṇipatya prasādayet Par_11.53b	praNipatya prasAdayet Par_11.53b
   praṇipatya bhavet pūto Par_5.5c	praNipatya Bavet pUtaH Par_5.5c
   pratyāvasitavarṇānāṃ Par_12.5c	pratyAvasita-varNAnAm Par_12.5c
   pratyuvāca mahātejāḥ Par_1.3c	pratyuvAca mahA-tejAH Par_1.3c
   prathame 'hani caṇḍālī Par_7.18c	praTame ahani caNxAlI Par_7.18c
   pradakṣiṇābhivādaiś ca Par_1.9c	pradakziNa-aBivAdEH ca Par_1.9c
   pradīptāgnir ivendhanam Par_11.38b	pradIpta-agniH iva-inDanam Par_11.38b
   pradoṣapaścimau yāmau Par_12.27(26)c	pradoza-paScimO yAmO Par_12.27(26)c
   prabhāsādīni tīrthāni Par_12.20a	praBAsa-AdIni tIrTAni Par_12.20a
   pramāṇamārgaṃ mārganto Par_8.8a	pramANa-mArgam mArgantaH Par_8.8a
   pramāpaṇe prāṇabhṛtāṃ Par_9.26a	pramApaNe prANaBRtAm Par_9.26a
   prayāsāt kālakāritāt Par_3.12b	prayAsAt kAla-kAritAt Par_3.12b
   pravasan kālacoditaḥ Par_5.13d	pravasan kAla-coditaH Par_5.13d
   pravrajyānāśakeṣu ca Par_12.5b	pravrajyA-anASakezu ca Par_12.5b
   praśastaṃ nānyadā niśi Par_12.26(25)d	praSastam na-anyadA niSi Par_12.26(25)d
   prasave gṛhamedhī tu Par_3.23a	prasave gRhameDI tu Par_3.23a
   prasthā dvātriṃśatir droṇaḥ Par_6.70c	prasTA dvAtriMSatiH droNaH Par_6.70c
   prahārād yadi pātayet Par_9.2b	prahArAt yadi pAtayet Par_9.2b
   prahṛtā vā mṛtā vāpi Par_9.9c	prahRtAH vA mRtAH vA-api Par_9.9c
   prājāpatyatrayaṃ caret Par_10.13b	prAjApatya-trayam caret Par_10.13b
   prājāpatyadvayaṃ kuryād Par_10.7c	prAjApatya-dvayam kuryAt Par_10.7c
   prājāpatyadvayaṃ kṛtvā Par_6.16c	prAjApatya-dvayam kRtvA Par_6.16c
   prājāpatyadvayaṃ caret Par_10.6b	prAjApatya-dvayam caret Par_10.6b
   prājāpatyadvayaṃ caret Par_10.39b	prAjApatya-dvayam caret Par_10.39b
   prājāpatyadvayaṃ caret Par_12.7d	prAjApatya-dvayam caret Par_12.7d
   prājāpatyadvayenaiva Par_12.6a	prAjApatya-dvayena-eva Par_12.6a
   prājāpatyam anantaraḥ Par_6.29b	prAjApatyam anantaraH Par_6.29b
   prājāpatyavrataṃ caret Par_10.14d	prAjApatya-vratam caret Par_10.14d
   prājāpatyaṃ caret kṛcchraṃ Par_6.19c	prAjApatyam caret kRcCram Par_6.19c
   prājāpatyaṃ caret kṛcchraṃ Par_10.8c	prAjApatyam caret kRcCram Par_10.8c
   prājāpatyaṃ caret paścād Par_5.12a	prAjApatyam caret paScAt Par_5.12a
   prājāpatyaṃ tataḥ kṛcchraṃ Par_8.36c	prAjApatyam tatas kRcCram Par_8.36c
   prājāpatyaṃ tu loṣṭake Par_9.24b	prAjApatyam tu lozwake Par_9.24b
   prājāpatyaṃ na dātavyaṃ Par_6.28c	prAjApatyam na dAtavyam Par_6.28c
   prājāpatyaṃ vinirdiśet Par_8.36b	prAjApatyam vinirdiSet Par_8.36b
   prājāpatyaṃ samācaret Par_6.27d	prAjApatyam samAcaret Par_6.27d
   prājāpatyaṃ samācaret Par_7.22b	prAjApatyam samAcaret Par_7.22b
   prājāpatyaṃ samācaret Par_11.2d	prAjApatyam samAcaret Par_11.2d
   prājāpatyaṃ samācaret Par_12.4b	prAjApatyam samAcaret Par_12.4b
   prājāpatye tathā trayaḥ Par_9.25b	prAjApatye taTA trayaH Par_9.25b
   prājāpatyena śudhyeta Par_10.25c	prAjApatyena SuDyeta Par_10.25c
   prāṇān suyuddhena parityajantaḥ Par_3.36d	prANAn su-yudDena parityajantaH Par_3.36d
   prāṇāyāmaśatadvayam Par_12.63(62)b	prANAyAma-Sata-dvayam Par_12.63(62)b
   prāṇāyāmaśataṃ kṛtvā Par_3.46c	prANAyAma-Satam kRtvA Par_3.46c
   prāṇāyāmān ṣaḍ ācaret Par_3.44d	prANAyAmAn zaw Acaret Par_3.44d
   prāṇāyāmena śudhyati Par_3.41d	prANAyAmena SuDyati Par_3.41d
   prāṇāyāmena śudhyati Par_6.4d	prANAyAmena SuDyati Par_6.4d
   prāṇāyāmais tribhiḥ saha Par_12.65(64)b	prANAyAmEH triBiH saha Par_12.65(64)b
   prāṇihatyāsu niṣkṛtim Par_6.1b	prANi-hatyAsu nizkRtim Par_6.1b
   prāpte tu dvādaśe varṣe Par_7.5c	prApte tu dvAdaSe varze Par_7.5c
   prāyaścittam ahorātraṃ Par_6.12c	prAyaScittam ahorAtram Par_6.12c
   prāyaścittam vinirdiśet Par_8.28b	prAyaScittam vinirdiSet Par_8.28b
   prāyaścittaṃ kathaṃ teṣāṃ Par_11.16c	prAyaScittam kaTam tezAm Par_11.16c
   prāyaścittaṃ kathaṃ bhavet Par_6.48d	prAyaScittam kaTam Bavet Par_6.48d
   prāyaścittaṃ kathaṃ bhavet Par_8.1d	prAyaScittam kaTam Bavet Par_8.1d
   prāyaścittaṃ kathaṃ bhavet Par_9.35b	prAyaScittam kaTam Bavet Par_9.35b
   prāyaścittaṃ kathaṃ bhavet Par_11.25d	prAyaScittam kaTam Bavet Par_11.25d
   prāyaścittaṃ cared vipraḥ Par_11.8c	prAyaScittam caret vipraH Par_11.8c
   prāyaścittaṃ cared vipro Par_10.38c	prAyaScittam caret vipraH Par_10.38c
   prāyaścittaṃ tadā proktaṃ Par_9.2c	prAyaScittam tadA proktam Par_9.2c
   prāyaścittaṃ tu tenoktaṃ Par_9.52a	prAyaScittam tu tena-uktam Par_9.52a
   prāyaścittaṃ dadāti yaḥ Par_8.6b	prAyaScittam dadAti yaH Par_8.6b
   prāyaścittaṃ dinatrayam Par_12.58(57)d	prAyaScittam dina-trayam Par_12.58(57)d
   prāyaścittaṃ na tasyāḥ syāt Par_4.20c	prAyaScittam na tasyAH syAt Par_4.20c
   prāyaścittaṃ na vidyate Par_9.12d	prAyaScittam na vidyate Par_9.12d
   prāyaścittaṃ na vidyate Par_9.34d	prAyaScittam na vidyate Par_9.34d
   prāyaścittaṃ na vidyate Par_9.39d	prAyaScittam na vidyate Par_9.39d
   prāyaścittaṃ na vidyate Par_9.40d	prAyaScittam na vidyate Par_9.40d
   prāyaścittaṃ na vidyate Par_9.42d	prAyaScittam na vidyate Par_9.42d
   prāyaścittaṃ na vidyate Par_9.43d	prAyaScittam na vidyate Par_9.43d
   prāyaścittaṃ na vidyate Par_9.45d	prAyaScittam na vidyate Par_9.45d
   prāyaścittaṃ na vidyate Par_10.32d	prAyaScittam na vidyate Par_10.32d
   prāyaścittaṃ na vidyāte Par_9.44d	prAyaScittam na vidyAte Par_9.44d
   prāyaścittaṃ prayacchanti Par_8.20a	prAyaScittam prayacCanti Par_8.20a
   prāyaścittaṃ bhavet puṃsaḥ Par_11.44a	prAyaScittam Bavet puMsaH Par_11.44a
   prāyaścittaṃ vidhīyate Par_1.34d	prAyaScittam viDIyate Par_1.34d
   prāyaścittaṃ vinirdiśet Par_9.22d	prAyaScittam vinirdiSet Par_9.22d
   prāyaścittaṃ vinirdiśet Par_9.28d	prAyaScittam vinirdiSet Par_9.28d
   prāyaścittaṃ vinirdiśet Par_9.41d	prAyaScittam vinirdiSet Par_9.41d
   prāyaścittaṃ vinirdiśet Par_9.46d	prAyaScittam vinirdiSet Par_9.46d
   prāyaścittaṃ vinirdiśet Par_9.54b	prAyaScittam vinirdiSet Par_9.54b
   prāyaścittaṃ vinirdiśet Par_12.66(65)b	prAyaScittam vinirdiSet Par_12.66(65)b
   prāyaścittaṃ sadā dadyād Par_8.30a	prAyaScittam sadA dadyAt Par_8.30a
   prāyaścittārdham arhati Par_9.32d	prAyaScitta-arDam arhati Par_9.32d
   prāyaścittī bhavet pūtaḥ Par_8.6c	prAyaScittI Bavet pUtaH Par_8.6c
   prāyaścitte tataś cīrṇe Par_8.41a	prAyaScitte tatas cIrNe Par_8.41a
   prāyaścitte tataś cīrṇe Par_10.4a	prAyaScitte tatas cIrNe Par_10.4a
   prāyaścitte tataś cīrṇe Par_10.22a	prAyaScitte tatas cIrNe Par_10.22a
   prāyaścitttaṃ na vidyate Par_9.19d	prAyaScitttam na vidyate Par_9.19d
   priyapraśnottareṇa ca Par_1.44b	priya-praSna-uttareNa ca Par_1.44b
   prītim utpādayed gṛhī Par_1.44d	prItim utpAdayet gRhI Par_1.44d
   pretāgnihotrasaṃskāraḥ Par_5.14c	preta-agnihotra-saMskAraH Par_5.14c
   pretībhūtaṃ tu yaḥ śūdraṃ Par_3.45a	pretIBUtam tu yaH SUdram Par_3.45a
