   [I. dānapāramitā]	[I. dAna pAramitA]
   bodhipraṇidhicittaṃ ca bodhiprasthāna cittaṃ ca | yathāryagaṇḍavyūhasūtre	boDi praNiDi cittam ca boDi prasTAna cittam ca | yaTA Arya gaNxa vyUha sUtre
   bhāṣitaṃ | durlabhāḥ kulaputra te satvāḥ sarvaloke ye 'nnuttarasyāṃ	BAzitam | durlaBAH kula putra te satvAH sarva loke ye annuttarasyAm
   samyaksaṃbodhau cittaṃ praṇidadhati | tato 'pi durlabhatamās te satvā ye	samyaksaMboDO cittam praNidaDati | tatas api durlaBatamAH te satvAH ye
   'nnuttarāṃ samyaksaṃbodhim abhisaṃprasthitā iti | tatra	annuttarAm samyaksaMboDim aBisaMprasTitAH iti | tatra
   bodhipraṇidhicittaṃ | mayā buddhena bhavitavyam iti cittaṃ praṇidhānād	boDi praNiDi cittam | mayA budDena Bavitavyam iti cittam praNiDAnAt 
   utpannaṃ bhavati | śūraṅgamasūtre 'pi | śāṭhyotpāditasyāpi bodhicittasya	utpannam Bavati | SUraFgamasUtre api | SAWya utpAditasya api boDi cittasya
   buddhatvahetutvābhidhānāt | kaḥ punar vādaḥ kiñcid eva kuśalaṃ kṛtvā |	budDa tva hetutva aBiDAnAt | kaH punar vAdaH kiQcid eva kuSalam kRtvA |
   yathoktaṃ bhadrakalpikasūtre | ghoṣadatto nāma tathāgato yatra	yaTA uktam Badra kalpika sUtre | GozadattaH nAma taTAgataH yatra
   nakṣatrarājena tathāgatena prathamaṃ bodhicittam utpāditaṃ tāmbūlapatraṃ	nakzatra rAjena taTAgatena praTamam boDi cittam utpAditam tAmbUla patram
   dattvā gopālakabhūtena | evaṃ vidyutpradīpo nāma tathāgato yatra yaśasā	dattvA gopAlaka BUtena | evam vidyutpradIpaH nAma taTAgataH yatra yaSasA
   tathāgatena prathamaṃ bodhicittam utpāditaṃ daśikāṃ dattvā	taTAgatena praTamam boDi cittam utpAditam daSikAm dattvA
   tantravāyabhūtena | evam anantaprabho nāma tathāgato yatrārciṣmatā	tantra vAya BUtena | evam anantapraBaH nAma taTAgataH yatra arcizmatA
   tathāgatena prathamaṃ bodhicittam utpāditaṃ tṛṇapradīpaṃ dattvā	taTAgatena praTamam boDi cittam utpAditam tRNa pradIpam dattvA
   nagarāvalambakabhūtena | evaṃ dṛḍhavikramo nāma tathāgato yatra	nagara avalambaka BUtena | evam dRXavikramaH nAma taTAgataH yatra
   duṣpradharṣeṇa tathāgatena prathamaṃ bodhicittam utpāditaṃ dattakāṣṭhaṃ	duzpraDarzeNa taTAgatena praTamam boDi cittam utpAditam datta kAzWam
   dattvā kāṣṭhahārakabhūtenety ādi ||	dattvA kAzWa hAraka BUtena iti Adi ||
   caryāvikale 'pi ca bodhicitte nāvamanyatā karttavyā | tasyāpy	caryA vikale api ca boDi citte na avamanyatA karttavyA | tasya api 
   annantasaṃsārasukhaprasavanatvāt | yathāryamaitreyavimokṣe varṇitaṃ | tad	annanta saMsAra suKa prasavana tvAt | yaTA Aryam Etreya vimokze varNitam | tat 
   yathāpi nāma kulaputra cittam api vajraratnaṃ sarvaprativiśiṣṭaṃ	yaTA api nAma kula putra cittam api vajra ratnam sarva prativiSizwam
   suvarṇālaṃkāram abhibhavati | vajraratnanāma ca na vijahāti |	suvarNa alaMkAram aBiBavati | vajra ratna nAma ca na vijahAti |
   sarvadāridryaṃ vinivarttayati | evam eva kulaputrāśayapratipattibhinnam	sarva dAridryam vinivarttayati | evam eva kula putra ASaya pratipatti Binnam
   api sarvajñatācittotpādavajraratnaṃ	api sarvajQa tA citta utpAda vajra ratnam
   sarvaśrāvakapratyekabuddhaguṇasuvarṇālaṃkāram abhibhavati bodhisattvanāma	sarva SrAvaka pratyekabudDa guNa suvarNa alaMkAram aBiBavati boDisattva nAma
   ca na vijahāti | sarvasaṃsāradāridryaṃ vinivarttayatīti | itaś ca vināpi	ca na vijahAti | sarva saMsAra dAridryam vinivarttayati iti | itas ca vinA api
   caryayā bodhicittam upakārakam iti jñātavyaṃ | yenāpararājāvavādakasūtre	caryayA boDi cittam upakArakam iti jQAtavyam | yena apararAjO= avAdaka sUtre
   kathitaṃ | yasmāc ca tvaṃ mahārāja bahukṛtyo bahukaraṇīyaḥ | asahaḥ	kaTitam | yasmAt ca tvam mahA rAja bahu kRtyaH bahu karaNIyaH | asahaH
   sarveṇa sarvaḥ sarvathā sarvaṃ sarvadā dānapāramitāyāṃ śikṣituṃ | evaṃ	sarveNa sarvaH sarvaTA sarvam sarvadA dAna pAramitAyAm Sikzitum | evam
   yāvat prajñāpāramitāyāṃ śikṣituṃ | tasmāt tarhi tvaṃ mahārāja evam eva	yAvat prajQApAramitAyAm Sikzitum | tasmAt tarhi tvam mahA rAja evam eva
   samyaksambodhichandaṃ śraddhāṃ tra ... praṇidhiṃ ca gacchann api tiṣṭhann	samyaksamboDiCandam SradDAm tra ... praNiDim ca gacCan api tizWan= 
   api niṣaṇṇo 'pi śayāno 'pi jāgrad api bhuñjāno 'pi | pivann api |	api nizaNNaH api SayAnaH api jAgrat api BuQjAnaH api | pivan api |
   satatasamitam anusmara | manasikuru bhāvaya |	satata samitam anusmara | manasikuru BAvaya |
   sarvabuddhabodhisatvapratyekabuddhāryaśrāvakapṛthagj anānām ātmanaś	sarva budDa boDisatva pratyekabudDa Arya SrAvaka pRTagt anAnAm AtmanaH 
   cātītānāgatapratyutpannāni sarvakuśalamūlāny abhisaṃkṣipya tulayitvā	ca atIta anAgata pratyutpannAni sarva kuSala mUlAni aBisaMkzipya tulayitvA
   piṇḍayitvānumodasvāgrayā anumodanayā yāvad ākāśasamatayā	piNxayitvA anumodasva agrayA anumodanayA yAvat AkASa sama tayA
   nirvāṇasamatayānumodasvānumodya ca	nirvANa samataya anumodasva anumodya ca
   sarvabuddhabodhisatvapratyekabuddhāryaśrāvakāṇāṃ pūjākarmaṇe niryātaya |	sarva budDa boDisatva pratyekabudDa Arya SrAvakANAm pUjA karmaNe niryAtaya |
   niryātya ca sarvasatvasādhāraṇāni kuru | tataḥ sarvasatvānāṃ yāvat	niryAtya ca sarva satva sADAraNAni kuru | tatas sarva satvAnAm yAvat 
   sarvajñātapratilambhāya sarvabuddhadharmaparipūraṇāya dine dine traikālyam	sarva jQAta pratilamBAya sarva budDa Darma paripUraNAya dine dine trEkAlyam
   annuttarāyāṃ samyaksaṃbodhau pariṇāmaya evaṃ khalu tvaṃ mahārāja	annuttarAyAm samyaksaMboDO pariNAmayaH evam Kalu tvam mahA rAja
   pratipannaḥ san rājyaṃ kārayiṣyasi rājyakṛtyāni ca na hāyayiṣyasi	pratipannaH san rAjyam kArayizyasi rAjya kRtyAni ca na ha Ayayizyasi
   bodhisaṃbhārāṃś ca paripūrayiṣyasīti ||	boDi saMBArAn ca paripUrayizyasi iti ||
   atraiva cāsya vipāka uktaḥ | sa khalu punas tvaṃ mahārāja tasya	atra eva ca asya vipAkaH uktaH | sa Kalu punar tvam mahA rAja tasya
   samyaksaṃbodhicittakuśalamūlakarmaṇo vipākenānnekaśatakṛtvo deveṣūpapanno	samyaksaMboDi citta kuSala mUla karmaNaH vipAkena anneka Sata kRtvas devezu upapannaH 
   'bhūḥ | annekaśatakṛtvo manuṣyeṣūpapanno 'bhūḥ | sarvāsu ca	aBUH | anneka Sata kRtvas manuzyezu upapannaH aBUH | sarvAsu ca
   devamanuṣyopapattiṣv ādhipatyam eva kārayasi | na ca tāvat tava mahārāja	deva manuzya upapattizu ADipatyam eva kArayasi | na ca tAvat tava mahA rAja
   tasya samyaksaṃbodhicittasya kuśalakarmaṇa ūnatvaṃ vāpūrṇatvaṃ vā	tasya samyaksaMboDi cittasya kuSala karmaNaH Una tvam vA ApUrNa tvam vA
   prajñāyate | api ca mahārāja ekam api samyaksaṃbodhicittaṃ	prajQAyate | api ca mahA rAja ekam api samyaksaMboDi cittam
   sarvasattvottāraṇārambaṇatvāt sarvasatvāmocanārambaṇatvāt	sarva sattva uttAraNa ArambaNa tvAt sarva satva Amocana ArambaNa tvAt
   sarvasatvasamāśvāsanārambaṇatvāt sarvasatvaparinirvāṇārambaṇatvād	sarva satva samASvAsana ArambaNa tvAt sarva satva parinirvANa ArambaNa tvAt 
   aprameyāsaṃkhyeyakuśalopacayam | kaḥ punar vādo ya evaṃ bahulīkarotīti ||	aprameya asaMKyeya kuSala upacayam | kaH punar vAdaH yaH evam bahulIkaroti iti ||
   etac ca bodhicittaṃ rūpakāyadarśanotpannaṃ | tatra pūrvāvadāne paṭhyate |	etat ca boDi cittam rUpa kAya darSana utpannam | tatra pUrva avadAne paWyate |
   evaṃ tāvat praṇidhibodhicittaṃ veditavyaṃ | idaṃ tu vaktavyaṃ kim	evam tAvat praNiDi boDi cittam veditavyam | idam tu vaktavyam kim
   abhūmipraviṣṭhasyāpi bodhisatvasamvarādhikāro 'sti na veti | astīti	aBUmi pravizWasya api boDisatva samvara aDikAraH asti na vA iti | asti iti
   veditavyaṃ ākāśagarbhasūtre lābhasatkārārthaṃ mūlāpattiśravaṇāt |	veditavyam AkASa garBa sUtre lABa satkAra arTam mUla Apatti SravaNAt |
   daśabhūmikasūtre tu prathamāyāṃ bhūmau darśitaṃ | na ca kañcit satkārāṃ	daSa BUmika sUtre tu praTamAyAm BUmO darSitam | na ca kaQcid satkArAm
   kasyacit sakāśāt pratikāṃkṣaty anyatra mayaivaiṣāṃ sarvasatvānāṃ	kasyacid sakASAt pratikAMkzati anyatra mayA eva ezAm sarva satvAnAm
   sarvopakaraṇabāhulyam upanāmayitavyam iti | tathā cāha | pramuditāyāṃ	sarva upakaraNa bAhulyam upanAmayitavyam iti | taTA ca Aha | pramuditAyAm
   bodhisatvabhūmau suvyavasthito bhavaty acalanayoge ... ti | punaś coktaṃ |	boDisatva BUmO su vyavasTitaH Bavati acalana yoge ... ti | punar ca uktam |
   tathāgatavaṃśaniyato bhavati saṃbodhiparāyaṇa iti | ākāśagarbhasūtre tv	taTAgata vaMSa niyataH Bavati saMboDi parAyaNaH iti | AkASa garBa sUtre tu 
   āha | śrāvakayānam evāsya na bhavati prāg eva mahāyānam iti |	Aha | SrAvaka yAnam eva asya na Bavati prAk eva mahAyAnam iti |
   tathāryograparipṛcchāyāṃ mātsaryaparyavanaddhasyāpi śikṣāpadāni	taTA arya ugra paripRcCAyAm mAtsarya paryavanadDasya api SikzA padAni
   prajñaptāni | pramuditāyāṃ tu paṭhyate | ātmasaṃjñāpagamāc cāsyātmasneho	prajQaptAni | pramuditAyAm tu paWyate | Atma saMjQA apagamAt ca asya Atma snehaH 
   na bhavati | kutaḥ | punaḥ sarvopakaraṇasneha iti | tathā mastakādidānam	na Bavati | kutas | punar sarva upakaraNa snehaH iti | taTA mastaka Adi dAnam
   apy atrāsyoktaṃ ||	api atra asya uktam ||
   evam ādi sūtreṣu bhūmipraviṣṭasyāpi śikṣāprajñaptir dṛśyate | yatra	evam Adi sUtrezu BUmi pravizwasya api SikzA prajQaptiH dRSyate | yatra
   vāsāmānyena bodhisatvam adhikṛtyopadeśas tatrābhyāsayogyatayā	vAsAmAnyena boDisatvam aDikRtya upadeSaH tatra aByAsa yogya tayA
   pratiṣedhavākyena vādikarmikabodhisatvena na śikṣitavyaṃ bhaved etat |	pratizeDa vAkyena vAdi karmika boDisatvena na Sikzitavyam Bavet etat |
   ubhayāsaṃbhave tu sarvatra śikṣitavyaṃ | tatrāpy ekasyāṃ śikṣāyāṃ	uBaya asaMBave tu sarvatra Sikzitavyam | tatra api ekasyAm SikzAyAm
   śikṣaṇāyām aśaktasyetaraśikṣānabhyāsādanāpattiḥ ||	SikzaNAyAm aSaktasya itara SikzA anaByAsAdanApattiH ||
   āryākṣayamatisūtre 'py evam avocat | dānakāle śīlopasaṃhārasyāpekṣeti	Arya akzayam atisUtre api evam avocat | dAna kAle SIla upasaMhArasya apekzA iti
   vistaraḥ | na cātra śithilena bhavitavyaṃ na ca śeṣāsu na samudāgacchati |	vistaraH | na ca atra SiTilena Bavitavyam na ca SezAsu na samudAgacCati |
   yathābalaṃ yathābhajamānam iti daśabhūmikasūtre vacanāt | ayaṃ ca saṃvaraḥ	yaTAbalam yaTABajamAnam iti daSa BUmika sUtre vacanAt | ayam ca saMvaraH
   strīṇām api mṛdukleśānāṃ bodhyabhilāṣacittānāṃ labhyate | uktaṃ hi	strINAm api mRdu kleSAnAm boDi aBilAza cittAnAm laByate | uktam hi
   bodhisatvaprātimokṣe | caturbhiḥ śāriputra dharmaiḥ samanvāgatāḥ	boDisatva prAtimokze | caturBiH SAriputra DarmEH samanvAgatAH
   bodhisatvāḥ satyavādino bhavantīty ārabhyāha | iha śāriputra kulaputro vā	boDisatvAH satya vAdinaH Bavanti iti AraBya Aha | iha SAriputra kula putraH vA
   kuladuhitā vānnuttarāyāṃ samyaksaṃbodhau cittam utpādyārabdhavīryo	kula duhitA vA annuttarAyAm samyaksaMboDO cittam utpAdya ArabDa vIryaH 
   viharati kuśaladharmaparyeṣaṇāyety ārabhya sarva upadeśaḥ ||	viharati kuSala Darma paryezaNAya iti AraBya sarve upadeSaH ||
   saṃvaragrahaṇaṃ ca bodhisatvaśikṣāpadābhyāsaparamasya sāṃvarikasyāntikāt	saMvara grahaNam ca boDisatva SikzA pada aByAsa paramasya sAMvarikasya antikAt 
   kartavyaṃ | evaṃ hy asya śikṣātikrame tīvram apatrāpyaṃ	kartavyam | evam hi asya SikzA atikrame tIvram apatrApyam
   guruvisaṃvādanabhayaṃ cotpadyate | tatra cānnābhogataḥ premagauravasiddhir	guru visaMvAdana Bayam ca utpadyate | tatra ca anna ABogataH prema gOrava sidDiH 
   ity eṣa sāmānyasaṃvaradharmaḥ | ata eva bodhisatvāḥ tathāgatānāṃ purataḥ	iti eza sAmAnya saMvara DarmaH | atas eva boDisatvAH taTAgatAnAm puratas 
   śikṣāṇām anyatamaśikṣāniṣpattikāmāḥ samādānaṃ kurvanti | tasya ca	SikzANAm anyatama SikzA nizpatti kAmAH samAdAnam kurvanti | tasya ca
   kalyāṇamitrasyābhāve	kalyANa mitrasya aBAve
   daśadigavasthitabuddhabodhisatvābhimukhībhāvabhāvanayā saṃvaro grāhyaḥ	daSa diS avasTita budDa boDisatva aBimuKIBAva BAvanayA saMvaraH grAhyaH
   saṃvaram ātmabalaṃ ca tulayitvā | anyathā tu sarvabuddhabodhisatvāḥ	saMvaram Atma balam ca tulayitvA | anyaTA tu sarva budDa boDisatvAH
   sadevakaś ca loko visaṃvāditaḥ syāt | saddharmasmṛtyupasthānasūtre hi	sa devakaH ca lokaH visaMvAditaH syAt | sadDarma smRti upasTAna sUtre hi
   kiñcin mātraṃ cintayitvāpy adadataḥ pretagatir uktā pratijñātaṃ cādadato	kiQcid mAtram cintayitvA api adadataH preta gatiH uktA pratijQAtam ca AdadataH 
   narakagatiḥ | kiṃ punar annuttaram artham akhilasya jagataḥ	naraka gatiH | kim punar annuttaram arTam aKilasya jagataH
   pratijñāyāsaṃpādayataḥ | ata evoktaṃ dharmasaṃgītisūtre | satyagurukeṇa	pratijQAya asaMpAdayataH | atas eva uktam Darma saMgIti sUtre | satya gurukeNa
   kulaputra bodhisatvena bhavitavyaṃ | satyasaṃgītiḥ kulaputra	kula putra boDisatvena Bavitavyam | satya saMgItiH kula putra
   dharmasaṃgītiḥ | tatra kulaputra katamat satyaṃ yad bodhisatvo	Darma saMgItiH | tatra kula putra katamat satyam yat boDisatvaH 
   'nnuttarāyāṃ samyaksaṃbodhau cittam utpādya tac cittaṃ jīvitahetor api na	annuttarAyAm samyaksaMboDO cittam utpAdya tat cittam jIvita hetoH api na
   parityajati na satveṣu vipratipadyate | idaṃ bodhisatvasya satyaṃ ||	parityajati na satvezu vipratipadyate | idam boDisatvasya satyam ||
   yat punar bodhisatvo 'nnuttarāyāṃ samyaksaṃbodhau cittam utpādya paścāt	yat punar boDisatvaH annuttarAyAm samyaksaMboDO cittam utpAdya paScAt 
   tac cittaṃ parityajati satveṣu vipratipadyate 'yaṃ bodhisatvasya	tat cittam parityajati satvezu vipratipadyate ayam boDisatvasya
   pratikṛṣṭo mṛṣāvāda iti | āryasāgaramatisūtre 'pi deśitaṃ | syād yathāpi	pratikRzwaH mRzAvAdaH iti | Arya sAgaram atisUtre api deSitam | syAt yaTA api
   nāma sāgaramate rājā vā rājamātro vā sarvaṃ nāgarakaṃ janaṃ śvo	nAma sAgara mate rAjA vA rAjamAtraH vA sarvam nAgarakam janam Svas 
   bhaktenopanimantryopekṣako bhaven nānnapānaṃ samudānayet satyaṃ	Baktena upanimantrya upekzakaH Bavet na anna pAnam samudAnayet satyam
   sarvajanakāyaṃ visaṃvādayet | tatra te 'nnapānabhojanam alabhamānā	sarva jana kAyam visaMvAdayet | tatra te anna pAna Bojanam alaBamAnA
   uccagghantaḥ prakrāmeyuḥ | evam eva sāgaramate yo bodhisatvaḥ sarvasatvān	uccaghantaH prakrAmeyuH | evam eva sAgara mate yaH boDisatvaH sarva satvAn
   āśvāsyātīrṇatāraṇāyāmuktamocanāyānnāśvastāśvāsanāya yāvan na bāhuśrutye	ASvAsya AtIrNa tAraNAyAm ukta mocanAyAt na ASvasta ASvAsanAya yAvat na bAhu Srutye
   'bhiyogaṃ karoti nāpi tato 'nyeṣu bodhipakṣyakuśalamūleṣu dharmeṣu | ayaṃ	aBiyogam karoti na api tatas anyezu boDi pakzya kuSala mUlezu Darmezu | ayam
   bodhisatvo visaṃvādayati sadevakaṃ lokaṃ | evaṃ ca taṃ pūrvabuddhadarśinyo	boDisatvaH visaMvAdayati sa devakam lokam | evam ca tam pUrva budDa darSinyo
   devatā uccagghanti vivādayanti | durlabhās te yajñasvāmino ye mahāyajñaṃ	devatAH uccagGanti vivAdayanti | durlaBAH te yajQa svAminaH ye mahA yajQam
   pratijñāyottārayanti | tasmāt tarhi sāgaramate na sā bodhisatvena vāg	pratijQAya uttArayanti | tasmAt tarhi sAgara mate na sA boDisatvena vAc 
   bhāṣitavyā yayā sadevamānuṣāsuraṃ lokaṃ visaṃvādayet ||	BAzitavyA yayA sa deva mAnuza asuram lokam visaMvAdayet ||
   punar aparaṃ sāgaramate bodhisatvaḥ kenacid evādhīṣṭo bhavati dharmeṣv	punar aparam sAgara mate boDisatvaH kenacid eva aDIzwaH Bavati Darmezu 
   arthakaraṇīyeṣu | tatra bodhisatvena vāg bhāṣitā bhavati yāvad	arTa karaNIyezu | tatra boDisatvena vAc BAzitA Bavati yAvat 
   ātmaparityāgo 'pi bodhisatvena kartavyo bhavet tatra na punaḥ sa satvo	Atma parityAgaH api boDisatvena kartavyaH Bavet tatra na punar sa satvaH 
   visaṃvādayitavya iti | tasmāt svabalānurūpeṇaikam api kuśalamūlaṃ samādāya	visaMvAdayitavyaH iti | tasmAt sva bala anurUpeNa ekam api kuSala mUlam samAdAya
   rakṣitavyaṃ | yathoktam āryakṣitigarbhasūtre | ebhir daśabhiḥ kuśalaiḥ	rakzitavyam | yaTA uktam Arya kziti garBa sUtre | eBiH daSaBiH kuSalEH
   karmapathair buddhatvaṃ | na punar yo 'ntaśa ekam api yāvajjīvaṃ kuśalaṃ	karma paTEH budDa tvam | na punar yaH antaSas ekam api yAvajjIvam kuSalam
   karmapathaṃ na rakṣati atha ca punar evaṃ vadati | ahaṃ mahāyāniko 'haṃ	karma paTam na rakzati aTa ca punar evam vadati | aham mahAyAnikaH aham
   cānnuttarāṃ samyaksaṃbodhiṃ paryeṣāmīti | sa pudgalaḥ paramakuhako	ca annuttarAm samyaksaMboDim paryezAmi iti | sa pudgalaH parama kuhakaH 
   mahāmṛṣāvādikaḥ sarveṣāṃ buddhānāṃ bhagavatāṃ purato visaṃvādako	mahA mRzA vAdikaH sarvezAm budDAnAm BagavatAm puratas visaMvAdakaH 
   lokasyocchedavādī sa mūḍhaḥ kālaṃ kurute vinipātagāmī bhavatīti | yāvat	lokasya ucCeda vAdI sa mUXaH kAlam kurute vinipAta gAmI Bavati iti | yAvat 
   kālaṃ ca śaknoti tāvat kālaṃ kuśalaṃ samādāya vartitavyaṃ ||	kAlam ca Saknoti tAvat kAlam kuSalam samAdAya vartitavyam ||
   etac ca bhaiṣajyaguruvaiḍūryaprabhasūtre draṣṭavyaṃ | yas tu mahāsatva	etat ca BEzajya guru vExUrya praBa sUtre drazwavyam | yaH tu mahA satva
   evaṃ śrutvāpi bodhisatvacaryāduṣkaratām api prajñayāvagāhyotsahatae eva	evam SrutvA api boDisatva caryA duzkara tAm api prajQayA avagAhya utsahatae eva
   sakaladuṣkhitajanaparitrāṇadhuram avavoḍhuṃ tena	sakala duzKita jana paritrANa Duram avavoXum tena
   vandanapūjanapāpadeśanapuṇyānumodanabuddhādhyeṣaṇayācanabodhipariṇāmanaṃ	vandana pUjana pApa deSana puNya anumodana budDa aDyezaNa yAcana boDi pariNAmanam
   kṛtvā kalyāṇamitram abhyetya taduktānuvādena svayaṃ vā vaktavyaṃ |	kRtvA kalyANa mitram aByetya tad ukta anuvAdena svayam vA vaktavyam |
   samanvāharācāryāham evaṃ nāmety uktvā |	samanvAhara AcAryA aham evam nAma iti uktvA |
   yathāryamañjuśrībuddhakṣetraguṇavyūhālaṅkārasūtre bhagavatā mañjuśriyā	yaTA Arya maQju SrI budDa kzetra guNa vyUha alaFkAra sUtre BagavatA maQju SriyA
   pūrvajanmāvadāne caryopetaṃ bodhicittam utpāditaṃ tathotpādayitavyaṃ |	pUrva janma avadAne caryA upetam boDi cittam utpAditam taTA utpAdayitavyam |
   evaṃ hi tenoktaṃ ||	evam hi tena uktam ||
   yāvatī prathamā koṭiḥ saṃsārasyāntavarjitā | tāvat satvahitārthāya	yAvatI praTamA kowiH saMsArasya anta varjitA | tAvat satva hita arTAya
   cariṣyāmy amitāṃ carim ||	carizyAmi amitAm carim ||
   utpādayāma saṃbodhau cittaṃ nāthasya saṃmukham | nimantraye jagat sarvaṃ	utpAdayAma saMboDO cittam nATasya saMmuKam | nimantraye jagat sarvam
   dāridryān mocitāsmi tat ||	dAridryAt mocitA asmi tat ||
   vyāpādakhilacittaṃ vā īrṣyāmātsaryam eva vā | adyāgre na kariṣyāmi bodhiṃ	vyApAt aKila cittam vA IrzyA mAtsaryam eva vA | adya agre na karizyAmi boDim
   prāpsyāmi yāvatā | brahmacaryaṃ cariṣyāmi kāmāṃs tyakṣyāmi pāpakān ||	prApsyAmi yAvatA | brahmacaryam carizyAmi kAmAn tyakzyAmi pApakAn ||
   buddhānām anuśikṣiṣye śīlasaṃvarasaṃyame | nāhaṃ tvaritarūpeṇa bodhiṃ	budDAnAm anuSikzizye SIla saMvara saMyame | na aham tvarita rUpeNa boDim
   prāptum ihotsahe ||	prAptum iha utsahe ||
   parāntakoṭiṃ sthāsyāmi satvasyaikasya kāraṇāt | kṣetraṃ viśodhayiṣyāmi	parAnta kowim sTAsyAmi satvasya ekasya kAraNAt | kzetram viSoDayizyAmi
   aprameyam acintiyam ||	aprameyam acintiyam ||
   nāmadheyaṃ kariṣyāmi daśa dikṣu ca viśrutaṃ | kāyavākkarmaṇī cāhaṃ	nAmaDeyam karizyAmi daSa dikzu ca viSrutam | kAyavAc karmaNI ca aham
   śodhayiṣyāmi sarvaśaḥ ||	SoDayizyAmi sarvaSas ||
   śodhayiṣye manaḥkarma karma karttāsmi nāśubham | iti ||	SoDayizye manaH karma karma karttAsmi na aSuBam | iti ||
   na cātra sārvakālikāt saṃvaragrahaṇāj janmāntarāpattiśaṅkā kartavyātraiva	na ca atra sArvakAlikAt saMvara grahaNAt janma antara Apatti SaFkA kartavyA atra eva
   sūtre 'kṣobhyapraṇidhānānujñānād evaṃ hy uktaṃ | yathā tenākṣobhyeṇa	sUtre akzoBya praNiDAna anujQAnAt evam hi uktam | yaTA tena akzoByeNa
   tathāgatena pūrvaṃ bodhisatvabhūtenaivaṃ vāg bhāṣitā | visaṃvāditā me	taTAgatena pUrvam boDisatva BUtena evam vAc BAzitA | visaMvAditA me
