   aktāṃśaṃ sūtaśodhakaḥ Rsdhy_166*[65]b	akta-aMSam sUta-SoDakaH RsDi-_166*[65]b
   śarāvasampuṭaṃ garte Rsdhy_223*[122]a	SarAva-sampuwam garte RsDi-_223*[122]a
   śarāvasampuṭe kṣiptvā Rsdhy_222*[121]a	SarAva-sampuwe kziptvA RsDi-_222*[121]a
   śarāve'dhomukhe datte Rsdhy_228*[127]c	SarAve-aDomuKe datte RsDi-_228*[127]c
   śākhākisalayaṃ tataḥ Rsdhy_285*[184]b	SAKA-kisalayam tatas RsDi-_285*[184]b
   śākhā kisalayātmikā Rsdhy_283*[182]d	SAKA kisalaya-AtmikAH RsDi-_283*[182]d
   śākhinī ravibhūlikā Rsdhy_95b	SAKinI raviBUlikA RsDi-_95b
   śigrumūladravairdinam Rsdhy_190*[89]d	Sigru-mUla-dravEH-dinam RsDi-_190*[89]d
   śigrurasena saṃbhāvya Rsdhy_114c	Sigru-rasena saMBAvyaH RsDi-_114c
   śigruvṛkṣasya pattrāṇi Rsdhy_70a	Sigru-vRkzasya pattrANi RsDi-_70a
   śiraḥpuṅkhā ca cāṅgerī Rsdhy_93a	SiraHpuFKA ca cAFgerI RsDi-_93a
   śilayā mṛtanāgasya Rsdhy_234*[133]a	SilayA mRta-nAgasya RsDi-_234*[133]a
   śilayā mṛtanāgāṣṭau Rsdhy_241*[140]c	SilayA mRta-nAga-azwO RsDi-_241*[140]c
   śuddhagandhakacūrṇakam Rsdhy_158*[57]d	SudDa-ganDaka-cUrNakam RsDi-_158*[57]d
   śuddhagandhakacūrṇaṃ ca Rsdhy_273*[172]c	SudDa-ganDaka-cUrNam ca RsDi-_273*[172]c
   śuddhatāmrasya catvāri Rsdhy_239*[138]a	SudDa-tAmrasya catvAri RsDi-_239*[138]a
   śuddhaṃ syād rasapātanam Rsdhy_55b	SudDam syAt rasa-pAtanam RsDi-_55b
   śuṣkaṃ cūrṇīkṛtaṃ tasmin Rsdhy_245*[144]a	Suzkam cUrNIkRtam tasmin RsDi-_245*[144]a
   śuṣkaṃ śuṣkaṃ punaḥ kṣuṇṇaṃ Rsdhy_44c	Suzkam Suzkam punar kzuNNam RsDi-_44c
   śeṣānte eva pañcāṅgāṃ Rsdhy_266*[165]a	Seza-ante eva paQcAFgAm RsDi-_266*[165]a
   śodhane hema śudhyati Rsdhy_167*[66]d	SoDane hema SuDyati RsDi-_167*[66]d
   śmacūrṇaṃ mastakopari Rsdhy_252*[151]b	Sma-cUrNam mastaka-upari RsDi-_252*[151]b
   śyāmākañcukasambhavam Rsdhy_21b	SyAmA-kaQcuka-samBavam RsDi-_21b
   śyāmā naśyati nāgajā Rsdhy_37b	SyAmA naSyati nAga-jAH RsDi-_37b
   śrīkaṅkālayayoginaḥ Rsdhy_12b	SrI-kaFkAlaya-yoginaH RsDi-_12b
   śrīkaṅkālayayogyabhūt Rsdhy_8b	SrI-kaFkAlaya-yogI-aBUt RsDi-_8b
   śrīkaṅkālayaśiṣyo'pi Rsdhy_9a	SrI-kaFkAlaya-SizyaH-api RsDi-_9a
   śrīkhaṇḍena ghaṭe tataḥ Rsdhy_198*[97]b	SrIKaNxena Gawe tatas RsDi-_198*[97]b
   śrīpiṇḍo dorakāccyutvā Rsdhy_200*[99]c	SrI-piNxaH dorakAt-cyutvA RsDi-_200*[99]c
   śrībhāratīṃ ca vighneśaṃ Rsdhy_10c	SrI-BAratIm ca viGneSam RsDi-_10c
   śrībhairavaṃ praṇamyādau Rsdhy_10a	SrI-BEravam praNamya-AdO RsDi-_10a
   śreṣṭhā kaṇayarī khalve Rsdhy_251*[150]a	SrezWA kaNayarI Kalve RsDi-_251*[150]a
   ślakṣṇacūrṇīkṛtāni ca Rsdhy_138b	SlakzNa-cUrNIkRtAni ca RsDi-_138b
   śvetabhasma prajāyate Rsdhy_201*[100]b	Sveta-Basma prajAyate RsDi-_201*[100]b
   śvetārkau śigrudhattūra- Rsdhy_100c	Sveta-arkO Sigru-DattUra RsDi-_100c
   ṣaḍguṇaṃ gandhakaṃ jāryaṃ Rsdhy_182*[81]c	zaxguNam ganDakam jAryam RsDi-_182*[81]c
   ṣaḍlohadrutistajjñaiḥ Rsdhy_264*[163]a	zaz-loha-drutiH-tajjQEH RsDi-_264*[163]a
   ṣaṇṇāṃ madhyācca lohāṇāṃ Rsdhy_262*[161]c	zaNNAm maDyAt-ca lohANAm RsDi-_262*[161]c
   ṣoḍaśāṃśaṃ muhurdadyāt Rsdhy_160*[59]a	zoxaSa-aMSam muhur-dadyAt RsDi-_160*[59]a
   ṣoḍaśāṃśaṃ śuddhahema- Rsdhy_184*[83]a	zoxaSa-aMSam SudDa-hema RsDi-_184*[83]a
   'ṣṭāṃśaḥ pūrvaguḍasya ca Rsdhy_245*[144]d	azwa-aMSaH pUrva-guxasya ca RsDi-_245*[144]d
   sacchidrāṃ ḍhaṅkaṇīṃ dattvā Rsdhy_199*[98]a	sa=-CidrAm XaFkaNIm dattvA RsDi-_199*[98]a
   sajalasthālikāvaktre Rsdhy_53a	sa-jala-sTAlikA-vaktre RsDi-_53a
   sattvaghātaṃ karotyagnir Rsdhy_22a	sattva-GAtam karoti-agniH RsDi-_22a
   sattvaṃ galati kaṇṭhake Rsdhy_254*[153]b	sattvam galati kaNWake RsDi-_254*[153]b
   sattvaṃ puṣpākṣasambhavam Rsdhy_171*[70]d	sattvam puzpa-akza-samBavam RsDi-_171*[70]d
   sattvāni grasate kṣaṇāt Rsdhy_192*[91]d	sattvAni grasate kzaNAt RsDi-_192*[91]d
   sadā sūtasya jāyante Rsdhy_16c	sadA sUtasya jAyante RsDi-_16c
   sadṛśaiśca vidhṛtyāstum- Rsdhy_250*[149]a	sadRSEH-ca viDRtyAH-tum RsDi-_250*[149]a
   sapta deyāni ca mṛdaḥ Rsdhy_214*[113]b	sapta deyAni ca mRdaH RsDi-_214*[113]b
   saptamaḥ svedano bhavet Rsdhy_27d	saptamaH svedanaH Bavet RsDi-_27d
   saptavāramidaṃ kāryaṃ Rsdhy_55a	sapta-vAram-idam kAryam RsDi-_55a
   saptavāraṃ tu pātayet Rsdhy_57b	sapta-vAram tu pAtayet RsDi-_57b
   saptavārāṃs tu mūrchayet Rsdhy_49b	sapta-vArAn tu mUrCayet RsDi-_49b
   saptavelamidaṃ kāryaṃ Rsdhy_69a	sapta-velam-idam kAryam RsDi-_69a
   saptasaptadinaiḥ piṣṭāt Rsdhy_38a	sapta-sapta-dinEH pizwAt RsDi-_38a
   saptasaptadinaiḥ piṣṭād Rsdhy_41a	sapta-sapta-dinEH pizwAt RsDi-_41a
   sapta saptaiva mardayet Rsdhy_45d	sapta sapta-eva mardayet RsDi-_45d
   saptāhaṃ cārkadugdhena Rsdhy_34c	sapta-aham ca-arka-dugDena RsDi-_34c
   saptāhaṃ yāti bhūmijaḥ Rsdhy_34b	sapta-aham yAti BUmi-jaH RsDi-_34b
   samagramapi kumpakam Rsdhy_252*[151]d	samagram-api kumpakam RsDi-_252*[151]d
   samabhāgena saṃcūrṇya Rsdhy_227*[126]c	sama-BAgena saMcUrNye RsDi-_227*[126]c
   samānaṃ kāṃsyacūrṇakam Rsdhy_237*[136]b	samAnam kAMsya-cUrNakam RsDi-_237*[136]b
   samūlapattrāṃ saṃkuṭya Rsdhy_125c	sa-mUla-pattrAm saMkuwya RsDi-_125c
   sampraty ūrdhvaraso 'tyarthaṃ Rsdhy_76c	samprati UrDva-rasaH atyarTam RsDi-_76c
   sampratyūrdhvaṃ ca pāradaḥ Rsdhy_170*[69]d	samprati-UrDvam ca pAradaH RsDi-_170*[69]d
   sarjikāyāśca gadyāṇe Rsdhy_221*[120]a	sarjikAyAH-ca gadyANe RsDi-_221*[120]a
   sarpākṣī kṣīriṇī vadhyā Rsdhy_97c	sarpAkzI kzIriNI vaDyAH RsDi-_97c
   sarpākṣī meghanādā ca Rsdhy_92c	sarpAkzI meGanAdA ca RsDi-_92c
   sarva ete niyāmikāḥ Rsdhy_104b	sarve ete niyAmikAH RsDi-_104b
   sarvajñaṃ trijagatprabhum Rsdhy_10b	sarvajQam trijagat-praBum RsDi-_10b
   sarvaloheṣu nikṣipet Rsdhy_219*[118]b	sarva-lohezu nikzipet RsDi-_219*[118]b
   sarvaloheṣvayaṃ vidhiḥ Rsdhy_268*[167]d	sarva-lohezu-ayam viDiH RsDi-_268*[167]d
   sarvavyāpī bhavedrasaḥ Rsdhy_173*[72]d	sarva-vyApI Bavet-rasaH RsDi-_173*[72]d
   sarvaṃ veṣāparīyakam Rsdhy_250*[149]d	sarvam vezAparIyakam RsDi-_250*[149]d
   sal lūṇaṃ naimbukaṃ rasam Rsdhy_117b	sat lUNam nEmbukam rasam RsDi-_117b
   sa vidhiḥ pañcamāraṇe Rsdhy_272*[171]d	sa viDiH paQca-mAraNe RsDi-_272*[171]d
   sasneho jāyate rasaḥ Rsdhy_170*[69]b	sa-snehaH jAyate rasaH RsDi-_170*[69]b
   sahajāḥ sapta kañcukāḥ Rsdhy_16d	sahajAH sapta kaQcukAH RsDi-_16d
   sahate 'gniṃ vipācane Rsdhy_76d	sahate agnim vipAcane RsDi-_76d
   sahasrasya pravedhakam Rsdhy_219*[118]d	sahasrasya praveDakam RsDi-_219*[118]d
   sa hi siddharasānāṃ hi Rsdhy_203*[102]c	sa hi sidDa-rasAnAm hi RsDi-_203*[102]c
   saṃjāte dehasiddhyarthaṃ Rsdhy_142c	saMjAte deha-sidDi-arTam RsDi-_142c
   saṃjīrṇāyaḥprakāśikam Rsdhy_154*[53]b	saMjIrNa-ayaH-prakASikam RsDi-_154*[53]b
   saṃdhayitvā vicakṣaṇaḥ Rsdhy_125d	saMDayitvA vicakzaNaH RsDi-_125d
   saṃdhikarpaṭamṛtsnayā Rsdhy_294*[193]b	saMDi-karpawamRtsnayA RsDi-_294*[193]b
   saṃdhivastramṛdā liptvā Rsdhy_275*[174]c	saMDi-vastramRdA liptvA RsDi-_275*[174]c
   saṃdhau ca mṛtsnayāveṣṭya Rsdhy_59c	saMDO ca mRtsnayA-AvezwyaH RsDi-_59c
   saṃmardyāmardya śoṣayet Rsdhy_44d	saMmardya-Amardya Sozayet RsDi-_44d
   saṃmūrchitas tadā jñeyo Rsdhy_47c	saMmUrCitaH tadA jQeyaH RsDi-_47c
   saṃśodhane suvarṇasya Rsdhy_163*[62]c	saMSoDane suvarNasya RsDi-_163*[62]c
   saṃskāraḥ pāṭasāraṇaḥ Rsdhy_31b	saMskAraH pAwa-sAraNaH RsDi-_31b
   saṃskāraḥ sāraṇo mataḥ Rsdhy_209*[108]d	saMskAraH sAraNaH mataH RsDi-_209*[108]d
   saṃskārāt prāk vadāmyaham Rsdhy_13b	saMskArAt prAk vadAmi-aham RsDi-_13b
   saṃskārair dvīpasaṃkhyaiś ca Rsdhy_25c	saMskArEH dvIpa-saMKyEH ca RsDi-_25c
   saṃskārair manusaṃkhyaiśca Rsdhy_216*[115]a	saMskArEH manu-saMKyEH-ca RsDi-_216*[115]a
   saṃskāro hy aṣṭamaḥ smṛtaḥ Rsdhy_86d	saMskAraH hi azwamaH smRtaH RsDi-_86d
   saṃskṛto dehalohakṛt Rsdhy_25d	saMskRtaH deha-loha-kRt RsDi-_25d
   saṃsthāpya gomayaṃ bhūmau Rsdhy_178*[77]c	saMsTApya gomayam BUmO RsDi-_178*[77]c
   saṃsthite ca nije laulye Rsdhy_196*[95]c	saMsTite ca nije lOlye RsDi-_196*[95]c
   sākaṃ madhvājyaṭaṅkaṇaiḥ Rsdhy_201*[100]d	sAkam maDu-Ajya-waFkaNEH RsDi-_201*[100]d
   sāgre sāgre tu tanmardyaṃ Rsdhy_184*[83]c	sAgre sAgre tu tat-mardyam RsDi-_184*[83]c
   sājīkṣārasya tannāśe Rsdhy_87c	sAjI-kzArasya tad-nASe RsDi-_87c
   sājīkṣāraṃ ca kāsīsaṃ Rsdhy_189*[88]a	sAjI-kzAram ca kAsIsam RsDi-_189*[88]a
   sādhayedbhiṣaguttamaḥ Rsdhy_186*[85]d	sADayet-Bizaj-uttamaH RsDi-_186*[85]d
   sādhite ye mṛdo mūṣe Rsdhy_246*[145]a	sADite ye mRdaH mUze RsDi-_246*[145]a
   sārayitvābhrakaṃ tataḥ Rsdhy_123b	sArayitvA-aBrakam tatas RsDi-_123b
   sārdhasaptapalāni ca Rsdhy_235*[134]b	sArDa-sapta-palAni ca RsDi-_235*[134]b
   siddhaguhyakakhecaraiḥ Rsdhy_205*[104]b	sidDa-guhyaka-KecarEH RsDi-_205*[104]b
   siddhiḥ śrīnāmato yeṣāṃ Rsdhy_1a	sidDiH SrI-nAmataH yezAm RsDi-_1a
   sukhaṃ bhukte vare mukhe Rsdhy_142b	suKam Bukte vare muKe RsDi-_142b
   sukhoṣṇenāranālena Rsdhy_131c	suKa-uzNena-AranAlena RsDi-_131c
   sudagdhaṃ varṣayet tathā Rsdhy_127d	su-dagDam varzayet taTA RsDi-_127d
   suvarṇaṃ naiva saṃśayaḥ Rsdhy_162*[61]d	suvarNam na-eva saMSayaH RsDi-_162*[61]d
   susūkṣmā vaḍhavā ikā Rsdhy_281*[180]b	su-sUkzmA vaXavA ikA RsDi-_281*[180]b
   sūkṣmadoṣā vilīyate Rsdhy_55c	sUkzma-dozAH vilIyate RsDi-_55c
   sūtakaṃ jārayet budhaḥ Rsdhy_133b	sUtakam jArayet buDaH RsDi-_133b
   sūtakaṃ yastu vātayet Rsdhy_177*[76]d	sUtakam yaH-tu vAtayet RsDi-_177*[76]d
   sūtagadyāṇakaṃ kṣipet Rsdhy_220*[119]b	sUta-gadyANakam kzipet RsDi-_220*[119]b
   sūtagrastābhrakaṃ kṣipet Rsdhy_146b	sUta-grasta-aBrakam kzipet RsDi-_146b
   sūtatulyaṃ tv idaṃ jāryaṃ Rsdhy_166*[65]c	sUta-tulyam tu idam jAryam RsDi-_166*[65]c
   sūtadoṣāṃs tataḥ śuddhiṃ Rsdhy_13a	sUta-dozAn tatas SudDim RsDi-_13a
   sūtamabhraṃ dvayaṃ mardyaṃ Rsdhy_57c	sUtam-aBram dvayam mardyam RsDi-_57c
   sūtasya mārakarmaṇi Rsdhy_97b	sUtasya mAra-karmaNi RsDi-_97b
   sūtasyaivaṃ muṣaṃ bhavet Rsdhy_182*[81]d	sUtasya-evam muzam Bavet RsDi-_182*[81]d
   sūtaṃ ca sveditaṃ kṣipet Rsdhy_83d	sUtam ca sveditam kzipet RsDi-_83d
   sūtaṃ jīrṇaśilāsattvaṃ Rsdhy_168*[67]a	sUtam jIrNa-SilA-sattvam RsDi-_168*[67]a
   sūtaṃ buddhimatā dinam Rsdhy_80d	sUtam budDimatA dinam RsDi-_80d
   sūtaṃ yantre ca bhūdhare Rsdhy_158*[57]b	sUtam yantre ca BUDare RsDi-_158*[57]b
   sūtaḥ saṃskṛtya māritaḥ Rsdhy_216*[115]b	sUtaH saMskRtya mAritaH RsDi-_216*[115]b
   sūtātaḥ sarvajāryāṇāṃ Rsdhy_193*[92]c	sUtAtaH sarva-jAryANAm RsDi-_193*[92]c
   sūtādaṣṭaguṇaṃ jāryaṃ Rsdhy_120a	sUtAt-azwaguNam jAryam RsDi-_120a
   sūtādaṣṭaguṇaṃ lohaṃ Rsdhy_148c	sUtAt-azwaguNam loham RsDi-_148c
   sūtādaṣṭaguṇā jāryā Rsdhy_152c	sUtAt-azwaguNAH jAryAH RsDi-_152c
   sūtādaṣṭaguṇā jāryā Rsdhy_155*[54]c	sUtAt-azwaguNAH jAryAH RsDi-_155*[54]c
   sūtād dvātriṃśadaṃśakam Rsdhy_164*[63]d	sUtAt dvAtriMSat-aMSakam RsDi-_164*[63]d
   sūtān naśyanti kañcukāḥ Rsdhy_38b	sUtAn naSyanti kaQcukAH RsDi-_38b
   sūtenāsyaṃ prasāritam Rsdhy_110b	sUtena-Asyam prasAritam RsDi-_110b
   sūte'ṣṭādaśasaṃskārās Rsdhy_26a	sUte-azwAdaSa-saMskArAH RsDi-_26a
   sūtotthāpanamucyate Rsdhy_69b	sUta-utTApanam-ucyate RsDi-_69b
   sūto yātyuparisthālyās Rsdhy_68c	sUtaH yAti-upari-sTAlyAH RsDi-_68c
   sūto'sau jīrṇalohaḥ san Rsdhy_150a	sUtaH-asO jIrNa-lohaH san RsDi-_150a
   sūraṇakṣudrakandakaiḥ Rsdhy_291*[190]b	sUraNa-kzudra-kandakEH RsDi-_291*[190]b
   sūraṇakṣudrakandeṣu Rsdhy_290*[189]a	sUraNa-kzudra-kandezu RsDi-_290*[189]a
   sūryāṅko bandhakṛt prokto Rsdhy_29a	sUrya-aFkaH banDa-kRt proktaH RsDi-_29a
   sṛṣṭyāmbujair nirodhāt taladvayaprāyo na khaṇḍaḥ syāt Rsdhy_112*2	sRzwyA-ambujEH niroDAt tala-dvaya-prAyaH na KaNxaH syAt RsDi-_112*2
   sṛṣṭyāṃ citaś chagaṇakaiḥ puṭito valī syāt Rsdhy_113b	sRzwyAm citaH CagaNakEH puwitaH valI syAt RsDi-_113b
   saindhavaṃ ṭaṅkaṇaṃ guñjā Rsdhy_190*[89]c	sEnDavam waFkaNam guQjA RsDi-_190*[89]c
   saindhavaṃ śvetavarṣābhū- Rsdhy_102a	sEnDavam Sveta-varzABU RsDi-_102a
   soparipiṇḍasaṃjñakaḥ Rsdhy_195*[94]d	sa-upari-piNxa-saMjQakaH RsDi-_195*[94]d
   saurāṣṭrī navasādaram Rsdhy_114b	sOrAzwrI navasAdaram RsDi-_114b
   sauvarcalamajāmūtraiḥ Rsdhy_188*[87]a	sOvarcalam-ajA-mUtrEH RsDi-_188*[87]a
   stokastokena prakṣipet Rsdhy_242*[141]b	stoka-stokena prakzipet RsDi-_242*[141]b
   stokaṃ stokaṃ kṣipetkhalve Rsdhy_62a	stokam stokam kzipet-Kalve RsDi-_62a
   stokaḥ prakāśarājiḥ syāt Rsdhy_236*[135]c	stokaH prakASa-rAjiH syAt RsDi-_236*[135]c
   stoke stokena kṣiptvātha Rsdhy_235*[134]c	stoke stokena kziptvA-aTa RsDi-_235*[134]c
   stoke stokena prakṣipet Rsdhy_240*[139]b	stoke stokena prakzipet RsDi-_240*[139]b
   sthāpyaṃ tat kṛtagolakam Rsdhy_58b	sTApyam tat kRta-golakam RsDi-_58b
   sthālikātalamadhye'pi Rsdhy_58a	sTAlikA-tala-maDye-api RsDi-_58a
   sthālikādhaścaturyāmaṃ Rsdhy_200*[99]a	sTAlikA-aDas-catur-yAmam RsDi-_200*[99]a
   sthālikādhaścaturyāmaṃ Rsdhy_229*[128]c	sTAlikA-aDas-catur-yAmam RsDi-_229*[128]c
   sthālikāyāṃ kṣipetpunaḥ Rsdhy_66b	sTAlikAyAm kzipet-punar RsDi-_66b
   sthālī bhūmau nikhanyate Rsdhy_257*[156]b	sTAlI BUmO niKanyate RsDi-_257*[156]b
   sthālīsampuṭayantreṇa Rsdhy_63a	sTAlI-sampuwa-yantreNa RsDi-_63a
   sthālīṃ cādhomukhīṃ tv anyāṃ Rsdhy_66c	sTAlIm ca-aDomuKIm tu anyAm RsDi-_66c
   sthālyā bhekaṃ kṣipecca tat Rsdhy_256*[155]d	sTAlyAH Bekam kzipet-ca tat RsDi-_256*[155]d
   sthālyā madhyād viśudhyaivaṃ Rsdhy_258*[157]a	sTAlyAH maDyAt viSuDya-evam RsDi-_258*[157]a
   sthitaḥ sthāne sthirāyate Rsdhy_135d	sTitaH sTAne sTirAyate RsDi-_135d
   sthirībhūtasuvarṇavat Rsdhy_136d	sTirIBUta-suvarNa-vat RsDi-_136d
   snuhī ca girikarṇī ca Rsdhy_92a	snuhI ca girikarNI ca RsDi-_92a
   sphaṭikaṣṭaṅkaṇakṣāras Rsdhy_255*[154]c	sPawikaH-waFkaNa-kzAraH RsDi-_255*[154]c
   sphāṭikāntāni ratnāni Rsdhy_176*[75]a	sPAwika-antAni ratnAni RsDi-_176*[75]a
   svayameva nibadhyate Rsdhy_203*[102]b	svayam-eva nibaDyate RsDi-_203*[102]b
   svayībhuk kusamaṃ kumbhī Rsdhy_103c	svayIBuj kusamam kumBI RsDi-_103c
   svarṇasyotpādanārthaṃ ca Rsdhy_156*[55]c	svarNasya-utpAdana-arTam ca RsDi-_156*[55]c
   svarṇaṃ nāgena hanyate Rsdhy_272*[171]b	svarNam nAgena hanyate RsDi-_272*[171]b
   svarṇābhrasarvalohāni Rsdhy_192*[91]c	svarNa-aBra-sarva-lohAni RsDi-_192*[91]c
   svalpamapyabhrakaṃ sūto Rsdhy_143a	svalpam-api-aBrakam sUtaH RsDi-_143a
   svāṅgaśītaṃ gṛhītvā tat Rsdhy_223*[122]c	svAFgaSItam gRhItvA tat RsDi-_223*[122]c
   svāṅgaśītaṃ ca tad grāhyam Rsdhy_215*[114]c	svAFgaSItam ca tat grAhyam RsDi-_215*[114]c
   svāṅgaśītaṃ ca taṃ jñātvā Rsdhy_181*[80]a	svAFgaSItam ca tam jQAtvA RsDi-_181*[80]a
   svānyopakṛtaye kṛtī Rsdhy_9b	sva-anya-upakRtaye kRtI RsDi-_9b
   svinnastryahe tuṣajale'thabhavetsudīptaḥ Rsdhy_113d	svinnaH-tri-ahe tuza-jale-aTa-Bavet-su-dIptaH RsDi-_113d
   svedanaṃ tuṣajalena tanyate Rsdhy_77d	svedanam tuza-jalena tanyate RsDi-_77d
   svedanīyaṃ raseśvaram Rsdhy_81d	svedanIyam raseSvaram RsDi-_81d
   svedanair vahnir utpanno Rsdhy_76a	svedanEH vahniH utpannaH RsDi-_76a
   svedayan svedayed budhaḥ Rsdhy_127b	svedayan svedayet buDaH RsDi-_127b
   svedayet kāñjike baddhaṃ Rsdhy_124c	svedayet kAQjike badDam RsDi-_124c
   svedayenmṛduvahninā Rsdhy_131b	svedayet-mRdu-vahninA RsDi-_131b
   svedena dīnadīpto'sau grāsārthī jāyate sūtaḥ Rsdhy_116*2	svedena dIna-dIptaH-asO grAsa-arTI jAyate sUtaH RsDi-_116*2
   svedyaṃ sūtaṃ ca mandāgnau Rsdhy_79c	svedyam sUtam ca manda-agnO RsDi-_79c
   haṭhāgnir jvālanīyo 'dho Rsdhy_253*[152]c	haWa-agniH jvAlanIyaH aDas RsDi-_253*[152]c
   haṭhāgniṃ jvālayettataḥ Rsdhy_165*[64]d	haWa-agnim jvAlayet-tatas RsDi-_165*[64]d
   haṭhāgniṃ jvālayet tataḥ Rsdhy_215*[114]b	haWa-agnim jvAlayet tatas RsDi-_215*[114]b
   haṭhāgniṃ jvālayettathā Rsdhy_159*[58]d	haWa-agnim jvAlayet-taTA RsDi-_159*[58]d
   haṭhāgniṃ jvālayet sudhīḥ Rsdhy_119b	haWa-agnim jvAlayet suDIH RsDi-_119b
   haṭhāgniṃ jvālayed adhaḥ Rsdhy_109b	haWa-agnim jvAlayet aDas RsDi-_109b
   haṭhāgniṃ jvālayedadhaḥ Rsdhy_229*[128]d	haWa-agnim jvAlayet-aDas RsDi-_229*[128]d
   haṭhena vahninādhmātaḥ Rsdhy_136c	haWena vahninA-ADmAtaH RsDi-_136c
   hanti tejaḥ śarīrasya Rsdhy_21c	hanti tejaH SarIrasya RsDi-_21c
   haritālaṃ ca vaṅgakam Rsdhy_271*[170]b	haritAlam ca vaFgakam RsDi-_271*[170]b
   haridrā tilaparṇikā Rsdhy_100b	haridrA tilaparNikA RsDi-_100b
   haviṣyānnasya bhojanam Rsdhy_11b	havizya-annasya Bojanam RsDi-_11b
   hastapramāṇikaṃ gartaṃ Rsdhy_222*[121]c	hasta-pramANikam gartam RsDi-_222*[121]c
   hastābhyāṃ mardanīyāste Rsdhy_297*[196]c	hastAByAm mardanIyAH-te RsDi-_297*[196]c
   hastiśuṇḍīndravāruṇī Rsdhy_103d	hastiSuNxI-indravAruNI RsDi-_103d
   hiṅgukhoṭe nave nave Rsdhy_287*[186]d	hiFgu-Kowe nave nave RsDi-_287*[186]d
   hiṅgupūṣā ca tannāśe Rsdhy_88a	hiFgu-pUzA ca tad-nASe RsDi-_88a
   hiṅgulena tathā lohaṃ Rsdhy_271*[170]c	hiFgulena taTA loham RsDi-_271*[170]c
   himajaṃ tithivarṇakam Rsdhy_259*[158]b	himajam tiTi-varNakam RsDi-_259*[158]b
   himarājiṃ ca jārayet Rsdhy_153d	himarAjim ca jArayet RsDi-_153d
   hīrakānāṃ ca viṃśatiḥ Rsdhy_297*[196]b	hIrakAnAm ca viMSatiH RsDi-_297*[196]b
   hīrakān kurugolakam Rsdhy_293*[192]d	hIrakAn kuru-golakam RsDi-_293*[192]d
   hīrake 'nnapathe jīrṇe Rsdhy_173*[72]c	hIrake anna-paTe jIrNe RsDi-_173*[72]c
   hīrako jāyate sphuṭam Rsdhy_288*[187]b	hIrakaH jAyate sPuwam RsDi-_288*[187]b
   hīrāś cānnapathā budhaiḥ Rsdhy_292*[191]d	hIrAH ca-anna-paTAH buDEH RsDi-_292*[191]d
   hīrāścānnapathīkṛtāḥ Rsdhy_295*[194]d	hIrAH-ca-anna-paTIkRtAH RsDi-_295*[194]d
   hema tasyāpi cūrṇakam Rsdhy_217*[116]b	hema tasya-api cUrNakam RsDi-_217*[116]b
   hemapattraṃ pralepayet Rsdhy_185*[84]d	hema-pattram pralepayet RsDi-_185*[84]d
   hemapiṣṭānusaṃpiṣṭaṃ Rsdhy_210*[109]c	hema-pizwa-anusaMpizwam RsDi-_210*[109]c
   hemarājicatuḥṣaṣṭi- Rsdhy_208*[107]c	hemarAji-catuHzazwi RsDi-_208*[107]c
   hemarājir bhaved dhruvam Rsdhy_231*[130]b	hema-rAjiH Bavet Druvam RsDi-_231*[130]b
   hemarājiśca kovidaiḥ Rsdhy_155*[54]d	hema-rAjiH-ca kovidEH RsDi-_155*[54]d
   hemā kriyā hemamukhe Rsdhy_126c	hemA kriyAH hema-muKe RsDi-_126c
   hemāntarnihite valle Rsdhy_261*[160]a	hema-antar-nihite valle RsDi-_261*[160]a
