   akārādikṣakārāntam VT_252c	akAra-Adi-kzakAra-antam VT_252c
   śiṣyāṇāṃ karayor dvayoḥ VT_37d	SizyANAm karayoH dvayoH VT_37d
   śiṣyāṇāṃ dantakāṣṭhaṃ ca VT_20c	SizyANAm dantakAzWam ca VT_20c
   śiṣyān āprokṣya vāriṇā VT_36d	SizyAn Aprokzya vAriNA VT_36d
   śiṣyās tantreṣu ye mayā VT_9b	SizyAH tantrezu ye mayA VT_9b
   śīghraṃ siddhim avāpnuyāt VT_387b	SIGram sidDim avApnuyAt VT_387b
   śukrādīnāṃ ca yoginām VT_8b	Sukra-AdInAm ca yoginAm VT_8b
   śukreṇa sarvatobhadre VT_317a	SukreNa sarvatoBadre VT_317a
   śucau janavivarjite VT_52b	SucO jana-vivarjite VT_52b
   śuddhasphaṭikanirmalam VT_74b	SudDa-sPawika-nirmalam VT_74b
   śuddhasphaṭikasaṃkāśaṃ VT_143a	SudDa-sPawika-saMkASam VT_143a
   śubheṣu aśubheṣu ca VT_391d	SuBezu aSuBezu ca VT_391d
   śuṣkāṇi nimbapattrāṇi VT_165c	SuzkANi nimba-pattrANi VT_165c
   śūlapāṇiṃ gadādharam VT_97d	SUlapANim gadADaram VT_97d
   śṛṇu tvaṃ ca varānane VT_260b	SRNu tvam ca varAnane VT_260b
   śṛṇu devi paraṃ guhyaṃ VT_238a	SRNu devi param guhyam VT_238a
   śṛṇu devi prayatnena VT_332a	SRNu devi prayatnena VT_332a
   śṛṇuṣvaikamanā bhadre VT_121a	SRNuzva-ekamanAH Badre VT_121a
   śṛṇuṣvaikākṣaraṃ devi VT_334c	SRNuzva-eka-akzaram devi VT_334c
   śmaśānāgniṃ samādhāya VT_198a	SmaSAna-agnim samADAya VT_198a
   śmaśāne sādhayen mantrī VT_284a	SmaSAne sADayet mantrI VT_284a
   śmaśāne homam ārabhet VT_155d	SmaSAne homam AraBet VT_155d
   śrīkāmaḥ śrīphalaṃ juhyāt VT_187a	SrI-kAmaH SrIPalam juhyAt VT_187a
   śrīkāmo yajanaṃ kuryāt VT_16c	SrI-kAmaH yajanam kuryAt VT_16c
   śrīvṛkṣakotare sthāpya VT_289a	SrI-vRkzakotare sTApya VT_289a
   śrutaṃ mayā mahādeva VT_323a	Srutam mayA mahAdeva VT_323a
   śrutaṃ sammohanaṃ tantraṃ VT_4a	Srutam sammohanam tantram VT_4a
   śrutvā bhavati nirvṛtiḥ VT_122d	SrutvA Bavati nirvRtiH VT_122d
   śrotratvakcakṣuṣā jihvā VT_241c	Srotra-tvac-cakzuzA jihvA VT_241c
   śvapākenāvatāritam VT_171b	SvapAkena-avatAritam VT_171b
   śvetaṃ caiva puṣṭyarthinā VT_350d	Svetam ca-eva puzwi-arTinA VT_350d
   śvetāsṛ kpītakṛ ṣṇāni VT_28a	Sveta-asR kpIta-kR zNAni VT_28a
   ṣaḍaṅgaḥ samudāhṛtaḥ VT_344d	zaxaFgaH samudAhRtaH VT_344d
   ṣaṇḍilas tu bhavet sādhya VT_278a	zaNxilaH tu Bavet sADya VT_278a
   ṣatkauśikaśarīraṃ tu VT_246c	zat-kOSika-SarIram tu VT_246c
   ṣaṣṭhasvarasamanvitā VT_250d	zazWa-svara-samanvitAH VT_250d
   ṣoḍaśasvarasaṃyuktam VT_343c	zoxaSa-svara-saMyuktam VT_343c
   ṣoḍaśaiva śatāni ca VT_239b	zoxaSa-eva SatAni ca VT_239b
   sa eva kurute karma VT_262a	saH eva kurute karma VT_262a
   sakalābāhyasaṃsthitam VT_357b	sakalA-bAhya-saMsTitam VT_357b
   sakale tattvaṃ saṃyojya VT_44c	sakale tattvam saMyojya VT_44c
   sakale sakalātmikā VT_46b	sakale sakala-AtmikA VT_46b
   sa kālaś ca kathaṃ jñeyo VT_237a	sa kAlaH ca kaTam jQeyaH VT_237a
   sakṣīraṃdvādaśāṅgulam VT_20d	sa-kzIraMdvAdaSa-aFgulam VT_20d
   sa tu dīpaśikhopamaḥ VT_142d	sa tu dIpa-SiKA-upamaH VT_142d
   sadā gopitaṃ tan mayā VT_218d	sadA gopitam tat mayA VT_218d
   sadāśive parijñāte VT_234a	sadASive parijQAte VT_234a
   sadbhāvaparasaṃhitam VT_334d	sadBAva-para-saMhitam VT_334d
   sadyotkarṣaṇam uttamam VT_162d	sadya-utkarzaNam uttamam VT_162d
   sadvitānapatākāḍhyaṃ VT_33c	sat-vitAna-patAkA-AXyam VT_33c
   sanmantrāṇy aṣṭaśatāni tu VT_275d	sat-mantrANi azwa-SatAni tu VT_275d
   saptaviṃśa śiraḥ proktaṃ VT_342c	saptaviMSa SiraH proktam VT_342c
   saptāhād ānayed vaśyaṃ VT_276c	sapta-ahAt Anayet vaSyam VT_276c
   saptāhād vaśam ānayet VT_161d	sapta-ahAt vaSam Anayet VT_161d
   saptāhād vaśam ānayet VT_268b	sapta-ahAt vaSam Anayet VT_268b
   saptāhān nāśayed indraṃ VT_158c	sapta-ahAt nASayet indram VT_158c
   sa bhuṅkte vipulān bhogān VT_396a	sa BuFkte vipulAn BogAn VT_396a
   samantād avabhāsitam VT_34b	samantAt avaBAsitam VT_34b
   samayākṣarabījaṃ ca VT_361a	samaya-akzara-bIjam ca VT_361a
   samayebhyaḥ paribhraṣtās VT_320a	samayeByaH pariBraztAH VT_320a
   samāsādyaṃ tu pūrvaśaḥ VT_215b	samAsAdyam tu pUrvaSas VT_215b
   samidhānāṃ tathāsthibhiḥ VT_155b	samiDAnAm taTA-asTiBiH VT_155b
   samidhāṣṭaśataṃ homaṃ VT_156c	samiDA-azwaSatam homam VT_156c
   samutpanneṣu kāryeṣu VT_118a	samutpannezu kAryezu VT_118a
   sampūjya ca yathānyāyaṃ VT_117a	sampUjya ca yaTAnyAyam VT_117a
   sampṛṣṭhe cāstrarājaṃ prakaṭitasumahāsṛkvaṇīlelihānam VT_110b	sampRzWe ca-astra-rAjam prakawita-su-mahA-asRkvaNI-lelihAnam VT_110b
   sampratyayaṃ tu gamyo 'sau VT_144c	sampratyayam tu gamyaH asO VT_144c
   sammukhaḥ sādhakottamaḥ VT_204b	sammuKaH sADaka-uttamaH VT_204b
   samyagjñāya krameṇa tu VT_314d	samyak-jQAya krameNa tu VT_314d
   samyag vai bījapañcakam VT_307d	samyak vE bIja-paQcakam VT_307d
   saridvāpītaṭe 'pi vā VT_18d	sarit-vApI-tawe api vA VT_18d
   sarvakarmasamuddiṣṭaṃ VT_135c	sarva-karma-samuddizwam VT_135c
   sarvakāmapradaṃ deva VT_6c	sarva-kAma-pradam deva VT_6c
   sarvakāmapradaṃ devi VT_128a	sarva-kAma-pradam devi VT_128a
   sarvakāmaprasiddhaye VT_123d	sarva-kAma-prasidDaye VT_123d
   sarvakāmaprasiddhidam VT_292b	sarva-kAma-prasidDi-dam VT_292b
   sarvakāmaphalapradam VT_67b	sarva-kAma-Pala-pradam VT_67b
   sarvakāmas tilaṃ juhyāt VT_188c	sarva-kAmaH tilam juhyAt VT_188c
   sarvakāmas tu mantriṇām VT_315d	sarva-kAmaH tu mantriNAm VT_315d
   sarvakāmikam eva ca VT_351d	sarva-kAmikam eva ca VT_351d
   sarvajñenāpi sarvadā VT_312d	sarvajQena-api sarvadA VT_312d
   sarvatantreṣu cottaram VT_128d	sarva-tantrezu ca-uttaram VT_128d
   sarvatantreṣu siddhidam VT_259b	sarva-tantrezu sidDi-dam VT_259b
   sarvatra sulabhaṃ śāstraṃ VT_137c	sarvatra sulaBam SAstram VT_137c
   sarvadā cārkasomayoḥ VT_15d	sarvadA ca-arka-somayoH VT_15d
   sarvadāvyabhicāriṇī VT_359d	sarva-dA-avyaBicAriNI VT_359d
   sarvadāsarvakāmadāḥ VT_222b	sarvadA-sarva-kAma-dAH VT_222b
   sarvadaivatasaṃyutam VT_247d	sarva-dEvata-saMyutam VT_247d
   sarvabījagaṇaṃ hi yat VT_249d	sarva-bIja-gaNam hi yat VT_249d
   sarvamantragaṇādayaḥ VT_346d	sarva-mantra-gaNa-AdayaH VT_346d
   sarvam etat parityajya VT_347c	sarvam etat parityajya VT_347c
   sarvam eva ca śaṅkara VT_237d	sarvam eva ca SaFkaraH VT_237d
   sarvalokeṣu dṛśyante VT_281a	sarva-lokezu dRSyante VT_281a
   sarvavarṇadharaṃ caiva VT_351c	sarva-varNa-Daram ca-eva VT_351c
   sarvavarṇitakarṇikām VT_95b	sarva-varNita-karNikAm VT_95b
   sarvasiddhikaraṃ param VT_391b	sarva-sidDi-karam param VT_391b
   sarvasiddhipradāyakam VT_67d	sarva-sidDi-pradAyakam VT_67d
   sarvasiddhiprado bhavet VT_365d	sarva-sidDi-pradaH Bavet VT_365d
   sarvasiddhiṣu bhāmini VT_81d	sarva-sidDizu BAmini VT_81d
   sarvasrotaḥprapannānām VT_327a	sarva-srotaH-prapannAnAm VT_327a
   sarvasvenāpare vidhā? VT_50b	sarva-svena-apare viDA? VT_50b
   sarvaṃ kuryād vicakṣaṇaḥ VT_230b	sarvam kuryAt vicakzaNaH VT_230b
   sarvaṃ sidhyati sādhake VT_316d	sarvam siDyati sADake VT_316d
   sarvāṇy etais tu kārayet VT_129b	sarvANi etEH tu kArayet VT_129b
   sarvābharaṇabhūṣitām VT_105d	sarva-ABaraNa-BUzitAm VT_105d
   sarvārṇavaṃ samānayet VT_288b	sarva-arNavam samAnayet VT_288b
   sarvālaṃkārabhūṣitaḥ VT_51b	sarva-alaMkAra-BUzitaH VT_51b
   sarvendriyāṇāṃ kurvīta VT_352a	sarva-indriyANAm kurvIta VT_352a
   sarve yāgasamuddiṣtāḥ VT_233a	sarve yAga-samuddiztAH VT_233a
   sarveṣāṃ kathitā mayā VT_375b	sarvezAm kaTitAH mayA VT_375b
   sarveṣāṃ guhyamantrāṇāṃ VT_394c	sarvezAm guhya-mantrANAm VT_394c
   sarveṣāṃ jāyate priyaḥ VT_186b	sarvezAm jAyate priyaH VT_186b
   savisarganayapadaṃ bījāntasthaṃ(?) VT_345c	sa-visarga-naya-padam bIja-anta-sTaM(?) VT_345c
   sa siddhiphalabhāg bhavet VT_309d	sa sidDi-Pala-BAj Bavet VT_309d
   sasmitotphullalocanām VT_102b	sa-smita-utPulla-locanAm VT_102b
   sahasraṃ parivartayet VT_370b	sahasram parivartayet VT_370b
   sahasrāṣtādhikaṃ japtvā VT_280c	sahasrAzta-aDikam japtvA VT_280c
   saṃkate bahupātake VT_326d	saMkate bahu-pAtake VT_326d
   saṃkruddhaṃ bhīṣayantaṃ nararudhiravasādigdhadāntākalālaṃ VT_110c	saMkrudDam BIzayantam nara-ruDira-vasA-digDa-dAntA-kalAlam VT_110c
   saṃgrāme vijayārthī vā VT_17a	saMgrAme vijaya-arTI vA VT_17a
   saṃnibhāni krameṇa tu VT_65d	saMniBAni krameNa tu VT_65d
   saṃbhinnāni yathākramam VT_66(em.)d	saMBinnAni yaTAkramam VT_66(em.)d
   saṃyuktaṃ pañcaviṃśakam VT_59d	saMyuktam paQcaviMSakam VT_59d
   saṃyogaṃ ca layaṃ tathā VT_360d	saMyogam ca layam taTA VT_360d
   saṃyojya vidhivad bījair VT_44a	saMyojya viDivat bIjEH VT_44a
   saṃhārāstravidarbhitam VT_212d	saMhAra-astra-vidarBitam VT_212d
   saṃhārāstraṃ tato mantrī VT_209a	saMhAra-astram tatas mantrI VT_209a
   saṃhārāstreṇa kurvīta VT_78a	saMhAra-astreNa kurvIta VT_78a
   saṃhārāstreṇa digbandhaḥ VT_69a	saMhAra-astreNa digbanDaH VT_69a
   sākāreṇa tu sādhayet VT_295d	sa-AkAreNa tu sADayet VT_295d
   sādhakasya hitārthāya VT_258a	sADakasya hita-arTAya VT_258a
   sādhakasyāgrataḥ sthitāḥ VT_306b	sADakasya-agratas sTitAH VT_306b
   sādhakaḥ sa jitendriyaḥ VT_189b	sADakaH sa jita-indriyaH VT_189b
   sādhakaḥ saṃyatavrataḥ VT_152d	sADakaH saMyata-vrataH VT_152d
   sādhakaḥ susamāhitaḥ VT_303d	sADakaH su-samAhitaH VT_303d
   sādhakānāṃ hitāya vai VT_240d	sADakAnAm hitAya vE VT_240d
   sādhako ghorarūpeṇa VT_158a	sADakaH Gora-rUpeNa VT_158a
   sādhayet sarvakarmāṇi VT_394a	sADayet sarva-karmANi VT_394a
   sādhayed akhilaṃ jagat VT_367d	sADayet aKilam jagat VT_367d
   sādhayen manasā dhyātvā VT_386c	sADayet manasA DyAtvA VT_386c
   sādhayen manasā sarvaṃ VT_383c	sADayet manasA sarvam VT_383c
   sādhikārapare sthitān VT_47b	sa-aDikAra-pare sTitAn VT_47b
   sādhikārādhvanaḥ purā VT_46d	sa-aDikAra-aDvanaH purA VT_46d
   sādhyate 'nena prayogeṇa VT_180c	sADyate anena prayogeNa VT_180c
   sādhyanāma tu pūrvataḥ VT_228b	sADya-nAma tu pUrvatas VT_228b
   sādhyanāma vidarbhayet VT_195b	sADya-nAma vidarBayet VT_195b
   sādhyanāmākṣarānvitaiḥ VT_227b	sADya-nAma-akzara-anvitEH VT_227b
   sādhyanāmākṣaropetaṃ VT_205c	sADya-nAma-akzara-upetam VT_205c
   sādhyam antobahiryutam VT_202d	sADyam antobahis-yutam VT_202d
   sādhyam āvṛtya yogavit VT_209d	sADyam AvRtya yoga-vid VT_209d
   sādhyam āveṣtam ānayet VT_203b	sADyam Aveztam Anayet VT_203b
   sādhyam evaṃ vaśīkuru VT_289b	sADyam evam vaSIkuru VT_289b
   sādhyasya vilikhen nāma VT_288c	sADyasya viliKet nAma VT_288c
   sādhyahṛtkamalāntaḥsthaṃ VT_208a	sADya-hRd-kamala-antar-sTam VT_208a
   sādhyahṛtpadmasaṃsthaṃ tu VT_201c	sADya-hRd-padma-saMsTam tu VT_201c
   sādhyaṃ tu sādhakaś caiva VT_160a	sADyam tu sADakaH ca-eva VT_160a
   sādhyaḥ kiṃkarito mahān VT_206d	sADyaH kiMkaritaH mahAn VT_206d
   sādhyaḥ prayāti nidhanaṃ VT_214c	sADyaH prayAti niDanam VT_214c
   sādhye vai bījapañcakam VT_204d	sADye vE bIja-paQcakam VT_204d
   sārabhūtaṃ maheśvara VT_325b	sAra-BUtam maheSvaraH VT_325b
   sāram etad dhi tantrasya VT_322a	sAram etat Di tantrasya VT_322a
   sāvitrīṃ divyarūpāṃ VT_109c	sAvitrIm divya-rUpAm VT_109c
   sāvitryā dāpayed budhaḥ VT_20b	sAvitryAH dApayet buDaH VT_20b
   sāvitryā deśikottamaḥ VT_19b	sAvitryA deSikA-uttamaH VT_19b
   sāvitryā pūjayet tataḥ VT_40d	sAvitryA pUjayet tatas VT_40d
   sāvitryā prokṣayed bhūyas VT_21c	sAvitryA prokzayet BUyas VT_21c
   sāvitryā mukham āsādya VT_37a	sAvitryAH muKam AsAdya VT_37a
   sitaraktapītakṛṣṇāṃ VT_95c	sita-rakta-pIta-kRzNAm VT_95c
   siddhacāraṇasevite VT_1d	sidDa-cAraNa-sevite VT_1d
   siddhaye śṛṇu suvrate VT_219b	sidDaye SRNu suvrate VT_219b
   siddhārthamaṇḍale vāpi VT_115a	sidDArTa-maNxale vA-api VT_115a
   siddhikāmaḥ samāhitaḥ VT_113b	sidDi-kAmaH samAhitaH VT_113b
   siddhim āpnoti puṣkalām VT_106b	sidDim Apnoti puzkalAm VT_106b
   siddhim āpnoti puṣkalām VT_200b	sidDim Apnoti puzkalAm VT_200b
   siddhir bhavati kāmadā VT_119d	sidDiH Bavati kAma-dA VT_119d
   siddhir bhavati mantriṇām VT_238d	sidDiH Bavati mantriNAm VT_238d
   siddhir yenāśu jāyate VT_136d	sidDiH yena-ASu jAyate VT_136d
   siddhir hastatale sthitā VT_333b	sidDiH hasta-tale sTitA VT_333b
   siddhis tantreṣu kīrtitā VT_200d	sidDiH tantrezu kIrtitAH VT_200d
   siddhiṃ śāmyanti sādhakāḥ VT_234b	sidDim SAmyanti sADakAH VT_234b
   sidhyate nātra saṃdehaḥ VT_315c	siDyate na-atra saMdehaH VT_315c
   sugandhaiś ca vicitraiś ca VT_220c	suganDEH ca vicitrEH ca VT_220c
   sugupte nirjane deśe VT_18c	su-gupte nirjane deSe VT_18c
   suptaṃ bodhayate mantrī VT_387a	suptam boDayate mantrI VT_387a
   subhaktasya vinītasya VT_8c	su-Baktasya vinItasya VT_8c
   suragopakasaprabhām VT_102d	suragopaka-sapraBAm VT_102d
   surāsuranamaskṛtam VT_321d	sura-asura-namaskRtam VT_321d
   suṣiraṃ tattvarājānaṃ VT_339c	suziram tattva-rAjAnam VT_339c
   suṣiraṃ tatra cintayet VT_352d	suziram tatra cintayet VT_352d
   suṣumnāntargataś caiva VT_145c	suzumnA-antargataH ca-eva VT_145c
   suṣumnāntargataṃ dhyātvā VT_217a	suzumnA-antargatam DyAtvA VT_217a
   suṣumnā mokṣadā caiva VT_147c	suzumnA mokza-dA ca-eva VT_147c
   suṣumnāyāganirgadā ? VT_208d	suzumnA-yAga-nirgadAH ? VT_208d
   suṣumnāyāṃ yadā deva VT_256c	suzumnAyAm yadA devaH VT_256c
   suṣumnāyāṃ yadā devaḥ VT_216c	suzumnAyAm yadA devaH VT_216c
   susame bhūmideśe tu VT_52c	su-same BUmi-deSe tu VT_52c
   susiddhiṃ labhate param VT_13d	su-sidDim laBate param VT_13d
   sūkṣmaguhyasamudbhavām VT_356d	sUkzma-guhya-samudBavAm VT_356d
   sūkṣmāt sūkṣmataraṃ mahat VT_332b	sUkzmAt sUkzmataram mahat VT_332b
   sūtrayed guhyadeśe tu VT_276a	sUtrayet guhya-deSe tu VT_276a
   sūryakoṭisamaprabham VT_99d	sUrya-kowi-sama-praBam VT_99d
   sūryakoṭisamaprabham VT_353d	sUrya-kowi-sama-praBam VT_353d
   sūryacakraniruddhaṃ tu VT_368a	sUrya-cakra-nirudDam tu VT_368a
   sūryāyutapratīkāśīṃ VT_105c	sUrya-ayuta-pratIkASIm VT_105c
   sṛṣṭisaṃhārakārikā VT_146d	sRzwi-saMhAra-kArikAH VT_146d
   saikthīṃ tu pratimāṃ kṛtvā VT_270a	sEkTIm tu pratimAm kRtvA VT_270a
   sodaremūkatāṃ kuryād VT_293c	sa-udaremUka-tAm kuryAt VT_293c
   somamaṇḍalamadhyasthaṃ VT_364c	soma-maNxala-maDya-sTam VT_364c
   saukaraḥ parikīrtitaḥ VT_336b	sOkaraH parikIrtitaH VT_336b
   saubhāgyakaraṇaṃ mahat VT_16b	sOBAgya-karaNam mahat VT_16b
   saumyāni saumyakāle tu VT_265a	sOmyAni sOmya-kAle tu VT_265a
   saumyeśāntāni lekhayet VT_28d	sOmya-ISa-antAni leKayet VT_28d
   sauvarṇaṃ rajataṃ tāmraṃ VT_114a	sOvarNam rajatam tAmram VT_114a
   stambhane cintayet sadā VT_351b	stamBane cintayet sadA VT_351b
   stūyamāno mahāsiddhair VT_c	stUyamAnaH mahA-sidDEH VT_c
   striyaṃ caiva likhet tatra VT_153a	striyam ca-eva liKet tatra VT_153a
   striyaṃ vā puruṣam api vā VT_276d	striyam vA puruzam api vA VT_276d
   striyāyāḥ sādhakottamaḥ VT_195d	striyAyAH sADaka-uttamaH VT_195d
   strī vā madanagarvitā VT_286b	strI vA madana-garvitA VT_286b
   sthitaṃ sakalaniṣkalam VT_240b	sTitam sakala-nizkalam VT_240b
   sthitāḥ kalpaśatair api VT_319b	sTitAH kalpa-SatEH api VT_319b
   sphāṭikamaṇibhūṣitām VT_108d	sPAwika-maNi-BUzitAm VT_108d
   sphuliṅgaṃ karṇikārūpaṃ VT_353a	sPuliFgam karNikA-rUpam VT_353a
   smaraṇāt siddhidaḥ smṛtaḥ VT_334b	smaraNAt sidDi-daH smRtaH VT_334b
   syāpyudgataṃ tu ? tataḥ VT_213b	sya-api-udgatam tu ? tatas VT_213b
   sragmālālaṃkṛtaṃ puram VT_33d	sragmAla-alaMkRtam puram VT_33d
   sragmālālaṃkṛtaiḥ śubhaiḥ VT_36b	sraj-mAla-alaMkRtEH SuBEH VT_36b
   sragvī sitoṣṇīṣī caiva VT_51a	sragvI sita-uzNIzI ca-eva VT_51a
   sravantaṃ mūrdhni paramaṃ VT_73c	sravantam mUrDni paramam VT_73c
   svakāle samprayogeṇa VT_200c	sva-kAle samprayogeNa VT_200c
   svacchacāmīkaraprakhyām VT_31c	svacCa-cAmIkara-praKyAm VT_31c
   svadehe namasā mantrī VT_304a	sva-dehe namasA mantrI VT_304a
   svapec ca kuśasaṃstare VT_23b	svapet ca kuSa-saMstare VT_23b
   svabījair eva tad dhutvā VT_43c	sva-bIjEH eva tat DutvA VT_43c
   svayaṃgṛhītamantrāś ca VT_319c	svayaMgRhIta-mantrAH ca VT_319c
   svayaṃcāreṇa vartate VT_216d	svayaMcAreNa vartate VT_216d
   svaraktaṃ gocanaṃ caiva VT_266c	sva-raktam gocanam ca-eva VT_266c
   svaraktena vṛṣodare VT_288d	sva-raktena vRzodare VT_288d
   svaravarṇaṃ ca śobhane VT_58b	svara-varNam ca SoBane VT_58b
   svalpaprāyeṣu kāryeṣu VT_300c	su-alpa-prAyezu kAryezu VT_300c
   svaśoṇitāktaṃ laśunaṃ VT_231a	sva-SoNita-aktam laSunam VT_231a
   svasthacitto hy asammūḍha VT_378a	svasTa-cittaH hi asammUXaH VT_378a
   svasthānasthais tu mantriṇaḥ VT_275b	sva-sTAna-sTEH tu mantriNaH VT_275b
   svādubhir vyañjanais tathā VT_34d	svAduBiH vyaQjanEH taTA VT_34d
   svāni karmāṇi sādhakaḥ VT_201b	svAni karmANi sADakaH VT_201b
   svāhākārāvasānataḥ VT_385b	svAhAkAra-avasAnataH VT_385b
   svāhā home prakīrtitam VT_230d	svAhA home prakIrtitam VT_230d
   svena bijena tumburum VT_29d	svena bijena tumburum VT_29d
   svaiḥ svair bījair nyaset puṣpān VT_37c	svEH svEH bIjEH nyaset puzpAn VT_37c
   svaiḥ svair bījair yathākramam VT_32d	svEH svEH bIjEH yaTAkramam VT_32d
   hakāraś cādimadhyataḥ VT_388d	hakAraH ca-Adi-maDyataH VT_388d
   ha ra tra vṛddhiṃ karoti VT_346a	ha ra tra vRdDim karoti VT_346a
   haridre dve tu pīṣayet VT_282b	haridre dve tu pIzayet VT_282b
   haste dehe punaḥ kramāt VT_82d	haste dehe punar kramAt VT_82d
   hastau vāgindriyas tathā VT_241b	hastO vAc-indriyaH taTA VT_241b
   hastau saṃśodhayet paścād VT_78c	hastO saMSoDayet paScAt VT_78c
   haṃsamadhyeṣu pūjitam VT_297d	haMsa-maDyezu pUjitam VT_297d
   haṃso māyāyukto devi VT_345a	haMsaH mAyA-yuktaH devi VT_345a
   hārakeyūrabhūṣitām VT_101b	hAra-keyUra-BUzitAm VT_101b
   hārakeyūrabhūṣitām VT_103d	hAra-keyUra-BUzitAm VT_103d
   himakundendusaṃkāśo VT_255a	hima-kunda-indu-saMkASaH VT_255a
   hīno vā sarvalakṣaṇaiḥ VT_309b	hInaH vA sarva-lakzaNEH VT_309b
   hūṃkāram adito nyastam VT_384a	hUMkAram aditaH nyastam VT_384a
   hūṃkāram ādau ante ca VT_388c	hUMkAram AdO ante ca VT_388c
   hūṃkāraś ca rakāraś ca VT_389c	hUMkAraH ca rakAraH ca VT_389c
   hūṃkāreṇa prabodhayet VT_371b	hUMkAreNa praboDayet VT_371b
   hūṃphatkārānta dyan ? takaiḥ VT_229b	hUMPatkAra-anta dyan ? takEH VT_229b
   hūṃ phatkārānte vyavasthitā VT_300b	hUm PatkAra-ante vyavasTitA VT_300b
   hṛccakre viniyojayet VT_364b	hRd-cakre viniyojayet VT_364b
   hṛtpadmakarṇikordhvaṃ tu VT_352c	hRd-padma-karNikA-UrDvam tu VT_352c
   hṛtpadme karṇikāvastha VT_245a	hRd-padme karNikA-avasTaH VT_245a
   hṛtpadme karṇikāsīna- VT_376c	hRd-padme karNikA-AsIna VT_376c
   hṛtpadme yogavinyāsaṃ VT_138c	hRd-padme yoga-vinyAsam VT_138c
   hṛdayaṃ devadevīnām VT_310c	hRdayam deva-devInAm VT_310c
   hṛdi caiṣa nigadyate VT_342b	hRdi ca-eza nigadyate VT_342b
   hṛdi baddhvāṅkuśenaiva VT_211a	hRdi badDvA-aFkuSena-eva VT_211a
   hṛdi vāmakare 'thavā VT_112d	hRdi vAma-kare aTavA VT_112d
   hṛnmudrāṅgulidarśanāt VT_48b	hRd-mudrA-aFguli-darSanAt VT_48b
   hotavyāṣtaśataṃ budhaḥ VT_273d	hota-vyAzta-Satam buDaH VT_273d
   homakarma hy udāhṛtam VT_393b	homa-karma hi udAhRtam VT_393b
   homadravyasya sarvasya VT_42c	homa-dravyasya sarvasya VT_42c
   homabījaprayogataḥ VT_392b	homa-bIja-prayogataH VT_392b
   homayec ca vicakṣaṇaḥ VT_232d	homayet ca vicakzaNaH VT_232d
   homayet phalabījāni VT_392c	homayet Pala-bIjAni VT_392c
   homayed avicāraṇāt VT_232b	homayet avicAraNAt VT_232b
   homayed evam evaṃ tu VT_230a	homayet evam evam tu VT_230a
   homānte tu tataḥ śakraṃ VT_157a	homa-ante tu tatas Sakram VT_157a
   homānte tu dhyāyet sādhyaṃ VT_160c	homa-ante tu DyAyet sADyam VT_160c
