   akalādhipabhṛtyadarśitaṃ BhKir_3.59a	akala-aDipa-BRtya-darSitam BhKiH-_3.59a
   ayam acyutaś ca vacanena BhKir_12.35a	ayam acyutaH ca vacanena BhKiH-_12.35a
   ayam anekahiraṇmayakaṃdaras BhKir_5.45c	ayam aneka-hiraNmaya-kaMdaraH BhKiH-_5.45c
   ayam asau bhagavān uta pāṇḍavaḥ BhKir_18.9a	ayam asO BagavAn uta pANxavaH BhKiH-_18.9a
   ayam ekacaro 'bhivartate māṃ BhKir_13.3c	ayam ekacaraH aBivartate mAm BhKiH-_13.3c
   ayam eva mṛgavyasattrakāmaḥ BhKir_13.9a	ayam eva mRgavya-sattra-kAmaH BhKiH-_13.9a
   ayaśas te khalu cāpalāśrayam BhKir_2.41d	ayaSaH te Kalu cApala-ASrayam BhKiH-_2.41d
   ayaśaḥśalyam uddhare BhKir_11.79d	ayaSaH-Salyam udDare BhKiH-_11.79d
   ayaṃ pramāṇīkṛtakālasādhanaḥ BhKir_14.2c	ayam pramANIkRta-kAla-sADanaH BhKiH-_14.2c
   ayaṃ vaḥ klaibyam āpannān BhKir_15.19a	ayam vaH klEbyam ApannAn BhKiH-_15.19a
   ayātapūrvā parivādagocaraṃ BhKir_14.11c	ayAta-pUrvA parivAda-gocaram BhKiH-_14.11c
   ayāvakaṃ vepathur oṣṭhapallavam BhKir_8.52b	ayAvakam vepaTuH ozWa-pallavam BhKiH-_8.52b
   ayugapad unnamitabhru vīkṣitaṃ ca BhKir_10.61d	ayugapad unnamita-Bru vIkzitam ca BhKiH-_10.61d
   araktakaṇṭhasya rute śikhaṇḍinaḥ BhKir_4.25b	arakta-kaNWasya rute SiKaNxinaH BhKiH-_4.25b
   arañjayad rājaśiraḥsrajāṃ rajaḥ BhKir_1.40b	araQjayat rAja-SiraH-srajAm rajaH BhKiH-_1.40b
   arātibhiḥ pratyurasaṃ kṣatānām BhKir_16.9b	arAtiBiH pratyurasam kzatAnAm BhKiH-_16.9b
   arātiṣv abhilāṣukaḥ BhKir_11.18b	arAtizu aBilAzukaH BhKiH-_11.18b
   ariṣu hi vijayārthinaḥ kṣitīśā BhKir_1.45c	arizu hi vijaya-arTinaH kzitISAH BhKiH-_1.45c
   aruṇitanīlatṛṇolapā dharitrī BhKir_10.3d	aruNita-nIla-tRNa-ulapA DaritrI BhKiH-_10.3d
   arudhyetām itīvāsyā BhKir_11.52c	aruDyetAm iti-iva-asyAH BhKiH-_11.52c
   aruṃtudatvaṃ mahatāṃ hy agocaraḥ BhKir_14.55d	aruMtuda-tvam mahatAm hi agocaraH BhKiH-_14.55d
   arkatviṣām ahna ivāvaśeṣaḥ BhKir_3.43d	arka-tvizAm ahnaH iva-avaSezaH BhKiH-_3.43d
   arkatviṣonmīlitam abhyudeti BhKir_16.12c	arka-tvizA-unmIlitam aByudeti BhKiH-_16.12c
   arkasya pādā iva haimanasya BhKir_17.12d	arkasya pAdAH iva hEmanasya BhKiH-_17.12d
   arkaḥ payāṃsīva samācacāma BhKir_17.35d	arkaH payAMsi-iva samAcacAma BhKiH-_17.35d
   arjayan gatvarīḥ śriyaḥ BhKir_11.21b	arjayan gatvarIH SriyaH BhKiH-_11.21b
   arthakāmau sma mā puṣaḥ BhKir_11.20b	arTa-kAmO sma mA puzaH BhKiH-_11.20b
   arthitas tu na mahān samīhate BhKir_13.56c	arTitaH tu na mahAn samIhate BhKiH-_13.56c
   arthitā katham ivāryasaṃgame BhKir_13.69d	arTitA kaTam iva-Arya-saMgame BhKiH-_13.69d
   alaktatāmrādharapallavaśriyā BhKir_4.7c	alakta-tAmra-aDara-pallava-SriyA BhKiH-_4.7c
   alaghunitambatayā ciraṃ niṣede BhKir_10.2d	alaGu-nitamba-tayA ciram nizede BhKiH-_10.2d
   alaghuni bahu menire ca tāḥ svaṃ BhKir_10.16c	alaGuni bahu menire ca tAH svam BhKiH-_10.16c
   alaṅghanīyaṃ prakṛtāv api sthitaṃ BhKir_14.37c	alaFGanIyam prakRtO api sTitam BhKiH-_14.37c
   alaṅghyatvāj janair anyaiḥ BhKir_11.40a	alaFGya-tvAt janEH anyEH BhKiH-_11.40a
   alaṅghyaṃ tat tad udvīkṣya BhKir_11.60a	alaFGyam tat tat udvIkzya BhKiH-_11.60a
   alam eṣa vilokitaḥ prajānāṃ BhKir_5.17a	alam eza vilokitaH prajAnAm BhKiH-_5.17a
   alasapadamanoramaṃ prakṛtyā BhKir_10.60a	alasa-pada-manoramam prakRtyA BhKiH-_10.60a
   alaṃkṛtaṃ kesarareṇuṇāṇunā BhKir_4.7b	alaMkRtam kesara-reNuNA-aNunA BhKiH-_4.7b
   alaṃkṛtaṃ tadvapuṣaiva maṇḍanam BhKir_8.40d	alaMkRtam tad-vapuzA-eva maNxanam BhKiH-_8.40d
   alaṃkṛtānām ṛjutāguṇena BhKir_17.29a	alaMkRtAnAm Rju-tA-guNena BhKiH-_17.29a
   alaṃkṛtāmbuḥ pratimāgatair mukhaiḥ BhKir_8.44b	alaMkRta-ambuH pratimA-AgatEH muKEH BhKiH-_8.44b
   alikulam alakākṛtiṃ prapede BhKir_10.33c	ali-kulam alaka-AkRtim prapede BhKiH-_10.33c
   alpīyaso 'py āmayatulyavṛtter BhKir_16.24c	alpIyasaH api Amaya-tulya-vRtteH BhKiH-_16.24c
   avagāḍham īkṣitum ivaibhapatiṃ BhKir_6.11c	avagAXam Ikzitum iva-EBa-patim BhKiH-_6.11c
   avagītāṃ gamite daśām imām BhKir_2.7b	avagItAm gamite daSAm imAm BhKiH-_2.7b
   avacayaparibhogavanti hiṃsraiḥ BhKir_10.5a	avacaya-pariBogavanti hiMsrEH BhKiH-_10.5a
   avajitabhuvanas tathā hi lebhe BhKir_10.35c	avajita-BuvanaH taTA hi leBe BhKiH-_10.35c
   avadyan patriṇaḥ śambhoḥ BhKir_15.37a	avadyan patriNaH SamBoH BhKiH-_15.37a
   avadhīritārtavaguṇaṃ sukhatāṃ BhKir_6.25c	avaDIrita-Artava-guNam suKa-tAm BhKiH-_6.25c
   avadhūtapaṅkajaparāgakaṇās BhKir_6.3a	avaDUta-paFkaja-parAga-kaNAH BhKiH-_6.3a
   avadhūya virodhinīḥ kim ārān BhKir_13.5c	avaDUya viroDinIH kim ArAn BhKiH-_13.5c
   avadhūyāribhir nītā BhKir_11.58a	avaDUya-ariBiH nItA BhKiH-_11.58a
   avaniṣu caraṇaiḥ pṛthustanīnām BhKir_10.2c	avanizu caraNEH pRTu-stanInAm BhKiH-_10.2c
   avandhyakopasya nihantur āpadāṃ BhKir_1.33a	avanDya-kopasya nihantuH ApadAm BhKiH-_1.33a
   avabodhavāri rajasaḥ śamanam BhKir_6.41b	avaboDa-vAri rajasaH Samanam BhKiH-_6.41b
   avayayur amarastriyo 'sya yatnaṃ BhKir_10.15c	avayayuH amara-striyaH asya yatnam BhKiH-_10.15c
   avayavadīpitamaṇḍanaśriyas tāḥ BhKir_10.1b	avayava-dIpita-maNxana-SriyaH tAH BhKiH-_10.1b
   avarugṇatuṅgasuradārutarau BhKir_6.5a	avarugNa-tuFga-sura-dArutarO BhKiH-_6.5a
   avalambya vyavasāyavandhyatām BhKir_2.15b	avalambya vyavasAya-vanDyatAm BhKiH-_2.15b
   avalīḍhasanābhir aśvasenaḥ BhKir_13.11a	avalIXa-sanABiH aSvasenaH BhKiH-_13.11a
   avasādam eti nayanāñjalibhiḥ BhKir_6.41d	avasAdam eti nayana-aQjaliBiH BhKiH-_6.41d
   avasādaṃ viśikhau vininyatus tam BhKir_13.29d	avasAdam viSiKO vininyatuH tam BhKiH-_13.29d
   avasāyayituṃ kṣamāḥ sukhaṃ BhKir_2.29c	avasAyayitum kzamAH suKam BhKiH-_2.29c
   avasīdati yat surair api BhKir_2.7c	avasIdati yat surEH api BhKiH-_2.7c
   avahitahṛdayo vidhāya sa arhām BhKir_2.58a	avahita-hRdayaH viDAya sa arhAm BhKiH-_2.58a
   avāṅmukhībhūtaphalāḥ patantaḥ BhKir_17.30b	avAFmuKIBUta-PalAH patantaH BhKiH-_17.30b
   avāptakiñjalkavibhedam uccakair BhKir_4.5c	avApta-kiQjalka-viBedam uccakEs BhKiH-_4.5c
   avikṣate tatra mayātmasātkṛte BhKir_14.17c	avikzate tatra mayA-AtmasAt-kRte BhKiH-_14.17c
   avigrahasyāpy atulena hetunā BhKir_18.33a	avigrahasya-api atulena hetunA BhKiH-_18.33a
   avicalaṃ śikharair upabibhrataṃ BhKir_5.12c	avicalam SiKarEH upabiBratam BhKiH-_5.12c
   avijñātaprabandhasya BhKir_11.43a	avijQAta-prabanDasya BhKiH-_11.43a
   avijñāte 'pi bandhau hi BhKir_11.8c	avijQAte api banDO hi BhKiH-_11.8c
   avitathaphalam āśirvādam āropayanto BhKir_18.46c	avitaTa-Palam ASiH-vAdam AropayantaH BhKiH-_18.46c
   avitṛptatayā tathāpi me BhKir_2.29a	avitRpta-tayA taTA-api me BhKiH-_2.29a
   aviditavibhavo bhavānīpatiḥ BhKir_5.21d	avidita-viBavaH BavAnI-patiH BhKiH-_5.21d
   avidheyendriyaḥ puṃsāṃ BhKir_11.33c	aviDeya-indriyaH puMsAm BhKiH-_11.33c
   avinayam api sehe pāṇḍavasya smarāriḥ BhKir_17.64d	avinayam api sehe pANxavasya smarAriH BhKiH-_17.64d
   avipakṣam astram aparaṃ katamad BhKir_6.40c	avipakzam astram aparam katamat BhKiH-_6.40c
   avibhāvitaniṣkramaprayāṇaḥ BhKir_13.27a	aviBAvita-nizkrama-prayANaH BhKiH-_13.27a
   avibhidya niśākṛtaṃ tamaḥ BhKir_2.36c	aviBidya niSA-kRtam tamaH BhKiH-_2.36c
   avimṛṣyam etad abhilaṣyati sa BhKir_6.44a	avimRzyam etat aBilazyati sa BhKiH-_6.44a
   aviratojjhitavārivipāṇḍubhir BhKir_5.6a	avirata-ujJita-vAri-vipANxuBiH BhKiH-_5.6a
   aviralaphalinīvanaprasūnaḥ BhKir_10.28a	avirala-PalinI-vana-prasUnaH BhKiH-_10.28a
   aviralam alaseṣu nartakīnāṃ BhKir_10.43a	aviralam alasezu nartakInAm BhKiH-_10.43a
   aviralalāñchanahāriṇaś ca kālāḥ BhKir_10.38b	avirala-lAQCana-hAriNaH ca kAlAH BhKiH-_10.38b
   aviralavapuṣaḥ surendragopā BhKir_10.27c	avirala-vapuzaH sura-indragopAH BhKiH-_10.27c
   aviralavitateva śakragopair BhKir_10.3c	avirala-vitatA-iva SakragopEH BhKiH-_10.3c
   avirahitam anekenāṅkabhājā phalena BhKir_5.52b	avirahitam anekena-aFka-BAjA Palena BhKiH-_5.52b
   avilaṅghyavikarṣaṇaṃ paraiḥ BhKir_3.57a	avilaFGya-vikarzaNam parEH BhKiH-_3.57a
   avivekavṛthāśramāv ivārthaṃ BhKir_13.29a	aviveka-vRTa-ASramO iva-arTam BhKiH-_13.29a
   avivekaḥ param āpadāṃ padam BhKir_2.30b	avivekaH param ApadAm padam BhKiH-_2.30b
   avisaṃvādi dhanur dhanaṃjayena BhKir_13.15b	avisaMvAdi DanuH DanaMjayena BhKiH-_13.15b
   avihitaharisūnuvikriyāṇi BhKir_10.38c	avihita-hari-sUnu-vikriyANi BhKiH-_10.38c
   aśaṅkitākāram upaiti śaṅkitaḥ BhKir_1.14b	aSaFkita-AkAram upEti SaFkitaH BhKiH-_1.14b
   aśokayaṣṭiś calabālapallavā BhKir_8.6b	aSoka-yazwiH cala-bAla-pallavA BhKiH-_8.6b
   asakalanayanekṣitāni lajjā BhKir_10.59a	asakala-nayana-IkzitAni lajjA BhKiH-_10.59a
   asaktam ārādhayato yathāyathaṃ BhKir_1.11a	asaktam ArADayataH yaTAyaTam BhKiH-_1.11a
   asaktam ūdhāṃsi payaḥ kṣaranty amūr BhKir_4.31c	asaktam UDAMsi payaH kzaranti amUH BhKiH-_4.31c
   asad apy adaḥ sahitum arhati naḥ BhKir_6.37c	asat api adaH sahitum arhati naH BhKiH-_6.37c
   asadvṛtter ahovṛttaṃ BhKir_11.56c	asat-vRtteH ahovRttam BhKiH-_11.56c
   asanmaitrī hi doṣāya BhKir_11.55c	asat-mEtrI hi dozAya BhKiH-_11.55c
   asamāpitakṛtyasampadāṃ BhKir_2.48a	asamApita-kRtya-sampadAm BhKiH-_2.48a
   asambhavanbhūdhararājakukṣiṣu BhKir_14.29c	asamBavan-BUDara-rAja-kukzizu BhKiH-_14.29c
   asaṃvidānasya mameśa saṃvidāṃ BhKir_18.42a	asaMvidAnasya mama-ISa saMvidAm BhKiH-_18.42a
   asaṃvṛtāṅgān niśitā iveṣavaḥ BhKir_1.30d	asaMvRta-aFgAn niSitAH iva-izavaH BhKiH-_1.30d
   asaṃśayaṃ nyastam upāntaraktatāṃ BhKir_8.38a	asaMSayam nyastam upAnta-rakta-tAm BhKiH-_8.38a
   asaṃśayālocitakāryanunnaḥ BhKir_3.33a	asaMSaya-Alocita-kArya-nunnaH BhKiH-_3.33a
   asaṃstutānām api bhāvam ārdram BhKir_3.2d	asaMstutAnAm api BAvam Ardram BhKiH-_3.2d
   asaṃstuteṣu prasabhaṃ bhayeṣu BhKir_3.21c	asaMstutezu prasaBam Bayezu BhKiH-_3.21c
   asaṃsthitām ādadhire vibhāvasor BhKir_16.58c	asaMsTitAm AdaDire viBAvasoH BhKiH-_16.58c
   asaṃhāryotsāhaṃ jayinam udayaṃ prāpya tarasā BhKir_18.47a	asaMhArya-utsAham jayinam udayam prApya tarasA BhKiH-_18.47a
   asādyuyogā hi jayāntarāyāḥ BhKir_3.14c	asAdyu-yogAH hi jaya-antarAyAH BhKiH-_3.14c
   asāv anāsthāparayāvadhīritaḥ BhKir_4.34a	asO anAsTA-parayA-avaDIritaH BhKiH-_4.34a
   asitanaganitambaśyāmabhāsāṃ ghanānām BhKir_16.62b	asita-naga-nitamba-SyAma-BAsAm GanAnAm BhKiH-_16.62b
   asitam adharavāso bibhrataḥ sīrapāṇeḥ BhKir_4.38d	asitam aDara-vAsaH biBrataH sIrapANeH BhKiH-_4.38d
   asis tava tapasthasya BhKir_11.17c	asiH tava tapasTasya BhKiH-_11.17c
   asiḥ śarā varma dhanuś ca noccakair BhKir_14.20a	asiH SarAH varma DanuH ca na-uccakEs BhKiH-_14.20a
   asugamam arisainyair aṅkam abhyāgatasya BhKir_17.64b	asugamam ari-sEnyEH aFkam aByAgatasya BhKiH-_17.64b
   asubhiḥ kṣaṇam īkṣitendrasūnir BhKir_13.31c	asuBiH kzaNam Ikzita-indra-sUniH BhKiH-_13.31c
   asubhiḥ sthāsnu yaśaś cicīṣataḥ BhKir_2.19b	asuBiH sTAsnu yaSaH cicIzataH BhKiH-_2.19b
   asurakṣā hi bahucchalāḥ śriyaḥ BhKir_2.39d	asu-rakzAH hi bahu=-CalAH SriyaH BhKiH-_2.39d
   asṛṅnadīnām upacīyamānair BhKir_16.10a	asRk-nadInAm upacIyamAnEH BhKiH-_16.10a
   astaśailagahanaṃ nu vivasvān BhKir_9.7c	asta-SEla-gahanam nu vivasvAn BhKiH-_9.7c
   astu vāṃ guru yadṛcchayāgatam BhKir_13.57b	astu vAm guru yadRcCayA-Agatam BhKiH-_13.57b
   astratām upayayur madanasya BhKir_9.50d	astra-tAm upayayuH madanasya BhKiH-_9.50d
   astravedam adhigamya tattvataḥ BhKir_13.62a	astra-vedam aDigamya tattvataH BhKiH-_13.62a
   astravedavid ayaṃ mahīpatiḥ BhKir_13.67a	astra-veda-vid ayam mahIpatiH BhKiH-_13.67a
   astraṃ punaḥ pāśabhṛtaḥ praṇinye BhKir_16.54d	astram punar pASaBRtaH praNinye BhKiH-_16.54d
   astreṣu bhūtapatināpahṛteṣu jiṣṇur BhKir_16.64c	astrezu BUtapatinA-apahRtezu jizNuH BhKiH-_16.64c
   astraiḥ samānām atirekiṇīṃ vā BhKir_17.34a	astrEH samAnAm atirekiNIm vA BhKiH-_17.34a
   asthānavihitāyāsaḥ BhKir_11.68c	asTAna-vihita-AyAsaH BhKiH-_11.68c
   asmad vinā mā bhṛśam unmanībhūḥ BhKir_3.39d	asmat vinA mA BRSam unmanIBUH BhKiH-_3.39d
   asmāsv adhīnaṃ kim u niḥspṛhāṇām BhKir_3.9b	asmAsu aDInam kim u niHspRhANAm BhKiH-_3.9b
   asminn agṛhyata pinākabhṛtā salīlam BhKir_5.33a	asmin agRhyata pinAkaBRtA sa-lIlam BhKiH-_5.33a
   asmin yaśaḥpauruṣalolupānām BhKir_16.9a	asmin yaSaH-pOruza-lolupAnAm BhKiH-_16.9a
   asmin ratiśramanudaś ca sarojavātāḥ BhKir_5.28c	asmin rati-Srama-nudaH ca saroja-vAtAH BhKiH-_5.28c
   asmin vicitrakusumastabakācitānāṃ BhKir_5.37c	asmin vicitra-kusuma-stabaka-AcitAnAm BhKiH-_5.37c
   asyānukūlaya matiṃ matimann anena BhKir_13.71c	asya-anukUlaya matim matiman anena BhKiH-_13.71c
   ahaṃ pārtho dhanaṃjayaḥ BhKir_11.45b	aham pArTaH DanaMjayaH BhKiH-_11.45b
   aho durantā balavadvirodhitā BhKir_1.23d	aho durantAH balavat-viroDitA BhKiH-_1.23d
   ahnāya tejasviṣu jīvitāni BhKir_16.16b	ahnAya tejasvizu jIvitAni BhKiH-_16.16b
   ahni pradoṣaḥ surasundarīṇām BhKir_16.7d	ahni pradozaH sura-sundarINAm BhKiH-_16.7d
   aṃśukaṃ śithilatām upapade BhKir_9.47d	aMSukam SiTila-tAm upapade BhKiH-_9.47d
   aṃśupāṇibhir atīva pipāsuḥ BhKir_9.3a	aMSu-pANiBiH atIva pipAsuH BhKiH-_9.3a
   aṃśumān iva tanvabhra- BhKir_11.6c	aMSumAn iva tanu-aBra BhKiH-_11.6c
   aṃsasthalaiḥ kecid abhinnadhairyāḥ BhKir_16.30a	aMsa-sTalEH kecid aBinna-DEryAH BhKiH-_16.30a
   aṃsāv avaṣṭabdhanatau samādhiḥ BhKir_16.21a	aMsO avazwabDa-natO samADiH BhKiH-_16.21a
   ākāram āśaṃsitabhūrilābhaṃ BhKir_3.27a	AkAram ASaMsita-BUri-lABam BhKiH-_3.27a
   ākāravaiṣamyam idaṃ ca bheje BhKir_17.23c	AkAra-vEzamyam idam ca Beje BhKiH-_17.23c
   ākīrṇaṃ balarajasā ghanāruṇena BhKir_7.36a	AkIrNam bala-rajasA Gana-aruNena BhKiH-_7.36a
   ākīrṇā mukhanalinair vilāsinīnām BhKir_7.18a	AkIrNAH muKa-nalinEH vilAsinInAm BhKiH-_7.18a
   ākumāram upadeṣṭum icchavaḥ BhKir_13.43a	AkumAram upadezwum icCavaH BhKiH-_13.43a
   ākulaś calapatatrikulānām BhKir_9.8a	AkulaH cala-patatri-kulAnAm BhKiH-_9.8a
   ākṛṣṭaiḥ prajavibhir āyataṃ turaṅgaiḥ BhKir_7.4b	AkRzwEH prajaviBiH Ayatam turaFgEH BhKiH-_7.4b
   ākṣiptacāpāvaraṇeṣujālaś BhKir_17.59a	Akzipta-cApa-AvaraNa-izu-jAlaH BhKiH-_17.59a
   ākṣiptadrumagahanā yugāntavātaiḥ BhKir_7.30c	Akzipta-druma-gahanAH yuga-anta-vAtEH BhKiH-_7.30c
   ākṣiptasampātam apetaśobham BhKir_16.41a	Akzipta-sampAtam apeta-SoBam BhKiH-_16.41a
   ākṣipyamāṇaṃ ripubhiḥ pramādān BhKir_3.50a	AkzipyamANam ripuBiH pramAdAn BhKiH-_3.50a
   ākṣipya vīryaṃ mahatāṃ balānām BhKir_16.17b	Akzipya vIryam mahatAm balAnAm BhKiH-_16.17b
   āgajāmāśramaṃ jiṣṇoḥ BhKir_11.1c	AgajAm-ASramam jizNoH BhKiH-_11.1c
   āgatapriyakathair api dūtyam BhKir_9.34b	Agata-priya-kaTEH api dUtyam BhKiH-_9.34b
   āgamād iva tamopahād itaḥ BhKir_5.22c	AgamAt iva tama-upahAt itas BhKiH-_5.22c
   āghaṭṭayāmāsa gatāgatābhyāṃ BhKir_17.38a	AGawwayAmAsa gata-AgatAByAm BhKiH-_17.38a
   āghrāya kṣaṇam atitṛṣyatāpi roṣād BhKir_7.34a	AGrAya kzaNam atitRzyatA-api rozAt BhKiH-_7.34a
   ājagmur jalanidhiśāyibhir nagendraiḥ BhKir_7.20d	AjagmuH jalaniDi-SAyiBiH naga-indrEH BhKiH-_7.20d
   ājaghne viṣam avilocanasya vakṣaḥ BhKir_17.63d	AjaGne vizam avilocanasya vakzaH BhKiH-_17.63d
   ājikriyāṃ vīkṣya vivṛddhamanyuḥ BhKir_16.1b	Aji-kriyAm vIkzya vivRdDa-manyuH BhKiH-_16.1b
   ātape dhṛtimatā saha vadhvā BhKir_9.30a	Atape DRtimatA saha vaDvA BhKiH-_9.30a
   ātitheyīm athāsādya BhKir_11.9a	AtiTeyIm aTa-AsAdya BhKiH-_11.9a
   ātenuś cakitacakoranīlakaṇṭhān BhKir_7.39c	AtenuH cakita-cakora-nIla-kaNWAn BhKiH-_7.39c
   ātenus tridaśavadhūjanāṅgabhājāṃ BhKir_7.16c	AtenuH tridaSa-vaDU-jana-aFga-BAjAm BhKiH-_7.16c
   ātene balim iva raṅgadevatābhyaḥ BhKir_17.62d	Atene balim iva raFga-devatAByaH BhKiH-_17.62d
   ātene vanagahanāni vāhinī sā BhKir_7.25c	Atene vana-gahanAni vAhinI sA BhKiH-_7.25c
   āttacitraparidhānavibhūṣāḥ BhKir_9.1b	Atta-citra-pariDAna-viBUzAH BhKiH-_9.1b
   ātmajātisadṛśīṃ kilānatim BhKir_13.36b	Atma-jAti-sadRSIm kila-Anatim BhKiH-_13.36b
   ātmanīnam upatiṣṭhate guṇāḥ BhKir_13.69a	AtmanInam upatizWate guNAH BhKiH-_13.69a
   ātmanīva patitena viśeṣāḥ BhKir_9.12d	Atmani-iva patitena viSezAH BhKiH-_9.12d
   ātmano madhumadodyamitānām BhKir_9.66b	AtmanaH maDu-mada-udyamitAnAm BhKiH-_9.66b
   ātmalābhapariṇāmanirodhair BhKir_18.34a	Atma-lABa-pariNAma-niroDEH BhKiH-_18.34a
   ātmavargahitam icchati sarvaḥ BhKir_9.64d	Atma-varga-hitam icCati sarvaH BhKiH-_9.64d
   ādade mṛduvilokapalāśair BhKir_9.56c	Adade mRdu-viloka-palASEH BhKiH-_9.56c
   ādade vijayi cāpam anaṅgaḥ BhKir_9.33d	Adade vijayi cApam anaFgaH BhKiH-_9.33d
   ādarśamaṇḍalanibhāni samullasanti BhKir_5.41d	AdarSa-maNxala-niBAni samullasanti BhKiH-_5.41d
   ādudhāva parilīnavihaṅgā BhKir_9.31c	AduDAva parilIna-vihaFgAH BhKiH-_9.31c
   ādṛtā nakhapadaiḥ parirambhāś BhKir_9.49a	AdRtAH naKa-padEH pariramBAH BhKiH-_9.49a
   ādeśam ity abhimukhaṃ samavāpya bhartuḥ BhKir_6.46b	AdeSam iti aBimuKam samavApya BartuH BhKiH-_6.46b
   ādhatte kanakamayātapatralakṣmīm BhKir_5.39d	ADatte kanaka-maya-Atapatra-lakzmIm BhKiH-_5.39d
   ādhidviṣām ā tapasāṃ prasiddher BhKir_3.39c	ADidvizAm A tapasAm prasidDeH BhKiH-_3.39c
   ādhipatyam iva śātamanyavam BhKir_13.38d	ADipatyam iva SAta-manyavam BhKiH-_13.38d
   ānayainam anunīya kathaṃ vā BhKir_9.39c	Anaya-enam anunIya kaTam vA BhKiH-_9.39c
   āninyur niyamitaraśmibhugnaghoṇāḥ BhKir_7.19c	AninyuH niyamita-raSmi-Bugna-GoNAH BhKiH-_7.19c
   āninye madajanitāṃ śriyaṃ vadhūnām BhKir_7.3c	Aninye mada-janitAm Sriyam vaDUnAm BhKiH-_7.3c
   ānītā viditanayaiḥ śramaṃ vinetum BhKir_7.30b	AnItAH vidita-nayEH Sramam vinetum BhKiH-_7.30b
   ānīlābhair viracitaparabhāgā ratnaiḥ BhKir_5.31b	AnIla-ABEH viracita-para-BAgAH ratnEH BhKiH-_5.31b
   āpadām eti pātratām BhKir_11.21d	ApadAm eti pAtra-tAm BhKiH-_11.21d
   āpad ety ubhayalokadūṣaṇī BhKir_13.64c	Apad eti uBaya-loka-dUzaNI BhKiH-_13.64c
   āpātaramyā viṣayāḥ BhKir_11.12c	ApAta-ramyAH vizayAH BhKiH-_11.12c
   āpur eva mithunāni viyogaṃ BhKir_9.13c	ApuH eva miTunAni viyogam BhKiH-_9.13c
   āpnuhi tvam api sarvasampadaḥ BhKir_13.68d	Apnuhi tvam api sarva-sampadaH BhKiH-_13.68d
   ābaddhavepathur adhīravilocanāyāḥ BhKir_5.33b	AbadDa-vepaTuH aDIra-vilocanAyAH BhKiH-_5.33b
   ābabhau nava ivoddhatarāgaḥ BhKir_9.69c	AbaBO navaH iva-udData-rAgaH BhKiH-_9.69c
   ābādhāmaraṇabhayārciṣā cirāya BhKir_18.39a	AbADA-maraNa-Baya-arcizA cirAya BhKiH-_18.39a
   āmattabhramarakulākulāni dhunvann BhKir_7.10a	Amatta-Bramara-kula-AkulAni Dunvan BhKiH-_7.10a
   āmukte gajapatinā sadānapaṅke BhKir_7.31b	Amukte gaja-patinA sa-dAna-paFke BhKiH-_7.31b
   āmūlalūnair atimanyuneva BhKir_16.14c	AmUla-lUnEH ati-manyunA-iva BhKiH-_16.14c
   ā mūlād upanadi saikateṣu lebhe BhKir_7.21c	A mUlAt upanadi sEkatezu leBe BhKiH-_7.21c
   āmodavāsitacalādharapallaveṣu BhKir_9.77a	Amoda-vAsita-cala-aDara-pallavezu BhKiH-_9.77a
   āmodaṃ madajalasekajaṃ dadhānaḥ BhKir_5.26b	Amodam mada-jala-seka-jam daDAnaH BhKiH-_5.26b
   āmodaṃ vyavahitabhūripuṣpagandho BhKir_7.38c	Amodam vyavahita-BUri-puzpa-ganDaH BhKiH-_7.38c
   āmnāyavacanopamam BhKir_11.39d	AmnAya-vacana-upamam BhKiH-_11.39d
   āyayāv atitarām iva vadhvāḥ BhKir_9.62c	AyayO atitarAm iva vaDvAH BhKiH-_9.62c
   āyayāv aharidaśvavipāṇḍus BhKir_9.8c	AyayO ahar-it-aSva-vipANxuH BhKiH-_9.8c
   āyastasiṃhākṛtir utpapāta BhKir_16.50c	Ayasta-siMha-AkRtiH utpapAta BhKiH-_16.50c
   āyastaḥ surasaridogharuddhavartmā BhKir_7.32a	AyastaH sura-sarit-oGa-rudDa-vartmA BhKiH-_7.32a
   āyāmaḥ kriyata iva sma sātirekaḥ BhKir_7.6d	AyAmaH kriyate iva sma sa-atirekaH BhKiH-_7.6d
   āyāmimaṅgalaninādavibodhitānām BhKir_9.75b	AyAmi-maFgala-ninAda-viboDitAnAm BhKiH-_9.75b
   āyāsād aviśadalocanotpalānām BhKir_7.3b	AyAsAt aviSadalocana-utpalAnAm BhKiH-_7.3b
   āravair anuditauṣasarāgaḥ BhKir_9.8b	AravEH anudita-Ozasa-rAgaH BhKiH-_9.8b
   ārādhanīṃ tāṃ nṛpa devatānām BhKir_3.23b	ArADanIm tAm nRpa devatAnAm BhKiH-_3.23b
   ārādhya vā sahasrākṣam BhKir_11.79c	ArADya vA sahasrAkzam BhKiH-_11.79c
   āroḍhuḥ samavanatasya pītaśeṣe BhKir_7.33a	AroXuH samavanatasya pIta-Seze BhKiH-_7.33a
   ālambatāgrakaram atra bhavo bhavānyāḥ BhKir_5.29c	Alambata-agrakaram atra BavaH BavAnyAH BhKiH-_5.29c
   ālāpaiḥ pipatiṣatāṃ vilaṅghya vīthīm BhKir_7.17b	AlApEH pipatizatAm vilaFGya vITIm BhKiH-_7.17b
   ālokapādapalatāntaranirgatānām BhKir_5.41b	Aloka-pAdapa-latA-antara-nirgatAnAm BhKiH-_5.41b
