   Ārya Saṃghāṭa Sūtra	Ārya SaMGAwa SUtra
   (ekāṃsamuttarāsaṃgaṃ kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya	(eka-aMsam-uttarAsaMgam kRtvA dakziNam jAnu-maNxalam pRTivyAm pratizWApya
   yena bhagavāṃstenāṃjaliṃ praṇāmya) bhagavantametadavocat - ekapariṇāmanayā	yena BagavAn=-tena-aMjalim praNAmya) Bagavantam-etat-avocat  eka-pariNAmanayA
   bhagavannevaṃ bahu puṇyaskandhaṃ prasavati / yadutāśītiḥ kalpān	Bagavan=-evam bahu puNya-skanDam prasavati / yat-uta-aSItiH kalpAn
   sukhamāyuṣpramāṇaṃ bhaviṣyati / kaḥ punarvādo yastathāgataśāsane	suKam-AyuzpramANam Bavizyati / kaH punar-vAdaH yaH-taTAgata-SAsane
   bahutaramadhikāraṃ kariṣyati / tasya kiyantamāyuṣpramāṇaṃ bhaviṣyati /	bahutaram-aDikAram karizyati / tasya kiyantam-AyuzpramANam Bavizyati /
   [SaSū 31] bhagavān āha - śṛṇu kulaputra ya imaṃ saṃghāṭaṃ sūtraṃ śroṣyati	[SaSU 31] BagavAn Aha  SRNu kula-putra yaH imam saMGAwam sUtram Srozyati
   / tasya caturaśītiḥ kalpasahasrāṇyāyuṣpramāṇaṃ bhaviṣyati / kaḥ punarvādo	/ tasya caturaSItiH kalpa-sahasrANi-AyuzpramANam Bavizyati / kaH punarvAdaH-
   yaḥ saṃghāṭaṃ sūtraṃ likhāpayiṣyati vācayiṣyati / sa sarvaśūraḥ sattvo	yaH saMGAwam sUtram liKApayizyati vAcayizyati / sa sarva-SUraH sattvaH-
   bahutaraṃ puṇyaskandhaṃ prasaviṣyati / yaḥ sarvaśūra prasannacittaḥ	bahutaram puNya-skanDam prasavizyati / yaH sarva-SUra prasanna-cittaH
   saṃghāṭaṃ sūtramadhyāśayena namaskariṣyati sa paṃcanavati kalpāṃ jātau	saMGAwam sUtram-aDyASayena namaskarizyati sa paMcanavati kalpAm jAtO
   jātismaro bhaviṣyati / ṣaṣṭi kalpasahasrāṇi rājā cakravartī bhaviṣyati /	jAtismaraH Bavizyati / zazwi kalpa-sahasrANi rAjA cakravartI Bavizyati /
   dṛṣṭeva dharme sarvaśūra sarveṣāṃ priyo bhaviṣyati manāpaḥ na sa sarvaśūra	dRzwA-iva Darme sarva-SUra sarvezAm priyaH Bavizyati manApaH na sa sarva-SUra
   śastreṇa kālaṃ kariṣyati / priyo bhaviṣyati manāpaḥ na sa sarvaśūra	SastreNa kAlam karizyati / priyaH Bavizyati manApaH na sa sarva-SUra
   śastreṇa kālaṃ kariṣyati / na viṣeṇa (nodakena nāgnau) kālaṃ kariṣyati /	SastreNa kAlam karizyati / na vizeNa (na-udakena na-agnO) kAlam karizyati /
   kākhordaṃ cāsya na kramiṣyati / maraṇakālasamaye carimanirodhe vartamāne	kAKordam ca-asya na kramizyati / maraNa-kAla-samaye carima-niroDe vartamAne
   navati buddhākoṭyaḥ saṃmukhaṃ drakṣyati / te ca sarvaśūra buddhā	navati budDAkowyaH saMmuKam drakzyati / te ca sarva-SUra budDA
   bhagavanta āśvāsayanti / mā bhaiḥ satpuruṣa tvayā saṃghāṭaṃ sūtraṃ	BagavantaH ASvAsayanti / mA BEH sat-puruza tvayA saMGAwam sUtram
   mahādharmaparyāyaṃ subhāṣitaṃ śrutaṃ śrutvā iyān puṇyaskandhaḥ prasūtaḥ	mahA-Darma-paryAyam su-BAzitam Srutam SrutvA iyAn puNya-skanDaH prasUtaH
   teṣāṃ paṃcanavati buddhakoṭyaḥ pṛthak pṛthag lokadhātuṣu buddhā bhagavanto	tezAm paMcanavati budDa-kowyaH pRTak pRTak lokaDAtuzu budDAH BagavantaH-
   vyākariṣyanti / kaḥ punarvādaḥ sarvaśūra ya imaṃ saṃghāṭasūtraṃ	vyAkarizyanti / kaH punar-vAdaH sarva-SUra yaH imam saMGAwa-sUtram
   mahādharmaparyāyaṃ sakalasamāptaṃ vistareṇa śroṣyati / (lekhayiṣyati	mahADarma-paryAyam sakala-samAptam vistareNa Srozyati / (leKayizyati
   vācayiṣyati bhāvayiṣyati //)//	vAcayizyati BAvayizyati //)//
   [SaSū 32] atha khalu sarvaśūro bodhisattvo mahāsattvo	[SaSU 32] aTa Kalu sarva-SUraH boDisattvaH mahAsattvaH-
   bhagavantametadavocat - ahaṃ bhagavan saṃghāṭasūtraṃ mahādharmaparyāyaṃ	Bagavantam-etat-avocat  aham Bagavan saMGAwa-sUtram mahA-Darma-paryAyam
   śroṣyāmi / kiyantaṃ (ahaṃ) bhagavan puṇyaskandhaṃ prasaviṣyāmi /	SrozyAmi / kiyantam (ahaM) Bagavan puNya-skanDam prasavizyAmi /
   bhagavānāha - yāvanto gaṃgānadībālikāsamānāṃ buddhānāṃ bhagavatāṃ	BagavAn-Aha  yAvantaH gaMgA-nadI-bAlikA-samAnAm budDAnAm BagavatAm
   (satkāraṃ kṛtvā) puṇyaskandhastāvantaṃ sarvaśūra sa sattvaḥ puṇyaskandhaṃ	(satkAram kRtvA) puNya-skanDaH-tAvantam sarva-SUra sa sattvaH puNya-skanDam
   prasaviṣyati /	prasavizyati /
   [SaSū 33] sarvaśūro bodhisattva āha - yadahaṃ bhagavan saṃghāṭasūtraṃ	[SaSU 33] sarva-SUraH boDisattvaH Aha  yat-aham Bagavan saMGAwa-sUtram
   dharmaparyāyaṃ śṛṇomi nāhaṃ bhagavaṃstṛptiṃ saṃjānāmi / bhagavān āha -	Darma-paryAyam SRNomi na-aham Bagavan=-tRptim saMjAnAmi / BagavAn Aha -
   sādhu sādhu sarvaśūra yastvaṃ dharmāṇāṃ tṛptiṃ na saṃjānāni / ahamapi	sADu sADu sarva-SUra yaH-tvam DarmANAm tRptim na saMjAnAni / aham-api
   sarvaśūra dharmāṇāṃ tṛptiṃ na saṃjānāmi / kaḥ punarvādaḥ sarvaśūra yad	sarva-SUra DarmANAm tRptim na saMjAnAmi / kaH punar-vAdaH sarva-SUra yat-
   bālapṛthagjanāstṛptiṃ jñāsyanti /	bAla-pRTagjanAH-tRptim jQAsyanti /
   [SaSū 34] yaḥ kaścit sarvaśūra kulaputro vā kuladuhitā vā mahāyāne	[SaSU 34] yaH kaScid sarva-SUra kula-putraH vA kula-duhitA vA mahAyAne
   prasādaṃ janayiṣyanti / sa kalpasahasraṃ vinipātaṃ na gamiṣyati / paṃca	prasAdam janayizyanti / sa kalpa-sahasram vinipAtam na gamizyati / paMca
   kalpasahasrāṇi tiryakṣurnopapatsyate / dvādaśa kalpasahasrāṇi durbuddhiṃ	kalpa-sahasrANi tiryakzuH-na-upapatsyate / dvAdaSa kalpa-sahasrANi durbudDim
   sa bhavisyati / aṣṭādaśa kalpasahasrāṇi pratyantime janapade nopapatsyate	sa Bavisyati / azwAdaSa kalpa-sahasrANi pratyantime janapade na-upapatsyate
   / viṃśati kalpasahasrāṇi pradānaśūro bhaviṣyati / paṃcaviṃśat	/ viMSati kalpa-sahasrANi pradAna-SUraH Bavizyati / paMcaviMSat-
   kalpasahasrāṇi devaloke upapatsyate / paṃcatriṃśat kalpasahasrāṇi	kalpa-sahasrANi deva-loke upapatsyate / paMcatriMSat kalpa-sahasrANi
   brahmacaryaṃ cariṣyati / sa catvāriṃśat kalpasahasrāṇi niṣkrāntagṛhāvāso	brahmacaryam carizyati / sa catvAriMSat kalpa-sahasrANi nizkrAnta-gRha-AvAsaH-
   bhaviṣyati / paṃcāśat kalpasahasrāṇi dharmadharo bhaviṣyati / paṃcaṣaṣṭiḥ	Bavizyati / paMcASat kalpa-sahasrANi Darma-DaraH Bavizyati / paMcazazwiH
   kalpasahasrāṇi maraṇānusmṛtiṃ bhāvayiṣyati / tasya sarvaśūra kulaputrasya	kalpa-sahasrANi maraNa-anusmRtim BAvayizyati / tasya sarva-SUra kula-putrasya
   vā kuladuhiturvā na kiṃcit pāpakāni karmāṇi saṃvetsyante / na ca tasya	vA kula-duhituH-vA na kiMcid pApakAni karmANi saMvetsyante / na ca tasya
   māraḥ pāpīmānavatāraṃ lapsyate / na jātu mātukukṣāvupapatsyate / ye	mAraH pApImAn-avatAram lapsyate / na jAtu mAtukukzO=-upapatsyate / ye
   sarvaśūra imaṃ saṃghāṭaṃ dharmaparyāyaṃ śroṣyanti / te yatra	sarva-SUraH imam saMGAwam Darma-paryAyam Srozyanti / te yatra
   yatropapatsyante tatra tatra paṃcanavatyāsaṃkhyeyaiḥ kalpairvinipātaṃ na	yatra-upapatsyante tatra tatra paMcanavati-A-asaMKyeyEH kalpEH-vinipAtam na
   gamiṣyanti / aśītiḥ kalpasahasrāṇi śrutadharā bhaviṣyanti /	gamizyanti / aSItiH kalpa-sahasrANi Sruta-DarAH Bavizyanti /
   kalpaśatasahasraṃ prāṇātipātāt prativiratā bhaviṣyanti navānavati	kalpa-Sata-sahasram prANa-atipAtAt prativiratAH Bavizyanti navAnavati
   kalpasahasrāṇi mṛṣāvādāt prativiratā bhaviṣyanti / trayodaśa	kalpa-sahasrANi mRzAvAdAt prativiratAH Bavizyanti / trayodaSa
   kalpasahasrāṇi piśunavacanāt prativiratā bhaviṣyanti / durlabhāste	kalpa-sahasrANi piSuna-vacanAt prativiratAH Bavizyanti / durlaBAH-te
   sarvaśūra sattvā ya iman dharmaparyāyaṃ śroṣyanti /	sarva-SUra sattvAH ye iman Darma-paryAyam Srozyanti /
   [SaSū 35] atha khalu sarvaśūro bodhisattvo mahāsattva utthāyāsanād	[SaSU 35] aTa Kalu sarva-SUraH boDisattvaH mahAsattvaH utTAya-AsanAt-
   ekāṃsamuttarāsaṃgaṃ kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya	eka-aMsam-uttarAsaMgam kRtvA dakziNam jAnu-maNxalam pRTivyAm pratizWApya
   yena bhagavāṃstenāṃjaliṃ praṇāmya bhagavantametadavocat - kiyantaṃ	yena BagavAn=-tena-aMjalim praNAmya Bagavantam-etat-avocat  kiyantam
   bhagavaṃ(ste sattvā) apuṇyaskandhaṃ prasaviṣyati / ya iman dharmaparyāyaṃ	BagavaM(H-te sattvA) apuNya-skanDam prasavizyati / yaH iman Darma-paryAyam
   pratikṣepsyanti / bhagavānāha - bahu sarvaśūra	pratikzepsyanti / BagavAn-Aha  bahu sarva-SUra
   saddharmapratikṣepādapuṇyaskandhaṃ prasaviṣyati /	sadDarma-pratikzepAt-apuNya-skanDam prasavizyati /
   [SaSū 36] sarvaśūra āha - kiyantaṃ bhagavan sattvānāṃ pāpakaṃ	[SaSU 36] sarva-SUraH Aha  kiyantam Bagavan sattvAnAm pApakam
   karmaskandhaṃ bhaviṣyati / bhagavānāha - alamalaṃ sarvaśūra mā me pāpakaṃ	karma-skanDam Bavizyati / BagavAn-Aha  alamalam sarva-SUra mA me pApakam
   karmaskandhaṃ paripṛcchaḥ api tu sarvaśūra śṛṇu nirdekṣyāmi teṣāṃ	karma-skanDam paripRcCaH api tu sarva-SUra SRNu nirdekzyAmi tezAm
   saddharmapratikṣepakānāṃ pāpakaṃ akuśalaskandhaṃ / yāvantaṃ te	sat-Darma-pratikzepakAnAm pApakam akuSala-skanDam / yAvantam te
   pāpakamakuśalaskandhaṃ pratigṛhīṣyanti / ya iman dharmaparyāyaṃ	pApakam-akuSala-skanDam pratigRhIzyanti / yaH iman Darma-paryAyam
   pratikṣipanti / yaśca sarvaśūra dvādaśagaṃgānadībālikāsamānān	pratikzipanti / yaH-ca sarva-SUra dvAdaSa-gaMgA-nadI-bAlikA-samAnAn
   tathāgatānāmarhatāṃ samyaksaṃbuddhānāmantike duṣṭacittamutpādayedyaścemaṃ	taTAgatAnAm-arhatAm samyaksaMbudDAnAm-antike duzwa-cittam-utpAdayet-yaH-ca-imam
   saṃghāṭasūtraṃ pratikṣipedayaṃ tato bahutaraṃ pāpakam (kuśalaskandha	saMGAwa-sUtram pratikzipet-ayam tatas bahutaram pApakam (kuSala-skanDa
   prādurbhaviṣyati / ataḥ sarvaśūra-m-) akuśalaskandhaṃ prasaviṣyanti /	prAdurBavizyati / atas sarva-SUra-m-) akuSala-skanDam prasavizyanti /
   ataste sarvaśūra saddharmapratikṣepakā sattvāḥ bahutaramakuśalaskandhaṃ	atas-te sarva-SUra sat-Darma-pratikzepakA sattvAH bahutaram-akuSala-skanDam
   prasaviṣyanti ye mahāyāne āghātacittamutpādayiṣyanti / dagdhāste sarvaśūra	prasavizyanti ye mahAyAne AGAta-cittam-utpAdayizyanti / dagDAH-te sarva-SUra
   sattvā dagdhā eva /	sattvAH dagDAH eva /
   [SaSū 37] sarvaśūra āha - na te bhagavan sattvā śakyaṃ mocayituṃ /	[SaSU 37] sarva-SUraH Aha  na te Bagavan sattvA Sakyam mocayitum /
   bhagavān āha - śṛṇu sarvaśūra; na śakyā mocayituṃ tadyathāpi nāma	BagavAn Aha  SRNu sarva-SUra; na SakyA mocayitum tat-yaTA-api nAma
   sarvaśūra kaścideva puruṣaḥ kasyacit sattvasya śīrṣaṃcchiṃdyād atha sa	sarva-SUra kaScid-eva puruzaH kasyacid sattvasya SIrzaM=-CiMdyAt aTa sa
   puruṣaḥ kenacid bhaiṣajyena praliṃpena mākṣikena vā śarkarayā vā / guḍena	puruzaH kenacid BEzajyena praliMpena mAkzikena vA SarkarayA vA / guxena
   vā ghṛtena vā tailena vā taṃ śīrṣaṃ pralepayet tatkiṃ manyase sarvaśūra	vA GRtena vA tElena vA tam SIrzam pralepayet tat-kim manyase sarva-SUra
   śakyaṃ sa sattvaḥ punarapyutthāpayituṃ /	Sakyam sa sattvaH punar-api-utTApayitum /
   [SaSū 38] sarvaśūro bodhisattva āha - na śakyaṃ bhagavan na śakyaṃ sugata	[SaSU 38] sarva-SUraH boDisattvaH Aha  na Sakyam Bagavat na Sakyam sugata
   / bhagavān āha - (evameva sarvaśūra na śakya[ṃ]te sa sattvo mocayituṃ	/ BagavAn Aha  (evam-eva sarva-SUra na Sakya-[M]te sa sattvaH mocayitum
   bahubhirupāyairyo mahāyānasyāgh[āta]cittam [u]t[p]ādayiti //)//	bahuBiH-upAyEH-yaH mahAyAnasya-aG[Ata]-cittam [u]t[p]Adayiti //)//
   [SaSū 39]punaraparaṃ sarvaśūra / tadyathāpi nāma dvitīyaḥ puruṣo bhavet sa	[SaSU 39]punar-aparam sarva-SUra / tat-yaTA-api nAma dvitIyaH puruzaH Bavet sa
   tīkṣṇena śastreṇāparasya sattvasya prahāraṃ dadyāt sa na	tIkzNena SastreNa-aparasya sattvasya prahAram dadyAt sa na
   śaknuyādekaprahāreṇa jīvitādvyavaropayituṃ / kiṃ cāpi sarvaśūra	SaknuyAt-eka-prahAreNa jIvitAt-vyavaropayitum / kim ca-api sarva-SUra
   braṇamutpadyeta / atha ca punarbhaiṣajyayogaṃ kartavyaṃ tadā braṇāt	braNam-utpadyeta / aTa ca punar-BEzajya-yogam kartavyam tadA braNAt-
   parimucyate / yadā parimukto bhavati tadā duḥkhaṃ smarati /	parimucyate / yadA parimuktaH Bavati tadA duHKam smarati /
   ahamidānīñjānāmi na kadācit punaḥ pāpakamakuśalaṃ karmābhisaṃskāraṃ	aham-idAnIn-jAnAmi na kadAcid punar pApakam-akuSalam karma-aBisaMskAram
   kariṣyāmi /	karizyAmi /
   [SaSū 40] evameva sarvaśūra sa saddharmapratikṣepakaḥ puruṣo yadā narake	[SaSU 40] evam-eva sarva-SUra sa sadDarma-pratikzepakaH puruzaH yadA narake
   duḥkhaṃ smarati tadā sarvapāpaṃ parivarjayati / yadā sarvapāpaṃ	duHKam smarati tadA sarva-pApam parivarjayati / yadA sarva-pApam
   parivarjayati / tadā sarvadharmā āmukhīkariṣyati (yadā) sarvadharmā	parivarjayati / tadA sarva-DarmA AmuKIkarizyati (yadA) sarva-DarmA
   āmukhīkṛtvā (tadā) sarvakuśaladharmapāripūriṅ kariṣyati / tadyathāpi nāma	AmuKIkRtvA (tadA) sarva-kuSala-Darma-pAripUriF karizyati / tat-yaTA-api nAma
   sarvaśūra mṛtasya puruṣasya mātāpitarau śocanti paridevanti na ca	sarva-SUra mRtasya puruzasya mAtA-pitarO Socanti paridevanti na ca
   śaknuvanti trātumevameva sarvaśūra bālapṛthagjanāḥ sattvā na	Saknuvanti trAtum-evam-eva sarva-SUra bAla-pRTagjanAH sattvAH na
   śaknuvantyātmahitaṃ parahitaṃ vā kartuṃ nirāśā iva mātāpitara gatā iti /	Saknuvanti-Atma-hitam para-hitam vA kartum nirASAH iva mAtA-pitara gatAH iti /
   evameva sarvaśūra nirāśā bhavanti te sattvā maraṇakālasamaye /	evam-eva sarva-SUra nirASAH Bavanti te sattvAH maraNa-kAla-samaye /
   [SaSū 41] dvāvimau sarvaśūra sattvānāṃ nairāśyau maraṇakālasamaye /	[SaSU 41] dvO=-imO sarva-SUra sattvAnAm nErASyO maraNa-kAla-samaye /
   katamau dvau / yadutaikaḥ sattvaḥ pāpaṃ karma karoti kārāpayati vā /	katamO dvO / yat-uta-ekaH sattvaH pApam karma karoti kArApayati vA /
   dvitīyaḥ sarvaśūra saddharmaṃ pratikṣipati / imau dvau sattvānāṃ nairāśyau	dvitIyaH sarva-SUra sadDarmam pratikzipati / imO dvO sattvAnAm nErASyO
   maraṇakālasamaye /	maraNa-kAla-samaye /
   [SaSū 42] sarvaśūro bodhisattva āha - kā bhadanta bhagavaṃsteṣāṃ sattvānāṃ	[SaSU 42] sarva-SUraH boDisattvaH Aha  kA Badanta Bagavan=-tezAm sattvAnAm
   gatiḥ ko 'bhisaṃparāyo bhavati / bhagavānāha - anantā gatiḥ sarvaśūra	gatiH kaH aBisaMparAyaH Bavati / BagavAn-Aha  anantA gatiH sarva-SUra
   saddharmapratikṣepakānāṃ sattvānāṃ ananto 'bhisaṃparāyaḥ kalpameva te	sat-Darma-pratikzepakAnAm sattvAnAm anantaH aBisaMparAyaH kalpam-eva te
   sarvaśūra raurave mahānarake duḥkhaṃ vedanāṃ vedayiṣyanti / kalpaṃ	sarva-SUra rOrave mahA-narake duHKam vedanAm vedayizyanti / kalpam
   saṃghāte / kalpaṃ tapane kalpaṃ pratāpane / kalpaṃ kālasūtre mahānarake /	saMGAte / kalpam tapane kalpam pratApane / kalpam kAlasUtre mahAnarake /
   kalpaṃ mahāvīcau mahānarake / kalpaṃ romaharṣe mahānarake / kalpaṃ hahe	kalpam mahA-vIcO mahAnarake / kalpam romaharze mahAnarake / kalpam hahe
   mahānarake / (kalpaṃ tapane mahānarake) imeṣvaṣṭasu mahānarakeṣu sarvaśūra	mahAnarake / (kalpam tapane mahA-narake) imezu-azwasu mahA-narakezu sarva-SUra
   aṣṭau kalpāḥ saddharmapratikṣepakaiḥ sattvairduḥkhamanubhavitavyam //	azwO kalpAH sat-Darma-pratikzepakEH sattvEH-duHKam-anuBavitavyam //
   [SaSū 43]atha khalu sarvaśūro bodhisattvo mahāsattvo bhagavantametadavocat	[SaSU 43]aTa Kalu sarva-SUraH boDisattvaH mahAsattvaH Bagavantam-etat-avocat-
   - duḥkhaṃ bhagavan duḥkhaṃ sugata notsahāmi śrotuṃ / atha khalu	 duHKam Bagavan duHKam sugata na-utsahAmi Srotum / aTa Kalu
   bhagavāṃstasyāṃ velāyāmimā gāthā abhāṣataḥ //	BagavAn=-tasyAm velAyAm-imAH gATAH aBAzataH //
   (1) yastvaṃ notsahase śrotumidaṃ vākyaṃ mahābhayam	(1) yaH-tvam na-utsahase Srotum-idam vAkyam mahA-Bayam
   narake yathaikāntaduḥkhe sattvā vindanti vedanāṃ	narake yaTA-ekAnta-duHKe sattvAH vindanti vedanAm
   (2) yat karoti śubhaṃ karmaṃ sukhaṃ tasya bhaviṣyati /	(2) yat karoti SuBam karmam suKam tasya Bavizyati /
   yatkarotyaśubhaṃ karma duḥkhameva bhaviṣyati /	yat-karoti-aSuBam karma duHKam-eva Bavizyati /
   (3) jātasya maraṇaṃ duḥkhaṃ śokaṃ duḥkho 'tha bandhanaṃ	(3) jAtasya maraNam duHKam Sokam duHKaH aTa banDanam
   nityaṃ duḥkhaṃ hi bālasya sukhaheto na vetti yaḥ	nityam duHKam hi bAlasya suKa-hetaH na vetti yaH
   (4) paṇḍitānāṃ sukhaṃ yo vai smarate buddhamuttamam	(4) paNxitAnAm suKam yaH vE smarate budDam-uttamam
   prasannāśca mahāyāne na te yāsyanti durgatim	prasannAH-ca mahAyAne na te yAsyanti durgatim
   (5) evameva sarvaśūra pūrvakarma pracoditaṃ /	(5) evam-eva sarva-SUra pUrva-karma pracoditam /
   alpaṃ hi kṛyate karma anantaṃ bhujyate phalaṃ /	alpam hi kRyate karma anantam Bujyate Palam /
   (6) bījamalpaṃ yathā vāpya prabhūtaṃ labhate phalaṃ	(6) bIjam-alpam yaTA vApya praBUtam laBate Palam
   buddhakṣetra tu sukṣetre uptādbījādmahāphalaṃ	budDa-kzetra tu su-kzetre uptAt-bIjAt-mahA-Palam
   (7) paṇḍitānāṃ sukhaṃ bhavati ramante jinaśāsane /	(7) paNxitAnAm suKam Bavati ramante jina-SAsane /
   vivarjayanti pāpāni kurvanti kuśalaṃ bahu;	vivarjayanti pApAni kurvanti kuSalam bahu;
   (8) vālamātraṃ pradāsyanti ye dānaṃ mama śāsane /	(8) vAla-mAtram pradAsyanti ye dAnam mama SAsane /
   aśītiḥ kalpasahasrāṇi mahābhogā mahādhanāḥ	aSItiH kalpa-sahasrANi mahA-BogAH mahADanAH
   (9) yatra yatropapadyante nityaṃ dānaṃ smaranti te /	(9) yatra yatra-upapadyante nityam dAnam smaranti te /
   evaṃ mahāphalā hyeṣā gaṃbhīrā buddhadakṣiṇāḥ //	evam mahA-PalAH hi-ezA gaMBIrAH budDa-dakziNAH //
   [SaSū 44] atha khalu sarvaśūro bodhisattvo mahāsattvo	[SaSU 44] aTa Kalu sarva-SUraH boDisattvaH mahAsattvaH-
   bhagavantametadavocat - kathaṃ bhagavan bhagavataḥ śāsane dharmo jñātavyaḥ	Bagavantam-etat-avocat  kaTam Bagavan BagavataH SAsane DarmaH jQAtavyaH
   kathaṃ bhagavan saṃghāṭaṃ sūtraṃ dharmaparyāyaṃ śrutvā kuśalamūlaṃ	kaTam Bagavan saMGAwam sUtram Darma-paryAyam SrutvA kuSala-mUlam
   parigṛhītaṃ bhaviṣyati / bhagavān āha - yaḥ sarvaśūra	parigRhItam Bavizyati / BagavAn Aha  yaH sarva-SUra
   dvādaśagaṃgānadībālikāsamāṃstathāgatānarhataḥ samyaksaṃbuddhān	dvAdaSa-gaMgA-nadI-bAlikA-samAn=-taTAgatAn-arhataH samyaksaMbudDAn
   sarvasukhopadhānairupatiṣṭheta / yaścemaṃ saṃghāṭasūtraṃ dharmaparyāyaṃ	sarva-suKa-upaDAnEH-upatizWeta / yaH-ca-imam saMGAwa-sUtram Darma-paryAyam
   śṛṇuyādevameva tasya puṇyaskandho jñātavyaḥ /	SRNuyAt-evam-eva tasya puNya-skanDaH jQAtavyaH /
   [SaSū 45] sarvaśūro bodhisattva āha - kathaṃ bhagavan kuśalamūlaparipūriḥ	[SaSU 45] sarva-SUraH boDisattvaH Aha  kaTam Bagavan kuSala-mUla-paripUriH
   kartavyāḥ evamukte bhagavān sarvaśūraṃ bodhisattvaṃ mahāsattvametadavocat	kartavyAH evam-ukte BagavAn sarva-SUram boDisattvam mahAsattvam-etat-avocat-
   - yat sarvaśūra kuśalamūlaṃ tat tathāgatasamaṃ jñātavyaṃ sarvaśūra āha -	 yat sarva-SUra kuSala-mUlam tat taTAgata-samam jQAtavyam sarva-SUraH Aha -
   katamacca bhagavan kuśalamūlaṃ tathāgatasamaṃ jñātavyaṃ / bhagavān āha -	katamat-ca Bagavan kuSala-mUlam taTAgata-samam jQAtavyam / BagavAn Aha -
   dharmabhāṇakaḥ sarvaśūra tathāgatasamo jñātavyaḥ sarvaśūra āha - katamo	Darma-BANakaH sarva-SUra taTAgata-samaH jQAtavyaH sarva-SUraH Aha  katamaH-
   bhagavan dharmabhāṇakaḥ bhagavān āha - yaḥ saṃghāṭaṃ sūtraṃ śrāvayati sa	Bagavan Darma-BANakaH BagavAn Aha  yaH saMGAwam sUtram SrAvayati sa
   dharmabhāṇakaḥ	Darma-BANakaH
   [SaSū 46] sarvaśūro bodhisattva āha - ye bhagavan saṃghāṭasūtraṃ	[SaSU 46] sarva-SUraH boDisattvaH Aha  ye Bagavan saMGAwa-sUtram
   dharmaparyāyaṃ śroṣyanti / te īdṛśaṃ puṇyaskandhaṃ prasaviṣyanti / kaḥ	Darma-paryAyam Srozyanti / te IdRSam puNya-skanDam prasavizyanti / kaH
   punarvādo ye likhiṣyanti (svayaṃ vā likhiṣyanti) vācayiṣyanti / kiyantaṃ	punar-vAdaH ye liKizyanti (svayam vA liKizyanti) vAcayizyanti / kiyantam
   te bhagavan puṇyaskandhaṃ prasaviṣyanti / bhagavān āha - śṛṇu sarvaśūra /	te Bagavan puNya-skanDam prasavizyanti / BagavAn Aha  SRNu sarva-SUra /
   tadyathā caturṣu dikṣvekaikasyān diśi	tat-yaTA caturzu dikzu-ekEkasyAn diSi
   dvādaśagaṃgānadībālikāsamāṃstathāgatān arhataḥ samyaksaṃbuddhā	dvAdaSa-gaMgA-nadI-bAlikA-samAn=-taTAgatAn arhataH samyaksaMbudDA
   dvādaśagaṃgānadībālikāsamān kalpān avatiṣṭhanto dharmaṃ deśayeyurasya	dvAdaSa-gaMgA-nadI-bAlikA-samAn kalpAn avatizWantaH Darmam deSayeyuH-asya
   saṃghāṭasūtrasya dharmaparyāyasya puṇyaskandhaṃ varṇayeyurlekhayatastasya	saMGAwa-sUtrasya Darma-paryAyasya puNya-skanDam varNayeyuH-leKayataH-tasya
   puṇyaskandhasya na śakyaṃ paryantamadhigantuṃ vācayā vā vyāhartuṃ /	puNya-skanDasya na Sakyam paryantam-aDigantum vAcayA vA vyAhartum /
   aṣṭācatvāriṅśadbhirapi gaṃgānādibālikāsamairbuddhairbhagavadbhirna śakyaṃ	azwAcatvAriFSadBiH-api gaMgAna-Adi-bAlikA-samEH-budDEH-BagavadBiH-na Sakyam
   likhyamānasya yatpuṇyaskandhaṃ tadvyāhartuṃ kaḥ punarvādo ye vācayiṣyanti	liKyamAnasya yat-puNya-skanDam tat-vyAhartum kaH punar-vAdaH ye vAcayizyanti
   cintayiṣyanti vā ye vā dharmadhyānā bhaviṣyanti /	cintayizyanti vA ye vA Darma-DyAnAH Bavizyanti /
   [SaSū 47] sarvaśūro bodhisattva āha - kiyantaṃ bhagavan vācayamānāḥ	[SaSU 47] sarva-SUraH boDisattvaH Aha  kiyantam Bagavan vAcayamAnAH
   puṇyaskandhaṃ prasaviṣyanti // atha khalu bhagavāṃstasyāṃ velāyāmimā gāthā	puNya-skanDam prasavizyanti // aTa Kalu BagavAn=-tasyAm velAyAm-imAH gATA
