   Spandakārikā, prathamo niḥṣyandaḥ	Spanda-kArikA, praTamaH niHzyandaH
   jagatkāryaṃ sthitaṃ yatprakāśena prakāśamānaṃ satsthitiṃ labhate tasya	jagat-kAryam sTitam yat-prakASena prakASamAnam sat-sTitim laBate tasya
   kathaṃ tena nirodhaḥ śakyas tannirodhe hi nirodhakābhimatameva na	kaTam tena niroDaH SakyaH tad-niroDe hi niroDaka-aBimatam-eva na
   cakāsyādity āśayaśeṣaḥ || VSpkC_1.2:4	cakAsyAt-iti ASaya-SezaH || VSpkC_1.2:4
   * yathoktam /	* yaToktam /
   * tadātmanaiva tasya syātkathaṃ prāṇena yantraṇā || VSpkC_1.2:5	* tad-AtmanA-eva tasya syAt-kaTam prANena yantraNA || VSpkC_1.2:5
   * ityajaḍapramātṛsiddhau || VSpkC_1.2:6	* iti-ajaxa-pramAtR-sidDO || VSpkS_1.2:6
   * nanūtpannasya sthityātmā prakāśe bhavati utpattireva tv asya kuta ityāha	* nanu-utpannasya sTiti-AtmA prakASe Bavati utpattiH-eva tu asya kutas iti-Aha
   yasmāc ca nirgatamiti || VSpkC_1.2:7	yasmAt ca nirgatam-iti || VSpkC_1.2:7
   * smṛtisvapnasaṃkalpayoginirmāṇadṛṣṭayā citaḥ svānubhavasiddhaṃ	* smRti-svapna-saMkalpa-yogi-nirmANa-dRzwayA citaH sva-anuBava-sidDam
   jagatkāraṇatvam ujjhitvā apramāṇakam anupapannaṃ ca pradhānaparamāṇvādīnāṃ	jagat-kAraNa-tvam ujJitvA apramANakam anupapannam ca praDAna-paramANu-AdInAm
   na tatkalpayituṃ yujyate || VSpkC_1.2:8	na tat-kalpayitum yujyate || VSpkS_1.2:8
   * kāryapadena cedameva dhvanitaṃ kartuḥ kriyayā niṣpādyaṃ hi kāryamucyate	* kArya-padena ca-idam-eva Dvanitam kartuH kriyayA nizpAdyam hi kAryam-ucyate
   na tu jaḍakāraṇānantarabhāvi jaḍasya kāraṇatvānupapatteḥ	na tu jaxa-kAraNa-anantara-BAvi jaxasya kAraNatva-anupapatteH
   īśvarapratyabhijñoktanītyā || VSpkC_1.2:9	ISvara-pratyaBijQA-ukta-nItyA || VSpkC_1.2:9
   * bhaviṣyati caitat || VSpkC_1.2:10	* Bavizyati ca-etat || VSpkC_1.2:10
   * avasthāyugalaṃ cātra kāryakartṛtvaśabditam || VSpkC_1.2:11	* avasTA-yugalam ca-atra kArya-kartR-tva-Sabditam || VSpkC_1.2:11
   * ityatra /	* iti-atra /
   * sarvaśabdenopādānādinairapekṣyaṃ karturdhvanitam || VSpkC_1.2:12	* sarva-Sabdena-upAdAna-AdinEH-apekzyam kartuH-Dvanitam || VSpkC_1.2:12
   * na ca kāryaṃ ghaṭādi kartuḥ kumbhakārādeḥ kadācitsvarūpaṃ tirodadhad	* na ca kAryam Gawa-Adi kartuH kumBakAra-AdeH kadAcid-svarUpam tirodaDat-
   dṛṣṭam || VSpkC_1.2:13	dRzwam || VSpkC_1.2:13
   * nanu nirgatir avasthitasya bhavati tatkimetat kvacid ādāv eva sthitaṃ	* nanu nirgatiH avasTitasya Bavati tat-kim-etat kvacid AdO eva sTitam
   nānyatra sthitamapitu tatraiva cidātmanītyāha yatra sthitamiti ||	na-anyatra sTitam-apitu tatra-eva cit-Atmani-iti-Aha yatra sTitam-iti ||
   VSpkC_1.2:14	VSpkC_1.2:14
   * āvṛttyā caitadyojyam || VSpkC_1.2:15	* AvRttyA ca-etat-yojyam || VSpkC_1.2:15
   * ayamarthaḥ yadi cidātmani jagadahaṃprakāśābhedena na bhavet tat katham	* ayam-arTaH yadi cit-Atmani jagat-ahaMprakASa-aBedena na Bavet tat kaTam
   upādānādinirapekṣaṃ tata udiyāt || VSpkC_1.2:16	upAdAna-Adi-nirapekzam tatas udiyAt || VSpkC_1.2:16
   * yatastu yathā nyagrodhabījasthaḥ śaktirūpo mahādrumaḥ /	* yatas-tu yaTA nyagroDa-bIja-sTaH Sakti-rUpaH mahA-drumaH /
   * tathā hṛdayabījasthaṃ jagad etac carācaram || VSpkC_1.2:17	* taTA hRdaya-bIja-sTam jagat etat carAcaram || VSpkC_1.2:17
   * ityāmnāyasthityā || VSpkC_1.2:18	* iti-AmnAya-sTityA || VSpkC_1.2:18
   * svāminaścātmasaṃsthasya || VSpkC_1.2:19	* svAminaH-ca-Atma-saMsTasya || VSpkS_1.2:19
   * iti pūrvoktayuktyā ca tatraitad abhedena sphuratsthitaṃ tato 'yaṃ	* iti pUrva-ukta-yuktyA ca tatra-etat aBedena sPurat-sTitam tatas ayam
   cidātmā bhagavānnijarasāśyānatārūpaṃ jagad unmajjayatīti yujyate ||	cit-AtmA BagavAn-nija-rasa-ASyAna-tA-rUpam jagat unmajjayati-iti yujyate ||
   VSpkC_1.2:20	VSpkC_1.2:20
   * evaṃ ca yatra sthitameva sad yasmān nirgatamityatra yojanā jātā ||	* evam ca yatra sTitam-eva sat yasmAt nirgatam-iti-atra yojanA jAtAH ||
   VSpkC_1.2:21	VSpkC_1.2:21
   * ca evārthe bhinnakramaḥ || VSpkC_1.2:22	* ca eva-arTe BinnakramaH || VSpkC_1.2:22
   * nanu yadi tasmāt prakāśavapuṣa idaṃ jagan niryātaṃ tan na pratheta na hi	* nanu yadi tasmAt prakASa-vapuzaH idam jagat niryAtam tat na praTeta na hi
   prathābāhyaṃ ca prathate ceti yuktam ityāśaṅkya yasmān nirgatamapi	praTA-bAhyam ca praTate ca-iti yuktam iti-ASaFkya yasmAt nirgatam-api
   sadyatra sthitam ity āvṛttyā saṃgamanīyam || VSpkC_1.2:23	sat-yatra sTitam iti AvRttyA saMgamanIyam || VSpkS_1.2:23
   * co 'pyarthe bhinnakramaḥ || VSpkC_1.2:24	* caH api-arTe BinnakramaH || VSpkC_1.2:24
   * etaduktaṃ bhavati na prasevakādivākṣoṭādi tat tasmān nirgatamapi tu sa	* etat-uktam Bavati na prasevakAt-iva-akzowa-Adi tat tasmAt nirgatam-api tu sa
   eva bhagavān svasvātantryād anatiriktām apyatiriktāmiva jagadrūpatāṃ	eva BagavAn sva-svAtantryAt anatiriktAm api-atiriktAm-iva jagat-rUpa-tAm
   svabhittau darpaṇanagaravat prakāśayan sthitaḥ || VSpkC_1.2:25	sva-BittO darpaNa-nagara-vat prakASayan sTitaH || VSpkC_1.2:25
   * nanu ca bhavatvevaṃ sargasthityavasthayor jagatāsyāniruddhatvaṃ	* nanu ca Bavatu-evam sarga-sTiti-avasTayoH jagatA-asya-anirudDa-tvam
   saṃhārāvasthayā tv abhāvātmanā suṣuptadeśīyayā jagataḥ sambandhinyā kathaṃ	saMhAra-avasTayA tu aBAva-AtmanA suzupta-deSIyayA jagataH sambanDinyA kaTam
   naitat tirodhīyate nahi grāhyaṃ jagadvinā grāhakaścidātmā kaścidity	na-etat tiroDIyate na-hi grAhyam jagat-vinA grAhakaScid-AtmA kaScid-iti-
   āvṛttyaitad evottaraṃ yasmān nirgatamapi sadyatraiva sthitamutpannam api	AvRttya-etat eva-uttaram yasmAt nirgatam-api sat-yatra-eva sTitam-utpannam api
   jagatsaṃhārāvasthāyāṃ tadaikātmyenaivāste na tv asyānyaḥ kaściducchedaḥ	jagat-saMhAra-avasTAyAm tad-EkAtmyena-eva-Aste na tu asya-anyaH kaScid-ucCedaH
   śūnyarūpastasya vakṣyamāṇayuktyā prakāśaṃ bhittibhūtaṃ	SUnya-rUpaH-tasya vakzyamANa-yuktyA prakASam Bitti-BUtam
   vinānupapatterityarthaḥ || VSpkC_1.2:26	vinA-anupapatteH-iti-arTaH || VSpkS_1.2:26
   * yathoktaṃ śrīsvacchandaśāstre /	* yaToktam SrI-svacCandaSAstre /
   * aśūnyaṃ śūnyamityuktaṃ śūnyaṃ cābhāva ucyate /	* aSUnyam SUnyam-iti-uktam SUnyam ca-aBAvaH ucyate /
   * devyabhāvaḥ sa vijñeyo yatra bhāvāḥ kṣayaṃ gatāḥ || VSpkC_1.2:27	* devI-aBAvaH sa vijQeyaH yatra BAvAH kzayam gatAH || VSpkS_1.2:27
   * iti || VSpkC_1.2:28	* iti || VSpkC_1.2:28
   * evaṃ sarvaṃ yasya kāryaṃ yatprakāśenaiva prakāśate saṃhṛtamapi ca	* evam sarvam yasya kAryam yat-prakASena-eva prakASate saMhRtam-api ca
   sadyatprakāśaikātmyena tiṣṭhati na tasya deśakālākārādi kiṃcin nirodhakaṃ	sat-yat-prakASa-EkAtmyena tizWati na tasya deSa-kAla-AkAra-Adi kiMcid niroDakam
   yujyate iti vyāpakaṃ nityaṃ viśvaśaktikhacitaṃ svaprakāśamādisiddhaṃ	yujyate iti vyApakam nityam viSva-Sakti-Kacitam sva-prakASam-Adi-sidDam
   caitattattvamiti nāsya siddhāv ajñātārthaprakāśarūpaṃ	ca-etat-tattvam-iti na-asya sidDO ajQAta-arTa-prakASa-rUpam
   pramāṇavarākamupapadyata upayujyate sambhavati vā	pramANavarAkam-upapadyate upayujyate samBavati vA
   pratyutaitattattvasiddhyadhīnā pramāṇādiviśvavastusiddhiḥ || VSpkC_1.2:29	pratyuta-etat-tattva-sidDi-aDInA pramANa-Adi-viSva-vastu-sidDiH || VSpkS_1.2:29
   * taduktamasmadgurubhis tantrāloke /	* tat-uktam-asmad-guruBiH tantrAloke /
   * pramāṇānyapi vastūnāṃ jīvitaṃ yāni tanvate /	* pramANAni-api vastUnAm jIvitam yAni tanvate /
   * teṣāmapi paro jīvaḥ sa eva parameśvaraḥ || VSpkC_1.2:30	* tezAm-api paraH jIvaH saH eva parameSvaraH || VSpkS_1.2:30
   * iti || VSpkC_1.2:31	* iti || VSpkC_1.2:31
   * yasmān nirgatamapīdaṃ jagadyatra sthitaṃ yatprakāśena prakāśamānaṃ	* yasmAt nirgatam-api-idam jagat-yatra sTitam yat-prakASena prakASamAnam
   tathābhūtamapi yatra sthitaṃ yatprakāśaikarūpaṃ yatprakāśa eva yasya	taTABUtam-api yatra sTitam yat-prakASa-eka-rUpam yat-prakASaH eva yasya
   siddhyai nyakṣeṇekṣyamāṇaṃ bhavati na tv anyaj jagan nāma kiṃcit ||	sidDyE nyakzeNa-IkzyamANam Bavati na tu anyat jagat nAma kiMcid ||
   VSpkC_1.2:32	VSpkC_1.2:32
   * atra yatra sthitamityāvartya dvir yojyam || VSpkC_1.2:33	* atra yatra sTitam-iti-Avartya dvis yojyam || VSpkC_1.2:33
   * evaṃ ca svānubhavasiddhamevāsya tattvasya	* evam ca sva-anuBava-sidDam-eva-asya tattvasya
   sṛṣṭisthitisaṃhāramelanāvabhāsino 'tidurghaṭakāriṇaḥ sarvadā	sRzwi-sTiti-saMhAra-melana-avaBAsinaH ati-durGawa-kAriNaH sarvadA
   sarvatrāniruddhatvam || VSpkC_1.2:34	sarvatra-anirudDa-tvam || VSpkC_1.2:34
   * yathoktaṃ śrīmadutpaladevācāryaiḥ /	* yaToktam SrImat-utpaladeva-AcAryEH /
   * parameśvaratā jayatyapūrvā tava sarveśa yadīśitavyaśūnyā /	* parameSvara-tA jayati-apUrvA tava sarva-ISa yadi-ISitavya-SUnyA /
   * aparāpi tathaiva te yayedaṃ jagadābhāti yathā tathā na bhāti ||	* aparA-api taTA-eva te yayA-idam jagat-ABAti yaTA taTA na BAti ||
   VSpkC_1.2:35	VSpkC_1.2:35
   * iti || VSpkC_1.2:36	* iti || VSpkC_1.2:36
   * atrahibhāsamānameva jagad bhāsanaikaśeṣībhūtatvād bhāsanātiriktaṃ na	* atra-hiBAsamAnam-eva jagat BAsana-eka-SezIBUta-tvAt BAsana-atiriktam na
   kiṃcidbhātītyarthaḥ || VSpkC_1.2:37	kiMcid-BAti-iti-arTaH || VSpkS_1.2:37
   * kiṃca yatra sthitam ityuktyopaśamapade yasmāc ca nirgatamiti prasarapade	* kiMca yatra sTitam iti-uktyA-upaSama-pade yasmAt ca nirgatam-iti prasara-pade
   yato'sya na nirodhas tato nimīlanonmīlanasamādhidvaye'pi yoginā	yatas-asya na niroDaH tatas nimIlana-unmIlana-samADi-dvaye-api yoginA
   svasvabhāvasamāveśapareṇaiva bhavitavyam || VSpkC_1.2:38	sva-svaBAva-samAveSa-pareNa-eva Bavitavyam || VSpkC_1.2:38
   * yadvakṣyate /	* yat-vakzyate /
   * yadā kṣobhaḥ pralīyeta tadā syātparamaṃ padam || VSpkC_1.2:39	* yadA kzoBaH pralIyeta tadA syAt-paramam padam || VSpkC_1.2:39
   * iti || VSpkC_1.2:40	* iti || VSpkC_1.2:40
   * tathā /	* taTA /
   * tasmāc chabdārthacintāsu na sāvasthā na yā śivaḥ || VSpkC_1.2:41	* tasmAt Sabda-arTa-cintAsu na sA-avasTA na yA SivaH || VSpkC_1.2:41
   * ityapi ca || VSpkC_1.2:42	* iti-api ca || VSpkC_1.2:42
   * kutracidanātmavādini saugatādau pramātari kutracic ca bādhakābhimate	* kutracid-ana-Atma-vAdini sOgata-AdO pramAtari kutracid ca bADaka-aBimate
   pramāṇe sati na tasya nirodhaḥ pratiṣedho'sti yato yastasya pratiṣedhako	pramANe sati na tasya niroDaH pratizeDaH-asti yatas yaH-tasya pratizeDa-kaH-
   yac ca tasya pratiṣedhakaṃ pramāṇaṃ tadyadi na siddham abhittikam etac	yat ca tasya pratizeDakam pramANam tat-yadi na sidDam aBittikam etat-
   citraṃ siddhiścāsya prakāśate iti tatsiddhyaiva	citram sidDiH-ca-asya prakASate iti tad-sidDyA-eva
   bhagavānādisiddhasvaprakāśamūrtir astīty etat pratiṣedhāyoditenāpy	BagavAn-Adi-sidDa-sva-prakASa-mUrtiH asti-iti etat pratizeDAya-uditena-api-
   anakṣaramuktam || VSpkC_1.2:43	anakzaram-uktam || VSpkC_1.2:43
   * bhaviṣyati caitat /	* Bavizyati ca-etat /
   * na tu yo 'ntarmukho bhāvaḥ || VSpkC_1.2:44	* na tu yaH antarmuKaH BAvaH || VSpkC_1.2:44
   * ityatrāntare || VSpkC_1.2:45	* iti-atra-antare || VSpkS_1.2:45
   * evaṃ cānena viśvottīrṇaṃ viśvamayaṃ viśvasargasaṃhārādikāri śāṃkaraṃ	* evam ca-anena viSva-uttIrNam viSva-mayam viSva-sarga-saMhAra-Adi-kAri SAMkaram
   svasvabhāvātmakaṃ tattvam ityabhidadhatā sarveṣu pārameśvareṣu yadupāsyaṃ	sva-svaBAva-Atmakam tattvam iti-aBidaDatA sarvezu pArameSvarezu yat-upAsyam
   taditaḥ spandatattvān nādhikaṃ kevalametatsvātantryavaśenaiva	tat-itas spanda-tattvAt na-aDikam kevalam-etat-svAtantrya-vaSena-eva
   tadupāsāvaicitryam ābhāsyate || VSpkC_1.2:46	tad-upAsA-vEcitryam ABAsyate || VSpkS_1.2:46
   * vastutastu etadvīryasāram evāśeṣam || VSpkC_1.2:47	* vastutas-tu etat-vIrya-sAram eva-aSezam || VSpkC_1.2:47
   * yadvakṣyati /	* yat-vakzyati /
   * tadākramya balaṃ mantrāḥ sarvajñabalaśālinaḥ || VSpkC_1.2:48	* tat-A-Akramya balam mantrAH sarvajQa-bala-SAlinaH || VSpkC_1.2:48
   * ityetadapi bhaṅgyā pratipāditam || VSpkC_1.2:49	* iti-etat-api BaFgyA pratipAditam || VSpkC_1.2:49
   * evaṃ ca na kaścid uktacodyāvakāśaḥ || VSpkC_1.2:50	* evam ca na kaScid ukta-codya-avakASaH || VSpkS_1.2:50
   * evametādṛśeṣu cintāratnaprāyeṣu śrīspandasūtreṣu yadanyaiḥ sarvair	* evam-etAdRSezu cintA-ratna-prAyezu SrI-spanda-sUtrezu yat-anyEH sarvEH-
   vivṛtikṛdbhir vyākhyāyi yac cāsmābhiḥ kiṃcid vyākriyate	vivRti-kRdBiH vyAKyAyi yat ca-asmABiH kiMcid vyAkriyate
   tatrāntaramamatsarā anavaliptāś ca svayameva vicinvantu sacetaso na tu tad	tatra-antaram-amatsarAH anavaliptAH ca svayam-eva vicinvantu sacetasaH na tu tat-
   asmābhir udghāṭya pratipadaṃ pradarśyate granthagauravāpatteḥ ||	asmABiH udGAwya pratipadam pradarSyate granTa-gOrava-ApatteH ||
   VSpkC_1.2:51	VSpkC_1.2:51
   * nanu jāgarādidaśasv īdṛśaḥ svabhāvo nānubhūyate yadi	* nanu jAgara-Adi-daSasu IdRSaH svaBAvaH na-anuBUyate yadi
   cāyamuktayuktibhirna kenacit nirudhyate tat jāgarādyavasthā svayameva	cAyam-ukta-yuktiBiH-na kenacid niruDyate tat jAgara-Adi-avasTA svayam-eva
   nirotsyate iti śaṅkāta uktamapyartham apratipadyamānaṃ pratibodhayann	nirotsyate iti SaFkAtaH uktam-api-arTam apratipadyamAnam pratiboDayan=-
   upadiśati || VSpkC_1.2:52]	upadiSati || VSpkC_1.2:52]
   jāgradādivibhede'pi tadabhinne prasarpati /	jAgrat-Adi-viBede-api tad-aBinne prasarpati /
   nivartate nijān naiva svabhāvādupalabdhṛtaḥ // VSpk_1.3 //	nivartate nijAn na-eva svaBAvAt-upalabDRtaH // VSpc-_1.3 //
   * jāgarāparaparyāyo jāgracchabdaḥ śiṣṭaprayuktatvāt || VSpkC_1.3:1	* jAgara-apara-paryAyaH jAgrat-SabdaH Sizwa-prayukta-tvAt || VSpkC_1.3:1
   * lokaprasiddhe jāgratsvapnasuṣuptānāṃ bhede yogiprasiddhe 'pi vā	* loka-prasidDe jAgrat-svapna-suzuptAnAm Bede yogi-prasidDe api vA
   dhāraṇādhyānasamādhirūpe prasarpati anyānyarūpe pravahati sati arthāt	DAraNA-DyAna-samADi-rUpe prasarpati anya-anya-rUpe pravahati sati arTAt-
   tattattvaṃ nijādanapāyinaḥ sarvasyātmabhūtāc cānubhavitṛrūpāt svabhāvān	tat-tattvam nijAt-anapAyinaH sarvasya-Atma-BUtAt ca-anuBavitR-rUpAt svaBAvAn
   naiva nivartate || VSpkC_1.3:2	na-eva nivartate || VSpkS_1.3:2
   * yadihisvayaṃnivarteta taj jāgradādy api tatprakāśavinākṛtaṃ na	* yadihi-svayaMnivarteta tat jAgrat-Adi api tad-prakASa-vinAkRtam na
   kiṃcitprakāśeta || VSpkC_1.3:3	kiMcid-prakASeta || VSpkC_1.3:3
   * upalabdhṛtā caitadīyā jāgarāsvapnayoḥ sarvasya svasaṃvedanasiddhā	* upalabDRtA ca-etadIyA jAgarA-svapnayoH sarvasya sva-saMvedana-sidDA
   sauṣupte yadyapi sā tathā na cetyate tathāpy	sOzupte yadi-api sA taTA na cetyate taTA-api-
   auttarakālikasmṛtyanyathānupapattyā siddhā upalabdhṛta eva ca svabhāvān na	OttarakAlika-smRti-anyaTA-anupapattyA sidDAH upalabDRtaH eva ca svaBAvAt na
   nivartate upalabhyaṃ tv avasthādi tanmāhātmyān nivartatāṃ kāmaṃ kātra	nivartate upalaByam tu avasTA-Adi tad-mAhAtmyAn nivartatAm kAmam kAtra
   kṣatiḥ || VSpkC_1.3:4	kzatiH || VSpkS_1.3:4
   * evakāro'pyarthe bhinnakramas tadabhāve'pi na nivartata ityarthaḥ ||	* eva-kAraH-api-arTe BinnakramaH tad-aBAve-api na nivartate iti-arTaH ||
   VSpkC_1.3:5	VSpkC_1.3:5
   * jāgarādivibhedasya viśeṣaṇadvāreṇa hetustadabhinne iti tasmāc	* jAgara-Adi-viBedasya viSezaNa-dvAreNa hetuH-tad-aBinne iti tasmAt-
   chivasvabhāvādabhedena prakāśamānatvāt prakāśarūpe ityarthaḥ ||	Civa-svaBAvAt-aBedena prakASamAna-tvAt prakASa-rUpe iti-arTaH ||
   VSpkC_1.3:6	VSpkC_1.3:6
   * yac ca yadekātmakaṃ tatkathaṃ tannivṛttāv avatiṣṭhate || VSpkC_1.3:7	* yat ca yat-eka-Atmakam tat-kaTam tad-nivRttO avatizWate || VSpkS_1.3:7
   * yadvā taditi kartṛpadam || VSpkC_1.3:8	* yat-vA tat-iti kartR-padam || VSpkC_1.3:8
   * abhinna iti tu kevalamabhinnatvaṃ jāgarādeḥ śivāpekṣameva || VSpkC_1.3:9	* aBinnaH iti tu kevalam-aBinna-tvam jAgara-AdeH Siva-apekzam-eva || VSpkC_1.3:9
   * arthāttattattvaṃ jāgarādibhede'pi sati prasarpati prasarati vaicitryaṃ	* arTAt-tat-tattvam jAgara-Adi-Bede-api sati prasarpati prasarati vEcitryam
   gṛhṇāti tan naiva svabhāvān nivartata iti yojyam || VSpkC_1.3:10	gRhNAti tat na-eva svaBAvAt nivartate iti yojyam || VSpkC_1.3:10
   * kiṃcāyaṃ jāgradādibhedaḥ pariṇāmo vivarto veti yat	* kiMca-ayam jAgrat-Adi-BedaH pariNAmaH vivartaH vA-iti yat-
   sāṃkhyapāñcarātraśābdikādayo manyante tadvyudāsāyāpyuktaṃ tadabhinna iti	sAMKya-pAQcarAtra-SAbdika-AdayaH manyante tad-vyudAsAya-api-uktam tat-aBinnaH iti
   || VSpkC_1.3:11	|| VSpkC_1.3:11
   * avasthāprapañco'pi yadi cinmātrāt manāgapy atiricyeta cidrūpaṃ vā	* avasTA-prapaQcaH-api yadi cit-mAtrAt manAk-api atiricyeta cit-rUpam vA
   tatpariṇatau manāg atiricyeta tan na kiṃcic ca kā syād iti tāvan na	tad-pariNatO manAk atiricyeta tat na kiMcid ca kA syAt iti tAvat na
   pariṇāmo'sti || VSpkC_1.3:12	pariNAmaH-asti || VSpkC_1.3:12
   * yathoktam /	* yaToktam /
   * pariṇāmo'cetanasya cetanasya na yujyate || VSpkC_1.3:13	* pariNAmaH-acetanasya cetanasya na yujyate || VSpkS_1.3:13
   * iti śrīkiraṇe || VSpkC_1.3:14	* iti SrI-kiraNe || VSpkC_1.3:14
   * na ca bhāsamāno 'sāv asatyo brahmatattvasyāpi tathātvāpatteḥ ity	* na ca BAsamAnaH asO asatyaH brahma-tattvasya-api taTA-tva-ApatteH iti-
   asatyavibhaktānyarūpopagrāhitā vivarta ityapi na saṃgatam || VSpkC_1.3:15	asatya-viBakta-anya-rUpa-upagrAhitA vivarte iti-api na saMgatam || VSpkC_1.3:15
   * anena cātidurghaṭakiratvam eva bhagavato dhvanitam || VSpkC_1.3:16	* anena ca-ati-durGawa-kira-tvam eva BagavataH Dvanitam || VSpkC_1.3:16
   * yasmāj jāgarādivibhedaṃ ca prakāśayati tatraiva ca svābhedamiti	* yasmAt jAgara-Adi-viBedam ca prakASayati tatra-eva ca sva-aBedam-iti
   bhedātmanā tadabhedātmanobhayātmanā ca	Beda-AtmanA tad-aBeda-AtmanA-uBaya-AtmanA ca
   rūpeṇāparāparāparāparāśaktitrayasvarūpeṇa sphuratīty	rUpeNa-apara-apara-apara-aparA-Sakti-traya-svarUpeNa sPurati-iti-
   anuttaraṣaḍardhatattvātmatayā bhagavān eva sphurati || VSpkC_1.3:17	anuttara-zaz-arDa-tattva-Atma-tayA BagavAn eva sPurati || VSpkC_1.3:17
   * ataścajāgarādidaśāvasthito 'pi evamimaṃ svasvabhāvaṃ pariśīlayan	* atas-ca-jAgara-Adi-daSa-avasTitaH api evam-imam sva-svaBAvam pariSIlayan
   yaścinute sa śaṃkara evetyupadiṣṭaṃ bhavati || VSpkC_1.3:18	yaH-cinute sa SaMkaraH eva-iti-upadizwam Bavati || VSpkC_1.3:18
   * atha ye ekamevedaṃ saṃvidrūpaṃ harṣaviṣādādyanekākāravivartaṃ paśyāma	* aTa ye ekam-eva-idam saMvid-rUpam harza-vizAda-Adi-aneka-AkAra-vivartam paSyAma
   ityuktyā jñānasaṃtāna eva tattvamiti saugatā manyante ye	iti-uktyA jQAna-saMtAnaH eva tattvam-iti sOgatAH manyante ye
   cāhaṃpratītipratyeyaḥ sadaiva sukhādyupadhitiraskṛta ātmeti mīmāṃsakāḥ	ca-ahaMpratIti-pratyeyaH sadA-eva suKa-Adi-upaDi-tiraskRtaH AtmA-iti mImAMsakAH
   pratipannās tānekenaiva ślokenāpavadati || VSpkC_1.3:19]	pratipannAH tAn-ekena-eva Slokena-apavadati || VSpkC_1.3:19]
   ahaṃ sukhī ca duḥkhī ca raktaścetyādisaṃvidaḥ /	aham suKI ca duHKI ca raktaH-ca-ityAdi-saMvidaH /
   sukhādyavasthānusyūte vartante 'nyatra tāḥ sphuṭam // VSpk_1.4 //	suKa-Adi-avasTA-anusyUte vartante anyatra tAH sPuwam // VSpc-_1.4 //
   * ya evāhaṃ sukhī sa eva duḥkhī sukhānuśāyinā rāgeṇa yuktatvād rakto	* yaH eva-aham suKI saH eva duHKI suKa-anuSAyinA rAgeNa yukta-tvAt raktaH-
   duḥkhānuśāyinā dveṣeṇa sambandhād dviṣṭetyādayaḥ saṃvido jñānāni tā	duHKa-anuSAyinA dvezeNa sambanDAt dvizwa-ityAdayaH saMvidaH jQAnAni tA
   anyatreti avasthātary ātmatattve vartante tatraivāntarmukhe viśrāmyanti	anyatra-iti avasTAtari Atma-tattve vartante tatra-eva-antarmuKe viSrAmyanti
   sphuṭaṃ svasākṣikaṃ kṛtvā || VSpkC_1.4:1	sPuwam sva-sAkzikam kRtvA || VSpkC_1.4:1
   * anyathā kṣaṇikajñānānāṃ svātmamātrakṣīṇatvāt tatsaṃskārajanmanām api	* anyaTA kzaNika-jQAnAnAm sva-Atma-mAtra-kzINa-tvAt tad-saMskAra-janmanAm api
   vikalpānāmanubhavāgocare pravṛttyabhāvādanusaṃdhānam idaṃ na ghaṭeta ||	vikalpAnAm-anuBava-agocare pravRtti-aBAvAt-anusaMDAnam idam na Gaweta ||
   VSpkC_1.4:2	VSpkC_1.4:2
   * cakārās tulyayogitāparā anusaṃdhānaṃ dyotayanti || VSpkC_1.4:3	* cakArAH tulyayogitA-parAH anusaMDAnam dyotayanti || VSpkC_1.4:3
   * kīdṛśe'nyatra sukhādyavasthā udayapralayinyo 'nusyūtā dṛbdhā yasmiṃs	* kIdRSe-anyatra suKa-Adi-avasTAH udaya-pralayinyaH anusyUtA dRbDAH yasmin=-
   tasmin sukhādyavasthānusyūte 'ntaḥsraksūtrakalpatayā sthite || VSpkC_1.4:4	tasmin suKa-Adi-avasTA-anusyUte antar-sraj-sUtra-kalpatayA sTite || VSpkC_1.4:4
   * tā ity anenānusaṃdhīyamānāvasthānāṃ smaryamāṇatām	* tAH iti anena-anusaMDIyamAna-avasTAnAm smaryamANa-tAm
   abhidadhatkṣaṇikajñānavādimate 'nubhavasaṃskārotpannatvād	aBidaDat-kzaNika-jQAna-vAdi-mate anuBava-saMskAra-utpanna-tvAt-
   arthākārārūṣitatve 'pi smṛteḥ kāmam anubhavasadṛśatvaṃ bhavatu na tv	arTa-AkAra-ArUzita-tve api smRteH kAmam anuBava-sadRSa-tvam Bavatu na tu-
   anubhavānubhūtātītakālārthavyavasthāpakatvaṃ ghaṭate sarvasaṃvidantarmukhe	anuBava-anuBUta-atIta-kAla-arTa-vyavasTApaka-tvam Gawate sarva-saMvid-antarmuKe
   tu pramātari sati sarvaṃ yujyata iti sūcitavān ity alaṃ	tu pramAtari sati sarvam yujyate iti sUcitavAn iti alam
   sukumārahṛdayopadeśyajanavairasyadāyinībhir ābhiḥ kathābhiḥ || VSpkC_1.4:5	sukumAra-hRdaya-upadeSya-jana-vErasya-dAyinIBiH ABiH kaTABiH || VSpkC_1.4:5
   * etadarthibhiḥ pratyabhijñā parīkṣyā || VSpkC_1.4:6	* etad-arTiBiH pratyaBijQA parIkzyAH || VSpkC_1.4:6
   * granthakṛtaiva tu yata iha yuktir āsūtritā tato'smābhiḥ kiṃcid	* granTa-kRtA-eva tu yatas iha yuktiH AsUtritA tatas-asmABiH kiMcid-
   udghāṭitam iti sacetobhir nāsmabhyam asūyayitavyam || VSpkC_1.4:7	udGAwitam iti sa-cetoBiH na-asmaByam asUyayitavyam || VSpkC_1.4:7
