   Padmagupta (alias Parimala):	Padmagupta (aliaH Parimala):
   anaṅgavatyāḥ kamalaṃ jahāra sā Pnc_7.28d	anaFgavatyAH kamalam jahAra sA Pn= _7.28d
   anaṅgavidhunā yāvad Pnc_16.46c	anaFga viDunA yAvat Pn= _16.46c
   Anaṅgasāmrājyavilāsacāmare Pnc_7.12a	AnaFga sAmrAjya vilAsa cAmare Pn= _7.12a
   Anaṅgasyāyam utsavaḥ Pnc_6.90b	AnaFgasya ayam utsavaH Pnc_6.90b
   Anaṅgasyaikarājye 'smin Pnc_6.76c	AnaFgasya eka rAjye asmin Pn= _6.76c
   anativilambiparārdhyamauliratnān Pnc_3.6b	anati vilambi parArDya mOli ratnAn Pnd _3.6b
   anabhijñāḥ kalāpinaḥ Pnc_11.55d	anaBijQAH kalApinaH Pn= _11.55d
   anayadyūthapatir vaśām iva Pnc_12.72d	anayat yUTa patiH vaSAm iva Pn= _12.72d
   anayan sahaiva śithilatvam Pnc_15.65a	anayan saha eva SiTila tvam Pn= _15.65a
   anayā vidrumastamba  Pnc_2.64a	anayA vidruma stamba Pn= _2.64a
   anayā sāma gāyantyā Pnc_11.21a	anayA sAma gAyantyA Pnc_11.21a
   anayaiṣa samāgatas tathā Pnc_12.61c	anayA eza samAgataH taTA Pn= _12.61c
   anayoḥ kim api tvayā vilāsin Pnc_5.74a	anayoH kim api tvayA vilAsin Pnd _5.74a
   anayoḥ pannagalokakaumudi Pnc_12.60b	anayoH pannaga loka kOmudi Pnd _12.60b
   anarghyam arghyaṃ jagadekacakṣuṣe Pnc_13.36c	anarGyam arGyam jagat eka cakzuze Pn= _13.36c
   anarpaṇaṃ mahīpāle Pnc_16.112a	anarpaNam mahIpAle Pn= _16.112a
   analpakṛṣṇāgurudhūmabhaṅgyā Pnc_1.30c	analpa kRzNa aguru DUma BaFgyA Pn= _1.30c
   analpalāvaṇyatiraskṛtopamaṃ Pnc_4.37c	analpa lAvaNya tiraskRta upamam Pn= _4.37c
   analpalāvaṇyavilāsajanmabhūr Pnc_4.44a	analpa lAvaNya vilAsa janma BUH Pnd _4.44a
   analpasaṅkalpavikalpajāla  Pnc_10.68a	analpa saFkalpa vikalpa jAla Pn= _10.68a
   analpasaundaryasudhaikasūtiḥ Pnc_14.4c	analpa sOndarya suDA eka sUtiH Pn= _14.4c
   anavadyam itaḥ puraḥ sthitaṃ Pnc_12.51a	anavadyam itas puras sTitam Pn= _12.51a
   anavadyāṅgi pataṅgamaṇḍalam Pnc_12.33d	anavadya aFgi pataFga maNxalam Pn= _12.33d
   anastamṛgayāśramam Pnc_2.33b	anasta mRgayA ASramam Pnc_2.33b
   anātapatro 'yam atra lakṣyate Pnc_4.31a	anAtapatraH ayam atra lakzyate Pn= _4.31a
   anāmayam ivāpṛcchat Pnc_11.8c	anAmayam iva apRcCat Pn= _11.8c
   anārdratām indumarīcisakhye Pnc_9.32c	anArdra tAm indu marIci saKye Pn= _9.32c
   anāvilaṃ yena balād viluptam Pnc_1.63d	anAvilam yena balAt viluptam Pn= _1.63d
   anidritāpi yat sābhūt Pnc_6.49c	anidritA api yat sA aBUt Pn= _6.49c
   animittasmitena sā Pnc_6.45d	animitta smitena sA Pn= _6.45d
   anivāritakelikautukā sā Pnc_5.26a	anivArita keli kOtukA sA Pnd _5.26a
   anukartuṃ kalayāpi dhārṣṭyam eti Pnc_5.24b	anukartum kalayA api DArzwyam eti Pnd _5.24b
   anu kṣitīśaṃ nalinīdalāsane Pnc_7.34a	anu kzitISam nalinI dala Asane Pn= _7.34a
   anugamanena yato 'sya hāralābhaḥ Pnc_3.30b	anugamanena yatas asya hAra lABaH Pn= _3.30b
   anuguṇapadavīvinirgatāsu Pnc_3.58a	anuguNa padavI vinirgatAsu Pnd _3.58a
   anupamamauktikanirgatair mayūkhaiḥ Pnc_3.29b	anupama mOktika nirgatEH mayUKEH Pnc_3.29b
   anupādhir upāhṛto vikāsaḥ Pnc_5.14a	anupADiH upAhRtaH vikAsaH Pn= _5.14a
   anupuñjitapiṅgadīdhiti  Pnc_12.33a	anupuQjita piFga dIDiti Pnd _12.33a
   anurevā pulinaṃ gṛhāṇa yātrām Pnc_5.78b	anurevA pulinam gRhANa yAtrAm Pnd _5.78b
   anulimpati rodasī yathenduḥ Pnc_5.9a	anulimpati rodasI yaTA induH Pnd _5.9a
   anūpuram amekhalam Pnc_11.90b	anUpuram ameKalam Pnc_11.90b
   anūrum urvītalaratnadīpakaḥ Pnc_13.62c	anUrum urvItala ratna dIpakaH Pn= _13.62c
   anekapuṣpaṃ nṛpa śaknuvanti Pnc_14.76b	aneka puzpam nRpa Saknuvanti Pnd _14.76b
   anekaratnāṃśukadambakena Pnc_1.47b	aneka ratna aMSu kadambakena Pnd _1.47b
   anekarājanyaghaṭākirīṭa  Pnc_1.67c	aneka rAjanya GawA kirIwa Pn= _1.67c
   anekarūpālikhanapragalbhayā Pnc_4.6a	aneka rUpa Ali Kana pragalBayA Pn= _4.6a
   anena kenāpi tavāśrame balād Pnc_13.53a	anena kena api tava ASrame balAt Pnc_13.53a
   anena khelanmadadantinā vada Pnc_4.60a	anena Kelan mada dantinA vada Pnd _4.60a
   anena guṇinā sārdhaṃ Pnc_11.47a	anena guNinA sArDam Pn= _11.47a
   anena ced yogam upaiti daivataḥ Pnc_4.37a	anena ced yogam upEti dEvataH Pn= _4.37a
   anena tāvad dadṛśe puraḥsthito Pnc_13.18a	anena tAvat dadRSe puras sTitaH Pnc_13.18a
   anena tu dvitīyena Pnc_6.61c	anena tu dvitIyena Pn= _6.61c
   anena te saśramavāribindunā Pnc_7.51a	anena te sa Srama vAri bindunA Pnc_7.51a
   anena te sundari darśanena vā Pnc_7.47a	anena te sundari darSanena vA Pnd _7.47a
   anena pīnastanakampadāyinā Pnc_4.52a	anena pIna stana kampa dAyinA Pn= _4.52a
   anena me ko 'pi hṛdi praharṣas Pnc_9.32a	anena me kaH api hRdi praharzaH Pnc_9.32a
   anena me saṃprati pārthivendunā Pnc_13.60c	anena me saMprati pArTiva indunA Pn= _13.60c
   anena rūpātiśayena līlayā Pnc_4.22a	anena rUpa atiSayena lIlayA Pn= _4.22a
   anena līlākamalaṃ yad ujjhitam Pnc_7.52d	anena lIlA kamalam yat ujJitam Pn= _7.52d
   anena vindhyādrivihārajanmanā Pnc_4.49a	anena vinDya adri vihAra janmanA Pn= _4.49a
   anena vihitāny atra Pnc_11.102a	anena vihitAni atra Pnd _11.102a
   anena hā dhiṅ muṣitāsmi dasyunā Pnc_13.51b	anena hA Dik muzitA asmi dasyunA Pnc_13.51b
   anenāstaḥ kapoleṣu Pnc_11.100a	anena astaH kapolezu Pnd _11.100a
   anenecchasi cet kartuṃ Pnc_16.89a	anena icCasi ced kartum Pnd _16.89a
   antaraṅgaḥ paricchadaḥ Pnc_6.44d	antaraFgaH paricCadaH Pn= _6.44d
   antarāhitanidhānayā bhuvā Pnc_8.44d	antarAhita niDAnayA BuvA Pn= _8.44d
   antarjatāpihitasomasurāpagāya Pnc_18.16a	antarjata apihita soma surApagAya Pn= _18.16a
   antarniveśitaharinmaṇivedi valgan  Pnc_18.24c	antar niveSita harit maNi vedi valgan Pn= _18.24c
   antaḥ praveśayām āsa Pnc_16.5a	antar praveSayAm Asa Pnd _16.5a
   antaḥsphuṭaikaśivarūpam ahīśvareṇa Pnc_18.53b	antar sPuwa eka Siva rUpam ahi ISvareNa Pnd _18.53b
   antike kanakamādhavīlatā Pnc_8.66d	antike kanakamADavI latA Pn= _8.66d
   andhakāranikaro 'tha rodasī Pnc_8.4d	anDakAra nikaraH aTa rodasI Pn= _8.4d
   anyatra vīravṛtter yad Pnc_11.109c	anyatra vIra vRtteH yat Pn= _11.109c
   anyathā hi gṛhaṃ santaḥ Pnc_16.79c	anyaTA hi gRham santaH Pn= _16.79c
   anyā payodharabhare pulakaṃ babhāra Pnc_18.7d	anyA payoDara Bare pulakam baBAra Pn= _18.7d
   anyenorvīvijayi ca dhanuḥ sāhasāṅkaṃ dadhānaḥ Pnc_2.101b	anyena urvIvijayi ca DanuH sAhasa aFkam daDAnaH Pnc_2.101b
   anyonyakṛttāstarasā bhaṭānāṃ Pnc_17.20a	anyonya kRttAH tarasA BawAnAm Pn= _17.20a
   anyonyapallavitatadvijayapraśaṃsaḥ Pnc_18.26a	anyonya pallavita tad vijaya praSaMsaH Pn= _18.26a
   anyonyapīnāṃsavigharṣaṇena Pnc_14.16b	anyonya pIna aMsa viGarzaNena Pn= _14.16b
   anyonyam āvartata saṃparāyaḥ Pnc_17.47d	anyonyam Avartata saMparAyaH Pn= _17.47d
   anyonyam ekatra nivāsasaukhya  Pnc_1.86c	anyonyam ekatra nivAsa sOKya Pn= _1.86c
   anyonyaruddhaprasarāḥ prayānti Pnc_14.14d	anyonya rudDa prasarAH prayAnti Pn= _14.14d
   anyonyasaṅghaṭṭavaśena teṣām Pnc_17.2a	anyonya saFGawwa vaSena tezAm Pnd _17.2a
   anyonyasaṅghaṭṭavisūtritāni Pnc_14.18a	anyonya saFGawwa visUtritAni Pnd _14.18a
   anyonyasaṃśleṣaviśīrṇahāra  Pnc_1.69a	anyonya saMSleza viSIrNa hAra Pn= _1.69a
   anyonyārpitanetrābhir Pnc_16.57c	anyonya arpita netrABiH Pn= _16.57c
   anyo 'py agādhajalamālavajahnukanyā  Pnc_18.66c	anyaH api agADa jala mAlava jahnu kanyA Pn= _18.66c
   anvagacchad atha taṃ ramāṅgadaḥ Pnc_8.41b	anvagacCat aTa tam ramAFgadaH Pnc_8.41b
   anvāgatādaranivartitapannagendraḥ Pnc_18.55c	anvAgata Adara nivartita pannaga indraH Pn= _18.55c
   apakartum atra samaye tavāttabhīr Pnc_10.14a	apakartum atra samaye tava Atta BIH Pnc_10.14a
   apakṣamapātastimite vilocane Pnc_4.15b	apakzama pAta stimite vilocane Pnd _4.15b
   apaṭhac cārubimbauṣṭha  Pnc_6.12c	apaWat cAru bimba ozWa Pn= _6.12c
   apatat phaṇirājakanyakā Pnc_12.1c	apatat PaNi rAja kanyakA Pn= _12.1c
   apathe caratāṃ yānti Pnc_16.111c	apaTe caratAm yAnti Pn= _16.111c
   apadārpitavaitaneyaśaṅkaḥ Pnc_5.35c	apada arpita vEtaneya SaFkaH Pn= _5.35c
   apade yad udyamakathāvirodhinī Pnc_10.44c	apade yat udyama kaTA viroDinI Pn= _10.44c
   apayātu khagaḥ sas tena kṛtyaṃ Pnc_5.51a	apayAtu KagaH saH tena kRtyam Pn= _5.51a
   aparasyāmayamānato diśi Pnc_12.28b	aparasya Amaya mAnataH diSi Pnd _12.28b
   aparaṃ kṛtam arthavat tad asyāḥ Pnc_5.23c	aparam kRtam arTavat tat asyAH Pn= _5.23c
   aparāntapārthivavadhūmukhendavaḥ Pnc_10.19d	apara anta pArTiva vaDU muKa indavaH Pn= _10.19d
   aparisphuṭoktilalitāsu Pnc_15.68a	aparisPuwa ukti lalitAsu Pn= _15.68a
   apaviddhanayā na yasya dṛṣṭer Pnc_5.73c	apavidDanayA na yasya dRzweH Pn= _5.73c
   apaśyato hetum ihopapannaṃ Pnc_9.33c	apaSyataH hetum iha upapannam Pn= _9.33c
   apaśyat phaṇikanyakā Pnc_6.99b	apaSyat PaNikanyakA Pn= _6.99b
   apaśyad atravāsare vilāsinīṃ Pnc_4.9c	apaSyat atra vAsare vilAsinIm Pn= _4.9c
   apaśyad indīvaradāmadīrghayā Pnc_7.72c	apaSyat indIvara dAma dIrGayA Pn= _7.72c
   apaśyad gaganollekhi Pnc_16.2c	apaSyat gagana ulleKi Pn= _16.2c
   apasarpanty atha khecarāḥ kim anye Pnc_5.73d	apasarpanti aTa KecarAH kim anye Pn= _5.73d
   apasasre vikīrṇāṃśos Pnc_2.24c	apasasre vikIrNa aMSoH Pn= _2.24c
   apahartum agās tvam eva hāraṃ Pnc_5.69a	apahartum agAH tvam eva hAram Pn= _5.69a
   apahṛtam iva lolapatrajālaṃ Pnc_3.16c	apahRtam iva lola patra jAlam Pn= _3.16c
   apaḥ samādāya davānalopamaḥ Pnc_13.56d	apaH samAdAya dava anala upamaH Pn= _13.56d
   apāṅgaprativeśitam Pnc_6.63b	apAFga prativeSitam Pnc_6.63b
   apāṅgavalgīni vilocanāni Pnc_14.5d	apAFga valgIni vilocanAni Pn= _14.5d
   apāṅgaviśrāntavilolatārais Pnc_14.19c	apAFga viSrAnta vilola tArEH Pn= _14.19c
   apāṅgasañcāritadīrghanetrayā Pnc_7.31b	apAFga saQcArita dIrGa netrayA Pn= _7.31b
   apāṅgasaṃvardhitaśoṇakāntinā Pnc_7.16a	apAFga saMvarDita SoNa kAntinA Pn= _7.16a
   apāsya vāmetarakarṇabhūṣaṇaṃ Pnc_13.4a	apAsya vAmetara karNa BUzaNam Pn= _13.4a
   apāharaṃ manmatharatnapāduke Pnc_13.50d	apAharam manmaTa ratna pAduke Pn= _13.50d
   apāṃ kaṇas tiṣṭhati vīcikampite Pnc_13.57c	apAm kaNaH tizWati vIci kampite Pn= _13.57c
   api kṛtanayanotsavena tanvī Pnc_3.71a	api kRta nayana utsavena tanvI Pn= _3.71a
   api kośagṛhodare durāpaṃ Pnc_5.64a	api koSa gRha udare durApam Pn= _5.64a
   api cintāmaṇayaḥ pade luṭhanti Pnc_5.18d	api cintAmaNayaH pade luWanti Pn= _5.18d
   api jāyate dhṛtiviparyayo harer Pnc_10.33c	api jAyate DRti viparyayaH hareH Pn= _10.33c
   api dattakutūhalāḥ surāṇām Pnc_5.19a	api datta kutUhalAH surANAm Pnd _5.19a
   api dṛṣṭā tvayaitasya Pnc_2.48a	api dRzwA tvayA etasya Pn= _2.48a
   api nāma mṛdūni vetsi vaktuṃ Pnc_5.60a	api nAma mRdUni vetsi vaktum Pnd _5.60a
   api nirviṣayā manorathānām Pnc_5.19c	api nirvizayA manoraTAnAm Pn= _5.19c
   api patitam ivāntarikṣapīlor Pnc_3.17c	api patitam iva antarikza pIloH Pn= _3.17c
   api manasijo dhairyaṃ lumpaty aho bata sāhasam Pnc_12.81d	api manasijaH DEryam lumpati aho bata sAhasam Pn= _12.81d
   api yatra kumudvatībhir astaḥ Pnc_5.14c	api yatra kumudvatIBiH astaH Pn= _5.14c
   api vāñcchāpadam ekapiṅgalasya Pnc_5.19b	api vAQcCa Apadam eka piFgalasya Pnd _5.19b
   api vismayaṃ param avāpa pārthivaḥ Pnc_10.51b	api vismayam param avApa pArTivaH Pn= _10.51b
   api śrameṇāyatamārgajanmanā Pnc_13.14a	api SrameNa Ayata mArga janmanA Pn= _13.14a
   api svacchajalā deva Pnc_2.68a	api svacCa jalAH deva Pn= _2.68a
   apūryatā iyaṃ brahmāṇḍa  Pnc_11.95c	apUryatA iyam brahmANxa Pn= _11.95c
   apṛcchad acchannakutūhalā sā Pnc_8.80b	apRcCat acCanna kutUhalA sA Pnd _8.80b
   apy acirāvāsitapuṣpaketunā Pnc_12.11b	api acirA vAsita puzpa ketunA Pnc_12.11b
   apy apākṛtarayaḥ sa narmadā  Pnc_8.15a	api apAkRta rayaH sa narmadA Pnc_8.15a
   apy asty ahipure 'smākaṃ Pnc_16.16c	api asti ahipure asmAkam Pn= _16.16c
   apy ādāya svayam eva tatprativacaḥ pārśvaṃ mamābhyeṣyasi Pnc_10.70d	api AdAya svayam eva tad prativacaH pArSvam mama aByezyasi Pn= _10.70d
   apsu kuvalayadṛśāṃ pratimāḥ Pnc_15.7c	apsu kuvalaya dRSAm pratimAH Pn= _15.7c
   aphalguratnopalakarkaśāsu Pnc_17.15b	aPalgu ratna upala karkaSAsu Pnd _17.15b
   aphalgur vīryaḥ phaṇabhṛtkumāro 'py Pnc_17.45c	aPalguH vIryaH PaNaBRt kumAraH api Pn= _17.45c
   abalājanasya nunude pariśramaḥ Pnc_15.3d	abalA janasya nunude pariSramaH Pn= _15.3d
   abalālocanaśriyaḥ Pnc_2.17b	abalA locana SriyaH Pnc_2.17b
   abalāsu kuṇḍalitakārmukaḥ smaraḥ Pnc_15.31d	abalAsu kuNxalita kArmukaH smaraH Pn= _15.31d
   abhavat sa mālavakuraṅgalāñchanaḥ Pnc_10.45b	aBavat sa mAlava kuraFga lAQCanaH Pnc_10.45b
   abhavad dvayam eva bhūpateḥ Pnc_12.5a	aBavat dvayam eva BUpateH Pn= _12.5a
   abhāṣatorvītilakaṃ ramāṅgadaḥ Pnc_7.76d	aBAzata urvI tilakam ramAFgadaH Pn= _7.76d
   abhikān abhisartum udyataḥ san Pnc_5.15a	aBikAn aBisartum udyataH san Pn= _5.15a
   abhikāntam apāṅgapātinā Pnc_12.9a	aBikAntam apAFga pAtinA Pn= _12.9a
   abhigamya eva sas tavādhunā ripur Pnc_10.26a	aBigamya eva saH tava aDunA ripuH Pnd _10.26a
   abhijāteyam ākṛtiḥ Pnc_11.41b	aBijAtA iyam AkRtiH Pnd _11.41b
   abhito 'ṅganāmukhamṛgāṅkam Pnc_15.20a	aBitas aFganA muKa mRgAFkam Pnc_15.20a
   abhidhāya pramadāṃ priyaṃvadaḥ Pnc_12.66b	aBiDAya pramadAm priyaMvadaH Pn= _12.66b
   abhidhehi lavaḥ kutūhalasya Pnc_5.6a	aBiDehi lavaH kutUhalasya Pnd _5.6a
   abhinavabisaśaṅkayāpahṛtya Pnc_3.15a	aBinava bisa SaFkayA apahRtya Pn= _3.15a
   abhinavalikhitām iva praśatiṃ Pnc_3.66a	aBinava liKitAm iva praSatim Pnd _3.66a
   abhilāṣaṃ babandha sā Pnc_6.1d	aBilAzam babanDa sA Pn= _6.1d
   abhisarati vanasthalīm ivaitāṃ Pnc_3.37a	aBisarati vana sTalIm iva etAm Pn= _3.37a
   abhugnabhujakaṇḍūtir Pnc_16.105c	aBugna Buja kaNxUtiH Pn= _16.105c
   abhūt paraṃ manmathatāpaśāntaye Pnc_13.8c	aBUt param manmaTa tApa SAntaye Pn= _13.8c
   abhūt paryākulā sā ca Pnc_6.108a	aBUt paryAkulA sA ca Pnd _6.108a
   abhūt pravṛttaḥ samaro mahāhi  Pnc_17.9c	aBUt pravRttaH samaraH mahA ahi Pn= _17.9c
   abhūd viddhaḥ saḥ sāraṅgas Pnc_2.40c	aBUt vidDaH saH sAraFgaH Pn= _2.40c
   abhūd vyathā kāpi śaraiḥ pareṣām Pnc_17.50b	aBUt vyaTA kA api SarEH parezAm Pnc_17.50b
   abhedam indunā nītaḥ Pnc_6.18a	aBedam indunA nItaH Pn= _6.18a
   abhedamūḍhastabakābhir āvṛtā Pnc_4.18a	aBeda mUXa stabakABiH AvRtA Pn= _4.18a
   abhyadhāvad abhivyāghrān Pnc_2.20c	aByaDAvat aBivyAGrAn Pn= _2.20c
   abhyāgataṃ nṛpatim udgatagāḍhaharṣaḥ Pnc_18.1b	aByAgatam nRpatim udgata gAXa harzaH Pn= _18.1b
   abhyāgatāyāḥ sahasāmunāsyāḥ Pnc_14.55a	aByAgatAyAH sahasA amunA asyAH Pn= _14.55a
   abhyutthitenodgatadānadhāram Pnc_17.53b	aByutTitena udgata dAna DAram Pnc_17.53b
   abhyutsukas tad anu bhogavatīṃ pratasthe Pnc_17.75d	aByutsukaH tat anu BogavatIm pratasTe Pn= _17.75d
   abhyudgatānīva phaṇīndralokam Pnc_1.20c	aByudgatAni iva PaNIndra lokam Pn= _1.20c
   abhyudgatā bhartur arātibāṇa  Pnc_17.59a	aByudgatAH BartuH arAti bANa Pn= _17.59a
   abhyudgatārcir analojjhitadhūmarāji  Pnc_18.47a	aByudgata arciH anala ujJita DUma rAji Pn= _18.47a
   abhyudgato ratnabhuvāṃ parāgaḥ Pnc_17.17b	aByudgataH ratna BuvAm parAgaH Pnc_17.17b
   amandam aspandata cāsya dakṣiṇaḥ Pnc_13.9d	amandam aspandata ca asya dakziNaH Pn= _13.9d
   amandamārutākṣepa  Pnc_11.6a	amanda mAruta Akzepa Pn= _11.6a
   amandamṛgayāsaṅgaḥ Pnc_2.34c	amanda mRgayA saFgaH Pn= _2.34c
   amarapuradhunīsamuddhṛtena Pnc_3.61c	amara puraDunI samudDRtena Pn= _3.61c
   amararipor vacanāni tānitāni Pnc_16.120b	amara ripoH vacanAni tAnitAni Pnd _16.120b
   amartyamithunakrīḍā Pnc_11.60c	amartya miTuna krIxA Pn= _11.60c
   amarṣapāvakasyābhūd Pnc_11.66c	amarza pAvakasya aBUt Pn= _11.66c
   amānti pātālatale prasasruḥ Pnc_17.16a	amAnti pAtAla tale prasasruH Pn= _17.16a
   amībhir bālavānīra  Pnc_2.60a	amIBiH bAla vAn Ira Pn= _2.60a
   amī marunnartitacāmarās te Pnc_14.11c	amI marut nartita cAmarAH te Pn= _14.11c
   amī muhuḥ kuṅkumakesarāruṇā Pnc_7.14c	amI muhur kuFkuma kesara aruNA Pn= _7.14c
   amīṣv aṅkasthakandarpa  Pnc_6.81a	amIzu aFka sTa kandarpa Pn= _6.81a
   amī sarojapratime mukhe muhus Pnc_4.50a	amI saroja pratime muKe muhur Pnd _4.50a
   amī sahante mama tāta na śramaṃ Pnc_13.16a	amI sahante mama tAta na Sramam Pn= _13.16a
   amucyanteva pallavāḥ Pnc_6.10d	amucyantA iva pallavAH Pn= _6.10d
   amunā bhavatīva cakṣuṣā Pnc_12.44c	amunA Bavati iva cakzuzA Pn= _12.44c
   amunā śatapatrabandhunā Pnc_12.29a	amunA Satapatra banDunA Pnc_12.29a
   amūni puṣpāṇi mahīruhāṇām Pnc_14.35a	amUni puzpANi mahIruhANAm Pn= _14.35a
   amṛtamarīciruceva tasya kāntyā Pnc_3.50b	amRta marIci rucA iva tasya kAntyA Pnc_3.50b
   amṛtāṃśumarīciluptanidre Pnc_5.32c	amRta aMSu marI cilupta nidre Pn= _5.32c
   amṛtāṃśusūtir iyam āpadāpagā Pnc_10.2d	amRta aMSu sUtiH iyam Apad ApagA Pn= _10.2d
   amṛtendukalāsahodarāsyāḥ Pnc_5.56a	amRta indu kalA sahodara AsyAH Pnc_5.56a
   amoghamantraṃ kusumāyudhasya Pnc_14.75b	amoGa mantram kusumAyuDasya Pnd _14.75b
   amoghaṃ darśanaṃ tava Pnc_11.110d	amoGam darSanam tava Pn= _11.110d
   amocyatāstadaityena Pnc_11.74c	ama ucyatAH tadEtyena Pn= _11.74c
   ambhasas tadavapātatāḍitād Pnc_8.40a	amBasaH tad avapAta tAxitAt Pnd _8.40a
   ambhojam iva padminī Pnc_6.6d	amBojam iva padminI Pn= _6.6d
   ambhoruhair ujjvalahemakḷptair Pnc_1.23c	amBoruhEH ujjvala hema k?ptEH Pn= _1.23c
   ayam atiguruhārabhārajātāṃ Pnc_3.31c	ayam ati guru hAra BAra jAtAm Pn= _3.31c
   ayam aticapalo nisargaraktāṃ Pnc_3.35c	ayam ati capalaH nisarga raktAm Pn= _3.35c
   ayam atithir vanapalvalasya jātaḥ Pnc_3.38b	ayam atiTiH vana palvalasya jAtaH Pnc_3.38b
   ayam abhinavakarṇikārayaṣṭiṃ Pnc_3.35a	ayam aBinava karNikAra yazwim Pn= _3.35a
   ayam aranadīyamunātither ghanasya Pnc_3.57d	ayam aranadIyamunA atiTeH Ganasya Pn= _3.57d
   ayam aravindavanād ivojjihīte Pnc_3.38d	ayam aravinda vanAt iva ujjihIte Pn= _3.38d
   ayam astagirer niṣīdati Pnc_12.30c	ayam astagireH nizIdati Pn= _12.30c
   ayam ādhūtakahlāra  Pnc_2.69c	ayam ADUta kahlAra Pn= _2.69c
   ayam āyāti bhūpatiḥ Pnc_16.117d	ayam AyAti BUpatiH Pn= _16.117d
   ayam iti me na paricchinatti cetaḥ Pnc_3.23d	ayam iti me na paricCinatti cetaH Pn= _3.23d
   ayam indumukhi tvayā yathā Pnc_12.61a	ayam indu muKi tvayA yaTA Pn= _12.61a
   ayam iha hi latām upaiti kaundīṃ Pnc_3.36a	ayam iha hi latAm upEti kOndIm Pn= _3.36a
   ayam ucitataraḥ phaṇistriyo vā Pnc_3.24a	ayam ucitataraH PaNi striyaH vA Pn= _3.24a
   ayam ucchvasati smaraḥ Pnc_6.65d	ayam ucCvasati smaraH Pn= _6.65d
   ayam utpalaḥpatralocane Pnc_12.20a	ayam utpalaH patra locane Pn= _12.20a
   ayam upasarpati nīlasinduvāram Pnc_3.34b	ayam upasarpati nIla sinduvAram Pnc_3.34b
   ayam ullikhati dhruvaṃ karair Pnc_12.54a	ayam ulliKati Druvam karEH Pnc_12.54a
   ayam ekāntamatsarī Pnc_11.109d	ayam ekAnta matsarI Pn= _11.109d
   ayaskāntasya yogyatā Pnc_16.110d	ayaskAntasya yogyatA Pn= _16.110d
   ayaṃ tarjayatīva tvāṃ Pnc_6.73c	ayam tarjayati iva tvAm Pn= _6.73c
   ayaṃ tulitapaulomī  Pnc_2.46a	ayam tulita pOlomI Pn= _2.46a
   ayaṃ netrotsavas tasmāj Pnc_11.91a	ayam netra utsavaH tasmAt Pnd _11.91a
   ayaṃ madhyamalokenduḥ Pnc_6.53c	ayam maDyama loka induH Pn= _6.53c
   ayaṃ mukulitaḥ kiṃcid Pnc_6.75c	ayam mukulitaH kiMcid Pn= _6.75c
   ayaṃ yayātimandhātṛ  Pnc_11.99c	ayam yayAtimanDAtR Pn= _11.99c
   ayaṃ sa na syān navasāhasāṅka ity Pnc_4.34a	ayam sa na syAt nava sAhasa aFkaH iti Pnd _4.34a
   ayaṃ sa no hāra ivāsya dṛśyate Pnc_4.35a	ayam sa naH hAraH iva asya dRSyate Pnd _4.35a
   ayaṃ sphuratkāñcanapadmasodaraḥ Pnc_4.23c	ayam sPurat kAQcana padmasodaraH Pn= _4.23c
   ayaṃ hi pāṇigrahaṇocitas tava Pnc_7.28b	ayam hi pANigrahaNa ucitaH tava Pnc_7.28b
   ayācito 'py arpita eva te śaraḥ Pnc_7.69a	ayAcitaH api arpitaH eva te SaraH Pn= _7.69a
   ayi! kathaya sitacchadaḥ kva cāyaṃ Pnc_3.22a	ayi! kaTaya sitacCadaH kva ca ayam Pn= _3.22a
   ayi! capale nu vikṛṣyate kaceṣu Pnc_3.5b	ayi! capale nu vikRzyate kacezu Pnd _3.5b
   ayi! yad ayam avāmanasya bhūmir Pnc_3.25 ac	ayi! yat ayam avAmanasya BUmiH Pnc_3.25 ac
   ayi cakravadhūr iyaṃ puraḥ Pnc_12.65a	ayi cakravaDUH iyam puras Pn= _12.65a
   ayi tvāṃ mlāpayaty eṣa Pnc_6.89a	ayi tvAm mlApayati eza Pnc_6.89a
   ayi nīlapayodhalekhayā Pnc_12.16c	ayi nIlapayoDa leKayA Pn= _12.16c
   ayi bhāti yayā indradiṅmukhe Pnc_12.49c	ayi BAti yayA indradiFmuKe Pn= _12.49c
   ayi mekalādritanayāpuraḥkṛte Pnc_10.4a	ayi mekalAdri tanayA puraHkRte Pn= _10.4a
   ayi maunam etad avanīndra, mucyatāṃ Pnc_10.50a	ayi mOnam etat avani indra, mucyatAm Pn= _10.50a
   ayi ratnacūḍa mama dūyate manaḥ Pnc_10.52b	ayi ratnacUxa mama dUyate manaH Pn= _10.52b
   ayi sāyam imāḥ payodharair Pnc_12.36c	ayi sAyam imAH payoDarEH Pn= _12.36c
   araṇyamahiṣair dūraṃ Pnc_2.24a	araNya mahizEH dUram Pn= _2.24a
   araṇyasañcāraparā iyam ekikā Pnc_4.22c	araNya saQcAra parAH iyam ekikA Pn= _4.22c
   araṇyahariṇīdṛśaḥ Pnc_11.9d	araNya hariNI dRSaH Pn= _11.9d
   araṇyānī kveyaṃ dhṛtakanasūtraḥ kva sa mṛgaḥ Pnc_5.81a	araNyAnI kva iyam DRta kana sUtraH kva sa mRgaH Pn= _5.81a
   aratitvam avāpyāmbhaḥ  Pnc_16.31a	arati tvam avApya amBaH Pn= _16.31a
