   Rājanighaṇṭu, Maṅgalācaraṇa	RAjani GaNwu, MaFgala AcaraNa
   Rājanighaṇṭu, Dharaṇyādivarga	RAjani GaNwu, DharaNyAdi varga
   atha dharaṇidharitrībhūtadhātrīdharābhūkṣitimahidharaṇīḍākṣmāvanīmedinījyā	aTa DaraNi DaritrI BUta DAtrIDarA BU kzitim ahi DaraNIxA kzma avanI medinIjyA
   avanirudadhivastrā gauḥ kṣamā kṣauṇir urvī kurapi vasumatīrā kāśyapī	avaniH udaDi vastrA gOH kzamA kzONiH urvI kuH api vasumatIrA kASyapI
   ratragarbhā // Rajni_2.1	ratra garBAH // Rajni_2.1
   kṣamādimā bhūmirilā vasundharā varā ca dhātrī vasudhācalorvarā /	kzamAt imA BUmiH ilA vasunDarA varA ca DAtrI vasuDA cala urvarAH /
   viśvambharādyā jagatī kṣitī rasā pṛthvī ca gotrā pṛthivī pṛthur mahī //	viSvamBarA AdyA jagatI kzitiH rasA pRTvI ca gotrA pRTivI pRTuH mahI //
   Rajni_2.2	Rajni_2.2
   kṣauṇī sarvasahānantā bhūtamātā ca niścalā /	kzONI sarva sahA anantA BUtamAtA ca niScalAH /
   bhūmī vījaprasūḥ śyāmā kroḍakāntā ca kīrtitā // Rajni_2.3	BUmI vIjaprasUH SyAmA kroxakAntA ca kIrtitAH // Rajni_2.3
   sā bhūmir urvarākhyā yā sarvaśasyodbhavapradā /	sA BUmiH urvara AKyA yA sarva Sasya udBava pradA /
   samastavastūdbhavanād urvarā nāma bhūriyam // Rajni_2.4	samasta vastu udBavanAt urvarA nAma BUH iyam // Rajni_2.4
   mṛn mṛttikā praśastā sā mṛtsā mṛtsneti ceṣyate // Rajni_2.5	mRd mRttikA praSastA sA mRtsA mRtsnA iti ca izyate // Rajni_2.5
   kṣārā mṛdūṣaro deśas tadvān iraṇam ūṣaram /	kzArAH mRdu uzaraH deSaH tadvAn iraNam Uzaram /
   khilam aprahataṃ prāhur dhanvā tu marur ucyate // Rajni_2.6	Kilam aprahatam prAhuH DanvA tu maruH ucyate // Rajni_2.6
   maruprāyas tu yo deśaḥ sa cokto jāṅgalābhidhaḥ /	maru prAyaH tu yaH deSaH sa ca uktaH jAFgala aBiDaH /
   kṛṣṇamṛt kṛṣṇabhūmiḥ syāt pāṇḍubhūmis tu pāṇḍumṛt // Rajni_2.7	kRzNamRd kRzNa BUmiH syAt pANxu BUmiH tu pANxu mRd // Rajni_2.7
   sa śārkaraḥ śārkarilo deśo yaḥ śarkarānvitaḥ /	sa SArkaraH SArkarilaH deSaH yaH SarkarA anvitaH /
   saikataḥ syāt sikatilaḥ sikatāvāṃś ca yo bhavet // Rajni_2.8	sEkataH syAt sikatilaH sikatAvAn ca yaH Bavet // Rajni_2.8
   deśo janapado nīvṛdviṣayaś copavarttanam /	deSaH janapadaH nIvRdvizayaH ca upavarttanam /
   pradeśaḥ sthānam ākhyā bhūr avakāśaḥ sthitiḥ padam // Rajni_2.9	pradeSaH sTAnam AKyA BUH avakASaH sTitiH padam // Rajni_2.9
   nadyambujair bhṛto dhānyair nadīmātraka ucyate /	nadI ambujEH BRtaH DAnyEH nadI mAtrakaH ucyate /
   vṛṣṭyambajais tu tair eṣa deśaḥ syād devamātṛkaḥ // Rajni_2.10	vRzwi ambajEH tu tEH eza deSaH syAt devamAtRkaH // Rajni_2.10
   nadīvṛṣṭijalodbhūtair nānādhānyaiḥ samāvṛtaḥ /	nadI vRzwi jala udBUtEH nAnA DAnyEH samAvRtaH /
   deśo dvayānugamanāt sa dvaimātṛka ucyate // Rajni_2.11	deSaH dvaya anugamanAt sa dvEmAtRkaH ucyate // Rajni_2.11
   mudgādīnāṃ kṣetram udbhūtidaṃ yat tan maudgīnaṃ kodravīṇaṃ tathānyat /	mudga AdInAm kzetram udBUti dam yat tat mOdgInam kodravINam taTA anyat /
   vraiheyaṃ syāt kiṃca śāleyam evaṃ buddhāṇavyañcāṇavīnaṃ ca vidyāt //	vrEheyam syAt kiMca SAleyam evam budDANa vyaQcANavInam ca vidyAt //
   Rajni_2.12	Rajni_2.12
   atha māṣyaṃ māṣīṇaṃ bhaṅgyaṃ bhāṅgīnam umyam aumīnam /	aTa mAzyam mAzINam BaFgyam BAFgInam umyam OmInam /
   tilyaṃ tailīnaṃ syād iti ṣaṣṭikyaṃ ca yavyaṃ ca // Rajni_2.13	tilyam tElInam syAt iti zazwikyam ca yavyam ca // Rajni_2.13
   śākāder yatra niṣpattir etat syāc chākaśākaṭam /	SAka AdeH yatra nizpattiH etat syAt SAkaSAkawam /
   śākaśākinam ity etat tathā vāstūkaśākaṭam // Rajni_2.14	SAka SAkinam iti etat taTA vAstUka SAkawam // Rajni_2.14
   atha giridharaṇīdhragotrabhūbhṛtśikhariśiloccayaśailasānumantaḥ /	aTa giri DaraNI Dra gotra BUBRt SiKari SilA uccaya SEla sAnumantaH /
   kṣitibhṛdaganagāvanīdharādristhirakudharāś ca dharādharo dharaś ca //	kziti BRt aga naga avanIDara adri sTira kuDarAH ca DarADaraH DaraH ca //
   Rajni_2.15	Rajni_2.15
   ahāryaḥ parvato grāvā kaṭakī prasthavān api /	ahAryaH parvataH grAvA kawakI prasTavAn api /
   śṛṅgī ca vṛkṣavāṃś ceti śabdāḥ śailārthavācakāḥ // Rajni_2.16	SRFgI ca vRkzavAn ca iti SabdAH SEla arTa vAcakAH // Rajni_2.16
   madhyamas tu nitambaḥ syāt kaṭakaṃ mekhalā ca sā /	maDyamaH tu nitambaH syAt kawakam meKalA ca sA /
   taṭe taṭī prapātaś ca prasthe snuḥ sānusānunī // Rajni_2.17	tawe tawI prapAtaH ca prasTe snuH sa anusAnunI // Rajni_2.17
   śṛṅgaṃ tu śikharaṃ kūṭaṃ kandare kandarā darī /	SRFgam tu SiKaram kUwam kandare kandarA darI /
   vilaṃ guhā śilāsandhir devakhātaṃ ca gahvaram // Rajni_2.18	vilam guhA SilA sanDiH devaKAtam ca gahvaram // Rajni_2.18
   pratyantagirayaḥ pādā gaṇḍaśailāścyutopalāḥ /	pratyanta girayaH pAdAH gaNxaSElAH cyuta upalAH /
   ākaraḥ khanir ity ukto dhātavo gairikādayaḥ // Rajni_2.19	AkaraH KaniH iti uktaH DAtavaH gErika AdayaH // Rajni_2.19
   grāvā prastarapāṣāṇau dṛṣadaśmopalaḥ śilā /	grAvA prastara pAzANO dRzadaSmopalaH SilA /
   lohāni vividhāni syur aśmasārādisaṃjñayā // Rajni_2.20	lohAni viviDAni syuH aSmasAra Adi saMjQayA // Rajni_2.20
   kānanaṃ gahanaṃ satraṃ kāntāraṃ vipinaṃ vanam /	kAnanam gahanam satram kAntAram vipinam vanam /
   araṇyam aṭavī dāvo davaś ca vanavācakāḥ // Rajni_2.21	araNyam awavI dAvaH davaH ca vana vAcakAH // Rajni_2.21
   anyad udyānam ākrīḍo yatra krīḍanti rāgiṇaḥ /	anyat udyAnam AkrIxaH yatra krIxanti rAgiNaH /
   nṛpālayeṣu pramadavanam antaḥpurocitam // Rajni_2.22	nRpa Alayezu pramada vanam antaHpura ucitam // Rajni_2.22
   mahāvanam araṇyānī mahāraṇyaṃ mahāṭavī /	mahA vanam araNyAnI mahA araNyam mahA awavI /
   athopavanam ārāmaḥ puraprānte vanaṃ tu yat // Rajni_2.23	aTa upavanam ArAmaH pura prAnte vanam tu yat // Rajni_2.23
   kujaḥ kṣitiruho 'ṅghripaḥ śikharipādapau viṣṭaraḥ kuṭhas tarur anokahaḥ	kujaH kzitiruhaH aFGripaH SiKari pAdapO vizwaraH kuWaH taruH anokahaH
   kuruhabhūruhadrudrumāḥ /	kuruha BUruha dru drumAH /
   ago nagavanaspatī viṭapiśākhibhūjāgamā	agaH naga vanaspatI viwapi SAKi BUja AgamA
   mahījadharaṇīruhakṣitijavṛkṣaśālādayaḥ // Rajni_2.24	mahIja DaraNIruha kziti ja vRkza SAla AdayaH // Rajni_2.24
   phalitaḥ phalavān eṣa phalinaś ca phalī tathā /	PalitaH PalavAn eza PalinaH ca PalI taTA /
   phalegrahir abandhyo yaḥ syād amoghaphalodayaḥ // Rajni_2.25	PalegrahiH abanDyaH yaH syAt amoGa Pala udayaH // Rajni_2.25
   athāvakeśī bandhyo 'yaṃ viphalo niṣphalo 'phalaḥ /	aTa avakeSI banDyaH ayam viPalaH nizPalaH aPalaH /
   uktau prāg ātmanā bhinnau vānaspatyavanaspatī // Rajni_2.26	uktO prAk AtmanA BinnO vAnaspatya vanaspatI // Rajni_2.26
   mūlaṃ tu netraṃ pādaḥ syād aṅghriścaraṇam ity api /	mUlam tu netram pAdaH syAt aFGriH caraNam iti api /
   udbhedas tv aṅkuro jñeyaḥ praroho 'ṅkūra ity api // Rajni_2.27	udBedaH tu aFkuraH jQeyaH prarohaH aFkUraH iti api // Rajni_2.27
   arvāgbhāgo 'sya budhnaḥ syāt nitambaḥ sapṛthur bhavet /	arvAc BAgaH asya buDnaH syAt nitambaH sa pRTuH Bavet /
   āskandhāt ta prakāṇḍaḥ syāt kāṇḍo daṇḍaś ca kathyate // Rajni_2.28	AskanDAt te prakANxaH syAt kANxaH daNxaH ca kaTyate // Rajni_2.28
   skandhapramāṇāsya latās tu śākhāḥ skandhotthaśākhās tu bhavanti śālāḥ /	skanDa pramANa asya latAH tu SAKAH skanDa utTa SAKAH tu Bavanti SAlAH /
   jaṭāḥ śirās tasya kilāvarohāḥ śākhā śiphā majjani sāram āhuḥ // Rajni_2.29	jawAH SirAH tasya kila avarohAH SAKA SiPAH majjani sAram AhuH // Rajni_2.29
   niṣkuṭaṃ koṭaraṃ proktaṃ tvaci valkaṃ tu valkalam /	nizkuwam kowaram proktam tvaci valkam tu valkalam /
   navapuṣpāḍhyaśākhāgre vallarī mañjarī tathā // Rajni_2.30	nava puzpa AXya SAKA agre vallarI maQjarI taTA // Rajni_2.30
   parṇaṃ patraṃ dalaṃ barhaṃ palāśaṃ chadanaṃ chadaḥ /	parNam patram dalam barham palASam Cadanam CadaH /
   syāt pallavaḥ kiśalayaḥ prabālaḥ pallavaṃ navam // Rajni_2.31	syAt pallavaH kiSalayaH prabAlaH pallavam navam // Rajni_2.31
   vistāro viṭapaḥ proktaḥ prāgraṃ tu śikharaṃ śiraḥ /	vistAraH viwapaH proktaH prAgram tu SiKaram SiraH /
   māḍhiḥ parṇaśirā jñeyā vṛntaṃ prasavabandhanam // Rajni_2.32	mAXiH parNa SirAH jQeyAH vRntam prasava banDanam // Rajni_2.32
   kulakṣārakajālakakalikās tu kuḍamale kathitāḥ /	kula kzAraka jAlaka kalikAH tu kuxamale kaTitAH /
   kusumaṃ sumanaḥ prasūnaprasavasumaṃ sūnuphullapuṣpaṃ syāt // Rajni_2.33	kusumam sumanaH prasUna prasava sumam sUnu Pulla puzpam syAt // Rajni_2.33
   makarando marandaś ca madhu puṣparasāhvayam /	makarandaH marandaH ca maDu puzpa rasAhvayam /
   pauṣpaṃ rajaḥ parāgaḥ syān madhulī dhūlikā ca sā // Rajni_2.34	pOzpam rajaH parAgaH syAt maDulI DUlikA ca sA // Rajni_2.34
   guccho guluñchaḥ stavako gucchakaḥ kusumoccayaḥ /	gucCaH guluQCaH stavakaH gucCakaH kusuma uccayaH /
   samaṃ parimalāmodagandhasaurabhyasaurabham // Rajni_2.35	samam parimala Amoda ganDa sOraBya sOraBam // Rajni_2.35
   ujjṛmbhitam ujjṛmbhaṃ smitam unmiṣitaṃ vinidram unnidram /	ujjRmBitam ujjRmBam smitam unmizitam vinidram unnidram /
   unmīlitaṃ vijṛmbhitam udbuddhodbhidurabhinnam udbhinnam // Rajni_2.36	unmIlitam vijRmBitam udbudDa udBidura Binnam udBinnam // Rajni_2.36
   vikasitahasitavikasvaravikacavyākośaphullasamphullam /	vikasita hasita vikasvara vikaca vyAkoSa Pulla samPullam /
   sphuṭam uditadalitadīrṇasphuṭitotphullapraphullam ekārtham // Rajni_2.37	sPuwam udita dalita dIrNa sPuwita utPulla praPullam eka arTam // Rajni_2.37
   nidrāṇaṃ mudritaṃ suptaṃ militaṃ mīlitaṃ natam /	nidrANam mudritam suptam militam mIlitam natam /
   nikūṇitaṃ saṅkucitaṃ sanidram alasaṃ samam // Rajni_2.38	nikUNitam saFkucitam sa nidram alasam samam // Rajni_2.38
   āhus tarūṇāṃ phalam atra śasyaṃ tad āmam uktaṃ hi śalāṭusaṃjñam /	AhuH tarUNAm Palam atra Sasyam tat Amam uktam hi SalAwu saMjQam /
   śuṣkaṃ tu vānaṃ pravadanti gulmastambau prakāṇḍairahito mahījaḥ //	Suzkam tu vAnam pravadanti gulma stambO prakANxEH ahitaH mahIjaH //
   Rajni_2.39	Rajni_2.39
   ulapaṃ gulminī vīrullatā vallī pratāninī /	ulapam gulminI vIrullatA vallI pratAninI /
   vratatiḥ pratatiś caiṣā vistīrṇā vīrud ucyate // Rajni_2.40	vratatiH pratatiH ca ezA vistIrNA vIrud ucyate // Rajni_2.40
   atha vakṣāmi nakṣatravṛkṣānāgamalakṣitān /	aTa vakzAmi nakzatra vRkza an Agama lakzitAn /
   pūjyān āyuṣyadāṃś caiva varddhanāt pālanād api // Rajni_2.41	pUjyAn Ayuzya dAn ca eva vardDanAt pAlanAt api // Rajni_2.41
   viṣadrudhātrītaruhemadugdhā jambūs tathā khādirakṛṣṇavaṃśāḥ /	vizadruDAtrI taru hema dugDA jambUH taTA KAdira kRzNa vaMSAH /
   aśvatthanāgau ca vaṭaḥ palāśaḥ plakṣas tathāmbaṣṭhataruḥ krameṇa //	aSvatTa nAgO ca vawaH palASaH plakzaH taTA ambazWa taruH krameNa //
   Rajni_2.42	Rajni_2.42
   bilvārjunau caiva vikaṅkato 'tha sakesarāḥ śambarasarjavañjulāḥ /	bilva arjunO ca eva vikaFkataH aTa sa kesarAH Samba ra sarja vaQjulAH /
   sapānasārkāś ca śamīkadambās tathāmranimbau madhukadrumaḥ kramāt //	sa pAnasa arkAH ca SamIkadambAH taTA Amra nimbO maDuka drumaH kramAt //
   Rajni_2.43	Rajni_2.43
   amī nakṣatradaivatyā vṛkṣāḥ syuḥ saptaviṃśatiḥ /	amI nakzatra dEvatyAH vRkzAH syuH saptaviMSatiH /
   aśvinyādikramād eṣām eṣā nakṣatrapaddhatiḥ // Rajni_2.44	aSvinI Adi kramAt ezAm ezA nakzatra padDatiH // Rajni_2.44
   yas tv eteṣām ātmajanmarkṣabhājāṃ martyaḥ kuryād bheṣajādīn madāndhaḥ /	yaH tu etezAm Atma janma Rkza BAjAm martyaH kuryAt Bezaja AdIn mada anDaH /
   tasyāyuṣyaṃ śrīkalatraṃ ca putro naśyaty eṣā vardhate varddhanādyaiḥ //	tasya Ayuzyam SrI kalatram ca putraH naSyati ezA varDate vardDana AdyEH //
   Rajni_2.45	Rajni_2.45
   ācāryoktau sphuṭam atha bṛhatsuśrute nāradīye nārāyaṇyāṃ kvacid api	AcArya uktO sPuwam aTa bRhat suSrute nAradIye nArAyaNyAm kvacid api
   tathānyatra tantrāntareṣu /	taTA anyatra tantra antarezu /
   jñātvāpīha prathitabhiṣajā nātidṛṣṭopayogaṃ naivāsmābhir viśaditam idaṃ	jQAtvA api iha praTita BizajA na ati dRzwa upayogam na eva asmABiH viSaditam idam
   gauravād granthabhīteḥ // Rajni_2.46	gOravAt granTa BIteH // Rajni_2.46
   tālādyā jātayaḥ sarvāḥ kramukaḥ ketakī tathā /	tAla AdyAH jAtayaH sarvAH kramukaH ketakI taTA /
   kharjūrīnārikelādyās tarayavṛkṣāḥ prakīrtitāḥ // Rajni_2.47	KarjUrI nArikela AdyAH taraya vRkzAH prakIrtitAH // Rajni_2.47
   sarvāāṃro cārdrāṇi navaueṣadhāni suvīryyavantīti vadanti dhīrāḥ /	sarvAAMraH ca ArdrANi navOezaDAni suvIryyavanti iti vadanti DIrAH /
   sarvāriya śuṣkāriya tu madhyamāni śuṣkāṇi jeīrṇāni ca niṣphalāni //	sarvAriya SuzkAriya tu maDyamAni SuzkANi jeIrNAni ca nizPalAni //
   Rajni_2.48	Rajni_2.48
   vāstūkakuṭajaguḍūcīvāsākuṣmāṇḍakādiśatapatrī /	vAstUka kuwaja guxUcI vAsA kuzmANxaka Adi SatapatrI /
   ityādi tu nityārdraṃ guṇavac chuṣkaṃ yadā tadā dvimuyaṇam /	ityAdi tu nitya Ardram guNavat Suzkam yadA tadA dvimuyaNam /
   viḍaṅga madhu magūrī dāḍimaṃ pippalo guḍuḥ /	vixaFga maDu magUrI dAximam pippalaH guxuH /
   nāgavalleīnduvaśśālyādyāḥ purāṇāḥ syuāāruṇottamāḥ // Rajni_2.49	nAgavalleInduvaH SAli a AdyAH purANAH syuAa aruNa uttamAH // Rajni_2.49
   kāṭhinyaṃ madhyakāṭhinyaṃ mārdavaṃ ceti tu tridhā /	kAWinyam maDya kAWinyam mArdavam ca iti tu triDA /
   dravyāṇām iha sarveṣāṃ prakṛtiḥ kathyate budhaiḥ // Rajni_2.50	dravyANAm iha sarvezAm prakRtiH kaTyate buDEH // Rajni_2.50
   dravyāṇāṃ santi sarveṣāṃ pūrvair uktās trayo guṇāḥ /	dravyANAm santi sarvezAm pUrvEH uktAH trayaH guNAH /
   raso vīryaṃ vipākaś ca jñātavyās te 'tiyatnataḥ // Rajni_2.51	rasaH vIryam vipAkaH ca jQAtavyAH te ati yatnataH // Rajni_2.51
   rasas tu madhurādiḥ syād vīryaṃ kāryasamarthatā /	rasaH tu maDura AdiH syAt vIryam kArya samarTa tA /
   pariṇāme guṇāḍhyatvaṃ vipāka iti saṃjñitam // Rajni_2.52	pariNAme guNa AXya tvam vipAkaH iti saMjQitam // Rajni_2.52
   śītam uṣṇaṃ ca rūkṣaṃ ca snigdhaṃ tīkṣṇaṃ tathā mṛdu /	SItam uzNam ca rUkzam ca snigDam tIkzNam taTA mRdu /
   picchilaṃ viśadaṃ ceti vīryam aṣṭavidhaṃ smṛtam // Rajni_2.53	picCilam viSadam ca iti vIryam azwaviDam smRtam // Rajni_2.53
   niskuṭapramadakānanādiṣu dravyam etad api nirguṇaṃ bhavet /	niskuwa pramada kAnana Adizu dravyam etat api nirguNam Bavet /
   kvāpyalīkavacanopakarṇanāt kvāpyasādhuvanitādisevanāt // Rajni_2.54	kvApi alIka vacana upakarNanAt kvApi asADu vanitA Adi sevanAt // Rajni_2.54
   jātaṃ śmaśāne valmīke deśe mūtrādidūṣite /	jAtam SmaSAne valmIke deSe mUtra Adi dUzite /
   dravyaṃ naivopayogāya bhiṣajām upajāyate // Rajni_2.55	dravyam na eva upayogAya BizajAm upajAyate // Rajni_2.55
   kandaṃ himartau śiśire ca mūlaṃ puṣpaṃ vasante guṇadaṃ vadanti /	kandam hima RtO SiSire ca mUlam puzpam vasante guNa dam vadanti /
   prabālapatrāṇi nidāghakāle syuḥ paṅkajātāni śaratprayoge // Rajni_2.56	prabAla patrANi nidAGa kAle syuH paFka jAtAni Sarad prayoge // Rajni_2.56
   nimboḍumbarajambavādyā yathākālaṃ guṇottarāḥ /	nimba uxumbara jambava AdyAH yaTAkAlam guNa uttarAH /
   kandādiṣv atha sarveṣāṃ pṛthag eva rasādyaḥ // Rajni_2.57	kanda Adizu aTa sarvezAm pRTak eva rasa AdyaH // Rajni_2.57
   kecit kande ke 'pi mūleṣu kecit patre puṣpe ke 'pi kecit phaleṣu /	kecid kande ke api mUlezu kecid patre puzpe ke api kecid Palezu /
   tvacy evānye valkale kecid itthaṃ dravyastomā bhinnabhinnaṃ guṇāḍhyāḥ //	tvaci eva anye valkale kecid itTam dravya stomAH Binna Binnam guNa AXyAH //
   Rajni_2.58	Rajni_2.58
   deśe deśe yojanadvādaśānte bhinnāny āhur dravyanāmāni loke /	deSe deSe yojana dvAdaSAnte BinnAni AhuH dravya nAmAni loke /
   kiṃcāmīṣu prāṇināṃ varṇabhāṣāceṣṭācchāyā bhinnarūpā vibhāti // Rajni_2.59	kiMca AmIzu prANinAm varNa BAzA cezwAcCAyA Binna rUpA viBAti // Rajni_2.59
   anirdiṣṭaprayogeṣu mūlaṃ grāhyaṃ tvagādiṣu /	anirdizwa prayogezu mUlam grAhyam tvac Adizu /
   sāmānyoktau prayoktavyaṃ prāhus toyaṃ tu nābhasam // Rajni_2.60	sAmAnya uktO prayoktavyam prAhuH toyam tu nABasam // Rajni_2.60
   cūrṇakalkakaṣāyāṇāṃ pramāṇaṃ yatra noditam /	cUrNa kalka kazAyANAm pramANam yatra na uditam /
   tatra dravyapramāṇena svayaṃ buddhyā prayojayet // Rajni_2.61	tatra dravya pramANena svayam budDyA prayojayet // Rajni_2.61
   mādhvīkaṃ sarvamadyānāṃ madhūnāṃ mākṣikaṃ tathā /	mADvIkam sarva madyAnAm maDUnAm mAkzikam taTA /
   tailaṃ tu tilasambhūtaṃ dhātavo vastisambhavāḥ // Rajni_2.62	tElam tu tila samBUtam DAtavaH vasti samBavAH // Rajni_2.62
   śālīnāṃ raktaśāliḥ syāt sūpyānāṃ mudga eva ca /	SAlInAm raktaSAliH syAt sUpyAnAm mudgaH eva ca /
   mūlānāṃ pippalīmūlaṃ phalānāṃ madanaṃ phalam // Rajni_2.63	mUlAnAm pippalI mUlam PalAnAm madanam Palam // Rajni_2.63
   tvacā tu gandhadravyāṇāṃ patrāṇāṃ gandhapatrakam /	tvacA tu ganDa dravyANAm patrANAm ganDa patrakam /
   jīvantiśākaṃ śākānāṃ lavaṇānāṃ ca saindhavam // Rajni_2.64	jIvanti SAkam SAkAnAm lavaNAnAm ca sEnDavam // Rajni_2.64
   sāmānyapuṣpanirdeśāt mālatīkusumaṃ kṣipet /	sAmAnya puzpa nirdeSAt mAlatI kusumam kzipet /
   ittham anye 'pi boddhavyāḥ prayogā yogalakṣitāḥ // Rajni_2.65	itTam anye api bodDavyAH prayogAH yoga lakzitAH // Rajni_2.65
   dravyaṃ vātaharaṃ yat tat sakalaṃ dīpanaṃ param /	dravyam vAta haram yat tat sakalam dIpanam param /
   kaphahāri samaṃ proktaṃ pittaghnaṃ mandadīpanam // Rajni_2.66	kaPa hAri samam proktam pitta Gnam manda dIpanam // Rajni_2.66
   yac chītavīryaṃ guru pittahāri dravyaṃ nṛṇāṃ vātakaraṃ tad uktam /	yat SIta vIryam guru pitta hAri dravyam nRNAm vAta karam tat uktam /
   yaduṣṇavīryaṃ laghu vātahāri śleṣmāpahaṃ pittakaraṃ ca tat syāt //	yat uzNa vIryam laGu vAta hAri Slezma apaham pitta karam ca tat syAt //
   Rajni_2.67	Rajni_2.67
   iti bahuvidhadeśabhūdhrabhūmīruhavanagulmalatābhidhāguṇānām /	iti bahuviDa deSa BUDraBUmIru ha vana gulma latA aBiDA guNAnAm /
   savivaram abhidhāya lakṣma sādhāraṇam atha tac ca viśeṣato 'bhidhāsye //	sa vivaram aBiDAya lakzma sADAraNam aTa tat ca viSezataH aBiDAsye //
   Rajni_2.68	Rajni_2.68
   itthaṃ	itTam
   bhūmīvipinaviṣayakṣetragotrādināmastomākhyānaprakaraṇaguṇavyākṛtiprauḍham	BUmI vipina vizaya kzetra gotra Adi nAmastoma AKyAna prakaraNa guNa vyAkRti prOXam
   enam /	enam /
   vargaṃ buddhvā bhiṣag upacitānargalātyantasūkṣmaprajñālokaprakaṭitadhiyām	vargam budDvA Bizaj upacitAnargala atyanta sUkzma prajQA loka prakawita DiyAm
   ādhirājye bhiṣajyet // Rajni_2.69	ADirAjye Bizajyet // Rajni_2.69
   ity eṣa vaidyakavikalpavidhānidānacūḍāmaṇau mṛḍaparāgamapārageṇa /	iti eza vEdyaka vikalpa viDAni dAna cUxAmaNO mRxa parAgama pArageNa /
   Rājanighaṇṭu, Guḍūcyādivarga	RAjani GaNwu, GuxUcyAdi varga
   guḍūcī cātha mūrvā ca paṭolo 'raṇyajas tathā /	guxUcI ca aTa mUrvA ca pawolaH araNyajaH taTA /
   kākolī ca dvidhā proktā māṣaparṇī tathāpare // Rajni_3.1	kAkolI ca dviDA proktA mAzaparNI taTA apare // Rajni_3.1
   mudgaparṇī ca jīvantī trividhā cātha liṅginī /	mudgaparNI ca jIvantI triviDA ca aTa liFginI /
   kaṭukośātakī caiva kapikacchus tathāpare // Rajni_3.2	kawukoSAtakI ca eva kapikacCuH taTA apare // Rajni_3.2
   khalatā kaṭutumbī ca devadālī tathā smṛtā /	KalatA kawutumbI ca devadAlI taTA smRtA /
   vandhyākarkoṭakī proktā kaṭutuṇḍy ākhukarṇikā // Rajni_3.3	vanDyAkarkowakI proktA kawutuNxI AKukarNikA // Rajni_3.3
   dvidhendravāruṇī cātra yavatikteśvarī tathā /	dviDA indravAruNI ca atra yavatikta ISvarI taTA /
   jyotiṣmatī dvidhā caiva dvidhā ca girikarṇikā // Rajni_3.4	jyotizmatI dviDA ca eva dviDA ca girikarNikA // Rajni_3.4
   moraṭaś cātha ced indīvarā vastāntrikā ca sā /	morawaH ca aTa ced indIvarA vastAntrikA ca sA /
   somavallī tathā vatsādanī gopālakarkaṭī // Rajni_3.5	somavallI taTA vatsAdanI gopAlakarkawI // Rajni_3.5
   kākatuṇḍī dvidhā cātha guñjā dvir vṛddhadāru ca /	kAkatuNxI dviDA ca aTa guQjA dvis vRdDadAru ca /
   kaivartī tāmravallī ca kāṇḍīrī cātha jantukā // Rajni_3.6	kEvartI tAmravallI ca kANxIrI ca aTa jantukA // Rajni_3.6
   amlaparṇī tathā śaṅkhapuṣpī cāvartakī tathā /	amlaparNI taTA SaFKapuzpI ca AvartakI taTA /
   karṇasphoṭā tathā kaṭvī latā caivāmṛtasravā /	karNasPowA taTA kawvI latA ca eva amRta sravAH /
   putradā ca palāśī ca vijñeyātra navābhidhā // Rajni_3.7	putradA ca palASI ca vijQeyA atra nava aBiDA // Rajni_3.7
   sumatibhir ittham anuktā boddhavyā vīrudhaḥ kramād etāḥ /	sumatiBiH itTam anuktAH bodDavyAH vIruDaH kramAt etAH /
   asmin vīrudvarge nāmnā ca guṇaiś ca kīrtyante // Rajni_3.8	asmin vIruD varge nAmnA ca guNEH ca kIrtyante // Rajni_3.8
   ā pānīyāt parigaṇanayaivāprasiddhābhidhānā nāmnām uktā parimitikathāpy	A pAnIyAt parigaNanayA eva aprasidDa aBiDAnA nAmnAm uktA parimiti kaTA api 
   atra sarvauṣadhīnām /	atra sarva ozaDInAm /
