   mahāyānasūtrālaṃkāraḥ	mahAyAna sUtra alaMkAraH
   tasminneṣā vyavasitirniścayo bhavati naivedaṃ buddhavacanamitie |	tasmin= ezA vyavasitiH niScayaH Bavati na eva idam budDa vacanam itie |
   atrāsapadasthānatve ślokaḥ |	atra Asapada sTAna tve SlokaH |
   ahaṃ na boddhā na gabhīraboddhā buddhau gabhīraṃ kimatarkagamyam |	aham na bodDA na gaBIra bodDA budDO gaBIram kim atarka gamyam |
   kasmād gabhīrārthavidāṃ ca mokṣa ityetaduttrāsapadaṃ na yuktam || Msa_1.17	kasmAt gaBIra arTa vidAm ca mokzaH iti etat uttrAsa padam na yuktam || Msa_1.17
   (MSA_Bagchi 7)	(MSA_BagCi 7)
   yadi tāvadahamasya na boddhetyuttrāsapadam, tanna yuktam | atha buddho 'pi	yadi tAvat aham asya na bodDa iti uttrAsa padam, tat na yuktam | aTa budDaH api
   gambhī[bhī?] rasya padārthasya na boddhā sa kiṃ gabhīraṃ	gamBI[BI?] rasya padArTasya na bodDA sa kim gaBIram
   deśayiṣyatītyuttrāsapadam, tadayuktam | atha gambhī[bhī]raṃ	deSayizyati iti uttrAsa padam, tat ayuktam | aTa gamBI[BI]ram
   kasmādatarkagamyamityuttrāsapadam, tanna yuktam | atha kasmād	kasmAt atarka gamyam iti uttrAsa padam, tat na yuktam | aTa kasmAt 
   gabhīrārthavidāmeva mokṣo na tārkikāṇāmityuttrāsapadam, tanna yuktam |	gaBIra arTa vidAm eva mokzaH na tArkikANAm iti uttrAsa padam, tat na yuktam |
   anadhimuktita eva tatsidvau ślokaḥ |	anaDimuktitaH eva tat sidvO SlokaH |
   hīnādhimukteḥ sunihīnadhātorhī naiḥ sahāyaiḥ parivāritasya |	hIna aDimukteH su nihIna DAtoH hI nEH sahAyEH parivAritasya |
   audāryagāmbhīryasudeśite 'smin dharme 'dhimuktiryadi nāsti siddham ||	OdArya gAmBIrya su deSite asmin Darme aDimuktiH yadi na asti sidDam ||
   Msa_1.18 ||	Msa_1.18 ||
   yasya hīnā cādhika[cādhi]muktiḥ, tataśca hīna eva dhātuḥ samudāgata	yasya hInA ca aDika[ca ADi]muktiH, tatas ca hInaH eva DAtuH samudAgata
   ālayavijñānabhāvanā | hīnaireva sahāyaiḥ samānādhimuktidhātukairyaḥ	AlayavijQAna BAvanA | hInEH eva sahAyEH samAna aDimukti DAtu kEryaH
   parivāritastasyāsminnaudāryagāmbhīryasudeśite mahāyānadharme	parivAritaH tasya asmin= OdArya gAmBIrya su deSite mahAyAna Darme
   yadyadhimuktirnāsti, ata eva siddhamutkṛṣṭamidaṃ mahāyānamiti |	yadi aDimuktiH nAsti, atas eva sidDam utkRzwam idam mahAyAnam iti |
   aśrutasūtrāntapratikṣepāyoge ślokaḥ |	aSruta sUtra anta pratikzepa ayoge SlokaH |
   śrutānusāreṇa hi buddhimattāṃ labdhvāśrute yaḥ prakarotyavajñām |	Sruta anusAreNa hi budDimat tAm labDvA aSrute yaH prakaroti avajQAm |
   śrute vicitre sati cāprameye śiṣṭe kuto niścayameti mūḍhaḥ || Msa_1.19 ||	Srute vicitre sati ca aprameye Sizwe kutas niScayam eti mUXaH || Msa_1.19 ||
   kāmaṃ tāvadadhimuktirna syādaśrutānāṃ tu sūtrāntānāmaviśeṣeṇa pratikṣepo	kAmam tAvat aDimuktiH na syAt aSrutAnAm tu sUtrAntAnAm aviSezeNa pratikzepaH 
   na yuktaḥ | śrutānusāreṇaiva hi buddhimattvaṃ labdhvā yaḥ śruta evāvajñāṃ	na yuktaH | Sruta anusAreNa eva hi budDimat tvam labDvA yaH SrutaH eva avajQAm
   karoti mūḍhaḥ sa satyevāvaśiṣṭe śrute vicitre cāprameye ca kutaḥ	karoti mUXaH sa sati eva avaSizwe Srute vicitre ca aprameye ca kutas 
   kāraṇānniścayameti na tadbuddhavacanamiti | na hi tasya	kAraNAt niScayam eti na tad budDa vacanam iti | na hi tasya
   śrutādanyabdalamasti tasmādaśrutvā pratikṣepo na yuktaḥ |	SrutAdanyabdalam asti tasmAt aSrutvA pratikzepaH na yuktaH |
   yadapi ca śrutaṃ tadyoniśo manasi kartavyaṃ nāyoniśa	yat api ca Srutam tat yoniSaH manasi kartavyam na ayoniSa
   ityayoniśomanasikārādīnave ślokaḥ |	iti ayoni SomanasikAra AdInave SlokaH |
   yathārute 'rthe parikalpyamāne svapratyayo hānimupaiti buddheḥ |	yaTArute arTe parikalpyamAne sva pratyayaH hAnim upEti budDeH |
   svākhyātatāṃ ca kṣipati kṣatiṃ ca prāpnoti dharme	su AKyAta tAm ca kzipati kzatim ca prApnoti Darme
   pratighāvatīva[pratīghātameva] || Msa_1.20 ||	pratiGOvatI va[ pratIGAtam eva] || Msa_1.20 ||
   (MSA_Bagchi 8)	(MSA_BagCi 8)
   svapratyaya iti svayaṃdṛṣṭiparāmarśako, na vijñānāmantikādarthaparyeṣī |	sva pratyayaH iti svayaMdRzwi parAmarSako, na vijQAna Am antikAt arTa paryezI |
   hānimupaiti buddheriti yathābhū[ru]tajñānādaprāptiparihānitaḥ | dharmasya	hAnim upEti budDeH iti yaTA BU[ru]ta jQAnAt aprApti parihAnitaH | Darmasya
   ca svākhyātatāṃ pratikṣipati tannidānaṃ cāpuṇyaprabhāvāt kṣatiṃ prāpnoti |	ca su AKyAta tAm pratikzipati tat nidAnam ca apuNya praBAvAt kzatim prApnoti |
   dharme ca pratighātamāvaraṇaṃ ca dharmavyasanasaṃvartanīyaṃ	Darme ca pratiGAtam AvaraNam ca Darma vyasana saMvartanIyam
   karmetyayamatrādīnavaḥ |	karma iti ayam atra AdInavaH |
   ayathāvataścā[ayathārutañcā]rthamavijānato 'pi pratighāto na yukta iti	ayaTAvataH ca a[ayaTAru taQcA ]rTam avijAnataH api pratiGAtaH na yuktaH iti
   pratighātāyoge ślokaḥ |	pratiGAta ayoge SlokaH |
   manaḥ pradoṣaḥ prakṛtipraduṣṭo ['yathārute cāpi]hyayuktarūpaḥ |	manaH pradozaH prakRti praduzwaH [ ayaTArute ca api]hi ayukta rUpaH |
   prāgeva saṃdehagatasya dharme tasmādupekṣaiva varaṃ hyadoṣā || Msa_1.21 ||	prAk eva saMdeha gatasya Darme tasmAt upekzA eva varam hi adozAH || Msa_1.21 ||
   prakṛtipraduṣṭa iti prakṛtisāvadyaḥ | tasmādupekṣaiva varam | kasmāt | sā	prakRti praduzwaH iti prakRti sAvadyaH | tasmAt upekzA eva varam | kasmAt | sA
   hyadoṣā | pratighātastu sadoṣaḥ |	hi adozAH | pratiGAtaH tu sa dozaH |
   | mahāyānasūtrālaṃkāre mahāyānasiddhyadhikāraḥ prathamaḥ ||	| mahAyAna sUtra alaMkAre mahAyAna sidDi aDikAraH praTamaH ||
   (MSA_Bagchi 9)	(MSA_BagCi 9)
   dvitīyo 'dhikāraḥ	dvitIyaH aDikAraH
   śaraṇagamanaviśeṣasaṃgrahaślokaḥ |	SaraNa gamana viSeza saMgraha SlokaH |
   ratnāni yo hi śaraṇapragato 'tra yāne jñeyaḥ sa eva paramaḥ śaraṇa[ṇaṃ]	ratnAni yaH hi SaraNa pragataH atra yAne jQeyaH saH eva paramaH SaraNa[NaM]
   gatānām |	gatAnAm |
   sarvatragābhyupagamādhigamābhibhūtibhedaiścaturvidhamayārthaviśeṣaṇena ||	sarvatraga aByupagama aDigama aBiBUti BedEH caturviDa maya arTa viSezaNena ||
   Msa_2.1 ||	Msa_2.1 ||
   sa eva paramaḥ śaraṇaṃ gatānāmiti | kena kāraṇena |	saH eva paramaH SaraNam gatAnAm iti | kena kAraNena |
   caturvidhasvabhāvārthaviśeṣaṇena | caturvidho 'rthaḥ	caturviDa svaBAva arTa viSezaNena | caturviDaH arTaH
   sarvatragābhyupagamādhigamābhibhūtibhedato veditavyaḥ | sarvatragārthaḥ |	sarvatraga aByupagama aDigama aBiBUti BedataH veditavyaH | sarvatraga arTaH |
   abhyupagamārthaḥ | adhigamārthaḥ | abhibhavārthaḥ | te punaruttaratra	aByupagama arTaH | aDigama arTaH | aBiBava arTaH | te punar uttaratra
   nirdekṣyante |	nirdekzyante |
   tathāpyatra śaraṇapragatānāṃ bahuduṣkarakāryatvāt kecinnotsahante | ślokaḥ	taTA api atra SaraNa pragatAnAm bahu duzkara kArya tvAt kecid na utsahante | SlokaH
   yasmādādau duṣkara eṣa vyavasāyo duḥsādho 'sau naikasahasrairapi kalpaiḥ |	yasmAt AdO duzkaraH eza vyavasAyaH duHsADaH asO na eka sahasrEH api kalpEH |
   siddho yasmātsattvahitādhānamahārthastasmādagre yāna ihāgraśaraṇārthaḥ ||	sidDaH yasmAt sattva hita ADAna mahA arTaH tasmAt agre yAnaH iha agra SaraNa arTaH ||
   Msa_2.2 ||	Msa_2.2 ||
   etena tasya śaraṇagamanavyavasāyasya praṇidhānapratipattiviśeṣābhyāṃ	etena tasya SaraNa gamana vyavasAyasya praNiDAna pratipatti viSezAByAm
   yaśohetutvaṃ darśayati | phalaprāptiviśeṣeṇa mahārthatvam |	yaSaH hetu tvam darSayati | Pala prApti viSezeNa mahArTa tvam |
   pūrvādhikṛte sarvatragārthe ślokaḥ |	pUrva aDikRte sarvatraga arTe SlokaH |
   sarvān sattvāṃstārayituṃ yaḥ pratipanno	sarvAn sattvAn= tArayitum yaH pratipannaH 
   yāne jñāne sarvagate kauśalyayuktaḥ |	yAne jQAne sarva gate kOSalya yuktaH |
   yo nirvāṇe saṃsaraṇe 'pyekaraso 'sau [saṃsṛtiśāntyekaraso 'sau]	yaH nirvANe saMsaraNe api ekarasaH asO [saMsRti SAnti eka rasaH asO]
   jñeyo dhīmāneṣa hi sarvatraga evam || Msa_2.3 ||	jQeyaH DImAn eza hi sarvatrage evam || Msa_2.3 ||
   etena caturvidhaṃ sarvatragārthaṃ...........................	etena caturviDam sarvatraga arTaM...........................
   asāṃketikaṃ dharmatāaprātilambhikaṃ ceti prabhedalakṣaṇā	asAMketikam Darma tAa prAtilamBikam ca iti praBeda lakzaNA
   pravṛttiraudārikasūkṣmaprabhedena |	pravRttiH OdArika sUkzma praBedena |
   (MSA_Bagchi 10)	(MSA_BagCi 10)
   śaraṇapratipattiviśeṣaṇe ślokaḥ |	SaraNa pratipatti viSezaNe SlokaH |
   śaraṇagatimimāṃ gato mahārthāṃ guṇagaṇavṛddhimupaiti so 'prameyām |	SaraNa gatim imAm gataH mahArTAm guNa gaNa vRdDim upEti saH aprameyAm |
   sphurati jagadidaṃ kṛpāśayena prathayati cāpratimaṃ mahā[rya]dharmam ||	sPurati jagat idam kRpA ASayena praTayati ca apratimam mahA [rya] Darmam ||
   Msa_2.4 ||	Msa_2.4 ||
   atra śaraṇagamanasthāṃ mahārthatāṃ svaparārthapratipattibhyāṃ darśayati |	atra SaraNa gamana sTAm mahArTa tAm sva para arTa pratipattiByAm darSayati |
   svārthapratipattiḥ punarbahuprakārāprameyaguṇavṛddhyā | aprameyatvaṃ	sva arTa pratipattiH punar bahu prakAra aprameya guNa vRdDyA | aprameya tvam
   tarkasaṃkhyākālāprameyatayā veditavyam | na hi sā guṇavṛddhistarkeṇa	tarka saMKyA kAla aprameya tayA veditavyam | na hi sA guNa vRdDiH tarkeNa
   prameyā na saṃkhyayā na kālenātyantikatvāt | parārthapratipattirāśayataśca	prameyAH na saMKyayA na kAlena Atyantika tvAt | para arTa pratipatti rASayataH ca
   karuṇāsphuraṇena prayogataśca mahāyānadharmaprathanena | mahāyānaṃ hi	karuNA sPuraNena prayogataH ca mahAyAna Darma praTanena | mahAyAnam hi
   mahāryadṛśāṃ dharmaḥ |	mahArya dRSAm DarmaH |
   || mahāyānasūtrālaṃkāre śaraṇagamanādhikāro dvitīyaḥ ||	|| mahAyAna sUtra alaMkAre SaraNa gamana aDikAraH dvitIyaH ||
   (MSA_Bagchi 11)	(MSA_BagCi 11)
   tṛtīyo 'dhikāraḥ	tRtIyaH aDikAraH
   gotraprabhedasaṃgrahaślokaḥ	gotra praBeda saMgraha SlokaH
   sattvāgratvaṃ svabhāvaśca liṅgaṃ gotraprabhedatā |	sattva agra tvam svaBAvaH ca liFgam gotra praBedatA |
   ādīnavo 'nuśaṃsaśca dvidhaupamyaṃ caturvidhā || Msa_3.1 ||	AdInavaH anuSaMsaH ca dviDA Opamyam caturviDAH || Msa_3.1 ||
   anena gotrasyāstitvamagratvaṃ svabhāvo liṅgaṃ bheda ādīnapravo 'nuśaṃso	anena gotrasya astitvam agra tvam svaBAvaH liFgam BedaH AdIna pravaH anuSaMso
   dvidhaupamyaṃ cetyeṣa prabhedaḥ saṃgṛhītaḥ | ete ca prabhedāḥ pratyekaṃ	dviDA Opamyam ca iti eza praBedaH saMgRhItaH | ete ca praBedAH pratyekam
   caturvidhāḥ |	caturviDAH |
   anena gotrāstitvavibhāge ślokaḥ |	anena gotra astitva viBAge SlokaH |
   dhātūnāmadhimukteśca pratipatteśca bhedataḥ |	DAtUnAm aDimukteH ca pratipatteH ca BedataH |
   phalabhedopalabdheśca gotrāstitvaṃ nirūpyate || Msa_3.2 ||	Pala Beda upalabDeH ca gotra astitvam nirUpyate || Msa_3.2 ||
   nānādhātukatvātsattvānāmaparimāṇo dhātuprabhedo yathoktamakṣarāśisūtre |	nAnA DAtuka tvAt sattvAnAm aparimANaH DAtu praBedaH yaTA uktam akza rASi sUtre |
   tasmādevaṃjātīyako 'pi dhātubhedaḥ pratyetavyaḥ iti | asti yānatraye	tasmAt evaMjAtIyakaH api DAtu BedaH pratyetavyaH iti | asti yAna traye
   gotrabhedaḥ | adhimuktibhedo 'pi sattvānāmupalabhyate | prathamata eva	gotra BedaH | aDimukti BedaH api sattvAnAm upalaByate | praTamatas eva
   kasyacit kvacideva yāne 'dhimuktirbhavati | so 'ntareṇa gotrabhedaṃ na	kasyacid kvacid eva yAne aDimuktiH Bavati | saH antareNa gotra Bedam na
   syāt | utpāditāyāmapi ca pratyayavaśenādhimuktau pratipattibheda	syAt | utpAditAyAm api ca pratyaya vaSena aDimuktO pratipatti Beda
   upalabhyate kaścinnirboḍhā bhavati kaścinneti so 'ntareṇa gotraprabhedaṃ	upalaByate kaScid nirboXA Bavati kaScid na iti saH antareNa gotra praBedam
   na syāt | phalabhedaścopalabhyate hīnamadhyaviśiṣṭā bodhayaḥ | so 'ntareṇa	na syAt | Pala BedaH ca upalaByate hIna maDya viSizwAH boDayaH | saH antareNa
   gotrabhedaṃ na syāt bījānurūpatvāt phalasya |	gotra Bedam na syAt bIja anurUpa tvAt Palasya |
   agratvavibhāge ślokaḥ |	agra tva viBAge SlokaH |
   udagratve 'tha sarvatve mahārthatve 'kṣayāya ca |	udagra tve aTa sarva tve mahArTa tve akzayAya ca |
   śubhasya tannimittatvāt gotragratvaṃ vidhīyate || Msa_3.3 ||	SuBasya tad nimitta tvAt gotragra tvam viDIyate || Msa_3.3 ||
   atra gotrasya caturvidhena nimittatvenāgratvaṃ darśayati | taddhi gotraṃ	atra gotrasya caturviDena nimitta tvena agra tvam darSayati | tat hi gotram
   kuśalamūlānāmudagratve nimittaṃ, sarvatve, mahārthatve, akṣayatve ca | na	kuSala mUlAnAm udagra tve nimittaM, sarva tve, mahArTa tve, akzaya tve ca | na
   hi śrāvakāṇāṃ tathodagrāṇi kuśalamūlāni, na ca sarvāṇi santi,	hi SrAvakANAm taTA udagrANi kuSala mUlAni, na ca sarvANi santi,
   balavaiśāradyādyabhāvāt | na ca mahārthānyaparārthatvāt | na	bala vESAradya Adi aBAvAt | na ca mahA arTAni apara arTa tvAt | na
   cākṣayāṇyanupadhiśeṣanirvāṇāvasānatvāt |	ca akzayANi anupaDi Seza nirvANa avasAna tvAt |
   lakṣaṇavibhāge ślokaḥ |	lakzaNa viBAge SlokaH |
   prakṛtyā paripuṣṭaṃ ca āśrayaścāśritaṃ ca tat |	prakRtyA paripuzwam ca ASrayaH ca ASritam ca tat |
   sadasaccaiva vijñeyaṃ guṇottāraṇatārthataḥ || Msa_3.4 ||	sat asat ca eva vijQeyam guNa uttAraNa tA arTataH || Msa_3.4 ||
   (MSA_Bagchi 12)	(MSA_BagCi 12)
   etena caturvidhaṃ gotraṃ darśayati | prakṛtisthaṃ	etena caturviDam gotram darSayati | prakRti sTam
   samudānītamāśrayasvabhāvamāśritasvabhāvaṃ ca tadeva yathākramam |	samudAnItam ASraya svaBAvam ASrita svaBAvam ca tat eva yaTAkramam |
   tatpunarhetubhāvena sat phalabhāvenāsat guṇottāraṇārthena gotraṃ	tad punar hetu BAvena sat Pala BAvena asat guNa uttAraNa arTena gotram
   veditavyaṃ guṇā uttarantyasmādudbhavantīti kṛtvā |	veditavyam guNAH uttaranti asmAt udBavanti iti kRtvA |
   liṅgavibhāge ślokaḥ |	liFga viBAge SlokaH |
   kāruṇyamadhimuktiśca kṣāntiścādiprayogataḥ |	kAruNyam aDimuktiH ca kzAntiH ca Adi prayogataH |
   samācāraḥ śubhasyāpi gotraliṅgaṃ nirūpyate || Msa_3.5 ||	samAcAraH SuBasya api gotra liFgam nirUpyate || Msa_3.5 ||
   caturvidhaṃ liṅgaṃ bodhisattvagotre | ādiprayogata eva kāruṇyaṃ sattveṣu |	caturviDam liFgam boDisattva gotre | Adi prayogataH eva kAruNyam sattvezu |
   adhimuktirmahāyānadharme | kṣāntirduṣkaracaryāyāṃ sahiṣṇutārthena |	aDimuktiH mahAyAna Darme | kzAntiH duzkara caryAyAm sahizNu tA arTena |
   samācāraśca pāramitāmayasya kuśalasyeti |	samAcAraH ca pAramitA mayasya kuSalasya iti |
   prabhedavibhāge ślokaḥ |	praBeda viBAge SlokaH |
   niyatāniyataṃ gotramahāryaṃ hāryameva ca |	niyata aniyatam gotra mahAryam hAryam eva ca |
   pratyayairgotrabhedo 'yaṃ samāsena caturvidhaḥ || Msa_3.6 ||	pratyayEH gotra BedaH ayam samAsena caturviDaH || Msa_3.6 ||
   samāsena caturvidhaṃ gotraṃ niyatāniyataṃ tadeva yathākramaṃ	samAsena caturviDam gotram niyata aniyatam tat eva yaTAkramam
   pratyayairahāryaṃ hāryaṃ ceti |	pratyayEH ahAryam hAryam ca iti |
   ādīnavavibhāge ślokaḥ |	AdInava viBAge SlokaH |
   kleśābhyāsaḥ kumitratvaṃ vighātaḥ paratantratā |	kleSa aByAsaH kumitra tvam viGAtaH paratantra tA |
   gotrasyādīnavo jñeyaḥ samāsena caturvidhaḥ || Msa_3.7 ||	gotrasya AdInavaH jQeyaH samAsena caturviDaH || Msa_3.7 ||
   bodhisattvagotre samāsena caturvidha ādīnavo yena gotrastho 'guṇeṣu	boDisattva gotre samAsena caturviDaH AdInavaH yena gotra sTaH aguNezu
   pravartate | kleśabāhulyam, akalyāṇamitratā, upakaraṇavighātaḥ,	pravartate | kleSa bAhulyam, akalyANa mitra tA, upakaraNa viGAtaH,
   pāratantryaṃ ca |	pAratantryam ca |
   anuśaṃsavibhāge ślokaḥ |	anuSaMsa viBAge SlokaH |
   cirādapāyagamanamāśumokṣaśca tatra ca |	cirAt apAya gamanam ASumokzaH ca tatra ca |
   tanuduḥkhopasaṃvittiḥ sodvegā sattvapācanā || Msa_3.8 ||	tanu duHKa upasaMvittiH sa udvegA sattva pAcanAH || Msa_3.8 ||
   caturvidho bodhisattvasya gotre 'nuśaṃsaḥ | cireṇāpāyān gacchati | kṣipraṃ	caturviDaH boDisattvasya gotre anuSaMsaH | cireNa apAyAn gacCati | kzipram
   ca tebhyo mucyate | mṛdukaṃ ca duḥkhaṃ teṣūpapannaḥ pratisaṃvedayate |	ca teByaH mucyate | mRdukam ca duHKam tezu upapannaH pratisaMvedayate |
   saṃvignacetāstadupapannāṃśca sattvānkaruṇāyamānaḥ paripācayati |	saMvigna cetAH tad upapannAn= ca sattvAn karuNAyamAnaH paripAcayati |
   mahāsuvarṇagotraupamye ślokaḥ |	mahA suvarNa gotra Opamye SlokaH |
   suvarṇagotravat jñeyamameyaśubhatāśrayaḥ |	suvarNa gotra vat jQeyam ameya SuBa tA ASrayaH |
   jñānanirmalatāyogaprabhāvāṇāṃ ca niśrayaḥ || Msa_3.9 ||	jQAna nirmala tA yoga praBAvANAm ca niSrayaH || Msa_3.9 ||
   (MSA_Bagchi 13)	(MSA_BagCi 13)
   mahāsuvarṇagotraṃ hi caturvidhasya suvarṇasyāśrayo bhavati | prabhūtasya,	mahA suvarNa gotram hi caturviDasya suvarNasya ASrayaH Bavati | praBUtasya,
   prabhāsvarasya, nirmalasya, karmaṇyasya ca | tatsādharmyeṇa	praBAsvarasya, nirmalasya, karmaNi asya ca | tat sADarmyeNa
   bodhisattvagotramaprameyakuśalamūlāśrayaḥ | jñānāśrayaḥ |	boDisattva gotram aprameya kuSala mUla ASrayaH | jQAna ASrayaH |
   kleśanairmalyāprāptyāśrayaḥ | abhijñādiprabhāvāśrayaśca |	kleSanEH malya aprApti ASrayaH | aBijQa Adi praBAva ASrayaH ca |
   tasmānmahāsuvarṇagotropamaṃ veditavyam |	tasmAt mahA suvarNa gotra upamam veditavyam |
   mahāratnagotraupamye ślokaḥ |	mahAratna gotra Opamye SlokaH |
   suratnagotravajjñeyaṃ mahābodhinimittataḥ |	su ratna gotra vat jQeyam mahA boDi nimittataH |
   mahājñānasamādhyāryamahāsattvārthaniśrayāt || Msa_3.10 ||	mahA jQAna samADi Arya mahA sattva arTa niSrayAt || Msa_3.10 ||
   mahāratnagotraṃ hi caturvidharatnāśrayo bhavati | jātyasya	mahA ratna gotram hi caturviDa ratna ASrayaH Bavati | jAtyasya
   varṇasaṃpannasya saṃsthānasaṃpannasya pramāṇasaṃpannasya ca | tadupamaṃ	varNa saMpannasya saMsTAna saMpannasya pramANa saMpannasya ca | tad upamam
   bodhisattvagotraṃ veditavyam, mahābodhinimittatvāt, mahājñānanimittatvāt,	boDisattva gotram veditavyam, mahA boDi nimitta tvAt, mahA jQAna nimitta tvAt,
   āryasamādhinimittatvāt, cittasya hi saṃsthitiḥ samādhiḥ,	Arya samADi nimitta tva at, cittasya hi saMsTitiH samADiH,
   mahāsattvaparipākanimittatvācca bahusattvaparipācanāt |	mahA sattva paripAka nimitta tvAt ca bahu sattva paripAcanAt |
   agotrasthavibhāge ślokaḥ |	agotra sTa viBAge SlokaH |
   aikāntiko duścarite 'sti kaścit kaścit samudghātitaśukladharmā |	EkAntikaH duScarite asti kaScid kaScid samudGAtita Sukla DarmAH |
   amokṣabhāgīyaśubho 'sti kaścin nihīnaśuklo 'styapi hetuhīnaḥ || Msa_3.11	amokza BAgIya SuBaH asti kaScid nihIna SuklaH asti api hetu hInaH || Msa_3.11
   aparinirvāṇadharmaka etasminnagotrastho 'bhipretaḥ | sa ca samāsato	aparinirvANa DarmakaH etasmin= agotra sTaH aBipretaH | sa ca samAsatas 
   dvividhaḥ | tatkālāparinirvāṇadharmā atyantaṃ ca |	dviviDaH | tad kAla aparinirvANa DarmAH atyantam ca |
   tatkālāparinirvāṇadharmā caturvidhaḥ | duścaritaikāntikaḥ,	tad kAla aparinirvANa DarmA caturviDaH | duScarita EkAntikaH,
   samucchinnakuśalamūlaḥ, amokṣabhāgīyakuśalamūlaḥ,	samucCinna kuSala mUlaH, amokza BAgIya kuSala mUlaH,
   hīnakuśalamūlaścāparipūrṇasaṃbhāraḥ | atyantāparinirvāṇadharmā tu hetuhino	hIna kuSala mUlaH ca aparipUrNa saMBAraH | atyanta aparinirvANa DarmA tu hetu hino
   yasya parinirvāṇagotrameva nāsti |	yasya parinirvANa gotram eva na asti |
   prakṛtiparipuṣṭagotramāhātmye ślokaḥ |	prakRti paripuzwa gotra mAhAtmye SlokaH |
   gāmbhīryaudāryavāde parahitakaraṇāyodite dīrghadharme	gAmBIrI a OdArya vAde para hita karaNAya udite dIrGa Darme
   ajñātvaivādhimuktirbhavati suvipulā saṃprapattikṣamā ca |	ajQA tvA eva aDimuktiH Bavati su vipulA saMprapatti kzamA ca |
   saṃpattiścāvasāne dvayagataparamā yadbhavatyeva teṣāṃ	saMpattiH ca avasAne dvaya gata paramA yat Bavati eva tezAm
   tajjñeyaṃ bodhisattvaprakṛtiguṇavatastatprapuṣṭācca gotrāt || Msa_3.12 ||	tat jQeyam boDisattva prakRti guNavataH tad prapuzwAt ca gotrAt || Msa_3.12 ||
   yadgābhī[mbhī]ryodāryavādini parahitakriyārthamukte vistīrṇe	yat gABI[mBI]rya udArya vAdini para hita kriyA arTam ukte vistIrNe
   mahāyānadharme gāmbhīryaudāryārthamajñātvaivādhimuktirvipulā bhavati,	mahAyAna Darme gAmBIrya OdArya arTam ajQA tvA eva aDimuktiH vipulA Bavati,
   pratipattau cotsāhaḥ [cākhedaḥ] saṃpattiścāvasāne mahābodhirdvayagatāyāḥ	pratipattO ca utsAhaH [cA KedaH] saMpattiH ca avasAne mahA boDiH dvaya gatAyAH
   (MSA_Bagchi 14) saṃpatteḥ paramā, tatprakṛtyā guṇavataḥ paripuṣṭasya ca	(MSA_BagCi 14) saMpatteH paramA, tad prakRtyA guNavataH paripuzwasya ca
   bodhisattvagotrasya māhātmyaṃ veditavyam | dvayagatā iti dvaye laukikāḥ	boDisattva gotrasya mAhAtmyam veditavyam | dvaya gatAH iti dvaye lOkikAH
