   Mahāsāhasrapramardanī	MahAsAhasra-pramardanI
   trāsenti sarvabhūtāni mudrayā mudritāyayā /	trAsenti sarva-BUtAni mudrayA mudritAyayA /
   ye manuṣyā praduṣṭāś ca trasannāś cātra śāsane //	ye manuzyAH praduzwAH ca trasannAH ca-atra SAsane //
   teṣāṃ daṇḍaṃ praṇeṣyāmi vidyāṃ brahmeṇa nirmitām /	tezAm daNxam praNezyAmi vidyAm brahmeNa nirmitAm /
   śakreṇa dhāritā mudrā lokapālaiś ca mudritāḥ //	SakreNa DAritAH mudrAH lokapAlEH ca mudritAH //
   syād yathedam /	syAt yaTA-idam /
   kaliṅge / bhārade / jūdagre / jāmale / siṃhamade / sārāgraprāpte /	kaliFge / BArade / jUdagre / jAmale / siMha-made / sAra-agra-prApte /
   haṃsagāmini / mālini / hule mihule / pihule 2 pihulame haham haham haham	haMsa-gAmini / mAlini / hule mihule / pihule 2 pihulame haham haham haham
   haham / sūdani varāgravati / hastine / necaramati / caṇḍāli / carame /	haham / sUdani vara-agravati / hastine / necaram-ati / caNxAli / carame /
   carācare svāhā //	carAcare svAhA //
   asyāṃ khalu punar mahāsāhasrapramardanyāṃ vidyārājñyāṃ bhāṣyamānāyām ayaṃ	asyAm Kalu punar mahA-sAhasra-pramardanyAm vidyA-rAjQyAm BAzyamAnAyAm ayam
   trisāhasramahāsahasro lokadhātuḥ ṣaḍadhikāram akampat / dikṣu vidikṣu	tri-sAhasra-mahA-sahasraH lokaDAtuH zaz-aDikAram akampat / dikzu vidikzu
   bhūtāśatair yakṣarākṣasair nirnādaḥ prakruṣṭaghoṣaṃ codghoṣayanti sma //	BUtASatEH yakza-rAkzasEH nirnAdaH prakruzwa-Gozam ca-udGozayanti sma //
   aho duḥkhamaho kaṣṭaṃ naṣṭā bhūtagaṇā vayam /	aho duHKam-aho kazwam nazwA BUta-gaNAH vayam /
   vinaṣṭā bhūtasaṃghās tā vaśanītāś ca sarvathā //	vinazwAH BUta-saMGAH tAH vaSanItAH ca sarvaTA //
   avaśāḥ prāṇibhūtānāṃ sarveṣām adya saṃvarāḥ /	avaSAH prANi-BUtAnAm sarvezAm adya saMvarAH /
   te ca bhūmau nipīḍanti saṃprapadyanti duḥkhitāḥ //	te ca BUmO nipIxanti saMprapadyanti duHKitAH //
   atha bhagavāṃs tāṃ bhūmīṃ vajramayīm abhinirmimīte /	aTa BagavAn tAm BUmIm vajra-mayIm aBinirmimIte /
   te caturdiśaṃ prapalāyanti atha catvāro mahārājānaḥ //	te caturdiSam prapalAyanti aTa catvAraH mahA-rAjAnaH //
   caturdiśaṃ mahān agnijvālāskandham abhinirmitavantaḥ /	caturdiSam mahAn agni-jvAlA-skanDam aBinirmitavantaH /
   te cākāśe paridhāvanti //	te ca-AkASe pariDAvanti //
   atha brahmā sahāpatir ayomayam ākāśam abhinirmimīte / te (Msp 29) ca	aTa brahmA sahApatiH ayaH-mayam AkASam aBinirmimIte / te (MsB 29) ca
   saptatālamātraṃ vaihāyasaṃ paridhāvanti / atha śakro devānām indro	sapta-tAla-mAtram vEhAyasam pariDAvanti / aTa SakraH devAnAm indraH-
   'siśaraśaktikuntatomaravṛkṣaparvatavṛṣṭīr abhipravarṣati / tena ca	asi-Sara-Sakti-kunta-tomara-vRkza-parvata-vRzwIH aBipravarzati / tena ca
   samayena samantataḥ sahāyāṃ lokadhātau pañcayakṣaśatasahasrāṇi	samayena samantataH sahAyAm lokaDAtO paQca-yakza-Sata-sahasrANi
   sannipatitāni vidyāśāpahatāni jvarāveśonmattāni vipīḍanti / bhagavataḥ	sannipatitAni vidyA-Sa-apa-hatAni jvara-AveSa-unmattAni vipIxanti / BagavataH
   pādayoḥ śirāṃsi nipatyābruvan //	pAdayoH SirAMsi nipatya-abruvan //
   sarvasatvahitānukampī śramaṇo gautama /	sarva-satva-hita-anukampI SramaNaH gOtamaH /
   trāyatu naḥ śramaṇo gautama //	trAyatu naH SramaNaH gOtamaH //
   atha bhagavāṃs tān guhyakān maitryā spharanti sma / śikṣāgrahaṇaṃ ca	aTa BagavAn tAn guhyakAn mEtryA sParanti sma / SikzA-grahaNam ca
   kārayāmāsa /	kArayAmAsa /
   yā gatir mātṛghāṭīnāṃ pitṛghāṭīnāṃ ca yā gatiḥ /	yA gatiH mAtR-GAwInAm pitR-GAwInAm ca yA gatiH /
   arhatāṃ ghāṭakasyāpi saṃghabhedī ca yā gatiḥ //	arhatAm GAwakasya-api saMGa-BedI ca yA gatiH //
   saṃbuddhaduṣṭacittasya lohitotpādakasya ca /	saMbudDa-duzwa-cittasya lohita-utpAdakasya ca /
   tāṃ gatiṃ pratipadyema yadi mudrāṃ kṣipemahi //	tAm gatim pratipadyema yadi mudrAm kzipemahi //
   saptadhāsya sphuṭo mūrdhā arjakasyeva mañjarī /	saptaDA-asya sPuwaH mUrDA arjakasya-iva maQjarI /
   saṃmṛṣṭā yakṣarogeṇa citragātrā bhavemahi //	saMmRzwA yakza-rogeNa citra-gAtrA Bavemahi //
   sāhasrapramardanīsūtraṃ yad idaṃ jinabhāṣitam /	sAhasra-pramardanI-sUtram yat idam jina-BAzitam /
   vidyārājñīm abhikramya vartema svecchayā vayam //	vidyA-rAjQIm aBikramya vartema sva-icCayA vayam //
   tena ca samayena vaiśālyāṃ mahānagaryāṃ sarve iti	tena ca samayena vESAlyAm mahA-nagaryAm sarve iti
   bhayopadravopasargopāyāsāḥ pratiprasrabdhāḥ / yakṣarākṣasamanuṣyāmanuṣyāḥ	Baya-upadrava-upasarga-upAyAsAH pratiprasrabDAH / yakza-rAkzasa-manuzya-amanuzyAH
   svakasvakaṃ gocaram atikrāntāḥ / vaiśālakā licchavayaś ca	svaka-svakam gocaram atikrAntAH / vESAlakAH licCavayaH ca
   sarvarogavyādhibhyo vinirmuktāḥ sarvasukhasamarpitā buddhe 'vetya	sarva-roga-vyADiByaH vinirmuktAH sarva-suKa-samarpitAH budDe avetya
   prasādena samanvāgatā babhūvuḥ / dharme 'vetya prasādena samanvāgatā	prasAdena samanvAgatAH baBUvuH / Darme avetya prasAdena samanvAgatA
   babhūvuḥ / satatasamitaṃ ratnatrayapūjābhiratā mahotsavena viharantaḥ /	baBUvuH / satata-samitam ratnatraya-pUjA-aBiratAH mahA-utsavena viharantaH /
   haṃsaśukaśārikākokilamayūracakravākakunārajīvañjīvakapakṣigaṇā madhuraṃ	haMsa-Suka-SArikA-kokila-mayUra-cakravAka-kunAra-jIvaQjIvaka-pakzi-gaNAH maDuram
   nikūjanti sma / vigatakāyapīḍāḥ sāṃsara iva kinnarāḥ / aghāṭitāni	nikUjanti sma / vigata-kAya-pIxAH sAMsaraH iva kinnarAH / aGAwitAni
   ratnabhājanāni raṇanti sma / bherīśaṅkhamṛdaṅgapaṇavavīṇāveṇavaś ca yathā	ratna-BAjanAni raNanti sma / BerI-SaFKa-mRdaFga-paNava-vINO=-eNavaH ca yaTA
   sthāne sthāpitā eva pravādyanti sma /	sTAne sTApitAH eva pravAdyanti sma /
   dāḍimabilvāmalanyagrodhāśvatthaprakṣakapitthodumbaraśālatālatamālatilakacampakavṛkṣā	dAxima-bilva-amala-nyagroDa-aSvatTa-prakza-kapitTa-udumbara-SAla-tAla-tamAla-tilaka-campaka-vRkzA
   nānāgandhān pramuñcanti sma / devatāsahasraiś ca hīhīkārapramuktaḥ /	nAnA-ganDAn pramuQcanti sma / devatA-sahasrEH ca hi-ihIkAra-pramuktaH /
   antarīkṣāc ca (Msp 30) puṣpavarṣam abhipraviṣṭam / amānuṣaś ca gandho loke	antarIkzAt ca (MsB 30) puzpa-varzam aBipravizwam / amAnuzaH ca ganDaH loke
   prādurbhūtaḥ //	prAdurBUtaH //
   atha catvāro mahārājānaḥ prāñjalayo bhagavantam etad avocat /	aTa catvAraH mahA-rAjAnaH prAQjalayaH Bagavantam etat avocat /
   idaṃ bhadanta bhagavan mahāsāhasrapramardanī sūtrarājaṃ	idam Badanta Bagavat mahA-sAhasra-pramardanI sUtrarAjam
   sarvagrahapramocanīyaṃ buddhamudrā dharmaparyāyam / yaḥ kaścic chikṣāpadaṃ	sarva-graha-pramocanIyam budDamudrA Darma-paryAyam / yaH kaScid SikzA-padam
   parigṛhītvā kāśāyadhārī udgṛhya dhārayitvā vācayitvā deśayitvā paryavāpya	parigRhItvA kASAya-DArI udgRhya DArayitvA vAcayitvA deSayitvA paryavApya
   likhitvā granthayitvā dhārayiṣyati / tasya sarve iti	liKitvA granTayitvA DArayizyati / tasya sarve iti
   bhayopadravopasargopāyāsāvairakalikalahabhaṇḍanavivādā yāvat paiśūnyakā	Baya-upadrava-upasarga-upAyAsA-vEra-kalika-laha-BaNxana-vivAdA yAvat pESUnyakA
   akuśalā dharmā nābhikramiṣyanti / ajayaś ca bhaviṣyanti	akuSalAH DarmAH na-aBikramizyanti / ajayaH ca Bavizyanti
   sarvaviheṭhakebhyaḥ / tena rāṣṭrasya sīmābandhayitukāmena susnātena	sarva-viheWakeByaH / tena rAzwrasya sImAbanDayitu-kAmena su-snAtena
   triśuklabhuktena pañcāmiṣaparivarjitena sarvamānuṣaśiṣyāpadaparigṛhītena	triSukla-Buktena paQca-Amiza-parivarjitena sarva-mAnuza-Sizya-Apada-parigRhItena
   sarvasatvasamācittena vastrābharaṇayuktena	sarva-satva-samAcittena vastra-ABaraNa-yuktena
   grāmanagaranigamaśṛṅgāṭakakulāny apagatasaṃkārakūṭāni kṛtvā madhyamāyāṃ	grAma-nagara-nigama-SRFgAwaka-kulAni apagata-saMkAra-kUwAni kRtvA maDyamAyAm
   rājadhānyāṃ puṣpāvakīrṇāṃ dharaṇīṃ kṛtvā nānāgandhā dhūpayitavyā /	rAjaDAnyAm puzpa-avakIrNAm DaraNIm kRtvA nAnA-ganDA DUpayitavyA /
   caturdiśaṃ catasraḥ kanyakāḥ susnātavibhūṣitāḥ śastrahastāḥ sthāpayitavyāḥ	caturdiSam catasraH kanyakAH su-snAta-viBUzitAH Sastra-hastAH sTApayitavyAH
   / catvāro ghaṇṭāś catvāri ratnabhājanāni gandhodakapuṣpaphalaparipūrṇāni	/ catvAraH GaNwAH catvAri ratna-BAjanAni ganDa-udaka-puzpa-Pala-paripUrNAni
   sthāpayitavyāni / pūrvāhṇakālasamaye udgate sahasrakiraṇavidyā	sTApayitavyAni / pUrvAhNa-kAla-samaye udgate sahasrakiraNa-vidyA
   āvartayitavyā / palaṣaṣṭhikayā sūtraṃ kartayitavyaṃ likhitvā cīrikāyāṃ	AvartayitavyA / pala-zazWikayA sUtram kartayitavyam liKitvA cIrikAyAm
   mūrdhni mahācaityeṣu mahāvṛkṣeṣu mahādhvajeṣu cocchrāpayitavyā /	mUrDni mahA-cEtyezu mahA-vRkzezu mahA-Dvajezu ca-ucCrApayitavyA /
   nānāpuṣpair nānāgandhaiś ca pakṣamātraṃ pūjā kartavyā / divase divase	nAnA-puzpEH nAnA-ganDEH ca pakza-mAtram pUjA kartavyA / divase divase
   caikavāraṃ vidyā āvartayitavyā / evaṃ rāṣṭraḥ parimocito bhaviṣyati / evaṃ	ca-eka-vAram vidyA AvartayitavyA / evam rAzwraH parimocitaH Bavizyati / evam
   janapadarājadhānīsthānavihāradevakulakṣatraśālāvṛkṣaphalaharitārāmagośālapaśuśālā	janapada-rAja-DAnI-sTAna-vihAra-deva-kula-kzatra-SAlA-vRkza-Pala-harita-ArAma-goSAla-paSu-SAlA
   apagatasaṃkārāḥ kṛtvā khadirabadarāgniṃ prajvālya puṣpāvakīrṇāṃ dharaṇīṃ	apagata-saMkArAH kRtvA Kadira-badara-agnim prajvAlya puzpa-avakIrNAm DaraNIm
   kṛtvā dvāraśālaśobhanāṃ nānāgandhapradhūpitāṃ kṛtvā sarvabījāni sarpiṣāṃ	kRtvA dvAra-SAla-SoBanAm nAnA-ganDa-praDUpitAm kRtvA sarva-bIjAni sarpizAm
   mrakṣayitvā caturdiśaṃ prakṣeptavyāni / agnau ca prakṣeptavyāni	mrakzayitvA caturdiSam prakzeptavyAni / agnO ca prakzeptavyAni
   nānāraṅgāni ca sūtrāṇi dvāre bandhanīyāni tiryagyonigatāni niṣkāsya punaḥ	nAnA-raFgAni ca sUtrANi dvAre banDanIyAni tiryagyoni-gatAni nizkAsya punar-
   praveśayitavyāni / vidyā cāvartayitavyāni / likhitvā granthayitvā cordhvam	praveSayitavyAni / vidyA ca-AvartayitavyAni / liKitvA granTayitvA ca-UrDvam
   utthāpya pūjanīyā / glānasya purato buddhapratibimbaṃ vā (Msp 31)	utTApya pUjanIyAH / glAnasya puratas budDa-pratibimbam vA (MsB 31)
   buddhaśarīraṃ vā / samudgatemaṃ cevāpīṭhe vāvaropya brahmapratibimbaṃ vā	budDa-SarIram vA / samudgata-imam ca-iva-apIWe vA-avaropya brahma-pratibimbam vA
   śakrapratibimbaṃ vā caturmahārājapratibimbaṃ vā catasro mudrāḥ kṛtvā	Sakra-pratibimbam vA catur-mahA-rAja-pratibimbam vA catasraH mudrAH kRtvA
   sthāpayitavyāḥ / nānāpuṣpair nānādhūpair nānāgandhair	sTApayitavyAH / nAnA-puzpEH nAnA-DUpEH nAnA-ganDEH-
   brahmaśakracaturmahārājamaheśvarayakṣasenāpatir yakṣamahānagnā hārītī ca	brahma-Sakra-catur-mahA-rAja-maheSvara-yakza-senApatiH yakza-mahA-nagnA hArItI ca
   namnā trayāṇāṃ ratnānāṃ pūjā kartavyā / teṣāṃ balenaiśvaryādhipatena ca	namnA trayANAm ratnAnAm pUjA kartavyA / tezAm balena-ESvarya-aDipatena ca
   svasty astu mama sarvasatvānāṃ ca muñcantu sarvaglānāḥ sarvavyādhibhyaḥ /	svasti astu mama sarva-satvAnAm ca muQcantu sarva-glAnAH sarva-vyADiByaH /
   glānasya cānnapānabhaiṣajyam //	glAnasya ca-anna-pAna-BEzajyam //
   upanāmayatā iyaṃ vidyā āvartayitavyā /	upanAmayatA iyam vidyA AvartayitavyA /
   vibuddhabodhau saṃbuddhe lokapālāś caturdiśam //	vibudDa-boDO saMbudDe lokapAlAH caturdiSam //
   bhājanāni samānīya catvāri sugatāya vai /	BAjanAni samAnIya catvAri sugatAya vE /
   dattāni nirmitaś caiko muninā bhājanottamam //	dattAni nirmitaH ca-ekaH muninA BAjana-uttamam //
   gṛhītaṃ pāṇinā śāstā bhaiṣajyam amṛtopamam /	gRhItam pANinA SAstA BEzajyam amRta-upamam /
   etena satyavākyena amṛtaṃ bhavantu auṣadham //	etena satya-vAkyena amRtam Bavantu OzaDam //
   hārītī ca tathā devī gṛhya paśyāṃ tathā śubham /	hArItI ca taTA devI gRhya paSyAm taTA SuBam /
   śāstre dattavatī divyaṃ bhaiṣajyam amṛtopamam //	SAstre dattavatI divyam BEzajyam amRta-upamam //
   etena satyavākyena āturasya rūjāpaham /	etena satya-vAkyena Aturasya rUja-apaham /
   sarvam upahāraṃ cāpi bhavatv amṛtam auṣadham //	sarvam upahAram ca-api Bavatu amRtam OzaDam //
   vipaśyibuddhatejena śikhinaś ca balena ca /	vipaSyi-budDa-tejena SiKinaH ca balena ca /
   viśvabhūsatyavākyena krakucchandasamādhinā //	viSva-BU-satya-vAkyena krakucCanda-samADinA //
   kanakāhvasya jñānena ṛddhyā vai kāśyapasya ca /	kanakAhvasya jQAnena RdDyA vE kASyapasya ca /
   śākyasiṃhasya vīryeṇa bhavatv amṛtam auṣadham //	SAkya-siMhasya vIryeNa Bavatu amRtam OzaDam //
   kṛtvā pūrvāmukhaṃ glānabhaiṣajyam upanāmayet /	kRtvA pUrvAmuKam glAna-BEzajyam upanAmayet /
   imāṃ pāṇitale vidyāṃ tasmin kāle udāharet //	imAm pANi-tale vidyAm tasmin kAle udAharet //
   syād yathedam //	syAt yaTA-idam //
   khaṭe / khaṭavikhaṭe / vimale / vilambe / bale balavate / candre / caraṇe	Kawe / Kawa-viKawe / vimale / vilambe / bale balavate / candre / caraNe
   / amṛtanirghoṣe svāhā //	/ amRta-nirGoze svAhA //
   vātajāḥ pittajā rogāḥ śleṣmajāḥ sannipātajāḥ / nihatāḥ sarvarogāś ca	vAta-jAH pitta-jAH rogAH Slezma-jAH sannipAta-jAH / nihatAH sarva-rogAH ca
   svasty astu mama sarvasatvānāṃ ca sarvadā sarvabhayebhyaḥ svāhā //	svasti astu mama sarva-satvAnAm ca sarvadA sarva-BayeByaH svAhA //
   (Msp 32)	(Msp 32)
   sarvakākhordavetāḍasaṃprayukteṣu karmasu tena puruṣeṇa striyā vā 'horātro	sarva-kAKoH-davetAxa-saMprayuktezu karmasu tena puruzeNa striyAH vA ahorAtraH-
   vapuṣṭena susnātena subhūṣitena puṣpāvakīrṇāṃ nānāgandhapradhūpitāṃ ca	vapuzwena su-snAtena su-BUzitena puzpa-avakIrNAm nAnA-ganDa-praDUpitAm ca
   dharaṇīṃ kṛtvā khadiravadarāgniṃ prajvālya sarvabījāni caturdiśaṃ	DaraNIm kRtvA Kadira-vadara-agnim prajvAlya sarva-bIjAni caturdiSam
   prakṣeptavyāni / nānāraṅgāni ca sūtrāṇi śastreṣu vā śūleṣu vā kunteṣu vā	prakzeptavyAni / nAnA-raFgAni ca sUtrANi Sastrezu vA SUlezu vA kuntezu vA
   kāṇḍeṣu vā granthayitvā bandhanīyāni sarvamūlāni sarvapuṣpāṇi	kANxezu vA granTayitvA banDanIyAni sarva-mUlAni sarva-puzpANi
   nānāgandhodakaṃ kṛtvā mahati kuṇḍe prakṣeptavyāni / yasya kākhordakṛtaṃ	nAnA-ganDa-udakam kRtvA mahati kuNxe prakzeptavyAni / yasya kAKoH-da-kRtam
   bhaviṣyati / tasya taṃ sūtrakam ābandhya kuṇḍe 'dhiṣṭhāpanīyaḥ śastreṇa	Bavizyati / tasya tam sUtrakam AbanDya kuNxe aDizWApanIyaH SastreNa
   taṃ sūtrakaṃ cchitvā agnau prakṣeptavyam / idaṃ ca	tam sUtrakam cCitvA agnO prakzeptavyam / idam ca
   mahāsāhasrapramardanīsūtram udāhartavyam /	mahA-sAhasra-pramardanI-sUtram udAhartavyam /
   buddhāḥ pratyekabuddhāś ca buddhānāṃ śrāvakāś ca ye /	budDAH pratyekabudDAH ca budDAnAm SrAvakAH ca ye /
   brahmendro lokapālāś ca yakṣasenāpatīśvarāḥ //	brahma-indraH lokapAlAH ca yakza-senApati-ISvarAH //
   tathā yakṣanagnā hārītī ca saputrikā /	taTA yakza-nagnA hArItI ca sa-putrikA /
   vīryeṇa tejasā teṣāṃ vetāḍaṃkarma cchidyatu //	vIryeNa tejasA tezAm vetAxaMkarma cCidyatu //
   bhinnanti vajraratnāni vahnir indhanadāhakaḥ /	Binnanti vajra-ratnAni vahniH inDana-dAhakaH /
   vātena śoṣitā meghā bhāskareṇa vanaspatī //	vAtena SozitA meGAH BAskareNa vanaspatI //
   etena satyavākyena kākhordakarma dahatām /	etena satya-vAkyena kAKoH-da-karma dahatAm /
   nānāgandhais tathā puṣpair nirdhūtāḥ sarvapāpakāḥ //	nAnA-ganDEH taTA puzpEH nirDUtAH sarva-pApakAH //
   tadyathā /	tat-yaTA /
   hume 2 kakhali / kharali / jukvini / javale / garage / hariṇi / śāvari	hume 2 kaKali / Karali / jukvini / javale / gara-ge / hariNi / SAvari
   śānti / prasānti svāhā //	SAnti / prasAnti svAhA //
   dhāvani svāhā / pradhāvani svāhā / gāndharve svāhā / palaṅgani svāhā /	DAvani svAhA / praDAvani svAhA / gAnDarve svAhA / palaFgani svAhA /
   sarvakākhordakṛtavetāḍacchedani svāhā //	sarva-kAKorda-kRta-vetAxa=-Cedani svAhA //
   imair mantrapadair mama sarvasatvānāṃ ca	imEH mantra-padEH mama sarva-satvAnAm ca
   sarvakākhordavetāḍauṣadhimantraviṣayogāḥ sarvadevaiś ccheditāḥ parājitāḥ	sarva-kAKoH-davetAxA-ozaDi-mantra-viza-yogAH sarva-devEH cCeditAH parAjitAH
   svāhā //	svAhA //
   galagaṇḍavaisarpātisāronmādagaṇḍapiṭakabhagandaraviṣapītakāt	galagaNxa-vEsarpa-atisAra-unmAda-gaNxa-piwaka-Bagandara-viza-pItakAt
   parimocayitukāmena susnātena subhūṣitena bhadrapīṭhāsananiṣaṇṇena iyaṃ	parimocayitu-kAmena su-snAtena su-BUzitena BadrapIWa-Asana-nizaNNena iyam
   vidyā udāhartavyā /	vidyA udAhartavyA /
   tejasā sarvabuddhānāṃ pratyekajinatejasā /	tejasA sarva-budDAnAm pratyeka-jina-tejasA /
   arhatāṃ caiva vīryeṇa sarveṣāṃ mantradhāriṇām //	arhatAm ca-eva vIryeNa sarvezAm mantra-DAriNAm //
   (Msp 33)	(Msp 33)
   prajñayā śāriputrasya maudgalyasya ca ṛddhiyā /	prajQayA SAriputrasya mOdgalyasya ca RdDiyA /
   cakṣuṣā cāniruddhasya kāśyapasya dhūtair guṇaiḥ //	cakzuzA ca-anirudDasya kASyapasya DUtEH guNEH //
   kauṇḍinyapūrvaprāptyā ca ānandasya śrutena ca /	kONxinya-pUrva-prAptyA ca Anandasya Srutena ca /
   maitryā vai brahmaṇā caiva aiśvaryeṇa śatakratoḥ //	mEtryA vE brahmaNA ca-eva ESvaryeNa SatakratoH //
   viṣayair lokapālānāṃ maheśvarabalena ca /	vizayEH lokapAlAnAm maheSvara-balena ca /
   senāpatīnāṃ sauryeṇa hārītyāś ca samṛddhyā //	senApatInAm sOryeNa hArItyAH ca samRdDyA //
   vīryeṇa tejasā teṣāṃ viṣam astv aviṣaṃ sadā /	vIryeNa tejasA tezAm vizam astu avizam sadA /
   tatra mantrapadā bhonti nirviṣā viṣadūṣaṇāḥ //	tatra mantra-padAH Bonti nirvizAH viza-dUzaNAH //
   syād yathedam /	syAt yaTA-idam /
   harikeśi / nakile / rehile / amare aṇḍare paṇḍare / kaṭake / keyūre / hase	harikeSi / nakile / rehile / amare aNxare paNxare / kawake / keyUre / hase
   hase hase / khase khase khase / kharaṅge / marugahaṇe svāhā // mumukṣa	hase hase / Kase Kase Kase / KaraFge / maru-gahaNe svAhA // mumukza
   svāhā / hile svāhā / mile svāhā //	svAhA / hile svAhA / mile svAhA //
   hatā gaṇḍāḥ kilāsāś ca vaisarpāś ca vicarcikāḥ /	hatAH gaNxAH kilAsAH ca vEsarpAH ca vicarcikAH /
   piṭṭakā lohaliṅgāś ca kacchūr bhavati saptamī //	piwwakAH loha-liFgAH ca kacCUH Bavati saptamI //
   rāgo dveṣaś ca mohaś ca ete loke trayo viṣāḥ /	rAgaH dvezaH ca mohaH ca ete loke trayaH vizAH /
   nirviṣo bhagavān buddho buddhatejohataṃ viṣam //	nirvizaH BagavAn budDaH budDa-tejaH-hatam vizam //
   rāgo dveṣaś ca mohaś ca ete loke trayo viṣāḥ /	rAgaH dvezaH ca mohaH ca ete loke trayaH vizAH /
   nirviṣo bhagavān dharmo dharmatejohataṃ viṣam //	nirvizaH BagavAn DarmaH Darma-tejaH-hatam vizam //
   rāgo dveṣaś ca mohaś ca ete loke trayo viṣāḥ /	rAgaH dvezaH ca mohaH ca ete loke trayaH vizAH /
   nirviṣo bhagavān saṃghaṃ saṃghatejohataṃ viṣam //	nirvizaH BagavAn saMGam saMGa-tejaH-hatam vizam //
   viṣasya pṛthivī mātā viṣasya pṛthivī pitā /	vizasya pRTivI mAtA vizasya pRTivI pitA /
   etena satyavākyena viṣāḥ sarve syur nirviṣāḥ //	etena satya-vAkyena vizAH sarve syuH nirvizAH //
   bhūmiṃ saṃkrāmantu viṣaṃ pūrṇapātre vā saṃkrāmantu viṣaṃ svāhā //	BUmim saMkrAmantu vizam pUrNa-pAtre vA saMkrAmantu vizam svAhA //
   athātaḥ kalikalahavigrahavivādaparacakraśatrūṇy aparājayitukāmena pūrvaṃ	aTa-atas kali-kalaha-vigraha-vivAda-para-cakra-SatrUNi aparAjayitu-kAmena pUrvam
   mahācaitye pūjā kartavyā / iyaṃ ca mahāsāhasrapramardanī vidyārājñī	mahA-cEtye pUjA kartavyA / iyam ca mahA-sAhasra-pramardanI vidyA-rAjQI
   pravartayitavyā //	pravartayitavyA //
   buddhena nirjitā mārā dharmeṇa ca adharmatā /	budDena nirjitA mArAH DarmeNa ca aDarma-tA /
   saṃghena nirjitā tīrthyā indreṇa asurā jitāḥ /	saMGena nirjitA tIrTyAH indreNa asurAH jitAH /
   asurais tu jitaḥ somo vainateyena sāgaraḥ //	asurEH tu jitaH somaH vEnateyena sAgaraH //
   (Msp 34)	(Msp 34)
   agninā ca jitāḥ kāṣṭhā udakenāgniḥ parājitāḥ /	agninA ca jitAH kAzWA udakena-agniH parAjitAH /
   vātena nirjitā meghā ratnavajreṇa mathyate //	vAtena nirjitA meGAH ratna-vajreNa maTyate //
   satyena devās tiṣṭhanti satyena pṛthivī sthitā /	satyena devAH tizWanti satyena pRTivI sTitA /
   satyaṃ buddhaś ca dharmaś ca satyaṃ jayatu mā mṛṣāḥ //	satyam budDaH ca DarmaH ca satyam jayatu mA mRzAH //
   syād yathedam /	syAt yaTA-idam /
   amṛte agrapuṣpe / bahuphale / nivāriṇi sarvārthasādhani / aparājite /	amRte agra-puzpe / bahu-Pale / nivAriNi sarva-arTa-sADani / aparAjite /
   dharadharaṇi / guhyāvarte / gautame / guptamati / jambhani svāhā //	Dara-DaraNi / guhya-Avarte / gOtame / guptam-ati / jamBani svAhA //
   balaprabhañjani svāhā // jaye svāhā // vijaye svāhā / jaye vijaye svāhā //	bala-praBaQjani svAhA // jaye svAhA // vijaye svAhA / jaye vijaye svAhA //
   jitāḥ pratyarthikāś caiva sarvapāpāḥ parājitāḥ /	jitAH pratyarTikAH ca-eva sarva-pApAH parAjitAH /
   tato 'tha śāstā sarvajña imāṃ gāthām abhāṣata //	tatas aTa SAstA sarvajQaH imAm gATAm aBAzata //
   akṣobhyarājo avalokiteśvaro 'mitābhanemīratanārcimeruḥ /	akzoBya-rAjaH avalokita-ISvaraH amita-ABanemI-ratana-arcimeruH /
   vajrasya co nāma gṛhītvā sarvadā naivaṃ bhayaṃ bhonti na chambitatvam //	vajrasya caH nAma gRhItvA sarvadA na-evam Bayam Bonti na Cambita-tvam //
   ya eṣān aṣṭān mahādyutīnāṃ nāmāni kīrteya anugrahārtham /	yaH ezAn azwAn mahA-dyutInAm nAmAni kIrteya anugraha-arTam /
   na tasya agnir na viṣaṃ na śastraṃ krameṇa kāye kṛta sapavitre //	na tasya agniH na vizam na Sastram krameNa kAye kRta sa-pavitre //
   saced asau āghātane upasthite utkṛṣṭaśastre vadhake ca saṃmukham /	saced asO AGAtane upasTite utkRzwa-Sastre vaDake ca saMmuKam /
   anusmaranto avalokiteśvaraṃ te khaṇḍakhaṇḍaṃ prapateyuḥ śastrāḥ //	anusmarantaH avalokiteSvaram te KaNxa-KaNxam prapateyuH SastrAH //
   saced udgṛhītaṃ pi bhaveta śastraṃ bhañjitvā pāṇiṃ dharaṇīṃ pateyuḥ /	saced udgRhItam pi Baveta Sastram BaQjitvA pANim DaraNIm pateyuH /
   na tasya kāye nipateya kiṃcid anyatra karma pūrimena yat kṛtam //	na tasya kAye nipateya kiMcid anyatra karma pUrimena yat kRtam //
   samagradevā imaṃ gāthāṃ bhāṣiṣuḥ /	samagra-devAH imam gATAm BAzizuH /
   namo 'stu te buddha anantagocarā namo 'stu te satyaprakāśakā mune /	namaH astu te budDa ananta-gocarA namaH astu te satya-prakASakAH mune /
   satyaṃ pratiṣṭhāya prajāya mocase sarve ca kāmāḥ saphālā bhavantu //	satyam pratizWAya prajAya mocase sarve ca kAmAH sa-PAlAH Bavantu //
   (Msp 35)	(Msp 35)
   mama sarvasatvānāṃ ca svāhā //	mama sarva-satvAnAm ca svAhA //
   tato brahmā mahābrahmā utthito 'tha kṛtāñjaliḥ /	tatas brahmA mahA-brahmA utTitaH aTa kRtAQjaliH /
