   akarod bhayajid rājā NCit_1.39c	akarot Baya-jit rAjA NCit-_1.39c
   śīrṣadeśasya vakṣasas NCit_3.162c	SIrza-deSasya vakzasaH NCit-_3.162c
   śīrṣaṃ chatrasamākāram NCit_3.14a	SIrzam Catra-sama-AkAram NCit-_3.14a
   śuktivaccārutānvitā NCit_3.78d	Suktivat-cAru-ta-anvitA NCit-_3.78d
   śubhaṃ kāryaṃ vicārayan NCit_3.80d	SuBam kAryam vicArayan NCit-_3.80d
   śuvarṇaṃ saralaṃ mṛdu NCit_3.29d	SuvarNam saralam mRdu NCit-_3.29d
   śūddhayā dānena vidhivat NCit_2.13a	SUdDayA dAnena viDivat NCit-_2.13a
   śūlāsiprāsamudgarā NCit_1.42a	SUla-asi-prAsa-mudgarAH NCit-_1.42a
   śṛṇu rājan samāhitaḥ NCit_1.88b	SRNu rAjan samAhitaH NCit-_1.88b
   śṛṇvantu tadvidā janāḥ NCit_1.8d	SRNvantu tad-vidA janAH NCit-_1.8d
   śobhanamaṅgamaṇḍalam NCit_3.131d	SoBanam-aFga-maNxalam NCit-_3.131d
   śobhitaṃ syāt sulakṣaṇam NCit_3.115f	SoBitam syAt su-lakzaNam NCit-_3.115f
   śobhitān nāśayanti ca NCit_3.147c	SoBitAn nASayanti ca NCit-_3.147c
   śobhitau ca bhujau syātāṃ NCit_3.141c	SoBitO ca BujO syAtAm NCit-_3.141c
   śrīmad vikasitaṃ jagat NCit_1.13d	SrImat vikasitam jagat NCit-_1.13d
   śrīvatsacakracihnasva- NCit_3.84a	SrIvatsa-cakra-cihna-sva NCit-_3.84a
   śrutaghnaṃ sarvato divyaṃ NCit_1.40a	Sruta-Gnam sarvatas divyam NCit-_1.40a
   śrutvā pretādhipo vākyaṃ NCit_1.30a	SrutvA preta-aDipaH vAkyam NCit-_1.30a
   śrutvā śeṣāṇi sṛṣṭikṛt NCit_1.49d	SrutvA SezANi sRzwi-kRt NCit-_1.49d
   śruyatāmucyate mayā NCit_3.11b	SruyatAm-ucyate mayA NCit-_3.11b
   śruyatāṃ varṇyate mayā NCit_3.8d	SruyatAm varNyate mayA NCit-_3.8d
   śruyantāṃ kathayāmyaham NCit_3.73b	SruyantAm kaTayAmi-aham NCit-_3.73b
   śrūyatāṃ yad madbhāṣitaṃ NCit_1.102b	SrUyatAm yat mad-BAzitam NCit-_1.102b
   śroṇīsīmāsamīpagam NCit_3.101b	SroNI-sImA-samIpa-gam NCit-_3.101b
   śvadantānāṃ yavārdhena NCit_3.108a	SvadantAnAm yava-arDena NCit-_3.108a
   śvadantābhaṃ suśobhanaṃ NCit_3.107d	Svadanta-ABam su-SoBanam NCit-_3.107d
   śvadantaiśca suśobhitāḥ NCit_3.106b	SvadantEH-ca su-SoBitAH NCit-_3.106b
   śvetavastrasuśobhitaḥ NCit_3.125b	Sveta-vastra-su-SoBitaH NCit-_3.125b
   ṣaṭtriśakaṃ pramāṇaṃ vai NCit_3.88c	zawtriSakam pramANam vE NCit-_3.88c
   ṣaṭtriṃśaddṛṣṭiniyama- NCit_3.32c	zawtriMSat-dRzwi-niyama NCit-_3.32c
   ṣaḍaṅgulapramāṇakaḥ NCit_3.49b	zaz-aFgula-pramANakaH NCit-_3.49b
   ṣaḍaṅgulasamāyutaḥ NCit_3.13d	zaz-aFgula-samAyutaH NCit-_3.13d
   ṣaḍaṅgulaṃ bhavet mānaṃ NCit_3.54c	zaz-aFgulam Bavet mAnam NCit-_3.54c
   ṣaḍaṅgulisamanvitam NCit_3.100b	zaz-aFguli-samanvitam NCit-_3.100b
   ṣaḍaṅgulisusammatam NCit_3.89b	zaz-aFguli-su-sammatam NCit-_3.89b
   ṣaḍaṅgulisusaṃyataḥ NCit_3.65b	zaz-aFguli-su-saMyataH NCit-_3.65b
   ṣaḍuttaraśatāṅgulam NCit_3.157d	zaz-uttara-Sata-aFgulam NCit-_3.157d
   ṣoṛaśavarṣapūrakaṃ NCit_3.117c	zoRaSavarza-pUrakam NCit-_3.117c
   ṣoṛaśāṅgulisammitam NCit_3.96f	zoRaSa-aFguli-sammitam NCit-_3.96f
   sa ca bhavet samucchrāye NCit_3.157c	sa ca Bavet samucCrAye NCit-_3.157c
   satyanarādhipasyaiva NCit_1.50c	satya-nara-aDipasya-eva NCit-_1.50c
   sadā teṣu kathaṃ bhavet NCit_2.6f	sadA tezu kaTam Bavet NCit-_2.6f
   sadānandapradobhavyastv NCit_1.60c	sadAnanda-pradoBavyaH-tu NCit-_1.60c
   sadāsusmitasaṃyutaḥ NCit_3.37d	sadA-asu-smita-saMyutaH NCit-_3.37d
   sannaddhāḥ sundarāstathā NCit_3.68b	sannadDAH sundarAH-taTA NCit-_3.68b
   saputre prasthite dvije NCit_1.84d	sa-putre prasTite dvije NCit-_1.84d
   saptāṅgulamānakam NCit_3.79d	sapta-aFgula-mAnakam NCit-_3.79d
   samadvibhāgasampannaṃ NCit_3.165a	samat-viBAga-sampannam NCit-_3.165a
   samantāt kiraṇāvṛtaḥ NCit_3.125c	samantAt kiraNa-AvRtaH NCit-_3.125c
   samantāt maṇḍalākāraḥ NCit_3.134c	samantAt maNxala-AkAraH NCit-_3.134c
   samantān māṃsapūrṇaṃ vai NCit_3.85a	samantAt mAMsa-pUrNam vE NCit-_3.85a
   samantān māṃsapūrṇau ca NCit_3.92c	samantAt mAMsa-pUrNO ca NCit-_3.92c
   samānatalavijñeyaṃ NCit_3.16a	samAna-tala-vijQeyam NCit-_3.16a
   samānaṃ ca bhaved dhruvam NCit_3.50f	samAnam ca Bavet Druvam NCit-_3.50f
   samānena tathā budhaiḥ NCit_3.11d	samAnena taTA buDEH NCit-_3.11d
   samudrā ratnamāśritāḥ NCit_1.93b	samudrAH ratnam-ASritAH NCit-_1.93b
   samenaika yavo bhavet NCit_3.76d	samena-eka yavaH Bavet NCit-_3.76d
   sameṣu vainateyaśca NCit_1.95a	samezu vEnateyaH-ca NCit-_1.95a
   sammpannaṃ śobhitaṃ bhavet NCit_3.145d	sammpannam SoBitam Bavet NCit-_3.145d
   samyag vicārya śemuṣyā NCit_3.164c	samyak vicArya SemuzyA NCit-_3.164c
   sa rājā harṣamāptavām NCit_1.58b	sa rAjA harzam-AptavAm NCit-_1.58b
   sarvaguṇairupetasya NCit_1.17a	sarva-guNEH-upetasya NCit-_1.17a
   sarva jānāsi bhūtale NCit_1.23b	sarva jAnAsi BU-tale NCit-_1.23b
   sarvajño nirahaṃkaro NCit_1.65e	sarvajQaH nirahaMkaraH NCit-_1.65e
   sarvatraiva bhaviṣyati NCit_1.79d	sarvatra-eva Bavizyati NCit-_1.79d
   sarvadamanakārī tu NCit_1.58c	sarva-damana-kArI tu NCit-_1.58c
   sarvadevagaṇaiḥ sārdhaṃ NCit_1.81c	sarva-deva-gaNEH sArDam NCit-_1.81c
   sarvamihānubhūyate NCit_1.34b	sarvam-iha-anuBUyate NCit-_1.34b
   sarvarūpānukūlaṃ tat NCit_1.85a	sarva-rUpa-anukUlam tat NCit-_1.85a
   sarvalokahitāya vaṃ NCit_1.53d	sarva-loka-hitAya vam NCit-_1.53d
   sarvavastusamākīrṇā NCit_1.104a	sarva-vastu-samAkIrNA NCit-_1.104a
   sarvavidyavijānate NCit_1.3b	sarva-vidya-vijAnate NCit-_1.3b
   sarvavidyāśrayasyāsya NCit_1.18a	sarva-vidyA-ASrayasya-asya NCit-_1.18a
   sarvaśarīraśobhanaḥ NCit_3.99f	sarva-SarIra-SoBanaH NCit-_3.99f
   sarvaśāstre matistvatha NCit_1.16d	sarva-SAstre matiH-tu-aTa NCit-_1.16d
   sarvasattvasukhapradam NCit_3.118d	sarva-sattva-suKa-pradam NCit-_3.118d
   sarvasya lekhane granthe NCit_3.153a	sarvasya leKane granTe NCit-_3.153a
   sarvaṃ karmavaśaṃ sadā NCit_1.32b	sarvam karma-vaSam sadA NCit-_1.32b
   sarvaṃ śṛṇu krameṇa hi NCit_3.163f	sarvam SRNu krameNa hi NCit-_3.163f
   sarvāṅgeṇa manoharaḥ NCit_3.138d	sarva-aFgeNa manoharaH NCit-_3.138d
   sarvāmakathayat kathām NCit_1.49b	sarvAm-akaTayat kaTAm NCit-_1.49b
   sarvāsu hi kalāsu ca NCit_1.95d	sarvAsu hi kalAsu ca NCit-_1.95d
   sarvāḥ syuḥ kramikāgatāḥ NCit_3.67b	sarvAH syuH kramikA-gatAH NCit-_3.67b
   sarve nemuśca bhaktyā taṃ NCit_1.80c	sarve nemuH-ca BaktyA tam NCit-_1.80c
   sarve bhūtā bhayatrastā NCit_1.46a	sarve BUtAH Baya-trastA NCit-_1.46a
   sarve madvaśagā dhruvam NCit_1.31b	sarve mad-vaSa-gAH Druvam NCit-_1.31b
   sarve śilpā mayā kṛtāḥ NCit_1.105d	sarve SilpAH mayA kRtAH NCit-_1.105d
   sarveṣāmeva śāntānāṃ NCit_3.18a	sarvezAm-eva SAntAnAm NCit-_3.18a
   sarveṣā rakṣaṇa kṛtvā NCit_2.14c	sarvezA rakzaNa kRtvA NCit-_2.14c
   sarveṣāṃ ca manoramā NCit_3.123f	sarvezAm ca manoramA NCit-_3.123f
   sarveṣāṃ dehināṃ tathā NCit_2.22b	sarvezAm dehinAm taTA NCit-_2.22b
   sarveṣāṃ prāṇijātānāṃ NCit_3.3c	sarvezAm prANi-jAtAnAm NCit-_3.3c
   sarveṣāṃ maṅgalaṃ kṛtvā NCit_1.81a	sarvezAm maFgalam kRtvA NCit-_1.81a
   savastraṃ vividhasthitam NCit_2.8a	sa-vastram viviDa-sTitam NCit-_2.8a
   savidhe tvāgataḥ kaścid NCit_1.19a	saviDe tu-AgataH kaScid NCit-_1.19a
   sasavibhaktasarvāṅgaṃ NCit_2.9a	sa-sa-viBakta-sarva-aFgam NCit-_2.9a
   saṃkṣepeṇa mayocyate NCit_1.6d	saMkzepeNa mayA-ucyate NCit-_1.6d
   saṃkhyā yāyād navānvitā NCit_3.97d	saMKyA yAyAt nava-anvitA NCit-_3.97d
   saṃkhyāṣṭanavatiḥ sadā NCit_3.159b	saMKyA-azwanavatiH sadA NCit-_3.159b
   saṃgṛhya mativṛddhaye NCit_1.8a	saMgRhya mati-vRdDaye NCit-_1.8a
   saṃjñāṃ devamahībhūjām NCit_2.6d	saMjQAm deva-mahIBUjAm NCit-_2.6d
   sākṣāt savarṇyate cātra NCit_3.10c	sAkzAt savarNyate ca-atra NCit-_3.10c
   sāñjaliḥ pūjayitvā taṃ NCit_1.48c	sa-aQjaliH pUjayitvA tam NCit-_1.48c
   sāñjaliḥ pṛṣṭhavān nṛpaḥ NCit_1.87d	sa-aQjaliH pRzWavAn nRpaH NCit-_1.87d
   sādaraṃ vākyamabravīt NCit_1.27d	sa-Adaram vAkyam-abravIt NCit-_1.27d
   sādṛśyaṃ veśasaundaryaṃ NCit_1.107c	sAdRSyam veSa-sOndaryam NCit-_1.107c
   sādhu sādhu kṛtaṃ tvayā NCit_1.57d	sADu sADu kRtam tvayA NCit-_1.57d
   sādhu sādhviti saṃpūjya NCit_2.10c	sADu sADu-iti saMpUjya NCit-_2.10c
   sāntvitastu nṛvākyena NCit_1.26a	sAntvitaH-tu nR-vAkyena NCit-_1.26a
   sāphalyameti te śramo NCit_1.52a	sAPalyam-eti te SramaH NCit-_1.52a
   sāmānyānaṃ tu karttavyam NCit_3.27c	sAmAnyAnam tu karttavyam NCit-_3.27c
   sāmānyānāṃ bhaviṣyati NCit_3.45d	sAmAnyAnAm Bavizyati NCit-_3.45d
   sārthakyaṃ tasya cintayet NCit_1.66d	sArTakyam tasya cintayet NCit-_1.66d
   siddhanartakakinnarāḥ NCit_3.2b	sidDa-nartaka-kinnarAH NCit-_3.2b
   sinduraliptasarvāṅgāḥ NCit_3.69c	sindura-lipta-sarva-aFgAH NCit-_3.69c
   siṃhodaravad vijñeyā NCit_3.133a	siMha-udara-vat vijQeyA NCit-_3.133a
   sukumāraśarīradhṛk NCit_1.55b	sukumAra-SarIra-DRk NCit-_1.55b
   sukhadaṃ cāru susparśaṃ NCit_3.84e	suKa-dam cAru su-sparSam NCit-_3.84e
   sukhaśāntisamanvite NCit_1.14b	suKa-SAnti-samanvite NCit-_1.14b
   sukhaṃ vā yadi vā duḥkhaṃ NCit_1.32a	suKam vA yadi vA duHKam NCit-_1.32a
   sugandhastvak kṛśaḥ snigdhī NCit_3.124a	suganDaH-tvac kRSaH snigDI NCit-_3.124a
   sugnigdhaścāparaḥ śaśī NCit_3.127b	sugnigDaH-ca-aparaH SaSI NCit-_3.127b
   sugrathitāḥ samādantāḥ NCit_3.105a	sugraTitAH samAdantAH NCit-_3.105a
   suduṣkaraṃ tapaḥ kṛtvā NCit_1.15a	su-duzkaram tapaH kRtvA NCit-_1.15a
   sundaracinhasaṃyutau NCit_3.64b	sundara-cinha-saMyutO NCit-_3.64b
   sundaraṃ ca tanustathā NCit_3.85f	sundaram ca tanuH-taTA NCit-_3.85f
   sundarā dakṣiṇāvarttāḥ NCit_3.113a	sundarAH dakziNa-AvarttAH NCit-_3.113a
   subaddhāṅgulisundarau NCit_3.136a	su-badDa-aFguli-sundarO NCit-_3.136a
   suradevaiḥ sadā khalu NCit_3.146f	sura-devEH sadA Kalu NCit-_3.146f
   surāṇāṃ keśajālaṃ tu NCit_3.118a	surANAm keSa-jAlam tu NCit-_3.118a
   suvṛtto 'lponnatau bhavet NCit_3.59d	su-vRttaH alpa-unnatO Bavet NCit-_3.59d
   susampanno bhaviṣyati NCit_3.44c	su-sampannaH Bavizyati NCit-_3.44c
   susaṃsthānasamāpannaḥ NCit_3.138c	su-saMsTAna-samApannaH NCit-_3.138c
   suspaṣṭoraṃśo bhavet punaḥ NCit_3.90d	su-spazwoH-aMSaH Bavet punar NCit-_3.90d
   suhastau caraṇau syātāṃ NCit_3.140c	suhastO caraNO syAtAm NCit-_3.140c
   sūkṣmalateva saṃgatam NCit_3.118b	sUkzma-latA-iva saMgatam NCit-_3.118b
   sūkṣmā aṅgulijālā hi NCit_3.85e	sUkzmAH aFguli-jAlAH hi NCit-_3.85e
   sūryavarcodharaṃ yamam NCit_1.26c	sUrya-varcaH-Daram yamam NCit-_1.26c
   sṛṣṭerādau samāyātā NCit_1.89a	sRzweH-AdO samAyAtAH NCit-_1.89a
   sṛṣyante ca yavādṛśaḥ NCit_3.81c	sRzyante ca yavAdRSaH NCit-_3.81c
   saundaryaṃ hi mukhasya ca NCit_3.127f	sOndaryam hi muKasya ca NCit-_3.127f
   skandhadeśasya madhyāṃśa NCit_3.98a	skanDa-deSasya maDya-aMSa NCit-_3.98a
   skandhasthalasya mānaṃ hi NCit_3.96e	skanDa-sTalasya mAnam hi NCit-_3.96e
   skandhāgrasya bhaven mānaṃ NCit_3.89a	skanDa-agrasya Bavet mAnam NCit-_3.89a
   skandhāyāmaḥ ṣaḍaṅgulaḥ NCit_3.48d	skanDa-AyAmaH zaz-aFgulaH NCit-_3.48d
   stavapūjādikaṃ tathā NCit_2.16d	stava-pUjA-Adikam taTA NCit-_2.16d
   stilakṣaṇa samanvitam NCit_3.84b	stilakzaNa samanvitam NCit-_3.84b
   strīṇāṃ bhāgaḥ sa eva hi NCit_3.99d	strINAm BAgaH saH eva hi NCit-_3.99d
   sthānamardhāṅgulaṃ matam NCit_3.71d	sTAnam-arDa-aFgulam matam NCit-_3.71d
   sthānaṃ kaṭyāsthivistṛtam NCit_3.96b	sTAnam kawyA-asTi-vistRtam NCit-_3.96b
   sthānaṃ caryā ca dharmaśca NCit_2.5a	sTAnam caryA ca DarmaH-ca NCit-_2.5a
   sthānāt tasmāt samārabhya NCit_3.101a	sTAnAt tasmAt samAraBya NCit-_3.101a
   sthānopāyaiśca kīdṛśaiḥ NCit_1.105b	sTAna-upAyEH-ca kIdRSEH NCit-_1.105b
   sthāvare jaṃgame naṣṭe NCit_2.2a	sTAvare jaMgame nazwe NCit-_2.2a
   sthito 'smīti raṇe rājan NCit_1.38c	sTitaH asmi-iti raNe rAjan NCit-_1.38c
   sthirataḍīnnibho jihvād NCit_3.109c	sTira-taxIt-niBaH jihvAt NCit-_3.109c
   sthūlatve saptakāṅgulau NCit_3.53d	sTUla-tve saptaka-aFgulO NCit-_3.53d
   snigdhavarṇaṃ bhavettathā NCit_3.129b	snigDa-varNam Bavet-taTA NCit-_3.129b
   snigdhavarṇāḥ sutīkṣṇakāḥ NCit_3.105b	snigDa-varNAH su-tIkzNakAH NCit-_3.105b
   spaṣṭā vṛddhāṅgulistathā NCit_3.71b	spazwA vRdDa-aFguliH-taTA NCit-_3.71b
   svakīyakarmavaśād jīvāḥ NCit_1.31a	svakIya-karma-vaSAt jIvAH NCit-_1.31a
   svacchā dantā nabho yathā NCit_3.128d	su-acCAH dantAH naBaH yaTA NCit-_3.128d
   svacchāḥ śvetā himā iva NCit_3.105d	su-acCAH SvetAH himAH iva NCit-_3.105d
   svaptākāraṃ ca lebhire NCit_2.11b	svapta-AkAram ca leBire NCit-_2.11b
   svayambhūrupadiṣṭavān NCit_3.1b	svayamBUH-upadizwavAn NCit-_3.1b
   svasthānamāgato dhīmān NCit_1.82c	sva-sTAnam-AgataH DImAn NCit-_1.82c
   svāṅguleḥ parimāṇataḥ NCit_3.9b	sva-aFguleH parimANataH NCit-_3.9b
   svādhiṣṭhānaṃ samāgatāḥ NCit_2.18d	svADizWAnam samAgatAH NCit-_2.18d
   svīyaputraṃ gṛhitavān NCit_1.56d	svIya-putram gRhitavAn NCit-_1.56d
   svīyaveṣaiḥ svacetasā NCit_2.18c	svIya-vezEH sva-cetasA NCit-_2.18c
   svecchāśaktiḥ kuto mama NCit_1.31d	sva-icCA-SaktiH kutas mama NCit-_1.31d
   hayarājasya nādavat NCit_3.110b	haya-rAjasya nAda-vat NCit-_3.110b
   haraṃ ca candraśekharaṃ NCit_1.4b	haram ca candraSeKaram NCit-_1.4b
   hastapṛṣṭhaṃ sadā snigdham NCit_3.85c	hasta-pRzWam sadA snigDam NCit-_3.85c
   hastasya gaditaṃ mayā NCit_3.87b	hastasya gaditam mayA NCit-_3.87b
   hastasya lakṣaṇānyatra NCit_3.73a	hastasya lakzaNAni-atra NCit-_3.73a
   hastau na jānuparyantau NCit_3.92a	hastO na jAnu-paryantO NCit-_3.92a
   haṃsatejaḥ samāyutaḥ NCit_3.122d	haMsa-tejaH samAyutaH NCit-_3.122d
   haṃsavaccaraṇau matau NCit_3.63b	haMsa-vat-caraNO matO NCit-_3.63b
   himālayo yathā śreṣṭho NCit_1.94a	himAlayaH yaTA SrezWaH NCit-_1.94a
   hīnaṃ nānāśrayaṃ param NCit_2.23b	hInam nAnA-ASrayam param NCit-_2.23b
   hṛdayān nābhirandhrakaḥ NCit_3.50c	hRdayAt nABi-ranDrakaH NCit-_3.50c
   hṛṣṭo brāhmaṇasattamaḥ NCit_1.56b	hRzwaH brAhmaNa-sattamaH NCit-_1.56b
   hṛṣṭo rājā samitraśca NCit_1.84a	hRzwaH rAjA sa-mitraH-ca NCit-_1.84a
