   oṃ namo bhāratyai ||	om namaH BAratyE ||
   jagattrayavijayanirgatasya kusumaketo ratikaratalavikīrṇalājā iva,	jagattraya-vijaya-nirgatasya kusumaketaH rati-kara-tala-vikIrNa-lAjAH iva,
   gulikāstragulikā iva puṣpadhanuṣaḥ, viyadamburāśiphenastabakā iva,	gulikA-astra-gulikAH iva puzpa-DanuzaH, viyat-amburASi-Pena-stabakAH iva,
   rativiracitā gaganāṅgaṇe ātarpaṇapañcāṅgulaya iva,	rati-viracitAH gagana-aFgaNe AtarpaNa-paQcAFgulayaH iva,
   vyomalakṣmīhāramuktānikarā iva, candracitācakrād vātyāvegavyastāḥ	vyoma-lakzmIhAra-muktA-nikarAH iva, candra-citA-cakrAt vAtya-avega-vyastAH
   kāmakīkasakhaṇḍā iva,	kAma-kIka-sa-KaNxAH iva,
   timirodgamadhūmadhūmalasandhyāmalāhitagaganamahāsthalīmahākaṭāhabhṛjjyamānasphuṭitalājānukārās	timira-udgama-DUma-DUmala-sanDyA-amalAhita-gagana-mahA-sTalI-mahA-kawAha-BRt-jyamAna-sPuwita-lAjA-anukAra-as
   tārā vyarājanta | tābhiś ca śvitrīva viyad aśobhata |	tArAH vyarAjanta | tABiH ca SvitrI-iva viyat aSoBata |
   34) tato dīrghocchvāsaracanākuśalaṃ saśleṣabahughaṭanāpaṭu	34) tatas dIrGa-ucCvAsa-racanA-kuSalam sa-Sleza-bahu-GawanA-pawu
   satkaviviracanam iva, cakravākamithunam atīvākhidyata |	sat-kavi-viracanam iva, cakravAka-miTunam atIva-aKidyata |
   kamalinīsañcaraṇalagnamakarandabindulavamadhukaramālāśabalagātraṃ,	kamalinI-saQcaraNa-lagna-makaranda-bindu-lava-maDukarama-AlASa-bala-gAtraM,
   kālapāśeneva mūrtarāmaśāpenākṛṣyamāṇaṃ cakravākamithunam vijaghaṭe |	kAla-pASena-iva mUrta-rAma-SApena-AkRzyamANam cakravAka-miTunam vijaGawe |
   ravivirahavidhurāyāḥ kamalinyā hṛdayam iva dvidhā papāṭa cakravākamithunam	ravi-viraha-viDurAyAH kamalinyAH hRdayam iva dviDA papAwa cakravAka-miTunam
   | āgamiṣyato himakaradayitasya pārśve saṃcarantī kumudinyā bhramaramālā	| AgamizyataH himakara-dayitasya pArSve saMcarantI kumudinyA Bramara-mAlA
   dūtīvālakṣyata | tārakāvyājād astaṅgatasya divākarasya śokād iva kakubho	dUtI-ivAlakzyate | tArakA-vyAjAt astaFgatasya divAkarasya SokAt iva kakuBo
   vyarudan | bhāsvato nijadayitasya virahād abhinavakiñjalkarāśivyājena	vyarudan | BAsvataH nija-dayitasya virahAt aBinava-kiQjalka-rASi-vyAjena
   murmura iva nalinīkośahṛdaye jajvāla | raviraśmibhasmitanabhovanamaṣīrāśir	murmuraH iva nalinI-koSa-hRdaye jajvAla | ravi-raSmi-Basmita-na-BaH-vana-mazIrA-Sir
   iva, śrutivacanam iva kṣatadigambaradarśanaṃ, kṛṣṇarūpam api	iva, Sruti-vacanam iva kzata-digambara-darSanaM, kRzNa-rUpam api
   tiraskṛtaviśvarūpabhāvaṃ, sadyodrāvitarājatapaṭṭasamudrapravāha iva	tiraskRta-viSva-rUpa-BAvaM, sadyodrAvita-rAjata-pawwa-samudra-pravAhaH iva
   śārvaram andhakāram ajṛmbhata |	SArvaram anDakAram ajRmBata |
   35) kṣaṇena ca kṣaṇadārājakanyākanduka iva, kandarpakanakadarpaṇa iva,	35) kzaNena ca kzaNadA-rAja-kanyA-kandukaH iva, kandarpa-kanaka-darpaNaH iva,
   udayagiribālamandārastabakākṛtiḥ, prācīlalāṭakusumacakrākāraḥ, kuṇḍalam	udaya-giri-bAla-mandAra-stabaka-AkRtiH, prAcI-lalAwa-kusuma-cakra-AkAraH, kuNxalam
   iva nabhaśriyaḥ, divyavadhūprasādhikāhastasrastālaktapaṭa iva,	iva naBa-SriyaH, divya-vaDU-prasADikA-hasta-srasta-alakta-pawaH iva,
   gaganasaudhakanakakumbha iva, prasthānakalaśa iva	gagana-sODa-kanaka-kumBaH iva, prasTAna-kalaSaH iva
   tribhuvanavijayanirgatasya makaraketoḥ,	triBuvana-vijaya-nirgatasya makaraketoH,
   kandarpakārtasvaratūṇamukhacakrakāntitaskaraḥ,	kandarpa-kArta-svara-tUNa-muKa-cakra-kAnti-taskaraH,
   prākśailaśikharāgraprarūḍhajavātarukusumacchaviḥ,	prAc-SEla-SiKara-agra-prarUXa-javAtaru-kusuma=-CaviH,
   acchakuṅkumapiṇḍapūrṇasthita[pātra] iva niśāvilāsinyāḥ	acCa-kuFkuma-piNxa-pUrNa-sTita[pAtra] iva niSA-AvilAsinyAH
   kuṅkumāruṇaśveta[stana]kalaśa iva cākhaṇḍalāśāyāḥ, udayāruṇamaṇḍalo	kuFkuma-aruNa-Sveta[-stana]-kalaSaH iva ca-aKaNxalASAyAH, udaya-aruNa-maNxalaH-
   rajanīpatir abhyudayam āsasāda |	rajanI-patiH aByudayam AsasAda |
   36) tataḥ kāminīhṛdayasaṅkrāmita iva cakorāṅganānetrapuṭapāṭita iva	36) tatas kAminI-hRdaya-saFkrAmitaH iva cakora-aFganA-netra-puwa-pAwitaH iva
   raktakumudakośakīṭa iva kṣīṇatāṃ jagāma kṣaṇadākṛto rāgaḥ |	rakta-kumuda-koSa-kIwaH iva kzINa-tAm jagAma kzaNadA-kRtaH rAgaH |
   37) anantaraṃ śarvarīvrajāṅganāniṣṭhyūtanavanītasvastika iva, kusumaketor	37) anantaram SarvarI-vraja-aFganA-nizWyUta-navanIta-svastikaH iva, kusumaketoH-
   mukhacchāyāmudrita iva, śvetātapatram iva makaraketoḥ, dantapālicakra iva	muKa=-CAyA-mudritaH iva, Sveta-Atapatram iva makaraketoH, dantapAli-cakraH iva
   viyanmahāseḥ, śvetacāmara iva madanamahārājasya, bālapulinam iva	viyat-mahAseH, Sveta-cAmaraH iva madana-mahA-rAjasya, bAla-pulinam iva
   niśāyamunāyāḥ, sphuṭikaliṅgam iva gaganatāpasasya, aṇḍam iva kāloragasya,	niSA-yamunAyAH, sPuwika-liFgam iva gagana-tApa-sasya, aNxam iva kAla-uragasya,
   kambur iva nabhomahārṇavasya, caityam iva madanāridagdhasya makaraketoḥ,	kambuH iva naBaH-mahA-arNavasya, cEtyam iva madanAri-dagDasya makaraketoH,
   citācakram iva kalaṅkāṅgāraśabalaṃ saṅkalpajanmanaḥ, gaganagāmipuṇḍarīkam	citA-cakram iva kalaFka-aFgAra-Sabalam saFkalpa-janmanaH, gagana-gAmi-puNxarIkam
   iva, ambaramahārṇavaphenapuñja iva, pāradapiṇḍa iva [kāladhātuvādinaḥ],	iva, ambara-mahA-arNava-Pena-puQjaH iva, pArada-piNxaH iva [kAla-DAtu-vAdinaH],
   rājatakalaśa iva dūrvāpravālaśabalaḥ, kandarparathacakracāruḥ,	rAjata-kalaSaH iva dUrvA-pravAla-SabalaH, kandarpa-raTa-cakra-cAruH,
   udayācalacūḍāmaṇiḥ, ambaramahāprāsādapārāvataḥ, airāvatakumbhasthalam iva,	udaya-acala-cUxAmaNiH, ambara-mahA-prAsAda-pArAvataH, ErAvata-kumBa-sTalam iva,
   bhagnaśṛṅgapurāṇagomuṇḍa iva, tārakāśvetagodhūmaśālino nabhaḥkṣetrasya,	Bagna-SRFga-purANa-gomuNxaH iva, tArakA-Sveta-goDUma-SAlinaH naBaH-kzetrasya,
   pāṇḍurarājatapātram iva siddhāṅganāhastasrasto grahapatir ujjagāma | yaś	pANxura-rAjata-pAtram iva sidDa-aFganA-hastasrastaH grahapatiH ujjagAma | yaH-
   ca puṇḍarīkaṃ locanamadhukarāṇāṃ, śayanīyasaikataṃ cittahaṃsānāṃ,	ca puNxarIkam locana-maDukarANAM, SayanIya-sEkatam citta-haMsAnAM,
   sphaṭikavyajanaṃ virahavahnīnām |	sPawika-vyajanam viraha-vahnInAm |
   38) atrāntare 'bhisārikāsārthapreṣitānāṃ priyatamān prati dūtīnāṃ	38) atra-antare aBisArikA-sArTa-prezitAnAm priyatamAn prati dUtInAm
   dvyarthāḥ saprapañcāḥ vikārabhaṅgurāḥ pravādā babhūvuḥ | tathā hi |	dvi-arTAH sa-prapaQcAH vikAra-BaFgurAH pravAdAH baBUvuH | taTA hi |
   "avastrīkṛtam ātmānaṃ nākalayasi tattvataḥ | prastara iva krūro 'si | na	"avastrI-kRtam AtmAnam na-akalayasi tattvataH | prastaraH iva krUraH asi | na
   cākarṣakacumbakadrāvakeṣv eko 'py asi, bhrāmako 'si paraṃ kitava |	ca-Akarzaka-cumbaka-drAvakezu ekaH api asi, BrAmakaH asi param kitava |
   dhamārthāny aprayuktaḥ kṣepaṇika iva mudhā vāhitataravāris tvam asi |	Dama-arTAni aprayuktaH kzepaNikaH iva muDA vAhitatara-vAriH tvam asi |
   sakhedam iva manasā cintayasi durlabhām | sattvasāracarito	saKA-idam iva manasA cintayasi durlaBAm | sattva-sAra-caritaH-
   ripumaṇḍalāgrato nirvṛtim upetya tiṣṭhati | sa khalu vīraḥ pratipakṣasya	ripu-maNxala-agratas nirvRtim upetya tizWati | sa Kalu vIraH pratipakzasya
   yaḥ samprahārataḥ kuñjarān nayati | dhṛtorukaravālasañcayo 'pi paramakāṇḍa	yaH samprahArataH kuQjarAn nayati | DRta-Uru-kara-vAla-saQcayaH api parama-kANxa
   eva etan mahāpadaṃ vigraheṇa labhate | rājasena rahito rājase na rahito	eva etat mahA-padam vigraheNa laBate | rAjasena rahitaH rAjase na rahitaH-
   dhruvam | viśāradā viśāradābhraviśadā viśadātmanīnamahimānam	Druvam | viSAradA viSArada-aBra-viSadA viSada-AtmanIna-mahimAnam
   ahimānarakṣaṇakṣamā kṣamātilaka te vīratā vīratā manasi bhūtatā bhūtatā	ahi-mAna-rakzaNa-kzamA kzamA-tilaka te vIra-tA vIra-tA manasi BUtatA BUta-tA
   vacasi | sāhasena sā hasena kamalā kamalālayā jitā, sā tvadarpaṇā	vacasi | sAhasena sA hasena kamalA kamala-AlayA jitA, sA tvad-arpaNA
   darpaṇākāravimalāśayā śayābjanirjitakisalayā salayāṅgulir iva vibhrameṇa	darpaNa-AkAra-vimala-ASayA Saya-abja-nirjita-kisalayA salayA-aFguliH iva viBrameNa
   vibhrameṇa gavākṣaśalākāvivaraṃ prati vilokayantī vilokayantī vināśāpam	viBrameNa gavAkza-SalAkA-vivaram prati vilokayantI vilokayantI vinA-ASApam
   anubhavati duḥkhāni | jīvanāyaka jīvanāya ka iha nāśrayati subhagam |	anuBavati duHKAni | jIvanAyaka jIvanAya kaH iha na-ASrayati suBagam |
   anyās tāvad āsatāṃ dāsatāṃ purato 'ham eva bhajāmi, maitry ato maitryato	anyAH tAvat AsatAm dAsa-tAm puratas aham eva BajAmi, mEtrI atas mEtrI-atas-
   'stu | añjasārataḥ sārataḥ kim api kandarpakaṃ darpakaṃ na tanoṣi viśeṣato	astu | aQjasA-rataH sArataH kim api kandarpakam darpakam na tanozi viSezataH-
   'śeṣataḥ sthitam eva maraṇam | śaṭḥadhiyāṃ śodhana yaśodhana	aSezatas sTitam eva maraNam | SawHa-DiyAm SoDana yaSaH-Dana
   premahāryāmahāryā samotkaṭākṣaiḥ kaṭākṣair āvirbhūtadāsyās tadāsyāḥ	prema-hAryA-m-ahAryA sama-utkawAkzEH kawAkzEH AvirBUta-dAsyAH tadA-asyAH
   parijanāḥ | kamalākṛtinārīṇāṃ kamalākṛtinārīṇāṃ bhavatā mukhaṃ malinitam |	parijanAH | kamala-AkRti-nArINAm kamala-AkRti-nArINAm BavatA muKam malinitam |
   viśvasya viśvasya vyavasthāṃ samāsādya samāsād yam anekakālaṃ saṅgītasaṅgī	viSvasya viSvasya vyavasTAm samAsAdya samAsAt yam aneka-kAlam saFgIta-saFgI
   tanuṣe 'tanuṣekam anaṅgapuṣpeṣu puṣpeṣurujā tarasā jātarasā mandākṣamandā	tanuze atanuzekam anaFga-puzpezu puzpezu-rujA tarasA jAta-rasAH manda-akza-mandA
   kṣaṇaṃ bhramantī muhyati | kāmadhurādhareṇa kā madhurādhareṇa yuktā	kzaNam BramantI muhyati | kAmaDura-aDareNa kA maDura-aDareNa yuktA
   rajorājiviśeṣakeṇa saviśeṣakeṇa mukhendunā tava hṛdi lagnā mradimākareṇa	rajaH-rAji-viSezakeNa sa-viSezakeNa muKa-indunA tava hRdi lagnA mradimAkareNa
   kareṇa svedabindupayodhareṇa payodhareṇa vakṣaḥphalakāñcanena	kareNa sveda-bindu-payoDareNa payoDareNa vakzaH-Pala-kAQcanena
   jitānāvilakāñcanena | kāmadāruṇa madāruṇanetrā smaramayaṃ ramayantaṃ tvām	jita-an-Avila-kAQcanena | kAma-dAruNa mada-aruNa-netrA smara-mayam ramayantam tvAm
   adayaṃ madayantī paramakamitāraṃ vāñchati hāriṇā hāriṇā stanakumbhena	adayam madayantI parama-kamitAram vAQCati hAriNA hAriNA stana-kumBena
   hāriṇākṣirucihāriṇā cakṣuṣā hāriṇā | anantaraṃ dugdhārṇavapraviṣṭam iva,	hAriNa-akzi-ruci-hAriNA cakzuzA hAriNA | anantaram dugDa-arNava-pravizwam iva,
   sphaṭikagṛhapraviṣṭam iva śvetadvīpanivāsasukham anubhavad iva jagad	sPawika-gRha-pravizwam iva SvetadvIpa-nivAsa-suKam anuBavat iva jagad
   āmumude |	Amu-mude |
   39) krameṇa ca	39) krameNa ca
   vighaṭamānadalapuṭakumudakānanakośamakarandabindusandohadohadamadhukarakulakalarutamukharitadigante,	viGawa-mAna-dala-puwa-kumuda-kAnana-koSa-makaranda-bindu-sandoha-dohada-maDukara-kula-kalaruta-muKarita-diS-ante,
   candrikāpānabharālasacakorakāminībhir abhininditāgamane,	candrikA-pAna-Bara-alasa-cakora-kAminIBiH aBinindita-Agamane,
   suratabharakhinnapulindasundarīsvedajalakaṇikāpahāriṇi prativāti sāyantane	surata-Bara-Kinna-pulinda-sundarI-sveda-jala-kaNikA-apahAriNi prativAti sAyantane
   tanīyasi niśāniḥśvāsanibhe nabhasvati Kandarpaketus	tanIyasi niSA-niHSvAsa-niBe naBasvati Kandarpaketu-H-
   TamālikāMakarandasahāyo Vāsavadattājanakanagarīm ayāsīt |	Ta-mAli-kAMakaranda-sahAyaH VAsavadattA-janaka-nagarIm ayAsIt |
   40) anantaraṃ	40) anantaram
   kaṭakaikadeśaviracitaikāntanihitamuktāmakarandapadmarāgaśakalena	kawaka-eka-deSa-viracita-ekAnta-nihita-muktA-makaranda-padmarAga-Sakalena
   Vāsavadattādarśanārtham āsthitena devatāgaṇeneva jātavalayena parigatam,	Va-Asavadatta-adarSana-arTam AsTitena devatA-gaNena-iva jAta-valayena parigatam,
   anilollāsitābhir nabhastarumañjarībhir iva tarjayantībhir iva	anila-ullAsitABiH naBaH-taru-maQjarIBiH iva tarjayantIBiH iva
   gaganapuraśriyaṃ patākābhir upaśobhamānaṃ, paṭṭāṅkaṇaprasṛtābhiḥ	gaganapura-Sriyam patAkABiH upaSoBamAnan, pawwa-aFkaNa-prasRtABiH
   karpūracandanakuṅkumailāgandhodakarasaparimalavāhinībhir vāhinībhis	karpUra-candana-kuFkuma-elA-ganDa-udaka-rasa-parimala-vAhinIBiH vAhinIBiH-
   taṭasphaṭikapaṭṭasukhaniṣaṇṇanidrāyamāṇājñātaprāsādapārāvatālibhiḥ	tawa-sPawika-pawwa-suKa-nizaNNa-nidrAyamANa-ajQAta-prAsAda-pArAvata-aliBiH
   prabhraśyattaṭaviṭapakusumastabakitasalilābhir	praBraSyat-tawa-viwapa-kusuma-stabakita-salilABiH-
   anavaratamajjadunmadayuvatijanajaghanāsphālanocchvasitaśīkaranikarasnapitavedikābhiḥ,	anavarata-majjadunmada-yuvati-jana-jaGana-AsPAlana-ucCvasita-SIkara-nikara-snapita-vedikABiH,
   karpūrapūraviracitapulinatalaniṣaṇṇaninadānumīyamānarājahaṃsībhiḥ,	karpUra-pUra-viracita-pulina-tala-nizaNNa-ninada-anumIyamAna-rAjahaMsIBiH,
   vikacanīlotpalakānanadarśitākāṇḍacakravākatimiraśaṅkābhiḥ, yuvatībhir iva	vikaca-nIlotpala-kAnana-darSitA-kANxa-cakravAka-timira-SaFkABiH, yuvatIBiH iva
   supayodharābhiḥ, sugrīvayuddhakalābhir iva kīlālasnapitakumbhakarṇābhiḥ,	su-payoDarABiH, sugrIva-yudDa-kalABiH iva kIlAla-snapita-kumBa-karNABiH,
   sāgarakūlabhūmibhir iva sundarīpādaparāgaśabalābhiḥ,	sAgara-kUla-BUmiBiH iva sundarI-pAdapa-rAga-SabalABiH,
   navanṛpaticittavṛttibhir iva kulyāyamānakariṇībhiḥ,	nava-nRpati-citta-vRttiBiH iva kulyAyamAna-kariNIBiH,
   śikharagatamuktājālavyājena yuvatijanadarśanāgataṃ tārāgaṇam udvahadbhiḥ,	SiKara-gata-muktA-jAla-vyAjena yuvati-jana-darSana-Agatam tArA-gaNam udvahadBiH,
   kācakalaśākṛtim udvahantībhiḥ śikhisaṃhatibhir udbhāsitaiḥ prāsādair	kAca-kalaSa-AkRtim udvahantIBiH SiKi-saMhatiBiH udBAsitEH prAsAdEH-
   upaśobhitaṃ, kālāgarudhūpapaṭalair darśitākālajaladonnāham,	upaSoBitaM, kAla-agaru-DUpa-pawalEH darSita-akAla-jalada-unnAham,
   kvacidgambhīramurajaravāhūtamandamandanartitanīlakaṇṭhaṃ, sāyaṃsamayam iva	kvacid-gamBIram-uraja-rava-AhUta-manda-manda-nartita-nIla-kaNWan, sAyaMsa-mayam iva
   nipatitalokalocanaṃ, janakayajñasthānam iva dārotsukitarāmaṃ, mānuṣam	nipatita-loka-locanan, janaka-yajQa-sTAnam iva dAra-utsukita-rAman, mAnuzam
   ivābhinanditasurataṃ, nidhānam iva kautukasya, āvāsam iva śṛṅgārasya,	iva-aBinandita-surataM, niDAnam iva kOtukasya, AvAsam iva SRFgArasya,
   kulagṛham iva vibhramasya, saṅketasthānam iva saundaryasya,	kula-gRham iva viBramasya, saFketa-sTAnam iva sOndaryasya,
   Vāsavadattābhavanaṃ bhavanandanaprabhāvo dadarśa |	VAsavadattA-Bavanam Bava-nandana-praBAvaH dadarSa |
   41) "dravasi dravasindhuto nigalite capalā capalāyate kim eṣā | stabakas	41) "dravasi drava-sinDutaH nigalite capalA capalAyate kim ezA | stabakas
   tava karṇataḥ patito 'yam | Surekhe surayā surayācanocitaśrīs tvam asi |	tava karNataH patitaH ayam | SureKe surayA sura-yAcana-ucita-SrIH tvam asi |
   mattā kalahe kalahemadāmakāñcīdāmakvaṇitaiḥ smaram ivāhvayasi | Malaye	mattA kalahe kala-hema-dAma-kAQcI-dAma-kvaNitEH smaram iva-Ahvayasi | Malaye
   malayepsitaṃ dṛśaivādhigatāsi | Kalike kaliketum imāṃ mukharāṃ muñca	malaya-Ipsitam dRSA-eva-aDigatA-asi | Kalike kali-ketum imAm muKarAm muQca
   mekhalāṃ śṛṇuvaḥ kalavallakīvirutam | mekhalā me khalā na bhavati, tvam	meKalAm SRNuvaH kalavallakI-virutam | meKalA me KalA na Bavati, tvam
   eva tv ameva mukharatayā mukharatayā ca | trapate 'tra pated iyam	eva tu ameva muKara-tayA muKara-tayA ca | trapate atra patet iyam
   avantisenākusumopahāre mugdhā tava kaitavakairalaṃ, Lavaṅgike vepathur	avantisenA-kusuma-upahAre mugDA tava kEtavakEH-alan, LavaFgike vepaTuH-
   evāśayaṃ vyanakti | vahatīva hatīr Anaṅgalekhe smarasāyakānāṃ tava vapur	eva-ASayam vyanakti | vahati-iva hatIH AnaFga-leKe smara-sAyakAnAm tava vapuH-
   alasam | pihitā 'pi hitāyate | Utkalike tavotkalikā mahormiḥ | vadane vada	alasam | pihitA api hitAyate | u-utkalike tava-utkalikA mahA-UrmiH | vadane vada
   netrapeyakāntau kim upamānam indur apy upayāti | vasatīva satīvrate tava	netra-peya-kAntO kim upamAnam induH api upayAti | vasati-iva satIvrate tava
   hṛdaye ko 'pi | śatadhā śatadhārasārā vācas tavānubhūtaḥ | Kerali	hRdaye kaH api | SataDA Sata-DArasArAH vAcaH tava-anuBUtaH | Kerali
   karakākarakālameghakhaṇḍatulām ayam ullasitotphullamallikāmālabhārī [tava	kara-ka-Akara-kAla-meGa-KaNxa-tulAm ayam ullasita-utPulla-mallikA-mAla-BArI [tava
   yāti] kuntalakalāpaḥ | Kuntalike puragopuragocarāḥ śrūyante gītadhvanayaḥ	yAti] kuntala-kalApaH | Kuntalike pura-gopura-gocarAH SrUyante gIta-DvanayaH
   | kim atra kalpayasi kṣaṇam īkṣaṇamīlanāt | api caṭulaṃ caṭulampaṭaṃ	| kim atra kalpayasi kzaNam IkzaNa-mIlanAt | api cawulam cawu-lampawam
   sakhījanam āyāsayasi | Murale stanatā stanatāḍaneṣu yat saukhyaṃ labdhaṃ	saKI-janam AyAsayasi | Murale stana-tA stana-tAxanezu yat sOKyam labDam
   smaratā smaratāpanodanaṃ tad iyaṃ tena viyuktā kiṃ muhyasi | hatamohatamo	smaratA smaratA-apanodanam tat iyam tena viyuktA kim muhyasi | hata-moha-tamaH-
   dayitaḥ smarati sma ratipriyaṃ tava kauśalaṃ | nakharāṇāṃ vraṇaḥ	dayitaH smarati sma rati-priyam tava kOSalam | naKarANAm vraNaH
   smarajanyāṃ sma rajanyāṃ kurute rujaṃ na te | kiṃ locanābhyāṃ locanābhyāṃ	smara-janyAm sma rajanyAm kurute rujam na te | kim locanAByAm locanAByAm
   prīṇitākhila janekṣaṇadeśaḥ kṣaṇadeśaḥ kiṃ na pīyate | priyasakhi	prINita-aKila jana-IkzaNa-deSaH kzaNa-deSaH kim na pIyate | priya-saKi
   madanamālini mālini bimbādharasaṅgatyāgecchayā virāmaṃ kuru |	madanamAlini mAlini bimba-aDara-saFga-tyAga-icCayA virAmam kuru |
   madhumadāruṇamālavīkapolatalasamāno 'bhrāntasamāno raktamaṇḍalatayā tvayā	maDumada-aruNa-mAlavI-kapola-tala-samAnaH aBra-anta-samAnaH rakta-maNxala-tayA tvayA
   ko viśeṣaḥ | Kuraṅgike kalpaya kuraṅgaśāvakebhyaḥ śaṣpāṅkuram | Kiśorike	kaH viSezaH | KuraFgike kalpaya kuraFga-SAvakeByaH Sazpa-aFkuram | KiSorike
   kāraya kiśorakapratyavekṣām | Taralike taralaya gurusāndradhūpapaṭalam |	kAraya kiSoraka-pratyavekzAm | Taralike taralaya guru-sAndra-DUpa-pawalam |
   Karpūrike pāṇḍuraya karpūradhūlibhiḥ payodharabhāram | Mātaṅgike mānaya	KarpUrike pANxuraya karpUra-DUliBiH payoDara-BAram | MAtaFgike mAnaya
   mātaṅgaśiśuyācanām | Śaśilekhe likha lalāṭapaṭṭe śaśilekhām | Ketakike	mAtaFga-SiSu-yAcanAm | ŚaSileKe liKa lalAwa-pawwe SaSi-leKAm | Ketakike
   saṅketaya ketakīmaṇḍapasya dohadam | Śakunike dehi krīḍāśakunibhya āhāram	saFketaya ketakI-maNxapasya dohadam | Śakunike dehi krIxA-SakuniByaH AhAram
   | Madanamañjari mañjaraya sabhāmaṇḍapakadalīgṛham | Śṛṅgāramañjari	| MadanamaQjari maQjaraya saBA-maNxapa-kadalI-gRham | ŚRFgAramaQjari
   saṅkalpaya śṛṅgāraracanām | Sañjīvanike vitara jīvajjīvakamithunāya	saFkalpaya SRFgAra-racanAm | SaQjIvanike vitara jIvat-jIvaka-miTunAya
   maricapallavam | Pallavike pallavaya karpūradhūlibhiḥ kṛtrimaketakakānanam	marica-pallavam | Pallavike pallavaya karpUra-DUliBiH kRtrima-ketaka-kAnanam
   | Sahakāramañjari sañjanaya sahakārasaurabhaṃ vyajanavāteṣu | Madanalekhe	| SahakAramaQjari san-janaya sahakAra-sOraBam vyajana-vAtezu | Madana-leKe
   lekhaya madanalekhaṃ malayānilasya | Makarike dehi mṛṇālāṅkuraṃ	leKaya madana-leKam malaya-anilasya | Makarike dehi mRNAla-aFkuram
   rājahaṃsaśāvakebhyaḥ | Vilāsavati vilāsaya mayūrakiśorakam | Tamālike	rAjahaMsa-SAvakeByaH | VilAsavati vilAsaya mayUraki-Sorakam | TamAlike
   [pari]malaya malayajarasena bhavanavāṭam | Kāñcanike vikira kastūridravaṃ	[pari]malaya malayaja-rasena Bavana-vAwam | KAQcanike vikira kastUri-dravam
   kāñcanamaṇḍapikāyām | Pravālike secaya ghusṛṇarasena bālapravālakānanam"	kAQcana-maNxapikAyAm | PravAlike secaya GusRNa-rasena bAla-pravAla-kAnanam"
   ity anyonyapraṇayapeśalāḥ pramadānām ālāpakathāḥ śṛṇvan Kandarpaketur	iti anyonya-praNaya-peSalAH pramadAnAm AlApa-kaTAH SRNvan KandarpaketuH-
   Makarandena samaṃ vismayam akaron manasi "aho bhavanānām atiśāyi	Makarandena samam vismayam akarot manasi "ahaH BavanAnAm atiSAyi
   saundaryam | aho śṛṅgāraracanākauśalam | tathā hi	sOndaryam | aho SRFgAra-racanA-kOSalam | taTA hi
   tatkālalīlādalitamālavīdaśanakāṇtikomalakāntadantaghaṭito maṇḍapaḥ | asāv	tad-kAla-lIlA-dalita-mAlavI-daSana-kANti-komala-kAnta-danta-GawitaH maNxapaH | asO=-
   api karpūraśalākānirmitayantrapañjarasaṃyataḥ krīḍāśuka" ityādi	api karpUra-SalAkA-nirmita-yantra-paQjara-saMyataH krIxA-Suka" ityAdi
   paricintayan praviśya vyākaraṇeneva saraktapādena, bhāraten(ev)a	paricintayan praviSya vyAkaraNena-iva sa-rakta-pAdena, BAraten(ev)a
   suparvaṇā, rāmāyaṇeneva sundarakāṇḍacāruṇā jaṅghāyugalena virājamānāṃ,	suparvaNA, rAmAyaNena-iva sundara-kANxa-cAruNA jaFGA-yugalena virAjamAnAM,
   chandovicitir iva bhrājamānatanumadhyāṃ, nakṣatravidyām iva	CandaH-vicitiH iva BrAjamAna-tanu-maDyAn, nakzatra-vidyAm iva
   gaṇanīyahastaśravaṇāṃ, nyāyasthitim ivodyotakarasvarūpāṃ, bauddhasaṅgītim	gaNanIya-hasta-SravaNAn, nyAya-sTitim iva-udyota-kara-svarUpAM, bOdDa-saFgItim
   ivālaṅkāraprasādhitāṃ, upaniṣadam iva sānandātmakam udyotayantīṃ,	iva-alaFkAra-prasADitAM, upanizadam iva sa-Ananda-Atmakam udyotayantIM,
   dvijakulasthitim iva cārucaraṇāṃ, vindhyagiriśriyam iva sunitambāṃ, tārām	dvija-kula-sTitim iva cAru-caraNAM, vinDya-giri-Sriyam iva su-nitambAn, tArAm
   iva gurukalatropaśobhitāṃ, śatakoṭimūrtim iva muṣṭigrāhyamadhyāṃ,	iva guru-kalatra-upaSoBitAM, Sata-kowi-mUrtim iva muzwi-grAhya-maDyAM,
   priyaṅguśyāmāsakhīm iva priyadarśanāṃ, brahmadattamahiṣīm iva somaprabhāṃ,	priyaFguSyAma-asaKIm iva priya-darSanAM, brahma-datta-mahizIm iva soma-praBAM,
   diggajakareṇukām ivānupamāṃ, velām iva tamālapatrasādhitāṃ, aśvatarakanyām	diggaja-kareNukAm iva-anupamAM, velAm iva tamAla-patra-sADitAM, aSvatara-kanyAm
   iva madālasāṃ Vāsavadattāṃ dadarśa |	iva mada-alasAm VAsavadattAm dadarSa |
   42) atha prītivisphāritena cakṣuṣā pibataḥ Kandarpaketor jahāra cetanāṃ	42) aTa prIti-visPAritena cakzuzA pibataH Kandarpa-ketoH jahAra cetanAm
   mūrcchāvegaḥ | tam api paśyantī Vāsavadattā mumūrccha | atha	mUrcCA-vegaH | tam api paSyantI VAsavadattA mumUrcCa | aTa
   Makarandasakhījanaprayatnalabdhasaṃjñau tau ekāsanam alaṃcakratuḥ | tato	Makaranda-saKI-jana-prayatna-labDa-saMjQO tO eka-Asanam alaMcakratuH | tatas-
