   caturthaḥ paricchedaḥ	caturTaH paricCedaH
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   atrādye mukhāyārthasyārthāntare saṃkramaṇaṃ praveśaḥ, na tu tirobhāvaḥ /	atra-Adye muKAya-arTasya-arTa-antare saMkramaNam praveSaH, na tu tiroBAvaH /
   ata evātrājahatsvārthā lakṣaṇā /	atas eva-atra-ajahatsva-arTAH lakzaNA /
   dvitīye tu svārthasyātyantaṃ tiraskṛtatvājjahatsvārthā /	dvitIye tu sva-arTasya-atyantam tiraskRta-tvAt-jahatsva-arTAH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ña)	(vi, Qa)
   itthamavivakṣitavācyadhvanerarthāntarasaṃkramitavācyatvātyantatiraskṛtavācyatvena	itTam-avivakzita-vAcya-DvaneH-arTa-antara-saMkramita-vAcya-tva-atyanta-tiraskRta-vAcya-tvena
   dvaividhyamuktvā tadudāhṛtasya ca ādyasyārthāntarasaṃkramitavācyasya	dvEviDyam-uktvA tat-udAhRtasya ca Adyasya-arTa-antara-saMkramita-vAcyasya
   tādṛśaparibhāṣāyā bījamāha--atrādye iti /	tAdRSa-pariBAzAyAH bIjamAha--atra-Adye iti /
        arthāntare śakyatāvacchedakārthāntare 'vacchedakāntare	arTa-antare Sakya-tA-avacCedaka-arTa-antare avacCedaka-antare
   śakyatāvacchedakarūpeṇa bodhanamityarthaḥ , na tu tirobhāvaḥ natu	Sakya-tA-avacCedaka-rUpeNa boDanam-iti-arTaH , na tu tiroBAvaH na-tu
   abodhanamityarthaḥ /	aboDanam-iti-arTaH /
        ata eveti svārthaṃ svāśrayaśabdasya mukhyārthamajahatī upasthāpayantī	atas eva-iti sva-arTam sva-ASraya-Sabdasya muKya-arTam-ajahatI upasTApayantI
   ajahatsvārthā (rājadantādisamāsasiddha) naca kadalī kadalītyādau	ajahatsva-arTAH (rAja-danta-Adi-samAsa-sidDa) na-ca kadalI kadalI-ityAdO
   prathamakadalīpadenaiva sadalyā upasthitau tatra lakṣyārthasya jaḍatāyā	praTama-kadalI-padena-eva sa-dalyAH upasTitO tatra lakzya-arTasya jaxatAyAH-
   abhedānvayasambhave kimarthaṃ kadalyaṃśe lakṣaṇeti vācyam,	aBeda-anvaya-samBave kimarTam kadalI-aMSe lakzaNa-iti vAcyam,
   lakṣyatāvacchedakajaḍatvāśrayatvena tena rūpeṇa tadupasthāpanasya	lakzya-tAvacCedaka-jaxa-tva-ASraya-tvena tena rUpeNa tad-upasTApanasya
   anivāryatvāt /	anivArya-tvAt /
        dvitīye tviti--atyantatiraskṛtavācye ityarthaḥ /	dvitIye tu-iti--atyanta-tiraskRta-vAcye iti-arTaH /
        atyantatiraskṛtatvāt kenāpi rūpeṇābodhitatvāt jahatsvārthā, uktarūpaṃ	atyanta-tiraskRta-tvAt kena-api rUpeNa-AboDita-tvAt jahatsva-arTA, ukta-rUpam
   svārthaṃ jahatī anupasthāpayantī /	sva-arTam jahatI anupasTApayantI /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   vivakṣitābhidheyo 'pi dvibhedaḥ prathamaṃ mataḥ /	vivakzita-aBiDeyaH api dvi-BedaH praTamam mataH /
   asaṃlakṣyakramo yatra vyaṅgyo lakṣyakramastathā // VisSd_4.4 //	asaMlakzya-kramaH yatra vyaFgyaH lakzya-kramaH-taTA // VisSd-_4.4 //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṭa) vivakṣitānyaparavācyasyāpi prathamaṃ	(vi, wa) vivakzitAni-apara-vAcyasya-api praTamam
   bhedadvayamāha---vivakṣitābhidheyopīti---vivakṣitavācya ityarthaḥ /	Beda-dvayam-Aha----vivakzita-aBiDeya-upIti-----vivakzita-vAcyaH iti-arTaH /
        prathamamiti paścāttūbhayorapi prabhedabāhulyasya vakṣyamāṇatvāt /	praTamam-iti paScAt-tu-uBayoH-api praBeda-bAhulyasya vakzyamANa-tvAt /
        taddvaividhyamāha /	tat-dvEviDyam-Aha /
        asaṃlakṣyeti---vyaṅgyo yatra asaṃlakṣyakramaḥ	asaMlakzya-iti---vyaFgyaH yatra asaMlakzya-kramaH
   apariceyajñānotpattikramaḥ, vācyajñānāntaraṃ vyaṅgyajñānaṃ jāyate iti	apariceya-jQAna-utpatti-kramaH, vAcya-jQAna-antaram vyaFgya-jQAnam jAyate iti
   kramo yatra apariceya iti bhāvaḥ /	kramaH yatra apariceyaH iti BAvaH /
        rasabhāvādīnām atyantāsvādyatayā śīghrabodhyatvena	rasa-BAva-AdInAm atyanta-Asu-Adya-tayA SIGra-boDya-tvena
   utpalapatraśatabhedanasyeva kramāparicayāt /	utpala-patra-Sata-Bedanasya-iva krama-aparicayAt /
        aparo vastvalaṅkārarūpo vyaṅgyastu lakṣyakramaḥ /	aparaH vastu-alaFkAra-rUpaH vyaFgyaH-tu lakzya-kramaH /
        tadjñānotpattikramasya lakṣaṇīyatvāt /	tad-jQAna-utpatti-kramasya lakzaNIya-tvAt /
        Locanā:	LocanA:
        (lo, ai) vivikṣitābhidheya ityasyārthaḥ vivakṣitānyaparavācyo	(lo, E) vivikzita-aBiDeyaH iti-asya-arTaH vivakzitAni-apara-vAcyaH-
   dhvaniriti /	DvaniH-iti /
        tatra ca rasavati kāvye	tatra ca rasavati kAvye
   jhaṭityāsvādaparyantagamanādvastvalaṅkārarūpavyaṅgyayorapi pratītirna	Jawiti-AsvAda-paryanta-gamanAt-vastu-alaFkAra-rUpa-vyaFgyayoH-api pratItiH-na
   vilambitā, nīrase tu pratītivilambāttatsājātyena	vilambitA, nIrase tu pratIti-vilambAt-tat-sAjAtyena
   salakṣyakramavyaṅgyavyavahāraḥ /	sa-lakzya-krama-vyaFgya-vyavahAraH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   vivakṣitānyaparavācyo 'pi dhvanirasaṃlakṣyakramavyaṅgyaḥ	vivakzitAni-apara-vAcyaH api DvaniH-asaMlakzya-krama-vyaFgyaH
   saṃlakṣyakramavyaṅgyaśceti dvividhaḥ /	saMlakzya-krama-vyaFgyaH-ca-iti dviviDaH /
   tatrādyo rasabhāvādireka evātra gaṇyate /	tatra-AdyaH rasa-BAva-AdirekaH eva-atra gaNyate /
   eko 'pi bhedo 'nantatvāt saṃkhyeyastasya naiva yat // VisSd_4.5 //	ekaH api BedaH ananta-tvAt saMKyeyaH-tasya na-eva yat // VisSd-_4.5 //
   uktasvarūpo bhāvādirasaṃlakṣyakramavyaṅgyaḥ /	ukta-svarUpaH BAva-AdiH-asaMlakzya-krama-vyaFgyaH /
   atra vyaṅgyapratītervibhāvādipratitikāraṇatvāt kramo 'vaśyamasti	atra vyaFgya-pratIteH-viBAva-Adi-pratitikAraNa-tvAt kramaH avaSyam-asti
   kintūtpalapatraśatavyatibhedavallāghavānna saṃlakṣyate /	kintu-utpala-patra-Sata-vyatiBedavallAGavAt-na saMlakzyate /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṭha) ādyaḥ asaṃlakṣyakramaḥ /	(vi, Wa) AdyaH asaMlakzya-kramaH /
        vibhāvādipratītikāraṇakatvāditi /	viBAva-Adi-pratIti-kAraNaka-tvAt-iti /
        pratyekaṃ tat pratītikāraṇakatvādityarthaḥ /	pratyekam tat pratIti-kAraNaka-tvAt-iti-arTaH /
        "pratīyamānaḥ prathamaṃ pratyekaṃ heturucyate"ityuktatvāt /	"pratIyamAnaH praTamam pratyekam hetuH-ucyate"-iti-ukta-tvAt /
        "tat samūhālambanapratītistu rasa eva"ityuktatvācca /	"tat samUha-Alambana-pratItiH-tu rasaH eva"-iti-ukta-tvAt-ca /
        lāghavāt śīghrapratītikatvāt /	lAGavAt SIGra-pratItika-tvAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   eṣu rasādiṣu ca ekasyāpi	ezu rasa-Adizu ca ekasya-api
   bhesyānantatvātsaṃkhyātumaśakyatvādasaṃlakṣyakramavyaṅgyadhvanirnāma	Besya-ananta-tvAt-saMKyAtuma-Sakya-tvAt-asaMlakzya-krama-vyaFgI-aDvaniH-nAma
   kāvyamekabhedamevoktam /	kAvyam-eka-Bedam-eva-uktam /
   tathāhi---ekasyaiva "śṛṅgārasyaiko 'pi saṃbhogarūpo bhedaḥ	taTA-hi---ekasya-eva "SRFgArasya-ekaH api saMBoga-rUpaH BedaH
   parasparāliṅganādharapānacumbanādibhedāt pratyekaṃ ca	paraspara-AliFgana-aDara-pAna-cumbana-Adi-BedAt pratyekam ca
   nibhāvādivaicitryātsaṃkhāyatumaśkyaḥ, kā gaṇanā sarveṣām /	niBAva-Adi-vEcitryAt-saMKAyatum-aSkyaH, kA gaNanA sarvezAm /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ḍa) eko 'pi bheda ityādikaṃ vyācaṣṭe--eṣu ceti /	(vi, xa) ekaH api BedaH iti-Adikam vyAcazwe--ezu ca-iti /
        ekabhedamevetiasaṃlakṣyakramatvamekamupādhimāśritya iti śeṣaḥ /	eka-Bedam-eva-itia-saMlakzya-krama-tvam-ekam-upADim-ASritya iti SezaH /
        vibhāvānubhāvabhedābhedagaṇane anantatvam, taddarśayati---tathāhīti /	viBAva-anuBAva-Beda-aBeda-gaNane ananta-tvam, tat-darSayati---taTA-ahi-iti /
        vibhāvādivaicitryaṃ kanyāmadhyāpragalbhatvādibhedena	viBAva-Adi-vEcitryam kanyA-maDya-apragalBa-tva-Adi-Bedena
   uttamamadhyamādhamatvabhedena vaicitryaṃ bodhyam /	uttama-maDyama-aDama-tva-Bedena vEcitryam boDyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   śabdārthobhayaśaktyutthe vyaṅkye 'nusvānasannibhe /	Sabda-arTa-uBaya-Sakti-utTe vyaFkye anusvAna-sanniBe /
   dhvanirlakṣyakramavyaṅgyastrividhaḥ kathito budhaiḥ // VisSd_4.6 //	DvaniH-lakzya-krama-vyaFgyaH-triviDaH kaTitaH buDEH // VisSd-_4.6 //
   kramalakṣyatvādevānuraṇanarūpo yo vyaṅgyastasya śabdaśaktyudbhavatvena,	krama-lakzya-tvAt-eva-anuraNana-rUpaH yaH vyaFgyaH-tasya Sabda-Sakti-udBava-tvena,
   arthaśaktyudbhavatvena śabdārthaśaktyudbhavatvena ca	arTa-Sakti-udBava-tvena Sabda-arTa-Sakti-udBava-tvena ca
   traividhyātsaṃlakṣyakramavyaṅgyanāmnodhvaneḥ kāvyasyāpi traividhyam /	trEviDyAt-saMlakzya-krama-vyaFgya-nAmnA-uDvaneH kAvyasya-api trEviDyam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ḍha) lakṣyakramavyaṅgyadhvaniṃ	(vi, Xa) lakzya-krama-vyaFgi-a-Dvanim
   vibhajati---śabdārthobhayeti--tatra anusvānasānnebha iti yaduktaṃ tad	viBajati-----Sabda-arTa-uBayA-iti---tatra anusvAnasA-anna-iBaH iti yat-uktam tat-
   vyācaṣṭe---kramalakṣyatvādevānuraṇanarūpa iti /	vyAcazwe---krama-lakzya-tvAt-eva-anuraNana-rUpaH iti /
        anuraṇanaṃ pratidhvaniḥ /	anuraNanam pratiDvaniH /
        sa hi prathamadhvaneranantaraṃ jāyate tadutpattikramaśca lakṣyate tat	sa hi praTama-DvaneH-anantaram jAyate tad-utpatti-kramaH-ca lakzyate tat-
   tulyo yo vyaṅgyastasya traividhyaṃ vyācaṣṭe---tasya śabdaśaktyudbhavatvena	tulyaH yaH vyaFgyaH-tasya trEviDyam vyAcazwe---tasya Sabda-Sakti-udBava-tvena
   iti /	iti /
        śabdasya arthasya ca śaktiḥ sāmarthyam /	Sabdasya arTasya ca SaktiH sAmarTyam /
        na tu abhidhārūpā vṛttiḥ tayā vyaṅgyābodhanāt arthasya tadabhāvācca /	na tu aBiDA-rUpA vRttiH tayA vyaFgyA-boDanAt arTasya tad-aBAvAt-ca /
        tena sāmarthyaina udbhava utpannaviṣayatā yasya	tena sAmarTya-ena udBavaH utpanna-vizaya-tA yasya
   tādṛśavyaṅgyasyetyarthaḥ /	tAdRSa-vyaFgyasya-iti-arTaH /
        tat traividhyāt tatsambandhena saṃlakṣyakramavyaṅgyanāmno	tat trEviDyAt tad-sambanDena saMlakzya-krama-vyaFgya-nAmnaH-
   dhvanikāvyasya traividhyamityarthaḥ /	Dvani-kAvyasya trEviDyam-iti-arTaH /
        Locanā:	LocanA:
        (lo, o) saṃlakṣyakamavyaṅgyabhedānāha---śabdārtheti /	(lo, o) saMlakzyakam-avyaFgi-aBeda-AnAha-----Sabda-arTA-iti /
        anusvāneti kārikāpadasyārthaṃ vivṛṇoti---anuraṇanamiti /	anusvAna-iti kArikA-padasya-arTam vivRNoti---anuraNanam-iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   tatra---	tatra---
   vastvalaṅkārarūpatvācchabdaśaktyudbhavodvidhā /	vastu-alaFkAra-rUpa-tvAt-Sabda-Sakti-udBava-udviDA /
   alaṅkāraśabdasya pṛthagupādānādanalaṅkāraṃ vastumātraṃ gṛhyate /	alaFkAra-Sabdasya pRTak-upAdAnAt-analaFkAram vastu-mAtram gRhyate /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Locanā:	LocanA:
        ( lo, au) analaṅkaraṇaṃ vaiciñyamātrarāhitam /	( lo, O) analaFkaraNam vEciQya-mAtra-rAhitam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   tatra vasturūpaḥ śabdaśaktyudbhavo vyaṅgyo yathā---	tatra vastu-rUpaH Sabda-Sakti-udBavaH vyaFgyaH yaTA---
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṇa) tatra kāvyasya śaktyutthatvaprayojakaṃ śabdaśaktyudbhavaṃ	(vi, Na) tatra kAvyasya Sakti-utTa-tva-prayojakam Sabda-Sakti-udBavam
   vyaṅgyaṃ dvidhā vibhajati---tatra vastvalaṅkārarūpatvāditi /	vyaFgyam dviDA viBajati---tatra vastu-alaFkAra-rUpa-tvAt-iti /
        pṛthak upādānāditi vastutvasya kevalānvayitvena alaṅkārasyāpi	pRTak upAdAnAt-iti vastu-tvasya kevala-anvayitvena alaFkArasya-api
   vastutvāt /	vastu-tvAt /
        tathā ca govṛṣanyāyāt vastupadasyālaṅkārabhinnavastuparatāṃ	taTA ca go-vRza-nyAyAt vastu-padasya-alaFkAra-Binna-vastu-para-tAm
   vyācaṣṭe---alaṅkaraṇamiti /	vyAcazwe---alaFkaraNam-iti /
        alaṅkāraṇamalaṅkāraḥ tadbhinnamityarthaḥ /	alaFkAraNam-alaFkAraH tat-Binnam-iti-arTaH /
        analaṅkāra iti bahupustakeṣu pāṭhaḥ tallokhakapramādādeva /	analaFkAraH iti bahu-pustakezu pAWaH tad-loKaka-pramAdAt-eva /
        alaṅkāraśabdasya puṃliṅgatvena tasya nañ tatpuruṣe liṅgatyāgābhāvāt /	alaFkAra-Sabdasya puMliFga-tvena tasya nan tatpuruze liFga-tyAga-aBAvAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   panthi a ! ṇa ettha sattharamatthi maṇaṃ pattharatthale gāme /	panTi a ! NaH etTa satTaramatTi maNam patTa-ratTale gAme /
   uṇṇaa paoharaṃ pekkhia ūṇa jai vasati tā vasasu //	uNNaa paoharam pekKia UNa jE vasati tAH vasasu //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Locanā:	LocanA:
        (lo, a) strastaraṃ-tṛṇādiśayyā /	(lo, a) strastaraM-tRNa-Adi-SayyA /
        prastarāḥ pāṣāṇāḥ /	prastarAH pAzANAH /
        payodharaḥ meghaḥ /	payoDaraH meGaH /
        vyaṅgyapakṣe strastaraṃ śāstraṃ satyanuśāsakam /	vyaFgya-pakze strastaram SAstram sati-anuSAsakam /
        unnatapayodharāṃ māmityarthaḥ /	unnata-payoDarAm mAm-iti-arTaH /
        na ceha strastaraśabdasya śāstrārthatvena upamādhvaniḥ;	na ca-iha strastara-Sabdasya SAstra-arTa-tvena upamA-DvaniH;
   sādṛśyasyāvivakṣitatvāt /	sAdRSyasya-avivakzita-tvAt /
        rahasyasaṃgopanārthameva hi hyarthaprayogaḥ /	rahasya-saMgopanA-arTam-eva hi hi-arTa-prayogaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   atra sattharādiśabdaśaktyā yadyupabhogakṣamo 'si tadāssveti vastu vyajyate	atra satTara-Adi-Sabda-SaktyA yadi-upaBoga-kzamaH asi tadAssva-iti vastu vyajyate
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ta) panthia ṇa ettheti-- "pathika nātra strastaramasti manāk	(vi, ta) panTia NaH etTA-iti- "paTika na-atra strastaram-asti manAk-
   prastarasthale grāme /	prastara-sTale grAme /
        unnatapayodharaṃ prekṣya yadi vasasi tadvasa" //	unnata-payoDaram prekzya yadi vasasi tad-vasa" //
        iti saṃskṛtam /	iti saMskRtam /
        nivāsārthinaṃ pathikaṃ prati svayaṃ-dūtyā uktiriyam /	nivAsa-arTinam paTikam prati svayaM-dUtyE uktiH-iyam /
        he pathika ! prastarasthale 'tra grāme manāk svalpamapi strastaraṃ	he paTikaH ! prastara-sTale atra grAme manAk su-alpam-api strastaram
   śayanīyāstaraṇaṃ nāsti /	SayanIya-AstaraNam na-asti /
        prastara evaṃ vayaṃ svamipa iti bhāvaḥ /	prastaraH evam vayam svam-ipaH iti BAvaH /
        manāgityatrāpi artho 'dhyāhāryaḥ /	manAgiti-atra-api arTaH aDyAhAryaH /
        unnatamudbhūtaṃ payodharaṃ meghaṃ prekṣya gamanapratibandhāt yadi	unnatam-udBUtam payoDaram meGam prekzya gamana-pratibanDAt yadi
   vastumicchasi tadā vasa iti āpātato bhāvārthaḥ /	vastum-icCasi tadA vasaH iti ApAtatas BAva-arTaH /
        ata śabdaśaktyutthaṃ gūḍhaṃ vyaṅgyārtha darśayati---atreti /	atas Sabda-Sakti-utTam gUXam vyaFgya-arTa darSayati----atra-iti /
        prākṛtaśliṣṭasya strattharaśabdasya śāstramapyarthaḥ /	prAkRta-Slizwasya stratTara-Sabdasya SAstram-api-arTaH /
        prakaraṇaniyantraṇavaśāt sor'tho vyaṅgyastathā ca "paradārānna	prakaraNa-niyantraNa-vaSAt sor-aTo vyaFgyaH-taTA ca "para-dArAn-na
   gacchedi ti smṛtyādiśāstraṃ nāsti ityarthaḥ /	gacCedi ti smRti-Adi-SAstram na-asti iti-arTaH /
        iti ādipadāt prastarasthalapayodharapadayorapi parigrahaḥ /	iti Adi-padAt prastara-sTala-payoDara-padayoH-api parigrahaH /
        tathā hi śayyāvirahāt prastarasthaṃ strījanaṃ puruṣo lātiratyarthaṃ	taTA hi SayyA-virahAt prastara-sTam strI-janam puruzaH lAtiH-atyarTam
   gṛhṇāti iti prastarasthalaḥ tatra ityarthena uttuṅgastanadarśanena ca"	gRhNAti iti prastara-sTalaH tatra iti-arTena uttuFga-stana-darSanena ca"
   yadyupabhogakṣametyādi"vyañjanāt paramparayā śabdaśaktimūlatā /	yadi-upaBoga-kzamA-ityAdi"vyaQjanAt paramparayA Sabda-Sakti-mUla-tA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   alaṅkārarūpo yathā--"durgālaṅghitavigrahaḥ" ityādau (59 pṛdṛ) atra	alaFkAra-rUpaH yaTA--"durgA-laFGita-vigrahaH" ityAdO (59 pRdR) atra
   prākaraṇikasya umānāmamahādevī-vallabha-bhānudevanāma-nṛpatervarṇane	prAkaraNikasya umAna-Am-amahAdevI--vallaBa-BAnu-deva-nAma-nRpateH-varNane
   dvitīyārthasūcitamaprāraṇikasya pārvatīvallabhasya varṇanamasambanaddhaṃ	dvitIya-arTa-sUcitam-aprAraNikasya pArvatI-vallaBasya varNa-nama-samba-nadDam
   mā prasaṅkṣīditi īśvarabhānudevayorupamānopameyabhāvaḥ kalpyate tadatra	mA prasaFkzIt-iti ISvara-BAnu-devayoH-upamAna-upameya-BAvaH kalpyate tat-atra
   umāvallabha umāvallabha ivetyupamālaṅkāro vyaṅgyaḥ /	umA-vallaBaH umA-vallaBaH iva-iti-upamA-alaFkAraH vyaFgyaH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, tha) śabdaśaktyudbhavopamālaṅkāravyañjanāmāha---durgālaṅghiteti	(vi, Ta) Sabda-Sakti-udBava-upama-alaFkAra-vyaQjanAmAha----durga-alaFGitA-iti
        vyākhyātamidam /	vyAKyAtam-idam /
        dvitīyārthaḥ pārvatyādiḥ tena sūcitaṃ pārvatīvallabhasya	dvitIya-arTaH pArvati-AdiH tena sUcitam pArvatI-vallaBasya
   varṇṇanamityarthaḥ /	varNNanam-iti-arTaH /
        mā prasāṅkṣīditi--prasaktaṃ mābhūdityarthaḥ /	mA prasAFkzIt-iti---prasaktam mA-aBUt-iti-arTaH /
        tatprasaktau kaverunmattatāpatteḥ /	tad-prasaktO kaveH-unmatta-tA-ApatteH /
        ataḥ kaverīśvarabhānudavayorupamānopameyabhāve tātparyyāt	atas kaverISvara-BAnu-davayoH-upamAna-upameya-BAve tAtparyyAt-
   upamānopameyabhāvaḥ kalpyate saṃvyajyate ityarthaḥ /	upamAna-upameya-BAvaH kalpyate saMvyajyate iti-arTaH /
        sa eva ca upamālaṅkāraḥ /	saH eva ca upamA-alaFkAraH /
        taṃ vyaṅgyaṃ viśadayitvā darśayatitadatreti /	tam vyaFgyam viSadayitvA darSayati-tat-atra-iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yathā vā---	yaTA vA---
   "amitaḥ samitaḥ prāptairutkarṣairharṣada ! prabho ! /	"amitaH samitaH prAptEH-utkarzEH-harza-da ! praBo ! /
   ahitaḥ sahitaḥ sādhu yaśobhirasatāmasi" //	ahitaH sahitaH sADu yaSoBirasa-tAm-asi" //
   atrāmita ityādāvapiśabdābhāvādvirodhābhāso vyaṅgyaḥ /	atra-amite iti-AdO=-api-Sabda-aBAvAt-viroDa-ABAsaH vyaFgyaH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, da) śabdaśaktyā vyaṅgyavirodhabhāsālaṅkāramāha--yathā vā---amita	(vi, da) Sabda-SaktyA vyaFgya-viroDa-BAsA-alaFkAram-Aha--yaTAH vA---amita
   iti /	iti /
        he harṣada prabho ! samitaḥ yuddhāt prāptaurutkarṣairamitaḥ	he harza-da praBo ! samitaH yudDAt prAptOH-utkarzEH-amitaH
   aparicchinnosi, utkarṣabāhulyāt tvaṃ kīdṛśaḥ asatāmahitaḥ śatruḥ	aparicCinna-usi, utkarza-bAhulyAt tvam kIdRSaH asatAm-ahitaH SatruH
   sādhuyaśobhiḥ sahitaḥ /	sADu-yaSoBiH sahitaH /
        atra amitaḥ parimāṇarahitaḥ samitaḥ parimāṇayuktaśceti /	atra amitaH parimANa-rahitaH samitaH parimANa-yuktaH-ca-iti /
        ahito hitaśūnyaḥ sahito hitayuktaśceti virodhaḥ /	ahitaH hita-SUnyaH sahitaH hita-yuktaH-ca-iti viroDaH /
        virodhasya vācakābhāvāt vyaṅgyatāmāha---atreti /	viroDasya vAcaka-aBAvAt vyaFgyatAm-Aha---atra-iti /
        Locanā:	LocanA:
        (lo, ā) āmiti iti /	(lo, A) Am-iti iti /
        samitaḥ saṃgramāt prāptaurutkarṣairaparimitaḥ, asatāmahitaḥ śuvuḥ /	samitaH saMgramAt prAptOH-utkarzEH-aparimitaH, asatAm-ahitaH SuvuH /
        mānaṃ bhitaṃ tena sahitaḥ /	mAnam Bitam tena sahitaH /
        hitena rahitaḥ kathaṃ tena yukta iti virodhaḥ /	hitena rahitaH kaTam tena yuktaH iti viroDaH /
        apiśabdābhāvāditi /	api-Sabda-aBAvAt-iti /
        apiśabdasadbhāve"kupatimapi kalatravallabhamityādau apiśabdabalāt	api-Sabda-sadBAve"-kupatim-api kalatra-vallaBam-ityAdO api-Sabda-balAt-
   jhaṭiti viruddhārtha evābhāsate /	Jawiti virudDa-arTaH eva-aBAsate /
        anyathā apiśabdasya nirarthakatāpatteḥ /	anyaTA api-Sabdasya nirarTaka-tA-ApatteH /
        amita ityādau tu aperabhāvāt prākaraṇikatayā prathamam aviruddhārtha	amitaH iti-AdO tu apeH-aBAvAt prAkaraNika-tayA praTamam avirudDa-arTa
   eva pratibhāsate /	eva pratiBAsate /
        anantaram amitaḥ sankathaṃ samiti iti virodhapratibhāsanād	anantaram amitaH san-kaTam samiti iti viroDa-pratiBAsanAt-
   virodhābhāso vyaṅgya iti /	viroDa-ABAsaH vyaFgyaH iti /
