   sāṃkhyasaptatiṭīkā jayamaṅgalā //	sAMKya-saptatiwIkA jaya-maFgalAH //
   sāmānyatodṛṣṭam- sāmānyena liṅgaliṅgidṛṣṭatvāt / yathā devadattasya	sAmAnyatodRzwam sAmAnyena liFga-liFgi-dRzwa-tvAt / yaTA devadattasya
   gatipūrvikā deśāntaraprāptirdṛṣṭā, tathā sūryādīnāṃ sāmānyena	gati-pUrvikA deSa-antara-prAptiH-dRzwA, taTA sUrya-AdInAm sAmAnyena
   deśāntaraprāptyā gatiranumīyate //	deSa-antara-prAptyA gatiH-anumIyate //
   'talliṅgaliṅgipūrvakam'; iti / trividhamanumānam / kadācilliṅgapūrvakaṃ	atalliFga-liFgi-pUrvakam-a; iti / triviDam-anumAnam / kadAcid-liFga-pUrvakam
   kadācilliṅgipūrvakaṃ loke dṛśyate / tadyathā- śrāvyeṇa virutena	kadAcid-liFgi-pUrvakam loke dRSyate / tat-yaTA SrAvyeNa virutena
   kadācitkokilo 'numīyate, kadācitkokilaṃ liṅginaṃ dṛṣṭvā śrāvyeṇāpi	kadAcid-kokilaH anumIyate, kadAcid-kokilam liFginam dRzwvA SrAvyeNa-api
   virutenāsya bhavitavyamiti tayorgamyagamakatvaṃ sati sambandhe /	virutena-asya Bavitavyam-iti tayoH-gamyagamaka-tvam sati sambanDe /
   sambandhāśca sapta- tatra svasvāmibhāvasambandho yathā rājapuruṣayoḥ	sambanDAH-ca sapta tatra sva-svAmi-BAva-sambanDaH yaTA rAja-puruzayoH
   kadācitpuruṣeṇa rājā rājñā vā puruṣaḥ / evaṃ prakṛtivikārasambandho yathā	kadAcid-puruzeNa rAjA rAjQA vA puruzaH / evam prakRti-vikAra-sambanDaH yaTA
   yavasaktoḥ / kāryakāraṇasambandho yathā dhenuvatsayoḥ /	yava-saktoH / kArya-kAraNa-sambanDaH yaTA Denu-vatsayoH /
   pātrapātrikasambandho yathā parivṛṭtriviṣṭabdhayoḥ / sāhacaryasambandho	pAtra-pAtrika-sambanDaH yaTA parivRwtri-vizwabDayoH / sAhacarya-sambanDaH-
   yathā cakravākayoḥ / pratidvandvisambandho yathā śītoṣṇayoḥ / tatraikasya	yaTA cakravAkayoH / pratidvandvi-sambanDaH yaTA SIta-uzNayoH / tatra-ekasya
   bhāve 'nyābhāvaḥ pratīyate / nimittanaimittikasambandho yathā	BAve anya-aBAvaH pratIyate / nimitta-nEmittika-sambanDaH yaTA
   bhojyabhojakayoriti / ebhissambandhaistrividhamanumānaṃ pramāṇanna lupyate	Bojya-BojakayoH-iti / eBissambanDEH-triviDam-anumAnam pramANan-na lupyate
   'āptaśrutirāptavacanaṃ ca'; iti / āptaḥ kṣīṇadoṣaḥ / yaccāhuḥ-	aApta-SrutiH-Apta-vacanam ca-a; iti / AptaH kzINa-dozaH / yat-ca-AhuH-
   svakarmaṇyabhiyukto yo rāgadveṣavivarjitaḥ /	sva-karmaNi-aBiyuktaH yaH rAga-dveza-vivarjitaH /
   nirvairaḥ pūjitaḥ sadbhirāpto jñeyaḥ sa tādṛśaḥ // iti //	nirvEraH pUjitaH sadBiH-AptaH jQeyaH sa tAdRSaH // iti //
   āptebhyo yā śrutiparamparayā śrutirāgatā āptavacanam, tairdṛṣṭo 'numito	ApteByaH yA Sruti-paramparayA SrutiH-AgatAH Apta-vacanam, tEH-dRzwaH anumitaH-
   vārthaḥ, paratra svabodhasadṛśabodhāntarotpattaye śabdenopadiśyate /	vA-arTaH, paratra sva-boDa-sadRSa-boDa-antara-utpattaye Sabdena-upadiSyate /
   yadanyavacanaṃ so na plavate (?) / caśabdo 'numānena	yat-anya-vacanam saH na plavate (?) / caSabdaH anumAnena
   tulyakakṣyatvakhyāpanārthaḥ / yathā trikālamaviṣayamanmānaṃ	tulya-kakzya-tva-KyApana-arTaH / yaTA tri-kAlam-avizayamat-mAnam
   tathāptavananamapīti // 5 //	taTA-Apta-vananam-api-iti // 5 //
   kārikā 6	kArikA 6
   eṣāṃ trayāṇāṃ kaḥ kasya viṣaya ityata āha-	ezAm trayANAm kaH kasya vizayaH iti-atas Aha-
   sāmānyatastu dṛṣṭādatīndriyāṇāmpratītiranumānāt /	sAmAnyatas-tu dRzwAt-ati-indriyANAm-pratItiH-anumAnAt /
   tasmādapi cāsiddhaṃ parokṣamāptāgamāt siddham // ISk_6 //	tasmAt-api ca-asidDam parokzam-Apta-AgamAt sidDam // ISc-_6 //
   'sāmānyatastu'; ityādi / trividhaṃ prameyam- pratyakṣm, parokṣam,	asAmAnyatas-tu-a; ityAdi / triviDam prameyam pratyakzm, parokzam,
   atyantaparokṣaṃ ceti / tatra yatsāmānyatodṛṣṭamanumānaṃ tasmādatīndriyāṇāṃ	atyanta-parokzam ca-iti / tatra yat-sAmAnyatodRzwam-anumAnam tasmAt-atIndriyANAm
   parokṣāṇāṃ prasiddhirasti / tanniścayaḥ, teṣāṃ pratyakṣaviṣayatvāt /	parokzANAm prasidDiH-asti / tad-niScayaH, tezAm pratyakza-vizaya-tvAt /
   pūrvavaccheṣavatostvamanumānayorbhaviṣyadbhūtārthavṛttitvādvarttamāneṣvatīndriyeṣu	pUrvavat-SezavatoH-tvam-anumAnayoH-Bavizyat-BUta-arTa-vRtti-tvAt-varttamAnezu-atIndriyezu
   ca pravṛttyasambhavaḥ //	ca pravRtti-asamBavaH //
   'tasmādapi cāsiddham'; iti / sāmānyatodṛṣṭādanumānādyadasiddhaṃ parokṣam,	atasmAt-api ca-asidDam-a; iti / sAmAnyatodRzwAt-anumAnAt-yat-asidDam parokzam,
   tadatyantaparokṣatvādāgamātsiddham / yathā svargāpavargāviti / pratyakṣe	tad-atyanta-parokza-tvAt-AgamAt-sidDam / yaTA svarga-apavargO=-iti / pratyakze
   tu prameye dṛṣṭameva vyāpriyata ityarthāduktam // 6 //	tu prameye dRzwam-eva vyApriyate iti-arTAt-uktam // 6 //
   kārikā 7	kArikA 7
   nanu ca 'vyaktāvyaktajñavijñānāt', vyaktaṃ tāvat pratyakṣānumānābhyāṃ	nanu ca avyakta-avyakta-jQa-vijQAnAt-a, vyaktam tAvat pratyakza-anumAnAByAm
   siddham, pradhānapuruṣayostu sarvadānupalambhāt kathaṃ siddhirnastayoriti	sidDam, praDAna-puruzayoH-tu sarvadA-anupalamBAt kaTam sidDiH-naH-tayoH-iti
   nānupalabdhimātreṇāsattvam / yataścaturbhiḥ prakāraiḥ satāmapi	na-anupalabDi-mAtreNa-asattvam / yatas-caturBiH prakArEH satAm-api
   padārthānāmupalabdhirbhavati /	padArTAnAm-upalabDiH-Bavati /
   deśadoṣādindriyadoṣādviṣayadoṣādarthāntaradoṣācca / tāneva bhedena	deSa-dozAt-indriya-dozAt-vizaya-dozAt-arTa-antara-dozAt-ca / tAn-eva Bedena
   darśayannāha-	darSayan=-Aha-
   atidūrātsāmīpyādindriyaghātānmano 'navasthānāt /	ati-dUrAt-sAmIpyAt-indriya-GAtAt-manaH anavasTAnAt /
   saukṣmyādvyavadhānādabhibhavātsamānābhihārācca // ISk_7 //	sOkzmyAt-vyavaDAnAt-aBiBavAt-samAna-aBihArAt-ca // ISc-_7 //
   'atidūrāt'; ityādi / yathā dūramutpatitasya pakṣiṇo nopalabdhiḥ //	aati-dUrAt-a; ityAdi / yaTA dUram-utpatitasya pakziNaH na-upalabDiH //
   'sāmīpyāt'; iti / atiśabdo 'trāpi yojanīyaḥ / atisāmīpyāditi / yathā	asAm-IpyAt-a; iti / ati-SabdaH atra-api yojanIyaH / atisAmIpyAt-iti / yaTA
   cakṣuḥsthasyāñjanasya / ubhayatrāpi deśadoṣakṛtānupalabdhiḥ //	cakzuH-sTasya-aQjanasya / uBayatra-api deSa-doza-kRta-anupalabDiH //
   'indriyaghātāt'; iti / śrotrādīnāṃ buddhīndriyāṇāṃ	aindriya-GAtAt-a; iti / Srotra-AdInAm budDIndriyANAm
   doṣādyogyadeśāvasthitānāmapi śabdādīnāmanupalabdhiḥ //	dozAt-yogya-deSa-avasTitAnAm-api Sabda-AdInAm-anupalabDiH //
   'mano 'navasthānāt'; iti / manaso 'navasthānamasamāhitatā,	amanaH anavasTAnAt-a; iti / manasaH anavasTAnam-asamAhita-tA,
   viṣayāntarapravṛttatvāt / tataścānupahatendriye 'pi sannihitaṃ viṣayaṃ	vizaya-antara-pravRtta-tvAt / tatas-ca-anupahata-indriye api sannihitam vizayam
   nopalabhate / ubhayatrāpīndriyadoṣādanupalabdhiḥ / manaso 'pīndriyatvād	na-upalaBate / uBayatra-api-indriya-dozAt-anupalabDiH / manasaH api-indriya-tvAt-
   bhedenopādānaṃ tu manasaḥ prādhānyārtham //	Bedena-upAdAnam tu manasaH prADAnya-arTam //
   'saukṣmyāt'; iti / viṣayadoṣāt / viṣaya eva paramāṇvādistathā,	asOkzmyAt-a; iti / vizaya-dozAt / vizayaH eva paramANu-AdiH-taTA,
   yenāvyagramanasā 'pyanupahatendriyeṇa nopalabhyate //	yena-avyagra-manasA api-anupahata-indriyeNa na-upalaByate //
   'vyavadhānāt'; iti / yavanikādibhistirodhānāt sthūlā apyavikṛṣṭā ghaṭādayo	avyavaDAnAt-a; iti / yavanikA-AdiBiH-tiroDAnAt sTUlAH api-avikRzwA Gawa-AdayaH-
   nopalabhyante //	na-upalaByante //
   'abhibhavāt'; iti / ādityaprabhābhibhūtatvāt divā tārakā nopalabhyante //	aaBiBavAt-a; iti / Aditya-praBA-aBiBUta-tvAt divA tArakAH na-upalaByante //
   'samānābhihārācca'; iti / sadṛśānāṃ rāśīkaraṇāt dhānyarāśau hyeko	asamAna-aBihArAt-ca-a; iti / sadRSAnAm rASIkaraNAt DAnya-rASO hi-ekaH-
   dhānyaguḍakaḥ prakṣipto na dṛśyate / triṣvapyarthāntaradoṣādanupalabdhiḥ /	DAnya-guxakaH prakziptaH na dRSyate / trizu-api-arTa-antara-dozAt-anupalabDiH /
   natveta anupalabhyamānā na santi // 7 //	na-tveta anupalaByamAnAH na santi // 7 //
   kārikā 8	kArikA 8
   yadyevaṃ kena prakāreṇa satorapi pradhānapuruṣayoranupalabdhirityāha-	yadi-evam kena prakAreNa satoH-api praDAna-puruzayoH-anupalabDiH-iti-Aha-
   saukṣmyāttadanupalabdhirnābhāvāt kāryatastadupalabdheḥ /	sOkzmyAt-tad-anupalabDiH-na-aBAvAt kAryataH-tad-upalabDeH /
   mahadādi tacca kāryaṃ prakṛtisarūpaṃ virūpaṃ ca // ISk_8 //	mahat-Adi tat-ca kAryam prakRti-sarUpam virUpam ca // ISc-_8 //
   'saukṣmyāttadanupalabdhiḥ'; ityādi / prakārāntarābhāvāt sūkṣmatvātsatorapi	asOkzmyAt-tad-anupalabDiH-a; ityAdi / prakAra-antara-aBAvAt sUkzma-tvAt-satoH-api
   tayoranupalabdhiḥ / nanvabhāvādeva kasmādanupalabdhirna bhavati / yathā	tayoH-anupalabDiH / nanu-aBAvAt-eva kasmAt-anupalabDiH-na Bavati / yaTA
   ghaṭasyotpatteḥ prāk mṛt śarādiṣu.... tasya pradhvaṃsābhāvāt, gavi	Gawasya-utpatteH prAk mRd Sara-Adizu.... tasya praDvaMsa-aBAvAt, gavi
   vāśvatvasyāśvatve vā gotvasyetaretarābhāvāt, vandhyāsutasya	vA-aSvatvasya-aSva-tve vA go-tvasya-itara-itara-aBAvAt, vanDyA-sutasya
   vātyantābhāvādityāha- 'nābhāvāt'; iti / caturvidhādityarthaḥ //	vA-atyanta-aBAvAt-iti-Aha anABAvAt-a; iti / caturviDAt-iti-arTaH //
   yadyevaṃ kathaṃ tau sta iti gamyata ityāha- 'kāryatastadupalabdheḥ'; iti /	yadi-evam kaTam tO staH iti gamyate iti-Aha akAryataH-tad-upalabDeH-a; iti /
   yadyapyatrobhayaṃ prakrāntaṃ tathāpi tacchabdena pradhānaṃ nirdiśyate /	yadi-api-atra-uBayam prakrAntam taTA-api tad-Sabdena praDAnam nirdiSyate /
   pradhānasyāstitvapratipattiḥ kāryādityarthaḥ / puruṣasyāstitvapratipattau	praDAnasya-astitva-pratipattiH kAryAt-iti-arTaH / puruzasya-astitva-pratipattO
   hetuṃ vakṣyati //	hetum vakzyati //
   kiṃ tatkāryamityāha- 'mahadādi tacca kāryam'; iti / mahān buddhiḥ sa	kim tat-kAryam-iti-Aha amahat-Adi tat-ca kAryam-a; iti / mahAn budDiH sa
   ādiryasya tanmahadādibhūtaparyantaṃ kāryamasti / tat pradhānam, yasyedaṃ	AdiH-yasya tat-mahat-Adi-BUta-paryantam kAryam-asti / tat praDAnam, yasya-idam
   mahadādikāryaṃ vyaktam, akāraṇasya kāryasyānutpādāt //	mahat-Adi-kAryam vyaktam, akAraNasya kAryasya-anutpAdAt //
   'prakṛtisarūpaṃ virūpaṃ ca'; iti / tadvyaktaṃ prakṛteḥ pradhānasya	aprakRti-sarUpam virUpam ca-a; iti / tad-vyaktam prakRteH praDAnasya
   sadṛśamasadṛśaṃ cetyarthaḥ / etaduttaratra yojayiṣyate // 8 //	sadRSam-asadRSam ca-iti-arTaH / etat-uttaratra yojayizyate // 8 //
   kārikā 9	kArikA 9
   tatkāryaṃ kāraṇādutpadyamānaṃ sadutpadyate, kimasat, kiṃ vā sadasaditi?	tat-kAryam kAraNAt-utpadyamAnam sat-utpadyate, kim-asat, kim vA sat-asat-iti?
   tatra viruddhadharmādhyāsitatvātsadasannopapadyate / asaditi vaiśeṣikāḥ /	tatra virudDa-Darma-aDyAsita-tvAt-sadasat-na-upapadyate / asat-iti vESezikAH /
   atra dūṣaṇamāha-	atra dUzaNam-Aha-
   asadakaraṇādupādānagrahaṇāt sarvasambhavābhāvāt /	asat-akaraNAt-upAdAna-grahaNAt sarva-samBava-aBAvAt /
   śktasya śakyakaraṇāt, kāraṇabhāvācca satkāryam // ISk_9 //	Sktasya Sakya-karaNa-at, kAraNa-BAvAt-ca satkAryam // ISc-_9 //
   'asadakaraṇāt'; ityādi / iha loke asataḥ karaṇaṃ nāsti, yathā	aasat-akaraNAt-a; ityAdi / iha loke asataH karaNam nAsti, yaTA
   śaśaviṣāṇādīnām / yadeva sat ghaṭādidravyaṃ tadeva mṛtpiṇḍādinā	SaSa-vizANa-AdInAm / yat-eva sat Gawa-Adi-dravyam tat-eva mRd-piNxa-AdinA
   kāraṇaviśeṣeṇa kriyate, nāsat //	kAraNa-viSezeNa kriyate, na-asat //
   'upādānagrahaṇāt'; iti / iha yadarthaṃ yadupādīyate tasya tadupādānaṃ	aupAdAna-grahaNAt-a; iti / iha yad-arTam yat-upAdIyate tasya tad-upAdAnam
   kāraṇam, yathā tailasya tilāḥ, dadhnaḥ kṣīram / atra tailaṃ dadhi ca yadi	kAraNam, yaTA tElasya tilAH, daDnaH kzIram / atra tElam daDi ca yadi
   na syāt kathaṃ tasyopādānasya grahaṇaṃ tadarthibhiḥ kriyate /	na syAt kaTam tasya-upAdAnasya grahaNam tad-arTiBiH kriyate /
   tasmādupādānasaṃgrahāt sadeva kāryam / anyathā sikatāsalilayorapi grahaṇaṃ	tasmAt-upAdAna-saMgrahAt sat-eva kAryam / anyaTA sikatA-salilayoH-api grahaNam
   syāt //	syAt //
   'sarvasambhavābhāvāt'; iti / yadyasatkāryaṃ bhavet tadā sarvasya sarvatra	asarva-samBava-aBAvAt-a; iti / yadi-asat-kAryam Bavet tadA sarvasya sarvatra
   sambhavaḥ syāt / na caivam / tasmātsadeva kāryam //	samBavaH syAt / na ca-evam / tasmAt-sat-eva kAryam //
   'śaktasya śakyakaraṇāt'; iti śaktaṃ kāraṇaṃ nāśaktamityevamapyavagantavyam	aSaktasya Sakya-karaNAt-a; iti Saktam kAraNam na-aSaktam-iti-evam-api-avagantavyam
   / anyathopahataśaktarbījāṅkurotpattiprasaṅgaḥ / śaktaśca ko	/ anyaTA-upahata-Saktar-bIja-aFkura-utpatti-prasaFgaH / SaktaH-ca kaH-
   bhavitumarhati, yaḥ śaktimān / tasya śaktimataḥ śakyasya karaṇāt,	Bavitum-arhati, yaH SaktimAn / tasya SaktimataH Sakyasya karaNAt-,
   śakanīyasya kāryasyotpādanādityarthaḥ / evaṃ ca tacchakanīyaṃ yadi kāraṇe	SakanIyasya kAryasya-utpAdanAt-iti-arTaH / evam ca tat-SakanIyam yadi kAraNe
   śaktirūpeṇāvasthitaṃ syāt / tasmātsadevotpadyate nāsat //	Sakti-rUpeNa-avasTitam syAt / tasmAt-sadeva-utpadyate na-asat //
   'kāraṇabhāvācca'; iti / kāraṇasya sattvādityarthaḥ /	akAraNa-BAvAt-ca-a; iti / kAraNasya sattvAt-iti-arTaH /
   yadyasatkāryamutpadyate kimiti kāraṇabhāvena kāryasya bhāvo bhavati /	yadi-asat-kAryam-utpadyate kim-iti kAraNa-BAvena kAryasya BAvaH Bavati /
   bhavati ca / tasmācchaktirūpeṇāvasthitamiti gamyate / athavā-	Bavati ca / tasmAt-Sakti-rUpeNa-avasTitam-iti gamyate / aTavA-
   kāraṇabhāvāditi kāraṇasvabhāvāt / yatsvabhāvaṃ kāraṇaṃ tatsvabhāvaṃ	kAraNa-BAvAt-iti kAraNa-svaBAvAt / yat-svaBAvam kAraNam tad-svaBAvam
   kāryam, yathā snigdhasvabhāvastilebhyaḥ snigdhameva tailam, mṛto	kAryam, yaTA snigDa-svaBAvaH-tileByaH snigDam-eva tElam, mRtaH-
   mṛtsvabhāvo ghaṭaḥ / yadyasatkāryaṃ syāt, asatsvabhāvebhyo	mRd-svaBAvaH GawaH / yadi-asat-kAryam syAt, asat-svaBAveByaH-
   hyutpādyetetyevaṃ sāṃkhyānāṃ sadevotpadyata iti siddhāntaḥ // 9 //	hi-utpAdyeta-iti-evam sAMKyAnAm sa-deva-utpadyate iti sidDAntaH // 9 //
   kārikā 10	kArikA 10
   evaṃ mahadādikāryaṃ sadevotpadyata iti vyavasthāpya prakṛtevirūpaṃ sarūpaṃ	evam mahat-Adi-kAryam sa-deva-utpadyate iti vyavasTApya prakRtevirUpam sarUpam
   ca darśayati / tatra prakṛtervirūpamadhikṛtyāha-	ca darSayati / tatra prakRteH-virUpam-aDikRtya-Aha-
   hetumadanityamavyāpi sakriyamanekamāśritaṃ liṅgam /	hetu-mada-nityam-avyApi sa-kriyam-anekam-ASritam liFgam /
   sāvayavaṃ paratantraṃ vyaktaṃ, viparītamavyaktam // ISk_10 //	sa-avayavam paratantram vyaktaM, viparItam-avyaktam // ISc-_10 //
   'hetumat'; ityādi / vyaktaṃ mahadādibhūtaparyantam / avyaktaṃ pradhānaṃ	ahetumat-a; ityAdi / vyaktam mahat-Adi-BUta-paryantam / avyaktam praDAnam
   tatra vyaktaṃ hetumat, yathāsvaṃ kāraṇebhya utpadyamānatvāt / tatra	tatra vyaktam hetumat, yaTAsvam kAraNeByaH utpadyamAna-tvAt / tatra
   pradhānādutpadyamāno mahān hetumān, mahato 'haṅkāro hetumān,	praDAnAt-utpadyamAnaH mahAn hetumAn, mahataH ahaFkAraH hetumAn,
   ahaṅkārāttanmātrāṇyekādaśendriyāṇyutpadyamānāni hetumanti ca,	ahaFkArAt-tanmAtrANi-ekAdaSa-indriyANi-utpadyamAnAni hetumanti ca,
   tanmātrebhyaśca mahābhūtāni hetumanti /	tanmAtreByaH-ca mahABUtAni hetumanti /
   viparītamavyaktamahetumadityarthaḥ, tasyānyataḥ kutaścidanutpādāt / nahi	viparItam-avyaktam-ahetum-at-iti-arTaH, tasya-anyatas kutaScid-anutpAdAt / na-hi
   pradhānākiṃcidaparamasti yatastadutpadyate //	praDAna-akiMcid-aparam-asti yatas-tat-utpadyate //
   anityaṃ vyaktam, kāraṇebhya utpannatvāt ghaṭādivat / kāraṇāni ca	anityam vyaktam, kAraNeByaH utpanna-tvAt Gawa-Adi-vat / kAraNAni ca
   prāguktānyeva / viparītamavyaktaṃ nityamityarthaḥ, kutaścidanutpannatvāt	prAk-uktAni-eva / viparItam-avyaktam nityam-iti-arTaH, kutaScid-anutpanna-tvAt
   avyāpi vyaktaṃ prādeśikamityarthaḥ / daivaṃ mānuṣaṃ tairyagyonaṃ ca,	avyApi vyaktam prAdeSikam-iti-arTaH / dEvam mAnuzam tEryagyonam ca,
   tadānīmanyatrāvartamānatvāt / sarvagataṃ viparītamavyaktaṃ vyāpītyarthaḥ,	tadAnIm-anyatra-AvartamAna-tvAt / sarva-gatam viparItam-avyaktam vyApi-iti-arTaH,
   devādiṣu triṣu lokeṣu sarvadā vartamānatvāt /	deva-Adizu trizu lokezu sarvadA vartamAna-tvAt /
   'sakriyam'; iti / kriyāśabdenātra saṃsaraṇamabhipretam, na kriyāmātram /	asa-kriyam-a; iti / kriyA-Sabdena-atra saMsaraNam-aBipretam, na kriyA-mAtram /
   mahadādisūkṣmaparyantaṃ vyaktaṃ devādi saṃsaratītyarthaḥ /	mahat-Adi-sUkzma-paryantam vyaktam deva-Adi saMsarati-iti-arTaH /
   viparītamavyaktam, asaṃsāri / triṣu lokeṣu sthitatvānna saṃsarati / na	viparItam-avyaktam, asaMsAri / trizu lokezu sTita-tvAt-na saMsarati / na
   punaḥ kriyaiva nāstīti niṣkriyam, tasya jagatkartṛtvāt //	punar kriyA-eva na-asti-iti nizkriyam, tasya jagat-kartR-tvAt //
   anekaṃ vyaktam, mahadādibhūtaparyantatāyāstrayoviṃśatiprakāratvāt /	anekam vyaktam, mahat-Adi-BUta-paryanta-tAyAH-trayoviMSati-prakAra-tvAt /
   viparītaṃ vyaktam, trayāṇāṃ lokānāṃ tasyaikasya kāraṇatvāt //	viparItam vyaktam, trayANAm lokAnAm tasya-ekasya kAraNa-tvAt //
   'āśritam'; iti / yadyasmādutpannaṃ mahadādi vyaktaṃ tadeva tadāśritaṃ	aASritam-a; iti / yadi-asmAt-utpannam mahat-Adi vyaktam tat-eva tad-ASritam
   nānyat / utpannamanyadāśritamiti darśanārthaṃ vacanam, anyathā	na-anyat / utpannam-anyat-ASritam-iti darSana-arTam vacanam, anyaTA
   hetumadityanenaivāśritaṃ siddhameva / viparītamavyaktam, anāśritam / tato	hetumat-iti-anena-eva-ASritam sidDam-eva / viparItam-avyaktam, anASritam / tatas-
   'nyasya kāraṇasyābhāvāt //	anyasya kAraNasya-aBAvAt //
   'liṅgam'; iti / liṅgyate 'nenāvyaktamiti liṅgam / viparītamavyaktam, na	aliFgam-a; iti / liFgyate anena-avyaktam-iti liFgam / viparItam-avyaktam, na
   liṅgyate kiñcidaneneti / athavā layaṃ gacchatīti liṅgam /	liFgyate kiQcid-anena-iti / aTavA layam gacCati-iti liFgam /
   pralayakāle hyākāśādayaḥ pañca yathākramaṃ śabdāditanmātreṣu līyante,	pralaya-kAle hi-AkASa-AdayaH paQca yaTAkramam Sabda-Adi-tanmAtrezu lIyante,
   tanmātrāṇīndriyāṇi cāhaṅkāre, ahaṅkāro mahati, mahānpradhāna iti /	tanmAtrANi-indriyANi ca-ahaFkAre, ahaFkAraH mahati, mahAn-praDAnaH iti /
   viparītamavyaktam, na kutracididaṃ līyate, ahetutvāt //	viparItam-avyaktam, na kutracid-idam lIyate, ahetu-tvAt //
   'sāvayavam'; iti / śabdādayo 'vayavā ucyante / tairādhyātmikaṃ bāhyaṃ ca	asO=-ayavam-a; iti / Sabda-AdayaH avayavAH ucyante / tEH-ADyAtmikam bAhyam ca
   vyaktaṃ yuktam / viparītamavyaktam, tairayuktatvāt //	vyaktam yuktam / viparItam-avyaktam, tEH-ayukta-tvAt //
   paratantram / na svatantram / yadasmādutpadyate tadevānuruddhya svakāryaṃ	paratantram / na svatantram / yat-asmAt-utpadyate tat-eva-anurudDya sva-kAryam
   janayati na tadvyatirekeṇeti darśanārtham / anyathā hetumadityanenaiva	janayati na tad-vyatirekeNa-iti darSana-arTam / anyaTA hetumat-iti-anena-eva
   paratantratvaṃ prasiddhameva / viparītamavyaktam, svatantraṃ na	paratantra-tvam prasidDam-eva / viparItam-avyaktam, svatantram na
   kiṃcidapekṣate // 10 //	kiMcid-apekzate // 10 //
   kārikā 11	kArikA 11
   sārūpyamadhikṛtyāha-	sArUpyam-aDikRtya-Aha-
   triguṇamaviveki viṣayaḥ sāmānyamacetanamprasavadharmi /	triguNam-aviveki vizayaH sAmAnyam-acetanamprasava-Darmi /
   vyaktaṃ, tathā pradhānam, tadviparītastathā ca pumān // ISk_11 //	vyaktaM, taTA praDAnam, tad-viparItaH-taTA ca pumAn // ISc-_11 //
   'triguṇam'; ityādi / trayassattvādayo guṇā yasya tattriguṇaṃ vyaktam /	atriguNam-a; ityAdi / trayassattva-AdayaH guNAH yasya tat-triguNam vyaktam /
   tathā pradhānamapi triguṇaṃ tatsvabhāvatvāt //	taTA praDAnam-api triguNam tad-svaBAva-tvAt //
   'aviveki'; iti / avivecanaśīlaṃ vyaktam, acetanatvāt / yadvā	aaviveki-a; iti / avivecana-SIlam vyaktam, acetana-tvAt / yat-vA
   guṇebhyastasya pṛthaktvābhāvādaviveki / tathā pradhānamapi //	guNeByaH-tasya pRTaktva-aBAvAt-aviveki / taTA praDAnam-api //
   sāmānyaṃ vyaktam, sarvapuruṣopabhogyatvānmalladāsīvat / tathā pradhānamapi	sAmAnyam vyaktam, sarva-puruza-upaBogya-tvAt-malla-dAsI-vat / taTA praDAnam-api
   acetanaṃ vyaktam, sukhaduḥkhamohānna vedayatītyarthaḥ / tathā pradhānamapi	acetanam vyaktam, suKa-duHKa-mohAt-na vedayati-iti-arTaH / taTA praDAnam-api
   'prasavadharmi'; iti / prasavo dharmo 'syāstīti prasavadharmi vyaktam /	aprasava-Darmi-a; iti / prasavaH DarmaH asya-asti-iti prasava-Darmi vyaktam /
   tathā pradhānamapi / dvayorapi prasavadharmitvam //	taTA praDAnam-api / dvayoH-api prasava-Darmi-tvam //
   tathā ca pradhānānmahān, mahato 'ṅkāra ityādinā	taTA ca praDAnAt-mahAn, mahataH aFkAraH ityAdinA
   svakāryotpādanadharmatvādyathā vyaktāvyaktayorvairūpyaṃ sārūpyaṃ ca, tathā	sva-kArya-utpAdana-Darma-tvAt-yaTA vyakta-avyaktayoH-vErUpyam sArUpyam ca, taTA
   kiṃ puruṣasya vāpītyāha- 'tadviparītastathā ca pumān'; iti /	kim puruzasya vA-api-iti-Aha atad-viparItaH-taTA ca pumAn-a; iti /
   vyaktāvyaktābhyāṃ kaiściddharmairvilakṣaṇa ityarthaḥ //	vyakta-avyaktAByAm kEScid-DarmEH-vilakzaNaH iti-arTaH //
   atra pūrvasyā āryāyā artho yojyate / hetumadvyaktam, ahetumadavyaktam /	atra pUrvasyAH AryAyAH arTaH yojyate / hetumat-vyaktam, ahetumat-avyaktam /
   puruṣo 'pyahetumān, tasya kutaścidanutpādāt //	puruzaH api-ahetumAn, tasya kutaScid-anutpAdAt //
   anityaṃ vyaktam, nityamavyaktam / puruṣo nityaḥ, kutaścidanutpannatvāt //	anityam vyaktam, nityam-avyaktam / puruzaH nityaH, kutaScid-anutpanna-tvAt //
   avyāpi vyaktam, vyāpyavyaktam / puruṣo 'pi vyāpī yadā prakṛtyā muktaḥ /	avyApi vyaktam, vyApi-avyaktam / puruzaH api vyApI yadA prakRtyA muktaH /
   yuktaścet, vyaktena sadṛśo na pradhānena / hi sarvadā devādiṣu pravartate	yuktaH-cet, vyaktena sadRSaH na praDAnena / hi sarvadA deva-Adizu pravartate
   sakriyaṃ vyaktam, niṣkriyamavyaktam, asaṃsāritvāt / puruṣo 'pi niṣkriyaḥ,	sa-kriyam vyaktam, nizkriyam-avyaktam, asaMsAri-tvAt / puruzaH api nizkriyaH,
   kartṛtvābhāvāt //	kartR-tva-aBAvAt //
