   caturtha uddyotaḥ	caturTaH uddyotaH
   saptamasarga iti śeṣaḥ /	saptamasargaH iti SezaH /
   te varṇanaprakārāḥ na ca bhāsanta iti sambandhaḥ /	te varNana-prakArAH na ca BAsantaH iti sambanDaH /
   'tasya kaveri'ti /	atasya kaveri-ati /
   kālidāsasyāpi kaverityarthaḥ /	kAli-dAsasya-api kaveH-iti-arTaH /
   'ṇaa' ityādeḥ chāyāṃ darśayati locane---na cetyādi /	aNaa-a ityAdeH CAyAm darSayati locane---na ca-ityAdi /
   priyāṇāṃ vibhramāḥ kathamapi punaruktā na dṛśyanta	priyANAm viBramAH kaTam-api punaruktAH na dRSyanta
   ityetadvivṛṇoti--bahuvallabha ityādi /	iti-etat-vivRNoti---bahu-vallaBaH ityAdi /
   tadā vibhramapaunaruktyaṃ na paśyatīti sambandhaḥ /	tadA viBrama-pOnaruktyam na paSyati-iti sambanDaH /
   tadā paribhogakāle /	tadA pariBoga-kAle /
   yadāhetu māghakaviriti śeṣaḥ /	yadA-hetu mAGa-kaviH-iti SezaH /
   ca prasthānaṃ kavivyutpattaye viṣamabāṇalīlāyāṃ saprapañcaṃ darśitam /	ca prasTAnam kavi-vyutpattaye vizama-bANa-lIlAyAm sa-prapaQcam darSitam /
   cetanānāṃ ca bālyādyavasthābhiranyatvaṃ satkavīnāṃ prasiddhameva /	cetanAnAm ca bAlya-Adi-avasTABiH-anya-tvam sat-kavInAm prasidDam-eva /
   cetanānāmavasthābhede 'pyavāntarāvasthābhedānnānātvam /	cetanAnAm-avasTA-Bede api-avAntara-avasTA-BedAt-nAnAtvam /
   yathā kumārīṇāṃ kusumaśarabhinnahṛdayānāmanyāsāṃ ca /	yaTA kumArINAm kusuma-Sara-Binna-hRdayAnAm-anyAsAm ca /
   tatrāpi vinītānāmavinītānāṃ ca /	tatra-api vinItAnAm-avinItAnAm ca /
   acetanānāṃ ca bhāvānāmārambhādyavasthābhedabhinnānāmekaikaśaḥ	acetanAnAm ca BAvAnAm-AramBa-Adi-avasTA-Beda-BinnAnAm-ekEkaSas-
   svarūpamupanibadhyamānamānantyamevopayāti /	svarUpam-upanibaDyamAnam-Anantyam-eva-upayAti /
   yathā--- haṃsānāṃ ninadeṣu yaiḥ kavalitairāsajyate kūjatā- manyaḥ ko 'pi	yaTA-- haMsAnAm ninadezu yEH kavalitEH-Asajyate kUjatA manyaH kaH api
   kaṣāyakaṇṭhaluṭhanādāghargharo vibhramaḥ /	kazAya-kaNWa-luWa-nAda-aGarGaraH viBramaH /
   te sampratyakaṭhoravāraṇavaghūdantāṅkuraspardhino niryātāḥ kamalākareṣu	te samprati-akaWora-vAraNa-vaGU-danta-aFkura-sparDinaH niryAtAH kamala-Akarezu
   bisinīkandāgrimagranthayaḥ // //	bisinI-kanda-agrima-granTayaH // //
   evamanyatrāpi diśānayānusartavyam /	evam-anyatra-api diSAnaya-anusartavyam /
   locanam kṣaṇe kṣaṇe yannavatāmupaiti tadeva rūpaṃ ramaṇīyatāyā iti /	locanam kzaNe kzaNe yat-navatAm-upEti tat-eva rUpam ramaNIya-tAyAH iti /
   priyāṇāmiti cāsaṃsāraṃ pravahadrūparo yo 'yaṃ kāntānāṃ vibhramaviśeṣaḥ sa	priyANAm-iti ca-asaMsAram pravahat-rUparaH yaH ayam kAntAnAm viBrama-viSezaH sa
   navanava eva dṛśyate /	nava-navaH eva dRSyate /
   na hyasāvagnicayanādivadanyataśśikṣitaḥ, yena tatsādṛśyātpunaruktatāṃ	na hi-asO=-agni-cayana-Adi-vat-anyatas-SikzitaH, yena tad-sAdRSyAt-punarukta-tAm
   gacchet /	gacCet /
   api tu nisargodbhidyamānamadanāṅkuravikāsamātrantaditi navanavatvam /	api tu nisarga-udBidyamAna-madana-aFkura-vikAsa-mAtrantat-iti nava-nava-tvam /
   tadvatparakīyaśikṣānapekṣanijapratibhāguṇaniṣyandabhūtaḥ kāvyārtha iti	tadvat-parakIya-SikzA-anapekza-nija-pratiBA-guNa-nizyanda-BUtaH kAvya-arTaH iti
   bhāvaḥ /	BAvaH /
   bālapriyā priyāṇāṃ vibhramā ityanena gamyamarthamāha---priyāṇāmiti cetyādi	bAla-priyA priyANAm viBramAH iti-anena gamyam-arTam-Aha----priyANAm-iti ca-ityAdi
   na hītyādi /	na hi-ityAdi /
   asau vibhramaviśeṣaḥ /	asO viBrama-viSezaH /
   yathā agnicayanamanyataśśikṣyate tathā śikṣito netyarthaḥ /	yaTA agni-cayanam-anyatas-Sikzyate taTA SikzitaH na-iti-arTaH /
   yeneti /	yena-iti /
   anyataśśikṣitatvenetyarthaḥ /	anyatas-Sikzita-tvena-iti-arTaH /
   taditi /	tat-iti /
   vibhramaviśeṣa ityarthaḥ /	viBrama-viSezaH iti-arTaH /
   navanavatvamiti /	nava-nava-tvam-iti /
   tasyeti śeṣaḥ /	tasya-iti SezaH /
   'arthā vā sukavivāṇīnāmiti prakṛtaṃ vivṛṇoti---tadvadityādi /	aarTAH vA sukavi-vANInAm-iti prakRtam vivRNoti----tadvat-ityAdi /
   tadvaditi /	tadvat-iti /
   tena tulyo bhavati navanavo bhavatītyarthaḥ /	tena tulyaH Bavati nava-navaH Bavati-iti-arTaH /
   vṛttau'cetanatatsvarūpāpekṣaye'ti /	vRttO-acetana-tad-svarUpa-apekzaye-ati /
   himavato varṇanamityanuṣajyate /	himavataH varNanam-iti-anuzajyate /
   'pradarśitaṃ tadi'ti /	apradarSitam tat-i-ati /
   varṇitaṃ tadityarthaḥ /	varNitam tat-iti-arTaH /
   'avasthābhede 'pī'ti /	aavasTA-Bede apI-ati /
   kaumārādiśarīrāvasthāyā bhedābhāve 'pītyarthaḥ /	kOmAra-Adi-SarIra-avasTAyAH Beda-aBAve api-iti-arTaH /
   'āntare'ti /	aAntare-ati /
   mānasiketyarthaḥ /	mAnasikA-iti-arTaH /
   'haṃsānām' iti /	ahaMsAnAm-a iti /
   'kabalitaiḥ' bhakṣitaiḥ /	akabalitEH-a BakzitEH /
   yaiḥ kūjatāṃ haṃsānāṃ ninadeṣu kaṣāyakaṇṭhaluṇṭhanādāghargharaḥ anyaḥ ko	yEH kUjatAm haMsAnAm ninadezu kazAya-kaNWa-luNWa-nAda-aGarGaraH anyaH ko
   'pi vibhramaḥ āsajyate āsaktaḥ kriyata ityādyanyayaḥ /	api viBramaH Asajyate AsaktaH kriyate iti-Adi-anyayaH /
   tacca yathāvasthitamapi tāvadupanibadhyamānamityatra tāvatpadaṃ locane	tat-ca yaTA-avasTitam-api tAvat-upanibaDyamAnam-iti-atra tAvat-padam locane
   vivṛṇoti--uttarakālantvityādi /	vivRNoti--uttara-kAlantu-ityAdi /
   deśabhedānnānatvamacetanānāṃ tāvat /	deSa-BedAn-nAna-tvam-acetanAnAm tAvat /
   yathā vāyūnāṃ nānādigdeśacāriṇāmanyeṣāmapi salilakusumādīnāṃ prasiddhameva	yaTA vAyUnAm nAnA-diS-deSa-cAriNAm-anyezAm-api salila-kusuma-AdInAm prasidDam-eva
   cetanānāmapi mānuṣapaśupakṣiprabhṛtīnāṃ grāmāraṇyasalilādisamedhitānāṃ	cetanAnAm-api mAnuza-paSu-pakzi-praBRtInAm grAma-araNya-salila-Adi-sameDitAnAm
   parasparaṃ mahānviśeṣaḥ samupalakṣyata eva /	parasparam mahAn-viSezaH samupalakzyate eva /
   sa ca vivicya yathāyathamupanibadhyamānastathaivāntyamāyāti /	sa ca vivicya yaTAyaTam-upanibaDyamAnaH-taTA-eva-antyam-AyAti /
   tathā hi---mānuṣāṇāmeva tāvaddigdeśādibhinnānāṃ ye vyavahāravyāpārādiṣu	taTA hi----mAnuzANAm-eva tAvat-diS-deSa-Adi-BinnAnAm ye vyavahAra-vyApAra-Adizu
   vicitrā viśeṣāsteṣāṃ kenāntaḥ śakyate gantum, viśeṣato yoṣitām /	vicitrAH viSezAH-tezAm kena-antar Sakyate gantum, viSezataH yozitAm /
   upanibadhyate ca tatsarvameva sukavibhiryathāpratibham /	upanibaDyate ca tat-sarvam-eva su-kaviBiH-yaTA-pratiBam /
   kālabhedācca nānātvam /	kAla-BedAt-ca nAnAtvam /
   yathartubhedāddigvyomasalilādīnāmacetanānām /	yaTA-Rtu-BedAt-diS-vyoma-salila-AdInAm-acetanAnAm /
   cetanānāṃ cautsukyādayaḥ kālaviśeṣāśrayiṇaḥ prasiddhā eva /	cetanAnAm ca-OtsukI-a-AdayaH kAla-viSeza-ASrayiNaH prasidDAH eva /
   svālakṣaṇyaprabhedācca sakalajagadgatānāṃ vastūnāṃ vinibandhanaṃ	svAlakzaNya-praBedAt-ca sakala-jagat-gatAnAm vastUnAm vinibanDanam
   prasiddhameva /	prasidDam-eva /
   tacca yathāvasthitamapi tāvadupanibadhyamānamanantatāmeva	tat-ca yaTA-avasTitam-api tAvat-upanibaDyamAnam-anantatAm-eva
   kāvyārthasyāpādayati /	kAvya-arTasya-ApAdayati /
   atra kecidācakṣarin---yathā sābhānyātmanā vastūni vācyatāṃ pratipadyante	atra kecid-Acakzarin---yaTA sa-ABAni-a-AtmanA vastUni vAcya-tAm pratipadyante
   na viśeṣātmanā; tāni hi svayamanubhūtānāṃ sukhādīnāṃ tannimittānāṃ ca	na viSeza-AtmanA; tAni hi svayam-anuBUtAnAm suKa-AdInAm tad-nimittAnAm ca
   svarūpamanyatrāropayadbhiḥ	svarUpam-anyatra-AropayadBiH
   svaparānubhūtarūpasāmānyamātrāśrayeṇopanibadhyante kavibhiḥ /	sva-para-anuBUta-rUpa-sAmAnya-mAtra-ASrayeNa-upanibaDyante kaviBiH /
   na hi tairatītamanāgataṃ vartamānañca aparicitādisvalakṣaṇaṃ yogibhiriva	na hi tEH-atItam-anAgatam vartam-AnaQca aparicita-Adi-sva-lakzaNam yogiBiH-iva
   pratyakṣīkrīyate; taccānubhāvyānubhavasāmānyaṃ sarvapratipattṛsādhāraṇaṃ	pratyakzIkrIyate; tat-ca-anuBAvya-anuBava-sAmAnyam sarva-pratipattR-sADAraNam
   parimitatvātpurātanānāmeva gocarībhūtam, tasyā viṣayatvānupapatteḥ /	parimita-tvAt-purAtanAnAm-eva gocarIBUtam, tasyAH vizaya-tva-anupapatteH /
   locanam tāvaditi /	locanam tAvat-iti /
   uttarakālantu vyaṅgyasparśanena vicitratāṃ parāṃ bhajatānnāma, tāvati tu	uttarakAlantu vyaFgya-sparSanena vicitra-tAm parAm BajatAn-nAma, tAvati tu
   svabhāvenaiva sā vicitreti tāvacchabdasyābhiprāyaḥ /	svaBAvena-eva sA vicitrA-iti tAvat-Sabdasya-aBiprAyaH /
   tannimittānāñceti /	tad-nimitta-anAQca-iti /
   ṛtumālyādīnām sveta /	Rtu-mAlya-AdInAm sveta /
   svānubhūtaparānubhūtānāṃ yatsāmānyaṃ tadeva viśeṣāntararahitantanmātraṃ	sva-anuBUta-para-anuBUtAnAm yat-sAmAnyam tat-eva viSeza-antara-rahi-tantanmAtram
   tasyāśrayeṇa /	tasya-ASrayeNa /
   na hi tairiti kavibhiḥ /	na hi tEH-iti kaviBiH /
   etaccātyantāsaṃbhāvanārthamuktam /	etat-ca-atyanta-asaMBAvanA-arTam-uktam /
   bālapriyā svaparānubhūtetyetat vyācaṣṭe---svānubhūtetyādi /	bAlapriyA sva-para-anuBUtA-iti-etat vyAcazwe---sva-anuBUta-ityAdi /
   mātraśabdārthavivaraṇam--viśeṣāntararahitamiti /	mAtra-Sabda-arTa-vivaraNa-m---viSeza-antara-rahitam-iti /
   vṛttau 'aparicitādisvalakṣaṇam' iti /	vRttO aaparicita-Adi-sva-lakzaNam-a iti /
   aparicitādīnāṃ vastūnāṃ svarūpamityarthaḥ /	aparicita-AdInAm vastUnAm sva-rUpam-iti-arTaH /
   etaccoktamiti sambandhaḥ /	etat-ca-uktam-iti sambanDaH /
   na hītyādi kathanaṃ cetyarthaḥ /	na hi-ityAdi kaTanam ca-iti-arTaH /
   'atyantāsambhāvanārtham' iti /	aatyantA-samBAvanA-arTam-a iti /
   atyantaṃyadasambhāvanaṃ vastūnāṃ viśeṣātmanā	atyantaMyada-samBAvanam vastUnAm viSeza-AtmanA
   pratipādanasambhavābhāvastadarthaṃ tatpratipattyarthamityarthaḥ /	pratipAdana-samBava-aBAvaH-tad-arTam tat-pratipatti-arTam-iti-arTaH /
   etadeva viśadayati---pratyakṣetyādi /	etat-eva viSada-yati-----pratyakza-ityAdi /
   ata eva sa prakāraviśeṣo yairadyatanairabhinavatvena pratīyate	atas eva sa prakAra-viSezaH yEH-adyatanEH-aBinava-tvena pratIyate
   teṣāmabhimāna mātrameva bhaṇitakṛtaṃ vaicitryamātramatrāstīti /	tezAm-aBimAna mAtram-eva BaNita-kRtam vEcitrya-mAtram-atra-asti-iti /
   tatrocyate--yattūktaṃ sāmānyamātrāśrayeṇa kāvyapravṛttistasya ca	tatra-ucyate--yat-tu-uktam sAmAnya-mAtra-ASrayeNa kAvya-pravRttiH-tasya ca
   parimitatvena prāgeva gocarīkṛtatvānnāsti navatvaṃ kāvyapravṛttistasya ca	parimita-tvena prAk-eva gocarIkRta-tvAt-na-asti nava-tvam kAvya-pravRttiH-tasya ca
   parimitatvena prāgeva gocarīkṛtatvānnāsti navatvaṃ kāvyavastūnāmiti,	parimita-tvena prAk-eva gocarIkRta-tvAt-na-asti nava-tvam kAvya-vastUnAm-iti,
   tadayuktam; yato yadi sāmānyamātramāśritya kāvyaṃ pravartate kiṅkṛtastarhi	tat-ayuktam; yatas yadi sAmAnya-mAtram-ASritya kAvyam pravartate kiFkRtaH-tarhi
   mahākavinibadhyamānānāṃ kāvyarthānāmatiśayaḥ /	mahAkavi-nibaDyamAnAnAm kAvyarTAnAm-atiSayaH /
   vālmikivyatiriktasyānyasya kavivyapadeśa eva vā sāmānyavyatiriktasyānyasya	vAlmiki-vyatiriktasya-anyasya kavi-vyapadeSaH eva vA sAmAnya-vyatiriktasya-anyasya
   kāvyārthasyabhāvāt, sāmānyasya cādikavinaiva pradarśitatvāt /	kAvya-arTasyaBAvAt, sAmAnyasya ca-Adi-kavinA-eva pradarSita-tvAt /
   uktivaicitryānnaiṣa doṣa iti cet--kimidumuktivaicitryam? uktirhi	ukti-vEcitryAt-na-eza dozaH iti cet---kimidu-mukti-vEcitryam? uktiH-hi
   vācyaviśeṣapratipādi vacanam /	vAcya-viSeza-pratipAdi vacanam /
   tadvaicitrye kathaṃ na vācyavaicitryam /	tad-vEcitrye kaTam na vAcya-vEcitryam /
   vācyavācakayoravanābhāvena pravṛtteḥ /	vAcya-vAca-kayoH-avana-aBAvena pravRtteH /
   locanam pratyakṣadarśane 'pi hi--- śabdāssaṃketitaṃ prāhurvyavahārāya sa	locanam pratyakza-darSane api hi-- SabdAssaMketitam prAhuH-vyavahArAya sa
   sbhṛtaḥ /	sBRtaH /
   tadā svalakṣaṇaṃ nāsti saṅketastena tatra naḥ // //	tadA sva-lakzaNam na-asti saFketaH-tena tatra naH // //
   ityādiyuktibhissāmānyameva spṛśyate /	ityAdi-yuktiBiH-sAmAnyam-eva spRSyate /
   kimiti /	kim-iti /
   asaṃvedyamānamarthapaunarukyaṃ kathaṃ prākaraṇikairaṅgīkāryamiti bhāvaḥ /	asaMvedyamAnam-arTa-pOna-rukyam kaTam prAkaraNikEH-aFgIkAryam-iti BAvaH /
   tameva prakaṭayata---na cediti /	tam-eva prakawayata---na ced-iti /
   uktirhīti /	uktiH-hi-iti /
   paryāyamātrataiva yadyuktiviśeṣastatparyāyāntarairavikalaṃ	paryAya-mAtra-tA-eva yat-yukti-viSezaH-tad-paryAya-antarEH-avikalam
   tadarthopanibandhe apaunaruktyābhimāno na bhavati /	tad-arTa-upanibanDe apOnaruktyA-aBimAnaH na Bavati /
   bālapriyā pratyakṣadarśane 'pīti /	bAla-priyA pratyakza-darSane api-iti /
   kavīnāṃ vastusvarūpapratyakṣadarśane satyapītyarthaḥ /	kavInAm vastu-svarUpa-pratyakza-darSane sati-api-iti-arTaH /
   spṛśyata iti /	spRSyate iti /
   kavivāceti śeṣa- /	kavi-vAca-iti Seza /
   vṛttau--'anubhāvye'ti /	vRttO---aanuBAvye-ati /
   anubhāvyānāmanubhavitavyānāṃ vastūnāmanubhavānāṃ ca yat sāmānyaṃ	anuBAvyAnAm-anuBavitavyAnAm vastUnAm-anuBavAnAm ca yat sAmAnyam
   sāmānyasvarūpamityarthaḥ /	sAmAnya-svarUpam-iti-arTaH /
   'tasye'ti /	atasye-ati /
   anubhāvyānubhāvasāmānyasyetyarthaḥ /	anuBAvya-anuBAva-sAmAnyasya-iti-arTaH /
   'aviṣayatve'ti /	aavizaya-tve-ati /
   purātanānāmityanuṣaṅgaḥ /	purAtanAnAm-iti-anuzaFgaH /
   'teṣām' iti /	atezAm-a iti /
   adyatanānāmityarthaḥ /	adyatanAnAm-iti-arTaH /
   ityabhimānamātrameveti sambandhaḥ /	iti-aBimAna-mAtram-eva-iti sambanDaH /
   'tatrocyata' ityasyānantaraṃ 'yattūktaṃ sāmānyamātrāśrayeṇa	atatra-ucyata-a iti-asya-anantaram ayat-tu-uktam sAmAnya-mAtra-ASrayeNa
   kāvyapravṛtti'rityādi pāṭhaḥ /	kAvya-pravRtti-ariti-Adi pAWaH /
   kvacidganthe tvasmāt pūrvaṃ 'yadi sāmānyamātrāśrayeṇa	kvacid-ganTe tu-asmAt pUrvam ayadi sAmAnya-mAtra-ASrayeNa
   kāvyapravṛttistatprarśitaprakāraṃ kāvyavaicitryamavasthādiviśeṣātkiṃ	kAvya-pravRttiH-tad-prarSita-prakAram kAvya-vEcitryam-avasTA-Adi-viSezAt-kim
   punaruktamevāstu na cettathā tatkarthaṃ na kāvyānantyam' ityapi pāṭhaḥ /	punaruktam-eva-astu na ced-taTA tat-karTam na kAvya-Anantyam-a iti-api pAWaH /
   tadasurodhī kimitītyādi na ceditītyanto locanagranthaḥ /	tat-asu-roDI kim-iti-ityAdi na ced-iti-iti-antaH locana-granTaH /
   'uktirhī'tyādigranthasya bhāvaṃ vivṛṇoti--paryāyetyādi /	auktiH-hI-atyAdi-granTasya BAvam vivRNoti---paryAya-ityAdi /
   paryāyamātrataiva śabdāntareṇa nirdeśa eva /	paryAya-mAtra-tA-eva Sabda-antareNa nirdeSaH eva /
   tat tarhi /	tat tarhi /
   avikalaṃ vaikalyaṃ vinā /	avikalam vEkalyam vinA /
   apaunaruktyābhimāno na bhavatīti /	apOnaruktyA-aBimAnaH na Bavati-iti /
   vācyānāṃ ca kāvye pratibhāsamānānāṃ yadrūpaṃ tattu grāhyaviśeṣābhedenaiva	vAcyAnAm ca kAvye pratiBA-samAnAnAm yat-rUpam tat-tu grAhya-viSeza-aBedena-eva
   pratīyate /	pratIyate /
   tenoktavaicitryavādinā vācyavaicitryamanicchatāpyavaśyamevābhyupagantavyam	tena-ukta-vEcitrya-vAdinA vAcya-vEcitryam-anicCatA-api-avaSyam-eva-aByupagantavyam
   tadayamatra saṅkṣepaḥ-- vālmīkavyatiriktasya yadyekasyāpi kasyacit /	tat-ayam-atra saFkzepaH- vAlmIka-vyatiriktasya yadi-ekasya-api kasyacid /
   iṣyate pratibhārtheṣu tattadānantyamakṣayam // //	izyate pratiBA-arTezu tat-tat-Anantyam-akzayam // //
   kiñca, uktivaicitryaṃ yatkāvyanavatve nibandhanamucyate	kiQca, ukti-vEcitryam yat-kAvyanava-tve nibanDanam-ucyate
   tadasmatpakṣānuguṇameva /	tat-asmad-pakza-anuguNam-eva /
   yato yāvānayaṃ kāvyārthānantyabhedahetuḥ prakāraḥ prāgdarśitaḥ sa sarva	yatas yAvAn-ayam kAvya-arTa-Anantya-Beda-hetuH prakAraH prAk-darSitaH sa sarva
   eva punaruktivaicitryāddviguṇatāmāpadyate /	eva punarukti-vEcitryAt-dviguNa-tAm-Apadyate /
   yaścāyamupamāśleṣādiralaṅkāravargaḥ locanam	yaH-ca-ayam-upama-ASleza-AdiH-alaFkAra-vargaH locanam
   tasmādviśiṣṭavācyapratapādakanaivokterviśeṣa iti bhāvaḥ /	tasmAt-viSizwa-vAcya-pratapAdakanA-eva-ukteH-viSezaH iti BAvaH /
   grāhyaviśeṣeti /	grAhya-viSeza-iti /
   grāhyaḥ pratyakṣādipramāṇairyo viśeṣaḥ tasya yo abhedaḥ /	grAhyaH pratyakza-Adi-pramANEH-yaH viSezaH tasya yaH aBedaH /
   tenāyamarthaḥ--padānāntāvatsāmānye vā tadvati vāpohe vā yatra kutrāpi	tena-ayam-arTaH--padAna-antAvat-sAmAnye vA tadvati vA-apohe vA yatra kutra-api
   vastuni samayaḥ, kimanena vādāntareṇa? vākyāttadviśeṣaḥ pratīyata iti	vastuni samayaH, kim-anena vAda-antareNa? vAkyAt-tad-viSezaH pratIyate iti
   kasyātra vādino vimatiḥ /	kasya-atra vAdinaH vimatiH /
   anvitābhidhānatadviparyayasaṃsargabhedādivākyārthapakṣeṣu sarvatra	anvita-aBiDAna-tad-viparyaya-saMsarga-Beda-Adi-vAkya-arTa-pakzezu sarvatra
   viśeṣasyāpratyākhyeyatvāt /	viSezasya-apratyAKyeya-tvAt /
   uktivaicitryañca na paryāyamātrakṛtamityuktam /	ukti-vEcitryaQca na paryAya-mAtra-kRtam-iti-uktam /
   anyattu yattatpratyutāsmākaṃ pakṣasādhakamityāha---kitrceti /	anyat-tu yat-tat-pratyuta-asmAkam pakza-sADakam-iti-Aha---kitH-ca-iti /
   punariti /	punar-iti /
   bhūya ityartha-. upamā hi nibha, pratim cchala, pratibimba, praticchāya,	BUyas iti-arTa-. upamA hi niBa, pratim cCala, pratibimba, praticCAya,
   tulya, sadṛśābhāsādibhirvicitrābhiruktibhirvicitrībhavatyeva /	tulya, sadRSa-ABAsa-AdiBiH-vicitrABiH-uktiBiH-vicitrIBavati-eva /
   vastuta etāsāmuktīnāmarthavaicitryasya vidyamānatvāt /	vastutas etAsA-muktInAm-arTa-vEcitryasya vidyamAna-tvAt /
   niyamena bhānayogāddhi nibhaśabdaḥ, bālapriyā kintu paunaruktyabuddhireva	niyamena BAna-yogAt-hi niBa-SabdaH, bAla-priyA kintu pOnarukti-abudDiH-eva
   bhavatītyarthaḥ /	Bavati-iti-arTaH /
   viśiṣṭavācyeti /	viSizwa-vAcyA-iti /
   vācyaviśeṣetyarthaḥ /	vAcya-viSeza-iti-arTaH /
   pratyakṣādipramāṇaiḥ grāhya iti sambandhaḥ /	pratyakza-Adi-pramANEH grAhyaH iti sambanDaH /
   tenāyamartha iti /	tena-ayam-arTaH iti /
   uktagranthena vakṣyamāṇo 'rthassidhyatītyarthaḥ /	ukta-granTena vakzyamANaH arTa-ssiDyati-iti-arTaH /
   mīmāṃsakādīnāṃ mate sāmānye vastuni, naiyāyikamate tadvati, bauddhamate	mImAMsaka-AdInAm mate sAmAnye vastuni, nEyAyika-mate tat-vati, bOdDa-mate
   apohe samayaḥ /	apohe samayaH /
   vādāntareṇavādaviśeṣeṇa /	vAda-antareNa-vAda-viSezeNa /
   tadviśeṣaḥ vastuviśeṣaḥ /	tad-viSezaH vastu-viSezaH /
   kasyātra vimatiḥ na kasyāpi /	kasya-atra vimatiH na kasya-api /
   atra hetumāha---anvitetyādi /	atra hetum-Aha----anvitA-ityAdi /
   anvitābhidhānādīnāṃ ye vākyārthatvapakṣāsteṣu sarveṣvapītyarthaḥ /	anvita-aBiDAna-AdInAm ye vAkya-arTa-tva-pakzAH-tezu sarvezu-api-iti-arTaH /
   viśeṣasyāpratyākhyeyatvāditi /	viSezasya-apratyAKyeya-tvAt-iti /
   pratītāviti śeṣaḥ /	pratItO=-iti SezaH /
   vastuviśeṣapratīteḥ pratyākhyātumaśakyatvādityarthaḥ /	vastu-viSeza-pratIteH pratyAKyAtum-aSakya-tvAt-iti-arTaH /
   punaruktivaicitryādityatratyapunaśśabdasya vyākhyānam---bhūya iti /	punarukti-vEcitrya-Aditi-atratyapunar-Sabdasya vyAKyAnam---BUya iti /
   'yaścāyam' ityādigranthasya bhāvārthavivaraṇam--upametyādi /	ayaH-ca-ayam-a ityAdi-granTasya BAva-arTa-vivaraNam---upamA-ityAdi /
   upamā hi vicitrībhavatyeveti sambandhaḥ /	upamA hi vicitrIBavati-eva-iti sambanDaH /
   nanu nibhapratimādiśabdānāṃ samānārthakatvāt kathaṃ ta citryamityata	nanu niBa-pratima-Adi-SabdAnAm samAna-arTaka-tvAt kaTam ta citryam-iti-ata
   āha---vastuta ityādi /	Aha---vastutas ityAdi /
   upasaṃharati---evamiti /	upasaMharati---evam-iti /
   taditi /	tat-iti /
   ralaṅkāravargaḥ prasiddha sa bhaṇitivaicitryādupanibadhyamānaḥ	ralaFkAra-vargaH prasidDa sa BaNiti-vEcitryAt-upanibaDyamAnaH
   svayamevānavadhirdhatte punaḥ śataśākhatām /	svayam-eva-anavaDiH-Datte punar Sata-SAKatAm /
   bhaṇitiśca svabhāṣābhedena vyavasthitā satī	BaNitiH-ca sva-BAzA-Bedena vyavasTitA satI
   pratiniyatabhāṣāgocarārthavaicitryanibandhanaṃ punaraparaṃ	pratiniyata-BAzA-gocara-arTa-vEcitrya-nibanDanam punar-aparam
   kāvyārthānāmānantyamāpādayati /	kAvya-arTAnAm-Anantyam-ApAdayati /
   yathā mamaiva--- mahamaha itti bhaṇantau vajjadi kālo jaṇassa /	yaTA mama-eva-- maham-ahaH itti BaNantO vajjadi kAlaH jaNassa /
   toi ṇa deu jaṇaddaṇa goarī bhodi maṇaso // //	toi Na deu jaNaddaNa goarI Bodi maNasaH // //
   itthaṃ yathā yathā nirūpyate tathā tathā na labhyate 'ntaḥ kāvyārthānām /	itTam yaTA yaTA nirUpyate taTA taTA na laByate antar kAvya-arTAnAm /
   idaṃ tūcyate--- avasthādivibhinnānāṃ vācyānāṃ vinibandhanam /	idam tu-ucyate-- avasTA-Adi-viBinnAnAm vAcyAnAm vinibanDanam /
   yatpradarśitaṃ prāk locanam tadanukāratayā tu pratimaśabda ityevaṃ	yat-pradarSitam prAk locanam tad-anukAra-tayA tu pratima-SabdaH iti-evam
   sarvatra vācyaṃ kevalaṃ bālopayogi kāvyaṭīkāpariśīlanadaurātmyādeṣu	sarvatra vAcyam kevalam bAla-upayogi kAvyawIkA-pariSIlana-dOrAtmya-Adezu
   paryāyatvabhrama iti bhāvaḥ /	paryAya-tva-BramaH iti BAvaH /
   evamarthānantyamalaṅkārānantyañca bhaṇitivaicitryādbhavati /	evam-arTa-Anantyam-alaFkAra-AnantyaQca BaNiti-vEcitryAt-Bavati /
   anyathāpi ca tattato bhavatīti darśayayi---bhaṇitiśceti /	anyaTA-api ca tat-tatas Bavati-iti darSayayi---BaNitiH-ca-iti /
   pratiniyatāyā bhāṣāyā gocaro vācyoyo 'rthastatkṛtaṃ yadvaicitryaṃ	pratiniyatAyAH BAzAyAH gocaraH vAcyoyaH arTaH-tad-kRtam yat-vEcitryam
   tannibandhanaṃ nimittaṃ yasya, alaṅkārāṇāṃ kāvyārthānāñcānantyasya /	tad-nibanDanam nimittam yasya, alaFkArANAm kAvya-arTAnAQca-Anantyasya /
   tatkarmabhūtaṃ bhaṇitivaicitryaṃ kartṛbhūtamāpādayatīti sambandhaḥ /	tad-karma-BUtam BaNiti-vEcitryam kartR-BUtam-ApAdayati-iti sambanDaH /
   karmaṇo viśeṣaṇacchalena heturdarśitaḥ /	karmaNaH viSezaNa=-Calena hetuH-darSitaH /
   mama mama iti bhaṇato vrajati kālo heturdarśitaḥ /	mama mama iti BaNatas vrajati kAlaH hetuH-darSitaH /
   tathāpi na devo janārdano gocaro bhavati manasaḥ // //	taTA-api na devaH janArdanaH gocaraH Bavati manasaH // //
   madhumathana iti yo anavarataṃ bhaṇati, tasya kathanna devo manogocaro	maDumaTanaH iti yaH anavaratam BaNati, tasya kaTat-na devaH manaH-gocaraH-
