   prastāvanā /	prastAvanA /
   ayaṃ ca śakārasya sārūpyeṇopanibandhātparuṣānuprāsaḥ /	ayam ca SakArasya sArUpyeNa-upanibanDAt-paruza-anuprAsaH /
   apanāgarikā-----	apanAgarikA-----
   sarūpasaṃyogayutāṃ mūrdhnivargāntyayogibhiḥ /	sarUpa-saMyoga-yutAm mUrDnivarga-antya-yogiBiH /
   sparśairyutāṃ ca manyante upanāgarikāṃ budhāḥ // UKss_1.5 //	sparSEH-yutAm ca manyante upanAgarikAm buDAH // UKsH-_1.5 //
   sarūpāṇāṃ varṇānāṃ ye saṃyogāḥ kkappacca ityādayastairyuktā /	sarUpANAm varNAnAm ye saMyogAH kkappat-caH iti-AdayaH-tEH-yuktAH /
   tathā vargāntyair ṅañaṇanamaiḥ ṅkañcaṇṭantampa-ityādirūpatayā upari ye	taTA varga-antyEH FaQaNa-namEH FkaQcaNwantampa-iti-a-Adi-rUpa-tayA upari ye
   yuktāḥ kādayo makārāntāḥ sparśāstairyuktā upanāgarikā vṛttiḥ /	yuktAH ka-AdayaH makAra-antAH sparSAH-tEH-yuktA upanAgarikA vRttiH /
   eṣā khalu nāgarikayā vaidagdhījuṣā vanitayā upamīyate tata upanāgarikā /	ezA Kalu nAgarikayA vEdagDI-juzA vanitayA upamIyate tatas upanAgarikA /
   nāgarikayā upamitā upanāgariketi /	nAgarikayA upamitA upanAgarikA-iti /
   "avādayaḥ ṛṣṭādyarthe tṛtīyayā"iti samāsaḥ /	"ava-AdayaH Rzwa-Adi-arTe tRtIyayA"-iti samAsaH /
   tasyāmupanāgarikānuprāsaḥ /	tasyAm-upanAgarikA-anuprAsaH /
   tasyodāharaṇaṃ ca---	tasya-udAharaNam ca---
   sāndrāravindavṛndotthamakarandāmbubindubhiḥ /	sAndra-aravinda-vRnda-utTamakaranda-ambu-binduBiH /
   syandibhiḥ sundaraspandaṃ nanditendindirā kvacit // UKss_1.*4 //	syandiBiH sundara-spandam nandita-indindirA kvacid // UKsH-_1.*4 //
   atra dakārākhyaḥ sparśo nakāreṇopari vyavasthitena yuktaḥ	atra dakAra-AKyaH sparSaH nakAreNa-upari vyavasTitena yuktaH
   sārūpyeṇopanibaddhaḥ /	sArUpyeNa-upanibadDaH /
   sāndrā ghanā aravindavṛndotthā makarandāmbubindava iti saṃbandhaḥ /	sAndrAH GanAH aravinda-vRnda-utTAH makaranda-ambu-bindavaH iti saMbanDaH /
   sundaraspandaṃ spandibhiriti sāmānyabhūtaḥ spandaḥ sundaraspandamiti	sundara-spandam spandiBiH-iti sAmAnya-BUtaH spandaH sundara-spandam-iti
   viśiṣṭena spandena viśeṣito raipoṣaṃ puṣṇātītivat /	viSizwena spandena viSezitaH rEpozam puzNAti-iti-vat /
   sundaraḥ spandoyasminniti hi sāmānyabhūte	sundaraH spandoyasmin=-iti hi sAmAnya-BUte
   spandane anyapadārthe sundaratāviśiṣṭaṃ spandanaṃ vṛttipadārthabhūtam /	spandane anya-padArTe sundara-tA-viSizwam spandanam vRtti-padArTa-BUtam /
   indindirā bhramarāḥ //	indindirAH BramarAH //
   grāmyā-----	grAmyA-----
   śeṣairvaṇairyathāyogaṃ kathitāṃ komalākhyayā /	SezEH-vaNEH-yaTAyogam kaTitAm komala-AKyayA /
   grāmyaṃ vṛrtti praśaṃsanti kāvyeṣvādṛtabuddhayaḥ // UKss_1.6 //	grAmyam vRrtti praSaMsanti kAvyezu-AdRta-budDayaH // UKsH-_1.6 //
   paruṣopanāgarikopayuktavarṇāvaśiṣṭairvarṇairlakārādibhirupanibadhyamānā	paruza-upanAgarikA-upayukta-varNa-avaSizwEH-varNEH-lakAra-AdiBiH-upanibaDyamAnA
   grāmyā /	grAmyAH /
   tasyā eva ca aparaṃ nāmadheyaṃ komaleti /	tasyAH eva ca aparam nAmaDeyam komala-iti /
   komalākhyayā kathitāmiti saṃbandhaḥ /	komala-AKyayA kaTitAm-iti saMbanDaH /
   tasyāṃ cānuprāso grāmyānuprāsaḥ /	tasyAm ca-anuprAsaH grAmya-anuprAsaH /
   tasyodāharaṇam----	tasya-udAharaNam-----
   kelilolālimālānāṃ kalaiḥ kolāhalaiḥ kvacit /	keli-lola-ali-mAlAnAm kalEH kolAhalEH kvacid /
   kurvatī kānanārūḍhaśrīnūpuraravabhramam // UKss_1.*5 //	kurvatI kAnana-ArUXa-SrI-nUpura-rava-Bramam // UKsH-_1.*5 //
   kelilolāḥ krīḍālampaṭāḥ /	keli-lolAH krIxA-lampawAH /
   kalairmadhuraiḥ /	kalEH-maDurEH /
   bhramo bhrāntirviparyayapratyayaḥ /	BramaH BrAntiH-viparyaya-pratyayaH /
   atra lakārakakārarephāḥ sārūpyeṇopanibaddhāḥ /	atra lakAraka-kAra-rePAH sArUpyeNa-upanibadDAH /
   evametāstisro vṛttayo vyākhyātāḥ /	evam-etAH-tisraH vRttayaH vyAKyAtAH /
   tāsu ca rasādyabhivyaktyānuguṇyena pṛthak pṛthaganuprāso nibadhyate	tAsu ca rasa-Adi-aBivyaktyAnuguNyena pRTak pRTak-anuprAsaH nibaDyate
   tadāha----	tat-Aha----
   sarūpavyañjananyāsaṃ tisṛṣvetāsu vṛttiṣu /	sarUpa-vyaQjana-nyAsam tisRzu-etAsu vRttizu /
   pṛthakpṛthaganuprāsamuśanti kavayaḥ sadā // UKss_1.7 //	pRTak-pRTak-anuprAsam-uSanti kavayaH sadA // UKsH-_1.7 //
   ayaṃ ślokaḥ sodāharaṇo vṛttisvarūpanirūpaṇaprasaṅgena vyākhyātaḥ /	ayam SlokaH sa-udAharaNaH vRtti-svarUpa-nirUpaNa-prasaFgena vyAKyAtaH /
   lāṭānuprāsaḥ----	lAwa-anuprAsaH----
   svarūpārthāviśeṣe 'pi punaruktiḥ phalāntarāt /	svarUpa-arTa-aviSeze api punaruktiH Pala-antarAt /
   śabdānāṃ vā padānāṃ vā lāṭānuprāsa iṣyate // UKss_1.8 //	SabdAnAm vA padAnAm vA lAwa-anuprAsaH izyate // UKsH-_1.8 //
   sa padadvitayasthityā dvayorekasya pūrvavat /	sa pada-dvitaya-sTityA dvayoH-ekasya pUrvavat /
   tadanyasya svatantratvād dvayorvaikapadāśrayāt // UKss_1.9 //	tad-anyasya svatantra-tvAt dvayoH-vA-ekapada-ASrayAt // UKsH-_1.9 //
   svatantrapadarūpeṇa dvayorvāpi prayogataḥ /	svatantra-pada-rUpeNa dvayoH-vA-api prayogataH /
   bhidyate 'nekadhā bhedaiḥ pādābhyāsakrameṇa ca // UKss_1.10 //	Bidyate anekaDA BedEH pAda-aByAsa-krameNa ca // UKsH-_1.10 //
   śabdānāmanupalabhyamānasuptiṅāṃ tathā padānāmupalabhyamānasuptiṅāṃ,	SabdAnAm-anupalaByamAna-suptiFAm taTA padAnAm-upalaByamAna-suptiFAM,
   ubhayeṣāṃ ca śabdapadānāṃ svarūpasya varṇātmanaḥ abhidheyasya ca	uBayezAm ca Sabda-padAnAm svarUpasya varNa-AtmanaH aBiDeyasya ca
   nirantaraśabdavyāpāragocarīkṛtasya vācyasyārthasyābhede 'pi	nirantara-Sabda-vyApAra-gocarIkRtasya vAcyasya-arTasya-aBede api
   phalāntarāttātparyabhedāt punaruktiḥ sā	Pala-antarAt-tAtparya-BedAt punaruktiH sA
   lāṭadeśanivāsijanavallabhatvāllāṭānuprāso 'bhidhīyate /	lAwa-deSa-nivAsi-jana-vallaBa-tvAt-lAwa-anuprAsaH aBiDIyate /
   sa ca prathamaṃ tāvatrriprakāraḥ /	sa ca praTamam tO=-atrri-prakAraH /
   dvayoḥ svatantrayordvayoḥ paratantrayoḥ svatantraparatantrayośca bhāvāt /	dvayoH svatantrayoH-dvayoH paratantrayoH svatantra-paratantrayoH-ca BAvAt /
   tatra yasyāvaddvayoḥ svatantrayoḥ sa dviprakāraḥ /	tatra yasya-avat-dvayoH svatantrayoH sa dvi-prakAraH /
   ekaikasmin pade padasamudāyātmake ca pāde bhāvāt /	ekEkasmin pade pada-samudAya-Atmake ca pAde BAvAt /
   taduktam----	tat-uktam-----
   "svatantrapadarūpema dvayorvāpi prayogataḥ /	"svatantra-pada-rUpema dvayoH-vA-api prayogataH /
   bhidyate 'nekadhā bhedaiḥ pādābhyāsakrameṇa ca //	Bidyate anekaDA BedEH pAda-aByAsa-krameNa ca //
   "iti /	"iti /
   atra hi svatantrapadātmakatvena dvayoḥ prayogādekaikapadāśrayo lāṭānuprāso	atra hi svatantra-pada-Atmaka-tvena dvayoH prayogAt-eka-eka-pada-ASrayaH lAwa-anuprAsaH-
   'bhihitaḥ /	aBihitaH /
   tasyodāharaṇam-----	tasya-udAharaNam------
   kāśāḥ kāśā ivodbhānti sarāṃsīva sarāṃsi ca /	kASAH kASAH iva-udBAnti sarAMsi-iva sarAMsi ca /
   cetāṃsyācikṣipuryūnāṃ nimnagā iva nimnagāḥ // UKss_1.*6 //	cetAMsi-Aci-kzipuH-yUnAm nimnagAH iva nimnagAH // UKsH-_1.*6 //
   ācikṣipurapatdṛtavantaḥ /	AcikzipuH-apatdRtavantaH /
   atra kāśādayaḥ śabdā aparaiḥ kāśādibhiḥ śabdai ekarūpā ekābhidheyāśca /	atra kASa-AdayaH SabdAH aparEH kASa-AdiBiH SabdEH eka-rUpAH eka-aBiDeyAH-ca /
   tātparyabhedena tu teṣāṃ punaruktiḥ /	tAtparya-Bedena tu tezAm punaruktiH /
   tathā hyatra ekeṣāṃ kāśādiśabdānāṃ jātibhedoparaktadravyaparatayā prayogaḥ	taTA hi-atra ekezAm kASa-Adi-SabdAnAm jAti-Beda-uparakta-dravya-para-tayA prayogaH
   apareṣāṃ tu ananvayālaṅkāracchāyayā upamānāntaravyāvṛttiparatayā /	aparezAm tu ananvaya-alaFkAra=-CAyayA upamAna-antara-vyAvRtti-para-tayA /
   atra ca svātantryaṃ padānāṃ, kāśādīnāmupalabhyamānasuptiṅrūpatvāt /	atra ca svAtantryam padAnAM, kASa-AdInAm-upalaByamAna-suptiS-rUpa-tvAt /
   ekaikarūpatayā cāvṛtterupanibandhaḥ /	eka-eka-rUpa-tayA ca-AvRtteH-upanibanDaH /
   padasamudāyātmakasya tu pādasya svarūpārthāviśeṣe tātparyabhedena	pada-samudAya-Atmakasya tu pAdasya svarUpa-arTa-aviSeze tAtparyaBedena
   punaruktau pādābhyāsaparipāṭyā svatantrapadāśrayo lāṭānuprāso bhavati /	punaruktO pAda-aByAsa-paripAwyA svatantra-pada-ASrayaH lAwa-anuprAsaH Bavati /
   pādābhyāsakrameṇa ceti kramagrahaṇena sakṛddvistriśca pādābhyāse ye bhedāḥ	pAda-aByAsa-krameNa ca-iti krama-grahaNena sakRt-dvis-tris-ca pAda-aByAse ye BedAH
   saṃbhavanti tatsvīkāreṇa pādābhyāse lāṭānuprāsasya pravṛttiḥ sūcitā /	saMBavanti tad-svIkAreNa pAda-aByAse lAwa-anuprAsasya pravRttiH sUcitA /
   tasyodāharaṇam----	tasya-udAharaNam-----
   striyo mahati bhartṛbhya āgasyapi na cukrudhuḥ /	striyaH mahati BartRByaH Agasi-api na cukruDuH /
   bhartāro 'pi sati strībhya āgasyapi na cukrudhuḥ // UKss_1.*7 //	BartAraH api sati strIByaH Agasi-api na cukruDuH // UKsH-_1.*7 //
   mahatyapyāgasīti saṃbandhaḥ /	mahatI-api-Agasi-iti saMbanDaH /
   tathā ca satyapyāgasīti bhartṛbhya iti strībhya iti ca 'krudha druhe'ti	taTA ca sati-api-Agasi-iti BartRByaH iti strIByaH iti ca akruDa druhe-ati
   saṃpradānatā /	saMpradAna-tA /
   atra ekatra pāde nāyakagatāparādhaviṣayatvena strīkartṛkaḥ krodhābhāvaḥ	atra ekatra pAde nAyaka-gata-aparADa-vizaya-tvena strIkartRkaH kroDa-aBAvaH
   pratipāditaḥ /	pratipAditaH /
   aparatra tu nāyikānāṃ yo bhartṛpraṇayātikramātmako 'parādhastadviṣayo	aparatra tu nAyikAnAm yaH BartR-praNaya-atikrama-AtmakaH aparADaH-tad-vizayaH-
   nāyakakartṛkaḥ krodhābhāvobhihitaḥ /	nAyaka-kartRkaH kroDa-aBAva-uBihitaH /
   atastātparyabhedaḥ svarūpārthāviśeṣaśca /	atas-tAtparya-BedaH svarUpa-arTa-aviSezaH-ca /
   padasamudāyātmakasya ca pādasyābhyāsaḥ /	pada-samudAya-Atmakasya ca pAdasya-aByAsaH /
   evamayaṃ svatantrapadāśrayo lāṭānuprāso dvividho 'bhihitaḥ /	evam-ayam svatantra-pada-ASrayaH lAwa-anuprAsaH dviviDaH aBihitaH /
   ekaikapadāśrayaḥ padasamudāyāśrayaśca svatantrapadāśrayo lāṭānuprāsaḥ /	ekEka-pada-ASrayaH pada-samudAya-ASrayaH-ca svatantra-pada-ASrayaH lAwa-anuprAsaH /
   dvayoranupalabhyamānasuptiḍoḥ paratantrayoḥ śabdayoryo lāṭānuprāsastasyāpi	dvayoH-anupalaByamAna-suptixoH paratantrayoH SabdayoH-yaH lAwa-anuprAsaH-tasya-api
   dvaividhyaṃ, padadvitayāśrayatvena ekapadādhāratvena ca /	dvEviDyan, pada-dvitaya-ASraya-tvena ekapada-ADAra-tvena ca /
   taduktam----	tat-uktam-----
   'sa padadvitayasthityā dvayoḥ'iti /	asa pada-dvitaya-sTityA dvayoH-aiti /
   so 'nekadhā bhedairbhidyate iti saṃbandhaḥ /	saH anekaDA BedEH-Bidyate iti saMbanDaH /
   tathā dvayorvaikapadāśrayāditi /	taTA dvayoH-vA-ekapada-ASrayAt-iti /
   pūrvasyodāharaṇam----	pUrvasya-udAharaNam-----
   kvaciṭutphullakamalā kamalabhrāntaṣaṭpadā /	kvaciwutPulla-kamalA kamala-BrAnta-zawpadAH /
   ṣaṭpadakvāmamukharā mukharasphārasārasā // UKss_1.*8 //	zawpada-kvAma-muKarAH muKara-sPAra-sArasA // UKsH-_1.*8 //
   sārasāḥ lakṣmaṇākhyāḥ pakṣiviśeṣāḥ /	sArasAH lakzmaNa-AKyAH pakzi-viSezAH /
   atra kamalaṣaṭpadamukharaśabdānāṃ svarūpārthabhede 'pi tātparyabhedena	atra kamala-zawpada-muKara-SabdAnAm svarUpa-arTa-Bede api tAtparyaBedena
   punaruktiḥ padadvitayāśrayitvaṃ ca /	punaruktiH pada-dvitayA-ASrayi-tvam ca /
   tātparyabhedaścātra kamalaṣaṭpadaśabdayoḥ kārakaśaktibhedāt /	tAtparyaBedaH-ca-atra kamala-zawpada-SabdayoH kAraka-Sakti-BedAt /
   tathāhi /	taTA-hi /
   pūrvaḥ kamalaśabdo 'tra vikāsakriyākartṛtvaparatayopāttaḥ, uttarastu	pUrvaH kamala-SabdaH atra vikAsa-kriyA-kartR-tva-paratayA-upAttaH, uttaraH-tu
   bhramaṇakriyākartṛbhūtaṣaṭpadādhāratvena /	BramaNa-kriyA-kartR-BUta-zawpada-ADAra-tvena /
   tathā pūrvaḥ ṣaṭpadaśabdo bhramaṇakriyāṃ prati kartṛtvenopavarṇitaḥ,	taTA pUrvaH zawpada-SabdaH BramaNa-kriyAm prati kartR-tvena-upavarNitaH,
   uttarastu kvāṇakriyāsaṃbandhitvena /	uttaraH-tu kvANa-kriyA-saMbanDi-tvena /
   mukharaśabdau tu	muKara-SabdO tu
   viśeṣaṇabhūtaṃ	viSezaNa-BUtam
   saśabdatvaṃ bhinnārthaniṣṭhatayāvagamayataḥ /	sa-Sabda-tvam Binna-arTa-nizWatayA-avagamayataH /
   tathāhi /	taTA-hi /
   pūrveṇa mukharaśabdena śaranniṣṭhaṃ maukharyamavagamyate, apareṇa tu	pUrveNa muKara-Sabdena Sarad-nizWam mOKaryam-avagamyate, apareNa tu
   sārasaniṣṭham /	sArasa-nizWam /
   evamayaṃ padadvitayaparatantraśabdadvayāśrayo lāṭānuprāso 'bhihitaḥ /	evam-ayam pada-dvitaya-paratantra-Sabda-dvaya-ASrayaH lAwa-anuprAsaH aBihitaH /
   ekapadāśrayaśabdadvitayavarti tu "dvayorvaikapadāśrayāt" ityuktaḥ /	ekapada-ASraya-Sabda-dvitaya-varti tu "dvaya-uH-vA-ekapada-ASrayAt" iti-uktaH /
   tasyodāharaṇam----	tasya-udAharaNam-----
   jitānyapuṣṭakiñjalkakiñjalkaśreṇiśobhitam /	jita-ani-apuzwa-kiQjalka-kiQjalka-SreNi-SoBitam /
   lebhe 'vataṃsatāṃ nārīmukhenduṣvasitotpalam // UKss_1.*9 //	leBe avataMsatAm nArI-muKa-induzu-asita-utpalam // UKsH-_1.*9 //
   atra nārīmukheṣviti vadanānāṃ candreṇopamitatvādasitotpalasya śaśakarūpatā	atra nArI-muKezu-iti vadanAnAm candreNa-upamita-tvAt-asita-utpalasya SaSaka-rUpa-tA
   dhvanyate /	Dvanyate /
   kiñjalkaśabdayoścātra svarūpārthābheda ekapadāśrayatvaṃ tātparyabhedaśca /	kiQjalka-SabdayoH-ca-atra svarUpa-arTa-aBedaH eka-pada-ASraya-tvam tAtparyaBedaH-ca /
   ekasya jīyamānatayā upādānāt, aparasya jayanakriyākartṛbhūtāyāsau	ekasya jIyamAna-tayA upAdAnAt, aparasya jayana-kriyA-kartR-BUtAyAsO
   śreṇistatsaṃbandhitvena /	SreNiH-tad-saMbanDi-tvena /
   evamayaṃ paratantrayoḥ śabdayorlāṭānuprāso dvividho nirūpitaḥ /	evam-ayam paratantrayoH SabdayoH-lAwa-anuprAsaH dviviDaH nirUpitaH /
   svatantraparatantrayostu yatraikasya śabdasya padāntarānupraveśaḥ,	svatantra-paratantrayoH-tu yatra-ekasya Sabdasya pada-antara-anupraveSaH,
   aparasya tu svātantryeṇa padarūpatayāvasthānaṃ tatra bhavati /	aparasya tu svAtantryeNa pada-rUpa-tayA-avasTAnam tatra Bavati /
   taduktam---'ekasya pūrvavattadanyasya svatantratvāt'iti /	tat-uktam-----aekasya pUrvavat-tad-anyasya svatantra-tvAt-aiti /
   ekasya pūrvavatpadāntarāśrayeṇāvasthānādityarthaḥ /	ekasya pUrvavat-pada-antara-ASrayeNa-avasTAnAt-iti-arTaH /
   tasyodāharaṇam---	tasya-udAharaNam---
   padminīṃ padminīgāḍhaspṛhayāgatya mānasāt /	padminIm padminI-gAXa-spRhayA-Agatya mAnasAt /
   antardanturayāmāsurhaṃsā haṃsakulālayāt // UKss_1.*10 //	antar-danturayAmAsuH-haMsAH haMsa-kula-AlayAt // UKsH-_1.*10 //
   mānasāt saroviśeṣāt /	mAnasAt saraH-viSezAt /
   danturayāmāsuḥ mahattvācchuklatvācca unnatadantā iva cakruḥ /	danturayAmAsuH mahat-tvAt-Sukla-tvAt-ca unnata-dantAH iva cakruH /
   atra svarūpārthāphabhede 'pi padminīśabdayorhaṃsaśabdayośca	atra svarUpa-arTa-aPa-Bede api padminI-SabdayoH-haMsa-SabdayoH-ca
   tātparyabedātpunaruktiḥ /	tAtparyabedAt-punaruktiH /
   ekasya padāntarānupraveśaḥ, aparasya ca spṛhāviṣayapratipādanārthatvāt /	ekasya pada-antara-anupraveSaH, aparasya ca spRhA-vizaya-pratipAdana-arTa-tvAt /
   tathā ekasya haṃsaśabdasya danturaṇakriyākartṛbhūtārthābhidhāyitvāt,	taTA ekasya haMsa-Sabdasya danturaNa-kriyA-kartR-BUta-arTa-aBiDAyi-tvA-at,
   aparasya tu kulasaṃbandhitvāt /	aparasya tu kula-saMbanDi-tvAt /
   evamayaṃ pañcavidho lāṭānuprāsaḥ pratipāditaḥ /	evam-ayam paQcaviDaH lAwa-anuprAsaH pratipAditaH /
   svatantraparatantrāṇāṃ tasya pratyekaṃ dvibhedatvāt svatantrapara	svatantra-paratantrANAm tasya pratyekam dvi-Beda-tvAt svatantra-para
   tantrayośca samuditayorekaprakāratvāt //	tantrayoH-ca samuditayoH-eka-prakAra-tvAt //
   rūpakam---	rUpakam---
   śrutyā saṃbandhavirahādyatpadena padāntaram /	SrutyA saMbanDa-virahAt-yat-padena pada-antaram /
   guṇavṛtti pradhānena yujyate rūpakaṃ tu tat // UKss_1.11 //	guNa-vRtti praDAnena yujyate rUpakam tu tat // UKsH-_1.11 //
   bandhastasya yataḥ śrutyā śrutyarthābhyāṃ ca tena tat /	banDaH-tasya yatas SrutyA Sruti-arTAByAm ca tena tat /
   samastavastuviṣayamekadeśavivarti ca // UKss_1.12 //	samasta-vastu-vizayam-eka-deSa-vivarti ca // UKsH-_1.12 //
   samastavastuviṣayaṃ mālārūpakamucyate /	samasta-vastu-vizayam mAlA-rUpakam-ucyate /
   yadvaikadeśavṛtti syātpararūpeṇa rūpaṇāt // UKss_1.13 //	yat-vA-eka-deSa-vRtti syAt-para-rUpeNa rUpaNAt // UKsH-_1.13 //
   padāntarasya guṇavṛtterapareṇa padena yoge rūpakaṃ bhavati /	pada-antarasya guNa-vRtteH-apareNa padena yoge rUpakam Bavati /
   nanvevaṃ sati nīlamutpalamityatrāpi nīlaśabdasya guṇavṛtterutpalaśabdena	nanu-evam sati nIlam-utpalam-iti-atra-api nIla-Sabdasya guNa-vRtteH-utpala-Sabdena
   yoge rūpakatāprasaṅga ityāśaṅkyoktaṃ---śrutyā saṃbandhavirahāditi /	yoge rUpaka-tA-prasaFgaH iti-ASaFkya-uktaM----SrutyA saMbanDa-virahAt-iti /
   śrutirnirantarārthaniṣṭhaḥ śabdavyāpāraḥ /	SrutiH-nirantara-arTa-nizWaH Sabda-vyApAraH /
   tayā śrutyā anupapadyamānapadāntarasaṃbandhaṃ sat padāntaraṃ guṇavṛtti	tayA SrutyAH anupapadyamAna-pada-antara-saMbanDam sat pada-antaram guNa-vRtti
   yatrāpareṇa padena yujyate tatra rūpakatā /	yatra-apareNa padena yujyate tatra rUpaka-tA /
   yathā----	yaTA----
   jyotsnāmbunendukumbhena tārākusumaśāritam /	jyotsnA-ambunA-indu-kumBena tArA-kusuma-SAritam /
   kramaśo rātrikanyābhirvyomodyānamasicyata // UKss_1.*11 //	kramaSas rAtri-kanyABiH-vyoma-udyAnam-asicyata // UKsH-_1.*11 //
   iti /	iti /
   atrāmbuśabdo nirantarārthaniṣṭhaśabdavyāpāragocarīkṛte udakatve vartamāno	atra-ambu-SabdaH nirantara-arTa-nizWa-Sabda-vyApAra-gocarIkRte udaka-tve vartamAnaH-
   jyotsnāśabdena sāmānādhikaraṇyaṃ nānubhavati /	jyotsnA-Sabdena sAmAnADikaraNyam na-anuBavati /
   ambutvajyotsnātvayorekārthasamavāyābhāvāt /	ambu-tu-ajya-utsnA-tvayoH-eka-arTa-samavAya-aBAvAt /
   ato 'mbugatāḥ śauklyāhlādakatvaprasaraṇaśīlatvādayo ye	atas ambu-gatAH SOklya-AhlAdaka-tva-prasaraNa-SIla-tva-AdayaH ye
   guṇāstatsadṛśajyotsnāgataguṇavṛttiḥ sannambuśabdo jyotsnāyāṃ vartate /	guNAH-tad-sadRSa-jyotsnA-gata-guNa-vRttiH san=-ambu-SabdaH jyotsnAyAm vartate /
   tenāmbuśabdasya śrutyā nirantarārthaniṣṭhena abhidhāvyāpāreṇa yaḥ	tena-ambu-Sabdasya SrutyA nirantara-arTa-nizWena aBiDAvya-apAreNa yaH
   padāntareṇa jyotsnāśabdena saṃbandhastacchūnyatvādguṇavṛttitā /	pada-antareNa jyotsnA-Sabdena saMbanDaH-tad-SUnya-tvAt-guNa-vRtti-tA /
   ato 'tra	atas atra
   rūpakatā /	rUpaka-tA /
   nacaivaṃ nīlamutpalamityādau śrutyā saṃbandhavirahādguṇavṛttitvaṃ,	na-ca-evam nIlam-utpalam-iti-AdO SrutyA saMbanDa-virahAt-guNa-vRtti-tvaM,
   kiṃtarhi svata eveti na rūpakatāprasaṅgaḥ /	kiMtarhi svatas eva-iti na rUpaka-tA-prasaFgaH /
   nanu viruddhārthābhidhāyinoḥ samānādhikaraṇayoḥ	nanu virudDa-arTa-aBiDAyinoH samAna-aDikaraNayoH
   śabdayornirantarārthaniṣṭhena abhidhāvyāpāreṇa	SabdayoH-nirantara-arTa-nizWena aBiDAvya-apAreNa
   anupapdyamānānyonyasamanvayatvādyadyekasya lakṣaṇayā	anupapdyamAna-anyonya-samanvaya-tvAt-yadi-ekasya lakzaNayA
   guṇavṛttitvamabhidhīyate, evaṃ sati paryāyeṇātra guṇavṛttitvaṃ prāpnoti /	guNa-vRtti-tvam-aBiDIyate, evam sati paryAyeNa-atra guNa-vRtti-tvam prApnoti /
   niyamakaraṇābhāvāt /	niyama-karaNa-aBAvAt /
   tataśca yathāmbuśabdasya jyotsnāśabdasāmānādhikaraṇyādguṇavṛttitvamuktaṃ,	tatas-ca yaTA-ambu-Sabdasya jyotsnA-Sabda-sAmAna-aDikaraNyAt-guNa-vRtti-tvam-uktaM,
   tadvajjyotsnāśabdasyāpi ambuśabdasāmānādhikaraṇyādguṇavṛttitvaṃ kathaṃ na	tadvat-jyotsnA-Sabdasya-api ambu-Sabda-sAmAna-aDikaraNyAt-guNa-vRtti-tvam kaTam na
   syādityāśaṅkyoktaṃ pradhāneneti /	syAt-iti-ASaFkya-uktam praDAnena-iti /
   pradhānārthānurodhena upasarjanasya lakṣaṇayā guṇavṛttitvamupapannam /	praDAna-arTa-anuroDena upasarjanasya lakzaNayA guNa-vRtti-tvam-upapannam /
   pradhānavaśavartitvādguṇānāmityabhiprāyaḥ /	praDAna-vaSa-varti-tvAt-guNAnAm-iti-aBiprAyaH /
   ataśca prākaraṇikārthābhidhāyitvātpradhānārthaviṣayo yo jyotsnāśabdaḥ	atas-ca prAkaraNika-arTa-aBiDAyi-tvAt-praDAna-arTa-vizayaH yaH jyotsnA-SabdaH
   tadanurodhena ambuśabdasya aprākaraṇikārthatvādapradhānārthasya	tad-anuroDena ambu-Sabdasya aprAkaraNika-arTa-tvAt-apraDAna-arTasya
   guṇavṛttitvamupapannamiti na paryāyeṇa jyotsnāmbuśabdayoḥ	guNa-vRtti-tvam-upapannam-iti na paryAyeNa jyotsnA-ambu-SabdayoH
   parasparānurodhena guṇavṛttitpaprasaṅgaḥ /	paraspara-anuroDena guNa-vRttitpa-prasaFgaH /
   nanu ca jyotsnāmbunetyatra ambunaḥ prādhānyaṃ jyotsnāyāśca guṇabhāvaḥ /	nanu ca jyotsnA-ambunA-iti-atra ambunaH prADAnyam jyotsnAyAH-ca guNa-BAvaH /
   tathā hi /	taTA hi /
   etasmiñśloke tadbhāvādhyavasānena sekāvacchāditarūpatayā sekātmakatvena	etasmin-Sloke tad-BAva-aDyavasAnena seka-avacCAdita-rUpa-tayA seka-Atmaka-tvena
   yāsau vyomno vyāptirasicyateti pratipāditā, tayā svasādhanabhūtaṃ	yA-asO vyomnaH vyAptiH-asicyata-iti pratipAditA, tayA sva-sADana-BUtam
   yattadambho 'pekṣitaṃ tadatra jyotsnayā viśiṣyate jyotsnaivāmbviti /	yat-tat-amBaH apekzitam tat-atra jyotsnayA viSizyate jyotsnA-eva-ambu-iti /
   yadatra sekasādhanatvenāmbu apekṣitaṃ tajjyotsnaivetyarthaḥ /	yat-atra seka-sADana-tvena-ambu apekzitam tat-jyotsnA-eva-iti-arTaH /
   uktaṃ ca "upasarjanopameyaṃ kṛtvā tu samāsametayorubhayoḥ /	uktam ca "upasarjana-upameyam kRtvA tu samAsametayoH-uBayoH /
   yacca prayucyate tadrūpakamanyatsamāsoktam"iti /	yat-ca prayucyate tat-rUpakam-anyat-samAsa-uktam-"iti /
   etayorubhayoriti /	etayoH-uBayoH-iti /
   upamānopameyayorityarthaḥ /	upamAna-upameyayoH-iti-arTaH /
   tatkathamidamuktaṃ jyotsnāpadasya prādhānyāttadvaśenāmbuśabdasya	tat-kaTam-idam-uktam jyotsnA-padasya prADAnyAt-tad-vaSena-ambu-Sabdasya
   guṇavṛttitvaṃ kalpyate iti /	guNa-vRtti-tvam kalpyate iti /
   ucyate /	ucyate /
