   akrodhādyāś ca niyamāḥ SUp_7.101c	akroDa-AdyAH ca niyamAH SUp_7.101c
   kaṭaṃ kuryād bharakṣamam SUp_6.145b	kawam kuryAt Bara-kzamam SUp_6.145b
   kaṭiyaṣṭer adhobhāgaṃ SUp_6.150a	kawi-yazweH aDoBAgam SUp_6.150a
   kaṭe 'smiṃs tāni vastrāṇi SUp_6.147a	kawe asmin tAni vastrANi SUp_6.147a
   kadalyardhadhvajair yuktaṃ SUp_6.138a	kadalI-arDa-DvajEH yuktam SUp_6.138a
   kandamūlaphalāni ca SUp_7.94b	kanda-mUla-PalAni ca SUp_7.94b
   kapālaṃ ca bhagālaṃ syāt SUp_7.81c	kapAlam ca BagAlam syAt SUp_7.81c
   kapicchukasamāvṛtam SUp_4.2b	kapicSuka-samAvRtam SUp_4.2b
   kapittham ekaṃ yaḥ pakvam SUp_6.5a	kapitTam ekam yaH pakvam SUp_6.5a
   kapilāyāḥ pradānasya SUp_6.70c	kapilAyAH pradAnasya SUp_6.70c
   karañjamadhukākṣajam SUp_4.59b	karaQja-maDuka-akza-jam SUp_4.59b
   karapuṣkaramadhye tu SUp_5.47c	kara-puzkara-maDye tu SUp_5.47c
   karīṣaṃ vā praśasyate SUp_5.6b	karIzam vA praSasyate SUp_5.6b
   karoti ca paritrāṇaṃ SUp_7.96c	karoti ca paritrANam SUp_7.96c
   karoti prāktanaṃ karma SUp_7.111c	karoti prAktanam karma SUp_7.111c
   karkaṭīm īśadaivate SUp_6.79b	karkawIm ISa-dEvate SUp_6.79b
   karkaśāḥ kaṭhinā bhakṣā SUp_7.107a	karkaSAH kaWinA BakzA SUp_7.107a
   karṇamātre ca dhārayet SUp_7.44d	karNa-mAtre ca DArayet SUp_7.44d
   karṇaśodhanakaṃ dattvā SUp_6.235a	karNa-SoDanakam dattvA SUp_6.235a
   kartavyam atiśobhanam SUp_4.9d	kartavyam ati-SoBanam SUp_4.9d
   kartavyā cātra jagatī SUp_4.14a	kartavyA ca-atra jagatI SUp_4.14a
   kartavyā paṭṭake 'pi vā SUp_6.144d	kartavyA pawwake api vA SUp_6.144d
   kartur bhogāḥ śive pure SUp_2.21b	kartuH BogAH Sive pure SUp_2.21b
   kartuṃ duḥkhaṃ sukhāni ca SUp_7.111b	kartum duHKam suKAni ca SUp_7.111b
   karpāsāsthipramāṇaṃ ca SUp_4.33c	karpAsa-asTi-pramANam ca SUp_4.33c
   karpūrasya śive gurau SUp_6.52d	karpUrasya Sive gurO SUp_6.52d
   karmaṇā sunibaddhaṃ ca SUp_6.135c	karmaNA su-nibadDam ca SUp_6.135c
   karmaṇā svena pālyate SUp_7.108d	karmaNA svena pAlyate SUp_7.108d
   karma tiṣṭhati yad vinā SUp_6.282d	karma tizWati yat vinA SUp_6.282d
   karmadāyādasaṃbandhād SUp_7.112a	karma-dAyAda-saMbanDAt SUp_7.112a
   karmayogavidhau sthitaḥ SUp_4.65d	karma-yoga-viDO sTitaH SUp_4.65d
   karmayogasamāvṛttaḥ SUp_1.29b	karma-yoga-samAvRttaH SUp_1.29b
   karmayogasya yan mūlaṃ SUp_1.37a	karma-yogasya yat mUlam SUp_1.37a
   kalatraputramitrāṇi SUp_6.166a	kalatra-putra-mitrANi SUp_6.166a
   kalatraputramitrādyair SUp_6.127c	kalatra-putra-mitra-AdyEH SUp_6.127c
   kalatraputramitrādyaiḥ SUp_2.31a	kalatra-putra-mitra-AdyEH SUp_2.31a
   kalatraputramitrādyaiḥ SUp_4.25a	kalatra-putra-mitra-AdyEH SUp_4.25a
   kalatraputramitraiś ca SUp_6.111c	kalatra-putra-mitrEH ca SUp_6.111c
   kalahaṃ ca vivarjayet SUp_7.14d	kalaham ca vivarjayet SUp_7.14d
   kalpakoṭiśataṃ bhogān SUp_6.214c	kalpa-kowi-Satam BogAn SUp_6.214c
   kalpakoṭiśataṃ sāgraṃ SUp_6.67c	kalpa-kowi-Satam sAgram SUp_6.67c
   kalpakoṭiśataṃ sāgraṃ SUp_6.69a	kalpa-kowi-Satam sAgram SUp_6.69a
   kalpakoṭiśatāni ca SUp_6.63d	kalpa-kowi-SatAni ca SUp_6.63d
   kalpakoṭisahasrāṇi SUp_6.63c	kalpa-kowi-sahasrANi SUp_6.63c
   kalpakoṭiṃ naraḥ sāgraṃ SUp_6.32a	kalpa-kowim naraH sAgram SUp_6.32a
   kalpakoṭiṃ naraḥ sāgraṃ SUp_6.35c	kalpa-kowim naraH sAgram SUp_6.35c
   kalpakoṭiṃ pramodate SUp_6.2d	kalpa-kowim pramodate SUp_6.2d
   kalpakoṭiṃ pramodate SUp_6.100d	kalpa-kowim pramodate SUp_6.100d
   kalpakoṭiṃ śive pure SUp_6.98d	kalpa-kowim Sive pure SUp_6.98d
   kalpakoṭiṃ śive pure SUp_6.180b	kalpa-kowim Sive pure SUp_6.180b
   kalpakoṭiṃ śive pure SUp_6.203d	kalpa-kowim Sive pure SUp_6.203d
   kalpakoṭyayutaṃ naraḥ SUp_6.103d	kalpa-kowi-ayutam naraH SUp_6.103d
   kalpakoṭyayutaṃ sāgraṃ SUp_6.207c	kalpa-kowi-ayutam sAgram SUp_6.207c
   kalpakoṭyayutaṃ sāgraṃ SUp_6.262a	kalpa-kowi-ayutam sAgram SUp_6.262a
   kalpam ekaṃ vasen naraḥ SUp_6.273b	kalpam ekam vaset naraH SUp_6.273b
   kalpayitvānusāreṇa SUp_6.195c	kalpayitvA-anusAreNa SUp_6.195c
   kalpayed āgatānāṃ ca SUp_2.29a	kalpayet AgatAnAm ca SUp_2.29a
   kalpayed yaḥ śivāśrame SUp_6.131b	kalpayet yaH Siva-ASrame SUp_6.131b
   kalpaṃ śivapure bhogān SUp_5.30c	kalpam Siva-pure BogAn SUp_5.30c
   kalpāñ chivapure naraḥ SUp_6.219d	kalpAn Civa-pure naraH SUp_6.219d
   kalpānāṃ krīḍate koṭim SUp_6.176c	kalpAnAm krIxate kowim SUp_6.176c
   kalpānāṃ viṃśatīr narāḥ SUp_6.187d	kalpAnAm viMSatIH narAH SUp_6.187d
   kalpāyutaṃ naraḥ sāgraṃ SUp_6.218a	kalpa-ayutam naraH sAgram SUp_6.218a
   kalpārdhasaṃmitaṃ kālaṃ SUp_4.42c	kalpa-arDa-saMmitam kAlam SUp_4.42c
   kalpāśītiṃ pramodateä SUp_6.182d	kalpa-aSItim pramodateä SUp_6.182d
   kalpitaṃ vastrasūtrādyais SUp_6.274a	kalpitam vastra-sUtra-AdyEH SUp_6.274a
   kas taṃ na pratipūjayet SUp_7.41d	kaH tam na pratipUjayet SUp_7.41d
   kas tena puruṣaḥ samaḥ SUp_6.197d	kaH tena puruzaH samaH SUp_6.197d
   kasmāt tena vimūḍhātmā SUp_7.121c	kasmAt tena vimUXa-AtmA SUp_7.121c
   kasyāpi vinivedayet SUp_6.54d	kasya-api vinivedayet SUp_6.54d
   kāmikena vimānena SUp_6.52a	kAmikena vimAnena SUp_6.52a
   kārayitvā mukhāni tu SUp_6.124b	kArayitvA muKAni tu SUp_6.124b
   kārayet paṭasaṃvṛtam SUp_6.151b	kArayet pawa-saMvRtam SUp_6.151b
   kārayet puruṣocchritām SUp_6.116d	kArayet puruza-ucCritAm SUp_6.116d
   kāravellāṃś ca nairṛtyāṃ SUp_6.80a	kAravellAn ca nErRtyAm SUp_6.80a
   kārpāsāsthituṣāṇi ca SUp_7.51b	kArpAsa-asTi-tuzANi ca SUp_7.51b
   kāryam uttarato 'pi vā SUp_3.2b	kAryam uttaratas api vA SUp_3.2b
   kāryasiddhiś ca jāyatām SUp_6.158d	kArya-sidDiH ca jAyatAm SUp_6.158d
   kāryaṃ maṇijapārthivaiḥ SUp_3.8b	kAryam maNija-pArTivEH SUp_3.8b
   kāryaṃ vāyavyakaṃ snānam SUp_5.34c	kAryam vAyavyakam snAnam SUp_5.34c
   kāryaṃ vāruṇamūrtinā SUp_5.32d	kAryam vAruNa-mUrtinA SUp_5.32d
   kāryaṃ saṃmārjanāñjanam SUp_7.34b	kAryam saMmArjana-aQjanam SUp_7.34b
   kāryā jālagavākṣakāḥ SUp_4.7b	kAryAH jAlagavAkzakAH SUp_4.7b
   kālakālakṛtiṃ kṛtvā SUp_6.130a	kAla-kAla-kRtim kRtvA SUp_6.130a
   kālaghnaṃ śrīmahākālam SUp_1.1c	kAla-Gnam SrI-mahAkAlam SUp_1.1c
   kālañjaravane tathā SUp_6.190d	kAlaQjara-vane taTA SUp_6.190d
   kālavarṣī tu parjanyaḥ SUp_6.158a	kAla-varzI tu parjanyaH SUp_6.158a
   kālasya viṣuvasya ca SUp_6.195d	kAlasya vizuvasya ca SUp_6.195d
   kāliṅgaṃ pūrvato nyaset SUp_6.78b	kAliFgam pUrvatas nyaset SUp_6.78b
   kāṣṭhair agniṃ samindhayet SUp_4.49d	kAzWEH agnim saminDayet SUp_4.49d
   kāṃsyapātre sakāñcanān SUp_6.71b	kAMsya-pAtre sa-kAQcanAn SUp_6.71b
   kintv īśvaranibhaṃ kṛtvā SUp_6.40a	kintu ISvara-niBam kRtvA SUp_6.40a
   kimu tadvastudānataḥ SUp_6.284f	kimu tat-vastu-dAnataH SUp_6.284f
   kimutānyaṃ mahāguṇam SUp_6.281b	kim-uta-anyam mahA-guNam SUp_6.281b
   kiṃcic dīrghaṃ prakalpayet SUp_3.3d	kiMcid dIrGam prakalpayet SUp_3.3d
   kiṃcid aśnāti kasyacit SUp_6.39d	kiMcid aSnAti kasyacid SUp_6.39d
   kiṃcid vastu tadantarā SUp_7.68d	kiMcid vastu tad-antarA SUp_7.68d
   kiṃ na jīryati bhakṣyavat SUp_7.107d	kim na jIryati Bakzya-vat SUp_7.107d
   kīṭakeśādidūṣitam SUp_5.5b	kIwa-keSa-Adi-dUzitam SUp_5.5b
   kīṭapakṣaṃ mahāśuddhaṃ SUp_6.101a	kIwa-pakzam mahA-SudDam SUp_6.101a
   kīṭapakṣaṃ suvarṇaṃ ca SUp_6.90c	kIwa-pakzam suvarNam ca SUp_6.90c
   kīlayed darpaṇānvitam SUp_6.129b	kIlayet darpaNa-anvitam SUp_6.129b
   kīlayed yaḥ śivāśrame SUp_6.130b	kIlayet yaH Siva-ASrame SUp_6.130b
   kukkuṭaṃ śārikāṃ śukam SUp_6.208b	kukkuwam SArikAm Sukam SUp_6.208b
   kuṅkumārdhena kīrtitam SUp_4.37b	kuFkuma-arDena kIrtitam SUp_4.37b
   kucaryāṃ kunivāsaṃ ca SUp_7.117c	kucaryAm kunivAsam ca SUp_7.117c
   kuḍyaṃ dvihastavistīṛṇaṃ SUp_4.9a	kuxyam dvi-hasta-vistIRNam SUp_4.9a
   kuḍye vā phalake vāpi SUp_6.121c	kuxye vA Palake vA-api SUp_6.121c
   kuprāvaraṇabhojanam SUp_7.117b	ku-prAvaraNa-Bojanam SUp_7.117b
   kurutas tatpracoditau SUp_7.110d	kurutaH tad-pracoditO SUp_7.110d
   kuryāt saṃmārjanaṃ prājño SUp_1.26a	kuryAt saMmArjanam prAjQaH SUp_1.26a
   kuryāt snānābhiṣecanam SUp_5.48d	kuryAt snAna-aBizecanam SUp_5.48d
   kuryād anyad dinedine SUp_3.10b	kuryAt anyat dinedine SUp_3.10b
   kuryād asaṃbhave hemnas SUp_6.120a	kuryAt asaMBave hemnaH SUp_6.120a
   kuryād āyatane śobhāṃ SUp_7.75c	kuryAt Ayatane SoBAm SUp_7.75c
   kuryād evāvikalpataḥ SUp_6.122d	kuryAt eva-avikalpataH SUp_6.122d
   kuryād aindrīṃ diśaṃ sthitaḥ SUp_5.35b	kuryAt EndrIm diSam sTitaH SUp_5.35b
   kuryān nāma śivātmakam SUp_1.22b	kuryAt nAma Siva-Atmakam SUp_1.22b
   kurvīta rathayātrāyāṃ SUp_6.186c	kurvIta raTa-yAtrAyAm SUp_6.186c
   kulatriṃśakam uddhṛtya SUp_2.30c	kula-triMSakam udDRtya SUp_2.30c
   kulatriṃśakam uddhṛtya SUp_6.178c	kula-triMSakam udDRtya SUp_6.178c
   kulatriṃśakasaṃyuktaḥ SUp_6.92a	kula-triMSaka-saMyuktaH SUp_6.92a
   kulatriṃśakasaṃyuktaḥ SUp_6.111a	kula-triMSaka-saMyuktaH SUp_6.111a
   kulādhāraṃ guṇānvitam SUp_6.222b	kula-ADAram guNa-anvitam SUp_6.222b
   kulālālayabhasmanā SUp_5.7b	kulAla-Alaya-BasmanA SUp_5.7b
   kulaikaviṃśakopetaḥ SUp_7.97a	kula-ekaviMSaka-upetaH SUp_7.97a
   kulaikaviṃśad uttārya SUp_4.25c	kula-ekaviMSat uttArya SUp_4.25c
   kuśapādakam ākramya SUp_7.47c	kuSa-pAdakam Akramya SUp_7.47c
   kuśamūle ca homayet SUp_4.64d	kuSamUle ca homayet SUp_4.64d
   kusumasyānale hutam SUp_4.36b	kusumasya-anale hutam SUp_4.36b
   kusumāni nivedayet SUp_6.245b	kusumAni nivedayet SUp_6.245b
   kusumbhaśākam aiśānyāṃ SUp_6.85a	kusumBa-SAkam ESAnyAm SUp_6.85a
   kustumbaryāḥ pradeyāḥ syur SUp_6.75c	kustumbaryAH pradeyAH syuH SUp_6.75c
   kuhadrakaṃ ca vāyavyām SUp_6.84c	kuhadrakam ca vAyavyAm SUp_6.84c
   kūśmāṇḍaṃ madhyataḥ sthāpya SUp_6.78a	kUSmANxam maDyatas sTApya SUp_6.78a
   kṛḍate sa śive pure SUp_6.13d	kRxate sa Sive pure SUp_6.13d
   kṛtāñjalis trisaṃdhyaṃ ca SUp_7.5c	kRtAQjaliH trisaMDyam ca SUp_7.5c
   kṛtāñjaliḥ sthitaḥ śiṣyo SUp_7.63a	kRtAQjaliH sTitaH SizyaH SUp_7.63a
   kṛtvā kṛṣṇājine naraḥ SUp_6.70b	kRtvA kRzNAjine naraH SUp_6.70b
   kṛtvā ca naityakaṃ sarvam SUp_7.25c	kRtvA ca nEtyakam sarvam SUp_7.25c
   kṛtvājñāṃ prāpnuyān muktiṃ SUp_7.28c	kRtvA-AjQAm prApnuyAt muktim SUp_7.28c
   kṛtvā triguṇam āditaḥ SUp_4.23b	kRtvA triguNam Aditas SUp_4.23b
   kṛtvā devagṛhaṃ viśet SUp_7.48b	kRtvA devagRham viSet SUp_7.48b
   kṛtvā pāpavivarjitaḥ SUp_6.132b	kRtvA pApa-vivarjitaH SUp_6.132b
   kṛtvāpnoti mahābhogān SUp_2.22a	kRtvA-Apnoti mahA-BogAn SUp_2.22a
   kṛtvāpnoti mahābhogān SUp_6.219c	kRtvA-Apnoti mahA-BogAn SUp_6.219c
   kṛtvā pratāpanāyāgniṃ SUp_6.213c	kRtvA pratApanAya-agnim SUp_6.213c
   kṛtvaikena mamaiteṣām SUp_6.126c	kRtvA-ekena mama-etezAm SUp_6.126c
   kṛtvopakāram ārtānāṃ SUp_6.280c	kRtvA-upakAram ArtAnAm SUp_6.280c
   kṛśarogārtavṛddhānāṃ SUp_7.95a	kRSa-roga-Arta-vRdDAnAm SUp_7.95a
   kṛṣṇānāṃ dviguṇaṃ phalam SUp_4.45d	kRzNAnAm dviguNam Palam SUp_4.45d
   kedāre maṇḍaleśvare SUp_6.189d	kedAre maNxaleSvare SUp_6.189d
   keśakleśāpanuttaye SUp_6.231b	keSa-kleSa-apanuttaye SUp_6.231b
   keśāsthīni kapālāni SUp_7.51a	keSa-asTIni kapAlAni SUp_7.51a
   kailāsaśikharāsīnam SUp_1.1a	kElAsa-SiKara-AsInam SUp_1.1a
   koṭiṃ koṭiṃ ca kalpānāṃ SUp_6.205c	kowim kowim ca kalpAnAm SUp_6.205c
   koṣṭhāgāraṃ ca vāyavyāṃ SUp_2.18c	kozWAgAram ca vAyavyAm SUp_2.18c
   kautūhalasamanvitam SUp_6.153b	kOtUhala-samanvitam SUp_6.153b
   kauberyām ajamodaṃ ca SUp_6.75a	kOberyAm ajamodam ca SUp_6.75a
   kramaśaḥ karmayogī ca SUp_1.36c	kramaSas karma-yogI ca SUp_1.36c
   krīḍate sa śive pure SUp_6.6d	krIxate sa Sive pure SUp_6.6d
   krīḍate sa śive pure SUp_6.52b	krIxate sa Sive pure SUp_6.52b
   krīḍate sa śive pure SUp_6.237d	krIxate sa Sive pure SUp_6.237d
   krīḍate sa śive loke SUp_6.240c	krIxate sa Sive loke SUp_6.240c
   krīḍanti rudrabhavane SUp_6.187c	krIxanti rudra-Bavane SUp_6.187c
   krūraiḥ saṃtāpavedibhiḥ SUp_7.85b	krUrEH saMtApa-vediBiH SUp_7.85b
   kṣamed akṣamamānānāṃ SUp_5.39c	kzamet akzamamAnAnAm SUp_5.39c
   kṣarate sarvalokānāṃ SUp_6.164c	kzarate sarva-lokAnAm SUp_6.164c
   kṣarantīṃ pūryamāṇāṃ vā SUp_6.131c	kzarantIm pUryamANAm vA SUp_6.131c
   kṣārādyaiḥ śivayoginām SUp_6.255d	kzAra-AdyEH Siva-yoginAm SUp_6.255d
   kṣiter adhipatir bhavet SUp_6.94d	kziteH aDipatiH Bavet SUp_6.94d
   kṣitpipāsāturaṃ snātaṃ SUp_7.32c	kziD-pipAsA-Aturam snAtam SUp_7.32c
   kṣīratailena kalpayet SUp_4.58b	kzIra-tElena kalpayet SUp_4.58b
   kṣīravṛkṣasamṛddhe 'gnau SUp_4.47c	kzIravRkza-samRdDe agnO SUp_4.47c
   kṣīrikāyāḥ phalaṃ pakvaṃ SUp_6.18a	kzIrikAyAH Palam pakvam SUp_6.18a
   kṣutpipāsāturaṃ loke SUp_6.196c	kzuD-pipAsA-Aturam loke SUp_6.196c
   kṣutpipāsāturāṇāṃ ca SUp_7.95c	kzuD-pipAsA-AturANAm ca SUp_7.95c
   kṣudraratnāni yo dadyād SUp_6.103a	kzudra-ratnAni yaH dadyAt SUp_6.103a
   kṣudraratnaiś ca vividhais SUp_6.91c	kzudra-ratnEH ca viviDEH SUp_6.91c
   kṣudraiḥ saha na saṃvadet SUp_7.85d	kzudrEH saha na saMvadet SUp_7.85d
   kṣetram uddāmayec cāpi SUp_7.93c	kzetram uddAmayet ca-api SUp_7.93c
   khaṇḍasya palanaivedyaṃ SUp_6.30c	KaNxasya pala-nEvedyam SUp_6.30c
   khaṇḍāt sahasraguṇitaṃ SUp_6.31a	KaNxAt sahasra-guNitam SUp_6.31a
   kharjūratālapattrair vā SUp_6.212a	KarjUra-tAla-pattrEH vA SUp_6.212a
   khātvā bhūmiṃ samuddhṛtya SUp_3.2c	KAtvA BUmim samudDRtya SUp_3.2c
   gacchate śivayogine SUp_6.216b	gacCate Siva-yogine SUp_6.216b
   gacchantaṃ śivayoginam SUp_6.215b	gacCantam Siva-yoginam SUp_6.215b
   gacchaṃs tasya phalaṃ śṛṇu SUp_6.181d	gacCan tasya Palam SRNu SUp_6.181d
   gajāśvarathasaṃyuktair SUp_6.203a	gaja-aSva-raTa-saMyuktEH SUp_6.203a
   gaṇāḥ pravrajitāḥ śāntāḥ SUp_5.22a	gaNAH pravrajitAH SAntAH SUp_5.22a
   gatiḥ saiva kṣamāvatām SUp_5.40d	gatiH sA-eva kzamAvatAm SUp_5.40d
   gantavyam avaśair dhruvam SUp_6.165b	gantavyam avaSEH Druvam SUp_6.165b
   garbhamadhye prakurvīta SUp_3.5a	garBa-maDye prakurvIta SUp_3.5a
   garbhasthaḥ paripālitaḥ SUp_7.106d	garBa-sTaH paripAlitaH SUp_7.106d
   garbhasyānataḥ pravistāras SUp_2.8a	garBasya-AnataH pravistAraH SUp_2.8a
   garbhasyānataḥ pravistārād SUp_2.8c	garBasya-AnataH pravistArAt SUp_2.8c
   garbhaḥ sa triguṇo bhavet SUp_2.1b	garBaH sa triguNaH Bavet SUp_2.1b
   garbhāc ca dviguṇāyatā SUp_2.11d	garBAt ca dviguNa-AyatA SUp_2.11d
   garbhād ardhena vistāram SUp_2.10c	garBAt arDena vistAram SUp_2.10c
   garbhād ardhena vistīrṇā SUp_2.11c	garBAt arDena vistIrNA SUp_2.11c
   garbhād vāpi tribhāgena SUp_2.11a	garBAt vA-api tri-BAgena SUp_2.11a
   garbhād vāpi vibhāgena SUp_2.1c	garBAt vA-api viBAgena SUp_2.1c
   gavākṣakadvayaṃ kāryam SUp_4.6a	gavAkzaka-dvayam kAryam SUp_4.6a
   gavāṃ khurapuṭotkhāta- SUp_5.34a	gavAm Kura-puwa-utKAta SUp_5.34a
   gavāṃ lakṣapradānasya SUp_6.224c	gavAm lakza-pradAnasya SUp_6.224c
   gavāṃ vihvalacetasām SUp_7.95d	gavAm vihvala-cetasAm SUp_7.95d
   gātrasaṃvāhanaṃ rātrau SUp_7.33c	gAtra-saMvAhanam rAtrO SUp_7.33c
   giriprasravaṇeṣu ca SUp_5.14d	giri-prasravaNezu ca SUp_5.14d
   guggulvadreḥ paladvayam SUp_6.87b	guggulu-adreH pala-dvayam SUp_6.87b
   guḍasya phalam ekaṃ yaḥ SUp_6.29c	guxasya Palam ekam yaH SUp_6.29c
   guḍāc chataguṇaṃ phalam SUp_6.30d	guxAt SataguNam Palam SUp_6.30d
   guḍārdrakaṃ salavaṇam SUp_6.88a	guxa-Ardrakam sa-lavaNam SUp_6.88a
   guṇapañcakasaṃyutam SUp_5.10b	guNa-paQcaka-saMyutam SUp_5.10b
   guṇāḥ sthairyaṃ bhajantu vaḥ SUp_6.159b	guNAH sTEryam Bajantu vaH SUp_6.159b
   guṇo buddhir ahaṃkāras SUp_1.11a	guNaH budDiH ahaMkAraH SUp_1.11a
   gupurād ālabhūṣitam SUp_2.14b	gupurAt AlaBUzitam SUp_2.14b
   gurave tatphalaṃ śṛṇu SUp_6.268b	gurave tad-Palam SRNu SUp_6.268b
   gurave vāpi tad bhaktyā SUp_6.26a	gurave vA-api tat BaktyA SUp_6.26a
   gurave vinivedayet SUp_6.48d	gurave vinivedayet SUp_6.48d
   gurubhaktyā labhej jñānaṃ SUp_7.74c	guru-BaktyA laBet jQAnam SUp_7.74c
   gurubhaiṣajyasiddhyartham SUp_7.29c	guru-BEzajya-sidDi-arTam SUp_7.29c
   gurumūrtistham īśvaram SUp_7.42b	guru-mUrti-sTam ISvaram SUp_7.42b
   gurumūrtistham īśvaram SUp_7.74b	guru-mUrti-sTam ISvaram SUp_7.74b
   gurumūrtiḥ sthitas tasmāt SUp_7.2c	guru-mUrtiH sTitaH tasmAt SUp_7.2c
   gurur āste sadāśivaḥ SUp_7.45d	guruH Aste sadASivaH SUp_7.45d
   gurur eva paraḥ śivaḥ SUp_7.38b	guruH eva paraH SivaH SUp_7.38b
   gurur eva pitā mātā SUp_7.38a	guruH eva pitA mAtA SUp_7.38a
   gurur evaṃvidhaḥ śrīmān SUp_7.45a	guruH evaMviDaH SrImAn SUp_7.45a
   gurur yad arpayet kiṃcid SUp_7.20a	guruH yat arpayet kiMcid SUp_7.20a
   guruvākye tu sarvāṇi SUp_7.40c	guru-vAkye tu sarvANi SUp_7.40c
   gurusaktaṃ na dhārayet SUp_7.12d	guru-saktam na DArayet SUp_7.12d
   gurusthāneṣu sarvataḥ SUp_7.75d	guru-sTAnezu sarvatas SUp_7.75d
   guruṃ ca śivavad bhaktyā SUp_7.5a	gurum ca Siva-vat BaktyA SUp_7.5a
   guruḥ śirasi dhārayet SUp_7.43d	guruH Sirasi DArayet SUp_7.43d
   guror āgamanaṃ kramāt SUp_7.35d	guroH Agamanam kramAt SUp_7.35d
   guror āsanam uttamam SUp_7.64d	guroH Asanam uttamam SUp_7.64d
   guror gurus tayoḥ pūjyaḥ SUp_7.23c	guroH guruH tayoH pUjyaH SUp_7.23c
   guror na khaṇḍayed ājñām SUp_7.28a	guroH na KaNxayet AjQAm SUp_7.28a
   guror nindāpavādaṃ ca SUp_7.36a	guroH nindA-apavAdam ca SUp_7.36a
   guror mūrtidharāṇāṃ ca SUp_2.27a	guroH mUrti-DarANAm ca SUp_2.27a
   guror vā homayed vāpi SUp_6.3c	guroH vA homayet vA-api SUp_6.3c
   guroḥ kuryāt pradakṣiṇam SUp_7.8b	guroH kuryAt pradakziNam SUp_7.8b
   guroḥ kurvīta paśyataḥ SUp_7.19d	guroH kurvIta paSyataH SUp_7.19d
   guroḥ śāntasya dāntasya SUp_6.206c	guroH SAntasya dAntasya SUp_6.206c
   gurau muktiṃ prayacchati SUp_7.73d	gurO muktim prayacCati SUp_7.73d
   gurvarthaṃ tu samāharet SUp_7.26d	guru-arTam tu samAharet SUp_7.26d
   gurvājñayā karma kṛtvā SUp_7.25a	guru-AjQayA karma kRtvA SUp_7.25a
   gṛhakeṣu samāśritam SUp_6.140d	gRhakezu samASritam SUp_6.140d
   gṛhadvāraṃ tataḥ prāptam SUp_6.172c	gRha-dvAram tatas prAptam SUp_6.172c
   gṛhasthas tryāyuṣoṃkāraiḥ SUp_5.20a	gRhasTaH tri-AyuzoMkArEH SUp_5.20a
   gṛhasthaḥ parikalpayet SUp_6.223b	gRhasTaH parikalpayet SUp_6.223b
   gṛhasyāyāmavistāraṃ SUp_4.23a	gRhasya-AyAma-vistAram SUp_4.23a
   gṛhasyeśānadigbhāge SUp_3.2a	gRhasya-ISAna-digBAge SUp_3.2a
   gṛhāsannaṃ tadañjalau SUp_7.20b	gRha-Asannam tad-aQjalO SUp_7.20b
   gṛhītaṃ naiṣṭhikavratam SUp_5.27b	gRhItam nEzWika-vratam SUp_5.27b
   gṛhītvā yāti purataḥ SUp_6.184a	gRhItvA yAti puratas SUp_6.184a
   gṛhe na sthāpayec chailaṃ SUp_3.9c	gRhe na sTApayet SElam SUp_3.9c
   gṛhopakaraṇāni ca SUp_6.210b	gRha-upakaraNAni ca SUp_6.210b
   gṛhopakaraṇair naraḥ SUp_6.211b	gRha-upakaraNEH naraH SUp_6.211b
   gṛhya pātrīṃ niveśayet SUp_6.161d	gRhya pAtrIm niveSayet SUp_6.161d
   geyamaṅgalapāṭhakaiḥ SUp_6.142b	geya-maFgala-pAWakEH SUp_6.142b
   gairikaṃ maṇidantaṃ ca SUp_6.66a	gErikam maNidantam ca SUp_6.66a
   gokarṇe bhadrakarṇe ca SUp_6.190a	gokarNe BadrakarNe ca SUp_6.190a
   godhūmacandakādyāni SUp_6.23c	goDUma-candaka-AdyAni SUp_6.23c
   gobrāhmaṇaparitrāṇaṃ SUp_7.99a	go-brAhmaNa-paritrANam SUp_7.99a
   gomayaṃ samidindhanam SUp_6.283d	gomayam samiD-inDanam SUp_6.283d
   gomayāñjanakarpaṭān SUp_6.58d	gomaya-aQjana-karpawAn SUp_6.58d
   gomayānām abhāvena SUp_4.63a	gomayAnAm aBAvena SUp_4.63a
   gomayeṣu ca dagdheṣu SUp_5.7c	gomayezu ca dagDezu SUp_5.7c
   grāmasvāmiprasādena SUp_7.113c	grAma-svAmi-prasAdena SUp_7.113c
   grāmāntaram abhiprepsur SUp_7.8a	grAma-antaram aBiprepsuH SUp_7.8a
   ghaṇṭācāmarabhūṣitam SUp_6.137b	GaNwA-cAmara-BUzitam SUp_6.137b
   ghaṇṭācāmarabhūṣitaiḥ SUp_6.152d	GaNwA-cAmara-BUzitEH SUp_6.152d
   ghṛtatailanadīyuktaṃ SUp_6.68c	GRta-tEla-nadI-yuktam SUp_6.68c
   ghṛtadhenuṃ naraḥ kṛtvā SUp_6.71a	GRtaDenum naraH kRtvA SUp_6.71a
   cakṣurliṅgasamāyutam SUp_6.107d	cakzuH-liFga-samAyutam SUp_6.107d
   caṅkramantaṃ tathākulam SUp_7.6b	caFkramantam taTA-Akulam SUp_7.6b
   caturaṅgulam ucchritā SUp_4.15d	catur-aFgulam ucCritA SUp_4.15d
   caturaṇḍakasaṃyutam SUp_4.12d	caturaNxaka-saMyutam SUp_4.12d
   caturaśram adhaḥ samam SUp_6.145d	caturaSram aDas samam SUp_6.145d
   caturaśravedi(kā) śrīman SUp_4.8c	caturaSravedi(kA) SrIman SUp_4.8c
